or s enuet	-||-|--|
detot lemon desi uosimost erai	-|--|-|---⌫-|-|--||----⌫---|
sempresune	------|--|
gr ant mer ueilledontie	--⌫--|---⌫-----|---|-|
fasmol tquefo lsd eldirek arnusgrans b oban s	--|---⌫|--|--⌫-|-⌫-|---|-⌫-|--|----|-⌫----⌫|
n estsi tost mont és	|--|-|---|----⌫--|
qualtr esitos tne soitius	-|----⌫--|---⌫|-|---|--|
kar i e baoiea	--|-⌫|----||
feretropgr a ntdesmesure et t r opgrant orgueil	---|---|--⌫-⌫-|--------|-|-⌫-⌫-|----|------|
dontilestrem esm olt grantpartie	---|-|--|---⌫-|-⌫--|----|-----|
eti la elbailleeten la to r	-|-⌫||-|-----|-|-|-|--⌫|
centc in quanteke rnials pa r conte	---|-⌫--⌫-----|--⌫-----|--⌫|----|
et auoie e npenséafere	-|----|-⌫------||---|
euissecent	-----|---|
cinq uanteroisenmasei gn orie	----⌫----|---|-|-|---⌫--⌫---|
leseuissecon qu issi les	--|-----|---⌫--⌫-|-|--|
amen a sset osen cest chastel	----⌫-⌫--|-⌫-|-|---|------|
etlorsmefeissec oroner etpor	-|---|-|-----|-⌫-----|-|--|
l onor demoiport aissent tuitlirois corones	|---|-|--|----⌫------|---|-|---|------|
etieteni sse corts iriche	-|-|----⌫--|---|-⌫|----|
comaroiapartenistporce que	--||--|---------|--|-|--|
parlast demoi apres mamort.	------|-|--|----|-|---||
etfeis se encoreune	-|----⌫-|-----|--|
autrechosekaril eus tamont sorchascun kerne lde l	----|----|--|-|---⌫|----|--|------|-----⌫|--⌫|
chastelunchand elierdarge ntdela l ongor aun	------|-|-----⌫----||----⌫-|-|-|-⌫----||-|
ch eualieretfustespessement	--⌫------|-|---|----------|
branchus etd esus l e pomeldela torfeisseie	-------|-|-⌫---|-⌫|----|-|-|--|-----|-|
m etreun chandelab re dorde lgrant de moi	-⌫---|-|---------⌫-||-|--⌫|----|-|--|
et le iorde m o ncorone m entdesledisner	-|-|--|-|-⌫-⌫|------⌫-⌫--|--|-|-----|
en aua nt fuissentmi ses	-|---⌫-|-------|--⌫--|
lesco rones asrois que ieu isse	--|--⌫----|-|---|--||--⌫---|
conquischascunesor son chandelieret lamoie	------|-------|--|--|---------|-|-|---|
fui stas sisesorlech andela breq ui fustsorle	---⌫-|--⌫---|--|-|--⌫------⌫--|-⌫-|---|--|-|
pomelde l at or	----|-|-⌫|-⌫-|
poé s encoreueoir.	----⌫|-----|----||
ensin t fuissenttoteslesco ronesdesialanuit	-----⌫|-------|----|--|--⌫----|---||-|---|
etlors fust en	-|---|---|-|
chascu n chandelier un ciergeassissigros e t	------⌫|---------|-|-----|----|-|---|-⌫|
si al umésque nusue nsnelepoiste staindreet	-|--⌫----|--|--|--⌫-|-|-|----|-⌫-------|-|
arsissent entelmaniere de siau	--------|-|--|------|--⌫-|-|
sibeleetsi riche fust ma cors	-|---|-|-|----|---|-|---|
quatosiors mesen	-||--|---|--|-|
fustpar léettosles	---|---⌫--|-|--|--|
iors qu eledurastfuissent	---|-|--|-----|-------|
lescoronessorleschand elierset lan uitli	--|------|--|--|-----⌫-----|-|-|-⌫--|-|
et bien sachié s quepuisque li ch astial sf u	-|---|-------⌫|--|------|-|--⌫------⌫|-⌫|
e ntrais i dol e nsque	-⌫----|-⌫|---⌫-⌫-|--|
ien enisisset os	-||-|-----|-⌫-|
et po r c e	-|--⌫|-⌫|
or ekar ilme	--⌫|--|-|-|
seroitmielsmestiers a ceste foisque	-----|----|-------||----|---|--|
diexmen uoiasti oie q u il nefuonque s	---||--⌫-----|-⌫--|-⌫|-|-|-|-----⌫|
e nsi se n uont parl ant	-⌫--||-⌫|---|----⌫--|
liduicompaignon	-|--|---------|
s ise merueillemo ltlan celos	-⌫|-|--------|--⌫-|---⌫----|
dec equegalehoutl iotco nte ́.	-|-⌫|--|-------|-⌫|-|--⌫---⌫||
hadiexfet ila soimeismestantme	-|---|--|-||--|------|---|-|
deuroitcist hom hair q ue t otes	------|---|--|---|-⌫-|-⌫---|
ce scho ses liai iede stornees afere	--⌫|---⌫--|-|-|-|--⌫-------||---|
siai fetdelplusuiguereus	-|-|--|--|---|--------|
home delmondeleplusperecose t	---|--|----|-|---|------|-⌫|
tot celie stauenu parmoi	--|-|-|-⌫-|----|--|--|
lors ala ncelostrop	---||--⌫-----|---|
siplore sidu rementqueles lermes	-|----|-|--⌫-----|--|--|-----|
li ch aient des	-|--⌫----|--|
iexsorl arco n de uant	--|--||----⌫|--⌫---|
d esa sele	-⌫|-|---|
mais bien segardequegal ehout	---|---|-|----|--|---⌫----|
nel apercoiu e.	-||--------⌫||
atants on tu e nud euantlec hast el.	----|-⌫--⌫|-⌫-⌫-|-⌫----|-|-⌫----⌫-||
et lors auint a galehoutune	-|---|----||-------|--|
trop grans merueilledontilfu	---|----|--------|---|-|-|
pl us esmaiés	--⌫-|-------|
chose quilonques	----|-|-|-----|
eust ueue karlat ordelba illefendi	---|---|--|-|-⌫-|--|--⌫---|----|
parmilieutotadroitu reettuit li	--|-----|--||------⌫-|-|---|-|
une partieuerserent.	--|-----|--------||
lorssaresta	---||-----|
ga lehout e tfut an tesbahis qu	--⌫-----|-⌫|-|-⌫--⌫|------|-|
ilnepo t motdiresise	-|-|--⌫|--|---|-|-|
s aine mainte n antde	-⌫---|------⌫-⌫--|-|
lamerueil lequilotu eue	-|-------⌫-|-|-|-|-⌫--|
etnedemora pas tantqu il fustalélegie t	-|-|-----|--|-----|-|---|---|-|---⌫|
dune pierre quetouteicelleparti e do nt	|--|-----|--|----|-----|-----⌫|--⌫-|
liq uernele stoientcheu uersaa	-|-⌫-----|-⌫------|---|----||
terreet delba ileetdel ator	----|-|--|--⌫--|-|-|-⌫|--|
e tfisttel escr ois	-⌫|---|--|----⌫--|
a lchaoirquilsamblaquetote	-⌫|-----|-|-|-----|--|---|
l aterrefustf ondu e.	-⌫|----|---|-⌫----⌫||
quantgalehoutuitfondre	----|-------|--|-----|
sonchastel ilnefetpasademand er	--|------|-|-|--|--||------⌫-|
s i lfu dolens ains	|-⌫|-|-----|---|
sen esb ahitantq ueparu npo iqu	|-|---⌫--|---|-⌫-|--|-⌫|--⌫|-|
ilnech aidel	-|-|--⌫-|--|
cheua l aterre .	-----⌫||----||
et quantilp otp arler	-|----|-|-⌫-|-⌫----|
ensospirant ha diextant	-|--------|-|---|---|
fele ness ementme commence	----⌫----⌫----|-|-------|
amesc ha oir	|----⌫--⌫--|
lo rsret ornela resne de	--⌫-|---⌫---|-|----|-|
son frainetsemet parmi le s chams en	--|----|-|-|--|----|--⌫|----|-|
trau ers s ors en estre .	----⌫--|-⌫-|-⌫--⌫----||
etl anceloslesieutapresa e speron quet ant est	-|-⌫------|-|----|----||-⌫-----|--|-⌫--|--|
iriésquil neset qu ef er e	-----|-|-|-|--|--⌫|-⌫--⌫|
etneporquant ilsepa i ne moltdegalehout	-|---------|-|-|--⌫-⌫-|---|-|-------|
conforters ilidist sire iln	--------|-⌫|-|---|---|-||
au ient pasasihauthom ecom	--⌫---|--||-|---|---⌫|--|
uos est esquilsede sconf ortpormeschea nce	--|---⌫-|-|-|-|--⌫-----⌫--|--|-------⌫--|
au oirtant comses corsetsiami	--⌫--|---|--|--|---|-|-|--|
rem aignentsain.	---⌫------|---||
maisli m aluaisdoi tplusdoter	---|-|-⌫-----|---⌫|---|----|
desonauoirqu ede soncors	-|--|----|--⌫|-|--|---|
ualt s e parso nauoir n onetmaluais cuersne	---|-⌫|--|--⌫|----|-⌫-|-|------|----|-|
pu etempirier.	--⌫-|-------||
etbi en poésore	-|--⌫-|----|--|
ueoirq uediexuosamo strés amblantdamor	----|-⌫-|---|--||--⌫----|-⌫------||---|
quantuostrecors nes toit laiens.	----|-----|---||--⌫---|-----||
quantgaleho utentent laparolesile re gard e	----|------⌫-|-----|-|-----|-|-|--⌫----⌫|
etcomm encea so srireau tresicom end e s pit	-|----⌫---||--⌫----|--⌫----|--|-|-⌫-⌫-⌫--|
sil i resp ont com ment bia ls	-|-⌫|----⌫--|---⌫---|---⌫-|
d ozamis cui die ́suosq ueiesoie	-⌫-|---|---⌫---⌫-|--|-⌫-|-|---|
esbahisdemonchastel sil	------|-|--|------||-|
estfon du s	--|---⌫--⌫|
ce rte s seil ualsisttantquei e	--⌫---⌫|-|-|------|---|--|-⌫|
lepoiss econtrepeseratosles ch astialsdel	-|-----⌫|----------||--|--|--⌫------|--|
enfu isse ie iapluscoro ciés	-|--⌫---|-|-|---|----⌫----|
uos apr e ndrai itant	--|---⌫-⌫----|----|
conoissancede	----------|-|
moncuerque onques homneme uit	--|---|--|-----|--|-|-|--|
esba hin etrespensépor	----⌫-|-⌫|---------|--|
perte deterrene d	----|-|----|-||
auoirque iefeiss eonques	----|--|-|-----⌫|-----|
ne ie n efis onquesne i o ienefeste	-|-|-⌫|--|-----|-|-⌫-⌫-|-|----|
d e chosequeie	-⌫|----|--|-|
gaina is senemaisdune	-----⌫--⌫-|-|---||--|
sole ce fude	---|-|-|-|
uo strecom p ai gn ie .	--⌫---|---⌫-⌫--⌫--⌫-||
maismescuers mesmaie	---|--|----||-----|
tropqui me d eu ine	---|--|-|-⌫--⌫--|
gra ntmala auoir.	---⌫-|--||----||
-sirefetlancelosilau ientma int esfoi squecuers	|---|--|-------|-|--⌫---|--⌫---⌫-|---⌫|--|----|
domeestplusamalaiseu nehoreque	|--|--|---||------|-⌫-|---|--|
autreetd e	----|-|-⌫|
lamesais e del cueruien t la me sais edel	-|------⌫|--|---|----⌫|-|--⌫----⌫|--|
corsneienepr ispas acuer	---|-|-|-|--⌫-|--||---|
depreudom edeuinerp oormais har dement doitcuer	-|-------⌫|------|-⌫--|---|---⌫-----|---|---|
deuin er etbee a monte r et aler	-----⌫-|-|--||-----⌫|-|---|
bials do z	----|--⌫|
co mpai nsme scuersned euinede nulepoorqui	--⌫----⌫-|--⌫|----|-|-⌫----|-|---|---|--|
puistauenir	----|-----|
quededeusc	--|-|---||
estdeuosetdemoi	--|-|--|-|-|--|
etaut retant	-|---⌫-----|
la mescheancede	-|---------|-|
l u ncom de	|-⌫|--|-|
iaimisem amor entelman iereq u	|-|---||---|-|--|---⌫---|-⌫|
empresu ostremortnemelaistiadie xuiu re	-----|-⌫----|---|-|-|----|-|---⌫|---⌫-|
etcriem molt queieuosperdepartens	-|----|---|--|-|--|----|--|---|
etquenossoions dep arti	-|--|--|-----|---⌫---|
ouparautredeseur ement.	-|--|----|------⌫----||
sachiés b i enque simadamel aroine	-------|-⌫-⌫-|--|-|-|---|-⌫|----|
eustausid ebonair ecueruers	---|---|-⌫-------⌫|---|---|
moicomioiuersli	--|--||-|---|-|
e leneme tolsistpas uostre compaigniepo r a utruido n er	-⌫-|-|-|------|--|-----|---------|--⌫|-⌫----|--⌫-⌫-|
onq ues fetpluspo rli fors	---⌫--|--|---|--⌫|-|---|
tan tquei e porch acais ongrantdes ir etuo stregrant	---⌫|--|-⌫|-----⌫---|-⌫-|----|---⌫-|-|--⌫---|----|
maisne porquan tiene ladoi p asblasmers ele	---|--⌫-------⌫|-|-|-|--|-⌫-|------||--|
ueltqueses cue rss oitp lusa	---|--|--|---⌫-|-⌫--|-⌫--||
aisequ e li	---|--⌫|-|
autrui kareleme	-----|--|--|-|
distia que	---|-|--|
len nepooit	--|-|----|
m ie fereg rantla rge scede ce	-⌫-|---|-⌫---|--⌫---⌫--|-|-|
dontlen nesepooit consieurer	---|--|-|-|----|---------|
et ie me n suib ien	-|-||-⌫|--|-⌫--|
apa rce ussi uueilbi enq ue uossachiésqu elaou	---⌫---⌫-|-|----|--⌫-|-⌫-|--|-------|--⌫|-|-|
ieperdrai uos tre compaignieet	-|------|---⌫--|---------|-|
li s ieclespe r d ralamo ie.	-|-⌫-----|--⌫-⌫-⌫-|-|--⌫-||
-certessire f etlanc elos sedieupl est	|-----|---|-⌫-|----⌫---|-|---|--⌫--|
lacompa ignie	-|-----⌫----|
d enosd eusne partiraia que u os	-⌫|--|-⌫--|-|------|-|--|-⌫-|
au é s tantfetpor m o i queien	--⌫--⌫|---|--|--|-⌫-⌫|--|-||
o seroieriensfe requi encontreu os alast	-⌫-----|----|--⌫-|--|-------|-⌫-|----|
ne delamaisnieleroia rt unerem es	-|-|-|------|-|--|-⌫--⌫|-|---⌫-|
ieseparuost r euolenten on	-|-|--|----⌫-⌫|------|-⌫-|
etpa rl amadame	-|--⌫|-⌫|-|---|
auantqueia io rdemauiep a r	----|--|-|--⌫|-|-|--|-⌫-⌫|
lauole ntedemoncuer	-|----⌫--|-|--|---|
nirema nsisse ie.	||----⌫-----|-||
ensiparol ent ensam ble molt longuement e tlancelosleconfo rtea	---|-----⌫--|-----⌫--|---|---------|-⌫|-------|-|-----⌫--||
son pooir tantquil fetplusbelec hie re qu il	--|----|-----|-|--|---|---|-⌫---⌫-|-|-|
et lorsdemandeenque lli euiluoldrag esir.	-|---|------|-|---⌫|--⌫-|-|-----|-⌫---||
nosi ron sfet galehou tespresquison t	--|-⌫---⌫|--|-------⌫|-|---|--|---⌫|
desostesseline.	----|--------||
ces to itunsuen	|--⌫--⌫-|-|---|
chastel quiensinta uo it non si	------|--|-----|-⌫--⌫-|--|-|
seoitsor unegr antriuie re et	----|--|--|--⌫--|-----⌫-|-|
lapra erie	-|---⌫---|
estoittotent or	-----|--|---⌫-|
moltgrant etmoltbele.	---|----|-|---|---||
lorscommande gale houtases	---|-------|----⌫---||--|
escuiers qu	-------|-|
ils enalaissent a uanttuitquatre	-||-|--------|-⌫---|---|-----|
etq uilappa reillaissentelcha ste l ce	-|-⌫|-|----⌫-----------|-|---⌫---⌫|-|
quemestierslo r	--|-------|--⌫|
sera deuiandeset	---|-|------|-|
dautrescho ses.	|-----|---⌫--||
ma is gardésbie n	--⌫-|------|---⌫|
fetil que i e	--|-|--|-⌫|
t r ui sselosteltotap pareilliéen	-⌫-⌫--⌫--||----|--|--⌫---------|-|
la maisonde	-|-----|-|
r eligionen	-⌫------|-|
l ore illedel	|---⌫---|--|
bois laouie mefis	---|-|-|-|-|--|
antansai nier etg	----|---⌫---|-||
iraiapr estotbelemen t	---|---⌫-|--|-------⌫|
entre moietmoncom paig non	----|--|-|--|---⌫----⌫--|
de lcheualchi er isnelement	--⌫|---------⌫-|---------|
etg ardés	-|-⌫-----|
quetot soitfet.	--|--|---|--||
atantsenpartentlies cuie r	----||-|------|-|--⌫----⌫|
ensicom lor sires l or	---|--|--|----|-⌫-|
co mmande et i l	--⌫-----|-|-⌫|
dui che ualchentaprestotbelementet parolent	--|---⌫-------|----|--|-------|-|-------|
de lor afe reetdelorpriue conseil.	-|--|---⌫-|-|-|--|----|------||
etquantil uindr entalamaison	-|----|-|-----⌫--||-|-----|
dere ligionou ildeuoientgesirsiestbie n	-|--⌫-----|-|-|-------|----|-|--|---⌫|
tens etore	---|-|--|
de herbergier	-|---------|
si tru euentappareil léqua nque m estiers lorest mesestrangem ent	-|---⌫----|--------⌫--|---⌫---|-⌫------|--|--|--|---------⌫--|
seme rueillent lire n dudelor	-|--⌫--------|-|--⌫-⌫-|-|--|
seignorquisiuien t seul kar ilne l	------|--|-|----⌫|---|--|-|-||
auoien tmiea prisaue oir cheualch iersan s gran t compaigniede	------⌫|--|-⌫---||--⌫--|--------⌫--|---⌫|----⌫|---------|-|
cheualiers.	---------||
celenuitfi st ga lehoutun	---|---|--⌫-|--⌫-----|-|
po iplusbe lec hi er e quilnesoutetme nia	--⌫|---|--⌫-|-⌫--⌫--⌫|-|-|-|---|-|--⌫--|
plus quine fi stpuisq uilsepartide	---|-||-|--⌫-|-----⌫|-|-|----|-|
etne porquantil	-|--⌫-------|-|
sesforcedep l us belsamblantfereque li	|------|-|-⌫-⌫-|--|-------|---|--|-|
cu ersneli aportep o r lancel otcon forte r	--⌫--|-|-|-----|-⌫-⌫|------⌫-|---⌫-----⌫|
almatinenuoiaga lehout unde ses escuier sa sorhan	-|----|-----|--⌫-----|-|-|--|-------⌫||-----|
-cestoit lamaistre	||-----|-|------|
cite de lroia lme de s orelo is etm anda asesgens	---|--⌫|----⌫--|-|-⌫-----⌫-|-|-⌫---||--|---|
qui en lacitel atendoientque	--|-|-|---||---------|--|
lendemain fuissent encontrel uia	|-------|-------|-------|-⌫-||
alantinequies t oit la premi ere	-------|--|--⌫-⌫--|-|-----⌫--|
citequelentrouast enla uo ie	---|--|--|------|-|-|--⌫-|
quantgalehou t	----|-------⌫|
fuleuésde	-|-----|-|
hautior asoleillui sant si oimes se	---|--||-----|---⌫---|-|-|---⌫-|
del sai ntesperitet	--|---⌫-|------|-|
delameredieu .	-|-|---|---||
apres passa	----|----|
lariuierequi	-|------|--|
parl e chiefdela f ore st corroitau	--|-⌫|----|-|-|-⌫---⌫-|------|-|
guequ iestoitdes oslamaisonde re ligion	--|--⌫|-----|---⌫-|-|-----|-|--⌫-----|
kar il neuoloitp as	--|-|-|-----|-⌫-|
pa s serpar cheminporce	--⌫-⌫--|--|-----|--|-|
qu il estoi t sis ols .	-|-|-----⌫|-|-⌫--||
icelui ior furent sans mengier desi	-----|--|-----|---|------|---|
au uespre etl anuit	-|-----|-|-⌫|---|
uint gal ehoutchie s unsuenuauasors orcel eriuiere	---|---⌫----|----⌫|-|---|------|-⌫-|---⌫|------|
al endem a inleuagalehoutdehaute horekaril	||-----⌫-⌫-|---|-------|-|----|---|--|-|
nauoit pa sd ilu ecdesia alan tin e	|----|--⌫||---⌫-|---||----⌫---⌫|
plus deyy lieues e nglesches	---|-|-|-----|-⌫--------|
etquant ilotmesseoisicheualche tant	-|----|-|-|----|-|-|--------|---|
qu iluintaalentine	-|-|---||-------|
etues pr eset	-|---⌫--⌫-|-|
encontrabien a	-------|---||
yylieuesde lacite	-|-----|-|-|---|
lemestr e desaterre et ses autresc heualiers auec	-|-----⌫|-|-|----|-|--|-----|-⌫--------|---|
li mais tresl	-|----⌫---||
auoit norr ien se nfance	----|----⌫|-||-⌫-----|
siestoit un sdes plusui gueros	-|-----|--⌫|--|---|--⌫-----|
homes delmon deet uns des	----|--|---⌫-|-|--|--|
plusloialsetp a rensgalehout	---|-----|-|-⌫-⌫---|-------|
sicommencaa plorerquant il	-|-------||-----|----|-|
et lebaisaam oltm atechiere	-|-|----||-⌫--|-⌫--|-----|
e tga lehoutse n	-⌫|--⌫-----||-⌫|
m erue il lemolt	-⌫----⌫--⌫-|---|
sili d e mande	-|-|-⌫-⌫----|
qui laet distqu ilneli mente	-|-⌫||-|---|-|-|-|-|----|
miep ar lafo i quilli	--|-⌫-|-|--⌫|-|-|-|
sire fetil i aieu lag rei gno rpoor	---|--|-||-|-|-|-⌫---⌫---⌫|---|
d e uosqueie onqueseuisse	-⌫|--|--|-|-----|-----|
ethui matinn ecre isse	-|--|----|-⌫|---⌫---|
ie nulho mequeu os nefuissiésmors	-|--|--⌫-|--|-⌫-|-|--------|---|
ou mehengniéskariluosest	-|----------|--|-|--|--|
c este semaine mesc haoi t ass e splusque	-⌫---|------|----⌫----⌫|---⌫-⌫|---|--|
uosne cuidiés.	--|-|-------||
acestmot fugalehout molt	|---|--|-|-------|---|
esbahiss isacheson	------|-⌫|----|--|
frainarier eseta	----|-----⌫-|-||
telpo ordemalua isesnou e l esoir	--|--⌫-|-|-----⌫---|---⌫-⌫-⌫-|--|
en pertgrant	-|---|----|
piecee tla	----|-⌫|-|
p ar o leet lacolor.	-⌫--⌫-⌫-|-|-|----||
etquant ilpo tparlersidist	-|----|-|--⌫|-----|-|---|
asonmestrebials	|--|-----|----|
mestrequ el p e rte puet	-----|--⌫-|-⌫-⌫--|---|
dites lemoiaiie	----|-|--|-|-|
perdunul demescha rnels	----|--|-|--|---⌫----|
parlaf oi que uosme	--|-|-⌫-|--|--|-|
de ués ne m en celésriens .	--⌫---|-||-|-----|----||
- nenilsirece dist limestresde	|----|---|-|---|-|------|-|
uos charnels	--|-------|
amis n auésuosnulperdu.	---||----|--|--|----||
etga le hout hurtelecheual dese sperons	-|--⌫--⌫---|----|-|-----|--|-⌫------|
en comme ncea al er	--⌫-----⌫--||--⌫-|
etl aoui l	-|-⌫|-|-⌫|
encontr e s escheualierssiles salueetacole	-------⌫|-⌫-|---------|-|--|----|-|----|
e tmos tre samblan td e streli eskaril	-⌫|---⌫--|-------⌫||-⌫---|--⌫-|--|-|
lesuelttosde ceuoirde so np en se.	--|---|--|--⌫-----|-|--⌫|-⌫--⌫-||
uoit sonmestresili ensouient	---|--|-----|-|-|-|------|
et cros lela	-|----⌫-|-|
dist b ials me strei usquesalio rduiuo s ai	---|-⌫---|--⌫---|-⌫-----|-|--⌫||-|--⌫|-|
ietenua uiguerosmaisorne	-|---||-------|---|-|-|
uostieng epas .	--|---|-⌫|--||
co mm entcui dié suos	--⌫--⌫--|---⌫----⌫|--|
quenuleperte megreuast e nmoncuersele	--|---|----|-|------|-⌫|--|---||--|
nefustdec hos e quia u cuerme t ochast	-|---|-|-⌫---⌫|--|-⌫|---|-|-⌫-----|
itantpuis ieorbi en sauoi r	----|---|-|-|--⌫-|-----⌫|
qu eceste perte	--⌫|----|----|
estde terreou	--|-|----|-|
dauo iret tant me	|---⌫-|-|---|-|
deuésuos bien conois t rec	-----|--|---|------⌫-⌫-||
onquesmes cue r sn	-----|--|---⌫-⌫||
otporp erte	-|--|-⌫---|
det err eneporgaaing hauteioienegrant	-|-⌫---⌫|-|--|-----|----|---|-|----|
poés oredireseure mentqu elee stlapertekardesor mais	----|--|---|-----⌫---|--⌫--|-⌫-|-|----|--|-----⌫---|
nemen esta g ai res .	-||-|--||-⌫--⌫--||
li mestresla pert enestpas	-|------|-|----⌫||--|--|
sigransauostr e oescom ele	-|----||-----⌫|--|--|--|
estmerueillo sekar eleestplaine detelme rueillec	--|---------⌫-|--|--|--|-----|-|--|--⌫------||
onquesenma uie n	-----|-|-|--||
oiparl erde si grantkar	-|----⌫-|-|-|----|--|
de tot leroialme de sorelois nest reme s	-|--|-|------|-|-------||--|----⌫|
c ha stelen	-⌫--⌫---|-|
esta ntdontlamoitiene	----⌫-|---|-|-----|-|
soitfonduet totce esto reauenupuisuin t	---|----|-|--|-|--|-⌫-|----|---|---⌫|
iorsen ca .	---|-|-||
fetgal ehou t	--|---⌫----⌫|
quep oime grieue kariemeismes	--|-⌫-|-|-----|--|-|------|
ui fondrelaforteresceque ie plu s	-|-----|-|---------|--|-|---⌫|
mo nde nonquesmesc uers ama laisenen	--⌫--||-----|--|-⌫---||--⌫----||-|
etsiuosdi r ai ore	-|-|--|--⌫-⌫-|--|
leporq uoiuoiantmesgens quisi	-|--|-⌫--|-----|--|---|--|-|
cheualchent .	----------||
l iplusmerueillo shomquionquesfus tet si	-⌫|---|---------⌫|--|--|-----|---⌫|-|-|
ai e usimerueillosc u er q uesilfust	-|-⌫|-|---------|-⌫-⌫-|-⌫-||-|---|
enun petitcorsien e	-|-|----|---|-|-⌫|
uoi pascoment ilpeu st durer kar	--|--|-----|-|---⌫-|----|--|
onquesdenule gr ant emprisene le trouai lache	-----|-|---|--⌫--|------|-|-|-----|----|
ne pereceusmais tosiorsenprenantet	-|-------|---|--|---|--------|-|
uol enteis assesp l us	---⌫-----|----|-⌫-⌫-|
quemesconselsne l iosast	--|--|------|-|-⌫|----|
ettelsdoit	-|---|---|
estrecuersquibeeapasser	----|----|--|--||-----|
tosautres cuersdehautesoe uresetd oitsauoir	--|-----|----|-|-----|--⌫---|-|-⌫--|-----|
que autresi que t uit liautrecuersont	--|------|--|-⌫--|-|----|---|---|
pluspouresdeluiautresisontilplusauerd e	---|-----|-|--|------|---|-|---|---|-⌫|
cons eil .	----⌫--||
uosmeruei lliéspassele sg re ignors mer ueil l esdont u osaiés	--|------⌫-----|--|-|--⌫|-⌫--⌫-----|---⌫----⌫-⌫-|---|-⌫-|----|
oiparlerauienentenmon pooirkar	-|-----|-------|-|--|----|--|
a utresicomi a i esté	-⌫-----|--||-⌫|----|
p lus merueillo smedoiuent greignors merueillesauenir.	-⌫--|---------⌫|-|------|--------|---------|-----||
ensi par oleg al ehou t a son	---|---⌫--|-⌫--⌫----⌫||--|
mestretantquil uienenta	-----|---|-|-|------||
alan t i ne	----⌫-⌫-⌫-|
s i acorente ncontre luila gent	-⌫|------|-⌫------|--|-|---|
uileet moltsont	---|-|---|---|
sa uenuekarpar	-|----|--|--|
te r reauo itle ngrantpoorde	--⌫-⌫-|---⌫-|--⌫|----|---|-|
luiporlesmeru eil les qui auenues estoient .	--|--|--|----⌫---⌫--|--|------|-------||
celenuit se penam oltgalehout debel samblant	---|---|-|---|-⌫--|-------|-|--|-------|
fereetalmatin fetfere	---|-|-|----|--|---|
letres asesclers	-----||--|----|
et manda a tos	-|----||--|
lesbarons qui	--|-----|--|
deluitenoient ter requesichiercom il	-|--|-------|---⌫-|--|-|----|--|-|
auoien tsamorquilfuissenta luideuant	------⌫||---|-|-|-------||--|-----|
sorhametamenast chascun slesm eillors co nseil li ers	-----|-|------|-------⌫|--|-⌫------|--⌫-----⌫--⌫--|
quilporroi t auo iro u	-|-|------⌫|---⌫-|-⌫|
o udecheuali ers	-⌫|-|-------⌫--|
apre senuoiaunes letres al roi artusi	----⌫|-----|---|-----|-|--|---|-|
limandeetprie	-|----|-|---|
comas onseignor et	--||-⌫-|------|-|
asonamiqui ll i en uoit lesplussages	|--|--|-|-⌫|-⌫|--⌫---|--|---|----|
cler s desaterreetce ls	----⌫|-|-|----|-|--⌫-|
meismesqui	------|--|
son songel i	--|----|-⌫|
au o ient descouertkaril en	--⌫-⌫---|--------|--|-|-|
aen cest pointgreignormestier quiln auoit	|-|---|----|-------|------|-|-||----|
onques eu.	-----|-||
sisetai storelic ontes	-|-|---⌫-|--|-|-⌫----|
d egalehou t e t desoncompaignon	-⌫|-------⌫|-⌫|-|--|---------|
etret ornealroiartu	-|---⌫---|-|--|---|
eta laroineg eni eure.	-||-|----|-⌫---⌫---||
li contesqu eli rois artus	-|-----|--⌫|-|---|----|
seiorn oi ten c elt ermine	------⌫--⌫|-|-⌫-|-⌫-----|
a kamaa lot et cildescend i	|-----⌫--|-|--|-------⌫|
quilesletresgale houtotaporteessiles	--|--|-----|----⌫---|-|-------|-|--|
r ecut liroisamoltgrant ioie etla	-⌫---|-|---||---|----|---|-|-|
roineetladamedemaloauten	----|-|-|---|-|------|-|
furentlieessortosles autres .	-----|----|--|--|--|-----||
maisn edemo rapaslonguement quelo rioie fu a	---|-⌫|----⌫-|--|---------|--|--⌫|---|-||
g rantire cha ngieekar	-⌫---|--|---⌫----|--|
la ou limessages otconteeslesno ueles	-|-|-|-------|-|------|--|--⌫----|
alr oi d esc endi	-|-⌫-|-⌫---⌫---|
u nedamois e le	-⌫-|------⌫-⌫-|
laiens etuint d euantle roi	-----|-|---|-⌫----|-|--|
m oltfierementlaouilseoitentre sescheualiers.	-⌫--|--------|-|-|-|----|----|--|---------||
etceleot grant rotede	-|---|-|----|---|-|
gen ta pres lietfu rentbien	---⌫|-⌫---|-|-|--⌫---|---|
que cheualiersquese riansplusde	--|---------|--|--⌫----|---|-|
trentetos de sa	-----|--|-|-|
compai gnie.	------⌫---||
lad amoiselefu d egra n tbialte	-|-⌫-------|-|-⌫|---⌫-⌫|-----|
deuantleroimolt	-----|-|--|---|
acesmee etotcot eetmantel	------|-|-|---⌫|-|-----|
demoltriche drapdesoi eet	-|---|----|---|-|---⌫|-|
aunetreceet la	|--|----|-|-|
t recef ulong ueet	-⌫---|-⌫|----⌫-|-|
grosseluisant	-----|------|
etquant li cheualierle	-|----|-|--------|-|
uo ientu enir	--⌫---|-⌫---|
silif ontu oi en e	-|-|-⌫--|-⌫--⌫|-⌫|
haut ba ron qui en	---|--⌫--|--|-|
es tant nesoit	--⌫---|-|---|
