moutparfugente c reature	---|--|-|----|-⌫------|
qu illi fe ist c est	-|-|-|--⌫--|-⌫--|
etcesteangoissedescouurir	-|----|-------|---------|
athistua imes ieluoi bie n	----|-|-⌫---|-||--|---⌫|
enquelma niere n en sairie n	-|---|--⌫----||-|--|---⌫|
bienle connois	---|-|------|
au baaillier	-|--------|
a ugeun er et	-⌫|----⌫-|-|
a uueil l ier	-⌫|----⌫-⌫--|
assouspirsetau sou uentplaindre	-|-------|-|-|---⌫---|-------|
alacoulorquete	|-|-----|--|-|
uoi taind re	--|-----⌫-|
m out par te	-⌫--|--|-|
uoi so uuent changi er	--|--⌫----|------⌫-|
ier efui iadeto nmestier	-|-⌫---|-|-|--⌫|------|
porce men uoisaperceuant	--|-||-|---|---------|
carme de scoeure tontalant	--|-|--⌫------|--|-----|
foiparlacom pai gnie	--|--|-|---⌫---⌫---|
quie ntrenouse stestab lie	--|-⌫---|---|-⌫-|-----⌫--|
etpariceleloiaute	-|--|----|------|
que liuns alautre porté	--|-|--|||----|-----|
cuiai mestune lcelerpas	--|--⌫--|-|-||----|--|
querraiquetul	------|--|-||
so uscie lnen anesune femm e	--⌫-|---⌫|--||--|--|----⌫|
pourene richeeni cest	----|-|----|-|-⌫---|
dameme schinene pucele	---|--⌫-----|-|-----|
tant preu stant sage	---|----⌫|---|---|
ne tantb el e	-|---|-⌫--⌫|
setumedis quetunel	-|-|-|--|--|-|-||
confo rtetoiquemout	-----⌫--|--|--|---|
athisres pontetdititant	----|---⌫---|-|--|----|
setusa uoiesmontalant	-|-|--⌫----|--|-----|
tu meuodro iesmout tost mal	-|-|-----⌫--|---|---|--|
ne sontm ie tuithomme igal	-|---|-⌫-|---|----|---|
pro c elias apresrespont	---⌫-⌫----|----|------|
tuitlihomme dun	---|-|----||-|
cuernesont	---|-|---|
maisie e t	---|-|-⌫|
tuso mmes tout un	-|--⌫---|---|-|
nostrecor ages ontcommun	-----|---⌫--|-⌫--|-----|
semedis o iesuerit e	-|-|---⌫-⌫--|-----⌫|
ie f ero ietauolent e	-|-⌫---⌫-|-|------⌫|
semege hisoieston	-|-|--⌫------|--|
estoitma mereom asu er	-----|-|---||-⌫|--⌫-|
s itendeuroies tua id ier	-⌫||-|-------|-|-⌫--⌫--|
iamed onnastutamoillier	-|-|-⌫----|-|-|-------|
parfemmequ	--|----|-|
engen drastnushom	-----⌫----|--|--|
ne tepuis rend re	-|-|---|----⌫-|
quant cilot	----|--|-|
sasereurnommer	-|-----|-----|
ne se potp uisam esurer	-|-|--|-⌫--|--⌫-----|
en pl ourantd ist gaiet e anon	-|--⌫-----|-⌫--|-----⌫||--|
celemerendroit ga rison	---|-|-------|--⌫----|
gaiete merendroitla u ie	-----|-|-------|-|-⌫-|
seleuoloit	|--|-----|
estr emamie	----⌫||---|
proc el i asde ioie a	----⌫--⌫-⌫-|-|---||
netesma ierf aitil amis	-||----⌫--|-⌫--|-|---|
soieshaitiésne gesi rplus	----|-------|-|----⌫|---|
fai belsamblantetlieuesus	--|--|-------|-|----|--|
etsi matent	-|-||----|
po renquerre de son	--⌫|-------|-|--|
toinulboinpensse	--|--|---|-----|
mieus e naur as tauolen te	----|-⌫|---⌫-|-|-----⌫-|
et seleniauoitsoncuer	-||--|||----|--|---|
ie li metrai	-|||-----|
queleestm a	-|--|--|-⌫|
sel enenueult fair epor	|--⌫||-|----|----⌫|--|
e l e n fera auques po r	-⌫|-⌫|---|-----|--⌫|
seleonqu esnulsam blanttefist	|--|----⌫-|--|---⌫----|-|---|
oil dun gantetsime	--||-|---|-|-|-|
etestr ain tson mantel uer ss oi	-|----⌫---⌫|--|-----|---⌫|-⌫-|
pui ssel reclotencontre	---⌫|-||-----|-------|
maisne saim i e qu	---|-|--|-⌫-⌫|-|
uersathisnanuledef fens se	---|----|||---|---⌫----⌫-|
son cuerau oittornéuers lui	--|---|--⌫--|-----|---|--|
mou tl oiaument	---⌫|-⌫-------|
s aimentandui	|-----|----|
procelias uin t agaie te	--------|---⌫||----⌫-|
a mor est oitaffli cte	-⌫--|---⌫--|-----⌫--|
amorslauoittrou ueefier e	----||----|----⌫--|----⌫|
maisorlami s	---|-|||--⌫|
asa maniere	|-|------|
orestsorlis alume soeur e	-|--|--|-||----||----⌫|
preus es tamors quisi recoeure	----|--⌫|----|--|-|-------|
del plusfaible	--|---|-----|
faitleplusfier	---|-|---|---|
plusforthumilier	---|---|-------|
gaiete uo ituenirson fre re	-----|--⌫-|----|--|---⌫-|
quinestpasfierene amer e	--||--|--|----|-|----⌫|
deboncorage	-|--|-----|
fist un ris	---|-|--|
auq uesporl uipluspor	---⌫--|--|-⌫-|---|--|
liunsamo it moutlautre asses	-|--|---⌫-|---||----|----|
quantproceliasf uentré s	----|--------|-⌫|------⌫|
apres cuidoitathis ueoir	----|------|----|----|
quantenlui ottout sonespoir	----|-|--|-|---|--|-----|
mais quantnelui tmieuenir	---|----|-||--⌫|--|----|
get aunp laintetunsospir	---⌫|-|-⌫----|-|-|-----|
l icuersli fautlisamblans	-⌫|----|-|---|-|-------|
pro celiasle s	---⌫-----|--⌫|
lis assie t	-||-----⌫|
b onem enta raisonlemist	-⌫----⌫--||-----|-|---|
dema nda lietsienquist	----⌫--|-|-|-|------|
belesuerdo u cechierea mie	---|---|--⌫-⌫-|-----|-⌫--|
enmen tésu ous	-|---⌫---|-⌫--|
queus m ausestcequisiuous	----|-⌫--|--|-|--|-|---|
uo strebiautech ietetabaisse	--⌫---|-----|--⌫--|-|------|
uostres genscor suostressamblans	------|---|---⌫|------|-------|
qu imoutest	--⌫|---|--|
biaus etauenans	----|-|------|
u ostrecoulo rfreschee tnouuele	-⌫----|-----⌫|------|-⌫|------|
quitant estoite tf r escheetbele	--|---|-----|-⌫|-⌫-⌫----|-|---|
uoitaindreetm uersimpleme nt	--|------|-|-⌫--|--------⌫-|
en uostr euisespessement	-|-----⌫|--|----------|
carmeditesquelmalaués	--|-|----|---|--|----|
iasuiiemout	-|--|-|---|
uostrepriués	-----|------|
quega rison	--|--⌫----|
uousenquerrai	---|-|------|
e tdecestmal	-⌫|-|---|--|
bienuousgar rai	---|---|---⌫--|
iecuittantest reu ostre amis	-|---|---|---⌫-|-⌫----|---|
souscieln ate r re ne pais	---|---|||--⌫-⌫-|-|---|
quenencerchasse tout lemont	--||----------|---|-|---|
e tles mecinesquii sont	-⌫|--|------|--||---|
queieneten quieresa nte	--|-|-||--⌫-----|--⌫--|
maisquemed i es	------|-|-⌫-⌫-|
setumeg ehiston	-|-|-|-⌫---|--|
certestuf e ras moutq uesage	-----|-|-⌫-⌫--|---|-⌫-|---|
dilem oi et	-|-|-⌫-|-|
i elporquerrai	-⌫||---------|
entelm anieret egarrai	-|--|-⌫-----|-⌫|-----|
gaie t es etutsise tarda	----⌫-⌫|-⌫|--|-|-|----|
e tachi efde	-⌫||---⌫-|-|
pieceparl a	----|----⌫|
ensouspirantapresrespont	-|---------|----|------|
tout esleschosesdecest	----⌫-|--|-----|-|---|
quison tlee s dessouslalune	--|---⌫|---⌫|------|-|---|
ne megarroitne	-|-|------|-|
maisqu eune	------⌫|--|
u n echose me	-⌫-⌫|----|-|
garroitbien	------|---|
touteslesautres	-----|--|-----|
nepri srien	-|---⌫|---|
proceli assep orpen ssa	-------⌫-|-|-⌫-----⌫--|
de la paroleli	-|-|-----|-|
quathis li ramentut	-|----|-|-------|
et dumantello rss	-|-|-----|--⌫-||
sue rg a ie tecarsoiesose	---⌫|-⌫-⌫--⌫-|--|----|--|
di moigehis iceste chose	-|--|----|-----|----|
de scoe ure toisil eme nomme	--⌫----⌫--|--|-|-⌫|-|----|
carentout lemondenahom m e	--|-|---|-|----|||---⌫-⌫|
tantsoitriches nedux neco ins	---|---|-----|-|--|-|--⌫--|
que tu n en	--|-||-|
aiestous tesboins	---|---|--|----|
tu neldo is p asuersmoi	-|-||--⌫-|-⌫-|---|--|
osen o mmer	--|-⌫-⌫---|
iel dout porto ietlais	-||---|--|--⌫|-|---|
de hon t e	-|---⌫-⌫|
cest echose	----⌫|----|
nommelamoiceest	----|-|--|-|--|
a cest motacouuert sonuis	|---|--||------|--|--|
arrierechietto utepasmee	------|----|--⌫--|-----|
quant elreuint sis	----|-|-----|-||
por c equauoi t s i enapert	--|-⌫|-|----⌫|-⌫|-|----|
so ncour a ge	--⌫|----⌫-⌫-|
tout d escou uert	---|-⌫-----⌫---|
et asonfrereauoitgehi	-||--|----|----|---|
quauo itpour sonami	-|---⌫-|---|--|--|
m alfu dudireetpisdu	-⌫-|-|-|---|-|--|-|
desyy doit on le	--|-|---|-|-|
meill ortraire	-----⌫-|-----|
palistdehonte et de uintmorte	-----|-|----|-|--⌫---|----|
proceliasle reconforte	--------|-|---------|
ne t e smaier	-||-⌫-----|
faitilgaite	---|-|----|
cestlachosequ e	|--|-|----|--⌫|
se tuai mes mo ncompaignon	-|-|--⌫--|--⌫|---------|
ia niaur a ss e	-|||---⌫-⌫|-⌫|
ho nnorno n	--⌫---|--⌫|
iesui mout liesde c esteamor	-|--|---|---|-|-⌫---|---|
tu en au rasioie	-|-|--⌫--|---|
o rte lieu ebel	-⌫|-|----⌫|--|
s amblant fai	-⌫------|--|
oluisilamenrai	|--|-||------|
ath isuoitbien qui	---⌫-|---|---|--|
l atendoit	|-------|
enlafreour estoit	-|-|-----|-----|
si liadit mout doucement	-|-||--|---|--------|
compainsne soies en torm ent	-------|-|----|-|----⌫--|
uien auecmo i ne	---|---|--⌫|-|
metra ie s br astamie	-----⌫|-⌫|--⌫-||---|
quitaime assesde	--||---|----|-|
tulau e r rascortoi s eetsage	-|-|-⌫-⌫-⌫--|------⌫-⌫|-|---|
parole aliqu ier li s	-----||-|--⌫--|-||
descoeur e ta dol our	--------⌫|-|---⌫--|
sacheslebienquetul	-----|-|---|--|-||
sele requiers	-|-|-------|
ia nifaudras	-|||------|
et see lea ho nt e	-|-|-⌫-||--⌫--⌫|
ia nensoies	-||-|----|
enmal effroi	-|--|-----|
setuletroeuesauant fiere	-|-|-|------|----|----|
debelemaniere	-|---|------|
seleestfiere soiesdoutés	|--|--|----|----|------|
s est saluagesoiespriués	|--|------|----|------|
tro euesfranche etbonne	---⌫---|------|-|----|
damors lesprentamor lidonne	|----||-----||---|-|----|
s etulidista	-⌫|-|-|--|-|
u ers toi auram ei llorpenss e	-⌫--|--|---|-⌫--⌫---|-----⌫|
de bonpueton lefelonfaire	-|--|---|-|-|----|----|
etlef elo nabienretra ire	-|-|-⌫---⌫||---|-----⌫--|
at hisbonementliotroi e	--⌫--|-------|-|-----⌫|
feracequilli	---|-|-|-|-|
c est eparole fubiendite	-⌫---⌫|-----|-|---|---|
ensac ha mbregis oitgaite	-|-|-⌫--⌫---|---⌫--|----|
quia tendoit et esgardoit	--|-⌫------|-|--------|
pa r ouathi sueni rdeu oit	--⌫|-|----⌫|----⌫|---⌫--|
etse ses fre reslamenoit	-|-|--|---⌫--||------|
otd itquil l	-|-⌫-|-|-||
lass efaitelece	----⌫|---|--|-|
estauisneu endr apas	--|---|-|-⌫----⌫|--|
procelias m	--------||
a g rantmalfait	|-⌫---|--|---|
q uimou t ma empir ié monplait	-⌫-|---⌫|||-----⌫--|--|----|
qu ilmedeuoit	-|-|-|-----|
lorsreg arde	---|---⌫---|
sesuoitentrer	|-|---|-----|
parles mainsandui setenoient	--|--|----|----|-|-------|
am erueilless entresa mbloien t	|-⌫--------||-------⌫-------⌫|
fors ta ntquepor le	---|--⌫----|--|-|
porleuei llierporle	--|-|---⌫----|--|-|
estoit unpoi	-----|-|--|
pales athis	----|----|
etune plaieauoiteluis	-|--|----|----|-|--|
quilia uint agrant	--|-|-⌫---||----|
mer uei lle	---⌫---⌫--|
laplaielesde sappareille	-|----|--|--⌫----------|
si nestoientpas sisambl ant	-||-------|--|-|-----⌫--|
comeilestoientdeuant	---|-|-------|-----|
qu antgaie te le s uituenir	--⌫--|----⌫-|--⌫|--|----|
ge ta un souspir	--⌫-|-|------|
cefait a morsetsa	-|---|-⌫---|-|-|
ensone sta n tuerseulssedrec e	-|--|-⌫---⌫-⌫|---|---|-|----⌫|
ci ll apri strentpa rles	--⌫|-⌫|---⌫-----|--⌫|--|
proceliasnestpasuilains	--------||--|--|------|
fure ntassi sel	----⌫-|----⌫|-|
toutsoncorage	---|--|-----|
belefaitil entendés	---|---|-|--------|
decest h ommequeie ciuoi	-|---|-⌫---|--|-|-|--|
por uoiruo us di	--|---|--⌫-|-|
aiel mondetel	-|-|----|--|
cistmegariiadelamort	---|-|---|-|-|-|---|
et sime fists ibonc on fort	-|-|-|---|-⌫|--|-⌫--⌫---|
mo illierqu	--⌫-----|-|
etqu e demortmer espassa	-|--⌫|-|---|-|-⌫------|
parluioiie mesuole ntes	--|--|-|-|--|----⌫---|
orestpor moidesherite ́ s	-|--|--|--|---------⌫-⌫|
ore sten luid amor li fe us	-|-⌫-|-|--||---|-|--⌫-|
mes tie ruo usest aam b ede us	---⌫---⌫|--⌫-|--||--⌫-⌫---⌫-|
q uetu r aiesde l uimerci	-⌫-|-|-⌫---|-|-⌫-|----|
g aieteb eleie ten	-⌫----|-⌫--|-||-|
tesdru settu	--|---⌫|-|-|
ueraiement sanstricherie	---------|---|--------|
iaplus ie l tecomant	||---|-||-|-----|
pens sedel uidoreenauant	----⌫-|-|-⌫-|----------|
eulsse depart	---|-|-----|
enunechambredaut repa rt	-|--|------||---⌫-|--⌫-|
ua itparlera cardi ones	--⌫-|-----||-----⌫---|
amorsonfes	---|--|--|
prist e ntr eses bras	----|-⌫---⌫|--|---|
mainent l orioie	------|-⌫-|---|
etlorsoulas	-|--|-----|
gaiete etathis s ont ens amble	-----|-|----|-⌫--|---⌫----|
liuns souspire l autr etram ble	-|--|-------||----⌫|----⌫--|
l iun snoselaut re	-⌫|--⌫||--||---⌫-|
a nduisepren nent atr am b ler	-⌫---|-|----⌫---||--⌫--⌫-⌫--|
unegr a ntpieceens amble son t	--|--⌫-⌫-|----|---⌫----|---⌫|
nusneparolenerespont	--|-|-----|-|------|
athispar olep remerains	----|---⌫--|-⌫--------|
ensoncuerd it	-|--|---|-⌫-|
moutsuiuilains	---|--|------|
fou s e tcouars etlen s	---⌫|-⌫|-----|-|---⌫|
por cuisui ie uenusceens	--|--|--|-|----|----|
deioust em o i uoicil a	-------⌫|-⌫-⌫|--|-|-⌫|
por cuimes cuers	--|--|--|----|
muertet chancele	----|-|-------|
lad ouce rien lado uce	-|-⌫---|---|-|--⌫--|
aquipremerains	|--|---------|
parler nose	-----||--|
iasuiie hons ferai samblant	-|--|-|---|----|-------|
que iedoibien parlerauan t	--|-|--|---|-----|----⌫|
etlafemmesi se	-|-|----|-|-|
d oitt aire	-⌫--|-⌫---|
etiedoi comencier	-|-|--|--------|
lorscuidadire	---|----|---|
oeurela boucheet reclot	----|-|-----|-|-----|
cefisthont equesi	-|---|----⌫|--|-|
en plaignant dis tdieus	-|--------|---⌫|----|
uoussau tgente	---|---⌫|----|
po rcuimescu ersestentormente	--⌫|--|--|--⌫--|--|-|-------|
soffrir t e lfais	------|-⌫-⌫|---|
uiure segelp ort mais	----|-|-||-⌫--|---|
auostreamormestuetpensser	|-----|---||-----|------|
souuent ueillie retgeuner	------|-------⌫|-|-----|
ainsmaisnesoiqueamorsfu	---|---|-|--|--|----|-|
ceestdoloursquitolt	-|--|------|--|---|
demoim erci	-|--|-⌫---|
debon corage le	-|--|-----|-|
seuou suoléstres biengarrai	-|---⌫|-----|---|---|-----|
ou s ecenon	-|-⌫|-|--|
seieneuousaien	-|-|-|---|-|-|
n auraine mo il lierne	|----|-|--⌫--⌫---|-|
orestdemoi au ostre	-|--|-|--||-⌫----|
aicestm ot respontgaite	|----|-⌫-|------|----|
parfoiathisseuous	--|--|----|-|---|
mescoragese tmes	--|------|-⌫|--|
nere stmie	-|--⌫-|--|
en moutgra ntdeduit	-|---|---⌫-|-----|
trau ailet ior	----⌫--|-|--|
poru ou sueillent souuent	--|-⌫--⌫|-------|------|
po ruo stre amor souue ntm ed ueil	--⌫|--⌫---|---|-----⌫-|-⌫|-⌫---|
queprim es uo us ui	--|----⌫-|--⌫-|-|
ne uousmisonqu es en	-|---|--|----⌫-|-|
penssésamisqu eie uousai e	-------|---|--⌫|-|---|--⌫|
elcuer maués	-|---||----|
fa ite telpla ie	--⌫--|--|---⌫-|
dont ie sui m o ut eng rant	---|-|--|-⌫-⌫-|-|-⌫---|
sinest d esp eenede	-||--||---⌫-|-|-|
bi aus dousamis	--⌫--|---|---|
cedist gai te	-|---|---⌫-|
do reenauantsuiuost requite	--⌫--------|--|----⌫-|----|
uous prinemoub lie ́s	---|--|-||---⌫---⌫-|
uous maurés	---||-----|
b ie n s eu ou suolés	-⌫--⌫|-⌫|-⌫--⌫|-----|
pren ésme af emmequerésmoi	----⌫--|-||-⌫---|------|--|
si u ous getésde cest effroi	-|-⌫--|-----|-|---|-----|
du récestedolours	--⌫--|----|------|
en aipro cha in	-|-|---⌫---⌫-|
mor irmestuet	---⌫-||-----|
hast iue ment	----⌫---⌫---|
d esieu spleure	-⌫-|---⌫|-----|
mout te nd rem en t	---|--⌫--⌫---⌫--⌫|
mais uersuousco uuri r	---|---|---|--⌫----⌫|
tou temes tue tadescouu r i r	---⌫-||--⌫---⌫||-------⌫-⌫-⌫|
cepoi semo i	-|---⌫-|--⌫|
ienenpu is	-||-|--⌫-|
ensoustieng trop	-|--------|---|
pesantfais	-----|---|
athiscom enceasouspir e r	----|---⌫---||-------⌫-⌫|
quant iluitgaieteplorer	----|-|--|-----|-----|
pi tieli prist	--⌫--|-|----|
de lapucele	-|-|-----|
sor lacoulor frescheet nouuele	--|-|-----|------|-|------|
c heent leslermescontreual	-⌫----|--|-----|--------|
parle uis age to utaual	--|-|---⌫--|--⌫-|---|
bele faitilmadouc eamie	---|---|-|-|----⌫|---|
se li gransdi eu sn euous oublie	-|-|----|--⌫--⌫|-⌫|---|-----|
mo utdes ircest	--⌫-|---⌫-|---|
mari em ent	----⌫--⌫--|
seneuousaipro chaine ment	-|-|---|-|---⌫------⌫---|
dema uienest nus	-|-|--||--|--|
plou ran ts entrebais entyyfo is	----⌫---⌫||---------⌫--|-|--⌫-|
mout lord eliteli	---|--|-⌫----|-|
moutlor est bonsli	---|--|--|---|-|
ra conter s	--⌫------⌫|
amorsle siusti ce	----|--⌫|-----⌫-|
esuouspro celia s qu iuient	-|---|---⌫-----⌫|--⌫|----|
q u e moutgra nt p ieceauo it tardié	-⌫-⌫|---|---⌫-|-⌫---|---⌫-|------|
biens e po o ite streacointié	---|-⌫|--⌫-⌫-|-⌫---|--------|
bienporen tdire	---|-----⌫|---|
iousteeuls	-----|---|
serasis t enunli t	-|-----⌫|-|-|--⌫|
puislor demande conuous uait	---|--|------|--|---|---|
co mentu ou ssambl e	--⌫---|-⌫--⌫|-----⌫|
decestpla it	-|---|---⌫-|
quiu ous metroitaucouenir	--|-⌫--|------|-|------|
porroitluns	------||--|
lautrecons entir	|----|----⌫----|
ath is lirespont	---⌫-|-|------|
ianiauro it nulmaltalan t	-|||----⌫-|--|--------⌫|
mout iauroitdouc e mellee	---||-----|----⌫|-----|
ia nenseroitt erregas t ee	-||-|-----|-⌫---|---⌫-⌫-|
compainsdist procelias	-------|---|--------|
ces techose nest	---⌫-|----||--|
iesu i moutl ies de	-|--⌫|---|-⌫--|-|
cesteam or	----|--⌫-|
te ne ́sieuo usdoingmas ero ur	--⌫--⌫-|-|--⌫-|----|-|-⌫---⌫-|
etla moitiedemonregne	-|-|-----|-|--|----|
uousmotroiastes uostrefemme	---||---------|-----|----|
quant u ousme ue isteslanguir	----|-⌫--|-|--⌫----|------|
ne uols istesma mort soffrir	-|----⌫----|-|---|------|
mauieque del	-|--|--|--|
uousren si etantd e	---|---⌫|-⌫|---|-⌫|
guerre don	------⌫--|
ferons cestma riage	-----|---|--⌫----|
c illar ecut de boncorage	-⌫-|-|-⌫---|-|--|-----|
et celelu i	-|---|--⌫|
mout douce m ent	---|-----⌫-⌫--|
puis s entrebaisent bonem ent	---||-----------|-----⌫--|
assamb léor ent lor am our	------⌫--|--⌫--|--|--⌫--|
mai s ains orent	---⌫|---|----|
mou t dedo lour	---⌫|-|--⌫---|
liu nspor l	-|-⌫-|--||
aut reains quecefust	---⌫-|----⌫--|-|---|
enc oisquath is	---⌫----|---⌫-|
gaiete eu st	-----|--⌫-|
enf ur entpl usorescu fra i t	-|-⌫--⌫--|--⌫---|---|---⌫-⌫|
etmaintuassal alamorttrai t	-|----|-----||-|---|----⌫|
partis es ontdelapuce le	----|-⌫|-⌫--|-|-|----⌫-|
enm ile lits e sis tlab ele	---⌫|-|--|-⌫|---⌫|-|-⌫--|
cilse nmo n teren t el pal ais	--||-⌫|--⌫-⌫-----⌫|-|---⌫--|
gaieteles cardiones	-----|--|--------|
en estaleesiliconte	-|--|---|-|-|----|
enuers linule honte	-----|-|---|----|
maisuerslicou rir	---|---|-|---⌫--|
lamo rl afaiteresba udir	|---⌫|||----|-----⌫---|
toutli aditqua nquilontfet	---|-||--|---⌫--|-|--|--|
a lautre poisee tli d esplai t	||----|----|-⌫|-|-⌫------⌫|
qui touteuo ie athis	--|-------⌫-|----|
maisporgaietesen c eloit	---|--|-----||-|-⌫----|
proceliasuin t aso np ere	--------|---⌫||--⌫|-⌫--|
eta la roinesa m ere	-||-|----|-|-⌫--|
toute loeurel or a c on tee	----||----|-⌫-||-⌫--⌫--|
a i nssi com il	-⌫-⌫---|--|-|
auoit donnee	----|-----|
ason comp a ignon	|--|----⌫-⌫----|
puislor a geh ie	---|--||---⌫-|
queliu nsenuersl aut reauoit	--|-|-⌫-|-----||---⌫-|----|
etcom erentd amorsdes t r oit	-|--|----||----|---⌫-⌫-⌫--|
aicestmotrespon dieu as	|----|--|------⌫-|--⌫-|
ielaidon nee	-||-|---⌫--|
auroi bila s	-|--|----⌫|
plusadunanq uilleiura	---|||-|-|-⌫|-|-|---|
agra ntanuisen partira	|---⌫-|---||-|------|
rich eshonsestdehautparag e	----⌫-|---|--|-|---|-----⌫|
silaimemout en son co ra ge	-||---|---|-|--|--⌫--⌫-|
mo utest de	--⌫-|--|-|
grant eff or ceme nt	----|---⌫--⌫----⌫-|
etpuet osoi menermou tge nt	-|---||--|----|---⌫|--⌫-|
forsestdebile d	---|--|-|---||
quit ousiou rsestapris de	--|-⌫--|---⌫-|--||---|-|
literm esuintquilladut prendre	-|----⌫-|---|-|-|-|--|------|
hastiuementafa i tporprendre	----------||--⌫-⌫|---------|
c estemarinede lor	-⌫---|-----|-|--|
ettendrepaueillons	-|-----|---------|
asig rant ioie la q uerr a	|-|-⌫---|---|-|-⌫----⌫|
seielidoinsil la prendra	-|-|-|----|-|-|------|
se nelirent gaieteapre ndre	-|-|-|---|-----||---⌫---|
m el couendr arendre	-⌫||-------⌫|-----|
tant amenra grantge nt o	---|-----|----|--⌫-||
fairepor roient sans	----|---⌫-----|---|
et f ort domageencesteterre	-|-⌫--|-----|-|----|----|
c isreg nesnamestier d eguerre	-⌫-|---⌫--|||------|-⌫|-----|
r ommesiest nouu ele	-⌫---|-|--|----⌫--|
etla contreeentourdesclose	-|-|------|-----|-------|
mestieren ces t	------|-|---⌫|
d encomb rementnedanemis	|------⌫-----|-||-----|
celiiu raiqueli donroi e	-|-|--⌫--|--|-|------⌫|
en uersl i mep ariurero ie	--⌫---|-⌫|-|-⌫--------⌫-|
ie fero ie quedesloia us	-|----⌫-|--|-------⌫-|
ne nepo r roieestrefeaus	-|-|--⌫-⌫---|----|----|
ensorque tou tcedit la letre	--------⌫---⌫|-|--|-|----|
sendoit e ntremetre	|-|---|-⌫--------|
sire cedistprocelia s	---|-|---|--------⌫|
cest maria genotroipas	---|-----⌫-||----|--|
i ene re mie ences tpais	-⌫||-⌫-|--|-|---⌫|---|
par le cons eilde sesamis	--|-|----⌫--|-|--|---|
doito nsonfil	---|-⌫|--|--|
f emme do nner	-⌫---|--⌫---|
etsafillea ussimarier	-|-|----|-⌫---|-----|
pa r cel efoiqueied oi uous	--⌫|---⌫|--|--|-|-⌫-|---|
neparlesdieusqui s o nt	-|--|--|----|--|-⌫-⌫-|
ain zen u erronsesc uspercier	---⌫|-|-⌫-----|---⌫-|------|
etoc irr emaint cheua lier	-|--⌫---⌫|----|-----⌫---|
quegaietes oit	--|-----|-⌫--|
c ompa ignon do nnee	-⌫----⌫----|--⌫---|
a uoirledoit quele estsamie	-⌫---|-|---|-|--|--||---|
ouieperdraidu cor s	-|-|------|-|---⌫|
iarottelcomp aigni ea	-|--|--|----⌫-----⌫||
sigra nt compaign ie et t elfoi	-|---⌫-|--------⌫-|-|-⌫-|--|
de s amo illierque	-|-⌫|--⌫-----|--|
quilmotro iatantqu elest moie	-|-||----⌫-|-----|-|--|---|
seie sonpre uorneliqu ier	-|-|--|---⌫|-|-|-|--⌫--|
dontm ed oitilpouauoirchie r	---|-⌫|-⌫--|-|--|----|----⌫|
tantfist por	---|---|--|
moi ce sach iés bie n	--|-|----⌫---|---⌫|
l ifaudroiederien	-⌫|-------|-|---|
unepieceont	--|----|--|
ains si so ffert	----⌫-|--⌫----|
ui ntqueliiour s iert	--⌫-|--|-|----⌫|---|
quebilasdo itsafemmeauoi r	--|----|--⌫-|-|----|----⌫|
lorss appareille	---||---------|
moutparfist bien	---|--|---|---|
sesnes garn ir	--|--|----⌫-|
et grans co mpaignies ue nir	-|----|--⌫--------|--⌫--|
desb arons et des	--|-⌫----|-|--|
cheu aliers	----⌫-----|
quepl us enotde yy milliers	--|--⌫-|-|-|-|-|-------|
mout parmenaolui g rant	---|--|---||--|-⌫---|
es nes entra mo utrichement	-|--|----|--⌫-|--------|
as ses p orta	--⌫--|-⌫---|
cari lauoitmoutgrant tresor	--|-⌫|----|---|----|-----|
cheuauset arme se t uiande	------|-|----⌫|-⌫|-----|
tantque nusdau lsplusnendemande	------|--||--⌫-|---||-|------|
enmers empaignent s ontbo nuent	-|--||---------||--|--⌫|---|
les nesqueure nt isnelement	--|--|------⌫-|---------|
bontansorent	--|---|----|
poreul s nag ier	--|---⌫|---⌫--|
onques n io rent	-----|||-⌫---|
e ncombrier	-⌫--------|
ne nulc ontrairepor decoiure	-|--|-⌫-------|--|-------|
leslet oiu re	--|-|-⌫---⌫-|
aancrente tsontarriué	-------|-⌫|---|------|
ayylieue s de lacite	|-|-----⌫|-|-|---|
b ilasafait sontref fichier	-⌫---||---|--|---|------|
etsescompaignons herbergier	-|--|----------|---------|
saten te fistfic hi eret ten dre	-|---⌫-|---|---⌫--⌫-|-|---⌫--|
etleriu ag eentorporpr end re	-|-|---⌫--⌫|----|-----⌫---⌫-|
lau e issiésp arlamarine	-|-⌫-⌫------|-⌫-|-|-----|
ta nte fum eedecuisine	--⌫--|---⌫-|-|------|
sont logi é	---|----⌫-|
f urent herbergié	-⌫----|---------|
a u roiestlanouuelealee	-⌫|--|--|-|------|---|
quaupo rt der ommeestar ri uee	-|-|--⌫-|-|-⌫---|--|--⌫--⌫--|
unegrant gent	--|----|---|
deterreestrange	-|----|-------|
mais nen sauo ns uoir	---||-|----⌫-|---|
ne mensong e	-|-------⌫|
secestfrolles	-||--|------|
l iro isdegipt e	-⌫|--⌫-||-----⌫|
p ornostre	-⌫-|-----|
gen t quiciabite	---⌫|--|-|----|
ar te t enging se	--⌫|-⌫|-----|-|
uou droitquerre	---⌫----|-----|
a l is sonsdece ste terre	-⌫-⌫--⌫---|-|--⌫--|----|
mais tostsauro ns	---|---|-----⌫-|
quel gentcesont	---|---|-|---|
uien nentquerre eto uuont	----⌫---|-----|-|-⌫|---|
es uousyymessagiersquiuiennent	-|---|-|---------|--|-------|
