chil quices	---|--|--|
miserfsont	-|---|---|
ie les cr ois	-|--|--⌫--|
plu s etaimeasseiz	---⌫|-|---|-----|
quecesquisu ntdeboneuie	--|--|--|--⌫-|-|---|--|
etuosasteisa	-|--|-----||
m oico ntraire	-⌫-|--⌫------|
distfausetezien epui splai re	---|-------|-|-⌫|---⌫|----⌫-|
choze coniedie	----|--|-|--|
i ene crois uos	-⌫|-|----|--|
ne n emefie	-|-⌫|-|--|
ilh faitmelhorau oirraison	--|---|-----|--⌫--|-----|
alpeorserf d ema maison	-|---|---|-⌫|-|-----|
kauosq uiaste z ueriteiz	||--|-⌫-|----⌫|-------|
ilmefaitmi esmes uolon tes	-|-|---|--⌫-|--|-----⌫--|
o rguezm esertet n ui t etior	-⌫----|-⌫|---|-|-⌫--⌫|-|--|
et h autet basli	-|-⌫--|-|--|-|
fonthon or	---|---⌫-|
che ualeri el	---⌫------⌫||
aimeetcroit	---|-|----|
orgu eslesfaitagrantdef roit	----⌫-|--|---||----|---⌫---|
lel ordespendre etautrage	-|-⌫-|--------|-||-----|
orgue s n e faitforcea	-----⌫|-⌫|---|----||
ache ualierne adespens	|---⌫-----|-||------|
orgueslorfait talhier l orgens	-----|--|---|------|-⌫-|---|
etlor auoir tolir etprendre	-|--|----|----|-|------|
or gueslor	--⌫---|--|
fai tlestorno is	---⌫|--|-----⌫-|
or g ues lor faittenir et batre	--⌫-⌫--|--|---|----|-|----|
lunfaitten iretl	|-|---|---⌫-|-||
aut reabatre	---⌫-|-----|
orgueslesfa itde ferarmer	-----|--|--⌫-|-|--|----|
orgueslo r fait	-----|--⌫|---|
grans donsdoner	----|---|----|
asmenestrez et	-|--------|-|
orgues lorf aitlesgrans c heuaus	-----|--|-⌫--|--|----|-⌫-----|
lun gaangnieret laut re	|-|--------|-||---⌫-|
orguesnelait c onteraperde	-----|-|---|-⌫----||----|
orgu esles f ai taremuier	----⌫-|--|-⌫--⌫||------|
robesues tirestroitcha uchier	----|---⌫--|------|---⌫-----|
etchaindreles riches chaintures	-|-------|--|-----|---------|
orgues les f ai tlesa uentures	-----|--|-⌫--⌫|--|-⌫-------|
parlepaisquer reetchac hier	--|-|---|----⌫-|-|----⌫---|
lunrecul erlautre auanch ier	|-|-----⌫-||----|------⌫--|
o rgues fa it lesmi rtreschauc hier	-⌫----|--⌫-|--|--⌫----|-----⌫---|
orgu esfait les gen sdepointier	----⌫-|---|--|---⌫|---------|
orgues faitles cha stiaus	-----|---|--|---⌫-----|
orgue s ne	-----⌫|-|
puet soff rir sonper	---|----⌫--|--|--|
o rguesfa itf aireleschiers dr as	-⌫----|--⌫-|-⌫---|--|-----|--⌫-|
huses a plois	----||----|
solersalas	-----||--|
orguesfa it uendreu airetg ris	-----|--⌫-|-----|-⌫--|-|-⌫--|
d elietoile etes tre	-⌫|--|----|-|--⌫--|
orguesfa it lesdamesauoir	-----|--⌫-|--|----|----|
kelesmaintinentmireoir	|---|---------|------|
pormiesloiere tpo rmie s	--|---|----|-⌫|--⌫|---⌫|
orgu es lor fai t le s robes	----⌫-|--|---⌫|--⌫|----|
porcors estr oitelarge porflans	--|---|----⌫---|----|--|----|
orgueslorfait chaindre lorflans	-----|--|---|-------|--|----|
decoroies aclousdarg ent	-|------||----||---⌫--|
o rgueslor faiten trela	-⌫----|--|---|--⌫--|-|
mos trerlorf ac esetlo rcors	---⌫---|--|-⌫--⌫-|-|--⌫|---|
tantqueuiuentniertorguesmors	------|-----||---|-----|---|
orgueslorfai t estre enuitez	-----|--|---⌫|----|-|----|
o rgueslor	-⌫----|--|
fa it les m antiazles	--⌫-|--|-⌫-----|--|
auoir etquer relessaf fr ans	----|-|----⌫-|--|---⌫--⌫--|
orgu esnelaitestreso f fra ns	----⌫-|-|---|----|--⌫-⌫---⌫-|
or gues lorfait por po itench ier	--⌫---|--|---|--|--⌫|-----⌫--|
orgues l orfait delf illachi er	-----|-⌫-|---|--|-⌫-|-----⌫-|
lor manchespor m i esasseoir	--|------|--|-⌫-⌫-|------|
org ueslor fai t aler	---⌫--|--|---⌫|---|
les dansesetlesb alori es	--|-----|-|--|-⌫-----⌫-|
mult eniaqu i	---|-|||--⌫|
d eholechinsquitro psont chier	-⌫|--------|--|---⌫|---|----|
o rgues fa i tlorcheuiaust rechier	-⌫----|--⌫-⌫|--|-------|-⌫------|
d egr ostrechoir spormies paroir	-⌫|--⌫-|--------⌫|--|---|-----|
orgueslo rfaithu uesauoir	-----|--⌫|---|--⌫--|----|
de soieaflorsdorud	-|---||----||-|||
mu lt se tientfer la use pren t	--⌫-|-|----|--|-||-|----⌫|
orgu eslelait les	----⌫-|-|---|--|
femm est ondre	----⌫-|-⌫----|
orgueslesfaitles gensrespondre	-----|--|---|--|---|--------|
lesfeloniesenriant	--|-------|-|----|
orgues lesfaitrire en	-----|--|---|---|-|
orgue slorf aitc ha piausporter	-----⌫|--|-⌫--|-⌫--⌫----|-----|
orguesl orfaitdautrui pa rler	-----|-⌫-|---||-----|--⌫---|
decedontriensn a monteaelles	-|-|---|----||-⌫----||----|
faitmaintepuceles	---|-----|------|
d autruimesdire et	|-----|------|-|
d espitier	-⌫-------|
orgueslor fait bla n sganschauchier	-----|--|---|---⌫-⌫|---|--------|
o rgues fai tp oures orguilheus es	-⌫----|---⌫|-⌫----|----------⌫-|
orgues lorfaitestrepon o ses	-----|--|---|----|---⌫-⌫--|
o rguesfaitfemesestre fieres	-⌫----|---|----|----|-----|
dorguesuiuent	|-----|-----|
to utesles xxx	--⌫---|--|--|
et irors az gensetde s cord es	-|----|-|---|-|--⌫-⌫----⌫-|
orguesnelait uen ira cordes	-----|-|---|---⌫-|-⌫-----|
cantliunsalautrem e f fait	---|-|--|||----|-⌫-⌫-⌫---|
or gue slestireorgue s les	--⌫---⌫|--|---|-----⌫|--|
orgu esne lait pa s	----⌫-|-|---|--⌫|
c heuauchier	-⌫---------|
un asne sa nstenchier	-|---|--⌫-|-------|
touz lis iec lesestpl ain sdo rg uel	---|-|-⌫---⌫--|--|--⌫---⌫||-⌫--⌫--|
i elede parsi	-⌫|-|--⌫--|-|
ialiwquilh n	||--|-|--||
atropqu ien am a i ns	|---|--⌫|-||-⌫-⌫-⌫-|
certe scestuoirsdistu er it eiz	-----⌫||--|----|---|-⌫--⌫--⌫--|
ca rparle mo ndeamolt	--⌫|--|-|--⌫--||---|
ki orguelhai me ntetmainti nent	-|------|--⌫--⌫-|-|------⌫---|
tou teloruiee t ensifinen t	---⌫-|--|--|-⌫|---|-----⌫|
lo rames sun t en	--⌫|---|---⌫|-|
a uent u re	-⌫----⌫-⌫-|
e t teziakin en	-⌫|--|||-||-|
ainsmai ntinent humilite	---|---⌫------|-------|
etca nt i lhsont	-|--⌫-|-⌫-|---|
dorgueltenté	|-----|-----|
h umilitezl esen retrait	-⌫-------|-⌫-|-|------|
hu mi litezles m eineet trait	--⌫--⌫----|--|-⌫---|-|----|
a de u seruiret honorer	|--⌫|-----|-|------|
humilit ezles faito rer	-------⌫-|--|---|-⌫--|
etlesf aitquerrelorpardons	-|--|-⌫--|-----|--|------|
humil itezf ait lesgrans dons	-----⌫---|-⌫--|--|----|---|
d oner acels q uiont	-⌫---||---|-⌫-|--|
humilitezfaitestre en songne	--------|---|----|-|-----|
les gens dautrui	--|---||-----|
honur po rter	----|--⌫---|
hum i litezfait deporter	---⌫-⌫----|---|-------|
cels qui lifon thonteet	---|--|-|---⌫|----|-|
humilitezn ese itut rage	--------|-⌫|--⌫-|--⌫---|
s orau t re	-⌫-|--⌫-⌫-|
dir e ne penser	---⌫|-|-----|
humili tezne laituanter	------⌫--|-|---|-----|
les bons des bienss i les ont	--|---|--|----|-⌫|--|--|
h umilit ezse nt	-⌫------⌫-|--⌫-|
autr u i fa i s	----⌫-⌫|--⌫-⌫|
portercant	-----|---|
ontmes ti er	--|---⌫--⌫-|
humilitezfait al mostier	--------|---|-|------|
les gensalerpormess e	--|---|---|--|----⌫|
humilitezn e l a itoir	--------|-⌫|-⌫-⌫-|--|
dau truiparler	|--⌫---|-----|
en mesdisant	-|--------|
humilitezf aittrair ea uant	--------|-⌫--|-----⌫|-⌫---|
lesgens c orgueus	--|---||------|
faitdespitier	---|--------|
humiliteznese it gaitier	--------|-|--⌫-|------|
h umilitez se seit	-⌫-------|-|---|
a p o udemes e tbie niu n er	|-⌫-⌫|-|--|-⌫|---⌫|--⌫-⌫-|
humilitezregardeenbas	--------|------|-|--|
humilitezfaitr endremas	--------|---|-⌫----|--|
lesp echiesde ua ntle	--|-⌫-----|--⌫--⌫-|-|
h umilitezestde	-⌫-------|--|-|
no b le estr e	--⌫-⌫-|----⌫|
et sise rt	-|-|--⌫-|
bie n piourde	---⌫|----|-|
humilitezaconte ali	--------|-----||-|
moinsk a un autrece li fait	----|||-|----|-|-|---|
religionsqui ne li lait	--------|--|-|-|---|
conterach oze	-----||--⌫--|
humilit ezalie	-------⌫-||--|
e tde bun air e le regart	-⌫|--⌫---⌫---⌫|-|-----|
hum ilitezfaitauoir part	---⌫-----|---|----|---|
enp ar adiset	-|-⌫--⌫---|-|
faitlauo ie	---|-|--⌫-|
n ec onuoie	-⌫|-⌫-----|
humili tezfist deusdes cendre	------⌫--|---|---|---⌫-----|
depar adis	-|---⌫---|
etlifistpren dre	-|-|---|----⌫--|
dedens lauirgecorsh uma i n	-----|-|----|---|-⌫---⌫-⌫|
etsof fritchautetfr oitetfaim	-|---⌫---|----|-|--⌫--|-|---|
humilitez lefistoffrir	--------|-|---|-----|
altempleet se	-|-----|-|-|
l emort p ornos	-⌫|---|-⌫-|--|
a racheter	|-------|
humilitezlifi stlauer	--------|-|--⌫-|----|
iuda sle trai t or	----⌫|-|----⌫-⌫-|
humilite zlif ait main tor	--------⌫|-|-⌫--|---|--|
f air eporc hels alitraire	-⌫---⌫|--|-⌫---||-|-----|
kiplusliont estécontraire	-|---|-|--|----|--------|
humil i tezaim e	-----⌫-⌫--|---⌫|
humil itez n a dorg uelcure	-----⌫---||||---⌫--|---|
hu milite z ne	--⌫------⌫|-|
seittenchie r	---|-------⌫|
h umili tezfai t atargier	-⌫-----⌫--|---⌫|-------|
lesueni an c es conporo itrendre	--|----⌫--⌫-⌫-||-|----⌫-|-----|
etfait souentbienpor	-|---|-----|---|--|
humilitez estuertueuse	--------|--|--------|
humi lite znestpasoiseuse	----⌫----⌫||--|--|------|
humil itez faitdeu amer	-----⌫---|---|--|---|
humili tezna poin td	------⌫--|||----⌫||
humulitezfait ess achier	--------|---|---⌫-----|
seuent hu milier	-----|--⌫-----|
humili tezseit biens offrir	------⌫--|---|---|-⌫-----|
el eselai t batre et	--⌫|-|---⌫|----|-|
et sinepre ntnule ue nian ce	-|-|-|---⌫-|---|--⌫----⌫-|
humi litezfaitle	----⌫----|---|-|
fo rsdautr uipechies	--⌫-||----⌫-|------|
humilite zuaut assesmi ez	--------⌫|---|----|--⌫-|
ken e f aitorfins neargens	-|-⌫|-⌫--|-|---|-|-----|
en liaquerr e gist	-|-|------⌫|---|
grans sens	----|---|
etsile pert om multlegier	-|-|-|---|-|---|-----|
kinese s eit dor guelgaitier	-|-|-|-⌫--||--⌫---|------|
nusnes e puetdistfausetez	--|-|-⌫|---|---|-------|
d o rgu e l gaitier	|-⌫---⌫-⌫|------|
cari lh esttez	--|-⌫-|--|--|
quilse it toute gens	-|-|--⌫-|----|---|
chasconsenueutsapa rt auo i r	-------|-|---|-|--⌫-|---⌫-⌫|
uuetdeligarder	---|-|-|-----|
iefaisauariscegarder	-|---|-------|-----|
leschozesqu eon doitdespendre	--|-----|--⌫|-|---|--------|
aifait tot	-|---|--|
entreprendre	-----------|
le siecle pormoihonorer	-|-----|--|--|------|
auariscefaitpariurer	-------|---|-------|
d euzpormalhie	-⌫--|--|-----|
auarisceu u etto tauoir	-------|-⌫-⌫-|--⌫|----|
dele zli ne stnus asseur	----⌫|-||-⌫-|--|-----|
a chastelne	|------|-|
k auarisce n e	|-------|-⌫|
le tresperce	-|--------|
auarisce est	-------|--|
ki trait aliquanquel ee n contre	-|----||-|-----|--⌫|-⌫-⌫-----|
nese po oitde	-|-|--⌫--|-|
sonencontre	--|-------|
iou eureeschiu er neuelhog ne	---⌫---|------⌫-|-|------⌫-|
carconplusont plussont e n songne	--|--|---|--|---|---|-⌫|-----|
laquerre e t	|------|-⌫|
d elgarder	-⌫-|-----|
auarissefaitama sse r	-------|---|---⌫---⌫|
lesbles etmet ree nses greni ers	--|---|-|---⌫-|-⌫-|-|-----⌫--|
dontli auer ontles doniers	---|-|---|--|--|------|
enc orslorsem ble	---⌫--|--|---⌫--|
to tlorfalhe	--⌫|--|----|
ilne fontforceaautrui falh e	-|-|---|----||-----|----⌫|
maisquilaient toz	-----|-|----|--|
ten s asseis	---⌫|-----|
li cuersnestonquesxxx	-|----||--|-----|--|
dauoiraquer r eet espa rgn ier	|----|-----⌫-⌫|-|----⌫---⌫--|
auarissefait bien	-------|---|---|
delcorset del	--|---|-|-||
amen a cure	--|||---|
auarisceest	-------|--|
estroiteetdure	-------|-|---|
pense ntnuit etior	-----⌫-|---|-|--|
con menti lhpui ssenttrouertor	---⌫---|-⌫-|---⌫----|-----|--|
po r lautruiaq u erreettolir	--⌫||-----|--⌫-⌫---|-|----|
li aueruelent deutolir	-|---|-----|--|----|
lesongnedeaus a porueoir	-|-----||---||-------|
ilne fontforce adeuueoir	-|-|---|----||--|----|
asmontesuelen tgaangnier	-|-----|-----⌫|--------|
ildonen tdeu por un donier	-|-----⌫|--|--|-|-----|
il n aiment	-||-----|
deuquer iens lo rualhe	--|--|-⌫---|--⌫|----|
ainsdonentlegrainpo rl apalhe	--||-----|-|----|--⌫|-⌫|----|
ilneseuen tco nbi en ilhua ut	-|-|-----⌫|--⌫---⌫-|--|--⌫-|
distueritezsedeu smesaut	---|------|-|---⌫|-|---|
chilqu idedeufont te lden ree	---|--⌫|-|--|---|--⌫|---⌫--|
mais largeceest	---|------|--|
mieusauisee	----|-----|
saretenutle bon mar chiet	||------|-|--|---⌫----|
largece alemies	------||-|---|
e slig i ét	-⌫----⌫-⌫--|
largecesei tbien h onorfaire	------|---⌫|---|-⌫---|----|
la r gecefaitmai nte	--⌫-⌫---|---|---⌫--|
gent p l aire	---|-⌫-⌫---|
adeue t tro p	|--|-⌫|---⌫|
heitauarisce	---|-------|
largecenestfausene nice	------||--|----|-|---|
lar gecedonneu o le ntiers	---⌫---|----|-⌫-⌫--⌫-----|
largecef aitsesdon s entie rs	------|-⌫--|--|---⌫|-----⌫-|
large cemaint ie ntcort oisie	-----⌫-|-----⌫--⌫-|----⌫----|
largeceuuet bie nconli	------|---|---⌫||-|-|
largece estal d o neruig rose	------|--|-|-⌫-⌫--|---⌫---|
etdelautruiprend re honte u se	-|-||-----|-----⌫-|-----⌫-⌫-|
largecefait lesg rans amuenes	------|---|--|-⌫---|------|
la rgece heit petitesdones	--⌫----|---|------|----|
lar gec efaitmonterempris	---⌫---⌫|---|-----|-|---|
largecedonepa radis	------|---|--⌫----|
largece aquitedes pechie z	------|-----|--|------⌫|
largece faitlesdolanslies	------|---|--|-----|---|
l ar gecehonorepourege nt	-⌫--⌫---|-----|----|--⌫-|
c hascons leseit chascons	-⌫------|-|---|-------|
largeceaimemies	------|---|---|
ke deuenirrichealrou er	-|------|----|-|---⌫-|
to u tcees t uoirsdist fa uset ez	--⌫-⌫|-|--⌫|----|---|--⌫----⌫-|
cortoisie cestbont ez	--------||--|----⌫-|
demu lt doner de poi prii er	-|--⌫-|----|-|--|----⌫-|
ma isquinaro it	--⌫-|--||---⌫-|
con se u l	|-|--⌫-⌫|
porle io rfairesesdespens	--|-|--⌫|----|--|------|
iene l tenr oiepasa sens	-|-||----⌫--|--||---|
s i ledonoitneau al ur	||-|-----|-||-⌫--⌫-|
d ecesuntpoure	-⌫|-|---|----|
silesfaitennonso ffrance	-|--|---|-|-----⌫------|
ir orchaire t desperance	--⌫-|----|-⌫|---------|
dec equil sonta	-|-⌫|-|-|---||
t e lmeschief	-⌫-⌫|-------|
multen iuoi agrantm eschief	---|-||--||----|-⌫------|
adontles faitirors iurer	----|--|---|----|----|
irorslesfaitmainspariurer	----|--|---|----|-------|
iro rs lesfait	---⌫-|--|---|
deulasd e ngier	--|----⌫-⌫----|
i rorslesfai tdegrantd angier	-⌫---|--|---⌫|-|----|-⌫-----|
chiaus quisou ents ont eniror	-----|--|---⌫--|-⌫--|-|---|
hyror nelait	----|-|---|
porterhonor	-----|----|
fe mme quile ualhe	--⌫--|--|-|----|
i rorsa faitmaintebatalhe	-⌫---||---|-----|------|
irorsfait bienuoirdeneiier	----|---|---|---|-------|
irorsfaitbiendeu	----|---|---|--|
m aint efoisge nsp ar	-⌫----⌫|---|--⌫-|-⌫-|
irorsn e la itfaire b onte	----|-⌫|--⌫-|----|-⌫---|
necortoisiease ssu ges	-|--------||--⌫|--⌫--|
irorsfait fairele s exces	----|---|----|--⌫|----|
ir ors f a itfai relesxxx	--⌫--|-⌫-⌫-|---⌫-|--|--|
irorsesmu ettotesl esrages	----|----⌫-|----|-⌫-|----|
etlesf or sens	-|--|-⌫--⌫---|
quelesgens ont	--|--|---|--|
irorsdefaitlepaisetront	----|-----|-|---|-|---|
irorsf a itgen s perdre lor sens	----|-⌫-⌫-|---⌫|-----|--|---|
iro rsfai t	---⌫-|---⌫|
e staindr eles de ns	-⌫-------⌫|--|--⌫-|
irorsles f ai tdes gen smesdire	----|--|-⌫--⌫|--|---⌫|------|
irorsnel ait or isond ire	----|-|-⌫--|--⌫---|-⌫--|
i rorsnelaitrienaco nter	-⌫---|-|---|---|---⌫---|
achiauscondoi tp lus a conter	|-----||-|---⌫|-⌫--|-⌫-----|
irorsnelaitadroi tiugier	----|-|---||----⌫|-----|
iror sfait	----⌫|---|
l ome foriugier	|--|--------|
etdesconoistresesami s	-|-----------|--|---⌫|
irorsfaitliez	----|---|---|
et fait lesfloi b esestre	-|---|--|----⌫-⌫-|----|
irorsdesiwetoz	----|-----|--|
nusn eporoitquiaime uoir	--|-⌫|-----|--|---|---|
delezli ioieetpaisauoir	----|-|---|-|---|----|
na nepa is ne	||-|--⌫-|-|
distueriteizie	---|-------|-|
commenton puistsi bien abatre	------|-|----|-|---|-----|
l iror desg ensnerendremate	|---|--|-⌫--|-|-----|---|
con faitpardebunairete	|-|---|--|----------|
cuersd ebunair easormonté	----|-⌫-------⌫||--------|
par plus o rslieslestre s granti res	--|----⌫-⌫-|---|--|---⌫|----|-⌫--|
cuers debu nairesnest	----|----⌫-----||--|
sorc eus qui	--|-⌫--|--|
c u ersdebunai re s seitporte r	-⌫-⌫--|-------⌫--⌫|---|-----⌫|
altrui iroraut rui talent	-----|---|---⌫--|-----|
cuersdebunai resnatalent	----|-------⌫--|||-----|
def a i r ea autrui	-|-⌫-⌫-⌫-⌫||-----|
uil on i e	---⌫--⌫-⌫|
cu ers debunairesneseitmie	--⌫--|---------|-|---|--|
autruisorque rr epar	-----|------⌫--⌫|--|
cuersdebunaire p ort e honor	----|--------|-⌫---⌫|----|
desam aniere	-|-|-⌫-----|
c uersdebu nairesnapoint	-⌫---|----⌫-----|||----|
cuersde bunaires seitamer	----|--⌫-------|---|---|
debunairesna	---------|||
point damer	----||---|
neirorn ul e dautrui ioe	-|---|-⌫--⌫||-----|--|
c uersdeb unairesuainc et ploie	-⌫---|---⌫------|----|-|----|
lesgrans irors pa r belpar ler	--|----|----|--⌫|--|---⌫--|
etheit prome tresen sdoner	-|---|-----⌫--|---⌫|----|
cuersdebunaireaime	----|--------|---|
etsemetbien enauenture	-|-|--|---|-|-------|
dautruidamageporterfors	|-----|-----|-----|---|
il ameroit mies estremors	-|------|---|----|---|
quil fuis ttrou eisenfausete	-|-|----⌫|----⌫--|-|------|
il heitles	-|---|--|
maussaime bonte	---||---|----|
cuers debunairest i entalui	----|---------|-⌫-⌫--||--|
t outceconfai tporl iautrui	-⌫--|-||-|---⌫|--|-⌫|-----|
soit bons soit	---|---|---|
m a uzcestloiautez	-⌫-⌫-||--|-------|
ma isi l i apetitdetez	--⌫-|-⌫|||----|-|--|
cartozlisiecles es trattie rs	--|--|-|------|--⌫|------⌫-|
il i apoidam is entier s	-|||--||--⌫-|------⌫|
ieconselheque nqu il	-|-------|---⌫--|-|
kibon amisaq uill eti engne	-|--|---||-⌫|-|-⌫|--⌫----|
i er espon drai	-⌫|-⌫-----⌫---|
distfausetez	---|-------|
uos aueis ditormesc outez	--|----|--|-||---⌫----|
acc ide toltces	---⌫--|---|--|
cescortois ies cesbont es	--|-------⌫--|--|----⌫-|
do nt uosm aueztantdete nue	--⌫-|--||---|---|----⌫--|
accidetient la mesinu e	-----|----||-⌫-|-|--⌫|
kele ne puet	|--|-|---|
oris ond ire	----⌫-|-⌫--|
es tudiiern ela i tn elire	--⌫------|-⌫|--⌫-⌫|-⌫|---|
n uluiquisoitaccidieus	-⌫---|--|---|--------|
accide fait	-----|---|
les gensois euz	--|---|---⌫--|
accide ne laitdeu ame r	-----|-|---|--|---⌫|
acci d efa it lesgensdampner	----⌫-⌫|--⌫-|--|---|------|
accide fait penserl esmauz	-----|---|-----|-⌫-|---|
accid e faitles	-----⌫|---|--|
sont urai amant	---|---|----|
acc ide naim e	---⌫--||---⌫|
nulc onm ant	--|-⌫---⌫--|
k iencit erle pu is tabie n	-⌫|-----⌫-|-|--⌫--⌫||---⌫|
ain li anu ient tot li bien	--|-|---⌫---|--|-|---|
accidemetg ensentriste ce	-----|--|-⌫--|-|------⌫-|
acci deheittote largece	----⌫-|---|---|------|
acci d ef ait l esgensuil ains	----⌫-⌫|-⌫--|-⌫-|---|---⌫---|
accideles faites treuains	-----|--|---|--⌫--|----|
accidefa it lespechies fa ire	-----|--⌫-|--|------|--⌫--|
ioie ne bi ensne lipue t	---|-|--⌫--|-|-|---⌫|
accideheit quanqu	-----|---|-----|
acci dena imeri e nsqui	----⌫-||-⌫--|--⌫-⌫-|--|
ac cidefaitgenspericheus	--⌫---|---|---|--------|
accideheit f es teset ge us	-----|---|-⌫--⌫--|-|--⌫-|
s el el esuoit menerautrui	|--⌫|-⌫-|---|----|-----|
accidieusn aim e	--------||---⌫|
accide faitpa radi s	-----|---|--⌫----⌫|
ac c idefait decu er aerdre	--⌫-⌫--|---|-|--⌫-|-----|
co uientfal hir	--⌫----|---⌫--|
accidefaitl esuis pallir	-----|---|-⌫-|--|-----|
accidetoltet	-----|---|-|
ame etcors	--|-|---|
maintien tilhe n est mors	--------⌫|--|-⌫|--|---|
dist uer it ez uosditesuoir	---|---⌫--⌫-|--|----|---|
or enrediraimon	-|-|------|--|
ac cidemen t depo urecuer	--⌫---|---⌫|-|--⌫--|---|
honsn e poro i tdi re a nu lfu er	---|-⌫|----⌫-⌫|--⌫-||--⌫|--⌫-|
del i bien	-|-⌫|---|
di rene bialtez	--⌫-|-|------|
maisf ors corag ese t b ontez	---|-⌫--|-----⌫-|-⌫|-⌫----|
kele sgenso ntles	-|--⌫|---|-⌫-|--|
fa it defen d re	--⌫-|-----⌫-⌫-|
encontreaccidee tuigorprend re	-------|-----|-⌫|----|-----⌫-|
for cedesperitfait	---⌫-||------|---|
soncreator et honorer	--|------|-|------|
force faitcroi reessacremens	----|---|----⌫-|-|--------|
force faitbien croire les	----|---|---|-----|--|
forceret raitgensdep echiet	----|---⌫---|---|-|-⌫-----|
kipa raccidei	-|--⌫|-----||
sunt la c hiét	---|--⌫-⌫----|
lasdelanemis	--|-||-----|
force despir	----||----|
as es amis	|-⌫-|---|
c uielehoneur eet porte pais	-⌫-|--|------⌫|-|----|---|
acquiert honor	-------|----|
etioieet pais	-|---|-|---|
forcef ait direlesgensuoir	----|-⌫--|---|--|---|---|
atout e s gensa sonp oo ir	|----⌫-⌫|---||--|-⌫--⌫-|
forcenelait les	----|-|---|--|
gensmen tir	---|---⌫--|
for cefait biendesgenssen tir	---⌫-|---|---|--|---|---⌫--|
fo rce des peritdoit	--⌫--||--⌫----|---|
conmen tchasc ons sedoit auoi r	------⌫|-----⌫--|-|---|----⌫|
gliz eetentregent	----⌫|-|----|---|
for cedesperitl es aprent	---⌫-||------|-⌫-|-----|
les biens des mausa departir	--|----|--|---||-------|
esperitfa itsenti r	------|--⌫-|-----⌫|
lamor dedeu	|---|-|--|
forcedespirenten tetuoit	----||----|-----⌫|-|---|
alameforts es uisions	||--|---|-⌫-|------|
fo rcefait que rre l esyy	--⌫--|---|---⌫--|-⌫-|-|
delsaintespir par sa noblec e	--|----|----|--|-|------⌫|
forc ed espirnefiertne blec e	----⌫||----|-|----|-|----⌫|
nuluip orcozeconl iface	----|-⌫-|---||-|-⌫|---|
forcedesp irespre ntetlace	----||---⌫-|-----⌫-|-|---|
lescu ersa preslor c reators	--|--⌫--|-⌫---|--|-⌫------|
forcenadotenepaur	----|||---|-|---|
fausetequi	------|--|
ceentreprent	-|---------|
ne denulmalnesereprent	-|-|--|--|-|-|------|
lo rli r espontquegl otenie	--⌫|-|-⌫-----|--|--⌫-----|
a p lusde gensdesamanie	|-⌫--|-|---|-|-|----|
aitde sersliroisdefra nce	--|-|---|-|---|-|---⌫--|
li glo tonsaimeplus sapance	-|---⌫---|---|---|-|----|
nefait deucuif or meapo r t e	-|---|--|--|-⌫--⌫-|---⌫-⌫-⌫|
glotenie amai nte	-------||---⌫--|
am em orte	--⌫|-⌫---|
et fait eninfe r	-|---|-|----⌫|
gloten iefait	------⌫-|---|
le sgen s deuins	--⌫|---⌫|-|---|
etd e cheruoise	-|-⌫|--------|
glot eniefaitmaintenoise	----⌫---|---|-----|----|
etes t auerneset	-|-|-⌫------|-|
glo teniea	---⌫----||
mult degensm o rs	---|-|---|-⌫-⌫-|
kibienpowiss entencoruiur e	-|---|------⌫--|----|----⌫|
g loteniefaitl esg ens	-⌫------|---|-⌫-|-⌫--|
alcunefoispl usdunepa ir e	-----|---|--⌫-||--|--⌫--⌫|
dem esd ech a rsu	-|-⌫-|-⌫|--⌫-⌫-||
de poi sons	-|---⌫---|
gloten i e fait xxx	------⌫-⌫|---|--|
aual le siecleettropd utrages	---|-|-----|-|---||------|
ilrechoiuentpl usorsdamages	-|---------|--⌫----|------|
del or richoi s esporlor uentre	-|-⌫-|------⌫-⌫-|--|--|-----|
l i gloton fontliui ns chier	-⌫|-----|---|-|--⌫-|----|
etl esuiand esaxxx	-|-⌫-|-----⌫-||--|
glotonsne p orte n uluifoit	------|-|-⌫---|-⌫---|---|
glotons fo ntriche le smerchier s	------|--⌫-|----|--⌫|--------⌫|
gl otonsrequiert lesespeciers	--⌫----|-------|--|--------|
despiceschieres	|------|------|
glotonneseu e ntdeport er	-----|-|---⌫-⌫-|------⌫-|
ma nguenta ueceuz	--⌫-----|-⌫--|--|
ainmanguent	--|-------|
co nme porchiauz	--⌫--|--------|
iln o ntnul mercit demangier	-||-⌫-|--|-----|-|------|
glote nief istcome nchier	-----⌫--|-⌫--|----⌫-----|
les poiuresetlessauo rs fa ire	--|------|-|--|----⌫-|--⌫--|
glot enieestde telafaire	----⌫---|--|-|--|-----|
kele fai tgens cr oire	|--|---⌫|---|--⌫---|
et loru e ntre	-|--|-⌫-⌫---|
glotenieflair e et	-------|-----⌫|-|
d elonc f u meede cusin e	-⌫|---|-⌫-⌫--|-|-----⌫|
toutglotonlaimen tauoisine	---|-----||-----⌫||------|
plus quilne	---|-|-|-|
glot o n n epuet	----⌫-⌫|-⌫|---|
nusaaisier	--|------|
t outade zli fa ut b on morsi aus	-⌫--|---⌫|-|--⌫-|-⌫-|-----⌫--|
n ussobres honsn	-⌫-|-----|---||
a paisentreiauz	|---|----|---|
gloteniefait genspechier	-------|---|---|------|
auns eulmorsdepainmangi er	|-|-⌫--|---|-|---|-----⌫-|
