briementu osdirai	-------|-⌫-|----|
queuou sli pardonnés u ostre ir e	--|---⌫|-|---------|-⌫----|--⌫|
et distli quensuolésplus dir e	-|---|-|----|-----|---|---⌫|
s e ie wi stasc ep uisbaillier	-⌫|-|--⌫-----⌫|-⌫--|-------|
iele feraiuifes co rchier	-|-|----|--|--⌫--⌫-----|
wist asce s commepeleri ns	----⌫----⌫|----|------⌫-|
me ui ntardoirme syy	-|--⌫-|-----|--⌫|-|
ilmecommenche aguerroier	-|-|--------||--------|
maisle fera igaitier	---|-|----⌫|------|
lepuistenir	-|---|----|
de uil mor tleferai m or ir	-|--|---⌫|-|----|-⌫--⌫-|
ou ieleferaimarie r	-|-|-|----|-----⌫|
oupendreou	-|-----|-|
ardoiro uno i e r	-----|-⌫|--⌫-⌫-⌫|
di s twis t as ces	--⌫-⌫|---⌫-⌫--⌫--|
parma c o tiele	--|-|-⌫-⌫----|
l a pais i s eroitbonne et biele	-⌫|---||-⌫----|----|-|----|
carwistasces deuenus est moigne	--|--------|------|--|-----|
et uousestesqu ensdeboloigne	-|---|----|--⌫--|-|-------|
d eu e ́s auoirme rchi	-⌫--⌫-⌫-|----|--⌫---|
pourbiensire ie	---|---|---|-|
qu euos treireli p ardonnés	--⌫|---⌫--|--|-|-⌫--------|
serauostre	---|-----|
sire carenprendé sacorde	---|--|-|-------⌫|-----|
depecheo urmise ricorde	-|------⌫-|----⌫------|
et dist liquens	-|---|-|----|
oruoustai sie ́s	-|---|---⌫---⌫-|
nonquespl usne men araisniés	|-----|--⌫-|-||-|---------|
fuiésdechialésuousent	-----|-|--|----|---|--|
nai cure deu oparlement	|-|---|-|-⌫|--------|
mep uisfieroum oigne	-|-⌫--|---|-|-⌫----|
d uistasce le moigne	|-------|-|-----|
parlesb oiaus	--|--|-⌫----|
sa inte warie	--⌫---|----|
iecuicquec is moi gnesm	-|---|--|-⌫-|---⌫---||
elmondenasi ma l tyra n t	-|----|||-|--⌫|----⌫-⌫|
i a i gran tpaourk il	|-⌫|----⌫|----||-|
ne men can t	-||--⌫---⌫|
dan s moi gnescom ment	---⌫|---⌫---|---⌫---|
a ués non	-⌫---|--|
apelefrere sym on	----|----|---⌫-|
declermaressui	-|--------|--|
wistas ces uin tenmaison i er	------⌫--|---⌫|-|-----|-⌫-|
l uiyyi sme	-⌫-|---⌫--|
tout fierarmé	---|---|----|
illuec priaadantabbe	-----|---||---|---|
queilque sist	--|-|---⌫---|
distlique nsp as	---|-|---⌫-|-⌫-|
nes i amorde	-|||-----|
u ostreabbesalu ihebregie r	-⌫----|----||--⌫|--------⌫|
car ieliroiede tr enchier	--|-||----|--⌫--⌫------|
ilnes eroi tpasmon	-|-|-⌫----⌫|--|--|
silhebrego itmon	|-|-------⌫-|--|
tostlifer oierou egnier	---|-|---⌫--|---⌫-----|
la tes teatout	-|---⌫-|----|
le hen nep ier	-|---⌫---⌫--|
dansmoignesufustesuosnés	---|------||-----|--|---|
sirea lensouia i yy a nsm es	---||---|-||-⌫|-|-⌫-|-⌫-|
parfoidistli quens de bouloigne	--|--|---|-|----|-|--------|
u oussamblés wistasc e	-⌫--|-------|-------⌫|
sambla nchedela figure	------⌫---|-|-|-----|
etdes tature	-||--⌫-----|
dela b oucheet delnes	-|-|-⌫----|-|--|--|
seu ousnef uiss iéscouronn és	-|-⌫--|-|-⌫----⌫---|-------⌫--|
maisuousauez leeco uronne	---|---|---|--|--⌫-----|
rouge ssollers etblanche	-----⌫|------|-|------|
et de scoulouréleuisage	-|--⌫---------|-|-----|
tous yy uo usre tenisseengage	---|-|--⌫-|--⌫------|-|---|
fust pourdie u purement	---|---|---⌫|-------|
torn ésdechi alésuouse nt	----⌫--|-|--|----|---|-⌫-|
lidoi moi gneorentpeur	-|--|---⌫--|----|---|
wistasces nefu	--------|-|-|
siauoitildeses	-|----|-|-|--|
liquens afait	-|----||---|
iureryyfois	----|-|---|
a tous sespersdeboulenois	|---|--|---|-|--------|
quewist asce liren deron t	--|----⌫---|-|---⌫-----⌫|
iapourpa re ntene llairon t	-|---|--⌫--⌫--|-||------⌫|
unsserghansuin tdeuantl e cont e	--|-------|---⌫|-----|-⌫|----⌫|
duis tasce lem oigneliconte	|---⌫----|-|-⌫----|-|----|
sire distil	---|---|-|
ca tende ́su ous	|-⌫-----⌫-|-⌫--|
wistascesiet d e nc osteuous	-------|---||-⌫--⌫---|---|
prenné lesiferé ssauo ir	------|-|-|-----⌫|----⌫-|
cestil ie leuousdipor	|--|-|-|-|---|-|--|
oisdefil aputainbedel	----|--||-----|----|
distgu illaumesdemon tquarrel	---|--⌫-------|-|---⌫-------|
cestdans sy monlicenelier	|--|---|--⌫--|-|-------|
ie leconno iscommezzd enier	-|-|-----⌫-|----|-|-⌫----|
mo nchedis thues de gaune	--⌫|--|---⌫|---|-|----|
wistascesn	--------||
dist huesde belin	---|---|-|----|
n és fualenspriesde hennin	-⌫--|-||---|----|-|-----|
di staufrans	--⌫-|------|
wistascesnestgansnesne ble u	--------||--|------|-|---⌫|
n an dis tw ales	-⌫-|---⌫|-⌫---|
delacapiele	-|-|------|
ai nsest rou ueus enla maissi ele	--⌫-|--|---⌫---|-|-|------⌫--|
l i doimoignede paourtr amblen t	-⌫|--|-----|-|----|--⌫------⌫|
dist wistascesgenssentresamblen t	---|--------|---||------------⌫|
il disoientlor meseri ele	-|-------|--|------⌫--|
a cascundialssautiele	|-----||---|-------|
wistasceauconte a	-------|-|----||
c o ng iepris	-⌫-⌫--⌫-|---|
touttroise so nt alchemin	---|---|-|--⌫-|-|-----|
wistascessen	--------||-|
uin t e nl	---⌫|-⌫||
quimol tsotdelart	--|---⌫|--|-||--|
au d yable	-|-⌫----|
leconte moriel	-|----|-----|
q ui moltert rich esetmolt biel	-⌫-|---|--|----⌫-|-|---|---|
fist ensieler azz	---|-------||-|
au serghantdist	-|-------|---|
audepartir	-|-------|
k ilalastauco nte iehir	|-|----|-|--⌫--|----|
qu ewista sce enmainnemoriel	--⌫|-----⌫--|-------|-----|
e t li serghans se scriei sniel	-⌫|-|-------||-⌫----|-⌫----|
h areu h areusaint emari e	-⌫---|-⌫---|-----⌫|----⌫|
liqu ens sautetlautr e	-|--⌫--|---|-||----⌫|
tu dient licheualier	-|----|-|--------|
moi gne aduer sier	---⌫--|-----⌫---|
uait dechi mon t éssormor i el	---|-|--|---⌫-⌫--|--|---⌫-⌫-|
uo isdist liquenspor l ecer uiel	--⌫-|---|-|----|--|-⌫|---⌫---|
porles b oiaus	--|--|-⌫----|
porl a froissure	--|-⌫|--------|
orto st apries grant ale ure	-|--⌫-|-----|----|---⌫--|
puiskil estsormo rielmontés	----|-|--|--|--⌫---|------|
iama isniertprisneatrap e ́s	----⌫-||---|---|-|-----⌫-⌫-|
carmorialscort commetempeste	--|------|---|----|-------|
et cilaledyable enla	-|--||-|-----|-|-|
ki lemainnei elsaideuoir	-|-|-----|-⌫||--|-|---|
iamaisneleporai	-----|-|-|----|
dex distliquens	--|---|-|----|
queienel pris	--|-|-||---|
quantilfudales moiassis	----|-|-|----|--|----|
d istli sergha ns b ien leuousdis	-⌫--|-|------⌫-|-⌫--|-|---|--|
maisnecreiste s pasmes	---|-|-------⌫|--|--|
l iquensfaitmontersam aisn ie	-⌫|----|---|-----|-|-⌫----⌫-|
sesserghansla cheualerie	--|-------|-|---------|
apries wist asce uontpoignant	-----|----⌫---|---|-------|
w istascealoientdec ac hant	-⌫------|------|---⌫--⌫---|
wistascesuinta	--------|---||
illuequesa laissié morel	--------||-------|----|
hom me kil connissoit	---⌫-||-|---------|
bien a parchutconl esachoit	---|-⌫------||-|-⌫|------|
ilade suestuson hab it	-||--⌫-----|--|---⌫-|
sise remisten autrehabit	-|-|-----|-|----|----|
uneli ng eca pea	--|--⌫--⌫|--⌫-||
por teu nemachue	---⌫-|-⌫-|-----|
u ait garder z z fouc de	-⌫--|-----|-⌫|---|-|
q uipas o ientenzz larris	-⌫-|---⌫-⌫---|-|-|-----|
liq uensde	-|-⌫---|-|
boul oi gne uin tla	----⌫--⌫--|---⌫|-|
uarle tfai t	-----⌫|---⌫|
ilq uel part ala	-|-⌫--|---|--|
unsblans moigne	--|----|-----|
a z znoir cheual	|-⌫|---|-----|
si reilsenuatrestoutc el	--⌫-|-||-|-|-------|-⌫-|
sorzz c heualnoirc omm emeure	--|-|-⌫----|---|-⌫---⌫|----|
li quenssen	-|----||-|
uai t plus n idemeure	---⌫|---|||------|
etsiutw istasc egr antaleure	-|---|-⌫------⌫|--⌫--|-----|
et w istas ce sne s aseure	-|-⌫-----⌫--⌫|-||-----|
ainsala issie s sesbrebis	---||--⌫-----⌫|--|-----|
si seresten la fores t	-|-|---|-|-|-----⌫|
l ique ns point co mzzesragi é s	-⌫|---⌫-|----|--⌫|-|------⌫--⌫|
compaignonsalaissie ́ s	----------||-------⌫-⌫|
moignesenuoit	------|-|---|
illorcr ie pargr an air	-|--|--⌫-|--|--⌫-|--|
p arlestrumialsbien nen i rés	-⌫-|--|-------|---||-|-⌫---|
i a ensine m eschaperés	-⌫|---|-||----------|
limoign e ont d itlororison	-|-----⌫|--|-⌫-|--|-----|
quedexleseskiutde	--|--|--|-----|-|
etdemalet de uilonnie	-|-|--|-|-|-------|
ha hadamesaint ema rie	-|-|---|-----⌫|--⌫--|
cardonnésuole nteau conte	--|------|----⌫--|-|----|
kilne nou s	|-|-|---⌫|
fachea nuine h onte	----|-⌫--|-|-⌫---|
wista sceslim oi gnesest pris	-----⌫---|-|-⌫--⌫---|--|---|
lidyablesl i anemis	-|------|-⌫|-----|
li quensnous	-|----|---|
ueltau tressip rendre	---|--⌫-----|-⌫-----|
iecrien kilne n ousface pend re	-|----||-|-|-⌫--|---|----⌫-|
ilestpriesdenous	-|--|----|-|---|
u éslechi	-⌫--|-|--|
pordiucar liprio ns	--|--|--|-|----⌫-|
aincneueistes yyrendus	---|-|------|-|-----|
kisiperdiss entloruert u s	-|-|-------⌫--|--|----⌫-⌫|
tropparestoi ent esperdu	---|--|-----⌫--|------|
tout cuidoientauoi r	---|--------|----⌫|
des cend ufurentenzz ual	---⌫----⌫|-----|-|-|--|
et l i que nsdesc entdou	-|-⌫|---⌫-|----⌫--|--|
chape rons	-----⌫---|
etilsemet enta	-|-|-|---⌫--||
p ordiumerchidistdansuincens	-⌫-|--|-----|---|---|------|
tr umialsbiu distliquens	--⌫-----|--|---|-|----|
meschap erés	|------⌫----|
a zzarbrependus serés	|-|----|-----|-----|
sire mer c hisire	---|---⌫-⌫-|---|
escha pere ́ spasissi	-----⌫----⌫-⌫|--|---|
di stl iq u enspar saint	--⌫-|-⌫|-⌫-⌫--|--|----|
car uouses teslarron	--|---|--⌫--|-----|
m orielmon ch e ualme r e ndrés	-⌫----|--|--⌫-⌫--|-|-⌫-⌫-----|
ouiapartans occiss erés	-|-|--|---|----|-⌫----|
liquenslesfistans deus lo ier	-|----|--|---|---⌫---|--⌫--|
enzzortel les fist couchier	-|-|----|--|---|-------|
wistas ceenl aforiestestoit	------⌫-|-|-⌫|------|-----|
leharnasau conte es pioi t	-|-----|-|----|--⌫----⌫|
unsgarchons	--|-------|
menoitzzsomm ier	-----|-|----⌫--|
wistasce slefisttrebuch ier	--------⌫|-|---|-------⌫--|
a uga r conlalanguetrench a	-⌫|--⌫-⌫--|-|-----|------⌫|
contelenuo ia	----||----⌫-|
etcilsenuait	-|--||-|---|
courant au cont e	------|-|----⌫|
duistascele moi gneliconte	|-------|-|---⌫--|-|----|
comcilki nepooi tparl er	--|--|-|-|----⌫|----⌫-|
dontcommenc ha a barbe ter	---|-------⌫-||-----⌫--|
dist l ique nsd yablesc	---|-⌫|---⌫-|-⌫-----||
etciladitbelu	-|--||--|---|
l an gue au oi tt renchie	-⌫--⌫--|--⌫--⌫|-⌫------|
neli pooi tr aconter	-|-|----⌫|-⌫------|
au conteadit unsescuiers	-|----||--|--|-------|
ci l quimenoitnossomm iers	--⌫|--|-----|--|----⌫---|
ilaest é en	-||---⌫-|-|
male s mains	----⌫|----|
la lang ueailperduea u mains	-|----⌫-||-|-----|-⌫|----|
wistasceslaaspuinstenu	--------|||-|----|---|
etnosomm ier aretenu	-|-|----⌫--||-----|
li quensre t orneuerswistas ce	-|----|--⌫-⌫---|---|------⌫-|
laforestde ca rdel l opasse	-|-----|-|--⌫----⌫-⌫|----|
sis enuaitpa rtoutes parties	-||-|---|--⌫|-----|------|
wi stasces auoi t yy espie s	--⌫------|----⌫|-|-----⌫|
kiespioient nuit etior	-|--------|---|-|--|
onquesnestoien ta	-----||-------⌫||
wistasces les auoitnorris	--------|--|----|-----|
l es yygarchonsetesford r is	-⌫-|-|-------|-|------⌫-⌫-|
liquenswistasc e alo itcachant	-|----|-------⌫|---⌫-|------|
lunsdesgar gch onsli uintdeua nt	|--|--|---⌫---⌫--|-|---|----⌫-|
siredistilcom b iena roie	---|---|-|---⌫-⌫--|-⌫---|
sig nor uousensai gno ie	---⌫--|---|-----⌫---⌫-|
a wistasce l emoigne	|-------|-⌫|-----|
parfoidis tli	--|--|---⌫|-|
bou loigne	---⌫-----|
selm ensaignesbo n	-|||--------|--⌫|
damoisiausen maco urtseras	---------|-|-|--⌫--|----|
sireilestau m angierassis	---|-|--|-|-⌫-----|----|
seme suiés i a	-|-|-----|-⌫|
laréspris	|----|---|
uad ist liquensietesu ira i	-|-⌫--|-|----|-|-|--⌫---⌫|
delonc apriestoi menirai	-|---|-----|--||-|---|
mais gard e kilnes aperchoiue	---|----⌫||-|-||---------|
iecrienqueilnete	-|----|--|-|-|-|
l au treespieoile gar chon	|--⌫--|----|-|-|---⌫---|
bi en aperc hutlatr aison	--⌫-|-----⌫--|-|--⌫----|
delgarch onk	--|-----⌫-||
il auoit tr a hi	-|----|--⌫-⌫-|
sonsign orkil auoitnorri	--|----⌫-|-||----|----|
u int a w i stascese	-⌫--||-⌫-⌫-----|-|
que cil lau o i t u endu auc o nte	--|--||--⌫-⌫-⌫|-⌫---|-|-⌫-⌫--|
distwis tasc e sua tent de chi	---|---⌫----⌫-⌫|-||--|-|--|
quant ligarch ons uenra iachi	----|-|-----⌫--|----|-|--|
po ur m oicunchiieretdechoiu re	--⌫-|-⌫-|--------|-|-------⌫-|
ie li donrailehart au	-|-|-----|-|---|-|
moltbiendeser uie	---|---|-----⌫--|
duista scesepartis	|-----⌫--|-|----||
et sa utre es p ielireu ient	-||-⌫---|--⌫-⌫-|-|---⌫---|
d i stwist asce s iltec onui ent	-⌫-⌫-|----⌫----⌫|-|-|-⌫----⌫--|
caupes celplanchon	-----|--|-------|
uolentiers chedistligarchon	---------|--|---|-|------|
ilac olpé lepl anconciel	-||-⌫----|-|--⌫--------|
b ien senfai	-⌫--||-|--|
ciltortt lehar tmoltsespo ent e	--|----|-|---⌫|---||----⌫---⌫|
et wistasceselcolliente	-|--------|-|--|-|---|
lim ist le ha rdillon	-|-⌫--|-|--⌫------|
pourdiume rchidistligar cho n	---|--|--⌫---|---|-|---⌫---⌫|
sireporcoimeuoléspendre	---|--|--|-|-----|-----|
ennep o riésuousta nt atendre	---|-⌫-⌫----|---|--⌫-|------|
queieme fu isseconfessés	--|-|-|--⌫---|---------|
wis tascesdi st mo ltdema l	---⌫-----|--⌫-|--⌫-|-|--⌫|
maisuois mechi qu iensai plus	---|---|-|--|--⌫|-|--|---|
t uiese nm a les mainske us	-⌫|--|-⌫|-⌫-⌫--|----|--⌫-|
tume cuidoie s fa ireatendre	-|-|-------⌫|--⌫--|------|
tantqu eli quensmepeus tprendre	------⌫|-|----|-|----⌫|------|
nailo isi r	|-|--⌫---⌫|
detoiconfiesser	-|--|---------|
la susiras a	--⌫--|---||
di uparler	--⌫|-----|
en cela rbreten	-|--|-⌫---||-|
deplus priesadiu parleras	-|---|----||--|-------|
montelasuse tsimaconte	----|----|-⌫|-||-----|
sire distilpar saintremi	---|---|-|--|----|---|
ie uousai uen duettrahi	-|---|-|---⌫-|-|----|
queldyablel euo usontdit	---|-----|-⌫|--⌫-|--|--|
uous ochi t	---|----⌫|
alésu ou s ent	----|-⌫--⌫|--|
nauésc atendre	|----||------|
distwistasceainsteuenrai	---|-------|---|-|-----|
mont e lassusetsi t epen t	----⌫|-----|-|-|-⌫|---⌫|
cilmonte enlarbreis ni element	--|----|-||----|--⌫--⌫------|
sisepen d ip arlehar diel	-|-|---⌫-⌫|-⌫-|-|---⌫---|
li quens iuint poignantisn iel	-|----||---|-------|---⌫--|
wista sc essourmorielremon te	-----⌫--⌫-|---|-----|-----⌫-|
apries luiuoituenir	-----|--|---|----|
siredistil araiio u	---|---|-|---|--⌫|
acelpen dume pre nné s g arde	|--|---⌫-|-|---⌫----⌫|-⌫---|
iemenuo isau ostrecongie	-||-|--⌫-||-⌫----|-----|
liquenslesiut commeesragié	-|----|-|---|----|-------|
li quensent reluiet	-|----|---⌫-|--|-|
cachentwis t ascefierement	------|---⌫-⌫---|--------|
yydesesserghansareste rent	-|-|--|-------|------⌫---|
etambesyylesi e xcreuer ent	-|------|--|-⌫-⌫|------⌫--|
quantw ist as cessotlanouuiele	----|-⌫---⌫--⌫--|--|-|-------|
il i urelasain tep uciele	-|-⌫--|-|----⌫-|-⌫-----|
que pouryy	--|---|-|
des siensa ra	--|----|-⌫-|
yy espi e tés	-|----⌫-⌫---|
liquensal aa saint omer	-|----|--⌫||----|---|
wistascene pot atraper	-------|-|--|------|
wi stascescomm encheagaitier	--⌫------|----⌫----||------|
se n bos nenche minn	|-⌫|--||-|---⌫--||
en sentier	-|------|
p orr oit yy	-⌫---⌫--|-|
homme s encontrer	-----⌫|--------|
que il peustlespies colper	--|-|----|--|---|-----|
yyserghans entraenes r ant	-|-------|----|-|--⌫-⌫--|
auc onte estoie n tli s erghant	-|-⌫---|------⌫-⌫|-|-⌫------|
yy moigne sem prison me no ient	-|------⌫|-|-----|--⌫--⌫---|
andoidecle rmares estoient	----|-|---⌫-----|-------|
wistasces lordistdescendés	--------|--|---|---------|
moigne s plus nen menrés	------⌫|---||-|------|
etsiparler és a	-|-|------⌫--||
semalauésuousarés	-|--|----|---|----|
wista sces lesa ar estés	-----⌫---|--||--⌫-----|
tousyyles aespi etés	---|-|--||----⌫----|
aucinkisme dist	-|-------|---|
uaal conte	-|-|----|
dui stascelemoigneliconte	|--⌫-----|-|-----|-|----|
quepouryyi ex	--|---|-|-⌫-|
kil acreués	|-||------|
enawistasceyy	-||-------|-|
espie te ́s	-----⌫--⌫-|
s ire distilmolt	-⌫--|---|-|---|
uolentiers	---------|
ilnobliapas se s trotiers	-||----|--|--⌫|-------|
auconteenest uenuserrant	-|----|-|--|----|-----|
contémaintenan t	-----|---------⌫|
quepour yyiexkil acreu e ́s	--|---|-|--||-||----⌫-⌫-|
wistasceen ay y esp ietés	-------|-||-⌫|---⌫-----|
uoisl iquens d i stpor l es	---|-⌫|----|-⌫-⌫-|--|-⌫-|
pourl e uentrepor les	---|-⌫|-----|--|--|
decel t r uant de celfaus mogn e	-|--|-⌫-⌫---|-|--|---|----⌫|
quit an tme fai t hont ee tu e rgogne	--|-⌫--⌫|-|---⌫|----⌫|-⌫|-⌫-⌫-----|
dontf urentmisyycheua lier	---|-⌫----|--|-|-----⌫---|
par la forie stpour	--|-|-----⌫-|---|
p arl aforiestloncta nserre re n t	-⌫-|-⌫|------|---|--⌫-|----⌫--⌫-⌫|
au contegrantauoir coster ent	-|----|----|----|------⌫--|
u n iorerent	-⌫|--|----|
enlaforiest	-|-|------|
wistasceslemoignese	--------|-|-----|-|
haireetduneesclauine	----|-||--|--------|
par un euoi e sachemine	--|--⌫|---⌫||-------|
sourles yycheualierss	---|--|-|---------||
moltp iteusements e	---|-⌫---------|-⌫|
illes salue	-|--|----|
si mpl e ment	--⌫---⌫-⌫---|
et ilrespo ndentlieme nt	-|-|-----⌫----|-----⌫-|
didonttu uiens	-|---|-|----|
et utuu as	-||-|-⌫-|
signorauco nteeneslepas	-----|-|--⌫--|--------|
dedan t m ar tinuieng de	-|---⌫|-⌫--⌫--|----|-|
bo loig ne	--⌫----⌫-|
clamerme uois	-----|-|---|
malua ismoig ne	-----⌫-|----⌫-|
de s reubémae ncesteterr e	--⌫-⌫-----|||-⌫|----|----⌫|
distkila uers leco nteguerr e	---||-||---|-|--⌫--|-----⌫|
ilmat oluquiualtyy m a rs	-|||-⌫--|--|---|-|-⌫-⌫-|
moltparest	---|--|--|
me ndise tescars	--⌫---|-⌫|-----|
de son pai nne meuoltdo nner	-|--|---⌫|-|-|---|--⌫---|
ne ausoup er	-|-|----⌫-|
signorditesmoi sansde la i	-----|----|--|---|--⌫--⌫|
oui el eco ntetrouuera i	-|-⌫|-⌫|--⌫--|--------⌫|
l i uns responta hardello	-⌫|--|------||-------|
alés icarie leuouslo	----||--|-|-|---|-|
wis tas ceaha rdelosenuint	---⌫---⌫-||--⌫----||-|---|
m an gierauconte	-⌫--⌫---|-|----|
et di st wistasces de x i soit	-|--⌫-|--------|--⌫||---|
malfemefa che d roit	----|-|--⌫--|-⌫---|
sig nor dist	---⌫--|---|
wista sces limoigne	-----⌫---|-|-----|
estlique nsde	--|-|---⌫-|-|
distuns serghansueés	---|--|-------|----|
wistas cesd euant lui	------⌫--|-⌫----|--|
siredistilpordi u	---|---|-|--|--⌫|
iesuisuns borgoisd an deli	-|---|--|------||--⌫---|
en flandresu enoie	-|-------|-⌫----|
c au chesd esaieen	-⌫--⌫---|-⌫|---|-|
etde denie rsb ien yyliures	-|-|-----⌫-|-⌫--|-|-----|
unsescieruel és etuns iures	--|---------⌫--|-|--|----|
couronnésestoitcom unsprestre	---------|-----|--|--|------|
trop paroitbienmoig nesa	---|-----|---|----⌫--||
ildist k i l ertuosanemis	-|---||-⌫|--|--|-----|
or etar gent	-|-|--⌫---|
e tuairet gris	-⌫|---|-|---|
ma toluetcheualetrobe	||---|-|-----|-|---|
delfolrendu	--|--|----|
ki medesr ob e	-|-|----⌫--⌫|
m e cla imauou sfaites m	-⌫|---⌫-||---⌫|-----||
pas l oncdechiendroit	--|-⌫--|-|--|------|
ildis tuoircarili estoit	-|---⌫|---|--|-||-----|
il meisme au	-|-----|-|
conteparloit	----|------|
lifausmoignedeputeorine	-|---|-----|-|---|----|
mefi stuesti r	-|--⌫-|-----⌫|
cesteescl auine	----|----⌫----|
etpuissimefistafie r	-|---|-|-|---|----⌫|
queieuenro ie a uousparler	--|-|-----⌫-||---|-----|
sachiéskil	-------||-|
nestpa slonc	|--|--⌫|---|
b uis so nent rer le ui	-⌫---⌫--⌫|---⌫--|-|-|
queshom estchouli	---|--|--|---|-|
qu ensadit	--⌫--||--|
oublancgrantou	-|----|----|-|
distwistasceil	---|-------|-|
et liquenssa utde maintenant	-|-|----|--⌫-|-|---------|
or t ostdist	-|-⌫--|---|
liquensmene ́s mi	-|----|----⌫-|||
etie uousuenger ai	-|-|---|------⌫-|
dis t wista scesor en uenés	---⌫|-----⌫---|-|-|-----|
ieluousrend raior	-||---|----⌫--|-|
leprennés	-|-------|
liquensle siuilu is i ep time	-|----|-|---|--⌫|-⌫-⌫--⌫---|
et wistasceestoit	-|-------|-----|
luiyyis me	--|----⌫-|
wistascealecontem e né	-------||-|----|-⌫-⌫--|
entresagen t etoste lé	----|-|---⌫|-|----⌫--|
lique nsnef umi e asseur	-|---⌫-|-|-⌫|--⌫|-----|
distwistascesn aiéspeur	---|--------||----|---|
ieme uoela corder auous	-|-|---|-⌫-----||---|
pourd iu mer chi bi als s iredous	---|-⌫-|---⌫--|--⌫--|-⌫--|---|
sireca rparlonsdelap ais	---|--⌫|------|-|-|-⌫--|
etdist li quen slaissie ́m eempais	-|---|-|----⌫|-------⌫|-⌫|-|---|
ce stpornoie ntetpor	|-⌫-|--|----⌫-|-|--|
iaa moinestrés	-||--||------|
distwis tascesalés	---|---⌫-----|----|
puiskil ne	----|-|-|
puet est reautrement	---|---⌫-|--------|
enmon c onduite stesuenus	-|--|-⌫-----|-⌫---|----|
si niseréspas	-|||-----|--|
liquens arri ereretorna	-|----|----⌫--|------|
et wistascessede storna	-|--------|-|--⌫-----|
