ci lkiseuent de	--⌫|-|-----|-|
iustela me r peiss unque rant	----|-|--⌫|-----⌫-|---⌫---|
une w oelca truuad enterre	--|-⌫----|-----|-|----|
sotu nkesmanie re	--|-⌫---|-----⌫-|
peust la sca lepescee r	----|-|---⌫-|------⌫|
quantasunnideustrepairer	----||--|-|----|-------|
unecornaillelen cuntra	--|--------||--⌫-----|
siditquelel i enseinnera	-|--|-|--|-⌫|---------|
cu m entl as cale	--⌫-⌫--|-⌫|-⌫---|
purr a uuerir	----⌫|-----|
selealpeissun p urra	|--|-|------|-⌫---|
puislirouaamuntuo ler	---|-|---||---|--⌫--|
tanthaltcumplus purratmu nte r	---|---|--|---|-----|--⌫---⌫|
serr atmuntéla sus	----⌫-|-----|-|--|
sileistlaw oelkechair	-|----|-|-⌫----|----|
sur dure terre usurr o chier	--|---|----||--|-⌫-⌫----|
silapurratbie ndepe scier	-|-|-----|---⌫|----⌫----|
adgrant de sirer	-|----|--⌫----|
de lawoelkequil uo lt	-|-|-----|-|-|--⌫-|
ha lt la p orta	--⌫-|-|-⌫---|
lacornailefutenagueit	-|-------|--|-|-----|
aua nta ladelbecferi	---⌫-|-⌫-|--|--|---|
si quela s cale unpoiuuri	-|--|-|-⌫---|-|--|---|
l epe issu ndedenzmanga	-⌫|--⌫----⌫|-----|----|
lascal elest	-|----⌫|---|
si sen al a	-||-|--⌫|
ei nz que li e g les f us t uenu z	--⌫-|--|-|-⌫-⌫--|-⌫--⌫|----⌫|
sefust ap arceuz	-|---|--⌫-----|
l e pert uset otfait petit	-⌫|----⌫---|-|---|----|
que lieglesni auenist	--|-|----|||------|
parces t e fable	--|---⌫-⌫|----|
del peissu n	--|------⌫|
nus mustre essampledelfelun	--|-----|-------|--|----|
quiparag uaitepar eng in	--|--|--⌫---||--|---⌫-|
mescunse ille sun	--------⌫---|--|
bonue is in	--|--⌫--⌫-|
telchoselicun seille	--|----|-|---⌫-----|
chieftrair e	----|-----⌫|
equantil unkes	|----|-|----|
suntmielzensemb l e	---|----|------⌫-⌫|
par traisunlecol	--|------|-|--|
queciladpurchacié	--|--|-|---------|
epargranttraua il g uai nne ́	|--|----|-----⌫-|-⌫---⌫---⌫|
issiauintebien	---|----||---|
quepar deu ant	--|--|---⌫--|
une fe n es tre	--|--⌫-⌫--⌫--|
quenune despe nsefu	-|-|--|-----⌫--|-|
uo la uncorfsiad u eu	--⌫-|-|---|-|-|-⌫-|
formagesqu i dedenz	-------|--⌫|-----|
esurune cleiegiseient	|--|--|----|-------|
pri ssesen ua	---⌫|-||-|-|
unsgup il z uintsi l encun tra	--|---⌫--⌫|---|-||-----⌫--|
delfurmagead grant desi rer	--|------|-|----|----⌫--|
quile npeustsapar t	-|-|-⌫|----|-|---⌫|
parenginuoldrad	--|----|------|
se le corfpur radenginner	-|-|---|---⌫--|-------|
a deu sirefai t ligupilz	|--|---|---⌫|-|-----|
tantpar est ciloiselgentilz	---|--|--|--|----|------|
al mundn ad	-|---||-|
si bel oisel	-|--|----|
ne uis i bel	-|-|-⌫|--|
sischanz cum	--|----|--|
estsisc ors	--|--|-⌫--|
ilual dreitmi elzque nulors	-|---⌫----|--⌫--|--|--|--|
lic orsseoibien loer	-|-⌫--|-|-|---|---|
quen tutle mund n od	-|-|--|-|---||-|
pu rpenseraseisi ch antera	--⌫-------|--|-|--⌫-----|
ia purchanter losne perdra	-|--|------|--|-|-----|
le bec uurisi	-|--|---|-|
eli furmage l ieschapa	|-|------|-⌫|------|
alaterreli estu et c hair	|-|----|-|----⌫-|-⌫---|
eligupilleuait	|-|----|-|---|
pui snotil cur e desunchant	---⌫||-|-|---⌫|-|--|----|
furmageot su n	------|-|--⌫|
ceoestessampledesorg ui llus	--|--|-------|--|---⌫--⌫---|
k id egr antprissuntdesi rus	-⌫|-⌫|--⌫--|---|---|----⌫--|
parlosengerepar	--|-------||--|
hum biena gre se ruir	--|---||--|--⌫---|
lelurdespen dentfolement	-|--|------⌫---|-------|
false lo sengedelagent	----|--⌫----|-|-|---|
dunliuncunt eliescriz	|-|---|----⌫|-|-----|
kif u defreizeenue illiz	-|-⌫|------||----⌫----|
mul t iutmaladeslu n gement	---⌫|--|------|--⌫-⌫-----|
delleuernioutnient	--|----|||--|----|
tute sl esbe stes	----⌫|-⌫-|--⌫---|
sasemb leren t	|-----⌫-----⌫|
purluiuee ra curtaleren t	--|--|---⌫||---|------⌫|
l i plusursuntpur lu idolent	-⌫|-----|---|--|--⌫|-----|
etasquanz nench altnient	-|------||-|--⌫--|----|
ete lsi a qui uunt	|--⌫-|||--|---|
ala deuise d ell iun	|-|-----|-⌫-|-⌫--|
es aueru ul entli	|-⌫---|-⌫--⌫--|-|
s en lui ad me isnul retur	|-|--|-|--⌫-|--|----|
libucsde sa	-|---|-|-|
cornele bute	----|-|---|
e li as n esqui p asneldute	|-|--⌫-⌫-|--|-⌫-|-||---|
od lepelefertsurlepiz	-|-|-|-|---|--|-|--|
daltr e partuint li gupilz	|----⌫|---|---|-|-----|
asdenz le mor tpar sesorailles	-|---|-|---⌫|--|--|-------|
ditli liunsieoueimeruei lles	--|-|----|--|--|------⌫---|
bien mesuuent	---|-|-----|
quen mun ee	-|-|--|-|
quanti efnes	----|-⌫----|
m enfantee	|-------|
q ue tutes	-⌫-|----|
bestesmed ut oent	-----|-|-⌫--⌫---|
cum seignure	--|------||
quantieo ereliez	----|--|--|---|
heitezes teient	-----|--⌫-----|
quant ieoe reirez	----|--|-⌫-|---|
multsec remeient	---|-|-⌫-------|
oree n ma feblete	--|-⌫|-|------|
defulém untengr antuilte	------||--|-|--⌫--|----|
multmesem blegrei nnuru i l t e	---|-|---⌫--|----⌫---|-⌫-⌫-⌫-⌫|
d eces qui furentmipri ue	-⌫|--|--|-----|-|---⌫-|
a qui iofish onu r e bien	|--|-|--|-⌫---⌫||---|
ki neremembre ntnule	-|-|--------⌫-|---|
quides al tres	--|--|--⌫---|
a quiieomesfis	|--|--|-----|
le nun puissantadpoiamis	-|--|-------|-|--|---|
par meismes	--|------|
ce st eraisun	--⌫--⌫|-----|
pernumes samp led el	-----|--⌫----⌫-|-⌫-|
quiunk es chietennumpoeir	--|---⌫-|----|-|--|----|
c ilpe rts a forceesunsau eir	-⌫-|--⌫-|-⌫|----||--|---⌫--|
mult let ienenten grant	---|-|-⌫-----|-|----|
nisles pl usursquil	--|--|--⌫----|--||
dun ric hehumetruuumescrit	|-|---⌫-|---|-----|-----|
quiauei t unchenetpetit	--|----⌫|-|-----|----|
su uentesfe izaluiiua	--⌫-----|--⌫-||--|--|
eun suens asnesl esgarda	|-|----|----||------|
ensuncurage	-|--|-----|
e ntendi bien	-⌫-----|---|
que tut li altr eai ment	--|--|-|----⌫|--⌫---|
seignurqui lcher iss eit	------|--||----⌫---⌫--|
eq uiodluise deduieit	|-⌫-|-|--|-|-------|
suzsunmant el	--|--|----⌫-|
lefis tmu sc er	-|---⌫|--⌫--⌫-|
s ilfist lesa ltresab aer	|-|---|--|-⌫----|--⌫--|
multsestli asnespurpens ez	---||--|-|----|-------⌫-|
quemielzdel chien ualti l assez	--|----|--|----|---|-⌫|----|
edebel te e degr a ndur	|-|---⌫-||-|--⌫-⌫---|
milz s aureitilas unseinnur	---|-⌫-----|-||-⌫-|------|
iue rqu esunchenet peti tz	---⌫|--⌫|--|-----|----⌫-|
emielz serreitoi si s c riz	|----|------|-|--⌫|-⌫--|
mielzsaureitsurl uisaillir	----|------|--|-⌫-|------|
mielzles auere it del peferir	----|-|-⌫-----⌫-|--|-|----|
pu rfo l setientqualuineuieit	--⌫|--⌫|-|----|-||--|-|----|
ods a uo iz necri e	-|-⌫|--⌫-|-|---⌫|
cumf ait lechens surleseinnur	--|-⌫--|-|----|--|-|------|
issiaui n tq ue paruniur	---|---⌫-⌫|-⌫-|--|-|--|
salout lisirededuia nt	|----|-|---|------⌫-|
od tutle chena laiua nt	-|--|-|---|-⌫-|---⌫-|
nepotliasnesplu ss uffrir	-|--|-|----|---⌫|-⌫-----|
uersleseinnurpri st	---|-|------|---⌫-|
s urluic u mencaa recane r	-⌫-|--|-⌫-⌫----||------⌫|
q ue tutlefa itaspo nte r	-⌫-|--|-|--⌫-|----⌫---⌫|
despezle fiertsurluisa illi	--|--|-|----|--|--|--⌫---|
si queal ate rrel	-|--||-⌫|--⌫--||
purun petitnel	--|-|----|-||
se lisir e s ne ust	-|-|---⌫-⌫||-⌫--|
harouharouaidezmei	----|----|----|--|
sihoemi saillent adesr e i	-|---||-------||----⌫-⌫|
c hes cunt in tmascu eubastu n	-⌫---⌫--|-⌫--⌫|-----⌫||-----⌫|
lasnefierent	|---|------|
t ut en ui run	-⌫-|--⌫--⌫--|
agr an tmartireea grantdulur	|--⌫--⌫|------|||----|----|
porent rescurelur	-----|------|--|
dessiquelasn eun	----|--||---⌫|-|
q u ille lessent	-⌫|-|-|------|
tutestend u	--|------⌫|
peinneuinta	-----|---||
sa uerdeuumparcestefable	--⌫--|----|--|----|----|
lamanieredemaintegent	-|------|-|-----|---|
multlepot ho emueersuuent	---|-|--|--⌫-|---|-----|
kitant s eu ult	-|---|-⌫|-⌫--|
hoemeshal cer	---|-----⌫--|
telliuaparager	--|--|-------|
auien tpasa l urcorsage	-----⌫|--||-⌫-|------|
en surquetut a	--⌫--------||
lur parage	--|-----|
a meint ene st s i auenu	|----|-|-⌫-|-⌫|----|
cuma lasnequi	--|||---|--|
d un liund itq ui sedorm eit	|-|---|-⌫-|-⌫-|-|----⌫--|
enun bosc age ui l	-|-|----⌫--||-⌫|
entu rl ui	----⌫|-⌫-|
seuunt de duiant	-|---|--⌫-----|
sur izpe tite s	---⌫-|--⌫----⌫|
curu t neguarda	----⌫|-|-----|
s url eliunsi l esueilla	-⌫-|-⌫|---|-||-------|
liliunsfudmult	-|----|--|---|
la surizpr isttantfuirez	-|----|--⌫--|---|-|---|
de liuoleit f ere	-|-|-----|-⌫--|
e lee scundistquennule gu ise	-⌫-|-⌫-------|-|-|---|--⌫--|
aescientnelauei tf ait	|------|-||----⌫|-⌫--|
e li liuns	|-|----|
a ta ntla lest	|--⌫-|-|---|
pet it donurceodit	---⌫-||---|--|--|
delas urizs illa ocieit	-|-|-⌫---||-|-|-----|
gueresde tensnedemura	-----|-|---|-|-----|
que un hoemapareilla	--|-|---|--------|
c rosedede nz	-⌫---|----⌫-|
fupr isli liun e nz	-|--⌫-|-|---|-⌫-|
g rant poura quehoemne	-⌫---|---||--|---|-|
dedenz la fossebreitecrie	-----|-|----|----||---|
lasuriz ua ital	-|----|--⌫-|-|
cri tutdre it	--|--|---⌫-|
mesnesau ei t que ce oesteit	--|-|---⌫--⌫|--|--⌫|-----|
ki alboislaueit esueillé	-|-|---||----|--------|
quant eleuitsi	----|--|--|-|
deman dali queotla	-----⌫-|-|--|-|-|
eilresp unt qu ilert	|-|----⌫--|-|-|--|
o ciss e reit agra ntdulur	-⌫--|-⌫-⌫---||---⌫-|----|
ore uusrendraileguered un	--|--|------|-|------⌫-|
queam eifeistes	--||-⌫-|------|
le pard un	-|----⌫-|
quant od mespiez uu soimarché	----|-|--|---|--⌫|-|------|
gratezlaterre oduostrepe	-----|-|----|-|-----|-|
tan tqu ea fermer	---⌫|--⌫|-⌫-----|
u usipeussez	-⌫-||------|
e puisamuntbien l esachez	|---|----|---|-⌫|-----|
quesip or rezcahors eissir	--|-|-⌫--⌫--|-|---|-----|
eieo ferai od	|--|----|-|
altres suriz purmeiaider	-----|----|--|--|----|
ascordesquecisunt trencher	-|-----|--|-|---|-------|
ea s r eiso u squisuntt enduz	|-⌫|-⌫----⌫-⌫|--|---|-⌫----|
niserrezmieret enuz	||-----|--|---⌫---|
lenseinnementalas uri z	|-----------||-|-⌫---⌫|
fist liliunssi f udguariz	---|-|----|-|-⌫-|-----|
delafos se est	-|-|---⌫-|--|
l aliualuthumil itez	-⌫|-|----|-----⌫---|
p arceste fableleuusasomme	-⌫-|----|----|-|--|-----|
quessa mpleprenge l irichehumme	-|----⌫---|-----|-⌫|----|----|
s ill urmes funt p a r n ul	|-|-⌫-|---⌫---|-⌫-⌫|-⌫-|
ena ientbonemerci	-|-⌫---|---|----|
auenirpoet tutaltres i	-----|---|--|------⌫|
qu ecilli auradgrantmester	--⌫|--|-|----|----|-----|
cun seiller	---⌫------|
a s unbo suins	|-⌫-|--⌫---||
il e stsupris	-|-⌫-|-----|
queli mieldrede	--|-|------|-|
p arueilessample	-⌫-|---|-------|
enescrittrois	-|-----|----|
qua ntnumsemaprimes lin s	---⌫-|--|---|-----|---⌫|
euol tdelinlepruaueir	|---⌫|-|--|-|--|----|
lar undefudegr ant sau eir	|--⌫---|-|-|--⌫--|---⌫--|
bie nsaparcutquepar lelin	---⌫||------|--|--|-|--|
serruntoisa lsmisalu rfin	------|----⌫-|--||--⌫|--|
del linpothoem larei	--|--|--|---|-|--|
dunt hoempot biendamager	---|---|--|---|------|
tuzle s oisalsfis t asemb ler	--|--⌫|-----|---⌫|-----⌫--|
quilalassen t lelinmange r	-|-|-------⌫|-|--|-----⌫|
nepustfructefier	-|---|---------|
lip lusurs neluo dre ntfere	-|-⌫-----|-||--⌫---⌫-|---|
al seinnuralerentretraire	-|------|------|-------|
qu il lur otduné	-|-|--|-|----|
quantlarunde ot	----||-----|-|
l aue ientencusee	|---⌫---|------|
desesparenzfistase mb l ee	-|--|-----|---|---⌫--⌫-⌫-|
od les meillurs de salignee	-|--|-------|-|-|-----|
si sesaluila inapae e	-||-|-|----⌫-|----⌫|
en sa maisun suffr isunni	-|-|-----|-----⌫|--|-|
la fur ent sio iselnurri	-|---⌫--|-|-⌫---|----|
eleduna a su n linpais	--|---||--⌫|--|---|
ia parnuld	-|--|--||
eals n elperdramais	---|-⌫||-----|---|
cilfistdel	--|---|--|
linen ginsplusurs	--|--⌫---|------|
duntpristois als granz emen urs	---|----|---⌫--|----||---⌫--|
n eneu ssent	|-|--⌫----|
sileussent cunseil cr eu	|-|------|------|--⌫-|
cest esemblan ceest as ezue ir e	----⌫|-------⌫-|--|--⌫-|--⌫--⌫|
quant f olsne uolt lesag e creire	----|-⌫--|-|---|-|---⌫|-----|
quiboncunseilli	--|--|------|-|
edesunmal le uoltgua rder	|-|--|--|-|---|---⌫---|
s e d ama ge	-⌫|-⌫---⌫-|
len d eituenir	|-|-⌫--|----|
dunc esttroptart del repentir	---|--|---|---|--|-------|
adisauintqu	---|----|-|
enu n es tan c	-|-⌫|--⌫---⌫|
enturlesriu esealfanc	----|--|---⌫-||-|---|
out de ra inesgrant	--|-|--⌫---|----|
cu mpaignies	--⌫--------|
quede luncte nsisuntnuries	--|-|---|--⌫-||---|-----|
ladesdei gnerent ar ester	-|------⌫------||-⌫----|
al a te r euolent	|-⌫|--⌫-⌫|-----|
a lurdestineesalerent	|--|--------|------|
s uuentesfeiz lu rdemanderen t	-⌫------|---|--⌫|----------⌫|
querei lurdeustenueier	--|--|--|----|------|
al treri enn	--⌫--|--⌫-||
orentmester	----|-----|
quantmai ntefeizorentpreie	----|---⌫--|---|----|----|
la destineead	-|-------|-|
enmicel ewe u n trun ccel	---|--|--|-⌫|----⌫|--|
duntil orent grant pour	---|-|----|----|---|
cel equi presdeltrunestuit	---⌫|--|---|--|---|-----|
qu antele uitqui ln esemut	--⌫--|--|--|-|-⌫|-⌫|-|--|
sescum paignesadapelees	--|---⌫------|-|------|
s isuntense mbleal trunc alees	-⌫|---|----⌫---|-|----|----|
puis lesaluen tcume rei	---|-|------⌫|---|--|
echescunelipramet fe i	|-------|-|-----|--⌫|
tienentpurseinnur	------|--|------|
sil iportent gran thonur	-|-⌫|------|----⌫|----|
mesquantl itrun cnesemut	--|----|-⌫|----⌫|-|-|--|
eelesuirent	|---|-----|
quiles t ut	-|-|--⌫-⌫-|
enmi celewetutenpeis	---|--|--|--|-|---|
s urluimuntenta un	-⌫-|--|------||-|
luruil anie sur l ifirent	--|---⌫---|--|-⌫|-----|
alfunzdelewe labatir ent	-|---|-||--||------⌫--|
a lades tin e	|-|---⌫---⌫|
reid emandent karnul	--|-⌫-------|--|--|
mal ueisfuz	---⌫---|--|
lades tineeienueia	-|---⌫----||-----|
unecoloureg rant	--|------|-⌫---|
kilesdeuu r eetr ait a	-|--|----⌫-⌫||--⌫--||
tutesfurentengrant turment	----|-----|-|----|------|
dunccri erentplus egrement	---|---⌫----|---|-------|
aladestin eemerci	|-|------⌫-|----|
n enil nenilieo uu ssuffri	-⌫---|----|--|--⌫|-----|
tutesuoz uolentez	----|--|-------|
seinnur eus tes	------|---⌫--|
uilmentle hunesiste s	------|-|---------⌫|
orelaueztel	--||---|--|
cum uus queistes	--|--|-------|
issiau ent plus urs lefunt	---|--⌫--|----⌫--|-|---|
d ebonsseinnurs	-⌫|---|-------|
t u ziursleuulent defuler	-⌫-⌫|---|-|-----|------|
nelise u enthonurporter	-|-|--⌫-⌫--|----|-----|
s ilnestientalkesen d estre it	|-|-||----|----|-|-⌫-----⌫-|
ne fun tparluine	-|---⌫|--|--|-|
tort nedreit	---|-|----|
a te l seperne ntquis	|--⌫|-|-----⌫-|--||
delur aueir	-|--|----|
mainesun brui t	----|--|----⌫|
l oresregre ttentlur bo nseinn ur	-⌫---|-----⌫----|--|--⌫|-----⌫-|
a qu i ilfiren t iades hon ur	|--⌫|-|-----⌫|-|---⌫---⌫-|
dun la rruncunte quiala	|-|--⌫---|----|--|--|
b erb iz emblerquil	-⌫---⌫-|-----|-|-|
ensemble odlui p ortaunpain	-------|-|--|-⌫---|-|---|
al ch ienuuleitl e	-|--⌫--|-----|-⌫|
pai nbailler	---⌫|------|
kilafaldede ueitguaiter	-|-|----|--⌫---|------|
lichiendit ami pu rquei	-|----|--|--|--⌫|---|
pren drai cestpai n dete i	----⌫---|---|---⌫|-|--⌫|
ieo n el te puisguereduner	--|-⌫||-|---|---------|
f ai atuntunoesle painguarder	-⌫-||--|--|--|-|---|------|
di tieone quierr ie n	--⌫|--|-|----|-⌫--⌫|
maniuele painsilr etien	-----|-|---|-||-⌫----|
l ichienrespunt neluuilneent	-⌫|----|------|-||---|----|
ieo saitresbienaes cient	--|--|---|---||--⌫----|
kema bucheuul sestuper	-|-|----|---⌫|------|
que ieo ne pusse	--|--|-|----|
siembli erez	-|-----⌫---|
no zberbiz	--⌫|-----|
karliberkierest	--|-|------|--|
tr ai aureiemunseignu r	--⌫-|-----|--|------⌫|
quimadnurri desqua	--||-|----|----||
male mentaur eit enpleie ́	----⌫---|---⌫--|-------⌫|
n urrieafaite	-⌫---||-----|
sipa rma gu arda aueit	-|--⌫|-|--⌫---|----|
ceod untilm adlunctenspeu	--|-⌫--|-||-|---|---|--|
enharreies	-|-------|
e purtreitremeten dreies	|--|------|-|---⌫-----|
ne uuiltunpain si gua iner	-|---|--|---|-|---⌫---|
d unc comenca abaher	-⌫--|------|-----|
p ar essample nus	-⌫-|-------|--|
ches c unsfranshoemfacea ltresi	----⌫-⌫--|----|---|---|-⌫-----|
sen usleu ultduner lue r	-|-⌫-|-|-⌫--|----|---⌫|
ne pa rpramesse	-|--⌫|-------|
que sun seinnur	--|--|------|
deiuetr air	----|--⌫--|
n e uuille miec unsenti r	-⌫|-----|--|-⌫-------⌫|
atendre endeittelgueredun	------|-|---|--|-------|
cum lichenfist	--|-|---|---|
de lla ru n	--⌫|--⌫--⌫|
iadisauintkuns lu	----|----||--|-|
pa r miunbois si encuntra	--⌫|-|-|---|-|-------|
unetruie quiprence este i t	--|----|--|-----|----⌫-⌫|
alaagrant espleit	--||----|------|
e dit quepeis liuultduner	|--|--|---|-|---|----|
o rsehastastdepurc eler	-⌫|-|------|-|----⌫---|
carses purcealsuuleit a ueir	--|--|-------|-----|-⌫---|
elerespun t pargrant saueir	--|------⌫|--|----|-----|
sir ecument	---⌫|-----|
meh ast ere ie	-|-⌫---⌫---⌫-|
s ipres d e	-⌫|---|-⌫|
m eiuusueie	-⌫-|--|---|
ne me puis ieopas deliurer	-|-|---|--|--|-------|
t elhunteai	-⌫-|----|-|
de uusesguarder	-|--|--------|
idunc s en	----||-|
lu smuscier	--⌫|------|
kilepurcea ls uuleitmanger	-|-|------⌫-|-----|-----|
ela trui esenes t	|-|----⌫||-|--⌫|
kipare ngin sen est	-|--|-⌫---||-|--|
cestessamp ledeiuent oir	---|------⌫-|------|--|
tutes fem me erete nir	----|---⌫-||----⌫--|
pursuleme ntlur corsguarir	--|------⌫-|--|---|-----|
neless entlure nfa nzperi r	-|----⌫--|--|-⌫---⌫-|----⌫|
dun liundit	|-|---|--|
ki as embla	-|--⌫----|
tutesles bestes e	----|--|-----||
ki aloe ntsur quatrepiez	-|----⌫-|--|-----|---|
e lieglezrapurchacez	|-|----|-|--------|
t uzlesoiselsqui eles	-⌫-|--|-----|--|---|
eq ui uolenten	|-⌫-|-----|-|
leirlamunt	|--|-|---|
bata illed eiuenttenir	----⌫---|-⌫-----|----|
qua ntensembled urentue nir	---⌫-|-------|-⌫----|--⌫--|
ela chaues uriz l esuit	|-|----|-⌫---|-⌫-|--|
ensuncuer pen seedi t	-|--|---|---⌫-||--⌫|
redutotcel afaire	------|--|-----|
nesotas quelsse duttraire	-|--|-|----|-|--|-----|
odcels uo ltestrequiue inter unt	-|---|--⌫-|----|--|--⌫-----⌫--|
equila gr einnur forc eauerunt	|--|-|--⌫-----|----⌫|------|
surunhal tf us t	--|-|---⌫|-⌫--⌫|
pur esgua rder lesase mblez	--|-----⌫---|--|---⌫----|
ceol ifu auisas un	--|-⌫|-|---||-⌫-|
que liliunsaueitplusgent	--|-|----|----|---|---|
equilertdegreinnuriu stise	|-|-|--|-|-------|--⌫----|
alt ressu rizsestmi se	---⌫--|--⌫--||--|--⌫-|
lieglesfut	-|----|--|
amuntu olez	|---|-⌫---|
odles oisal s kot	-|--|-----⌫||-|
tant e n i	---|-⌫||
ottanteniuindre nt	-|---|-||------⌫-|
que le s bestespoide liu tindrent	--|--⌫|-----|--|-|--|-------|
quan tlecha u esuriz les	----⌫|-|---⌫-⌫|----|--|
pesak oteus nesteit	---||-|--||-----|
desbe stessen estdepa rtie	--|--⌫---||-|--|----⌫---|
se spezmusca si fistfolie	--⌫|--|----|-|---|----|
m esquan tseseless entreuueri	-⌫-|----⌫|--|---||---------|
pardeuantsedescuueri	--|-----|-|--------|
duncfusafolieaperte	---|-|-|----|-----|
esatraisundescuuert e	|-|------|---------⌫|
oiseals ebestes la h uerent	------||-----|-|-⌫-----|
alursepandeseclamerent	|--|------|-|--------|
delach auesuriz s eclaiment	-|-|--⌫--|----|-⌫|-------|
multla hunisenteblaste ngent	---|-|-------||------⌫----|
emustrer entli sa	|-------⌫--|-|-|
ecum e leadfeimenti e	|--|-⌫-|-|--|-----⌫|
lasepande luradiuree	-|------|--|-|----|
l esuengera	-⌫-|------|
puislamaldist	---|-|------|
que iame is enliuneu enist	--|-|--⌫-|-|--|-|-⌫----|
queo isealsne bestelaueist	--|-⌫-----|-|----|-|----|
tote clarte li adtolue	---|-----|-|-|----|
iam eispariur n	-|-⌫--|--|--||
ertmeisu eu e	--|---|-⌫--⌫|
ap resurapur lui huni r	--⌫--|--|--|--|----⌫|
saplumeostapurlui	-|----|---|--|--|
descuur ir	-------⌫-|
al tre siestdeltra itur	--⌫---⌫-|--|--|---⌫---|
k imesei reuerssun se innur	-⌫|-----⌫-|---|--|--⌫----|
dei thonur porter	---⌫|----|-----|
elealtee fei guarder	|-----||--|------|
sire adde li	---|-|-|-|
eilleueieafebleer	|-|-|---|-------|
a sun bus uin li u olt	|--|---⌫--|-|-⌫--|
e od altr esuolttenir	|-|----⌫-|---|----|
sesissireuientaldesus	-|--|---|----|-|----|
nepuetless e r sunm alueisus	-|---|----⌫-⌫|--|-⌫-----|-|
duncuul drat alui retur ner	---|---⌫---||--|-----⌫--|
de t utes parzuult m eserrer	-|-⌫---|---|---|-⌫------|
eauilezeuergunde z	|-----||--------⌫|
pert esunauei r	---||--|----⌫|
e terep rouerenunt	-⌫||---⌫----|-|--|
atuziursen	|--|---|-|
est sihu niz	--|-|--⌫--|
cum fuz lachaue sur iz	--|--|-|----|---⌫-|
cunt e cis t escriz	----⌫|---⌫|-----|
quifutmo rt e enfuiz	--|--|--⌫-||-----|
meineg rant du lur	----|-⌫---|--⌫--|
surla tumbenu it eiur	--|-|----|--⌫-||--|
presdiloecotun larrun	---||----|-|-|-----|
quie r tpenduz p urmesprisun	--|-⌫-⌫|-----|-⌫-|--------|
par lacuntr ee	--|-|-----⌫-|
kilelar run aueitost é	-|-|---⌫--|----|---⌫-|
sun iugementmeis me auereit	--|-------|----⌫-|------|
siler t ateint	|-|--⌫|-----|
pe ndusereit	--⌫--|-----|
unsch eualersle	--|--⌫------|-|
sis par enzertsi	--|---⌫--|--|-|
du ncnesot ilcuns e il truuer	--⌫-|-|--|-|----⌫-⌫-|-----|
se peustdeliure	-|----|------|
karseuertdemeinte gent	--|--|--|-|-----|---|
q uil leteneit pur	-⌫|-|-|-----|--|
alcimetere ua tu t dreit	-|-------|-|--⌫|----|
laula prodef emm ee steit	-||-|----|-⌫---⌫|-⌫----|
kisunseinnur	-|--|------|
ot tantpluré	-|---|-----|
cuintementadali parle ́	---------|-||-|-----⌫|
ditqu e lese cunfor tas t	--|-|-⌫-|-|------⌫---⌫|
mult sere itle s elelamast	---|----⌫-|-||--||----|
l aprodefemme lesg u arda	-⌫|----|----||---⌫-⌫---|
gr a n tioie fist	--⌫-⌫-⌫|---|---|
que le fra	-|-⌫-|--|
s auolente	-⌫|------|
li cheualerliad	-|-------|-|-|
li fut mesa uenu	-|--|----⌫---|
quilotdespendu	-|-|-|-------|
s elenelen	|--|-||-|
sei tcu n seil duner	---⌫|--⌫-⌫---|----|
horsd elpaisl en estuet aler	---|-⌫-|---||-|-----|---|
laprodefemme respundi	-|----|----|-------|
desfuu mmun barun ci	------⌫|--|----|-|
puiss ilpen dum laucil fu	---||-|---⌫--|-||--|-|
iertia meisaparceu	---|-|---|------|
deliu rerdeithoemparl e mort	-----⌫--|---|---|--|-⌫|---|
leuifduntl enatentc unf ort	-|--|---|-⌫-|----|-⌫---⌫--|
par cestesenefia nce	--|----|-------⌫--|
po umentendrequ el cr e ance	--⌫-|-------|--⌫-|--⌫-⌫---|
deiuentau er limorzasui fs	------|--⌫-|-|---|-|--⌫-|
t a nt estli munziolif s	-⌫-⌫-|--|-|---|-----⌫|
dunsinge ditqui dema nd a	|-|----|--|--|----⌫--⌫|
a un gupilqu ilencunt ra	|-|----|-|-|------⌫-|
desacueliprestast	-|-|--|-|-------|
si lip leustu	-|-|-⌫----||
futquetropl	--|--|---||
kar tutsuntcue	--|--|---|--|
ligupildemanda qu e d eit	-|----|------|--⌫|-⌫--|
lisingeditceom	-|----|--|--||
ne uusene rtnient	-|--|-|-⌫-|----|
uu liezunpoi duner	--⌫---|-|--|----|
karele uus nuista tostaler	--|--|--|----||---|---|
di stligupilz	--⌫-|-|-----|
ceste requestepo i uus	----|-------|--⌫|--|
iademacu equi	-|-|-|--⌫|--|
estsigra nt	--|-|---⌫-|
ne honur r ez	-|-----⌫-⌫-|
uostre enf a nt	-----|---⌫-⌫-|
iouus dibienaper tement	-|--|-|---|----⌫-----|
c elerequest eneu altnient	-⌫--|-------⌫|-|-⌫--|----|
mesquele fustde	--|-|--|---|-|
tel afaire	--|-----|
qu eieonelapeu s s e traire	--⌫|--|-|-|---⌫-⌫-⌫|-----|
cestes samplepur c e o uus	---|--⌫-----|--|-⌫-⌫|--|
delquerest altresi	--|---|--|------|
s ila d plus	|-|-⌫|---|
qual u i n estoet	-||-⌫-⌫||-----|
neu ultsuffrir	-|-⌫--|------|
karilnepoet	--|-|-|---|
kealtre en ait a is e neho nur	-|----|-|--|-⌫--⌫|-|--⌫--|
