cefuapasque slafeste	-|-||------⌫|-|----|
da ymeripartentuonts	|-⌫----|------|---||
deloriorneesnefazacontoison	-|--|------|-|--|---------|
tant ch eualchierent a force et a	---|--⌫-----------||----|-||
anseuneen son	------|-|--|
me stredonion	--⌫---|-----|
trueuentgari nlenobilebaron	-------|----⌫|-|-----|----|
lorme ssaie l icon te ntiusque nson	--|--⌫----|-⌫|---⌫--⌫-|----|-⌫|--|
iliuradeuquifo r malaz a r on	-|---|--|--|--⌫-⌫-|---⌫-⌫-⌫-|
saan drena sp uetuenir elsa blo n	||--⌫-----⌫|-⌫--|----|-|--⌫---⌫|
as sarrazinsmouratel e te ncon	-|--------|----|---⌫|--⌫---|
l ipl ushardizenau ra telfr icon	-⌫|--⌫-|-----|-|--⌫-|--|--⌫---|
estre porlordepre	----|--||-|-|--|
et aymeris olof lorig renon	-|------||-|-⌫---|-⌫----|
fua nerboneen sonmestre donion	-||------|-|--|-----|-----|
mande se s homesentor etenuiron	----|--⌫|----|----|-|------|
u oit ses baronsses	-⌫--|--|-----||-|
a mis areson	|--||----|
ent ende zmoi fet lique nsfranc bar on	---⌫----⌫|--|--|-|---⌫-|----|---⌫-|
detozmesf ilzlemeill or oublio n	-|--|--|-⌫--|-|-----⌫-|------⌫|
ceestguillaumesqui si esthardiz hom	-|--|---------|--|-|--|-----|--|
celuidor eng e quisiagr antrenon	----||--⌫---⌫|--|-||--⌫--|----|
mesie me ismes iraiporl obaron	--|-|--⌫----|---|--|-⌫|----|
ioifroid anioumontez	------||----|-----|
acoma rchi sirezdir ea	|----⌫----⌫|---|---⌫||
que amoi uiegne sanz nu l e	--||--|-----|---|--⌫-⌫|
a rrestoison	-⌫---------|
s a mointsonostaforce et	|-⌫----|--|--||----|-|
siref etila deubeneicon	---|-⌫-|-||--|-------|
i lestmontezelmuletarrag on	-⌫|--|-----|-|----|-----⌫-|
sonmessaie	--|------|
biaufil guibertditaymer is lib er	---|--|------|--|-----⌫-|-|-⌫-|
uosirezquerr el ochetifay mer	--|---|-----⌫|-⌫|-----|--⌫--|
dexdi tguiberz	--|--⌫|------|
oleporra itro uer	|-|-----⌫|---⌫--|
ge nesaitantneuenirne aler	-|-|--|---|-|----|-|---|
nul home en	--|---|-|
poi sseoir	---⌫--|--|
quim e ns a chenouelesacont er	--||-⌫|-⌫-⌫--|------|-----⌫-|
tantpar fontest dede nzespaigne	---|---⌫---|--|----⌫-|-------|
gl otd itli	--⌫-|-⌫-|-|
qu ensuos icouientale r	--⌫--|--||------|---⌫|
etieiraiaguillau meparler	-|-|---||-------⌫-|-----|
guiberzianelqu ier	------|-|-||--⌫--|
quens aymeris	----|------|
neuoltpasseio rner	-|---|--|----⌫---|
au m atinetsanz plus	-|-⌫-----|---|---|
li quensso rsoncheual	-|----|--⌫|--|-----|
droit aore nge acueil lisonerre r	----||---⌫--|------⌫-|--|----⌫|
etapreslu i	-|----|--⌫|
afait ach eminer	|---|---⌫-----|
g uibe r zses	-⌫----⌫-⌫|--|
fil qui tan tfaitadoter	--|--|---⌫|---||----|
desesiorneesneuosqu ier aconter	-|--|------|-|--|--⌫--|------|
te le auentureliade x fet	--⌫-|-------|-||--⌫|--|
q a y ylieu espar	||-⌫|----⌫-|--|
delabales guez	---|-----⌫---|
t rouaguiberzloc h etifaym er	-⌫---|------|-|-⌫-⌫---|---⌫-|
q ui repe roitd une terrepraer	-⌫-|----⌫---||--|----|----|
desconfitotzzroifelon	--------|-|-|--|----|
yypa i en s	-|--⌫-⌫--⌫|
fet deuier	--|-----|
guiberzlou oits i	------|-|-⌫--|-⌫|
lecor tac ole r	-|---⌫|--⌫---⌫|
grant ioiefontlifr ere a	----|---|---|-|--⌫--||
l encontrer	|--------|
anerbonepristrent aretorner	|------|--------||-------|
a herme niartleuaitz z mesconte r	|-----⌫----|-|---|-⌫|--|-----⌫|
que se sfilzuien tli chetis	--|--⌫|---|----⌫|-|-----|
seleenfulienel	|--|-|-|--|-||
estutdemander	----|-------|
encontreal ala cont esse au uis cler	-------|--⌫|-|----⌫---|-|--|---|
b raceleuee uasonfi l aco ler	-⌫---|----|-|--|--⌫|---⌫--|
m oineagra nt	-⌫---||---⌫-|
io ieos teler	--⌫-|--⌫----|
d enerbone	-⌫|------|
dedenznerbone	-----|------|
fuay meruenuz	-|--⌫--|----|
et aymerisli	-|------|-|
ueuzetli chanuz	---|-|-|-----|
errénestpas arr esteuz	----||--|--|---⌫-----|
o rengeestau perrondescenduz	-⌫----|--|-|-----|--------|
encont re lui estgui llaumeso issuz	------⌫-|--|--|---⌫------|-⌫----|
am olt gr antioi e f uliq uens r eceuz	|-⌫--|--⌫--|---⌫|-⌫|-|-⌫---|-⌫----|
dam eg ui borqan t ditli ots aluz	---⌫|-⌫--⌫--|---⌫|--|-|-|-⌫---|
and oxsesbraz	---⌫-|--|---|
liaau coltenduz	-||-|--|-----|
conioizfudesgranz etde smenu z	------|-|--|----|-|--⌫|----⌫|
et ditgu illaumes	-|--|--⌫-------|
licheual iersmenbruz	-|------⌫---|------|
bia u sirepere por questesc auenuz	---⌫|---|---|--|-|----|-⌫|----|
tr aueilliezestesdontmoltsui irascuz	--⌫--------|----|---|---|--|------|
auosalassep orquo ies tesuenuz	|--|-----|-⌫-|---⌫|--⌫--|----|
d e mon pais portasse lestre uz	-⌫|--|---|-------|--|---⌫-|
ditaymerispor eli	--|------|--|-||
carale r uueilso r	--|---⌫|----|--⌫|
p aiensm escreu z	-⌫----|-⌫------⌫|
aandre nas	|-----⌫--|
don ttale ntm estuenuz	---⌫|----⌫-||--|----|
sienuoiquerremesamisetmesdruz	-|----|-----|--|---|-|--|---|
qa ntlespaiens	--⌫-|--|-----|
auronsmorzet uaincuz	-----|---|-|------|
et lipais ert pris et	-|-|---|--|---|-|
sener tgui berzsesizet reuestuz	|-|--⌫|---⌫---|----|-|-------|
bi aufilzguillau mene soiezesperduz	--⌫-|---|-------⌫-|-|----|-------|
porsecors querre sui	--|-----|-----|--|
ciauosu en u z	-||--|-⌫--⌫-⌫|
uenezomoinesoiez	----||--|-|----|
a yyhom es armezetferuestuz	|-|---⌫-|----|-|--------|
aroidesl anc es	|-----|-⌫---⌫-|
abonsdestriers	|---|--------|
o nosmerr ons nos amisetnos druz	|--|----⌫--|--|---|-|--|---|
ta ntqueser ons yymilliersa	--⌫----|---⌫--|-|-------||
soz and renasert	--|---⌫----|--|
lisieges ten uz	-|-----|---⌫-|
pr isertli regnes gastez etc onfonduz	--⌫-|--|-|-----|-----|-|-⌫-------|
etli palesdelauileabat uz	-|-|----|-|-|---|----⌫-|
prisertiudasetses	---|--|----|-|--|
freresianbuz	-----|-----|
ce s ont duiroide pai en smescreu z	-|-⌫--|--|--|-|---⌫--⌫|-------⌫|
qui maintienentlaterre	--|----------|-|----|
biaufil gui l laumedituos	---|--|---⌫-⌫----|--|--|
porquoi iesui uen u en cestrene	--|---|-|--|---⌫|-|---|---|
qantno sauro ns celpa isconquesté	---|--⌫|----⌫-|--|--⌫-|---------|
g uibert monfilla i p romisetdoné	-⌫-----|--|--||-⌫|-⌫----|-|----|
et augai e te lab e le a ucors	-|-----⌫-⌫-|-|-⌫-⌫-|-⌫|---|
unepu cele quimolta deb iaute	--|--⌫---|--|---||-|-⌫----|
filleestauroiquimaintientlacite	----|--|-|--|--|--------|-|---|
niece clargisleneueul amire	----|------|-|----||----|
q uiennerbonerecut crest iente	-⌫-|-|------|----|-----⌫----|
dexditguillaumespar latoe bon te	--|--|---------|--|-|--|---⌫-|
i aauons nost ant	-⌫|----|--|-⌫--|
ner eposasmesil ayyanzpas sé	-|-⌫--------|-||-|--|---⌫--|
por nulelasc hete	--|---|----⌫---|
fetesen pere	----|-|---|
lauostreuolente	-|-----|------|
ne quier a uo irrepos	-|----|-⌫--⌫-|----|
lomatinetq ant se raaiorn é	-|------|-⌫--|--⌫-|-----⌫-|
me uerreztotgarniet ap resté	-|-----|--|----|-|--⌫-----|
s ontaioie repose ́	-⌫--||---|------⌫|
a umatinet n i ontplus demoré	-⌫|------|||--|---|------|
liquensgu illaumesquitantotde	-|----|--⌫-------|--|---|-|-|
zzolif ant a h aute ments oné	-|----⌫--||-⌫----⌫---|-⌫---|
lorssadouberentpartotela cite	---||---------|--|---|-|---|
et uieleti uenes e son t tuitapresté	-|---|-|-⌫---|-⌫|---⌫|---|-------|
lunporte hachela utreb ran taceré	|-|----|----||-⌫---|-⌫---⌫|-----|
litier ziusarme l	-|----⌫|------||
a u t re piquois ferre ́	-⌫-⌫-⌫-|------|-----⌫|
ci lescui er ont lorh ern oistrossé	--⌫|-----⌫-|--|--|-⌫---⌫--|------|
li cheua liersontmain tenantmonté	-|-----⌫---|---|----⌫-----|-----|
l iquensguillaumes	-⌫|----|---------|
au c or aieaduré	-|-⌫--⌫--|-----|
etaymerisliuelzchanuz	-|------|-|---|-----|
ont deu ant els	--|---⌫--|--|
los tco nduitet guié	|--⌫|--⌫----|-|----|
yy sont qantilsontar oute ́	-|---|---|-|---|--⌫----⌫|
aa iesu comandé	||---|-------|
tantont en senb leesp lo itiéet	---|--|--⌫----⌫-|---⌫--⌫----|-|
par d e sozarl es ont lo	--|-⌫-⌫--|---⌫-|--|-|
ron epassé	---⌫|-----|
iusqa nerbonenesesont arr esté	---||------|-|-|---|---⌫----|
lorsdem oinen t g rant ioie	---|---⌫-----⌫|-⌫---|---|
orotliperesyydeses enfanz	-|-|-|----|-|-|--|-----|
li preuzxme tguibert lo uaillant	-|----|-|-⌫|------|-|-------|
et a ymerlo har dico nbatant	-|-⌫---|-|---⌫-|--⌫------|
alendema i nainzlosolei lcouchan t	||------⌫-⌫|---|-|-----⌫|-------⌫|
dexunea uenture grant	--|--|-⌫------|----|
aymerisuientas	------|----|-|
fenestresau ue nt	--------|-|--⌫-|
amontuers oriant	----|---|-----|
etuituenirda ntbernartdebruban t	-|--|----|--⌫-|------|-|------⌫|
conp aig ne maintcheuali er uaillant	----⌫---⌫-|----|-------⌫-|-------|
li quensapel eherme nia rzla	-|----|----⌫|-----⌫---⌫-|-|
s onfil guill a u mea	-⌫-|--|-----⌫-⌫-⌫-||
l adurétalant	|-----|-----|
esgarde zc adit	-------⌫|-⌫|--|
liquense nriant	-|----|-⌫|----|
cau oiue ni rdantbernartdebrubant	-|-⌫-|--⌫--⌫|---|------|-|------|
osoiamoinemo lt me rueill oseient	|--|-----|--⌫-|--⌫------⌫--|---|
si homesontmoltfieretconb ata nt	-|---|---|---|---|-|----⌫---⌫-|
mari ent rerent sarra zinet	--||---⌫-----|-----⌫--|-|
seie lestr uis soz andrenaslag ra n t	-|-|--|--⌫--|--|-------|-|-⌫--⌫-⌫|
maint en feronscorro ciez etdol ent	----|-|-----|-----⌫---|-|---⌫--|
t otelate rrepe rdron tmienescient	-⌫--|-|--⌫--|--⌫-----⌫|---|------|
sila do rr ai guibelinmonenfant	-|-|--⌫--⌫-|-------|--|-----|
etaugaiet e	-|-------⌫|
olec orsauenant	|-|-⌫--|------|
adeu l oper e	|--|-⌫|---⌫|
tot poissant	---⌫-------|
roisseradelaterre	---|---|-|-|----|
aym eri sfuen	---⌫---⌫|-|-|
sagran ttorautaine	-|----⌫|--|------|
ouuoitguill aumesilimostreet enseigne	-|---|-----⌫---|-|-|-----|-|-------|
esgarde z fiuz pardelez cele	-------⌫|---|--|----|---|
entrece ual	----|-|--|
etcel egrantmontaigne	-|---⌫|----|--------|
lauien thernaut et sa fiereconpai gne	-|----⌫|------|-|-|----|------⌫--|
uezlo drag o nacelericheenseig ne	--|-|----⌫-⌫||---|----|------⌫-|
qui lseltpo r teres	-|-⌫|---|--⌫-⌫--|-|
granz oz charlemaine	----|-|----------|
auueclui amaint prince etmaintchatai ne	----|--||----|-----|-|----|------⌫-|
par s aintmalloque nrequie rt	--|-⌫---|----|-|-⌫|------⌫-|
enbretaigne	-|--------|
mal ma tendrontli sarrazind esp aigne	--||-⌫-------|-|-------||---⌫----|
s aandren asles truise nla c han p aigne	||------⌫-|--|----|-⌫|-|-⌫---⌫-⌫----|
tan tenmorraai nzque	---⌫|-|----|--⌫----|
lestorrema igne	|----|----⌫---|
couerz ener tetliuaxetlap laigne	-----|-|--⌫|-|-|--|-|-|-⌫-----|
qan tpri sauronsl afor tcit esot ai gne	---⌫|---⌫|-----|-⌫|---⌫|---⌫|---⌫--⌫--|
gu ibe rzmesf ilz	--⌫---⌫-|--|-⌫--|
lauracomentq uilpraigne	|---|-------⌫|-|------|
etaugaiete prendrasa nzdemoraigne	-|-------|------|--⌫-|---------|
une pucel e d elaieste grifaigne	--|-----⌫|-⌫|-|----|--------|
mess e deu p le st q u itoz lesbiense ns ai gne	--|-⌫|--|-⌫--⌫-|-⌫-⌫|--|--|----|-⌫--⌫--⌫--|
g ui berz lau raa peret	-⌫--⌫---||--⌫-||--|-|
aconpaigne	|--------|
sie rt crestien ee	-|-⌫-|--------⌫-|
aymerisfu as f enestresassis	------|-|-|-⌫-------|----|
ethermeniarz la co nte sseientils	-|---------|-|--⌫---⌫--|------|
deuerssenestrea	-----|-------||
ret ornéson uis	---⌫----|--|--|
etu oitu enirmaintcheualierde	-|-⌫--|-⌫---|----|--------|-|
es ga rdezcadit	--⌫--⌫---|-|--|
lique nsaymer is	-|---⌫-|-----⌫-|
uenird anseunegarin	----||------|----|
de terasc onegirberzlipoestis	-|------⌫--|------|-|------|
g autiersdetermessoef de l planteis	-⌫------|-|-----|---|--⌫|-------|
defloriu ile hueli	-|------⌫--|--|-|
fransm ar chis	----|-⌫--⌫---|
et foquer ezquiconquist laugalis	-|------⌫-|--|-------|-------|
enuerstiebau t li	-----|------⌫|-|
forzrois des	---|---|--|
gentilcontesse	-----|-------|
pa r loco rssaint	--⌫|-|--⌫-|----|
geuue il oi ssiren co nt remes	-|---⌫-|--⌫---|--⌫--⌫--⌫-|--|
bie n di tes	---⌫|--⌫--|
sireditladamede	---|--|-|---|-|
a tantmontasorzzdestrier de	-⌫---|----|--|-|-------|-|
ens a ma indestrezzbastoncelapris	-|-⌫|--⌫-|-----|-|--------||---|
contre ses homes	-----|--|----|
ua itliquensaymeris	--⌫-|-|----|------|
lesbaro n s abesie zetconioiz	--|----⌫-⌫||-----⌫|-|------|
puis lim en a li frans	---|-|-⌫--⌫|-|----|
qu ensaymeris	--⌫--|------|
el palesdenerbone	-|----|-|------|
o rot liperestozsesenfa nz	-⌫|-|-|----|--|--|----⌫-|
dedenz nerbonele sot	-----|------|--⌫|-|
tozas senblez	--|--⌫------|
mespardeforsont	--|--|-----|--|
fet tendrelort rez	--|-----|--|-⌫--|
et l e saucubesacez po m iaxd orez	-|-⌫-⌫|------||--|--⌫-⌫--|-⌫---|
pales asse nbla libarne z	----|----⌫---|-|-----⌫|
q uensaymerisetsesgranzparentez	-⌫---|------|-|--|----|-------|
damehermenia rz lesa arresonez	---|--------⌫-|--||--------|
ele a moien	--||--|-|
quens aymer isuos acitozmandez	----|-----⌫-|--||-|--|-----|
porluiaidiersef ereleu o lez	--|--|-----|-|-⌫--|-|-⌫-⌫--|
etsiuos uelten espai gnemener	-|-|--|---|-|-----⌫--|----|
desor lero iiudasled effae ́	----|-|--⌫|----|-|-⌫-----⌫|
etsor baud ucloroi de balesg u ez	-|--|----⌫-|-|--|-|------⌫-⌫-|
poraugaiete lafi lle	--|-------|-|--⌫--|
que don e rueltguib el inladur e ́	--|---⌫-⌫|---|----⌫--⌫-||----⌫-⌫|
dien tlicontedexensoit aor é	----⌫|-|----|--|-|---|---⌫-|
aymerisiredel	-----|---|--|
c heua uch ierpens ez	-⌫----⌫---⌫--|----⌫-|
ne uosfaudrons entresto znosaez	-|--|-------|-|------⌫|--|--|
ditaymeris yym erciz	--|------|-|-⌫----|
e ncui serame s treso rs	-⌫---|---|--⌫|-----⌫-|
eta uosto zdepartizetdonez	-||--|--⌫|-------|-|----|
nia francho mene damoise l	|||----|--⌫-|-|-------⌫|
qui asonoesn ena it	--||--|--||-|-⌫-|
et puis y y	-|---|-⌫|
on ces defin oresme re z	--⌫--|-|--|-|----⌫--⌫|
t antostlorfuliauoirs	-⌫-----|--|-|-|-----|
deliu r ez	-----⌫-⌫-|
gr an t i oie mointla nuittoz	--⌫--⌫|-⌫--|----|-|---|--|
au matinetcom i l	-|------|--|-⌫|
fua iorn ez	-|-⌫----⌫-|
charge ntcezmuls cezhar nois	------⌫-|--|---|--|---⌫---|
ontt r o ssez	--|-⌫-⌫-⌫---|
charre tes ont parde uant menez	------⌫--|--|--|--⌫---|----|
puissont liconte apresachemi nez	---|---|-|----|----|------⌫--|
els yyadoubez	--|-|------|
dame he rm eniarzl esa toz com and ez	---|--⌫--⌫-----|-⌫-||--|---⌫---⌫-|
a dam edeulo ro i	|---⌫---|-|--⌫|
demaiestez	-|-------|
qu ile sdefende	--⌫|--⌫|------|
parses saint esbontez	--|--|-----⌫-|-----|
etdoinstuictoireue rs p aiens defae z	-|-----|-------|--⌫-|-⌫----|-----⌫|
yyiorzche uauchentpar	-|---|---⌫-------|--|
fi nesp oest ez	--⌫--|-⌫----⌫-|
aunue meui ndrenta sporzde balesgu ez	-|---⌫-|--⌫-----|-⌫|---|-|-------⌫-|
cestuneuiled emoltgran z	|--|--|---|-⌫|---|----⌫|
sor uneroc h eestoitla	--|--|---⌫-⌫|-----|-|
yy eues radesicorent	-|---|----||-----|
c eestfa rfaigneetuebriantdelez	-⌫|--|--⌫------|-|-------|----|
denulepartnia neporzne	-|---|---||||-|---|-|
nusneliquiertqui	--|-|||-----|--|
lipoisse troue r	||-----|-----⌫|
zztr ait de la riche	-|--⌫--|-|-|----|
dedenzfarfaig nea	-----|-------⌫-||
len treedelgu e	|--⌫---|--|--⌫|
ore nt p aie nfet unetor	---⌫-|-⌫---⌫|--|--|--|
n us hom quis oitn e p otiluecpa sse r	-⌫-|--|--|-⌫--|-⌫|-⌫-|----|--⌫---⌫|
su s elpalesne l estuis s emo nter	--⌫|-|----|-||------⌫-⌫|--⌫---|
au roibaudu sontreu a port er	-|--|----|--|---|-⌫----⌫-|
tot sonpois	--|--|---|
dorlicouientaliurer	|-|-|------||-----|
uile licouient demorer	---|-|------|------|
laserui ra	-|-----⌫-|
comhom achetiuez	--|--|--------|
totson aageta nt	--|--|---|--⌫-|
con po rra d urer	--|--⌫--|-⌫---|
nese npuet nusautre ment	-||-⌫|---|--|-----⌫---|
selacouient	-|-|------|
ayme riapasser	----⌫-||-----|
et tozseshomes l iestuet	-|--|--|----|-⌫|-----|
p ouia f etde s on	-⌫-|||-⌫-|-|-⌫-|
or aporter	-|------|
l isiresde	-⌫|----|-|
d eu seuesra dessi	-⌫--⌫|---|--⌫--|-|
c ondituosauon	-⌫-|--|--|---|
cloentlator	-----|-|--|
entor etenuiron	----|-|------|
farfaigne lun e briantalautre	--------||--⌫|-----|||----|
dedenzlator elplusmestredo nion	-----|-|--|-|---|-----|--⌫---|
furentmontélassusp aienetesclau on	-----|-----|-----|-⌫---|-|------⌫-|
qui neredotent	--|-|-------|
nulassa ltzzboton	--|----⌫-|-|----|
lipaien ga rdent au alsorlos a blon	-|----|--⌫----|--⌫-|--|-|-⌫-⌫---|
mainte sen s e ignesu oientetmaint dragon	------⌫|--⌫-⌫-⌫----|-⌫----|-|----|-----|
a montauu entp erentmilconfanon	-⌫---|-|-⌫--|-⌫----|--|-------|
etli uert eaumeet liriche	-|-|---|----|-|-|----|
fo rmentreluistlio rquiest enson	--⌫----|------|-|-⌫|--|--|-|--|
liroisbaudusen	-|---|-----|-|
aiurémahon	|----|----|
quil iferraqui	-|-||----|--|
enpo ist etquinon	-|--⌫--|-|--|--|
apele sonse n eschal fagon	----|--|--⌫-⌫-----|----|
ua siaporte mes armesa	-|-|-----|--|----||
et s ienselemond estrierarrago n	-|-⌫|-----|--|-⌫------|------⌫|
etcil sifetsan z	-|--|-|--|---⌫|
nul earrestoison	---⌫|----------|
el dos li u este nt zz aubercfremillo n	-|--|-|-⌫----⌫-|-|-----|--------⌫|
lacentlil eaum equifu roi	-----|-||----⌫|--|-|--|
etcaintl espee	-|----||----|
au senes tregiron	-|-----⌫--|----|
si es t monte ́ eldestrie r arra gon	-|--⌫|-----⌫|-|-------⌫|----⌫--|
d o retd yuoire fu rentfetl iarcon	|-⌫|-||-----|--⌫---|--|-⌫|----|
plusdeyy marsenua lutla f acon	---|-|-|---|-|--⌫--|-|-⌫---|
li rois baud uses toit degrantrenon	-|---|----⌫-|--⌫---|-|----|----|
pent zzescu	---|-|---|
espiea zzuert confa non	----||-|---|-----⌫--|
dela porteistbrochantaesperon	-|-|----|--|-------||------|
dautrepartsar me nt	|----|---||--⌫--⌫-|
qan tarméso ntli encrismefelon	---⌫|----|--⌫-|-|-------|----|
lesiuenttex t roiyy co npaignon	-|-----|--|-⌫--|-|--⌫-------|
quimoltsefie n t enlaidemahom	--|---|-|---⌫-⌫|-||---|----|
passentlesg uezsansnule	------|--|-⌫--|---|---|
arrestoison	----------|
deu antfra nc oisdaut re	---⌫--|---⌫--⌫--||---⌫-|
p a r telsa blo n	-⌫-⌫-⌫|-|--⌫---⌫|
liroisba udus descent del	-|---|--⌫---|------|-||
es t roitl ecen glea zzfortregueillon	--⌫-⌫---|-⌫|---⌫--||-|---|---------|
puisestmontezmaintenant	---|--|-----|---------|
en l a rcon	-||-⌫---|
ue rsaxcheualcheaqu oitedesperon	--⌫-|-|--------||--⌫---||------|
sa ientgrifaigne	-|---|--------|
li roisba udusfierementche ualcha	-|---|--⌫---|--------|---⌫-----|
contrefranc o is sessarrazinsguia	-----|-----⌫-⌫-|--|--------|---|
part otelos tla nouele	--|-⌫--||--⌫|-|-----|
quebaudus uien tosa ientqueil a	--|-----|----⌫||-|---|--|-||
deuantson trefa ymeriss adoba	-----|--|---|-⌫-----||----|
tr oisdesesfiuzparde u ant luimanda	--⌫--|-|--|---|--|--⌫-⌫--|--|----|
et cil iu i ndrentquenusni demor a	-|--||-⌫-⌫-----|--|--|||-----⌫|
comillesuitsilesarreso na	--|-|--|--|-|--|------⌫-|
fran ccheuali erf et	----⌫|-------⌫-|-⌫-|
il entendezca	-|-------|-|
u o ses tes tuitm ifil	-⌫-⌫|--⌫--|---|-⌫|--|
paie nshardiementferra	----⌫-|---------|----|
foiqu edoideuquiloprisenaura	--|--⌫|--|--|--|-|---|-|---|
moltpor r aioia n zestre	---|---⌫-⌫|----⌫-⌫|----|
ditaymerisbaron franccheualier	--|------|----|----|--------|
uoperesui tenirmedeuezch ier	-|---|--|----|-|----|--⌫--|
uelz sui et	---|--|-|
frailes icene puis noier	------|--|-|---|----|
pieca nefu i enfortestor	----|-|--⌫|-|---|----|
si ui t ele or eque	-|-|-⌫--|--⌫|--|
bi enm en soi	--⌫-||-|--|
h uime uueilci	-⌫-|-|----|-|
sorpaiensessa ier	--|-----|----⌫--|
p uis mesme s arm es baill ier	-⌫--|--|--⌫|---⌫-|-----⌫--|
zzpetit dona uostre stoz r eq uier	-|----|--||--|---⌫---|-⌫--⌫---|
que sor paiensfier ele c oppremier	--|--|-----|----⌫|-|-⌫-|------|
guillaumes lo t	---------||-⌫|
rituolenti e r	--|-------⌫-⌫|
aymeriperepa rlocor s saintrichier	-----|---|--⌫|-|---⌫|----|------|
e nd roitde moi ueerneleuos quier	-⌫--⌫---|-|--|---|-|-|--|----|
mesdepardeu	--|-|--|--|
lo peredroitur ie r	-|---|-------⌫--⌫|
ferezauant	----|----|
bi enfet aot ro i er	--⌫-|--||--⌫--⌫-⌫-|
moltgran z	---|----⌫|
merciz dit	-----|--|
ayme r islifier	----⌫-⌫-|-|---|
a cezparoles e stmontez	|--|------|-⌫-|-----|
eldestrier	-|-------|
pri st ensonpoigz zroitespied	---⌫-|-|--|---|-⌫|---|----||
penta son colzzescu de qartier	---||--|--|-|---|-|------|
lo destrierpointdesesperons dormier	-|-------|----|--|-------||-|---|
deuantlesautreslotreta	-----|--|-----|-|---||
uintzzpaienquidexdo inst encon brier	---|-|----|--|--|--⌫---|-----⌫----|
quen say merizli fu	----⌫|--⌫----|-|-|
a lencontr ier	||-------⌫--|
zzcoplidone	-|--|-|---|
que ne luoltarresnier	--|-||---|--------|
esculi fet	---|-|--|
fraindr eetpercier	-------⌫|-|------|
ets onhaubercder ronpreet	-|-⌫-|------|---⌫-----|-|
d e smaillier	-⌫-⌫--------|
so nroitespi el if e telcors	--⌫|---|----⌫|-⌫|-⌫-⌫|-|---|
tantcont int lanste l	---|--|-⌫--||----||
abat mortd eldestri er	---|---|-⌫-|------⌫-|
nerbonecrieferezicheuali er	------|---|----||-------⌫-|
apres cecop	----|-|--|
enfierent duimillie r	-|------|--|------⌫|
mesn ieaymeril oguerrier	----⌫-|-----|-⌫|-------|
etdautr e partli paie nauers ier	-||----⌫|---|-|----⌫|-----⌫--|
lau eissiez	-|-⌫------|
tantelanc ebr i sier	----|----⌫|--⌫-⌫---|
ettantes cuetfroere t	-|---|--⌫-|-|----|-⌫|
tantsarr az i n aterret re buchier	---|----⌫--⌫-⌫||----|-⌫--⌫------|
lide str ierfuientparleschans estr a ier	-|--⌫---⌫--|-----|--|--|----|----⌫-⌫--|
q uifustel	-⌫-|---|-|
chanpet iluossistdestr ie r	----|-|-|------|-----⌫--⌫|
nelic ostastmaaillene denier	-|-|-⌫-----|------|-|-----|
bien lenpeustmener et	---|--|----|----|-|
sanzdongi e r	---|-----⌫-⌫|
yyuinzousoissante	-|---|-|--------|
granz fu lestoretforzet adurez	----|-||----|-|---|-|-----|
muerentpaiensaduel	------|-----||---|
chaiatart fu	---||---|-|
cors ublezzroisd esmesur ez	----⌫---|-|---|-⌫-------⌫-|
ahaute uoiz s estligloz	|----|---||--|-|---|
ouesguilla u me	-|-|------⌫-⌫-|
lom a rc hisaucortnes	-|-⌫-⌫--⌫--|-|---|--|
mo rtasmonon cle d ontie suiairez	--⌫-|-|--|--⌫--|-⌫--|-|--|----|
lor oitiebaut	-|-⌫-|------|
astudeser ité	-|-|-----⌫---|
huiestleiorque	--|--|-|--|--|
chi erer tcompar é	---⌫-|--⌫|------⌫-|
guil laumeslot celepartest alé	----⌫-----||-|---|---|--|---|
uerslopaie n	---|-|----⌫|
alatot abiuré	--|--|------|
u oit locorsubl e tozeneste sfreez	-⌫--|-|-------⌫|--|-|--|-⌫-----|
nela p rochast	-||-⌫-⌫------|
p or yymarsdor pesez	-⌫-|-|---||-|----|
deloigl ilanceiau elo z ace rez	-|---|-⌫|----|---⌫---⌫|---⌫--|
etfeugr ezoisli	-|--|--⌫----|-|
ali f els ie tez	|-|-⌫--|--⌫--|
quili brulla	--|-|-----|
sonf ortescuboclé	--|-⌫--|---|-----|
uoitlogui llaumes apo quenest	---|-|---⌫------||-|--||--|
paienfet iltua ies m a ldahez	----|--|-|-|-⌫--|-⌫-⌫|----|
si m as des troit	-||-|---⌫----|
pre sn e s u iafolez	---⌫|-⌫|-⌫-⌫|-----|
conparraslopar	--------|-|--|
deu dem aiest ez	--|-|-⌫-----⌫-|
lod estrierpoint desesperons dorez	-|-⌫------|----|--|-------|----|
son es cubendé	--|--⌫-|-----|
dechie f en autr elia fre t	-|----⌫|-|----⌫|-||---⌫|
etseshaubers	-|--|------|
derrozet dessaffrez	-----|-|---------|
mortchietat errelipaiensenu ersez	---|----||-⌫---|-|-----|---⌫----|
liqu e ns guil laumes	-|--⌫-⌫-|----⌫-----|
n e s estpa soubliez	-⌫||--|--⌫|------|
prent lo destrierau	----|-|-------|-|
paiendefaez	----|-----|
a haute u oizsestliquens escriez	|----|-⌫--||--|-|----|------|
bertran icestd estrierprenez	------|----|-⌫------|-----|
sibonnushomdemere n ez	-|--|--|--|-|---|-⌫-|
lessiez leuostre	------|-|-----|
cestuimontez	-----|-----|
b ertranzl	-⌫------||
