s e diexmait	-⌫|---||--|
quouneur portonsetpereetm ere	-|-----|------|-|---|-|-⌫--|
nozd i tet	--|-⌫-⌫|-|
co mmandeenlal oi	--⌫-----|-|-|-⌫-|
dont seroitcebiena bel loi	---|-----|-|---||---⌫--|
si l nouneroitausi	|-⌫||-------|---|
q uiplusestdouce et pl usestpieue	-⌫-|---|--|----|-|--⌫-|--|----|
et quimiexuaut	-|--|---|---|
totes ne font	----|-|---|
celesquifurentetqui sont	----|--|-----|-|--|---|
sachiezquediexsa nz nu ledo ute	------|--|---|--⌫-|--⌫-|--⌫--|
atozciaxdone s amortoute	|--|---|---||---|----|
q uih ou neu r entsadoucemere	-⌫-|-⌫--⌫---⌫-⌫--|-|----|---|
maissad ouceurlitres dozpere	---|-|-⌫-----|-|---|--|---|
enmalta le n tmueeten	-|-----⌫--⌫-⌫|--|-|-|
ta nt ostcomme otde	--⌫--⌫--|----|-|-|
limes dire	-|---⌫---|
puisquesamereotde smembrer	------|-|---|-|--⌫-------|
dedo uceurneli	-|--⌫----|-|-|
puetmemb rer	---|----⌫--|
puisquesamereotdepecier	------|-|---|-|-------|
ill e couuientlues corocier	-|-⌫|-------|---|-------|
ils ueffreassez de l i meisme	-|-⌫-----|----|-|-⌫|-----|
maisasa mer e fa ut la	---||-|---⌫|--⌫-|-|
pu is qualiuientcesttot alé	--⌫--⌫-||-|----||--|--|---|
totrespandu	--|-------|
ettotka lé	-|--|--⌫--|
est lasomme	--|-|----|
airetout asomme	---|---|-----|
forsenez estqui limesfai t	-------|--|--|-|------⌫|
carcestcelequi lespais	--||--|---|--|--|---|
entredie u	----|---⌫|
ethomeest moiane	-|---|--|-----|
totes les pais faitet moiane	----|--|---|---|-|-----|
quique uersdieuestend esco rde	--|--|---|---|--|-|-⌫----⌫--|
sesam e re n el i	-|-|-⌫-⌫-|-⌫|||
n est sainsn e sainte	|--|----|-⌫|-----|
fairela paisne	----|-|---|-|
unsribax c	--|----||
ontenoit p our sot	-|-----|-⌫--|--|
u nef oisdist	-⌫-|-⌫--|---|
zztropboenmot	-|---|---|--|
ormestmout belqu	-||--|---|--|-|
il m ensouuie nt	-||-|------⌫-|
u o ussauez	-⌫-⌫-|----|
assezauient	----|-----|
queribautet trumeleeur	--|-----|-|---------|
sontm ou t desloiali ureeur	---|-⌫--⌫|-------|-⌫-----|
cilribaxquai	--|----|-|-|
aue cun autred urfeu	---⌫|-|----|-⌫----|
enunep lace dunepart	-|--|-⌫---||--|---|
as dezioo it eta	-|--|---⌫-|-||
mais l id ezli tornaledos	---|-⌫|-⌫-|-|----|-|--|
siqu il perdito t	-|-|-|----|--⌫|
desq uasos	----⌫|-|-|
tantost sanz nule demora n ce	------|---|---|------⌫-⌫-|
assizeouparchean ce	-----|-|--|-----⌫-|
per dudesquesas	---⌫-|------|-|
foieetpommonbo el e	---|-|-----|--⌫--⌫|
quanqu enbouchelichiet	-----|-|-----|-|----|
iureporce quillimesc hiet	---|--|-|-|-|-|----⌫---|
d esloiau teaiurémainte	-⌫-------⌫-||----|-----|
nespargnedieune	|-------|---|-|
et quetant est dorib lechiere	-|--|---|--||----⌫-|-----|
u orroit quele	-⌫-----|-|--|
nus piezuorroi testre a sai nt gile	--|---|------⌫|----||---⌫-|---|
ne repairastiamais a uil e	-|--------|-----||---⌫|
nen trasten sacort	|--⌫----|-|-|---|
ett restuit	-|-⌫------|
cildaudeignecort	--||-----------|
uo r r oientquelefustnoiee	--⌫-⌫-⌫----|-|--|---|----|
tou teestlalasse	---⌫-|--|-|----|
iasoit cequele	-|---|-|-|--|
soit garie	---|----|
ama d am esai nt emari e	|-|-⌫--⌫|---⌫--⌫|----⌫|
ioret nu itse	--|-|--⌫-|-|
uado ulosant	-|--⌫------|
pla inesanteua	---⌫--|----|-|
goul os a nt	----⌫--⌫-⌫-|
maistantparest greua ine c ho se	---|---|--|--|-----⌫--|-⌫--⌫-|
lameredieu priern	-|---|---|----||
ausa in tsoll eruaior et nuit	-|--⌫--⌫|----⌫-|-|--|-|---|
nulcui il n anuit	--|--|-||----|
gemirlaua plourer	----|-|-|------|
mais n ipuetpas mout	---|||---|--|---|
car neslesgar desfo rslenchacent	--|--|--|---⌫--|--⌫-||-|------|
riens ou mondequetanth acent	----|-|----|--|---|-⌫----|
nes etlalass equedeu ieigne	-|-⌫-|-|----⌫|--|---⌫-----|
uoi stnesetouu ieigne	---⌫-|-|--|-|-⌫-----|
l aim e ne n etientchier e	|---⌫|-|-⌫|----|-----⌫|
la uo it e mmilachiere	-|--⌫-|-⌫--|-|-----|
nelahaceplus quuncr apout	-|-|---|---|-|-|--⌫----|
aualsoiss onsmi exqu elepot	---|-----⌫--|--⌫-|-|--|--|
sic ombesoignelac haca	-|-⌫-|-------|-|-⌫---|
sonpain gran tpiecepour chaca	--|---|----⌫|----|----⌫----|
mie xqu el epotfi sttotesuoies	---⌫|-|--⌫|--|--⌫-|----|----|
m aissilaidei ert a ual ces u oies	-⌫--|-|----|-⌫--|-⌫--|--|-⌫---|
quetropiertlaide aregarder	--|---|---|----||-------|
qui le s e nfansdeustlarder	--|--⌫|-⌫----|----|-----|
n alai ssent il nescelepart	|----⌫----|-|--|---|---|
plus ladoutoi en td u nliepart	---|-|------⌫--⌫||-⌫|------|
haie estoitsortote rien	---|-----|--|---|---|
neuerrezmaiscesachiez bien	-|-----|---|-|------|---|
silaideri e n s	-|----|--⌫-⌫-⌫|
tan t comuiuez	---⌫|--|----|
le sdensauo it side s r iuez	--⌫|---|---⌫-|-|--⌫-⌫-⌫---|
lesienciuess i d escharnees	--|-------|-⌫|-⌫---------|
et lesnarinessiche ue es	-|--|------|-|---⌫--⌫-|
que t an tpar iert	--|-⌫--⌫|--|---|
espoentable	----------|
que lese m bl oi tzzuifdea ble	-|-⌫-|--⌫-⌫--⌫--⌫|-|--|---⌫--|
quilesga rdoit emmi	--||----⌫----|---|
ils embl oit bien	-|-⌫----⌫--|---|
queledeustlesge ns	-|--|----|--|--⌫-|
enfansfuir etdesren gier	-----|---|-|------⌫---|
fais oitsouuent	----⌫--|------|
aualcesrues	---|--|---|
et desgrans gensetdesmenue s	-|--|----|---|-|--|-----⌫|
haieestoit plusquunsuiex	---|-----|---|-|--|---|
l izz enfant cr ientas	-⌫|-|-----|--⌫---|-|
fuions f u ionsuésci gondre e	-----|-⌫-⌫---|---|-|------⌫|
qu edemaxleussoit	--⌫|-|--|---|---|
ef fondree	--⌫------|
lesdo uces gensa s piteusc uers	--|--⌫---|---|-⌫|-----|-⌫---|
ausicom s elefust lorsuers	---|--||--|---|--|----|
piteusementali par lo ient	----------||-|---⌫--⌫---|
etloraumosnes ifaisoient	-|--|-------||--------|
m aisl i felon a sfel onscue rs	-⌫--|-⌫|----|-⌫|---⌫--|---⌫-|
toutausila chacoien tf ue rs	---|---|-|--------⌫|-⌫--⌫-|
comme zzgaignon	----|-|------|
delor maisons	-|--|------|
froiteri esetdesraiso ns	--------⌫-|-|--------⌫-|
lesfroites ge n sm outlifaisoient	--|------|--⌫-⌫|-⌫--|-|--------|
etasse zsouuentlidisoient	-|----⌫|------|-|-------|
orf ors acen t	-|-⌫--||---⌫|
m aufezdenfer	-⌫----||----|
uiei lledeabledenz d e	----⌫--|-----|---|-⌫|
as uisdeablesa	-|--|------||
ce nt mile	--⌫-|---|
que fait e suousenceste	--|----⌫-⌫|---|-|----|
esnaseeuieilleden tarde	------|------|---⌫----|
ralésuousentm aufezuous	-----|---|--|-⌫----|---|
a audigneco rt	|---------⌫-|
enserrezuozen	-------|--|-|
nedeueziaentrerenuoie	-|----|-|-----|-|---|
n enplaceouiauousd oie	|-|----|-|-|---|-⌫--|
u e oir pr eud omene p reude	-⌫-⌫--|--⌫---⌫--|-|-⌫----|
tro p piteuseest or nostredame	---⌫|------|--|-|-----|---|
de sois sonset	-|----⌫---|-|
trop amiable	---|------|
quantellea sanéte ldeable	----|---||----|--⌫|-----|
t elma u fe tele	-⌫-|--⌫-⌫-|---|
barbeoi re	-------⌫-|
nousuozdonronstelpapeoire	---|--|------|--|-------|
seiam aisentr ezcaded ens	-|---⌫--|----⌫-|-|---⌫--|
queto zuozfroeronsle sd ens	--|--⌫|--|-------|--⌫|-⌫--|
p ull enteu ieillerechignie	-⌫---⌫---|-⌫-----|--------|
honiesoituostre	----|---|-----|
et tr es tuitcilqui a	-|--⌫--⌫---|--|--||
uozmon tent	--|---⌫---|
quantneuous tue nt	----|-|---|---⌫-|
etafro ntent	-|----⌫----|
qua rriere	---⌫-----|
sene n ralezmout	-||-⌫|----|---|
tosta rriere	---|-⌫-----|
u ieille orible u ieill ehisdeus e	-⌫-----|-----|-⌫-----⌫|-------⌫|
en aisneenla fosseuois euse	-|----|-|-|----|----⌫---|
serez noiecesachiez	----|---|-|------|
ouces g ransdensarez sachiez	-|--|-⌫---|---|---|------|
pon tenaisnesaurre z	---⌫|-|----|------⌫|
la mortianif aurez	-|---|-|||-⌫----|
neset gon dreequel e fa ce	-|--|---⌫---|-|--⌫|--⌫-|
ne uiente n quarrefor	-|----|-⌫|--------|
ne n plac e	|-⌫|----⌫|
nene p uetalere n nul l eu	-|-|-⌫--|---|-⌫|--|-⌫-|
nelahac e pluscun	-|-|---⌫|---||-|
sico mbesoigne	-|--⌫|-------|
d rapel la lasseprent	-⌫----|-|----|----|
saf a ceencueur ed u squasiex	-|-⌫-⌫-|-|-----⌫|-⌫-⌫--|-|--|
par derieresic ompuet miex	--|------|-|-⌫-|---|---|
la tachea uneuiezcordele	|-⌫----||--|---|------|
ainsic uideestre zz	----|-⌫---|----|-|
peu plusbele	--|---|---|
a insilalasset otes uoies	-⌫---|-|----|-⌫---|----|
porchac e a ual	-------⌫|-⌫--|
mout alaidu re s etram posne s	---||-----⌫--⌫|-|---⌫-----⌫|
quantlidefaillentsesau m osne s	----|-|---------|--|--⌫-⌫----⌫|
sisenreua la las se fame	-||-|---|-|---⌫-|---|
asaint geruaisa nostr e	|----|------||-----⌫|
asaintc respin	|----|-⌫-----|
asaintmaart	|----|----|
lendema inreua dautre	|------⌫-|---||----|
agrantpaineeta	|----|----|-||
asaintl egier a saintiehan	|----|-⌫----||----|----|
etpuisasa in tcrespin e n cha ie	-|---||--⌫--⌫|------|-⌫|---⌫-|
elesetbiencomm e ntquilc haie	--|--|---|----⌫-⌫-|-|-|-⌫---|
faillirn epuet	------|-⌫|---|
queleni a it moques e tmies	-|--|||-⌫-|-----|-⌫|---|
ai nsi cuide	--⌫--|----|
uiu reetdurer	---⌫-|-|----|
pueenten d ure r	-----|--⌫-⌫---⌫|
parla cites ilor anu ie	--|-|---|-⌫|--|---⌫-|
c ha scuns la fiertcha scuns	-⌫--⌫----|-|----|---⌫----|
quantuo itque nepuet demorer	----|--⌫-|--|-|---|------|
a nostre dame	|-----|---|
ua plo re r	-|---⌫--⌫|
damefaitelle	---|---|---|
dame d ame	---|-⌫--|
d elaplusesga re efame	-⌫|-|---|----⌫--⌫|---|
ai ez merci quiainz	--⌫-|----|--|---|
pu c ele douceet emmielee	--⌫-⌫--|----|-|-------|
s encoruers moi ne	|----|---|--|-|
tagra nsdouceurs	-|---⌫-|-------|
si suid espite	-|--|-⌫-----|
que netrouuer ai nuleterr e	--|-|-------⌫-|---|----⌫|
ouon melaist nes	-|-|-|----|--|
monpainquerre	--|---|-----|
rose fresche roseespa nie	---|------|---|----⌫--|
qua ntde lauile sui banie	---⌫-|-|-|---|--|----|
etuuidiermestu etlacit e	-|------||----⌫-|-|---⌫|
atatres do uc epiet e	|-|---|--⌫--⌫|----⌫|
monl asd e corscommant etmame	--|-⌫-|-⌫|---|------|-||--|
lassebo e ne fame	----|--⌫-⌫-|---|
doumostier	--|------|
parttouteesplore e	---|----|-------⌫|
de soissonsis t	-|-------|--⌫|
sanzdemoree	---|------|
si reuient a	-|------||
audei gnecourt	-----⌫-------|
latint encorpluspou re	-|---|----|---|---⌫-|
faisoita s oissons	------||-⌫------|
souuentfailloit	------|-------|
as grospoissons	-|---|-------|
ne l ifistmie moutbi au	-|-⌫|---|--|---|--⌫-|
sesbarons quiotnontierris	--|-----|--|-|--|------|
quan t e le entra	----⌫|-⌫-|----|
en samaison	-|-|-----|
dolan s nefu maishon	-----⌫|-|-|---|--|
amastestre	----|----|
etmi exuousistque nostredame	-|--⌫-|------|--|-----|---|
en por re ardoir	-|---⌫-|-----|
leustlaissi é	|---|------⌫-|
que reuen i stai nsifaissie	--|-----⌫-⌫-|--⌫--|------|
faisoitpetitdebien	------|----|-|---|
carpoure siertsi	--|-----⌫|---|-|
nau oitrie n	|--⌫--|---⌫|
et dau t reparttant ierthisdeuse	-||--⌫-⌫-|---|---|---|-------|
etaueoi r tant	-||----⌫|---|
ne laueoit nule foie	-|-|----|---|---|
quiln e u ous istque fustnoie	-|-|-⌫|-⌫---⌫--|--|---|---|
mout estgondreemalu enu e	---|--|------|--|-⌫---⌫|
enuieuteest par tot ten ue	-|-----|--|--|--|---⌫-|
chascunsla	-------|-|
fu it chascuns l estrange	--⌫-|-------||-------|
etlipri ué e t lies trange	-|-|---⌫--|-⌫|-|--⌫-----|
nessiparentsont encor	--|-|-----|---|----|
d assez qui plusl at ienentu il	|----|--|---|-⌫|-⌫-----|-⌫-|
texest dou	--|--|--|
siecle lacoustum e	-----|-|-------⌫|
enp o u rete qu anta ucuns	-|-⌫-⌫-⌫---|--⌫--|-⌫----|
enlonguee nfermet e	-|-----|-⌫-------⌫|
siparentlonttost puerie té	-|-----||--|---|---|--⌫--|
ne setla lasseq ueleface	-|--|-|----|-⌫|--|---|
so n dr apele tdeuantsaface	--⌫|--⌫-----⌫|-----|-|---|
m oilleso uue nt pormiexte ni r	-⌫----|--⌫---⌫-|--|---|--⌫--⌫|
toutcen epue t u enir	---|-|-⌫|---⌫|-⌫---|
enlieuouchascun s nelahace	-|---|-|-------⌫|-|-|---|
nesetlalassequel eface	-|--|-|----|-|--⌫|---|
mout dur ementsedesespoire	---|---⌫----|-|---------|
nepuetdormir	-|---|-----|
mengierneboire	------|-|----|
tanta dehonte et deco ntraire	---||-|----|-|-|--⌫------|
sar oiepas retraire	---⌫--|--|-------|
commentla lasseboene fame	------|-|----|----|---|
ses t dementee anostredame	|--⌫|-------||-----|---|
etadonsas plu so rsf o ies	-|----|-|---⌫--⌫-|-⌫-⌫--|
anusge n oza mainsp loies	|--|--⌫-⌫-||----|-⌫----|
sou uentla requiertetdeproie	---⌫---|-|-------|-|------|
qu encor lentende et quen corloie	-|----||------|-|-|--⌫--||--|
hemer edieucedistlalasse	-|---⌫|---|-|---|-|----|
ou deto utentou t	-|-|--⌫-|-|---⌫|
m eres passe	-⌫|---⌫----|
outuprochaine	-|-|--------|
mortmenuo ie	---||----⌫-|
nepu isalernenc hampn	-|--⌫-|---||-|-⌫---||
com ne megatcom nemehuit	|-|-|-|--||-|-|-|---|
cha scu nsmehet chas cun sme	---⌫---⌫-|-|--|----⌫---⌫|-|
cha s cunsme desp it	---⌫-⌫---|-|----⌫-|
et desdaig ne	-|-------⌫-|
hedouceuirgedaig n eda igne	-|----|----|----⌫-⌫|--⌫---|
r econfortercest e	-⌫---------|----⌫|
nesu effre pas	-|--⌫----|--|
qu eiain siuiue	--⌫||---⌫-|---|
miex uueil	---|----|
m oririsn element	-⌫---|---⌫------|
que uiur e ainsihonteusement	--|----⌫|----|-----------|
zz i oraui ntque mou t	-|-⌫-|---⌫-|--|---⌫|
etmout g emi etmoutplora	-|---|-⌫--|-|---|----|
alaue spre r	||---⌫----⌫|
sanzdemoree	---|------|
co uchiesesttou te esplore e	--⌫----||--|---⌫-|-------⌫|
ne dor m imi elong ement	-|---⌫-⌫|--⌫|----⌫----|
esueillas oudain ement	-------|-⌫------⌫----|
etdere chi efassezplora	-|----⌫---⌫-|----|----|
e tmo utdeuotementora	-⌫|--⌫-|---------|--|
etmout bie n	-|---|---⌫|
porpense ensoncu er	-------|-|--|--⌫-|
qu ele nelairaa nul fue r	-|--|-|----||--|---⌫|
quasois son s bien main ne reuo ist	-||----⌫---⌫|---|---|-|----⌫--|
quiqui lengrietnecuiquen poist	--|-|-⌫|-|----|-|--|-|-|----|
autellabele dame	----|-|---|---|
gemir atant salasse dame	-----⌫|---|-|----||--|
deson lascors dep artira	-|--|--|---|---⌫-----|
ouaucunconse il metera	-|----|-----⌫-|-----|
la mere dieu enson malage	-|---|---|-|--|-----|
lor s seporpensee nsoncorage	---⌫|-|-------|-⌫|--|-----|
ausi coml e uieutnostres ire	---|--|-⌫|----|-----|-⌫--|
queleencore	-|--|-----|
azzpeu d ecir e	|-|--|-⌫|---⌫|
don tdeuroitfaireunechando le	---⌫|------|----|--|------⌫-|
porporteral acl ere estoile	--|-----||-⌫|--⌫--|------|
quit o zlesdesuoiezauoie	--|-⌫-⌫|--|-------|----|
lors sest leuee	---||--|----|
a moutgrant	|---|----|
yyboi setesaalu me es	-|---⌫----||---⌫--⌫-|
quidou s oir ere ntdemorees	--|--|-⌫--|---⌫-|-------|
si faitzzpeude	-|---|-|--|-|
cha nd eillete	---⌫--⌫------|
c arnau oit	-⌫-||--⌫--|
cunpeudecirete	|-|--|-|-----|
mou tuolentiers	---⌫|---------|
fa iteleust	--⌫--||---|
etlongeetg rantselepeus t	-|----|-|-⌫---||--|----⌫|
maisl alassenauo itde quoi	---|-⌫|----||---⌫-|-|---|
tout belementeten recoi	---|-------|-|-|----|
serestendormieenson lit	-|---|-------|-|--|--|
lam e redieuquipar d elit	-|-⌫-⌫-|---|--|--|-⌫---|
chand ol eremiree	-----⌫--⌫|------|
quelapouref ame atyr ee	--|-|----|-⌫--|----⌫-|
g rant deuotion	-⌫---|-------|
l agran tcontriction	-⌫|----⌫|----------|
d ouleu ruitde	-⌫-----⌫|--|-|
tenirne se puetanu lfuer	----|-|-|---||--⌫|---|
eust pitie	---|----|
tr opgran t	--⌫-|----⌫|
porcequetant la u oitengra nt	--|-|--|---|-|-⌫--|-----⌫-|
l a damedecielet deterre	-⌫|---|-|---|-|-|----|
deli ason moustierrequerr e	-|-||--|-------|-------⌫|
tantestpit eusee t tante s ttendre	---|--|---⌫---|-⌫|---|-⌫-⌫|-----|
qu elene peutnes mie	-|--|-|---|--|--|
qu aso issons soita l i u en ue	-||--⌫-----|---||-⌫|-⌫--⌫-|
ains estsorsonlitdescendue	---|--|--|--|--|--------|
si compi tiez	-|--|--⌫---|
la p ointett ouch e	-|-⌫---|-|-⌫----⌫|
silir efaitnouu ele bouche	-|-|-⌫----|----⌫--|-----|
sesd oisblansetso ez	--|-⌫--|----|-|--⌫-|
li faitetforme zzsi	-|---|-|----|-|-|
leuissi lir afaite	-|--|-|-|-⌫-----|
quassezpl usbelees tetmiexfaite	-|----|--⌫-|---|--⌫|-|---|----|
conquesdeuantn	|-----|-----||
auoitesté	----|----|
q uanttout ceutfaitla	-⌫---|---||--|---|-|
fleursd este	-----||---|
l a fre scheros e	-⌫|---⌫---|---⌫|
ouestt ote douceursenclose	-|--|-⌫--|-------|------|
lapourefameestesuei lli ee	-|----|---|--|-----⌫---⌫-|
durements este smerueilli ee	-------||--|-⌫----------⌫-|
decequ ei orsn	-|-|--⌫|-⌫--||
est encormi e	--|----|--⌫|
la saisons	-|------|
er t auquespartie	--⌫|-----|-----|
carl iliu res faitmention	--|-⌫|---⌫--|---|------|
qu il ertli	-|-|--|-|
equi noctium	----⌫------|
i ssue diuer	-⌫---||---|
enp rin tan s quapelomme s	-|-⌫---⌫---⌫|-|--------⌫|
adonc fuce	----|-|-|
q u enost r edam e	-⌫-⌫|----⌫-⌫|---⌫|
uis italesgaree	---⌫--||------|
quitant er tuiex et	--|---|--⌫|---|-|
d e toutson cuereutde priee	-⌫|---|--|---|--|--⌫----|
dieula pourefame	---|-|----|---|
roinelagrant d ame	----|-|----|-⌫--|
qui tantest douce etdebo enaire	--|---|--|----|-|----⌫-----|
l irati ra si	-⌫|----⌫-|-|
qu e le reut tout	-|-⌫-|---|---|
asond euis	|--|-⌫---|
etnezetbouche et faceet uis	-|--|-|-----|-|---|-|--|
quant la lass e sest	----|-|----⌫||--|
esue illie	----⌫----|
qui toute estoite sm anuieillie	--|----|-----|-⌫--⌫---------|
poraler bienmatinrequerre	--|---|---|----|-------|
la dam edeciel	-|---⌫|-|---|
en soncuera grantioieeue	-|--|---||----|---|--|
en dormantau eue	-|------||-⌫--|
ui s ladoucedame	--⌫|-|----|---|
quant uoitla lasse boenefame	----|---|-|----|----|---|
quancornestmiea	-|----||--|--||
l aiorne r	|------⌫|
s o ndrapelp rentara to rn er	-⌫-⌫|-----|-⌫---||--⌫--⌫--⌫-|
qui li gla ce c eli e stui s	--|-|---⌫-|-⌫|-|-⌫-|--⌫|
etchi ettou tcontreual leuis	-|---⌫-|---⌫|--------|-|--|
yy foisouyyi usliregl ace	-|---|-|-|-⌫-|-|----⌫--|
qu an t leu tr emis desorsa	--⌫--⌫||--⌫|-⌫---|----|-|
quan tuo itqu achief n en puetuenir	----⌫|--⌫-|-||----||-|---|----|
de ce drapel faire teni r	-|-|-----|----|----⌫|
de la m aisonescrie	-|-|-⌫----|-----|
p ormad ame	-⌫-|-|-⌫--|
saint e marie	-----⌫|----|
pormo ndrapelqui si mechiet	--|--⌫|-----|--|-|-|----|
aucu n deuozpriquilseliet	----⌫|-|--|--|-|-|-|---|
ilme uie ignezzpe u	-|-|---⌫---|-|--⌫|
ia nefine re zde pl a idier	-|-|----⌫--⌫|-|--⌫-⌫----|
responden t c il	---------⌫|-⌫-|
e nest ri en	-⌫|--|--⌫-|
laheentplus dunch ien	-|----|---||-|--⌫--|
la dolantequinesetmie	-|------|--|-|--|--|
quemadamesainte marie	--|-|---|-----|----|
si douceme ntl aitu isitee	-|-------⌫-||--|-⌫-----|
yyfoiso utroissest e sc riee	-|---|-⌫|----||--|-⌫--⌫---|
etdouce ment lor prieet dist	-|-----⌫---|--|---|-|---|
por dieualumezzzpet it	--|---|-----|-|---⌫-|
tantquat irémo ndrapelaie	-----|--⌫---|--⌫|-----|--|
ne nozlaira dormir dame	-|--|----|-----|---|
par lecuerbieufontentr	--|-|---|---|---|---|
quimout la tienenten p oruil	--|---|-|------|-|-⌫----|
quianuié et las	--|-----|-|--|
la sordeore i lle tuit lif o n t	-|----|---⌫-⌫--|---|-|-⌫-⌫-⌫|
go d entgabentetrien t	--⌫-⌫--|-----|-|----⌫|
liunalau tre chiflantd i ent	-|-|||--⌫--|-------|-⌫-⌫--|
dametibergedameaupais	---|------|---|-|---|
nenozl air a iamaisen	-|--|-⌫---⌫|-----|-|
iaenlieuquelenan uit	-|-|---|-|--||--⌫--|
auoi rpuist elemale nuit	----⌫|----|--|---|---|
malematinee	---|------|
comemaleuieille estatinee	---|---|------|--------|
de lichifloien tto utensemble	-|-|---------⌫|--⌫-|-------|
mout grans mest iers	---|----|----⌫---|
e rtcem esemble	-⌫-|-|-⌫|-----|
a lalasse de pourefame	|-|----|-|----|---|
quepiteusefus tnostreda me	--|------|---⌫|-----|--⌫-|
plusquilnestoi ent entr	---|-|-||-----⌫--|---|
sieclesfeletestoz	------|--|-|----|
qua nteleuoitqu	---⌫-|--|---|-|
a sonap e l	|--|--⌫-⌫|
neue nrontmieson	-|--⌫----|--|--|
toutedolanteensozpirant	----|------|-|--------|
m i exque lepuet	-⌫-⌫-|-|-⌫-|---|
uarati rant	-|----⌫---|
quan tleramisdesorso nui s	----⌫|-|-|--|----|--⌫|--⌫|
aunezlesentcel ies t uis	-|--|-|---|-|-⌫|--⌫|--|
sei g nee tesmerueil le	---⌫-⌫-|-⌫|---------⌫-|
dormirc uidemais	-----|-⌫---|---|
