uousau és deuantbienoit	---|--⌫--|-----|---|--|
marcisuauasors etui scontes	-----|-------|-|--⌫------|
qui consillierent	--|------------|
son peree t sesfreres au si	--|---|-⌫|--|-----|--⌫-|
etde soimeismesens i	-|-|--|------|---⌫|
qui frereet roisdefranceestoit	--|----|-|---|-|-----|-----|
puis fu me nés enautre en droi t	---|-|--⌫---|-|----|--⌫----⌫|
etu it torm ens	-|-⌫-|----⌫--|
d ontle s painn eserent tr opfieres	-⌫--|--⌫|-----⌫-|----|--⌫-|-----|
etlauit ilarmes pl usi ors	-|-|--|-|----|--⌫---⌫--|
delagent de sesancisors	-|-|---|-|--|-------|
quisi fortto rmentéesto ient	--|-|---|--⌫------|----⌫---|
queil doun ésauoi en t	--|-|----⌫--|----⌫--⌫|
mauuai s consausetdesl oiaus	------⌫|------|-|----⌫----|
fai ti ugemens	---⌫|-⌫------|
puistrouuail uneualee	---|-----|-|--|----|
t en ebrouse e th ide use etlee	-⌫--⌫------|-⌫|-⌫---⌫--|-|--|
la uitilcourr eune fontainne	-|--|-|-----⌫|--|--------|
kideboulant a igueestoit	-|-|------|-⌫---|-----|
ue u r enier tcortenebrieue	--⌫-⌫-⌫||---⌫|----|-|-----|
au trepl a innedetieue	--⌫--|--⌫-⌫---|-|----|
lauit illoeyssonpere	-|--|-|----|--|---|
iusques as quisesenmisere	------|-|-----|-|-----|
lunior enlaigue tieuoiant	|-|--|-||----|--------|
etl au t re	-||--⌫-⌫-|
io u r enlabollant	--⌫-⌫|-|-|------|
ilparlaproiere	-|--|-|------|
deaa remietde aapiere	-|-|---|-|-|-|----|
qu antkar les sesfiusl	--⌫--|---⌫--|--|---||
d e sesiou stenrem entplora	-⌫|--|---⌫|------⌫--|----|
etl oeysses p ere esrant	-|-⌫---|--|-⌫--|-----|
douc ementlialapriant	----⌫----|-|--|-----|
quep orlui de painnesgie ter	--|-⌫-|--|-|------|---⌫--|
fesistmesses direet cante r	-----|-----|---|-|-----⌫|
dire orisonsliresautiers	---|------|---|-------|
etillidis tqueuolentier s	-|-|-|---⌫|--|---------⌫|
lorsfumené se np a radis	---|-|-----⌫|-⌫|-⌫-⌫----|
pla inderep o setdedel is	---⌫-|-|---⌫-⌫|-|-|---⌫-|
c arles licausp ar	-⌫----|-|---|-⌫-|
le lai nsiel	-|---⌫----|
def ilquilotensamainbiel	-|-⌫-|-|-|-|-|-|---|---|
ill eroiloh ier	-|-⌫|--|---⌫--|
d orcouronnép our	|-|--------|-⌫--|
son l oier	--|-⌫---|
auoeclessain teset lessains	----|--|----⌫--|-|--|----|
quar d e pe ciesiertnaisets ains	---|-⌫|--⌫---|---|---|-|-⌫---|
desle iour q uilseconuierti	--|-|---|-⌫|-|-|--------|
qu en la be iese rend i	-|-||-⌫--⌫-|-|----⌫|
et l aiss al	-|-⌫----⌫||
empirede roume	-----|-|----|
pourf aire	---|-⌫---|
desoizzpr eu dome	-|--|-|--⌫--⌫---|
qui pl ainsde mal isseo testé	--|--⌫---|-|---⌫---|-⌫|----|
et p ar iuier et	-|-⌫-|----|-|
quarc issieclesesttrop	---|-⌫-|------|--|---|
etde pecies et	-|-|-----|-|
dem a usplains	-|-⌫-⌫-|-----|
sipuetliesiestre kises preus	-|---|---|-----|-|--|----|
ces tsieclequi nestpreus	---⌫|-----|--||--|----|
nest mieoeure acompas	|--|--|----||-----|
a ins estuanitesettr espas	-⌫--|--|------|-|--⌫----|
uithui morrademain	--|--|----|-----|
s irali sien s	|--|-|----⌫|
e nautruimain	-⌫|-----|---|
ne rie ns od	-|---⌫-|-|
luin enportera	--||--------|
aumosn ekil fera	------⌫||-|---|
cepuet onsauoirp arl ohie r	-|---|-|-----|-⌫-|-⌫----⌫|
kitout laissapourdieuproier	-|---|-----|---|---|-----|
apriesuitcarles loeys	-----|--|-----|----|
le fi llohierq uiaa	-|--⌫|-----|-⌫-|-|
e t aa pieres	-⌫|-|-----|
parleur proiere	--|---|------|
quilorentfaitea dieu	-|-|----|----||---|
auoien tfors d infiergieté	------⌫|---||-----|-----|
siertl ieset pl ainsdumelite	|---|-⌫--|-|--⌫---||------|
laproia carleloeys	-|----|----|----|
lifiuslohierqu epar mierc is	-|---|-----|--⌫|--|-----⌫-|
d e dieuki lauoitf etpreudome	-⌫|---|-||----|-⌫-|-------|
rendis t tot l	------⌫|--||
empir ederome	-----⌫|-|---|
fil safille	--|-|----|
qui dr oisoirsenestoitsansgille	--|--⌫--|---|-|-----|---|----|
et carlesli	-|-----|-|
al ues r endu	|-⌫--|-⌫---|
quar i llie stoit	---|-⌫|-|-⌫----|
delo eis kimorsestoit	-|--⌫--|-|---|-----|
sonfilneautre oirni	--|--|-|----|--|||
laa l uec e nf urau iestis	-|-⌫-⌫--|-⌫|-⌫|---⌫-----|
lifiu s s a fille loeys	-|---⌫|-⌫|----|----|
par l efil q uecarles tenoit	--|-⌫|--|-⌫-|-----|-----|
qui roi s e temp erere estoi t	--|---⌫|-⌫|---⌫----|-----⌫|
qu antcarlesotueu en si	--⌫--|-----|-|--|--⌫-|
sir euint enson	-|-⌫----|-|--|
etpuis uesqui moult	-|---|-----|----|
saintement	---------|
etsirenditout quitement	-|-|----|---|--------|
lemp ir ede ro me a l enfant	|---⌫--⌫|-|--⌫-|||-----|
puis sena lapetit auant	---||-|-⌫-|----|----|
aisa lacapiele	--||-|------|
quecarlem ainneot faitebiel e	--|------⌫----|-|----|----⌫|
et maint ericaice i ot mise	-|-----⌫|------||-|---|
senaportaaaa	|-|-----||-|
des reliques que carlemainne	--|-------|--|----------|
ason tra uail et asa painne	|--|---⌫---|-||-|-----|
deiurs al em	-|----⌫--⌫-|
desurieet d ebellee m	-|----|-|-⌫|------⌫|
enfrance au oit	-|-----|--⌫--|
si grant famine	-|----|-----|
e tsigrantplente deuiermine	-⌫|-|----|-----|-|-------|
quede uierm ine	--|-|-----⌫--|
sans re claim	---|--⌫----|
moroientlesgense t	-------|--|---|-⌫|
quantcarlesquionl enorta	----|-----|--|-||-----|
lessaintuair es	--|---------⌫-|
teus com ioule s uou snommerai	---|--|--|--⌫|---⌫|-------|
sicomparlesto relesai	-|--|--||----⌫-|-|--|
desclaus dontdieux	--|----|---|----|
aportailaaa denis	-----|-||-|----|
et la cemisenos tre dame	-|-|-----|---⌫--|---|
apor tail acartres pours ame	----⌫-|-||------|---||--|
etpour cou quebi e ns iauiegne	-|---|--|--|--⌫-⌫-||------|
si dona ildroit a co mpiegne	-|---|-|----||--⌫------|
lesuai renostresignour	-|----⌫-|-----|------|
a aacornille pour s	|-|-------|---||
ettamainte s au tresrelikes	-|--------⌫|--⌫---|------|
dignespr ecio us esetrikes	-----|--⌫----⌫--⌫-|-|----|
dounakarles	----|-----|
par la contree	--|-|------|
ki defamineier t desiert ee	-|-|-----|---⌫|-------⌫-|
etsi enuoia asess ons	-|-|-----||----⌫--|
uon en fait lesori s ons	|-|-|---|--|---⌫-⌫--|
zzdess o llersacelefie	-|--|-⌫-⌫----||---|--|
dontl a mere	---|-⌫|---|
dieufucaucie	---|-|-----|
adont sif istkarlesli c aus	----|-|-⌫--|-----|-|-⌫--|
qui d eb iensfuengriese t caus	--|-⌫|-⌫---|-|------|-⌫|---|
faireetestorer l epardon	----|-|------|-⌫|-----|
po uraumosne e t	--⌫-|------|-⌫|
pourgueredon	---|-------|
kideu an totaaiseste ́	-|---⌫--⌫|-||--|----⌫|
entre m ontm artreetlacite	----|-⌫----⌫----|-|-|---|
de p aristoutdroit alle n d i	-|-⌫---|---|----|-|--⌫-⌫-⌫|
sifu faitparzzuenredi	-|-|---|--|-|------|
ladureyyio urs	-|---|-|--⌫--|
li par dons	-|---⌫---|
et la d ignebeneicons	-|-|-⌫---|--------|
sifurentgari et	-|-----|---|-|
lesgensausi compar souhait	--|---|---|--|--|------|
lorpaint ant	--|---|-⌫--|
sole me nt	----⌫--⌫-|
serefaisoient siformen t	-|----------|-|------⌫|
commeil euissentplusior smes	----|-|-------|-------⌫|--|
nefamine ni durames	-|-----|||---|--|
etl amortaliteciessa	-|-⌫|--------|-----|
te u s miraclesidemoustra	--⌫-⌫|-------||--------|
pu is fure nt lisain t misen	--⌫-|----⌫-|-|----⌫|--|-|
tan scarlo nle	---⌫|-----⌫|-|
contint asa geetapreudomme	|-|---||--⌫-|-||--------|
pui ss enalacarles aroume	---⌫||-|--|-----||----|
alo i depreudome et desa ge	|--⌫|-|-------|-|-|--⌫-|
aus i co men	---⌫|--⌫|-|
peleri nage	------⌫---|
mo ruencele uoie	--⌫-|-|---|---|
al enfoirn otri sneioie	||-----||-|--⌫|-|---|
petitapriesfudesfouis	----|-----|-|-------|
etraportésa	-|--------||
etlal on tfranco is entieré	-|-||--⌫|------⌫-|-------|
ot rois esté	-|---|----|
d une femekif ugen tius	|--|---|-|-⌫|---⌫---|
auoitzzfilki	----|-|--|-|
etsaciés kilo tcestsorno n	-|------||-|-⌫|---|-----⌫|
ilestoit baubeter e	-|-----|--------⌫|
n o nquesneuot amerfelon	|-⌫----|-|--|---|----|
etfu couronnésa noion	-|-|---------||----|
sesper esliot feme	--|---⌫-|-|-|---|
dontilauoitg r anttiereaquise	---|-|----|-⌫-⌫--|----|-----|
ayous l ipreuset	----|-⌫|----|-|
sifuc ouzin s cest loeys	-|-|-⌫-----⌫|---|----|
de saserour	-|-|-----|
lafemeelie	-|---|---|
kibie lefugente etdeli e	-|---⌫-|-|----|-|----⌫|
d eshau s barons lesplussen e ́s	-⌫-|---⌫|-----|--|---|---⌫-⌫-|
fu cis loeyscouronnés	-|--|----|---------|
yyroisontacestui	-|--|---||-----|
parlescritu re f ersensui	--||-------⌫-|-⌫--|-|--|
etapriessipoé ssauoir	-|-----|-|----⌫|-----|
parl e scrituretot de	--||-⌫-------|--|-|
fumie roi s	-|--|---⌫|
qua rlam ors	---⌫|-|-⌫--|
quibienestpoi sans	--|---|--|---⌫---|
a sessonssimoru	|------|-|---|
aaa denis enfouoisfu	|-|----|-------|-|
senotpa rlatiere gr a ntplainte	|-|-|--⌫|-|----|--⌫-⌫-|------|
qu arsa femeremestencaint e	--⌫-|-|---|-----|-------⌫|
siportases	-|----|--|
moisetsesdi s	---|-|--|--⌫|
et nonpourquantcis l oeys	-|-----------|--|-⌫---|
oteuzzfil deso ugna nt	-|-|-|--|-|--⌫----⌫-|
sil apielo ie ntkarleman t	-||------⌫--⌫-|--------⌫|
bacel ersie rt uallansetfiers	-----⌫--|--⌫-|------|-|----|
si estoitiafaisceualie rs	-|-----|-|---|-------⌫-|
q uantse speresfu e ntierés	-⌫---|--⌫|----|-|-⌫-------|
sie s t enla ba illie en trés	-|-⌫-⌫|-|-|--⌫----|--⌫----|
de lroi au meetsilega rda	--⌫|---⌫--⌫-|-|-|-|--⌫--|
maisli roiss e s	---|-|---|-⌫-⌫|
peresm anda	----|-⌫---|
e l litdel a mo rttot	-⌫|--|-|-⌫|--⌫-|--|
p arseslaitresalcontewedon	-⌫-|--|------|-|----|----|
quiliert p l ains	-|-|---|-⌫-⌫---|
fust garde desonoir	---|----|-|--|--|
quantleurefuatierminee	----||---|-|---------|
ses tla r oine	|--⌫|-|-⌫---|
de liure e	--⌫-----⌫|
d unfi lse lnommerent car lon	|-|--⌫|-||--------|---⌫--|
po ur carlon le cauf	--⌫-|-----|-|---|
son tai on	--|---⌫-|
i fu tramis toute n ap iert	|-|-----|---|-⌫|--⌫---|
wedonfil leconte robiert	----|--|-|----|------|
quideuierssaisogneesto itnés	--|------|-------|----⌫-|---|
eto t y yfius	-|-⌫|-⌫|---|
cilquens senés	--|----|-----|
senescaldefrance	-------|-|-----|
e t robiertk i p oursauallance	-⌫|------|-⌫|-⌫--|-|-------|
au oitnon robier sli francois	--⌫--|--|------⌫|-|-------|
lep aourdes danois	-|-⌫---|--|-----|
qui donques	--|------|
estoientpai en	-------|---⌫-|
neded i eune creoientrien	-|-|-⌫-⌫-|-|-------|---|
e tuenuti erent en	-⌫|----|-⌫----|-|
bo urgogne	--⌫------|
fra ncefa ireuergogne	---⌫--|--⌫--|-------|
si orent sansauoirmier cis	-|----|---|----|----⌫--|
houmesfemesenfan socis	-----|----|-----⌫|---|
castiausdestruisarsescites	-------|-------|----|----|
boursetuileset fermetes	----|-|----|-|-------|
l if rancoisledon	-⌫|-⌫------|-|--|
delroiaum eal contew edon	--|------⌫|-|----|-⌫---|
po ur gard eren liudedroitoir	--⌫-|----⌫-|-|--|-|----|--|
ki la t ieredeuoitauoir	-|-|-⌫---|-----|----|
p ourcou conlete noit	-⌫--|--||-|-|--⌫---|
tant quelenfesauroiteage	----⌫--||----|-----|---|
tie re conforter	---⌫-|--------|
li fisentco uronneport er	-|-----|--⌫-----|----⌫-|
roisfusa nssacre ensiletruis	---|-|--⌫-|----|---|-|----|
ayycon terle puis	|-|---⌫--|-|---|
etq uanti len	-|-⌫---|-⌫|-|
otlecommant	-|-|------|
sien ost a forsk a rlemant	-|-|---⌫|---|-⌫-⌫------|
pourcouqu alfrer enefesist	---|--|-|-|----⌫|-|-----|
cho se dontuiersluimesfeist	---⌫-|---|----|--|-------|
adontque ciswe des	-------|--|--⌫--|
s iariuerentli danois	-⌫|--------|-|-----|
qu ip aien e sto ientenflan dres	--⌫|-⌫---|-⌫---⌫---|-|----⌫---|
atantde gentquai ncalixan dres	|---|-|---|-|--⌫-|------⌫---|
nenotapainneszziourtant	|-|-||------|-|---|---|
sidestruisentbrugeset gant	-|----------|-----|-|---|
aud e narde li slecortrai	---⌫-⌫----|--⌫--|------|
ettoutle pais	-|---|-|---|
uierstor nai	----|---⌫--|
h ainn ausenalerent	-⌫----⌫-||-|------|
droi tacondetlaseiornerent	----⌫||-----|-|----------|
del atieredestruisentmou lt	-|-⌫|----|----------|---⌫-|
et puis senrepairierenttout	-|---||-|-----------|---|
uierslamarinefai sant	----|-|-----|---⌫---|
l iro iswe desfrance et s a	-⌫|--⌫-|--⌫--|-----|-|-⌫|
gard asiparsens etpar force	----⌫|-|--|---|-|--|----|
n i pr isentfust	||--⌫----|---|
ne escorce	-|------|
petitap riesque iouuosdi	----|--⌫---|--|--|--|-|
apari spar zzsa medi	|----⌫|--|-|--⌫---|
liro iswedeseniung moru	-|--⌫-|----|-|---|---|
agrantounor enti erés	|----|----|----⌫----|
etfucomme roisentierés	-|-|----|---|--------|
maisil not	---|-||-|
mie estés a cré s	--|----|-⌫-⌫----⌫|
ri c etombeotetmoultr iceaube	--⌫-⌫|----|-|-|----|-⌫--|---|
etli f iusloeysle b aube	-|-|-⌫--|----|-|-⌫---|
ca rlesli simples	--⌫---|-|------|
ara inse t la	|--⌫--|-⌫|-|
fucouronne ́s	-|--------⌫-|
acestuisont yyroi	|-----|---|-|--|
quep oursacreque pour otroi	--|-⌫--|----|--|---|----|
liroisantiau mesdeng letiere	-|---|------⌫--||---⌫------|
lidona s a fillesansgi erre	-|---|-⌫|----|---|--⌫---|
yyfi us enot q uilo tm out	-|--⌫-|-|-|-⌫|-|-⌫|-⌫--|
coufuloey set	--|-|----⌫|-|
etyy fil lesluneot	-|-|---⌫--||--|-|
qui n eso taincbarat	--|-⌫|--⌫|---|----|
la second e ot nonaelis	-|------⌫|-|--|----|
et la tie rceot nonhe rluis	-|-|---⌫--|-|--|--⌫----|
ets a femeota non	-|-⌫|---|-||--|
bielefu cortoi seet i ol iue	----|-|------⌫-|-|-⌫--⌫--|
latieretinren t engran tpais	-|----|------⌫|-|----⌫|---|
unepi e ceatantle	--|--⌫-⌫-|----|-|
de carlonlecauf si dirai	-|-----|-|---|-|----|
d esnormans ita ntque gen s ai	-⌫-|------|---⌫-|--||-|-⌫-|
sainteescripturen os	-----|---------|-⌫-|
que lisa ge	--|-|--⌫-|
clercanciie n	----|------⌫|
uiserent l es cos es	-------|-⌫-|---⌫-|
clot a l are onde	---||-⌫|--⌫---|
trauiers etenlongecce	-------|-|-|-------|
eten costie ree t enlar gecce	-|-|------⌫-|-⌫|-|---⌫----|
yyparsiconteretori ke	-|---||----|------⌫-|
azieeuropee taufrike	---|-----|-⌫|------|
azied ureciertainement	---|-⌫--|------------|
debiseki uient d orient	-|---|-|----||-----|
deiusques endroit miedi	-|------|-|----|----|
a uise ́tbienleuos di	-⌫----⌫-|---|-|--|-|
li sagehom ekiiauesq ui re nt	-|---|---⌫|-|-|----⌫--⌫--⌫-|
et d eclergiet out	-|-⌫|------|-⌫--|
uenquirent	---------|
aufr iquesa ciés ledeuoir	----⌫---|--⌫----|-|-|---|
al mious c	-|----||
onipuetparceuoir	-||---|--------|
demied iprocainn ement	-|----⌫|--------⌫----|
sidure iusqu e no ccide nt	-|---|----|-⌫|-⌫-----⌫-|
cedistlestoire	-|---||------|
etparlespereetpar	-|--||-----|-|--|
eur ope durepa r deuise	---⌫--|---|--⌫|-----|
doccid entde iusqe senbi se	|-----⌫--|-|-----⌫|-|--⌫-|
deuisee tpar t el c o se	-----|-⌫|--|-⌫-|-⌫-⌫-|
sicomlescr ip tu renos	-|--||----⌫--⌫--⌫-|--|
tientazie enlonce t	----|---|-|---|-⌫|
la moitiedetrestotl e	-|-----|-|------|-⌫|
m ainte co ntre eaeneurope	-⌫----|--⌫----⌫||-|-----|
si comsauoir no sfaitla n ote	-|--|-----|--⌫|---|-|-⌫--|
aig ues qu iledeuisent	---⌫--|--⌫|-|-------|
et d epa rtent	-|-⌫---⌫----|
etrema rcise nt	-|----⌫-----⌫-|
dontil ia si grantpl ente	---|-|||-|----|--⌫---|
poissonsauo lente	-------||--⌫----|
ca stia us uil es etbours	--⌫----⌫-|---⌫-|-|----|
f erm ete se tcitespl usiors	-⌫---⌫---⌫|-⌫|----|--⌫-----|
aleni equimoultestgrans	-----⌫|--|----|--|----|
estdedenseurope m anans	--|-----|-----|-⌫----|
tantaigueset	---|-----|-|
q u e latiere enes t forte plu s	-⌫-⌫|-|----|-|--⌫|----|---⌫|
danemarce si	--------|-|
esta pries	--|-⌫----|
en eur ope t enans mou lt	-|---⌫--|-⌫----|---⌫-|
sima i nnentlidanois	-|--⌫-⌫----|-|-----|
quisu e lentfairemoultd	--|--⌫-⌫---|----|----||
greseu lica stiel	----||-|--⌫----|
siesteneuropeautresi	-|--|-|-----|------|
enlatieream aint diuiersliu	-|-|----||-⌫---|------|--|
auquesisont harditli griu	-----||---|-----|-|---|
greseest mo ultfors	----|--|--⌫--|---|
si estplentiuo usee tgarnie	-|--|--------⌫--|-⌫|-----|
sa maintfortcasti elenlamarce	||----|---|-----⌫-|-|-|----|
entre ces y y	----|--|-⌫|
sietdanem ar ce	---|-----⌫--⌫-|
danemarcequeque	--------|-----|
fup remiers diten ormendie	-|-⌫------|---|-⌫-------|
quarcest bi seetc	---||--|--⌫-|-||
s orentadro itanonxxx	|----||---⌫-||--|--|
pourcou que le urtiere	---|--|--|--⌫-|----|
estuiersbise	--|----|---|
maisor eest autrel a	---|--⌫|--|----|-⌫|
quarun sroiskidaniaus otnon	---|--⌫|---|-|------|-|--|
f usir esdela	-⌫|---⌫-|-|-|
sifu lacontr eeetlamarce	-|-|-|-----⌫-|-|-|----|
pourdaniel	---|-----|
ditedanem arc e	---|-----⌫---⌫|
etcilnortmanquequenusd ie	-|--|------|-----|--|-⌫-|
con quisentpremiersno rmendie	---⌫------|-------|--⌫------|
e t pou r auss ontnortmanclamét	-⌫|---⌫|--|-⌫--|------|------|
etdes danois sontmoultamét	-|--|-----|---|----|----|
pourcou quilsontd une lig ni e	---|--|-|-|---||--|---⌫--⌫|
aprie suousdiraidel eur	-----⌫|---|----|-|-⌫--|
altanslesimpleroi	-|---|-|-----|--|
siiertcoustume	-|---|-------|
ce distlo n	-|---|--⌫|
qued anoiski pai enestoien t	--|-⌫----|-|---⌫-|-------⌫|
aluxuretou tsedo unoient	|-----|---⌫|-|--⌫------|
f emesyyouyy	-⌫---|-|-|-|
ou yy o u yyouy y	-|-|-⌫|-|-|-⌫|
luessiauoie nt tant den fans	---|-|-----⌫-|---||--⌫---|
qu elatiere ki bienest	--⌫|-|----|-|---|--|
mi egouuie rner	--⌫|------⌫---|
si leur conuenoi t sortg ieter	-|---|--------⌫|---|-⌫----|
liqueldesenfanssen	-|---|--|-----||-|
for sde latiereet conqu erroient	---⌫|-|-|----|-|-----⌫-------|
maisliainsnesdes fiu sl epere	---|-|------|--|---⌫|-⌫|---|
cild em oroitauoec lamere	--|-⌫--⌫----|----|-|---|
p ou rdete nir leuryretage	-⌫--⌫|----⌫--|---|------|
etcilaloienta l	-|--|------|-⌫|
sors estoi t k eue	---|-----⌫|-⌫--|
lorssigloient sansatendue	---|--------|---|------|
parmi lamer e t ariuoient	----|-|--|-⌫|--------|
assesico nqueroie nt	----||--⌫--------⌫-|
auoientles	------|--|
n esgrandes	-⌫-|------|
et gensetarmesetuiandes	-|---|-|----|-|------|
queleur pe requile sguioient	--|---|--⌫-|--|--⌫|-------|
quilaleren de u oi ent	-|-|---|-|--⌫-⌫--⌫--|
ce stelo isfulonc tansen	--⌫--|--⌫-|-|---|---|-|
par leurmaliseet	--|---|-----|-|
tant qualtansl e	----⌫-|-|---|-⌫|
for troilotrot	---⌫|--|-----|
ded a nem arceq u imoultsot	-|-⌫-⌫---⌫---|-⌫-⌫|----|--|
couuintaiug ierla contree	------|----⌫--|-|------|
sonfilparsortkifu	--|--|--|---|-|-|
bierscoste fiereeot anon	----|----|-----|-||--|
ceualie rs fudegra nt r enon	-------⌫-|-|-|---⌫-|-⌫---|
siotod lui zz	-|-|-|--|-|
pourluiap rendreet cons illier	---|--|--⌫-----|-|----⌫-----|
hastensotnon hardi sestoit	------|-|--|-----⌫|-----|
e t moult de	-⌫|----|-|
tra is onsauoit	---⌫--⌫-|-----|
cil biersetse s ce ualiers	--|----|-|--⌫|--⌫------|
hastensq uimoultiert feletfiers	------|-⌫-|----|---|--|-|----|
a m ou ltgra ntgentt out	|-⌫--⌫-|---⌫-|---|-⌫--|
de dane marcesontparti	-|----⌫----|---|----|
parsortkisourauseskei	--|---|-|---|--|----|
dolansenfukim es kei	-----|-|-|-|-⌫--⌫--|
et tan t ont parlamersiglé	-|---⌫|--|--|-|--|-----|
q uen uiermendoi ssont ariué	-⌫|-|----------⌫|---|-----|
la ula me rsest plusprocainn e	-||-|--⌫-|--|---|--------⌫|
des n esisen tsans nu le	--|-⌫-|----⌫|---|--⌫-|
parmia miens eluiermendois	----|-⌫----|-|----------|
entrerent cilpaienredois	--------|--|----|-----|
altans carlonle	-|---|-----|-|
cure ded esroi	---|-|-⌫----|
adont ier t sifranc eafe b lie	----|---⌫|-|-----⌫|---⌫-⌫--|
degentetde	-|---|-|-|
ceua lerie	----⌫----|
qu e peti sestoitl o rpooirs	--⌫|----⌫|-----|-⌫-⌫|-----|
forceneleursauoirs	----|-|---|------|
ets oren ttel pooireu	-||----⌫|--|----|-|
quedesrouma ins etdel treu	--|--|-----⌫--|-|--|---|
sestoientost émaint	|-------|---⌫-|----|
et tousiorsenorent	-|---|---|-|----|
uierscaus kisour	----|---|-|---|
a usre ueloient	-⌫-|--⌫-------|
esainteglise g uerroi oien t	|-----|----|-⌫------⌫----⌫|
m aisfranceiert	-⌫--|-----|---|
dont sideceue	---|-|-----|
et sidesierteetsi	-|-|-------|-|-|
des iceltansqueson	--|---|---|--|--|
loeyslifius	----|-|---|
carlemainne	----------|
a sesyyfiu sauier ti	|--|-|---⌫|-----⌫-|
quant satiere le urdeparti	----|-|----|--⌫-|------|
q uilet s espereorentcon qui ses	-⌫|-|-|-⌫-|---|----|---⌫---⌫--|
etde liureese taq uis es	-|--⌫------|-⌫|--⌫---⌫-|
quarlifrere se guerroier ent	---|-|----|-|---------⌫--|
parquoi leurtiere adamagie rent	--|---|---|----|--------⌫---|
deceualiers et da utregent	-|--------|-||-⌫---|---|
de castiauset doretdargent	-|-------|-||-|-||-----|
iusqesalt anscest roi	-----|-|-⌫--|---|--|
ki car leslisimples	-|---⌫--|-|------|
do ntarriuerent	--⌫-|---------|
cil sa rr a si nsl ifel hastens	--|--⌫--⌫-⌫--⌫-|-⌫|--|------|
bierscostefieree	----|----|-----|
odlui tous causdesa contree	-|--|---|---|-|-|------|
qui nesto ient pas crestiien	--||----⌫---|--|--------|
ainsi er entda noisetp ai e n	---|-⌫--⌫--|--⌫---|-|-⌫--⌫-⌫|
etdontdestruisentci ldanois	-|---|----------|--⌫|-----|
aa quentin et	-|------|-|
tout uiermendois	---|----------|
socisentleuesquea	|------|-|-----||
la gent enui ron	-|---|----⌫--|
etpuissirent rerentenmer	-|---|-|----⌫-----|-|--|
pourennormendie ariuer	---|-|--------|-----|
sidestruisenta cel t ier min e	-|----------||--|-⌫---⌫---⌫|
et fesc ansla bouneabeie	-|----⌫--|-|----|----|
quidenonnainsestoitseru ie	--|-|-------|-----|----⌫-|
puisa lerentcontremont sainne	---|-⌫-----|---------|-----|
atoutel or gent premerainne	|----|-⌫-|---|----------|
agumegessetraisentdroit	|------|-|-------|----|
u li mou stiersaa pier eestoit	|-|---⌫-----|-|----⌫|-----|
quesainsfilebiersot funde ́	--|----|--------|-|-----⌫|
moult deuantcoup ourlamour	----|-----|--|-⌫--||----|
par laiesainegroh eu t	--||--|----|----⌫--⌫|
femecloe ui	---|----⌫-|
auoitmonniesy y cens	----|------|-⌫|---|
sorentt ieres rentes	|----|-⌫----|-----|
senpo rterent lescoses	|----⌫------|--|----|
etlipaien e tleur sgran s rou tes	-|-|----|-⌫|----⌫|----⌫|---⌫--|
ars enttote t mi s ent	---⌫--|--|-⌫|--⌫-⌫--|
et puissenallerent	-|---||-|-------|
etdestruisent touteneutrie	-|----------|----|------|
que nos apielonsnormandie	--|--|-------|--------|
puisseiornerentl ongeme nt	---|----------|-⌫------⌫-|
alabeiesaintflorent	||----|----|------|
enaler en tagenstantes	-|----⌫--⌫||---|-----|
qu ilarsentl a citeden antes	-|-|-----|-⌫|---|-|-⌫----|
tourainneetangierset	--------|-|------|-|
etpuisreuinrentaorliens	-|---|--------||------|
ardoi rettuercrestiiens	-----⌫|-|---|---------|
etauuer gneettoute aqu itagne	-|-----⌫--|-|----|---⌫-----|
e tl euticele ciefdelra gne	-⌫|-⌫-----|-|---|--|--⌫--|
biauuai s noion	-------⌫|----|
et aaden is	-|-|---⌫-|
saintegeneuiere etparis	-----|--------|-|----|
e tsif isent anuis	-⌫|-|-⌫----|----|
asmoin es etas ueuesdames	-|----⌫-|-|-|----|----|
etpucieles so nlesatai nt	-|-------||-⌫|--|----⌫-|
tout brui etestaint	---|---|-|------|
poitierssa int eseteng oulesme	-------|--⌫---⌫-|-|---⌫------|
e tpar de caiusqu	-⌫|--|--⌫-|----|
abi elesme	|--⌫-----|
etsidestruisent tot e auuiergne	-|-|----------|---⌫|--------|
quil nire mestuallan tzziergne	-|-|||--⌫---|------⌫|-|-----|
france et l oher ainnep artie	-----|-|-⌫----⌫----|-⌫----|
arras cam br aietcorbie	----|---⌫--⌫-|-|-----|
braibantet fist moult	-------|-|---|----|
de gantuinrent seloncles caut	-|---|------|-----||--⌫---|
courtraia rse ntet puistournai	-------|-⌫---⌫-|-|---|------|
etaa amant et puisdou wai	-|-|----|-|---|---⌫--|
puiss enalerent acondet	---||-|------||-----|
lecastel ont prisetminét	-|-----|--|---|-|-----|
aisetcoulogneet lescastiau s	--|-|-------|-|--|-------⌫|
delpaisarsent lespl usbiaus	--|---|-----|--|--⌫-|----|
apri esarsenttri eues etmies	----⌫-|-----|---⌫---|-|---|
etbourse t uil eskisont	-|----|-⌫|---⌫-|-|---|
licorsaauast	-|---|-|---|
fu aportés	-|-------|
dont abiau uais	---||----⌫---|
pour sauuetes	---|-------|
etaaamesa sess onsmis	-|-|---||----⌫--|--|
etaa amans fu a paris	-|-|----|-||----|
etlarceuesques deru emfouke	-||----------|-|--⌫-|----|
