qui peti tpetitkeut	--|----⌫|----|---|
qu i dez quebien neuoscon oise	--⌫-⌫--|--|---|-|--|---⌫---|
si faiz bi e nce r tes	-|---|--⌫-⌫|--⌫-⌫--|
uos quenois	--|------|
lanier n e si lois	-----|-⌫|-|---|
que u ostrefausete ne uoi e	--|-⌫----|------|-|---⌫|
entree es tesenmaleuoie	-----|--⌫--|-|---|---|
maingera daue ine	-------||---⌫--|
entree estesenmal epe ine	-----|----|-|---⌫|--⌫--|
uostre cheual	-----|-----|
ne niert seigniez	-||---|-------|
mese raiuengiez	-|--⌫--|------|
et lao uil desfeerra	-|-|-⌫|-|--------|
iames referr é	----|------⌫-|
sil muert uosme suireiza pie	|-|----|--|-|------||--|
neiamesne seront c h an gié	-|----|-|-----|-⌫-⌫--⌫---|
li drapdonuos este s	-|---|--|--|----⌫|
a inzmesuireizapieet nue	-⌫--|-|------||--|-|--|
tan tque la testeenaur ai	---⌫---|-|----|-|---⌫-|
ione nferaial tre	-||-⌫|----|--⌫--|
atant sasist et simainga	----||----|-|-|-----|
et l iuaslettant cheualcha	-|-⌫|-----|---|--------|
qu i luit unchar bonieruenan t	-|-⌫|--|-|----⌫-----|-----⌫|
unasned euant l uimenan t	-|---|-⌫----|-⌫-|-----⌫|
uilainfait i l	-----|---|-⌫|
enseigne m ei	-------|-⌫-|
q uilasneme nesdeuant	-⌫-||---|--⌫--|-----|
l a p lusdreite	-⌫|-⌫--|-----|
ueie acard oil	---||----⌫--|
lerei art urqueueeiruoil	-|--|---⌫-|--|----|---|
ilfaitcheua lier sco diten	-|---|-----⌫----⌫|-|--|-|
uaslet fa itenices tsen	-----|--⌫-|-|----⌫|--|
aunchastelso rmera sis	|-|------|--⌫|--|-⌫--|
lireis artursormeramis	-|---|----|--|--|---|
lie etdolent itroueras	--|-|-----||-------|
ac e lchastel se tuiu as	|-⌫-⌫|------|-|-||-⌫-|
ormedi roie sia m onuoel	-|-|--⌫----⌫|-|-⌫-|---|
li reis aioie	-|---||---|
dirraifaitilmout	-----|---|-|---|
li r e isartuset	-|-⌫-⌫-|----|-|
totson ost	--|--|--|
sest aurei	|--|-|--|
rion co mbatu	---|--⌫----|
li reisdesiles fuuen cu	-|---|--|---|-|---⌫-|
dec o est l ireisartur liez	-|-⌫|--|-⌫|---|----|---|
etdese scompaignonsiriez	-|-|--⌫|----------|----|
q uiaschastels se	-⌫-|-|-------|-|
departirent	----------|
laou le meillorseioruirent	-|-|-|------|----|-----|
n esetcommentillorua	-⌫|--|------|-|--|-|
de coestlidoelquelireisa	-|-|--|-|---|--|-|---||
liu aslet nepriseundenier	-|-⌫----|-|----|-|-----|
lesnoue lesauch arb on ier	--|----⌫--|-|--⌫---⌫--⌫--|
forstantqueenlaueie	---|------|-|-|---|
celepartou il	---|---|-|-|
tantque sorme ru it un	------|--|--⌫|-⌫-|-|
mout etf ortetbel	---|-|-⌫--|-|--|
etue iteissir	-|--⌫-|-----|
parmielaporte	-----|-|----|
uncheualierarméquiporte	-|--------|----|--|----|
unecopedor ensam ain	--|---||-|-|-|-⌫--|
salancetene i tet son frein	-|----|----⌫-⌫|-|--|----|
e t sone scuenl a	-⌫|--|-⌫--|-|-⌫|
et la co pe	-|-|--⌫-|
lad est re	-|-⌫---⌫-|
etsesarmesbien	-|--|----|---|
quitotes uermeil les esto ie nt	--|----|-------⌫--|----⌫--⌫-|
liuasletuitlesarmes	-|-----|--|--|----|
qu i furentfres chesetno ue les	--⌫|-----|----⌫---|-|--⌫--⌫--|
si li plorent	-|-|------|
et dit parfei	-|--|--|--|
ceste sdemande rai aurei	-----⌫|-------⌫--|-|--|
lesm ed onebel m	--|-⌫|-⌫--|--||
e tdeheai tqui au tresquie rt	-⌫|---|--⌫|--|--⌫---|----⌫-|
atan tuers leschastel sencort	----⌫|---|-|-------||-|---|
quetart li ertqu il uie ngea	--|---|-|--|-|-|---⌫--||
tantque presdel c heualier	------|---|--|-⌫-------|
etle cheualierleretient	-|-|--------|-|------|
unpet itsil i demanda	-|---⌫-|-|-⌫|------|
ouira s tu uasletd iua	-|---⌫|-|-----|-⌫--|
ie u oilfait ilacort	-|-⌫--|---|-||---|
aurei uosarmes	-|--|--|----|
u asletfaitil	-⌫----|---|-|
tu ferasbien	-|----|---|
oruadonc tost ettostreuie n	-|-|---|---|-|---|-----⌫|
ettan td irasalma luaisrei	-|---⌫|-⌫---|-|--⌫----|--|
uelt teni rdemei	---|----⌫|-|--|
queilla mer e nde	--|-|-|-|-⌫-⌫--|
ouil enueitq ui l a desfend e	-|-|-----|-⌫-|-⌫|-------⌫|
uersmei qui diquilleestme ine	---|--|--|-|-|---|--|--⌫--|
etaces enseignes	-||--|--------|
sei lal trementnet	-|-⌫|--⌫------|-||
quedeuantlu i	--|-----|--⌫|
pris or endreit	---|--⌫------|
ce stecopedorqu eienpor t	--⌫--|---||-|--⌫||-----⌫|
ou quilquiertalt requ ili	-|-|-|-----|---⌫-|--⌫|-|
quercistni a mo tent en du	---|---||||--⌫|---⌫--⌫-|
iusqua lacortnaatendu	----||-|---|||-----|
reise tlich eu al ier	---|-⌫|-|--⌫--⌫--⌫--|
esteientasi s	-------|---⌫|
au maingi er	-|------⌫-|
la salefua terreaual	-|---|-||----|---|
u asletentre a cheual	-⌫----|----||-----|
enl a sa le qu i mout f u	-|-⌫|--⌫-|--⌫|---|-⌫|
et lo nged emarbre	-|--⌫--|-⌫|-----|
etl i reisartur fuas is	-|-⌫|---|----|-|--⌫-|
au chief dune table pens is	-|----||--|----|----⌫-|
e ttuit liche ualier mai ngoent	-⌫|---|-|---⌫-----|---⌫-----|
et li uns astab lesparlo en t	-|-|--|-|---⌫--|-----⌫--⌫|
fors lui qui fupe nsisetmuz	---|--|--|-|--⌫---|-|--|
liu asletestauant uenuz	-|-⌫----|--|----|----|
neset lequelil s alut	-|--|-|---|-|-⌫---|
querli re i mieneconut	---|-|--⌫|--|-|----|
t antqueienetcontre luiuint	-⌫-----|----|-----|--|---|
m ainunco teltin t	-⌫--|-|--⌫--|---⌫|
uaslet faitil tuq ui cauient	-----|---|-|-|-⌫-|-|----|
quientamain uncotelti ent	--|-|-|---|-|----|--⌫--|
mostremei lequel est l ire is	-----|--|-|---|--|-⌫|--⌫-|
moutfuc orteis	---|-|-⌫-----|
li dist am is	-|---|--⌫-|
etcil tan tost uerslui	-|--|---⌫---|---|--|
li reispen sasi neditmot	-|---|---⌫-|-|-|--|--|
etcilaltre	-|--|----|
feizlarais onne	---||-----⌫---|
et lireisp ensemotne	-|-|---|-⌫---|--|-|
cistrei snefistcheualieronques	---|---⌫|-|---|--------|-----|
quanto n parole n enpot	----|-⌫|-----||-|--|
comment porr eitcheualierfaire	------|----⌫--|--------|----|
tantostder etorner satorne	------|-|-⌫------||-----|
lech iefde s on chaceor	-|--⌫--|-|-⌫-|------|
maissi pr eslerei l otmené	---|-|--⌫-|-|--||-|----|
aguisse d ome malsené	|-----||--|-------|
qu ideuant lu ide sorlat able	--⌫|-----|--⌫|--⌫--|-|-⌫---|
liaba tisanznu le fable	-|---⌫-|---|--⌫-|----|
delchiefunchapel	--|----|-|-----|
torneue rsleuasle t	----|--⌫-|-|-----⌫|
son chi efqu ila ueitbaisie ́	--|---⌫-|-|-|-⌫---|------⌫|
siatotsonpenselaissié	-||--|--|----|-------|
etditbe lfrerebien	-|--|--⌫|----|---|
etpriuosquemalnel tieng n ez	-|--|--|--|--|-||-----⌫-⌫-|
cequau ostresalume	-|-||-⌫----|---|-|
respondre n euospoi	--------|-⌫|--|--|
querlipie re enemi quei	---|-|---⌫-|----|--||
qui plusme het et plusmesmaie	--|---|-|--|-|---||-----|
m aci ma terrecontredi te	||-|-|----|--------⌫-|
et tante s t fel quetote quite	-|---|-⌫-⌫|--|--|---|----|
il auraouuoille	-|---|-|-----|
li uermei l	-|------⌫|
cheua lie r anon	-----⌫---⌫||--|
delaforestdequi nquer ei	-|-|-----|-|---⌫-----⌫-|
e tlarein edeuantmei	-⌫|-|----⌫|-----|--|
esteitci uenue sei r	-----|-|----|---⌫|
porconfortere t porueeir	--|--------|-⌫|--|----|
ces cheu al ierqui sont dreciez	--|----⌫--⌫--|--|---|------|
nemeustgairescor e cie z	-||---|-----|---⌫-⌫---⌫|
l ich e ualiersdequa n tqu	-⌫|--⌫-⌫------|-|---⌫-⌫--|
maisdeuantmoima c ope pri st	---|-----|--|-|-⌫--|---⌫-|
et sifoleme nt	-|-|------⌫-|
quesorlareine uersa	--|--|-|----|----|
el ee steit	--⌫|-⌫----|
cieuteu rela ide etu ileine	-|--|--⌫-|--⌫--|-|-⌫-----|
etla reineen	-|-|----|-|
estent ree	--|---⌫--|
dedol etdireenflamee	-|--|-||--|-------|
ens ac hambreoueleserist	-|-⌫|-⌫-----|-|--|-|---|
ion e quitpassedexm	-|-⌫|---|--|-|--||
queele enpu i sseescha perui ue	--|--|-|--⌫-⌫--|-----⌫--|--⌫-|
neprisepas	-|----|--|
q uenque lireisli	-⌫-----|-|---|-|
nedesondoelned e	-|-|--|---|-|-⌫|
nelirec haltil	-|-|---⌫---|-|
faitesmoicheua lie r fait il	-----|--|-----⌫---⌫|---|-|
sirereis querale r men	---|---|---|---⌫||-|
cleretriantf urent lio il	---|-|----|-⌫----|-|-⌫-|
test eau uasle tsa uuaige	----⌫|-|-----⌫|--⌫-----|
ue ie neltientasage	--⌫-|-||----||---|
maistres tuitcil quileueient	---|----⌫---|--|--|-|-----|
porbeletp orgent leten eient	--|--|-|-⌫-|---|-|---⌫----|
amisfait lireisde s cende z	---|---|-|---|--⌫-⌫-----⌫|
c haceorrendez	-⌫-----|-----|
a ce l uasletsil gardera	|--⌫|-----|-||------|
uolentesera	------|---|
faite a deuena ile uo	----||--|-|-⌫|-|-|
auostre p r ou	|-----|-⌫-⌫-|
etliu aslet arespondu	-|-|-⌫----||-------|
ianesteient pasdescendu	-||-------|--|-------|
cel s que i encontrai	---⌫|--||--------|
enlaland e	-|-|----⌫|
etuosuolez q u eio	-|--|----|-⌫-⌫|-|
iaparmonchie fn en	-|--|--|----⌫||-|
desc endrai	----⌫-----|
ma is f a itestostsi men	--⌫-|-⌫-⌫---|---|-||-|
a faitl irei sb iaus amis	|---|-⌫|---⌫|-⌫---|---|
io leferai mout	-|-|----|---|
uole ntiers	----⌫-----|
a uostrepr ou eta monhen o r	|-----|--⌫-|-||--|---⌫-⌫|
feiqueiedei m iens eig nor	--|--|-|--|-⌫--|-⌫---⌫--|
faitliuaslet bi ausir ereis	---|-|-----|--⌫-|---⌫|---|
neseraicheualie rdesmeis	-|----|--------⌫|--|---|
se cheualier uermeilnesui	-|--------|------|-|--|
donezmeilesarmes celui	----|--|--|----|----|
queiencontraided enzlaporte	--||--------|---⌫--|-|----|
q u i uostrecope	-⌫-⌫|-----|---|
dore nporte	|-|-⌫-----|
li senes chal	-|-----⌫---|
de ce qu ilo t s estcorociez	-|-|-|-|-⌫||--|-------|
etdi tamis uos aue zdreit	-|--⌫|---|--|---⌫|----|
al ez li toli roren dreit	--⌫-|-|----⌫|----⌫----|
lesarmesque	--|----|--|
elessont uoz	---|---|--|
nefei stesmie	-|---⌫---|--|
quant uos porceuenistes	----|--|--|-|-------|
keusf aitlireispordeu	---|-⌫--|-|---|--|--|
tropditesuolentiersenui	---|----|---------|---|
s i neuoschalto nquesa qui	-⌫|-|--|----|-⌫----||--|
a prodomeestcet roplaituice	|------|--|-|-⌫--|---|---|
porcese li	--|-|-|-|
u a sle test nice	-⌫-⌫---⌫|--|---|
il espeir m out gentil hom	-|-----|-⌫--|-----|--|
ce leuientdaprison	-|-|----||------|
encepotilproz	-|-|--|-|---|
uilanie es td altrui ga ber	------|--⌫||-----|--⌫--|
e t de s fr an s hom esramposner	-⌫|--⌫|--⌫--⌫|---⌫-|--------|
prodom nesedeitentremetre	-----|-|-|---|---------|
denu lerienaltruipram etre	-|--⌫-|---|-----|----⌫---|
que d onernel ipuisseou uoille	--|-⌫---|-|-⌫|-----|-|-----|
que locelui n acoille	--|-|----||------|
quisa nz pramet reest sis amis	--|--⌫-|------⌫-|--|--|---|
et d esqueil li apromi s	-|-⌫----|-|-||-----⌫|
si bee ala	-|--||-|
pramesse aue ir	-------|---⌫-|
etporcesipo etlensaueir	-|--|-|-|--⌫-|--|-----|
quea sse zuen droit	--|-⌫---⌫|---⌫----|
mielzuee r	----|---⌫|
faireb aer	----|-⌫--|
carquiledreitd ir e	--|--|-|----|-⌫--⌫|
seimeimesgabeet deceit	--|-----|---|-|-----|
q uifaitpra m esse	-⌫-|---|---⌫-⌫---|
et nela so l t	-|-|-|--⌫-⌫|
qu er le corsonami	--⌫-|-|--|--|--|
eissi lire ia keu parlot	----|-|--⌫||--|-----|
etliuasle tqui se n alot	-|-|-----⌫|--||-⌫|---|
aunepucel e	|--|-----⌫|
beleetgente si	---|-|----|-|
et elelui et	-|--|--|-|
et en riantitantli di st	-|-|----|----|-|--⌫-|
uasletse tuuispar aa ge	-----|-|-|--|--|--⌫-|
creienmoncoraige	---|-|--|------|
etsacesquil	-|----|-|-|
totlemonde	--|-|----|
nulmeillor	--|------|
ch eualierde	--⌫------|-|
penseissil ecrei	---|----|-⌫|---|
et lapuc e le	-|-|---⌫-⌫-|
n aueit ris	|----|--|
pa s s éaueit	--⌫-⌫-⌫-|----|
anzplu s queyy	--|---⌫|--|-|
etce distel e	-|-|---|--⌫|
que tuit loi re ntet	--|---||--⌫--⌫-|-|
quel apa rol ee nuiamout	--|-⌫|--⌫---⌫|-⌫---|---|
si l i d o na	-|-⌫|-⌫-⌫-|
uncolpestot	-|---|----|
de la paume	-|-|----|
enlafaceten dre	-|-|---|---⌫--|
queil la fi stat erre	--|-|-|--⌫-||-⌫---|
quantla puce leferu	----|-|----⌫-|---|
ensonretortr oua unsot	-|--|----|--⌫--|-|--|
lez u nec hemin eestant	--|-⌫-|-⌫-----⌫|-----|
silebota alfeuardan t	-|-|---|-|--|-----⌫|
del pieparc orrot et parire	--|--|--|-⌫----|-|--|--|
porc oqueli sot soleitdire	--|-⌫|--|-|--|-----|---|
ces te pucelene	---⌫-|-----|-|
iu squetant quee le uerra	--⌫---|----⌫--|-⌫-|----|
por cheua lerie	--|-----⌫----|
aura tote laseignorie	---|---|-|--------|
eissicilcr ie etceleplore	----|--|--⌫-|-|---|----|
etliuasletplus ne	-|-|-----|---|-|
ainz senretornesanzconse il	---||-|------|---|-----⌫-|
apreslecheualier	----|-|--------|
ion etqui les dreizsentiers	---⌫-|--|--|----|-------|
saueitet m outt resuolentier s	-----|-|-⌫--|-⌫--|---------⌫|
aportoitnouele s acort	-------|------⌫||---|
ouocson co mpaignonsencort	---|--|--⌫-------||-|---|
degr edelez lasale	----⌫|----|-|---|
etparunepostern e auale	-|--|--|-------⌫|----|
tantque iluint auchemindreit	------|-|---|-|-----|----|
ouleche u alie ratendei t	-|-|---⌫-⌫----⌫|-------⌫|
che ua ler ieet auentu re	---⌫--⌫---⌫-|-|------⌫-|
etli uasl etgra n taleure	-|-|----⌫-|---⌫-⌫|-----|
uent ue rsluiporsesarmes	---|--⌫-|--|--|--|----|
et lic heualier po r	-|-|-⌫-------|--⌫|
s aueitlacopedorius	|----|-|---||-|--|
soz unperrond erochebise	--|-|-----|-⌫|----|---|
quantli uasletaprociél	----|-|-----|-------||
t ant quel unla utreoir	-⌫---⌫--||-||-⌫---|--|
silescri em etezle s ius	|-|-----⌫|-⌫---|--⌫|--|
l esar me snele spo rt ezp lus	-⌫-|--⌫--⌫|-|--⌫|--⌫--⌫-|-⌫--|
carlir ei sarturleuo smande	--|-|-⌫--⌫|----|-|--⌫|----|
etlicheualier li	-|-|--------|-|
u asletosecouenir	-⌫----|--|------|
porle dreit	--|-|----|
lereimain tenir	-|--|----⌫----|
senus iuient nelcelerpas	-|--||----|-||----|--|
comment de iableestce or gas	------|--⌫----|--|-|-|--|
dans c heualierque uosmef aites	---|-⌫-------|--|--|-|-⌫----|
q uencornauez me s armestraites	-⌫|----||---|--⌫|----|------|
ostésles t ost	-----|--|-⌫--|
ie luoscomma nt	-||--|-----⌫-|
uasl etfaitilie lt ede mant	----⌫-|---|-|-||-⌫|--⌫---|
senu s iuient	-|--⌫||----|
de par le rei	-|--|-|--|
q u icombatreseuoillea mei	-⌫-⌫|-------|-|-----||--|
d anche ualierquerosteztost	-⌫-|---⌫-----|---|----|---|
esu o sost	-|-⌫-⌫|--|
carplusneles uos	--|---|-|--|--|
biensaceizqueio	---|-----|--|-|
seplus parler	-|---|-----|
menfaisiez	|-|------|
lorsfulecheua lieriri ez	---|-|-|-----⌫---|---⌫-|
sa l a nceaadousmainsleuee	-|-⌫-⌫--|||---|----|----|
sile n dona m ou t	-||-⌫|---|-⌫--⌫|
gr antcolee	--⌫--|----|
parlesespaulesentrauers	--|--|-------|-|------|
de laou nesteit	-|-|-||-----|
pasli fers	--|-|---|
siquilestt otbr onchiéa ual	-|-|-|--|-⌫-|--⌫------|-⌫--|
iusquesorl e col delcheual	-----|--|-⌫|--|--|-----|
uas letsetcorociez	---⌫--||-|-------|
quan tilsentiqu	----⌫|-|----|-|
ilfubl eciez	-|-|--⌫----|
de la colee quilotprise	-|-|----|-|-|-|----|
enlui lalmielzquilp uet	-||--⌫|-|----|-|-|-⌫--|
alerlegaue lot	---|-|----⌫--|
siquilneueit	-|-|-|-|---|
fiert parm ie loceruel	----|----⌫-|-|-----|
qui d altre	--||----|
partdelhater el	---|--|-----⌫-|
lesancetlaceruel e	-|---|-|-|------⌫|
de lado lorlo	-|-|--⌫--|-|
c or limant	-⌫-|-|---|
siuersse et chiet totesten du	-|-----|-|----|--|-----⌫-|
etliuaslet	-|-|-----|
estdesc end u	--|----⌫---⌫|
si metla lancea	-|--|-|----||
escudel co llidepart	---|--|--⌫|-|-----|
del haume qui l aen son	--|----|-|-⌫||-|--|
quilse t comment	-|-|--⌫|------|
illepren ge	-|-|----⌫-|
etsa ta lentqu	-|||--⌫---|-|
il ladesceigne	-|-|--------|
lespeemais ilne setfaire	|----|---|-|-|--|----|
ne delfore	-|--|---|
ne lapottraire	-|-|--|-----|
ainzprentle foree tsace et	---|----|-|---|-⌫|---|-|
i one tsi com me ncea riere	-⌫---⌫|-|---⌫--⌫--||----|
carle ua sletueitentre pri s	--|-|--⌫---|---|-----⌫---⌫|
ice q uee st	--|-⌫-|-⌫-|
faitilamis	---|-|---|
nesa ique i	-|--⌫|---⌫|
iaq uid eiequeuostr erei	-|-⌫---⌫--|--|-----⌫|--|
i ces armesdonees	-⌫--|----|-----|
mais a inzaura iachabenees	---|-⌫--|----⌫||--------|
tres tote sbraoné m ort	----⌫--|-⌫-------|-⌫--|
quenuled es armesenport	--|---|-⌫-|----|-----|
qu tie nen ts iauc ors	-|---⌫---⌫|-⌫|-|-⌫--|
quec e dedenzet cedefor s	--|-⌫|-----|-|-|-----⌫|
est trestozunsico mmei sem ble	--|------|-|-|--⌫|--|---⌫--|
q ue eless etie nentsiensemble	-⌫-|---|-⌫|---⌫---|-|-------|
or ne uos esmaie zde	-|-|--|------⌫|-|
departi moutbie n	------|---|---⌫|
seuosuolez faitionet	-|--|----|---|----|
faites donc tostfait	-----|---|---|---|
l i uas let	-⌫|---⌫--|
medonnez s anzplusd	-|-----|-⌫--|---||
t antost ionetli desuest	-⌫-----|----|-|------|
anlorte illedeschauce	-||----⌫-|-|--------|
nelila ise haube rc nech a uce	-|-|--⌫--|-----⌫-|-|--⌫-⌫--|
n e haum eel chiefnautr earmeure	-⌫|----⌫|-|----||----⌫|------|
mai sliua sletsauesteure	---⌫|-|--⌫---|-|-------|
nelaissie rnene	-|-------⌫|-|-|
q ueionetlideist	-⌫-|----|-|----|
un e cot emouta ai sie	--⌫|---⌫|---|-⌫--⌫--|
dedrapde soie ganbaise	-|---|-|---|-------|
que desozson hauberc uesteit	--|----|--|------|------|
licheual ie rquantuisesteit	-|------⌫--⌫|----|--|-----|
n ost erne l i potde	|---⌫-|-|-⌫|--|-|
lesreuelinsquaue itchauc iez	--|-------|-|---⌫-|-----⌫--|
ainzdistdeiable est ceorgaps	---|---|------|--|-|-|---|
queio chau cer aimes bonsdras	--|-|----⌫---⌫-|--|---|---|
que mame re	--|-|--⌫-|
lautr eier	|----⌫---|
porles dr asacest	--|--|--⌫-||---|
cheua liers	-----⌫----|
ma bon ec hemisede ch anue	-|---⌫|-⌫-----|-|--⌫---|
quiestmoleet ta nue	--|--|---|-|--⌫--|
uodriezuos	------|--|
qu eielaisse	--⌫|-|-----|
macoteou point d eue ne	-|---|-|----||--|-|
porcest e quin en ten dreit	--|----⌫|--||-|---⌫----|
honieseitsagorge t ote	----|---|-|----|-⌫--|
qui changerane	--|-------|-|
loing nep re s	----|-|-⌫--⌫|
ses buens dra s p oraltruimalues	--|----|---⌫|-⌫-|-----|-----|
mol tgr ief chose estde folaprendre	---⌫|--⌫--|----|--|-|--|-------|
r ien fors lesarmes ne uelt prendre	-⌫--|---|--|----|-|---|------|
porpreiere que l onliface	--|------|--|-⌫-|-|---|
yonetl eschauces lilace	----|-⌫-|------|-|---|
e tsorl esreuelinsli	-⌫|--|-⌫-|-------|-|
lesesperons des orla chauce	--|-------|---⌫-|-|-----|
pui s liad leh au be rcue st u	---⌫|-|-|-|-⌫--⌫--⌫-|--⌫--⌫|
telconquesnulm ieldre	--||-----|--|-⌫-----|
esorla coiffeli asi et	|--|-|-----|-|---⌫-|
l i ha umequi moutbienlisi et	-⌫|--⌫--|--|---|---|-|--⌫-|
e t delespee	-⌫|-||----|
lie nseign e	-|-⌫------⌫|
quependantetlastc he	--|------|-|-----⌫-|
p uisl imetlipie en l	-⌫--|-⌫|--|-|--|-||
si lfait mon tersor	-||---|---⌫--|--|
ledestrier	-|-------|
oncmaisestr inueuna ueit	--|---|----⌫-|--||-⌫---|
ne deperon rien	-||-----|---|
forsde ci llanteet	---|-|--⌫-----|-|
yonet lesculiaport e	----||---|-|-----⌫|
etlalancep uis silibaill e	-|-|----|-⌫--|-|-|-----⌫|
anceisqueionetsenaill e	--------|----||-|----⌫|
distli uasle tamisper nez	---|-|-----⌫|---|---⌫--|
monc haceor etl enmene ́t	--|-⌫-----|-||-|----⌫-|
quilestmo utben	-|-|--|--⌫-|--|
icel uos doi ng	---|--|---⌫-|
porc e qu e	--|-⌫|--⌫|
ie nenaimaiss o ing	-||-|-|---|-⌫-⌫--|
etportezlacopele	-|-----|-|---|-|
etsilsa luez de	-|-||--⌫---|-|
et tantdire z alapucele	-|---|----⌫||-|-----|
que ke uf erienla maisele	--|--⌫|-⌫--|-|-|------|
q ueseio puis ainzque iomuire	-⌫-|-|-|---|------|-|----|
lipuisioetbienmetrecuire	-|---|-|-|---|----|----|
que por ue ng iese	--|--|--⌫--⌫-|-|
et cilrespont que	-|--|------|--|
ilren d ra	-|---⌫-⌫-|
aurei sacop eet son	-|--|-|---⌫|-|--|
a t antdepartent	-⌫-⌫--|--------|
enlasaleou li baron s ont	-|-|---|-|-|----|-⌫--|
entrey onetparmielapo rte	----|-⌫---|-----|-|--⌫--|
qu iaur eisacop e r e porte	--⌫|-|-⌫-|-|---⌫|-⌫-⌫----|
sili distsire	-|-|---|---|
orfaitesioie	-|-----|---|
q u eruostrecop eenr enuoie	-⌫-⌫-|-----|---⌫|-|-⌫-----|
uot re c heualierquici fu	---⌫-|-⌫-------|--|-|-|
delque lcheualierme	--|---⌫|--------|-|
f aitli r eiquiensagr a nt	-⌫--|-|-⌫-|--|-|-|--⌫-⌫-|
esteit encoren ondeusire	-----|----||-⌫-|--|---|
fa ityonetdelu asletdi	--⌫-|----|--|-⌫----|-|
quiorendreit	--|--------|
parti dec i	----|-|-⌫|
di sttu doncdel uasletg al ois	--⌫-|-|---|--|-----|-⌫--⌫--|
qui medeman daf ai tli	--|-|-----⌫-|-⌫--⌫|-|
l esarm esde sinopleteintes	-⌫-|---⌫-|-|------|------|
auc heua lie r quihontes maintes	-|-⌫----⌫---⌫|--|-----|------|
maf ai tessolonc son peeir	||-⌫--⌫--|-----|--|----|
siredelu i di	---|-|--⌫|-|
ema cope comment ot il	|-|---|------|-|-|
aime let ant ouprise	---|-|-⌫--|-|----|
q ui liad de	-⌫||-|-|-|
son grerendue	--|--|-----|
anc ei sli ad sichier	---⌫--⌫|-|-|-|----|
liuasl et quillena	-|----⌫-|-|-||-||
com mentfuce beldolzamis	---⌫---|-|-|--|---|---|
saimaisque iou i	--|------|-|-⌫|
q ue lec heuali erleferi	-⌫-|-|-⌫------⌫-|-|---|
des a lanc e et	-|-⌫|----⌫|-|
f istgran tenui	-⌫--|----⌫|---|
et liu aslet	-|-|-⌫----|
re ferilui	--⌫---|--|
dungauelotparmie	|-|------|-----|
siquillifistp ard ed esrire	-|-|-|-|---|-⌫-|-⌫|-⌫-----|
lesanc etlacerueleespa ndre	-|---|-|-|------|----⌫---|
et fis tat erremort estandre	-|---⌫||-⌫---|---|-------|
lorsd i stlereia u senesch al	---|-⌫-⌫-|-|--|-⌫|-------⌫-|
haqeu com mauezh ui	-|--|--||---|-⌫-|
paruostrela ngel en nuiose	--|-----|--⌫--||--⌫-----|
quiauraditeta nteoisose	--|---|---|--⌫--|-----|
telcheualier mauez	--|--------||---|
qu ihuicestior	--⌫|--|---|--|
sirefait yonet aurei	---|---|----|-|--|
par monchiefilmand epar m ei	--|--|----|-|----⌫|--|-⌫-|
ala puc ele larei ne	|-|---⌫--|-|---⌫-|
quekeufer iparaatine	--|--|---⌫|--|-----|
por malde luietp orde spit	--|--|-|--|-|-⌫-|--⌫---|
la ue ngeras	-|--⌫----||
tantqu il puisse uenirenleu	-----|-|-----|----|-|--|
qui sistdelez lefeu	--|---|----|-|--|
parole etsalt en piez	-----|-|---|-|---|
si e stdeu antlereimou t lie z	-|-⌫-|---⌫--|-|--|---⌫|---⌫|
sa telioie quil t repe et salt	||--|---|-|-|-⌫---|-|---|
etdistaureise	-|---|-|--|-|
deu mesalt	--|-|---|
o raprocentl esau entures	-⌫|-------|-⌫-|--⌫------|
desfeleneses	--|--------|
et uer re izauen irsouent	-|---⌫--⌫-|----⌫-|-----|
etsiuos metbienencouent	-|-|--|--|---|-|-----|
que k euspuetestre totcertains	--|-⌫--|---|----|--|-------|
quemalui tsesp iez	--|--|--⌫|--|-⌫--|
ets esmains	-|-⌫-|----|
et sa langefole etu ilain ne	-|-|----|---|-|-⌫-----⌫-|
que ai nzquepastla	--|--⌫----|---|-|
quarantain e	----------⌫|
auralecheual i eruengié	---|-|------⌫-⌫-|------|
lecoup quilme	-|---|-|-|-|
donadelpie	---|--|--|
etla es t mout	-|-|--⌫|---|
chier uendue	----|-----|
etcomparee etchier re ndue	-|-------|-|----|--⌫---|
qu e ildonaalapucele	--⌫|-|---||-|-----|
quentre leco teetlaisele	-|----|-|--⌫-|-||-----|
lebrazde str e	-|---|--⌫---⌫|
l ibrisera	-⌫|------|
undemi ea nleportera	-|----⌫|-⌫|-|------|
au colpenduetbien	-|--|----|-|---|
fai llirplu sque lamort	---⌫---|---⌫|--|-|---|
ceste paroletantgreua	----|-----|---|----|
queporp oi queilnecreu a	--|--|-⌫-|--|-|-|----⌫|
de maltal entet de	-|------⌫--|-|-|
que ilne losaueiant toz	--|-|-||--|-----|--|
telco nreerquemortl eust	--|--⌫----|--|---||---|
porcequeal reidespleust	--|-|--|-|--|--------|
laissa queilnel	-----|--|-|-||
etlire isdistahiahi	-|-|--⌫-|---|--|--|
keu sc om mauezh uicor ecié	---⌫|-⌫-||---|-⌫-|---⌫----|
q uiasené et adrecie ́	-⌫-|-----|-|-------⌫|
leuasletas armeseust	-|-----|-|----|---|
t antcom p oi aidier	-⌫--|--|-⌫-|-----|
escuetdela lanc e	---|-|-|-|----⌫|
