Tr a ianlempereorquedeables	--⌫-⌫--||-------|--|------|
enalaplorant iusqu aunflueue qui	-|--|------|----||-|-----|--|
si estoitgranz qu iln	-|-----|----|-|-||
iosaentreratotse s deus enfanz s entrossa	|--|-----|---|--⌫|---|-----||-|-----|
lun sorses	|-|--|--|
epauleselautre leis saalarr ier	------|||----|----⌫-|||---⌫--|
Qa ntil ot apor té	--⌫-|-|-|----⌫--|
a terre le nfant	|----||-⌫----|
outreleue e ils en	----||--||-||-|
retornoitp orap orter lautre qan t iluinten	--------|-⌫-|--⌫----||----|---⌫|-|---|-|
mile flueuequiest oitgra nz elezuns	-|-|-----|--|---⌫--|---⌫-||--|--|
lions i ssidel	----|-⌫--|--|
boi s qui r auilen fantese feri	---⌫|--|-⌫--||--⌫---||-|---|
elboisarriere	-|---|------|
Cilqu iot perduson	--|--⌫|-|----|--|
enfantreuenoit quer relau tre e qant	-----|-------|----⌫-||--⌫--||---|
enreuenoituns le us	-|-------|--|--⌫-|
autre si s	----|-||
e nalaatot	-⌫|--|---|
E usta cenel potsiure necor r e meslaou il	-⌫----⌫-|--|--|----|-|---⌫-⌫|--|-|-|-|
estoit enmileflu eueil	-----|-|-|-|---⌫--|-|
comenc ̧a ses c heuexa tirere	------⌫-|--|-⌫----||----||
sa robe ades cir erep laindr e eplorer	-|---||---⌫---⌫-||-⌫------⌫||-----|
uoloitn oierel flueue	-----|-⌫---|-|-----|
Siresle garda par sagrace quil	----|-|----|--|-|----|-|-|
portaen patience s ap erte esond omach e	----|-|-------|-⌫|-⌫---||--|-⌫-----⌫|
Lilio ns qui	-|---⌫-|--|
auoit len f antraui	----||--⌫-⌫--|---|
le leissae saine	-|-----||---||
saufsico me	---|-|--⌫-|
D exle uost c arlipastor	-⌫-|-|---|-⌫-|-|-----|
qui lauoientueu	--||------|--|
rauirliruere nt lormaçues	----|-|-----⌫-|--|------|
e huerentlor	|------|--|
mastins sile res c oustren t	------|-|-|---⌫-⌫-------⌫|
Tot au s ilienfesque lil eusrauiescha pa sain	--|--⌫-⌫|-|----|--|-|-⌫--|---|-----⌫-|---|
esaufcarlib ou ier	|---|--|-|-⌫--⌫--|
uirentl eleu	-----|-⌫|--|
le suirente rescoustre nt	-|------||----------⌫-|
l enfa nte garde rentsainesa ufEli	|----⌫-||-----⌫---|---||--⌫-||-|
li bouier estoienttuitdune	-|-----|-------|---||--|
r ue qu il esdeusenfanznorrirentbeleb ien	-⌫-|--⌫|-⌫-|---|-----|--------|--||-⌫--|
a lorost ex	|--|---⌫-|
Decenesau oitliperes motquise n	-|-|-|---⌫--|-|----|--|--||-⌫|
aloit pl orant esospirante	----|--⌫----||--------||
parlanta soi meismesent elmaniere	------||--|------|-|-⌫-|------|
Halaschaitisqui fu iiadis a usi come li	-|--|------|--|--⌫|----|-⌫--|---|-|
beaxarbresues tuz	---|-----|---⌫--|
de fu e ille s ech archie zde fruitorsuipou rese	-|--⌫-⌫----⌫||--⌫------⌫|-|----|-|--|---⌫--||
nuzeman dis	--||---⌫--|
Ha las quiiadis fui e n granz h onors e	-|--|--|----|--|-⌫|----|-⌫----||
e ngranzrichecesorsuicomechaitisd esconfor tez edespris	-⌫|----|-------|-|--|---|------|-⌫--------⌫--||------|
Ha lasquifuim estres d es che ualie rs riche sd	-|--|--|--|-⌫-----|-⌫-|---⌫-----⌫-|-----⌫||
amisehono rezde mes	---||----⌫--|-|--|
uoisins orsui seusedespris e	------|-|--|---||------||
sanzcon fo rt e sanz com paigni eneis m esenfanz	---|---⌫--⌫-||---|---⌫------⌫|---|-⌫-|-----|
ai ieperd uztantauoie iede	-|-|----⌫-|---|----|-|-|
compaignie etdesolaz	---------|-|-|----|
Diexne me d eguerpissiezm ieen lafin	---|-|-|-⌫-----------|-⌫-|-|-|--|
nenaiesme s	-||---|--⌫|
l e rmesendes pit	-⌫-⌫---|-|---⌫--|
Moimembrebien	--|-----|---|
medeisque ieseroietemptez	-|---|--|-|-----|------|
m e stuisque iesui	|-⌫-|--|--|-|--|
unpoipl ustempt ezque	-|--|--⌫-|-----⌫-|--|
perdisesricheces e	----|--|-------||
se spos s e ssions	--⌫|---⌫-⌫-⌫-----|
aumo ins liremestu ns fumie rssorquo iil s e	-|--⌫--|-|-----|-⌫-|-----⌫-|--|---⌫|-|-⌫|
potseoirm es ies ui en estrangeterreesui	--|----|-⌫-|-|-⌫-|-|-------|----||--|
tormentezdautr etextormenz	--------||----⌫---|------|
Icilot a m isq uile confortoien tmesiesui	---|-|-⌫-⌫-|-⌫-|-|-----------⌫|--|-|--|
eldesert entre	-|-----|----|
bestessauu ages qui montlem ienconf orttolu	-----|----⌫---|--||--|-|-⌫--|----⌫--|---|
ce suntmien fantq ue i aiperduz	-|---|-|--⌫---|-⌫-||-|-----|
Cilseil n otrainseaus	--|-|-||-|--------|
s i o tilracine ceert	-⌫|-⌫|-|-----|-|--|
safame dontilseconfortoit	-|---|---|-|-|---------|
mesie laschaitissuidetotes p arz sanzracine	--|-|--|------|--|-|----|-⌫--|---|-----|
esanzcompaignien en a i poil	|---|---------|-⌫||-⌫|---|
demonlignageai nz suiausi	-|--|------|--⌫-|--|---|
comel i roseaxeld esertqueli	---|-⌫|-----|-|-⌫----|--|-|
uenzhurteebaloiedetotes parz	---|----||-----|-|----|---|
Beaudouz sire	---|---|---|
te po istse i ait ropp arolescar	-|--⌫--|-||-|-⌫--|-⌫-----|--|
do lenzsidi tel chose	--⌫---|-|-|--|----|
Dexgardemo ieserremaboc heque	--|----|--⌫||----|-|---⌫-|--|
mes cuersne pui st	--|----|-|---⌫-|
p e nsern eboche direchosequ ite	-⌫-⌫---|-⌫|----|---|----|--⌫|-|
D one mo irepossilteplest	-⌫--|--⌫|----||-|-|----|
e so atumed emesdolors	|--⌫----|-⌫|--|-----|
Quequilparloi t ensiil plo roite	--|-|-|------⌫|---|-|---⌫---||
sospi roit e ala	-----⌫---||--|
ta ntquiluint plor ant	--⌫-|-|-|---|----⌫--|
eplaignant aune	|--------||--|
uilequiau oitn o n	---|--|--⌫--|-⌫-⌫|
Iluequesseherberiae	-------|-|-------||
ga aigna chascu nio rsonp ain	--⌫----|------⌫|--⌫|--|-⌫--|
Lo nc tensliplotil uecaseiornererequist	--⌫-|---|-|---|--⌫--||-------||------|
aspeisanzde	-|------|-|
cele uiletant quil	---|---|---|-|-|
lemistrentalorc ha ns g ardere fulor messiers	-|-------||--|-⌫--⌫-|-⌫----||-|--|-------|
ilu equesiusq uaquin ze anz	---⌫----|----⌫||----⌫-|--|
Siduienfan tsicome	-|--|-----⌫|-|---|
ieuosai ditfurent	-|--|-|--|-----|
norrienuneautreuilete ne nesau oien tquil	----|-|--|----|-----|-|-|---⌫----⌫|-|-|
fussentfrere	------|----|
Lim arin iersdontu ozauez	-|-⌫----⌫---|---|-⌫-|---|
o ïdeuant enmena	-⌫-|-----|-----|
Eu staceen son	--⌫----|-|--|
Si resqu i bienl epooitferelagard a	--⌫--|--⌫|---|-⌫|----|---|-|----⌫|
sib ienqu onqueslibar barinsnot	-|-⌫--|-|-----|-|---⌫-----||-|
enli n epa rt necompaig niecarce	-|-|-⌫|--⌫-|-|-------⌫--|--|-|
auoit elerequis a	----|--|-----||
Seigno rqu i lli gar d astsoncorsde	------⌫|-|-⌫|-|---⌫-⌫--|--|---|-|
honte e tdeuil enie	----|-⌫|-|---⌫---|
Li mariniers sic ome	-|--------|-|-⌫--|
D exleuostmorut e	-⌫-|-|---|----||
la dame fuens a	-|---|-|-|-⌫|
deliure poest e	------|-----⌫|
P uisaui n t	-⌫--|---⌫-⌫|
nede moragueres	-|--⌫---|-----|
que li ost ela	--|-|--||-|
guerre corurentencele te rre	-----|-------|-|---|--⌫--|
meesment en celecitéouladame estoite te nua ïrent	-------|-|---|----|-|-|---|-----|-⌫|-⌫---⌫-----|
lepaïsenuiron	-|----|------|
Engrant effroi fuliempereres	-|----|-----|-|-|--------|
p or l enuaïssement deses	-⌫-||------------|-|--|
anemise porlaso daine guerres ilimenbradel	-----||--|-|--⌫----|-----|-⌫|-|-----|--|
mestredes ch eualiers quisibien	-----|--|--⌫-------|--|-|---|
sa u oit ostoieref ere	--⌫-⌫--|------||-⌫--|
darmesemu l testoit d ole ns emornesde	|----||--⌫-⌫|-----|-⌫---⌫-||-----|-|
cequillau oitsisodai n ement	-|-|-||--⌫--|-|-----⌫-⌫----|
Il as semblatantostsonostedemandaa toz les	-|--⌫-----|------|--|--||------||--|--|
cheualierse nse m blede	---------|-⌫---⌫-⌫--|-|
Pla cidassilsa uoientriendesamort	---⌫----||-|--⌫-----|---|-|-|---|
n e desauie	-⌫|-|-|--|
Aprésilcom endaachascun	-----|-|---⌫---||------|
qu ill alassent	-|-||-------|
querre puis	-----|---|
enuoi a ilpa rtot es	-----⌫|-|--⌫|---⌫-|
lescitezepartot eslesterresqui	--|----||--|---⌫-|--|-----|--|
estoie ntsozl empi rede	------⌫-|--||----⌫-|-|
Romep orcerchiereporen querre	---|-⌫-|-------||--|--⌫-----|
ecr aantaacelui quile	|--⌫----||----|--|-|
p o rroittrouer aauoirgrantloie r	-⌫-⌫----|-----||----|----|----⌫|
eg ran trich e s ce ehonor	|-⌫---⌫|----⌫-⌫-⌫-||----|
Lor s uin drentauantd uicheu alerdontliunsauoit	---⌫|---⌫----|----|-⌫-|----⌫---|---|-|--|----|
Antiocuse l iautres	-------||-⌫|-----|
G a chiu squimultauoien testé priué	-⌫-⌫----⌫|--|---|------⌫|----|-----|
cha nla nt a umes t r edes	---⌫---⌫-|-⌫|---⌫-⌫-⌫|--|
ch eu aliers	--⌫--⌫-----|
Cilse po roffrirentde	--|-|--⌫---------|-|
lu i querre	--⌫|-----|
Ilmontere ntemurentet ant	-|-------⌫-||-----||-⌫--|
alerentqu ilasseneren tpar	------|-|-|---------⌫|--|
auenturea lauileteou	-------||-|-----|-|
Eustac esestoit herbergi eze	------⌫-|-----|--------⌫-||
siloi ng com i llesuitle sa u isa eles	-|---⌫-|--|-⌫|--|--|--⌫|-⌫-⌫--||--|
reconut alama niere d elor aleure	------||-|--⌫----|-⌫|--|-----|
Lo rsli menb radesapremie reconuers acionsi	--⌫-|-|----⌫-|-|-|------⌫-|-------⌫----|-|
fu unpoutr o blezeesmeuzefist	-|-|--|--⌫-⌫---||-----||---|
cesteor oisona	----|--⌫----||
Dexq ui tesami s deliuresdetote s	--|-⌫-|--|---⌫|-------|-|----⌫|
dolors tot ausi comeie uoi ore ce l squeie	-----|--|---|---|-|--|--|--⌫-⌫|--|-|
necuidai i ames ueoi r comendemo ipar ton	-|-----|-⌫|--|----⌫|------|--⌫|--|--|
plaisirtancelemafame	------||-----|-|---|
carmi enfa ntce saiiebienso ntdeuoré	--|-|----⌫-|-|--|-|---|--⌫-|------|
debestessauua gespormo n pechié	-|-----|-----⌫--|--|--⌫|------|
D onq uesb eausireme	-⌫---⌫--|-⌫--|---|-|
don quei euoie	--|--|-⌫|---|
nonauiordeliuise aui orde la	--|-|--|--|----|-|-⌫-|-|-|
generalresurreccion	------|-----------|
mesdeus enfanz	--|---|-----|
biens a par ole f ineeqantune	---|-⌫|---⌫--|-⌫---|---|--|
uoixliuint	---|-|---|
delc ielquili dist	--|-⌫--|--|-|---|
Eustace s soi es	-------⌫|---⌫-|
asseurcartureuendras en bri ef	-----|--|-|--------|-|---⌫-|
tensenton ancien	---|-|--|-----|
estateraurastafame e	----||-----|-|---||
tesenfa nzeau i orde	--|----⌫-||-|-⌫-|-|
l ar esurreccionuerrasassezg rei gnor	-⌫|-⌫----------|-----|----|-⌫---⌫---|
chosescartu aura sui epardurablee	-----|--|-|----⌫|--⌫|---------||
deparadisetes	-|------||--|
nonsseraes sauciez partot lemon d e	---|---|--⌫------|--|--|-|---⌫-⌫|
tantcomildurr a	---|--|-|----⌫|
Eus ta cesqantil ceoïfu to z	---⌫--⌫--|---|-|-|--|-|--⌫|
espoantezmesqant il uitlescheu a lers q u iu e noienttote	--------|--|---|-|--|--|----⌫-⌫---|-⌫-⌫|-⌫-⌫-----|---|
ils e dre çasial a e ncontr	-|-⌫|---⌫--|-|--⌫|-⌫-----|
else que pl us presfure ntde lui	--||--|--⌫-|---|----⌫-|-|--|
e il mie lz	|-|---⌫-|
lesconutm escilnelconur entmie	--|----|-⌫-|--|--|-----⌫--|--|
silaresnerentesili	-||---------||-|-|
Dex tesautbeax ami s	--|-|---|---|---⌫|
D ex uos be neieseignor s dis t	-⌫-|--|--⌫---|-------⌫|---⌫|
Dinos fi rent	-|--|--⌫---|
tuueisc inul homedestrange terre qu i	-|---|-⌫|--|---||-------|----|--⌫|
Placidas a t ot	-------|-⌫-⌫-|
safameesesenfa nz s etu	-|---||--|----⌫-|-⌫|-|
len os pooiesen s eigniernoste	-|-⌫-|-----|--⌫-⌫------|--|-|
do nrionsgrantauoir	--⌫-----|----|----|
Eustaceslequerez uos	-------|-|-----|--|
Ilfudistre ntilnostre	-|-|------⌫-|-|-----|
ami s i adissile uerri onsuole ntierscarnos	---⌫|-⌫---|-|-|-----⌫--|----⌫-----|--|--|
nelueim es pieça	--|----⌫-|-----|
Onquesdist	-----|---|
Eusta ce st elho meneui encestpaïs	-----⌫--⌫|-⌫-|--⌫-|-|-|-|---|----|
neneconuieneporqant u enezauecmoi	-|-|----||--------|-⌫---|---|--|
la ouiesui her ber giez c a rausi su i ied	-|-|-|--|---⌫---⌫---|-⌫-⌫|---|--⌫|-||
estrangepaïs	-------|----|
L orsle se nm ena	-⌫--|--⌫|-⌫--⌫--|
ilauecluien sonostele corutisnelem e nt le	-|---|--|-|--|----||----|-------⌫-⌫-|-|
u inquerrepore lsdonera	-⌫-|-----|--|-⌫-|----||
boiurecarilfeisoi t multgran t	-----|--|-|------⌫|---|----⌫|
Pui s dista so nosteq u ilaueit herbergié	---⌫|---||--⌫|---|-⌫-⌫||----|---------|
Be axsir eieconoiscestd eusho mes por ce	--⌫-|---⌫|-|-----|---|-⌫--|--⌫--|--|-|
sunt ilçauenuz omoi	---|-|--|----||--|
Prestez moiui ne uiandedont i eles	------|--|--⌫||-----|---|-⌫|--|
puisseconreercar ieluosrendraim ul tbien	-----|------|--|--|--|------|-⌫--⌫|---|
enleu eten t ensdemon	-|--|-|-|-⌫--|-|--|
loieredemadeserte	----||-|-|------|
Cill ibailauolentie rsqan t	--|-⌫|----|--------⌫-|---⌫|
quemestiers l i	--|-------|-⌫|
Queq ue li	--|-⌫-|-|
cheual e rmanioient	------⌫-⌫|--------|
Eu stacesn ese pooittenir deplorerporce	--⌫-----|-⌫|-|----|----|-|-----|--|-|
qu illi menbroit desa	-|-|-|-------|-|-|
p remi ereuie	-⌫----⌫--|--|
eni ssoitfor s delamei so n	-|-⌫----|---⌫|-|-|---⌫--⌫|
si ploro it	-|-----⌫-|
a grossesler mespuis	|------|---⌫--|---|
lau oi tsafacee	---⌫--⌫|-|---||
ren t roitanz si seruoitles cheualiers	---⌫-⌫---|--|-|------|--|---------|
Ill esgarderentuiseument	-||----------|--------|
eila le rent reconoissantp etit apetit e conseill oitli	|-|-⌫--⌫---|-----------|-⌫---||----||--------⌫--|-|
unsa lautre edisoien t	--|||----||-------⌫|
Molt semblebien cisthom	---|-----|---|---|--|
celuiqueno s que rons	----|--|--⌫|---⌫---|
uoirefetliautres onquesmielz	----|--|-|-----|-----|----|
ner esembla autre	-|-⌫------|----|
Iesa ibienqu il a	-|--⌫|---|-|-||
un seingenla testeduncoupquil	-|----|-|-|----||-|---|-|-|
batail le or no s prenonsgardes il	------⌫-|-|--⌫|------|----||-|
alesei n g enl a teste c	|-|---⌫-⌫|-|-⌫|----||
est cil quenosqueron s	--|--|--|--|------⌫|
Lorsligar d erent ildeplu spre ssiaperçurentla	---|-|---⌫-⌫----|-|-|---⌫|---⌫|-|----------|-|
sorsa neurede lapla iedes o nch ief	-----⌫----|-|-|---⌫-|-|-⌫-⌫|--⌫--|
Tanto stli s ailli rentsus	-----⌫-|-|-⌫-----⌫---|--|
el ac oleren t ebeisierent	||--⌫------⌫||---------|
e li demand erent tot	|-|------⌫----|--|
e m plorantsece stoitil quiiadi sauoit	-⌫|------|-||-⌫----|-|--|----⌫|----|
es té mestresd esc h e ualiers	--⌫--|------|-⌫-|-⌫-⌫-⌫------|
Ilpl oroite d i soit	-|--⌫----||-⌫-⌫---|
L orslimostrerentilleseingqu	-⌫--|-|---------|-|-|----|-|
ila uoite lc hi efeiuroientfortment	-|-⌫---|-⌫|-⌫--⌫-||-------|-------|
quil estoit	-|-|-----|
Pl a cidaslemestredescheualiers	--⌫-⌫----|-|-----|--|---------|
P u islidem anderent de	-⌫-⌫-|-|---⌫-------|-|
safameed e	-|---||-⌫|
ses enfanz e	--|-----||
demaintesautres	-|------|-----|
Lor sreconut i l	---⌫|------|-⌫|
quec estoitilde sa	--||-----|-|-|-|
fame e de sesenfanzlorsdis tilque	---||-|--|-----|---|---⌫|-|--|
morte stoient	---|-⌫------|
parloie ntensi tuitlipaisant	-------⌫-|---|---|-|------|
decelhamelsiassemblere nti lue q ues e	-|--|----|-|----------⌫-|-⌫---⌫-⌫--||
licheualer lo rconterenttotde fil	-|-------|--⌫|--------|--|-|--|
enaguillela uiee lahautesceelonor	-|------|-|--||-|-------|||---|
Ci lq ui looi entp loroi ente d is oient	--⌫|-⌫-||---⌫--|-⌫-----⌫--||-⌫--⌫----|
Dex comestci l	--|--|--|--⌫|
hauzhom quinos	---|--|--|--|
alonguementser uizesi nensauions	|---------|---⌫--||-||-|------|
Adonccon t erentl icheual iera	----|---⌫-⌫----|-⌫|------⌫--||
Eustacele co m ende me nt lempe r ere	------|-|--⌫-⌫----⌫--⌫-||----⌫-⌫--|
ele uesti rentd eprecieusesrobespuis mont erente	|-|-----⌫---|-⌫|---------|----|---|----⌫----||
semis t rent a lauoie	-|---⌫-⌫---||-|---|
Totesles bonesgenzdilue centor leconuoierent a	----|--|----|---||----⌫|----|-|----------||
grantioieaudepartiril le s beisa eaco lae	----|---|-|-------|-|--⌫|----||---⌫-||
aloie ntcheuauchantillor conta por quoi	-----⌫-|----------|-|--|----|--|---|
ilestoi tapele z	-|-----⌫|-----⌫|
Eustacese lordescouritotes lesau e nturesqui liestoien t	-------||--|-------|----|--|--⌫-⌫-----|--|-|-------⌫|
auenues puisqu	------|---|-|
Tant e rre rent par lo riorneesqu	---|-⌫---⌫---|--|--⌫|------|-|
il ui ndrent enquin zeiorza	-|--⌫-----|-|----⌫-|---||
lem pereor	|--⌫-----|
Li duicheuale ralerentaua ntsinon c ierentque	-|--|-------⌫|------|---⌫-|-|---⌫-⌫-----|--|
Placid asestoi tuenuz	------⌫-|-----⌫|----|
Li empereresala encon treluia	-|--------|--|-----⌫--|--||
grantioie silebeisae	----|---|-|-|----||
ac olae li	--⌫--||-|
demandaemplorantpor	------|-|------|--|
quoiilse dep artideluisi sod ainement	---|-|-|---⌫---|-|--|-|---⌫-------|
Eustaces comença	-------|-------|
acon terale mpereore atoz	|---⌫--|||-⌫------|||--|
lessenators coment	--|-------|-----|
safame li fu tolue enla me re	-|---|-|-|----|-|-|--⌫||
come n t se senfanzfurentdeuorédebestessauuag e se tote	----⌫-⌫|--⌫|-----|-----|------|-|-----|------⌫-⌫||---|
esame sesta nceliconta	|-|--⌫-----⌫--|-|----|
Grantioie e gran d baudor ot	----|---||----⌫|-----|-|
part otelacité de	--|-⌫--|-|----|-|
Liemperereslicein st le baudrée le fist mes tre	-|--------|-|----⌫-|-|------||-|---|---⌫--|
descheu ali ersausicomedeuant	--|----⌫---⌫--|---|---|-----|
Eustacesesgarda	-------|------|
econ utbienla force elepooi ras cheualers	|---⌫-|---|-|----||-|----⌫|-|--------|
siuitbienqu	-|--|---|-|
ilnauoientfoiso nalo r	-||------|-----⌫||--⌫|
a nem isrefr aindr e lorscomanda q uerreeaünersoldoiersparles	-⌫---⌫-|----⌫-----⌫|---|------|-⌫----||-----|--------|--|--|
uilese p arlescitez	----||-⌫-|--|----|
Ilaui ntquede	-|---⌫-|--|-|
cele ter reousifillestoie nt durent enuoie rdeus	---|---⌫-|-|-|---|------⌫-|-----|------⌫|---|
bac hel ersen soud ee s quecil delate rre s acordere nt	---⌫---⌫--|-|----⌫--⌫|--|--|-|-|--⌫--||--------⌫-|
quel enie nuo iast les	--||-||-⌫---⌫---|--|
deus iouenceau sporc e qu	---|---------⌫|--|-⌫|-|
ilestoient	-|-------|
auolé eestrangee il	-----||-------||-|
ialerent uolentiersporostoieregrant efort	|------|---------|--|------||----||---|
e iueneestoie ntedebelefaçon	|----|------⌫-||-|---|-----|
Qanttuitli soudoierfu rentasse m bléeamenédeuant	---|---|-|-------|--⌫---|----⌫-⌫---||-----|-----|
lemestredes	-|-----|--|
ch e ualiersilme rcha chascun e seignaen	--⌫-⌫------|-|--⌫---|------||-----|-|
les pa u le	|--⌫--⌫-⌫-|
Meslesdeu si ouenceax	--|--|---⌫|-⌫-------|
quiesto ientgranteg ent e iuenee	--|----⌫---|----||-⌫--||----||
belsortoz lesautres	--|--|--|--|-----|
de façonede	-|-----||-|
corsabl eest abli	---|---⌫|---⌫---|
premiersaluiseruircar illesconut	-------||--|-----|--|-|--|----|
a franzho meseagentixedecu ere	|----|--⌫--|||-----||-|--⌫-||
d ecorssesp ristaamer ecomendaqu	-⌫|---|--|-⌫---||---||------|-|
i l f usse ntde satable	-⌫|-⌫----⌫-|-|-|----|
E mprésqa ntilots on afer e	-⌫-----|--⌫-|-|-|-⌫-|----⌫|
atornéilse smu taale renbataille e	------|-||-⌫---⌫||---⌫|-|-------||
que iroieielonccontefe is ant	--|----|-|---|----|--⌫--⌫--|
totelaterrequel ibarbarin auoientsaisie	---|-|----|--|-⌫|-------|------|-----|
illa deli urae qan tilotmisau	-|-|----⌫--||---⌫|-|-|--|-|
deso zsesanemi s	----⌫|--|-----⌫|
ilp assaunflueue	-|-⌫---|-|-----|
quiauoitnon	--|----|--|
Ilalaauante senpassa en	-|--|----|||-|----|-|
laterreas barbarins	-|----|-|--------|
egasta totle	|----|--|-|
Encoruostiloutrealer	----|---|-|----|---|
sial atant	-|--⌫|---|
Siresplotquiluintl aousa	----|---|-|-|---|-⌫|-|-|
fameest oit qu e	---|---⌫--|--⌫|
Siresau oit bi en	----|--⌫--|--⌫-|
gardeede la c ompa ignie au	-----|-|-|-⌫----⌫----|-|
Ladame e s toittreitea	-|---|-⌫-⌫---|-----||
unepartt otesole	--|---|-⌫--|---|
enuniardinou eleauoit	-|-|-----|-|--|----|
f etunelogeaseie sco nse re herber gier	-⌫-|--|---||--|-⌫---⌫---⌫||------⌫---|
Lim est r esd es ch e ual ier sui ntsiseiornatroi siorz	-|-⌫---⌫-⌫-|-⌫-|--⌫-⌫---⌫---⌫|--⌫-|-|------|----⌫|---|
porson ost ferereposercar li leu	--|--|--|---|------|--|-|--|
estoitbeaxepl aisanze p lainsdeto tdelit e	-----|---||--⌫-----||-⌫----|-|--⌫|----||
detot solaz	-|--|----|
Orauint auenturequeli	-|----|-------|--|-|
p aueillonsaumestre desc heual iers	-⌫--------|-|-----|--|-⌫-----⌫---|
fute nduzpresdeliardin ou la	-|--⌫---|---|--|-----|-|-|
dame estoit e li d ui	---|-----||-|-⌫-|
e nfantse herbergerentenlalogelormeremesn e	-⌫----|-|-----------|-|-|---|--|---|--|-⌫|
sauoientque lor mere	-------|--|--|---|
Uniorentor midise	-|--|----|---|-|
seoient l i enfanteiooi entensemble econtoien tde	------|-⌫|-----||----⌫--|-------||--------⌫|-|
loren f ances caril auoie ntbienenme moire qant	--|--⌫-⌫----|--|-|-----⌫-|---|-|--⌫----|---|
qu i llorestoitpie ça	-|-⌫|--|-----|---⌫--|
seo it encontrexq uiescoutoi t	---⌫-|------|-|-⌫-|--------⌫|
en tentiuement qantquildisoient	--⌫----------|---|-|-|-------|
Li ainznez frer esdisoitau	-|------|----⌫-|-----|-|
plus iuene	---|----|
est oiedisti l e nfes m oi menbre b ien	---⌫--|---|-⌫|-⌫---|-⌫-|-----|-⌫--|
enme nbrera	-|--⌫-----|
que mesp eres	--|--|-⌫---|
estoitmest resdescheuali ersemam ere	-----|----⌫--|--|-------⌫--||-|-⌫--|
ereaue nantd amee	--|---⌫---|-⌫--||
unegra ntbeauté	--|---⌫-|------|
Mesperes auo itdeusenfanz	--|----|---⌫-|---|-----|
moi etunau tre	--|-|-|--⌫--|
menordemoiquim oltestoitbeausen fes	----|-|--|--|-⌫--|-----|----|--⌫--|
Il nospr istre ntambedo ussi sen	-|--|--⌫-----⌫-|------⌫-|-||-|
par tir entnuitan tre	---⌫---⌫--|------⌫--|
delormeison esen	-|--|-----|||-|
ale r eritiusqu ala mer	---⌫-⌫---|----||-|--|
ou tro uerent une ne f aparellie e	-|---⌫-----|--|--⌫|---------⌫|
Nos i ent ramestuit ensembleie nesaiou	--||---⌫----|---|-------|-|-|--|-|
il uoloient	-|-------|
Qantnos en issim esn ostremerene	---|--|-|-----⌫-|-⌫----|---|-|
uintpasauecno s sinesaicom ent ele	---|--|---|--⌫|-|-|--|---⌫--|--|
fule issieeen lamer	-|--⌫-----|-|-|--|
M esnost reperes qui ambedeusnosportoit	-⌫-|----⌫-|----|--|-------|--|------|
senaloitplorant	|-|----|------|
unflue u eil	-|----⌫-⌫|-|
trossa sorsesespaulesm onme norf rereeançoisqu	-----|--|--|-------|-⌫-|--⌫--|-⌫---||------|-|
ilamoirep a irastu nslionssa illidel boisqui	-||--|---⌫-⌫----|-⌫-|----|--⌫---|--|---|--|
m engol a e p ortaen sa g ueule si se	|-----⌫||-⌫---|-|-|-⌫----|-|-|
fer i el boi s	---⌫|-|---⌫|
Meslipastor geterentlorbastonse h uere nt	--|-|-----|-------|--|------||-⌫----⌫-|
lor ch ien s	--|--⌫---⌫|
s i me res costrentaulioneiai	-⌫|-|---⌫-------|-|---|||-|
este ́ noriz	----⌫|----|
en ce l euilete sigranzc onie	-|--⌫-⌫|-----|-|----|-⌫-|-|
suisi cont u	--|-|--|-⌫|
Neonquespuisnoïn euentne	-|-----|---||--|-⌫|---|-|
uoi edemonperene dem amere	---⌫|-|--|---|-|-|-⌫|---|
nede mon frere	-|-|--|----|
Qantliiuenesfr er esotensile greignor	---|-|-----|--⌫--⌫-|-|---|-|-------|
p arlersisailliempiez ecomenc eaplorer	-⌫----|-|-----|-|---||------⌫||-----|
Parledeu as crestiensce mestauisque	--|-|--|-|--------|-||--|---|--|
no s somesfrere carcilqui	--⌫|----|----|--|--|--|
montnorrim	|--|----||
ontmaintesfoizreproc hiéqu ilm esc ost ren ta	--|------|---|------⌫---|-|-||---⌫---⌫---⌫||
Lamerequiceot	-|---|--|-|-|
eu oitentendi bie nqant qu ilauoi ent	|-⌫--|------|---⌫|---|-|-|----⌫--|
ditius qu alanef ouelefu	--|---⌫-||-|--|-|--|-|
tolue eestoi ten grantp en seeq u ecene	----||-----⌫|-|----|-⌫--⌫--|-⌫-⌫|-|-|
fussen tpar auentu re si	------⌫|--|------⌫-|-|
e nfant eporce	-⌫----||--|-|
meesmementquil auoientd it	---------|-|-|------|-⌫-|
quelorper esauoitestémestresd e scheualierse que	--|--|---⌫-|----|----|------|-⌫-⌫|---------||--|
fu leis sieeenlamer	-|----⌫---|-|-|--|
sisouffriiusq a l	-|------|---|||
endemainqu ele uintaumes t redes ch eualie rssil	-------|-|--|---|-|---⌫-⌫-|--|--⌫------⌫-|-||
a resna edist	-⌫----||---|
Deutepri beaud ol z	--|-|--|---|-⌫--⌫|
sire iesuidel a terreas	---|-|--|-|-⌫|----|-|
Romainse fui ça am eneeench aitiuois ons	------||--|--|--⌫---|-|--⌫--------⌫--|
Sire remoinemoi enmonpaïs	---|------|--|-|--|----|
Quequ elep arloitaluieleesgarda	--|-|--|-⌫-----||--|--|------|
