enlamarchede	-|-|-----|-|
detoutesuoiesqueune petitec au chieestroite qu i	-|-----|----|--|--|-----|-⌫--⌫---|-------|--⌫|
duroit deloncplus de yyboin eslieues.	-----|-|---|---|-|-|----⌫-|-----||
parchelecauchies enua	--|----|------||-|-|
liroisbanssenmainesafemesourzz	-|---|---||------|-|---|---|-|
palefroi gran t et	-------|----⌫|-|
ambl a n t soefet un escuiermoul tpreu etdegrant	----⌫-⌫-⌫|---|-|-|------|----⌫|---|-|-|----|
seruiceplain	------|----|
quil enf antportoitdeu antlui sourzzmoult	--||---⌫--|------|---⌫--|--|---|-|----|
grantronch inenunbercheul	----|-----⌫-|-|-|-------|
li ro is bansch euauchoitzzpalefroique	-|--⌫-|---|--⌫--------|-|-------|--|
ilauoit esprouée t bienportantet fait	-|----|-------|-⌫|---|------|-|---|
mener a un sien	----||-|---|
garchonapie un sie n cheual	------||--|-|---⌫|-----|
quimoult esto itde	--|----|----⌫-|-|
gran t bonte	----⌫|----|
etsi p orteli escui ersson escu et	-|-|-⌫---|-|-----⌫--|--|---|-|
li garchonsqui seoit sour	-|-------|--|----|---|
le ch eualmenoitdeuantlui zz	-|--⌫---|-----|-----|--|-|
soumier etport e le glaiuele roi.	------|-|----⌫|-|-----|-|--||
li s oumi ersestoit moul t biencargiésde ioiaus	-|-⌫----⌫--|-----|----⌫|---|-------|-|-----|
et deuaselementeetdede niers.	-|-|----------|-|-|--⌫----||
li roisbanscheuaucheenc auc hesd eferet	-|---|---|--------|-|-⌫---⌫--|-⌫|--|-|
hauber c e t sespeech einte sacap eapluie	------⌫|-⌫||----|--⌫----|-|---⌫||----|
afubleeetuaen laroutetousdaarains ettant	------|-|-|-|-|----|---|-------|-|---|
acheuau chiéqu il ui nthorsdelmarois	|------⌫----|-|-|--⌫-|---|--|-----|
un efo rest .	--⌫|--⌫---||
etqu an t il	-|--⌫--⌫|-|
otcheuauch iédelaf oreste ntour	-|--------⌫--|-|-|-⌫----|-⌫----|
de mie lieue s ientre en unemoult	--⌫--|----|-⌫|----|-|--|----|
belelandeouilauoi testémaint es foi s.	---|----|-|-|----⌫|----|-----⌫-|---⌫||
tantaalei liroi sbans etsacompaig n ie	---||---|-|---⌫|---|-|-|-------⌫-⌫-|
quei l ui n tsour zz	--|-⌫|--⌫-⌫|---|-|
lachquialc hiefdelalande estoitauchief	---|--|-|-⌫---|-|-|----|-----|-|----|
d unmoulthaut t ertre dont	|-|----|---|-⌫----|---|
l en poo itueir	-⌫-|---⌫-|---|
paiset lorsest o i taiou rné .	---|-|---|---⌫-⌫-⌫|----⌫---||
liroisdis tqueil nesemouu erad	-|---|---⌫|--|-|-|-|----⌫--||
ileucdeuant	----|-----|
cheq uil s o it	--|-⌫|-|-⌫-⌫-|
unpo iesclarchi sideschent	-|--⌫|--------|-|-------|
ca r il atal e nt de monter	--⌫|-||---⌫-⌫-|-|-----|
eltertr e enhautpourson caste l esga rderquil	-|-----⌫|-|---|---|--|-----⌫|----⌫---|-|-|
amoit so ur	----|--⌫-|
tous les chastiaxdel	---|--|-------|--|
l iro is quil fuau ques	-⌫|--⌫-|-|-|-|--⌫---|
es c larchiet	--⌫-⌫-----|-|
ilmontee n	-|----|-⌫|
soncheual et	--|-----|-|
lais e la roineetsacompa ignie au al s ourle	----⌫|-|----|-|-|-----⌫----|--⌫-|-⌫--|-|
lach quimout estoitgrans	---|--|---|-----|----|
lilaise stoitapelésdes le tansas	-|---|-⌫----|------|--|-|---|-|
paie ns lilaisdaynes.	----⌫-|-|---|-----||
dya nefuroinede	---⌫-|-|----|-|
secileet regna auta ns uirgile leboinauctor si	-----|-|----|-|--⌫-|------|-|---|-----|-|
lap el oientlaf ol egentmes c r eansquilo rsestoie nt	|--⌫--⌫----|-|-⌫--⌫|---|---⌫-⌫-⌫---|--|--⌫-|------⌫-|
po urdiuess eet chestoitla	--⌫-|------⌫|-|-|-----|-|
damedelmo ndeq u ip lus	---|--|--⌫--|-⌫-⌫|-⌫--|
amoit deduit deboiset toutei ouraloitchachieret	----|-----|-|---|-|----|-⌫--|----|-------|-|
lapeloientlimescreant	|--------|-|--------|
ladiuessedelb ois.	-|------|--|-⌫--||
chelefore s tou li la is	----|----⌫-⌫|-|-|--⌫-|
estoitpassoi ttout esles	-----|------⌫|----⌫-|--|
foresde gaule	----|-|----|
etdelapetite bert aigne	-|-|-|-----|----⌫----|
s i comm e de fo res	-⌫|----⌫|-|--⌫--|
petite scar elen eestoityylieu e sgalesches delonc	------⌫|--|--|-⌫|-----|-|----⌫-⌫|--------|-|---|
et yy ouyy delei etsiauoit	-|-|-|-|-|--|-|-|----|
a nonboisenual .	|--|---|-|--||
liroi sbans apuie	-|---⌫|---|----|
letert recarmoult	-|----⌫-|--|----|
u eutle chastel ueoir que	-⌫--|-|------|----|--|
t antamoit.	-⌫--|----||
mais o relaisel i	---|-⌫-|----|-⌫|
cont es u n	----⌫-|-⌫|
poiapa r ler de	--||--⌫-⌫--|-|
lu ie tparole desons ene s cal	--⌫|-⌫|-----|-|--|-⌫---⌫-⌫--|
a qu ii lauoitsonch astelcommandé.	|--⌫|-⌫|----|--|--⌫----|--------||
chedi stl i contes quequant	--|--⌫-|-⌫|-----|--|----|
li roi sbanss efu	-|---⌫|---|-⌫|-|
parti sdelchastel de	-----⌫|--|------|-|
trebeet lisenesca x quinotpas o ubliee les	----|-|-|-------⌫|--||-|--|-⌫-----|--|
co uenencesdeluietdec laudasissihors	--⌫-------|-|--|-|-|-⌫-----|---|---|
delauileetuint a clau das sili	-|-|---|-|---||----⌫--|-|-|
distsire ie uo us	---|---|-|--⌫-|
aportboi nesnouelesne onques	----|---⌫--|------|-|-----|
sibiennauint a	-|---||----||
nulhommecomm ea uous seuous	--|----|----⌫||---|-|---|
tenirmesco uene ncesca ruouspoés prendreorendroit	----|--|--⌫----⌫---|--⌫|---|----|------|--------|
ches t chast elsans nu le d es fense.	----⌫|-----⌫-|---|--⌫-|-⌫--⌫----||
fai tclaudas .	---⌫|------||
ouest do ntlir oisbans	-|--|--⌫-|-|-⌫--|---|
chertes fait ilil la	------|---|-|-|||
sen uont entrelui	|-|---|----|--|
e tma dam lar oine	-⌫|-|--|-|-⌫---|
etzzsienescuier sans	-|-|---|------|---|
plusd egent.	---|-⌫|---||
orme r endésdontfait	-|-|-⌫-----|---|---|
claudaslecast el etieu ous	------|-|----⌫-|-|-|-⌫--|
reuestirai du chastel etde tout ela	---------|-|------|-|-|----⌫|-|
terr e ap res etend enu enroisdiemenchea pres	----⌫|--⌫--|-|-|-⌫---⌫-----|--------|-⌫---|
la messemeshomquilser a	-|----|--|--|-|-|---⌫|
li ioursde la mia us tetu oianttou sm es	-|----|-|-|-|-⌫--⌫|-|-⌫----|---⌫|-⌫-|
decest echoseest moultlieslise nescaussi li	-|----⌫|----|--|----|---|-|--⌫------|-|-|
dists ireie meniraietuou s	---|-⌫--|-||-|---|-|---⌫|
la irailes	--⌫---|--|
portes desfremeeset lordi raiquenousauonsboi nes	-----|---------|-|--|--⌫--|--|---|----|---⌫--|
t rie uess ise reposerontuolent iersca ra ssesont eu	-⌫---⌫--|-⌫|-|---------|------⌫---|--⌫|-⌫---|--|-|
etquan t uous etuostre gentseroisdedens si	-|----⌫|---|-|-----|---|-----|-----|-|
uous tenéstuit	---|-----|---|
coii usque almaistr echaste le tensip oroisto ut	--|-⌫----|-|------⌫|------⌫|-⌫|---|-⌫----|--⌫-|
pr e ndres ans arres t .	--⌫-⌫---|-⌫--|-----⌫||
ainsi parole litr ai tresaclaud a se tpui s s en	----|-----|-|--⌫--⌫---||-----⌫-⌫|-⌫|---⌫||-|
reuaal chastel	---|-|------|
et quantilfu dedenssiencontre zz cheualierfill eul	-|----|-|-|-----|-|-------|-|--------|----⌫--|
chilgai to ittousles n uisarmeis.	---|---⌫--⌫-|---|--|-⌫--|-----||
et qu an tiluitlesene sca l	-|--⌫--⌫|-|--|-|----⌫---⌫|
horssi lidemandadont il uenoit	---|-|-|------|---|-|-----|
etpour quelbesoigne ilestoit	-|---|---|-------|-|-----|
ateil eureforsissus.	|---|---|---|----||
ie uieng faitli traitres	-|----|---|-|-------|
de claudasladef orspour prend r et rieuesquilauoi t	-|------|-|---⌫--|---|-----⌫-⌫|-⌫-----|-|-|----⌫|
otroiésamon seignorleroietleuostre .	-------||--|------|-|--|-|-|-----||
lententsi li	|-----|-|-|
fremisttouslic o rs ca rm oult	------|---|-|-⌫-⌫-|--⌫|-⌫---|
auoitgrantpaourdetraiso n	----|----|----|-|------⌫|
sil idist chertessenesca us	-|-⌫|---|------|-------⌫-|
ate ileure ne	|--⌫-|---|-|
u a onmiepo urtrieueaumort el anem i so n	-⌫|-|--|--⌫-|-----|-|----⌫-|----⌫|--⌫|
s ignourquilo iaume nt enueutouurer.	-⌫-----|--|--⌫-----⌫-|-|---|-----||
fa itl isenescaus.	--⌫-|-⌫|--------||
tenezme uouspourdesloial	----|-|---|---|-------|
diexu ousend efendefai tli cheualiersqui	---|-⌫--|-|-⌫-----|---⌫|-|---------|--|
auoitnonbaninsque uo usnen aiés	----|--|-----|--|--⌫-||-|----|
faitdes lo i a utene	---|---⌫--⌫-⌫-⌫--|-|
nefa chiés	-|--⌫-----|
itanten diste t plusen	----|-|---|-⌫|---|-|
etparleisi losast	-|-----||-⌫|----|
ma islisenescausa u oitlaforch esi le	--⌫-|-|--------|-⌫-⌫--|-|-----⌫|-|-|
fei s ttosto chire sien lai sa laparolea tant	---⌫-⌫|---|-⌫----|-|-|---⌫-|-|-----|-⌫---|
et lisenescausdis ta c hausqui	-|-|--------|---⌫||-⌫---|--|
ue llo ient queilontboines	--⌫---⌫---|--|-|--|-----|
trieuesd eu m erch i	------|-⌫-|-⌫----⌫|
si les faittousaler	-|--|---|---|---|
couchieret il	-------|-|-|
sifont mou ltuolentiers carilestoie ntmou lttrauelliét.	-|---|---⌫-|---------|--|-|------⌫-|---⌫-|----------||
mais bani nsn apastalentdaler	---|----⌫-|||--|-----||---|
dormiranchois se meten agait siest	-----|------|-|--|-|----|-|--|
aleis mo nt er en u netour n el epour	----|--⌫--⌫-|-|-⌫-|----⌫-⌫--⌫|---|
sau oirque chil	---⌫--|--|---|
de dehorsferoientet sechil	-|-----|-------|-|-|---|
d ededensloriroient	-⌫|-----|--|------|
m ai s decheestil	-⌫--⌫|-|--|--|-|
dec heusque	---⌫---|--|
l esportess on tdesfr emees.	-⌫-|-----|-⌫--⌫|-----⌫----||
etquantilest enhautsiuoit	-|----|-|--|-|---|-|---|
ueni riu s ques a	----⌫|--⌫-⌫---||
yycheualierstous	-|---------|---|
les hiaumes lachiés	--|------|-------|
et puis enreuienentautres	-|---|-|--------|-----|
yyetensi dusquesayy	-|-|---|------||-|
lorssoupechoun ailbien quela uilleseroit	---|----------⌫|-|---|--|-|----|-----|
traieetil au alelesdegresdelmu r	----|-|-|--⌫--|--|-----|--|--⌫|
co ntreuals icr iea haut euoistrai	--⌫------|-⌫|--⌫-||----⌫|---|---|
parmilechastelneen coren e	----|-|------|-|--⌫---|-⌫|
quidoitil mie	------|-|--|
queles po rtes f u sentou uertes .	--|--|--⌫---|-⌫-⌫---|--⌫-----||
li crise s tleuésparmilechastel e tchilcour u rent	-|---|-⌫-⌫|-----|----|-|------|-⌫|---|----⌫-⌫---|
aleuarm esqui	|--|---⌫-|--|
estoient desgarni.	-------|-------||
mais tantostse	---|------|-|
mistr entli cheualierclaud asdedens la premiere porte	-----⌫--|-|--------|-----⌫-|-----|-|-------|----|
etquantban ins l esuoitsiateild oelque	-|----|---⌫--|-⌫-|---|-||---|-⌫--|--|
pourunpoi qu i lne	---|-|--|-|-⌫|-|
forsenesilorad reschetou t apie et	------|-|--|--⌫-----|---⌫||--|-|
fiertsi d ur ement	----|-|-⌫--⌫----|
escu et parmileh a ubercq u eparmil e	---|-|----|-|-⌫-⌫----|-⌫-⌫|----|-⌫|
co rsli metle	--⌫-|-|--|-|
glaiue toutoutre sile rue mort .	-----|---|----|-|-|--|---||
etliautrelilais entcoure a pieet a	-|-|----|-|----⌫--|----||--|-||
ch eualetiluoitqu e	--⌫---|-|-|---|--⌫|
silfuitalmaistrechastelanchoi squ il	|-|---|-|------|------|------⌫|-|-|
isoit uenus larontilabatu.	|---|----||----|-|----||
yy foisouyycar	-|---|-|-|--|
ilsontmo nt e ́etilesta	-|---|--⌫--⌫-⌫|-|-|--||
r ef iert sour les	-⌫--⌫---|---|--|
murspar le sdegresetuai t tou sles	---|--|--⌫|-----|-|---⌫|---⌫|--|
alo irstantquil est uenus alagrant	---⌫--|---|-|-|--|----||-|----|
etmaintena nt lie ue	-|--------⌫-|---⌫-|
apreslizzpo nt tour neis sitroeue	----|-|-|--⌫-|----⌫---|-|-----|
de dens serians qui latourga rdoientdont	--⌫---|------|--|-|---|--⌫------|---|
liuns lia luis	-|--|-|||--|
et l iautre estoi enttou t e lbaileaual	-|-⌫|----|-----⌫--|---⌫|-⌫|----|---|
pourdormir caraseurquidoient	---|-----|--|----|--------|
toutes tre .	---|--⌫--||
atantesuousunepartie	----|-|---|--|-----|
descheualiersclaudasquiue noientapres litousles	--|---------|------|--|--⌫-----|----|-|---|--|
murs carill e uoloient	---|--|-|-⌫|-------|
etquantiluo ient qu il	-|----|-|--⌫---|-|-|
ont ali fa illi si	--||-|--⌫---|-|
senretournent	|-|---------|
et li a utreorentporprislep e titchastel ancho isqu e	-|-|-⌫---|----|------|-|-⌫-⌫--|------|-----⌫----⌫|
lesgen speu sent	--|---⌫|---⌫---|
estrearm éslaiens.	----|---⌫--|-----||
etlicrisestoi ts i	-|-|---|-----⌫|-⌫|
gransque lenni	----|--|--|||
oistdeuton an t .	---|--|---⌫--⌫||
achescr is	|---|--⌫-|
eta chesnoisessaillisuslisenescaxet fist	-||---|-----|-----|--|-|-------|-|---|
sembl antdesoi desfendreautresi c om me	-----⌫--|-|--|--------|------|-⌫--⌫-|
silne s eustrien	|-|-|-⌫---|---|
de laue nturesiencomme nche	-||---⌫----|-|-------⌫---|
sonseignouraregreter .	--|-------||-------||
et baninsquide la	-|-----|--|-|-|
tour en hautsefus ai s islicommenc he a huc h i er	---|-|---|-|-|-⌫--⌫-⌫-|-|-------⌫-||---⌫-⌫-⌫-|
ahifiexap utain	--|---||-⌫----|
mu rdrerestout chenous auésu ousporcach ie ́siaués trai	--⌫------|---|--|---|----|-⌫--|-------⌫--⌫|-|----|---|
uo st rel i ge seignourqui d e	--⌫--⌫-|-⌫-⌫-|-------|--|-⌫|
n o ient uousamisa g ranthautecesili	-⌫-⌫---|---||--||-⌫---|------|-|-|
aué stolue lesperancedesaterrerecouurer	----⌫|----||--------|-|-|----|--------|
maisaautresi b oin	---||------|-⌫--|
gre i en pui ssiés	---⌫|-|---⌫-----|
u ou sueni r en l afinco mmefist iudas	-⌫--⌫|----⌫|-|-⌫|--|--⌫--|---|----|
quit rai ch eluiqui en terreesto it	--|-⌫--|--⌫---|--|-|----|----⌫-|
uenuspoursauuerl uietle s autrespecheo rscar	----|---|-----|-⌫-|-|--⌫|-----|------⌫-|--|
faitesles oeuresi udas.	-----|--|-----|-⌫---||
ensip arl oitba ninsde latour	---|-⌫---⌫--|--⌫---|-|-|---|
autraitour.	-|-------||
et toutmaintenant f uprins	-|---|---------|-⌫|----|
lichastiax	-|-------|
petisettoutesl esf ort erecesfo rsl a tour .	----|-|-----|-⌫-|-⌫---⌫-----|--⌫-|-⌫|---||
mais dunecose fuclaud asmo u ltcourec h iésque ne	---||--|---|-|-----⌫-|--⌫-⌫-|------⌫-⌫---|--|-|
saili q ueusd eses	--|-|-⌫---|-⌫|--|
hommesmi st en	-----|--⌫-|-|
fusif u larichoise	-|-|-⌫|-|-------|
maisons ars es	------|---⌫-|
et fondu es .	-|-----⌫-||
apresch esi tindrentmoultet desfendirentchil	----|--⌫|-|-------|----|-|-----------|---|
d e lato uretsin estoientli	-⌫|-|--⌫-|-|-||-------|-|
que yyseule m ent d ont liy yest oient seriantet	--|-|-----⌫-⌫--|-⌫--|-|-⌫|---⌫----|------|-|
banin sestoitliquars	-----⌫|-----|-|----|
situeren t desg ensl eroiclaud asa gr ant	-|------⌫|--|-⌫--|-⌫|--|-----⌫-||--⌫--|
plenteenl o rdes fense.	-----|-|-⌫-⌫|---⌫----||
a u quintiour	-⌫|----|---|
fist l ir ois claud asuneperrieredrechierdeua ntletour	---|-⌫|-⌫--|-----⌫-|--|-------|-------|----⌫-|-|---|
neplusnipooit on seoir.	-|---|||----|-|----||
maisiap ourlaper riere	---|-|-⌫--|-|---⌫----|
nef u issent prinssenefust	-|-⌫-⌫-----|----|-|-|---|
che queil n	--|--|-||
auoient queboirene	------|--|----|-|
quemangier	--|------|
etnepor quant mo ults e desfendoien t	-|-----⌫----|--⌫--|-⌫|-----------⌫|
bien ma is so urtouslesau tressede sfendoitbani ns	---|--⌫-|--⌫-|---|--|--⌫---|-|--⌫-------|----⌫-|
etmoultochis t desgens	-|----|-----⌫|--|---|
c laudasa peusagus etapiere scornues	-⌫-----||---|---|-||-----⌫|------|
lo rlanchoit .	--⌫|-------||
si durementsedesfendoitbaninset tant	-|-------|-|---------|-----|-|---|
isouffri que	|------|--|
tro pse ne smer ue lloienttuit	---⌫||-⌫|-⌫----⌫--⌫------|---|
et dis tcla u dasquant	-|---⌫|---⌫-⌫--|----|
i l loin oumer et	-⌫||-|-⌫----|-|
il o t ueusesgrans	-|-⌫|--|--|----|
proech es et	------⌫-|-|
di stq uesilauoitzz sipreudommec heualie r	--⌫-|-⌫-||-|----|-|-|--------|-⌫-------⌫|
etsi loi al	-|-|---⌫-|
uer s l u iille te nroitpluschierque	---⌫|-⌫-⌫|-|-|--⌫----|---|----|--|
soi meismes.	--|------||
puisquet out e	------|-⌫---⌫|
raison nableuiande lor fu f aillie	------⌫----|-----|--|-|-⌫-----|
setindre nt childe la	-|------⌫-|---|-|-|
tour yyioursentiers.	---|-|----|------||
etlorsfurent trop a quisda ngoissede f aim	-|---|-----|---|-⌫---||-⌫------|-|-⌫--|
silor auintl ati erchenuitq u	-|--|----|-⌫|--⌫----|---|-⌫|
ilprinstrent enzzcreusdela	-|---------|-|-|----|-|-|
tourune hu elotec ardau tre soisaxni	---|--|--⌫----|-⌫-||--⌫---⌫|----|||
auo it nulrem es	---⌫-|--|---⌫-|
pour les causde la	---|--|---|-|-|
perrierequilese nauoientcachiés.	-------|--|--|-⌫|------|-------||
decestea uenturesesbaudirentmou lte t si les	-|----|-⌫------||----------|---⌫-|-⌫|-|--|
auoitl aperrieresi estoutoiés	----|-⌫|-------|-|----------|
etle s murs	-|--⌫|---|
perroiésetestonés capaines sepooie nt	--------|-|-------|||-----|-|-----⌫-|
il soustenir .	-|--------||
etclaud as uituniou r	-|-----⌫-|--|-|---⌫|
ban insi li di stban in	---⌫-|-|-|--⌫-|---⌫-|
autrementne	--------|-|
tep eustumielon gementt enir.	-|-⌫--|-|--|---⌫-----|-⌫---||
etiete d onrai	-|-|-|-⌫----|
asseschastiauseta rmeset despenseius q ue	----|--------|-|-⌫---|-|-------|---⌫-⌫-|
la outuuaurasaler	-|-|-|-----|---|
m oiuoloiesremanoirsediex maitetl i	-⌫-|------|-------|-|---||--|-|-⌫|
sa int dechele eglize -sitent sa main uers	--⌫--|-|----|-----||-|---|-|---|---|
unecapele-ie t	--|-----||-||
plusq uecheualierqueieonques eussepourla	---|-⌫-|--------|--|-|-----|----|---|-|
gr antpro e cheet	--⌫--|---⌫-⌫--|-|
pour la gr antloiautequ iesten toi.	---|-|--⌫--|------|--⌫|--|-|--||
ain siliproiaclaudasmaintes	---⌫-|-|----|------|------|
foiset chil	---|-|---|
lid ist z z	-|-⌫--|-⌫|
io ure nsintcommechil quiestoitmoult	--⌫-|-⌫----|----|---|--|-----|----|
dola nt etent reprissire claud assireclaudas bien	----⌫-|-|---⌫-----|---|-----⌫-|---|------|---|
sachiés quequan tiemerender aiauo usi	-------|--|----⌫|-|-|------⌫-||--⌫-||
aur aitei lensoineap p ar i ss antqu eianus men	---⌫-|---⌫|------|--⌫-⌫--⌫-⌫--⌫--|--⌫|-|--||-|
et quantiemerend rai auo usne	-|----|-|-|----⌫--||--⌫-|-|
aautr ui iene	|----⌫-|-|-|
me rendrai p ascomme	-|------|-⌫-|----|
tr aitres.	--⌫-----||
ettantsetint baninslaiens	-|---|-|---|-----|-----|
afebl i de fain eti let si compa ignon.	-----⌫|-|---|-|-⌫|-|-|-----⌫----||
etcascun i ourliproiaclaud a sdere ndrecar	-|-----|-⌫--|-|----|-----⌫-⌫|-|--⌫---|--|
desiroit aauoirettr ople priso itpourle	-------||----|-|--⌫-|-|-----⌫-|---|-|
grant proecequei lauoitenli ueue.	----|-----|--|-⌫|----|-|-|---||
quantbanins u oi tquetenirnesep or ent etqu	----|-----|-⌫--⌫|--|----|-|-|-⌫--⌫--|-|-|
illecouenoitrendr epour led esfautedela uiande	-|-|-------|-----⌫|---|-|-⌫------|-|-|-----|
et pour laperr ierequile s au oittrop e stounés	-|---|-|----⌫---|--|--⌫|--⌫--|---|-⌫-------|
sicommencha d eul afairetropgrant	-|--------|-⌫--||----|---|----|
etsicompa g nonquiplusne pooient	-|-|-----⌫-⌫--|--|---|-|------|
lefaimsoustenir li distren t qu	-|---|--------|-|-------⌫|-|
ilseren de roient car deus p lus	-|-|---⌫--⌫-----|--||--|-⌫--|
ten irestoit ilno iens	---⌫-|-----|-|--⌫---|
etillordistor neuousesmaiéscarie	-|-|--|---|-|-|---|-------|--|-|
renderailatoure t serafa it	-------|-|---|-⌫|---|--⌫-|
atel honorqu eian	|--|----|--⌫|-||
blasmé neiene su i	------|-|-|-|--⌫|
pas ma inslasés ne mainsfa milleusdeuousmaisquant	--|--⌫--|-----|-|----|--⌫------|-|---|---|----|
gran t ang oiss emainehomme	----⌫|---⌫----⌫|----|----|
etil doit fairem eschief	-|-|---|----|-⌫------|
toutesuo isdoit il s	--------⌫-|---|-||
o nor garder.	-⌫--|-----||
celuiio urre paira	----|--⌫-|--⌫----|
claudas a luiet	------||--|-|
lidemanda quilauoitentalenta	-|------|-|-|----|-|-----||
faire oud el rendreo ud el ten ir.	----|-|-⌫-|-----|-⌫|-⌫-|---⌫-||
siref aitil	---|-⌫--|-|
ie me s ui	-|-|-⌫-|
conselliésamescompaignons	----------||--|----------|
sime loentquenoustei gnos	-|-|----|--|---|---⌫---|
cestet our	----|-⌫--|
n auonsa grant pieche	|----||----|-----|
gardedeperier e ne dautre	----|-|------⌫|-||----|
m aisie neu oel plusprendrele	-⌫--|-|-|-⌫--|---|------|-|
faissourmoi car p lus	---|---|--|--|-⌫--|
preudo mmee tplusriche demoilontlais ié	------⌫--|-⌫|---|----|-|--||--|----⌫--|
suiconselliés	--|----------|
queie uousrendraila touret	--|-|---|------|-|---|-|
mesco m pai gnon s etmoi carilm estauis	--|--⌫-⌫---⌫----⌫|-|--|--|-||--|---|
qu e ie ne leporoierendrea plus preudom me	--⌫|-|-|-|-----|-----||---|-------⌫-|
d e uousetsinous tendrésouous .	-⌫|---|-|-|---|-------||---||
ma isanchoisnous ferois s eurqueuousn ous	--⌫-|------|---|-----|-⌫--|--|---|-⌫--|
garderésenuers toushom mesetnous tenrois a droi t	--------|-----|---|---⌫--|-|---|------||----⌫|
e nuostrem aiso nenuer s	-⌫|-----|-⌫----⌫|-----⌫|
t oute gent	-⌫---|---|
entelmaniere q ue	-|--|------|-⌫-|
senusnousseitq ue	-|--|---|---|-⌫-|
demanderpar u ous	-------|--|-⌫--|
feronsdroit	-----|----|
e tsenou ssauonsahomm e de uostrepooir	-⌫|-|---⌫|-----||----⌫|-|-----|----|
rienqu edemander	---|--⌫|-------|
droitnousen	----|---|-|
cest ecouen enche lorotroia	----⌫|-----⌫----|--|-----|
claudasateniretfist aporterlessainssi	------||----|-|---|------|--|----|-|
l o riuraaupiedela	-⌫-⌫|---|-|--|-|-|
tenir loiaumentcheque	----|--------|--|--|
ilontdiuis é	-|--|-----⌫-|
etlorsi ssirenthorsdel atour	-|---|-⌫------|---|-|-⌫|---|
claudas sagarison ded enslatou ret moult honera	------|-|------|---⌫--|-|---⌫|-|----|-----|
ban inet mo ultlam a ded enss oncuerp our	---⌫-|-|--⌫--||--⌫|---⌫--|-⌫-|---|-⌫--|
ch e que degrant proechelau oi tueu pla inet	--⌫|--|-|----|------||--⌫--⌫|--|---⌫-|-|
pourla grant	---|-|----|
loiaut ekien lu i	------⌫|-|-|--⌫|
dedensletierchi our	-----|-|-----|-⌫--|
auint queli	----|--|-|
senesca usd emandasescouen enchesacla udas et ildistque	-------⌫-|-⌫-----|--|-----⌫-----||---⌫---|-|-|---|--|
moult uolentier slitendroitsicommencha	----|---------⌫|-|-------|-|--------|
aquer r ealongeset	|----⌫-⌫|------|-|
tant alerentles paroles quebanins	---|------|--|------|--|-----|
ensot unepartie.	-|--|--|-----||
lors uintaclaudasla	---|---||------|-|
ouil estoitentreses baron s si lidistsire	-|-|-----|----|--|-----⌫|-|-|---|---|
ieuoel quetoutchis t bar onsachentbien	-|---|--|---|----⌫|---⌫-|------|---|
merendiauous pourc houqueuous	-|----||---|---|-⌫--|--|---|
mega randisiéscontre to ushommesetm etenriés	-|--⌫---------|-----|--⌫-|-----|-|-⌫|-------|
et enuer stoutege ntquiriens	-|-----⌫|----|--⌫-|--|----|
meuaudroien tnesauroient	-|---------⌫|-|--------|
que demanderet atoutc h eusqu iiesauroie	--|-------|-||---|-⌫-⌫--|--⌫|-|------|
riensque demander enuostrepooirme	----|--|-------|-|-----|----|-|
fesis ié sdroite iustice.	-----⌫---⌫|-----|------||
et clau d aslico n noistensi.	-|----⌫-⌫-|-|--⌫-⌫----|---||
iloreuousproi iedonte r	-|--|---|---|-|-----⌫|
ten gi és dro ite iustice del	---⌫--⌫--|---⌫--|------|--|
se nescal quichiestcomm ede	--⌫-----|--|--|--|----⌫|-|
celui quie st t raitrese t	----|--|-⌫-|-⌫------|-⌫|
pariures enuers dieuetuers	-------|-----|---|-|---|
son d roit signour	--|-⌫---|------|
etseilchouose ueerqu e	-|-|-|---|--|---|--⌫|
uersdeuetuers son	---|--|-|---|--|
lige signourtraitreset pari ures ie sui pres que	---|------|-------|-|----⌫---|-|--|---|--|
ielimo nstre uerssoncors orendroitou	-|-|--⌫----|---|--|---|--------|-|
a teliou rcomuous uaudré s	|--|---⌫|--|---|-------⌫|
oés senescaxfaitclau dasque c his cheuali ersdist	---|-------|---|----⌫--|--|-⌫--|-------⌫--|---|
souru ous .	---|-⌫--||
en siseroiemoult	--⌫-|-----|----|
engingniésquanti e uous ame r oie etessauch e roie	----------|----|-⌫|---|---⌫-⌫--|-|-------⌫-⌫---|
pooiretuo us serié suers moitraitres	----|-|--⌫-|------⌫|---|--|-------|
sirefaitil	---|---|-|
a boincheualier	|---|--------|
souschiel nesiproisié s	---|----|-|-|-------||
iluo l oitmonstrer	-|--⌫-⌫--|-------|
q ueieeu s se faituer s	-⌫-|-|--⌫-⌫-|---|---⌫|
uoustraison que ien	---|------|--|-||
en desfendisse moncors.	-|----------|--|---||
sire fa itbanins tenésmongage	---|--⌫-|-----|-----|--|---|
demonstrercontresoncorsque i ai	-|-------|-----|--|---|--||-|
ueu et oie	--|-|--|
lat raisonqueilaf aiteenuersson	-|-⌫-----|--|-||-⌫---|-----|--|
signourlige .	------|---||
oreot c laudas te lchose quilisie t	--|-|-⌫-----|--⌫|----|--|-|---⌫|
e t plaistcar	-⌫|-----|--|
il meismes leh aoit troppourla	-|------|-|-⌫---|---|---|-|
traiso nquilot faite	------⌫|-|-|-|----|
si e st mo ult	-|-⌫-|--⌫--|
