messirenobles li	--|---|-----|-|
bri chem ersqu iluau lroit	---⌫----⌫--|--⌫-|---⌫----|
quambeduifussent bonami	-|------|------|--|--|
c estla itqu anti lsunt	|--|--⌫-|--⌫--|-⌫|---|
etque chaucunsson d roit eus t	-|--|-------|--|-⌫---|---⌫|
tournéneli	------|-|-|
dist ysengrinia dieune neplac e	---|-------|-|---|-|-|----⌫|
queiapai sne	--|-|---⌫|-|
acortenface	----|-|---|
tant quei euoiele	---|--|-⌫|---|-|
etconuoie qui aura	-||-|---|--|---|
dit es leroyque	---⌫-|-|--|--|
en droitteingne	-|----|------|
labata illecommentqu	-|----⌫---|------|-|
il praig ne	-|-----⌫-|
quantbri chemer	----|---⌫-----|
oi tenl afin	--⌫|-|-⌫|--|
nepe nrapaisaysengrin	-|--⌫--|---||-------|
auroya dite lanouuelle	-|--||---|-|-------|
quine li f umietr opbelle	--|-|-|-⌫|--|--⌫-|----|
s ire dist i la	-⌫--|---|-⌫||
ysengrinsa bataille attent	-------|-|-------|-----|
a ta l entdefairepais	|--⌫-⌫--|-|----|---|
etdi t quil	-|--⌫|-|-|
acordancequeaubaston	--------|--|-|-----|
que onletenroitabri con	--|-|-|------||---⌫--|
orest liplais bie n	-|--|-|----|---⌫|
em piriés	--⌫------|
ca ry sengri nes t c ouro uchiés	--⌫|-⌫------⌫|--⌫|-⌫----⌫------|
di stbrichemer sseuousu olé s	--⌫-|---------⌫|-|---|-⌫----⌫|
pai sfair esi com uous solé s	---⌫|----⌫|-|--|---|-----⌫|
don tsitenésla droiteuoie	---⌫|-|-----|-|-----|---|
ceest limi eusqueiey	-|--|-|--⌫--|--|-||
etdist liroys par	-|---|-|---|--|
sa inctr ic hi e r	--⌫---|-⌫--⌫--⌫-⌫|
bien aff icier	---|---⌫----|
nenpenroiepas tout	|-|------|--|---|
que lipl usriches puistauo ir	--|-|--⌫-|-----|----|---⌫-|
bat aill e neuoie	---⌫----⌫|-|---|
iamaism escuersnaueret ioie	-----|-⌫-|----||-----|---|
ne sai que iluontattendant	-|--|--|-|---|--------|
e lcamplesmettésielcommant	-⌫|---|--|------|-||------|
qua ntla paro leont e nten due	---⌫-|-|----⌫-|--|-⌫----⌫--|
lorsontlab ataill e attendue	---|--|-|-⌫------⌫|-------|
les ontmenez ensam ble	--|--|----|-----⌫--|
liplushardisde	-|---|-----|-|
paou rtra mble	----⌫|---⌫---|
li uns tint	-|--|---|
l autrepa rla mai n	|----|--⌫|-|---⌫|
liroy smandachappellain	-|---⌫|----|----------|
monseignorbeli n lemouton	--|------|----⌫|-|-----|
quimoult es toit	--|----|--⌫---|
sai nc timeshom	---⌫--⌫----|--|
cilsapporta	---|------|
lesainctuaire	-|----------|
pour amquileserement faire	---|----|-|-------|----|
liroysafaitcrier son banc	-|---||---|----|--|---|
q ui lnyaitsihardisergant	-⌫|-⌫|||--|-|----|------|
face noi see n paissetei ngne	---|---⌫-|-⌫|---|-|---⌫---|
etcomme pro do nsseconteingne	-|----|---⌫--⌫-|-|---------|
moul tliroysdegra nt	----⌫|-|---|-|---⌫-|
du serement faitladiuise	-|-------|---|-|-----|
dans brichemeretbruns liour s	---|--------|-|----|-|---⌫|
queon tenoitau yymil lours	--|-|-----|-|-|---⌫----|
bar on distilorme scoutés	---⌫-|---|-|-||-⌫-------|
seiedi malsim ame ndé s	-|-|-|--|-||---⌫----⌫|
renariurraprem ierement	----|----|----⌫-------|
ferale se rement	---|-|--⌫-----|
qu a y sengrinn arienm effait	-||-⌫------|||---|-⌫-----|
neenpar olenee n	-|-|---⌫--|-|-⌫|
n a thiebert	||-------|
le ch at auximent	-|--⌫-|-------|
ichemetteen	---|----|-|
son serement	--|-------|
n athiecelinna	||--------|||
la ma sange	-|--⌫----|
n a roonelnefist	||-----|-|---|
nabrunl our s ne achantecler	||---||---⌫|-||---------|
toutchechi licouuient	---|--|--|-|-------|
ren ar sfist icest sere ment	---⌫--⌫|---|----|----⌫---|
onqu esnymist dalai ement	----⌫-|||---||----⌫----|
longuement fu enor i sons	---------|-|-|--⌫-⌫---|
etenmoult grans	-|-|----|----|
afflictions	----------|
lors seleua	---|-|---|
deliu rement	-----⌫-----|
etysengrin	-|-------|
toutma i ntenant	---|--⌫-⌫------|
s eragenoulle e t rebr ace	-⌫|---------|-⌫|----⌫--|
anusgenousfu en la place	|--|-----|-|-|-|----|
dess uslessai nstend ilamai n	----⌫-|--|---⌫-|----⌫|-|---⌫|
s i iuredieu et	-⌫|---|---|-|
sainctgermain	-----|------|
etpar lesainc tqueill ue cu oit	-|--|-|-----⌫|--|---⌫--⌫|-⌫--|
q u e dechelpl ait nultor t n	-⌫-⌫|-|---|--⌫--|--|---⌫||
distb richemerbiauxdolzamis	---|-⌫-------|----|---|---|
ore nte ndésbien amesdis	-|-⌫---⌫----|---||--|--|
uousiurés que renar es tfau x	---|-----|--|----|--⌫|---⌫|
desoi rementet	-|---⌫-----|-|
uousloiaux	---|-----|
distysengrin	---|-------|
ielecreans	-|-|-----|
lessainsba isetrestousueans	--|----|--⌫--|-------|----|
pu iss eleuasi s	--⌫-|-⌫|---|-||
campsa coulpebat	---|-|-----|--|
etprie dieu	-|---|---|
q uit ou tsormonte	-⌫-|-⌫--⌫|-------|
queillidointuengier sa hont e	--|-|-|----|------|-|----⌫|
de r enartqui l l i a faitlait	-|-⌫----|---⌫|-⌫||---|---|
t antque son cuer i oianten ait	-⌫--|--|--|---|-⌫----|-|--|
bonbastonha atant	--|-----|-|----|
sis appar ell eetadre sce	-||-----⌫---⌫|-|----⌫--|
etmoultsouuen tse reto urnoie	-|----|------⌫|-|----⌫-----|
ma inlaces a courr oie	--⌫-|---|-⌫|-----⌫--|
sonescuprentet pui s	--|---|----|-|---⌫|
enplu sourssen sson b astoncrole	-|---⌫----|---⌫|--|-⌫----|----|
ch ierefaitdegra nthardement	--⌫---|---|-|---⌫-|--------|
moult se c ontientet be l	----|-|-⌫------|-|--⌫|
r enartq u e ilsega rt	-⌫----|-⌫-⌫|-|-|--⌫-|
ne uu elmettrele iouragart	-|--⌫-|-----|-|---||---|
q u an tr enart l	-⌫-⌫--⌫|-⌫----||
oitformentsospire	--|------|------|
touscoisset aist ne ueutmotdire	---|---|-|-⌫---|-|---|--|---|
r enars s oust letresdes	-⌫----|-⌫---|-----|--|
sioustoydenygromance	-|---|-|-|---------|
mai st ro poustentenduaillors	---⌫|-⌫--⌫|---|------|------|
qu iloust oblieilesmillo urs	-|-|---|-----|--|-----⌫--|
sonba stonprent e tsisaffaite	--|--⌫---|----|-⌫|-||------|
etmoultdurement se rehaite	-|----|-------|-|------|
genteme nt soustsonescutraire	-------⌫-|----|--|---|-----|
cest affa ire	---|----⌫--|
en plusoursl ieu xl a	-|-------|-⌫---⌫|||
nefaitpas chiered esmaié	-|---|--|-----||------|
ensesd ois lacour roiela ce	-|--|-⌫--|-|----⌫---|--⌫-|
et moult saf faiteen milaplace	-|----||--⌫----|--⌫-|-|----|
si fuaussis to ut asseur	-|-|-----|--⌫-|-----|
comme chastelz qui e stsu rmur	----|-------|--|-⌫-|--⌫|--|
liescremirs lie stmou lt	-|--------|-|-⌫-|---⌫-|
cartous e nsetle s en uiaux	--|---|-⌫|--|--⌫|--⌫----|
sonescu sursa	--|---|--|-|
testetient	----|----|
ety sengrinspresde lui	-|-⌫-------|---|-|--|
tele escremieli d onn a	---|-------|-|-⌫---⌫|
qu iagrant annui li tour na	--⌫||----|----|-|----⌫-|
yseng rinestde gra ntair	-----⌫--|--|-|---⌫-|--|
m oultfo rt	-⌫---|--⌫-|
uar enart enu a ir	-|-⌫----|---⌫-⌫-|
renarfait ilm al ies	----|---|-|-⌫-|--|
a tousiourssoieiehonnis	|---|----|---|-|-----|
neu engela	-|-⌫---|-|
quemedeispar sourcuidance	--|-|---|--|-----------|
que tumafemmegeus	--|-|-|----|---|
si comme turecogneus	-|----|-|--------|
sirece dist	---|-|---|
renarmal dite s	----|--|----⌫|
ot troiés queiesoi e	--⌫------|--|-|---⌫|
faireuousfe rai grantho mmai g e	----|---|--⌫--|----|--⌫----⌫-⌫|
acheualierd ehaut	|--------|-⌫|---|
et pouruousirai oultre mer	-|---|---|---|-----|--|
uole ́s quitteclamer	----⌫-|-----|-----|
renartfaiti l	-----|---|-⌫|
ie c uil ttropbienqu enean t uaille	-|-⌫---⌫|---|---|--⌫|----⌫|-----|
qu antd emesyymainstorneras	--⌫--|-⌫|--|-|----|-------|
iapuis neme	-|---|-|-|
ramproneras	----------|
bienuer ro n mes a	---|---⌫--⌫-⌫--||
laba t aille	-|--⌫-⌫----|
qui enauraile	--|-|----|-|
pi ssansfaill e	--⌫|---|-----⌫|
liquelz ena uera	-|----|-|-⌫---|
dieusmoultp eume pris	----|----|-⌫-|-|---|
se deuous ne	-|-|---|-|
mepu isu engier	-|--⌫-|-⌫-----|
re n artoroi dongier	--⌫-⌫--|-|-|------|
quialést o uteio ur m enacent	--|----|-⌫-⌫--|--⌫-|-⌫------|
faitesa un	-----||-|
mo tplus quache nt	--⌫|---|-||---⌫-|
ac estmot yse ngri n acourt	|-⌫--|--|---⌫----⌫|-----|
etren ar n a	-|---⌫-|||
s oingqu ilsentourt	-⌫---|-|-||-|----|
sonescume td euantsonfront	--|---|--⌫|-⌫----|--|----|
metpisa uantfieremen t grout	--|--|-⌫---|--------⌫|----|
retraict etgiett eet e ntredeu x	-------|-|-----⌫|-|-⌫---|---⌫|
a uqu elques oit iertlaisli	-⌫|--⌫----|-⌫--|---|---|-|
a ins quilsepa rte ntde l assau t	-⌫--|-|-|-|--⌫---⌫-|-||-----⌫|
r enar l e fiertmiene	-⌫---|-⌫|----|--|-|
telcoup leisl oreille	--|---|---||------|
toutela testeliestonne	----|-|----|-|------|
si queap euque ilne	-|--||-⌫-|--|-|-|
ai cest couplime schiet	|-⌫---|---|-|--⌫-----|
quantiluoitsateste sa i gni er	----|-|---|-|----|--⌫-⌫---⌫-|
desamainseprent a	-|-|---|-|----||
dieupriequ inefautn e me nt	---|---|--⌫|-|---|-⌫|--⌫-|
quancuile gartdafolem ent	-|----|-|---||------⌫--|
pours a uie	---|-⌫|--|
est cedittrahis	--|-|--|-----|
longuement fusiesbahis	---------|-|-|------|
queil n esceit queltem psil fait	--|-|-⌫|----|---|---⌫-|-|---|
ne ilnesceitp a sq ue ilfait	-|-|-|----|-⌫-⌫|-⌫-|-|---|
p ourlecoup qu i lha re c eu	-⌫--|-|---|-|-⌫|-|--⌫-⌫-|
qua ntren arl aappa rce u	---⌫-|---⌫-|||----⌫---⌫|
nefi stsambl ant quille	-|--⌫-|-----⌫--|-|-|-|
nequeapperceuleus t	-|--|-------||---⌫|
ma isda utre parttorn es a	--⌫-||-⌫---|---|----⌫|-⌫|
ors egartqu e	-|-⌫|---|--⌫|
ancornelf iere	----|-||-⌫---|
que sachiésseillep uet nuire	--|-------|-|-|-|-⌫--|----|
ensusde luile f e r a	----|-|--|-|-⌫-⌫-⌫|
l airapasapprouch ier	-⌫---|--|--------⌫--|
aubastonleuaesmonchier	-|-----|-|-|---------|
isengr i n s d eloings le	------⌫-⌫-⌫|-⌫|-----|-|
renarlid it pour	----|-|-⌫-|---|
q uoi setarde	-⌫--|-|----|
qu al abataillene	-||-⌫|-------|-|
bi en sceitquefair e li couuient	--⌫-|----|--|----⌫|-|-------|
yse ngrin s estlors appe n sé s	---⌫----||--|---|----⌫-⌫---⌫|
bien scei t	---|----⌫|
quilha est égreués	-|-|-|---⌫-|------|
isnellementli courruts eure	----------|-|------|-⌫---|
estquetro pdemeu r e	--|--|---⌫|-----⌫-⌫|
metpieauantgi ette retraicte	--|--|----|--⌫---|--------|
m ais duremen t	-⌫--|-------⌫|
r enar se gaite	-⌫---|-|----|
metp iearriere sise retrai ct	--|-⌫-|------|-|-|------⌫-|
renarquis c eit	----|--|-⌫-⌫--|
assesd affait	----||-----|
si liadit dansysen grin	-|-||--|---|----⌫---|
cilzdieuz quiestuenusdeuins	---|----|--|--|----|-----|
sceit b ienque tortuers	----|-⌫--|--|---|---|
et quea grant tortmehaés	-|--||----|---|-|----|
carfais onspais amo nse ignor	--|----⌫--|---||--⌫|--⌫----|
ainso isquaienshonte gri gnor	-----⌫-|-|----|----|---⌫---|
di stysengrin faites	--⌫-|-------|-----|
moy ton dre	--|---⌫--|
sasses ne na ipouruousconfondre	|----||-⌫|-⌫|---|---|--------|
quan tassesrampo snésefure nt	----⌫|----|-----⌫---|-|----⌫-|
l iduiuassal quien camp	-⌫|--|-----|--|-|---|
ambdeux derechiefsentre uien nen t	------|--------||-----⌫----⌫---⌫|
pou ralentiforment se tienne n t	---⌫|-----|------|-|------⌫-⌫|
ysen grindeget ters af faite	----⌫---|-|---⌫--||--⌫----|
d eferirrenartde	-⌫|----|-----|-|
greuermoult se ntremet	-----|----||-⌫------|
e sc u son	-⌫--⌫|--|
tellidonnea insquill	--|-|----|-⌫--|-|-||
niertiamais i orsn el en so ueingne	|---|-----|-⌫--|-⌫||-|--⌫------|
le bras senest re y sengrin fraict	-|---|------⌫-|-⌫------|-----|
or haysengrinsmoult mestra it	-|-|--------|----|------⌫-|
ambd eux ontlor es cu srepris	----⌫--|--|--|--⌫--⌫|-----|
esdensse fier enteten pis	-|---|-|----⌫--|-|-|--|
lieusseuont ferant	----|-|---|-----|
longuementf urent	---------|-⌫----|
onquesmi eus	-----|--⌫--|
n eu igenscombatre	-⌫|-⌫|---|-------|
pooitl aut re abatre	----||---⌫-|-----|
mais dece nedo it onpl aidier	---|-|-|-|--⌫-|-|--⌫-----|
ysengrinnesepuetaidie r	-------|-|-|---|-----⌫|
f or ss euleme ntd eson bras	-⌫--⌫|-⌫------⌫-|-⌫|--|---|
q ue i lha perdulesenestre	-⌫-|-⌫|-|----|-|-------|
liun stornel	-|--⌫|----||
autr es retorn e	----⌫-|------⌫|
nuns des yyuassauxnese io rne	---|--|-|------|-|--⌫--⌫--|
m oulttonrent	-⌫---|------|
ainsqu elichiee	---|--⌫|-|----|
ysengri ns ueffregrant h aichiee	-------⌫|-⌫-----|----|-⌫------|
mou lt durementestoit engres	---⌫-|-------|-----|-----|
et renarfupreuxetapers	-|----|-|----|-|----|
encontre ysengrins eherice	-------|-------|-⌫|-----|
mou ltledes tra intpasnese faint	---⌫-|-|---⌫---⌫--|--|-|-|----|
iambotli faitdelui l empain t	-----|-|---|-|--||------⌫|
a terr ela gi tté	|----⌫|||--⌫---|
e tysengrin chi et	-⌫|-------|---⌫-|
lesdenssebrisa enla bouch e	--|---|-|----|-|-|-----⌫|
etys engrindedens li mouche	-|--⌫-----|-----|-|-----|
faitmoul tma le fin	---|----⌫|--⌫-|--|
p u isliadi t	-⌫-⌫-|-||--⌫|
sireysen grin	---|----⌫---|
ancuiuerra on quidroit	----|----|-|--|----|
etquimieus fai rele	-|--|----|---⌫-|-|
deuostre femmemecu idié s	-|-----|----|-|--⌫-----⌫|
or en e stesmoulta u illiés	-|-|-⌫---|----|-⌫-⌫------|
q uantychipor uostremoil lie r	-⌫---|---|--|-----|----⌫---⌫|
fai tesmoyetuou s trauillier	---⌫--|--|-|---⌫|---------|
is engrins uoitquil lelaidange	--⌫------|---|-|-|-|-------|
moultertdo lens s ilne	----|--|--⌫---||-|-|
mou ltli poi senenpuetplu s	---⌫-|-|---⌫-||-|---|---⌫|
re nar li faithonteetcontraire	--⌫--|-|---|----|-|--------|
en treses den s mou ltse de mente	--⌫--|--|---⌫|---⌫-|-|--⌫----|
et ditfaux estquimetsentente	-|--|---|--|--|--||------|
riensquefemmedie	----|--|----|--|
pe u s untdefemmesansboisdie	--⌫|-⌫--|-|----|---|------|
ice ne cuidasse iamais	--|-|-------|-----|
fem mea immemieus noise quepais	---⌫-|-⌫---|----|----|--|---|
parfemmesunthonnimaint homme	--|----|---|----|----|----|
de tousmaux	-|---|---|
e st femme lasomme	-⌫-|----|-|----|
moul testfaux quiymet	----⌫|--|---|--||--|
s entent e	|------⌫|
ainsi ysen grin	----|----⌫---|
s e d emente	-⌫|-⌫-----|
renarlef iertmenuement	----|-|-⌫---|--------|
moultledemainemalement	----|-|------|-------|
sur leuisai ge	--|-|-----⌫-|
etsur la face	-|--|-|---|
etpoiletcuirtouten e fface	-|---|-|---|---|-|-⌫----|
is engrins es t enmale t ra pe	--⌫------|--⌫|-|---|-⌫--⌫-|
a cestmotlibastonseschape	|---|--|-|------|------|
que tenoitrenar e n sa	--|-----|----|-⌫|-|
cilzquinoust pasl e cuertrop u ain	---|--||---|--|-⌫|---|---|-⌫--|
se uaultleuermai snepuet es tre	-|----|----|---⌫|-|---|--⌫--|
que tropauoitma l	--|---|----|--⌫|
enlatest e	-|-|----⌫|
renarli f aitde gran s a nnuis	----|-|-⌫--|-|----⌫|-⌫----|
et si no ufa it pas ae nuis	-|-||-⌫|--⌫-|--||-⌫---|
bien le uaulro itau oircon quis	---|-|------⌫-|--⌫--|---⌫---|
dela poulreli gietteouui s	-|-|-----|-|-----|-|--⌫|
ysengrinmaing emalemen t	-------|-----⌫|-------⌫|
aumain s liualesi eu xc erch ant	-|----⌫|-|-|--|-⌫--⌫|-⌫----⌫--|
maisap res	---|--⌫--|
sa boneauenture	-|---|-------|
liaduint sa maleauenture	-|-----|-|---|-------|
so ndo ite nsa bouchede dens	--⌫|--⌫-|-⌫|-|-----|--⌫---|
lim istetcilz	-|-⌫--|-|---|
lepristauxd ens	-|----|--|-⌫--|
tranche iusqu alos	------|----|||-|
puisgi etteren a r t s usso n dos	---|--⌫---|---⌫-⌫-⌫|-⌫-|--⌫|--|
de l estra indrepa snese faint	-||-----⌫----|--⌫|-|-|----|
meruileusementle destraint	-------------|-|--------|
ore strenarenmalt oail	-|-⌫-|----|-|--|-⌫---|
p aour nemenme r ue il	-⌫---|-||-|--⌫-⌫--⌫-|
y sengrindegenous l e s erre	-⌫------|-|-----|-⌫|-⌫---|
rena rt ne uoitnecielne terre	----⌫-|-|---|-|---|-|----|
nestm er ueilles	|--|-⌫--⌫-----||
il limeschiet	-|-|-------|
n u ls nefa itmalquiln e li grie t	-⌫-⌫-|-|--⌫-|--|-|-|-⌫|-|----⌫|
iur e i auoit fauxser ement	---⌫-⌫|----|---|---⌫----|
s il li parrrap r ochain emen t	|-|-|-----|-⌫-⌫------⌫----⌫|
c onfai t eloiil	-⌫-|---⌫-⌫|--|-|
huiestuenusasa	--|--|----||-|
m erciquiertporlessainsde romme	-⌫---|-----|--|--|----|-|----|
maisceneli auault une pomm e	---|-|-|-|-----|--|----⌫|
que yse ngrinlefiert etmaille	--|---⌫----|-|----|-|-----|
etdansrenargientetbaaille	-|---|----|----|-|------|
yseng rinlefiert depouissance	-----⌫--|-|----|-|---------|
con trelui n a ren ardeffe nse	---⌫--|--|||---⌫-|-----⌫--|
namais pooir de	||---|----|-|
lu ideffendre	--⌫|--------|
maissoffrirlicouuient apren d re	---|------|-|-------|-----⌫-⌫-|
grantdolourli faitetgrantm al	----|-----|-|---|-|----|-⌫-|
tra irel ifait moult	---⌫--|-⌫|---|----|
renaruaulsist bi enes tre aillo urs	----|-------|--⌫-|--⌫--|-----⌫--|
quelasoffrirsigransdolours	--|-|------|-|----|------|
deue n us est plusfroisque glace	----⌫-⌫-|--|---|----|--|----|
mieusai mmemorirenlap lace	----|--⌫--|----|-|-|-⌫---|
quepour rec reant serendist	--|---|---⌫----|-|------|
ai cestmotsospirf ist	|-⌫---|--|-----|-⌫--|
aucuersentoi t mo ultgrantannui	-|---|------⌫|--⌫--|----|----|
nulconf ortd elui	--|----⌫--|-⌫|--|
i l n esauoit del u i	-⌫|-⌫|-----|-|-⌫-⌫|
s amblantfait	-⌫------|---|
dommequise	|---|--|-|
ysengri n du rementlefr ape	-------⌫|--⌫-----|-|--⌫--|
malementde tir e	-------|--⌫---⌫|
r enar nemu etne piene	-⌫---|-|--⌫-|-|--|-|
bienfai t samblantne soit pas sain	---|---⌫|-------|-|---|--|---|
i sengrinslefrapa si fort	-⌫-------|-|----|-|---|
queil lauoi tlaissié por mort	--|-||----⌫|-------|--|---|
s untdilluec part i	-⌫--||-----|----⌫|
cours sedeparti	----|-|------|
chaucunsmoultgrant ioief aisoit	-------|----|----|---|-⌫-----|
qu e il cuidentrenarmorssoit	--⌫|-|------|----|---|---|
etbr unsli	-|--⌫--|-|
ours et y s engrin	---|-|-⌫-⌫-----|
et chantecle ret	-|---------⌫|-|
thieceli n	--------⌫|
etdamepinteetro onniau s	-|---|----|-|--⌫------⌫|
rouclez lies curiaux	------|-|--⌫------|
liparent renart on tgr ant	-|-----|-----|--⌫|--⌫--|
mais ne welortenirnulcompt e	---|-|--|-|----|--|-----⌫|
l iroyscommande com le	-⌫|---|-------||-|-|
t hi ebert li cha s	-⌫--⌫----|-|---⌫|
l esieuslibende	-⌫-|---|-|----|
et ro olesmainsli loie	-|--⌫|--|----|-|---|
or estrenar en ma le	-|--|----|-|--⌫-|
fi st moul t	--⌫-|----⌫|
foulserement	---|-------|
foutueau oi t d ameherse nt	-----|--⌫--⌫|-⌫--|-----⌫-|
depasm iso nsestoituenu	-|----⌫---⌫-|-----|---|
moultbien liseroitaduenu	----|---|-|-----|-----|
sede leur mainspooitpa rtir	-|-|---|----|----|--⌫---|
iamais niroit h om mehonnir	-----||----|-⌫--⌫-|-----|
nanul iamaisnequerroitnu ire	||--|-----|-|-------|--⌫--|
toutela cou rtoissie ́sbruire	----|-|---⌫-|------⌫-|-----|
etdant renarlebac heler	-|---|----|-|---⌫----|
prieque onlel aitaler	---|--|-|-|-⌫--|---|
quetou s regehirlico u u ient	--|---⌫|------|-|--⌫-⌫-⌫---|
sespech ies	--|----⌫--|
dont il lisouuient	---|-|-|-------|
i llionfaitue ni rbelin	-⌫|-|-|---|--⌫--⌫|----|
olui admai nne	|--|-----⌫--|
thiecelien	---------|
fait a lui confes	---||--|-----|
etil l iencharges on fes	-|-|-⌫|-------|-⌫-|--|
sicommei l	-|----|-⌫|
c o nfessoitren ar t	-⌫-⌫-------|---⌫--⌫|
atantezuous	----|-|---|
sire b elin	---|-⌫---|
quide gran t	--|-|----⌫|
mont es t repairie ́s	---|--⌫|--------⌫-|
ren arttrouuaqu i fu loiés	---⌫--|-----|--⌫|-|-----|
durement segarmenteetple ure	-------|-|-------|-|---⌫--|
ysengrinmaudit et deueure	-------|-----|-|------|
enqui sliaetdemandé	-----⌫|-||-|-------|
commentrenar a comm andé	------|----||----⌫----|
queren ars	--|---⌫--|
fust ai n sip endus	---|--⌫-⌫-|-⌫----|
parn u ll uinefudeffendus	--|-⌫-⌫--⌫-|-|-|--------|
li fr eresententlap arole	-|--⌫---|-----|-|-⌫----|
moultlipoise	----|-|----|
ilestdegran tsainctit eplains	-|--|-|----⌫|--------⌫|-----|
sinefunef au x	-|-|-|-|-⌫--⌫|
neuil la ins	-|---⌫--⌫--|
i lditrenart dem andera	-⌫|--|-----|---⌫-----|
ensa m aison moi nneenfera	-|-|-⌫----|---⌫--|-|---|
a uroy estuenuserra nme nt	-⌫|--|--|----|----⌫---⌫-|
si lesa lue douc hement	-|-|--⌫--|----⌫-----|
liroyssedre chaene stan t	-|---|-|---⌫--|-|-⌫----⌫|
il nestfreres quei laint	-||--|-----|--|-⌫|---|
moultl edesirroitaueoir	----|-⌫|--------||----|
d ecostelu ilefist	-⌫-----|--⌫|-|---|
iassiet sansdongier	|-----|---|------|
leroy commence alosen gier	-|--|-------||-----⌫---|
pourdieu li ottroits	---|---|-|------||
illiplaist	-|-|-----|
querenartsain etsauf	--|-----|---|-|---|
etliroy s resgardelefrere	-|-|---⌫|-------|-|----|
sire pourd ie u	---|---|-⌫--⌫|
led eué s	-|-⌫----⌫|
nepu etaler a dieulegrant	-|--⌫-|---||---|-|----|
qui nequitteson	--|-|-----|--|
maltale nt	-------⌫-|
y celconseiluo us uuel	-⌫--|------|--⌫-|---|
queuous laisiés	--|---|-------|
renart aler	-----|---|
moult deprie lempere our	----|-----||------⌫--|
quer ena rt li	--|-⌫---⌫-|-|
do intparam our	--⌫--|--|--⌫--|
pourcefaitilsuici tendus	---|-|---|-|--|-|-----|
pr ieru ousuuelneso it	--⌫--|-⌫--|---|-|--⌫-|
ainsois lemen laissiés m ener	------|-||-|--------|-⌫---|
dieux leuo uspu istguerredonner	----|-|--⌫-|--⌫--|-----------|
donnésle moypor	------|-|--|--|
dieuserui r	---|-----⌫|
quipornousselaissa morir	--|--|---|-|-----|----|
cr o ix penez	--⌫-⌫-|----|
si s eramoinnesordonnés	-|-⌫--|------|--------|
bi enlemepoo ésot trier	--⌫-|-|-|---⌫--|--⌫----|
sienferaimoignecloistrier	-|-|----|-----|---------|
se ilestdestr uis ch iert pechies	-|-|--|-----⌫--|-|---|------|
prodommeenfe raicesaichiés	-------|-|--⌫--|-|--------|
sile mefaites rendre	-|-|-|-----|-----|
queseuou s le fai si és p endre	--|-|---⌫|-|---⌫--⌫--|-⌫----|
uo u snyaueriéspoint d	--⌫-⌫|||-------|----||
dieuxhapit tied u pech eo u r	----|-|---⌫--|-⌫|----⌫--⌫-⌫|
si lseco nf esse etrepentbien	|-⌫|-|--⌫--⌫---|-|-----|---|
lor ses t sau fs	---⌫|--⌫|---⌫-|
ienen doubt de rien	-||-|----|-|---|
neme refusés pasledon	-|-|-------|--|-|--|
donnéslemoy porguerrredon	------|-|--|--|---------|
noblesenten t quebiena dit	-----|-----⌫|--|---||--|
nou uaulroi tauoir e scondit	|-|-------⌫|----|-⌫------|
derienq ueil lidem andast	-|---|-⌫-|-|-|---⌫-----|
neq u eafairecomman da s t	-|-⌫-⌫||----|------⌫--⌫-⌫|
renar tlir enditmaintena nt	-----⌫|-|-⌫----|--------⌫-|
cils lenmerciebonnement	---||-|-----|--------|
rena rses tgitté sde	----⌫-|--⌫|------⌫|-|
enmenaensa mais on	-|---|-|-|----⌫-|
p oissonlidonnentpor am ordre	-⌫-----|-|------|--|--⌫----|
moultbien leconf ermentenlor	----|---|-|----⌫-----|-|--|
rob eamoinne l i	---⌫||-----|-⌫|
o nt uestu	-⌫-|----|
etm oulttr es bie nlon tre ceu	-|-⌫---|--⌫-|---⌫||--⌫|--⌫--|
moultfunob leme ntconioys	----|-|---⌫----⌫-|------|
a inslaqu insainnef u ga ris	-⌫--|-|--⌫-------|-⌫|--⌫--|
bienfugaris etre spass és	---|-|----|-|--⌫-----⌫--|
par main smalua is	--|----⌫|-----⌫-|
pasapassés	--||------|
bien retientceconli	---|------|-||-|-|
ne faitpassamblantqu il sef aingne	-|---|--|-------|-|-|-|-⌫-----|
l essign e s r etientetla igaige	-⌫-|----⌫-⌫|-⌫-----|-|--⌫-----|
moultletie nnent	----|-|---⌫----|
le ansa saige	--⌫--||----|
uolentierspr entle s	---------|--⌫--|--⌫|
disc ipl ines	----⌫---⌫---|
souuentlimenbre des g elin es	------|-|-----|--|-⌫----⌫-|
moultfaisoitrenar	----|------|----|
souuenteste naf flictions	------|--|-⌫|--⌫--------|
m ou ltsededui t honestem ent	-⌫--⌫-|-|-----⌫|--------⌫--|
bienli sieent liga rnement	---|-|-----|-|--⌫------|
sente nt e met a lord re	|----⌫--⌫|--|||---⌫-|
a pre nd re	-⌫---⌫--⌫-|
il naenluirien	-|||-|--|---|
quer eprendre	--|-⌫-------|
orest renar deuenu s moi n ne	-|--|----|------⌫|---⌫-⌫-|
granttr auailsoeffe et	----|--⌫----|-----|-|
gr antpainne	--⌫--|-----|
desouu en t geuneretuillie r	-|----⌫--⌫|-----|-|------⌫|
dech anteret d euersillier	-|--⌫----|-|-⌫|---------|
un iourfulamess e chantee	-|---|-|-|----⌫|------|
renar l oustdecuer e s cou tee	----||---|-|---|-⌫-⌫---⌫--|
tous lida rrain s istdou moustier	---|-|--⌫-----⌫|--|--|-------|
