noueaus d a mornouelle	------||-⌫--|------|
encontreliu aslet sesl aisse	-------|-|-⌫----||---⌫----|
etliua sl etcontrelui	-|-|--⌫--⌫-|-----|--|
sozles cu con fauconss	--||--⌫-|--|------||
t a ntconl i c heuauspue tal er	-⌫-⌫-|--|-⌫|-⌫-----|---⌫|--⌫-|
fiertliu nsla utreau	----|-|-⌫-||-⌫---|-|
queles ferstran chant esmoluz	--|--|---|----⌫----|------|
firent passerparleses cuz	-----|-----|--|--|--⌫--|
leslance sbris ent paresfors	--|-----⌫|----⌫--|--|-----|
d escuz de cheuau set decors	|----|-|------⌫|-|-|---|
hurtent anduit ant fortensenbre	------|----|-⌫--|---|-------|
quantliuns a l	----|-|--|||
autreasenbre	----|------|
quetotbr isentquanqu ila ta igne nt	--|--|--⌫----|-----|-|-⌫--⌫----⌫-|
etli arch ondarierefreignent	-|-|----⌫-||-----|--------|
liestrefrunpentet lesce ng les	-|-----|------|-|--|--⌫--⌫--|
le spoitralset	--⌫|-------|-|
lescontrecengl es	--|-----------⌫-|
sichecheuals etcheu al ier	-|--|------|-|----⌫--⌫--|
ch eient tuit en uer selgrauier	--⌫----|---|--⌫---⌫|-|------|
liunslezl autreestordi z	-|--|--||----|-------⌫|
ia fustdesgenz m ultgr antl escri z	-|---|--|---|-⌫--|--⌫--||-----⌫|
qu arcuidoient quilfuss ent mo r t	--⌫-|--------|-|-|----⌫--|--⌫-⌫|
maisl i reis	---|-⌫|---|
fis tcr i ertanfort	---⌫|--⌫-⌫-|--|---|
so nbanq ue	--⌫|--|-⌫-|
ci lquiparl eroit	--⌫|--|----⌫----|
sanznu lres pitpenduzseroit	---|--⌫|---⌫--|-----|-----|
porce se tindrent quoietmu	--|-|-|-------|---|-|-|
quan li cuer furentr euenu	---|-|---|-----|-⌫----|
uasausquiiostéor ent	-----|--|-----|--⌫--|
enp iezsaillen t plus tostquil poren t	-|-⌫--|-------⌫|---|---|-|-|-----⌫|
chascus trait del fue rel espee	------|----|--|---⌫-||----|
si r ecomenc entlam eslee	-|-⌫-------⌫--|-|-⌫----|
desusleseumes p auieis	----|--|----|-⌫-----|
sen uontferir	|-|---|----|
totd emaneis	--|-⌫------|
desespeesta n tr uistescous	--|-----|--⌫-⌫|-⌫-----|---|
quel es esc uz qu ilas cous	--|-⌫-|---⌫-|-|-|-|---|
coupent d etranche ntetastellent	------|-⌫--------⌫-|-|--------|
asespeeslesenchant ellent	-|-----|--|-------⌫-----|
deusd osgrantl enuaie	|--|-⌫-|----||-----|
liseneschausne	-|---------|-|
des aill irli	|--⌫----⌫-|-|
uasletsouent	-----|-----|
detozsenz gran testor lirent	-|--|---|----⌫|----|-|---|
unscouslidoneau	--|---|-|---|-|
e nmi lecol totenapert	-⌫--|-|--|--|-|----|
lofi e rtsi	-|--⌫-⌫-|-|
delespeeblanche	-||----|------|
q u el es lazdelheume li tr an che	-⌫-⌫|-⌫-|--|--|----|-|--⌫--⌫--|
li h eumelichietiusaus piez	-|-⌫---|-|----|--|--|---|
nefumiet rop esmaie z	-|-|--|-⌫--|------⌫|
liuasletquantsesentlochief	-|-----|----|-|---|-|----|
desarmém esmultlifugrief	-------|-⌫-|---|-|-|----|
miel u elt	---|-⌫--|
morirnese uenioit	----|-|-|------|
del espeeque iltenoi t	-||----|--|-|-----⌫|
liuaitun sig ran t coupdo ner	-|---|-|-|-⌫---⌫|---|--⌫--|
qulesoilz lifait trobler	-|--|---|-|---|------|
et l iceruel tot	-|-⌫|-----|--|
l iest one	-⌫|---⌫--|
tel coup so r le heume	--|---|--⌫|-|----|
ia maisdencusernaustcure	--⌫---||------||---|---|
liseneschaus mas	-|---------|--|
lezle udure	--||-⌫----|
brisa lespeea lferir	----||----|-⌫|----|
siquepuisnela	-|--|---|-|-|
li uas letnede rienaidier	-|---⌫--|-|-|---|-----|
enluin e otquecorrocier	-|--|-⌫|-|--|--------|
m e rueil lesilot pesan ce	-⌫-⌫-----⌫-||-|-|-----⌫-|
qu antfuen simalechaance	--⌫--|-|-|-|---|------|
otespeeneheume	-|----|-|----|
et sotbienqu ento t loreaume	-|--|---|-|-|--⌫|-|-----|
n au oituns cheualiers plusfort	|--⌫--|--|---------|---|---|
delsen eschal qui l hetdemort	--|---⌫-----|--||--|-|---|
etseil lot enoitasbraz	-|-|-|-|-⌫----|-|---|
m u ltto stser o itue ncuzetmaz	-⌫-⌫-|--⌫-|---⌫-⌫-|--⌫---|-|--|
concil queno n lousoit	--|--|--|--⌫||-----|
otdense pou stdefendre	-|--|-|---⌫-|-------|
les cous re ceuo irli estuet	--|---|--⌫----⌫-|-|-----|
escuaumiel zquil puet	---|-|----⌫|-|-|---|
que liseneschausligetoit	--|-|---------|-|-----|
et dauan tg andisant	-|-----⌫|-⌫-------|
unefoizcha	--|---|--|
aut re foiz lai	---⌫-|---|--|
quie rte n	--|-⌫-|-⌫|
grantesmai	----|----|
mu ltp ar auoiengrantdo lor	--⌫-|-⌫-|-----|----|--⌫--|
tuit ci l qui a uoientamor	---|--⌫|--|-⌫-----|---|
quanta telme schiefloueoie nt	----||--|--⌫-----|-|-----⌫-|
neconsei ll ern e lopeoient	-|------⌫--⌫-|-⌫|-|------|
lor ueissiezsoz lormant eaus	--|-------|--|--|----⌫---|
plorerdames etdameseu s	-----|----|-|-------⌫|
cheualier sborgois	---------⌫|------|
et seriantz	-|-------|
multparestoitla dolorsgranz	---|--|-----|-|-----|----|
masmul tfustliplors	--|---⌫|---|-|----|
se nefustdelro isla pao r s	-|-|---|--|--⌫-|-|---⌫-⌫|
moltestoitliua slet	---|-----|-|--⌫---|
quantil a ueuases piez	----|-||--||--|---|
un troncondelance	-|------|-|----|
q uantl a ue ude ue n	-⌫---|||--⌫|--⌫|-⌫|
quorcuideauoirs agarison	-|-|----|----|-⌫|------|
adousma ins	|---|--⌫--|
apri s lotronco n	|---⌫|-|------⌫|
quifutdunfust fraisninpesant	--|--||-|---|-------|-----|
leplusgrosa torné dauant	-|---|---||-----|-----|
iluit uers soi u enir	-|--|---|--|-⌫---|
leseneschausse	-|---------|-|
luaitferir	|---|----|
sorlebrazdestrequedel	--|-|---|-----|--|--|
lif aituoler	-|-⌫--|----|
le speeloing	|-⌫---|----|
etlobrazli misttoten tros	-|-|---|-|---|--|-|---|
te l couplidone	--⌫|---|-|---|
del retros	--|-----|
et piusco rrut prendr e	-|---|--⌫---|------⌫|
siladelaterre	-|||-|-|----|
etconutq ue liseneschaus	-|----|-⌫-|-|---------|
nes toitmienes ainsnesau s	|--⌫---|--|-|-⌫---|-|---⌫|
si luaitsaisira rdie m ant	-||---|-----|-⌫----⌫-⌫--|
parlesfl ainsad osbrazlepra nt	--|--|--⌫---||-⌫-|---|-|---⌫-|
tant fortuers soi	---|---|---|--|
lostrent p arire	-|-----|-⌫-|--|
sace ett a nt lotire	---|-|-⌫-⌫-|-|---|
qua terrede sozsoilabat	-||----|--⌫--|--||---|
desoreso n escutotpl at	-----|--⌫|---|--|--⌫-|
eq uant i l otdeso z soi mi s	|-⌫---|||-|----⌫|--|--⌫|
selad ere irspar leheume	-|||-⌫---⌫--|--|-|----|
atelai ruersoilo	|--|--⌫|--|--|-|
quedelchi efcoup erlom enace	--|--|---⌫-|----⌫-|-|-⌫----|
sitostne seclameuancuz	-|---|-|-|----|-----|
etc il setint deldirem uz	-|-⌫-|-|---|--|---|-⌫-|
ilneuoloit gehir	-|-|-----|----|
ainz dit quemielz uoloit	---|--|--|----|-----|
queiafustiornuisrecrea nt	--|-|---|---|--|------⌫-|
etliuasletsaut entr etant	-|-|-----|---|----⌫----|
el collofiertside l	-|--|-|----|-|-||
que as sezplusd	--|--⌫--|---||
li fait le chiefdel	-|---|-|----|--|
quiontcuer dencus er	--|--|---||-----⌫-|
malmetreasmaris	--|----|-|----|
e tl es amiesasamis	-⌫|-⌫-|----|-|---|
si na ientitelgierdon	-||-⌫---|---|------|
cumlisenescaus e tteldon	--|-|--------|-⌫|--|--|
car tropenaparmilemonde	--|---|-||----|-|----|
decelsquide	-|---|--|-|
totbiensun t monde	--|---|---⌫|----|
etdenoiontles ue intresplains	-||---|--|--|--⌫-----|-----|
icels apelegeuil ains	----|----|-|---⌫---|
etcelsquiuontenlorlabor	-|---|--|---|-|--|----|
di gequeontnongaagnaor	-|-|--|--|--|-------|
decelsneuo il gepas mal	-|---|-|--⌫-|-|--|--|
maiss efu sse de francesi re	---|-⌫|--⌫--|-|-----|--⌫-|
ode lenpir ederome	|-||-----⌫|-|---|
si uosdibien	-|--|-|---|
de m o ilaso me	-|-⌫-⌫|-|--⌫-|
siian ostre	-|-|-⌫----|
se i gnormeuaille	--⌫-⌫---|-|-----|
queiefe i sse en	--|-|--⌫-⌫--|-|
tozcelstaille	--|---|-----|
soussei angl eors	-----|-⌫----⌫---|
derienquefustencontre amors	-|---|--|---|-------|----|
tantcondurast maseig nor ie	---|--|-----|-|----⌫---⌫-|
neconquesistrientriche rie	-|---------|---|------⌫--|
nelreaume neen l	|-|-----|-|-||
maisbienen	---|---|-|
fustetdameetsyre	---|-|---|-|---|
amors quibienloseustestre	----|--|---|-|----|----|
quequantplusa uroi t	--|----|---|-⌫----⌫|
mielzuaudro it	----|------⌫-|
etchascusiorn	-|------|---|
samen deroit	|----⌫-----|
quele est pl e inede cor tesie	-|--|--|--⌫-⌫--|-|---⌫----|
d ebelparlersanzuilenie	-⌫|--|-----|---|------|
de bienetde	-|---|-|-|
neenlinanuleperece	-|-|-|||---|-----|
a inzame i oie e tbonefoi	-⌫--|--|-⌫--|-⌫|---|--|
mul tpar setdetoz bi en	---⌫|--|--|-|--|--⌫-|
plusestdouce que	---|--|----|--|
nulec house	---|-⌫----|
gar iz estcuersoserepouse	---⌫-|--|----||-|------|
de toz biensdoitporter corone	-|--|----|---|-----|-----|
amo rquitotesioiesdone	---⌫|--|----|----|---|
et tricherie qui	-|--------|--|
quie stplusameir equesoie	--|-⌫-|---|-----⌫|--|---|
q uemainten e ntor	-⌫-|-------⌫-⌫-|-|
li pl uisor	-|--⌫----|
d i geq uemainsuaut	-⌫|-|-⌫-|----|---|
chascusior	------|--|
qua nt plus m o inte	---⌫-|---|-⌫-⌫---|
etcroist sa b ai llie	-|-----|-|-⌫--⌫---|
queleestdeuilani e	-|--|--|-|------⌫|
dengandorguo iletde	|----||-----⌫-|-|-|
etde toz mausest	-|-|--|---|--|
ent echié	---⌫-----|
deableslafaitmonter	------|-|---|-----|
qui la repoissentaual er	-||-|---------|----⌫-|
entelsa n blantconi euoudroi e	-|--|--⌫-⌫----|--|-⌫|-------⌫|
s ac hi ezquemultf ugrantlaioie	-⌫--⌫--⌫-|--|---|-⌫|----|-|---|
qu antloseneschal	--⌫--|-|--------|
etmul tconqu ist onoretpris	-|---⌫|-----⌫--|---|-|---|
depoit ier s	-|----⌫---⌫|
otuanculotr ait or	-|----|-|--⌫---⌫-|
multlotindrenttuitaprodome	---|-|-------|---||------|
etdistrentbienqu	-|-------|---|-|
entrosquarome	-------||---|
pooitlongues r e gn ier	----|------|-⌫-⌫--⌫--|
na u roitun sibuenchiualier	|-⌫-⌫---|-|-|---|--------|
a son hos tel lenont	|--|---⌫--|--|--|
desesarmes l	-|--|----||
ont des ar mé	--|---⌫--⌫--|
maisainzquefustala	---|------|---||-|
nelanoitfust auio rnm eslee	-|-|---|---|-|--⌫-|-⌫----|
uintasonh otel uns mesages	---||--|-⌫---|--|------|
qu imult estoitetprozetsages	--⌫|---|-----|-|---|-|----|
limesages fude po it iers	-|------|-|-|--⌫--⌫---|
leuas let etseschiualiers	-|---⌫--|-|--|---------|
silor conte	-|--|----|
quapoi tie rsn	-||---⌫---⌫-||
a uoi tpointdeconte	-⌫---⌫|----|-|----|
morzestsis peres	---|--|--|----|
cest lasom e	|--|-|---⌫|
si lima n den ttrestuitsio me	-|-|--⌫-⌫---⌫|-------|-|-⌫-|
quilaugereceuoir	-|-|---|-------|
ainz ilsorg eautre gerre	---|-|----⌫|----|----|
qu anti lentendiles noueles	--⌫--|-⌫|------|--|------|
sac hiezneli furentp as	---⌫---|-|-|-----|-⌫-|
desorunecoutes apo ie	----|--|----||---⌫-|
desonpeiremultlienoie	-|--|----|---|-|----|
encoreuesquis t i lso nu oel	-----|-------⌫|-⌫|--⌫|-⌫--|
ma is nenue lt	--⌫-||-|--⌫-|
faire tropgran t duel	----|---|----⌫|---|
auient pas anulbaron	-----|--||--|----|
qu ilfacedueloutrerai son	-|-|---|---|----|---⌫--|
nui t f uenerror	---⌫|-⌫|-|----|
bien maitinet par som loior	---|-------|--|--|-|--|
m etr esesseles	-⌫---⌫|--|----|
qualersen ueltparles	-|---||-|---|--|--|
queoit oies	--|--|---|
de sonpais	-|--|---|
quantilotcongie	----|-|-|-----|
del roipr is	--|--|--⌫-|
sil uaitde	-||---|-|
larainepren dre	-|----|----⌫--|
que mu ltgrantmercisl isoit randre	--|--⌫-|----|-----|-⌫|---|-----|
onorqu efa ite li ot	---|--⌫|--⌫--|-|-|
ci lliredistaumielz	--⌫|-|-----|-|----|
quilesto itsuensetsue ns seroit	-|-|----⌫-|----|-|---⌫-|-----|
tozlesiornmaisque	--|--|---|------|
i luiuroit	-⌫|------|
a ta nt d elilecongiep rent	-⌫--⌫-|-⌫|-|-|-----|-⌫---|
sifait monte rtot esa	-|---|-----⌫|---⌫|-|
or cheuauces	-|-------||
istde lauile	--|-|-|---|
mais plu s furent	---|---⌫|-----|
dedoce mile	-|---|---|
quapiequ acheuals	-||--|-||------|
quetuits e suntapresluimis	--|---|-⌫|---|----|--|--|
t antche de l ui	-⌫--|--|-|-⌫-|
ontp ris congie	--|-⌫--|-----|
multparenesto ientirié	---|--|-|----⌫---|----|
trestuitcil q ue coness oient	-------|--|-⌫-|------⌫----|
quantde l paisale rl	----|--⌫|---|---⌫||
carmultp a ri	--|---|-⌫-⌫||
estoit amez	-----|---|
ensisen uaconuoso ez	---||-|-|--|--|-⌫-|
uenirensacontree	----|-|-|------|
f ai tcha scun io rn	-⌫--⌫|---⌫---|--⌫-|
mult gra ntiornee	---|---⌫-|-----|
tan t ac heuaucéeterré	---⌫||-⌫-------|-|----|
uileset marche strespassé	----|-|------⌫|---------|
ettan tsauoiedr oitetint	-|---⌫|-|---|--⌫---|---|
quas acitea poiti ers uint	-||-⌫|---||-----⌫--|---|
ofuaioiere ceuz	|-||---|--⌫---|
qu eleuesque fureuestuz	--⌫||------|-|-------|
et tuit lic le rcdel acite	-|---|-|-⌫--⌫-|-|-⌫|---|
quiencont re li sunt ale ́	--|------⌫-|-|---|---⌫|
a pr ocession	|--⌫-------|
receucomeb aron	----|---|-⌫---|
etlibor geis p armi	-|-|---⌫---|-⌫---|
orentcorti nes	----|-----⌫--|
por tendues	---⌫------|
et grisetdrapsde soie	-|---|-|----|-|---|
mult par f irentd elu igran tioie	---|--|-⌫----|-⌫|--⌫|----⌫|---|
ill o q ue s uinttot sesba rnag es	---⌫-⌫-⌫--⌫|---|--|--|--⌫----⌫-|
receutoz sesomages	----|--|--|-----|
puisfisttozses chasteusgarnir	---|---|--|--|-------|-----|
concilquebien uosttenir	--|--|--|---|---|----|
son paisato rné	--|---|---⌫---|
siatantq ui setdemandé	-||---|-⌫--⌫|-|-------|
queuint cinc c heual iersot	--|---|---|-⌫-----⌫---|-|
desm eillorsque esliresot	--|-⌫------|--|-----|--|
prisd esamaisnee	---|-⌫|-|------|
quelcui de	-|-|---⌫-|
lorfis t etdis tett antl o rdone	--|---⌫|-|---⌫|-|-⌫--|-⌫-⌫|---|
que c ha scuns porlui sabandone	--|-⌫--⌫----|--|--||-------|
desonorcroistrechascun sior	-||---|-------|-------⌫|--|
mul t lotindrenta bonseignor	---⌫|-|-------||--|------|
lors cerchelicuens les tor nois	---|-----|-|----|--|---⌫---|
francheet engastineis	------|-|-|--------|
uaittorneier	---|-------|
et enbreta i g ne	-|-|-----⌫-⌫-⌫-|
nee n fr anchene en chanpag ne	-|-⌫|--⌫----|-|-|-------⌫-|
no itden uil	|-⌫-|-|-⌫--|
tornoiparler	-----|-----|
queilneniuousis t	--|-|--||------⌫|
tan tp ard eui ntdesar mes bons	---⌫|-⌫-|-⌫---⌫-|--|--⌫--|---|
quetuitdisoien tquelicuens	--|---|-------⌫|--|-|----|
e sto itdet ozli torno iz sire	-⌫---⌫-|-|-⌫-|-|-----⌫-|---|
etqueenfrance neen	-|--|-|-----|-|-|
neauoit unmeillorescu	-|----|-|------|---|
de tantcon il auoituescu	-|---|--|-|----|----|
mult pardemenoi t	---|--|-------⌫|
a grant poinep u etfai ll ir m ie	|----|----|-⌫-⌫-|---⌫--⌫-|-⌫-|
pui ssi e zr etrouer	---⌫---⌫-⌫|-⌫------|
quilongem entuoudroitpen er	--|------⌫--|-------|---⌫-|
hono r aimelicue nssil o t	----⌫|---|-|---⌫-|-||-⌫|
d eteluieprendreassez sot	-⌫|--|--|------|----|--|
qu a r quip enseen maua istiez	--⌫-⌫|--|-⌫---|-|----⌫-----|
tostenpuet ue niram al chie z	---|-|---|--⌫--||-⌫-|----⌫|
etqui en ho nor penserui aut	-|--|-|--⌫--|-----|--⌫--|
h onorsm ult	-⌫----|-⌫--|
uolentierslaquiaut	---------||------|
e tquienamoruelt	-⌫|--|-|---|---|
mul ttost ena	---⌫|---|-||
sil enueltprendre	|-|-|---|------|
po rmo ilo	--⌫|--⌫|-|
diquebienlosa y	-|--|---|-|--⌫|
qui loconoisdecueruerai	--|-|-----|-|---|----|
que lonc tensai	--|---|---|-|
en lipensé	-|-|-----|
si nailo c uersi racine ́	-||-|-|-⌫--|-|------⌫|
que strenepui s n uillesais on	-|-⌫---|-|---⌫|-⌫----|----⌫-|
sans amor tantenai fo ison	---|---|---|-|-|--⌫---|
quar tant ai l e cuerenuo isos	---|---|-|-⌫|---|----⌫---|
finetloial	--|-|----|
quequantiecuit	--|----|-|---|
d am orparti r	|--⌫-|-----⌫|
dauan t moi	-----⌫|--|
u ait lep as ga rnir	-⌫--|-|-⌫-|--⌫---|
q uege nem e n	-⌫-|-|-||-⌫|
p o is aler	-⌫-⌫-|---|
po r riensdamorni	--⌫|----||---|-|
dedousbeaus oi lzmefa its arree	-|---|----|--⌫-|-|--⌫-|-⌫----|
fac e coloree	---⌫|------|
d enzblanchetes	-⌫--|---------|
etdleiuresuermeilletes	-||------|-----------|
me faitfo ss eautetparf ont	-|---|--⌫--⌫|--|-|----⌫--|
oge netruis neguenepo nt	|-|-|----|-|--|-|--⌫-|
etdunbelcors	-||-|--|---|
me fa itc loiso n	-|--⌫-|-⌫-----⌫|
tantme recortdela faich on	---|-|-----|-|-|-----⌫-|
q u e madameaet	-⌫-⌫|-|---||-|
s onsanb lan t	-⌫-|----⌫---⌫|
q u amors m auraam onuiuant	-⌫|----||---||-⌫-|-----|
multe stfousmiscuers	---|-⌫-|---|--|----|
bien lou oi	---|-|-⌫-|
quantilaideaamors	----|-|---||----|
maispor c eli doi pardo n er	---|--|-⌫|-|--|-----⌫-⌫-|
que ormefaitlameill oramer	--|-|-|---|-|-----⌫-|---|
quelon sacheentotl emont	--|--|----|-|--|-⌫|---|
de totes celes quiorsunt	-|----|----|--|-|---|
etdetotesb eautezes tplaine	-|-|----|-⌫-----|--⌫|-----|
si n est pas deparler	-||--|--|-|-----|
belparole sor	--|-----|--|
t oter ien	-⌫--|-⌫--|
etcil quiu e l t auoir	-|--|--|-⌫-⌫-⌫|----|
seil ue l tauoirasez	-|-|--⌫-⌫|----|---|
co nquesnuli orn auoirnama	|-⌫----|--|-⌫--|----||--|
garder a morslisenble	-----|-⌫---|-|-----|
porce nelo	--|-|-|-|
ueltmetreensenble	---|----|-------|
m aispris am asseet hono r	-⌫--|---|--⌫---|-|----⌫|
et s ilo croist achascunior	-|-⌫|-|-----||------|--|
et siloseitgardersibien	-|-|-|---|-----|-|---|
que le n ne lenpuet enbler	--|--⌫|-||-|---|-----|
tantla fai tcreistre e tmonter	---|||---⌫|-------|-⌫|-----|
c orenpue tl	|-|-|---⌫||
eschaquierdobler	---------|-----|
et g edamor si geuoloie	-|-⌫||---|-|-|-----|
maisuol e ntie rslichangeroie	---|---⌫-⌫----⌫-|-|---------|
s uo loitd em oim amor	|--⌫---|-⌫|-⌫-||---|
porlamoitie	--|-|-----|
ma isqueteu stornesm efeisse	--⌫----|---⌫|-----|-⌫|-----|
que cel ea morsenm oimeisse	--|---⌫|-⌫---|-|-⌫-|-----|
liauroiee sch ang ié	-|-----|-⌫---⌫---⌫--|
quautrementnelgi e	-|--------|-||--⌫|
enamorsaimisma	-|----|-|--|-|
nede trichar ienai	-|-|-------⌫-||-|
que mult tostiui entloma	--|---|---||--⌫--|--||
o r redeuezoirde lconte	-⌫|------|--|--⌫|----|
quimulta erréparl esterre s	--|---||----|--|-⌫-|-----⌫|
as c orzastornoizet	-|-⌫--|-|------|-|
asgu erres	-|--⌫----|
ensonpaisfureuenuz	-|--|---|-|------|
etsifuauecluiuenu z	-|-|-|---|--|----⌫|
uns mene istres	--|----⌫-----|
degrantaf aire	-|----|--⌫---|
qui biensot r etroenc hes faire	--|---|--|-⌫-------⌫--|----|
bienestoit detoz les b arons	---|-----|-|--|--|-⌫----|
multauo itlau de riche sdons	---|---⌫-|--|-|-----⌫|---|
c is tauoi stn ongu ideniele	-⌫--⌫|----⌫-|-⌫-|--⌫|-|----|
lic uensa unepartlapele	-|-⌫---||--|---||----|
au col liamis lobrazdest re	-|--|-||--|-|---|----⌫-|
s ise n uo ntaunefen estre	-⌫||-⌫|--⌫-||--|---⌫----|
il uec s e suntasisandui	--⌫--|-⌫|---|---|----|
entrele conteet c elui	----|-|----|-|-⌫---|
