cilfabla or	--|-----⌫-|
c ar deluecnepeuteschaper	-⌫-||----|-|---|-------|
ue ner resl	--⌫---⌫--||
il cortceleparteneslo re	-|---|---|---|------⌫-|
del e s piequilp o rtelac ore	-||-⌫-⌫--|-|-|-⌫-⌫--||--⌫--|
chascunhomen en dotezmie	------|---||-|----|--|
i cestebe st esenefie	-⌫----|--⌫--⌫|------|
aen soiXXX	|-|--|--|
et quibien gardeob edi ence	-|--|---|----|--⌫---⌫---|
cesyychosessuntse inzd otance	--|-|-----|---|--⌫--|-⌫-----|
lasenefiance	-|---------|
quicesyyuertuzaensoi	--|--|-|-----||-|--|
et quibie nuuettenirlafoi	-|--|---⌫|---|----|-|--|
porcepuett ot ce	--|-|---|-⌫-|-|
pl aissierlesen gins aud eable	--⌫------|--|--⌫---|-|-⌫----|
quantlihon sboitademes ur e	----|-|---⌫|---||-----⌫--⌫|
uinsla tostenprisen luxure	---|||---|-----|-|-----|
diurecen a isentplisor	|-----|-⌫-⌫----|-----|
e ttuitlipech iecr iminal	-⌫|---|-|----⌫-|--⌫-----|
quantdeablesuoit en lacié	----|------|---|--⌫-----|
aucunho meentelpechie	----|--⌫-|-|--|-----|
lorslenpointet	---||------|-|
tant ledebat	---|-|----|
elpoisd enf erla ba t	-|---||---⌫-||-⌫--⌫|
cil luesest	--|---|--|
mult espo entables	---|----⌫-------|
tozior s iest fues	--|---⌫||--|---|
perdurable s	----------⌫|
icestearme	-----|---|
choitiuel as s e	-------|-⌫--⌫-⌫|
duntormente n zz	|-|------|-⌫|-|
a utrepasse	-⌫---|----|
lizzmausliautres pire	-|-|---|-|-----|---|
multisoffren tdiuersmartir e	---||-------⌫|-----|------⌫|
ors ach ezqueiureceetluxure	-|-⌫---⌫-|--|-----|-|-----|
sontyyc hosesdont dexn a	---|-|-⌫----|---|--|||
autre descent	----|------|
p orceli apostredesfen t	-⌫-|-|-|------|------⌫|
troi smenieres deserpent su nt	----⌫|-------|-|------|--⌫-|
sicomeseins	-|---|----|
xm l espont	-||-----|
deuuiuresestla	-|------|--|-|
p rime raine	-⌫----⌫----|
etdecoloures	-|-|-------|
etlatierceestdedragons	-|-|-----|--|-|------|
qu i suntfelo n et uerimous	--⌫|---|----⌫|-|-------|
desuuiu r esnos dit	--|----⌫-⌫-|--|--|
lescritur e	|--------⌫|
q ue e lessuntde tel nature	-⌫-|-⌫--|---|-|--|-----|
quequant laf emele concoit	--|----|-|-⌫----|------|
ensab oche	-|-|-⌫---|
lefruit recoit	-|----|-----|
limaulesl ifich een sa gorge	-|-----|-⌫|----⌫|-|-|----|
sa testeetcele	-|----|-|---|
totelescacheadroiture	---||------||-------|
de t el ardore st saluxure	-|-⌫-|----|-⌫-|-|-----|
li ma ules	-|--⌫---|
muertet celeenpreigne	----|-|---|--------|
contrena ture est tel ou raigne	-----|--⌫---|--|--|--⌫-----|
quant lifeonetdoiu ent naistre	----|-|-----|----⌫--|------|
mordentla mere ou costedex tr e	------|-|---|-|----|---⌫--⌫|
per cepertuis	--|-|------|
issentfors	-----|---|
lorme reoc ientpermors	--|--⌫-|--⌫---|--|---|
la m eremuert e lnaissement	-|-⌫--|----|-⌫|---------|
al en gein dre me nt	||--⌫----⌫---⌫--⌫-|
lesuuiuresquensis entrocient	--|------|-|---||---------|
lesfelons iuis	--|-----|---|
creatorocist rent	------|-----⌫---|
eten la s eint ecrois lem ist ren t	-|-|-|-⌫----⌫|----|-|-⌫---⌫---⌫|
ihesucr i st qu iest	----|--⌫-⌫-|--⌫|--|
nostr e per e	-----⌫|---⌫|
etih erusalemnostramere	-|--⌫-------|-----|---|
li euangeliste	-|----------|
enleuangel e que	-||-------⌫|--|
qu il comande quenos	-|-|------|--|--|
aussisimples	----|------|
comecolo ns	---|----⌫-|
etsages comeserpentsunt	-|----|---|------|---|
oi ez quelescolouuresfont	--⌫-|--|--|--------|---|
quantl acolouure	----|-⌫|-------|
senuoill ist	|-------⌫--|
la ueu eli	-|---⌫|-|
o scurcist	-⌫-------|
licorsdes frois se	-|---|---⌫-----⌫-|
etempi r e	-|----⌫-⌫|
to t tir ea	--⌫|---⌫||
se tientde boiure etdemengie r	-|----|-|-----|-|-|------⌫|
et ta nt se lait	-|--⌫-|-|---|
a magroier	-⌫-------|
deuertedire leuos	-|----|---|-|--|
que elen a	--|--|||
riensdedenzle	----|-----|-|
quanteleest si amagrie	----|--|--|-|------|
lo rsquiertzz pierr e partie	--⌫-|-----|-|-----⌫|-----|
d ontsefichee nlacreueure	-⌫--|-|----|-⌫|-|-------|
out re passesauesteu re	---⌫-|----|-|------⌫-|
rem ainta lapier re defors	---⌫---||-|----⌫-|-----|
li cuirs lidessoiure	-|----|-|--------|
q ua nttotees tdespoillienue	-⌫--⌫-|---|--⌫|---------|--|
do ntl i reclarcistlaueue	--⌫-|-⌫|---------|-|---|
et lireuient	-|-|------|
nouelepe aus	-----|--⌫--|
dontrest sescor s trestoznoueaus	---|---|--|---⌫|------|------|
ausi lih ons	---|-|-⌫--|
cen est pa s	-||--|--⌫|
quifait le soe ures a udeable	--|---|--⌫|--⌫---|-⌫|-----|
doisquei l chie ten d es perance	------|-⌫|----⌫|-|-⌫--⌫------|
nadedeudeconoissance	||-|--|-|----------|
etquantsa creancea p erdue	-|----|-|------||-⌫----|
dont liampire s au eue	---|-|-----|-⌫|-⌫--|
adonquesdeu roitlacolo ure	-------|---⌫---|-|----⌫--|
ensegr e e n pensee eoeure	------⌫|-⌫|-----||----|
ieun erdeur oitetuoillier	----⌫-|----⌫--|-|-------|
etlorgueldesachar	-||-----|-|-|---|
et honorerdeu seinsf eintis e	-|------|--|----|-⌫------⌫|
et puisuenir asainteeglis e	-|---|----||-----|-----⌫|
po r d ieu prier por ieuner	--⌫|-⌫--|----|--|-----|
per l apierr epass er	--|-⌫|-----⌫|----⌫-|
honsquia b one	---|--||-⌫--|
repentance	---------|
et q uiuuet	-|-⌫-|---|
faire penit ence	----|-----⌫---|
sepuet biende de uacord er	-|---|---|-|--⌫|-----⌫-|
etdepec hiedesuolope r	-|-|---⌫--|---------⌫|
car tuitpech i e le	--|---|----⌫-⌫|-|
su ntla uépe rconfessions	--⌫-|--⌫--|--⌫|----------|
qu i e nparadisuueten t rer	--⌫|-⌫|------|---|--⌫-⌫--|
coui en tson cors pener	----⌫--⌫|--|---|----|
mu ltperia estroit ee ntr ee	--⌫-|--|||-------⌫|-⌫---⌫-|
maisceledanfer est	---|---||----|--|
lid rag onsestd eteln a tu re	-|-⌫---⌫--|--|-⌫|--|-⌫-⌫--⌫-|
qu anti lhasoi to ta droitur e	--⌫--|-⌫|-|--|--⌫||-------⌫|
uaquerreunebelefo ntaine	-|-----|--|---|--⌫-----|
dontleigueestpurenetesaine	---||----|--|---|---|----|
primierements einsment ir	-----------|-⌫---|----⌫-|
ua enzzfosseuom ir	-|-|-|----|---⌫-|
quan tdeu eri n estnez	----⌫|-|-⌫---⌫|--|--|
dontpuetboiuretota segur	---|---|-----|--||----|
ensegrede uonsl esdr agons	------|--⌫---|-⌫-|--⌫----|
quan tasein teegliseuenon s	----⌫||----⌫-|-----|-----⌫|
laparole d euescouter	-|-----|-⌫-|-------|
n edeu ons pasoin ospo r ter	-⌫|---⌫--|--|-|-⌫-|--⌫-⌫--|
couoitis ene au arice	--------⌫|-|--⌫----|
purgie r nosdeuonsde tot uice	------⌫|--|-----|-|--|---|
per ueraieconfession	--|-----|---------|
adonc primesentrer po ons	----|-----|-----|--⌫--|
o utemp l eprie retorer	-⌫|----⌫-⌫|----⌫|-|---|
lap aroledeu escouter	-|-⌫----|--|-------|
d e xla nosdo int si	-⌫-⌫|-|--|--⌫--|-|
mercipuissons u eni r	----|-------|-⌫---⌫|
autrenaturel i dragon s	----|-----|-⌫|------⌫|
que enescrituretrouons	--|-|--------|------|
paourde lomenu	----|-||--|-|
etlefuit mais	-|-|---|---|
si lestu estu	|-⌫|--|-⌫---|
sorelic ort a l ui seioi nt	---|-|-⌫--||-⌫-|-|---⌫-|
trestot lenuerimeetp oi nt	------||-------|-|-⌫--⌫-|
quant adanz iere enparadis	----|----|---|-|------|
oudamidexleauoitmis	-|------|-|----|--|
on quesdeablesce st	--⌫---|------||-⌫-|
deuan tqui lotm engié l a pome	-----⌫--|-⌫|-|-⌫-----|-⌫|---|
derie ns mesf air ene li po t	-|---⌫-|----⌫---⌫|-|-|--⌫|
m a is lecolpassée n	-⌫-⌫-|-|--|-----|-⌫|
d emeintenantcene stpa sfable	-⌫|---------|-||-⌫-|--⌫|----|
fuchauze smai ns audea b le	-|----|-⌫|---⌫-|-|---⌫-⌫-|
ett ant comhomsest entechiez	-|-⌫--|--|---|--|--------|
enuolop ez delaizpechi e z	-------⌫-|-|---|-----⌫-⌫|
deab l esensaiostise	----⌫-⌫-|-|-|------|
quiliaprentmalet	--|-|-----|--|-|
t a ntest en sa su bi ect ion	-⌫-⌫-|--|-|-|--⌫--⌫---⌫--|
uientaconfession	----||---------|
quant desuices	----|--|----|
esteslauez	--|------|
et de s onp echi e	-|-|-⌫-|-⌫----⌫|
donnelepu etdab lesgreuer	--|-|-|--⌫-|---⌫--|-----|
napuisalui qu e	||---||--|--⌫|
c orbeaus sistdeladefig ure	-⌫------|-|-|-|---|---⌫--|
etsion t une teln ature	-|-|--⌫|--|--|-⌫----|
quantlor ose let	----|--|---⌫--|
suntes cl os	---|--⌫--⌫-|
s achiezqueilon t l es	-⌫-----|--|-|--⌫|-⌫-|
le spe resneseimblentd eri en	--⌫|--⌫--|-|--------|-⌫|--⌫-|
cene lorf ontnul	-|-|--|-⌫--|--|
nef inentde	-|-⌫----|-|
celquidon econlidesmand e	--|--|---⌫||-|-|-------⌫|
debuenc uerquil lor doin tui and e	-|---|-⌫--|-|-|--|----⌫|--⌫---⌫|
ensiprient	---|-----|
lorc reato r	--|-⌫-----⌫|
etquantui ent a u sisteio r	-|----|--⌫--|-⌫|----|--⌫|
alornature seretraient	|--|-----|-|--------|
dontle sc onoissent etapaient	---|--⌫|-⌫--------|-|------|
licropqu iha iles o nt	-|---|--⌫|--⌫|--|-⌫-|
t otle bie nquilpoent	-⌫-|-|---⌫|-|-|----|
asez lor done nta m engier	---|--|----⌫-||-⌫-----|
ne lor font pu isde rien dongier	-|--|---|--⌫-|-|---|------|
oroz tuhonsquia sentente	-|-|-|---|--|-⌫|------|
quant deablestes saieet tem pte	----|------||--⌫---|-|---⌫--|
tant comtu fais	---|--|-|---|
delui ton me istre	-|--|--|--⌫----|
n ete uuetdamidexrepaistre	-⌫|-|---|------|--------|
et setu chiezenp our ete	-|-|-|----|-|-⌫---⌫--|
oue naucu neaduersite	-|-⌫|----⌫-|--------|
n entrerpa se ndesesper a nce	|-----|--⌫|-⌫|--------⌫-⌫--|
ma isendeuaiestafia nce	--⌫-|-|--|---|-|---⌫--|
le soeure sau d eable laise	--⌫|-----⌫|-|-⌫----|----|
prieceluiqueiltepaisse	---|----|--|-|-|-----|
quidist iesui	--|---|-|--|
cilformahom ed e se smains	--|----|---⌫|-⌫|--⌫|----|
bien lesauo ns	---|-|----⌫-|
de yypainsetde yypoiso ns	-|-|----|-|-|-|-----⌫-|
quileseuoient	--|-|-------|
cilqu i enluicroient	--|--⌫|-|--|------|
uu rpiz e s tbes te triche resse	--⌫---|-⌫-⌫|---⌫-|------⌫----|
demalengi ne tfel onesse	-|--|----⌫|-⌫|---⌫-----|
qua nti lnetrueuequemengier	---⌫-|-⌫|-|-----|--|------|
lo rsuaquerrezzrogeterrier	--⌫-|-|-----|-|---|------|
illu ecsenuerse	----⌫-||------|
perg ra ntbole	--|-⌫--⌫-|---|
ettraitla lenguede lagol e	-|----|-|-----|-|-|---⌫|
etdalenermu ltbien setient	-||-----|--⌫-|---|-|----|
ausi comem orz se contient	---|---|-⌫--|-|-------|
lio is eluont desusuolant	-|-⌫--⌫-|---|----|-----|
quantensile uoientgisant	----|---|-|-----|-----|
biencuidentquil	---|------|-|-|
soitm orz poruoir	---|-⌫--|--|---|
deso r lui seuont aseoir	----⌫|--|-|---|-----|
bech ent etcil lese ngl o t	----⌫--|-|--|--|-⌫---⌫-⌫|
d a us rae mplists on uantr e tot	|-⌫-|---⌫-----|-⌫-|-----⌫|--|
ensiprend es oiseauz uaniance	---|---|-⌫-|------|-------|
etli deables seinsdotance	-|-|------|----|------|
elpuisd anfer	-|---||----|
nosenprisone	--|--------|
perlescharzquilnosabandone	--|--|----|-|-|--|-------|
sacharz e st	-|----|-⌫-|
iurec eetluxure	-----⌫|-|-----|
orguelfie rteetdesmisure	-----|---⌫--|-|--------|
e tso rcuidance	-⌫|--⌫--------|
etg lotonie	-|-⌫------|
trais onscou oitiseenuie	-----⌫--|---⌫-----|----|
larron foi m entieperiure	-----|--|-⌫----|------|
iredesp eranceusure	--|----⌫-----|----|
cilqui au de able	--|--|-|--⌫---|
einz en la	---|-|-|
finlespenirunt	--||---------|
laiius au al oupuisdanfer	--|--|--⌫-|-|---||----|
seron tench ainesdefer	-----⌫|-|--⌫----|-|--|
ou s autier	-|-⌫-----|
letrouons escrit	-|------|-----|
lipsalmis te sdit	-|-------⌫--⌫|--|
unebesteestdautrenature	--|----|--||----|-----|
casto r lanom me le scripture	-----⌫|-|---⌫-||-⌫--------|
en romanla pelelan	-|----||-⌫---|--|
elestplusisne le que lieur e	-|--|---|----⌫-|--|-----⌫|
descoil lonsmedicine	--|----⌫---|-------|
meudre que	-----|--|
denule r acine	-|---|-⌫----|
qua nt uenerresch acier	---⌫-|-------|--⌫----|
por ses coi llesauo irlefait	--|--|---⌫---|---⌫-|-|---|
quantlabesteleuoitu enir	----|-|----|-|---|-⌫---|
s ipresque ne	-⌫|---|--|-|
lespuetgueinchir	--|---|--------|
sescoillons	--|-------|
ront sifortle ssache	---|-|---|--⌫|----|
e tperg rant	-⌫|--|-⌫---|
airlesesra ge	--|--|----⌫-|
au u enaorl es giete	-|-⌫----|-⌫-|----|
et i lles pren t mult	-|-⌫|--|----⌫|---|
uo lon t ie rs	--⌫---⌫-⌫--⌫-|
labeste lait tot	-|----|---|--|
ianel achaceraauan t	-|-|-⌫|------|----⌫|
ets il lac haceautrefoie	-||-|-|-⌫---|----|---|
et illaia mu lta prochie	-|-|||-|--⌫-|-⌫------|
q ueeschapernep uisse	-⌫-|-------|-|-⌫----|
t otmeinte nant aucelacui sse	-⌫-|------⌫---|---|-|---⌫--|
l iuen erreslau oitchastree	-⌫|---⌫----|-|-⌫--|-------|
laguerpist seinsdesmoree	-|-------|----|-------|
cilquiadeu	--|--||--|
uoudroientplaire	---------|-----|
deuroien ttotau tres ifaire	--------⌫|--|--⌫----⌫|----|
q uantdeablesle ha lacié	-⌫---|------|-|-|-----|
depech iecha rgié	-|----⌫-|---⌫----|
sescuideenanfer	|-|----|-|----|
trabu chier	-----⌫----|
d ont doiuent seur erettranchie r	-⌫--|------|----⌫-|-|--------⌫|
etde lorcuerse td elorscors	-|-|--|----|-⌫|-⌫|---|---|
lespechiezet	--|------|-|
git erle sors	---⌫-|--⌫|--|
audeablele sienrandons	-|-----|-|---|------|
to tes oeures renoions	--⌫--|-----|-------|
a deunosdeuonsconuerti r	|--|--|-----|--------⌫|
decuituitbien	-|--|---|---|
doiue n t uenir	-----⌫-⌫|----|
e ncheriteman oirdeuons	-⌫|------|---⌫--|-----|
enaumo nesen o riso ns	-|----⌫--|-|-⌫----⌫-|
m aladesdeuons	-⌫-----|-----|
lespou respaist r eet abeur er	--|---⌫--|-----⌫-⌫|-|-----⌫-|
e tles nu sdeuonsreues tir	-⌫|--|--⌫|-----|-----⌫--|
le smorzd eu onsenseuelir	--⌫|---|-⌫--⌫--|--------|
ieunerdeuons	-----|-----|
etu oillier	-|-⌫------|
etdeuaorer	-|--|----|
queenlafin uenir puis sons	--|-|-|--|----|----⌫---|
aueraieconf ession	|-----|----⌫-----|
eri consest zza utrebeste	---⌫---|--|-|-⌫---|----|
qu isam bleporcforsde l a	--⌫|---⌫--|---|---|-|-⌫|
multest a rdiz et	---|--|-⌫---|-|
trestotlecorsha espinous	------|-|---|-|-------|
etquantlirais insuntXXX	-|----|-|----⌫-|---|--|
uatot aseur	-|--||---|
en t ot le pluscharg iécep	-|-⌫-|-|---|-----⌫--|--|
trestoutlescout coe st	-------||-----|-|-⌫-|
qua ntlefruiten h a aba tu	---⌫-|-|----|-|-⌫|---⌫-|
t ostesta terre	-⌫--|--||----|
de desus les raisinsse uoute	-|----|--|------|-|----|
ensesespine s les	-|--|------⌫|--|
qua nt c hargiezest atots enfuit	---⌫-|-⌫------|--|---||-----|
ase sanfanzpor te lefruit	|--⌫|-----|---⌫-|-|----|
oies tuhomtauignegarde	---|-|--|-|----|----|
et lefruit quetuase ng arde	-|-|----|--|-|-|-⌫|-⌫---|
crestie ntez	-------⌫---|
sinpleceabstinencebontez	-------|---------|-----|
c hariteetobedience	-⌫-----|-|--------|
etpieteet pacience	-|----|-|-------|
garde quecilquit ozior znuit	----|--|--|--|-⌫-|---⌫|---|
ahomeper ce n ete	|---|--|-|-⌫|-|
qu a rquant tu	--⌫-⌫|----|-|
cesuertu z	--|-----⌫|
per duestut rabucher oies	---⌫---|-|-⌫--------⌫---|
enenfernuzetdespoilli ez	-|----|--|-|---------⌫-|
g riementseroiest raueilliez	-⌫------|------|-⌫---------|
tr oisnatures aliformi z	--⌫--|------||-|-----⌫|
iaceq u i l soit multpetiz	-|-|-⌫|-⌫|---|---|----|
sagesestcodit	----|--|-|--|
lescri ptur e	|-----⌫----⌫|
oiezsaprem ierenature	---|-|----⌫---|-----|
trestui t u ont	-------⌫|-⌫--|
quantd elor fossesis susu nt	----|-⌫|--|-----|--⌫-|--⌫-|
eiluun tqueri r	|-|---⌫|-----⌫|
qua n til s unt uenuau gra ni er	---⌫-⌫|-|-⌫--|---|-|---⌫--⌫-|
ian iquerrun tn euis n eporte	-|||-------⌫|-⌫|--|-⌫|----|
chascun prantzz grainsilenporte	------|----|-|----|-||------|
e tpu i slemetenson est uit	-⌫|--⌫-⌫|-|--|-|--|---⌫--|
es encon trentqui	-|-----⌫----|--|
ia derienne lorme sfarunt	-|-|---|-|--|--⌫------|
grainsne lor t ouront	-----|-|--|-⌫-----|
ainz desmand entou ill on tpris	---|-------⌫--|-|-||--⌫|---|
uirgessasemblerentiad is	-----||----------|---⌫-|
yyqueaunesnoce saloient	-|--||---|----⌫|------|
lesyy oileosoipor toient	--|-|---||--|---⌫-----|
les autresne nporterentpo int	--|-----||-⌫|--------|--⌫--|
a laminuit enicelpoint	|-|-----|-|---|----|
queespousesnocesuint	--|-----|-|----|---|
chascunedesyysa ges t ient	-------|--|-|--⌫--|-⌫---|
salampe pleinealume e	-|----|-----|-----⌫|
orent XX X	----|--⌫|
qu e sagementour erent	--⌫|-------|---⌫----|
espousesnocesen trerent	-----|-|----|--⌫------|
e t celesyy foles	-⌫|----|-|----|
o ile entrer	-⌫--|-----|
asezc rier entalepous	---|-⌫----⌫--|||----|
ourez sientr er ons	----|-|----⌫--⌫--|
illordistned ites	-|--|---|-|-⌫---|
que ie neu os conois	--|-|-|-⌫-|-----|
dam ideudebuen cuerprions	---⌫---|-|---|---|-----|
qu antesnoc e suenuserons	--⌫--|-|---⌫-⌫|---|-----|
qu iseront	--⌫|-----|
a uderaini or	-⌫|-----|-⌫-|
ouil s ous ser aiugeo ur	-|-|-⌫--|---⌫|-----⌫-|
is eruntassem blé	|-⌫----|-----⌫---|
que nosneseionsrefusé	--|--|-|-----|------|
oezlasecondemaniere	--|-|------|------|
quantilaen	----|-||-|
sa furmiere	-|-------|
po rtéet at rai t	--⌫---|-|--⌫---⌫|
sonfr om ent	--|--⌫--⌫--|
chascu ngrain totpermilefent	------⌫|----|--|----|-|---|
faitporluimiez ga rde r	---|--|--|---|--⌫---⌫|
etporde sfendredegermer	-|--|--⌫------|-|-----|
dou frome ntfaitzzgrantatrait	--|-----⌫-|---|-|----|-----|
queen iuert fainn	--|-|----|---||
ensi lanat ure	---|-|---⌫--|
doufurmidep ar lescriture	--|----|-|-⌫-||--------|
con lifurm izfaitle fr oment	--|-|----⌫-|---|-|--⌫----|
cerc hebienle uieltestement	----⌫-|---|-|---|--------|
ne fair ecom li	-|----⌫|--|-|
qui a laletre entendant uu nt	--||-|----|--------|--⌫-|
etpo rcenecroie nt neie nt	-|--⌫|-|-|-----⌫-|----⌫-|
lesperital an tande ment	|--------|--⌫-----⌫---|
ilifoloient	-||-------|
multsei nsfaill e	---|---⌫-|-----⌫|
legra iniperdentpur la paille	-|---⌫-||------|--|-|-----|
ilocistrent lor c reator	-|--------|--|-⌫-----|
p orcepe rironta dol or	-⌫-|-|--⌫-----||---⌫-|
nei a tantuos entendroiz	-|-⌫|---|--|---------|
lescritu renel acreroiz	|-------⌫-|-|-⌫|------|
douf urmiaitraites	--|-⌫---|-|------|
yynatures cuiqu esoitgrief	-|------|-----⌫|---|----|
latier cedirai acu rzdiz	-|----⌫-|----||--⌫-|--|
moisdao ustualifu rm iz	---||--⌫--|-|-|--⌫--⌫-|
quer ante t porch ac antleble	----⌫--|-⌫|-----⌫--⌫--|-|--|
qua ntilest enzz	---⌫-|-|--|-|-|
a lodo r apercoit ets ent	||---⌫|-------|-|-⌫--|
que x blezcoe storge ouf roment	---⌫|---|-|-⌫-|---|-|-⌫-----|
l orgedesguerpistmeintenant	|---|----------|---------|
lefromentquerant	-|------|------|
toi ga rd e	--|--⌫--⌫|
garnistoide	-----|--|-|
bi e n atresi	--⌫-⌫|-----|
cercheles cripturediuine	-----||--⌫-------|-----|
fui he resie	--|--⌫----|
etsadoc trine	-|-|---⌫----|
celui quiplus	----|--|---|
autrementdist	--------|---|
d au idquile sa utierescrist	-⌫--⌫-|--|-|--⌫----|------|
qua nt liaille es tuiel	---⌫-|-|----|--⌫|---|
li enpirent lioeil	-|-------|-|---|
libes l ic reist	-|--|-⌫|-⌫----|
etsieslongue	-|-|-------|
sifontlesalesseins	-|---|--|---|----|
siquagrantpoine puetuoler	-|-||----|----|---|----|
quantilseuuetreno uel e	----|-|-|---|----⌫---⌫|
l orsune uiue font ain e	-⌫--|--|---|----⌫---⌫|
et en aut uoleaq uelquepoine	-|-|--|---||-⌫-----|----|
etsi tr espresdousoleiluait	-|-|--⌫-|---|--|-----|---|
quebr uler et ardoir	--|--⌫---|-|-----|
la f onta inec hiet	-|-⌫----⌫--|-⌫---|
troisfoi s s iplongeiusqu	----|---⌫|||-----|----|
il senliet	-||-|---|
quant baignié sesta droiture	----|-------||--||-------|
uaque rrezzg rant pierre	-|---⌫--|-|-⌫---|-----|
f ier ttantqu e ilfro isse	-⌫---⌫|------⌫|-|---⌫---|
pecoi eetdeslo ise	-----⌫|-|-----⌫--|
dont meniuee t r ecla r cist	---|-----|-⌫|-⌫----⌫-⌫---|
etre i ouenis t	-|--⌫-⌫------⌫|
tuhonsquiasantandement	-|---|--|-|----------|
etqu ias siuie z ues tement	-|--⌫|-|-|---⌫|---⌫-----|
d es poilli toides	-⌫--⌫-----|--|--|
uiezpechiez	---|------|
d onttuesue stuzet	-⌫--|-|-|--⌫---|-|
char gi ez	----⌫--⌫-|
la fontainecestliba ptis me	-|-------||--|-|--⌫----⌫-|
coest de seldoil e et de crisme	-|--|-|--||---⌫|-|-|-----|
la pie rre senefiecrist	-|---⌫--|------|----|
quien leuangelenos	--|-||-------|--|
honsquide richie ne	---|--|--⌫-----|-|
i aenm on regn enentrera	-⌫|-|-⌫-|----⌫||------|
quan t t u serasdeton pechie	----⌫|-⌫|----|-|--|-----|
tuesbaptizié	-|-|--------|
ad onquesrenouele r as	--⌫-----|--------⌫-⌫-|
com laille reiouenira s	--||----|----------⌫|
cara driuscenestpasfab le	----⌫----|-||--|--|---⌫-|
coest zzoiseausnient mir able	-|--|-|------|----|---⌫---|
de t eloiselpoezsauoir	-|-⌫-|----|---|-----|
totblan tet narie nsnoir	--|----⌫|-|||---⌫-|---|
enlate rre ou c il ois elsunt	-|-|--⌫--|-|-⌫-|---⌫-|---|
genzmalade suon t	---|------⌫|---⌫|
quantcaradriusuient	----|--------|----|
maladesesiet	-----|-|---|
sempresl i	------|-⌫|
dostor né	--|---⌫--|
sildoitm uri rdesenf erte	|-|---|-⌫---⌫|-||---⌫---|
sil doitgarir de luis aproche	|-|---|----|-|--||------|
sonbeclimetdesuslaboche	--|--|-|--|----|-|----|
li traitdo ucors	-|----|--⌫|---|
lenfermeteetg ietefors	|--------|-|-⌫---|---|
uolan tleseloil senuait	-----⌫|-|-----||-|---|
lemaladesain etsaul	-|-----|---|-|---|
dexqui onq u es	--|--|---⌫-⌫-|
pe chienefit	--⌫---|-|--|
char et hum aineformepr ist	---|-|---⌫---|----|--⌫--|
do n c uienta u puepl e d esi u is	--⌫-⌫|----|-⌫|-----⌫|-⌫-|-⌫-⌫-|
moultle st roua	----|--⌫|-⌫---|
fauseteschis	---|-|-----|
enlor enfertelesl ais sa	-|--|------|--|-⌫---⌫-|
et es crestiens setorna	-|-|--------|-|----|
de nosenfertezn o ssana	-|--|-------|-⌫-⌫|---|
no spechiez enlac ro i s porta	--⌫|------|-|-|-⌫--⌫-⌫|----|
dauidnos nom m ez z	----|--|---⌫-⌫|-⌫|
autreoise l	----|----⌫|
p ellicanusmultper estbel	-⌫--------|---|--|--|--|
a sesoi seauz norriz	|--|--⌫----|-----|
tantquil poe n tissirde s niz	-----|-|---⌫-⌫|----|--⌫|--|
etqu ilseseuentpor chaci er	-|-|-|-|-----|---⌫-----⌫-|
es eiuzlor	-|---|--|
uon t bechie r	---⌫|------⌫|
uu elentdes	--⌫----|--|
testestraire	-----|-----|
etqu antciluoientlorc o ntrair e	-|--⌫--|--|-----|--|-⌫-⌫------⌫|
mauzquelor f il lor font	---|--|--|-⌫-|--|---|
sachie zquegrant d olor enont	------⌫|--|----|-⌫---|-|--|
dec e q ues iles	-|-⌫|-⌫-|-⌫|--|
con tral ient	---⌫----⌫---|
sesbechent tantqu illes occ ient	|-|------|-----|-|--|---⌫---|
muer e ntadolo r	----⌫-⌫-||----⌫|
quantceuient d iluec	----|-|----||----|
li pere s sebeche	-|----⌫|-|----|
sai nierse faitagrant plan te	---⌫---|-|---||----|----⌫-|
ses anfanzar ose delsanc	--|-----|--⌫--|--|---|
queiltraitde so ndest re	--|-|----|-|--⌫|----⌫-|
sunt resuscité	---|---------|
li pucine ttuit resané	-|----|-⌫|---|------|
ensiuie nent	---|---⌫---|
de mortauie	-|---||--|
c ed istenuneprophecie	-⌫|-⌫--|-|--|--------|
mesfizexaucai	--|--|------|
montdespit	|--|-----|
ih esucristquant	--⌫--|----|----|
nosn est ions	--||---⌫---|
nosfit etuoustque	--|--|-|----|--|
encontre cenosl e f erimes	-------|-|--|-⌫|-⌫-----|
quantlacreatur e	----|-|-------⌫|
etlaisa mesl e creator	-|-----⌫--|-⌫|------|
sis eso rpristnostreseignor	-|-⌫|--⌫-----|-----|------|
po rnospechiezen	--⌫|--|------|-|
crois pener	----|----|
etledest recostelt roer	-|-|----⌫-|-----|-⌫---|
li sanzqui	-|---|--|
d en ospechieztoznos	-⌫|-⌫-|------|--|--|
desperdr iznosd is t	--|-----⌫-|--|-⌫--⌫|
iheremi es	-------⌫-|
enunedesespropheci es	-|--|-|--|--------⌫-|
ses uesamble	--|--|----|
siensle s asemble	----|--⌫|------|
sesco u ueescl oit	|-|--⌫-⌫-|----⌫--|
sienslescheuist	----|--|------|
etlorsque il	-|------|-|
poentuoler	----|----|
etlor mereoientc han ter	-|--|---|----|-⌫---⌫--|
iceleperdriz quilespost	----|------|--|--|---|
celi guerpissentquXXX	---|----------|-|--|
coua pe rc o i norrisunt	---|--⌫|-⌫-⌫|----|---|
alorprop reme res en uont	|--|----⌫-|--⌫-||-|---|
