s eig nors preueire	-⌫---⌫---|-------|
soceitalanaturequ eele	-----||-|-----|--⌫|--|
seit couerteequeeleseit	---|------||--|--|---|
pogu eet sostenueate nd om	----⌫|-|-------|---⌫--⌫-|
aus bensdaucelconquerrequar	--|---|--|--|--------|---|
den osaur om ensemble	-|-⌫-|---⌫-|-------|
ioiedau cel e	---|--|--||
uiedura bleobles	--|----⌫--|-|--|
bonseu rez	------⌫--|
euangile qui futdiomaine nos	-------|--|--|-------|--|
mostrano stresiredex	-----|--⌫---|---|--|
la gr an thautescemon se i gnorsai nt	-|--⌫--⌫|-------|--|--⌫-⌫---|---⌫-|
i ohan bapt ist e laou	-⌫---|----⌫---⌫|-|-|
il fustsihau zquei l	-|---|-|---⌫|--|-⌫|
esteit plusq ueprophetes	-----|---|-⌫-|--------|
eenleuangi le dui nosrecontela	|-||------⌫-||-|--|------|-|
g rant humilite	-⌫---|-------|
quequant ilesteit si hauzhomque	--|----|-|-----|-|---|--|--|
lompoeit cuid erparla	--|----|----⌫-|--|-|
terr equeil fus t	----⌫|--|-|---⌫|
lisauuer es	-|------⌫-|
uot pasdire que il	--|--|---|--|-|
fustquant lom lideman da	---|----|--|-|-----⌫-|
des distbenedistqueil	---⌫---|--||---|--|-|
nouesteitpas quar si cum	|-|-----|--|---|-|--|
reconte l isainz euan gilesde	------|-⌫|----|----⌫----|-|
liiueenu eie rentlormessagesde	-|--|---⌫---⌫---|--|-------|-|
ierusa lemamon	------⌫--||--|
saintioh anond esert	----|---⌫-|-|-⌫----|
pordemande rqui	--|-------⌫|--|
ilesteite illor	-|-----||-|--|
regeist queilnesteitpasli	------|--|-||-----|--|-|
s auuere ssi ildeissistqueil	-⌫------⌫|-|-|-------|--|-|
ou fustbenen f ustcreguz	-|---|--|-|-⌫--|-----|
aueitenluide	----|-|--|-|
sainte tem asi l seuot mais	------⌫-|-⌫-|-⌫|-|--|---|
humil ierdesoz	-----⌫--|----|
nostre s eignor	-----|-⌫-----|
essaucerbones	-------|----|
g enz pernom	-⌫--|-----|
essam pl edaubona ur e saintiohansinos	-----⌫--⌫|--|----⌫--⌫|----|----|-|--|
fesom bi en	----|--⌫-|
nedesprezompaspo r	-|--------|--|--⌫|
ceules autr es	--|--|----⌫-|
ma s humiliomnos	--⌫|-------|--|
meism e se ntotesc hoses	-----⌫-⌫|-⌫|----|-⌫----|
dauant dep or	-----|-|-⌫-|
i l n os e ssau c e	-⌫|-⌫-|-⌫----⌫-⌫|
augran t b esoigoromano stre	-|----⌫|-⌫----|---||--⌫---|
seignor preomli	------|----|-|
nosdoint ioi ousemente leementla	--|----|---⌫-------||------|-|
fest e delasainte	----⌫|-|-|-----|
natiuitenostreseigno rquep orla	-------|-----|------⌫|--|-⌫-|-|
fairequ ibiendeit	----|--⌫|---|---|
est refaite	---⌫-|----|
delanaissanceaurei	-|-|--------|-|--|
dausreis au se ignorda us	---|---|-|--⌫----|--⌫-|
s e ignorsepar bo ne sou res	-⌫-⌫-----||--|--⌫--⌫|--⌫--|
e parbon e	|--|---⌫|
u iedemenerpuissom	-⌫-|------|------|
pa ruenira la gloiredauc eau	--⌫-----||-|-----|--|-⌫--|
e st tantgra nz	-⌫-|---|---⌫-|
e sa intequ	|--⌫---|-|
detantg rant di gnete	-|---|-⌫---|--⌫----|
pre str es pu etchantery y	---⌫---⌫-|--⌫-|------|-⌫|
messesc eu q ue	-----|-⌫-|-⌫-|
mais faireanenguni orparnengu n	---|----||-----|-⌫-|--|-----⌫|
besoig l apremeremesse	-----|-⌫|------|----|
q uiestchanteeamienuitn os	-⌫-|--|------||------|-⌫-|
signefie lasegonde	-------|-|------|
qui deitestrecha nteeend reitl	--|---|----|---⌫---|---⌫---||
aube dauiorquan tli	---|--|--|----⌫|-|
iorsnaistnossignefie	---|----|--|-------|
nouelelei quimotfut tendre	-----|--|--|--|--|-----|
aentendrelaterce quide it	|-------|-|----|--|--⌫-|
e strech a ntee amidi	-⌫---|--⌫-⌫---||---|
sig nefiela gracedausa int	---⌫----|-|----|--|--⌫--|
q uiences t	-⌫-|-|---⌫|
noueautempsfutdoneee	-----|----|--|----||
tramise aus	------|--|
apostres qu i	-------|--⌫|
nostreancessoredenosissi	-----|-------||-|--|---|
deuomfairela feste	----|----|-|----|
eloseruiseoirenterinem e ntles	|-|------|--|---------⌫-⌫-|--|
matine s elesm esses e	------⌫||--|-⌫----||
degaster l anuitquiest saintee	-------|-⌫|---|--|--|-----||
dignementa	--------||
honordedee aprofi tde	----|-|-|||-----⌫|-|
no s fas omhui la fested e la	--⌫|---⌫-|--|-|----|-⌫|-|
dedicationdecestesai n te	---------|-|----|---⌫-⌫-|
i cestes aintema ison enque	-⌫----|-⌫----|--⌫---|-|--|
souentpor f aire noz oreiso nse por	-----|--|-⌫---|--|------⌫-||--|
faireloseruiseno stre seignor	----|-|------|--⌫---|------|
costum eestqu ant lo mfait	------⌫|--|--⌫--|--⌫|---|
icestef estequelom	-----|-⌫---|--|--|
geteforsi celeschos esquii	---|---|-⌫----|----⌫-|--||
sunt desc o u enables	---|----⌫-⌫-⌫------|
eque ne reuenentsi eles isu nt	|--|-|-------|-|---||--⌫-|
bien l igleseapressi lencortine	---||-----|----|-||--------|
lom e lenbelist	--|||-------|
si lomadeq ueieadonc	-|--||-|-⌫--||----|
c ouenab les ad e	-⌫------⌫--||-⌫|
nostre sei gnortotcest appareillement	-----|---⌫---|--|---|-------------|
q ue geuos aidit	-⌫-|-|--|-|--|
uo ssa uezq uelomifait e	--⌫|--⌫--|-⌫-|--||---||
lomid eitfair ecorporaumen t	--||-⌫--|----⌫|-----------⌫|
aig l es e quies tfaitepar m aind	|--⌫-⌫--⌫|--|--⌫|----|--|-⌫--||
omequantlomueut	--|----|--|---|
faire festesideuez fairee nuos	----|----|-|----|----|-⌫|--|
me ismes espiri t aument	--⌫----|------⌫-⌫-----|
si uosuol e zpla zeradenostre	-|--|---⌫-⌫|---⌫--||-|-----|
seignor quarsicum	------|---|-|--|
ditlasainteescrip tureuos	--|-|-----|------⌫---|--|
estestemples	----|------|
ueaute ueaut	----||----|
a ueirsonestag e	-⌫---|--|-----⌫|
enuosfaite s	-|--|-----⌫|
donquesneptelo temple e	------|----|-|-----||
damerede qui	-------|--|
enchotiralo	--------|-|
templedec e	-----|-|-⌫|
escripturedex lo	---------|--|-|
destruirasi uosueezzzh om mequ i	--------|-|--|---|-|-⌫--⌫-|--⌫|
preisistla fors	-------|-|---|
uneordurela plus ordequi i	--|-----|-|---|---|--||
il i poireit	-||------|
trouere uosueiez quilla p o rtast	-----||--|----|-|-|-|-⌫-⌫----|
gi t a st enceste	--⌫-⌫-⌫-|-|----|
iglesequi estfaitedeperepar	-----|--|--|----|-|---|--|
main d ommeeuos u eissez	---||---||--|-⌫-----|
e n enc h o tisteordeast l	-⌫|---⌫-⌫-⌫---||------||
auteretotel igl ese	----||---||---⌫--|
uosdiriez edreit	--|-----||----|
au riezque i l	--⌫---|--|-⌫|
aurei t grantp e c he	-----⌫|----|-⌫-⌫-⌫-|
e sicilqui	|-|--|--|
offe rreiteorder ei t	----⌫----||-----⌫--⌫|
cest eig lesequ i	----⌫|--⌫---|--⌫|
estdepeir e e	--|-|----⌫||
faitede mai nd	----|-|---⌫||
fereitsidure mentgr ant	-----|-|----⌫---|--⌫--|
pecheq uau	----|-⌫--|
pec he cui dez uosdonqu es	---⌫-|---⌫--|--|-----⌫-|
quecilfa cequi	--|--|--⌫-|--|
ordei eiceu tem ple qued exmeism es	-----⌫|---|---⌫--|--|-⌫-|-----⌫-|
ordeie son cors es	-----|--|---|||
armedep ec h e	---|-|-⌫--⌫-⌫|
donquesbo nesgen z d esque	------|--⌫--|---⌫|-⌫----|
laueze esmo ndez	----||----⌫---|
uosmeismesdorduree	--|------||-----||
depe ch esiuosuole zfairefe ste	-|--⌫--⌫|-|--|----⌫|----|--⌫--|
qu isei t au plaisir de	--⌫|---⌫|-|------|-|
g ite z f orsde uosme ismes l	-⌫---⌫|-⌫--|-|--|--⌫----||
ordured epeche	-----|-⌫|----|
parrepentan ceparconfessio npar	--|--------⌫-|--|---------⌫|--|
pe nitanceeiceu queu os	--⌫------||---|--|-⌫-|
auezfait oudit ou pensé c ontr ed e	---|---|-|--|-|-----|-⌫----⌫|-⌫|
e siuosne l faites	|-|--|-||-----|
la ma ison dene	-|--⌫---|-|-|
serapas neptene	---|--|----|-|
curedest r een uosa nceis uos	---||---⌫-⌫|-|--|-⌫----|--|
d estrui ra e	-⌫------⌫-||
dampnerapor	-------|--|
sama ison q ueuosaure zordeiesiuos	-|--⌫---|-⌫-|--|----⌫|-----|-|--|
faitesnep te	-----|---⌫-|
meismesdonquesserez uostemp les	------|------|----|--|----⌫--|
d ameredeedexaura	-⌫------||--|---|
s o nestageenuossiuosuolez	-⌫-⌫|-----|-|--|-|--|----|
bie nfaire	---⌫|----|
socei tpasle mallaissersi	-----⌫|--|-|--|------|-|
faitapresloben	---|----|-|--|
ou ditlescripture	-|--||---------|
cum lomencortina liglese	--|--|--------||-----|
epare ap resceuqueleest	|---|--⌫--|--|-|--|--|
ne pte eissi	--⌫---⌫|---|
faire l ob en apres	----|-⌫|-⌫-|----|
cequantnos auom	-|----|--|---|
fait lo mau	---|-|--|
encortinomd onques nos	---------|-⌫-----|--|
enbelissom	---------|
alonorded epordeamerpor amer	||---|-|-⌫|--|-|---|--|---|
nostrep rosme	-----|-⌫----|
p orbienfairep arb en d irepo r	-⌫-|---|----|-⌫-|-⌫-|-⌫--|--⌫|
saint eig lese	-----⌫|--⌫---|
por oirlos e ruisedepo r lu ipreer	--|--|-|-⌫-⌫----|-|--⌫|--⌫|----|
donerau mos nes p or	----|--⌫---⌫--|-⌫-|
a r berg er pouresporuestirle s nuz	-⌫-⌫----⌫-|-----|--|-----|--⌫|--|
totes autr esbones	----|----⌫-|----|
totesautres	----|-----|
bones uertuz	----|-----|
a doncsiuo samera dex	-⌫---|-|--⌫|----|--|
uos sontemp leesonesta g e	--|--|----⌫-||--|----⌫-⌫|
e i s siserom sai ntebonen	|-⌫-⌫-|----|---⌫-||--|-|
ceste uieeenser om	----|--||-|---⌫-|
la u tr e boneureob les	|-⌫-⌫--⌫|------|-|--|
bonesgenz nosfeso mhuila feste	----|---|--|----⌫|--|-|----|
de la sainte	-|-|-----|
trin iteda u	----⌫--|--⌫|
p er eedau fileda usaint	-⌫--⌫||--|--||--⌫|----|
esperitqu i	------|--⌫|
suntunsdextottemps	---|--|--|--|----|
po issanz e d urabl e s	--⌫-----||-⌫-----⌫-⌫|
unsdexqu i	--|--|--⌫|
fist l oce lelat erre	---|-⌫|--⌫||-|-⌫---|
l es a ngr esle s homme s lo solail el a	-⌫-|-⌫---⌫-|--⌫|-----⌫|-|-----||-⌫|
lu ne lesest ei les	--⌫-|--|---⌫--⌫--|
lespeissonslesoiseausles b es tes	--|-------|--|------|--|-⌫--⌫--|
arbresleshe rbes	-----|--|--⌫---|
etot es les autres	|---⌫-|--|-----|
qua ntilot	---⌫-|-|-|
tote scezchoses	----⌫|--|-----|
faitespuisfist homme as image	-----|---|---|----|||----|
sas enblanc e	-|-⌫-------⌫|
nosdeuomcr e i re	--|----|--⌫-⌫-⌫-|
ueraisdexequ eilest	-----|--||--⌫|-|--|
puissanzepardurables esi	-------||----------||-|
de uomancore crei reque dex	--⌫--|-----|----⌫-|--|--|
lofil e oblosaint	-|--||-|-|----|
fi st locel e laterre	--⌫-|-|--||-|----|
etotes ch o sesdenient eq ueli	|----|--⌫-⌫--|-|----||-⌫-|-|
deprist chare sanc	-|----|---||---|
enlauirgemarieeq ueil s offr it	-|-|----|----||-⌫-|-|-⌫----⌫-|
passion era imsit h o mme	------||--⌫----|-⌫-⌫--|
da uspei nesdenfe rs ideuom ancore	--⌫-|---⌫--||----⌫|-⌫|----|-----|
crei re queli sainz	----⌫-|--|-|----|
e sperizoblepe re e o b l e files t	-⌫-----|-|-|--⌫-||-⌫|-⌫|--|--⌫|
aoreze glorifiez	----||--------|
on cel een later r e apresla creance	-|--||-|-|---⌫-⌫|----|-|------|
au o m enl ui	--⌫-⌫|-|-⌫-|
sili deuom	-|-|----|
serui re lode uom	-----⌫||-|--⌫--|
amer sortoteschoses quar il	---|--|----|-----|---|-|
nos donaarmee corsesen	--|---|---||---||--|
i l n osdone	-⌫|-⌫-|---|
santetan tcumlui	----|---⌫|--|--|
ma in ue nttot	--⌫-|--⌫-|--|
nostre bien sil nos	-----|----⌫|-|--|
raimsit dau s	------|---⌫|
peines denfere n os done	-----||----||-⌫-|---|
sag racequenospo omconqu e rre sa	-|-⌫---|--|--|--⌫-|-----⌫-⌫--|-|
gloireque nos perdismes	-----|--|--|--------|
parn ostre premerainp eree nos	--|-⌫----|--------|-⌫--||--|
pr omet que	--⌫---|--|
noslauromsi	--||----|-|
nos lauolomd ese ruirepor ceulo	--|-|----|-⌫---⌫---||--|--|-|
sort otes chosesenostrep ros mesi	--|-⌫---|-----||-----|-⌫---⌫-|-|
cum nosmeism es	--|--|-----⌫-|
orepre omlasainte	--|---⌫-|-|-----|
trinitel o pere	------|-⌫|---|
e lofilelo	|-|--||-|
saint esperit	----|------|
queil no sd o inthair	--|-|--⌫|-⌫-⌫--|---|
luxureetot esi celes	-----||---⌫-|-⌫----|
queilhetequelideables	--|-|--||--|-|------|
ilnosreg art	-|--|---⌫--|
d au s oilz	-⌫--⌫|---|
de samisericordedau soilzde	-|-|----------|---⌫|---|-|
sapiet e d ece au s	-|----⌫|-⌫|--⌫--⌫|
oil z do n tilregarda marie magdaleine	---⌫|--⌫-⌫|-|------|----|---------|
quantel e p lora	----|--⌫|-⌫---|
p eze nosdoi nten	-⌫-||--|---⌫-|-|
sacr eance	-|--⌫----|
samoreen son	|---||-|--|
seruiseissi	------|---|
n ospui ss om a sag loire	-⌫-|---⌫--⌫-||-|-⌫----|
seignorsedames huiestli	-------||----|--|--|-|
premers iorsde l	------|---|-||
estapp elez anzrenoeusaice stior	--|---⌫---|--|------||---⌫-|--|
sole n tlimaluai s	----⌫-⌫|-|------⌫|
cres t ien segont	----⌫-⌫--|-----|
lacos tumeda up ais	-|---⌫---|--⌫|-⌫--|
fairelormez inese	----|--|---⌫---||
sorceriesso lent	--------|--⌫---|
esper imenterles auent ures qui	-----⌫------|--|-----⌫---|--|
auenirhui sol ententendreles	|----|--|---⌫--|-------|--|
m aluai sesgenzausmal uais e ngins	-⌫-----⌫--|---|--|---⌫---|-⌫----|
fairee me ttre	----||--⌫---|
lor cre anceen	--|---⌫---|-|
estren es e	------⌫-||
diseient q uenul ne	-------|-⌫-|--|-|
sereitr iches	-----|-⌫----|
esteit hui estren ez	-----|--|------⌫-|
m asnosdeuomlaisser icelescho ses	-⌫-|--|----|------|-----|---⌫--|
qui aparte nen t	--|------⌫---⌫|
afolieeamescre an c e	|----|||------⌫--⌫-⌫|
efair e iceles	|----⌫|-----|
obres quiapartene nt	----|--|--------⌫-|
alau iedurableconquerre	|-|-⌫-|------|--------|
trouom onsaint euangile	-----|-|----|-------|
d uiquenostre	|-|--|-----|
siredamerede xporce u	---|--------⌫|--|--⌫|
quei lp arsei	--|-⌫|-⌫-|--|
meismesuotg arderlaleiq ue ilauait	------|--|-⌫----|-|--|-⌫-|-|----|
don ee quei l	---⌫-|--|-⌫|
aloi c tenior	||--⌫-⌫--|--|
de sanaissa nce	-|-|------⌫--|
esthu iuote stre cir cu mcis	--|--⌫|--|-⌫---|---⌫--⌫---|
motnoses tg r anz sign efiancela	--|--|--⌫|-⌫-⌫--|----⌫------|-|
soecircumcisions	--|------------|
qua rsegont	---⌫|-----|
lacost u me	-|----⌫-⌫-|
de laleilifuttr enchee	-|-|--|-|--|--⌫-----|
oste ela pelete	----⌫|-|-----|
sanaturee asemblance	-|-----|||--------|
delui deuom	-|--|----|
nos trenchere oster	--|-------||----|
denost ote	-|--|-⌫--|
mane re de pechesi	----⌫-|-|----|-|
est lux urecoueitise	--|---⌫--|--------|
prester a usureach aterb le contreble	------||----|---⌫---|-⌫-|-----|--|
uendreaterme	-----||----|
lairo ncinsrob e rieglotonieiu resc e	-----⌫----|---⌫-⌫--|-------|--⌫----⌫|
t richerie menconge	-⌫-------|-------|
haineetotema nered epe cheor	----||---|--⌫---|-⌫|--⌫--|-|
es ga rdezen uos mei smes	--⌫--⌫---|-|--|---⌫---|
sauer si u os auezd e seurédeuos	----|-|-⌫-|---|-⌫-⌫-----|-|--|
eesloignépar la	|--------|--|-|
repentancede uoz	---------|-|--|
corage s iceleschoses	------⌫|-----|-----|
desplaisent	----------|
tr en chere	--⌫--⌫---||
os ter d e	--⌫--|-⌫|
nosnonmie soleme nt	--|--|--|------⌫-|
d eforsnozmenbr es masdedenznoz	-⌫----|--|-----⌫-|--|-----|--|
co rages esi	--⌫----||-|
i s sisiseromci r cumcis espiritaumen t	-⌫-⌫-|-|----|--⌫-⌫-----|------------⌫|
si c umilfutc ircumcis	-|-⌫-|-|--|-⌫-------|
co rpora umente	--⌫-----⌫----||
issisero mre n ouele ́en	---|----⌫|--⌫-⌫-----⌫|-|
cest anreno ueauporla	---|-|----⌫---|--|-|
et denoza rmespa rque	-|-|--|-⌫---|--⌫|--|
dex renou el esesfilz	--|-----⌫--⌫|--|---|
esesfillescuiilapor ueuza	|--|-----|--|-||---⌫---||
a u eir lasaludes agloire	-⌫-⌫--|-|---|-|-⌫|-----|
s ei gnorsorauezoilasignefiede	-⌫--⌫----|-|---|-|-|-------|-|
la circum cisi on	-|------⌫----⌫-|
no strese ignorquenosde uomoster	--⌫---|--⌫----|--|--|--⌫--|----|
denoz coragestotemanere	-|--|------|---|-----|
oresgarde z en uos	-|-------⌫|-|--|
m eisme ssiuos auez	-⌫-----⌫|-|--|---|
d eseuréde uos e	-⌫------|-|--||
esloignép ar	--------|-⌫-|
repentancedeuozcora ges	---------|-|--|----⌫--|
icel eschosesquiade de splaisent	----⌫-|-----|--||-|--⌫--------|
u ee z queuos	-⌫--⌫|--|--|
a iezb enfaitiu sq uecioreen ices t	-⌫--|-⌫-|---|--⌫--⌫-|-|--|-|----⌫|
an renoueauenl en or	-|-------|-||--⌫-|
delacircumcisionn ostr eseigno r	-|-|-----------|-⌫----⌫|------⌫|
trenchez eostez	-------||----|
deuosmeismeslesuil eschose s ce	-|--|------|--|---⌫-|-----⌫|-|
sunt li peche	---|-|----|
e porfairebones	|--|----|----|
oures e por sainteuie	----||--|-----|--|
demeneruosrenouelez	------|--|--------|
q ueuos puissez	-⌫-|--|------|
estredigned	----|----||
auerla soesainte gloire	---|-|--|-----|-----|
nost rouom ensaint e	--|-⌫----|-|-----⌫|
escriptureque	---------|--|
sicumnostresires	-|--|-----|----|
ihesu chri z futnez	----|----⌫|--|--|
dem adame sainte	-|-⌫|---|-----|
marieenla cite	----|-|-|---|
de bethleem	-|-------|
esteilequieste i t	------|--|----⌫-⌫|
demost rance desanaiss ance	------⌫----|-|-|-----⌫---|
aparut a yyr e is	-----||-|-⌫-⌫-|
en paenism e	-|-------⌫|
solail le uantecum	-----|--⌫---||--|
uirentsi coneguirent la	-----|-|----------|-|
naiss ancenostreseignor par	-----⌫---|-----|------|--|
si sa sembler entepristrent	-||-⌫-------⌫--||--------|
conseile ns enble e	------|-⌫--⌫----||
distre ntquillireientaorer	------⌫-|-|-||------|----|
illi offrireient or	-|-|----------|-|
e e ncensemi rree	|-⌫----||--⌫--||
quant ileurent	----|-|-----|
appare ille eslor offrendes	------⌫----⌫-|--|--------|
mis tre nta presleste ilequi	---⌫---⌫-|-⌫---||----⌫--|--|
alot a uanteausi usquen	---|-⌫---|---|-⌫---|-|
ie rusalemillue cparleren tense mble	--⌫------|-----⌫|--------⌫|----⌫---|
herod e esi	-----⌫||-|
deman derent	-----⌫-----|
ouesteitlireisdaus	-|-----|-|---|---|
esteit nez	-----|--|
ecumherodes	|--|------|
oit par l erqueili aue it	--|---⌫-⌫-|--|-||---⌫-|
quideueitestre	--|-----|----|
iues sifutm ot	---|-|--|-⌫-|
trob lezetot esa gent	----⌫--||---⌫|-|---|
ob lui q uaril	-|--|-⌫--|-|
que i lpe r distlore gneterr iende	--|-⌫|--⌫-⌫---|-|--⌫--|----⌫--|-|
ierus alemetozsislignage s	-----⌫---||--|--|-------⌫|
adonc si c ommandales cl erssaiuesa	----|-|-⌫------|--|--⌫--|-----||
uenir tozdaua n tluiesi	----|--|----⌫-⌫|--||-|
lordemanda ouicilreisno stre	--|------|-|---|---|--⌫---|
naistreiteil	--------||-|
re spo nderent enbethleemqua rissi	--⌫---⌫------|-|-------|---⌫|---|
auei te stédi t epromis	----⌫|-⌫---|--⌫||-----|
p arlespro p hetes	-⌫-|--|---⌫-⌫----|
ancienement ec um	----------||-⌫-|
herode sotceoi si	------⌫|-|-|-|-|
reisesilordist	---||-|--|---|
siquerez l enfant ecumuo sl	-|-----||-----||--|--⌫||
au reztro uésil aorez	--⌫--|---⌫--|-||----|
ea p resreuenezuosen parmei e	|-⌫-⌫--|------|--|-|--|--||
irai a orer	---|-⌫---|
ceu ned iseit	--|-|-⌫----|
ilpas porceuquei llo	-|--|--|--|--|-⌫|-|
uogui staorer	-----⌫-|----|
maspor ceu	--|--|--|
q ueillouo guit ocires il	-⌫-|-|-|--⌫---|----||-|
lopoguistbailler	-|------|------|
l i reisen al ere nt esiuirent l	-⌫|--||-|--⌫---⌫-||-------||
esteilequia l ot aua nt ea us	------|--|-⌫-⌫-|---⌫-|--⌫-|
iusqu ele uintl a	----|--|---|-⌫|
oulifilzde	-|-|---|-|
esteitiq uise	-----|--⌫-|-|
entrerent enze sitroberent	--------|--||-|--------|
la orire nteobri rent lor tresor lo r	|-⌫-----⌫-||----⌫---|--|-----|--⌫|
cofre ssipr i strent	-----⌫|-|--⌫-⌫-----|
loro ffer endessiliof f rirentor e	--|-⌫----⌫----|-|-|--⌫-⌫-----|-||
encensemirrela	-----||----|-|
nuit apre ssi lorapareguitliang res	---|----⌫|-|--|--------|-|---⌫--|
nostre seignorensonges	-----|------|-|-----|
diste com a ndaqueil ne	---||---⌫-⌫--|--|-|-|
repairessontpas p ar herode	-----------|--|-⌫-|-----|
mes par au tr eueiesenretornissonten	--|--|--⌫--⌫|---||-|-----------|-|
lo rterreeil	--⌫|----||-|
obeier entaso ncomandemen t epa r	------⌫--||--⌫|----------⌫||--⌫|
ueiesenrepairerent	---||-|----------|
en lorpaissei g no r s	-|--|---|---⌫-⌫--⌫-⌫|
gloriousm i racles	-------|-⌫-⌫-----|
e la glorious e demostrancede	|-|--------⌫|----------|-|
na issancenostre	--⌫------|-----|
seig norqueno s	----⌫--|--|--⌫|
reconte lis ainze uangilesdui e	------|-|-⌫---|-⌫-------||-||
u o spoezben	-⌫-⌫|---|--|
parla paroleepa rl umbr ede cest	--|-|-----||--⌫||----⌫|-|---|
sainteuangileque	----|-------|--|
c estef esteest fes tedefair e	-⌫---|-⌫---|--|---⌫-|-|----⌫|
offer ende eque lomdeit	-----⌫---||--|--|---|
huipl us o ffrirad ameredequez z	--|--⌫-|-⌫----||-⌫------|--|-⌫|
i ore iceuno s	-⌫-||---|--⌫|
essa m ple l i yy rei	----⌫-⌫--|-⌫|-|--|
pain ismequiuindr entd eloignes	----⌫---|--|-----⌫--|-⌫|------|
terrespornos t reseigno rreque rre e	-----|--|---⌫-⌫-|------⌫|-----⌫--||
aorereluifaireoffe r ende	----||--|----|----⌫-⌫---|
iceu queiloff rir entorqui	---|--|-|---⌫---⌫--|-|--|
est d onsco uenablesa	--|-⌫--|--⌫-------||
reidemost rerentquil aueientcr eance	--|------⌫-----|-|-|------|--⌫----|
que ilesteit reis	--|-|-----|---|
ueraiseporceuquiloffr irent	-----||--|--|-|-|----⌫----|
e ncens nossi gnef ientqu	-⌫----|--|--⌫----⌫---|-|
ilesteit uerse quel om lesoleit	-|-----|---||--|-⌫-|-|-----|
ancieneme nt o f f riron s	---------⌫-|-⌫-⌫-⌫--|--⌫|
s acrefis esah onordedee poriceuque	-⌫-------⌫-||-⌫---|-|-||--|---|--|
iloffrirentmirre	-|--------|----|
dontlomoint les	---|--|---|--|
cors a us mo rz	---|-⌫-|--⌫-|
quuerm n e le s	-|---|-⌫|--⌫|
maumetentdeuomnose ntendre	--------|----|--|-⌫------|
que i lesteitmortaus	--|-⌫|-----|------|
oroiez q uesign efietliorse	-|---|-⌫-|----⌫----|-|--||
lien cens el e mi rr e	-|--⌫---||-⌫|--⌫--⌫|
offrissomespirit au mentanostre	--------|-------⌫--⌫---||-----|
sei gno rceu que il li	---⌫---⌫|--|--|-|-|
o ffrirentcorp oraum ent orsqui	-⌫-------|----⌫-----⌫--|--|--|
r eluistquiresplen dist	-⌫-----|--|-------⌫---|
daus olailsignefiela	--|-⌫----|-------|-|
b o ne crean c e	-⌫-⌫-|-----⌫-⌫|
quirelu ist	--|----⌫--|
e resplendistoncorage bo n	|----------|-|-----|--⌫|
crestien edel abone	-------||-|-⌫|---|
lio rspar laresplendor enlumine	-|-⌫-|--|-|---------|-------|
labonec rean ce	-|---|-⌫----⌫-|
e nlumineledau	-⌫------|-|--|
b oncr estien ore	-⌫-|--⌫-----|--|
o ff r isso mdonques	-⌫--⌫-⌫----⌫|------|
a dameredecest orque	|-------|---|-|--|
noscreomque	--|----|--|
e l isainz	|-⌫|----|
espe rizsuntuns dex	----⌫--|---|--|--|
poissanze durables	-------||-------|
creomquedexlipereob lefil ob	----|--|--|-|---|-|-|--|-|
lesaintesperitfist	-|----|------|---|
locelela terr ee totes	-|--||-|----⌫||----|
le s choses qui	--⌫|-----|--|
su ntd enient	--⌫-|-⌫|----|
creomque lifilz depristchar	----|--|-|---|-|----|---|
enlauirgi neeque	-|-|-----⌫-||--|
ontemps pilates offritpassion e	-|----|-----|-⌫-----|------||
mort por raimbre homme	---|--|------|----|
daus painesd enfer	---|-----||----|
equeil futmis	|--|-|--|--|
sepulcreeq u ilauterz ior releuade	-------||-⌫|-|-|---|--|-----|-|
mortauieeque	---||--||--|
il montaonceu	-|----|-|--|
destresonpere	-----|--|---|
euendraau i ordel	|-----|-|-⌫-|--|
iuisei ug erles	----|-⌫--⌫-|--|
uise lesmorz	--||--|---|
erendraachascun	|-----||------|
ceuqu il au ra	--|-|-|--⌫-|
creomquelisai nzesperizest	----|--|-|---⌫-|------|--|
ob lepereeob	-|-|---||-|
le f il aorez	-|-⌫-|----|
eglorefiez	|--------|
c r eom losacrementde	-⌫-⌫--|-|--------|-|
sainteigleselosai nt	-----|-----|-|---⌫-|
baptesmelaresurrectiondaus	-------|-|-----------|---|
ior dau i uiseelauie	--|--|-⌫---||-|--|
durable a au eirdurableme ntequi ceste	------||--⌫--|---------⌫-||--|----|
creanc eaen	------⌫||-|
c ilabone crean cee	-⌫-||---|-----⌫-||
o ff ritbonoraden ostre	-⌫--⌫--|--|-||-|-⌫----|
lie n cens signefie boneo ur ee	-|-⌫-⌫---|-------|---|-⌫--⌫||
pri erequar sicum l i	---⌫--|---|-|--|-⌫|
enc ens quantlo m l	---⌫--|----|--⌫||
lencensere	|-------||
mo nte susuersde	--⌫--|--|---|-|
autresi monte	------|----|
s us la boneoure	-⌫-|-|---|---|
labonepreer ea dedaucuerdau	-|---|-----⌫||-|--|---|--|
cres tie n e l afumssignifi et	----⌫---⌫||-⌫|---|-------⌫-|
l amordamere de e	|---|------⌫-||
preerelemirrequi	-----|-|----|--|
e st espiceamereepar	-⌫-|-----|----||--|
de ffent lescor s	--⌫----|--|---⌫|
quide li e sunten oint daus	--|-|--⌫|---|--⌫---|---|
qu e i lne	--⌫|-⌫|-|
ma umettresignefiela	--⌫------|-------|-|
boneourequi	---|---|--|
esta mer e al a	--|-⌫---⌫||-⌫|
maluaist e de	--------⌫|-|
