etmo utgrantnoise demen oient	-|--⌫-|----|----|-----⌫----|
et por ta c ouronn edespine	-|---⌫-|-⌫------⌫||-----|
pour o i rmesses et matines	---|-⌫-⌫|-----|-|------|
etpor ce luidieu a o urer	-|--|--⌫--|---|-⌫-⌫---|
aumoustieraler	-|-------|---|
atant niotplusd e demu ere	----|||-|---|-⌫|----⌫--|
cong iepren tetla	----⌫-|----⌫|-|-|
merepluere	---|-----|
quarsaseleliiert iamise	---|-|---|-|---|-|---|
a la manier eeta l aguise	|-|------⌫|-||-⌫|----|
d egaloisfuap pareilliez	-⌫|-----|-|--⌫---------|
unsriuelins	--|-------|
auoitchauc iez	----|-----⌫--|
etpartoutla ou ilaloit	-|--|---|-|-|-|----|
yyiaueloz po rter	-|------|--⌫---|
troi siaueloz e n uoultporte r	----⌫|------|-⌫|----|-----⌫|
mes y y le nfistsamere	--|-⌫||-⌫|---|-|---|
pour c eque trop semblastgalois	---|-⌫|--|---|-------|-----|
s eustelefet touz	|---|--|--|---|
moutuol ent ierss il peustestre	---|---⌫---⌫---||-|----|----|
u ne roorteensamain destre	-⌫-|-----|-|-|---|-----|
porta poursoncheual ferir	----|---|--|-----|----|
pl orantle	--⌫----|-|
bes eaud e partir	---⌫|-|-⌫-⌫-----|
qui mout chierlauoit	--|---|----||----|
et prie dieuqueil	-|---|---|--|-|
biau filz fetelediextamaint	---|---|--|--|---||-----|
ioie p lus quil	---|-⌫--|-|-|
nemenremaint	-||-|------|
uousdointilo uqueuousuiegn iez	---|----|-|-⌫|--|---|-----⌫--|
dans i ausfuesloi gnie z	----⌫-⌫--|-|-----⌫----⌫|
legiet dune	-|---||--|
p ierr e menue	-⌫----⌫|----|
siser egardeetu it chau e	-|-|-⌫-----|-|-⌫-|----⌫|
sa merea u	-|---|-⌫|
pont arrie re	---|-----⌫-|
gesir lauit	----|-|--|
e ntelmaniere	-⌫|--|------|
co mselefust	--⌫||--|---|
p asmeeou morte	-⌫----|-|----|
le cheual e tfiert sus la crope	-|-----|-⌫|----|--|-|----|
l echeualne chiet n e nechope	-⌫|-----|-|----|-⌫|-|----|
e mporte grantaleure	-⌫-----|----|-----|
parmilagrantforesto bs cu re	----|-|----|-----|-⌫--⌫--⌫-|
la cheuauchatout	-|--------|---|
tantquele iouruin t adeclin	------|-|---|---⌫||-----|
en la forest c elenuitiut	-|-|-----|-⌫--|---|--|
tan tque l esole illa pparu t	---⌫---|-⌫|----⌫--|-⌫-----⌫|
bienmai nauchantde	---|---⌫|-|----|-|
seli e ueetmont eleu a l let	-|--⌫-⌫-|-|----⌫|-|-⌫-⌫-⌫--|
sa acheu auchierentendu	|||----⌫------|------|
tantqueilui tzz	------|-|--⌫|-|
trefte ndu	---|--⌫--|
praeriebel e	------|---⌫|
par delez unefontenele	--|----|--|--------|
letre ffubela grant	-|---⌫|-|--||----|
lu nepart iefuuermeille	|-⌫-|----⌫-|-|--------|
et lautre fudorfroi sbendee	-||----|-||------⌫|-----|
desus otuneaygledoree	----|-|--|----|----|
enla ygle fero it les oleill	-||-⌫---|----⌫-|-|-⌫-----|
quimoute stoit	--|---|-⌫----|
c ler etuermeill	-⌫--|-|-------|
sirelu isoient	-|----⌫------|
tuitlip re	---|-|-⌫-|
de lenlu m inement	-||----⌫-⌫------|
e ntour l etref a lar oond e	-⌫----|-⌫|---||-|-⌫----⌫|
q ui estoit	-⌫-|-----|
l e plus b eldumonde	-⌫|---|-⌫-|-|----|
auoitrameesetfueillie s	----|-----|-|--------⌫|
etlogesgal eschesd recies	-|----|---⌫-----|-⌫-----|
etdistainzque	-|---|------|
il uenistla	-|-----|-|
diexor uoigeuostre m eson	---|-|--|-|-----|-⌫---|
orferaigegr antmespriso n	-|----|-|--⌫--|--------⌫|
se a oure rneuousaloie	-|-⌫----⌫|-|---|----|
uoirdistmamere touteuoie	---|---|-|---|----|---|
qui medi stquemoustierestoit	--|-|--⌫-|--|-------|-----|
bele mes on qui soit	---|---⌫-|--|---|
etmedist qu egene tr ouasse	-|-|---|--⌫|-|-|--⌫-----|
moustier n ul q ueieni	-------|-⌫-|-⌫-|-|||
lec r e atouren	-|-⌫-⌫-⌫----|-|
cu igecroi	--⌫|-|---|
ao ur e retgira ipar f oi	--⌫--⌫-⌫|-||---⌫|--|-⌫-|
proierqu ilmedointa mengier	-----|-|-|-|----||------|
enai mou tgran t	-|-|---⌫|----⌫|
lors u in t	---|-⌫--⌫|
autrefse ltrue ue ouert	-|---|-||----⌫-|----|
e nmi au oit z zlitcouuert	-⌫--|--⌫--|-⌫|--|------|
dune cout e de poileuer t	|--|----⌫|-|----|---⌫|
leualletuitto ut enapert	-|-----|--|--⌫-|-|----|
quellittouteseule gesoi t	-|-|--|----|----|-----⌫|
qui mouttres grant	--|---|---|----|
biauteauoit	-----|----|
mes lo ing estoitsacompa ignie	--|--⌫--|-----|-|-----⌫----|
er e n tles puc ele s	--⌫-⌫-⌫|--|---⌫---⌫|
cueillir des flor etes nouueles	-------|--|----⌫---|-------|
que parletrefio n chieruouloient	--|--|-|---|--⌫-⌫----|--------|
ain ssicom	---⌫--|--|
souloi en t	------⌫--⌫|
quantle ual let	----|-|---⌫--|
eltre f ent ra	-|---⌫|---⌫-|
son ch eual s ifortachopa	--|--⌫---|-⌫|---|-----|
d amois ele loy	-⌫-----⌫--||-|
sisesueillaettre ssailli	-||-------|-|---⌫------|
etliuar lez quinicefu	-|-|---⌫--|--|---|-|
distpuceleg euoussalu	---|-----|-⌫|---|---|
s i co mmamer e lema prist	-⌫|--⌫|-|---⌫|-||-⌫----|
mameremenseigna etdist	-|---||-------|-|---|
que l es puceless aluasse	--|-⌫-|------|-⌫------|
enquel lie uqueie les trouuass e	-|---|---⌫|--|-|--|--------⌫|
lapucele d epaour	-|-----|-⌫|----|
por leualle tquar follisemble	--|-|-----⌫|---|--|-|-----|
tien tpour foleprouuee	----⌫|---|---|------|
dec equeseule l atrouuee	-|-⌫|--|----|||------|
u al letfeteleti en ta uoi e	-⌫--⌫--|--|--|--⌫-|-|---⌫|
fui quemonamine	--|--|--|--|-|
beseraiparmo n chief	------|--|--⌫|----|
fetle ualletquiqu	--|-|-----|----|
il soi tgrief	-|---⌫|----|
quarmamer e	---|-|---⌫|
le men se igna	-||--⌫--⌫---|
ge uoirnetebe se raiia	-|---|-|-|--⌫--⌫--|-|
puc ele que	---⌫--|--|
fuyque monaminetetruisse	--|--|--|--|-|-|------|
quars ilte	---||-|-|
silamist souzlui estendue	-|-|---|---|--|-------|
etcelesest	-|---||--|
moutdesfe ndue	---|-----⌫---|
e t gandi sttant com	-⌫|-----⌫-|---|--|
mesdefensse me s tier	--|-------|--⌫-⌫---|
ele eneu st ounon	--|-|--⌫-|-|--|
yyfoiz dunrandon	-|---||-|-----|
ainssi co mme le conte	-----|--⌫--|-|----|
unaneletensondoituit	-|-----|-|--|---|--|
au ne esmeraudemout clere	|-⌫-|--------|---|----|
enquorfet il me	-----|--|-|-|
dis t m amere	---⌫|-⌫|---|
que nuost re doitl anel pr ei sse	-|-⌫|----⌫-|---||---|--⌫--⌫--|
mesqueriens plusneuousfeisse	-----|----|---|-|---|-----|
anelgelu eullauoir	---|-||-⌫---|----|
monane l naurasiapouruo ir	--|---⌫||----|-|---|--⌫-|
pucelebienles aches	-----|---|-|-⌫----|
sa fo rcedu doi n el m e srach es	||--⌫--|-|--|-⌫|||-⌫-----⌫-|
leua lletparl epoig laprent	-|--⌫---|--|-⌫|---|-|----|
a forcele doiliestent	|----|-|--|-|-----|
anel endoimis	---|-|--|--|
etenso ndoi maine tlamis	-|-|--⌫|--|-----⌫|||--|
et dis t pucelebi ena iez	-|---⌫|-----|--⌫-|-⌫--|
ormeniraigebien	-||-|---|-|---|
et moutmeillorbesieru o usfait	-|---|------|-----|-⌫-⌫-|---|
qu echamb erierequeil	--⌫|-----⌫-----|--|-|
en toutela mesonmam ere	-|----|-|----|-|-⌫--|
quar n auezpas	---||---|--|
labo uch ea mere	-|--⌫---⌫|-⌫---|
etcele p leur ee t d ist	-|---|-⌫----⌫|-⌫|-⌫--|
nemportezpasmonane le t	|-------|--|--|---⌫--⌫|
quargen seroie	---||-|-----|
malba illie	-----⌫----|
et tuen pe rdroiesla	-|-|-|--⌫------|-|
quequ ildemuertgeltepromet	----|-|------|-||-|-----|
lida nsi aus e n	-|--⌫---⌫--|-⌫|
sonc uernemet	--|-⌫--|-|--|
riensn ule de ce	----|-⌫--|-|-|
m esde cequegeune ́ot	-⌫-|-|-|--|-----⌫|-|
m ouroit de fain a malefin	-⌫-----|-|---||---|--|
zzbacel trestou t pl a inde	-|----|-------⌫|--⌫-⌫-|-|
et zzhenap	-|-|----|
dargent selonc	|-----|-----|
ui t desuszz trousseldeionc	--⌫|----|-|-------|-|---|
unet oaille	--|-⌫-----|
blanche et nueue	------|-|----|
souz li eue siytru eue	----⌫--⌫--|-||---⌫--|
y y pastezde cheurel tout fre s	-⌫|-----|-|------|---|---⌫|
ne li ennoiapascemes	-|-|-----|--|-|--|
porlafa inqui formentla ngoisse	--|-|--⌫-|--|------||-⌫------|
undes pa stezdeuantlu i	-|--|--⌫---|-----|--⌫|
etmeni uepargrant talent	-|----⌫-|--|----|-----|
etuerss aelhe napdargent	-|-----⌫|-|--⌫--||-----|
leu in quinestoitmielez	-|-⌫-|--||-----|--|--|
souentetagra nztrez	-----|-||---⌫-|---|
etdis tpucele ces pastez	-|---⌫|-----|--|-----|
neseronthu i par moi gastez	-|-----|--⌫|--|--|-----|
uenez mengierquil	----|------|-|-|
sontm out boen	---|-⌫--|---|
assezaura chescun dusien	----|---|------|-|---|
s ienrema indrazzentier	-⌫|-|----⌫----|-|-----|
etce leploreendem entier	-|--⌫-|----|-----⌫-----|
que illa proie etla semon t	--|-|-|----|-|-|-----⌫|
toutseul nelirespont	---|---|-|-|------|
etcil me niatant comli plot	-|--|--⌫--|---|--|-|---|
et butdu uin tant	-|--|-|--|---|
etsicouurileremenant	-|-|-----|-|-------|
e tprist congiede maintenant	-⌫|----|-----|-|---------|
etc ommandaadieu celui	-|-⌫------||---|----|
quison salup as nabeli	--|--|---|-⌫-||----|
diex uou ss autfetil doceamie	---|---⌫|-⌫--|--|-|---|---|
etpourdieuneuouspois t i lm ie	-|---|---|-|---|----⌫|-⌫|-⌫-|
a n el sege lempor t	-⌫-⌫-|-|-||-----⌫|
quarainzque ge muire	---|------|-|----|
leuousguer redonnerai gi e	-|---|----⌫---------|--⌫|
gemenuoiz auostre c o ngie	-||-|---||-----|-⌫-⌫---|
etcele p le ureet	-|---|-⌫--⌫--|-|
adieu nele commandera	|---|-|-|---------|
quaril licouuendra	---|-|-|--------|
auoirtant deh o nteetd e nnui	----|---|-|-⌫-⌫--|-||-⌫---|
quet an tn e not	--|-⌫--⌫||-⌫|-|
nulechetiue	---|------|
neiamestantcomm ege	-|----|---|----⌫|-|
n e nau rai	|-⌫|--⌫--|
secour snea ie	------⌫|-|-⌫-|
que tu mastraie	--|-||-|----|
ai nssi r emaint	--⌫---|-⌫-----|
celeploran t	---|------⌫|
pui s nala gueresdemorant	---⌫||--|-----|-------|
quesona midu	--|--|-⌫-|-|
bois reuint	---|-----|
delualletqui sauoietint	--|-----|--|-|---|---|
uitles e sclo zet	--|--|-⌫----⌫|-|
ets amie plouranttrouua	-||---|-------|-----|
et d istdamoiseleg ecroi	-|-⌫--|--------|-⌫|---|
acesens eignesque geuoi	|--|---⌫-----|--|-|--|
quec heualier a euc i	--|-⌫-------||-|-⌫|
nona s iregel uous affi	--||-⌫--|-||---|---|
me szzuall etgalois y ot	--⌫|-|----⌫-|-----||-|
uil ainetennuieuse tsot	---⌫--|-|-------|-⌫|--|
uo streuin beu	--⌫---|--|--|
lipl o tetbonl i fu	-|--⌫-⌫|-|--|-⌫|-|
et si meniade	-|-|----|-|
et po r ce belesi	-|--⌫|-|---|-|
sil eust b euetmegié	|-|---|-⌫-|-|-----|
trestoutsile	-------|-|-|
uousissegi e	-------|--⌫|
i lyaplus sire	-⌫|||---|---|
e st enlaqu erele	-⌫-|-|-|--⌫----|
a toluetsi lemporte	|---|-|-||------|
ge uousiss emiex	-|-------⌫|---|
estremo rte	----|--⌫--|
qu ill en eust ainssipor t é	-|-||-|---|-----|---⌫-⌫-|
et uou scel ui desc onforté	-|---⌫|---⌫-|----⌫-------|
e tango is seusen	-⌫|----⌫--⌫---|-|
s onc ourage	-⌫-|-⌫-----|
par foyfetilciotoutrage	--|--|--|-|-|-|------|
etpuisquil lemportes i	-|-----|-||------|-⌫|
mesg ec roiquily ot plus fait	--|-⌫|-⌫--|-|-||-|---|---|
y otnelcel ezia	|-|-||---⌫-|-|
sir efet ele il	---⌫|--|--|-|
besauo iregel uousdibien	---|--⌫--|-||---|-|---|
mesc efu ma laait gre	--|-⌫|-|--⌫----|--|
ancoisuous	-----|---|
sistet siuousplot	---|-|-|---|---|
onquesnulcontredit	-----|--|--------|
fetcil quiialous i eangoisse	--|--|--|------⌫-⌫|-------|
cuidezuousge neuou sc onn oisse	-----|---|-|-|---⌫|-⌫---⌫----|
sif ezcertes bien u ousc onnois	-|-⌫-|-----|---|-⌫--|-⌫-----|
bougresne sil ois	------|-|-|-⌫--|
fausseteneuo ie	-------|-|--⌫-|
entr eeestes e nmaleuoie	----⌫-|----|-⌫|---|---|
chauees t es en malepaine	----|--⌫-⌫-|-|---|----|
quei a ne mengera	--|-⌫|-|------|
uostrecheual nen iertsaigniez	-----|-----|-||---|-------|
tant queieme soi eu e ngiez	----⌫--|-|-|---⌫|-⌫-⌫----|
etia ou ildef errera	-|-|-|-|---⌫-----|
iames referréne	----|-------|-|
m uer tuousir ez a	-⌫---⌫|---|--⌫-||
s ero n t changi é	-⌫---⌫-⌫|------⌫-|
lesdrasdontuouse s tesuestue	--|---|---|---|-⌫-⌫--|-----|
ainzmesuireza pie	---|-|-----||--|
ta ntquelateste en auraipris e	--⌫----|-|----|-|----|----⌫|
ianen aurai	-||-|----|
au treiusti se	--⌫--|-----⌫-|
atantsassistetsimenia	----||-----|-|-|----|
etleua llettant cheuaucha	-|-|--⌫---|---|--------|
char bonieru enant	----⌫-----|-⌫----|
zz asne deuantluimenant	-|---|-----|--|-----|
uil ainfet ilenseigne	---⌫--|--|-|-------|
tuquilasnemainesotoi	-|--||---|-----||--|
la plusdroite uoieakardu ell	-|---|-----|---||-----⌫--|
l er oyartusconnoistreuuell	-⌫|-⌫-|----|---------|----|
ilfetcheualiersceditlen	-|--|---------|-|--|--|
ualletf et ilenice stsen	-----|-⌫-|-|-|---⌫-|--|
asus mer zz	|--|--|-|
chastelassis	------|----|
artusbiau douzamis	----|---|---|---|
liezet ioiantlet roue rras	---|-|-----|-|-⌫----⌫---|
encechaste lse	-|-|------⌫|-|
orm ediras tuiamonuue ll	-|-⌫|----|-|-|--|---⌫-|
leroyaioieetduell	-|--||---|-|----|
gelte dirai	-||-|----|
f e til bien tost	-⌫-⌫|-|---|---|
le royartusa	-|--|----||
to utsonost	--⌫-|--|--|
royryoncombat us	--|---|------⌫-|
desyllesfuuaincus	--|----|-|------|
etdeceleroyartusliez	-|-|-|-|--|----|---|
etdese scompaignonsiriez	-|-|--⌫|----------|----|
quiauchast else departirent	--|-|-----⌫-|-|----------|
laouleurmeillor seiour	-|-|---|------|-----|
nesetconmen til l eurua	-|--|------⌫|-|-⌫--|-|
l e royartus de	-⌫|--|----|-|
liualle z ne pr iseundenier	-|-----⌫|-|--⌫--|-|-----|
les nouueles	--|-------|
auchar bonnie r	-|----⌫------⌫|
for s tan t que enlauil e entra	---⌫|---⌫-⌫--|-|-|---⌫|----|
la ou ce lui li enseigna	-|-|--⌫--|-|-------|
t antque susmeruitzz	-⌫-----|--|--|--|-|
mout bie n	---|---⌫|
seantet fort etbel	----|-|---|-|--|
etuitissir p arm i laporte	-|--|----|-⌫---⌫|-|----|
zzcheuali erar méqu i	-|-------⌫-|--⌫--|--⌫|
u ne coup e dor	-⌫-|----⌫||-|
en s amain	-|-⌫|---|
sa lancete noitetsonfr ain	-|----|--⌫---|-|--|--⌫--|
en sasenestre	-|-|-------|
et lacoup ed ore nladestre	-|-|----⌫||-|-⌫|-|-----|
etses a rmesbien	-|--|-⌫---|---|
qui toutes	--|-----|
uermeillesestoient	---------|-------|
le uallet uit les arm es	-|-----|--|--|---⌫-|
quierent fresches et no u uele s	--|----|-------|-|--⌫-⌫----⌫|
sil i plorent etd ist	-|-⌫|------|-|-⌫--|
cestesdemanderai auroy	-----|---------|-|--|
si lesmedonnebel m en	-|--|-|----|--||-|
dahezai tquiaut resliquiert	----|--⌫|--|---⌫--|-|-----|
atantuers le	----|---|-|
chastel s en	------||-|
quetartl iiert	--|---|-⌫|---|
q uil u iegne	-⌫|-|-⌫----|
tantquepres ducheua lier u int	------|---|-|-----⌫---|-⌫--|
cheualier l eretint	--------|-⌫|-----|
zzpeti t si	-|----⌫|-|
ouiras tu uallet diua	-|---|-|-----|---|
geueull feti lacourtale r	-|----|--|-⌫||----|---⌫|
auroytesarme s de m ander	-|--|--|----⌫|--⌫-⌫----|
ualletfetil tu feras bien	-----|--|-|-|----|---|
or uadont tost e tsi reuien	-|-|---|---|-⌫|-|-----|
ettantdir as aumauuesroy	-|---|---⌫-|-|-----|--|
s e ilneu euttenir	-⌫|-|-|-⌫--|----|
saterreque il lame rende	-|----|--|-|-|-|----|
ou ilmenuoitqu iladefende	-|-||-----|--⌫|-|------|
ue rsmoi quariedi quele	--⌫-|--|---|-|-|-|--|
enseig nestencroie	------⌫--||-|----|
que deuantlui	--|-----|--|
prisore ndroit	---|---⌫-----|
otout leuinqueil beuoit	|---|-|--|--|-|-----|
ceste coupe queg ena port	----|----|--||-|-⌫---|
o rq uiere autrequil irecort	-⌫|-⌫----|----|--|-⌫|-----|
iamotentendu	||--|------|
forsq uala court en	-----⌫||-|----|-|
ouliroisetli cheualier	-|-|---|-|-|--------|
estoientassisau	-------|----|-|
lasale fupar terreaual	-|---|-|--|----|---|
u as letentrea c heua l	-⌫--⌫--|----||-⌫----⌫|
e nlasalequimoutfu le e	-⌫|-|---|--|---|-|--⌫|
etlonguedemarbr epauee	-|-----|-|-----⌫|----|
roya rtusfu assis	--|-⌫---|-|----|
auchi efd unetabl epenssis	-|---⌫-||--|----⌫|------|
et les cheualierssi menioient	-|--|---------|-|--------|
etliuns asautrespar loient	-|-|--|-|-----|---⌫-----|
f orslui quifupens s isetmuz	-⌫--|--|--|-|----⌫-⌫-|-|--|
leualle t est aua ntuenuz	-|-----⌫|--|---⌫-|----|
nesetm iel eq ue lsalut	-|--|-⌫-|-⌫|-⌫--⌫|----|
qua rle roy miene	---⌫|-|--|--|-|
tantquyonetcontrelui uint	-----|----|-----|--|---|
s amain zz co utel tint	-⌫|---|-|--⌫---|---|
moustr e moile	------⌫|--|-|
qu elest l i	--⌫-|--|-⌫|
yonnetquimou tfu courtoi s	-----|--|---⌫|-|-------⌫|
li dist am is ueezlela	-|---|--⌫-|---|-|-|
tantostuerslui ala	------|---|--|--|
selsalua si comilsot	-||----|-|--|-|--|
lirois pen ssaetnedist mot	-|---|---⌫--|-|-|---|--|
etcilautre foizl	-|--|----|---||
pens sa et mot	----⌫-|-|--|
parfoi distleual leta donque s	--|--|---|-|---⌫--|-⌫------⌫|
cer oyne fistcheualieronq ues	-|-⌫-|-|---|--------|---⌫--|
quan tonnenpuetparole	----⌫|-||-|---|-----|
c ommentp orroitch eualierf ere	-⌫-----|-⌫-----|--⌫------|-⌫--|
tantostde r etournersatourne	------|-|-⌫-------||------|
lechiefdesonchaceortourne	-|----|-|--|------|-----|
messipresduroyl otmené	--|-|---|-|--||-|----|
aguisedommepoise né	|----||---|--|--⌫--|
que deuantlerois uslatable	--|-----|-|--|-⌫-|-|----|
a abatu s anz nulef a bl e	|----|-⌫--|---|-⌫-⌫--⌫|
delchiefsonchape lde	--|----|--|-----⌫|-|
leroytourneuersleu allet	-|--|-----|---|-|-⌫----|
sonch iefqueil	--|--⌫--|--|-|
auoi tbessié	----⌫|------|
si atouts onpensse lessié	-||---|-⌫-|-----|------|
et distbiaufrer e bienueigniez	-|---|---|----⌫|---|-------|
ie uous p ri qu a malnetieg niez	-|---|-⌫-|-||--|-|----⌫---|
c e quauostre	-⌫|-||-----|
di re r e spondrene	|-⌫-|-⌫-⌫------|-|
q uarl epire an emyq ue	-⌫--|-⌫|---|--⌫--|-⌫-|
mehetetplusm esma ie	-|--|-|---||----⌫-|
maci mate rre	||-|-|--⌫--|
contredite	---------|
ettantestfol xque toutequite	-|---|--|---⌫|--|----|----|
aur aouu eulleo unon	---⌫|-|-⌫----|-⌫|--|
lecheualieruermei ll	-|--------|------⌫-|
dela forestde	-|-|-----|-|
et l aroynedeuant moi	-|-⌫|----|-----|--|
esto itci uen ue	----⌫-|-|---⌫-|
porconfo rter etpou rueoir	--|-----⌫---|-|---⌫|----|
lescheualiersqui	--|---------|--|
sontbleci ez	---|-----⌫-|
eustguerescourouciez	---|-----|---------|
le cheualie rd equanqui lfist	-|--------⌫|-⌫|-----|-⌫|---|
mesdeua ntm oi	--|----⌫-|-⌫-|
e t ta ntfierementla	-⌫|--⌫-|--------|-|
que suslaroyne uerssa	--|--|-|----|-----|
toutleuin dont ele	---|-|--|---|--|
esto itplai ne	----⌫-|----⌫-|
ciot ledechoseet uilaine	-|-|---|----|-|------|
qua r laroyneenes tentree	---⌫|-|----|-|--⌫|-----|
dire etdemautalent	|--|-|-|--------|
ensa chambre ouele	-|-|------|-|--|
i enecuipa s se diexm	-⌫|-|--|--⌫|-|---||
que eleenpuisse	--|--|-|-----|
e schaperuiue	-⌫------|---|
le ualletne priseunefigue	-|-----|-|----|--|----|
quanq ue leroyliditet conte	-----⌫-|-|--|-|--|-|----|
nedesondu el nedesa	-|-|--|--⌫-|-|-|-|
denuler iens nel e n	-|---|-⌫---|-||-⌫|
fe tes moi cheualierfetc i l	--⌫--|--|--------|--|-⌫-⌫|
quarral er m	---|---⌫-||
cle retriant fu r ent siueill	---⌫|-|----|--⌫-⌫--|-|----|
enzel frontauualle tsauuage	--|-|----|-|-----⌫|------|
tiegneasage	-----||---|
mestrestouzce uls quileueo ient	--|-------|--⌫--|--|-|---⌫---|
pour foletpourb e llet enoie nt	---|--|-|---|-⌫-⌫|-|-⌫-----⌫-|
amisfetli rois de scendez	---|--|-|---|--⌫------|
etuostrechaceorrendez	-|-----|------|-----|
aceualletse lgardera	|-|-----|-||------|
et uostreuolente sera	-|-----|------|---|
fetege n fez adi eu leu e u	---||-⌫|--||--⌫-|-|-⌫-⌫|
e tau ostre pr eu	-⌫||-⌫----|--⌫-|
etliuallezarespondu	-|-|-----||-------|
ianestoient pasdescendu	-||-------|--|-------|
ceulsquegencontraienla	----|--||--------|-|-|
etuousuoulezque ge descende	-|---|-----|--|-|-------|
ia pa rmon chie fnedesc e ndrai	-|--⌫|--|----⌫|-|----⌫-⌫----|
mesf etestostsi m	--|-⌫---|---|-||
ha fetlirois biaxamischiers	-|--|-|---|---|---|-----|
geleferaimoutuolentier s	-|-|----|---|---------⌫|
a uostrepreuet a	|-----|---|-||
foyqu eiedoimon creatour	--|--⌫|-|--|--|-------|
fetleuallet biausirerois	--|-|-----|---|---|---|
cheualierdes	--------|--|
s echeualier u ermeilln esui	-⌫|--------|-⌫------|-⌫|--|
donez moiles	----|--|--|
armescelu i	----|----⌫|
queg encontr ehorsdelap orte	--||-------⌫|---|-|-|-⌫---|
qui uostrecoupe	--|-----|----|
d or emporte	|-|------|
lesene schalqui	-|----⌫----|--|
d ecequilot esté bleciez	-⌫|-|-|-|-|----|------|
lidist am isu o usau ezdroit	-|---|--⌫-|-⌫-⌫-|--⌫-|----|
alezlui t olirorendro it	---|--|-⌫---|-------⌫-|
l e sarmes quar e lessont uo z	-⌫-⌫|----|---|-⌫--|---|--⌫|
nefeistes mie que	-|------|--|--|
quantuouspor ceuenistes c i	----|---|--|-|-------|-⌫|
keux fetleroyadieulaffi	---|--|-|--||---||---|
uolentiersennuy	---------|----|
si neuou schautonquesacuy	-|-|---⌫|----|-----||--|
pourcesecistuallezest	---|-|-|---|-----|--|
a p reudommeesttropu ilain uices	|-⌫-------|--|---|-⌫----|----|
quaril e st	---|-|-⌫-|
esp oir g e ntis hom	---⌫--|-⌫-⌫---|--|
et se c e liuientd apriso n	-|-|-⌫|-|----||------⌫|
quilaitestéa uilainmestre	-|-|--|----||-----|-----|
enco rpuetil pre uzet sageestre	----⌫|---|-|---⌫-|-|---|----|
u ilani eest dau t r ui	-⌫-----⌫|--||--⌫-⌫-⌫-|
etdeprome tresanzdonner	-|-|-----⌫--|---|-----|
preudomnesedoitentremetre	------|-|-|---|---------|
aautriuole nteprometre	|----|----⌫--|-------|
qui ln elipuis tdoner n e ueulle	-|-⌫|-⌫|-|----⌫|----|-⌫|-----|
quelemalgrecelui nacueille	--|-|-----|----||-------|
prometreest s esamis	-------|--|-⌫-|---|
me str e squeilliapromis	--⌫|--⌫-⌫---|-|-||-----|
sibeea l apromesseauoir	-|--||-⌫|-------|----|
sipoe zbien	-|---⌫|---|
quassez uenroitil	-|----|------|-|
miexlessier	---|------|
queferebaier	--|---|----|
qua rquileuoird ire enuodroit	---⌫|--|-|---|-⌫--|-|------|
soimeismes ga bee t	--|------|--⌫-|-⌫|
quifet pro messeet	--|--|---⌫----|-|
deson amisetolt	-|--|--|-|---|
ainssili rois a	-----|-|---||
keuxparl o it	---|----⌫-⌫-|
etleualle tquis	-|-|-----⌫|--||
aunepucele	|--|-----|
be leetgentesi	--⌫-|-|----|-|
ete lelu i et	-|-⌫-|--⌫|-|
etenriantitantli dist	-|-|----|----|-|---|
ual le t setuuisparaage	---⌫--⌫|-|-|--|--|---|
iecui etcroienmon	-|--|-|---|-|--|
q uen trestoutle mondenaura	-⌫|-|-------|-|----||---|
nu l homeneil nisera	--⌫|---|-|-|||---|
nulmeillorcheua lier det oi	--|------|-----⌫---|-|-⌫-|
ainssilepensse etcu it et	-----|-|-----|-|--⌫-|-|
et lapucelen a uoitris	-|-|-----||-⌫---|--|
pa sse ́auoitanzplusde	--⌫---⌫|----|--|---|-|
etcedisteles i en haut	-|-|---|--|-⌫|-|---|
lo iren tetkeuxsaut	|-⌫----⌫|-|---|---|
cu ila paro leenuia mo ult	--⌫|-|----⌫-|----|--⌫--|
si lidonacopsi es toult	-|-|---|--|-|--⌫----|
de la paume	-|-|----|
enla facet e ndre	-|-|---|-⌫-⌫---|
queil la fist pa rterreeste ndre	--|-|-|---|--⌫|----|----⌫---|
quantlapucele ferueot	----|-|-----|----|-|
enson retourt rouazzs ot	-|--|-----|-⌫---|-|-⌫-|
delez zzpile renen stant	----|-|----⌫|-|--⌫----|
sile bout aelfeu ardant	-|-|----⌫|-|--|-----|
delpieparcourouz et parire	--|--|--|------|-|--|--|
pourceq ue	---|-|-⌫-|
lifols soloitdire	-|---|-----|---|
ceste pucelenerira	----|-----|-|---|
iusquatantqu eeleuerra	----|-------⌫|--|----|
celuiquide	----|--|-|
cheu ale ri e	----⌫---⌫--⌫|
a ur atou telaseigneurie	-⌫--⌫|---⌫-|-|---------|
le folcrioitet	-|--|-----|-|
cele pleure	---|-----|
ua lletp lus n idemeure	--⌫---|-⌫--|||------|
ainz sentorne sanz nul	---||-|----|---|--|
apreslec he ualier uermei ll	----|-|-⌫--⌫-----|------⌫-|
yonetquilesdroissentiers	----|--|--|----|-------|
sauoitto uz et moutuolenti ers	-----|--⌫-|-|---|-------⌫--|
aportoitn o uuelesa court	-------|-⌫-⌫-----||----|
toutse ul sanzcomp a ignon	---|--⌫-|---|----⌫-⌫----|
pa r zzuerg ier de le z l asale	--⌫|-|----⌫--|--⌫--⌫|-⌫|---|
