cefu eltans carbre	-|-|-|---||----|
etseuousa ut ant enpriie ́s	-|-|---|-⌫--⌫--|-|-----⌫-|
gardéskeuos	------|-|--|
ne lanui iés	-||----⌫---|
nefaitesr ien quilidesplaise	-|-----|-⌫--|--|-|--------|
depuceleamoutkilebaise	-|-----||---|-|-|----|
selelegesir u os consent	|--|-|----|-⌫-|------|
etse elleplu s n e def fent	-|-|---|---⌫|-⌫|---⌫---|
selai s sierleuol és	-|---⌫-⌫---|-|---⌫--|
etseeleaanielendoi	-|-|--||----|-|--|
caintecainture uau mosni ere	-----|-------||--⌫-----⌫--|
se p aramorupa rproiere	-|-⌫-|---||--⌫|------|
leuosdonebonm ert et	-|--|---|--||--|-|
que uousenpo rtéssonanel	--|---|----⌫----|--|---|
delane lprendreuosdaing ie	-||---⌫|------|--|---|-⌫-|
et de laumosniere congie	-|-||---------|-----|
biausfius encoruosuoeldire el	----|---|----|--|---|---|-|
cemin neenostel	----|-|-|----|
naieslon gementcom paignon	|---|---⌫-----|---⌫------|
queuousnedemandéssonnon	--|---|-|--------|--|--|
leno n saciés	-|--⌫|------|
e tlap er so ne	-⌫|-|-⌫--⌫--⌫-|
que parlenon connois t	--|--|-|--|-------⌫|
biausfius asprodom esparlés	----|---|-|------⌫-|------|
auoec les pr eudomesa lés	----|--|--⌫------|-⌫---|
pre udomne forco nselle mie	---⌫---|-|-----⌫-----|--|
celu i ki tientsa compagnie	----⌫|-|----|-|--------|
so r toutesriens u os uo el	--⌫|-----|----|-⌫-|--⌫-|
que aglises eta	--||-----|-||
alésproierno stres egnor	----|-----|--⌫---|-⌫----|
ke nc estsi ecleuo sdoi nst honor	|-⌫|-⌫--|--⌫---|--⌫|---⌫--|----|
ets iuosdoin st si	-|-⌫|--|----⌫-|-|
kabonef in puissiésuenir	||---|-⌫-|--------|----|
merefai t ilque es te glise	---|---⌫|-|--|--⌫|-⌫----|
fiusuonfetlesacref iss e	---||-|--|-|------⌫---⌫|
celui kiciel et tierefist	----|-|---|-|----|---|
et homesetfe mme si mist	-|----|-|--⌫---⌫||---|
et moustierskee st ce	-|--------|-|-⌫-|-|
c o u estunemaisonssaintism e	-⌫-⌫|--|--|------|--------⌫|
plainsdecorssains	-----|-|---|----|
etdetresors	-|-|------|
sii sacre fionlecors	-||-----⌫-|-|-|---|
ihesucristleprophetesaint	----|----|-|-------|----|
fisenthonte maint	-----|----|----|
etsii fugu giésa	-|-||-|--⌫----||
en la croisetas ouf rir m ort	-|-|----|-||-⌫---⌫--|-⌫--|
homesetporlesfames	----|-|--|--|----|
aloientlesarme s	------|--|----⌫|
quantelles	----|----|
p ar toientde s	-⌫--⌫-----|--⌫|
etil l esengietapuisfors	-|-|-⌫-|-|----|---|---|
alestache liiés	||------|-----|
batusetpuis crucefii és	----|-|---|--------⌫--|
etpor ta couronne despines	-|---⌫-|-------||------|
poroirmess eset	--|--|----⌫-|-|
etpor celsign o ur	-|--|--|----⌫-⌫-|
uous loiouaumostieraler	---|-|--|-|------|---|
donti r ai	---|-⌫-⌫-|
ie mout u olent ie rs	-|---|-⌫-----⌫--⌫-|
et as gliseset as	-|-|-----|-|-|
mo ustiers	--⌫------|
fait li ua lles	---|-|--⌫---|
ensileu ousaiencouant	---|-|-⌫--|-|-|-----|
d on tniotpoi nt	-⌫--⌫|||-|---⌫-|
con g iepren t	---⌫-⌫-|----⌫|
enmeis meleure	-|----⌫-||---|
et sas ielelifuiamis e	-|-|-⌫---|-|-|-|---⌫|
manie re etalagu ise	-----⌫-|-||-|--⌫--|
fuapparelliés	-|-----------|
unsreu elins a uoitespie s	--|---⌫----|-⌫---|-|---⌫|
etpartoutlau il	-|--|---|-||-|
yygauerlos	-|-------|
porter so loit	-----|--⌫---|
se s gauerlos en uo tporter	--⌫|-------|-|--⌫|-----|
maisyylen fist	---|-||-|---|
lamereoster	-|---|----|
porcequetrop	--|-|--|---|
sanlastgalois	------|-----|
sieuste llefet tous	-|---|-⌫--|--|---|
moutuolentiers silpeustestr e	---|---------||-|----|----⌫|
une r oote ensa	--|-⌫---|-|-|
m ain destre	-⌫--|-----|
po rt apor	--⌫--⌫|--|
so n ceualferir	--⌫|----|----|
plorantlebai se aud epar tir	------|-|---⌫-|-|-⌫----⌫--|
l amer equ imoutcie r	-⌫|---⌫|--⌫|---|---⌫|
etpriedieu queillauoi t	-|---|---|--|-||----⌫|
biausfiusfaiteledexuosma i nt	----|---|---|--|--|--|--⌫-⌫-|
i oie plusquilne	-⌫--|---|-|-|-|
uosdoinstil qu equeu osalliés	--|-----|-|--⌫---|-⌫-|------|
quant liua lles fueslongiés	----|-|--⌫---|-|---------|
u nep ieremenue	-⌫-|-⌫---|----|
s i regarde e tuoit	-⌫|------|-⌫|---|
sa merea ucie fdelpont	-|---|-⌫|---⌫|--|---|
etgiutpasmeeente lman iere	-|---|-----|-|--⌫|---⌫---|
con selefust keue mort	--||--|---|---|---|
et ci l feroit delaroo te	-|--⌫|-----|-|-|---⌫-|
soncaceo ur	--|-----⌫-|
par milacrupe	---⌫-|-|----|
e tcil sen uakipas n	-⌫|--||-|-|-|--||
ainslenp or te grantaleure	---||---⌫--⌫-|----|-----|
parmi lagrant foriest os c ure	----|-|----|------|--⌫-⌫--|
etch euauce	-|--⌫-----|
tantquelii orsuintadeclin	------|-|-⌫--|---||-----|
enlaforiest celenuit iut	-|-|------|---|---|--|
tantk elii orsclers apa rut	-----⌫|-|-⌫--|----|---⌫--|
au matinaucantdesoisi aus	-|----|-|---|--|----⌫--|
selieue etmont e lidamsi aus	-|----|-|----⌫|-|-----⌫--|
saau ceua ucie r	||-|----⌫----⌫|
tantkeiluit zz tref tendu	-----|-|--|-|---|----|
en une p raeriebiele	-|--|-⌫-----|----|
leles ourtdunef ont enele	-|-|-⌫---||--|-⌫---⌫----|
litres f u biaus a grant	-|---|-⌫|----||----|
lun epart ie fuuerm elle	|--⌫|----⌫-|-|----⌫---|
aiglefe roitli so la us	----|--⌫---|-|--⌫--⌫-|
estoitcler set uerma u s	-----|----⌫|-|-----⌫-⌫|
sirel uisoienttuitli pre	-|---⌫-------|---|-|--|
delenluminem entdel	-||---------⌫--|--|
entourle tr ef alareond e	-----|-|--⌫-||-|-----⌫|
quiestoitliplusb iaus	--|-----|-|---|-⌫---|
auoitramage s	----|------⌫|
etfuellies	-|-------|
et loges ga less e s drecies	-|----|--⌫----⌫-⌫|------|
li uarles uers let refala	-|-----|---|-|-⌫--|--|
etdis tains q ue il ueni stl a	-|---⌫|----⌫-⌫-|-|----⌫-|-⌫|
h e dex uésci	-⌫|--|---|-|
uostremaison	-----|-----|
i ou mesproison	-⌫-|---------|
se reuisderneuos al oie	-|-------|-|--|--⌫--|
uoirdistma meretoteuoie	---|---|-|---|---|---|
quimed istquem ou stiersestoi t	--|-|-⌫--|--|-⌫--⌫-----|-----⌫|
laplus belechosekis o it	-|---|---|----|-|-⌫-⌫-|
etmedist queiane	-|-|---|--|-|-|
moustiers kaorer nialasse	--------||----|||-----|
lec reatourenquiiecroi	-|-⌫------|-|--|-|---|
ie l ira i proier parmafoi	-||---⌫|-----|--|-|--|
an quiam a ngie r	--⌫--||-⌫-⌫----⌫|
uoirmoutg rantmestier	---|---|-⌫---|------|
puis uintaut ref se	---|---|-|-⌫--|-|
l t rueueouert	|-⌫----|----|
emmile t refzz l it	---|-|-⌫--|-|-⌫-|
d un e kioutedepalieau oit	|--⌫|-----|-|----|--⌫--|
ellit touteseu legis oit	-|--|----|---⌫-|---⌫--|
unedamois ieleendormie	--|------⌫---|-------|
t oute seule	-⌫---|----|
sanscompaignie	---|---------|
ale es ere ntses pucieles	---⌫-|---⌫-|--|-------|
por quellir floretes nouel es	--|------|-------|-----⌫-|
quepa rle trefioncieruoloient	--|--⌫|-|---|------|-------|
ensiconfai re lesoloient	---|--|---⌫-|-|-------|
uall es el tref entra	----⌫-|-|---|----|
sescheuaussiforthani ta	--|------|-|---|----⌫-|
que ladamosele loi	--|-|-------||-|
si sesuellaettre ssali	-||------|-|---⌫----|
et li uall eski ni ces fu	-|-|----⌫-|-|--⌫--|-|
dist puceleie uossalu	---|-----|-|--|---|
sicommamerelem	-|--|-|---|-||
m ensegna etdist	|------|-|---|
q u eles pucieles saluasse	-⌫-⌫|--|-------|-------|
enq uelli uq u eiel es	-|-⌫--|--⌫|-⌫-⌫|-|-⌫-|
lapuc elledepaor tramble	-|---⌫---|-|---|------|
porle ualletki	--|-|-----|-|
fol lisamble	--|-|-----|
sisetintpo rfo le	-|-|---|--⌫|--⌫-|
decequil l aseulet rouee	-|-|-|-|||----|-⌫----|
uallet feteletie ntau oie	-----|--|--|---⌫|-|-⌫--|
fu ike mesamisneteuoie	--⌫|-|--|---|-|-|---|
ainsuosb aise raipar	---|--|-⌫----⌫--|--|
f a it liuarlesqui qu	-⌫-⌫-|-|-----|---⌫-|
carmamere lemensegna	--|-|---|-||------|
i e uoir neteb aiserai ia	-⌫|---|-|-|-⌫------|-|
f ai t lapuciele u quei epuis se	-⌫--⌫|-|------||--|-⌫|----⌫-|
amisnetetruisse	---|-|-|------|
cars il t e trueue	--||-|-⌫|-----|
tu iesmors	-|--|---|
liualles auoitles	-|-----|----|--|
silembr aca mou tn icement	-||----⌫--|---⌫|-⌫------|
carilne l sotfaire	--|-|-||--|----|
sorluitoute estendue	--|--|----|-------|
etce lesestmo utdef fendue	-|--⌫-||--|--⌫-|---⌫-----|
et gandilla kankelepot	-|-------|---|--|--|
m a isdes fens e mestiern i ot	-⌫-⌫-|---⌫----⌫|------|||-|
que liuall ese nu n ra n don	--|-|----⌫-|-⌫|-⌫|--⌫-⌫--|
l e ba isauo sistele u non	-⌫|--⌫--|--⌫---|--||--|
si conlicontesdist	-|--|-|-----|---|
zz aneletensondoit u it	-|-----|-|--|---|-⌫-|
u n esmeraude mo uttr esclere	-⌫|--------|--⌫-|--⌫-|----|
encorfait il m e	----|---|-|-⌫|
dist mamere	---|-|---|
ken u ostredoila ne l	|-|-⌫----|--||-⌫--⌫|
maiq ue plu srien	----⌫-|---⌫|---|
orcalanel iel	-|-||---|-||
monanelnarastu iauoir	--|---||---|-|-|---|
fait lapuciele	---|-|------|
k e iou sa ce	-⌫|--|--⌫-|
saforcedeldoitne	||----|--|---|-|
l m esrag e	||-----⌫|
l iuarletparl e doit	-⌫|-----|--|-⌫|---|
sia l an e lenson	-|||--⌫-⌫|-|--|
etens elsien meisme mi s	-|--|-|---|-----|--⌫|
et distpu cie l e	-|---|--⌫---⌫-⌫|
bi en ai és	--⌫-|--⌫--|
orm enir ai iebienpai és	-||-|--⌫-|-|---|---⌫--|
etmoutmello rba isier uosfet	-|---|-----⌫|--⌫----|--|--|
quecamb ouriereke	--|----⌫------|-|
ma isonma mere	--⌫---|-|---|
c arn auéspasla	-⌫-||----|--|-|
bouceam ere	----|--⌫--|
elepl eureetlidistu allet	--|--⌫---|-|-|---|-⌫----|
n en portepa s monanel et	|--⌫----|--⌫|--|----⌫-|
c arien seroi emaub allie	-⌫-||-|-----⌫|----⌫----|
e ttu enpierdra sesl a	-⌫|-|-|-------⌫--|-⌫|
qu equiltariastie l te promet	--⌫--|-|------|-||-|-----|
li ualles asoncuerne met	-|-----||--|---|-|--|
rie ns nulede q uanqueilot	---⌫-|---|-|-⌫-----|-|-|
maisdec ouqueieu né ot	---|-|-⌫-|--|---⌫--|-|
moroitdefaina ma lefi n	-----|-|---||--⌫-|--⌫|
zzbo uceltrueueplaindeuin	-|--⌫---|-----|----|-|--|
etzz hanapdargent selonc	-|-|----||-----|-----|
etuoi tsorzz torsielde	-|---⌫|--|-|------|-|
unetouaileblanceetnueue	--|------|-----|-|----|
illesouslieuee t	-|-|--------|-⌫|
desostrueue	----|-----|
yypastes frois	-|-----|----|
de keuriusfais	-|------|---|
nelianoie ci s fourfais	-|-|----|--⌫|-------|
por le fainquifor ment langoisse	--|-|---|--|---⌫---||-------|
z zdespastesmai ntenantfroisce	-⌫|--|-----|---⌫------|------|
etmanguepar	-|-----|--|
granttale n t	----|----⌫-⌫|
e tuier seenl eco up e	-⌫|----⌫-|-|-⌫|--⌫--⌫|
kinestoit mielais	-||-----|--|---|
et enboit s ouent agrans	-|-|---|-⌫----||----|
etdis tpucelecistpaste	-|---⌫|-----|---|----|
neseronthuipa r moi us é	-|-----|--|--⌫|--|--⌫-|
u enés mangier ilsont moutbu en	-⌫----|------|-|---|---|--⌫-|
asses ara cascunsdel	----|--|------|--|
se ni remanra	|-⌫||------|
zzenti ers	-|----⌫--|
puci eleendementiers	----⌫--|-----------|
quequeilprieet semont	-----|-|---|-|-----|
c ellezzseulmot n elirespont	-⌫---|-|---|--|-⌫|-|------|
et cilmangata ntc omli	-|--|----|--⌫-|-⌫-|-|
et bu ttantkeassesenot	-|--⌫|-----|----|-|-|
et recouril eremana nt	-|------|-⌫|------⌫-|
etpris tcongi ede	-|----⌫|-----⌫|-|
maintenant	---------|
sico mmandaa dieuceli	-|--⌫-----||---|---|
quilisalus	--|-|----|
pa s nabieli	--⌫||-----|
dexuoussautfaitilbel eamie	--|---|---|---|-|---⌫|---|
maispordieu ne	---|--|---|-|
uospoistilm ie	--|----|-|-⌫-|
deuostre anelqu e i ouemp ort	-|-----|---|--⌫|-⌫-|---⌫--|
carainske i emuiredemort	--|-----|-⌫|----|-|---|
le uosguerredoneraig ie	-|--|------------|-⌫-|
e nuoisauo strecon gie	-⌫|---||--⌫---|---⌫--|
etce lep leure	-|--⌫-|-⌫----|
etd istqueia	-|-⌫--|--|-|
adi eu nele commandera	|--⌫-|-|-|---------|
co nuenraporlui	--⌫-----|--|--|
trauals of frir etgr a nt anui	-----|-⌫--⌫---|-|--⌫-⌫-|---|
que tantnen otnulec aitiue	--|---||-|-|---|-⌫-----|
neiap or lu itantcomil	-|-|-⌫-|--⌫|---|--|-|
nenaurasecours neaie	|-|---|------|-|--|
maissace bie nquill a traie	---|---|---⌫|-|-|||----|
ens ir emes tceleploran t	---⌫|-⌫----⌫|---|------⌫|
alag aires de morant	--|-⌫----|--⌫-----|
s esa mi skidelbosreuint	-⌫-|-⌫--⌫|-|--|--|-----|
delualletkisauoi e	--|-----|-|-|---⌫|
uitle sesclo ssi ligreua	--|--⌫|-----⌫|-|-|----|
etsami e plo ranttro ua	-||---⌫|---⌫---|---⌫-|
et d i s tdamoisiele iou cro i	-|-⌫-⌫-⌫|---------|--|---⌫|
a ces ensagnesqueiouuoi	|--|-------|--|--|--|
quecheualiera eut chi	--|--------||--|--|
ieluousaffi	-||---|---|
maiszzu allet galois iot	---|-|-⌫----|-----||-|
anieuset uilain e tsot	-----|-|-----|-⌫|--|
quia de uostreuinbeu	--||-|-----|--|--|
liplotetb on	-|---|-|-⌫-|
etmangadeuosyypastes	-|----|-|--|-|-----|
etpour coubiele sip l orés	-|---|--|----|-|-⌫-⌫----|
sil eust m an giéet beu	|-|---|-⌫--⌫---|-|--|
tre stoutsileuossisce gu	---⌫----|-|-|-------|-|
il niaplus	-||||---|
sirefa it el e	---|--⌫-|--⌫|
mes aniause st enlequeriel e	--|-----|-⌫-|-|-|-------⌫|
quil matolutet	-|-|||----|-|
si lemporte	-||------|
io uuosissemiusestrem orte	--⌫|------|---|----|-⌫---|
ene ustensiporté	-|-⌫--|---|-----|
esuouscelui d e scon forté	-|---|----|-⌫-⌫----⌫-----|
etangoisseusen soncora ge	-|---------|-|--|----⌫-|
par foi fai tilcioto u trage	--|--|---⌫|-|-|-|-⌫-⌫----|
etdesquillemportesila it	-|----|-||------|-||-⌫-|
mais iequi c quiliotplusfait	---|-|---⌫|-|-||-|---|---|
seplus i otnelcelés	-|---||-|-||-----|
s irefait ele ilme baisa	-⌫--|---|--|-|-|----|
baisa u oireneldi	----|-⌫---|-||-|
maiscefu maleoitgre mien	---|-|-|------|--|---|
ains leuosis	---|-|----|
etsit e plo t	-|-|-⌫|---⌫|
conqu es nul contreditniot	|----⌫-|--|--------|||-|
f a itciu s qui ialousieangoisse	-⌫-⌫-|---⌫|--|-------|-------|
quidie ́s uousque neuos	------⌫-|---|--|-|--|
o ilciertesb ienuosconois	-⌫-|------|-⌫--|--|-----|
nesuisilorgnes ne si loi s	-|--|-|------|-|-|---⌫|
fa useteneuo ie	--⌫----|-|--⌫-|
entreeestesenmaleuo ie	-----|----|-|---|--⌫-|
queia neman gerésd	--|-|-|---⌫-----||
ainsmes uiré satiere pla ine	---|-|-⌫-----⌫||----|---⌫--|
u ostreceua usne nert sa i n iés	-⌫----|----⌫-|-||--|--⌫-⌫-⌫---|
tantkeie m en seraiuengié s	-----|-||-|----|-------⌫|
il des feerra	-|---⌫-----|
i amais refierés	-⌫----|--------|
silmuertuosmesuirésa pie	|-|----|--|-|------||--|
ne iamaisne	-|-----|-|
serontcan gié	-----|---⌫---|
lidrapdontuosestes uestue	-|---|---|--|----|-----|
ai nsmesuire ́sa pie	--⌫-|-|-----⌫-||--|
tantkelatiesteenauraiprise	-----|-|-----|-|----|----|
io uneferai autr ede uise	--⌫|-|----|----⌫|--⌫---|
atantsassis t	----||-----⌫|
e tliuarlestan tceuauca	-⌫|-|-----|---⌫|------|
quiluitzzcarbonie ru enant	-|-|--|-|--------⌫|-⌫----|
zzasnedeuant l uimenant	-|---|-----|-⌫-|-----|
uilain fait ilen sagne mo i	-----|---|-|--⌫----|--⌫|
quilasnemaines	--||---|-----|
deuan ttoi	-----⌫|--|
laplusdro ite uoie a	-|---|---⌫--|---||
li roisartus	-|---|----|
ue i rleuoel	--⌫-⌫|-|---|
i fait cheualiersc e	|---|---------|-⌫|
uarle t fait	-----⌫|---|
il eni cel se n	-|-|-⌫--|--⌫|
castiel sor merassi s	------|--|--|----⌫|
l eroi a rtubiaus	-⌫|--|-⌫--|----|
lieetdole ntitrouueras	--|-|----⌫-||--------|
biau s dousamissetuiua s	----⌫|---|---|-|-||--⌫|
ormed ir astudont	-|-|-⌫--⌫-|-|---|
comentliroisa i oie et duel	-----|-|---||-⌫--|-|---|
te dir aifaitilmouttost	-|---⌫-|---|-|---|---|
l i ro isart uset toutesos t	-⌫|--⌫-|---⌫-|-|----||--⌫|
estli roisartus lies	--|-|---|----|---|
quillait se s	-|--|--|--⌫|
anemisiriés	-----|-----|
quant delca stesedepartirent	----|--|--⌫--|-|----------|
la ulormello rsei o rui rent	-||--|-----⌫|---⌫-⌫|--⌫---|
maisil nes etcoment lor	---|-|-|-⌫-|-----|--|
cou estlid iousqueliroisa	--|--|-|-⌫---|--|-|---||
liua rlesneprisezzden ier	-|--⌫---|-|----|-|---⌫--|
lesnouelesaucar bounier	--|------|-|---⌫------|
forstantq ue	---|-----⌫-|
en la uoieentr a	-|-|---|----⌫|
celepart u illimoustra	---|---||-|-|------|
tantk e i lui t zz castiel	-----⌫|-⌫|--⌫|-|------|
moutbie nseante tfortet	---|---⌫|----|-⌫|---|-|
etuoitissir	-|---|----|
zzcheualie re tuoi tque porte	-|--------⌫|-⌫|---⌫|--|----|
unecoup edor en sa	--|----⌫||-|-|-|
sa lance t enoit	-|----|-⌫----|
et s onfr ain	-|-⌫-|--⌫--|
et son e scuenlasene stre	-|--|-⌫--|-|-|----⌫---|
e tl ac oupe d or enladestre	-⌫|-⌫|-⌫---||-|-|-|-----|
etsesarmesbienli seoient	-|--|----|---|-|------|
qu it oute s	--⌫|-⌫----⌫|
uerme ll esestoient	-----⌫--⌫-|-------|
liuarles ui t lesarmes beles	-|-----|--⌫|--|----|----|
qui fresces furentetnou eles	--|------|-----|-|---⌫---|
si l iploren t etdi stparfoi	-|-⌫|------⌫|-|--⌫-|--|--|
cele sdemander aile	----⌫|--------⌫-|-|
medonebienmene rt	-|---|---||-|-⌫-|
m audehaitaitquiau tresqui e rt	-⌫-|-----|--|--|--⌫---|---⌫-⌫-|
at ant uerslecastiel cort	--⌫--|---|-|------|---|
quetartliest qu il	--|---|-|--|-|-|
uiegneacort	-----||---|
tantquepresdelche u alieruint	------|---|--|---⌫-⌫----|---|
cheualiers leretint	---------|-|-----|
selidemanda	-|-|------|
u ir as tuu ar let diua	|--⌫-|-|-⌫--⌫--|---|
i e uoelfait ilacourt aler	-⌫|---|---|-||----|---|
auroiuosarmes d emander	-|--|--|----|-⌫------|
uarletfait iltuferasbien	-----|---|-|-|----|---|
or uadonttoset si re uien	-|-|---|--|-|-|--⌫---|
ettant dirasle ma uuaisro i	-|---|----|-|--⌫----|--⌫|
quesil n eu i ut	--||-|-⌫|-⌫-⌫-|
tenir de moi	----|-|--|
satierequ eille	-|----|--⌫|-|-|
ou il enuoit	-|-|-----|
kile deffende	-|-|-------|
ace sensagnesl idiroie	|--⌫|-------|-⌫|-----|
bien uoel partoutqueon	---|---|--|---|--|-|
seilautrementn em	-|-|--------|-⌫||
qued eua n t lui	--|-⌫---⌫-⌫|--|
prist orendroit	----|--------|
cest ecoupequ eiou c i	----⌫|----|--⌫|--|-⌫|
or kiereaut rui kil erec ort	-|----|---⌫--|-|-⌫|---⌫--|
iu squala court	--⌫--||-|----|
ou liro iset	-|-|--⌫-|-|
sich eualier	-|--⌫------|
assisau mangier	----|-|------|
la sale fu	-|---|-|
pa rti e reau al	--⌫|--⌫-⌫-|--⌫-|
etli uarle sentreaceual	-|-|-----⌫|----||----|
saleki moutfu lee	---|-|---|-|--|
et longe demarbrepau ee	-|----|-|-----|---⌫-|
li rois artu sestoit	-|---|----⌫|-----|
elcief dune	-|---||--|
tablepens is	----|----⌫-|
i luec licheualiermani o ie nt	-⌫---|-|--------|----⌫-⌫--⌫-|
etliunasautresparlo ien t	-|-|-|-|-----|-----⌫---⌫|
kifupan siset mus	-|-|---⌫--|-|--|
liuar lesestauantu enus	-|---⌫--|--|----|-⌫---|
ne ne setlequelilsalut	-|-|--|-|---|-|----|
q ue l er oinient n econu t	-⌫-|-⌫|-⌫-|----|-⌫|----⌫|
t antcunsserian scontrel u iuint	-⌫---|--|------⌫|-----|-⌫-⌫|---|
qu izzcout iel ensamain tint	--⌫|-|----⌫--|-|-|---|---|
uarletfai t il	-----|---⌫|-|
tu qui cauiens	-|--|-|----|
qu i le coutelen	--⌫|-|-----|-|
tamaintien s	-|---|----⌫|
m ost remoili q ue sest li	-⌫---⌫-|--|-|-⌫--⌫|--|-|
liuarles quimout	-|-----|--|---|
fu cortois	-|------|
lidist am isue éslela	-|---|--⌫-|--⌫--|-|-|
etcil tantost ue rslui a la	-|--|------|--⌫-|--|-⌫-|
selsal uase c omilsot	-||---⌫-|-|-⌫-|-|--|
liroispensaains	-|---|----|---|
ne distmot	-|---|--|
et cil autre ment la raisonne	-|--|-----⌫---||-⌫-------|
etli ro is	-|-|--⌫-|
penseet motnesonne	----|-|--|-|----|
parfoifaitli	--|--|---|-|
uarl es adonques	----⌫-|-------|
cisroisnefistc heualieron qu es	--|---|-|---|-⌫-------|--⌫--⌫-|
quantonn enpuetparoletraire	----|-||-|---|-----|-----|
comentpo roitcheualier	-----|--⌫---|--------|
atant dureto rner s	----|-|----⌫---||
son cacheortorne	--|------|----|
maissi pres delro ila m enét	---|-|---|--|--⌫|||-⌫----|
agu ised om e malsenét	|--⌫--||--⌫|--------|
quedeuantl e roi	--|-----|-⌫|--|
sans nul e fable	---|---⌫|----|
delciefs on capeldebou net	--|---|-⌫-|----|-|---⌫--|
liroistorneuers	-|---|----|---|
sonciefque	--|---|--|
il auoitbaissié	-|----|-------|
sonpense laissié	--|----|-------|
et ditbiausfrere	-|--|----|----|
bienuigniés	---|-------|
etp roiuouscam alnetai gniés	-|-⌫--|---|||-⌫-|-|---⌫-----|
cou que uostresalu	--|--|-----|---|
direresp ondre nep oo ie	|--|----⌫----|-|-⌫--⌫-|
quelipirea nem isq ue i	--|-|---|-⌫---⌫-|-⌫-||
q uiplus mehetdontp lus m esmai	-⌫-|---|-|--|---|-⌫--||----|
ma tiere contredire	-|----|---------|
ens oi ng quetoutequite	-|-⌫--⌫-|--|----|----|
distqu illau ra u	---|-|-||--⌫-||
uo elleunon	--⌫---||--|
liu ermausche ualiers a	-|-⌫-----|---⌫------||
delaf orie stdekinkerlo i	-|-|-⌫----⌫-|-|--------⌫|
et laroinedeuantmoi	-|-|----|-----|--|
estoitchiuenuese oir	-----|--|----|--⌫--|
pourco nforter e t	---|--⌫------|-⌫|
lesch eualiersquisontblecié	--|--⌫-------|--|---|------|
ne meus tga ire scourecié	-||---⌫|--⌫---⌫|--------|
licheualiers d ekank il d ist	-|---------|-⌫|---|-|-⌫--|
maisdeuant moima coupeprist	---|-----|--|-|----|----|
etsifoleme ntlenleua	-|-|------⌫-||-----|
quesourl a roine uiersa	--|---|-⌫|----|-----|
to us li uin sdon teleest oit plaine	--⌫-|-|---⌫|---⌫|--|---⌫--|-----|
ciotoeure laide et uilaine	-|-|----|----|-|------|
que laroineenest en t ree	--|-|----|-|--|--⌫-⌫--|
d edueletdire	-⌫|---|-||--|
ensa cambre ou eles ocit	-|-|-----|-|--||---|
nenequicpass edexmait	-|-|---|--|-⌫|--||--|
queia enpuisse	--|-|-|-----|
escaperuiue	------|---|
liuarlesn epriseune	-|-----|-⌫|----|--|
quanqueliroislid istetconte	------|-|---|-|-⌫--|-|----|
nede son duelne des ahonte	-|-|--|---|-|-|-⌫|----|
neldeluinnelicaloit	--|--|--|-|-|-----|
faite s mo icheualie r	-----⌫|--⌫|--------⌫|
sireroisc araler men uoel	---|---|-⌫-|---||-|---|
cler et riantfurent	---|-|----|-----|
en souciefle ua l letsauu a ge	--⌫|-|---|-|--⌫-⌫--|----⌫-⌫-|
ti entasage	--⌫--||---|
mais tres toutcilkilaestoient	---|----⌫---|--|-|-|-------|
porbiel etp or ge nt le tenoient	--|---|-|-⌫-|--⌫-|-|-------|
amisfaitliroisdescendés	---|---|-|---|---------|
et uo s trec aceourrend é s	-|--⌫-⌫--|-⌫-----|----⌫--⌫|
acel ual l et selgardera	|--|---⌫-⌫-|-||------|
et uostr euolentefera	-|-----⌫|------|---|
certe s a dieuena i fa itueu	-----⌫||---|-|-⌫|--⌫-|--|
a m onouret	||----|-|
auostrepre u	|-----|---⌫|
et li uallesarespondu	-|-|-----||-------|
i a nestoitmie descendu	-⌫||-----|--|-------|
ciusqueie trouaie n la	---|--|-|-----|-⌫|-|
uolésqu eiedesca nde	-----|--⌫|-|-----⌫--|
iapar moncie fnedescen dr ai	-|--|--|---⌫|-|------⌫--⌫-|
maisfaitesto stsimen	---|-----|--⌫-|-||-|
faitliu allesbiauss ire	---|-|-⌫----|----|-⌫--|
ne seraicheuali ersd es	-|----|-------⌫--|-⌫-|
secheualiersue rmausne su i	-|---------|--⌫----|-|--⌫|
do nés moi	--⌫---|--|
les armescelu i	--|----|----⌫|
enco ntr a i deua ntl aporte	----⌫---⌫-⌫|----⌫-|-⌫|----|
quiuost recoupedorenporte	--|----⌫-|----||-|------|
lisenescaus	-|--------|
ki fu bl e cié s	-|-|--⌫-⌫----⌫|
dec e quilots estc oreciés	-|-⌫|-|-|-||--|-⌫-------|
et distamisuosaués dro it	-|---|---|--|----|---⌫-|
ale ́sli to lirore ndroit	---⌫-|-|--⌫--|---⌫-----|
l es armes c ar	-⌫-|----|-⌫-|
elessont uo s	---|---|--⌫|
nefeistesmieq ueso s	-|------|--|-⌫-|--⌫|
quantuouspour	----|---|---|
couuen istesci	--|---⌫----|-|
kex faitliroispor die u merci	--|---|-|---|--|---⌫|----|
tropditesuolenti ers anui	---|----|-------⌫--|---|
c aut o nques	-⌫--|-⌫----|
as preudom	-|------|
est estro plet ices	---⌫-|---⌫|---⌫---|
porcouqueliualles e st	--|--|--|-|-----|-⌫-|
s estil espoir	|--|-|-----|
bien gentiushom	---|------|--|
etseilliuientdaproison	-|-|-|-|----||-------|
quilai te sté a	-|-|--⌫|-⌫---||
uilainmestre	-----|-----|
