par bons emblant	--|--|-⌫------|
silesdo it	-|--|--⌫-|
et atotese uresdelio ur	-||----|-⌫---|--|--⌫-|
soccurreet	-------|-|
aidiersans soior	-----|---|----|
contrechiaus ki l orfontgreua nce	-----|-----|-|-⌫-|---|-----⌫--|
cestd el poi ngla senefiance	|--|-⌫-|---⌫-|-|---------|
etilledoiuent honor er	-|-|-|------|-----⌫-|
etgaangnieret labor er	-|--------|-|-----⌫-|
t antq u ilait cequ	-⌫--|-⌫|-|--|-|-|
i lamestier	-⌫||------|
puisqui l lessertdesonmesti er	-----|-⌫|--|---|-|--|-----⌫-|
ilh le doiu e n tdo leurseruir	--|-|----⌫-⌫-⌫|-|---|-----|
carilhlese itbiende seruir	--|--|-|--⌫-|---|--⌫-----|
acequil h l esfaiten paisuiure	|-|-|--⌫|-⌫-|---|-|---|----|
troparoi entlibondecuiure	---|----⌫--|-|--|-|-----|
kimauaisla iroitcouenir	-|-----|--⌫----|------|
al ap u gni e uoe lueni r	|-⌫|-⌫-⌫---⌫|---⌫|----⌫|
ki abon senefi em ent	-||--|------⌫--⌫--|
cestq u elenu lmaniement	|--|-⌫|--|--⌫|--------|
ned oi t auoirf orsde telhome	-|-⌫--⌫|----|-⌫--|-|--|---|
sacheleloi der ome	----|-|--|-|-⌫--|
defendreconclersparparol e	-------|--|----|--|-----⌫|
etsesan emisen	-|--|--⌫---|-|
ilhlesp uettrouer	--|--|-⌫--|-----|
cepueton enma insliusprouer	-|---|-|-|--⌫--|---|-----|
parleshe usdontlic rois	--|--|--⌫-|---|-|-⌫---|
parla croisestlicroisatraite	--|-|----|--|-|----|------|
keli cheual iers doitdefendre	-|-|------⌫---|---|-------|
ete ncors nos	-|-⌫----|--|
doneaentendre	---||-------|
iusti cecarno pere	-----⌫-|--|-|---|
soffrimort	-----|---|
corsa iustiche	---||-------|
se st d roisque cheu alier s iustiche	|-⌫-|-⌫---|--|----⌫-----⌫|-------|
ses nui sars car	--|---⌫---|--|
le c r ois enporte	-|-⌫-⌫--|-|----|
d ontmauuaistedoitestre morte	-⌫--|--------|---|----|----|
si kem or s enfulipechie s	-|-|-⌫--⌫|-|-|-|------⌫|
dontadansnosotentechiés	---|----|--|-|---------|
parlecommant quil trespassa	--|-|------|-|-|--------|
maisdiexencroisnosrespassa	---|---|-|----|--|-------|
parlech ardontil prituesture	--|-|--⌫-|---|-|---|------|
cesenefie la hodure	-|------|-|-----|
et q u ediraidesdou ztaillans	-|-⌫-⌫|----|--|---⌫|-------|
li u nsdistk as pres et	-|-⌫-|---||--⌫---|-|
soitbachelersdepris aquerre	---|--------|-|---|------|
anemisdieu reque rre	-----|---|-----⌫--|
mortne crieme neai me	---|-|-----|-|--⌫-|
ain s facetantkedeseruie	---⌫|---|-----|-------|
ait lamordieu	--||---|---|
et gr asce amonde	-|--⌫---||----|
ca ntil uoit kel ios	--⌫-|-|---|-|-⌫|-|
eta masse des	-||----|--|
le h yamemis	-|-⌫---|--|
ar m essonestouoir	--⌫-⌫-|--|-------|
il doitlepiedeliure auoir	-|---|-|--|------|----|
k eleur iersenc achantal	-⌫|----⌫---|---⌫-----|-|
ensi doitilh ferir alplain	---|---|--|----|-|----|
des esporonsmenu ement	--|-------|----⌫----|
tantk e cheual siroidement	-----⌫|-----|-|--------|
facecurrekele s	---|----|-|--⌫|
r enscoupe	-⌫--|----|
noisede taborsnedetrou p e	----|-|-----|-|-|----⌫-⌫|
e tde couzcliketi sdespees	-⌫|-|---|-------⌫||-----|
sorcesarm esd u res tempr ees	--|--|---⌫-|-⌫-⌫--|-----⌫--|
etlides irsd ebien ourer	-|-|---⌫--|-⌫|---|----|
li fontha rdimentrecour er	-|---|--⌫------|------⌫-|
etlidon nentcuerde	-|-|---⌫---|---|-|
el rencquant	-|---|----|
passedeuant lui qui lesgarde	----|-----|--|--||------|
un poiporlui c oard e	-|--|--|--|-⌫----⌫|
cortlilyons a l home	---|-|----|||---|
ensibachele rs s esuigeure	---|-------⌫-||--------|
etenorguelheouta z ou caple	-|---------|-|--⌫|-|----|
uchascun sde l espeecaple	|-------⌫|-||----|----|
etfier t d e d arset	-|----⌫|-⌫|-⌫--|-|
degis armes	-|---⌫----|
etkef aitsachar rassembler	-|-|-⌫--|-|---|---------|
asneal as e m ble r	---|||--⌫-⌫-⌫---⌫|
k ilhnecrientcoz	|--|-|-----|--|
trauailh ne paine	-------|-|----|
nef aisporter	-|-⌫--|-----|
n e poi n ture del aguilho n	-⌫|---⌫-⌫---|-||-------⌫|
br asait k eles	--⌫-|--||---|
d emerilhon	|--------|
is nel et pui ngplus dur	--⌫--|-|---⌫-|---|--|
daim antetentel man iere	|---⌫--|-|-|--|---⌫---|
k aim anst ientferet	|---⌫--|-⌫---|--|-|
neco uien t dopoi det achier	-|--⌫----⌫|-|--|---⌫-----|
del bachelercho sequil tiengne	--|-------|---⌫-|-|-|------|
enstoura deslisouui engne	------|-⌫--|-|-----⌫----|
porco i ilhachaint el es pee	--|--⌫|--||------⌫||--⌫--|
cuersdanemisetfoieespe e	----||-----|-|---|----⌫|
et tranchehaub erset hyames	-|------|----⌫--|-|-----|
teste setbrasetpuinset pames	-----⌫|-|---|-|----|-|----|
etespandes ancetce ruele	-|------|-⌫--|-|--⌫----|
enliudoi r	-|--||--⌫|
son de ui ele	--|-|--⌫--|
faitilh anemi sdieu	---|--|-----⌫|---|
et s ans confesse	-|-⌫--|-------|
renc en aclar isse nt	---|-|-----⌫----⌫-|
etque liplus	-|--|-|---|
preu le guenc his se nt	---|-|-----⌫---⌫--⌫-|
et leresongnentplusquefoudre	-|-|---------|---|--|-----|
eniureitde sancet depoudre	-------|-|---|-|-|-----|
lequidenttotsienemi	-|------|--|-|----|
totpartotfaitles r ens	--|-----|---|--|-⌫--|
et desonfittot	-|-------|--|
la uiltorne	-||-|----|
ses anemisb r oieetato rne	--|-----|-⌫-⌫--|-|---⌫--|
asausede sanc destempre e	|----|-|---|---------⌫|
ioinchieenes t	-------|-|--⌫|
en to r liderieretde uan t	--⌫--⌫|-|-----|-|--⌫---⌫|
nia si h ard i ki	|||-|-⌫---⌫|-|
deluide sconfireetabatre	-|--|--⌫-------|-|-----|
poruncop quil do nne ena	--|-|--|-|-|--⌫--|-||
l arec hoit	-⌫|---⌫---|
paiemen t moult riche	-------⌫|----|----|
maisilfait forte to r massiche	---|-|---|----|--⌫|-------|
desonhyameetmur delescut	-|--|----|-|--|-||----|
lanap assans t rauail hues c ut	-|||-⌫-|---|-⌫------⌫|---⌫-⌫-|
f aitflecede periere	-⌫--|----|-|------|
d opoi nget de lespeepirre	-⌫|---⌫-|-|-||----|----|
donts esanemisacrauente	---|-⌫-|-----|--------|
afoleisles adente	------|--|-----|
si k eli plus har dissesmaie	-|-⌫|-|---|---⌫--||-----|
chilad roita	---||-⌫---||
cestcoseuraie	|--|---|----|
delespeeprisechaint ure	-||----|----|------⌫--|
chila droita so loncdr oiture	---||----||--⌫---|--⌫-----|
un taillant	-|-------|
c hilgar deletr esor u aillant	-⌫--|---⌫-|-|--⌫---|-⌫------|
si enp uetadieu co nterendre	-|-|-⌫--||---|--⌫--|-----|
ets ilpuet laut retailhant pre ndre	-||-|---||---⌫-|-------|---⌫---|
iustechier es loyauz	----------⌫-|-----|
iedi q ui les t ad euroiaus	-|-|-⌫|-⌫|--⌫||-⌫-|-----|
etc oment loiausiust echiere	-|-⌫----|-----|----⌫------|
keporauo i r nepor	-|--|---⌫-⌫|-|--|
p ro yer e	-⌫--⌫---⌫|
n eporamourneporhainne	-⌫|--|----|-|--|-----|
po r suer porfrere por	--⌫|---|--|----|--|
pormolhie rporp ere	--|------⌫|--|-⌫--|
neporp au rde mortconpere	-|--|-⌫--⌫|-|---|------|
kilhuueilhe	|--|------|
denullesployer	-|--|--|-----|
l etortne l e droitdesuoyer	-⌫|---|-|-⌫|----|-------|
ains metechascuna sauoie	---|---|------||-|---|
tor t d roit adroitauoie	---⌫|-⌫---||----|----|
lesmauais meteen	--|-----|---|-|
grantd es tre ce	----|-⌫--⌫---⌫-|
le sbonsgardec on	--⌫|---|----||-|
neles ble c e	-|--|---⌫-⌫|
s ara lesp eeto uteen tire	|--||---⌫-|--⌫--|--⌫---|
bien l oze par ueri t edire	---||--|--|----⌫-⌫|---|
enson ditiakes d e	-|--|--|----|-⌫|
k eboniuste cier	-⌫|--|-----⌫---|
font pa isiu	---|--⌫---|
l e siecleet	-⌫|-----|-|
enleuent lordure	-|-----||-----|
nedo nneauenture	-|--⌫--|-------|
kil puistauoi r lesdouztalhans	|-|----|----⌫|--|---|------|
saitluncsiniertpas	|--||--|-||---|--|
mainsualhans	----|------|
ains iertde moultdegens	---|---|-|----|-|---|
deuseil hne st b risiés	--|-|--⌫||-⌫-|-⌫------|
uparpromettre u par d one ir	|--|--------||--|-⌫---⌫-|
onl iuoit abandoneir	-|-⌫|---|---------|
son cue raau oir	--|---⌫||--⌫--|
maintenantco uosdiporuoir	---------|-|--|-|--|---|
iert saius tice de folee	---|-|---⌫---|--⌫----|
ensiconlespee afolee	---|--||----|-----|
uonapetitdefianc e	|-||----|-|-----⌫|
a ila senefiance	-⌫|-|---------|
de lespeelonc monsauoir	-||----|---|--|-----|
d oinst tozprincesa uoir	-⌫----|--|------|-⌫---|
plusor sorl	-----|--||
bi azdi scaril i	--⌫-|--⌫|--|-||
mat ereportoz b iensretra ire	---⌫--|--|--|-⌫---|-----⌫--|
maisie nesenten	---|-|-|---|-|
mon a faire	--|-⌫----|
tantdesen s	---|-|---⌫|
keienpresissen ullement	-||---------|-⌫-------|
mariaa glose r	----||-----⌫|
ca rienesaro ie e xposer	--⌫|-|-|----⌫-|-⌫-----|
trestozle sbiens conili	------|--⌫|----|--|-||
porce u uelhieacomenchier	--|-|-⌫---|-|----------|
sorqui est pr omiereletre	--|--|--|--⌫-----|----|
dema ria si uuelhtotmetre	-|--⌫--|-|----|--|----|
moncu eret monente ndemen t	--|--⌫-|-|--|----⌫------⌫|
t ant quedous e ne fiement	-⌫--|--|--|-⌫-⌫--⌫------|
des lettr es	--|-----⌫-|
d e marie faire	-⌫|----|----|
puiss e teldit	-----⌫|--|--|
qui doiep laire	--|---|-⌫----|
estla lettre	--|-|-----|
promeraine	---------|
ki pas ne mostrechose	-|--|-|-----|----|
ains most remoi ener esse est re	---|----⌫-|---⌫----⌫---|---⌫-|
entre moiet	----|--|-|
l eroicelestr e	-⌫|--|-------⌫|
c ui ieguerr o iesa nsrai son	-⌫-|-|-----⌫-⌫-|--⌫-|---⌫--|
chascu n i orli	------⌫|-⌫-|-|
fai traison	--|------|
car moilitolcqui siens	--|--|-|---|--|----|
estrese tant debieneuuise	----|-|---|-|---|-----|
kelesensmesi s eaoe u re	-|-|---|----⌫-⌫||--⌫-⌫-|
kilhma presté	|--|||------|
naie mais oeuure	---|---|-----|
moncuerar e ch oiure pe ch ies	--|---||-⌫-⌫--⌫----|--⌫--⌫--|
sen estmes c ors fo rm ent b lech iés	|-|--|--|-⌫--|--⌫--⌫--|-⌫----⌫---|
etlar men en	-||--⌫-||-|
estpasdeliure	--|--|------|
pec hieset anemiseniure	---⌫---|-|-----|-----|
si qu ilmo n tfai t	-|-|-||-⌫-⌫|---⌫|
etmefont almal eslai ssier	-|-|---|-|--|-----⌫----|
siuos proi r oineet	-|--|---|-⌫---|-|
keuossoiés	-|--|-----|
moieneresse	----------|
pormoi enuers leroicelestre	--|--|-----|-|--|-------|
car parraison ledeu ei sestr e	--|--|-----|-|---⌫--⌫|----⌫|
nonpa spo rce que ieuosaie	--|--⌫|--⌫|-|--|-|--|--|
seruiedequoiiem	-----|-|---|-||
maispor ce k ledemostr e	---|--|-||-|-------⌫|
deuosnonf aitpromierno mostre	-|--|--|-⌫--|------|-|-----|
une atrois	--||----|
tra istrestozd rois	---⌫-|------|-⌫---|
tenansdesore pa rtostrois	-----|-----|--⌫|--|----|
lepromie r trait uueilc omparer	-|------⌫|----|----|-⌫------|
quiporreparer	--|--|------|
ada msf ist	---⌫-|-⌫--|
soffritencroismortdol ereu se	------|-|----|---|---⌫----⌫-|
limoi ens trais ch astes uosdame	-|---⌫--|----|-|----|--|---|
acuiierence tcors et ame	|--|-|---|-⌫|---|-|--|
litier stra isc e suiie pechieres	-|----⌫|---⌫-|-⌫|--|-|--------|
ki uos tornele dos derriere	-|--|----|-|--|-------|
ne uosne uo filhneregarde	-|--|-|-|---|-|------|
daler amon tormentne	|---||--|------|-|
neianiqu idea	-|-|||--⌫--||
tens uenir	---|----|
ma isuosmede ueis	--⌫-|--|-|--⌫---|
mo ieneas teis	--⌫---|--⌫---|
defendrede s grans tempesteis	-------|--⌫|----|---------|
anemism assaut	-----||-----|
il uuet kei e faceunteil sau t	-|---|-|-⌫|---|-|---|---⌫|
ou brasuiambe	-|---||----|
briser oie	------⌫--|
siquere tornerneporoie	-|--|--⌫-----|-|-----|
s e ieestoiesailhis ius	-⌫|-|-----|------|--|
pechietsenemereleueis	------|-|-|-|-------|
t eni r etuoduz fizde	-⌫---⌫|-|-|--|--|-|
porbondra pmonfautre	--|--|---⌫|--|-----|
porbienf aisuendeismespechies	--|-----⌫--|------|--|------|
ettot l e rolee n	-|--|-⌫|---|-⌫|
depec hiés	-----⌫----|
siqueneisunsn enia	-|--|---|--||-|-|
prie ́suo duc fil	----⌫-|-|--|--|
nelaiseperi rne perdre	-|----|----⌫|-|-----|
moi porcoiilh	--|--|--|--|
laissaaerdre	-----|-----|
soncors azfaus iuisetpendre	--|---|-|---|---|-|-----|
childoitb i ent enseretdefendre	---|---|-⌫-⌫-|-⌫----|-|-------|
ce quil des on saint	-|-|-|-|-⌫-|----|
sancrescoust	---|-------|
car l a chos equia gra nt cous t	--|-⌫|----⌫|--||---⌫-|----⌫|
e stgaangnieeta cquise	-⌫-|-------|-|-⌫-----|
d o itasprement	-⌫-⌫-|--------|
estre requise	----|------|
le uuett oli rparforce	-|---|-⌫---⌫|--|----|
damelian emismenforc e	---|-|--⌫---||------⌫|
quauue c lui menm enra	-|----⌫|--||---⌫---|
m ai s sed euplaist	-⌫--⌫|-|-⌫-|-----|
ian aue nra	-||---⌫--|
damek epo r	---|-⌫|--⌫|
mo i ne plaidiés	--⌫|-|--------|
etka ce stbes oin g nem aidiés	-|||--⌫-|---⌫---⌫|-||------|
k e lanemisne	-⌫||-----|-|
me con fonde	-|---⌫----|
c arquiestletre s econde	-⌫-|--|--|----|-⌫-----|
no nsenefieaie	--⌫|------|--|
contre l assaut	-----||-----|
et l enuaie	-||-----|
del anemi qu i	-||----|--⌫|
tropm encombre	---||-------|
i lmeuoe tp or soleiluendreo mb re	-⌫|-|---⌫|-⌫-|-----|-----|-⌫--⌫-|
etpor cla rteten ebres	-|--|---⌫--|---⌫----|
da me ienem e	--⌫-|-|-|-⌫|
pui sdeffendre	---⌫|--------|
a idiés c arilh mauuele	-⌫-----|-⌫-|--||-----|
il m assautdepensee	-||-----|-|-----|
simaalcuertrait parmi	-|||-|---|----|----|
unqu a rel empenédor guel	-|--⌫-⌫--|------||--⌫---|
siquentor moinu luine	-|-|----|--|--⌫--|-|
ap res me fiertd eco nuoitise	--⌫--|-|----|-⌫|--⌫-------|
un eespeesitaill ans	--⌫|----|-|-----⌫--|
lesp lus haussaill a n s	--|-⌫--|---|-----⌫-⌫-⌫|
de haut e nba s m a	-|---|-⌫|--⌫|||
dame ets i ma souent	---|-|-⌫|||-----|
deglotenieetdeluxure	-|-------|-|-|-----|
cestune es peeet aspreet	|--|--|--⌫--|-|----|-|
k itrenceetrontcantkeleataint	-⌫|-----|-|---|----|--|-----|
e tmonc orsm	-⌫|--|-⌫--||
a ia ataint	|-|-----|
ennoir ki solo ieblansestre	-|---|-|----⌫-|----|----|
et astors demon estre	-|-|---|-|--|----|
ienesaiutenserma uie	-|-|--||-----|-|--|
si m assaut ete ntanteguis e	-||-----|-|-⌫|----|----⌫|
et mam aisons estsiesquise	-|-|-⌫-----|--|-|------|
kenai uitalhea	-||-|------||
unioruiure	-|--|----|
n on auneheureetseieliure	-⌫-||--|----|-|-|-|----|
mo ietmonchast elatel	--⌫|-|--|-----⌫-||--|
ilm o ciracees t l asome	-||-⌫---|-|--⌫|-⌫|---|
et seieremai nsans	-|-|-|-----⌫|---|
morirmes tuet coment qu i lalhe	----||--⌫---|-----|-|-⌫|---|
car de nului	--|-|----|
natens secors	|----|-----|
dame safui a	---||---||
uos lecors	--|-|---|
keuosmaidiés sique deueis	-|--||------|-|--|-----|
etmoiet mesmu r sreleueis	-|--|-|--|--⌫-⌫|-------|
et kassaus nem i	-||-----|-|||
puist greu er	----|----⌫-|
kar distq u ereleuer	--|---|-⌫-⌫|------|
deueistres tousles abatus	-----|----⌫---|--|-----|
par cesuiauos	--|-|--||--|
est esles cueres se	---⌫-||--⌫------⌫-|
etentirementres torresse	-|---------|---⌫-------|
doumeff aitdonteuemesprist	--|----⌫--|---|--|-------|
ca nt a larbre la pume prist	--⌫-|||----|-|---|----|
auoitde ffendu e	----|--⌫------⌫|
paruosliperde etlidamage	--|--|-|----|-|-|-----|
o rai sorce	-⌫|-|--|-|
mesmeire t age	----|---⌫-⌫--|
kibienmefuparuosrendus	-|---|-|-|--|--|-----|
tantdefols d espens de spendus	---|-|---|-⌫-----|--⌫------|
keiel ai reperdu arriere	-|-||-|------|------|
sauofilhne	||-|---|-|
fa itesproyere	--⌫---|------|
detek ai acreue	---||-|-----|
tantkeiela ie	-----|-||-⌫-|
apetispa i emens	|----|--⌫-⌫----|
carse i aloie asiugem ens	--|-||----|-|-----⌫--|
ia m ai suerge n ep iene ro ie	-|-⌫--⌫|----|-⌫|-⌫-|-|--⌫-|
demoniretagetenroie	-|--|------|------|
de s en ten c e o ir	-|-⌫--⌫---⌫-⌫|-⌫-|
ain suoproi	---⌫|-|---|
uierge neteetpure	-----|---|-|---|
k e uous prendeisescutet	-⌫|---|-------|----|-|
tantkei e raiela	-----|-⌫|---|-|
kelianemismatolue	-|-|-----|||----|
tren chan tespeeet enmolue	----⌫----⌫|----|-|------|
mepresteiskeuain cre l epuise	-|-------|-|----⌫--|-⌫|----|
car e ntor moiadess	--|-⌫---|--|---||
etme gaitepormoiso s prendre	-|-|----|--|--|--⌫-⌫------|
tent sa mainpor moiprendre	---|-|---|--|--|------|
et me metforsdeldroitsentier	-|-|--|---|--|----|------|
dameienai sor m oi	---|-||-|--|-⌫-|
orelheolslenguenebo che	-----|--|-----|-|--⌫--|
cuerpietnemai ndametresduce	---|---|-|---⌫|---|---|---|
keni s oief erusa mort	-|||-⌫--|-⌫---||---|
si trescrueuseme ntmamort	-|---|---------⌫-||----|
orsde ns enue nimeis	--|--⌫-|----⌫-----|
ke seiusde mo i nelim eis	-|-|--|-|--⌫|-|---⌫--|
tout ce ueninetcele ordure	---|-|----|-|---|-----|
paineneord u re	----|-|-|-⌫-⌫-|
garis nerespasseis	----|-|---------|
com and eisliq uilsoitlasseis	---⌫---⌫--|-|-⌫|-|---|------|
d emoienchac hi er et malmet tre	-⌫|--|------⌫--⌫-|-|------⌫--|
carkiestla	--|-|--|-|
qua rt elettre	---⌫--⌫|-----|
de uo nonmostrec omandise	-|-|--|-----|-⌫-------|
aueisentoteguise	----|-|---|----|
ensi k enper ri sdoitauoir	---||-----⌫--⌫|---|----|
uosau eisenuo	--|--⌫--|-|-|
main lauoir	---||----|
dontonachate	---|-|-----|
l ongement	|-------|
de cui chilq u i ont longeme nt	-|--|---|-⌫-⌫|--|-------⌫-|
la nguit sun t garrit etsané	--⌫----|---⌫|-----|-|----|
par uossu ntpur g iée tuané	--|--|--⌫-|---⌫-⌫--|-⌫|----|
tout chil quidecueru osre claime nt	---|---|--|-|---|-⌫-|--⌫------⌫-|
dontsontfol	---|---|--|
chil k ine	---|-⌫|-|
uo s aim ent	--⌫|---⌫--|
pormoile di commanderesse	--|--|-|-|------------|
kionques neuos	-|-----|-|--|
ti ngprom e s se	--⌫-|----⌫-⌫-⌫-|
nul e foisuospromesisse	---⌫|---|--|---------|
plusu o sdo i ke ne peuisse	---|-⌫-⌫|--⌫|-|-|------|
payerse materreuendoie	----|-|-|----|------|
si uoprikemerespitez	-|-|--|-|-|-------|
tan tkenuersuoss o ie	---⌫-|-----|--|-⌫-⌫-|
delap ainek	-|-|-⌫---||
ai des eruie	-|---⌫----|
pr es teism oies pass e deu ie	--⌫--⌫---|-⌫-|--⌫----⌫|-|-⌫-|
cest sieclepayer	---|-----|----|
cekeiedoi ken	-|-|-|--||-|
l autretruisse	|----|------|
d epechieneteet	-⌫|-----|---|-|
karlianemisplains dordure	--|-|-----|-----||-----|
afai t que	|---⌫|--|
ie por t emesse ngne	-|---⌫-⌫||----⌫---|
p orcequ i luuetc	-⌫-|-|-|-⌫|---||
on me mehan ge	-|-|-----⌫-|
al ui d itesquil	|-⌫-|-⌫---|-|-|
pardedenssap ri so nuilaine	--|-----|-|-⌫--⌫--⌫|------|
amer chiqui i entre	|---⌫--|--||----|
proye ́sad ontfruit deuou entre	-----⌫-|--⌫--|----|-|-|-⌫----|
etnosaidiés quenosneso mmes	-|--|------|--|--|-|--⌫---|
pris en pechiesen quoiuiuomes	---|-|------|-|---|------|
ainsnospr es teisuieet espasse	---|--|--⌫--⌫---|--|-|------|
porke chas cuns s armerespasse	--|-|----⌫---||---|-------|
de laplaieauie	-|-|----||--|
contrair e	--------⌫|
car pa r raisonledeueisfaire	--|--⌫|-----|-|-----|----|
cor toise debuna ireetf r a nce	---⌫----|------⌫--|-|-⌫-⌫-⌫--|
car nosenfaitdemostrance	--|--|-|---|----------|
ki de uononest uo isderraine	-|-|-|--|--|--⌫-|-------|
por ce se contuirge plaine	--|-|--⌫---|----|-----|
d umiliteetdeconcorde	|------|-|-|-------|
me d eueisuos coper lecord e	-|-⌫----|--|----|-|----⌫|
suis a spre mentloyés	---|-⌫----⌫---|-----|
siuos priquemedeslo yés	-|--|--|--|-|-----⌫---|
etqua m en uisié s lagran t dete	-|-|-⌫-⌫--⌫------⌫|-|----⌫|---|
kei aienu er suod uc fil faite	-||-|---⌫--⌫|-|-⌫-|--|----|
siqu eporle	-|--⌫|--|-|
ma rcprende malhe	--⌫-|-----|----|
planezetl escritetle	-----|-||-----|-|-|
en quoim e sdetessontescrites	-|---|-⌫-⌫|----|---|-------|
s ique iam aisnes oient lites	-⌫|--|---⌫--|-|-⌫----|----|
ca rporpay eraipor monoie	--⌫|--|---⌫-|-|--|-----|
materreentoteord ure noie	-|----|-|---|---⌫--|---|
i ln y c roist	-⌫|||-⌫----|
fo rsherbes sauage s	--⌫-|-----|------⌫|
ch ardo nsortiesioin smarages	--⌫----⌫-|-----|----⌫|------|
tanti aesté eniussier e	---|||----|-|-------⌫|
deuenuebrui er e	------|----⌫--⌫|
sini croistn us biensnirepaire	-|||-----|-⌫-|----|||------|
forssauagine d e p utai re	---|-------|-⌫|-⌫-|--⌫-|
kimoncuerme uuetdeuorer	-|--|---|-|---|------|
ca n tii entrepor	--⌫-⌫|||----|--|
damesiniertialaboree	---|-||---|-|------|
sa ns uoscar si	--⌫-|--|--|-|
estenborree	--|-------|
kentrern ipuet	|-----|||---|
hacenebece	---|-|---|
etsiestsi du reet si	-|-|--|-|--⌫-|-|-|
que onipertquanconi	--|-||---|----|-||
saros ee nestde u osdam e	|----⌫-||--|-|-⌫-|---⌫|
laborageaitrop	-------|-|---|
por ceuientiakesde baisiu	--|-|----|----|-|-----|
au osquesaterrearroseis	|-⌫-|--|-|----|-------|
carsestresn estmierose is	--|--|---||--|--|----⌫-|
nebiausnenesne	-|----|-|--|-|
dou c flairans	---⌫|-------|
ainses t enpech iesrepaira ns	---|--⌫|-|----⌫--|-------⌫-|
k ilefaitflam eret puir	-⌫|-|---|----⌫-|-|---|
damesi mestu etafu ir	---|-||----⌫-|---⌫-|
a uosk auosmeuol hié s traire	|--|||--|-|---⌫----⌫|-----|
tresduce uierged ebunaire	---|---|-----|-⌫|--|---|
