Quel par tque	---|---⌫|--|
Mu ltesteitlarge egrant larute	--⌫-|-----|----||----|-|---|
Quant i loï	----|-⌫|--|
esot lag ueit	|--||--⌫---|
Arthurotdeu antluif ait	-----|-|---⌫--|--|-⌫--|
uitquecumbat re l estuuei tUarierereturnere it	--|--|------⌫-||-------⌫||-----|---------⌫-|
Returnerne	-------|-|
deignotilmie	------|-|--|
Karçosemblereit cuardi eE	--|--|---------|------⌫||
sienemil ate indre ient E gr a nt	-|----||---⌫-----⌫---||--⌫-⌫-|
dama ge lifereient	----⌫-|-|-------|
Karcumbatre	--|-------|
ensembleefuïr	-------||----|
Nepuetlummiebien	-|---||-|--|---|
Ses reissesprinces e	--|---|--|------||
Dunt bi en i ot dous	---|--⌫-||-|---|
c enz u plusEcel squierent	-⌫--||---||---⌫|--|----|
ada elsparle ́	-||--|-----⌫|
Peredistil g enti lseignur	---|---|-|-⌫----⌫|------|
Bonuassalbo n	--|-----|--⌫|
cunquereür	----------|
Fizfu stes asbonsanceisurs	--|--⌫---|-|---|--------|
Kicunquistrentlesgranz enurs	-|-----------|--|----|----|
Pa r els est	--⌫|--|--|
Rome chiefde lmund E ert	---|----|--⌫|---||--|
Romein uiurunt	-----|------|
Cilcunquistrent legrantem pire	--|-----------|-|----|--⌫---|
Hunteestsenno str etensempire	----|--||-|--⌫---⌫|---|-----|
Gentil furenteuus	-----|-----||--|
De uaillantpere	-|-------|---|
uai l lantfil	---⌫-⌫---|--|
Chasc unde uus otuaill antpereElur ua lur	-----⌫-|-|--|-|-----⌫--|---||--|--⌫--|
oien uus pere	-|-|--|---|
Chascunsedeit	------|-|---|
formentpen er	------|---⌫-|
Des unbonpereresembler	-|-⌫-|--|---|--------|
erité sunpe repertEki	-----|--|--⌫-|---||-|
parmaluei stiégu e rpist Çoqu e sispere s	--|------⌫----|--⌫-⌫----|--|--⌫|--|----⌫|
licunqui st	-|------⌫-|
Ionedimieçosaciez	-|-|-|--|--|-----|
Q ueio uustiengeaempeiriez	-⌫-|-|--|-----||--------|
Pru z fu re nteuusestezpruzE	---⌫|--⌫--⌫-||--|----|---||
io uus t iengauaillanz tuz	-|--|-⌫---||-------|--|
Seignursio uei	-------|-|--|
e uus ueez	|--|---|
I osaieuus	-⌫|--||--|
bien lesauez	---|-|----|
Q uelau eienusest toleite	-⌫-|-|-⌫--|--|--|------|
Hostumalotplus dreite	-----|---|---|-----|
Al erne passe rni poüm	--⌫-|-|-----⌫|||----|
Sipar bataillen	-|--|-------||
Nesaiquelrob eürnouelUrobeür ularunce l	-|--|---|---⌫---|----||------||-------⌫|
Nus untdeuantclosela	--|--|-----|----|-|
Pa runt iom en e ruusdeueie	--⌫|--|-|-⌫--⌫-⌫|--|-----|
Ilqu id oentquei ofuïsse	-|--⌫--⌫---|--|-⌫|------|
laterrelurguerpiss e	-|----|--|--------⌫|
Mesi omaloetresturnant	--|-⌫||---|----------|
Purelsfaire	--|--|----|
uenir auant	----|----|
suntenbatu surn us	---|-----|--|-⌫-|
Pr enezuo zarmes ar mez uusSilnus	--⌫---|--⌫|----|--⌫--|--||-|--|
ate ndent sisferrum E sils enfu ient sis	---⌫----|--|-----||--||-|--⌫---|--|
Metu mf reinalur engresté	----⌫|-⌫---||--|--------|
Sid e stru iu m lur poëste ́	-|-⌫-⌫----⌫--⌫|--|-------⌫|
Duncsaillirentas	---|---------|-|
armesprendre	----|------|
Neuoldrent mie	-|-------|--|
plu satendre	---⌫|------|
Lurbatailleu ntaparail lie	--|-------|-⌫-|-------⌫--|
Lurcunreizfaizlur	--|------|---|--|
gentrengie	---|-----|
Mult io treiseducsp a iens	---||-⌫|---||---|-⌫-⌫---|
Entremedléas cristïen s	----------|-|---------⌫|
Rome lur fieusteneient E pur	---|--|----|-------||--|
Rom einsserueient	---⌫---|--------|
Partrenteinesparquarentein es	--|---------|--|----------⌫-|
Par se isanteine s pa r cent eines	--|--⌫---------⌫|--⌫|----⌫----|
Parlegiunsepar m il liers	--|------||--|-⌫--⌫----|
Departirentlurcheu aliers	----------|--|----⌫-----|
piéemaint acheual	---||----||-----|
Les unse l muntlesuns elual	--|--|-⌫|---|--|--|-|--|
tuit rengi é eserré	---|-----⌫-||-----|
Cunt re la ge nt	----⌫-|-|--⌫-|
Arthuralé	-----|---|
unepart de	--|---|-|
Entralag en t r omeine	----|-|-⌫--⌫|-⌫-----|
Del altre parten miluruis	-||----|---|--⌫-|--|--|
Bretun luchamp purp ris	-----|-|----|----⌫--|
DuncoïssiezgrantcorneïzE	---|-------|----|-------||
d egrei lles	-⌫|----⌫---|
grants unei ̈z	----|-⌫----⌫-|
Serreementsüefpassant Sentre uindre ntentrap ri smant	---------|----|------||-----⌫------⌫-|---|--⌫--⌫----|
Multueï ssiezal apr ismier	---|----⌫----|||---⌫-----|
Saetes traireed arzlancierNi poeithum	-----|-----||-⌫--|------|||----|--|
sunoil ourir	--|--|----|
Nesunui airedescuur ir	-|--|--⌫---|-------⌫-|
Saetesuol entcume gresle	-----|---⌫--|---|-----|
T restut en tr ubblel air	-⌫-----|-|--⌫----||--|
Duncuin drent as	---|---⌫----|-|
lancesbris e rE as	-----|----⌫-⌫||-|
escuzfraindre e	----|-------||
Leshanstesdunoentgrant	--|------|------|----|
Bienhalten	---|---|-|
uoloent litru is	------|-|---⌫-|
Enpr ésuindrentalca plei ̈z Easgr anz cops	----⌫--|-------|-|--⌫----⌫-||-|--⌫--|---|
desbranzf urbiz	--|----|-⌫----|
Dunciotestu r	---||-|----⌫|
merueillus	---------|
Unquesneuiplus peril lus	-----|-|-|---|-----⌫--|
Ne pl usmedléneplus	-|--⌫-|-----|-|---|
uoltt os tenotmes	---|-⌫--⌫|-|-|--|
esbaïsn i o t	------|||-⌫|
s iso t c un s ei l lier Lun a	||--⌫|-⌫--⌫-⌫--⌫-⌫---||-||
fer irlaut re desturbe	---⌫-||---⌫-|-------|
Lagrante spessee	-|----|-⌫-----||
lagrantturbe	-|----|----|
Mult uei ̈ssi ez lechamp	---|---⌫----⌫-|-|----|
fremirL u neeschiele la utreenuaïrLuncunrei	-----||-⌫-|-------||-⌫---|------||-|-----|
alaltrehurter	||----|-----|
L esun sf er ir lesunsbut er	-⌫-|--⌫|-⌫--⌫-|--|--|---⌫-|
Lesunsuenir	--|--|----|
lesunstu rner	--|--|--⌫---|
Lesunschaeirles unsest e r	--|--|-----|--|--|---⌫-⌫|
H an ste sbrisierretro is uol er	-⌫--⌫---⌫|------|-----⌫-|---⌫-|
Trair eespeesescuzleuer	-----⌫|-----|----|----|
L esforzles fiebl e scrauen ter	-⌫-|---|--|-----⌫-⌫|------⌫--|
Lesuifsles mu ranzd efuler	--|---|--|--⌫---|-⌫-----|
Rum precenglesrumprepei trals	---⌫--|------|-----|---⌫----|
Selesuo idierfuïrcheuals	----|--⌫----|----|------|
Lungement s entrecumbatirent E lungements entrefer irent	--------||---------------||--------||--------⌫----|
Q ue cilde	-⌫-|--|-|
Bretunsnerecuu rerentNiertmielegier	------|-|-----⌫-----||---|--|-----|
Ki de ueitla uict orieaueir	-|--⌫---|-|----⌫---|----|
De ssiqu e l	--⌫--|--⌫||
eschieleaprisma	-------|------|
Cilu iren tq ue poi	--|-⌫----⌫|-⌫-|--|
cunquere ientEqu e	--------⌫---||--⌫|
Romein bien se teneient	-----|---|-|-------|
P a r ire epardreitma lta lent	-⌫-⌫|--||--|----|--⌫---⌫---|
O dlurcumpa igneestre itement	-⌫|--|-----⌫---|-----⌫------|
Ro mei nssenbatirent	--⌫---⌫-||---------|
L aulag re inurpresseu irent	-⌫||-|-⌫--⌫---|-----|-⌫----|
Bien fiert	---|----|
Bedue rbienfier t	-----⌫|---|----⌫|
Deusquelsbaru n sen c urtarei	---|----|----⌫-⌫|-|-⌫--||--|
Quel senescha l quel	---|--------⌫|---|
buteillie r	---------⌫|
Tantseruen tbiendes branzdacier	---|------⌫|---|--|----||----|
Quel sdousuassals	----⌫|---|------|
sa lquesuesq uissent	|-⌫----|----⌫------|
Multorentf a it e plusfeïss ent	---|----|-⌫-⌫-||---|------⌫--|
Mult uuntl a presse	---|---|-⌫|-----|
derum pan tEmultenu unta grauentant	-----⌫---⌫||---|-|-⌫--|-⌫---------|
Lurg rantcumpai gn e uienta prés	--|-⌫---|------⌫--⌫|----|-⌫----|
Ki multsargueefiert	-|---||----||----|
M aintcopi	-⌫---|--||
otpr ise duné	-|--⌫-||----|
Mai nthumeocis	---⌫-|---|---|
emaintnafré	|----|-----|
Bedue rsenbat enlapresse	-----⌫||----|-|-|-----|
Kinereposenenecesse	-|-|-----|-|-|----|
D elaltrep art	-⌫||----|-⌫--|
Keynerefine	--|-|-----|
Maintenaba tmainten s uu ine	----|-|---⌫|----|-|-⌫--⌫--|
Si alq u estost se reten issentE a	-|---⌫-⌫-|---|-|-----⌫-----|||
serestre insiss e nt	-|------⌫------⌫-⌫-|
B r etunlesparsie w issen t E lialt r ecunreiuenissent	-⌫-⌫---|--|------⌫-⌫-----⌫||-|---⌫-⌫|-----|--------|
Gra ntpri segrantpruie üssent	---⌫-|---⌫||----|--||-⌫------|
Edemurirguarissefus sen t	|-|----|-----|-|---⌫---⌫|
Mesilf u renttroptalentifE de	--|-|-⌫-⌫---|---|-------||-|
ferir auant braidif	----|----|------|
Nes e so rentmi eesparnier	-|-⌫|--⌫---|--⌫|--------|
Labata ill euoldr entp ercier	-|----⌫---⌫|-----⌫--|-⌫-----|
Enlur gran zbuntez	-|--|----⌫|-----|
sefioentEes granz genzqu e ilmenoen t	-|-----||-|----|---|--⌫|-|------⌫|
Me s une eschieleunte ncuntree	--⌫|--|-------|--|-⌫-------|
Que lireisd e	--|-|---|-⌫|
Boccusot nunpaens	-----|-|--|----|
Mult est eitpruz grant	---|---⌫--|---|----|
gent aueit	---|----|
Licuntesun t	-|----|---⌫|
ac elsmedlé N unt mielurgr an t gent	|-⌫--|-----||--|--|--|--⌫--⌫|---|
dutéÇofud bataillebienferue	----|--|--|-------|---|----|
bie nmaintenue	---⌫|--------|
Entrep aense	----|-⌫---||
Estrueis e	-------||
Boc cusun glayuetint	---⌫--|-|-----|---|
Mala itsiscorsquantil iuint	--|-⌫-|--|---|----|-||---|
Lesdous cun tes ad	--|---|---⌫--|-|
de scunfiz E	--⌫------||
Bedue rferiel piz	-----⌫|---|-|--|
De l alance parmi	-|-⌫|----|----|
Lifistpass er lefer	-|---|----⌫-|-|--|
Bed uerchiet	---⌫--|----|
li cuersl i partL almesen u ait	-|----|-⌫|---||---||-|-⌫--|
Iesus la guart	----|-|----|
Key adtroué	--|-|-----|
Beduer m ort	-----|-⌫--|
Ental e nt adque	-|---⌫-⌫-|-|--|
aueitchier e multl amot	----|----||---||---|
Odt ant degentcumëil	-|-⌫--|-|---|----|-|
Fi s tcesde	--⌫-⌫|--|-|
Mede dep artir	---|---⌫----|
lurfis t guerpir	--|---⌫|------|
Mesaltargier	--|-|------|
ea l atendre	|||------|
fista lcors	---|-⌫|---|
Beduerpren dre Sestlireis	-----|----⌫--||--|-|---|
Libieapresme z	----|-------⌫|
Sertorotnunmultfudpreisiez	-----|-|--|---|--|-------|
Grantturbeaueitdegentpaene	----|----|----|-|---|----|
Quilotdes ater rede meine	-|-|-|-|-⌫|---⌫-|--⌫----|
Keynafrémortelmen t	--|-----|---------⌫|
Eoc isuntm ultde	|--⌫-|--|-⌫--|-|
M ultluntnafré	-⌫--||--|-----|
multl unt feru	---||--|---|
Mesil adbie nlucorste nu	--|-|-|---⌫|-|---|--⌫-|
Deseshumeslerema n antLaloen te nturdefe ndant	-|--|----|-|----⌫-⌫--||-----⌫|-⌫---|----⌫----|
Portélun tal orindragun	-----||--⌫|||---|-----|
uolsisse n tcilde	--------⌫-⌫|--|-|
Hyrelgasfudn iés	-------|--|-⌫---|
Ki mults oleit sununcle amer	-|---|-⌫----|--|----|---|
Desesamisdes es parenz	-|--|---|-|-⌫-|-----|
P ristciltantq uileno ttre is cenz	-⌫---|--|---|-⌫|-|-|-⌫|---⌫-|---|
Od heal mesodh a lber csodbranz	-|----⌫--|-|-⌫-⌫----⌫-|-|----|
Sur bonscheuals	--|---|------|
forzec uranz	---||-⌫----|
Ce lsas e mbla enuncunrei	--⌫-|--⌫-⌫---|-|-|-----|
Puislur addi t	---|--|-|--⌫|
uenezod mei	----|-|--|
uncle uoi l uengier	----|---⌫|------|
Duncpr ist	---|--⌫--|
Rome insaa p r ismier	----⌫--||-⌫-⌫-⌫-----|
Medeades pié	---|-|--⌫---|
Algum fanun l a den terci é	-|---⌫----||-⌫|--⌫-----⌫-|
S urcelcunrei	-⌫-|--|-----|
ala ferant Lenseigne	--|-----||-------|
Arthursuuentcriant	-----|-----|-----|
Cu m h ume	--⌫|-⌫--|
kiestforse nez	-|--|-----⌫--|
Kine pue testreamesurez	-|-|---⌫|----|-------|
Necrient hume nerien	-|-----|---|-|---|
quil t ro is se	-|-|-⌫--⌫--⌫-|
uncleueng ier puisse	----|----⌫--|-----|
Sicu mpai gnunodluisesleissent	-|--⌫----⌫---|-|--||---------|
Les escuzprisles lances beissent	--|----|---|--|-----|-------|
Multenocien teenuersent	---|-|-----⌫||--------|
Par desusl es	--|----|-⌫-|
chaeiztra ue rsent	-----|---⌫--⌫----|
Enleschielea l	-||-------|-⌫|
rei se s unt m is	--|-|-⌫--|-⌫-|
Beduer aueitocis	-----|----|---|
uert u desbons ch eualsE	----⌫|--|---|--⌫----||
des bons uassals	--|---|------|
Dest reesenes tre uu ntturnant	----⌫-||-----⌫--|--⌫-|------|
Hyr elgaslesuaitmenant	---⌫----|--|---|-----|
Desqualgumfanunnecesse rentUil	--|-|-|-------|-|-----⌫---||-|
Boccus t rouerent	-----|-⌫-------|
Hyrelgaslotb ienauisé	-------||-|-⌫--|-----|
Sun cheual a duers lui turné	--|-----|-⌫|---|--|-----|
Parm ilapresse	----⌫|-|-----|
auant senpeinst	----||-------|
Ensumluch ief	-|--|-|--⌫--|
Bo ccus ateinst	--⌫---|------|
Forzfudli bers licops fudg ra nz E li	---|--|-|---|-|---|--|-⌫--⌫-||-|
b ranzfuddurs	-⌫---|--|---|
etr enchanz	|--⌫------|
Li healmesfendi	-|------|----|
Laco iffedelhal be r c fals a	-|--⌫---|--|---⌫--⌫-⌫|----⌫|
Ge s quases palle sletre n cha	--⌫-⌫-|-|--⌫-----⌫|-|---⌫-⌫--|
a lm een a laE	-⌫--⌫|-|-⌫-||
H yrelgaslebraztendi	-⌫------|-|---|----|
r eti ntquilnechaï	-⌫---⌫-|-|-|-|----|
Deuant seiletraist entrauers	-----|--|-|-----|-|------|
Sursun cheual let int	--|--|-----|-|-⌫--|
Deuantsei entrauer s	-----|--|-|------⌫|
lu tr aist	-|--⌫---|
U nccil necriane sebraist	-⌫-|--|-|---|-|-|-----|
Licheualiersfud aïrus	-|---------|--|-----|
El icheuals fudu i gurus	|-⌫|------|--|-⌫-⌫----|
E ntresagent set raist a r i er e	-⌫---|-|---|-|-⌫----|-⌫-⌫-⌫--⌫|
Que pa ien n e	--|--⌫--|-⌫|
Ro mein nelfie re	--⌫---|--|---⌫-|
Lapressedepart ederumpt	-|-----|-----||------|
Sicumpai gnunueieli funt	-|------⌫---|---|-|---|
Iustesununcle la d porté	----|--|----||-⌫|-----|
Tutladpa r piecesdecolpe ́	--||-|--⌫|-----|-------⌫|
Puis ad ditases c umpaignuns	---|-|--||--|-⌫---------|
uenezdis til fiz a baruns	----|---⌫|-|--||-----|
Alum oc ireces	---|--⌫--|--|
Cesp alteniersfiza puteins	--|-⌫--------|--||------|
La ge ntkie n	-|--⌫-|-|-⌫|
Deunad cr eance	--||-|--⌫----|
Deunenadfiance	--|--|-|-----|
Unt a mené e ncest pai ̈s	--|-⌫----|-⌫|---|---⌫-|
Pur nusocireenoz	--|--|----||--|
Alumociumlespaens Eensementles cristï ens	---|----|--|----||-------|--|-------⌫--|
Kia spaen ssesun t iu ste ́	-|-⌫|----⌫|-|---⌫|--⌫---⌫|
Purdestruirec r istïente ́	--|--------|-⌫-⌫---------⌫|
u enezasaier uozuer tuz	-⌫---|-----|--|---⌫--|
uuselchamp reuenu z	--|-|----|------⌫|
Duncoïs sieznoi ses	---|----⌫---|---⌫--|
ecriz Eueïssiezgrant c apleïz	|---||--------|----|-⌫------|
Healmes ebranzestencelerEdesacierslef uu oler	------||----|---------||--|-----|-|-⌫|-⌫---|
L ibonsducsde	-⌫|---|---|-|
GuitartNalot miecu mecuar t	------||---|--|--⌫-|----⌫|
Endreitsei bienl e ch am pmaint int	------|--|---|-⌫|--⌫--⌫|-----⌫--|
Cunt relu rei	----⌫-|-|--|
Alfri ke uint	-----⌫-|---|
Liunslal tre	-|--||--⌫--|
formentferi	------|---|
M eslireisd	-⌫-|-|---||
Alfri ke chaïEli cuens	-----⌫-|----||-|----|
s enp as saauant	|-|-⌫--⌫-|----|
Alfri canse	-----⌫---||
Morsociant	---|-----|
Hol d inquier tducdes	---⌫-⌫-|--|--⌫|--|--|
Brugeetenei t	----||-----⌫|
Tu rnaencuntre lacumpaigne	--⌫--|-------|-|--------|
Alifatinun reid	-------|-|--||
Tantse suntentrec umb atuE tant se suntentr eferu	---|-|---|------⌫---⌫--||---|-|---|----⌫----|
Queo c isfud	--|-⌫-⌫-|--|
Alifatin Eoc is fudlicue ns	-------||--⌫-|--|-|---⌫-|
Ly gier ki ert cuens	--⌫---|-|--|----|
direkimielzferi	---|-|----|---|
Mes chascundelsl	--|------||--||
autre abati	----|----|
Morz fud licuensmorz fu l irei s	---|--|-|----|---|-|-⌫|---⌫|
A ltrescuntesi	-⌫----|-----||
otmorz tr ei s	-|---|--⌫--⌫|
Cha sc u ndes treismeneit	---⌫--⌫-⌫|--|----|-----|
grant gent	----|---|
Urgentesteitde	-----|-----|-|
Balluc cuensde	-----|----|-|
Wiltesir e	--------⌫|
Cestr ecuensesteit	-----⌫|----|-----|
Gualesmarchiseit	-----|---------|
Cistfurent ocis	---|-----|---|
enpoidu reDambesparz se	-|--||-⌫-||----|---|-|
cur urentsurre	---⌫----|----|
Lesge nzquecil	--|--⌫-|--|--|
mener deuei entE kil ur gumfanunssieweient	----|-----⌫--||-|-⌫-|--------|--------|
uindrent a	-------||
lesc hie lerusant	|---⌫---⌫-|-----|
Wa lweinalot c unduia ntE	--⌫----|---|-⌫------⌫-||
Hoelodluisiscumpainz	---|-|--|--|-------|
uass aln efurent ainz	----⌫-|-⌫|-----|---|
Unkese lsiecletre spasséNorent te ls dous b aruns	----|-⌫|-----|---⌫------||----|--⌫-|---|-⌫----|
Debunténed e	-|-----|-|-⌫|
c urteisie	-⌫-------|
Nedepr isde che ualerie	-|-|--⌫-|-|---⌫------|
Bretainela menur	-------|-|----|
Ho ellurs eig nu r	--⌫-|--|-⌫---⌫--⌫|
Lalur c umpaigneesteit tant fiereEhardie	-|--|-⌫-------|-----|---|----||-----|
de telmaniere	-|--|------|
P ressene tu rbene d utoe nt	-⌫----|-|--⌫--|-|-⌫----⌫-|
aloent tut perçoent	-----|--|--------|
ainzl urhumesc ha çoent E aturbes	---|-⌫-|----|-⌫--⌫-----|||-----|
lesgrauentoent	--|----------|
Firent sempresles dos t urner Emain tenfire nt	-----|------|--|--|-⌫----||----⌫|-|----⌫-|
gra nzc opsqu e ildunoentE od	---⌫-|-⌫--|--⌫|-|------||-|
lag entque	-|-⌫--|--|
il menoent	-|------|
uindrent dissialgumfa nun	-------|----|-|-----⌫--|
egled o r en sum	---||-⌫|-|--|
Latrouerentlempereür Ed es unbarna g e l a	-|--------||--------||-⌫|-⌫-|-----⌫-⌫|-⌫|
erentligentilhu me Eliboncheualie rde	----|-|-----|--⌫-||-|--|--------⌫|-|
La uei ̈ssiez	-|---⌫-----|
estur morte l	----|-----⌫|
Unc neueïstesçoquit tel	--|-|-------|--|---|--|
Kymarki ertcuens de	----|-|--|----|-|
Ertenl acumpaigne	--|-|-⌫|--------|
Multest eitde	---|---⌫--|-|
grantuasselage	----|--------|
Romeins fesei t	------|-----⌫|
grantdamage	----|-----|
Le ruamort	-|--|---|
odsunespie ́	-|--|-----⌫|
Od luiot mortdousmil	-|--|-|---|---|--|
Es tre treis nobles cumpa ignunsL un	--⌫--|----|-----|-----⌫-----||-|
de cestreis ot nun	-|--|----|-|--|
Bodloa n esteit uen uz	------⌫|-----|---⌫-|
Lise cunz fud	-|--⌫---|--|
RichomarcusElitier zfu d	----------||-|----⌫|--⌫|
Boclouius Ne notmieen	--------||-⌫|-|--|-|
lesc hielesis	|---⌫----|--|
Del ur ual urne	-|-⌫-|---⌫-|-|
delurp ris	-|--|-⌫--|
Sicunte fus s entcilu r ei A	-|----|---⌫-⌫--|--||-⌫-||
tu ttensmes	--⌫|---|--|
Fu stp aroledelur	--⌫-|-⌫----|-|--|
Multesteientdegran taspresce	---|-------|-|----⌫|-------|
Essart f eseie ntdes	-----|-⌫-----⌫-|--|
Nulsneuene it	---|-|----⌫-|
entrelu r m eins	----|--⌫|-⌫---|
Kineüstla uiefi nee	-||----|-|--|--⌫--|
Fustodlancefustod esp ee	---|-|----|---|-|---⌫-|
Enleschi ele	-||-----⌫--|
alempereür	||--------|
Sembatir en tdeuantles lu rEci l de	|-------⌫--⌫|-----|--|--⌫||--⌫|-|
R o mele ssupp ristrent	-⌫-⌫-|--⌫|----⌫-------|
Tuz treise nsemblelesocistrent Di re ede	--|----|-⌫------|--|--------||-⌫-||-|
rage f urent pl ein	---|-⌫----|--⌫--|
Hoe le suncusin	---⌫||--|----|
lagr a nt ociseuir ent	-|--⌫-⌫-|----|---⌫--|
Queci ld e	--|--⌫|-⌫|
Romedes lurfirent	---|--|--|-----|
Purlurenemis da m agierEpur lur	--|--|-----|--⌫-⌫----||--|--|
cumpa ignuns u engier	-----⌫-----|-⌫-----|
Sesu nten trelscume leün	-|--⌫-|--⌫-|--|---|----|
Entre ́best es misaban dun	-----⌫|----⌫-|--||---⌫--|
Ro meinsdestruien tees sarten t	--⌫----|---------⌫||--⌫------⌫|
Cops e col eeslurdepartent	---||---⌫--|--|--------|
Romefort sed ef endent	---|---|-|-⌫--⌫-----|
Main tcop recei uen t	----⌫|--|-----⌫---⌫|
maint c opr ende nt	----|-⌫-|-⌫----⌫-|
Bientienent ebiensunttenu	---|------||---|---|---|
Bienfi erent ebien suntferu	---|--⌫----||---|---|---|
Bie n butentebie n sun tbuté	---⌫|-----||---⌫|---⌫|----|
Bienhurte ntebi en sun thurté	---|-----⌫-||--⌫-|---⌫|-----|
Walweinfudde	------|--|-|
mult grantaïr	---|----|---|
Unque snefud las deferir	-----⌫|-|--|--|-|----|
Tutten sertfr esche sa	--|---⌫|--|--⌫----|-|
Unquessa mein lassene fu	-----|-|---|----|-|-|
Formen talot	------⌫|---|
Romei nscer ch ant E	-----⌫-|---⌫--⌫--||
forme ntsalotesforc ̧ant	-----⌫-||---|------⌫---|
Quale mpereürauenis tEqueod	-|||-⌫-------|------⌫||--|-|
cumba tist	-----⌫---|
Tantad al ée tant adfa it	---|-|--⌫-||---|-|--⌫-|
Etant en pei n t e tantret raitLemper eü r	|---|--⌫---⌫-⌫||---|---⌫---||-----⌫---⌫|
a d encun tré	-⌫|-----⌫---|
Chascuna dbien la ltreaui séL empe rere	------|-⌫|---||-⌫---|---⌫--||----⌫---|
WalweinueüE	------|---||
Walweinadlui cuneü	------|-|--|-----|
De g rantuertu	-|-⌫---|----|
sentreferire nt	|-----------⌫-|
Multfurent	---|-----|
fortpasnecha ïrent L emperer efudgranz	---|--|-|---⌫-----||-------⌫|--|----|
Iuefnesha rdizdegrantesforz	------|--⌫---|-|----|-----|
Engignusedegr ant	-------||-|--⌫--|
Mult otgrantioi ee gra n tle esce	---|-|----|---⌫||---⌫-⌫|--⌫---|
Walweinsecumbateit	------|-|--------|
Dunt sigrant reno meees tei t Sil	---|-|----|----⌫--|--⌫---⌫||-|
enpoeit uifeschap erA	-|----|--|------⌫-||
Romes en quidot uanter	---||-|-----|-----|
Halcentlesbrazlesescuz	------|--|---|--|----|
De merueilluscopssentregrieu e nt	-|---------|---||----------⌫-⌫-|
M ultseanguissentmultse hastent	-⌫--|-|---------|---|-|------|
Dema in te guisesentre tas tent	-|--⌫--⌫-|----||-----⌫---⌫---|
Chascu nlautre formentrequiert	------⌫||----|------|-------|
Echasc unl	|-----⌫-||
autreformentfiert	----|------|----|
Desescuzuo lent lesasteles	--|----|--⌫---|--|------|
Edes acie rsles estenceles	|--|----⌫-|--|---------|
F ierentdesusfie rentdesuz	-⌫-----|----|---⌫---|----|
M ult par est e ient anduipruz	-⌫--|--|---⌫-⌫---|----|---|
S ile üssent l e champc ommun	|-|-⌫------|-⌫|----|-⌫----|
Tos tf ust	---⌫|-⌫--|
la f in fait ede	-|-⌫-|----⌫|-|
Ro merecoureren tAlegled	--⌫-|----------⌫|||---||
rasembler e ntLempereürun tsucuru	---------⌫-⌫-||--------|--⌫|-----|
Purp oinel	--|-⌫-|-||
or entiaperdu	--⌫--|-|----|
Bretunsuntariere	------|--|-----|
mis E lu ch ampu ntsurelspurpri s	--||-|--⌫--|-⌫-|--|--|------⌫|
Art h uruit sag entresortir Ec el sde	---⌫-⌫-|--|-|-⌫--|-------||-⌫--⌫|-|
Romeresbald ir El uchamp cun treluipurprendre	---|-------⌫-||-⌫|----|---⌫--|--|---------|
neuoltplus	-|---|---|
cumpa igne uintcriant	-----⌫---|---|-----|
Quefaites uus	--|-----|--|
ueez meiciuostre	---|--|-|-----|
guarantNenla issiezunaler	------||-|--⌫-----|-|---|
u uscun dui	-⌫-|---⌫--|
K ipurhumede champne fui	-⌫|--|---|-|----|-|--|
Si ewez meiio f e raila	--⌫---|--|-|-⌫-⌫--|-|
Guardezquenul sne serecreie	------|--|---⌫|-|-|------|
Remenbrez uusdeuo sbuntez	--------|--|-|--⌫|-----|
Ki tan z regnes uencu	-|---⌫|-----|----|
Iadeces tch amp	-|-|---⌫|--⌫--|
ui f n ef ui ra i Uci ueintrai u cimu rra i	--⌫|-⌫|-⌫--⌫--⌫||-|-------||-|--⌫---⌫|
Dun cu e ïssie z	---⌫|-⌫-⌫------⌫|
Arthurcumbatr e	-----|-------⌫|
Humesoc ire	----|--⌫--|
humesabatre	----|-----|
Halbercsrumpreh ealmesquasser	-------|-----|-⌫-----|------|
Testese brazepuin zcolp e r	-----||---||----⌫|----⌫-⌫|
Calibu erne tint multsanglente	------⌫---|---|---|--------|
ateintm ort	-----|-⌫--|
legr aue nte	-|--⌫---⌫--|
Nepui ss escopsmettr een	-|---⌫|-⌫-|---|-----⌫|-|
escritAch ascu ncop	-----||--⌫----⌫|--|
unhumeocit	-|---|---|
Cumeleonki faim	---|---|-|---|
destrein t	--------⌫|
Oc istquelbestequilateint	--⌫--|---|----|-|-|-----|
Tutensement	--|-------|
l ibonsr eisfait	-⌫|---|-⌫--|---|
Cheua l ne humeuif	-----⌫|-|---|--|
puetferirne plaier	---|----|-|-----|
ipue tauermestier	|---⌫|---|------|
Iadesuncop	-|-|--|--|
huemne guarra	---|-|-----|
De lau e i e	-|-|-⌫-⌫-⌫|
Arthurfuienttuit	-----|-----|---|
Cumeberbiz kipu rluf uit	---|-----|-|--⌫|-|-⌫--|
Libeadc unseü	---|-|-⌫-----|
Sertorot nunricheshuem fu	-----|-|--|-----|---|-|
Luchiefliad seur édelbu	-|----|-|-|----⌫-|--|-|
Malaiest u	--|---|-⌫|
Ki c iu enisarmesporter	-|-⌫|-⌫---|----|-----|
Calib uernee nsang lant er	-----⌫----|-⌫-----⌫----⌫-|
C i lne dit motkimort	-⌫-⌫|-|--|--|-|---|
Polidetes lezluis estut	--------|--|--||----|
Richesre isertde	-----|--⌫-|--|-|
Une te rre	--|--⌫--|
Arthurladdeuant lui	-----||-|-----|--|
