ceoauint al quinzimean	--|----|-|-------|-|
distuost redeu	---|----⌫-|--|
qu iuos deliuradel d urseruagede	--⌫|--|------|--|-⌫-|------|-|
e gy pt e siuosme nap ar l a	-⌫--⌫--⌫|-|--|--⌫-|-⌫-|-⌫|
mersicummepart erre secheetel	--|-|----|--|-⌫---|----|-|-|
desertuosputd e	-----|--|--|-⌫|
ete ueuosdonade	-|-⌫-|--|---|-|
lapie reetlei	-|---⌫-|-|--|
u os d onapar moysen. ete n	-⌫-|-⌫--|--|-----||-|-⌫|
totes ma niereslifustescuntrarieus	----|--⌫-----|-|-----|----------|
siqueiluosuolt ocire	-|--|-|--|---|----|
semoysesneust depri é p or	-|-----||---|-----⌫-|-⌫-|
uos le queluousistes	--|-|---|--------|
etuos ditez o re queieo ha s	-|--|----|-⌫-|--|--|--⌫|
cesarnostrerei. pu isseleua	----|-----|--||--⌫-|-|---|
su zd esunsiegeire em ent si	--⌫|-⌫|--|----|---⌫--⌫--|-|
pasissirforsoels.etli	--|----|---||--||-|-|
gieu crie r entcesar	---|----⌫-⌫--|----|
nos trer eine mie	---⌫--|-⌫-|-|--|
iesuiaseit	---|-|---|
queli trei r eilia po rtasse n tduns	--|-|---|-⌫-|-|-⌫--⌫------⌫-⌫|---|
cummear eietqua nt	----||-⌫-|-|---⌫-|
erodesoiparce streis q ueun	-----|-|--|--⌫|----|-⌫-|-|
rei es teit nez siluout	--|--⌫---|--|-||---|
et quantsun perei osep	-|----|--|---|-⌫---|
se nf uien egip teo	|-⌫|-⌫-|-|----⌫-||
omari e sa mere	|----⌫|-|---|
soutquelitrei l	---|--|-|---||
deceus i fistocire	----|-⌫|---|----|
bell eem et dela	----⌫--|-|-|-|
cont re e.	----⌫--⌫||
quantpilateoi cesp aroless i	----|-----|-|--|-⌫-----|-⌫|
out po orsi fist le pople	--|--⌫-|-|---|-|----|
t a isire tdistestce odunc	-⌫-⌫---|-⌫|---|--|--⌫|---|
celuique herod esquist	----|--|-----⌫-|----|
illidistrenticist .	-|-|-------|----||
pristpilate ies u sil enuoia	----|-----|---⌫|-||-----|
herode car ilesteita	-----|--|-|-----||
ierusalema	--------||
celior. hero des	--|--||----⌫--|
i luit ie susi sesbahim ultcar	-⌫|--|--⌫-|-||-----|-⌫--|--|
ilaueitlongementcouoitié	-|----|--------|--------|
del ui ue e rporceo	-|-⌫-|--⌫-⌫|--|--|
que ilaueit	--|-|----|
multes chosesdelui oidire	-----|-----|-|--|-|---|
etil e sperout ueeralcun miracle	-|-|-⌫------|---|----|------|
lui .illidema nda	--||-|-|----⌫--|
chose s eti l n eliuo l oit	-----⌫|-|-⌫|-⌫|-|--⌫-⌫--|
respundre.	--------||
liproueire	-|-------|
escri uainl acusoue nt	-----⌫---||-------⌫-|
deuantherode. her od e	-----|-----||---⌫--⌫|
ototsonost	---|--|--|
despist iesu si l	------|---|-||
escharni etue stud unblanc	-------|-|--⌫--||-|----|
uestementleren uoia a	--------|-|---⌫---||
pilate eta	-----|-||
cel iorfurentacor dez	--|--|-----|----⌫--|
herode etp i late card e uant	-----|-|-⌫-⌫---|--|-⌫-⌫---|
aueient estéenemis.	------|----|-----||
duncdistpil atea	---|---|---⌫--||
ramenerentetatot	---------|-||--|
uosma menez cest	--||-⌫----|---|
hommecum me	----|---⌫-|
ce luiquit res torne	--⌫--|--|-⌫---⌫----|
uostr ep opleetu osueezqueieone	-----⌫|-⌫---|-|-⌫-|---|--|--|-|
herod enetro uunnul e	-----⌫|-|---⌫--|---⌫|
achaisunen l uidigne	-------|-|-⌫-|----|
qua nqueuo s	---⌫---|--⌫|
et res pundirent ligieusi l	-|---⌫--------|-|---|-||
amenerentdeuantsu n	--------|-----|--⌫|
siege disant	----|-----|
cestuis e fait reis des gie us	-----|-⌫|---|---|--|---⌫-|
etp or ceo uol unq ue	-|-⌫-|--|---⌫-|-⌫-|
cr ucef ie zetbar rabamnos	--⌫----⌫--⌫|-|---⌫----|--|
laissiez. duncdistpilateces	-------||---|---|-----|--|
pa r oles por sent enseenuers iesule	--⌫-⌫---|--|----⌫---|-----|---|-|
tuenlignagete	---|------|-|
cumprueueque	--------|--|
tu soi esreis.por	-|---⌫-|---||--|
c eocummantieoaflaieler	-⌫-|------|--||-------|
selunc lacostum ed espremerains	-----|-|------⌫|-⌫-|---------|
princ es. duncsil cummanda	-----⌫-||---|-||-------|
maitreenla	-----|-|-|
cro izel leu m eismeou	---⌫-|-|--|-⌫----|-|
il lepris trentet	-|-|----⌫----|-|
d euslarunsensembleo lu iqui	-⌫--|-----|-------||--⌫|--|
ourent anundismaset	-----||--|-----|-|
et cu mil men erentiesu horsdel	-|--⌫|-|---⌫----|---|---|--|
pretoire et	-------|-|
deuslaruns	---|-----|
o luis i encuntr erent un hommepar	|--|-⌫|-------⌫----|-|----|--|
nunsymu nde cireneesi	--|----⌫|-|------|-|
lienchargierentlacroiz a po r ter	-|------------|-|----||--⌫-⌫--|
a pres i esu. si	-⌫---|-⌫--||-|
ui nd rent ellieu ouilmistr ent	--⌫--⌫---|-|---|-|-|-----⌫--|
lacroiz sildespoilliere ntde	-|----|-||------------⌫-|-|
ses dr assilc eins trent du n lincel	--|--⌫-|-||-⌫----⌫----||-⌫|-----|
et unecoronedes pines	-|--|-----||--⌫----|
li mistrentel	-|-------|-|
aou rerent en gabant	---⌫-----|-|-----|
sospendire nt	----------⌫-|
e nlacroisdeuslaru nsd es deus	-⌫|-|----|---|----⌫-|-⌫-|---|
pars delu i	---|-|--⌫|
dismas adestre etiestasa	-----||-----|-|-----||
senest re.	------⌫-||
duncdistiesup erepardonez lor	---|---|---|-⌫--|-------|--|
carilne seuent	--|-|-|-----|
queil funt.pui s	--|-|---||---⌫|
siregar dasa	-|-----⌫-|-|
mereetledeciplequilta nt	---|-|-|------|-|-|--⌫-|
si d istasa mere	-|-⌫--||-|---|
mereuezcitun	---|--|-|--|
fiz .et a iohans un	--||-||----|-⌫-|
deciple redi s tio ha nuez cita	------|----⌫-⌫|--⌫--⌫|--|-|-|
mer e.et desi celeorelaiohan	---⌫||-|--|-⌫---|--|-|----|
cumme samere	----|-|---|
.p uissideuiseren t ses	|-⌫--|-|---------⌫|--|
parsort. etle	--|---||-|-|
popl e desgieusetles	----⌫|--|----|-|--|
pr incesetl es	--⌫----|-|-⌫-|
i u geor s	-⌫-⌫----⌫|
esturentsilgaberentet	-------|-||-------|-|
dis tre ntilsalua lesaltres	---⌫---⌫-|-|----|--|-----|
sa lueluimeisme. se	--⌫--|--|-----||-|
deu descende delac roiz	--|-------|-|-|-⌫---|
noscrerunenlui.etlescheu aliers	--|-----|-|--||-|--|----⌫-----|
l egab ouents i	-⌫|---⌫----|-⌫|
liofrirent	-|-------|
etfielet dist ren t	-|---|-|----⌫---⌫|
reides gieu s	--|--|----⌫|
saluete i meisme.	----|--⌫|-----||
duncp rist	---|-⌫---|
longiz lec heualier sa	-----|-|-⌫-------|-|
la nce silferi	--⌫--|-||---|
sa ncet eue enissi.	--⌫-|-|--|-|---||
cummandapilateescrireuntitle	-------|-----|------|-|----|
ebreueten latin ete n	----|-|-|----|-|-⌫|
gr ieuetmetre	--⌫--|-|----|
chiefenla croiz .	----|-|-|----||
f uletitle	-⌫|-|----|
estiesus dena zaret rei	--|----|-|--⌫----|--|
undesl arunsquipendei tlez	-|--|-⌫----|--|------⌫|--|
lui gestas	--|-----|
parnunsidistsetu	--|--|-|---|-|-|
d e l iure teiet nos	-⌫-⌫-⌫---|--|-|--|
r espundidismaspar c orout sili	-⌫------|-----|--|-⌫----|-|-|
nientdepo ourdedeu	----|-|--⌫--|-|--|
cesttormentnos	---|------|--|
auunabo nd re i tla pei ne por nos	---||--⌫|-⌫--⌫-⌫|-|---⌫-|--|--|
desertesm aisi ci s tne deserui	-------|-⌫--|-⌫--⌫-⌫|-|------|
unqu esmal .et puisk ilout	----⌫-|--||-|----|-|--|
asu ncumpaignun si	|--⌫|---------|-|
dista iesusire remembrete i d e	---||---|---|-------|--⌫|-⌫|
me ie ntunreigne.	--⌫|-⌫|--|-----||
r espundiiesus s i distuairem ent	-⌫------|----|-⌫|---|------⌫--|
le tediui se ra somei	-|-|-|-|--⌫--⌫||--|
enp arais. etduncertla	-|-⌫----||-|---|--|-|
siste o re	----|-⌫-|
deliorettenebress unt	--|--|-|-------|-⌫--|
fai tes suz	---⌫--|--|
uniue rse terret re squesa	-----⌫--|----|-⌫--⌫----||
ore denu nneetpuisl isoleil	--|-|--⌫--|-|---|-⌫|-----|
fude uenuoscur . la couertured el	-|--⌫---|----||-|--------|-⌫-|
tem plesifendiendeus metiesdel	---⌫--|-|----|-|---|-----|--|
summettr esques aual	-----|--⌫-----|---|
.et iesucria o	|-|---|---||
e nte smains perecu mmantie omun	-⌫|--⌫|----|---|--⌫----|--⌫|--|
iloutceo d its ir endi l	-|--|--|-⌫-|-⌫|-⌫---||
cummelema istredes	----|-|--⌫----|--|
che ualie rsout	---⌫-----⌫-|--|
ueuesles merueill es	----|--|--------⌫-|
qui erentaue nu es si	--|----|---⌫--⌫-|-|
d ampnedeuetdist	-⌫-------|-|---|
uairementcist	--------|---|
fufizdeu .et	-|--|--||-|
to tlepoplequi ert	--⌫|-|----|--|--|
esgarderout grantpoor dela	-------|--|----|---|-|-|
m erueilleque il uirent	-⌫-------|--|-|-----|
lorspizsi sen retornerent . et	---|--|-||-|----------||-|
cun nes tablequii au eit	---⌫---⌫----|--||--⌫--|
racontatota pil ate	------|--||---⌫--|
esteitauenu. sicumme ilout	-----|----||-|----|-|--|
oi lamerueille siou t	-|-|--------|-|--⌫|
mu ltgrant	--⌫-|----|
ne maniane ne buten	-|----|-|-|--|-|
tot cel ior.p uis siapela les	--|--|--||-⌫--|-|----|--|
sidistauezoie la me ru eille	-|---|---|--|-|--⌫--⌫----|
auenu eet li	-----⌫|-|-|
r esp und irentiaauint	-⌫---⌫---⌫----|-|----|
loscurtedelsoleilquiselt	|------|--|-----|--|---|
auen ir.toz cels qui le conurent	----⌫-||--|---|--|-|-------|
l esf emmesquilaueie nt seuide	-⌫-|-⌫----|--||-----⌫-|---|-|
galileeuir entto tes	------|---⌫--|--⌫--|
merueill es.	--------⌫-||
etquanties u s fu mo rzsiuintiosep	-|----|---⌫-⌫|-|--⌫-|-|---|----|
dearimathielacite	-|--------|-|---|
quiest engalilee	--|--|-|------|
esteitpr odome	-----|--⌫----|
etdroiturier	-|---------|
atend eitleregnedeu.icist ne	-----⌫--|-|----|--||----|-|
fupasc unsentant	-|--|-⌫--------|
asuolentez	-|-------|
faiz desgieus .ildemandaa	---|--|----||-|------||
leco rsiesu	-|--⌫-|---|
et pilat el uidona	-|-----⌫|-⌫-|---|
et iosephl o stadela	-|-----||-⌫--|-|-|
cr o iz sil	--⌫-⌫-|-||
enu olepaen undrapmultnet	---⌫----|-|-|---|---|--|
silmist en sun	-||---|-|--|
monumentnu efun ques	-------|--⌫-|--⌫---|
homme ni a uei tie u .	----|||-⌫---⌫|--⌫||
quant g ieu	----|-⌫--|
o irent queio sep	-⌫----|--|--⌫--|
aueit de m and e ́apilatele	----|--⌫-⌫---⌫-⌫||-----|-|
co rs ie susi l q uistre nt	--⌫-|--⌫-|-||-⌫------⌫-|
et lesdo zebar uns qui	-|--|--⌫-|---⌫--|--|
distre nt de uan tpilate queie sune	------⌫-|--⌫---⌫|-----|--|--⌫-|-|
fupasnezde	-|--|--|-|
fornicaciun	----------|
etni codemeet lesaltres qui	-|--⌫-----|-|--|-----|--|
a u eientte s temoigniédeua n t	-⌫-⌫----|--⌫-⌫---------|----⌫-⌫|
pil atelesbo nesour es q ue ila uei t	---⌫--|--|--⌫--|---⌫-|-⌫-|-|-⌫---⌫|
faites .maistozl emusceren t	-----||---|--|-⌫|--------⌫|
fo rsn icodemus carilertlorpri n ce.	--⌫-|-⌫-------|--|-|--|--|---⌫-⌫-||
illordemanda cumment	-|--|------|------|
e ntrerenla synago ge	-⌫----|-|-|------⌫-|
p uisque uos estesomicides	-⌫-----|--|----|-------|
et ilrespu ndi rentmais	-|-|-----⌫---⌫---|---|
uoscu mment	--|--⌫----|
entrerquiestesc unsentantaiesu	-----|--|----|-⌫--------||---|
parcunnier seiesdesun	---------|----|-|--|
regne.e t nico d emus res pundi	----||-⌫|----⌫-⌫---|---⌫----|
etesuos iosep quiuintaelssi	---|--|----|--|---||--|-|
dist porqueiuoscorociés	---|--|---|--|--------|
po rl ecorsiesuqueio	--⌫|-⌫|---|---|--|-|
demandaiapilate par	-------||-----|--|
ai misenunmon u ment	-|--|-|-|---⌫-⌫---|
enuo lepéenunnetdrap et	----⌫----|-|-|--|---|-|
misel a pi eredeuantlusde l	---|-⌫|--⌫--|-----||-|--⌫|
uos leu aire zet	--|-|-⌫----⌫|-|
ai llorset	--⌫----|-|
ici ceoque u os	--|--|--|-⌫-|
crucefiastes leius tehomme et	-----------|-|---⌫-|----|-|
delalance .cumme ceo oirentli	-|-|----||----|--|-----|-|
gieusipristrentiosepsil	---|-|--------|----|-||
tindrentpu iss ili d istrent	-------|--⌫-|-⌫|-|-⌫------|
g arderuntre squ e apres	-⌫------|---⌫---⌫|----|
sacezq uetuncors n	----|-⌫-|--|---||
aranientdesepu ltureainz	--|----|-|----⌫----|---|
le dorunasoisials del cie l	-|----|-|------|--|---⌫|
bestesdelaterre pordeuo rer	-----|-|-|----|--|----⌫--|
respundi iosepsil or di stuos	-------|----|-|-⌫-|--⌫-|--|
res emblezgolie quise	---⌫-----|----|--|-|
pristuer sdeu enuerssaintdaui sun	----|---⌫|--|-----|----|---|--|
se rf.iaditnostre	--⌫-||-|--|-----|
siremaieseitla ueniance	---|---|---|-|-------|
ieoteguered onerai .et	--|-|------⌫-----||-|
pi la te otri stor	--⌫--⌫-||---⌫---|
outlaue esses	--|----⌫-|--|
mainsetdi stieosuinet	----|-|--⌫-|--|--|--|
de lsancdecest iusteh omme.et	--⌫|---|-|---|----|-⌫---||-|
respunsiste s	-----------⌫|
etsanc sei ts uz noset suznosfiz	-|---|---⌫|-⌫-|--|-|--|--|--|
ieoq uit quesisera cumme uos	--|-⌫--|--|-|---|----|--|
desiste s.qu an t ceoo irent	-------⌫||--⌫--⌫|--|-⌫----|
ligieu ireemen tpristrentiosep	-|---|-------⌫|--------|----|
sil enclostrentfer m e m enten	-||----------|---⌫-⌫-⌫-⌫--|-|
unec hamb r eouil nauei t	--|-⌫----⌫-⌫|-|-||----⌫|
fene stre.etannaetkaip has	----⌫---||-|---|-|----⌫--|
enseeleren tl aclost ureet	----------⌫|-⌫|-----⌫--|-|
mistrentgard es deuant.	-------|----⌫-|-----||
pristrent cunse il k il	--------|-----⌫-||-|
ase mblereient tozpor	---⌫---------|--|--|
esgard erde	------⌫-|-|
quelemorti l leferoien t morir	----|---|-⌫|-|-------⌫|----|
quantilf urent tuitasemble ́	----|-|-⌫----|---|-------⌫|
cum manderent annaetkaip has	---⌫--------|---|-|----⌫--|
un a men astaua nt i oseph.	-|-⌫---⌫--|---⌫-|-⌫----||
etcummeil ourento uertlusde	-|----|-|-----|-⌫---||-|-|
l achambreilne	-⌫|------|-|-|
trou erent	----⌫----|
pasiosep .	--|----||
oirent quepasn	-----|--|--||
iertiosep sis	|--|----|-||
esmerueillerent	--------------|
car ilcloses icummeil	--|-|----|-⌫|----|-|
laueien t laissie. et anna et	|------⌫|------||-|---|-|
kaiphasdolenzs en alerent.	------|-----||-|------||
duncsiu int	---|-|-⌫--|
enlasynagoge	-|-|-------|
si distsi cu mmenos	-|---|-|--⌫--|--|
g ardi u n	-⌫----⌫-⌫|
lesepulcre grantterremoteaui nt et	-|-------|----|--------|---⌫-|-|
siueisme s langredeu	-|------⌫||----|--|
cummeilt restornal a pier edeuant	----|-|-⌫-------|-⌫|----⌫|-----|
l emonumentetsistd esu r	-⌫|-------|-|---|-⌫---⌫|
etsu nesgarte s teitsicumme	-|--⌫|-----|-⌫-⌫---|-|----|
sesuestemenztiels	--|--------|----|
cummeneif. e tporlapoor	----|---||-⌫|--|-|---|
de ue nismescummemort.	--⌫--⌫-----|----|---||
etn os oismes a l angredireas	-|-⌫-|-----|||----|---|-|
femmesqui e steient	-----|--|-⌫------|
als epulcreiesu n aieznient	-|-⌫------|---||---|----|
p oou r ieo seibienqueu os	-⌫---⌫|--|--|---|--|-⌫-|
querez iesuqui fu c ru cefié.	-----|---|--|-|-⌫--⌫-----||
estresusciténestpa s	--|---------||--|--⌫|
ue nezetsiueezlel ieu ou il	--⌫--|-|-|---|-|-⌫--|-|-|
lmi setalez	|--⌫|-|---|
dites asesd ecipl e squ	----||--|-⌫-----⌫-⌫|-|
resuscitédemo rt et quilira	---------|-|--⌫-|-|-|-|--|
elsengalilee ilocle ueruntsicum	--|-|------|---|-|-----|-|--|
lo r distde uant.dunc	--⌫|---|--⌫---||---|
uindr entligieusi	-----⌫--|-|---|-|
as sem bler enttozles cheualiers qui	--⌫---⌫----⌫--|--|--|---------|--|
g ardélesepulcre s i lor	-⌫----|-|-------|-⌫|--|
demanderent quifurent	----------|--|-----|
a qui langre	|--||----|
parla etporquei n	----|-|--|---||
es presistesuosi l distrent	-|--------|--|-⌫|-------|
nosnesauun car	--|-|----|--|
nosfusmes cumme	--|-----|----|
lap oour de	-|-⌫---|-|
la ng r e.respun direntligieu	|-⌫--⌫-⌫||------⌫-----|-|---|
saciez nosuo s creun	-----|--|--⌫|----|
bien respundirent li cheualie re t	---|-----------|-|--------⌫|-⌫|
distrenttan tes merueilles	-------|---⌫--|---------|
ueis tesfai re	----⌫--|---⌫-|
iesuet o istes et	---|-|-⌫----|-|
l c re istes.cumment	|-⌫--⌫----||------|
crer riezdunc	----⌫---|---|
n os biensa uunque	-⌫-|---|--⌫--|--|
cilsires uitqu e uos	--|----|--|--⌫|--|
crucef iastez et	------⌫-----|-|
bi ensauun	--⌫-|----|
uosenclosistesiosep	--|----------|----|
s ensfen e s treetquant uo s l	-⌫--|---⌫-⌫-⌫--|-|----|--⌫||
o u ristes ne	-⌫-⌫-----|-|
ltrouastespas.	|--------|--||
nos dunc iosep	--|---|----|
que uosenc losis tes	--|--|---⌫-----⌫--|
etnosu os doru n iesuqu e	-|--|-⌫-|----⌫|---|--⌫|
nos gardasmes	--|--------|
el sepul c re.	-|-----⌫-⌫-||
respundiren tligieu	-----------⌫|-|---|
ren druniose p	---⌫---|----⌫|
rendeznos iesu.	-----|--|---||
carios epesten	--|---⌫-|--|-|
respundirentli che ualer	-----------|-|---⌫----|
se io sepesten arimathie	-|--⌫--|--|-|--------|
est en galilees icumme	--|-|------|-⌫|----|
nosoismeslangre	--|-----||----|
direas fem mes qu enosueismes.	---|-|---⌫--|--⌫|--|------||
cum meceo oirent ligieu	---⌫-|--|-----|-|---|
opo our seporpenserentet	|--⌫--|-|-----------|-|
distrentsecesparole ssunt	-------|-|--|------⌫|---|
quecesd ientt oz crer unt	--|--|-⌫---|-⌫-|----⌫--|
eniesu.si a ssem blere ntdunc	-|---||-|-⌫----⌫-----⌫-|---|
grantauei rsi done rentas	----|----⌫|-|----⌫---|-|
cheualiersporceoquil d euss ent	---------|--|--|-|-|-⌫----⌫--|
dir e q uelesdeciplesiesu fussent	---⌫|-⌫-|--|-------|---|------|
s epulcr equan til	-⌫------⌫|----⌫|-|
dormirent et eussent embléle	--------|-|------|-----|-|
corsiesuetsepilat elotdire	---|---|-|-|-----⌫||-|---|
nosserunporu os	--|----|--|-⌫-|
enuerslui.	-----|--||
cheual ie rpristrentl	------⌫--⌫|--------||
sidistre n tcummeil	-|------⌫-⌫|----|-|
loraueient	--|------|
prié.maiscelepar ole fu	----||---|---|---⌫--|-|
espanduep a rtotelacite.	-------|-⌫-⌫|---|-|---||
d uncuind r enttreisproueiresde	-⌫--|----⌫-⌫--|----|--------|-|
galileefinee se ta dda	------|-----⌫|-⌫|-⌫--|
et aggeussidistrent aspr inces	-|-----|-|-------|-|--⌫----|
desgieus eta	--|----|-||
to z ce ls dela	--⌫|--⌫-|-|-|
syna goge nosueismesiesu queuos	----⌫---|--|------|---|--|--|
cruc efiastesseanto ses	----⌫-------|----||--|
do zedeciples	--⌫-|-------|
etparl antoels silor	-|----⌫--||--|-|--|
dis t alez partot	---⌫|---|--|--|
mundsipree ciésmaresurrectiunsi	---|-|----⌫----|-|-----------|-|
baptiziezelnun del	--------|-|--|--|
pere del fi ze tdelsaintesperi t . et	---|--|--⌫|-⌫|--|----|------⌫||-|
quienmeicrera	--|-|--|----|
baptizie ́ se ra salf	--------⌫|--⌫-|---|
etcumil outceo ditases	-|--|-|--|--|--||--|
d eciple s	-⌫------⌫|
ue ant elsmun t aelci el. cumme	--⌫--|--|---⌫-⌫|-|--⌫-||----|
oirentlespri nc esdes	-----|--|---⌫--⌫-|--|
proueiresd istrent aces treis	--------|-⌫------||--|----|
di t es nos ueir	--⌫-⌫-|--|---|
por lagloir e	--|-|-----⌫|
deuseceoe stueirque u o s	--|-|--|-⌫-|---|--|-⌫-⌫|
ditesetqueuoslois tes	----|-|--|--||---⌫--|
etilrespundir entparledeude	-|-|---------⌫--|--|-|--|-|
nos pe resabraam	--|--⌫--|-----|
ysaac etiacob e n	----|-|----|-⌫|
ueritele uos	-----|-|--|
dimessicummenosloisme s	----|-|----|--||-----⌫|
et u eismes monterel ciel. et	-|-⌫-----|-----|-|---||-|
taisiunla uerite	------|-|-----|
ariun. dunc	----||---|
esturentsus l es	-------|--|-⌫-|
princesdesproueires sipri str ent	------|--|--------|-|---⌫---⌫--|
laleienlorsmainss is	-|--|-|---|----|-⌫||
c uniurere ntqui lnedeissent	-⌫--------⌫-|-|-⌫|-|-------|
parole sdeiesu.etsilordon ere nt	------⌫|-|---||-|-|--|---⌫---⌫-|
g rantauei rsisrenuoierent	-⌫---|----⌫|-||----------|
cu ntreeca riln e uoloie nt	--⌫----|--⌫|-|-⌫|------⌫-|
maisk ilestuss ent	---||-|------⌫--|
ie r usa lem .	--⌫-⌫---⌫--||
duncs as amblerenttuit	---||--⌫--------|---|
distrent enplo rant	-------|-|---⌫---|
de usq ueestceoquiestauenu	--⌫-|-⌫-|--|--|--|--|----|
enisra el dunc	-|----⌫-|---|
annaetkaifassiscu nfo rterent	---|-|-----|-||--⌫---⌫------|
deuun no screire as	----|--⌫|-----|-|
cheu aliersquiga rderentlesepulcre	----⌫-----|--|--⌫------|-|-------|
ies uquid istrentqueil	---⌫|--|-⌫------|--|-|
u irentlangretre sto rnerlapie rre	-⌫----||----|---⌫---⌫---|-|---⌫--|
deuant lusdelmonument	-----||-|--|-------|
e str e que sesdeciples lor	-⌫---⌫|--|--|-------|--|
done rentaue ir qui ldeussent	----⌫---|---⌫-|-|-⌫|-------|
c eodirepuissi	-⌫-|---|---|-|
pristrent si	--------|-|
enporterentsoncors .saciez	----------|--|---||-----|
lenned eitcr eireestr angesde	--|-|-⌫--|--⌫---|----⌫----|-|
nuleparolecarilpristre n t	---|-----|--|-|-------⌫-⌫|
loie r d e nos sidist rent ceo que nos	----⌫|-⌫|--|-|----⌫---|--|--|--|
lorpr ia smesadir e	--|--⌫--⌫---||---⌫|
quiexdeuent ilporter miex	----|-----|-|-----|---|
asdeciples i esuo u anos	-|-------|-⌫--|-⌫||--|
duncseleu anicodemus si	---|-|---⌫|--------|-|
parle zadreitlesfiz	-----⌫||----|--|--|
oiquele strei sb aruns	-|--|--⌫|----⌫|-⌫----|
iu r er entsuzlalei etdis tre nt	--⌫-⌫--⌫--|--|-|--|-|---⌫---⌫-|
n osueismes iesussean t suzmuntd	-⌫-|------|----|----⌫|--|---||
oliuete o ses de ciples	------||--|--⌫-----|
et nos le u eisme smu nter el ciel	-|--|-|-⌫-----⌫|--⌫---|-|---|
dit l escritu reque	--||-------⌫-|--|
furaui z.etle sfiz as prophete s	-|----⌫||-|--⌫|--|-|--------⌫|
dem anderenta	---⌫-------||
elyseuou est	-----|-|--|
nostrepe reelyas etil	-----|--⌫-|----|-|-|
les fiz a sp roph etes	--|--|-⌫|-⌫----⌫---|
di stre ntpuetce	--⌫----⌫-|---|-|
esper itlara ui si	-----⌫-|||--⌫-|-|
mis asmu nsde israel.ma is	--|-|--⌫-|-|-----||--⌫-|
hommesonos	-----||--|
qu ere .puetceles trenosle	--⌫--||---|--|--⌫--|--|-|
troueru n .etsi	-------⌫||-|-|
prierentelyseu	-------|-----|
k il alasto el s.	|-|----||--⌫||
trouerent p as.	--------|-⌫-||
creez les fiz israel.	----|--|--|-----||
enue iunas munz	----⌫--|-|---|
deisraelquere	-|-----|----|
etpuetceles t re quealcun	-|---|--|--⌫-⌫-|--|----|
esper i ta raui iesusil	-----⌫-⌫||---|---|-||
etpuis sip ernun	-|---|-|-⌫----|
nospenitences	--|---------|
ceo que neluousismes	--|--|-||--------|
creir e.etatozploutl e	-----⌫||-||--|----|-⌫|
nicodeme.dun c enuoiere nt	-------||---⌫|--------⌫-|
po rquereiesu.etcu mmefu rent	--⌫|----|---||-|--⌫--|--⌫---|
repairie ́dis trent	--------⌫|---⌫----|
quisi esumaisnelpoun	---|-⌫--|---|-||---|
pas t ro ue r.	--|-⌫--⌫--⌫||
mais nosau untr oué	---|--|--⌫-|--⌫---|
iosepen arimathie.	----|-|--------||
cum me ceoo irent l esprinces	---⌫-|--|-⌫----|-⌫-|------|
pro u eireset totle	---⌫-⌫----|-|--|-|
sesmer uei ll erent si	|-----⌫---⌫--⌫----|-|
loerentdeuqueiose p fu tr oué.	------|--|--|----⌫|-|--⌫---||
d u ncfiren tligieug rant	-⌫-⌫-|-----⌫|-|---|-⌫---|
a semblee sipris trentcunseil	-⌫------|-|----⌫----|------|
ilpeussent ma nder io sepporpa rler	-|-------|--⌫---|--⌫--|--|--⌫---|
olui .duncescri strent	|--||---|-----⌫-----|
lorsch artressilimander ent	---|--⌫-----|-|-|------⌫--|
paro lesbelsirei osep	----⌫--|--|---|-⌫---|
pais s ei toteibelsire	---|-⌫--⌫||--|--|---|
sauunquepech iéauunuer s	----|--|----⌫--|---|---⌫|
etquedeutadeliuréd e	-|--|--|||-------|-⌫|
malineconseil.	-----|------||
plaiseueni ra uos peres et	-----|----⌫||--|----|-|
fizq u enospuissun auos	--|-⌫-⌫|--|------||--|
parler.p aisseitotei onorable	-----||-⌫--|---||--|-------|
e ntotlepople.dunc	-⌫|--|-|----||---|
eslurent setbarunsamis	-------|--|-----|---|
lordistrentuosireza	--|-------|--|---||
iosep siliporterez ce stec hartre.	----|-|-|-------|--⌫--|-⌫-----||
uindrent a	-------||
iosepsi lesaluerents i li	----|-|-|--------|-⌫|-|
donerent la chartre .et ill a	-------|-|------||-|-|-⌫|
illoutl ute	-||--|-⌫--|
beneesquideuqui lout	--------|--|--||--|
de liurédelors	--⌫-----|-|---|
mainsq uil nespandirentsun sanc.	----|-⌫|-||----------|--|---||
et cumil outco	-|--|-|--|-|
sirecut multhonor abl ement ensa	-|----|---|-----⌫---⌫----|-|-|
maisun lesmessages	-----|--|-------|
alal treior s ialerenten	||--⌫--|--|-⌫|------|-|
ieru s alemet cum meligieuoiren t	----⌫-⌫---|-|---⌫-|-|---|-----⌫|
issirenttoz	-------|--|
encuntreluisi lesaluerent.et	-------|--|-|-|--------||-|
l erecut en	-⌫|----|-|
samaisunogrant	-|-----||----|
ala ltreior anna	||-⌫---|--|---|
etkaipha set	-|------⌫|-|
nicodem us distrenta	-------⌫-|-------||
ioseprege hisiés nos	----|----⌫------|--|
uerit e d eceoquenos	-----⌫|-⌫|--|--|--|
demanderun. etio sep h	---------||-|--⌫---⌫|
uole nti ers .-cumm e nt fu ce o q ueuosne	----⌫---⌫--|||----⌫-⌫-|-|--⌫|-⌫-|--|-|
fustespastrouez	-----|--|-----|
enlacha mbreou fustes enclos	-|-|---⌫---|-|-----|-----|
