laiieperdue	|-|-|-----|
po rlesd iz duliu re honorez	--⌫|--|-⌫-|-|---⌫-|------|
quant tud ucorsdepartir as	----|-|-⌫|---|--------⌫-|
toz fr ansou saintaerteniras	--|--⌫--|-|----|--||-|---|
etless eras h u manite	-|----⌫---|-⌫-⌫-----|
uiuanzanp uredeite	-----|-|-⌫--|----|
mou testchet isetfo ls nais	---⌫|--|----⌫-|-|--⌫-|---|
q ui croi tquecisoit ses	-⌫-|----⌫|--|-|---|--|
nestpasuos tre pai senterre	|--|--|---⌫--|---⌫|-|----|
cepeut lenbiend esc lers enquerre	-|---|--|---|-⌫-|-⌫---|-------|
qu i boe ce de	--⌫|---⌫-|-|
c on fortlisent	-⌫--⌫---|-----|
et le ssentences quila	-|--⌫|--------|--|-|
don cgranzbiensaus	---⌫|----|----|--|
gens la isferoit	---|--⌫-|-----|
quibi en leleurtranslateroit	--|--⌫-|-|---|------------|
ousilres ttex	-||-|---⌫|--|
quilsese tuiure	-|-|-|--⌫|----|
quesa renteli	--|-|----|-|
nenedesi e rre autruichete	-|-|----⌫-⌫--|-----|----|
ainzcuideestresanz pourete	---|----|----|---|------|
carsi condi ent uostrem estre	--|-|--|--⌫--|-----|-⌫----|
nusnestche tiss il nelcuide	--||--|---⌫--||-|-||----|
soit r o is ch eualie rs	---|-⌫-⌫-|--⌫------⌫-|
maint ribautontlesqueurssibau z	----|-----|--|--|-----|-|---⌫|
portanzsasdecharbonan	------|--|-|------|-|
quelapeiner ien sn eleurgr eue	--|-|----|-⌫---⌫|-⌫|---|--⌫--|
s ilenpacience	|-|-|-------|
t rauaillen t	-⌫---------⌫|
quilbalen t ettripen t	-|-|-----⌫|-|------⌫|
etsail lent	-|----⌫---|
etuontaseint marcelau stripes	-|---||----|-----|--⌫|-----|
nenepr isenttre sors yypip es	-|-|--⌫----|---⌫---|-|---⌫-|
ainzdespende nt en la	---|--------⌫-|-|-|
toutle urgaaignetle uresp e rne	---|--⌫-|-----|-|--⌫-|---⌫-⌫--|
puis reuon tporterlesfardeaus	---|-----⌫|-----|--|-------|
parleescesnon	--|------|--|
pasp ar deaus	--|-⌫-|----|
etleaument	-|-------|
l eurpein g aai gnent	-⌫--|---|-⌫---⌫----|
quantenble rnetolirneda ignen t	----|-----⌫|-|----|-|--⌫-----⌫|
puis reuont	---|-----|
autonelet boiuent	-|----|-|------|
etuiuent siconuiuredoiuent	-|-----|-|--|----|------|
tuitcil s unt riche	---|--|-⌫--|----|
enhabu ndance	-|----⌫-----|
si lcuident auoir	|-⌫|------|----|
sof fisance	---⌫------|
plus ceset de x lidroiturie rs	---|-|--|--⌫|-|---------⌫-|
il esto ientusu riers	-|----⌫---|---⌫----|
carusurierbien letafiche	--|------|---|-||-----|
neporroient pa s estreric he	-|--------|--⌫|----|---⌫-|
ainzsunttuitpoureet soffroiteus	---|---|---|----|-|----------|
tantsun taue r et couoiteu s	---|---⌫|---⌫|-|--------⌫|
etsires t uoir scu iqu il	-|-|---⌫|----⌫|--⌫--|-|
d es plese	-⌫--⌫----|
nulmarchaantn e uitaese	--|--------|-⌫|--||--|
carson queura	--|--|----||
mi s en telguerre	--⌫|-|--|-----|
quilarttouzuis deplus	-|-|--|---|--|-|---|
ne ianaura	-|-||---|
assezaqu is	----|---⌫-|
silcr ient	|-|--⌫---|
p erdre lauoir	-⌫----||----|
et queurtapresl eremanant	-|-----|----|-⌫|-------|
donciane seue rraten ant	---|-|-|-|--⌫--|---⌫--|
car deriensdesirrier natel	--|-|----|--------|||--|
c onmed a querre	-⌫---||-⌫-----|
autruichatel	-----|-----|
enpriseameruei lleusep ei ne	------||------⌫-----|-⌫--⌫-|
boiure t outesei n e	-----|-⌫---|---⌫-⌫|
donci atan tb oiure n epourra	---|-⌫|---⌫|-⌫----|-⌫|-----|
quetouiorsplusen demo urra	--|------|---|-|----⌫---|
cest ladestrececes t la rd u re	|--|-|-------||--⌫||-⌫--⌫-⌫-|
cestlang oissequitouiors dure	|--||---⌫----|--|------|---|
c est l adouleur	|--|-⌫|------|
detranche lacorai lle	--------|-|-----⌫--|
etl ede st rai nte n telde faut	-|-⌫|--⌫--⌫---⌫-|-⌫|--|--⌫---|
quantplus aqu iert	----|---|---⌫---|
plus lid ef aut	---|-|-⌫--⌫--|
a du ocatetfisicien	-⌫--⌫---|-|-------|
sunt t uit lié	---|-⌫--|---|
de cel ie n	-|-|-⌫--⌫|
s ilpor de n iers science uendent	|-|--|--⌫-⌫---|------|------|
tr et uita	--⌫--⌫--||
ceste hartsependent	----|---|-|------|
tan ton tle gaaigndouzet sade	---⌫|--⌫|-|-----|---|-|---|
qu ecist uodro it p orun	--⌫|---|-----⌫-|-⌫-|-|
qu ilaquil	-|-||-|-|
etc ilpor une causeyy	-|-⌫-|--|--|----|-|
uoir e y ymi leuoireyy	----⌫|-⌫|--⌫-|----|-|
tant les ar t couo itiseetguile	---|--|--⌫|----⌫----|-|----|
sisunt deui nquiuon tparterre	-|---|----⌫|--|---⌫|--|----|
quanti lpree sc hent	----|-⌫|----⌫--⌫---|
poraq uerre	--|--⌫----|
honors ougracesourich e ces	-----|-|-----|-|----⌫-⌫--|
ilront lesqueur s	-|---|--|-----⌫|
entelsd estr eces	-|---|-⌫----⌫---|
cilne uiuentp as leaument	--|-|-----|-⌫-|-------|
messeurtou zespeciaument	--|---|---⌫|-----------|
por ua inegloir e tracent	--|--⌫--|-----⌫|------|
la mo rtdel euramesp orchace nt	-|--⌫-|-|-⌫--|---|-⌫-------⌫-|
deceuzest texdeceuierres	-----|--|--|----------|
carsachezquetexpreesc hierres	--|-----|--|--|------⌫------|
combien quil ausaut re s prof it	-------⌫-|-|--|---⌫--⌫|----⌫-|
asoine fetilmie profit	|--|-|--|-|--|-----|
carbonepre dicac ion	--|---|---⌫-----⌫--|
uientbiendemale entencion	----|---|-|---|--------|
quin ariensaceluiualu	--|||----||----|---|
toutf aceleaus aut re s salu	---|-⌫-|--|--|---⌫--⌫|---|
carsili prennentbonexample	--||-||-------|--|------|
cildeuaine gloires	--|-|----|-----||
meslessonstex preescheors	--|------|--|----------|
etparl onsdes	-|----⌫--|--|
entas s eors	-----⌫-⌫---|
certesdieunaimentnenedoutent	-----|---||-----|-|-|------|
qua n t texde ni ers ent resorboute nt	---⌫-⌫|--|--⌫--⌫--|-|-⌫----|-----⌫-|
etpl u s quilnes tmestie rs lesgardent	-|--⌫-⌫|-|-||--⌫|------⌫-|--|------|
quantles po uresdehor s regardent	----|--|--⌫---|-----⌫|--------|
defroit tre mblerdefainperir	-|----|---⌫----|-|---|----|
de xle leursa urabi enme rir	--⌫|-|---|--⌫--|--⌫-|--⌫--|
meschean cesauienent	--------⌫--|-------|
acelsqu i telsuiesm aintien ent	|---|--⌫|---|---|-⌫-------⌫--|
t rauaillquieren tr icheces	-⌫------|-------⌫|-⌫------|
poorlestienten	---|--|----|-|
granz dest rece s	----|----⌫----⌫|
tandisc ondu garderne cessent	-----|-⌫-|-|-----|-|------|
a doul euren la	|----⌫--|-|-|
finlesle ssent	--|--|--⌫----|
en teltormentme ur ent	-|--|------|--⌫--⌫--|
cil quile s	--|--|--⌫|
granzrichecessiuent	----|-------|-----|
necenest forpar	-|-||--|--|--|
d amor qui	|---|--|
par le monde faut	--|-|----|---|
carci lquir i checes	--|--⌫|--|-⌫-⌫-----|
s enle samastet	|-|--⌫|----|-|
il amasse nt	-|------⌫-|
amorpar toutresnast	---|--|---|------|
quemauuestiene la	--|--------|-|-|
mesplusdonastq ui p luseust	--|---|-----|-⌫-|-⌫--|---|
quebesoigneu s seust	--|---------⌫|----|
ouprestast	-|-------|
nonpas au sure	--|--||-⌫---|
mespa rchariteneteetpure	--|--⌫|------|---|-|---|
por quoi ci labienentendissent	--|---|--⌫||---|-----------|
etd oiseus ese defendis sent	-||------⌫|-|--------⌫---|
e lmonde nulpoureneust	-⌫|----|--|----||---|
n enulau oir ne ni deust	-⌫|--|--⌫--||-⌫||----|
mestant est	--|---|--|
lim ondesendables	-|-⌫----|-------|
quil ontfetes	-|-|--|----|
a mors uenda bles	-⌫---|-----⌫---|
nusnaime forpo r son preu f ere	--||---|--|--⌫|--|---|-⌫--|
pord onsou	--|-⌫--|-|
porse ruisetrere	--|--⌫----|----|
se ueulentuendre	-|------|-----|
malc hiefp uis seteluent epren dre	--|-⌫---|-⌫---⌫-|--|----⌫|----⌫--|
ainsin cbaraz atouthonni	------⌫|----||---|----|
parcuiiadis le	--|--|----|-|
furent au s gensaproprie ́	-----|--⌫|---|--------⌫|
tant suntdauaricelié	---|---||------|---|
quilontl eurnaturelfranchise	-|-|--|-⌫--|------|--------|
auilsseruitudesoumise	|---|--------|------|
q uilsunttuit serf	-⌫|-|---|---|---|
a l eurdeniers	|-⌫--|------|
quiltiene ntclosenleur	-|-|-----⌫-|---|-|---|
tienent certesai nz	------|-----|--⌫-|
qua ntatel	---⌫-||--|
meschie fsuntuenu	-------⌫|---|---|
deleurau oirontfet leurmestre	-|---|--⌫--|--|--|---|-----|
li chetifboter el terre st r e	-|-----|-----⌫-|-----⌫--⌫-⌫|
nestpreuzforpordespendre	|--|----|--|--|--------|
c ene seuentilpas	-⌫|-|-----|-|--|
ai nzueule n t tuit a	--⌫-|-----⌫-⌫|---||
cerespondre	-|--------|
quauoirnestpreuz fo rpor	-|----||--|----|--⌫|--|
pasuoirsmesbien	--|----|--|---|
l e repoignent	-⌫|---------|
ianondespe n de nt	-|--|-----⌫-⌫--⌫-|
ne nedoignent	-|-|-------|
quanquesoi tiert ildespenduz	------|---⌫|---|-|--------|
senlesau oi ttrestozpenduz	|-|--|--⌫--⌫|------|-----|
ca r enlafinquantmo r t	--⌫|-|-|--|----|--⌫-⌫|
acuiqu e s oitle	|-----⌫|-⌫--|-|
q uilieemen t	-⌫-|-------⌫|
le despend ra	-|-------⌫-|
neianulpreune leur	-|-|--|---|-|---|
suntpasseurencores	---|--|---|------|
sillegardero nt iusqu	|-|-|-------⌫-|----|
cartexipor roitmetre	--|--||---⌫---|----|
quitoute nporteroitdemain	--|---|-⌫---------|-----|
aus rich ecesfont grantledure	--|----⌫---|---|----|-----|
quantil lor tolent	----|-|--|-----|
le u rnature	--⌫-⌫|-----|
leurnatu re	---|----⌫-|
est queldoiu entcorr e	--|-|-|----⌫--|----⌫|
por genzaidier	--|---|-----|
etpo rs ec orre	-|--⌫|-⌫--⌫---|
sanzest r ea usure	---|---⌫-⌫||----|
ac elesadexaprestees	|-⌫|--||--|--------|
o rle sont enprison repostes	-⌫|--⌫|--|-|-----|-------|
mes lesrichec es	--|--|------⌫-|
del telshostes	--|---|-----|
qui mieuzseloncl eur dest ine es	--|----|-----|-⌫--|----⌫---⌫-|
de ussentestretrainees	--⌫-----|----|-------|
seueng ent	-|----⌫--|
honorabl ement	--------⌫----|
c ar enpres	-⌫-|-----|
eushont eu sement	--|----⌫--⌫-----|
les trai nent sa chentethercent	--|----⌫---|--⌫----|-|------|
de yyglaiues lesqueursleur	-|-|------|--|-----|---|
li premiers esttr auaill	-|-------|--|--⌫-----|
dequ e rre	-|--⌫-⌫--|
lisegon zqui lesqueu rs	-|-----⌫|--|--|----⌫-|
e n nestoille ou e mbl e	-⌫||-|-----|-|-⌫---⌫|
lesont misesen se mble	--|--|----|--⌫--⌫---|
doncils esmaient sanz cessier	---|-||-------|---|------|
letierzestdouleurdulessier	-|----|--|------|-|------|
aiditci deuant	-|--|-|-----|
m alementsen uo nt dec euant	-⌫------||-|--⌫-|---⌫----|
ainsintpeccunesereuanche	------|------|-|-------|
conmedameetrai neet	----|---|-|---⌫-|-|
dessersq uila tien ent en close	--|---|-⌫-|-|----⌫--|--⌫----|
enpezse t ientet sere pose	-|--|-|-⌫---|-|-|--⌫---|
et fetle smeschaanz	-|--|--⌫|--------|
etsoussierettrauaill i er	-|-------|-|--------⌫-⌫-|
souzpiezsi cors	---|---|-|---|
les tient etdonte	--|----|-|----|
quelealennore tcil	-|--|||----|-⌫|--|
etl etormentetledo mage	-|-⌫|------|-|-|--⌫---|
quilan gu issentensonseruage	--|---⌫--⌫-----|-|--|------|
preunestcepa sfereen	---||--|-|--⌫|---|-|
aumains ace luiquilagarde	-|----||--⌫--|--|-|----|
mes sanzfailleele demorr a	--|---|-----|--|------⌫|
aquiquesoitquantcilmorra	|-----|---|----|--|----|
quin eloso it	--|-⌫||---⌫-|
pas ass aillir	--|---⌫-----|
nefereco rrene saillir	-|---|--⌫--|-|------|
me sli uaill ant	--⌫|-|-----⌫--|
home l assaille nt	---||--------⌫-|
ch euauch entetpoursaille nt	--⌫------⌫--|-|----------⌫-|
a usesperonslab atent	-⌫-|-------|-|-⌫----|
quils enaese ntetesba tent	-|-||-|----⌫-|-|----⌫---|
parlequeur quil	--|-|----|-|-|
ontlargee tanple	--|----|-⌫|----|
aded alusprennent	|---⌫---|-------|
qui fisteles aychar us	--|---|---||-----⌫-|
quantparartetnon	----|--|--|-|--|
pas par us	--|--|-|
tindrentparlaer uo i econmu ne	-------|--||--|--⌫-⌫|-----⌫-|
tout a ute lfont ci stapecc une	---|-⌫---⌫|---|--⌫-||----⌫--|
fo ntelespor u oler	--⌫-|---|--|-⌫---|
qu ainzselero ientaffoler	-|---|-|----⌫---|------|
quil n eneusse nt los etpris	-|-||-|-----⌫-|--|-|---|
neueulentpasestrere pris	-|------|--|----|--⌫---|
de lagra nta rdure et do uuice	-|-|---⌫-|-⌫----|-|--⌫|---|
a la couoiteuseaua rice	|-|---------|---⌫---|
ai nz enson t	--⌫-|-|---⌫|
l esgr anz courtoisies	-⌫-|--⌫--|----------|
d oncleurproecessuntproisies	-⌫--|---|------|---|-------|
etcelebrees par le	-|--------|--|-|
etleu ruertuz en seurhabonde	-|---⌫|-----|-|----------|
quedex apo r moutag r e able	--|--||--⌫|---|--⌫-⌫-⌫---|
porle qu eurlargeet charitab le	--|-|--⌫--|----|-|--------⌫-|
ca rtant conme auariceput	--⌫|---|----|------|--|
adieuquideses bi ensre put	|---|--|-|--|--⌫--|--⌫--|
quant illot forgié	----|-||-|------|
ta nusa prisforgie	||--|-⌫---|--|--|
tant liest	---|-|--|
largeceples an t	------|----⌫--⌫|
la cou rtaisel abienf es ant	-|---⌫-----|-⌫|---|-⌫--⌫--|
diexhe tau er slesuil ains natr es	---|--⌫|--⌫--⌫|--|---⌫---|----⌫-|
etlesdangneco n mey dolatres	-|--|-----|--⌫-⌫-|-⌫-------|
le s c heti sse rsdesm esurez	--⌫|-⌫----⌫|--⌫-|----⌫-----|
poo reuset maleurez	---⌫---|-|-------|
sicuident iletparuoir di en t	-|------|-|-|--|---|--⌫--⌫|
richecesneselient	-------|-|-|----|
f orsqueporest reen	-⌫-----|--|---⌫-|-|
etporuiure	-|--|----|
e nbeneurte	-⌫|-------|
richeces mo rt ex	-------|--⌫--⌫-|
ditesdoncestes uos	----|---|----|--|
queuosfacez	--|--|----|
ben eurees	---⌫-----|
genzqui s iu osonte n mu re es	---|--|-⌫|-⌫-|--|-⌫-⌫--⌫--⌫-|
ca r quant	--⌫|----|
plus uos assembleront	---|--|-----------|
e tplusdepoor tre mble ront	-⌫|---|-|---|---⌫----⌫---|
etconmentes tenbo neur	-|------|--⌫|-|--⌫|--|
homquinestenestat seur	--|--||--|-|----|---|
beneurtez do nt lisaud roit	--------|--⌫-|-|----⌫---|
puisqueseu rtezl ifaudroit	------|---⌫---|-⌫|-------|
mesaucunsquimorro it	--|-----|--||----⌫-|
ditdampneretd es pire	--|------|-|-⌫--⌫---|
meporro itoppose r	-|-----⌫-|------⌫|
qu ipor leurnob le cealoser	--⌫|--|---|---⌫--⌫-|-----|
li me nuzpeuplescuide	-|--⌫--|------|----|
fierementmetentleur	--------|-----|---|
a fere ento reus armer	|---|----⌫|--|----|
yyo u yymi le ser genz	-|-⌫|-|--⌫-|---⌫---|
et ditlen toutconmunement	-|--|--|---|----------|
leuruientdegranthardement	---|----|-|----|--------|
mesd i exsetbientoutl e	--|-⌫-⌫-|--|---|---|-⌫|
cestpoorqui leur fetcefaire	|--|---|--|---|--|-|----|
qui touriorzles	--|-------|--|
tor mentee tgrieue	---⌫----|-⌫|-----|
mieu zporroitunriba ut degrieue	----⌫|------|-|----⌫-|-|-----|
seursetseulpartout	----|-|---|--|---|
e td euant	-⌫|-⌫----|
lesba ronsbaler	--|--⌫---|----|
sanzd outereus	---|-⌫----|--|
neleuraffere	-|---|-----|
que liroiso sarobeuere	--|-|---||-|---|---|
portastn ei sos oi	------|-⌫--⌫||-⌫-|
grant m asse	----|-⌫---|
dut r esorquesi grant amasse	-|-⌫-⌫---|--|-|----|-----|
doret depre cieusespie rres	|-|-|-|---⌫------|---⌫---|
sapart enprend roit	-|---|-|-----⌫---|
chascu nslierres	------⌫-|------|
quanqueilporter oit li todroient	------|-|------⌫--|-|--------|
ettuer espoirle	-|---|-----|-|
uo droient	--⌫------|
sisero it ilcecroituez	-|----⌫-|-|-|---|---|
a inzque dil uecfustremuez	-⌫-----||--⌫--|---|-----|
carlilarron sedo uteroient	--|-|-----|-|--⌫--------|
seuifeschaperle lessoient	-|--|-------|-|--------|
quil n esfeist	-|-||-|----|
ouquesoitp rendr e	-|--|---|-⌫-----⌫|
forcemen erpendre	----|---⌫-|-----|
parsafor cemespar ses	--|-|---⌫-|--|--|--|
car s aforceneu au tyy	--|-⌫|----|-|-⌫--⌫|-|
f orced un riba ut	-⌫---||-|----⌫-|
q ueur sibaut	-⌫---|-|---|
homes p arfoigement	----|-⌫-|--|-|---|
o ug ene di	-⌫|-⌫|-|-|
paspropremen t	--|---------⌫|
urai ementsienn e	----⌫----|---|-⌫|
tout a itilentrels sei gneurie	---|-⌫-|-|---|--|---⌫------|
seigneuri enonmesseruise	---------⌫|--|--|------|
quillesdoit	-|-|--|---|
garderen franchise	-----|-|--------|
leur carquantiluoudront	---|--|----|-|-------|
leu raides auroitoudront	---⌫|----|-|--|-------|
ro i stouz seusd em orra	--⌫-⌫|---|---|-⌫--⌫---|
sitostco nlipeupl es	-|---|--⌫|-|-----⌫-|
car leurbo ntezneleurproeces	--|---|--⌫---|-|---|------|
le urc ors leurforces le ur sagece s	--⌫-|-⌫--|---|-----|--⌫-|------⌫|
nesuntpas sienner iensn ia	-|---|--|---|-|-⌫---||||
naturebien le sli nia	-----|---|--⌫|-|--|
nefortunen e	-|------|-⌫|
pueutpa sf ere	----|--⌫|-⌫--|
tantsoit a us	---|---|-⌫-|
homes debonere	----|-------|
desch o sesle ursaient	--|--⌫-⌫--|--⌫-|-----|
con mentq ue conquiseslesaient	---⌫-----⌫-|--------|--|----|
dontnat urelesfet est ranges	---|---⌫--|--|--|---⌫-----|
hada me parle	-|--⌫-|--|-|
roi de s anges	--|--⌫|----|
aprenez moi doncto utes	------|--|---|--⌫---|
quels ch osespeuent	----|--⌫---|-----|
estremo ies	----|--⌫--|
mie npu isrie nsauoir	---⌫|--⌫-|---⌫-|----|
ce m o utb iensauoir	-|-⌫-⌫-|-⌫--|-----|
oiserespo ndireson	-|-|-----⌫--|----|
mesnen tentpas chanpne	--||--⌫---|--|----|-|
ne robesne t ex garnemanz	-|----|-|-⌫-|--------|
n enusterriens	-⌫|--|-------|
ne meubles deque lque	-|------|-|---⌫---|
meilleur c h ose et pluschiere	-------|-⌫-⌫--|-|---|-----|
t ouz les biensque de dan zto isenz	-⌫--|--|----|--|--⌫---⌫|--⌫|---|
etquesi bienlesc onnoi s enz	-|--|-|---|--|-⌫-----⌫|--|
qui tedemeurent sanzcess ier	--|-|--------|---|----⌫--|
iln e tepe uent lessier	-|-⌫|-|--⌫---|------|
porfer e a autre autelseruise	--|---⌫||----|----|------|
c istbiensunt tienadroit e g uise	-⌫--|---|---|---||-----⌫|-⌫---|
esautresb ien qu isunt	-|-----|-⌫--|--⌫|---|
n astu uaillantun	|-|-|-------|-|
uiezlorain	---|-----|
netu n e nul homequiuiue	-|-|-⌫|--|---|--|---|
niauezuaillantuneci ue	||---|-------|--|--⌫-|
car sachiez	--|------|
quetoutesuos	--|-----|--|
suntenuo smeis mesenclose s	---|-|--⌫|----⌫--|-------⌫|
tuita utrebien suntde fortun e	---|-⌫---|---|---|-|------⌫|
esparpille eta u ne	---------|-|-⌫-⌫-|
ettost etdone	-|---|-|---|
asonuoloir	|--|-----|
domlesfolsfetrir e e tdolo ir	--|--|---|--|---⌫|-⌫|----⌫-|
mes riensq uefortu neferoit	--|----|-⌫-|-----⌫-|-----|
nussages ho mn epriseroit	--|----|--⌫|-⌫|--------|
feroit liened olant	-----|--|-|-⌫----|
li tourzdesaroeuo l an t	-|----|-|-|--|--⌫-⌫--⌫|
sifetsunttropdout able	-|--|---|---|----⌫---|
por ce q uil	--|-|-⌫|-|
nesuntpasestable	-|---|--|------|
porcenestpre uzlamour de	--|-||--|---⌫-||----|-|
preudomenabeli	-------||----|
estpa s droit qu	--|--⌫|----|-|
el abelisse	-|-------|
quantporsipoichi et eneclip se	----|--|-|--|---⌫-|-|-----⌫-|
ceueillquetulasach es	-|----|--|-|-|----⌫-|
quetonqueurporriens n	--|--|----|--|----||
sinen iestupasen tec hiez	-||-|--|-|--|--⌫---⌫---|
m es cese roit tropgrantpechie z	-⌫-|-|--⌫---|---|----|------⌫|
se caauant t	-|-|----||
enentechoies	-|---------|
e tse tant	-⌫|-|---|
uerslesg enz	---|--|-⌫--|
que porleur ami	--|--|---|--|
tec lamasses	-|-⌫-------|
etle urauoirsan z plusamasses	-|--⌫-|----|---⌫|---|------|
ou lepreuqui	-|-|---|--|
d ausu endroit	|--|-⌫------|
nuspre udonabiennou	--|---⌫---||---||-|
cesteamor q u eietai ci	----|---|-⌫-⌫|-||-|-|
e tdespi te	-⌫|-----⌫-|
a merp ara mor s	-⌫--|-⌫-|-⌫---⌫|
et s o iessa gesetme croi	-|-⌫-⌫--|--⌫--|-|-|---|
m esd autre	-⌫-||----|
chos eteu oi	----⌫|-|-⌫-|
quanttum asmis	----|-||-|--|
s usta malice	-⌫-|-|-----|
que iehaine teconmant	--|-|----|-|------|
ordiquanta nquell euconman t	-|-|----|-⌫|---|-⌫-|------⌫|
cinef inast es huide dire	-|-|-⌫-----⌫-|--|-|---|
que iedoimonseignordespi re	--|-|--|--|------|-----⌫-|
pornes oi queleamo r sauu age	--|-|-⌫-|----|---⌫|----⌫--|
q uicercheroi tiusquanquartag e	-⌫-|---------⌫|----|-|-------⌫|
etdorien t en oc cide nt	-||-----⌫|-|--⌫----⌫-|
et bienuesqu ist tantque li dent	-|---|-----⌫--|------|-|---|
lifeus sent	-|----⌫---|
ch eudeueil lie ce	--⌫-|-|----⌫---⌫-|
touriorz san zperece	-------|---⌫|-----|
fes an t sauisitac ion	---⌫--⌫|-|-------⌫--|
par midi p ar septentrion	--|---|-⌫-|----------|
e usttretoutueu	-⌫--|------|--|
ilpa sacon se u	-|--⌫|----⌫--⌫|
ceste amor que ci d it mauez	----|---|--|-|-⌫-||---|
bienenf ul emondeslauez	---|-|-⌫|-⌫|-----|----|
des lo rsq ue lidieusenfoirent	--|--⌫---⌫-|-|---||--------|
quantlige antlesass ail lirent	----|-|--⌫--|--|---⌫---⌫-----|
etd roizet chasteezet f o iz	-|-⌫---|-|-------|-|-⌫-⌫-|
senfoirenta	|--------||
cele a morfusi	---|-⌫--|-|-|
es p erdue	--⌫-⌫----|
quel senfo isi estperdue	-|-||----⌫|-|--|-----|
iousticequiplusp esanz ie r e	-------|--|---|-⌫----|--⌫-⌫|
sis e n foila dasreniere	-||-⌫-⌫--|-|---------|
sile sse r en ttre tuitlesterres	-|--⌫---⌫-⌫--⌫|---⌫---|--|-----|
nepo rentsoffr irles guerre s	-|--⌫---|-----⌫-|--|------⌫|
esc exfirentleur habitacle	-|-⌫-|-----|---|--------|
non cpuis se nef u pa rmira cle	|--⌫|---|-|-|-⌫|--⌫|----⌫--|
noser en t caiusdeu a ler	|----⌫--⌫|-|--|---⌫-⌫--|
barazles en	----|--|-|
fistto uza ler	---|--⌫-|-⌫--|
quitient enterrel	--|----|-|----||
parsa force et	--|-|----|-|
par sonoutrage	--|--|------|
ne istullesqu i mistgrant cure	--⌫-|-----|--⌫|---|----|---|
encerchierse crezdescript u re	-|-------|--⌫---||-------⌫-⌫-|
ni pot tant sonenginde batr e	||--|---|--|----|--⌫----⌫|
quoncpl u s	-|--|--⌫-⌫|
de yy pereou de yy	-|-|---|-|-|-|
de t o uzles siec les tre s passez	-|-⌫-⌫-|--|----⌫--|---⌫-⌫-----|
puisquec istmondfu c onpassez	------|-⌫--|---|-|-⌫-------|
de sifines amors	-|-|----|----|
sicroi quemainz	-|---|--|----|
enespro uuast	-|-----⌫----|
decels qu ia so ntens	-|---|--⌫||--⌫|---|
qui si amide bo iche	--|-|--|-|--⌫---|
ne ncor n ai	|-⌫---||-|
genu l le ule u	-|--⌫|--⌫|--⌫|
e nditn ulteleu	-⌫|--|-⌫-|--|-|
etsuige plus sag e que	-|--|-|---|---⌫|--|
bi enseroiefolset entul les	--⌫-|-----|---|-|-----⌫--|
amorsuoloiequerre	----|-----|-----|
puisquilnenames	-----|-||-||--|
nulle ent err e	----|-|-⌫---⌫|
teleamordonquesouquerro ie	---|---|------|-|------⌫-|
q uan t ca ius	-⌫---⌫|-|--|
nelatroueroie	-|-|--------|
puisieuoler	---|-|----|
auecgr ues	---|--⌫--|
uoir esailliroutrelesn ues	----⌫|------|----|--|-⌫--|
confistlicignessocrates	--|---|-|-----|-------|
nen quierplus parl erie la	|-|----|---|----⌫-|-|-|
nes ui pasdesi	-|-⌫-|--|-|-|
fol espoir	--|-----|
lid ieu c u ider o ien t espoir	-|-⌫--|-⌫-⌫----⌫-⌫---⌫|-----|
queiasaillisseparadys	--||---------|------|
confirentli	--|-----|-|
geantia dis	----|--⌫--|
sen porro ieestre	|-|-----⌫-|----|
foudro iez	------⌫--|
n esai seuosle u oudroiez	-⌫|--|-|--|-|-⌫-------|
sinen doiiepasestre	-||-|--|-|--|----|
beau samis distel e ores co ute	----⌫|---|---|--⌫|-|--⌫--⌫--|
saceste amornepeuzataindre	||----|---|-|---|-------|
ca rau s inc b i en peut	--⌫|--⌫-⌫--|-⌫-⌫-|---|
i lremain dre	-⌫|------⌫--|
parton defautcon parlautru i	--|--|-----|--|--||-----⌫|
iet e nsegneraibien autrehui	-||-⌫--------|---|----|--|
autre nonpasmes ce meismes	----|--|--|--|-|------|
don chascunspeut	--|-------|---|
estrea meis mes	----||----⌫--|
m esquilprignelente ndemant	-⌫---|-|-----||----⌫------|
damors un pouplusl argemant	|----|-|--|---|-⌫-------|
quil aint engeneralite	-|-|---|-|---------|
etlest es pecia l ite	-|---|--⌫-----⌫-⌫--|
nifaceiaconmunion	||---|-|--------|
degrantparticipacion	-|----|------------|
tupeuzamergeneraumant	-|---|---|----------|
touzceusdu mondeleaum ant	---|---|-|----|-----⌫--|
ai m elestouza utantconmeun	--⌫-⌫|--|---|-⌫----|----|-|
a umains de	-⌫|----|-|
lamord o u conmun	|---|-⌫-⌫|-----|
feitantquetels enuerstouz soies	--|---|--|---|-----|---|----|
contouz enu erstoile suoudro ies	--|---|---⌫--|--|--⌫|------⌫--|
nefeiuersnuln ene	-|--|---|--|-⌫|-|
f orc equ etu uieuzqu	-⌫-|-⌫|--⌫|-|----|-|
en te face	-|-|---|
etsainsinc	-||------|
uoloiesame r	------|---⌫|
len tend euroit qu itecla mer	--||-|-⌫-----|--⌫--|---⌫--|
et ceste iestu tenuz	-|----|--|-|----|
sanz ce ste ne doi t n us	---|--⌫--|-|---⌫|-⌫-|
etporcequecest eamorlessent	-|--|-|--|----⌫|---|------|
c il quidemauferesengressent	-⌫-|--|-|------||---------|
suntenter re establil ii u ige	---|-|---⌫-|------|-⌫|-⌫-⌫--|
