seign eorpreudonor	-----⌫--|------|-|
s ond euant	-⌫-|-⌫----|
puishurt eapresso nescu ie r	---|----⌫|----|--⌫|----⌫--⌫|
mais perduason	---|----||--|
droi t sentier	----⌫|------|
parmileboisespesramé	----|-|---|----|----|
tan tapointet esperoné	---⌫||----|-|--------|
que soryylarons abat i	--|--|-|-----|----⌫|
quizz hommeauoientmordri	--|-|----|------|-----|
eins n e n sout	---||-⌫|---|
motsi f uentreus	--|-|-⌫|---|--|
quant sap arceutestoitdeceus	----||--⌫-----|-----|-----|
d iex re clamatr edoucement	-⌫--|--⌫----|--⌫|--------|
queluig a rdat d	--|--|-⌫-⌫---||
encumbrem ent	---------⌫--|
etlil a ronstantostl asa illent	-|-|-⌫-⌫---|------||---⌫-----|
quimoltdu r e mentle traua illent	--|---|--⌫-⌫-⌫---|-|-----⌫-----|
etlefere ntde	-|-|----⌫-|-|
t outepa rs	-⌫---|--⌫-|
li cheuali ersnes t miees c hars	-|-------⌫--||--⌫|--|--⌫-⌫---|
d ecopsrendre	-⌫|---|-----|
totenuiron	--|------|
t antlecoiteren tli l aron	-⌫--|-|--------⌫|-|-⌫---|
q ue lenfesli es tes chapiés	-⌫-||----|-|--⌫|--⌫-------|
deslaronsayy	--|-----||-|
troisblecié spu is senest fois	----|-------⌫|--⌫-||-|--|---|
etlil aronsont lenfant pris	-|-|-⌫----|--||-----|---|
diententreusqueen	----|---|--|--|-|
decest enfa nt qu e	-|---|----⌫-|--⌫|
nos auo ns	--|---⌫-|
dist li maistresi li ertuendus	---|-|-------|-⌫|-⌫--|-----|
u o sen suicreus	-⌫-⌫|-|--|----|
aceportcaa	|-|---|-||
franc ois poiteuinse tnormans	-----⌫--|--------|-⌫|------|
qu i uolentie rs	--⌫|--------⌫-|
lachetero nt	|--------⌫-|
atantl enfa ntporté	----||----⌫-|-----|
litroilenportentauriuage	-|---||-|------|-|-----|
maintit reuent sage	----||-⌫-----|---|
qui deman d entsantplusate ndr e	--|-----⌫-⌫--|---|---|---⌫---⌫|
il u eilent	-|-⌫-----|
celenfant u endre	--|-----|-⌫----|
et ci lrespon dentaestrous	-|--⌫|------⌫---||------|
poruendreleaportons	--|-----|-|-------|
porconbienle don rés sei ngn eor	--|------|-|---⌫---|---⌫---⌫--|
et cilrespondentsantdemor	-|--|---------|---|----|
porquanrant eliuresla urés	--|--------⌫|-----||-⌫----|
e tci ldient or legardés	-⌫|--⌫|----|-|-|------|
il u equ esunpaumi erauoit	--⌫-⌫---⌫-|-|-----⌫-|----|
qui deparisdefrance	--|-|----|-|-----|
de su lie uen oit sig lan t	-|--⌫--|---⌫--|---⌫---⌫|
apeloitclim e nt	------|----⌫-⌫-|
quantlenfa ntuit tanttostl ama	----||----⌫-|--|---|---||--|
centper pres d or	---|---⌫---||-|
porluidona	--|--|---|
limol tle gabe rent	-|---⌫|-|----⌫---|
mestredientcilquila	-----|----|--|--|-|
deniersaué sabonmar ch ie	------|----⌫||--|---⌫--⌫-|
b ienaue ́suostr orenploié	-⌫--|---⌫-|----|-|-------|
mesfolementdist clement uo ir	--|-------|---|------|--⌫-|
lo rsdist enbas	--⌫-|---|-|--|
ensonespoir	-|--|-----|
etporlessa insdebeliant	-|--|--|--⌫--|-|------|
etauoieafere	-|----||---|
porter lemesteut	-----|-||-----|
bienme pue tlente nirporfol	---|-|---⌫|--|--⌫--|--|--|
etpuisdis tapresnemec haut	-|---|---⌫|----|-|-|-⌫---|
se diexl ament bien le uaut	-|---||----|---|-|---|
onques nepoiauoir enfant	-----|-|--|----|-----|
un aneachete	-|--|-----|
mainte nant	------⌫---|
sialenfantdesuis chouchié	-|||-----|-----|--------|
puis atantquis	---||---|---|
et porchaci é	-|--------⌫-|
quenorriceli	--|------|-|
desonauoirlabien	-|--|----|||---|
etcelesorsaintl i iora	-|---|--|----|-⌫|---|
qu e lenfan ttrobien norira	--⌫||-----⌫|--|---|-----|
puisse met	---|-|--|
einsin t so n	------⌫|--⌫|
er retretau	--⌫-|---|-|
tantq uilesta paris uenus	-----⌫|-|--||----|----|
de s borioisueus	--⌫|------|---|
sil idienttuitbienuengn ie ́s	-|-⌫|----|---|---|-----⌫--⌫-|
oufucistenfesgaaing niés	-|-|---|----|------⌫----|
cl imensrespont	--⌫----|------|
outre lamer	----|-|--|
l al aifaitnoriretgarder	-⌫||-|---|----|-|-----|
ason o stelcli mens	|--|-⌫---|---⌫---|
recust bonement	-----|-------|
luietl enfanta	--|-||-----||
molt grantioie	---|----|---|
untelen f antbiennorri roie	-|--|--⌫-⌫--|---|-----⌫---|
lenfantaen bracéetplo re	|-----||--⌫-----|-|---⌫-|
etlebe soit santdemore	-|-|--⌫---|---|-----|
qu elecuiso itporu erite	-|--|-----⌫-|--|-⌫----|
enfan teustengend ré	-----⌫|---|------⌫--|
climensqu i l auoi taporté	------|--⌫||----⌫|------|
lenfantnorristpar g rantam or	|-----|------|--|-⌫---|--⌫-|
p or lamistiedesen	-⌫-||------|-|--|
cistest oreb ienasennés	---|--|--|-⌫--|-------|
seingneur pordieuorentendés	--------|--|---|-|--------|
siu osdiroi de l autreenfant	-|-⌫-|----|-||----|-----|
ladameaucorsuailla nt	-|---|-|---|------⌫-|
queseurla fontainedormo it	--|---|-|-------|-----⌫-|
unlion uintaluitotdroit	-|---|---||--|--|----|
l en fantuistmoltle couu oita	|--⌫---|---|---|-|----⌫---|
lorspenseq uil len	---|----|-⌫|-||-|
asesli oneauspor mengier	|--|--⌫-----|--|------|
lorspri stl enfantsansatargier	---|---⌫-||-----|---|-------|
etlaroin es	-|-|----⌫||
ui stg rant poura	--⌫-|-⌫---|---||
quisonenfantporte	--|--|-----|----|
lorscu id ebienparuerite	---|--⌫--⌫|---|--|-----|
queli lion	--|-|---|
le tiengneadens	-|------||---|
adonce nforcen tsestormens	----|-⌫-------⌫|--|------|
la sse distele que	--⌫--|---|--|--|
quantlesenfanssi perduai	----|--|-----|-|----|-|
si me sont tolus	-|-|---|----|
hedie xou fuli pechiefais	-|---⌫|-|-|-|-----|---|
dom ailecuerentel effroi	--|-|-|---|-|--|-----|
lors mist le	---|---|-|
palefr o i	------⌫-⌫|
semonteque	-|----|--|
etd istiamesnefinera	-|-⌫--|----|-|-----|
siauralelionat aint	-|---|-|---|--⌫---|
etlesenf ans dontele estaint	-|--|---⌫--|---|--|------|
lecuerpar de sou zlapoistrine	-|---|--|--⌫---⌫|-|--------|
atantsen u aitpar lagastine	----||-|-⌫--|--|-|------|
et li lion	-|-|---|
sen uafuiant	|-|-|-----|
ensagou leport e	-|-|---⌫-|----⌫|
lionssu s etius	----|--⌫|-|--|
quil est dela issus	-|-|--|-|-|----|
seur meruint	---|--|---|
enun s ablon	-|-|-⌫----|
mes p artens	--|-⌫-|---|
li simau non	-|-|--|--|
serpensqui descen d i	------|--|------⌫-⌫|
ceuoientcil qui	-|-----|--|--|
lontchoi si	|--|----⌫-|
quil porteroi t un cheualier	-|-|--------⌫|-|--------|
tres tui tarmésors ond estr ier	----⌫---⌫|----|--|-⌫-|-⌫----⌫--|
droita ulio ndona	----|-⌫|---⌫|---|
ases ongles	|--|-----|
parmioutrelacha r li	----|----|-|---⌫|-|
pu istentseselessis en uait	--⌫-|---|--|---|-||-|---|
se loncla mers enuauola nt	--⌫---|-|--||-|-|----⌫-|
lelionenporteet le nfa nt	-|---|-|----|-||-⌫---⌫-|
queda m ediex sibien gardo it	--|--⌫-⌫----|-|---|-----⌫-|
enfens mal nensentoit	-----|--||-|------|
e n unilleq uefusorm er	-⌫|-|---|-⌫-|-|--|-⌫-|
sen ua l iserpen s repouser	|-|-|-⌫|------⌫|-------|
aterre descent	|----|------|
li gri fons	-|---⌫---|
estparc eusli	--|----⌫--|-|
alaterre u enu s	|-|----|-⌫---⌫|
lenfa nta misbelement ius	|----⌫-||--|-------|--|
quisse p ristle gri fon	-----|-⌫---|-|---⌫--|
au densenpr istteluenaison	-|---|-|--⌫--|--|-------|
q uelaquisselirontparmi	-⌫-|-|-----|-|---|----|
ligrifonsiu s d e	-|------|--⌫|-⌫|
carsaforce e st apeti cie	--|-|----|-⌫-|-----⌫--|
aamonthau cie	|----|---⌫--|
la poesenfiert le	-|--||-|----|-|
p ar s itregranta iroison	-⌫-|-⌫|--|----|-⌫------|
le lionpris	-|---|---|
lidesron tetlesner s	-|------⌫|-|--|---⌫|
m ortl a quendiroieplus	-⌫--|||-|-|-----|---|
char estmolttr eb i enpus	---|--|---|--⌫|-⌫-⌫-|--|
dugrifon sise c onraa	-|-----|-|-|-⌫----|
que onqueslenfant	--|-----||-----|
n en toucha	|-|-----|
par delies lenfantsesten di	--|-----||-----||-----⌫-|
lipetisenfantentendi	-|----|-----|------|
asmemelessi lesal aite	-|------|-|--|--⌫---|
l a lio nessebiens afaite	-⌫|---⌫----|---||-----|
sesmammeleslimetdeua nt	--|-------|-|--|----⌫-|
porce qu elaite ru elt lenfan t	--|-|--⌫|-----⌫|-⌫--||-----⌫|
einsi m ostre diexsa uertu	----|-⌫----|---|-|----|
quilenfant uou t metreasalu	--||-----|---⌫|----||---|
quantlienfesfusaoulés	----|-|----|-|-------|
du lion come oia ués	-|---|---|-|-⌫---|
fist lilions	---|-|----|
as ong l es quil otgransetlons	-|---⌫-⌫-|-|-|-|----|-|---|
le nfantboneme nt ia trait	|-⌫----|------⌫-|||----|
dugrif o nifistsonat rait	-|----⌫-⌫||---|--|--⌫---|
cha r uoldra	---⌫|-----|
lenfant norir et	|-----|----|-|
lilio n slaiens	-|---⌫-⌫|-----|
yyi ors entiers	-|-⌫--|------|
ta ntcomegens	--⌫-|---|---|
co uenoit passer	--⌫-----|-----|
lornief orentfaitascesmer	--|---|----|---|-------|
dar mes garni etot entor	|--⌫--|-----⌫|--|----|
moltiorentfai t bel	---||----|---⌫|--|
pontfurent aancré	---|-----|------|
n i orentpasgairese s tié	||----|--|-----|-⌫-⌫---|
roin euient corant	----⌫|----|-----|
molttregrant	---|--|----|
d oleurdemenant	-⌫----|-------|
uenueaesperon	----||------|
quechasc an t al oitlel io n	--|-----⌫--⌫|--⌫--|-|-⌫--⌫|
l esmarroiniers aap elés	-⌫-|----------||--⌫----|
seigneursdisteleo u	--------|---|--|-⌫|
damenosalonse nsulie	---|--|----|-⌫|----|
laou diexp ristet mort etuie	-|-|---|-⌫---|-|---|-|--|
he disteleseigneor baron	-|---|--|-------|----|
uosfaceurai par don	--|---|---|---⌫--|
leissiésmoiaueuc uo spasssier	--------|--|----|--⌫|-------|
le sepul c reueilaourer	-|-----⌫-⌫-|---|-----|
cill agarden t s e n	--||-------⌫||-⌫|
o ntp ie te	-⌫-|-⌫--⌫-|
porcequela sibel	--|-|-|-||-|--|
e luesselmaintenant la misent	-⌫|-----|---------|-|-----|
de mandentetli disent	--⌫------|-|-|-----|
dame pord ieudomestesuos	---|--|-⌫--|--|----|--|
i luosplaistdites l e nous	-⌫|--|-----|----|-⌫|---|
la roine tantost lorc onte	-|----|------|--|-⌫---|
en nuiet sag ran t honte	--⌫--|-|-|-⌫---⌫|----|
queon li otfaitsitres	--|-|-|-|---|-|---|
tot lor conta dechief	--|--|----|-|----|
en c e quilest oientissi	-|-⌫|-|-|---⌫----|---|
d iexueult auoir	-⌫--|----|----|
comilles ueult	--|-|--|----|
limarroiniers	-|----------|
dontieuos di	---|-|--|-|
di lueques s en	|-⌫------||-|
sont depa rti	---|----⌫--|
d roitalafossesontuenu	-⌫---||-|----|---|---|
totma int enantison coru	--|--⌫---⌫----||--|---|
lo r se sgar d ent	--⌫-⌫|-⌫----⌫-⌫--|
si ontue u	-|--|--⌫|
lenfantpet i tquilaiensfeu	|-----|---⌫-⌫|--|-----|--|
saintema rieliuns dist	-----|--⌫--|-|--|---|
est ceenfesquilaiensgi st	--|-|----|--|-----|--⌫-|
oildist liautres	--|---|-|-----|
enfes estce siiecroi	----|--|-|-|-|---|
et distl i un sie liroiprendr e	-|---|-⌫|--⌫|-||---|------⌫|
isnel ementsansriensate nd re	-----⌫----|---|----|---⌫--⌫-|
distli autresuo sniir és	---|-|-----|--⌫|||--⌫--|
qu e uo sseriés ia	--⌫|--⌫|------|-|
deuor rés	-----⌫---|
ai nsl irons	--⌫-||----|
d ir eaconpainons	-⌫--⌫||---------|
etmain tenantleurconterons	-|----⌫-----|---|--------|
etla uentureet lamerueille	-||-⌫------|-|-|--------|
acemo tlilions s esueille	|-|--⌫|-|----||-------|
l ors se her iceet	-⌫--|-|---⌫--|-|
sisest ent	-||---⌫--|
pie s isnelemen t	---⌫|---------⌫|
quant cil leu oient	----|--|-|-⌫----|
s us le u é	-⌫--⌫--⌫-⌫-|
for menten sont esp oenté	---⌫---|-|---|---⌫-----|
quep oo r orentdemorir	--|-⌫--⌫|----|-|----|
tantostse mettenta	------|-|------||
porlap ou ro ntob lié s	--|-|-⌫--⌫|-⌫-|--⌫----⌫|
garnemensquilorent por tés	--------|-|-|----|---⌫---|
et l ionssen uaseuant	-|-⌫---||-|-|-----|
mescilfuienti senelemen t	--|--|-----|-⌫---------⌫|
enleurnief sont	-|---|---|---|
mo lt t ostentre ́	--⌫-|-⌫--|-----⌫|
formentfurentes poente ́	------|-----|--⌫------⌫|
oiés dient	----|----|
lico n pa i non	-|--⌫-⌫--⌫-⌫--|
tro u éun lion	---⌫-⌫-|-|---|
en unef osseousegisoit	-|--|-⌫---|-|-|-----|
unenfant auo it	-|-----|---⌫-|
quimol tie rtbeausadesmesure	--|---⌫|--⌫-|----||--------|
onquesplusbelec reat ure	-----|---|---|-⌫----⌫--|
neueis tesenuostre	-|----⌫--|-|-----|
diexq uel dol euretquel domage	---|-⌫--|---⌫--|-|---|-----|
quelilionsle manger a	--|-|----|-|------⌫|
tantostfains	------|----|
le ngo i ssera	|-⌫---⌫-⌫----|
cha ciés an s e s tri f	---⌫---|-⌫--⌫|-⌫-⌫---⌫|
biennosuaquenos sommesu if	---|--|-|--|--|-----|-⌫-|
etlaroineleur	-|-|----|---|
sest oit folenesto ut e	|---⌫--|---||----⌫--⌫|
hefaitelepordieu merci	-|---|--|--|---|----|
cestmesenfes ie soide	|--|--|----|-|--|-|
po rdie u leissésmoi	--⌫|---⌫|-------|--|
que aimmiex mor ir a ueuc	--|--|---|---⌫-|-⌫---|
que ienelaissemonenf ant	--|-|-|-----|--|---⌫--|
damedientl i m a rinant	---|----|-⌫|-⌫-⌫-----|
uos ip oés tre	--||-⌫---|--|
mesno snef	--|--⌫|--|
ato rn e r	|--⌫--⌫-⌫|
laissiés ester ma d ouce dam e	--------|----|-|-⌫---|---⌫|
ro ineestesetg enti exfamme	--⌫--|----|-|-⌫----⌫-|----|
encorpoésau oir grantbiens	----|----|--⌫--|----|----|
tout cefaite l ene	---|-|---|-⌫-⌫|-|
u aut riens	-⌫--|----|
ueil a estrous	---||------|
d a me font i l cepoisenos	-⌫-⌫-|---|-⌫|-|----|--|
quantdel aler	----|-||---|
estes engr esse	----|----⌫---|
faitesuos doncauantconf esse	-----|--|---|----|----⌫---|
d e maintenant	-⌫|---------|
aun prestre molt sachant	|-|------|---|------|
sapenit e nce	-|-----⌫-⌫--|
lors lasoutetpuis	---||----|-|---|
laboneda meat antsentor ne	-|---|--⌫-|--⌫--||-|---⌫-|
u oie torne	-⌫--|----|
ladam es enuabi en garn ie	-|---⌫||-|-|--⌫-|----⌫-|
li ch apelain sli abaillie	-|--⌫-------⌫|-||------|
lestole et leuueaa	|-----|-||---|-|
etladame d err er sesploite	-|-|---||---⌫-||-------|
maistantdistala conp ainie	---|---|---||-|----⌫----|
pordi exqueneseuoisent	--|--⌫-|--|-|-|------|
cil r esp ondentsant c ontredit	--|-⌫---⌫-----|---|-⌫-------|
dameuol entiers	---|---⌫------|
poru ous gran tpiecedemoron	--|-⌫--|----⌫|----|------|
e tladame tot	-⌫|-|---|--|
santdestrie r	---|-------⌫|
co mencaceleis le	--⌫----|---|--⌫-|
tan ta cherc hiétan taalé	---⌫||-----⌫---|---⌫||---|
el e aleliontr oué	--⌫||-|---|--⌫---|
etquantladamel	-|----|-|---||
diexdiste le	---|---|-⌫-|
par tauer tu	--|-|---⌫-|
o uest mes enfes quantuoi	-⌫|--|--|----|----|--|
l i lio ns l a mangiécecroi	-⌫|---⌫-|||------|-|---|
lo r s passeauant	--⌫-⌫|----|----|
etsi esgarde	-|-|------|
lenfa nt q uiau o it bone	|----⌫-|-⌫-|--⌫-⌫-|---|
carci llauoi t	--|--⌫||----⌫|
engarde m is	-|----|-⌫-|
quine uoutp asqu il f ust pe r is	--|-|---|-⌫-|-|-|-⌫--|--⌫-⌫-|
lionot poorgrant	---|-|---|----|
lorssecommence a coniurer	---|-|-------||-------|
dediexquit otpu etgouerner	-|---|--|-⌫-|--⌫-|-------|
etde sparoillesque diexdist	-|--⌫|--------|--|---|---|
et dess ai ntes enn orsqu il	-|--|-⌫--⌫---|---⌫--|-|-|
quepoissancenaiéssormoi	--|--------||----|--|--|
doncueissésle lioncoi	---|-------|-|---|--|
deuantl i sieten genoillié s	-----|-⌫|---|--⌫----------⌫|
celecui le	---|--|-|
c uerfuirié s	-⌫--|-|-----⌫|
cuertpor l e nfantsi lesesi	----|--||-⌫----|-|-|---|
fosses enissi	----||-|---|
quantlenfant	----||-----|
tintsifuaese	---|-|-||--|
centf o isenunrandon	---|-⌫-⌫-|-|-|-----|
atant semis tare pai rier	----|-|---⌫||--⌫---⌫---|
m es l ilio nsneuoutlessier	-⌫-|-⌫|---⌫-|-|---|------|
sieuttot ades	----|--|---|
de la dame	-|-|---|
s etenoitp res	-⌫|-----|-⌫--|
tot adesuaapresl	--|---|-|----||
et aluifaitm olt biau	-||--|---|-⌫--|---|
delenfantne u oult	-||-----|-|-⌫---|
li m arroiniers uoi entuenir	-|-⌫---------|---⌫--|----|
l a d ame ou euq ues le lion	-⌫|-⌫--|--⌫---⌫--|-|---|
sienfurentengr a ntfri con	-|-|-----|-|--⌫-⌫-|---⌫--|
et la dam e les	-|-|---⌫|--|
seingneurpor diexquinosf orma	--------|--|---|--|--|-⌫---|
faites tant quesoielaiens	-----|---|--|---|-----|
dame fo ntile stno iens	---|--⌫-|-|-⌫-|--⌫---|
cee ns nenterras	---⌫-||-------|
senosnauons	-|--||----|
du l io n pais	-|-⌫--⌫|---|
seigneu r diexne	-------⌫|---|-|
ia neuo s f era ui loinie	-|-|--⌫|-⌫--|--⌫-----|
atant la dameen lanefentre	----|-|---|-|-|--|----|
etlil io n s auue ntr e	-|-|-⌫--⌫-⌫|-|--⌫---⌫|
semeten leweapreslenfant	-|--|-||--|----||-----|
sigrantpourontouc halant	-|----|---|--|-|-⌫-----|
qu e onques m aisnore nt	--⌫|-----|-⌫--||---⌫-|
morircuido ient liplus or	----|-----⌫---|-|----⌫-|
tost tostce distl i mest re	---|---|-|---|-⌫|----⌫-|
n auonsplusic imestier d	|----|---|--⌫|------||
donc dientq ui	---|----|-⌫-|
lienserent	----|----|
qui l elionprimertroueren t	--|-⌫|---|-----|--------⌫|
fuionsfuions tuitsom esmort	-----|-----|---|---⌫-|---|
a nossamort	|--||----|
s achié st osnos afo lera	-⌫------⌫|-⌫-|--|---⌫---|
queiaun s n e n esch apera	--|-|--⌫||-⌫|----⌫----|
quinenosmeniuterraument	-||-|--|-----|--------|
leue ́s uoilesis nelement	----⌫-|-----|--⌫-------|
