puisquececi feniauons	------|---|---|----|
quard i e x douc ielfeutram ist	---|-⌫-⌫-⌫|--|-⌫--|--|----⌫--|
quialamor tlesm ist	--||-|---⌫|--|-⌫--|
q uarco n trele	-⌫--|--⌫-⌫--|-|
comm endement	----⌫-------|
t otau tre c icilqu i fuira	-⌫-|--⌫---⌫-⌫|--|--⌫|----|
le co mmen t dedieu	-|--⌫----⌫|-|---|
a ucunsautres enseyg nemen z	-⌫----|-----|------⌫-----⌫|
feuxen serali uengemenz	---|-|---|-|--------|
deco uoytize etd auaric e	-|--⌫------|-||------⌫|
ettuauecque s peche	-|-|-------⌫|----|
uoilles a prochier del	------|-⌫-------|-||
fl amb e per petuel sera	--⌫---⌫|---⌫-----|---|
quicestuimes fetuengera	--|-----|---⌫--|------|
uiend eauspreuoyres	-----⌫|--|--------|
racontent ici les estoyres	--------|--|--|-------|
cell equeli peuples doitprendre	----⌫|--|-|------|---|------|
prem erement deuons ent en dre	----⌫------|-----|---⌫--⌫--|
quantdedieu fuf ormez limondes	----|-|---|-|-⌫----|-|-----|
quetot e schoses	--|---⌫-⌫|-----|
forma mond es	----|----⌫-|
mo urs deshomesqui sont	--⌫--|--|----|--|---|
qu ineteeoutoy chesont	--⌫|----|-|---⌫---|--|
sontsen efiees	---|---⌫-----|
etp aintes	-|-⌫-----|
e snature s	-⌫|------⌫|
debestes mai ntes	-|-----|---⌫---|
besteron gensongledeuise	----|---⌫---|----|-----|
estuiend e deiuif	--|-----⌫|-|---|
mes b est e q uine r ongemie	--|-⌫---⌫|-⌫-|-|-⌫---|--|
ellena lo ngl e partie	---||||-⌫---⌫|-----|
cell enedoitiui s user	----⌫|-|---|---⌫|---|
enzladoitdoutotrefuse r	--|-|---|--|--|------⌫|
oez quelnote ceu demende	--|---|---|--|------|
iusroingesaui e nde	--|-----|-|--⌫-⌫--|
se ilportee tse	-|-|----|-⌫|-|
lescommenzdedieuensa b o yche	--|------|-|---|-|-|-⌫-⌫---|
son gleest fendueetdeuise	|--⌫--|--|-----|-|-----|
quantl es commendemensdeuise	----|-⌫-|-----------|-----|
qui sont en lencienne loy	--|---|-||-------|--|
et sainctesp ar olesdefo y	-|-------|-⌫--⌫---|-|--⌫|
liiuifro ngentuoyreme nt	-|---|--⌫----|-------⌫-|
ceuqueilontencommendement	--|--|-|--|-|-----------|
d elaloyqueil on tlehue	-⌫|-|--|--|-|--⌫|----|
masi l nont pasl ongle	--|-⌫||--|--||----|
ilho nt bien	-|--⌫-|---|
lescom mende mens	--|---⌫-----⌫---|
masiln ontpa stestamens	--|-||--|--⌫|--------|
n enont seulement quunq uaril	|-|--|--------|-|-|-⌫--|-|
necroyent lepere	-|------|-|---|
lauuillelo y comm endeet	-|-----|--⌫|----⌫---|-|
poy ssonquia eschi erde	---⌫---|--||-----⌫---|
quelalig niedesiuis	--|-|---⌫--|--|---|
enpuiss e user	-|-----⌫|---|
ce sta dire situueauxestre	|-⌫-||---|-|-|----|----|
uie ndeaupoysse ntroy cel estre	---⌫--|-|------⌫-|--|---⌫----|
e nauoyrladroitenature	-⌫|----|-|-----|-----|
depoyssonm e tezpoyneetcure	-|------|-⌫-⌫--|----|-|---|
li poyssonquilesnoes ont	-|------|--|--|---|--|
quisurayueleuerlesfont	--|--|---|----|--|---|
sontcilqui e slieuent toz dis	---|--|--|-⌫-------|--|--|
lorpensees	--|------|
e nparadis	-⌫|------|
ueritez e st quechascunstent	------|-⌫-|--|-------|---|
alaioyequi finn ep rent	|-|---|--|--|-⌫|-⌫---|
masla c hart antnous	--|-|-⌫--|-⌫--|---|
m aynee t fet	-⌫---|-⌫|--|
qu eledeauta u basnou s tra et	-|--|-|--|-⌫|--|---⌫|---⌫-|
mes si tule s esche rdesas	--|-|-|--⌫|-----⌫---|-|
sachesq uetozse ur sseras	-----|-⌫-|--|--⌫--⌫|----|
auss i conles escherdessont	----⌫|--|--|--------|---|
conioi ntes quelipoisson ont	------⌫---|--|-|------|--|
au ssi se plus orsuertuz as	--⌫--|-|----⌫--|-----|-|
am ass eesse ursseras	--⌫---⌫--|--⌫--|----|
lestoyreco mmende	|------|--⌫-----|
qu eaiui f	--⌫||---⌫|
nesoituiende	-|---|-----|
oys elquidesozsonpiet ient	---⌫-|--|----|--|--|-⌫---|
la uiende quilli	-|-----|-|-|-|
agle prem er eme nt	---|----⌫--⌫---⌫-|
c ell e uo lleplus	-⌫---⌫|--⌫--|---|
qu etuit oyselqui eles	--⌫|---|----|--|---|
enceteorgoylleuxnoté sont	-|---|---------|----|---|
etligrif eunesbestessont	-|-|----⌫|---|-----|---|
qui pe nes etquatr epiezont	--|--⌫--|-|-----⌫|---|--|
elleoci t homesche uaux craint	---|---⌫|----|---⌫---|-----|
en icete n oteraui en t	-|----|-⌫---|---⌫--⌫|
la feloniede spoyssens	-|------|--⌫|-------|
lamortdeshomesacro yssans	-|---|--|----|----⌫-----|
esmerillonsest unsoysea ux	----------|--|--|-----⌫-|
pet it eforce ae stbeaux	---⌫--⌫|----||-⌫-|----|
petit oyse ls ont la uiende	----|----⌫|-⌫--|-|-----|
queilpor l esuencors demende	--|-|--|-⌫|---|---|------|
senefienzceuxqu i	--------|---|--⌫|
la febl e gent et quitrauai llent	-|----⌫|---|-|--|------⌫----|
aucuns quie npouretesont	-----|--|-⌫|------|---|
et deau xdefendrepoern ont	-||---⌫|-------|---||--|
li esc oufl esquantilafain	-|---⌫----⌫-|----|-||---|
ne uollep asto z io rsenuain	-|----|-⌫-|--⌫|--⌫-|-|---|
en s esforce tant espie	-||------|---|----|
quepossinsprent	--|------|----|
por sab o ydi e	--|-|-⌫-⌫---⌫|
totaussi f aitcisqui na	--|----|-⌫--|--|--|||
s estudiemot et s esf orce	|------|--|-||---⌫---|
e ntotesg uises c omiltruisse	-⌫|----|-⌫----|-⌫-|-|------|
agai zcommentilnuyrepu i ss e	----⌫|------|-|----|--⌫-⌫--⌫|
riens neplest au uostorsenzfaille	----|-|----|-|-----|---|-----|
tant commefetmo r telbatayll e	---|----|--|--⌫-⌫--|-------⌫|
por cequecha ruignesytruisse	--|-|--|---⌫------||------|
desq uellessaollersep ui ss e	--|-⌫-----|------|-|-⌫--⌫--⌫|
si resemblece ux quilesgue arres	-|-------|--⌫-|--|--|---⌫----|
ensi uentparto tes	----⌫---|--|--⌫--|
et lesos desguearresensiuent	-|--|-|--|-------|-------|
desp o ylle sd omilui uent	----⌫-⌫----⌫|-⌫-|-|--⌫---|
li corbeaux qui	-|-------|--|
est no irsdemende	--|--⌫--|------|
lescharuigne sp oursauiend e	--|---------⌫|-⌫--|-|-----⌫|
notansceauxqu iprenent les biens	-----|----|--⌫|------|--|----|
conu ertementou ilnont riens	----⌫-------|-|-||--|----|
quiprim es omicidesso nt	--|----⌫-|-------|--⌫-|
deeau xmei smese tpuistant f ont	-|---⌫|---⌫---|-⌫|---|---|-⌫--|
cotr eementsontsinuisant	|---⌫-----|---|-|------|
questrange gent uont	-|-------|---|---|
d e struisant	-⌫-⌫--------|
cilquilaloyde	--|--|-|--|-|
di euapr i st	--⌫-|---⌫-⌫-|
ensemblencedes o yse aux	-|--------|--|-⌫---⌫--|
quiex lonordece stmon de	----||---|-|--⌫-|---⌫-|
a tote feloniea fonde	|---|------|-⌫----|
quidesouz la	--|-----|-|
co uerture	--⌫------|
se co uurentde	-|--⌫-----|-|
longuement pordeception	---------|--|--------|
seseuenthum blement tenir	-|-----|---⌫------|----|
c agranthon o ur puissen tuenir	||----|---⌫-⌫-|-------⌫|----|
de los truceescr itouliure	-||--⌫----|----⌫-|-|----|
dei ob trouonst otadeliure	-|-⌫-|------|-⌫-||------|
quelapenesdetelator	-|-||----|-|--|---|
comed ef auconoudost or	---|-⌫|-⌫----|-||---⌫-|
m eselnapasson uollem ent	-⌫-|-|||--|--|------⌫--|
a uolerynellement et	|----|---------|-|
sene fiey po cris te	----⌫--|-⌫--⌫----⌫-|
q uiuoleen	-⌫-|---|-|
faygnantluitriste	-------|--|-----|
lypo critesfaint en	|---⌫-----|----|-|
sesfaizes t redo rezdefors	--|---|--⌫-⌫-|--⌫--|-----|
masde danza penseet orte	--|--⌫---||-----|-⌫---|
quidesirde plon enluy	--|----|-|---|-|--|
a useauxdela	-⌫-|---|-|-|
cuetenu it	----|--⌫-|
liior s etsi uoitcl ierpar	-|---⌫|-|-|---|--⌫--|--|
limauue scesto ysel resemble nt	-|-----⌫|---|-⌫---|--------⌫-|
quip arnuit	--|-⌫-|---|
lesmausfontemblent	--|---|---|------|
etlesmalicesparnuitfont	-|--|------|--|---|---|
nelesb iensque	-|--|-⌫---|--|
doneiorsnont	---|---||--|
lir aallesest unsoysea ux	-|-⌫-----|--|--|-----⌫-|
esayues entre	-|----|----|
le sruis seau x	--⌫|----⌫----⌫|
lepoezaucunefoiz querre	-|---|-----|---|-----|
a ucunef oizhabite enterre	-⌫----|-⌫--|-----|-|----|
en ayuecompoy ssonsse	-|---|--|---⌫----|-|
asem blence	|---⌫-----|
doyse luolle	|----⌫|----|
oyseauxestnoirs petiz et gras	------|--|----|----|-|---|
neuol er mont loin n e poutpas	-|---⌫-|---|---|-⌫|---|--|
autresi so nt cheualier	------|--⌫-|--------|
que che uallerie	--|---⌫-------|
sont formente xc ité	---|------|-⌫--⌫---|
qu il laborenten u anite	-|-|-------|-|-⌫----|
aucunefo izenayu eson t	-----|--⌫-|-|---⌫|---⌫|
quantluxure maynent etfont	----|-----|------|-|---|
liostors uolleaproyep rendre	-|-----|----||----|-⌫-----|
por sons eygnorui endere ndre	--|--|-⌫-----|--⌫---|--⌫---|
autresisontma int diligent	------|---|--⌫--|-------|
dedomag erlapoure gen t	-|-----⌫-|-|----|---⌫|
porlauolunteque	--|-|------|--|
aceu xacu iser uise ilsont	|---⌫||--⌫|---⌫---|-|---|
li cha uans qui le	-|---⌫---|--|-|
solloylhet	------|--|
sauie nde porchacierset	-|---⌫--|---------|--|
parnuitet leso yseauxredote	--|---|-|--|-⌫-----|-----|
quardesoysea uxla	---|--|-----⌫-|-|
torbe tote	----|---|
qua ntcetu ioyselueerpeut	---⌫-|----⌫|----|---|---|
encontreluit ot es esme ut	-------|--|-⌫--⌫||----⌫-|
ene scrientsusluisembat	-|-⌫------|--|--||----|
etde elles et de piezl ebat	-|-|----|-|-|---|-⌫|--|
cis senef iepar droytur e	--|-----⌫-|--|-------⌫|
les peche orsco ntrenat ure	--|-----⌫--|--⌫---|---⌫--|
ceau xquiou co rsmal entechié	----⌫|--|-|--⌫-|--|--------|
en re post parfontcestpechie	-|--⌫---|------|---|-----|
etliiustont	-|-|---|--|
entencio n	--------⌫|
dicez met re	|---|---⌫-|
a destruc tion	|-------⌫---|
li plu nionsuigoreusement	-|---⌫----|------------|
seplo ngeenayue	-|---⌫--|-|---|
etlongue ment	-|------⌫---|
soz ayu esademore fa it	--|---⌫|-|-----|--⌫-|
icisaus pecheor sretrai t	---|--|-------⌫|------⌫|
quien luxuremis	--|-|-----|--|
e ttrop l onguede more	-⌫|---|-⌫----|--⌫---|
laci goynequifa itgr ant	-|--⌫----|--|--⌫-|--⌫--|
ousonb ec nusoyseausne nu it	-|--|-⌫-|--|------|-|--⌫-|
col leuuresquiert e t senzdemore	---⌫------|-----|-⌫|---|-----|
quantella troue	----|-|-|----|
lad euor e	-|-⌫----⌫|
totautres sima int f erese ulle nt	--|------⌫-|--⌫--|-⌫--|--⌫----⌫-|
qui les a utres trob lerneuoullent	--|--|-⌫----|----⌫--|-|-------|
enssit c ruelso nt	-----|-⌫---|--⌫-|
que ueninretie nnenteto nt	--|----|-----⌫----|-|-⌫-|
lisignes blans quiert etdemen de	-|-----|----|-----|-|-----⌫-|
e nayue ente rresauiend e	-⌫|---|-|--⌫--|-|-----⌫|
robes b la nchesont	----|-⌫--⌫----|--|
lorgo rgesestend uessont	--|--⌫---|------⌫--|---|
ato tesles	|--⌫--|--|
ui endes qu erre	--⌫----|--⌫---|
quelontrou ueenayue e nterre	--|--|----⌫-|-|---|-⌫|----|
liheronsa uer ayement	-|-----||---⌫------|
au signe grant resembleme nt	-|----|----|----------⌫-|
e n l agorgede luitantentr e	-⌫|-⌫|----|-|--|---|----⌫|
quelest resem blableauuentre	-|-|--|-----⌫-----|-|-----|
couoy teux deuiende pren dre	-----⌫---|-|-----|----⌫--|
amassensquan tquilco mpre n d re	-------|----⌫|-|-|--⌫----⌫-⌫-⌫-|
e tcequil pre nt enla riuere	-⌫|-|-|-|---⌫-|-|-|-----|
en uentreoue nbec rent a rr iere	-|-----|-|-⌫|--|---|-⌫--⌫---|
autressicomme sil roniast	-------|----||-|------|
laui endeque ilman i as t	-|--⌫---|--|-|---⌫-⌫--⌫|
lirichescoyteux deric heses	-|-----|------|-|---⌫----|
qui bastistet faitforteleces	--|------|-|---|---------|
e tporsonuentre	-⌫|--|--|-----|
mot as emble	--|--⌫----|
cetui oys el m outbien	----|---⌫-|-⌫--|---|
amonc ell efrui z si granz	-----⌫---⌫|----⌫|-|----|
quilnepuent	-|-|-|----|
enplusorsanz	-|------|--|
nigasténi	-|-----|-|
etpuislesestuetpuetcel	-|---|--|-----|---|--|
enpro p resusagesde spend re	-|---⌫-⌫--|-----|--⌫-----⌫-|
aus si com d	---⌫-|--||
unuen trerendre	-|---⌫--|-----|
porfire sce	-------⌫|-|
dientauquant	----|------|
estse mblables au pelliquant	--|--⌫-------|-|---------|
lau iendeouson p ie p orte	-|-⌫----|-|--|-⌫-|-⌫---|
aubecdonsauieconforte	-|--|--|-|--|-------|
esayuesre pere et laq u iert	-|----|--⌫---|-|-|-⌫-⌫---|
la uiend equ iliafiert	-|-----⌫|--⌫|-|-----|
siest ace tuiresem bla bles	-|--||--⌫--|-----⌫---⌫---|
lidel iz dechard ecorables	-|---⌫-|-|---|-⌫--------|
lifaucons yg nea ux ensaproye	-|------|--⌫---⌫-|-|-|----|
a ses on glestranchan s l	|--|--⌫---|--------⌫||
resemb lanceont	------⌫----|--|
tuitcil qu iapareilli e ́ sont	---|--|--⌫|---------⌫-⌫|---|
uolera tot e ma uuestie	----||---⌫|--⌫------|
ace sontig neaullo rpie	|-|---|--⌫----|--⌫|--|
laqualendr eengenglers	-|--------⌫|-|------||
etceuxuoyrementsenefie	-|---|--------|------|
desqu iexlalenguetotataille	--|--⌫--|-|-----|--||-----|
seimemenacesetbataille	----|------|-|-------|
gemi st etsi ne	----⌫-|-|-|-|
chantemi e	-----|--⌫|
c eso ntcilqui lescuresont	-⌫|--⌫-|--|--|--|----|--|
d oumo nde d om engoysseux s ont	-⌫-|--⌫--|-⌫-|---------|-⌫--|
quar loramordoutot	---|--|---|--|--|
enter riens bie nsdec estmonde	-|---⌫----|---⌫-|-|-⌫--|----|
lac hau uesorizne	-|-⌫---⌫-|----|-|
sonuofors presdeterre en bas	--|-|---|---|-|----|-|--|
siapenesenleu	-||----|-|--|
etpa r lui	-|--⌫|--|
estsenefiez	--|-------|
cilquidoumondeag ran tscience	--|--|--|----||-⌫---⌫|------|
estdepoureconscience	--|-|----|---------|
quaril uol le pre sde	---|-|---⌫-|---⌫|-|
aussicomcil	----|--|--|
quineuiost qu erre	--|-|----|--⌫---|
neme squelesbi ens trepassables	-|--⌫|--|--|--⌫--|-----------|
et neli chautdes	-|-|-|----|--|
pardur ables	------⌫----|
cisaa pris	--||-⌫---|
sen zrefuser	---⌫|------|
p ennesporpiez user	-⌫----|--|---|---|
qu a ril lespennes de sonsens	--⌫-⌫|-|--|-----|-|--|---|
a g aain esmout entoz tens	|-⌫---|-----|-|--|---|
tozcesoyseaus	--|--|------|
ma ngi erala gentdei u dee	--⌫---⌫-||-|---|-|-⌫-⌫--|
iciapresco niointe ment	--|----|--⌫-------⌫---|
re fa itlaloy c ommendem ent	--⌫--⌫-|-|--|-⌫--------⌫--|
de lamaladi eleprouse	-|-|------⌫|-------|
porcequ el	--|-|-|-|
est contagieus e	--|----------⌫|
cestadireaus sitconuolable	|--||---|---⌫--|--|------|
et de corsenc or st repassable	-|-|---|-|-⌫--⌫|-⌫---------|
lalepre estu agueetseremue	-|----|--|-⌫---|-|-|----|
lacharch aceetsesleusm ue	-|---|--⌫--|-|--|---|-⌫-|
cela loyseautespre ndre	-|-|--|----|-----⌫---|
qu ellesoi t ars eetmise	-|---|---⌫|---⌫|-|---|
encen dr e	-|---⌫--⌫|
ceque lepreuagueestre seaut	-|--|----|----|----|----|
estadirequ e s aucunsuea ut	--||---|--⌫||-----|---⌫-|
less ier s esen cienspechiez	----⌫--|-⌫-|--⌫----|------|
etpui s d autressoit entechie z	-|---⌫||-----|---|--------⌫|
quainssila lep re sonleumue	-|-----|-|---⌫-|--|--|--|
estfeteetseremue	--|---|-|-|----|
saucunslamalad ieau oit	|-----|-|-----⌫-|--⌫--|
quelenfl uxde	--|--|--⌫-|-|
sancnomer doit	---|----|---|
laloy ditque senz	-|--|--|--|---|
ledo itl enimmond e apeler	-|--⌫-|-⌫-|------⌫|-----|
fluxde sanc estadro itpa role	---|-|---|--||---⌫-|--⌫---|
quiestdi temauueseetfolle	--|--|--⌫-|------|-|----|
dite senz cau s eet senzra yson	---|---|---⌫-⌫|-|---|--⌫---|
senzga rd e rni tens n e	---|--⌫--⌫-⌫|-|---|-⌫|
pui s ditlal oytellelecon	---⌫|--|-|-⌫-|----|----|
dimalaycon	-|-------|
auuygl eenmi	------⌫|---|
nemetrienqui tro bler ledoye	-|--|---|--|---⌫---|-|---|
ci lausortmalaicon di t	--⌫|-|---|-------|--⌫|
q uidome nonp resentm esdi t	-⌫-||--|--|-⌫-----|-⌫----⌫|
comci lquine s entneneuoit	--|--⌫|--|-|-⌫--|-|-|---|
dartn e seet equ en	---|-⌫|----⌫|-|-|
tumez obsta cleaunonueant	-|--|-----⌫--|-|--|----|
etdecene setilnient	-|-|-|-|--|-|----|
don euoyeetcheminet	---⌫|---|-|-----|-|
crimeoupechi ene face	----|-|-----⌫|-|---|
cia prescomme nde lestoyre	-|-⌫---|-----⌫--||------|
quenfuieloengetransi toyre	-|-|---|-----|------⌫----|
et lenseignecouertement	-||-------|----------|
etsipoez oirc omment	-|-|---|--|-⌫-----|
quantuousserez fait d iexent ré	----|---|----|---|-⌫--|---⌫--|
enterrequegeuousdonre	-|----|--|-|---|----|
et laparuouspla ntéseront	-|-|--|---|---⌫---|-----|
li arbre qui	-|----|--|
f ruit uus dero n t	-⌫---|--|----⌫-⌫|
desa rb res tranchezet ostez	--|-⌫--⌫--|-------|-|----|
l esn uisanz su perfluitez	-⌫-|-⌫-----|--⌫---------|
quarlifruit queil germer ont	---|-|----|--|-|------⌫--|
immondea pelé seront	------|-⌫----|-----|
superfl uitezosterseaus	-------⌫----|----|----|
desherbreslorsq uanttune ueaux	--|------|---|-⌫---|-|-|----|
bienloer le s choses	---|---|--⌫|-----|
douteus es	-------⌫-|
q ue tutien s porso upeceneuses	-⌫-|-|----⌫|--|--⌫----------|
etlespome s quisontgermees	-|--|----⌫|--|---|------|
monde spardroitnomees	-----⌫|--|----|-----|
sontpasfruit c onuen a b l e s	---|--|----|-⌫-----⌫-⌫-⌫-⌫-⌫|
usagede nostres table s	----|-|------|-----⌫|
senloece quen	|-|--|-|-|-|
sauons fe re	-----|--⌫-|
cenenous do ittantnequa ntp lere	-|-|---|--⌫-|---|-|---⌫-|-⌫---|
ets e ilte plest	-|-⌫|-|-|----|
bien gen ten s	---||--⌫---⌫|
doufruit usesaua nt	--|----|---|---⌫-|
apresdist d iextuparleras	----|---|-⌫--|-|-------|
aaronetsidir as	|---|-|-|---⌫-|
ques ila ensacompaygnie	--||-||-|-|---------|
homecaucune	---||-----|
queil lefaceen ssi tsouffrir	--|-|-|---|--⌫---⌫|-------|
quepai n ne	--|---⌫|-|
u oille adieu	-⌫----||---|
tors n iauuiglesneso it si	---|-⌫|-------|-|--⌫-|-|
quil sap ro ched es sacrifices	-|-||--⌫--⌫--|-⌫-|---------|
qui a g rant	--||-⌫---|
nesou tor t	--|-|---⌫|
oupetitn isun	-|----|-⌫---|
donni po rt	--|||--⌫-|
cilq uio ntf royssiépiene main	--|-⌫-|-⌫-|-⌫-------|--|-|---|
nesonta nul	-|---||--|
o ffren de sain	-⌫-----⌫-|---|
nialautierne	-|||-----|-|
end os ouenpiza	-|-⌫-|-|-|--||
n e iadeueni r	-⌫|-|-|----⌫|
ne soital autierc hacieux	-|---|||-----|-⌫------|
si commensque cil	-|------|--|--|
delau tier	-||--⌫---|
dieuformen ts esloygne	---|------⌫||-------|
de soroezqu e	--⌫|-|--|--⌫|
totce note	--|-|---|
cises tdiz auuygl essen z	--|--⌫|--|------⌫-|---⌫|
biensd oumo nde ueaut que r re	----|-⌫-|--⌫--|----|---⌫-⌫-|
di eunes ets on	--⌫-|-|-⌫-|-⌫-|
c ise st clapsqui	-⌫-|-⌫-|----|--|
lauoye se t	-|---|--⌫|
m as tardisestaco r rehet	-⌫-|-----|--|---⌫-⌫-|--|
s a c harlia t rop fortlepie	-⌫|-⌫--|-||-⌫--|---|-|--|
esdelizdou	-|----|--|
monde l ié	----|-⌫--|
linersde u i s elesodor s	-|---|--⌫-⌫-⌫-⌫|--|----⌫|
en sententmont bien	-|------|---|---|
etcisqu inesetasen er	-|--|--⌫|-|--|----⌫-|
apetite ouuredi scerner	|-----|----|--⌫------|
ettoteleuur eque	-|---||----⌫|--|
sapience parfait	-------|------|
decetu i p oo n bie n sauoir	-|----⌫|-⌫--⌫|---⌫|-----|
que ildoit petitne s	--|-|---|----|--⌫|
gran tnesuoyrement	----⌫|--|--------|
qu e cequ eill itpas nenten t	--⌫|-|--⌫|-|-⌫-|--||-----⌫|
totesu oyesestsagesce	----|-⌫---|--|----|-|
etb ie nent entce	-|-⌫--⌫|---⌫--|-|
t ort ce stcho secl ere	-⌫--||-⌫-|---⌫-|--⌫--|
quitientdoucec hose	--|----|----|-⌫---|
eticil quitient les	-|---|--|----|--|
s a inzfaiz	-⌫-⌫--|---|
pormauu esement faiz	--|----⌫------|---|
cisa froissiezetpie z	--||--------|-|---⌫|
quiesta to zbiens fere uains	--|--||--⌫|----|---|----|
etcis estbocu zap elez	-|--|--|----⌫|--⌫---|
q uid oufes est	-⌫-|-⌫-|--|--|
recorbelez	---------|
la char gede c es tmonde	-|----⌫-|-|-⌫--⌫|----|
qu arcete charge enssi s	--⌫-|---|-----|----||
etsilecorbeetsileplesse	-|-|-|----|-|-|-|-----|
queleci eluoyrnel i	--|-|--⌫-|---|-|-⌫|
cil est apelezc hacieux	--|--|-----|-⌫------|
courestbienengigneux	---|--|---|--------|
masleuurecharnelenla	--||----|------|-|-|
lie scarsisttotsonengin	-|-⌫-------|--|--|----|
royg ne qui a	----⌫-|--||
longue duree	-----|----|
noteleche rie	---|-----⌫--|
qui sentiras on co rs	--|------|-⌫-|--⌫-|
desuicesqueieuous recors	--|----|--|-|---|-----|
ne d oituser	-|-⌫--|---|
cetruis escr it	-|----|----⌫-|
d elas ain ctecharihesucrit	-⌫|-|-⌫---⌫--|---|--------|
iciprent ordeneement	--|----|----------|
li quarzliurescommenc emen t	-|----|-----|-------⌫----⌫|
quinomezestliuresdenombre	--|----|--|-----|-|-----|
susce uoyrementq ueilnombre	--|-|--------|-⌫-|-|-----|
la g e ntdeualorquifunee	-|-⌫-⌫-|-|----|--|-|--|
lalig nieebre e	-|---⌫--|----⌫|
etp ui sreco ntetozles leu x	-|-⌫--⌫|----⌫--|--|--|---⌫|
qui sontiuqu a quaren te	--|---|---||------⌫-|
selonlesestoyres	----|--|-------|
enmuantmistrentlo ur	-|----|-------|--⌫-|
ten toyres	---⌫-----|
apresce que degipte is sirent	----|-|--||-----|--⌫-----|
lo nguedemourefi rent	--⌫---|------|--⌫---|
et tant degeneraci ons	-|---|-|--------⌫--|
co mily ontdemensions	--⌫|-||--|-|-------|
messai nzmacez senz nulleguile	--|---⌫-|----|---|----|----|
liapostr esenseuangile	-|------⌫-|-||-------|
laestto te laprogenie	-|--|--⌫-|-|-------|
desabraamiuq uamarie	--|-----|---⌫||----|
celle q uiensesfla ns	----|-⌫-|-|--|---⌫-|
ihe su q u ilemont	---⌫-|-⌫-⌫|-|---|
orme st uetretor nerp our	-||-⌫--⌫--|-----⌫--|-⌫--|
ladroiteordenence	-|-----|--------|
quantla pasq uefu celebree	----|-|----⌫-|-|-------|
et fai te dela	-|---⌫-|-|-|
tot plaine ment leior	--|------⌫---|-|--|
poupl es a ramasses	-----⌫-||-------|
c estlapremieremansion	|--|-|-------|------|
ou l ipouplesfiststac ion	-|-⌫|------|---|----⌫--|
encellesayso nuoyrement	-|----|-----⌫|--------|
que rbe sontreuerdiss ement	-|-⌫---⌫|--|---------⌫----|
ett otesc hosessesbaudiss en t	-|-⌫---|-⌫----||---------⌫--⌫|
et a us si t	-|-⌫--⌫--⌫|
comreio uenisse nt	--|----⌫-------⌫-|
etla l unedone lumi ere	-|-|-⌫--|---|----⌫--|
enrondetetoute pl eniere	-|------|----|--⌫-----|
en ramasses est	-|-------|--|
des c e nduz	---⌫-⌫-⌫---|
ses trezatenduz	--|---||-----|
ramass es sonemocion	------⌫-|---|-----|
e ndroiteinter pretacion	-⌫|-----|-----⌫--------|
etdiexf etamo nestement	-|---|-⌫-|---⌫--------|
quetuouu ressisagement	--|-|---⌫--|-|-------|
qu etu d ec estmond een ss it tostes	--⌫|-|-⌫|-⌫--|----⌫|--⌫--⌫-||----|
quetun isoyesforsque hostes	--|-|||----|---|--|-----|
etsies chi ue to tdeplain	-|-|--⌫---⌫-|--⌫|-|----|
yuer de fe lonie plain	---|-|--⌫----|----|
a orn ebiende	-⌫---⌫|---|-|
deuertuzetde	-|-----|-|-|
bones mors	----|---|
apresen socothu enu	----|-|-----|-⌫--|
leu r pauei llonstanduzyont	---⌫|-----⌫----|-----||--|
icicomm en cerent le	--|----⌫--⌫-----|-|
acu yr e ouf eu senzleuain	|--⌫--⌫|-|-⌫-|---|-----|
degipt etozmeuz	|-----⌫|--|---|
ettestrezte ndr eesue uz	-|--|---|--⌫---⌫|-|--⌫-|
si ton desi rasetta	-|--|----⌫|-|-|-|
alaioy equitoz iorsd ure	|-|---⌫|--|--|---|-⌫--|
etlipain sa	-|-|----⌫||
cuiqu il a nuit	--|-|-|-⌫---|
senzleu ainatonpro fitcuit	---|---⌫--||--|---⌫--|---|
q uantlel euaindep echielesses	-⌫---|-|-⌫----|-|-⌫----|-----|
abones ouu reste sles s es	|----|---⌫--||-⌫----⌫-⌫-|
ethimestnomez litier s leus	----|--|----|-|----⌫|---|
pa rnuitetdeior clier la	--⌫|---|-|-|--|----|-|
fupr imes doupeuple uehue	-|--⌫---|--|-----|----|
ayesenta penseeforce	---|-|-|-----|----|
apr endre l anue tesforce	|--⌫----|-⌫|--||------|
quetiennentlideuin escr it	--|-------|-|----|----⌫-|
lumierea yme cesti hes uc rit	------|-⌫--||--|-⌫---⌫--⌫--|
en tel p oin tyraslau oye	-|--|-⌫---⌫|---|-|-⌫--|
qui main e	--|----⌫|
apardur abl eioye	|------⌫---⌫|---|
p harat hest li	-⌫-----⌫|--|-|
quarsleux nomez	----|---|----|
don l ipoupless	--|-⌫|------||
estapr imez	--|---⌫---|
c eesta di rebone boyche	-⌫|--||--⌫-|---|-----|
apreslefaitqueton cu ertoyche	----|-|---|--|--|--⌫-|-----|
gard ebienquet utestudies	----⌫|---|--|-⌫||-------|
comentnoblesparol les d ies	-----|-----|-----⌫--|-⌫--|
nobleced eboychet aorne	------|-⌫|-----||----|
si bel esparoles	-|---⌫-|------|
entoztens te spa ro lles dies	-|--|---|--⌫|--⌫--⌫---|---|
le squellessaintsenz ribaudies	--⌫|------|----|---|--------|
decetu i leuso n	-|----⌫|--|--⌫|
chemin tint	-----|---|
