libonsrois artusdebre t aigne	-|---|---|----|-|---⌫-⌫----|
aincoisq ueme meussiezguerre	--------⌫-|-|-------|-----|
ait dexsi re uas saus	--|--|--⌫-|---⌫---|
soruosretorneralimaus	--|--|--------|-|---|
dou domage qui estparans	--|-----|--|--|-----|
enuironmoiest	------|--|--|
demonb o i squiestabatus	-|--|-⌫-⌫-⌫|--|--|-----|
plaindre se doit quiestbatus	-------|-|---|--|--|----|
siairaison	-|-|-----|
q ueuosmauez demameson	-⌫-|--||---|-|-|----|
chaciéparfoudreetparpluie	------|--|-----|-|--|----|
f etmauezchoseq uimanuie	-⌫-||---|----|-⌫-||----|
et dehezaitcui	-|----|--|--|
ceestmoutbe l	-|--|---|--⌫|
bois et enmonchastel	---|-|-|--|------|
mau ezfe te	|--⌫-|--⌫-|
tel enuaie	--|-----|
oumestier nem eus t aie	-|------|-||---⌫|--|
armesnedemur	----|-|-|--|
onquesniot home	-----|||-|---|
enfor terecequiifust	-|---⌫-----|--||---|
dedurepierr ene	-|---|-----⌫|-|
or uos gardezque	-|--|-----|--|
demoitrieues nepes	-|--|------|-|--|
a cel copnosentreuenisme s	|--|--|--|------------⌫|
em braci ezten isme s	--⌫-----⌫-|---⌫----⌫|
sis ecouurichascunsdou suen	-|-⌫|-----|-------|--|---|
licheualierso tcheual boen	-|---------|-⌫|-----|---|
et lancer oide et fus anzdoute	-|----|-⌫---|-|-|-⌫--|----|
plusgranz de moila	---|----|-|--|-|
testetout e	----|----⌫|
douto u tam eschieffui	--|--⌫-⌫||-⌫------|--|
qu egefuipluspetis	--⌫|-|--|---|----|
e t ses cheua xmairesdoum ien	-⌫|--|-----⌫|-----|--|-⌫--|
parmi leuoir	----|-|---|
cesa chiezbi en	-|--⌫----|--⌫-|
m en uois parmahonte cour ir	|-|---|--|-|----|----⌫-|
sigrant co p com gepoi	-|----|--⌫|--|-|--|
delescumat ains	-||---||--⌫---|
si imisto te mapuissance	-||--|--⌫-|-|--------|
en piece s uola ma lanc e	-|-----⌫|---|-|----⌫|
etla soere maint entiere	-|-|--|--⌫----|------|
nestoitmielegere	|-----|--|-----|
ainz es toitgrosse a moncuidier	---|--⌫---|-----||--|------|
plusque lance	---|--|----|
decheualier	-|--------|
c onques me s	|-----|--⌫|
sig rossene ui	-|-⌫----|-|-|
et licheualiersme	-|-|---------|-|
si roidementque	-|--------|--|
douche u al	--|---⌫-⌫-|
parsoz lacrupeco ntre ual	--|--|-|----|--⌫----⌫--|
memist alaterret otpl a t	-|---||-|----|-⌫-|--⌫-⌫|
simelessahonteusetmat	-|-|----|------|-|--|
conquesp uisnemeresgarda	|-----|-⌫--|-|-|-------|
moncheualpristet	--|-----|----|-|
sisemisttozseu ls a	-|-|---|--|---⌫-||
quimon roines auoie	--|--|--|-|-⌫----|
re mescorroco us	--⌫--|-------⌫-|
et pen sis	-|---⌫--|
fontainemassis	-------||----|
zz petitsim e reposai	-|----|-|-⌫|------|
lec heualiersiure n o sai	-|-⌫-------|----||-⌫--|
quefoliefered outas se	--|----|---|-⌫-----⌫-|
etsegebi en	-|-|-|--⌫-|
nesaigequeilse d euint	-|--|-|--|-|-|-⌫----|
enla fi nuolentezme	-|-|--⌫|-------|-|
q uem on oste c ouent tend roie	-⌫-|-⌫-|---|-⌫----|----⌫---|
etque parlui reuendroi e	-|--|--|--|---------⌫|
ein si meplut	---⌫-|-|---|
einsi lefis	----|-|--|
e t iustotesmes armes	-⌫|--|----|--|----|
por alerpluslegeremen t	--|---|---|---------⌫|
si menreuig hont ousement	-||-|----|----⌫-------|
q uantgeuig lanuitalostel	-⌫---|-|--|-|---|||----|
tr ou ai monostetot aut el	--⌫--⌫-|--|---|--|---⌫-|
ausilieetausicortois	---|--|-|---|------|
a uoitest é aincoi s	-⌫---|---⌫-|------⌫|
onqu es deriens	----⌫-|-|----|
ne maperc ui	-||-----⌫-|
nedesafillene delui	-|-|-|----|-|-|--|
q u em ainsuolen tiers meueis se nt	-⌫-⌫|-⌫---|-----⌫----|-|----⌫--⌫-|
ma insdonermefeissent	--⌫--|----|-|-------|
quilauoientfetl autrenuit	-|-|------|--||----|---|
granthonor	----|----|
meportoien ttuit	-|--------⌫|---|
lalormercisen lor	-|--|-----|-|--|
et disoientconquesmeshom	-|-------||-----|--|--|
nert e schapezqueilseusse nt	|--|-⌫------|--|-|------⌫-|
nequeoidirel	-|--|-|---||
dela d ontg	-|-|-⌫--||
esto ieuenuz	----⌫-|----|
fustm orzou reten uz	---|-⌫--|-|-----⌫-|
e insialaeinsireuig	-⌫---|--|----|----|
au re ueni rporfol	-|--⌫----⌫|--|--|
siuosaico ntécome fous	-|--|-|--⌫---|---|---|
ceconquesmesconter n eu o us	-||-----|--|-----|-⌫|-⌫-⌫-|
ce rtes cedit missire yua ins	--⌫---|-|--|--|---|---⌫--|
uosestesm es	--|----|-⌫-|
cou sinsgermains	---⌫---|-------|
s iuosdeuroiemoutam er	-⌫|--|------|---|--⌫-|
ets iuo s p uisporfol	-|-⌫|--⌫|-⌫--|--|--|
quantuos lem a uez tantc e l é	----|--|-||-⌫--|---|-⌫-⌫-⌫-|
segeuos aifolapelé	-|-|--|-|--|-----|
ge u os enpriqu	-|-⌫-|-|--|-|
ilneuosp oist	-|-|--|-⌫---|
ca r se ge	--⌫|-|-|
girai uostrehonteuengier	|---|-----|----|------|
bienpert q o restapresmengier	---|---||-⌫|--|----|------|
fe t keuz quiterenese	--⌫|---|--|---|-|-|
paroles enplainpot	------|-|----|--|
deu in q uen	-|-⌫-|-⌫|-|
zz muidec eruoi se	-|--|-|-⌫-----⌫-|
le nditque ch atsaoulsenuo ise	--⌫|--|--|--⌫-|----||----⌫--|
apres mengiersanzremuer	----|------|---|-----|
ue tcha s cunssa ladintuer	--⌫|---⌫-⌫---|--⌫----|---|
etuosirezuengier	-|--|---|------|
sontuostrep en elesborré	---|-----|-⌫--⌫-|-------|
etuoschauces de	-|--|------|-|
b aniere sdesploie s	-⌫------⌫|--------⌫|
or tost pordeu mis sireyua in	-|---|--|--|--|---|---⌫-|
mouue rezanuit	-----⌫--|----|
ou dem ain	-|---⌫--|
fetesleme sau oirbiau	----|-|-|---⌫--|---|
quantuosir eza	----|--|--⌫-||
cel martire	--|------|
q uenos uos	-⌫-|--|--|
uoud ronsconuoier	----⌫---|-------|
ni aurapreuostneuoie r	||---|------|-|----⌫|
q ui uolen t ie r s	-⌫-|-----⌫-⌫--⌫-⌫|
n euosconuoit	-⌫|--|------|
e t g euos pri commentquil soit	-⌫|-⌫|--|--|--------|-|---|
nen alezpas	|-|---|--|
sanz n ozcongie z	---|-⌫-|------⌫|
etseuosanquenuitsongiez	-|-|--|--------|------|
mauuess on gesi remanez	-----|-⌫--⌫-|-|------|
estes uos d onqu esfo rsenez	----|--|-⌫----⌫-|--⌫-----|
missi r ekeuf etlaroine	--|--⌫-⌫|--|-⌫-|-|----|
quelauos trel an gue	--|-|---⌫--|-⌫--⌫--|
la u ostrelanguesoit	-|-⌫----|-----|---|
quetan ti a descamonie	--|---⌫||||--------|
certes uo strelangueuosh et	-----|--⌫---|-----|--|-⌫-|
que tota upis que	--|--|-⌫|--|--|
d itachasc un	-⌫-||-----⌫-|
quique ilso it	--|--|-|--⌫-|
langue quion ques	-----|--|--⌫---|
ne recroit	-|------|
demisd i resoitmaleoite	-|----⌫-⌫-|---|-------|
la uo stre si re tan tesploite	-|--⌫---|--⌫-|---⌫|-------|
uosfet partothair	--|--|-----|---|
mi ex neu ospuetele	--⌫-|-|-⌫-|---|--|
e tsachiezge lape l eroie	-⌫|------|-||---⌫-⌫----|
d etrai so nsel	-⌫|----⌫--⌫||-|
est oitmoie	---⌫--|---|
languec on nepuet chastoie r	-----||-|-|---|--------⌫|
certe sd eueroiton	-----⌫|-⌫------|-|
quenedeistaucun ram p rosne	--|-|----|----|---⌫-⌫----|
ce rte sdame	--⌫---⌫|---|
decest ramp rosne	-|---|----⌫----|
fetmis sire yua insnem	--|--|---|---⌫--|-||
tants et e t tant puetet	---|-⌫-|-⌫|---|---|-|
missirekezent otestors	--|---|--|-|-⌫---|---|
i anemueznesors	-⌫|-|---|-|---|
bienset encon tre uil onie	---|--|-----⌫--|---⌫---|
respondreamor et cortoi sie	--------|---|-|------⌫--|
nilnef istonques autr ement	|-|-|-⌫--|-----|----⌫----|
orsauezuosbiense ge ment	-|----|--|---|-|-|---|
mesgeneuoeilm ietencier	--|-|-|----|-⌫-|------|
n e laf olie encomme ncier	-⌫|-|-⌫---|-------⌫----|
nefet pasla mellee	-|--|--|-|-----|
quifi er tl aprem iere colee	--|--⌫--⌫|-⌫|----⌫---|----|
ainzlafet cilquise reue n ge	---|-|--|--|--|-|----⌫-⌫-|
bientenc eroita z z	---|----⌫----||-⌫|
cil qui tenceasoncompegnon	--|--|----||--|--------|
neuoei l p assamblerleuuaigno n	-|----⌫|-⌫-|------|-|-------⌫|
quisecorroucene re s grigne	--|-|-------|-|--⌫-⌫-----|
quantautresmast ins	----|-----|----⌫--|
le rechi gne	-|-----⌫--|
quequ eil parloientein si	-----⌫|-|--------|---⌫-|
liroi sfors	-|---⌫|---|
dela cham b reis s i	-|-|----⌫-⌫-|--⌫-⌫|
ouilotfetlonguedemeure	-|-|-|--|-----|------|
quedorm iotiusqu acele he ure	--|----⌫|-|----||---|--⌫--|
l icheu alierq uant i l	-⌫|----⌫----|-⌫---|-⌫|
trestu it encontre luis aillirent	------⌫-|-------|--|-⌫--------|
etil tozrasseoir les fist	-|-|--|-------|--|---|
delez la reine	----|-|----|
e tlareinemainte nant	-⌫|-|----|------⌫---|
lesnoueles calogrenant	--|------|----------|
li racon t e totmot	-|-----⌫-⌫|--|--|
qu ibienetbelconter	--⌫|---|-|--|-----|
et liroisl o i uolent iers	-|-|---||-⌫|------⌫---|
yysere men zentiers	-|----⌫---⌫|------|
uterpan dragon sonpere	-------⌫-----|--|---|
fi lzetlesamere	--⌫-|-|-|-|---|
quil iroit	-|-|----|
ueoirlafontaine	----|-|-------|
iaainznepa sseroit quinzaine	-|---|-|--⌫------|--------|
et latempeste etla m eruelle	-|-|-------|-|-|-⌫------|
et si iuelle roitla	-|-||-----⌫---|-|
mon segnorsaintiohanbautiste	--|-----|----|----|-------|
et si pre ndro itlanuitsongiste	-|-|---⌫----⌫-|-|---|--|----|
d eceque li	-⌫|-|--|-|
roisdeuisa	---|-----|
tot e la corsmiexlep risa	---⌫|-|---|---|-|-⌫---|
quemouti uoloi entale r	--|---||-----⌫--|---⌫|
l ise riantetlibachelier	-⌫|--⌫----|-|-|--------|
quiq ueenfust liezetioanz	----⌫-|-|---|---|-|----|
mi ssireyuainsen	--⌫|---|-----|-|
douroiqui alerideuoit	--|--|--|---||-----|
etpor cefortl i an uioi t	-|--|-|---|-⌫|--⌫----⌫|
sauo it bien que la ba taille	----⌫-|---|--|-|--⌫-----|
aur oit m is	---⌫--|-⌫-|
s ire keuzsanz	-⌫--|---|---|
ainz queilsil larequer oit	----⌫--|-||-|-|------⌫--|
iau eee nel iseroit	-|-⌫--|-|-⌫|-----|
sir egauuains	---⌫|-------|
espo irla demanderoit p rimes	----⌫-|-|----------|-⌫----|
cezy ylare quiert	--|-⌫|-|--⌫-----|
iacont re ditene	-|----⌫--⌫---|-|
mes il nelesatendram ie	--|-|-|--|------|-⌫-|
a curedecompegnie	|---|-|--------|
messeuls u ersson	--|----|-⌫--|--|
totesamesni etroua	---|-|-----⌫|----|
sicom mandam etre sa	-|---⌫----|-⌫---|-|
et zzson e scuie rapele	-|-|--|-⌫-----⌫|----|
cuiilneceloitnu lerien	--|-|-|-----|--⌫-|---|
diua fetilapresmoiuien	---|--|-|----|--|---|
lafors e tmes	-|---|-⌫|--|
ar mesm apo rt e	--⌫--||---⌫--⌫|
si meni straiparcele	-||-|-⌫----|--|---|
sormon palefro it otlepas	--|--|-------⌫|-⌫-|-|--|
apresmoinede moure p as	----|--|-|--⌫----|-⌫-|
quilmecouien tmout	-|-|-|------⌫|---|
ch eualf aib ienferrer	--⌫---|-⌫-|-⌫--|-----|
si lamainetost apresmoi	-||-----|---|----|--|
sireme n r a s	-|----⌫-⌫-⌫-⌫|
mon pal efro i	--|---⌫----⌫|
etgardebie n ge	-|----|---⌫|-|
teco mmant	-|--⌫----|
s e stnusq uide moi	|-⌫-|--|-⌫-|-|--|
gard enouelene lendies	----⌫|-----|-||-|---|
sederiensnule e nmoit e	-|-|----|---|-⌫|--|-⌫|
ma rtif ieroiesiames	--⌫|||-⌫------|----|
sirefet il	---|--|-|
il enestpes	-|-|--|--|
parmoinulsnelsaura	--|--|---|-||----|
alezquege uos siurai	---|--|-|--|-----|
mis sire yuai nsmainten antmonte	--|---|----⌫-|-------⌫--|----|
q ueuengeras	-⌫-|------||
ilp uet lahonte	-|-⌫--|-|----|
son cous ina inzqueilr et o rt	--|----⌫-|-⌫-----|-|-⌫--⌫-⌫-|
ses escuiersasarm escort	--|-------|-|---⌫-|---|
etaucheualsimontesus	-|-|-----|-|----|--|
quenelifa illo itno ient plus	--|-|-|--⌫----⌫-|--⌫---|---|
fai lloi tn e fersnecl os	---⌫----⌫|-⌫|---|-|--⌫-|
son segnorsi euttozlesesclo s	--|-----|--⌫--|--|--|-----⌫|
tantqueillaaco nseu	------|-|||---⌫---|
c ar illauoitcontr atendu	-⌫-|-||----|----|-----|
p resdoucheminenzzde stor	-⌫--|--|-----|-|-|--⌫---|
to tsonhernoiset sonator	--⌫|--|------|-|--|---|
liap ortési l a tor n a	-||-⌫----|-||-⌫---⌫-⌫|
missi reyuains neseiorna	--|--⌫-|-----|-|------|
puisqarmezf une tant nequa nt	----|----|-⌫|-|---|-|---⌫-|
e ncoi serr a chascunior tant	-⌫----⌫|---⌫|------|--|---|
parmontaignes et par	--|---------|-|--|
etparforez longues etl ees	-|--|----|------|-|-⌫--|
par maintpe ril par	--|----|--⌫--|--|
ma intdestro i t	--⌫--|------⌫-⌫|
tantqu iluin t a usen tie r t otd roit	-----|-|---⌫|-⌫|---⌫---⌫|-⌫-|-⌫---|
plaind es pineset	----||--⌫----|-|
ila seurte	-||-----|
qu e il nepooi tmeser rer	--⌫|-|-|----⌫|-----⌫--|
cuiqueile n	-----|-|-⌫|
doi e peser	---⌫|----|
ne fin eradusq ue iluoie	-|---⌫--|----⌫-|-|---|
lepi n qui	-|--⌫|--|
la fontai neombro ie	-|------⌫-|-----⌫-|
e tleperrone tl atormente	-⌫|-|-----|-⌫|-⌫|-------|
quipluetetgelegrele	--|----|-|---|----|
ce lenuit ce poez	--⌫-|---|-|---|
ot telostelcomuout	-|--|----|--|---|
que plusd e bie net plus	--|---|-⌫|---⌫|-|---|
troua a ssez ou uauassor	----|-⌫---|-|-------|
conneliotco nténedit	|-|-|-|-|--⌫---|-|--|
et e nlapucele reu i t	-|-⌫|-|-----|---⌫-⌫|
de senz nedebiauteyytans	-|---|-|-|-----|-|---|
quen ot co nté	--||-|--⌫---|
calogrenans	----------|
messireyuainscelenuitot	--|---|-----|---|---|-|
mo ut bo n ostel et bien	--⌫-|--⌫|----|-|---|
asessarzlendemain	-|-----||-------|
siuitlestor setl e uilain	-|--|--|---⌫|-|-⌫|-----|
quilauoiel i ensegna	--|-|---|-⌫|------|
mes p lusdeyyfoiz sesegna	--|-⌫--|-|-|---|-|----|
meru ellequeilo t	----⌫---|--|-|-⌫|
commentnature	------|-----|
oeuresiledeetsi ui leine	----|-|---|-|-|--⌫----|
puiser raiusqu a	---|--⌫-|----||
lafontaine	-|-------|
siuitquan queiluout ueoir	-|--|----⌫--|-|---|----|
sanzdem oreret sa nz seoir	---|---⌫---|-|--⌫-|----|
uersa sorleper ron totdeplain	----|--|-|---⌫--|--|-|----|
d el eueleba cin tot plai n	-⌫||--|-|--⌫--|--|----⌫|
etmaintenantu entaet plut	-|---------|-⌫---|-|---|
etfisttelten scom	-|---|--|---⌫|--|
et qu ant dexredonalebel	-|--⌫--|--|-----|-|--|
uindren tlioisel	-------⌫|-|----|
etfirent ioiemerue illo us e	-|-----|---|-----⌫----⌫--⌫|
lo ncla fontaineperillouse	--⌫-|-|-------|---------|
ainzquel orioie fu stremese	------|-⌫-|---|--⌫-|-----|
ireplu sardanz quebrese	--|---⌫|-----|--|----|
li cheualiers as igrantb ruit	-|---------||-⌫|----|-⌫---|
com s ilc ha cast zzc erf	--||-|-⌫--⌫---|-|-⌫--|
e tmain ten ant queilseuirent	-⌫|----⌫---⌫--|--|-|-|-----|
seconnur entet samblantfirent	-|------⌫--|-|-------|-----|
entrehaissent demort	------------|-|---|
ch ascun s ot	--⌫-----⌫|-|
lancero i de etfort	----|--⌫-⌫-|-|---|
donere ntsi	------⌫-|-|
granz cops	----|---|
quan deuls	-|--⌫----|
les escuz delorcols	--|----|-|--|---|
froissentet lor	--------|-|--|
elmesdeslicent	----|--------|
l or l anc esfroissentet esclicen t	-⌫-|-⌫---⌫-|--------|-|--------⌫|
etl itronconuol e nten haut	-|-⌫|------|---⌫-⌫-|-|---|
lespee assaut	|----|-----|
tostor e ntlor escuzder ous	---|--⌫-⌫-|--|----|---⌫--|
e tp arde seur eetp ar desous	-⌫|-⌫-|--⌫----⌫|-|-⌫-|-----|
sique lespiec esendependent	-|--|--|----⌫-|-|--------|
aeulsm aum etremo utentendent	|---|-⌫---⌫---|--⌫-|--------|
ca rs orles b razet	--⌫|-⌫-|--|-⌫--|-|
sorles hansches	--|--|-------|
si fierent	-|------|
desespeesfranches	--|-----|-------|
felenesseme ntleses proeuent	-----------⌫-|--|--⌫-------|
nonquesd unestal nesemo euent	|-----||-|----|-|-|--⌫----|
n ientpl us quefeiss entduigres	-⌫---|--⌫-|--|-----⌫--|--|---|
oncyycheualier s	--|-|---------⌫|
nefurentdelormo rt	-|-----|-|--|--⌫-|
nontcuredelo rcopsgas ter	|--|---|-|--⌫|---|---⌫--|
q au miex q uilpoentlese mp lo ient	|-|---|-⌫|-|----|--|-⌫--⌫--⌫---|
lorespiezfrois se n tet peco ient	--|-----|-----⌫--⌫-⌫|-|----⌫---|
etdeshauberslesm aillesuolent	-|--|------|--|-⌫-----|-----|
si qued elsanc a sse zsetolen t	-|--|-⌫-|---|-⌫---⌫|-|-----⌫|
card aulsmeismes	--||---|------|
sontsichaut	---|-|----|
haub er s nelor	----⌫--⌫|-|--|
guer esmiexdunfroc	----⌫-|---||-|---|
e n seluisse	-⌫-⌫|-|--|-|
f iere ntd estoc	-⌫----⌫-||----|
cestmeruellecomm entt ant dure	|--|-------|----⌫--|-⌫--|---|
b ataillesifiereetsi dure	-⌫------|-|----|-|-|---|
mes amduiso ntd e	--|----|--⌫-|-⌫|
sigrantcu er	-|----|--⌫-|
queliun spor la utre a nul	--|-|--⌫|--||-⌫---||--|
del ch amp plainpie ne	--|--⌫--|----|--|-|
partiroi t	--------⌫|
seiu squamortne	-|--⌫--||---|-|
le mpiroit	|-⌫------|
etdecefir entil qu epreu	-|-|-|---⌫--|-|--⌫|---|
lor cheuaxenn ullie u	--|-----|-|-⌫-|---⌫|
nef erirentnemeheg nierent	-|-⌫------|-|-----⌫------|
qu il ne uoustrent	-|-|-|--------|
n ene degnerent	-⌫|-|--------|
mestoz iorsacheual seti ndrent	--|--|---||-----|-|--⌫-----|
que nulefoi z	--|---|---⌫|
a pie neu indrent	|--|-|-⌫------|
fu labataille p lusbele	-|-|-------|-⌫--|---|
en lafin son	-|-|--|--|
elme esquarte le	---|--------⌫-|
au cheu alier missireyuains	-|----⌫----|--|---|-----|
estor dizetu ains	-----⌫--|-|-⌫---|
licheualiers si s	-|---------|-||
quesi felon	--|-|----|
d esor lech apel	-⌫---|-|--⌫---|
le chief fendu	-|----|----|
dusquel c eruel	----|-|-⌫----|
si quedouceruelet dousanc	-|--|--|-----|-|--|---|
taint lamailledouhauber cblanc	----|-|-----|--|------⌫|----|
don t sitres grantd olorsenti	---⌫|-|---|----|-⌫---|----|
parpoi licuersne	--|--|-|----|-|
sadontfoiil	|----|--|-|
not pastort	|-|--|---|
quilsesentinaurez a	-|-|-|----|-----||
querien s neliuausist	--|----⌫|-|-|------|
sitos tsenfuit	-|---⌫||-|---|
co mils apense	--⌫|-||-----|
uers sonch astel	---|--|--⌫----|
tozeslessiez	--|--------|
e t li ponzli	-⌫|-|---|-|
fuabessie z	-|-------⌫|
e t laporteouer te	-⌫|-|----|----⌫-|
etmes s ir e	-|--|-⌫--⌫|
yuainsderandon	-----|-|-----|
quan quilpueta presespe rone	----⌫-|-|---|-⌫---|----⌫---|
sicomg erfausgruerandone	-|--|-⌫-----|---|------|
quide loigmuet	--|-|---|---|
et t a nt laproche	-|-⌫-⌫-||------|
qu illacuident pren dre etn	-|-|-|------|----⌫--|-||
eins ici lf uit etcillech a ce	----⌫|--⌫|-⌫--|-|--|-|--⌫-⌫-|
etabien p r esquilnele	-||---|-⌫-⌫-|-|-|-|-|
ne lepar puet ataindre	-|-|--|---|-------|
ets estsi p resq ue	-||--|-|-⌫--|-⌫-|
deladestr eceq u eilsent	-|-|-----⌫--|-⌫-⌫|-|---|
ettoz iorsaufoirentent	-|--|---|-|---|-----|
etcild ou c haciersesuertu e	-|--|-⌫-|-⌫-----||-------⌫|
quil crientsapaineauoir perdue	-|-|-----|-|----|----|-----|
mor t ne le	---⌫|-|-|
qued esram posnes li souient	--|-⌫-|---⌫-----|-|------|
sire k e z liotdi tes	---|-⌫-⌫|-|-|--⌫--|
niertpa sde	|---|--⌫|-|
laprom essequit es	-|----⌫---|----⌫-|
q u il auoitsoncosinpromis e	-⌫|-|----|--|----|------⌫|
creroitennuleg ui se	------|-|---|-⌫--⌫-|
s ensegneueraienen porte	|------|-----||-|----|
a esper on	|-----⌫-|
iusqalapo rte	---||-|--⌫--|
deson chastellenam ené	-|--|------||-||-⌫---|
si so nt enzambeduientré	-|--⌫-|--|------|-----|
nom ene fa men	|--⌫|-|--⌫-||
itrouerent	|--------|
es rues parouil	-|---|--|-|-|
passere nt	-------⌫-|
puisco rure ntdegrante sles	---|--⌫----⌫-|-|----|-⌫---|
parmilaportedoupal es	----|-|----|--|---⌫-|
laportenestoit miel ee	-|----||-----|--|-⌫-|
ainzauoits iestroite entr ee	---|----|-⌫|-------|----⌫-|
queduihome et	--|--|---|-|
s anze n comb rieretsan z gran t mal	-⌫--|-⌫-⌫----⌫---|-|---⌫|----⌫|--|
ne peu ssentensam ble	-|---⌫----|-----⌫--|
n enmila porte en tracontre r	|---|-|----|--⌫---------⌫|
quelestoittotautr esi fe te	-|-|-----|--|----⌫--|--⌫-|
c omlarbal este quiaguete	-⌫-||-----⌫---|--|-----|
tantq ueliui egnee n forfet	-----⌫-|-|--⌫---|-⌫|-----|
et lespieestenson aguet	-||----|--|-|--|----|
desusquitre tet fier te tp rent	----|--|---⌫|-|----⌫|-⌫|-⌫---|
q uil eschapeluesetdesc e nt	-⌫|-|------|---|-|----⌫-⌫-|
que rien s nulefi ert ala clef	--|----⌫|---|--⌫--||-|---|
i ani touche rasisoef	-⌫|||------⌫-|-|---|
eins idesus laporte estoit	----⌫|----|-|----|-----|
unstrebusc hesqui sousten oit	--|-------⌫--|--|-------⌫--|
amontuneporte coulant	----|--|----|------|
defer esmolue ettre nchant	-|--|------|-|---⌫-----|
serienss orcezengins montoit	-|----|-⌫-|--|-----|------|
la porte damon t	-|----||----⌫|
descendoit	---------|
sestoitmorz etes quac hiéstous	|-----|---|-|--⌫----⌫----|---|
cuilaportea ta ignoit desous	--|-|----|-⌫--⌫-----|-----|
ettot enmi a droitcompas	-|--|---||----|-----|
e stoit s ie s troizli	-⌫----|-⌫|-⌫-⌫----|-|
coms e fust zz	--|-⌫|---|-|
sen tiersbatu z	---⌫----|----⌫|
el droitcheminsestembatuz	-|----|-----||--|------|
li cheualie rs	-|--------⌫-|
mou tsagement	---⌫|-------|
et mis sir eyuainsfo lement	-|--|---⌫|-----|--⌫-----|
hurt e grant aleure	----⌫|----|-----|
sileuintatai gnantsi	-|-|---|----⌫----|-|
larconderriereleti n t	|----|-------|-|--⌫-⌫|
moutbie nliauint	---|---⌫|-|----|
silnefust a uantestend uz	|-|-|---|-⌫---|------⌫-|
tozeustes téporfenduz	--|---|--⌫--|--------|
se cele auenturen e	-|---|-------|-⌫|
queli cheuaxmarcha lefust	--|-|-----|-----|-|---|
quitenoitla	--|-----|-|
aus i comdeablesd enf er	---⌫|--|------||---⌫-|
descentlapor tec on treual	------|-|---⌫-|-⌫--⌫-----|
satai nt lasel e	|----⌫-|-|---⌫|
etle cheual	-|-|-----|
derriereet	-------|-|
cope tot parmi	---|--|----|
touc hala deumerci	----⌫-|-|--|----|
mo nsegnoryuai n me sque tant	--⌫|-----|----⌫|--⌫---|---|
dos l iuetc heant	--|-⌫|--|-⌫----|
siq a mbesdous l esesper ons	-||-⌫-------|-⌫-|-----⌫--|
l i r ompi empresles talons	-⌫|-⌫---|-----|--|-----|
cheito ze sm aie z	---|--⌫|-⌫--⌫---⌫|
cil qui es toit am ort	--|--|--⌫---||-⌫--|
liescha pae nte l	-|-----⌫-|-⌫|--⌫|
une a utreporteauoitderri ere	--|-⌫---|----|----|-----⌫--|
si com celedeu antestoit	-|--|---|---⌫--|-----|
licheualiersquisen	-|---------|--||-|
porte se nfoi	----||-⌫|--|
etlaporteapres lui chei	-|-|----|----|--|---|
einsi fu missireyuains pris	----|-|--|---|-----|---|
moutaing oissouset e ntrepris	---|----⌫------|-|-⌫-------|
mesde rienssi g rantd oel	--|-|----|-|-⌫---|-⌫--|
comdec eque il	--|-|-⌫|--|-|
q uelpart cile n e stoitalez	-⌫--|---|--|-⌫|-⌫----|---|
dunechambretededele z	|--|--------|-|----⌫|
ot ourirunhuis estr oi t	-|----|-|---|----⌫--⌫|
quequ eilert	-----⌫|-|--|
encelde str o it	-|--|--⌫---⌫-⌫-|
senissiune	|-|---|--|
cortoise a u enanzetbele	-------|-⌫-⌫----|-|---|
mes lu is apres	--||-⌫-|----|
li refe rma	-|----⌫--|
quant mons egnoryuaintroua	----|--|-⌫----|----|----|
esmaiam out depremiers	-----|-⌫--|-|-------|
ce rtesf etelec heualie rs	--⌫---|-⌫-|--|-⌫-------⌫-|
qu i caiens est es em batuz	--⌫|-----|---⌫-|--⌫----|
seuo sestes aperceuz	-|--⌫|----|-------|
uosi sereztozdes peciez	--||----|--|---⌫-----|
c armi s siree sta mort b leciez	-⌫-|--⌫|---|-⌫-||---|-⌫-----|
etsi croibienque l aiezmort	-|-|---|---|--||---|---|
quemadamefet zzdoel	--|-|---|--|-|---|
ettotes sesgen zsen tr ocient	-|----|--|---⌫||--⌫--⌫-----|
quededoelenuironlui	--|-|---|------|--|
si uos seuent i lbienca ians	-|--|-----|-⌫|---|--⌫---|
mes entrex	--|---|-|
estli doel ssi granz	--|-|----⌫|-|----|
quilnipoentoresentendre	-|-|||----|---|-------|
uoelentocir reoupendre	------|----⌫-|-|-----|
acene poen t ilfaill ir	|-|-|----⌫|-|-----⌫-|
qu antil uosue ndr ont	--⌫--|-|--|--⌫---⌫--|
assaill ir	-------⌫-|
etmissire yuai ns	-|--|---|----⌫-|
l i respont	-⌫|------|
neia pa r euls p risne serai	-|-|--⌫|---|-⌫--|-|----|
non ce r tes	--|--⌫-⌫--|
carge i metrai	--|-||-----|
ouoe cu os mapuissancetote	----⌫|-⌫-|-|--------|---|
nes t mie prodo m qui tropdoute	|--⌫|--|-----⌫|--|---|----|
porce croi	--|-|---|
queprodomsoiez	--|-----|----|
queuosnest espas	--|--||---⌫-|--|
