#META#TextURIAlexisP13	-----|------|--------|
#META #DEAF http//www.de a f -pag e.d e/fr/bibl/bib99 a.php #AlexisP	-----⌫|---|------------⌫-⌫-⌫----⌫---⌫---------------⌫-----⌫-------|
#META #T L A lex.Alex .S.	-----⌫|-⌫|-⌫---|----⌫|-|
#META# ARLIMA	-----|-----|
Ne nuseuersd homeki	-|--|----||---|-|
sacepor pens er	---|---⌫----⌫-|
Confaitegoie D ius a faitapriest er	--|----|---|-⌫--||---|-------⌫-|
Enparadispo r	-|------|--⌫|
ses am isfieuer	--|--⌫-|-----|
A in c uelde	-⌫--⌫|--|-|
carnelpor entes warder	--|-||---⌫--|--⌫-----|
Ne espritd homeneleporent tr ouer.	-|-----||---|-|-|-----|--⌫----|
Goiosch elui	----|--⌫---|
E t enche lsiéclete ́ leuiemener	-⌫|-|---⌫|------|--⌫-⌫-|--|----|
Kesarmepuistpar	-||---|----|--|
chele port eentrer	----|----⌫|-----|
angeles p ardedensco nuierser	------|-⌫-|-----|--⌫-------|
biele silaiss aleplorer.	----|-|-----⌫|-|------|
Fra ncep uch ielepor lamor	---⌫--|-⌫---⌫---|--||---|
Diumierchi t	--|-------⌫|
Laimentalercartuit so nt endormit.	--||--|---|--|---|--⌫-|--------|
ua t e nta Diuli biel e r espondi t	-||-⌫-||--|-|----⌫|-⌫-------⌫|
Chi use rt d olen s kitoi engenui t	---⌫-|-⌫-|-⌫----⌫|-|--|-------⌫|
kisoeftenorit	-|---|-|----|
E tioumeismek ita uoieamarit	-⌫|--|-----|-⌫||-⌫---||----|
Or uerraiplaitagrant	-|-----|----||----|
dueldeparti r.	---|-------⌫-|
Or tenuasirek ant	-||-|-|---|-⌫--|
net e pu is	-|-⌫|--⌫-|
Sen t encon seille	|-|-⌫-|---⌫---|-|
p ooi et rouer	-⌫---⌫|-⌫----|
K ensemb leodtoi m en	|------⌫-|-|--||-|
laissassesaler	---------|---|
Pa geu01P289	--⌫--------|
Iameuer r oiesgentementapriester	-|-|---⌫-⌫---|--------|--------|
Tondrem escrinset	-----|-⌫-|----|-|
wimplesafubler	------|------|
Et prendreeskerpe etbordonac at er	-|------|------|-|-----|--⌫--⌫-|
To isi eruiraidetes dras	--⌫|--⌫------|-|--|---|
netequier adeser	-|-|----|-----|
Ne carnel ment daléstoi con uie rser.	-|------⌫---|-----|--|---⌫---⌫----|
Nonf eraibieleIesu ste	--|-⌫---|----|----⌫|-|
p uist sauuer	-⌫---|-----|
A inst eco mant	-⌫--|-⌫|--⌫---|
ale uirge ne	|-|-----⌫-|
Kedesdiable steport	-|--|------⌫|-|---|
tel war andie	--|---⌫----|
K e mais ne puissesiestre p ar iau s	-⌫|---|-|------|-----|-⌫-|---⌫|
entomeseuoie	-|---|-|---|
a a cu eillie	|-⌫--⌫-----|
Netrueue sierfkipaslicontredie	-|-----|----|-|--|-|--------|
Ca r Darn ediuslisiens pére	--⌫|----⌫----|-|----|----|
Delepu chiele ke ila	-|-|--⌫-----|-|-||
conuiertie	---------|
Keillidon epoe stetet baill ie	-|-|-|---⌫|---⌫---|-|-----⌫-|
DeDiusi eruirtantkesarme	-|--|--⌫----|---|-||---|
iert wa rie.	---|--⌫---|
chel plait nes et sespéremie	---|----|-|-⌫-|--|----|--|
Nonfaitse mérek i estoit totefie	--|---|-|----|-⌫|-----|---|--|
Kilenseca mb redormist dalés sam ie.	|-|-|-|--⌫--⌫-|------|-----||--⌫--|
Kant lesarontke il lare len ki e	---|-|-----|-|-|||--⌫---⌫--⌫|
Sid u rem ent en iertRomeestormie	-|-⌫-⌫---⌫--|-|---|---|-------|
Kainc m ais nefutplus grans	|---|-⌫--|-|--|---|----|
d olorsoie.	-⌫----|---|
Sain sAl exisuinta lemerfui ant	----⌫|--⌫---|---||-|--|---⌫--|
lluekestrueue	------|-----|
une barg e flota nt	--|----⌫|-----⌫-|
Ki depasse rseuaitaparillant	-|-|-----⌫|-|---|---------|
Done so nprissi e ntraenscorant.	---|--⌫|---|-|-⌫---|--|------|
Dr echentlor uo ileschilmaistremaronant	--⌫-----|--|--⌫---|---|------|-------|
Pa rmilem e rseneskipentata nt	--⌫--|-|-⌫-⌫||-|-------||--⌫-|
Droi taLalichecuident u enir siglant	----⌫||------|------|-⌫---|------|
Mais Diunep lot n e lesie n ciercornant	---|--|-|-⌫--|-⌫|-|---⌫|---|------|
Unsue n sle u asordiestre	--|--⌫-⌫|--⌫-⌫|--|------|
Ki les empeint tr oisliuesbienauant	-|--|------|--⌫--|----|---|----|
aproce ntdeIerusalem tan t	------⌫-|-|--------|---⌫|
Kede ch el porto uilu iénent nagant	-|-|--⌫-|---|-⌫|-|-⌫------|-----|
Pag eu01P290	---⌫-------|
Iua itonbiench et rouon	|--⌫-|-|---|--⌫|-⌫----|
noslis ant.	--|---⌫---|
En unsol io r	-|-|--|--⌫|
aun muletambiant	|-|----|------|
Sauoirpoé sk ensi plotDiule grant.	-----|----⌫||---|---|--|-|-----|
Esuos auportsaint	-|--|-|---|----|
Al exisuenut	--⌫---|----|
Etde le bargefors al e tiereissut	-|-|-|----|---||-⌫|----|----|
u in tausepulcreou nostresirefut	-⌫--⌫|-|-------|-|-----|---|--|
Faitses proiiéres sisa confiesrendut	---|--|---------|-|||------|-----|
Uniore ntier	-|--|-⌫----|
etd os nuisiestut	-|-⌫-|---||----|
Ke ne mangade	-|-|----|-|
sebocenebut	-|---|-|--|
Tan t s en deliteke	---⌫||-|-----|-|
nostresire i fut	-----|---||--|
Eta u t ierc	-|-⌫|-⌫---|
ioruiers leflunI o rdainmu t	--|----|-|---|-⌫-⌫----|--⌫|
Siabaig nietsendignecors	-||----⌫---|--|----|---|
Puisprentlespaum e setun	---|----|--|----⌫-⌫|-|-|
espicso lut	----|--⌫--|
Droit a Laliche u ientle caminbatut	----||------|-⌫---|-|----|----|
saicon longhe s iestut	--|--|------⌫||----|
Ouk ilala Diu sieruit	-||-|--|--|------|
Etno stresirelenprieste	-|--⌫---|---||-|------|
grantuie r tut.	----|---⌫-⌫---|
Etsi iewa rde ensi con	-|-|-|--⌫--|---|--|
E tkantl i si red ilue cseretorna	-⌫|---|-⌫|--⌫-||----⌫|-|------|
Dr oit enAlisl e chitet	--⌫--|-|---|-⌫|-----|
Por uneima g ene k onil uecli	--|--|---⌫-⌫--||-|--⌫--|-|
Keli sai nsangelesde	-|-|---⌫-|------|-|
s esm ainsfigura	-⌫-|-⌫---|-----|
Kialeuirgenelemessaige	-||-|------|-|-------|
Kan tnostresireen	---⌫|-----|---|-|
sencors s ao mb ra	--|---||--⌫--⌫-|
Auuec i chouk ilenli	----|-⌫---||-|-|-|
li mag en ekebienle resembl a	|-⌫---⌫--⌫|-|---|-|-------⌫|
Et Marienapries	-|-----|-----|
s ilapie l a	-⌫||----⌫-⌫|
Et en Alislechitetl	-|-|---|-|-----||
Enicheliorke Diusresusc h it a	-|----|--|-|---|------⌫-⌫--⌫|
sepulcreou I os ésle po sa.	-------|-|-⌫--⌫--|-|--⌫--|
Lalerequiert chishonkiD iu ama.	-|-|-------|---|--|-|-⌫-|---|
Tantos tconilenselmostier entra	------⌫|--|-|--|-|------|----|
O uill im ag ene	-⌫|-||--⌫--⌫--|
no stredame troua	--⌫---|---|----|
De deuan t	-|-----⌫|
lis es tenditetposa	-||--⌫-----|-|---|
De sespeciésdouchementli	-|--|------|---------|-|
Etd elesposekilwerpitet	-|-⌫||-----||-|-----|-|
P ag eu01P 2 91	-⌫--⌫-----⌫-⌫-|
Puispristlauoir ke deRo me giet a.	---|----||----|-|-|--⌫-|----⌫-|
Apouresgenslerendit et	|-----|---|-|-----|-|
Konkesmaaile sorluine resierua.	|----|-----|--|--|-|--------|
Kantlisireotdepartitsenauoi r	---|-|---|-|-------|--|----⌫|
Entr elespo uress enuaitel renc	----⌫|--|--⌫---||-|---|-|---|
Rechut laumosne k antil lepot	-----||------|-⌫--|-|-|--|
Sien entraaDiu	-|-|----||--|
de telsauoir	-|--|-----|
ne retint sendisn ermie	-|-----|--|----⌫-|--|
Nedousoper n iuo uttant recheuoir	-|--|----|||--⌫-|---|--------|
Don te ldemainpui stunrepast	---⌫|-⌫|-----|---⌫-|-|-----|
Tanta iun et	---||---⌫-|
ketotleuis	-|--|-|--|
Nefaitsecar gaires	-|---|-|--|-----|
desen uoloir	-|--|-----|
A Diu sierui r met grant	|--|------⌫|--|----|
peineporuoir	----|--|---|
Et nostresirelipriestatelpooir	-|-----|---|-|------|--|----|
K on ke sdiables n e lp otfaireencao ir.	|--⌫--⌫|------|-⌫||-⌫-|----|-----⌫--|
Or reuenra ia chiaus	-|-------⌫||-----|
de lecontr ée	-|-|-----⌫--|
do loro nt por	--⌫--|-⌫-|--|
luidemenée.	--|--------|
Lida mecr iec onfameforsenée	-|--⌫-|--⌫-|-⌫-|---|--------|
Fiu sAlexis keltristormas	---⌫|-----|--|------||-|
Fiustute nuais s as laiss iett	---|-||-⌫|---||-|-----⌫--||
K e iou tauoiesico rtoi se d onée	-⌫|--||----|-|--⌫----⌫-|-⌫----|
faiske ia se raidieruée.	---|-|-|--⌫--|--------|
Cuer t e nle	----⌫|-⌫|-|
ca mbretote ladeski ré e	--⌫---|---|||-----⌫---⌫|
Ostesespailes et	---|--|-----|-|
secortinelée	-|------|---|
Iamais par	-|---|--|
homeneniert reconfortée	---|--|---|-----------|
A ichestdu elariérec ietpasmé e	|-----|--⌫-|------|-⌫--|------⌫|
Ne maisl i sirelena	-|---|-⌫|---||-||
susreleuée.	--|--------|
Lidamo isiel eregre tamoutsendrut	-|----⌫-----⌫|-----⌫-|---|--|---|
mér e a sen paile d est en dut	----⌫||--|----|-⌫---⌫--⌫--|
Andoss asi sent sorun	----||---⌫---|--|-|
marbretotnut	-----|--|--|
Si ke tapitniotmisnestendut.	-|-|----|||-|--||--------|
Diusdistli pérec iersf ils contaipierdut	---|---|-|----|-⌫---|-⌫--|--||-|------|
Resp ontli mérePeci ésl e	----⌫--|-|----|----⌫--|-⌫|
Lespo se crie mout pe titl	|----⌫-|---|---|--⌫--||
Sig rand duelai k	-|-⌫---|---|-||
onkes m aistésnefu t.	----|-⌫--|---|-|--⌫-|
Pageu0 1P292	------⌫----|
Esuos le spose dol enteetesmarie	-|--||-⌫----|---⌫---|-|------|
Siest l e mér e a u pie tagenoi llie	-|--|-⌫|----⌫|-⌫|---⌫|------⌫---|
Se bieleboc elia trois	-|----|---⌫|-||----|
fois baisie	---|-----|
Etde ses ieusaros ée	-|-|--|---|----⌫--|
Damefete lekanttesfiu sm	---|--|-⌫-|---|--|---⌫||
Ormer etienodtoi ente maisnie .	-|-|-⌫----|-|--|-|-|-------⌫|
Porsoieamorki tantm	--|---|---|-|---||
I ai D amedi u ca s tee to tr oi ie	|-|-⌫-----⌫|--⌫-⌫---⌫|-⌫--⌫--⌫-|
d autrehome neruis iestreloiie.. .	|----|---|-|---|-----|-------⌫|
Tantes foisla depitietembr achie	-----|---|||-|-----|----⌫----|
Ketoteen futlas sée	-|---|-|--|---⌫---|
escrieK inos des e ue rroit	-----|-⌫|--|---⌫-⌫--⌫----|
IamaislefacheDamediu	-|---|-|----|------|
n e uerroit.	-⌫|-------|
Kantam en fil ueusportersi grantfo it	---||-⌫-|--|---|-----|-|----|--⌫-|
Do nt estild rois chiertes	--⌫-|--|-|-⌫---|-------|
ke mius tensoit.	-|---||-|----|
Or t asserraiiao umes	-||-------|-|-⌫|--|
fi us se oit	--⌫-|--⌫--|
Lamor tenraset lhono r kilt enoit	|---|-----|-||----⌫||-|-⌫----|
metrai mesb iens sor	-----|--|-⌫---|--|
ten destroit	--|-------|
Kes ilest honkit	-||-|--|--|-||
enmostrast bufo it	-|-------|----⌫-|
Iamais nuliormescuers nel	-|---|--|--|--|----|-||
Kant cheleententkensilemain terr o it	---|----|-----||---|-|----⌫----⌫-⌫-|
Au cordo an len ueutal er	-|-----⌫-||-|---|--⌫-|
Maislifr ansho n ensesbras le recho it	---|-|--⌫--|--⌫|-|--|---|-|-----⌫-|
Et si lenb aise ansdos les	-|-||-|-⌫---|-----|--|
i e us estro it.	-⌫-⌫-|-----⌫--|
Dontprent lipé reses	---|----|-|---⌫-|--|
m es sa ige serrant	-⌫--⌫--⌫---⌫|-----|
Par pluisorstier esfait quierresenenfant.	--|-------|----⌫-|---|------|--|------|
Droiten Alis en uinrentdoi	----|-|---|-|------|--|
Iluekestrueuent	------|-------|
s ain tAlexis sean t	-⌫---⌫|-----|----⌫|
En trelespoures al au m osne seant.	--⌫--|--|-----|||--⌫-⌫---|-----|
Sia muetsenuiset sen	-||---|--|--|-|--|
ne lpueentraui sert antnekan t	-||-----|----⌫--|-⌫--|-|---⌫|
aumosnelipresentent deuant	------|-|---------|-----|
I l le rechoit liementenplorant	-⌫|-|------|------|-|------|
Pageu01P29 3	----------⌫|
Etse naoreDamediulepois sant	-||-⌫|---|------|-|----⌫---|
Dechessienssierscuiilestaumosnant.	-|---|----|----|--|-|--|---------|
Il futlorsir eo rest	-|--|--|---⌫|-⌫|--|
loraumosni er s	--|-------⌫--⌫|
futplusle g i ers .	--|---|--⌫-⌫-⌫---⌫|
Li siergant cherk enttotadies lesmo stiers	-|-------|-----⌫--|--|----|--|--⌫-----|
Etlesgransrues etles	-|--|----|---|-|--|
pal aisplenie rs	---⌫--|------⌫-|
Siendemandent bo rgoisetceua liers	-|-|--------|--⌫----|-|----⌫----|
Etillessuitetesco ute d erriers	-|-|--|---|-|----⌫--|-⌫------|
Sedoufui rli seroitpasm e stiers.	-|--|---⌫|-|-----|--|-⌫-⌫------|
Lisiergantsont anui iet de	-|-------|---|----⌫--|-|
Etde lcherkieretde	-|-||-------|-|-|
led emander	-|-⌫------|
Ciésun borgois sont	----|-|------|---|
alet p or disn er	---|-⌫-|----⌫-|
Carhon kiuait nepuet mie	--|--|-|---|-|---|--|
IIlesporsuit tantk	-|--|------|---||
illes uitent rer	-|--|--|---⌫--|
Porl ocoisondelaum osn e	--||------|-||---⌫---⌫|
Alaal uis lor	--|||--|--|
raiso nsescouter...	-----⌫-|----------|
Sig nord istilmou t uo s	---⌫--|-⌫--|-|---⌫|--⌫|
uoi dementer.	--|--------|
Etchilrespon d entNe	-|---|------⌫-⌫--|-|
f aita oblier .	-⌫--||------⌫|
Pi erdutauom esungent ilbac eler	--⌫----|----⌫-|-|----⌫-|---⌫---|
Lefilauconte kiRomedoitwarder	-|--|-|----|-|---|---|-----|
Notplus denfan s m ou tl e	|-|---||-----⌫|-⌫--⌫|-⌫|
deuoita mer	-----|-⌫--|
i l lefistun edame esposer	-⌫|-|---|--⌫|---|------|
M aisi llefistafor ch e ...............	-⌫--|-⌫|-|---||---⌫--⌫-⌫--------------|
Fu is s enestenes sildech amer.	--⌫-||-|--|-|--⌫--|----⌫|---|
Lipére en	-|----|-|
cuideesragier etdieruer	----|-------|-|------|
Sedouchemérene	-|-----|----|-|
l puet entroublier	|---|----------|
p uchie le kitant l epotamer	-⌫-----⌫-|-|---|-⌫|--|---|
Sos c hielnes tho nsilliot	--|-⌫---||--⌫|--⌫||-|-|-|
N el ie stu e uedan sd os les ieus plorer.	-⌫|-⌫|-⌫---⌫-⌫-||--⌫--⌫-|--|---|------|
Orle cu idames chiiluek es	-|-|--⌫-----|--|-----⌫-|
M ais nelpoons ueir neencont rer	-⌫--|-||----|---|-|------⌫--|
Auoirsnos fautn	-----|--|---||
auonsmaiskedo ner	----|---|-|--⌫--|
uuelliens ounon nos en conuie ntaler.	--------|-|--|--|-|------⌫-|----|
Pageu01P 294	--------⌫--|
Distliborg oisNenfaitesabla s mer.	---|-|----⌫--||-|-----||---⌫-⌫---|
A ichel motfon tlortab lesoster	|----|--|---⌫|--|---⌫--|----|
Sicome nchiérentarie ́ rearetorner.	-|----⌫---------|----⌫-⌫-||--------|
K antlisains	-⌫--|-|----|
honles uitsi esl onghiés	--|--|--|-|---⌫-------|
Etsicui dake iamaisniert	-|-|---⌫-|-|-|---||---|
saidireconf orment	--|---|--|-⌫-----|
il futliés.	-|--|-----|
C u ertenleglise si	-⌫-⌫--|-||-----|-|
cietlimageneaspi és ...	---||------|-|--⌫---⌫--|
Ke le puchie le p ardoinst tossespec iés	-|-|------⌫-|-⌫-------|--|--|---⌫---|
Etke ses cors nes oit m aisuerg oig ni és	-|-|--|---|-|-⌫--|-⌫--|----⌫---⌫--⌫--|
nu l ho meadesésne tociés	--⌫|--⌫-|------|-|------|
Ne pardiablesod uis neeng igniés.	-|--|-----|---⌫--|-|---⌫-------|
a Romelessiergansrepair iés	|---|--|-------|------⌫---|
Non ch e ntaup ér e keiamais niert	---⌫--⌫-⌫-|-|-⌫---⌫|-|-|---||---|
b aillié s.	-⌫-------⌫-|
croire ke mo uten futiriés.	-----|-|--⌫-|-|--|------|
Lis ie rs Diuest	-|-⌫--⌫-|--|--|
enA lis remansus	-|-⌫--|-------|
Disetsiet anss	--|-|---|--||
i estsi maintenus	|--|-|--------|
Keen ses piés nen ot solersuiest us	-|-|--|----|--|-|-----|-----⌫-|
Ne n usiuiersniestsifors keus	-|-⌫-|-----|||--|-|---|---|
Keaumo stier	-|-|--⌫----|
ne soita nchoisue nus	-|---|-⌫-----|--⌫--|
Keli prouo iressoi tdesenliti ssus	-|-|-----⌫---|---⌫|-|--|--|-⌫---|
N edematineslipr emiers cousferus.	-⌫|-|------|-|--⌫-----|---|-----|
Ne sef ait	-|-|-⌫--|
pasemparlésneagus	--|--------|-|---|
Ainsestt ais an scon sil estoittos	---|--|-⌫---⌫--⌫|--||-|-----|--|
Etdel diab les	-|--|----⌫-||
ests iesc om batus	--|-⌫|---⌫--⌫----|
Kainc nepot iestrepor lui	|---|-|--|-----|--|--|
si conua in cus	-|-----⌫--⌫--|
Ke uns s osmoss oitdeseboceissus.	-|--|-⌫-|--|-⌫--|-|-|---|-----|
Sai ns Alexis asecarrel enkie	---⌫-|-----||-|--|---⌫----|
Eten ch est sie clel	-|-|--⌫--|---⌫--||
asi porDiu honie	|-|--|--|----|
seboce nen	-|---|--|
entredepain mie	----|-|---|--|
Secascuniorparlesuisnel	-|-----|--|--|--|--|-||
Etlechitetpar aim etant	-|-|-----|--|---⌫|---|
P a geu 01P 295	-⌫-⌫---⌫---⌫--|
Kemaispar lui se il pu e tniert	-|---|--|--|-|-|--⌫-⌫||---|
Tot porli mage ne	--|--||-⌫----⌫-|
de sainte Ma rie	-|-----|--⌫--|
Acuii l siertetdenuit	|--|-⌫|----|-|-|---|
etded i e .	-|-|-⌫-⌫-⌫|
G rantpe ine misten l e cheleste uie.	-⌫---|--⌫--|---|-|-⌫|-------|---|
Kantlisain saleboresie na met	---|-|----⌫||-|---|-|-⌫--⌫--|
Keian istramais	-|-||----|---|
parseuolon tet	--|-|-----⌫--|
Lisainte i magen edontiouuos	-|-----|-⌫-----⌫|---|--|--|
Cheleale co st re doumostierapi elet	----||-|--⌫--⌫-|--|------|---⌫---|
Frére distelei out	-----|---|--|-⌫-||
aiaraisone t	-|--------⌫|
Porunsignorde	--|-|-----|-|
g rantnobi litet	-⌫---|----⌫----|
moiaencheste	--||-|-----|
uil e estet	---⌫|----|
Dis et si et	--|-|--⌫-|
ans enmout	--|-|---|
g rantpouretet	-⌫---|-------|
Lebielsieruich eke	-|---|--------⌫|-|
il m a presentet	-|||--------|
Ano stresire moutr ecoilli te n gr e t.	|--⌫---|---|---|-⌫-------⌫|-⌫|--⌫-⌫-|
l quiertantke laies	|----|---|-||---|
Carb ienest	--|-⌫--|--|
d rois kech ildele chitet	-⌫---|-|--⌫-|-|-|-----|
Le reconoissentetsacentse bo ntet.	-|-----------|-|-----|-|--⌫----|
Esu osleclercforment espoentet	-|-⌫-|-|----|------|--------|
Lemostiercherkeetd e lonc et de	-|------|-----|-|-⌫|---|-|-|
Et Alexi sa troisfoisencontret	-|-----⌫||----|---|--------|
Maisu oirementnecuid e	---|-⌫-------|-|----⌫|
Kese scors	-|--⌫|---|
soitde si grant dignitet	---|-|-|----|-------|
M a i nt esfo isl	-⌫-⌫-⌫--⌫-|--⌫-||
ot forsdou mostierbotet	-|---|--|------|----|
Etlaidement castoiietet coset	-|--------|--------|-|----|
Et sod uiantelpa utonierc lamet.	-|---⌫----|-|--⌫------|-⌫-----|
L i ciersreuint a l	-⌫|----|-----|||
image neenploran t	-----⌫-|-|------⌫|
Dame dist il par totuoisespiant	---|---|-|--|--|---|------|
Mais netruishome kisoitde	---|-|----|---|-|---|-|
telsemblant	--|-------|
Kitan tsoit digne skeuosale ́ s	-|---⌫|---|-----⌫|-|--|---⌫-⌫|
Ele respontTrouerle pu es seant	--|------|-----|-|--⌫-|----|
Derriercheluis ensensautierlisant .	------|---|--|-|--|------|------⌫|
Quiert leli	-----|-|-|
clerschelepa rt uintcorant	----|----|--⌫-|---|-----|
totdroitaupietkeu s	--|----|-|---|---⌫|
liest errant	-|--|-----|
Siremierchitpo rDam ediu	---|-------|--⌫|---⌫---|
Tesainteu ietunosaschelet	-|-----|-⌫-|-|--|-|-----|
Pageu 01P296	-----⌫-----|
Kenos ensom esenuie r s	-|--|-|---⌫-|-----⌫-⌫|
Diumeserr ant.	--|------⌫---|
SainsAlexisen ueutalerfuiant	----|-----|-|---|---|-----|
Maislibonsci ersle uaitbien fort	---|-|---|--⌫--|-|---|---|---|
Etlescanone s doum o stierapielant	-|--|------⌫|--|-⌫-⌫----|-------|
S iloracon t epaoro set tremblant	-⌫|--|----⌫-⌫|-----⌫|-|--------|
De chel eimagene	-|----⌫|------|
kili fistle	-|-|---|-|
K e lesaint	-⌫|-|----|
home loramenas tau ant	---|--|------⌫|--⌫--|
Etsesbon téslorf es istente ndant.	-|--|---⌫---|--|-⌫--⌫--|----⌫-----|
Kan tc hiloirent	---⌫|-⌫--|-----|
chou raconter	---|-------|
sirefistl i ma ge neparler	---|---||-⌫--⌫--⌫-|-----|
Po r chelsaint	--⌫|---|----|
h omeconoistreet d em ostrer	-⌫--|--------|-|-⌫--⌫-----|
Communeu ment l e	--------⌫---|-⌫|
cuerentao rer	------|--⌫--|
E tsile uuelenta euesquealeu er	-⌫|-|-|------||------|----⌫-|
Mais ilnelpuet sofrir ne endur e r.	---|-|-||---|-----|-|-----⌫-⌫-|
uoit chouquel uuelent	---|---|--||------|
Et dougrant	-|--|----|
faisdousiécle	---|--|------|
Chiertesdistil chi nequier mais	-------|---|-|--|-|----|---|
Carderi keche	--|-|--⌫----|
nedor gueildemener	-||--⌫----|------|
Nepuetnushonparadisacater.	-|---|--|--|------|------|
A mienuitlorescapeli ber	|------|--|-----|-|--|
fuia ntdr o itementa	----⌫-|--⌫-⌫------||
Pr ies estlibargeki outredoit	--⌫--|--|-|----|-|----|---|
Do ne sen prissi sefaitmetre	--⌫-|--|---|-|-|---|----|
DroituiersCo rsant	----|----|--⌫----|
encui diére ntaler	-|---⌫------⌫-|---|
M aisnostresire ne si laissa	-⌫--|-----|---|-|||-----|
uiers senpai sf istleb argetorner	----|--|---⌫|-⌫--|-|-⌫---|-----|
si et l iues p ri esdeRomeariuer.	--⌫-|-⌫---|-⌫--⌫-|-|---|------|
Etka ntlis ireuoitRome le	-|--⌫-|-|-⌫--|---|---|-|
Ouilfu cuen sdesos lempereor	-|-|-|----⌫|----||-------|
Orsaciésbienkilen	-|------|---||-|-|
ot grantpaor.	-|----|----|
Seluoitsespé reet sifran c uaua ssor	-||---|--|---⌫-|-|-|----⌫|----⌫---|
Se fran ce	-|----⌫-|
mé rekimeine	---⌫-|-|----|
gr antd olor	--⌫--|-⌫---|
Illeprendront parforche etpar uigor	-|-|--------|--|-----|-|--|----|
S ilembatro nt enle ti erestre honor.	-⌫||-------⌫-|-|-|--⌫------|-----|
Page u01P29 7	----⌫------⌫|
Aori so n secouce depaor	|---⌫--⌫|-|----|-|---|
Si enapiele Ie su le creator	-|-|-----|--⌫-|-|------|
Ha idistildou sfiussa i nte Marie	--⌫|---|-|---⌫|---|--⌫-⌫--|----|
S etoi pleustio u neuausis se mie	-⌫|--|-----|--⌫|-|------⌫-|--|
K enchest pais fust li	|-|----|---|---|-|
bargeuertie.	----|------|
Sem uoitm espéreki	-||---|-⌫-|----|-|
Romea en baillie	---||-|------|
Etc hele mé rekisi en	-|-⌫---|---⌫-|-|-|-|
puchielekeiouaidel aisie	-------|-|--|-|---⌫----|
maisn i ecort oise	-----⌫-⌫|----⌫---|
etenseignie	-|--------|
Cuiiou au oiesi douchem en tnorie	--|--|--⌫--|-|-------⌫--⌫|----|
Ilmemba trontenchelemortelui e	-||----⌫----|-|----|-----|--⌫|
Si metaurontle	-|-|------|-|
toiecompaignie.	---|----------|
Ha Diusdi st ilbiauspe ́re	-|---|--⌫-|-|----|--⌫--|
Or medeffent	-|-|------|
doudiab le engi gnos	--|----⌫-|----⌫---|
faire a le	----||-|
c uersi uoisos	-⌫--|-|-----|
Kenem embateenmil	-|-||-----|-|--|
pl aitperillos	--⌫--|-------|
Dont uie rs toisoie coupable sne	---|---⌫-|--|---|--------⌫|-|
Orsaiiou b ienbiauspére glorios	-|--|--|-⌫--|----|----|------|
Kemipa rent sontformentcorechos	-|-|--⌫---|---|------|-------|
men co rsaueirdesir os	--|--⌫-||---|-----⌫-|
Aiau sirai	|---⌫|---|
parleru nmo toudos	-----|-⌫|--⌫|-|--|
Nelsaront ia car tossuica tiuos	-||-----|-|--|--|--|--⌫----|
Mesuise stpales	--|--|-⌫-|----|
et desfai sethisdos.	-|------⌫|-|------|
Co nduitmedo nesire	--⌫----|-|--⌫-|---|
parteldeuise	--|--|-----|
Kenisoit m ar me	-|||---||--⌫-|
pierduenemaumise	------|-|------|
Et eni nfier elfu	-|-|-⌫----|-|-|
ardentesprise.	-----|-------|
Kanti ouarai l orb ieleaumosn e	---|-⌫-|---|-⌫-|-⌫---|------⌫|
Et silor coseetue ue	-|-|--|---|-|--⌫-|
etenq u ise	-|---⌫-⌫--|
Luesmeniraif aire le tiens ierui se	---||-|---|-⌫---|-|---|-⌫-----⌫-|
Tant keiar ai si	---|-||--⌫-|-|
tegra che conquis e	-|---⌫--|-------⌫|
Ke enten regne	-|-|--|----|
partoisoitmarme prise	--|--|---||---|----|
Eto dt esangel es coronee	-|-⌫|-⌫-|-----⌫-|------|
et assise.	-|------|
Pageu 01P298	-----⌫-----|
SainsAlexisest iss usde l e	----|-----|--|---⌫-|-|-⌫|
Tantestmalades k apeinepuet aler.	---|--|------|||----|---|----|
Ors ec om encheli	-|-⌫|-⌫--⌫----|-|
b eraporpen ser	-⌫-||------⌫--|
KaRomeir asen	||---|--⌫|--|
pé rea raisone r	---⌫-|-⌫-------⌫|
Etengr igois en	-|-|--⌫----|-|
t e lwise p arler	-⌫-⌫|---|-⌫----|
romancnelpora auis er	-----|--|---|----⌫-|
Ets eprouende liua ura de mander.	-|-⌫|-------|-|--⌫--|--⌫------|
plais oit ke	-----⌫--|-|
li uausist	-|------|
Ia maisdelui	-|---|-|--|
neuauroitre m uer.	-|------|--⌫-⌫---|
Ne ensesalene s unefoisentrer	-|-|-|---|--⌫|--|---|-----|
M aischadefor senun	-⌫--|--|-----⌫|-|-|
pulen tan g ler	-----⌫|--⌫-⌫--|
Ouon soloit l iaue de s	-|-|-----||---|--⌫|
mainsgieter	----|-----|
Laifera un	-||---|-|
littot est orer	--|--|---⌫---|
Siiuerracascun ioraudisne r	-||----|-----|--|-|-----⌫|
Les gr a nsd eintié s par	--|--⌫-⌫-|-⌫-------⌫|--|
deuant luip orter	-----|--|-⌫----|
Nientpor ichoukile ndoiue	----|--|----||-|-⌫|----|
Ain slesfera	---⌫|--|---|
seboucede s irer	-|----|--⌫-⌫---|
Carenches tsie ́cle ueut si s en	--|-|----⌫|---⌫---|---|-|-⌫-|
corsp ener	---|-⌫---|
