qui mul tdolenz en	--|---⌫|-----|-|
gariequequel i	----|-----|-⌫|
sainz hom parloit issice le	----|--|------|---|--⌫-|
crioit ah auteuoi z et li	-----||-⌫---|---⌫|-|-|
pr ioi thau tement	--⌫---⌫|---⌫-----|
quil eustde	-|-|---|-|
pi tieet misericordeli s ainzho m	--⌫--|-|----------|-|-⌫---|--⌫|
sasali ue si litocha	-|----⌫-|-|-|----|
asesiauz parexemplede	|--|---|--|------|-|
seignorqui	------|--|
issi fista	---|---||
ce lui quinezestoitauo ugles	--⌫--|--|--|-----|---⌫----|
etmaintenantfu celi	-|---------|-|---|
renluminee desaueue etga rie	---------|-|-|---|-|--⌫--|
un autrefoiz auintq uns	-|----|---|----||--|
charret ons	-------⌫--|
charrioit unchar en	--------|-|---|-|
nesaiquelleu	-|--|---|--|
pors a beigsoineli	--|-⌫|--------|-|
char e tonsesto itdegase	----⌫-⌫---|----⌫-|-|---|
ilalo itsa u oie lidiablel	-|---⌫-|-|-⌫--|-|-----||
entrepris tentel	---------⌫|-|--|
me nier e quildeuint tozroizet	--⌫----⌫|-|-|-----|--|---|-|
ot saf or ceperd uesi	-|-|-⌫--⌫-|----⌫-|-|
sesmain sn epooitmouoir nepiez ne	--|----⌫|-⌫|----|-----|-|---|-|
ch iefneist antq u i l	--⌫--|---|-⌫----⌫|-⌫|
flechirdenule	------|-|---|
partlenl o por taa	---|--|-⌫|---⌫-||
sa in tyla ri enen	--⌫--⌫|---⌫--⌫-|-|
u nelitierecil	-⌫-|------|--|
n epoo itplusmouoir de	-⌫|---⌫-|---|-----|-|
membresforsq ue lalan gue parceli	------|-----⌫-|-|---⌫--|--|---|
pri a i lausainthomequil	---⌫|-⌫|-|----|---|-|-|
feistsecorset a ieli sa inzho m	----|-----|-|-⌫-|-|--⌫--|--⌫|
lidi stquil nepo oitestresenez	-|--⌫-|-|-|-|--⌫--|----|----|
creoitpre mier sen	-----|---⌫----⌫|-|
nost reseignor i hesuc rist	----⌫-|------|-⌫---|-⌫---|
deguerpisoit saloiq ui	-----------|-|--|-⌫-|
mauuais seestoit cil cru t	-------⌫-|-----|--|---⌫|
en ihesucrist etl aissas a	-|----|----|-|-⌫----|-⌫|
creance sif umaintenan t se nez	------|-|-⌫|---------⌫|--⌫--|
apr e s cea u intqun s iouen ci aus	---⌫-⌫|-|-⌫-⌫--||--⌫|-----⌫--⌫--|
estoit encelemei smecontree	-----|-|---|---⌫--|------|
quimessicasauoit n oms ier tsi	--|-------|----|-⌫-|-⌫|--⌫|-|
tresforzqu	---|---|-|
ilpo rt oity ymu is	-|--⌫--⌫--|-⌫|--⌫-|
deformentacell em esur enene	-|------||----⌫|-⌫----⌫|-|-|
trouoitasnequ i	------|---|--⌫|
portere nn ule meniereen	-----|-⌫|-⌫--|------|-|
celiouencel	--|-------|
quisifortestoit	--|-|---|-----|
entrali ennem ise lcorsqu	----|-|-----⌫-|-⌫|---|-|
c ru elme ntlofist e st rangier	-⌫--⌫----⌫-|-|---|-⌫--⌫------|
et forsenerdontneloporentt e n ir	-|-------|---|-|-|-----|-⌫-⌫-⌫-|
ne chaenesneanels d efern e	-|------|-|----|-⌫|--|-⌫|
cha rt re qui l nederompist	---⌫--⌫-|-|-⌫|-|--------|
sa fo r seneried epl usors	-|--⌫-⌫------|-⌫|--⌫----|
quil e nc ontroi t me nioit	-|-|-⌫--⌫------⌫|--⌫----|
nes et lesoroiles e ta us	--|-|--|------|-⌫|-⌫-|
autresbris oi t	-----|----⌫--⌫|
i l lesi a mbesou	-⌫|--|-⌫-⌫---|-|
le s den z	--⌫|---⌫|
oua utres membre s	-|-⌫----|------⌫|
totes lesg enzqui enuir o nl ui	----|--|-⌫--|--|-----⌫-⌫|-⌫-|
estoientauoit ilsie spoantez	-------|----|-|-|-⌫-------|
ilnes auoient	-|-|-⌫------|
quil p eussen t	-|-|-⌫------⌫|
fairenonparquan ttanfirentsi	----|----------⌫|--|-----|-|
q uepar grant forcedeg enzet par	-⌫-|--|----|----|-|-⌫--|-|--|
granteng ien zlelierent de	----|---⌫---⌫|-|------|-|
chaenesdefer et decor dessi lo	------|-|--|-|-|---⌫--|-|-|
traissenta preselsausi	--------|-⌫---|--|---|
com un saluag etoriusquesau leu ou	--|-|------⌫|--|------|-|--|-|
sainz yl a irie nse t si	----|--⌫-⌫----⌫-|-⌫|-|
abitoient quantloufrerele	--------|----|--|----|-|
uire nt i lfure nttui t	----⌫-|-⌫|----⌫-|---⌫|
espoan tezqu a r	------⌫--|--⌫-⌫|
c il estoitameruoille gran t	-⌫-|-----||--------|----⌫|
et orribl eslorscoru rent	-|------⌫-|---|----⌫---|
lifrer e asai nt	-|----⌫||---⌫-|
ylarienlorsaint	------|--|----|
silinoncerentq uantl i	-|-|--------|-⌫---|-⌫|
loi ilconmanda	|-|-|-------|
enlot ra inast	-|-|-⌫--⌫----|
iuqu au l euouil	---|-|-⌫-|-|-|
estoi tetcilsifiren t	-----⌫|-|--|-|-----⌫|
gran tf or ce quilal	----⌫|-⌫--⌫-|--|-||
quariluen oit multaenuuizdeuant	---|-|---⌫--|---||-----|-----|
lo sain thom esi recu l o it	-|----⌫|---⌫|-|----⌫-⌫-⌫-|
t raino i entdequanquil po oient	-⌫-----⌫-⌫--|-|-----|-|--⌫----|
auant quimult d e gent est oient	----|--|---|-⌫|---|---⌫----|
as embl és i l otenoientaco rd e s	--⌫----⌫-|-⌫|-⌫|-------||--⌫--⌫-⌫|
eta chaiennesdontillauoie nt	-||--------|---|-||-----⌫-|
totcharg i éet cesembl oit	--|-----⌫-⌫-|-|-|-----⌫--|
a uoieru n e grantmeruoilletantost	|----|-⌫-⌫|----|--------|------|
comsain zylarie nslouit	--|----⌫|------⌫-|-|--|
ilconmandaaceus qu	-|-------||---|-|
de sliasse ntetlaissasse ntal er	--⌫-------⌫-|-|---------⌫-|--⌫-|
totdeliu reetcil si f ire nt	--|-----⌫-|-|--|-|-⌫---⌫-|
sanzarestem enz quilnelo s erent	---|-------⌫--|-|-|-||-⌫-⌫----|
contredir e quantsainzy larie nslo	---------⌫|----|----|-⌫-----⌫-|-|
uitdesl iezillidist	--|----⌫--|-|-|---|
abaisseta tes tesiuienaua nt	------|-|---⌫-|-|---|---⌫-|
cil con menc a maintena nt	--|---⌫----⌫|--------⌫-|
atre mble r de paorqu iloi la	|---⌫----⌫|-|---|-|-|-|-|
parol edo sainthomenenel osa	-----⌫|-|----|---|-|-||--|
re garderainzselaisach aoirases	--⌫-----|---|-|----|--⌫---||--|
lepri stalech ier	-|---⌫-||----⌫--|
desalangu emu ltdoce me ntli sainz hom	-|-|-----⌫|--⌫-|----⌫--⌫-|-|----|--|
re leue ret sifut	--⌫----⌫|-|-|--|
ens emble luiy y	---⌫----|--|-⌫|
iors etadonc liisi	---|-|----|-|--|
lidiableforsdelco rsque	-|-----|---|--|--⌫-|--|
multl auoi tt rauaillié et	---||----⌫|-⌫---------|-|
penéetbiensachi ezconqu e	----|-|---|-----⌫-||----⌫|
celiorquilfuuenuz de uan tlo saint	--|--|-|-|-|----|--⌫---⌫|-|----|
otpooirq uil	-|----|-⌫|-|
greuastanulerien	------||---|---|
uiuantainsi con	-----|----|--|
uos moez dire	--||--|---|
conter fugarizliio uenci auspar	-----|-|----|-|--⌫-----⌫--|--|
sa intylarien	--⌫--|------|
porcuinostre sire	--|--|-----|---|
fist maintbelmiracle e tmaint bel	---|----|--|------|-⌫|----|--|
ie mieta ireo rion	-|--|--⌫--|-⌫---|
es toi t richeshomet prim a s	--⌫---⌫|-----|--|-|----⌫-⌫|
ceestpremiersdesaignorie	-|--|-------|-|--------|
ce us de lacite	--⌫-|-|-|---|
debailequi prese stdela roge	-|----|--|---|-⌫-|-|-|---|
merfuamenezasaint yla ri en	--|-|-----||----|---⌫--⌫-|
por cequ ilauoit elcors une	--|-|-|-|----|-|---|--|
religionde dia bles unereligi on	-------|-|---⌫---|--|------⌫-|
se contientyymile yy	-|-------|-|---|-|
richehomquitan tauo it	----|--|--|---⌫|---⌫-|
de di able selc ors	-|--⌫----⌫|-|-⌫--|
liere ntsi	-----⌫-|-|
parentde chaenes	-----|-|------|
def er parmi	-|-⌫-|----|
etparmi les mains e tpar	-|----|--|----|-⌫|--|
etparlesco stez si	-|--|--|--⌫---|-|
ame nerentasaintylar ienetbi en	---⌫-----||----|----⌫--|-|--⌫-|
sembloit quilesgardoite nmi	-------|--||--------|-⌫--|
lachierequ il fus t plainzde	-|-----|-|-|---⌫|-----|-|
gra nz forseneriesi comil	---⌫-|---------|-|--|-|
tant alerentqu iluindrentla	---|------|-|-|-------|-|
ous ainzylar i es ab itoiten	-|-⌫---|----⌫-⌫-|--⌫----|-|
mont aigne	----⌫----|
en se mblese sfrereslis ainz	--⌫--⌫---|--⌫|-----|-|-⌫---|
es toitadoncissuz	--⌫---|----|----|
de sa c elle	-|-|-⌫---|
poralerensonlabor sicom iecuit	--|---|-|--|----|-|--|-|---|
et moisemb leet	-|--|----⌫-|-|
mostroitase sfreresparoles de	-------||--⌫|-----|------|-|
de uinesescritures lidesuez	--⌫----|---------|-|-----|
aiditeschapa	-|--|------|
ceus quile ten o i e nt	---|--|-|---⌫-⌫-⌫-⌫-|
asaintylar iens i lembr aca	|----|----⌫--|-⌫||----⌫--|
darr iereet lele uade ter r e	----⌫---|-|-|--⌫-|-|---⌫-⌫|
multle gier e ment cilq u ila	---|--⌫----⌫-⌫---|--|-⌫-⌫|-|
estoient conmencierent acri er	-------|------------||---⌫-|
detotesparzquar	-|----|---|---|
ilcremoientque	-|--------|--|
cilneconbrissasttoz les	--|-|----------|--|--|
mem b resausaint homequimult	---⌫-⌫--|-|----|---|--|---|
estoientfo bliese t agreués	-------|--⌫----|-⌫|-------|
parie uner	--|--⌫---|
lon guement li	---⌫------|-|
sainz ho mlor	----|--⌫|--|
disttai siezuoset	---|---⌫---|--|-|
dotez noient s imelais iezentre	----|-----|-⌫|-|----⌫--|----|
maintenantqu iluint	-----------|-|---|
aluis itorna	|--|-⌫|----|
sa mainpar	-|---|--|
desoresesesp a u l es	-----|--|---⌫-⌫-⌫-⌫-|
eta thoch aceluisorlatestel ors	-|-⌫-----⌫|----|--|-|----|-⌫--|
se laissa li d esuezet l isainz	-|-----|-|-⌫----|-|-⌫|----|
hom lo prist par	--|-|----|--|
lesc he uou ss ilo	--|-⌫--⌫---⌫|-⌫|-|
piez et d ontli	---|-|-⌫--|-|
c onmencalesyymains	-⌫------|--|-|----|
adestraind r e	|---------⌫-⌫|
desa main etdesonpiele s	-|-|---|-|-|--|--|--⌫|
deu s p iezahu rte r e t	---⌫|-⌫--||--⌫---⌫|-⌫|
a batre puis	|----|---|
fistso roison	---||-⌫-----|
a no streseignor	|--⌫---|------|
si lidistbiaus	-|-|---|----|
s ireihesucrist	-⌫--|----|----|
qui sor totes	--|--|----|
puissance deliu recestchai tis de	--------|-----⌫-|---|----⌫--|-|
samalauent ureorpoez	-|--------⌫--|-|---|
oir gra nz meruo ille	--|---⌫-|-----⌫---|
conque st elen	|-----⌫|-⌫--||
oistesquar	-----|---|
de l a boche	-|-⌫|----|
cel uioilen	---⌫-|-|--|
granzcrizde	----|---|-|
diue rsesuo izet	----⌫---|--⌫-|-|
ded iu erses me nieres	-|-⌫--⌫----|--⌫-----|
et li e sirenttuit	-|-|-⌫-----|---|
lideab le fors	-|----⌫-|---|
quep lusnio serent demorer	--|-⌫--|||-⌫-----|------|
cilde li uresdela	--|--⌫--⌫---|-|-|
desuerie que	-------|--|
demenoient deluisis en	---------|-|--|-||-|
rep a ir aarriere ensa contree	---⌫-⌫--⌫|------|-|-|------|
aprescenon	----|-|--|
m ielont ensr euinti l	-⌫-|----⌫--|-⌫----|-⌫|
ato tsafame e t atoz	---⌫|-|---|-⌫||--|
ses anfanz	--|-----|
al abaiesainz ylariens icompor	||----|----|------|-⌫|--|--|
gra ic ear e ndreanostre	---⌫--⌫||-⌫-⌫---||-----|
et au sa int homede	-|-|--⌫--|---|-|
sadeliurancesi	-|---------|-|
aportae nsemblelui oret	-----|-⌫------|--|-|-|
ar gentqu illi uoloitdoner et	--⌫---|-|-|-|-----|----|-|
piresprec iosesme s	----|----⌫----|--⌫|
saint xmne	----|-|-|
uolt ni entp rendrene recoi ure	---|--⌫--|-⌫-----|-|-----⌫--|
qua ntce uitorio nillidis tem	---⌫-|-|--|----⌫|-|-|---⌫|-|
plo rant quilrecust ce	---⌫---|-|-|-----|-|
quilliauoitaportési lo	-|-|-|----|------|-|-|
departist et d onastaupoure s	--------|-|-⌫----|-|-----⌫|
sa inzylar iensli res pond i	--⌫--|----⌫---|-|---⌫----⌫|
pooit mielzdepartir etdoner	----|----|-------|-|----|
porceluiquialoi tparle scitez	--|----|--|----⌫|--|--⌫|----|
etparlesuile ssicogno iss oit	-|--|--|----⌫|-|-----⌫---⌫--|
mielz lespour esquilne	----|--|----⌫-|-|-|-|
faisoita insis en	------|-⌫---||-|
etalaarriere	-|--|------|
qu ainc sainz	-|---|----|
ylariensneuoltdosuen rien	-------|-|---|-|---|---|
tenir neprend rentquarenlafin li	----|-|-----⌫---|---|-|-|--|-|
di stil que	--⌫-|-|--|
rienen rec euoi t nostre	---|-|---⌫----⌫|-----|
enc orrece roitetto te	-|-⌫------⌫---|-|--⌫-|
lare ligionsdesdiables	-|--⌫------|--|------|
repaireroi taluisi sero it	----------⌫||--|-|----⌫-|
comilauoitesté d auant en dolor	--|-|----|----|-⌫----|-|----|
et p a ineo r	-|-⌫-⌫--|-⌫|
trespasse a dire	--------||---|
zazanusfuentrepris degrant	------|-|--------|-|----|
enfermetesodaine m ent	--------|-------⌫-⌫--|
etausitostgariz	-|-------|----|
pa rlesproieresdosaint	--⌫|--|-------|-|----|
ho n me cil zaza nus	--⌫-⌫-|--|----⌫--|
estoit sobtils	-----|------|
macon sencel temporesi	-----⌫|-|--|------|-|
uerslo riuage dela mer aune	---|-|-----|-|-|--||--|
rocheportrenchierpiere e t	----|--|--------|----|-⌫|
apparillieraouesungr ant mur afair e	----------||---|-|--⌫--|--||----⌫|
du nem aisonenlabaie	|-⌫-|-⌫----|-||----|
sainty larienet	----|-⌫-----|-|
ceertasezp resde	-|--|---|-⌫--|-|
l aq uecil ouroi t	-⌫|-⌫-|--|-----⌫|
e nsemblesescompaignonsila uint si	-⌫------|--|----------|-|-⌫---|-|
co mnostresirelouolt	--⌫|-----|---|-|---|
que palesinlo	--|------|-|
fer ipar toz ses	---⌫|--|--|--|
menb res etl esotsi perdu z	----⌫--|-|-⌫-|-|-|-----⌫|
enpoi dorequ i l	-|--||--|-|-⌫|
aidier enn ulemani eresi compaignon	-----|-|-⌫--|----⌫--|-|---------|
lo pristre nt et	-|-------⌫-|-|
lenaporterent	|-|---------|
a sai ntylarienlaouil	|---⌫-|------|-|-|-|
ereouecse sfrer eset	--|---|--⌫|----⌫-|-|
conterentconmentc e	--------|------|-⌫|
sainzyl ariens lo r egar da et	----|--⌫-----|-|-⌫----⌫-|-|
fistlosine	---|-|---|
saintecroi z sor	-----|----⌫|--|
luimaintenantfucilgarizet s enez	--|---------|-|--|----|-|-⌫---|
e trepairaar rierea uec	-⌫|------|--⌫----|-⌫--|
con paigno nsqui aportélau oient	---⌫------⌫-|--|------||--⌫----|
e treco nme ncaafaires ueur e	-⌫|----⌫---⌫--||----||----⌫|
agrantioie	|----|---|
apres ceauint	----|-|----|
cuns hom crestien	|--|--|-------|
ytalicusauoit	-------|----|
nom auoitpris	--|----|---|
un corsde cheu au sencontreun aut re	-|---|-|----⌫--⌫|-------|-|---⌫-|
hom esarra zi nquilesydel es	---⌫|-----⌫--⌫|--|--|----⌫-|
a o r oit cheuausauoient il n oiriz	-⌫-⌫-⌫--|------|------|-|-⌫----|
etafaitieza corre ato z	-|-------||----||--⌫|
ouilestoi e nt	-|-|-----⌫-⌫-|
attelezsi com	------|-|--|
estoitca enarrierea costumé	-----|-|-|------|-⌫-------|
cilqui mielzcoroienten tel	--|--|----|-------|-|--|
meniereauroientuictorie	------|-------|-------|
loa ngegrantlipaienstraiotases	---⌫--|----|-|-----|-----||--|
ydeleset disoitnesai	-----|-|-----|-|--|
queuscharmes asdi ablesquil	----|------|-|--⌫----|-|-|
aoro it qu	----⌫-|-|
il liaidassent	-|-|--------|
c elcorsafa ire etasormonter siqu	-⌫-|---||--⌫--|-||--------|-|-|
il eneust la uictoire	-|-|---|-|-------|
liautresqui	-|-----|--|
crestiensestoit	--------|-----|
uinta sai ntylarie nsi	---||---⌫-|------⌫|-|
p r iaqu il	-⌫-⌫-|-|-|
proiastanostre	------||-----|
seignorsi quilsepeustd esf e ndre	------|-|-|-|-|----|-⌫---⌫-⌫---|
sanzhonteets an zblasme auo ir	---|----|-|-⌫--⌫|-----|---⌫-|
ylarien sembladefaireor ois on	------|-----|-|----|--⌫---⌫-|
encemeniere oiseusechose seroit	-|-|------|------|----|-----|
afairesiconmencaa	|----|-|-------||
sorrir eet a	------⌫|-||
esgarder celui sili	-------|----|-|-|
qoin as tuuend uz	--||-|-|----⌫-|
cescheu aus etdep artiz	--|----⌫--|-|---⌫----|
porlo sa ludetame	--|-|--⌫-|-||--|
an c oisquetu cest corsent reprisses	--⌫-⌫-----|-|---|---|---⌫--------|
cill i res p ond i	--|-⌫|---⌫-⌫---⌫|
queertus etconmun e costume	--|--|-|-|------⌫|------|
lofaisoitpastant par	-|------|--|---|--|
sa uolente	-|------|
c ompar autruicont raigne ment	-⌫-|--|-----|----⌫------⌫---|
etbi ensauoitcertain ement	-|--⌫-|-----|-------⌫----|
qu eliau tre q ui	--⌫|-|--⌫--|-⌫-|
paiensestoi t	-----|-----⌫|
iouroitdart enchanteres se	|-----||--|-----------⌫-|
q uanq uilpooit porauoir	-⌫----⌫|-|----|--|----|
l auitoire	-⌫|------|
etceneloisoit ilmie a u	-|-|-|------|-|--|-⌫|
crestien ho me	-------|--⌫-|
faireetpor ceestoit	----|-|--|-|-----|
il uenuz a	-|----||
luiporaie et	--|--|--|-|
mee smemente ndonc eus dela citede	---⌫------|-⌫---|-⌫--|-|-|---|-|
gasequiaduer saire	---|--|-----⌫----|
estoient anostre seignor	-------||-----|------|
nelohaioi entmietantfole ment	-|-|-----⌫--|--|---|----⌫---|
comil f a isoit porsain te igliseet	--|-|-⌫-⌫----|--|----⌫-|-----|-|
por ihesucris t	--|----|----⌫|
qu antsain silaries	--⌫--|----⌫|------|
oice il se tut	-|-|-|-|--|
etli frere	-|-|----|
proi e rentquilpor celui	----⌫-⌫---|-|-|--|----|
proiast quarbi e nlo r	------|---|--⌫-⌫|--⌫|
sem bloita	---⌫----||
faireet quil	----|-|-|-|
eustr aison	---|-⌫----|
etdr oituredont	-|--⌫-----|---|
conmencas ainz	-------|-⌫---|
ylarienscomliaportast	-------||-|-|-------|
aquoi ilbeuoitsi l	|---|-|-----|-||
e nplist lend	-⌫-----|--||
aiguesi lebaillast len a	----|-|-|-------|--||
celuiquil iqeroit aie ytalicus	----|--|-⌫|-----|--|-------|
lo pristsis enrepaira	-|----|-||-|------|
ens am aiso n	-|-⌫|-⌫----⌫|
a rrier eetarosade cel	-⌫-----⌫|-|----|-|--|
aigu equ ilauoi taportee	----⌫|-|-|----⌫|------|
lestable e t lescheuauset lo	|------|-⌫|--|------|-|-|
totesles toches qu i	----|--|-----|--⌫|
iaparteno ientdontfurent	|--------⌫---|---|-----|
a tornéporcorre sicomi l	-⌫-----|--|----|-|--|-⌫|
granz fulipueplesqui	----|-|-|------|--|
asemble zpo rueor	-------⌫|--⌫|---|
etpo resgardez	-|--⌫|-------|
ce le chose li paien quecontrel e	--⌫-|----|-|----|--|-----|-⌫|
crestienestoit lo gabo it de	-------|-----|-|----⌫-|-|
q ue sainz	-⌫-|----|
ylaries liauoitroué	------|-|----|----|
fairequaril	----|---|-|
ensauoitbien	-|-----|---|
quide uerslo	--|--⌫---|-|
c re st ien	-⌫--⌫--⌫--|
estoient i l li disoientquil	-------|-⌫|-|-------|-|-|
fust t ozseursq uaril	---|-⌫-|----|-⌫--|-|
uaincroitnei ane	--------|-|-⌫|-|
ua uroi en t	--⌫----⌫--⌫|
paienses enc hantemenz	----|--|---⌫--------|
furent uenuzaleu	-----|----||--|
deuoientmue ure	-------|---⌫--|
lord ona s igne demouoir	--|-⌫--|-⌫---|-|-----|
cilfe rir entdesesperons qui	--|--⌫---⌫--|--|-------|--|
les cheuausse ioientet	--|------|--⌫-----|-|
con menc erent acorres i tres	---⌫----⌫----||----|-⌫|---|
isnele mentquecenerts e	------⌫---|--|-||--|-⌫|
m er uoille	-⌫--⌫-----|
n onsi comilcoroi enten	-⌫-|-|--|-|-----⌫--|-|
telmenierelesroes doc harau paien	--|------|--|---|-|-⌫--|-|----|
conmencierentaardoiretli	------------||-----|-|-|
cre stien con mencaatre spas ser si	---⌫----|---⌫----||---⌫----⌫--|-|
isnel leme n tqu apaines	-----⌫----⌫-⌫|-||-----|
poo ientueo ircilqui l	---⌫---|---⌫-|--|--||
esgardoientdont ileuamult	----------|---||---|---|
c riee del pu epleetmultg rant	-⌫---|--|--⌫---|-|---|-⌫---|
ainsi fu lipaie nsu ai ncu z	----|-|-|----⌫-|-⌫--⌫---⌫|
par i hesucrist	--|-⌫---|----|
etparsa inz ylarien	-|--|--⌫--|------|
serf etp lusors	---|-|-⌫-----|
quicesorent	--|-|-----|
etuirent sen	-|-----||-|
atornerentafoi etacreance et	---------||--|-||------|-|
ci l qui uain cuz er t etsi	--⌫|--|----⌫--|--⌫|-|-|
conpai gn ondisoientquesainz	------⌫--⌫-|-------|--|----|
yla rien s	---⌫----⌫|
est oitenchanteresetm aluais h om	---⌫--|----------|-|-⌫-----|-⌫-|
louoloient ocireet	-|-------|----|-|
destr uiremesnostresirenelo	-----⌫---|--|-----|---|-|-|
soffrimie qu i parsapiti e	-----|--|--⌫|--|-|----⌫|
etp arsadolcorseco rtlessuens	-|-⌫-|-|-----|----⌫-|--|----|
de toz biens	-|--|----|
e nceleci teauoitado nc	-⌫|---|--⌫-|----|---⌫-|
uniouencel	-|-------|
si amoit par enmors	-|----|--|-----|
unepucellecrest ien neet prochaine	--|------|-----⌫---⌫-|-|--------|
uoisine li estoit quil ne	------|-|-----|-|-|-|
sauoitquil	-----|-|-|
peu stfairequar	---⌫-|----|---|
ma intdemortporsam or	--⌫--|-|---|--||--⌫-|
celene seuol oit	---|-|-|---⌫--|
aband oner a u	-----⌫---|-⌫|
i ouencel nea sa	-⌫------|-||-|
uolentequa nt cil	------|---⌫-|--|
nela porroit uaincre	-|-|------|------|
nepa rieus	-|--⌫|---|
nepar bais iers	-|--|----⌫---|
pa rtotesa utresmenieresque	--⌫|----|-⌫----|-------|--|
su ele ntamorsfa ire na istre si s	--⌫---⌫-|----|--⌫--|--⌫----|-||
ala a un desesdeu spor	--||-|-|--|---⌫|--|
q uerrequilenferoit e t	-⌫----|-|-|-|-----|-⌫|
puisrepaira	---|------|
a lademoise letant	|-|-------⌫-|---|
alaissietta ntquist	--|---|-|--⌫-|----|
quede denz	--|--⌫---|
ant otaprispar les	--|-|----|--|--|
engi ns do diable	----⌫-|-|-----|
nesa i queuscharmes qu	-|--⌫|----|------|-|
il enfoides oz	-|----|---⌫-|
lo suelde lamaison	-|---|-|-|-----|
alapucel leet	|-|-----⌫-|-|
emsembleceenfoi	-------|-|----|
ilfig uresfaites	-|---⌫---|-----|
entail lieemplait aines	------⌫--|-|-----⌫----|
quantilot cefa it la pucelle	----|-|-|-|--⌫-|-|------|
con m encaa desuer tantost	---⌫-⌫---||-----|------|
der opi elelagui n plede	---⌫--|--|-|---⌫-⌫--|-|
toteescheuelee	---|---------|
etconmen ca les denz	-|------⌫-|--|---|
a estraindr e et	|---------⌫|-|
a hauchier lenondeliouencel	|-------|-|--|--|-------|
a hau t e uoiz orestoitlenmor	|---⌫-⌫|---|-|-----||----|
t restorn ee en	-⌫-------⌫-|-|
desuer ie quarla puce lle	------⌫-|---|-|----⌫--|
ertsi fors e neequ	--|-|----⌫-⌫--|-|
illac ouenoit	-|-|-⌫------|
lieret teni r af orcesesper es	---|-|----⌫||-⌫---|--|---⌫-|
etsamerequi	-|-|---|--|
grantdoloren	----|----|-|
d em eno ie n t lamene r enta sa int	-⌫--⌫---⌫--⌫-⌫||-----⌫-⌫--||--⌫--|
yl ariena l	--⌫----|||
abaietantostc onmeele	----|------|-⌫---|--|
uintdeuant losain t home	---|-----|-|----⌫|---|
quielcor sliestoitco nmenca	--|-|---⌫|-|-----|--⌫-----|
a dir ele nmefait	|---⌫|--⌫|-|---|
forceet malgr emiens ui ie ci	----|-|-----⌫|---|-⌫-|-|-|
ameneziesoloiemo ltbienles	-----|-|-----|--⌫-|---|--|
homesg aber etdecoiure et	----|-⌫---|-|-------|-|
es tu et so ffrir	--⌫--⌫-|--⌫----|
gri eft orm enz	---⌫-|-⌫---⌫--|
etgra nzdolorssainzhometume	-|---⌫-|-----|----|---|-|-|
de s trainzque ie	--⌫-⌫-----|--|-|
issedeces tepu c ellemes	---|-|---⌫-|--⌫-⌫---|--|
siliezdeso rlo lintel del	-|---|----⌫|-|-----|-||
uis que ie nepu isis sir	--|--|-|-|--⌫-|--⌫--|
etbiensachesque	-|---|-----|--|
istra i p asseliiou encelqui	-----⌫|-⌫-|-|-|---⌫----|--|
tientnemelaiss e	----|-|-|-----⌫|
et lisainz	-|-|----|
homli distmol t est	--|-|---|---⌫|--|
oregranttafor ce qui	--|----|-|---⌫-|--|
destr ainzett enuz par zzplatine	-----⌫---|-|-⌫---|--|-|------|
da r ain siqu e tunetepuez	|-⌫-⌫--|-|--⌫|-|-|-|---|
dipor quoi	-|--|---|
entreren cestepuce lleq uiade u	-----|-|----|----⌫--|-⌫-||--⌫|
e stoitdonee	-⌫----|----|
li di abl e	-|--⌫---⌫|
respon diporce que	------⌫-|--|-|--|
gardasse ui rginetu la	-------|--⌫----|-|-|
ga rda ssesfait	--⌫---⌫---|---|
saintylarienstu	----|-------|-|
destruisierresde chateepor	-------------|-|-----|--|
tu dontprem iersen celui quiti	-|---|----⌫---|-|----|--|||
e nuoi oitlidiables	-⌫----⌫--|-|------|
lirespondiporqu oi	-|-------|--|--⌫-|
i lauoit mo nconpaignon	-⌫|----|--⌫|---------|
de amorlodiable dont s e tutl i	-|---|-|-----|---|-⌫|--|-⌫|
sa inz hom n e	--⌫--|--|-⌫|
q uerreloiouencelne	-⌫----|-|-------|-|
ses charme s	--|------⌫|
iusq uesatantquil ot premiers	----⌫--|------|-|-|-------|
l apucelle	-⌫|------|
gar ieet d eliureededi able	---⌫-|-|-⌫------|-|--⌫---|
que cilquilla	--|--|---|-|
estoientasemblé ne	-------|-------|-|
qu ele fu stg arieparce quel i	-|--|--⌫-|-⌫---|--|-|--|-⌫|
enchantemenzfussent desfaizet	-----------|------|------|-|
d esloi é mesquant	-⌫-----⌫-|--|----|
lapucellefu	-|------|-|
d eltot seneeet	-⌫-|--|----|-|
deliuree delenemi	-------|-||----|
ilfistost er le s	-|---|---⌫-|--⌫|
anc hantemenzqu i desozlolinte de	---⌫--------|--⌫|----|-|----|-|
uisestoientetpuissi	--|-------|-|---|-|
adirequ elideables	|---|--⌫|-|------|
estoien tt ot	-------⌫|-⌫-|
te nsdeceuantet	--⌫-|-------|-|
sepenoie nt	-|------⌫-|
ade sdemalmetreleshomes et les	---⌫|-|-------|--|----|-|--|
p orqui lu oloienttolirles	-⌫-|-|-⌫|-⌫------|----|--|
ame set qua n t	---⌫|-|---⌫-⌫|
blasmamult	-----|---|
l ap uce llede cequele	-⌫|-⌫---⌫--|-|-|-|--|
auoitfait ou respa r q ui	----|---|--⌫--|--⌫|-⌫-|
lide abl e	-|--⌫---⌫|
