troueela pucele	-----|-|-----|
quitant ert sages e sout ieus	--|---|--|----||----⌫---|
amiea la carole	---||-|-----|
sansfaireplus longeparo le	---|----|---|----|----⌫-|
cambre sen estuenus	-----||-|--|----|
quit outeer tfaitedebenus	--|-⌫---|--⌫|----||-----|
conmentleric ebranc da cier	------|-|---⌫|----||-⌫---|
sefist p armilec o rsglac ier	-|---|-⌫---|-|-⌫-⌫-|----⌫--|
s oréscon	|----|--|
unep ucelete	--|-⌫------|
qui sedo rmoit e nlecambrete	--|-|--⌫----|-⌫|-|-------|
s es uillaquant oi lanoise	|--⌫----|----|-|-|----|
el palais uin tpasnesa cois e	-|-----|---⌫|--|-||-⌫----⌫|
s ore ́s c onmente lecria	|---⌫-|-⌫-----|-⌫-|---|
auduccongrantdolorcia	-|--|--|----|----|-||
l efoi que uos doi	-⌫|--|--|--|--|
en nocambresontmortandoi	-|-|-----|---|---|----|
uo niechequi tantestoitbele	-|-----|--|---|-----|---|
ecilquiamoit	|--|--|----|
conm entlidusquifuuas aus	----⌫--|-|--|--|-|---⌫--|
ui ntenl acambre les gra nss aus	--⌫-|-|-⌫|-----|--|---⌫-|-⌫--|
comentilreuintel	-----|-|-----|-|
a toutsespeeagrantes l ais	-⌫---||----||----|--⌫-⌫--|
laducoisee ncaupa	-|------|-⌫|----|
adont futourbleela	----|-|-------|-|
sorésconmentsedesprisa	|----|------|-|-------|
li dusconm ent	-|--|----⌫--|
l ecroisprise a	-⌫|----|----||
conmento utre mer ua serui r	------|-⌫----⌫--|-|-----⌫|
sagras edeseruir	-|----⌫|-------|
ihesu c ris	----|-⌫--|
nosdoinstpersagrase	--|-----|--|-|----|
d euiuree lmondeta nt d	-⌫|----|-⌫|----|--⌫-||
e si noscaroun gne sm onder	|-|--|------⌫---⌫|-⌫----|
e n ospechiestous esmo nder	|-⌫-|------|---|----⌫---|
co luisoion s es cieusenclos	||--|-----⌫|-|----|-----|
quantmo rs	----|--⌫-|
n osaral e s iexclos	-⌫-|--|-⌫-⌫|--|---|
chiste b ra nq ue	-----|-⌫--⌫--⌫-|
d isenoefuim e	-⌫----------⌫|
parol e dun	-----⌫||-|
homesaintisme	---|--------|
grasieus e degrantrenon	-------||-|----|----|
ileuta aanon	-|--|-⌫||--|
s ainsh om fuedeb oine	-⌫---|-⌫-|-||-|-⌫---|
onquesnot demalfaire enuie	-----||-|-|--|----|----|
etlipremi er s	-|-|-----⌫--⌫|
s ainsfu qui fu st	-⌫---|-|--|--⌫-|
martirsapres	------|----|
de lecrois f umis ihesucr is	-|-|----|-⌫|--|----|--⌫-|
c enostesmon gne	-⌫|--|------⌫--|
li e s c ris	-|-⌫-⌫-⌫--|
a aplain sdesiense	-⌫|-----⌫|-|-----|
fuedeg randepasiense	-||-|-⌫----|-------|
p ortoscauspriaumlement	-⌫-|--|---|---|-------|
quileliurerentat orment	--|-|--------||-⌫-----|
qedieuxl e ur	-|----|-⌫-⌫-|
fessistur ai pardon	------|--⌫-|-----|
diexqui nosfistde s e	---|--|--|---|-|-⌫|
a pres lamort enp aradis	-⌫---|-|---|-|-⌫-----|
nousmecheouil	---|----|-|-|
er t atoudis	--⌫||-----|
apres cest euinti me branq u e	----|----⌫|-----⌫-|-----⌫-⌫|
des uersd elemort quiest	--|---|-⌫|-|---|--|--|
totlemonde	--|-|----|
litresdouceroinemonde	-|---|----|----|----|
seruirgr ant de porta	-----|--⌫--|--⌫---||
enses d ousfl ans porta	-|--|-⌫--|--⌫--|----|
per saproierete us nosface	--|-|------|--⌫-|--|---|
fil uoion s faceaface	--|-----⌫|---||---|
quantmors quifait ioi eius metre	----|---|--|---|---⌫|--|----|
nousara faisles cor sre me tre	---|--|---|--|---⌫|--⌫--⌫--|
pardiu qui	--|--|--|
to s lesbiensaune	--⌫|--|----|---|
quecestebranqueuinteune	--|----|------|---||--|
paroledelamill orcose	-----|-|-|----⌫-|---|
con puist metreente xten	|-|----|----|-|--⌫--||
desloe ngeslameredieu	--|---⌫---|-|---|---|
quep icartromain	--|-⌫----|-----|
etos li mondes loe r doiuent	|--|-|-----|---⌫|------|
tropui lain e me ntsedecoi u ent	---|--⌫----⌫-⌫--⌫-|-|-----⌫-⌫--|
cil quinelo ent sans seiour	--|--|-|--⌫--|---|-----|
pa r nuite par	--⌫|---||--|
cardel a meredieu loe r	--|-|-⌫|---|---|---⌫|
nese puetnushom desloer	-|-|---|--|--|------|
ieuoei lmoultbien que	-|----⌫|----|---|--|
cascunsloe	------||-|
la mere di unel oe	-|---|--⌫|-|-⌫-|
keleasendouc fil	|--||--|---|--|
ne s enlot	-||-|--|
cilnententlebienqui	--||-----|-|---|--|
d oceu erge mere diusage	-⌫--|-⌫---|---|--|---|
nepuetmetre	-|---|----|
am illorus age	|-⌫----|--⌫--|
nu sh om sentansk	--⌫|-⌫-|--|---||
tristres epalesestme	-------||----|--|-|
q ueia itant demaus fais	-⌫-||-⌫|---|-|---|---|
dame o r mefaitesmesm esfais	---|-⌫|-|-----|--|-⌫-----|
auod ocen fantpardouner	|-|-⌫-|--⌫---|--------|
nosuautsecardoner	--|---|-|--|----|
quequanten	--|----|-|
ce steorde	--⌫--|---|
quitantests uree m esa lee	--|---|--|-⌫--||-⌫---⌫--|
quan tmors nos fe ralesiex clore	----⌫|---|--|--⌫-|--|--|----|
nosuoell eolui	--|-----⌫||--|
escieusenclore	-|----|------|
par d iuq u i	--|-⌫-|-⌫-⌫|
tous le s biensa maine	---|--⌫|----|-⌫----|
qu ecestebr anquedaerai ne	--⌫|----|--⌫----|------⌫-|
lesmiracle smostre enapert	--|-------⌫|-----|-|----|
mere diusenta n spert	---|--|--|--⌫-⌫|---|
ci le cel equ in a entente	--⌫||---⌫|--⌫|||------|
en liaourersansa tente	-|-|-----|---|-⌫----|
ceste cose	----|---|
e aper t e	|----⌫-⌫|
ne puet receuoirpert e	-|---|-------|----⌫|
apres lem ort	----|-|-⌫--|
qu icioneure	--⌫|-|-----|
e se r t l adam e	|--⌫-⌫|-⌫|---⌫|
simaitdius eaa	-||--|---||-|
eleafai t t a nt de biaus	--||---⌫|-⌫-⌫-|-|----|
ques e ses mir acles	--|-⌫|--|---⌫----|
nefuissent	-|-------|
totcilde lmondedanpn é	--|--|--⌫|----|-----⌫-|
ele acorde	--|-----|
efaitsobreslesleceours	|---|-----|--|-------|
anon po issanspo issanc e done	|--|--⌫-----|--⌫------⌫|---|
es es d ousfiex	|-⌫-|-⌫--|---|
porlipardon ne	--|-|------⌫-|
aspec eours lespeciesgrans	-|---⌫----|--|-----|----|
d ont cascunsestd el	-⌫--|------|--|-⌫-|
fair een g rans	----⌫|--⌫-⌫---|
diexquinos fis tdesa car	---|--|--|---⌫|-|-|--|
nosface cis iurai pa r don	--|---|-|-⌫|---|--⌫-⌫--|
proier edesa mere	------⌫|-|-|---|
quantlioscure morsamere	----|-|-----|---|----|
nos ara bouté s hors delmonde	--|--|------⌫|---|--|----|
c o luis oion sdepecie mon de	||--|-⌫----⌫|-|----|---⌫-|
di sneconm andement	--⌫--|----⌫-------|
auiorde son	-|--|-|--|
sa in t i ugem ent	--⌫--⌫|-⌫----⌫--|
ordisons tot amenamen	-|-----|--|---|---|
li o nzim edeblancandin	-|-⌫----⌫|-|---------|
li douzime de	-|------|-|
li tressimed erecetdenide	-|-------||---|-||----|
liquatorsime de leuiellete	-|---------|-|-|-------|
licu inzime	-|--⌫-----|
deyllee tdegal eron	-|---|-⌫|-|---⌫---|
lisessi meest dethe ophilus	-|-----⌫-|--|-|---⌫------|
lidisseseptimeestdeydoneetdamadas	-|-----------|--|-|----|-||-----|
l i dissewitisme	-⌫|-----------|
deleca st el ain e	-|-|--⌫--⌫--⌫---⌫|
lidi ssenoeuime	-|--⌫---------|
deaaestieuene	-|-|--------|
le uintism eest	-|-------⌫|--|
d esuersdele mort	-⌫-|---|-|-|---|
liu inte unime du ne	-|-⌫----⌫----||-⌫-|
loengenostredame	-----|-----|---|
ecistebr an que si es t	|----|--⌫--⌫--|-|--⌫|
demiraclesnostredame	-|-------|-----|---|
