#META #Text URI BenTro ieC	-----⌫|----⌫--|------⌫--|
#M ETA#DEAFhttp//ww w.deaf-page.de/bibl/bib99b.php#BenTroieC	--⌫---|---|--------⌫---------------------------------------|
#META#TLTroie	-----|-|----|
#META# FEWBenSMaure	-----|--|--------|
#META#ARLIMAhttps//www.arlima. net/ad/ benoit_ de_sainte-m aure.html#tro	-----|-----|------------------⌫-------⌫-------⌫-----------⌫------------|
#META#AuthorBenoît	-----|-----|------|
Totelaquinzaineelemeis	---|-|--------||-|---|
S isoiorneren t liGrezei s.	||----------⌫|-|------⌫-|
Grantleisirontli	----|-----|--|-|
dui am ant	--|--⌫--|
Defaireense mb l elort alant	-|----|----⌫--⌫-⌫|--|-⌫----|
Souentdemeinent	-----|--------|
I ason enam en é samie	-⌫---|-||-⌫--⌫-||---|
Quant çoaui ntq u ils e nala.	----|--|---⌫-|-⌫|-||-⌫|---|
Grantfoliefis tMe dea	----|----|---⌫|--⌫--|
Page u01P103	----⌫------|
Tropotleuassalaamé	---|-|-|-----|----|
Po rluilaissasonpar enté	--⌫|--|-----|--|---⌫----|
Sonpereesamereesagent.	--|---||-|---||-|----|
Assez len pristpuismalement	----||-|----|---|-------|
liAutors reconte	-|-----|------|
Pu is lalaissa sifist gra nt hon te.	--⌫-|-|-----|-|---|---⌫-|---⌫--|
g uar dé demor ir	-⌫---⌫--|-|---⌫-|
Iapuis nelad eu ̈st gue rpir.	-|---|-|-|-⌫--⌫--|---⌫----|
Trop lengei g na çopeise mei	---||-----⌫-⌫-|--|----|--|
Lai dementl i menti safei.	---⌫-----|-⌫|----|-|---|
Tre st uitlideu sencor roci erent	---⌫--⌫--|-|--||-|---⌫----⌫----|
Qui moutasprementl	--|---|--------||
enuengi erent.	-|-----⌫-----|
N endiraipl usnen el uueil fa ire	|-|----|--⌫-|-|-⌫-|----|--⌫--|
Quarm outaigrantueurea	---|-⌫--|-|----|----||
retr aire.	----⌫----|
Q uant enGr ecefurentuenu	-⌫---|-|--⌫--|-----|---|
AIpo rt dontilerentmeü	-|--⌫-|---|-|----|---|
Ariuerent ioiose m ent	--------|------⌫-⌫--|
Degrantpeineede	-|----|----||-|
gra nt torment	---⌫-|------|
Furentestorsç olorestuis.	-----|-----|--⌫|--|--|---|
en firentloramis	-|-----|--|---|
Fiere p arol e e n dem enerent	----|-⌫----⌫|-⌫|---⌫------|
Pageu01P104	----------|
Qua ntlamerueille	---⌫-|-|--------|
r emirere n t.	-⌫-------⌫-⌫-|
M out enreç ut Iaso ngra ntpris	-⌫--|-|----⌫-|----⌫|---⌫-|---|
E gr anthonorsi c omio t ru is.	|--⌫--|----|-|-⌫-|-|-⌫--⌫--|
Sisoncleslam outho noré	--|-----|||-⌫--|--⌫----|
nulse mblant m ost ré	--|--⌫-----|-⌫---⌫--|
Nesteit pa s chos eaperceüe	|-----|--⌫|----⌫|--------|
Quillehaïstnequ i l	-|-|-|-----|-|-|-⌫|
Quedamagesliaueni st.	--|------|-|-----⌫--|
Desa uienede sonfait	-|-|--|-|-|--|---|
Ne seraplusparmei	-|---|---|--|--|
Ioneletruis pasencest li ure	-|-|-|----|--|-|---|--⌫--|
Ne Dairesplusnen uoust	-|-----|---||-|----|
NeBeneeiz p asn el alonge	-|------|-⌫-|-⌫||-----|
niacreistra	||--------|
mençonge.	---------|
Daire snenfaitplusmencion	-----⌫||-|---|---|------|
Mais qu i orueutoï r chançon	---|--⌫|-|---|---⌫|-------|
De la plushaut eue ure queseit	-|-|---|----⌫|--⌫--|--|---|
Nequei amaisoïe sei t	-|--|-⌫|---|---|---⌫|
Pa geu0 1P10 5	--⌫----⌫----⌫|
Desplusgranzbatailles	--|---|----|--------|
Desplusfieres desplus	--|---|-----|--|---|
D ontlarich echeu alerie	-⌫--|-|----⌫|----⌫-----|
Qu eaceltensert f uperie	--⌫||--|---|--|-⌫|----|
Edestruitelagrantcité	|--------|-|----|----|
Iol endirai	-||-|----|
lauerit é	-|-----⌫-|
E retra iraitrestotelu eu re	|-----⌫---|-------||-⌫--⌫-|
Sicoml iAutorslades cueure.	-|--|-⌫|-----|-|---⌫------|
# | PREMIÈR EDE STRU CTIOND E	||--------⌫|--⌫----⌫----|-⌫|
Cilorent conte ́eretrait	--|----|-----⌫||------|
Çoqua Troie lorot	--|-||----|--|-|
Sico mlireislescongea	-|--⌫|-|---|--|-----|
Qui saterrelordeuea	--|-|----|--|----|
Nepasnesiuoust	-|--|--||----|
consen tir	------⌫--|
E assezl escuidal aidir	|----|-⌫-|----|-⌫----|
e n on ttenu g ra ntconte.	-⌫|--⌫|---|-⌫--⌫-|-----|
Pag eu01P 10 6	---⌫-----⌫--⌫|
Gran ttort	----⌫|---|
grantdespitegr anth onte	----|-----||--⌫--|-⌫---|
Lo rfistLa omedonlireis	--⌫|---|--⌫-----|-|---|
Mo utenap eséaG rezeis	--⌫-|-||-⌫---||-⌫-----|
En desdeing	-|-------|
p ristrent e	-⌫-------||
ilonques fu sios	-|-----|-|-|-|
D e s a terre	-⌫|-⌫|----|
Moutparensont trestuit	---|--|-|---|-------|
Iuréontbien tuitepramis	----|--|---|---||-----|
Quilendestruirontson païs	-|-|-|----------|--|----|
To telenco nfondrontsaterre	--⌫-||-|--⌫--------|-|----|
Seürspuetest re	-----|---|---⌫-|
det elgu err e	-|-⌫-|--⌫---⌫|
Donti lser a hon izemorz	---|-⌫|---⌫|---⌫-||---|
Mal lo ri de ueas esporz.	--|--⌫||--⌫--|-⌫-|----|
Ne senuoust pas	-||-|----|--|
taire He rculès	----|--⌫------|
So r sei enprist leg reignor fais	--⌫|--|-|----|-|-⌫------|---|
A toz sesamislemostra	|--|--|---|-|-----|
Tantd isttant fistta nt	---|-⌫--|---|---|--⌫-|
porch aça	-----⌫---|
Queceusde Grecea esm eüz	--|---|-|----||---⌫---|
uersTr oïe nstoziras cuz.	---|--⌫----⌫-|--|----⌫---|
P arsonporchazepar	-⌫-|--|------||--|
Si comreconte liEscriz	-|--|------|-|-----|
Mutle dam agee tot lafaire	--|-|---⌫--||--||-----|
Pageu01P1 07	---------⌫-|
Q ueuosorreizhuimais retraire.	-⌫-|--|-----|--|---|--------|
APart ealane taria plu s	|----⌫|--|-|----|---⌫|
Latroua Cast orePollus	-|----|----⌫-||-----|
Fre re e steienteandui rei	---⌫-|-⌫------||----|--|
Riches e rtchascunsendreitsei.	-----|-⌫-|-------|------|---|
Cist ontgrant	---|--|----|
T ant loradit que ambedui	-⌫--|--||--|--|------|
Li ontpra mis aaïdier	-|--|---⌫--||------|
Pr est sont çodiënt	--⌫--|---|--|-----|
deluengi er	--|-----⌫-|
I a pore usn ia ura	-⌫|--|-⌫-|||-⌫--|
Mouteniertprisegriefueniance.	---|-|---|----|----|--------|
Bienp uetestrelireis seürs	---|-⌫--|----|-|---|-----|
Iasi forztor sn esi forzmu rs	-|-|---|---⌫|-⌫|-|---|--⌫-|
N aura que	|---|--|
parfo rcenes	--|--⌫--|--|
Eque sahontene	|--|-|----|-|
liuengent.	-|-------|
Mout parsenfait Herculèslie z	---|--||-|---|--------|---⌫|
Em outlesenamerciiez	|-⌫--|--|-||-------|
E parfonde mentle se ncli ne	|--------⌫---|--⌫|-⌫----⌫-|
P ag eu01P108	-⌫--⌫-------|
Puis estalez aSalemine.	---|--|---||--------|
T elamontrueuelecorteis	-⌫-----|-----|-|------|
NotenGrece	|-|-|----|
me illorGrezeis	--⌫----|------|
Neplusr iche n ep lushardi	-|---|-⌫---|-⌫|-⌫--|----|
NeMie uz aidant	-|---⌫-|-----|
Tote lue u reliaretraite	---||--⌫-⌫-|-||-------|
Ela hontequelor fut faite	|-|----|--|--|--|----|
Seuosfai til	-|--|---⌫|-|
parras i enuenez	----|-⌫|-|----|
ATroi e quarnosi alons	|----⌫|---|--||----|
Proauronsg en tseuosauons.	--|-----|-⌫--⌫|-|--|-----|
Tropsereitlaittotaest ros	---|-----|---|--||---⌫--|
Quenosialissiensse nz uos	--|--||--------|--⌫-|--|
Moutiert h o niz	---|---|-⌫-⌫--|
quire mandra.	--|--⌫------|
Tantliadi ttant	---|-||--⌫|---|
Quede laler	--|-||---|
c il liafie	-⌫-|-|---|
EHerculèsmoutlenme r cie.	|--------|---||-|--⌫-⌫---|
Puisestuenuz en Fice ariere.	---|--|----|-|---|------|
A P eleüsfa itgra nt preiere	|-⌫-----|--⌫-|---⌫-|------|
Qued e l aler prengec o nrei	--|-⌫||---|-----|-⌫-⌫---|
E de m enerense mbleo sei	|-|-⌫---|----⌫---||--|
Lesmeil lo rshom es de sa	--|----⌫--⌫-|---⌫-|-|-|
qui plus seuentde guerre.	--|---|-----|-|------|
Pageu0 1P109	------⌫----|
ed aueirpleine	||----|-----|
Senz granttraua i lesenzgrant pei ne	---|----|-----⌫-⌫||---|----|---⌫-|
P orronsle païs eissillie r	-⌫-----|-|----|---------⌫|
Enostregr an thonte uen gier.	|-----|--⌫--⌫|----|---⌫----|
—P arfeiço respontPele üs	|-⌫-|--|--|------|----⌫--|
Tan ti menrai	---⌫||-----|
contes e du s	-----||--⌫|
E cheualier sprozehardiz —	|---------⌫|---||-----||
De c ̧o seiezseü rse	-|-⌫-|----|----⌫-||
terre so iorn erons	----|--⌫----⌫----|
Unan odo us	-|-||--⌫-|
se no suol ons.	-|--⌫|---⌫---|
FaitHercu lès uosdi tesbi en	---|-----⌫---|--|--⌫--|--⌫-|
Nemepoüsseizdirerien	-|-|--------|---|---|
Dont me feïsseiz sigrant	---|-|--------|-|----|
Com e d alersor	---⌫||---|--|
c eu s deTroie.	-⌫--⌫|-|-----|
A Nestor esttot	|-----|--|--|
dreital ez	----|--⌫-|
Qui richeserterenomez .	--|-----|--||-------⌫|
to tearetraire	--⌫-||-------|
Ec ̧oquei l	|-⌫-|--|-⌫|
u ol e ientfaire.	-⌫--⌫-⌫---|-----|
deri eneschi s	-|--⌫-|-----⌫|
AinzditSenzfaille uospleuis	---|--|---|-----|--|-----|
seraili premerains	----|-|---------|
A destru ire les Troïain s.	|------⌫--|--|--------⌫-|
Ia ne uerraiuo stremes sag e	-|-|-----|--⌫---|---⌫---⌫|
Sempresnem ai e z	------|-||--⌫-⌫|
Pageu 01P110	-----⌫-----|
T eusco mpaignonsm en raio m ei	-⌫--|--⌫--------|-⌫--⌫--||-⌫-|
Quitost mourontungrantdesrei.	--|---|------|-|----|------|
Ionoï on qu es maisnouele	-||--|--⌫--⌫-|---|-----|
Queplus mefustbonene	--|---|-|---|---|-|
O ra qu antqueuueut Herculès	-⌫||--⌫--|--|----|--------|
Nule c hose n elif autma is.	---|-⌫---|-⌫|-|-⌫--|--⌫--|
fo ntf airequi nze nes	--⌫-|-⌫---|---⌫--|--|
Dan cresdeu eilesedet r e s	|--⌫---|-|-⌫----||-|-⌫-⌫-⌫|
Lesapa rei llenteguarn is sent	--|---⌫---⌫----||-----⌫--⌫---|
Ede uitaillelesemplissent.	|-|-------|--|----------|
Quant uint el tensquiuerz	----|---|-|---|-|----|
Qu el e rb euert pert	--⌫||-⌫--⌫|---|---|
Lanque florissentliramel	--|--|---------|-|----|
Que d oucementchantent oisel	--|-⌫-------|-------|----|
Merlemauu izeoriol	----|----⌫-||----|
Eestornelerossigno l	|-------||--------⌫|
La blan cheflor	-|----⌫--|---|
pert enl espine	---|-||-----|
Ereuerdeielagaudine	|--------|-|------|
Quantli tenses tdouz esoés	----|-|---|--⌫|---||----|
Lorspartirentdesporzles	---|--------|--|---|--|
Herculès aueitsom ons	--------|----|---⌫--|
Les duslespr inc es lesbarons	--|--|--|--⌫---⌫-|--|-----|
Pageu01P111	----------|
Ott ozmand ezeatenduz	-|-⌫-|----⌫-||------|
Ainz que des porzsef ustmeüz.	---|--|--|---|-|-⌫--|-----|
Puis s empeignent eshauteson des	---||---------|-|-----|--⌫--|
Par la ouels sont plus parfond es	--|-|-|--|---|---|-------⌫-|
Traientesig lent aesforz.	------||---⌫---||------|
furentpartidesporz	-----|----|--|---|
pristrent ces	--------|--|
Nul ioraiseir nea lma t in	--|--|-|---|-|-⌫|--⌫-⌫-|
Desciquiluirentl acontree	----|-|-|-----|-⌫|------|
Quilaueient	-|-|------|
tantd esiree	---|-⌫-----|
M outparorent	-⌫--|--|----|
t restuitgrantio ie	-⌫------|----|--⌫-|
Quantle païsuirentd eTr oie.	----|-|----|-----|-⌫|--⌫---|
Leiorlaissierent trespass er	-|--|----------|--------⌫-|
ço uint a laue sprer	--|---|||---⌫----|
A lportde Sigeontornerent	-⌫|---|-|-----|--------|
Totes lorn es	----|--|-⌫-|
i ariuerent.	|---------|
Q uantilles orent	-⌫---|-|--|----|
Si l esont	-|-⌫-|--|
bien ac hastelees	---|--⌫--------|
Pa rle sb ret eschesmetent	--⌫|--⌫|-⌫---⌫-----|-----|
Hach esdarz iauelozgisarmes	----⌫-|---|------|-------|
Page u01P112	----⌫------|
Q ue seçoest eitauenture	-⌫-|-|--|---⌫--|-------|
Qued e u sfustfaitdesconfiture	--||-⌫-⌫|---|---|-----------|
A s nes r efustlorfo rter ece	-⌫|--|-⌫----|--|--⌫----⌫--|
lo r to rnot a	--⌫|--⌫---||
grantdestrece.	----|--------|
Quantlanuitfut resb ien meiee	----|-|---|-|-⌫--|-⌫--|----|
El al unese	|-⌫|-⌫--|-|
fucouc h iee	-|----⌫-⌫--|
Sorleriuageel belsablon	--|-|-----|-|--|-----|
Sene issi rentfors	|-|-⌫----⌫---|---|
Unpa rlement ontd eus iosté	-|--⌫------|--||--|-----|
Peleüsapremi erspa rlé	------||-----⌫--|--⌫---|
Oëzfaitil seign or ami	---|---|-|-----⌫-|--|
Ric h e sag epro ehardi .	---⌫-⌫|---⌫|--||-----⌫|
Entot lesiecle ne	-|--|-|-----|-|
Sicora ios nesiuassaus	-|----⌫--|-|-|------|
Neq uia ientl e	-|-⌫-|-⌫---|-⌫|
tierzconquis	----|------|
Riches terr e sne b onspaïs.	-----|----⌫-⌫|-|-⌫--|-----|
Ma i nteb at ailleauezu encue	--⌫-⌫--|-⌫--⌫----|---|-⌫----|
Emainteterreescombatue	|-----|----|---------|
Pageu01P1 13	---------⌫-|
Partot uoses t	--|--|--|--⌫|
Qua ronques	---⌫|-----|
n efustesuenc u	-⌫|-----|----⌫|
Nenesereiziapornul plait.	-|-|-----|-|--|--|-----|
Tant a uonsesp l eit i éefa it	---|-⌫---|---⌫-⌫---⌫-⌫-||--⌫-|
Quen cestpai ̈s so me entré	-|-|---|---⌫-|--⌫-|-----|
N elseuentanc o rehome né.	-⌫-|-----|---⌫-⌫-|---|---|
A çono s couient oreentendre	|--|--⌫|------|--|-------|
Eentrenostelconseilprend re	|----|--|--|------|-----⌫-|
Que no sensilep oissiensfaire .	--|--⌫|---|-|-⌫-------|-----⌫|
Ed e cestechose achi ef	|-⌫|----|----||---⌫-|
Quenost re en se it or	--|----⌫-|-|--⌫-|-|
lauictoire	-|-------|
Lonore leprise	|---||-|---||
la glo ire.	-|---⌫---|
Treis chosesuosiuueilmostrer	----|-----|--||----|------|
Quebienifonta	--|---||---||
es guarder	--⌫------|
chascunsdeit bien	-------|---|---|
Quefaireendeittotson poe ̈ir.	--|----|-|---|--|--|---⌫---|
estdeprendreuengeme nt	--|-|------|-------⌫-|
De ll ait qu ilfi r entnostre	--⌫|-⌫--|-|-|--⌫-⌫--|-----|
Quantdecestpaï s les	----|-|---|----⌫|--|
chacierent	---------|
E laidement lesmanacierent.	|--------|--|-----------|
Page u01P114	----⌫------|
Lautreestdesterr es chalong ier	|----|--|--|----⌫-|-------⌫--|
Qu‘iln enospuissent d amagier	----|-⌫|--|-------|-⌫------|
eneusq ue c orrocier	-|--|-⌫-|-⌫-------|
Quan tuerron t	----⌫|------⌫|
lo rterre eiss illier	--⌫|----|----⌫-----|
M outse pen erontdeldefendre	-⌫--|-|---⌫----|--|-------|
Ede n oscors ocire e prendre	|-|-⌫-|---|----||------|
Mais dec ̧onem esmai	---|-|-⌫-|-||----|
Quaruo s lefereiz	---|--⌫|-|-----|
parto t bien.	--|--⌫|----|
La tierce chose queuos dis	-|-----|----|--|--|--|
Se nos uencons	-|--|------|
nozenemi s	--|-----⌫|
ATroies ontligranttres or	|----|-⌫--|-|----|----⌫-|
Depailesed arge n tedo r	-|-----|||----⌫-⌫|||-⌫|
Edetoteautr e manantie	|-|---|----⌫|-------|
Nenosnauon s paslanauie	-|--||----⌫|--|-|----|
Oula m eitie ́enp o rtissons	-|-|-⌫-----⌫|-|-⌫-⌫-------|
Quantnosnosenre tornerons	----|--|--|-|--⌫--------|
Toziorzen seronsm aism an ant	--|---|-|-----|-⌫--|-⌫--⌫--|
Ennoz terrese no streenfant	-|--|-----||--⌫---|-----|
Greceenua udra m ais	----|-|--⌫---|-⌫--|
Quantse rons mortmil	----|--⌫---|---|--|
anzap rès.	--|--⌫----|
Pageu01P11 5	----------⌫|
O r niapluslanuit	-⌫||||---|-|---|
Ne couientpas	-|------|--|
faireloncplait.	----|---|-----|
Tense st maishu i d enos	---|-⌫-|---|--⌫|-⌫|--|
Ius quapoiuerr onsaiorner.	---⌫-||--|----⌫--|-------|
Partonsnozge nz e	------|--|--⌫-||
esch ielesdeuisons	----⌫----|-------|
P artelsene partelmaniere	-⌫-|--|--||--|--|------|
nosseitchose	--|---|----|
Quequantc ̧o uendraala feire	--|----|-⌫-|-----||-|----|
Quilneni aitrienarefa i re	-|-|--||--|---||----⌫-⌫-|
Que nese iens	--|-|--⌫---|
gentesbaï e .	---|------⌫-⌫|
E qu ilemieuzsaur asil di e.	|--⌫|-|----|----⌫|--|--⌫-|
He rculèsrespondi pr em ier	--⌫------|-------|--⌫--⌫--|
Leialconsei ledr eit urier	----|------⌫||--⌫---⌫----|
Donez s i re senznuledote.	----|-⌫-⌫-|---|---|----|
Faiso ns arm er	-----⌫-|---⌫-|
nostrege nttote	-----|--⌫-|---|
en auge unep art ie	-|---|--|-⌫---⌫-|
Lautr eremaignea la	|----⌫|-------||-|
Ioe Telamonu eirement	-||------|-⌫-------|
Pageu01P 116	--------⌫--|
Ironsde uantonostregent	----|--⌫---||-----|---|
uosuen dreize lco nreiaprès	--|---⌫----|-⌫|--⌫---|-----|
le greignorfai s	-|-------|---⌫|
Chas cunsaur as acompaignie.	----⌫---|---⌫|-⌫|----------|
Ain z quelaubeseitesclarcie	---⌫|--||---|---|--------|
Nos e mbusch eronspr èsde l	--|-⌫------⌫----|--⌫--|--⌫|
c ouenablees eür.	-⌫-------||-⌫----|
L iautre qui ciremandront	-⌫|----|--|-|---------|
con re iz separtiront	---⌫--⌫-|-|--------|
En luns eralireisNestor	-||-|-⌫--|-|---|-----|
E en lautr esera Cas tor	|-||----⌫|---|---⌫--|
P ollusaura le ti erz	-⌫----|---|-|--⌫--|
Deu ant lesnes els ablo nei	---⌫--|--|--|-|-⌫----⌫--|
Tendreizoeu storneiem ent.	-------||--⌫|--------⌫---|
Çosai io biencertainement	--|--|-|---|-----------|
Dè sque l i	---⌫|--|-⌫|
Oquant qu e il aue irporra	|----|--⌫|-|---⌫-|----|
S en istrasempres	|-|----|------|
Eneslepasles	-|-|-|--|--|
aur eiz ci.	---⌫--|--|
Tantuoudrontestre alameslee	---|-------|----||-|-----|
Ia laci tén ie rtregua rdee	-|-|--⌫--||--⌫-|-----⌫---|
Equiainz a inzçaenuendront	|--|---|-⌫--|--|-|-------|
Page u0 1P117	----⌫--⌫----|
Dèsqu elano ueleen	---|--⌫|-|--⌫---|-|
Mo ut serat art a sTr oïans	--⌫-|---|-⌫--|-⌫|--⌫-----|
Quiln os truissent c ̧a forseschans.	-|-|-⌫-|--------|-⌫-|---|-|-----|
Ia ni aurar esn e tenue	-|||---|-⌫---⌫|----|
De s ciquetargeiait fendue.	--⌫-⌫-|--|----||--|------|
uosnaiezcurededesrei	--||---|---|-|-----|
Icimantene z l etornei.	--|-------⌫|-⌫|------|
No stre gentserae mb uschiee	--⌫---|---|---|-⌫--⌫------|
Quantlauile	----|-|---|
serauoidiee	---|------|
De n ostreembuschementsaudrons	-|-⌫----|-----------|-------|
Totadeliureientrerons	--||------||--------|
Ia n i troueronsgra ntcontent	-|||--------|---⌫-|------|
s e ratotelorgent.	-⌫-⌫-|---|--|----|
Quan tlesportesauro ns saisie s	----⌫|--|-----|----⌫-|------⌫|
cheual i ersguarn ies	------⌫-⌫--|-----⌫--|
A prèslor dos nosapoindrons	-⌫----|--|--|--|---------|
Enit elsenle sforscloro ns	-|--⌫-|--|--⌫|---------⌫-|
Sorprisser ont degran tmaniere	------|---⌫--|-|----⌫|------|
Quantescriéserontder i ere	----|------|-----|---⌫-⌫--|
Es t ra ngement seront e nclos	--⌫-⌫--⌫------|-----|-⌫----|
Pageu 01P118	-----⌫-----|
Quan tnoslesassaudronsas dos	----⌫|--|--|---------|-|--|
Se ariereu uelenttorne r	-|-----|-⌫-----|-----⌫|
Parn osles	--|-⌫-|--|
co uen drapas ser .	--⌫---⌫--|---⌫---⌫|
Oncneuirent	--|-|-----|
si fortpassage	-|---|------|
Nequi lor tort ateldomage	-|--|--|---||--|-----|
Leiaumentuos iu ret pleuis	--------|--|--⌫|-|-----|
Que n si ser onttuit m orte	-|-⌫-⌫-|---⌫--|---|-⌫--||
Q ui mieuz saurasimiam en t	-⌫-|----|----|-|||--⌫--⌫|
Mai ssolonclem ienes cië nt	---⌫|-----|-|-⌫--|--⌫----⌫-|
Iocuit aueirauquesbie ndit.	-|---|----|-----|---⌫|---|
Nio tunsol	||-⌫|-|--|
gr antn epetit	--⌫--|-⌫|----|
Quilicon seil abuennetie nge	--|-|---⌫---||---|-|---⌫--|
Coment qu eillo ren	-----|--⌫|-|--⌫|-|
Asa rmesc or enta eslai s	-|-⌫---|-⌫--⌫--||-----⌫|
Quar leior	---|-|--|
criementquiestprès.	-------|--|--|-----|
Sor leriua geelsablonei	--|-|----⌫-|-|-------|
Achascunsd eus	|-------||--|
Pageu01 P11 9	-------⌫---⌫|
h aubers deaumesaguz	-⌫-----||-----|---|
E dema int esco lor sescuz	|-|--⌫---⌫-|--⌫---⌫|----|
Sapareilli eren t g entement	|---------⌫----⌫|-⌫-------|
Aprè sdeseurerentlor gent.	-----⌫|----------|--|----|
Her cul èscheuauc ha p remiers	---⌫---⌫--|-------⌫-|-⌫------|
Bien od oumile	---||-⌫-|---|
cheualiers.	----------|
Dus Tela monauuec sagent	--|----⌫--|----|-|---|
Cheua uch eap rèsserreement	-----⌫---⌫|--⌫---|---------|
Trei mileen	---|---|-|
iamei neo sei	|----⌫-||--|
QuisozIesheaumesfurent	--|--|--|------|-----|
AprèscheuauchePel eüs	-----|--------|---⌫---|
Quidesch eualierso tleplus	--|--|--⌫-------|-⌫|-|---|
Quatr emiletuit alos é	-----⌫|---|---|----⌫-|
lu iuer s lacite ́.	--⌫|---⌫|-|----⌫-|
Mout sont rich eslestreiscompaignes	---|---|----⌫-|--|----|---------|
Coue rt u r eset entreseignes	----⌫--⌫-⌫-⌫-|-|-----------|
A ueie ntd e maint es co lo rs.	-⌫----⌫-|-⌫|-----⌫-|--⌫--⌫--|
Anceisquepareüstli iors	-----|--|-------|-|---|
Pageu01P120	----------|
S erepostrent par lesuergiers	-⌫|---------|--|--|-------|
Quiltrouer entgranz eple niers.	-|-|------⌫--|----||---⌫-----|
Con tre le tens	---⌫--|-|---|
dest énou el	|---⌫-|---⌫-|
Esteientflori	-------|----|
E liar br e	|-|--⌫--⌫|
uerte foillu	---||-----|
Lesont guardéedefendu	--|--|------||------|
Que nusne lesi aparçut.	--|--|-|--||--------|
Liclersrnati ns quiuenir dut	-|----|-----⌫-|--|----|--|
Netariag uaireslau becrieue	-|----|-⌫-----||--⌫-|-----|
Elisoleuzs espant	|-|-----||-----|
Lipai ̈sant	-|---⌫----|
delacontr e e	-|-|-----⌫-⌫|
uirentlagrantgenta ünee	-----|-|----|---|-⌫----|
uirent lesneselesarm e z	-----|--|--||--|---⌫-⌫|
Çolesa fortmentesfreez.	--|--||-------|-------|
Lic rizlieu ep arle païs	-|-⌫--|----⌫|-⌫-|-|----|
Dèsquil uirent	---|-|-|-----|
lorenem is	--|----⌫-|
Gr antfutlanoiseegran zlisons	--⌫--|--|-|----||----⌫|-|---|
Fui entasboi seas	---⌫--|-|---⌫||-|
uait licriz	---|-|---|
Lip lus se ür sfu esfreï z .	-|-⌫--|--⌫---⌫|-|-------⌫-⌫|
L aomedo n o t	-⌫------⌫|-⌫|
mo u t grantire	--⌫-⌫|----|--|
Pageu01P1 21	---------⌫-|
Qu antil oïnonciere dire	--⌫--|-|--|------||---|
Que liGreuere ntretor né	--|-|---|---⌫-|-----⌫--|
destruire e	--------||
sonre gné.	--|--⌫----|
Isnelement armasonc ors	---------|---|--|-⌫--|
Delauilese neissif ors	-|-|---||-⌫|----|-⌫--|
Oitantdegentco m eil ot	|----|-|---|--⌫-⌫|-|-|
Ecomei lonquesau eirpot.	|---|-⌫|-----|--⌫--|---|
uerseus cheuauche a	---|--|--------||
grant es pleit	----|--⌫----|
Ed èsqueilles aparceit	|-⌫--|--|-|--|-------|
Ferirl esuait dema intenan t	----|-⌫-|---|----⌫-------⌫|
La o tmaint	-|-⌫|----|
cheu ali er sanglant	----⌫---⌫-|-------|
E maint n aurée	|----|-⌫----||
m aintmau mis	-⌫---|---⌫--|
Em aintabatu eocis	|-⌫---|----||---|
Edès quiluindrent asespees	|---|-|-|-------|-|-----|
Moutsentr e don e ntgranz	---||----⌫-⌫---⌫-⌫-|----|
Laotm aintheaume	-|-|-⌫---|-----|
esq uartelé	---⌫-------|
cheualierde c oupé	--------|--⌫-⌫----|
Par grantir e serequereient.	--|----|--⌫|-|-----------|
Pageu01 P122	-------⌫---|
Espessementsentroc iëient.	----------||------⌫-------|
Nestorauuec	-----|----|
lasoëgent	-|---|---|
Lesencontrapremiereme n t.	--|-------|----------⌫-⌫-|
en otal comen ci er	-|-|-|-----⌫--⌫-|
assuensgrant me stier.	-|----|----|--⌫-----|
Grantpiecetindrentl etornei	----|----|-------|-⌫|-----|
A inzqueueniss entliconrei	-⌫--|--|------⌫--|-|-----|
OuCas torePollus e stei ent	-|---⌫--||-----|-⌫----⌫--|
Mais puis q ue il le	---|---|-⌫-|-|-|
bosoi ngueient	-----⌫-|-----|
Sisecorentlor c ompaig n ons.	-|-------|--|-⌫------⌫-⌫---|
Lorsmu t Castoro totle s sons	---|--⌫|-----||--|--⌫|---|
Lances baissie es escuz	-----|-------⌫-|----|
uon t enc ontrelore nemis.	---⌫|---⌫----|--|-⌫-----|
Laot gra ntpre ss e egrant huë e	-|-|---⌫-|---⌫--⌫||----|----⌫|
Emainte fort	|-----|---|
targe e sf ondree.	----|-⌫--⌫------|
Mout se tind re ntliTroïien	---|-|----⌫--⌫-|-|-------|
Estr an gementle firentbi en	----⌫--⌫-----|-|-----|--⌫-|
Onc de laplace nese	--|-|-|----|-|-|
Tozt ense spessi ere nte erurent.	--|-⌫--|-⌫------⌫---⌫-||-------|
Lorgentu ene it a	--|---|-⌫---⌫-||
g ra nzcompaignes	-⌫--⌫-|---------|
P ag eu01P123	-⌫--⌫-------|
Parualees eparmon t aignes	--|-----||--|---⌫-⌫-----|
Uneenuaïe lorontfa ite	--|------|--|--|--⌫--|
O u mainteespee ot nue tr aite.	-⌫|-----|----|-|--|--⌫----|
Laot maintesel e uoidiee	-|-|-----|---⌫|------|
Cha ci ezl esontplusdune ar ch i ee.	---⌫--⌫-|-⌫-|--|---||--|--⌫--⌫-⌫--|
Se ne fustli	-|-|---|-|
conreizPollus	------|-----|
Quiau eni rnetari aplus	--||-⌫---⌫|-|----⌫|---|
Sempresip erdis s en t	------||-⌫-----⌫-⌫--⌫|
Gre z ei s	---⌫-⌫--⌫|
Maislia utr e	---|-|-⌫---⌫|
