o ezseignurs pur deuuuspri	-⌫-|-------|--|--|--|--|
d elduz liuq u i l	-⌫-|--|--|-⌫|-⌫|
ad tro ué	-|---⌫--|
en admult deu loé	-|-|---|--|---|
les dames adfaitauner	--|----|-|---|----|
alchapitre e asembler	-|-------||-------|
kari lueclu ru o lt mustrer	--|-⌫---|--⌫|-⌫-⌫-|------|
l aach ais un de	-⌫|---⌫---⌫-|-|
ancelesd eueamies	------|-⌫-||----|
beis ezuers meiuosoies	----⌫-|---|--|--|---|
kipurd eu auez gu erpi es	-|--|-⌫-|---|--⌫----⌫-|
decestmun dlesma nantie s	-|---|---⌫|--|--⌫------⌫|
preiumd eua	-----|-⌫-||
quic elss alua	--|-⌫--|-⌫---|
parsa mor t	--|-|---⌫|
qu idiable cunquista	--⌫|-----|-------||
qu en u sdointde	--⌫|-⌫-⌫|----|-|
c eilcunfort	-⌫--|------|
requerez deu ki	-------|--|-|
a sunpl eisir	|--|--⌫----|
parlagracedelseintesp ir	--|-|----|--|----|---⌫-|
ic elede nusnus doi nst	--⌫--|-|--|--|---⌫--|
ke sachee puissecestliu	-|----||-----|---|--|
karmeiesto tale raillurs	--|--|----⌫|---⌫|------|
neuu sdei tpeser	-|--⌫|---⌫|----|
n endeu eza uertri sturs	|-|---⌫-|-⌫--|---⌫----|
e n uoisp uruoshonu rs	-⌫|---|-⌫-|--|----⌫-|
meie stotpurueir	--|-⌫---|--|---|
nepu rraiepu rre nlaisser	-|--⌫----|--⌫|--⌫|------|
purceouuscoueintpurueer	--|--|--|------|------|
que dignef ust	--|----|-⌫--|
acel me s ter	|--|--⌫-⌫--|
qua n tsareisun	---⌫-⌫|-|-----|
n i adc ele	||-|-⌫--|
q u esenrie	-⌫-⌫||-|--|
ententeleschas ti e	-----||--|----⌫--⌫|
fai telefil lesn euusmie	---⌫|--|---⌫--|-⌫|--|--|
d escuns ill e ́s neuuslarrai	-⌫------⌫---⌫-⌫-|-|--|-----|
uoi sio reuen drai	---⌫|-|-----⌫---|
a tel euuscumanderai	|---⌫|--|---------|
uieotresb ien m	|--|---|-⌫--||
metpremerement	--|----------|
enoreisuno dlecuuent	-|------|-⌫|-|-----|
tant prient deude uot ement	---|-----|--|--⌫---⌫----|
damebien ent ent	---|---|---⌫--|
p arlesp eritd e prophecie	-⌫-||---⌫---|-⌫|--------|
dunt ertesprise	---|--|------|
ques a pr eereesteitoie	--|-⌫|--⌫---|-----|--|
ata nt s eliuee deumercie	---⌫-|-⌫|---||--|-----|
deloreisunquant lot	-||------|----||-|
unedeso rs adap elé	--|-|--⌫-|-|--⌫---|
queorbil laesteitnumee	--|-----⌫-|-----|----|
iceste fud	-----|--|
debonezgenz degrant	-|----|---|-|----|
tutes celesdesune age	----|----|-|--|-⌫--|
passot de se n car multest	-----|-|--⌫|--|---|--|
labesse lidist a tant	|-----|-|---|-⌫---|
fillefai teleuene za u ant	----|---⌫|--|----⌫|-⌫-⌫--|
depa rtde u l etuitpo ant	-|--⌫-|--⌫|-⌫|------⌫--|
ic es tmest er uuscumant	--⌫--⌫|----⌫-|--|-----|
quant laparolead entend u e	----|-|-----|-|------⌫-⌫|
luie s tmul t tostcheue	--|-⌫-⌫|---⌫|---|----|
lachar l it remble lecors tres ue	-|---|-⌫|-⌫-----|-|---|----⌫-|
dedreitanguisse laculurmue	-|----|-------|-|----|--|
damefaitelemerc iaiez	---|---|--|----⌫|---|
p ur de uamur esezbu ntez	-⌫-|--⌫|---||--|--⌫---|
decestmesternem e chargez	-|---|-----|-|-⌫|------|
nesuidignebienle	-|--|----|---|-|
parmabealt e emu neage	--|-|-----⌫||--⌫|---|
aueintpue tgra nt	-----|---⌫|---⌫-|
p a rlaforein egentsaluage	-⌫-⌫|-|------⌫|---|------|
tostpureit change rmun c urage	---|-----|------⌫|--|-⌫----|
par la be alted emaculur	--|-|--⌫---|-⌫|-|----|
ch airpurraieen granterrur	--⌫--|------|-|----|----|
pur ceouuspr i	--|--|--|--⌫|
pur deuamur	--|--|---|
ke nemechargezde cesthonur	-|-|-|------|-|---|----|
be lefi llene du tez	--⌫-|--⌫--|-|--⌫--|
ia purces tfaitma lnaueras	-|--|---⌫|---|--⌫||-----|
lauertudeu	-|----|--|
enteiuerras	-|--|-----|
parlaculurkechanger as	--|-|----|-|-------⌫-|
ueezcument lifa itchanger	---|-----|-|--⌫-|------|
celu is cl er	--|-⌫-|--⌫-|
cum el auumoi	---⌫||---|-|
eleliuaital	--|-|---|-|
uis suffler	--|------|
puislacein tde	---|-|----⌫|-|
sace i nture	-|--⌫-⌫----|
oez sei gnur s quel	--|---⌫----⌫|---|
encuntre raisu nde s an at ure	-------|-----⌫|-|-⌫|-⌫--⌫--|
uislichang ee c he uelure	--|-|-----⌫||-⌫--⌫-----|
liuislichetla	-|--|-|---|-|
labeal te liest	-|----⌫-|-|--|
lafaceclereliestfruncu e	-|---|----|-|--|------⌫|
la testebloieestchanue	-|----|----|--|-----|
orbi lla ma	----⌫--|-|
d eso rem esne	-⌫---⌫---⌫-|-|
dute z mie	----⌫|--|
que purb e lt e seez rauie	--|--|-⌫-⌫--⌫|---|----|
or uuscu ma n d	-|--|--⌫--⌫-⌫|
ce stabeie	--⌫-|----|
or billafusainznumee	--⌫----|--|---|----|
qu anten b apteisme	--⌫--|-|-⌫-------|
d es oreserrasappelee	-⌫-|--|-----|------|
ser uill a la benuree	---⌫----⌫|-|------|
si pur queiuol ezoir	-|--|---|---⌫-|--|
be n uusdi rrai tuitsanz mentir	--⌫|--|--⌫---|---|---|-----|
teiestutse ruir	--|----|--⌫---|
a trestu tespur deu pla isir	|------⌫--|--|--|---⌫---|
elesdamesk e	|--|----|-⌫|
enbie nenpais lesga rder ez	-|---⌫|-|---|--|--⌫----⌫-|
surtuterienles se ruirez	--|---|---|--|--⌫-----|
sanzorguilqueia ez	---|-----|--||-⌫-|
nedeuezquere seignurie	-|----|----|--------|
entu nmesterneenbaillie	-|--⌫|-----|-|-|------|
karen umblesce queplus seplie	--|-|-------|--|---|-|---|
plus serr alade u	---|----⌫|-|--⌫|
d ient lieuuangire	-⌫---|-|--------|
queneuusoez c hanter elire	--|-|--|--|-⌫-----||---|
ain z l auezoide scrir e	---⌫||---|-|--⌫-----⌫|
purceones totde	--|--||--⌫--|-|
quantlabesseotf inee	----||-----|-|-⌫---|
sa paroles	-|------|
ete rmin ez	|--⌫----⌫-|
lesd ames tutessunt leu ee	--|-⌫---|----|---|---⌫-|
ke laenzerentaunez	-|----|----|----|
loentde ucomunement	----|--⌫|---------|
en a lte uoizdeuot e ment	-|-⌫--|---|-----⌫-⌫---|
eorb illa numeement	|---⌫---|--------|
queissi changésesent	--|---|------|-|---|
mesescuser	--|------|
seruillade c e stmester	-------|-|-⌫-⌫-|-----|
le liu en pre ntelemus te r	-|--|--⌫---⌫-||-|---⌫--⌫|
odlesdam esagu uerner	-|--|---⌫-||--⌫-----|
quant cestoureesta c umpli	----|---|---|--|-⌫-⌫----|
sicum i ouuscunt	-|--|-⌫|--|---|
quedeuliout chou si	--|--|-|--|----⌫-|
modewen nes	-------⌫-||
tutesles d ames ads eignee s	----|--|-⌫---|-|-⌫------⌫|
meinsdeus cumandees	----|---|--------|
qu aran te sunto d	--⌫----⌫-|---|-⌫|
de plussages de	-|---|----|-|
pl ussenees	--⌫-|-----|
decestmiraclene u oilpl usdire	-|---|------|-|-⌫--|--⌫-|---|
nemiepurc eo que lamati re	-|--|--|-⌫-|--|-|----⌫-|
sed ef aille ainz uo ild e s crire	-|-⌫--⌫----|---|--⌫-|-⌫-⌫-⌫----|
unautregrantu mis queortire	-|----|----||--|----|---|
mu ntf ocar dq uantfudpartie	--⌫-|-⌫----⌫|-⌫---|--|-----|
mod ew enne la deuamie	---⌫--⌫---|-|--|---|
e n lag aldinede garnie	-⌫|-|-⌫-----|--⌫-----|
faitunabeie	---|-|----|
cellesdiuelafaitnum er	---------|-|---|---⌫-|
cumoilauu mcunter	--|-||---⌫|-----|
que fai t fun der	--|---⌫|---⌫--|
suz lepie dun	--|-|--||-|
lasestladam e abrié	-||--|-|---⌫|-----|
odsesc umpaignes e h erber ge ́	-|--|-⌫--------||-⌫-----⌫--⌫|
q uei ad menee	-⌫-||-|----|
ne uus poe testreacuntee	-|--|---⌫|----|------|
kar l a pl ace trouenuwe	--|-⌫|--⌫--|----|---|
truue riend un t s eitp ue	----|---|-⌫--⌫|-⌫--|-⌫-|
fors l aracinee herbe	---|-⌫|-----||----|
dunt sa charadsustenue	---|-|---|-|-------|
pur le pim entelecl are	--|-|---⌫--||-|--⌫--|
eautrebe iur e especé	|----|--⌫---⌫|------|
du ntotiad is	--⌫-|-|---⌫-|
agrantpl einte	|----|--⌫----|
lafun tainea cuil ta	-|---⌫----|-⌫----⌫||
tantparmeineestreite uie	---|--|----|-------|--|
o roezparque lue s d ie	-⌫|--|--|---⌫|--⌫-⌫-⌫-|
ue ng er se	--⌫--⌫-|-|
uoltsil ad	---||-|-|
q uan tparnesepotu enger	-⌫---⌫|--|-|-|--|-⌫----|
sagrantdolur	-|----|----|
l iadue rser	-⌫|----⌫---|
e sprisadun felporcher	-⌫----|-|-|--|------|
al reimac hopur ligreuer	-|--|---⌫-|--|-|-----|
entantadsonqueorespris	-|---|-|--|----|-----|
lidiableduntes tsus pris	-|-----|---|--⌫|---⌫---|
que nquanqu e ilseta dpoermis	-|-⌫|------⌫|-|--|-⌫|---|--|
de oste r ladecelpais	-|----⌫|-|-|--|---|
lifelculuert nepoet suffrir	-|--|------|-|---|------|
kenulededamespuisse	-|---|-|----|-----|
enlaforestpur	-|-|-----|--|
ri en cu illir	--⌫-|--⌫----|
dun telese puissesuste nir	---⌫|--|-|-----|-----⌫--|
la forestlur	-|-----|--|
nul enipo et	---⌫|||--⌫-|
auerentree	---|-----|
sinulei estmestruuee	-|---||--|--|-----|
iert gabbee	---|-----|
quant la noueleadoie	----|-|-----|-|--|
modewennedeudeprie	--------|--|-----|
quilabat elafelunie	-|-|----⌫|-|------|
de celculu ertqui scu ntralie	-|--|----⌫--|--||--⌫------|
deprie deupur sesbuntez	-----|--|--|--|-----|
kilifelundesm esurez	-|-|----|----⌫-----|
par du nt ait d ecespecheez	---⌫--⌫-|--|-⌫|--|------|
kealafin ne	-||-|--|-|
seitdamp nez	---|----⌫--|
qu antfaiteadsaoreisun	--⌫--|----|-|-|------|
nedemur esipetitnun	-|-----⌫|-|----|--|
qu elipor c her	--⌫|-|---⌫-⌫--|
du n tnusparlum	--⌫-⌫|--|-----|
laissetutesamepr isun	-----|---|-|----⌫---|
desunmesfaitmult	-|--|------|---|
ser ep ent	-|-⌫--⌫--|
karbien ueite ent e nt	--|---|---||---⌫-⌫-|
kedeuprendera gref	-|--|-------|---|
u engement	-⌫-------|
sipitedeli n enprent	-|---|-|-||-|----|
to sts e nuait	--⌫-||-⌫|---|
a l abbesse me rcicrie	||------|--⌫--|---|
ne seit perie	-|---|----|
pursunpe ch eesa folie	--|--|--⌫--⌫||-|----|
ladame le prent acunsiller	-|---|-|----||--------|
distm unbelfiz cher	---|-⌫-|--|--|---|
purd amp nede u uusuoil prier	--|-⌫---⌫----⌫|--|---|----|
gardezuus biende meserrer	-----|--|---|-|-------|
siderenm es prisauez	-|-|--|-⌫--⌫---|---|
deladresser	-||-------|
neu ustarge z	-|-⌫-|-----⌫|
k arala morttuit	-⌫-||-|---|---|
e bien emalque	|---||--|--|
fait a uez	---|-⌫--|
cesteuien adduree	----|--||-|----|
plusquestupes enbrasee	---|--|-----|-------|
dunt la flambee	---|-|------|
enuneeureesttrespaseie	-|--|---|--|---------|
s iua itlaroe	-⌫|--⌫-|-|--|
d ece ste ui e	-⌫|--⌫--|--⌫|
nelarraique neluu sdie	-|-----|--|-||--⌫|--|
qua ntesthaltaualseplie	---⌫-|--|---|---|-|---|
par la mort que nu l	--|-|---|--|--⌫|
re ine cun tene	--⌫|-|---⌫-|-|
nepoeta uerd emort pardu n	-|---|-⌫--|-⌫|---|-----⌫|
murrirl estot uo ilil unun	-----||----|--⌫-|-||--|
cheualer clercegarcun	-------|----||-----|
alis a ndrel ecunquerant	----⌫-⌫---|-⌫|---------|
neli autre reipoant	-|-|----|--|----|
purr e nquilusenten luruiua n t	--|-⌫-⌫|-|-|----|-|--|----⌫-⌫|
d e mortnelur poet auer	-⌫|---|-|--|---|---|
sanz repeir	---|-----|
sensun t alee	|-|---⌫|---|
dequa nqueilorent	-|---⌫---|-|----|
co nquesté	--⌫-------|
oueocelsnuntrenporté	----|--||--|--|-----|
or elurestlur bienme ri	--⌫|--|--|--|---|--⌫-|
pe che tuit autreci	--⌫--|---|------|
purceobeufizp urdeuuuspri	--|--|--|--|-⌫-|--|--|--|
amendum no s mals	------|--⌫|---|
simort nus poets u sprendreenmal	-|---|--|---|-⌫-⌫-------|-|--|
tu rnezsumuspurueiraual	--⌫---|----|--|---|---|
ulitrait recrimi nal	|-|-----⌫-|-----⌫--|
sires esteseneschal	----|--||--------|
ceo est en fer nu lipecheur	--|--|--⌫---⌫||-|------|
trauail sustenentedolur	------|--------||----|
esanz repo s suntenardu r	|---|----⌫|---|-|----⌫|
enoscurt ee	-|------⌫||
q uant cest sarmumest terminez	-⌫---|---|-----|--|-------|
cistpor cheres tr epairez	---|---⌫---|--⌫|-⌫------|
alaf orestiouselez	|-|-⌫----|---||--|
renddan ta deumercize	-------⌫||--|-----||
maisl ui ach etuneauenture	---|-⌫-|---⌫-|--|-------|
d untsedo ltadesmesu re	-⌫--|-|--⌫-||-------⌫-|
kardes auers k	--|--|----||
iloutencure	-|--|-|---|
tro uaensapasture	---⌫-|-|-|------|
iluait l e bo isp artuitcerchant	-|---|-⌫|--⌫-|-⌫-|---|-------|
esesauerspa rtu itquerant	|--|----|--⌫|--⌫-|------|
mais qua nt ne str uu edem entena nt	---|---⌫-||-⌫|--⌫--⌫|-|-⌫------⌫-|
abbesseuai tplurant	------|---⌫|------|
tantostcumesta luiuenu	------|--|--||--|---|
deuant les piezliestchau	-----|--|---|-|--|---|
mercifaitilp u r	----|---|-|-⌫-⌫|
kar maisaueirsaituitperd u	--|---|-----|-|---|----⌫|
m or tsumadame edec unfit	-⌫--⌫|-|-|---||---⌫----|
lemenseign ur san z n ulrespit	-|--|-----⌫-|---⌫|-⌫-|-----|
meociral adam e	-|----|-⌫|---⌫|
o re es cu te z unsulpetit	-⌫-|--⌫--⌫--⌫|-|--|----|
q uegardéas	-⌫-|-----|-|
seez tubeufiz u	---|-|--|--||
oi lfaitil me str estutl as	--⌫|---|-|--⌫|--⌫----|-⌫-|
que re me sn	---⌫-|--⌫||
alezdreitlane dutezmie	---|----|-|-|----|--|
uoslestrouerezsanz bo isdi e	--|--|-------|---|--⌫----⌫|
leu ilei notqueele estg arnie	-|-⌫----⌫|-|--|--|--|-⌫----|
d e lagracedeprop he cie	-⌫|-|----|-|----⌫--⌫--|
tosts en uait	---||-|---|
siadt ruué	-|-|-⌫----|
unkesa in znef ud plus lee	----|-⌫--⌫|-|-⌫-|---|--|
ad unporctué	-|-|---|---|
eparpiec es d etrenché	|--|----⌫-|-⌫--------|
a reireuaitignelement	-⌫----|---|---------|
a lab besseod sunpresent	||--⌫----|-|--|------|
requertlada medeuotement	------|-|--⌫-|---------|
keel eenpr engeasun	-|--⌫|-|--⌫---||--|
partiefaceenueer	-----|---|-----|
asautre sdamesalur	-|-----⌫|----||--|
beaufiz faitelemunamicheer	---|--|---|--|--|--|----|
n usnedeuum de chartast er	-⌫-|-|----|-|---|----⌫-|
carpeiss un auuml ai ssé	--|-----⌫-|---|-⌫--⌫---|
pur dampne deu seruir a	--|------⌫--|-----||
le u ileinleotsiestdesue ́	-|-⌫----|-|-|-|--|-----⌫|
ceo quiladsunporc tué	--|-|-|-|--|---|---|
mod ewenne queta nt	---⌫-----|--|--⌫-|
bienenten tlesuencurage	---|-----⌫|-|---|-----|
quilestdolentpursundamage	-|-|--|-----|--|--|-----|
di sten sunlangag e	--⌫-|-|--|------⌫|
fizfaitelene	--|---|--|-|
uost reporcrecuuerét	----⌫-|---|---------|
e guer dunde deuauerez	|----⌫--|-|--|-----|
uestla cha rke l a	|--|-|---⌫|-|-⌫|
char lifudport e e	---|-|--|----⌫-⌫|
pus queele adun poi uree	---⌫--|--|-|-|--|---|
ladest re adenhal t leu ee	-|----⌫-|-|-|---⌫|---⌫-|
e a lnunde useigne e	|-⌫|--|--⌫|------⌫|
aune sise reassemble	---|-|-|---------|
alui leinmerueillesemble	-|--⌫---|--------|-----|
depourla ch arli tremble	-|---|-|--⌫-|-|------|
leporcreleuede	-|---|-----|-|
meinte nant	------⌫---|
trestutuea nt	------|---⌫-|
delmi rac lequeest grant	--|--⌫---⌫-|--|--|----|
multseuaites merueillant	---|-|---|--⌫----------|
beuf izf ai teletut enirras	--|-⌫-|-⌫--⌫|--|-||-|----|
od tunporckeci portas	-|--|---|-|-|-----|
eil re spuntdunc seie	|-|--⌫----|---|---|
sesimen partceo	-|-||-|---|--|
serre itgas	-----⌫-|--|
ainzuu suoilpurdeupreer	---|--⌫|---|--|--|----|
quiparuusmeu oltsalu er	--|--|--|-|-⌫--|----⌫-|
qu antuus neplaitdeporcmanger	--⌫--|--|-|----|-|---|-----|
uoillezotrier	------|-----|
queiopu isseen	--|-|--⌫---|-|
cest bo sc hage	---|--⌫--⌫---|
querebeste q ue	----|----|-⌫-|
seitsaluage	---|------|
parta ntse rreit	--|--⌫-|--⌫----|
lemenc ura ge	-|--|-⌫---⌫-|
trestuzl e s disde muneage	------|-⌫-⌫|--|-|--|---|
en dampn edeu recunfortez	-|-----⌫---|----------|
ele respu nt du ncen alez	--|-----⌫-|--⌫-|-|---|
e ceoquep rimes	|--|--|-⌫----|
sanz demurenusaporte z	---|-----|--|------⌫|
il s enuaitioi usel e	-||-|---|---⌫-||-⌫|
oe zmerueillee	--⌫|--------||
degre sce ad troue ́	-|---⌫--|-|-----⌫|
parlesperch esatach és	--|--|-----⌫-|-----⌫--|
enl espeise	-||------|
deun buissun	-|-|------|
eilicurttuitde	|-||---|---|-|
atereabatla ueneisun	|---|---|-|-------|
sanz limere	---|----||
san zbrache t	---⌫|------⌫|
sanzarcsanzseet esanzbersel et	---|--|---|----⌫|---|------⌫-|
de suzlespeiseenunplanet	--⌫--||------|-|-|-----|
laueneisun ateremet	-|-------||---|--|
dela preiedeumercie	-|-|----|--|-----|
s anzplusqu ilse itdeuenerie	-⌫--|---|-|-|--⌫-|-|------|
nesa ic umentparquelueis die	-|--⌫|-⌫----|--|---|----⌫--|
le cerf ad	-|---|-|
tra italabbeie	---⌫-|||-----|
la ueneisun a dpresentee	-|-------|-⌫|--------|
alab be ssequant ladtrouee	||--⌫--⌫--|----||-|-----|
uncc eoq uitne fistfurchee	--|-⌫-|-⌫--|-|---|------|
nelahanchenefud leu ee	-|-|-----|-|--|---⌫-|
su enprese nt	--⌫-|-----⌫-|
ecilme rciz e	|--|--⌫---||
grezlirend	---|-|---|
p uisseabe isse ecungeprent	-⌫--|-|---⌫---||----|----|
sisen uaiti ousement	-||-|---|-⌫-------|
la uertude u n	-|----|--⌫||
e pascelee	|--|----|
a nunc iee	|----⌫--|
multp reisee	---|-⌫-----|
cest mi ra cleuoi lfiner	---|--⌫--⌫--|---⌫|----|
n euoilplu sdir e n ecunter	-⌫|---|---⌫|---⌫|-⌫|-----|
un au tregrantuoi lcumen cer	-|--⌫--|----|---⌫|-----⌫--|
siuuspleista es cute r	-|--|-----||--⌫----⌫|
cunteruusuoil un au enture	-----|--|---|-|--⌫-----|
c um letro is	-⌫-|-|---⌫-|
en escripture	-|---------|
chas cumi mettepl e ine cure	----⌫--||----|--⌫-⌫--|---|
del escutersimesure	-||------|-|-----|
ladameesttant anpris	-|---|--|---|-|---|
parsa b unteq uant fu dsue	--|-|-⌫---|-⌫---|--⌫|--|
saf amees t	-|-⌫--|--⌫|
partantcrue	--|---|---|
queaseintpatriz en e st	--||----|-----|-|-⌫-|
il enestioiu se lee	-|-|--|----⌫||--|
d e l bienquilotad	-⌫-⌫|---|-|-|-|-|
uintc hap eleins	---|-⌫---⌫-----|
silur ad diten	-|--|-|--|-|
se ignursfideil emesam is	--⌫-----|-----||--|--⌫-|
nel puisniermult	-||---|---|---|
quantunkes	----|----|
ainzrennenquis	---|--||-----|
demodew enne queadt el	-|-----⌫---|--|-|-⌫-|
quefillefudlereipoa nt	--|----|--|-|--|---⌫-|
maheulepru zele u aillan t	----|-|---⌫||-|-⌫------⌫|
oruusp ri ecumant	-|--|-⌫-||-----|
keali al gezde mei ntenant	-||-|--⌫--|-|---⌫------|
acellesdiue	|---------|
e sa uietuteenqu errez	|-|--|---|----⌫----|
sa des tre leues i ad seigne z	-|---⌫--|---|-⌫|-|------⌫|
sesuntatantalez	-|---|----|---|
par luriu rneestant sunt alé	--|--|--⌫----|---|---|---|
queas guastines	--|-|--------|
su ntentre ́	--⌫-|-----⌫|
urobbe u rs	|-----⌫-⌫-|
untenc ontré	--|---⌫-----|
qui mortlesuntagran tpeche	--|---|--|--||----⌫|----|
ta nt parsu ntdefe lcurage	--⌫-|--|--⌫-|-|--⌫|-----|
li tr aitrelarunsaluage	-|--⌫----|----|------|
nesesparn ient purnulpresta eg e	|-|------⌫---|--|--|------⌫--⌫|
m ort lesuntenzal	-⌫--|--|--|--|-|
quantceloureun ta cheu e ́	----|--|---|--⌫|-⌫----⌫-⌫|
li larundesme suré	-|----|-----⌫----|
l ur espuilleunt	-⌫-|-------|--|
elescorsal	|--|---|-|
chamla issé	---|--⌫----|
modewennela deuamie	--------|-|--|---|
quide g race ertreple nie	--|-|-⌫---|--|-----⌫--|
quant lanouele adoie	----|-|-----|-|--|
poezsauer mult est marie	---|----|---|--|----|
qua ntd eourefudacertee	---⌫-|-⌫|---|--|------|
qu ees teit	--⌫|--⌫---|
i ssi cheuee	-⌫--|-----|
s est purpense e	|--|--------⌫|
epuis ateresestietee	|---||---||--|----|
eprie de upa rsa	|---|--⌫|--⌫|-|
qu i abusoiguncne failli	--⌫||-----|--|-|-----|
an ulquileu st	|-⌫-|--||--⌫-|
agre se ru i	|--|--⌫--⌫|
qu il nelamettee n	-|-|-|-|----|-⌫|
q uelido intforce e	-⌫-|-|--⌫--|----||
kee lepuisse sanz encumbrer	-|-⌫-|-----|---|--------|
les cors p orter	--|---|-⌫----|
demartyrs pur enterrer	-|------|--|-------|
queele neseit	--|--|-|---|
de sturbee	--⌫------|
p arcelegent desm e suree	-⌫-|---|---|----⌫-⌫----|
maisainzqueeleeit b ienach euee	---|------|--|--|-⌫--|---⌫---|
saoreisun u termin ee	-|------||------⌫-|
unang ledelciel aluidecent	-|---⌫-|--|---||--|-----|
dequi lumereleliuresplent	-|--|-----|-|--|-------|
netetamez faisil	-|-|----|---|-|
amiealreiomnip otent	---|-|--|-----⌫----|
mo dewen nenedutezmie	--⌫-----⌫-|-|----|--|
tapreereestbien	-|-----|--|---|
karreisunestquan t amie	--|-----|--|----⌫|---|
alreidelcielquituznus	-|--|--|---|--|--|--|
karalezd unc neuus targez	--|---|-⌫--|-|--|-----|
al ch ampu suntle scor s	-|--⌫--||---|--⌫|---⌫|
a labbeieles	||-----|--|
od granthonurles enterrez	-|----|----|--|-------|
denuleri enneezpou r	-|---|--⌫-||--|---⌫|
ka rceluipur	--⌫|----|--|
as guerpi leueinerrur	-|-----|-|---|----|
delmund malueistefradhonur	--|---|------|-|---|----|
de la noueleseesio ist	-|-|-----|-|----⌫--|
graces enrendaiesu crist	-----|-|---||---|----|
puis s an z respitquei	---|-⌫--⌫|-----|--||
tut es aunerfist	---⌫-|----|---|
fi lle s faite le queferum	--⌫---⌫|---|-⌫-|--|----|
de marty r s	-|-----⌫-⌫|
qu ilila run	--⌫|-|--⌫--|
oscitr ent lautr erpartraisun	------⌫--||----⌫-|--|------|
a lu mlesqu ere	-⌫--⌫|--|--⌫--|
nusuusprium	--|--|----|
karp echeerte gr antutra ge	--|-⌫---|--||--⌫--|----⌫-|
si nulchien	-|--|----|
uleusaluage	|--|------|
l esadesast	-⌫-|------|
cel bos cha ge	--|---⌫---⌫-|
ocisdegrantdamag e	---|-|----|-----⌫|
d ucedam eaiez pite	-⌫--|---⌫|---|---|
purdampnedeude maieste	--|--------|-|------|
damesnesei t	----|-|---⌫|
ic estoure quauezmu str é	--⌫--|---|-|---|--⌫---⌫-|
sin us issu md elabb eie	-|-⌫-|----⌫|-⌫||---⌫--|
nus cremum la felun ie	--|-----|-|-----⌫-|
deceste gent	-|----|---|
ne dutezmie	-|----|--|
faitladamekaraie	---|-|---|--|--|
nusest pur ueir d e ciel ple uie	--|--|--|---|-⌫|---|---⌫--|
atan ts enuu ntsan zc untredit	----⌫||-|--⌫-|---⌫|-⌫-------|
n iper nent ter m enerespit	||---⌫---|---⌫-⌫|-|-----|
maisne demure queunpetit	---|-|-----|--|-|----|
quenesetieng ent a descunfit	--|-|-|-----⌫--||--------|
parlu respie	--|--⌫|----|
kemodewenneladeuamie	-|--------|-|--|---|
issueesteit del ab beie	----|-----|-||--⌫---|
lanou ele b ie nlu ra gree	-|---⌫--|-⌫--⌫|--⌫|-⌫---|
quantelelurf ud nuncie	----|--|--|-⌫-|-----|
lauertudeuuntiuree	-|----|--|--|----|
keele iser rat	-|--||---⌫--|
atant s en sunttuit	----||-|---|---|
de luraguaitdesenbuchez	-|--|-----|----------|
lesdamesles unta uisez	--|----|--|--|-⌫----|
gra n tseur seez	---⌫-⌫|---|---|
dame f unt	---|-⌫--|
elescumentse rra	---|-----|--⌫--|
deceslarunsueezlesla	-|--|-----|---|--|-|
la damel u r	-|---|-⌫-⌫|
distuusu erre z ia	---|--|-⌫----⌫|-|
gr an tmerueillequ antuend era	--⌫--⌫|--------|--⌫--|----⌫--|
ourent unauoié	-----|-|-----|
queglouenantf ud	--|--------|-⌫-|
ciladles fous	--|-|--|---|
tuitcunte ́	---|-----⌫|
siadcinqua n tesist ruué	-|-|------⌫-⌫-|--|-⌫----|
puisle damesr ecu nta	---|-|----|-⌫---⌫--|
eautretantit r uua	|--------||-⌫-⌫--|
de ioiequ ilads iesc ria	-|---|-|-|-|-⌫|---⌫--|
seignursfaitil	-------|---|-|
entendez ca	-------|-|
chescun denu s p oi tchoisi r	------|-|--⌫|-⌫--⌫|------⌫|
dece les damesaple isir	-|--⌫--|----||---⌫---|
mes iom eu oilpurueir tenir	--|-|-⌫|-⌫--|--|---|----|
a modewennequeueiuen ir	|--------|--|--|---⌫-|
uait mult ha stant	---|---|--⌫----|
elesfousuunt	|--|---|---|
chas cunla suweuait eslisant	----⌫--|-|---|---|-------|
aue ir enquident	---⌫-|-|------|
quant elele sueitsiesprimer	----|--|--⌫|---|-|-------|
tostelencuntrer	---|||--------|
s adestrecumencealeuer	-⌫|-----|------||----|
e lacro i ze ntr e elsfe rmer	|-|---⌫-⌫|-⌫---⌫|--|--⌫---|
mais parlafor ceelauertu	---|--|-|---⌫-||-|----|
de cels ignacle	-|--|-⌫------|
qu iluntueu	-|-|--|--|
nesaicu mentes taue nu	-|--|--⌫---|--⌫|---⌫-|
ateresunttrestuz chau	|---|---|------|---|
n iadun sulde	||-|-|--|-|
kinedorme fermement	-|-|----|--------|
tuiten sement	---|--⌫-----|
esto rie quepa sneme nt	----⌫--|--|--⌫|-|--⌫-|
treisiu rs	----|--⌫-|
ente rs untdormi	----⌫-|--|----|
etreisnu it tuit autresi	|----|--⌫-|---|------|
uncnul s a place	--|--|-⌫|----|
des iluin t	--|-|---⌫|
ladamegiseit	-|---|-----|
enz en la p l acee	--|-|-|-⌫-⌫--||
unauisiun iueit	-|------||---|
quepasc elee estre n e deit	--|--|-⌫---|----|-⌫|---|
unanglei ueito	-|----||---||
grantlumere	----|-----|
