cicomenceli	-|------|-|
dique uoesqueie faceaparm ainlocirras	-|--|---|--|-|---|-----⌫--||------|
foi uolentier s ca rtu l emedonnas	--|---------⌫|--⌫|-|-⌫|-|-----|
enquel liulocirrai	-|---|--||------|
escoutesi l orras	------|-||----|
apareilleto stgarde	--------|--⌫-|----|
tusa c refiera stonfilnou	-|--⌫-⌫-------⌫|--|--||-|
q ui er celer	-⌫--⌫-|----|
tout por lamo ieam ornel por ras	---|--|-|--⌫-|--⌫-|-||---⌫--|
d estorner	-⌫-------|
enterreda uisontenc oue nd raaler	-|----||-⌫----||-|-⌫---⌫--⌫-|---|
siredistabrehansiemeuoi sapr este r	---|---|-------|-|-|---⌫|---⌫----⌫|
li tien commendemant ne font	-|---|-----------|-|---|
abr e hansnostre	---⌫-⌫---|-----|
p eres qantentantlecommant	-⌫---|---|-----|-|------|
ensa ma isonenu an euaplu s	-|-|--⌫---|-|-⌫|-⌫|-|---⌫|
sesf izuintdeuant lui	--|-⌫-|---|-----|--|
moltlifis tbelsamblant	---|-|---⌫|--|-------|
a brehans nelrega rde a insapelezzser iant	-⌫------|-||----⌫--|-⌫--|----|-|---⌫---|
i llia prest	-⌫|-|-⌫----|
qantuit quetoutfu	---|--|--|---|-|
pr estsa pelasonanfant	--⌫--||-⌫---|--|-----|
dont lidis tabrehansbiausfiz amoi enten t	---|-|---⌫|-------|----|--||--|-----⌫|
tuue n r asauo ecmoicilrespont	-|--⌫-⌫-⌫-|---⌫-|--|--|------|
bon e me nt	---⌫-⌫--⌫-|
enmoiefoibi aupereautien	-|---|--|--⌫-|---|-|---|
commandement	-----------|
ta uolen teferaiuoizmeciem	-|-----⌫-|----|---|-|-|-|
li fi zua osompereet lisers	-|--⌫|-||--|---|-|-|---|
qantuind rent p res	---|----⌫---|-⌫--|
doumonta son	--|---||--|
serf dis t	---|---⌫|
lisers remeistaualsi comil	-|---|------|---|-|--|-|
li perespristla	-|----|----|-|
buscheet au filla b aill a	-----|-|-|--|-|-⌫----⌫|
etsi aprisl ef euen samain	-|-||---|-⌫|-⌫-|-|-|---|
q antuindrent	-⌫--|-------|
presdoumo ntlifiz	---|--|--⌫-|-|--|
li demend a	-|------⌫|
eto uestoit ic equi lsacrefiera	-|-⌫|-----|--⌫|-|-⌫|---------|
etil l irespondi	-|-|-⌫|-------|
biausfizorentenca	----|--|-|----|-|
tout p rest	---|-⌫---|
letr ouerons car diex	-|--⌫------|--|---|
dontsont uenu auliu quili fudeu isé	---|---|---|-|--|--|-|-|---⌫---|
ila t a ntostle	-||-⌫-⌫----|-|
feusorl aut elalumé	--|--||---⌫-|-----|
son filpristpar	--|--|----|--|
le poing aincnelem pri st pite	-|----|---|-||-|---⌫-|---|
lesmainslialoies ia leustdecolé	--|----|-||----|-||---|------|
qantdiexlia	---|---|-||
so n anglepresde lui apr esté	--⌫|----|---|-|--|---⌫----|
m ainpris tlespeequ e	-⌫--|----⌫||----|--⌫|
nelaadesé	-|||-----|
adonques l a li angl es	-------|||-|----⌫-|
d oucement apelé	-⌫-------|-----|
abre h ambiausamiszzp ouamoientent	----⌫-⌫-|----|---|-|-⌫-||--|-----|
n ostre sire stemandeetparmoite deffan t	-⌫----|----⌫|-|----|-|--|--|-|------⌫|
quen ocie stonfi lqu e tant	--||----⌫|--|--⌫|--⌫|---|
ainmesforment	-----|------|
bie n quetul ainmes netenm escroitnoient	---⌫|--|-||-----|-||-|-⌫------|-----|
pluslain mesquetonfilceset certainnement	---||---⌫--|--|--|--|-|--|------------|
oci rrascest aingn elquiciest em	---⌫---|---|-----⌫-|--|-|--|-|
ildes loia sonfilqantlifucommandé	-|---⌫---|--|--|---|-|-|--------|
lemo utonsorlautel	-|--⌫---|--||----|
sacreficeen afa itdont sensontret orné	--------|-||--⌫-|---||-|---|---⌫----|
ne fin erent daler	-|---⌫----||---|
iusq abersa bee	---||-----⌫--|
dont ap elasonfilsil aarrai soné	---|--⌫--|--|--|-|||-----⌫----|
biausfiz iete	----|--|-|-|
c ommantquece so i t bien	-⌫-----|--|-|--⌫-⌫|---|
quilnes oit	-|-|-|-⌫--|
aneluiraconte ́	|----|-------⌫|
etrespontysaac	-|------|----|
a uostr euo le nte	|-----⌫|--⌫--⌫--|
nostrepere	-----|---|
abrehamamasonfilforment	------|--|--|--|------|
etsesfiz ysaacamaluiansim ent	-|--|--|----|--|--|-----⌫--|
en cestsiecl emorteluesqui moltlongu ement	-|---|-----⌫|-----|-----|---|-----⌫----|
primesmoru sa fem e	-----|---|-|---⌫|
dont m oltfuretdolant	---|-⌫--|----|-----|
carbel efuetb o neet degrantesci ent	--|---⌫|-|-|-⌫-⌫-|-|-|----|----⌫--|
porlabiautedelil en c hauca	--|-|-----|-|-||--⌫-⌫----|
l en souent	-⌫-|-----|
u nssiresdoupai squifu de	-⌫-|----|--|---⌫|--|-|-|
c e legent	-⌫-⌫-|---|
quiocirr elesuost	--|-----⌫|--|---|
etl iurer atorment	-|-⌫----||------|
puisfumorzabr eh anz	---|-|---|---⌫--⌫--|
p erea labonegent	-⌫--||-|---|---|
qant abreha nsmorumoltfudegrant aa g e	---|------⌫-|---|---|-|-|----|--⌫-⌫|
signoricis tfuperesaubeneoit	-----|----⌫|-|----|-|------|
dont pristsesfiz m oi l lierquifud ehaut	---|----|--|--|-⌫--⌫-⌫---|--|-|-⌫|---|
moltfupre xys aacetde gr an tuassela ge	---|-|---⌫|--⌫--|-|-|--⌫--⌫|-------⌫-|
et fum olt sages hom	-|-|-⌫--|----|--|
et tintgrantheritage	-|---|----|-------|
oeill es ot et	-----⌫-|-|-|
bueset chamaxet aumailles	---|-|-----|-|--------|
moltfusag essesperessi	---|-|---⌫-|--|----|-|
fu ilenseme nt	-|-|------⌫-|
sor toutescriaturesamail deu f orment	--|-----|--------|--|-|--|-⌫-----|
tout eshoresfu	----⌫-|----|-|
pres t a son	----⌫||--|
commandement	-----------|
osa belemoillierconuersa longue me nt	|-|---|-------|-------|------⌫--⌫-|
qu eilnulanfantn orent	--⌫|-|--|-----||----|
s i lorpesa forment	-⌫|--|---|------|
so uue ntenapelerent damerdeudo uceme nt	--⌫---⌫-|-|--------|-------|--⌫-----⌫-|
que anfa ntl ordonnast	--|----⌫-|-⌫-|------|
sifistil uoirement	-|---|-|--------|
c arillor otro iafe re l	-⌫-|-|--|----⌫-|--⌫-||
engendre m en t	--------⌫-⌫--⌫|
espouseysaac qantse sent em prai ngnie	------|----|---|-|---|--⌫----⌫----|
liprodomenfu liezettoutesa	-|-----|-|-|---|-|----|-|
resbescaen redeuintmolt lie	-------|-|-------|---|--|
maispuisen	---|---|-|
da medur ementesmaie	--⌫-|---⌫----|-----|
yyenf anzot	-|---⌫--|-|
eluentredontfu mol tcorrecie	-|-----|---|-|---⌫|-------|
si tostcomfure ntuifbataille	-|---|--|----⌫-|--|-------|
on tcommencie	--⌫|--------|
ladamequicesentdeuint m oltesma i e	-|---|--|-|---|-----|-⌫--|----⌫-⌫|
signo rorf aite s	-----⌫|-|-⌫----⌫|
paispor d eus im	---|--|-⌫-|-⌫||
merueilles uosdira i etm erueill es	---------|--|----⌫|-|-⌫-------⌫-|
neuosdiraipasfablea i nzseraueritez	-|--|----|--|----|-⌫-⌫-|---|------|
desletens ab rehan	--|-|---|--⌫----|
d essiquedi exfu nez	-⌫------|--⌫-|-|--|
nefur e ntdui	-|---⌫-⌫-|--|
an fant e nsambleengendrez	--⌫---|-⌫------|--------|
par itelemanierecomuos dire	--|----|------|--|--|---|
car sitostc omilporentne sesontoubliez	--|-|---|-⌫-|-|-----|-|-|---|------|
e nze l uen trelameresont	-⌫-|-⌫|---⌫--|-|---|---|
anduide ffi ez	----|--⌫---⌫-|
del liu ouils e iurentsontandui remué	--|--|-|-|-⌫|-----|---|----|-----|
orontprisebatai lleco mm encent	-|--|----|-----⌫--|--⌫--⌫-----|
alu itie r	|--⌫----⌫|
fu ch a scuniordes sia la nuitier	-|--⌫-⌫---|--|---⌫-|||-⌫------|
etqantuinta	-|---|---||
la nui tquelens e doit	-|---⌫|--|--|-⌫|---|
ascheuiaxsentrepranent	-|------||-----------|
et depiezet de	-|-|---|-|-|
poinz sef ieren t	----|-|-⌫-----⌫|
com bergier	--|------|
ne setardentnient lunsl	-|-|------|----||--||
au tre a empirier	--⌫--||-------|
comseli unsdeu st sor l au t r echalangier	--|-|-|--|---⌫-|--||--⌫-⌫-⌫|---------|
liunsprist lautre a batrec omse l	-|--|----||----||----|-⌫-|-||
de usttuer	--⌫--|---|
li autres fi st	-|-----|--⌫-|
samblantquel	-------|--||
uossisteschaper	------|-------|
dontcommancentand ui lor	---|---------|---⌫-|--|
piezentrebouter	---|----------|
ne den uiznede	-|-|-⌫--|-|-|
iorzneu oelentre poser	---|-|-⌫-----|--⌫----|
lame requi ce	-|--⌫-|--|-|
s en tces achi ez	-⌫--⌫|-|-⌫----⌫-|
senzdouter	---|-----|
em perdi le	-|----|-|
d ormir quenep ot reposer	-⌫----|--|-|-⌫-|------|
souentef oiz	------|-⌫--|
de si ex c ommencaaplorer	--⌫|-⌫-|-⌫------||-----|
qantsenti la	---|----|-|
bataille siotpoor molt	-------|-|-|---|---|
qui ceiere quisisalo i tmouant	--|-|---|--|-||---⌫-⌫|-----|
labataille	-|-------|
sentoit en li m olt dur ement	------|-|-|-⌫--|---⌫----|
mais ele nesau oitsec e stoi entenfant	---|--|-|---⌫--|-||-⌫----⌫--|-----|
mo lt enfuen	--⌫-|-|-|-|
gra ntdoute sienfis t lait samblan t	---⌫-|----|-|-|---⌫|---|-------⌫|
descol squ il s ent redonent perts a	--|---⌫|-|-||---⌫-------|---|-⌫|
lionthurtéet le uentre et	-|--|-----|-|-|-----|-|
sorpieznepoute st er	--|---|-|---|-⌫--⌫-|
couchies estata nt	------||--|---⌫-|
lapr ode femededa nzson litcouchie	-|--⌫--|---|----⌫-|--|--|------|
et d e n u izet de iorzse	-|-⌫|-⌫-⌫-|-|-|---|-|
se ntmoltde hait ie	--⌫-|---|--⌫----⌫-|
merueilles	--------||
el ef uesmaie	--⌫|-⌫|-----|
ysaacfudolanzettoutesamaisnie	----|-|-----|-|----|-|------|
porce ques af e me ereissi	--|-|--|-⌫|-⌫-⌫-|--|---|
desconsil lie	---------⌫--|
ladameqantces entq ue ne	-|---|---|-|-⌫--|-⌫-|-|
por ra soffrir	---⌫-|------|
descolsqu il sen tredonnent	--|---|-|-||--⌫---------|
quidaelemori r	----|--|----⌫|
aplorercommenca sig eta	|-----|-------|-|-⌫--|
zz s oupir	-|-⌫----|
hailass e dolanteor m estoura morir	--|----⌫|------|-||------|----|
c e r tes biaussir ediex m iex te quidai	-⌫-⌫-⌫--|----|---⌫|---|-⌫--|-|-----|
tu me donnas signorormenuoes	-|-|-----|-----|-||-|---|
dep ar t ir	---⌫--⌫-⌫-|
certesmoltestp r odomselosoieiehir	-----|---|--|-⌫-⌫---|-||----|----|
puisqu enosassambla mes	------⌫|--|--------⌫--|
teu o stment ir	-|-⌫-⌫-|----⌫-|
sireregarde moi p artadouce	---|------|--|-⌫-|-|----|
delassuzou	-|-----|-|
t uma inz en t ag rantmaiste	-⌫|--⌫--|-|-⌫|-⌫---|-----|
sezlauerite	--|-|-----|
e ntre moiet mon sireqant fum e sass am blé	-⌫---|--|-|--|---|---|---⌫-⌫|---⌫--⌫---|
e nsambledemandamesparta	-⌫------|---------|--|-|
saintebont e	-----|----⌫|
queanfantnosdonasses tout	--|-----|--|-------|---|
certes seieq u idasse	-----|-|-|-⌫-⌫-----|
qu et eu ssiensmeffait	--⌫||--⌫-----|------|
sire ielamend asseenue rstoientresa i t	---|-||-----⌫---|----⌫-|--|-------⌫-⌫|
t ro pparaigrosle uentreetmaleme ntme	-⌫--⌫|--|-|---|-|-----|-|------⌫-|-|
queestcededans moiqui si gr a nt	--|--|-|-----|--|--|-|--⌫-⌫-|
ma lmefait	--⌫|-|---|
gespoirceso ntenfantlunsboute	|-----|-|--⌫-|-----||--|----|
l autrestrai t	|-----|----⌫|
qoisecombatentq ainc neaplai t	--|-|--------||---|-||----⌫|
descolsquils e nt red onentnusnecrien e	--|---|-|-||-⌫--⌫---⌫----|--|-|---|-⌫|
sirese cistesto rsd ureplus	---|-|---|----⌫-|-⌫--|---|
lo nguemen t	--⌫-------⌫|
ilmoci rrontsanz	-||---⌫----|---|
faille ielsaiaescient	-----|-||--||------|
aincmaisnefuba tai llefaitesansiugement	---|---|-|-|--⌫---⌫--|----|---|-------|
ia n esontilpasnénancornes on t	-|-⌫|---|-|--|--||----|-|-⌫--⌫|
sire porqexchast iausne por	---|--|--|-----⌫---|-|--|
qelchasemant	--|--------|
au ra liuainqerr eset qoilirecreanz	--⌫-|-|--------⌫-|-|--|-|-------|
nesontp as	-|---|-⌫-|
deyyho mesainzsont d	-|-|--⌫--|---|---||
u nuoirement	-⌫|--------|
ancelepor deunel meceler	-----|--|--|-||-|----|
c este guerre ne	-⌫---|-----|-|
puis maislong uesandurer	---|---|----⌫--|------|
ilsedonenttexcolsqueien	-|-|-----|--|---|--|-||
espuisporter	-|---|-----|
b iausireque demandent nespues tu acorder	-⌫--|---|--|--------||-|---|-|------|
c om mendequ ilatende nt tantquilpuis sent	-⌫--⌫----|-|-|------⌫-|---|-|-|----⌫---|
ma nd eronsnozparanztoutporau sesco ute r	--⌫--⌫----|--|-----|---|--|--⌫|----⌫---⌫|
se lunstoltriens	-||--|---|----|
alautre feronslid eliure r	||----|-----|-|-⌫------⌫|
ce respontnostr e sires	-|------|-----⌫|----|
escoutetonsignor	------|--|-----|
ie saibien quil te	-|--|---|-|-|-|
fontassez mal e tdolor	---|----|--|-⌫|----|
t i en pasamer uei llecar	-⌫-⌫-|--||---⌫---⌫--|--|
and uisonts igno r	---⌫-|---|-⌫----⌫|
enice lebata i lle ch alangent	-|---⌫-|----⌫-⌫--|--⌫-------|
grant honor	----|----|
sachesquelipetizsi u aint rale grignor	-----|--|-|----|-|-⌫----⌫-|-|------|
etqant iliertuain cuz	-|---|-|---|----⌫--|
sempor tera	|-----⌫---|
es coute belesue riete	--⌫----|---|---⌫|-|-|
d iraig rantsens	-⌫---|-⌫---|---|
li anfant que t uportessenefientgranz genz	-|-----|--|-⌫|-----|--------|----|---|
labat ailleest	-|---⌫----|--|
molt granzet tu	---|----|-|-|
lescolsensen z	--|---|-|---⌫|
n et enesmaiermienelso fferraslonctens	-⌫||-|------|--|-||--⌫------|---|---|
mai sie uoilquetuai est resbiene nton	---⌫|-|---|--|-|--⌫-|-⌫--|---|-⌫|--|
uen draaunaistre liquex iertpremer a nz	---⌫--|-|------|-|---|---|------⌫-⌫-|
ar riere letraira	--⌫----|-|-----|
cilremaind ra	--|-------⌫-|
ensi parlepetit	---|--|-|----|
sera uaincus l i	---|------|-⌫|
qantotditnos t resiressa parolefina	---|-|--|---⌫-⌫-|----|-|-----|---|
etenlasoie gloirelassu z	-|-|-|---|-----|-----⌫|
e l ciel monta	-⌫|---|----|
s achiezques apa r olereb escanoublia	-⌫-----|--|-⌫|--⌫-⌫--|---⌫---||-----|
em paisremestladamesicomdexcommanda	-|---|-----|-|---|-|--|--|-------|
biensoffri	---|-----|
labatai l le que nulior n e fina	-|-----⌫-⌫-|--|--|--|-⌫|---|
ilfurentnéde	-|-----|--|-|
rie nnes esmaia	---⌫|-||-----|
qantuint delornaissanc eliterm e saprochant	---|---|-|--|--------⌫|-|----⌫-⌫|--------|
etsotbienque	-|--|---|--|
partansnaist r oientsianfant	--|---|-----⌫-⌫----|-|-----|
ance lessilor distemplo rant	----⌫--|-|--|---|-|---⌫---|
mol ta iso u f fer t	---⌫|-⌫|--⌫-⌫-⌫---⌫|
t rauailor aiangoisse g rant	-⌫-----|-|-|-------|-⌫---|
sach iezliquex ceiertqu i nais te ra	----⌫--|-|---|-|---|--⌫|----⌫--⌫-|
liiez entorsoncolzzfiletr oug eou	----|----|--|--|-|----|-⌫---⌫|-|
que ienensoiee n	--|-||-|---|-⌫|
dou teb i en	---⌫-|-⌫-⌫-|
soit apariss ant	---|-------⌫--|
li commant	-|------|
aladam efurent bienentendu	|-|---⌫|-----|---|------|
aunaist res	-|-----⌫-||
enisso ittotpremierse sau	-|----⌫-|--|-------|-⌫--|
unfi lloié elco l	-|--⌫|----|-|--⌫|
s i fuauquespe lu	-⌫|-|-----|--⌫-|
mai silnertpasan cor dou tot an	---⌫|-||--|--|--⌫--|--|--|-|
iacob le trait asoi q uinere	----|-|----||--|-⌫-||--|
anco r nascu	----⌫|----|
deuanteleschei elesl ont	-----|---|---|---||--|
ato ut sonrougefilfu	---⌫-|--|----|--|-|
puisnez esau	---|--|---|
lamered es anf anzfuforme nt	-|---|-⌫-|---⌫--|-|-----⌫-|
etdela grantmeru eillerefumol tesma ie	-|-|-|----|----⌫----|---|---⌫|----⌫-|
desacha r de	-|-|---⌫|-|
sonsancrefu molt empirie	--|---|---|---|------|
et qant uitles	-|---|--|--|
anfanzmolt pare n	-----|---|--|-⌫|
deuint lie	-----|--|
ysa acet toutesa maisnie	---⌫-|-|----|-|------|
nenfu rentlorssiliep uisn e n fust	|-|--⌫---|---|-|--|-⌫--||-⌫|---|
or fetd ansysa ac ses y y anfanznorrir	-|--|-⌫--|---⌫-|--|-⌫|-----|-----|
q antf urentdeyya nz	-⌫--|-⌫----|-|-|-⌫-|
asoilesfet	|--|--|--|
etapris emporpens quilles	-||---|-|------|-|-|--|
uoetdepart ir	---|------⌫-|
commandéasamere s eruir	--------||-|---|-⌫----|
etretient esauquene	-|------|---|--|-|
le uo et guerpir	-|--⌫-|------|
auoec l ui	----|-⌫-|
lete ndraiusqu	-|--⌫---|----|
ildeuramorir	-|----|----|
sa chiez bienquelamereiacobnerefusa	--⌫----|---|--|-|---|----|-|-----|
c a r soeflenorr ietmol tformen tl ama	-⌫-⌫|---|-|----⌫|-|---⌫|------⌫||--|
qa nque s ot	--⌫---|-⌫-|
demanderuo lenti erslidon a	-------|--⌫-----⌫--|-|---⌫|
iac obla res seruietdoucuerlonora	---⌫-|-|---⌫----|-|--|---||----|
uolent iersacompliqanqu elecommenda	------⌫---|------|----|--|-------|
pesa n znesto it	----⌫-⌫||----⌫-|
miele giers	--|--⌫----|
m o ltaprist def orezetmolt	-⌫-⌫-|-----|-|-⌫---|-|---|
fubonsarchiers	-|---|-------|
a sesars prenoitcersbisches	|--|--|------|---|------|
dainsramiers	----|------|
grues gentesoisiaus queroit par cesuiuie rs	----|-----|------|------|--|--|-----⌫-|
pere qer t uie x enfaisoit	---||--⌫|---⌫|-|------|
lesm angiers	--|-⌫------|
ilsauoit le seruoituole ntiers	-|-----|-|------|----⌫-----|
a celtense rtbonssiecles s icom lis ant	|--|---|-⌫-|---|------|-⌫|--|---⌫--|
qa ntue noit	--⌫-|--⌫---|
uerslafinq uemoroitc ha scun shom	---|-|--|-⌫-|-----|-⌫--⌫----⌫|--|
aloranfanz pooi entdonnerb eneicon	|--|-----|----⌫--|-----|-⌫------|
etdeuiserauan t	-|------|----⌫|
lorpossesseetlor	--|-------|-|--|
ausifistys aac q ui molt	---|---|--⌫--|-⌫-|---|
deuintsainzhom	-----|----|--|
aesau s o nfildonabeneicon	|---|-⌫-⌫|--|---|-------|
maisiacob l i tolipargrantseducion	---|----|-⌫|---|--|----|-------|
molt fuuiexysaa c	---|-|---|----⌫|
et long uementuesq uit	-|----⌫-----|----⌫--|
d ont perd ilaueu equeilgoute	-⌫--|----⌫|-|---⌫|--|-|----|
formen tafebloiacouchasoi	------⌫|-------|-----|--|
en so nli t	-|--⌫|--⌫|
qantlih om neuoitgouttemolta	---|-|-⌫-|-|---|-----|---||
maluais delit	------|----|
ceestauis a	-|--|---||
tozsicom trou ons	--|-|--|----⌫--|
donc apeleesau soauetli	---|----|---|-----|-|
bia xfizamoi	---⌫|--||--|
toiparl er	--|----⌫-|
iesuipres demafinne le	-|--|---|-|-|--|-|-|
te qu ier cel er	-|--⌫--|---⌫-|
molt aiuesculo nctiensnepuismais andur er	---|-|----|--⌫-|----|-|---|---|-----⌫-|
iesaideuoirb iausfizquetu	-|--|-|---|-⌫---|--|--|-|
sez bienber ser	--|---|---⌫--|
quie rlachard	----⌫|-|---||
uncheurelsi mendone a d isner	-|------|-||-|---||-⌫----|
mabeneiconaurasnela tequie rueer	-|-------|----|-|-|-|----⌫|---|
c ertesfiz esautu ies moltd ebo nnaire	-⌫----|--|---|-|--|---|-⌫---⌫-----|
uola nt iersmasserui	----⌫--⌫---||-|----|
e tbienlese us fere	-⌫|---|-|--⌫-|---|
qama finm estu et	||-|--||----⌫-|
d es oretrair e	-⌫-|--|-----⌫|
i ei raien tell iudon tian	-⌫|-⌫--|-|--|-⌫-|---⌫|-||
a urai repaire	-⌫---|------|
tu sezde laforestetbiense z	-|--|-|-|-----|-|---|--⌫|
dela rc traire	-||-⌫-|-----|
se gestoiesaousn auroienulcontraire	-||-----|----||-----|--|--------|
t u sezqu eie maniu	-⌫|--|--⌫|-|----|
u olentier su en oison	-⌫--------⌫|-⌫--⌫----|
prantonarcettaguiurereuientos t en	---|--|--|-|-|-----|-----|---⌫|-|
mangieret nosen mangeron	------|-|--|-|-------|
qantenaur o n smangiéetnossa o l	---|-|---⌫-⌫-⌫|------|-|--|--⌫-⌫|
beneiconauras	-------|----|
etapresnosmorron	-|----|--|-----|
etrespontesau pereno s leferom	-|------|---|---|--⌫|-|----|
pres t suid e tonseru isee n	----⌫|--|-⌫|--|----⌫--|-⌫|
lafore stir om	-|----⌫-|--⌫-|
lamer eesaualaparoleoie	-|---⌫|---||-|-----|--|
ent antqueysaacirade m ortaui e	---⌫--|--|----|--|-|-⌫--||--⌫|
ne uoetpasdesauque	-|---|--||---|--|
illebeneie	-|-|-----|
adontsestporpa nseedune	----||--|-----⌫---||--|
m oltgra ntu oi die	-⌫--|---⌫-|-⌫--⌫--|
plusor diententraxqu	-----|----|---|-|-|
elef istui lo nie	--|-⌫--|--⌫--⌫--|
qantgabasonsig nor e tdut	---|---|--|---⌫--|-⌫|--|
e stresamie	-⌫---||---|
quiqueleta ingneablameieltienga	-----|-|--⌫----||----|-||----||
cort oi sie	----⌫--⌫--|
ain coisfuprexe ts age	---⌫---|-|---|-⌫|-⌫--|
sa pelasonanfant	|-⌫---|--|-----|
soauetliaditet nonpasen	-----|-||--|-|--|--|-|
ua fizen celuergiertoutsoef noncorant	-|--|-|--|------|---|---|--|-----|
apo rtelecheuroel	---⌫--|-|-------|
q u euerr asa laita nt	-⌫-⌫|----⌫-|-⌫-----⌫-|
ainzqueuaingnetesfreresquiou bois ua	------|------|--|-----|--|-|---|-|
tesperesg i stmalade s et sise	--|----|-⌫-⌫-|------⌫|-|-|-|
u amoran t	-⌫|-----⌫|
et de telchar mangier	-|-|--|---|------|
a il des ir	|-|---⌫-|
p ar ma foi biausdoz	-⌫-|-|--|----|--|
fiz ie li a i	--|-|-|-⌫|
itelchose atonfr ere dont ienepuis	---|----||--|--⌫--|---|-|-|---|
quef ucequeildistqu il	--|-⌫|-|--|-|---|-|-|
ne pooit p lusuiure	-|----|-⌫--|----|
esaub enistraqanti ertsaous etyure	---|-⌫------|---|-⌫--|----|-|---|
distil ce oiluoir	---|-|-|--|---|
dont iesui plainn edire	---|-|--|------⌫||--|
et nos bienlotroions taistoi fi zpasn	-|--|---||-------|---|--|--⌫|--||
limangi ersierti a pres tettuli	-|-----⌫--|---|-⌫|----⌫|-|-|-|
port e ras	----⌫-⌫--|
foi noferaipor qoice	--|||----|--|--|-|
iamemaldiroitilice	-|-|--------|-|--|
mar douteras	--|-------|
freres ueluze tienelesuipas	-----|----|-⌫|-|-|-|--|--|
ta isto ifai moncommant antor ton colauras	--⌫-|--⌫|--|--|------|----|--|--|----|
noir cheuroelie nou oeil s i feras	---|-------|-|||-⌫---|-⌫|----|
pr a nlabeneiconcarbiensa itulauras	--⌫-⌫|-|-------|--|---|--⌫|-||----|
certesm adoucemere nel	-----|-⌫|----|---|-||
opasa decoiure	|--||-------|
monfrereesause	--|----|---|-|
uos meuole z croire	--|-|----⌫|-----|
ai nz so uff ro nsqueilface s on	--⌫-|--⌫---⌫--⌫-|--|-|---|-⌫-|
mangie ret sonbo ire	------⌫|-|--|--⌫--|
m iex uoldroie	-⌫--|-------|
estremorzounoie zenz eltoiu re	----|---|-|----⌫|--|-|----⌫-|
quepo rbeneicommaleico nr ecoiue	--|--⌫|-------|-------⌫|-⌫-----|
enfe r s ontp ullentes aboire	----⌫|-⌫--|-⌫-------||----|
m aisneporqan tma mere n e	-⌫--|--------⌫|-|---|-⌫|
te cor recer ai	-|---⌫-----⌫-|
mas norrit outtoncommant ferai	|-|----|-⌫--|--|------|----|
lech euroelli	-|--⌫-----|-|
etd isttoutprestles ai	-|-⌫--|---|----|--|-|
orfai tostle	-|--|---|-|
mangi e retieliporterai	-----⌫-⌫|-|-|-|-------|
uolen ti e rsb iausc hiersfi zetie	-----⌫--⌫-⌫-|-⌫---|-⌫----|--⌫|-|-|
l apr est era i	|---⌫---⌫---⌫|
doumill oruin queiaie aboiure	--|----⌫-|--|--||--||-----|
don c a pelaiacob qant lotapar illi é	---⌫|-⌫---|----|---||-|----⌫----⌫-|
d e la pel dou	-⌫|-|--|--|
cheu ro elli alecollié	----⌫--⌫-|-||-|--|---|
nes le sdra s es auliaelebaillie ́	--|--⌫|---⌫|--⌫-|-||--|-------⌫|
etce queil	-|-|--|-|
consillié	---------|
ors enuada n ziacobdon éli	-||-|-|--⌫-⌫|----|---⌫-|-|
qantil uin t asom perem oltla	---|-|---⌫||--|---|-⌫--|||
be le s uillie ́	--⌫|-⌫-⌫------⌫|
biaus per e squ i iestu	----|---⌫-⌫|--⌫|--|-|
iesuitesf izpr emiers	-|--|--|-⌫-|--⌫-----|
et q ueuoes	-|-⌫-|---|
tub ia usf izia	-|-⌫--⌫-|-⌫-|-|
esttesmangie rs	--|--|------⌫-|
receuezlebi aupere q ueielfazuolentiers	------|-|--⌫-|---|-⌫-|-||--|---------|
commen tl sitostdiex	------⌫||-|---|---|
sot quilfu	--|-|-|-|
ce est chars deche ur oel quetantaseuschiers	-|--|----|-|---⌫--⌫--|--|---|-|--|-----|
et a ta uolenteenestfezl i	-||-|------|-|--|--|-⌫|
m aniue tost biaus peres lem a n gi erque	-⌫----|---|----|----|-|-⌫-⌫-⌫--⌫-|--|
m er ueil d etoideqoiie	-⌫--⌫---|-⌫|--|-|--|-|
commentsitost est prestpar foiie	------|-|---|--|----|--|--|-|
por t abenei co n	--|-⌫|-----⌫--⌫|
queaperdredoutai	--||-----|-----|
or me done a	-|-|---||
mangieretielatedon rai	------|-|-|-|-|---⌫--|
aboi u reet	|---⌫-⌫-|-|
puissimemorrai	---|-|-|-----|
deuantl i peresen mania	-----|-⌫|----|-|----|
qant otbe udou uin	---|-|--⌫|--|--|
docement lap ela	-------||--⌫--|
cauien amoibiausfiziacob	-|---||--|----|--|----|
ler e douta	-|-⌫-⌫----|
ab ai ssetoi u ers	--⌫--⌫--|--|-⌫--|
moima m ain s tetastera	--|-|-⌫---⌫|-|------|
iesesauquitantio rseruima	--|---|--|---|--⌫|----|||
q antiet auraitasté	-⌫--|-||----|-----|
tebenistra	-|-------|
dontco mm enc aiacob form en taredo u ter	---|--⌫--⌫---⌫|----|----⌫--⌫||----⌫-⌫--|
qant o iquesesperes	---|-⌫|--|--|----|
leuoloit tastoner	-|-----|-------|
de lui leco lli	-|--|-|--⌫|-|
qantlesenti peluprist lou aacoler	---|-|----|---|----|--||-----|
iestuceesaupas	--|-|-|---|--|
nelmedoizceler	-||-|---|----|
oiluoirpas noucroi nel	--|---|--||-|---|-||
sambl esau parler	-----⌫-|-|-----|
