ormec ouient telcose	-|-|-⌫-----|--|---|
kidewef ure nts o ffreceus	-||--|-⌫---⌫-|-⌫-⌫-------|
maisilauint doucuisinn ier	---|-|----|--|-------⌫--|
celuiquigardoitle m eng ier	----|--|------|-|-⌫---⌫--|
quilotsafo rcerecouree	-|-|-|-|--⌫--|-------|
au pucsenuin tlamatinee	-|--||-|---⌫|-|------|
simenoitzz asneespaigno is	-|-----|-|---|--------⌫-|
etcompa ignonsde	-|-----⌫-----|-|
aupucenu ienent	-|--|-|-⌫-----|
tr estoutliyy comp aignon	--⌫-----|-|-|----⌫-----|
acouplenta lap olie	--------||-|-⌫---|
quide trairepasnesoub lie	--|-|-----|--|-||---⌫--|
li renduleuontmoultferant	-|----|-|---|----|-----|
asnes f orm enttirant	----|-⌫---⌫--|-----|
queil nepue tn auan tn	--|-|-|---⌫||----⌫||
neporcose queo n	-|--|---|--|-⌫|
l e f iere	-⌫|-⌫---|
qua ntzz rendussesta poiés	---⌫-|-|-----||--|-⌫-----|
quideleslepu ssestcou ci és	--|-|--|-|--⌫||--|---⌫--⌫--|
si pr entdede nsa regarder	-|--⌫--|----⌫-||-------|
etysengr in	-|------⌫-|
asautresdistqu e	-|-----|---|--⌫|
faitesuous	-----|---|
pereg lor io us	---|-⌫---⌫--⌫-|
ceestzzleusque uous	-|--|-|---|--|---|
uou stousesmaie ́s	---⌫|---|------⌫-|
si sen queurenttout en ma iso n	-||-|-------|---|-|--⌫---⌫|
plus que le pas	---|--|-|--|
nele troton	-|-|-----|
ma isl apolieontatachié	--⌫-|-⌫|----|--|-------|
ysengri nss ueffr egra nthascie	-------⌫-|-⌫-----⌫|---⌫-|-----|
l ifrereapelent lesserians	-⌫|----|------|--|------|
partensie rt ysengrin s dolan s	--|---|--⌫-|--------⌫|-----⌫|
liabesprent une macue	-|---|----|--|----|
quimoultestoitgrans e tco rn u e	--|----|-----|----|-⌫|--⌫--⌫-⌫|
etli prieus zzchandelier	-|-|-----|-|---------|
ilne reme st moisneou	-|-|----⌫-|-----|-|
qui nep ortast bastonupel	--|-|-⌫-----|-----||--|
t ot s ont issu d elor ostel	-⌫-|-⌫--|---|-⌫|--|----|
aupuc e mprenn enta	-|--|-⌫|-----⌫--||
saprist re ntde ferir	|------⌫--⌫-|-|----|
lasne f on t	|---|-⌫--⌫|
traire qui la	-----|--|-|
et i l li aid en t paruertu	-|-⌫|-|---⌫--⌫|--|----|
se lleuint a riue	--⌫--|---||---|
y seng r insn a t e ntnul letriue	-⌫----⌫-⌫--||-⌫-⌫-⌫-|---⌫-|----|
zzsautafaitmou ltauenant	-|---||---|---⌫-|------|
etligaignonleuont siuant	-|-|------|-|---|-----|
descirentl ison pelicon	--------|-⌫|--|------|
amonten uolentlifloc o n	----|-|-----|-|----⌫-⌫|
etlirendulontatrapé	-|-|----||--|------|
quilontmo ultdurem ent frapé	--||--|--⌫--|-----⌫--|-----|
lilefie rtparmi les rains	-|-|---⌫-|----|--|----|
ysengrinsest	--------|--|
e nmalesmains	-⌫|----|----|
iluecses t y yfoispasmés	----||--⌫|-⌫|---|------|
moult parestgrain s e tadolés	----|--|--|-----⌫|-⌫|------|
ilestco uch iés	-|--|--⌫---⌫---|
iluequ es faitsamblant demort	------⌫-|---|-------|-|---|
atantestesuousle	----|----|---|-|
cuidieusauoitgrant deshonor	--|----|----|----|-------|
ilmet sam aina son coutel	-|--|-|-⌫--||--|-----|
sie nuoloitpre ndre	-|-⌫|-----|---⌫---|
tousestoitpres	---|-----|---|
d el acorer	-⌫||-----|
quantl ab e s di stlassiez ester	----||--⌫-⌫|--⌫-|------|----|
asses asapeldep e ci e	----||-|--|---⌫-⌫--⌫|
etsofferta	-|------||
morte lhassie	-----⌫|-----|
nef e ramais anuluiguere	-|-⌫-⌫-|---||----|----|
est cestet erre	--|----|-⌫---|
torn o nsnou sen tl ass ie ́sleeste r	----⌫-⌫-|---⌫|--⌫|-⌫---⌫--⌫-|-|----⌫|
ilnese n ata lentd	-|-||-⌫||--⌫---||
cas cunsrendus a prissonpe l	---⌫---|-----||---|--|--⌫|
sisen r e torn ental	-||-|-⌫-⌫----⌫--|||
y sengri nsuoitnianu lu i	-⌫------⌫-|---||||--⌫--⌫|
qui a s offertsigrant anui	--||-⌫-----|-|----|---|
sueffregranth aschie	------|----|-⌫-----|
lacr upe brisie	-|--⌫--|-----|
azzbussons e nest uenus	|-|-----||-⌫|--|----|
ertsesc reponsbatu s	--|--|-⌫-----|----⌫|
q ueilnesepuetremuer	-⌫-|-|-|-|---|-----|
d euantluiui t sonfi l	-⌫----|--|--⌫|--|--⌫|
dem andaentresait	---⌫---|--------|
biauperezquiuousa	---|----|--|---||
biaus fil srena rs quim	----|---⌫|----⌫-|--||
quiparsonbarat m a trahi	--|--|--|----|||----|
enzz pucmefist tre buchier	-|-|--|-|---|---⌫------|
neme p orraiiama isaid ier	-|-|-⌫----|----⌫-|---⌫--|
qu antcilsloi	--⌫--|---||-|
moultsenaire	----||-|---|
dieui ureq uisoffrimarti re	---|-⌫--|-⌫-|-----|-----⌫-|
seilaspuin slepue ttenir	-|-|-|----⌫|-|---⌫|----|
il lifera son gi eupuir	-|-|---|--|--⌫-|---|
s e ielet iengieuouspl euis	-⌫|-|-|-⌫---|-|---|--⌫---|
kil nemes tordramieuis	|-|-||--⌫-----|--|--|
q uideuant moicroissima	-⌫-|-----|--|------|-|
e t compissa mo ietmonfrere	-⌫|-------|--⌫|-|--|----|
ma isie l en rend raiguerr edon	--⌫-|-||-|----⌫--|-----⌫---|
atantsenentra ensaterre	----||-|----|-|-|----|
ysengrinset fa it	--------|-|--⌫-|
mirr e s querre	----⌫-⌫|-----|
quid elu ises ont entremis	--|-⌫|--⌫|-|-⌫--|-------|
auoe c lu ifure nt	----⌫|--⌫|----⌫-|
partantdis	--|---|--|
quil liontmeci ne donee	-|-|-|--|----⌫-|----|
forceot recouree	----|-|-------|
ysengri ns e s tetgrans e t	-------⌫-|-⌫-⌫|-|----|-⌫|
sedansrenarspasse	-|---|-----|----|
et cius letruist	-|---|-|-----|
de d e n ssamarch e	--⌫-⌫-⌫-⌫|-|-----⌫|
sachiésqu	-------|-|
illiferadamaige	-|-|---|------|
