multay usécum pechere	---|-|---|--|------|
kepar ce st anel que	-|--|--⌫-|---|--|
i ciuusmusterum	-⌫-|--|-------|
sysissumedmu nd	-------|----⌫-|
uostr e f iz	-----⌫|-⌫-|
del rea lmeedesape ntiz	--|---⌫--||--|---⌫---|
deestanglee detutle	-|-------||-|--|-|
cumilmiel z	--|-|----⌫|
loutquant il fuuifs	|--|----|-|-|---|
sonceptre esacorunede or	--|-----||-|-----|-|-|
saueisseleetut	-|-------||--|
son treisor	--|------|
nus adreysoff ecomand é	--|-|---|---⌫|------⌫-|
que a uostre fizseit tut	--||-----|--|---|--|
uncorei a d enleserement	-----||-⌫|-|-|-------|
ee nfiance sens e ment	|-⌫|------⌫|---⌫-⌫---|
quene poeum passui ourner	--|-|----|--|---⌫-----|
neen ce stpa isdemurer	-|-|--⌫-|--⌫-|------|
forssoul ementune quinzeyne	---|----⌫----|--|--------|
ededen z celtermedeme yne	|-----⌫|--|----|----⌫--|
d euum uo str e fizm ettr ee nmer	-⌫---|--⌫---⌫|--|-⌫----⌫|-⌫|--|
e ene st angle	|-|-⌫--⌫----|
od nusamener	-|--|-----|
siuent no stre eirenedesla ie	-|---|--⌫---|---|-|-----⌫-|
detantnusportailmanai e	-|---|--|----|-|-----⌫|
li reisr espont seneschalmestre	-|---|-⌫-----|--------|-----|
ceokeuu s di tesneputestr e	--|-|--⌫|--⌫--|-|--|----⌫|
karnelot reiereiemye	--|-||--⌫-------|--|
deedmund monfi z	-|-----|--|--⌫|
ladepar tie	-|-----⌫--|
pur tutlaue irceoestla summe	--|--||---⌫-|--|--|-|----|
ke stdesessoyn ed e skea rumme	|-⌫-|-|-------⌫|-⌫-⌫--||----|
n eotrier ayleseur er	-⌫|------⌫-|-|----⌫-|
nese feiterementmener	-|-|----------|----|
demoy monfiz edm und	-|--|--|--|---⌫--|
nel fer e ypur tutlemound	-||---⌫-⌫|--|--|-|----|
mu lt fuprodomm eles eneschal	--⌫-|-|-------⌫|-|-⌫-------|
sag e qu einteebon	---⌫|--⌫----||--|
rei fe til	--|--⌫|-|
ne tepasmeruayle	-|-|--|-------|
meis prenezuus autrecons ayle	---|-----|--|----|----⌫---|
si uusle deuezret enir	-|--|-|----|---⌫---|
deyueof nusuenir	----|-|--|----|
paragarddecri stiente	--|----|-|---⌫------|
si hommelagarde	-|----|-|----|
b ienil deituenir sirrey	-⌫--|-|---|----|--|--|
euussay biendi repurquey	|--|--|---|--⌫-|--|---|
pursauuernostre s ereme nt	--|-----|-----|-⌫-----⌫-|
en os fiancese nsement	|-⌫-|------|-⌫------|
pu r lien gage	--⌫|-|-|---|
g rantdoel sereite grant damage	-⌫---|---|-----||----|-----|
ketanz edeteleparente	-|---||-|---|------|
cum nussumesdampn é	--|--|----|-----⌫-|
pu rleueni repur	--⌫|-|----⌫||--|
d unenf ant iesque ultremer	|-|---⌫--|-----|----|--|
ereuenistquantil uoldr eit	|-------|----|-|-----⌫--|
ianulh om menel cu ntrees te reit	-|--|-⌫--⌫-|-||--⌫------⌫--⌫---|
quilnepust	-|-|-|---|
kant ilu oldra a sonpl eysir	---|-|-⌫----||--|--⌫----|
es tenplusurspu rpen s	--⌫|-|------|--⌫----⌫|
sisepurpense enplusurs	-|-|-------|-|------|
si lesdite st r useement	-|--|--|-⌫--⌫-⌫-------|
kel e nfa nt neameneruntnien t	-||-⌫---⌫-|-|--------|----⌫|
e nepurkan t a	|--------⌫||
l a parfi n	-⌫|-----⌫|
del ach amb reistlechiefenclin	-|-⌫|--⌫---⌫-|--|-|----|-----|
uienterraument	----|--------|
sisest asise ntre s a gent	-||--|---|-⌫---|-⌫|---|
seserceuesquesadma ndez	--|----------|-|--⌫---|
s eseu esqueseses abb ez	-⌫-|--⌫-----||--|---⌫-|
cunt esbarunse sesprinciers	----⌫-|-----||--|--------|
euauasoursechiualiers	|--------||---------|
cunsei le lesad	------⌫-|--|-|
deceoqueoffeliaueit	-|--|--|---|-|----|
laparolelesadmustree	-|-----|--|-|------|
dec hie fenchiefcumes t	-|-⌫---⌫|-|----|--|--⌫|
reis off esoncosin	---|---⌫|--|----|
kantilmurust e treit	---|-|-----||----|
co nsili ersplus priue z	--⌫-----⌫--|---|-----⌫|
fur entd e liamez	---⌫--|-⌫|-|---|
son fizedmundreq u is	--|--|-----|---⌫-⌫-|
kilseitrei enson	|-|---|--|-|--|
en e stangle ouil	-|-⌫------|-|-|
eduntilsi ree	|---|-|--⌫-||
elireiof fealidoune	|-|--|--⌫-||-|----|
sonce p tredeo res a corune	--|--⌫-⌫--|-|-⌫||-⌫|-----|
son ue ssel dargent	--|--⌫---||-----|
esonaueiresont reso r	|--|----||--|-⌫----⌫|
e siad m ystutesa	|-|-|-⌫-|---|-|
p ar fiance	-⌫-|-----|
epar se rement	|--|--⌫-----|
quilof elsle ameneru n t	-|-|-|--|-|-------⌫-⌫|
enestangleereileferunt	-|-------||--|-|-----|
uncoreiadescouenan ces	-----||-|-|-------⌫--|
es eremente en fiances	|-⌫------||-|------|
k ilnepoe nt pur	|-|-|---⌫-|--|
nul epeyne	---⌫|----|
c isuiournerk eu nq uinze yne	-⌫|--------|-⌫|-⌫|-⌫-----⌫--|
nes anzm onfiz passe r	-|-⌫--|-⌫-|--|-----⌫|
neult recel	-|---⌫-|--|
termeciest er	----|-|---⌫-|
cesteauenturemeadmandé	----|-------|-|-|-----|
o ffe parsagentpl us	-⌫--|--|-|---|--⌫-|
parseslettreseparson	--|--|------||--|--|
ke lire ai	-|---|-|
f eitdechiefenchi ef	-⌫--|-|----|-|---⌫-|
ensegnesdel	-------|--|
mustraa len fant	-----|-⌫|--⌫---|
kantdeli sen	---|-|-||-|
de cest p ais	-|---|-⌫--|
ou suiou rna	-|-----⌫--|
estoet uifconseileauer	-----|--|-------|---|
dem onfizfere rema ne ir	-|-⌫-|--|---|----⌫--⌫-|
e de ce smes sage r ssauu e r	|-|--⌫|---⌫----⌫-⌫|----⌫-⌫|
desfiance sed el u ouer	--|------⌫||-⌫-|-⌫---|
segnurspur dieuoreenpense z	------|--|---|--|-|-----⌫|
kileshonu rsd e	-|--|----⌫-|-⌫|
deceste chose t raireachi ef	-|----|----|-⌫----||---⌫-|
medonez uifco nseile bref	-|----|--|--⌫----||---|
deso rdenezt utli pluss age	--|-⌫-----|-⌫-|-|---|-⌫--|
li plus s enezdegreinurage	-|---|-⌫---|-|------|--|
ki plusoutoye u eu	-|---|--|-||-⌫-|
unta lrey dist e r e spundu	--|-⌫|--|---||-⌫-⌫-----|
sir r eisanusentendez	--|-⌫--||--|-------|
conseil nus demandez	------|--|-------|
kantsurnusest	---|--|--|--|
le con seil	-|---⌫---|
nusuusdirrumnostreauys	--|--|-----|-----|---|
offertuusad multgrantamu r	-----|--|-|---|----|---⌫|
offeli reise g ranthonu r	---|-|---||-⌫---|----⌫|
kant edmu nduostrefiz fetheire	---|----⌫-|-----|--|--|----|
deson realmee	-|--|-----||
duntsire fu	---|---|-|
quan t ilfu uifs	----⌫|-|-|---|
eencest seclep oest ifs	|-|---|----|-⌫----⌫--|
le realmehautementdoune	-|-----|--------|----|
a uostre fizelaband ou ne	|-----|--|||-----⌫--⌫-|
parsesconseilersplusp riu ez	--|--|---------|---|-⌫---⌫-|
kip luserentd e liamez	-|-⌫--|----|-⌫|-|---|
pluss u nt poe stifs	---|-⌫-⌫-|---⌫----|
enlerealm ee en lepais	-|-|-----⌫||-|-|---|
ekitutuntla	|-|--|--|-|
ele sferme tezenbaylie	|--⌫|-----⌫--|-|-----|
grant lealteles	----|-----|--|
fist feire	---|----|
kant par c ifes e ient lur repaire	---|--|-⌫|---⌫-⌫---|--|------|
feyl ealte egra ntamur	--|-⌫----||---⌫-|---|
untporte ́uerslursegnur	--|-----⌫|---|--|-----|
f et esreisce o ke uus	-⌫--⌫-|---|--⌫|-|--|
ia neuusforconsei l e rum	-|-|--|---------⌫-⌫-⌫--|
treisbons niefs co man dez	----|---|----|--⌫---⌫--|
lesplus riches deuostreter e	--|---|-----|-|-----|---⌫|
sifetesmettres anzfaile	-|----|-----|-⌫--|----|
ase zg u arisune uitaile	---⌫|-⌫-⌫-----||------|
e m ultseient bien	|-⌫--|-----|---|
erichementaparayl ez	|--------|-------⌫-|
simette zpur	-|-----⌫|--|
l e snie fs	-⌫-⌫|---⌫-|
sauuement condoire	--------|-------|
mari ners b onsq ueinte se sages	----⌫---|-⌫--|-⌫------⌫||----|
ketuzcon usent les riuages	-|--|---⌫----|--|------|
e dela mers eient apris	|-|-|--|-⌫----|----|
desque enesta nglelepais	-----|-|----⌫---|-|---|
donezmultl argemen t	----|---|-⌫-------⌫|
r ich es dra s	-⌫---⌫-|---⌫|
eoreargent	|-||-----|
sifete sliue reras uassals	-|----⌫|----⌫--|-|------|
bel es a rmese bons chiuals	---⌫-|-⌫---||---|------|
e uostrefiz les comande z	|-----|--|--|-------⌫|
elursseremenzenpernez	|---|-------|-|-----|
ke lealmentlis eruirunt	-|-------|-|-⌫-------|
esauuemen t le	|--------⌫|-|
en boiseplai ns	-|---||----⌫-|
eenz e hors	|--||---|
cumememesu ostre cors	---|----|-⌫----|---|
euintch iualerseslisez	|---|--⌫------|------|
desmeliu rse	--|-----⌫-||
despluspresez	--|---|-----|
delam esn eyoffe lerey	-|-|-⌫---⌫-|---|-|--|
ki purtunfiz u ienent	-|--|--|--|-⌫-----|
kantces ui ntauerezes liz	---|--|--⌫-|-----|--⌫--|
si lescomand ez uostr efi z	-|--|------⌫-|-----⌫|--⌫|
l iuerez le sl uneni efde	-⌫-----|--⌫||--|--⌫-|-|
e nautres deusseient lu r her neys	-⌫|-----|---|-----|--⌫|---⌫---|
sis enalgent b al deseur	-||-|-----|-⌫--⌫||---|
dreitenestangl e abeneur	----|-|-------⌫||-----|
siseituostrefiz	-|---|-----|--|
euusreiesire de	|--|--||---|-|
uos regnesaiezencomune	--|-----|---|-|-----|
m ielzualent deus realmesqueune	-⌫---|-----|---|------|--|--|
son pere estes iluos t refiz	--|---|----|-|---⌫-⌫-|--|
ne poezpa s estr e	-|---|--⌫|----⌫|
nul n euuspu tferel uintei ns	--|-⌫|--|--⌫|---|-⌫------⌫-|
kanttantestespar enz procheins	---|---|----|---⌫--|--------|
mal ait soncors detut	--|--|--|---|-|--|
kilepartir deuus	-|-|-----|-|--|
cil es tdepartia	--|--⌫|------||
kipe reem ereeses	-|--⌫-||-⌫--||--|
deguerpiste sa ueie ti ent	---------||-|---|--⌫--|
e ia mesapres	|--⌫--|----|
sinestil mye	-||--|-|--|
r eide uus	-⌫-|-|--|
assezest es	----|---⌫-|
procheinsp1-3 andeus	--------|---|-----|
k arkantuusleuoldrez	-⌫-|---|--|-|------|
eson contenementsaueir	|--|----------|-----|
ne uu sest utforspas ses m er	-|--⌫|---⌫-|---|---⌫--|-⌫-|
ea leysir ofli parl er	||-----|-|-|----⌫-|
ekantuusuoldrezreue nir	|---|--|------|----⌫--|
r eue nezauostre	-⌫---⌫--||-----|
e uostrefiztutensement	|-----|--|--|-------|
uu sp oezuenirueirsou e nt	--⌫|-⌫--|----|---|---⌫-⌫-|
sanzgranttr auaile esanzaha n	---|----|--⌫-----||---|---⌫|
une fezou deusen	--|--|-|---|-|
issi sauuerez ceste gent	---|-------|----|---|
des fiancesd else rement	--|------|-⌫-|--⌫-----|
kilfe se ien t	|-|--⌫--⌫---⌫|
a uostreco s in	|-----|--⌫-⌫-|
sumesauu senc lin	----||--⌫|---⌫--|
si sum e stutuost refe eil	-|---⌫-⌫|--|----⌫-|--⌫--|
kidesdi raicestc onseil	-|-----⌫-|----|-⌫-----|
n aiyme pasuusneuo strefiz	|----|--|--|-|--⌫---|--|
tuzsegre entgranz e petiz	--|-|---⌫--|----||----|
e dient t uz	|----|-⌫-|
bienesta f eire	---|--||-⌫---|
nesedeitpas	-|-|---|--|
lereiditq u eceo nertia	-|--|--|-⌫-⌫|--||--|-|
iadelin edepartira	-|-|-|-⌫|--------|
son fizedmun d netantne quant	--|--|-----⌫|-|---|-|----|
kilplusay mekeri en	|-|---|--⌫-|-|--⌫-|
ta ntcum liclerce lilettré	--⌫-|--|-|----||-|------|
li p lus s agel iordené	-|-⌫--|-⌫--|-⌫|------|
lirich e c unte elibar un	-|----⌫|-⌫---||-|---⌫-|
sunten celegrantcontenciun	---|-|---|----|---------|
este uus en	---|--|-|
lasaleatant	-|---|----|
pruze uaylant	---||------|
romaynefuderomenee	------|-|-|---|--|
seinte dame sageesenee	-----|---|---||----|
uedueerten presso n	----|--|--⌫---|--⌫|
sifudoneealcreatur	-|-|----|-|------|
d ieu sl aueit	-⌫---⌫||----|
debien replenie	-|---|-------|
k emeinteboneprofecie	-⌫|-----|---|-------|
diseitladame q uipusf ur ent	-----|-|---|-⌫-|--|-⌫--⌫--|
trouezueire s	-----|-----⌫|
cumestredurent	--|----|-----|
ladameertmult	-|---|--|---|
aquent ealrei	------⌫|-|--|
ea lgentque	|-⌫|---|--|
au eito fs ei	--⌫--|-⌫|-⌫-|
enlacitederome	-|-|---|-|---|
karaleziesteitli reis	--|---||-----|-|---|
ence isq ue	----⌫-|-⌫-|
edmundfuengen dre ́	-----|-|-----⌫---⌫|
son fizi fu lere i ale ́	--|--||-|-|--⌫|---⌫|
eno reisunsh orsdesa	-|-⌫------|-⌫--|-|-|
sei ntperede romerequer e	---⌫-|---|-|---|------⌫|
karcustumeesteitaceliour	--|------|-----||--|---|
ke reiduce	-|--|--||
sesoleientmettr een leueiage	-|-------|-----⌫|-|-|-----|
deseintpereenpelrinage	-|----|---|-|--------|
netienentplaitderichehomme	-|------|----|-|----|----|
kineustes té	-||---|--⌫--|
dame duntparl um	---|---|----⌫-|
nusp a rlance	--|-⌫-⌫-----|
aueita romem ultser ui	----||---|-⌫--|---⌫-|
esagentautresi	|-|---|------|
e enue y émeint belpresent	|----⌫-⌫-|----|--|------|
e f eitem eintbelpres ent	|-⌫---|-⌫---|--|----⌫--|
e souentodlereipar l out	|-----|-|-|--|---⌫-⌫--|
ta nt c um lireissu iournout	--⌫-|-⌫-|-|---|--⌫-------|
lereiaueit ladamechere	-|--|----|-|---|----|
lamadegrantmaner e	|--|-|----|-----⌫|
pursonsenepurson s aue ir	--|--|--||--|--|-⌫---⌫-|
e purceoquele diseitsiueir	|--|--|-|--|-----|-|---|
quelireisd ema ndeit	--|-|---|-⌫---⌫----|
so uen t esprouélaueit	--⌫---⌫|-------||----|
purle conse il q uee ntr els	--|-|-----⌫-|-⌫-|-⌫--|--|
ela pri ueetequ	|-|---⌫----|-|
il aue ien t	-|---⌫---⌫|
e nerent esbay plusu rs	-⌫|----|----|-----⌫-|
ed iseientqueceoert amurs	|-⌫------|--|--|--|----|
maisce odesdisei t lur	---|--⌫|--------⌫|--|
ke l a dame ert de g rant ag e	-|-⌫|---|--|-|-⌫---|--⌫|
a l dep ar tirque l ireisdut	-⌫|---⌫--⌫--|--|-⌫|---|--|
equil uerss on p ais se s mut	|-|-|---|-⌫-|-⌫--||-⌫-⌫--|
outfetsonueiage	--|--|--|-----|
purdieu enpelrinage	--|---|-|--------|
siuintl adam ea ldeseurer	-|---|-⌫|---⌫|-⌫|-------|
adepar tir	|-----⌫--|
oflereiparler	-|-|--|-----|
cumla d ameentrer d eue it	--|-|-⌫--|-----|-⌫---⌫-|
enlacha mbre oulerei	-|-|---⌫---|-|-|--|
auis lifut queuneflamb egrant	---|-|--|--|--|-----⌫|----|
cumceofutde feuardant	--|--|--|-|--|-----|
s enissithors delpizalrei	|-|----|---|--|--|-|--|
ketelclaretegett outde sei	-|--|------|----⌫--|-|--|
cum c eofut reisde sole ile	--|-⌫-|--|---|-|----⌫--|
kantm atinsurte nes tuer meile	---|-⌫---|---|-⌫|--⌫|---⌫----|
auislifuque	---|-|-|--|
le reissetendi	-|---|-|----|
ke hors delpiz le reiissi	-|---|--|--|-|--|---|
parm yles nues	----⌫|--|---|
tutdefrunt	--|------|
iesqu alsouere inc ielamunt	----|-|------⌫-|-⌫--|----|
decelraikatre	-|--|--|----|
rais i sseient	---|-⌫------|
keenquatrepar z	-|-|-----|---⌫|
seestendeien t	-|----------⌫|
le un amuntuersorient	-|-|----|---|-----|
autre uer soccident	----|---⌫|-------|
eletierce d e uersme di	|-|-----|-⌫|---|--⌫-|
le quartue r snorth seest end i	-|----|--⌫-⌫|----|-|---⌫---⌫|
lirey les ui stsisees bay	-|--|--|--⌫-|-|-|--⌫--|
eladametut autresi	|-|---|--|------|
nestmerueylesi seesba ierent	|--|-------|-|-|----⌫-----|
kan ticelmerueyle uire nt	---⌫|---|-------|----⌫-|
meisl ad amefuqueintee sa ge	---|-⌫|-⌫--|-|------||--⌫-|
sifist semblant ensoncur age	-|---|-------|-|--|---⌫--|
sicumelenel	----|--|-||
ka nt lacl ar tefuesuanye	--⌫-|-|--⌫--⌫-|-|------|
li reysodla da me parla	-|---|-|-|--⌫-|----|
con gead priss isenal a	---⌫-|-|---|-⌫||-|--⌫|
purcesteaue nture	--|----|---⌫----|
uintla bonedame rom eine	---|-|---|---|---⌫---|
alreydes essoyneen	-|--|-|-⌫------|-|
ki entendeit a	-|--------||
labo soyne	-|--⌫----|
o usa cureenforcir	-⌫|-|---|-------|
deedmund sonfizfeire	-|-----|--|--|----|
k an tladame	-⌫--⌫|-|---|
fudescendue	-|--------|
e enl a curtealreyueneue	|-|-⌫|----|-|--|-----|
enl apresenc elerey ses tmi se	-|-⌫|-------⌫|-|--||--⌫|--⌫-|
etut d r eit deuant	|--|-⌫-⌫--|-----|
issike un kesne	---|-|--⌫--|-|
ne derienn elareisna	-|-|---|-⌫|-|-----|
ne be lsembla ntnal i	-|--⌫|------⌫-|||-⌫|
f eresoleit	-⌫--|-----|
lireyslaagar deelac o nut	-|---|-|----⌫-||-|-⌫-⌫--|
sisemerueylec um	-|-|-------|-⌫-|
dame i fuuenue	---||-|----|
eke ceodeit queelenel	|-|--|---|--|--|-||
epurqueieke	|--|---||-|
k es i murnechere fese i t	-⌫|-⌫|----|----|----⌫-⌫|
sileapella	-|-|-----|
multlacheriehonura	---|-|----||-----|
silad deiuste	-||-|-|----|
emultdoucementlad requise	|---|--------||-|------|
kelelidie m aintenant	|--|-|--|-⌫--------|
purq ueyfeseit murnesemblant	--|-⌫--|-----|----|-------|
ede li se tr eaarier e	|-|-|-|--⌫-|-----⌫|
sachez feti l ma	-----|--|-⌫|-|
keieon ay s i chera ueir	-|--||-|-⌫|---|-⌫---|
siuusl e uoldriezaueir	-|--|-⌫|-------|----|
seit dameab andoné	---|---|--⌫------|
t re st uta	-⌫--⌫--⌫-||
uo streuolen t e	--⌫---|-----⌫-⌫|
rei sfetele ceo saiieobien	---⌫|--|--|--|--|--|---|
meisde tutceo	---|-|--|--|
i eo ne uinchpasences te	-⌫-|-|----|--|-|---⌫-|
pur tresor nepurau eir quere	--|-----|-|--|--⌫--|----|
as sez en ayladieu merci	--⌫--|-|-|-|---|----|
m eis reyie osuuenu eci	-⌫--|--|--⌫|-|----⌫|-|
num ementpur u usueir	---⌫----|--|-⌫-|---|
uostr eou realqu ess auei r	-----⌫|--⌫-|----⌫-|-⌫----⌫|
kara ut rech ose sir re y	--|-⌫--⌫-|--⌫--|--|--⌫|
qu iday enuuske i eone	--⌫---|-|--|-|-⌫-|-|
di re comen t	--⌫-|-----⌫|
a romefustes ueirement	|---|-----|--------|
enurisuns purdieuseruir	-|------|--|---|-----|
euospechiezespeneir	|--|------|-------|
ie oparlai	--⌫|-----|
econsel aibonement	|------⌫-|-------|
d e dieuamerde dieuseruir	-⌫|---|---|-|---|-----|
esurtutr ie nobeir	|--|--|-⌫--⌫|----|
kan taleruusen deuere z	---⌫|---|--|-|------⌫|
enceis queuusen	-----|--|--|-|
i uinch i eoreysauo stre	|----|-⌫-|---||--⌫---|
priue mentauusparler	-----⌫---||--|-----|
sicumie oenlachambreentrai	-|--|--⌫|-|-|------|-----|
mefutauys queieoueiun	-|--|---|--|--|--|-|
degrantclar te clereue rm e i le	-|----|----⌫-|---||--⌫--⌫-⌫-⌫-|
cumc eofutreyde so leile	--|-⌫-|--|--|-|--⌫----|
horsdeuostrepizreissaliir	---|-|-----|--|---|-----|
amunt al cielpar granth air	----|-|---|--|----|-⌫--|
de ce l raiquatre rai s eissirent	-|--⌫|--|-----|---⌫|--------|
kien katre	-|-|----|
par z sesp andirent	---⌫||---⌫-------|
ameruey le m e nes bai	|------⌫-||-⌫|--⌫--|
kantieoc elemerueileui	---|--|-⌫--|-------|-|
e uus sirreid esess oyne	|--|--|--|-⌫|----⌫---|
enus tes purmeyuerguyn e	-|--⌫--|--|--|-------⌫|
meis ieon i fisunkesem blant	---|--|-⌫|--|---|---⌫----|
ke ieoliuis	-|--|-|--|
tantn ekant	---|-⌫|---|
multleai celérey longment	---|-|-|----|--|-------|
karieoq uidoueueirement	--|--|-⌫-----|--------|
esilaueie es perme n tee	|-|-|---|--⌫-----⌫-⌫--|
kedi eusqui	-|--⌫--|--|
estuerei clarte	--|----|-----|
u ereilumer eue rei solaile	-⌫---|----||--⌫--|------|
parsa grac e e parson consa ile	--|-|----⌫||--|--|-----⌫--|
uusmuntast	--|------|
enmultgranthaltesce	-|---|----|-------|
en grantpus sance ee n	-|----|---⌫----||-⌫|
rich e sce	----⌫-⌫--|
ek e dieusuusdonast tel h eir	|-⌫|----|--|-----|--|-⌫--|
ki parsonsen e son	-|--|--|--||--|
munt as t ensigrant poest e	----⌫--⌫|-|-|----|-----⌫|
ketutl e mound en fut	-|--|-⌫|----|-|--|
ek i cristienteam a st	|-⌫|---------|--⌫-⌫-|
emaintenist	|---------|
e enhalceast	|---------|
oukedieusu us donast	-|-|----|-⌫-|-----|
d e alere nestr ange re gio u n	-⌫|---|-⌫|----⌫---|--⌫---⌫-⌫|
do untuostre honurf ut mi elzcruz	--⌫--|-----|----|-⌫-|--⌫--|---|
euostrenounfustpluscremuz	|-----|---|---|---|-----|
lemiraclek enus	-|------|-⌫|--|
reyskant arome depart im es	---|---||---|------⌫--⌫-|
si estmult grantsi gnifia nce	-|--|---|----|--⌫------⌫--|
deha lt esc eede grantpussan ce	-|--⌫--⌫---⌫||-|----|------⌫-|
oudeglor i ecelestien e	-|-|----⌫-⌫|---------⌫|
ou de g ranthonurteriene	-|-|-⌫---|----|------|
k edeuereitauenirpuru eir	-⌫|-------|-----|--|-⌫--|
uostre heir	-----|---|
uusnesauezkec eo iert	--|-|----|-|-⌫-|---|
meiso reueibienipert	---|-⌫-|--|---||---|
ke uus este suers dieuenfrez	-|--|----⌫|---|---|-----|
edemultgrantchoseforfez	|-|---|----|----|-----|
k ilsiuus adcu illien he	|-|-|--|-|--⌫---|-|-|
ka ntuusadsidel tutosté	--⌫-|--|-|-|--|--|----|
del richetresore deldou n	--|----|-----||--|---⌫|
deceste gr ant demustreisun	-|----|--⌫--|-----------|
lirey sala	-|---⌫||-|
romeyneentent	------|-----|
e s u spi repa rfundement	|-⌫-⌫---⌫-|--⌫---------|
deuanttutesa gent geh i	-----|---|-|---|---⌫|
le a ue nture eladescoueri	-|-⌫--⌫----||-|--------|
cum ladame laueitd it	--|-|---||----|-⌫-|
tu tissiloutlire is escrit	--⌫|---||--|-|--⌫-|-----|
aun eue sque bayla	|-|---⌫---|----|
dec hiefen	-|-⌫---|-|
chi ef leli t	---⌫-|-|--⌫|
e n or d re distc um ueuaueit	-⌫|--⌫-⌫-|---|-⌫-|--|----|
ladame k e	-|---|-⌫|
ue nuee steit	--⌫--|-⌫----|
u neuesquepru zesene	-⌫|------|---⌫||---|
ditoyan zclerse oyanz lays	--|----⌫|----||----|---|
sir reysfetilicestrays	--|---|--|-|----|---|
hors deuostre	---|-|-----|
uereyme ntuost re fiz	-------⌫-|----⌫-|--|
ed mund quireysert	--⌫---|--|---|--|
kerey off eliaddonee	-|--|---⌫|-|-|----|
est ang l e e nclyn	---⌫---⌫-⌫|-⌫----|
ekantiltrerraasafin	|---|-|-----||-|--|
lacompanyeseintmichel	-|-------|----|-----|
porter unts al meenciel	------⌫--||--⌫-|-|---|
lume rodgrant clarte	----⌫|-|----|-----|
deuantdieuen samaieste	-----|---|-|-|------|
ke deli surderunt	-|-|-|--------|
e par la tere seesten derun t	|--|-|---|-|-----⌫-----⌫|
bonerenome e	---|------⌫|
ertp ar tut cunté	--|-⌫-|--|-----|
reyneledeuezpascuntredire	--|-|-|----|--|---------|
kant die usli t re seintimsire	---|---⌫-|-|-⌫--⌫------|---|
si ape rtesignifian c e	-|---⌫--|---------⌫-⌫|
uus mustradeu ant la nessance	--|-----|---⌫--|-|-------|
deuostrefizkea ueztant	-|-----|--|-|-⌫--|---|
multledeuezb ienotrier	---|-|----|-⌫--|-----|
k ilalgee nestan gleelpays	|-|---|-⌫|-----⌫--|-|---|
s iseitreys e poestys	-⌫|---|---||------|
lireysforme nt s escrient enplurs	-|---|-----⌫-||-------|-|----|
silesaddit	-|--|-|--|
beal schi er sse gnurs	----⌫|---⌫--⌫|--⌫----|
kan tdieuleuoltfei relestuet	---⌫|---|-|---|---⌫-||-----|
ka r aut rement estre nepuet	--⌫|---⌫-----|----|-|---|
comandale snefesqu ere	------|--⌫|----|--⌫--|
lesmeliu rsdet utesa	--|-----⌫-|-|-⌫--|-|
sifi stmetr e agrant f usun	-|--⌫-|----⌫||----|-⌫---|
u itaylee asezguaris un	-⌫-----||---|------⌫-|
euesselde oredearge nt	|-----|-|-||-|----⌫-|
mettremarinals	-----|-------|
multfortes	---|-----|
ep ruz e bonsuassa ls	|-⌫--||---|-----⌫-|
que intesdewe	---⌫----||--|
e s a ge s enmer	|-⌫-⌫--⌫|-|--|
ekibienseuentne fes	|-|---|-----|--⌫--|
epuseslust	|--|-----|
uintchiualers	---|--------|
li reys decels q uil	-|---|-|---|-⌫|-|
cheualersensement	--------|-------|
delamesnee e	-|-|-----||
of fe lerey kiles tramist	--⌫-|-|--|-|--|------|
ekeles seremenz enprist	|-|--|-------|-|----|
tantc umil furent ceom	---|-⌫-|-|-----|--||
karantch iuale rsde	-----|--⌫-----⌫-|-|
lireyslesdona belsco nreiz	-|---|--|---|---|--⌫----|
arm es de s tre rs epalefr ei z	---⌫-|--⌫-⌫---⌫-||------⌫--⌫|
eor eargent a	|-||-----||
e sonf izles	|--|-⌫-|--|
adcomandé	-|-------|
ela plu sbe len ief	|-|---⌫|--⌫-|-⌫--|
e d eusfit m ettrelurh erney s	|-⌫--|--|-⌫----|--|-⌫-----⌫|
kantilderrersun tapreste ́	---|-||----|---⌫|-------⌫|
horsdelhauense	---|--|----|-|
sun t but é	---⌫|---⌫-|
lire ysn efinede plurer	-|--⌫-|-⌫|---|-|-----|
les uiten mer entrer	--|--|-|--|-----|
adi eulescomand e si	|--⌫-|--|------⌫|-|
eenplurantariereuest	|-|------|-----|---|
kantlestreys neifes sunth or	---|--|----|-----|---|-⌫-|
deuer sle bort	-----⌫|-|---|
treistrentenla nef mainte nant	---------|-|-|--|------⌫---|
li marinaleliseuant	-|------||-|-----|
l aneff ufortee	-⌫|--|-⌫|----||
bienfete s eure enouele	---|---|-⌫---||-----|
ousein t edmundesteitliber	-|----⌫|-----|-----|-|--|
liserua nt e limariner	-|-----⌫-||-|------|
enuun tlur cordes a dre scier	-|---⌫|--|-----|-⌫---⌫----|
chescunmarinerdeles neke	------|------|--|--⌫---|
forme nt le sig ledeshane ke	-----⌫-|-|---⌫-|-------⌫-|
lu rhobensestreinent uersdest re	--⌫|-----|---------|---|----⌫-|
ho rslanc ent lof	--⌫-|----⌫--|--|
ue rs senestre	--⌫-|-------|
treientiesq ual hune	------|----⌫|-|---|
l a f irentcomune	-⌫|-⌫----|-----|
lebo elin hale nt al uent	-|--⌫---|----⌫-|-|---|
