mapainewelm etreetmacure	-|----|--|-⌫---|-|-|---|
s isen u oltr e torn e rariere	-⌫||-|-⌫--|-⌫-⌫----⌫-⌫|-----|
porchou quil i entendoitsort	--|---|-|-||--------|---|
deuan t luitroueunbaston	-----⌫|--|----|-|-----|
alaghel ine	|-|----⌫--|
enpristauoler	-|----||----|
e n sonlangagele maudist	-⌫|--|------|-|------|
honteliuiegneetil	----|-|-----|-|-|
euousa loste lerranment	|---|||----⌫|--------|
ladame lifist	-|---|-|---|
bie lsanblant	---⌫|-------|
il le uoitmaintenant bai sier	-|-|---|---------|---⌫---|
s irefaitelec hounamestier	-⌫--|---|--|-⌫--|||------|
i e fe rai	-⌫|--⌫--|
tout uostr e talen t	---|-----⌫|-----⌫|
q antnos serons p riueement	-⌫--|--|-----|-⌫--------|
damefaitc es tuerite	---|---||--⌫|-----|
maisie uousai chiap orté	---|-|---|-|--|--⌫----|
nesaiquansdeniersqueiauoie	-|--|----|------|--||----|
atantlibailleet lacor ro ie	----|-|-----|-|-|---⌫--⌫-|
qui m ontestoitg rosse et farsie	--|-⌫--|-----|-⌫----|-|-----|
et elen en refusamie	-|--||-|-----|--|
ains laensacamb reportee	---|||-|-|----⌫-|-----|
me schineapelee	--⌫-----|-----|
ua fait elesans	-|---|--|---|
simed escauchecelsignor	-|-|-⌫-------|--|-----|
welqueiluo ist bagnier	--|--|-|--⌫--|------|
iraisans de morier	---|---|--⌫-----|
si me b aigneraia u euc lui	-|-|-⌫-------|-⌫-⌫--|--|
et nousi rons	-|---|-⌫---|
liprestres lot grantioiee nna	-|-------||-|----|---|-⌫-||
etwale stro t sedescaucha	-|----⌫----⌫|-|--------|
tant ostquiniotdemoree	----⌫--|-||||-|------|
etil es t lorselb a ing entree	-|-|--⌫|---|-|-⌫-⌫--|-----|
etlaroube e st	-|-|----|-⌫-|
en saufport ee	-|---|----⌫-|
puisr a samesc h in e	---|-⌫|-|----⌫-⌫--⌫|
a p e le e	-⌫-⌫-⌫--⌫|
uafaitel euias e t tost	-|---|--⌫|---|-⌫|---|
etsimamainne lep rouos t	-|-||------|-|-⌫-----⌫|
el ei es tmaintenantcour ue	--⌫||--⌫|---------|----⌫-|
trouaenmi l arue	----|---|-⌫|--|
sire fait elesedieusmamant	---|---|--|-|----||----|
enuousm ontmaluaisparent	-|---|-⌫--|------|-----|
et ieme suitantentremisse	-|-|-|--|---|---------|
nuitetiordeuostre seruice	---|-|--|-|-----|------|
madame conuertie	-|---|--------|
iele cu ic	-|-|--⌫-|
bie n auoir traie	---⌫|----|----|
maisneuo uss oit oreac o ntrai re	---|-|--⌫-|-⌫--|--||-⌫-⌫-----⌫-|
d ede niersafaire	-⌫|--⌫----|-----|
aport éslisans	-----⌫--|-|---|
nuls eio r	--|-⌫---⌫|
sapromessede la utre ior	-|-------|-||-⌫---|--|
e tsi uenés isneleme nt	-⌫|-|-----|--------⌫-|
walestrot sedieu s m	--------|-|----⌫||
cestseruicem estboinetbiel	---|------||--|---|-|---|
ti enoryysa uspor unman ti el	--⌫-|-|-|--⌫-|--|-|---⌫--⌫-|
e le les prentpuissi s	-⌫-|--|----|---|-||
etli prouos	-|-|-----|
tantost sa torne	------||-⌫----|
lesd eniersetlesioiau spr ist	--|-⌫-----|-|--|-----⌫|--⌫--|
etpuisa leuoie semist	-|---||-|---|-|---|
a laporte u ient si	|-|----|-⌫---|-|
amalenouiele	|---|------|
fait lad ame mon sig nor uient	---|-|-⌫--|--|---⌫--|----|
liprestreslotfor ment secrient	-|-------||-|---⌫---|-|-----|
porchouqui lauoitcorrechié	--|---|--||----|---------|
dam eorsui geuoir ensaingn ié	---⌫|-|--|-|---|--------⌫--|
fait ilse ne nprenés co nroi	---|-|-||-⌫|------|--⌫---|
sire nen soiése neffroi	---||-|-----|-⌫|-----|
faitla dameneenesmai	---|-|---|-|-|----|
ca rentelliuuousm e te ra i	--⌫|-|--|--|---|-⌫-⌫--⌫--⌫|
queneuoust roueroitawan	--|-|---|-⌫-------|---|
e n celtonieldes or cel uan	-⌫|--|-----|---⌫-|--|--|
iliaplume nete etbiele	-|||----|---|-|----|
dieusmedoinst orbonen ouiel e	----|-|-----|-|---|-⌫-----⌫|
oir car monmaridoute	--|--|--|---|----|
adon t liprestresl e u an	----⌫|-|-------|-⌫|-⌫-|
ilchaiiusmaintenan t	-|---|--|---------⌫|
eltoniels auti sneleme nt	-|-----|-⌫--|-⌫-------⌫-|
car m ont redoutele uilain	--|-⌫--|------|-|-----|
il i oint les pie set	-|-⌫---|--|---⌫|-|
sa utdeplain	--⌫-|-|----|
en lapleumep a sne fali	-|-|-----|-⌫-⌫|-|---|
etladamele rec ouuri	-|-|---|-|---⌫----|
e ste uou sleprouos tuenu	-⌫--|---⌫|-|------⌫|---|
lab ielrecheu	||-⌫--|-----|
erranmentlere ua ut baisi er	--------|-|--⌫--⌫-|-----⌫-|
pa rfoifait	--⌫|--|---|
e lecho un amestier	-⌫-|---⌫|||------|
nos feronsianostre talent	--|-----|-|-----|-----|
q an tno s seronspri ue ement	-⌫--⌫|--⌫|-----|---⌫--⌫----|
da mefa itil	--⌫-|--⌫-|-|
uo stremerchi	--⌫---|-----|
maisieuousai	---|-|---|-|
a p orte ́chi	-⌫-⌫----⌫|--|
demes ioiaus de	-|--|-----|-|
mesdeni ers	--|----⌫--|
ladame les	-|---|--|
prist uolen tiers	----|-----⌫----|
ensaca mbr e porté	-|-|--⌫---⌫|-----|
p uis estelbai ngtan tos tentré	-⌫--|--|-|---⌫-|---⌫---⌫|-----|
e l ea la robeen saufp ortee	-⌫-⌫||-|---|-|---|-⌫----|
wa lestrot apielee	--⌫------|------|
ua fa it elesans	-|--⌫-|--|---|
si mamain nele forestier	-||-----⌫-|-|--------|
e lemaintena ntia la	-⌫-|--------⌫-||-⌫-|
enmil a ruele	---|-⌫|--|-|
q antle uit	-⌫--|-|--|
de bien acontersap arole	-|---|------|-|-⌫----|
chai iou decestu as salafair e	-|-|--|-|---|-⌫--⌫--||----⌫|
seil nefust si deboinair e	-|-|-|---|-|---------⌫|
ian en alasseauan tzzpas	-||-|-----|----⌫|-|--|
d istsoauet en	-⌫--|-----|-|
uen és a ma dame parler	---⌫--||-|---|-----|
fi nadepar le r	--⌫-|-|---⌫--⌫|
qu euous ui t	--⌫|---|--⌫|
la utriera	|-⌫-----||
orlaiio upointe	-||-|--⌫|-----|
dusqu acue r	----||---⌫|
s ou uent etmenulai	-⌫--⌫---|-|---||-|
tantaifa itqueestescaufee	---|-|--⌫-|--|--|-------|
uostreaniel d or liaport és	-----|----||-|-|-----⌫--|
ele uou sdonr a de niersasses	--|---⌫|----⌫|--⌫----|----|
li for es t ier deioie saut	-|---⌫--⌫-⌫--|-|---|---|
he wale strots edie usme saut	-|----⌫----|-⌫|---⌫-|-|---|
tula s bienfait s eiepuis	-||-⌫|---|---|-⌫|-|---|
seie puis te nira	-|-|---|--⌫--||
labieledame	-|----|---|
c oiieetsimple	-⌫---|-|-----|
tienor yysau spor une	---|-|-|---⌫|--|--|
celelesapriscomme	---|--||---|----|
rest miseo u	---|---|-⌫|
et reuient alostelcora nt	-|------|||----|----⌫-|
trueuedescauchant	-----|----------|
carmonthastoi t l eprouost	--|---|------⌫|-⌫|------|
esuousle forestier tant ost	-|---|-|--------|----⌫--|
ala porteuintsi apiele	|-|----|---|-|-----|
l assechiamale	-⌫---|--||---|
fai tladame mo nsignor uient	---⌫|-|---|--⌫|-----|----|
lipr ouosl otquimoltse	-|--⌫---||-|--|---|-|
porcouq uilauoitcorrechie ́	--|--|-⌫|||----|---------⌫|
dameor suiie mal	---|-|--|-|--|
faitilsen enprende ́scon roi	---|-|-||-|------⌫-|---⌫--|
s irenesoiésen ef froi	-⌫--|-|-----|-|--⌫---|
choulia di t	---|-||--⌫|
dameysabiel	---|------|
saliésta ntostencel toniel	------|--⌫----|-|--|-----|
le tonieldelua ndescou ri	-|-----|--|--⌫|------⌫-|
e t il li estioinspiessailli	-⌫|-|-|--|----|---|-----|
a p oiquilna tuél e prestre	|-⌫-|-|-|||---|-⌫|------|
elasfaitilqu ece	|--|---|-|--⌫|-|
p uet e stre	-⌫--|-⌫---|
sontchidia blede scendu	---|--|---⌫--|--⌫-----|
etqantliprouos lasentu	-|---|-|-----|||----|
a poikei ldel sens n issi	|--|-|-⌫|--|---||---|
elasfat ilor s ui trai	|--|--|-|-|-⌫-|---|
trai porles	---|--|--|
anguissede	-------|-|
quiestuquis i	--|-|-|--|-⌫|
mas ef fondré	|-|--⌫------|
maistu qui	---|-|--|
quel sdiablestefontore chiestre	----⌫|------|-|---|--|--|----|
cil d inferkipasne	--||----|-|--|-|
s o me l lent	-⌫-⌫--⌫-⌫---|
qui porla gentengignie rue llent	--|--|-|---|--------⌫|--⌫----|
quiestdal esmoitos	--|--|---⌫-|--|--|
iesuilichaitis	-|--|-|------|
lip rouosdontn	-|-⌫----|---||
a i ie nulmal	-⌫|-|--|--|
ensisacont entpar ingal	---||-----⌫--|--|----|
lunsdiaus a la utre s auenture	|--||---|||-⌫---||-------|
lifor estiers nes	-|---⌫------|-||
ainsuinten l ostel ma i ntenant	---|---|-||----|--⌫-⌫------|
ladamelifis tbiels anblan t	-|---|-|---⌫|---|-⌫------⌫|
illeuoloi ttan tostbaisie r	-|-|-----⌫|---⌫---|------⌫|
ele cou na me stie r	--|--|||--⌫----⌫|
tout uos tr etalent	---|---⌫--⌫|-----|
q ant nouss ero ns	-⌫--|---|-⌫---⌫-|
priu ee ment	----⌫--⌫---|
d a mefa itil	-⌫-⌫-|--⌫-|-|
cest uer ite	|--|---⌫--|
maisie uousa ichiaporté	---|-|---|-⌫|--|------|
demesio iausdemesd enie rs	-|--|--⌫---|-|--|-⌫----⌫-|
l a damele pr ist uolen tiers	-⌫|---|-|--⌫--|-----⌫----|
cam b reporté	---⌫-⌫-|-----|
lo rs elbain gent ré	--⌫-|-|----⌫|---⌫--|
etla robe aens auf	-|-|---||-|-⌫--|
lorsa walestrotapielee	---||--------|------|
uafait el ep ormon	-|---|--⌫|-⌫-|--|
etele sifists a n sdemor	-|--|-|---|-⌫-⌫-⌫|----|
lacharue n	-|-----||
estoitpaslo ing	-----|--|--⌫--|
tostlotam ené	---||-|--⌫---|
e uous hucant	|---|-----|
dieus distladame or	----|---|-|---|-|
suiiemorte	--|-|----|
cestmonsignorqueiouoila	|--|--|-----|--|--|-|-|
biensaiqueilme	---|--|--|-|-|
etqa nt li forestie rsl	-|--⌫-|-|--------⌫-||
amer uelless	|---⌫-----||
he d ame fa it ilq ue fer ai	-|-⌫--|--⌫-|-|-⌫-|---⌫-|
a mi sfa itele ie uous dirai	-⌫--⌫|--⌫-|--|-|---|----|
sal ésmetost	---⌫--|-|---|
ence lt oniel	-|--⌫|-⌫----|
chouliadit dameysabiel	---|-||--|---|------|
ta ntost l e tonield escouuri	--⌫----|-⌫|-----|-⌫-------|
etil i estioinspies sa illi	-|-||--|----|---|--⌫---|
lepre streataintenl a poitrine	-|---⌫---|-----|-|-⌫|-------|
aup rouostfait p loiier seskine	-|-⌫-----|---|-⌫-----||-----|
mai snus diau snel o ssa g rochie r	---⌫|--||---⌫|-||-⌫--|-⌫------⌫|
elascoudist liforestier	|--|--|---|-|--------|
iesui male me nt enbatus	-|--|----⌫--⌫-|------|
uoireq u e malsoiestuuenus	----|-⌫-⌫|--|----|-|----|
prouostraiiése nla	-----|-------|-⌫|-|
iecuicque nous cre ue ron s ia	-|---|--|---|---⌫--⌫---⌫|-|
senoussomeschilongement	-|---|----|--|--------|
helasdist l ichait is dolant	-|--|---|-⌫|-----⌫-|-----|
comme iaimalepoitrinee	----||-|---|--------|
etiai bris iéleskinee	-||-|----⌫--||------|
prou ost aumiencuidier	----⌫--|-|---|------|
parf oice d istli forestier	--|-⌫-|-|-⌫--|-|--------|
lioelneme sal ent	-|--|-|-|---⌫--|
les uiesquiens inou strauelle nt	--|---|--|---⌫|---⌫|--------⌫-|
soient honies	-----|-----|
h ui encestior	-⌫-|-|---|--|
carmisnosonte ngran t dolor	--|--|--|--|-⌫|----⌫|----|
esteu ousle signorata nt	---|-⌫--|-|-----|---⌫-|
unegranh achepau moiant	--|---|-⌫---|---⌫-----|
dame ysabiel l a ap ielé	---|------|||--⌫----|
toutbielementliac on té	---|--------|-||-⌫--⌫--|
lesmist entoniel	--|---|-|-----|
s i re faitele	-⌫-⌫-|---|--|
orour e zbiel	-|---⌫-⌫|---|
fai tes aute nt comil fesisse nt	---⌫--|----⌫-|--|-|-------⌫-|
demoi sand es usen	-|--||-|-⌫--⌫-|-|
i l uolsisenta moiiesir	-⌫|--------||--|----|
ie ferail or femesuenir	-|----|-⌫-|----|----|
etuousfait essanbl ant toutoutr e	-|---|----⌫-|-----⌫--|---|----⌫|
quelaprem ie re welliésfoutre	--|-|----⌫--⌫-|-------|-----|
etlesautresseu ouspoé s	-|--|-----|-|-⌫--|----⌫|
are ́sa droitmaté s	---⌫-||----|-----⌫|
eti auraitoudisuostre hace	-||----|-----|-----|---|
mieusque u ostremache	----|--|-⌫----|----|
ilen a ronts enulsem uet	-|-|-⌫---|-⌫|--|-|-⌫--|
dam e distilfairel	---⌫|---|-|----||
ewale s trot fr ancebarn esse	|----⌫-⌫---|--⌫---|----⌫---|
u am oitostporlaprestresse	-⌫|-⌫-|---|--|-|---------|
di quese uie gn e o moibain gnier	-|--|-|---⌫--⌫||--|----⌫----|
irai muchier	---|------|
il luecquesen pr escel toniel	--⌫-------|--⌫--⌫-|--|-----|
etuousgaiterai bienetbiel	-|---|-------|---|-|---|
damef ait il	---|-⌫--|-|
etwalestrotsansnul delai	-|--------|---|--|----|
atant lapre stres esthastee	----|-|---⌫----|--|-----|
q u eoli l	-⌫-⌫||-||
en aa menee	-||-⌫----|
q a ntel e estalo ste luenue	-⌫-⌫-|--⌫|--|||-⌫---⌫|----|
etdes cauch ieetd esuestue	-|---⌫-----⌫-|-|-⌫-------|
forsseulementde sachemise	---|--------|-|-|------|
liuilainsola face	-|------||-|---|
que resanb loit	--|------⌫---|
istdelacambre atouzzmail	--|-|-|-----|---|-|---|
hedie us dist il	-|---⌫-|---|-|
qui est or ceste	--|--|-|----|
ieniquier plusauoir prestre	-|||----|---|----|------|
couchiés uou s tost ie	--------|---⌫|---|-|
u ousf otrai	-⌫--|-⌫----|
ele leuithideusetla i	--|-|--|-----|-|--⌫|
sinoseparlern e grouchier	-||--|-----|-⌫|--------|
iambe sbaillier	-----⌫|-------|
choucie ́touteenuierse	-------⌫|----|-------|
ne l epristpas a	-|-⌫|----|--||
la tr auerse	-|--⌫-----|
ainsl ileuaca scu ne	---|-⌫|---|--⌫---⌫-|
mais aup rest reuelepuisse	---|-|-⌫----⌫-||--|-----|
nesen plaindr acestesemainne	-||-|-------⌫|----|-------|
tonielert agrant pa inn e	-----|--||----|--⌫---⌫|
quelen fistleueroil uoler	-|-|-|---|-|-----|----|
lipr ouospri sta esgarder	-|--⌫---|---⌫-||-------|
siui tleuila in	-|--⌫|-|----⌫-|
bocilli er	-------⌫-|
auprestremonstresamoill ier	-|------|------|-|-----⌫--|
prestre q uestchou qu eiouuoila	------|-⌫|--|---|--⌫|--|--|-|
oresua rdés que c housera	-|----⌫----|--|-⌫--|---|
r esanb lela priestresse	-⌫-----⌫-|-|----------|
leconnistroie s	-|-----------⌫|
esgard eenuironet ent or	------⌫|------|-|---⌫-|
conledemainne adeshono r	|-|-|-------||-------⌫|
liprest r esfu sitres	-|-----⌫-⌫-|-|-|---|
plainsd i re	-----||-⌫-|
nese tquefairene quedire	-|--⌫|--|----|-|--|---|
qantdantc onstant l otadobee	---|---|-⌫------||-|-----|
et a s ontalent	-||-⌫-|-----|
ele senuamontcorrechie	--||-|-|---|--------|
uierssonhostel est ad rechi e	----|--|-----|--|--⌫-----⌫|
mais nenporte	---||-|----|
m antiel ne cote	-⌫-----|-|---|
w alest rotpa rla	-⌫-----⌫--|--⌫|-|
estespl otieethas tee	--|----⌫---|-|---⌫--|
qu el aprouost ea amenee	--⌫|-⌫|-------⌫||-----|
lost el estrepai ri e	|---⌫-|--|-----⌫--⌫|
etdesuestueet desc auc h ie	-|--------|-|----⌫---⌫-⌫-|
eteledu tenbaingentrer	-|--|--⌫|-|----|-----|
danconstan sliu ade mender	--|-------⌫|-|-⌫|--⌫-----|
qui esto rceste dame	--|--|-⌫|----|---|
auoid ant constant	---|-⌫--|-------|
gisuiuenue maintes fo is	||--|----|------|--⌫-|
dontest bienraisons etdroi s	---|--|---|------|-|----⌫|
que uous ori	--|---|-||
soi és foutue	---⌫--|-----|
ladameenfu mo ntir ascue	-|---|-|-|--⌫-|--⌫----|
sisep oroffri	-|-|-⌫------|
a deffendre	|--------|
l euaitasiambes prend r e	-⌫|---|-|-----|-----⌫-⌫|
leue eslia contremont	----⌫-|-||---------|
l espl antes	-⌫-|--⌫----|
li b atent au	-|-⌫----|-|
conip oist iuer asdes	|-||-⌫---|---|-|--|
seliprestresfut ostrespensés	-|-|-------|-|-⌫-|----------|
liprou osfu autant uplus	-|----⌫-|-|-----||---|
kantille uoit	---|-|-|---|
demenersiuilainnement	------|-|-----------|
liforestier ss enrit for ment	-|---------⌫||-|--|---⌫---|
et l ipr es tresqan til	-|-⌫|--⌫--⌫---|---⌫|-|
or en u eé sunea de s troit	-|-|-⌫---⌫|--||--⌫-⌫----|
prouos conn oistucelel a	-----|----⌫--|-|---|-⌫|
iecu ickeele tumera	-|--⌫-|-|--|-----|
qantconstans	---|-------|
e no t sonbonfait	-⌫|-⌫|--|--|---|
mo ltcore chiesen	--⌫-|----⌫---||-|
po rtem antiel ne cote	--⌫--|-⌫-----|-|---|
wale strot pa rlauiletr ot e	----⌫----|--⌫|-|---|--⌫--⌫|
sirama innelefor es t iere	-|----⌫---|-|---⌫--⌫-⌫---|
cele ui nta p oi deproier e	---|--⌫-||-⌫-|-|------⌫|
qanteleesta losteluenue	---|--|--|||----|----|
etdescauchieetdesuestue	-|---------|-|--------|
lorsliconui ent	---|-|-----⌫--|
auoir sa paie	----|-|---|
dansconstans du re ment lessai e	---|-------|--⌫--⌫---||-----⌫|
de hisdeu sec orine	-|------⌫-|-⌫----|
etplu s ueludune esclau i ne	-|---⌫|---||--|------⌫-⌫-|
faitilm e b ene ie	---|-|-⌫|-⌫---⌫-|
ilc ou ient	-|-⌫--⌫---|
seu oustondraie nellepas	-|-⌫--|------|-⌫-------|
auoi dant con s t antest cho	---|---|---⌫-⌫-⌫--|--|--|
cheuerrés uousf aitilpar te ns	--|------|---|-⌫--|-|--|--⌫-|
ist horsdelsens	--|---|--|---|
carilliuintde te l	--|-|-|---|-|--⌫|
le fistuoler sorleskine	-|---|----|--||-----|
sifaitement corbe e	-|--------|-----⌫|
cone npeuist ueo irl	|-|-⌫|-----|---⌫-||
loing k isen	----|-⌫||-|
pres istgard e	----⌫--|----⌫|
esgadeforest ier esgarde	-----|------⌫--|------|
dist liprouoske c ep uet estre	---|-|-----|-|-⌫|-⌫--|----|
dieusce dist	----|-|---|
cismiroisest assesour be	--|-----|--|----|---⌫-|
ellea leculplusnoirke	---||-|--|---|---|-|
qantdanco stanslot	---|--|--⌫----||-|
sontalen tcorbee	--|-----⌫|-----|
sil a mis ehor sdouhami el	-|||---⌫|---⌫|--|----⌫-|
moltfu sagedameysabi el	---|-|---|---|-----⌫-|
tou distintlehaceen	---⌫--|---|-|---|-|
or oés k i fistliuilain	-|---|||---|-|-----|
a lto niel uintsel descouri	-⌫|--⌫---|---|-||-------|
h edi eus fai til	-⌫|--⌫--|---⌫|-|
cestt onie lenplomé	---|-⌫----⌫|-------|
chideuoi e	--|-----⌫|
me tr e mon ble	--⌫--⌫|--|--|
se dieus mesau t iou l ard eraiia	-|----|-|---⌫|--||---⌫---|-|
lors pri st le fe uselibouta	---|---⌫-|-|--⌫|-|||----|
etcilcommenchent	-|--|----------|
a blu sne r	|---⌫---⌫|
le ton iel fait ius	-|---⌫--|---|--|
sisen i scen tcascu nssenfui t	-||-|-⌫----⌫|-----⌫-||-|---⌫|
mo uti ag rantnoise	--⌫-|||-⌫---|----|
et grantbru it	-|----|---⌫-|
carni o ttestene coste	--|||-⌫|----|-|----|
kit restout	-|-⌫------|
nesoitenplume ́	-|---|-------⌫|
aschansfuient parune	-|----|-----|--|--|
costans prentsamachue	------|----|-|-----|
sis en retorneapriesb rui ant	-||-|------|-----|-⌫---⌫--|
toustans senuas eskiens	---|---||-|-|-⌫-|----|
h ohomo r ant hohohau uoiel	-⌫|-|--⌫-⌫--|-|-|---⌫----|
dan quentinhannoi el	--|------|------⌫-|
onquesmaist es	-----|---|-⌫-|
cosesn eui	----|-⌫|-|
ne noiparlerde tesbiestes	-||-|-----|-|--|------|
seienpooieauoirles testes	-||-|----|----|--|-----|
donroie amonsig no r	------||--|---⌫--⌫|
lorsotc ascun smol tpa our	---|-|-⌫-----⌫|---⌫|--⌫--|
ballefort le chienalprouo s t	--------|-|----|-|-----⌫-⌫|
les aisiasnages	-|-⌫---|-|----|
s ienport aplainne	-⌫|-|----⌫|------|
liprestresfu enmal efoule	-|-------|-|-|---⌫|----|
car esmeraude laleurie re	--|--------|-|------⌫-|
parlescoste sd eriere	--|--|-----⌫|-⌫-----|
quemo utert grossemeruellose	--|--⌫-|--|-----|---------|
por nient i fus t	--|----||---⌫|
misela uenteus e	---|-|-------⌫|
qantesmer aude	---|-----⌫---|
sif u prise	||-⌫|----|
donast toutlor defrise	-----|---||-|-|----|
nens enpartistele s anssa nc	--||-|------|--|-⌫--|--⌫-|
siselaisai c haira tiere	-|-|-----|-⌫---||----|
d ant costantl	-⌫--|------||
estalés requerre	--|----|-------|
telcoplidoneenlauentreske	--|--|-|---|-|-|--------|
lafaityyt orsroeler	||---|-|-⌫--|-----|
uwell euno n lestuet	|----⌫||--⌫||-----|
liforestier s li a crié	-|---------⌫|-||----|
s ir ecos tanspordiumerchi	-⌫--⌫|---⌫---|--|--|-----|
le gl orieusquine menti	-|--⌫-----|--|-|----|
n emelai ss i és aschie nsmangier	-⌫|-|---⌫--⌫-⌫--|-|----⌫-|------|
ia mais neu oustau raidenier	--⌫---|-|-⌫--|---⌫--|-----|
lecr ie tla noise	-|--⌫|-⌫|-|----|
toutlip eules delaparroche	---|-|-⌫----|-|-|-------|
ies t erranmenttrestot	|--⌫|--------|------|
trestoutl igrantetli	-------|-⌫|----|-|-|
ma isonques	--⌫-|-----|
n ele sreconne urent	-⌫|--⌫|-------⌫----|
ke to utenplouméfurent	-|--⌫-|--------|-----|
de ssila queilsenonmer ent	--⌫--|-|--|-|-|------⌫--|
a lo rosterles emportere nt	|--⌫|----|--|---------⌫-|
chene saiioseilgarirent	--|-|--|-|-|-|-------|
necomentenapres le	-|-----|-|----|-|
mai sil die ntpar	---⌫|-|---⌫-|--|
la contree	-|------|
bien sestdameysabiau sp rouee	---||--|---|-------⌫|-⌫----|
quipresd emoiseuorratr aire	--|---|-⌫|--|-|----|--⌫---|
un bonconteuorrairetraire	-|--|----|-----|-------|
dontiesui tres bien ent rem is	---|-|--|---|---|---⌫---⌫-|
autre si laien	-----⌫-||-|-|
omilauint trestou ta l igne	-|-|----|-------⌫||-⌫---|
dedenslauiledecompiegne	-----|-|---|-|--------|
moltrich e boriois	---|----⌫|------|
quim out iertsa ges etcortois	--|-⌫--|---|--⌫--|-|------|
etriches etdegrantafaire	-|-----|-|-|----|-----|
mout entendoita honor	---|--------||----|
ansi a spoures comme as	---|-⌫|-----|----|-|
li borgois	-|------|
n iertau ers neniches	|---|--⌫--|-|-----|
et si auoitunmolt	-|-|----|-|---|
quimaint denier mi st en escil	--|----|-----|--⌫-|-|----|
tant com ilfu	---|--|-|-|
ensaiouente	-|-|------|
desabiatedesa proeche	-|-|----|-|-|------|
parl oitoniusquenbiau ois is	----⌫--|-|----|-|----⌫---⌫-|
s auoitu npou re	|----|-⌫|---⌫-|
qui unefilleauoit moltcointe	--|--|----|----|---|-----|
e tliuarles de li	-⌫|-|-----|-|-|
p roia moutlongem ent	-⌫---|---|------⌫--|
distapie rtemen t	---|----⌫------⌫|
qu emieus leue nro it r eposer	--⌫|----|-|--⌫---⌫-|-⌫-----|
s ilne le uoloi tespouse r	|-|-|-|-----⌫|-------⌫|
plais oit queilleuist	-----⌫--|--|-||----|
afemeensi qu e ildeu ist	|---|---|--⌫|-|---⌫--|
d ech o u aroitasonc uerioie	-⌫|--⌫-⌫|----||--|-⌫--|---|
bielesi ai iou	----|-|-|--|
demon c ors ioie	-|--|-⌫--|---|
faitliuarlesichou	---|-|-----|----|
ata ntdeliproiersetais t	---⌫-|-|-|-----|-|----⌫|
reuin ten sa maison	-----⌫|-|-|-----|
son per e araison	--|---⌫||-----|
asonafaire dit	|--|-----|--|
et liper es	-|-|---⌫-|
licontredist	-|---------|
etmoutleplasmeetmoutle chose	-|---|-|-----|-|---|-|----|
biausfieusfaitildeces te	----|----|---|-|-|---⌫-|
tedeuissesmout	-|-------|---|
bien taire	---|----|
elenestpasdeton afaire	--||--|--|-|--|-----|
d etoidescaucier	-⌫|--|---------|
ieteu o rraisi souhaucier	-|-|-⌫-⌫---|-|---------|
ilmedoie cou ster	-|-|---|---⌫---|
que iet euorra iaiouster	--|-|-⌫|-----⌫|-------|
asmellorsgens decestpais	-|------|---|-|---|---|
detafoliem e sbahis	-|-|----||-⌫-----|
quit elgarcewese spo user	--|-⌫-|----|--|-⌫---⌫---|
certesont ede ur oithuer	-----|-|-⌫|--⌫--⌫--|---|
q anttud etelcose paroles	-⌫--|-|-⌫|--|---|------|
liuarlesuoit quesesparoles	-|-----|---|--|--|------|
lisont torn eesanoient	-|---|----⌫--||-----|
sonespouse ment	--|-------⌫---|
k ilessiensiust ice	-⌫|--|----|----⌫--|
esprent etatise	------|-|----|
etmet elcuert eleestincele	-|--|-|---|-⌫--|--------|
qui ne pense qu a la	--|-|----|-||-|
troisior sen siapries	----|---⌫|--⌫-|-----|
enl au il emorirco nuint	-|-⌫|-⌫--⌫|----|--⌫----|
l a femea zz autreborg ois	-⌫|---||-|----|----⌫--|
mais ancoiske passatlimois	---|-----|-|-----|-|---|
que l aborgoise otesté morte	--|-⌫|-------|-|----|----|
dont libo rgois	---|-|--⌫----|
bi ensede p orte	--⌫-|-|--⌫-⌫---|
parleconseldeses	--|-|-----|-|--|
alebo rgoisaraison	|-|--⌫----||-----|
leperea ic elepec ele	-|---||--⌫--|---⌫--|
quitantestorguilleus eet biele	--|---|--|----------⌫|-|----|
et distqueillespousera	-|---|--|-||--------|
etliperesliotria	-|-|----|-|----|
etmoutli plaistetatale nte	-|---|-|-----|-|-----⌫--|
ora bien pierdu esentente	-||---|------⌫||------|
li uar lesetsenagranthonte	-|---⌫--|-||-||----|----|
borgois dontieuo usconte	------|---|-|--⌫-|----|
atan tsebesoigneaprochie	|---⌫|-|-------|-------|
quel a puceleafianchie	--|-⌫|-----||-------|
etp uisapriessilespousa	-|-⌫--|-----|-||------|
mais auuar letm oltempes a	---|-|---⌫--|-⌫--|-|---⌫|
quiipensoitetioret	--||------|-|--|-|
neuoitri en kinelianuit	-|---|--⌫-|-|-|-|----|
tantl esol a s	---|-⌫|---⌫-⌫|
d elag ent	-⌫|-|-⌫--|
ethetson oretson	-|--|--|-|-|--|
etlagran tr i kecequ il a	-|-|----⌫|-⌫-⌫---|-|-||
et sid istque	-|-|-⌫--|--|
d echou qu ilcrut	-⌫|---|-|-|---|
onquessonpere	-----|--|---|
sagrant riquecetrop compere	-|----|------|---|------|
l o ngem entfuen cestpe nser	-⌫-⌫----⌫--|-|-|---|--⌫---|
ne sa uoitcommentpenser	-|--⌫---|------|-----|
il eneu ist	-|-|--⌫--|
auchu nconfort	-----⌫|------|
