XXLilaron ont lesmoine[s]	-|-|----|--|--|-------|
pristparlestr ierpar	----|--||----⌫--|--|
grant amor Am isostés	----|---|--⌫-|-----|
uostreelme done ́sl en ou sEt	-----|---|----⌫-|-⌫|-⌫--⌫|-|
monter ésl asusen	------⌫--|-⌫|--|-|
ce le t orDe lceual quiremaint	--⌫-|-⌫-|--⌫|----|--|------|
paourCa rbiense ra garde ́s s e	----|--⌫|---|--⌫-|-----⌫-|-⌫|
nouspoons.Madameest	---|-----|-|---|--|
ueuefemenapas signorMais seruir	---|---|||--|-----|---|-----|
uosf erapargrant	--|-⌫--|--|----|
amorDessiqueDexuous doinst	---|----|--|--|---|-----|
s eriantmi llour.-Grant	-⌫-----|--⌫-----||----|
merchidamoisele chedi st A ious. XLuIIAiols en es t	-----|--------|--|--⌫-|-⌫----|----|----|-|--⌫|
mon tésensel solier.LabeleLusiane al cors	---⌫---|--|-|------|-|---|------|-|---|
escui ercommande lesiendestrierSila tr op bi en	-----⌫-|-------|-|---|-------|-|||--⌫-|--⌫-|
frote ́ et	-----⌫|-|
estrilliéTorc hiéetabeuré et	---------|----⌫---|-|------|-|
a aisié Enlestab le le	-⌫-----|-||-----⌫-|-|
mainepor he rbergier	----|--|--⌫-------|
Lefrain li abatiquil otelci ef	-|----|-|----|-|-|-|-|--⌫-|
Al kauestredecer f l	-|-------|-|---⌫||
a atac hiéDelfainet	|----⌫---|--|---|-|
alme ngier. Puisen uient	-|--⌫-----|---|-|----|
droite srant al	----|-⌫----|-|
ch eualier	--⌫------|
Un escameldiuo ire	-|------||---⌫--|
mist asespiés	---||--|----|
Ande ussesesperonsa	----⌫-|--|-------||
resac hiésPuis	-----⌫----|---|
lesabienforbis et essui és	--||---|-----|-|-----⌫--|
del espee b ie na tachiés	-||----|-⌫--⌫|-⌫-------|
Ialesporareprendrelicheualier[s] Q uant	-|--|---|--------|-|-----------|-⌫---|
monter sorsondestrier.I ln	-----|--|--|--------|-⌫||
auoitnulseriantpour l ui	----|--|------|---|-⌫-|
aidierE D ieuschedistA iolsquel[s]escu ier[s]	-----||-⌫---|--|---|-⌫---|------|----⌫-----|
D echeser uiche	-⌫|--|---⌫----|
auoie [molt]g rantmestier.Sorseust	----|-----|-⌫---|-------||-|----|
Ysabieusqui lf ust ses niésMoltpa rfust	-------|-|-⌫|-⌫--|--|----|---|--⌫|---|
ses seruiches	--|--------|
bienenforciés. XLuIII	---|----------|-----|
Ysabiaus fumol t gentesefill e	-------|-|---⌫|----|-|----⌫|
otAioll enfantmoltbienue u.Mais il	-|---||-----|---|---|--⌫-|---|-|
et pouressen	-|-----||-|
estplusmusPouertes i fait	--|---|--|------|-⌫|---|
trairemaint	-----|----|
sus.Amisdist Ysabiauset do nt	---|---|---|-------|-|--⌫-|
uasete nquelterrequi	--|-|-⌫|---|----|--|
teconduist	-|-------|
Nemainesescuier	-|-----|------|
ai ueu.-Damec hedistAiol [s] li	-|---||---|-⌫-|---|----⌫--|-|
cor sIe su	---⌫|--⌫-|
autregarant certes queluiQ ui	----|-----|-----|--|--|-⌫-|
malmeuau ra	--|-|---⌫-|
toussui segurs.	---|--|------|
le moiefoi dameiesui	-|---|--|---|-|--|
gascon Delamarche frecondel eroi	-----|-|-|-----|-------|-⌫|--|
Yon Mesperes	--|--|----|
gistmalades	---|------|
e ns amaison . Gaut ierdePontElielapele	-⌫|-⌫|------⌫|----⌫--|-|---|---||----|
.ull.ansaa le	----|--|||-|
fest eleRouison	----⌫|-|------|
Queilnepotcauc hierses	--|-|-|--|----⌫---|--|
es peron[s] Faillisliest	--⌫-------|------|-|--|
auoirs et g aris on[s]Orm	-----|-|-⌫----⌫----|-||
baill ietsesarme s	-----⌫--|--|----⌫|
etsesa dou s Simenu oiaenFrance	-|--|-⌫---⌫|-||---⌫--|-|-----|
beso ngous.Tant auon s quislostelquenous l auons	----⌫-----|---|----⌫|---||----|--|---||----|
DeDameldédegl oire	-|-------|-|--⌫---|
saintecrois	-----|----|
p ristpassionEn	-⌫---|------|-|
a i ésuos merite	-⌫-⌫--|--|-----|
etgueredon	-|-------|
Dé( x)distYs abiaus p ensés	----⌫-|---|--⌫-----|-⌫-----|
endon t.L uciane la bele	-|---⌫-|-⌫-----|-|---|
raisonParlaf oiquetudoisasaintSimon	-----|--|-|-⌫-|--|-|---||----|----|
Quirn ousbarset angilles[l uz] et saumo ns	---|-⌫--|---|-|-------|--⌫--|-|-----⌫-|
puimentetc lare ́ et u e ni so n.	------|-|-⌫----⌫|-|-⌫-⌫--⌫--⌫-|
Cisuale ̀s mesambleestre de	--|----⌫-|-|-----|----|-|
grantr eno nEt por s on corsl afeste	----|-⌫---⌫|-|--|-⌫-|---|-⌫|----|
enauanchon.Adont	-|--------|----|
uintlapuceleparle	---|-|-----|--|-|
maisonRe bracie du ncai[n] se	-----|--⌫-----||-⌫|------⌫-|
botonQuiliueistaler sia bando n Samblerli	----|--|-|----|---|-||-----⌫|------|-|
femede [grant] u alor.L Q uiuei stlapuc e l e	---|-|------|-⌫----||-⌫-|---⌫-|-|---⌫-⌫-⌫|
menbré Defem edeboinair elideu st	------|-|---⌫|-|---|---⌫|-|---⌫-|
menbrer.Lema istre	-------|-|--⌫----|
senescal aapeléSelifist lemengierb ienconreer	-------||-----|-|-|---|-|------|-⌫--|------|
car de ueni sonetde sai[n]gler uinor e n t	--|-|----⌫--|-|-|---------|--|--⌫-⌫-⌫|
e tp uim entagrant	-⌫|-⌫---⌫--||----|
plenté. LI	-------|-|
Chelenuit fuA iolsbienherberg ie ́ sCar	----|---|-|-⌫---|---|-------⌫--⌫-⌫|--|
ilor entass és apare llié sSiorentb oinss ergan set	-|--⌫--|---⌫--|-----⌫-----⌫|-|----|-⌫---|-⌫-----⌫|-|
despensier	---------|
Etkeuetsenesc alet bou tellier.Signorcui	-|--|-|------⌫-|-|---⌫-------|-----|--|
Dame lde[x] sa ura	----⌫-----|--⌫--|
aidierLiuo i rs	-----|-|--⌫-⌫-|
desa inte gloi re parsapiti é Ia	-|--⌫---|----⌫-|--|-|----⌫-|-|
p uisenpirier.LIIYsabiaus p rist	-⌫--|--------|--|-------|-⌫---|
sa filleparle	-|----|--|-|
ma ind estre En sacambre len maine si	--⌫-|-⌫----|-|-|-----||-|----|-|
Fille cis enf essamb ledefieregesteC il	----|--|---⌫-|----⌫-|-|----|----|-⌫-|
Damed e[x] de	-----⌫---|-|
gloireliroischelestreQu i fist etmer	-----|-|---|--------|--⌫|---|-|--|
etmo ndeo isel e t	-|--⌫--|-⌫---|-⌫|
besteLido inst ichotrouer	----|-|--⌫---|---|-----|
queilua querePorDieu	--|-|-|----|--|---|
te priefil leque bienleseruesNe	-|---|---⌫-|--|---|-|-----|-|
lifaillen usbiens	-|-----|-⌫-|----|
quisoi ten tere.	--|---⌫|-|----|
uousplaira	---|-----|
d istlap ucele .	-⌫--|-|-⌫-----⌫|
L IIILusianelabelele sertagr é	-⌫--|------|-|---|-|---||--⌫-|
Q uan tqu e le p ot	-⌫---⌫|-|-⌫-|-⌫-|
le sertauolenté .	-|---||--------⌫|
La puce leuai ll ant	-|----⌫-|---⌫--⌫--|
al corssené Delsolier aualat o us lesdegrés	-|---|----|--|-----|----|-⌫-⌫-|--|------|
Marchegaipor esgarderSa planoieses	--------|--|-------||-⌫------|--|
crinsetses costés	----|-|--|------|
Etaunescuier oluimene ́	-||-|------||--|----⌫|
Garder lifaitlespie ́s s ilsont	-----|-|---|--|---⌫-||-|---|
feré E tonle	----|-⌫|-|-|
trouabienenco r( e)claue ́.Lors	----|---|----⌫--⌫-|-----⌫-|---|
t or nalabelealcorsmolé	-⌫--⌫-|-|---|-|---|----|
Etlaise lece ualbien	-|----|-|--⌫--|---|
De lfeu reetdelauaineli do neassés.	--⌫|---⌫-|-|-||-----|-|--⌫-|------|
LIuLapuc el e s	--|-|---⌫--⌫||
entor ne alcorsgent il	-|---⌫-|-|---|----⌫-|
E tlaisse l e cheualtr és bien	-⌫|-----|-⌫|-----|--⌫--|---|
Enunecamb reenentre de m arbrebis	-|--|----⌫-|-|----|-|-⌫----|--|
La sistle litAiolpar	-|---|-|--|---|--|
grantdelit	----|----|
Le skieutessont de	--⌫|------|---|-|
paileq ue desousmist	----|-⌫-|-----|---|
lilinceul d e soie ni ot p as lin Li	-|------|-⌫|---|||-|-⌫-|--|-|
c ou ertoi rdema rtre	-⌫--⌫-----⌫|-|--⌫---|
grant etfurniEtl	----|-|----|-||
oreillier[s]fufaisd u nosterin.	-----------|-|---||-⌫|-------|
Aio l en apelase lia ditDamois eu s	---⌫|-|----|-|-||--|------⌫--⌫|
uenés en thuimais	-----|--⌫|------|
dormi r. Parlep uinle mena	-----⌫-|--|-|-⌫--|-|---|
dessiallit.Garins tient	----|-|---|-----|----|
can deileetsertdeluin Bien enontan doi bu t	---⌫----|-|---|--|--|---|-|--|--⌫--|--⌫|
loisir.P uis	------|-⌫--|
desc auchiernu desuestirEtqu ant	----⌫------|-|--------|-|--⌫--|
ilsecouchabienlecouri Douchemen tletasto ne por	-|-|-----|---|-|----|---------⌫|-|-----⌫-|--|
endormir. Il sen torneet	--------|-||-|----|-|
regard eetfaitsoupir	------⌫|-|---|-----|
Onques mais gentil	-----|---|-----|
homene uit seruirCar ilauoitestéelb o s	---|-|--|-----|--|-|----|----|-|-⌫-⌫|
n ori[ s]Lededuit	-⌫----⌫-|-|-----|
d epuchele n	-⌫|------||
otpa sa pris.Dameldé	-|--⌫|-⌫----|-------|
depr iaquine mentiQ ue	----⌫-|--|-|----|-⌫-|
asonpereboi ne	|--|---|---⌫-|
Q ueillaisamaladeet entr ep r is	-⌫-|-|----|-----|-|----⌫--⌫-⌫-|
Entrelui etsa me re	----|--|-|-|--⌫-|
elgaut foilli(s) Maisb ele	-|---|--------|---|-⌫--|
bien leseruiAutressisecontien tcoms	---|-|----|-------|-|-------⌫|--||
i lfustpri s.	-⌫|---|---⌫-|
LuDouchementl etastoneladam oiseleElelimist	-|---------|-⌫|------|-|---⌫-----|--|-|---|
al am aiseleO iés confa itemente lel	|-⌫|-⌫-----|-⌫---|--|--⌫------|-⌫-||
apeleCaruous	----|--|---|
tornésuer smoi iouent ebele Seuous	------|---⌫|--|------⌫|---|-|---|
uole ́sbaisier n	----⌫-|------||
iufaireIai trés	-|----||-|----|
bien entale nt que ie	---|-|----⌫-|--|-|
Si maitDieus de l	-||--|----|--⌫|
ci el ie suispuceleSi	--⌫-|-|---|-----|-|
n euconques	|--|-----|
ami ennu le tere.Maismoiuienten	--|-|--⌫-|----|---|--|----|-|
penser uostreuoi lestre	-----|-----|---⌫|----|
Siluosuien ta p l aisi r q ue	|-|--|----⌫||-⌫-⌫----⌫|-⌫-|
ieuo sserue.-Bele	-|--⌫|-----||---|
distAi ol[s ]li rois c helestreQuifistetuent	---|--⌫----⌫|-|---|-⌫-------|--|---|-|---|
tereuousmeritelesbiensqueuousme	---|---|-----|--|----|--|---|-|
Ca r uoscouchiésh uimaisbi e nen	--⌫|--|--------|-⌫-----|--⌫-⌫|-|
estterme Laiensen	--|----|-----|-|
uos t recambreouospucheles. Enfr essi	---⌫-⌫-|-----||--|--------|----⌫---|
adema inquel aub e	|----⌫-|--||---⌫|
p ereSarésdemoncorage	-⌫--|-----|-|--|-----|
ioudeuostre estre	--|-|-----|----|
ermesacoin ti édemai n al uespre .Del	----|-----⌫--⌫-|-----⌫|-|------⌫|--|
eustcurela	---|---|-|
damoisele . LuILa puchele s entornetoutedolante	---------⌫|--|-|------||-|----|----|------|
EtalaisietAiol	-||------|---|
deden slacambr e.Plustart qu	-----⌫|-|-----⌫-|---|---|-|
potenlasoi e entr eEnun	--|-|-|---⌫|----⌫|-|-|
lit secoucha moltsetorme nte.	--|-|-----|---|-|-----⌫---|
Mai se len id ormistpor	---⌫|-⌫-|||-⌫-----|--|
touteFrancheTant io tmis son	----|------|---||-⌫|--|--|
sesp eranche.Longuementseregrete	|---⌫-------|---------|-|------|
apres[s ] i	----|--⌫-⌫|
Lasse distlapucelecoml aidecanceQuantie	----|---|-|-----|--|-⌫---|----|----|-|
u o ilam eret lu in	-⌫-⌫-|--⌫-|-|--⌫||
enmem bre E	-|---⌫--||
Dieuscorme consele	----||-|-|------|
urai epoissance Saint Deniseenferaimolt bele offrande	----⌫|--------|----|-----|-|----|---|---|-------|
.XIIII.mars darge nt	------|---||----⌫-|
toutenbala nce.LuII	---|-|----⌫---|---|
p uchele sentorne	-⌫-----||-|----|
a lceur iré	-⌫|---|---|
Ensacambre senentrel u is a	-|-|-----||-|----||-⌫-||
f remé M ais	-⌫----|-⌫--|
potd ormi r ne reposserToutenuitenparol leen son	--|-⌫----⌫|-|-------|----|---|-|-----⌫-|-|--|
Damoiseus m o ltparestesgentiex etbe rO nquesn e	--------|-⌫-⌫-|--|----|------|-|--⌫|-⌫----|-⌫|
homedeuo stre	---|-|--⌫---|
aéQuife me ne uausist uersluitorner.	--|--|--⌫-|-|------|---|--|------|
Bienpoése stremoinesseuos uolésAlés	---|----|-⌫---|-----|-|--|-----|----|
prendre l esdr as	------|-⌫-|--⌫-|
porquat end ésDe	----|--⌫---⌫--|-|
uostrea mor	-----|-⌫--|
mesteu ta c o n si rer	|-----⌫||-⌫-⌫-⌫--⌫--|
Quantienenpuisplusf airelair ai	----|-||-|---|---|-⌫---|----⌫-|
e ster.Ieuousai	-⌫----|-|---|-|
monceu rsien améQu apaine suos	--|---⌫|-|--⌫---|-||-----⌫|--|
poraientroblier.Et	----|----------|-|
Aiolssendormiiuscauior	----||------|---|-|--|
clerQuicest inenuleautr e	---|--|----⌫|-|---|----⌫|
uautamerLi gentiex	---|---|-|------|
cheualier[s]pensoitael Ançois	-----------|------||-|------|
rendras on	-----|-⌫-|
p e re ses iret ésQueamiste ́d efem euoilleus er.	-⌫-⌫-|--|----⌫--|--|------⌫|-⌫|---⌫|-----|--⌫--|
toutaf ianche paruerité Que	---||-⌫-----|--|------|--|
ilporoitsonper e tost	-|-----|--|---⌫|---|
oublierC ar	------|-⌫-|
am istetdefeme faittou tmuerLe	--⌫----|-|---|---|---⌫|---|-|
lhomeettrestorne r. LuIIIToute nuitgistAiol[s] iusc	|---|-|---------⌫-|----|----|---|---|------|---|
a lmatin. Quant	-⌫|-----|----|
l enfescoisi la ube sisesbaudi	|----|----||-⌫--|-||------|
Isne lem en tsecauchequantfu	----⌫---⌫--⌫|-|-----|----|-|
uesti[s]Etuait	-------|-|---|
aSainte Crois	|-----|----|
lem e sse oir Etsie utpor sessionius cau	-|-⌫-⌫--|--|-|---⌫-|---⌫------|---⌫|-|
m idiQuarElies	-⌫--|---|----|
sesperes li	--|----|-|
au oitdit Qu ilsep enasttoudisdeDé( x)	--⌫--|--|-|-|-|-⌫----|-----|-|----⌫-|
C hilcu i De xuieutaidiernertiah oni[s].	-⌫--|--⌫|--⌫|----|-----||--|-|-⌫------|
A lostels en	||----||-|
repairequant	------|----|
toutfuditLi ma ngie r[s] futoutprestqu a ntil	---|-|--|-|--⌫----⌫---|-|---|----|--⌫-⌫-|-|
reuint.Aiolset seboi neos t eisont asis	------|----|-|-|---⌫-|--⌫-⌫||---|---|
Lisene scaus	-|----⌫----|
les sertmoltbiend e luin. Quantas sés ontmangiet	--|---|---|---|-⌫-⌫|---|----|--⌫---|--|------|
Les deniersdesabourseaAiol[s] pris	--|------|-|-|-----||------|---|
ostesses e lia	------|-⌫|-||
d itDame che	-⌫-|---|--|
dist Aiol [ s]uo grant	---|----⌫-⌫-|-|----|
me rchiDelbien	--⌫---|--|---|
quem a ués f aitpuisqueui(e)ng	--||-⌫---|-⌫--|---|--|------|
Damede[x]leuos	--------|-|--|
mireq u ine menti.Ortenés .iii i.sousque	---|-⌫-⌫|-|-----|-|-----|----⌫-|---|--|
i o uaichiIe quic.i iii. deniere n	-⌫-⌫|-|--|-|---|--⌫---|-----|-⌫|
sont failli Quei	---|-----|--||
ofriSai nteCroissoie merchiSe plus ai d esp endu	---|---⌫--|----|---|-----|-|---|-|-⌫---⌫---|
ga rni[s]Que ie mechemon	--⌫-----|--|-|----|--|
gage etfachef in.Encore	---|-|----|-⌫--|-----|
un haubercet unroncinEtunelmedachier	-|------|-|-|-----|-|-|---||-----|
bruni [s] Et chi l qui lmed ona	-----⌫--|-|---⌫|---⌫|-|-⌫--|
nen pres istm ieson poisdorfi nIl	|-|----⌫--|-⌫-|--|---||-|--⌫|-|
laen ma i n te stor	||-|--⌫-⌫-⌫|-⌫---|
demortgariEts	-|---|---|-||
ai .i.bra nc dachi er	-|--|---⌫-||----⌫-|
mentirNequicquilaitmillor encespais	-----|-|---|-|-|--|-----|-|--|---|
.i.besantd o rueé slechi Qu ep orDieu	--|-----||-⌫|----⌫|-|--|--⌫|-⌫-|---|
medona un [s]	-|---|--⌫--|
pelerinsEts a iun anel	-------|-||-⌫|-|---|
d or g rantetfurn i Queme	|-|-⌫---|-|----⌫|--|-|
d oname sostesal dep ar tirUn[s] b orgois de	-⌫--|--⌫|----|-|---⌫--⌫--|----|-⌫-----|-|
Po iti e rsque Dex	--⌫---⌫-⌫-|--|--|
aitEt respontYsabiau s	--|-|------|-------⌫|
Moltesgentis Estoie	---|-|-----|-----|
deniersbiausdousa misSe	------|----|---|-⌫--|-|
Dieu[s]mai tdegloire	------||--⌫|-|-----|
m entiIen en	-⌫---|-||-|
prendroienuldeuant auril Ie	--------|--|-----|----|-|
pasborg oisedecheste	--|----⌫---|-|-----|
chitAi ncneue ndi encor enepainne	---|--⌫-|-|--⌫--|-----⌫|-|---|-|
uinAnçoissuigentieu	--|------|--|------|
femeseurLo e ysL	---|---|--⌫-⌫-||
enpere [or]deFranche	------⌫---|-|------|
de SaintDeni sQuitout e	-|----|----⌫|--|----⌫|
ches tet erea	----⌫-|-⌫--||
ate nir. Quantl	|--⌫---|----||
ente ndiAi olsliés endeuint.	----⌫--|--⌫--|----|-|------|
b ienque chestsante pr èsde	-⌫--|--|-|--||---|--⌫--|-|
sonli nCar Eliessesperes	--|--⌫|--|----|--|----|
liauoitdit Etdist	-|----|--|-|---|
entresesde nsc onneloi	----|--|--⌫-||-|-||-|
Dameldésirepere(s)gre ́setmerchisuosen puiss e	-------|---|------|---⌫-|-|------|--|-|-----⌫|
rendreauoplaisir	-----||-|------|
Que de ch est grant pichiém aués	--|-|--⌫--|----|------||----|
ot prèsescarniErsoir	-|----|------|-----|
seuau tcouchier ensam ble m iMa	-|---⌫|-------|-----⌫--|-⌫|-|
cousi ne estgerm aine iel sai	-----⌫-|--|----⌫---|--|--|
defi CuiDieu suauraaidier ia	-|-|--|----⌫|----|-----|-|
n er thoni[s]LIX -Am isdistYs abiau s	|--⌫|------|--||--⌫-|---|--⌫-----⌫|
molteste s	---|----⌫|
berE st oi és uo[s]deniersma isnenparlés.Encor(e)	--|-⌫--⌫--⌫--|----|------|--⌫-||-|-------|-------|
mo ispassésSens i fuisiés uenu po r	--⌫-|------||---⌫|-------|---|--⌫|
co nquesterIa	--⌫-------|-|
ne uo s esteust auan t	-|--⌫|------|----⌫|
alerCa rBerruier	---|--⌫|-------|
n o sontto us desherté Ilnous	-⌫-⌫|--|--⌫-|--------|-|---|
ga st entet pr oientpar lor	--⌫--⌫--|-|--⌫----|--|--|
fiertés.I enes ui pasborgoisedela	--------|-⌫|-|-⌫-|--|-------|-|-|
chité Ainssui	-----|---|--|
seurL oeysqui	---|-⌫---|--|
cestrene ́ Et	---|----⌫|-|
toutecesteterreaaga rde r.	----|----|----|||--⌫---⌫-|
Li dus Miles dAiglent qui	-|--|----||------|--|
moltfuberCiltenoit .x.	---|-|--|--|-----|--|
chast ieuset .iii.chitésSimeq uista	-----⌫---|-|----|------|-|-|-⌫---||
mon perepar sa	--|---|--|-|
bontéMessires	-----|--|----|
mieusmarieruolentiersme	----|-----|---------|-|
deboin g ré	-|---|-⌫--|
d o ir que cestefillequ e	|-⌫-|--|----|----|--⌫|
ueé s .En trais on l	----⌫-⌫|-|-----⌫-||
ochis ent .xii ii.	-----⌫--|----⌫--|
perLi unsenfu	--|-|--|-|-|
Makairesli desfaésDema intes traison[s]est	-------|-|-------|-|--⌫----|---------|--|
i lproués	-⌫|------|
Pu is a il lesFr ançoissienbeurésE tlois et	--⌫-||-|--|--⌫------|-|--------|-⌫|---|-|
iugemens(e s t)	-------|--⌫-⌫-|
a luitorné sQu	|--|------⌫|-|
t ous le sfrans homes	-⌫--|--⌫|----|----|
Eli em onserougequ imolt	---⌫|-⌫-|------|--⌫|---|
il partraison	-|--|------|
desireté ( s)Orentient le schastie us etl es chités.Ma	---------⌫-⌫-|-|-|----|--⌫|-------⌫-|-|-⌫-|-------|-|
se urenest kaitiue ielsa i	--⌫-|-|--|------|--|--⌫|
assésSen aimonceurdolant	-----||-|-|--|---|-----|
grainet iré.QuandlentendiAiol[s]senest	----|-|----|----||------|------||-|--|
Se or(e)u ausist	-|----|-⌫-----|
lienfe sauantparler	-|----⌫|----|-----|
Iafu isse nt a co intiéparamisté.LXAmi sdist	-|--⌫----⌫-|-⌫--⌫-----|--|-------|-|---⌫|---|
Ysab iaus m olt sui marie Duneserorqueiai	----⌫---|-⌫--|--|----||--|----|--||-|
kaitiueEle	------|--|
estena ut re ter re etlisien[s]	--|-|-⌫--⌫-|---⌫-|-|-|------|
Makaire[ s]d eLosanel esdes e riteMaismo ltm	--------⌫-|-⌫|-----|-⌫-|---⌫-⌫---|---|--⌫-||
aime lirois	---|-|---|
deceste uile	-|----|---|
Car ch ouestlimiens	--|--⌫-|--|-|----|
fr e re etli mie nssire.	--⌫-⌫-|-|-|---⌫-|----|
CilDameldex de gloirel i fie u sMarieQui	--|-------|-|-----|-⌫|---⌫-⌫|----|--|
lecieletle	-|---|-|-|
enba illie Li rengesel ui plest	-|--⌫----|-|----|-|-⌫-|----|
seshonorsqui te s	--|-----|---⌫--⌫|
Etcon fongeMakaire lemaltr aitreQua	-|---⌫----|------|-|--|--⌫----|-||
p ichié l es d esheriteQuant	-⌫-----|-⌫-|-⌫-------|----|
Aiol[s] li frans	------|-|----|
nobileContreual	-----|--------|
enuers tere s enhu melieE t dist	-----|---||-|--⌫----|-⌫|---|
mi e Parlefo i que ie	--⌫|--|-|--⌫|--|-|
sa inte MarieIa	--⌫---|----|-|
ne ue r és	-|--⌫-⌫--|
passerPasqueflorieSei	-----|-----|-----|-||
encon tre Makairel emaltraitreQualespee	-----⌫--|------|-⌫|--|------|-|||----|
tr en cha n td	--⌫--⌫---⌫-⌫||
achi erbornie Cuic enuersluimo ust rer tele estouthie	----⌫-|-----|---|-----|--|--⌫---⌫--|---|--------|
Dont ligir a sanglans lico rs sans uieLX I-	---|-|---⌫|-------|-|--⌫-|---|--|--⌫||
Si r edist	--⌫-⌫|---|
Ysabiausolecorsgen t Damoiseusdeb oin	-------||-|---|---⌫|--------|-|-⌫--|
uaure ́suos i	-----⌫-|--||
parlerpr ocha inemen t A lfortroiLoeys u	-----|--⌫----⌫------⌫|-⌫|---|--|----||
Franchea p ent - Dame chedistAiols n en	------|-⌫-⌫--||---|--|---|----||-|
Ne mos abandoner si fait ementBac heler[s]quiestenfes	-||-|--------|-|----⌫----|---⌫-------|--|--|----|
mon iouentN edoitale r a cort	--|-----|-⌫|---|---⌫||---|
siprest eme ntSilnen	-|-----⌫---⌫-||-|--|
a gent is armeset garnime ntSenpre legaberoient	|----⌫-|----|-|-------⌫-|-----|-|---------|
gent. Mais pleus toreaDieuom nipotent	----|---|-----⌫|--||---|--⌫-------|
laportetor nieme nt	-|----|---⌫-----⌫-|
Iameni stroiefor sp remierementMonceu r	-||-|-⌫-----|---⌫|-⌫----------|--|---⌫|
essau cheroie et toutmon sens	-----⌫------|-|---|--|---|
Se iestoie c ouarsufelu	-||-----|-⌫----||--||
lens.- Amisdis t Y sa b i aus	----||---|---⌫|-⌫--⌫-⌫-⌫--|
chertat out tensQuar	-|--||-⌫--|---|---|
BeruiernousuienentichisouentEtSarr asinnous	------|---|------|---|-----|-|----⌫---|---|
mainent molt	------|---|
malementPanpelunenoustolenta	-------|--------|---|-----||
ensie nt.LXIIChe	-----⌫--|---|--|
fus taprèsle Pasqu eelmoi sdest éQueli	---⌫|-----|-|-----⌫|-|---⌫||---⌫-|--|-|
B oorg ess	-⌫----⌫-||
est por pe nsés.I l	--|---⌫--⌫-----|-⌫|
seshomesa luimandés	--|----||--|------|
.uII.XX.cheual ier fur ent t out	-------|------⌫--|---⌫--|-⌫--|
adoubé. Ber uier	-------|---⌫---|
s ont enFra nche	-⌫--|-|---⌫---|
entréEl ualdeSuberiedesous ua lclerLaont	-----|-|--|-|------|-|---|--⌫----|-|--|
agaitarecheléTel.i iii.	----||-------|--|--⌫---|
c he ualier sensont torné	-⌫--⌫-----||-|---|-----|
Qui l e cembel e nport entalech ité	--|-⌫|-----|-⌫|----⌫--||-|--⌫---|
UAiolsse por aia e spro uer	|----|-|---⌫|-|-⌫----⌫--|
Ets ongrantuas eIagebien dem oustrer.LXIIIDes	-|-⌫-|----|---⌫----|---|---⌫-------|----|--|
robeors q uilairontPar	------|-⌫-|-|----|--|
ensiantsaibien lesnons	------|--|---|--|---|
Ce stN iuarsetAliaumesFoucarsSansons Il orentcleres	|-⌫-|-⌫----|-|-------|------|------|-|----|-----|
arm e set[bia x]poignonsEt bo insdestri ers	---⌫-⌫|-|----⌫-|-------|-|--⌫--|------⌫--|
cora ns fors	----⌫-|---|
Gasc ons.Il uienenta Orlienspassent	----⌫---|-|------||------|------|
fierent enlebaretout a	------|-|-|---|---||
bandonEtcrie ntlorenseing esa	-----|-|----⌫-|--|-------⌫-||
[m olt]hau ttonU estes L oeys	--⌫---|---⌫|--||----|-⌫---|
lifieusCharlo nIssiés	-|----|------⌫|------|
cha forssiuo s	--|---|-|--⌫|
onorqueconquis tCh arle[s]	---|--|-------⌫|--⌫------|
uoscalengon .Atortpo rtés	--|--------⌫||---|--⌫----|
coron enousledison	-----⌫|---|-|----|
cesteg ue rrefi nn ep rendronDessi quet arons	----|-⌫--⌫--|--⌫|-⌫|-⌫------|----|--||----|
mo rtuenprison.Quan t	--⌫-||-|------|----⌫|
l entent lenpere[re] pesa	|-----||---------|---|
Fran çoiscoren tasarme s e t	----⌫----|-----⌫|-|----⌫|-⌫|
as adou s.Ai ol[s] l i f ie	-|----⌫-|--⌫----|-⌫|-⌫-|
enotletonGrantioieo t dela	-|-|-|--|----|---|-⌫|-|-|
gue rremoltl if u bo in	---⌫--|---|-⌫|-⌫|--⌫-|
Quiluauraessauc hiers	-|-|----|------⌫---||
il peuts on non.LXIuLi	-|---|-⌫-|---|---|-|
cenbiausfurendu sli	-------|-|-----⌫|-|
noi se es tg ransFran çois	---⌫-|--⌫|-⌫---|----⌫----|
cor e ntas	---⌫-⌫-|-|
armescommunalment	----|-----------|
E t Loey sd eFr a n c he afait	-⌫|----⌫|-⌫|--⌫-⌫-⌫-⌫-||---|
Ne n i stracheualiersne	|-⌫|-⌫---|---------|-|
nus se riansDess i a ice l[e]	--|--⌫----|----⌫||---⌫---|
illecom mant.Aiol[s]fu alostelgra i nset	-|-|---⌫----|------|-|||----|---⌫-⌫-|-|
Que il nauoitamin enulparentA	--|-||----|--|-⌫|--|-----||
qui ilossastdireson	--|-|-----|---|--|
erementAin sreclaime	------|---⌫|-------|
Ih esu escortrementAhi	--⌫--|-----------|--|
peres ire poissan s Qui f esis Lasarondemort gar ant	---|-⌫--|-------⌫|--|-⌫---|------|-|---|---⌫--|
Etli u ostre s aintcorsfusus sitansSolelfesiset	-|-|-⌫----|-⌫---|---|-|---⌫-----|----|----|-|
uenstornians Issicomch ouest uoi riels ui	---|-------|---|--|--⌫-|--|---⌫|--|-⌫-|
