quant limundesfuestabliz	----|-|-----|-|-------|
fuestr a izdeloranc ei sors	-|----⌫-⌫-|-|--|---⌫--⌫---|
decontio ie	-||--|--⌫-|
cestloro n nor s	|--|--|-⌫-⌫---⌫|
secreient moct efient	-|------|---||----|
sanc dum ain corslisacrefie nt	---||--⌫--|---|-|--------⌫-|
de xestd emortdexestd oc ise	--⌫|--|-⌫|---|--|--||--⌫--|
siliconuient teu sa crefise	-|-|-------|--|--⌫------|
marsnestmais	---||--|---|
entalentemenz	------------|
demorzdo mme s	-|---||-⌫---⌫|
edecontenz	|-|------|
el aou bataille e stiostee	|-⌫|-|-------|-⌫-|-----|
iest demars morzap elee	|--|-|---|---|--⌫---|
cest d eu apelerent romain	---|-⌫-|--------|-----|
poi uerteierepoic ertain	--|-------||--|-⌫-----|
querno ncerz f ait enonsa ichanz	---|--⌫|---|-⌫--||--|--⌫-----|
ceusquientr eussu ntcomb atanz	---|--|---|--|--⌫-|----⌫----|
liquexd eit uaintreelique xnon	-|---|-⌫--|------||-|---⌫|--|
es ieup eignent det eu facon	|-⌫|-|-⌫------|-|-⌫-|----|
qu elepiz a nu desc ouert	--⌫|-|--||-|----⌫----|
celuimost re	----|----⌫-|
tot enapert	--|-|----|
comb atreiane crienge	----⌫---|-|-|------|
ne que demortnelisou ieng e	-|--|-|---|-|-|---⌫----⌫|
quicui deraquebien ne di e	--|---⌫---|--|---|-|--⌫|
enl etimologie	-||---------|
quefait ysidor us liproz	--|---|------⌫-|-|---|
qui plus enparlabel sor toz	--|---|-|----|--|--|--|
icitdex es teit moctioiz	---|--|--⌫---|---|---|
m oct celebreze moctseru iz	-⌫--|-------||---|----⌫-|
e n tred aneisceuosdi bien	-⌫-⌫--|-⌫----|-|--|-|---|
quicrienze rentsortote	--|-----|-⌫---|--|---|
queumerue ille ert	---|-----⌫---|--|
siie nzertcriente	-|--⌫-|--|------|
quer mainteterre au ei taprie nte	---|-----|----|--⌫--⌫|-----⌫--|
despa ndresancerent ioios	|----⌫---|---|----|----|
ilnesteient d	-||-------||
audesiro s	-|------⌫|
eissilo rmoueitdelignage	----|--⌫|-----|-|------|
tex er tlor	--|--⌫|--|
uie elorusag e	--||--|----⌫|
icist po ple squeu os oez	----|--⌫---⌫|--|-⌫-|--|
dumnombrene stdiz necont ez	--|-----||-⌫-|--|-|----⌫-|
suntsi enluixureesboillant	---|-|-|------|---------|
si uolentifes ia rdant	-|-------||-⌫|-⌫----|
to zsuntl es fennesunes	--⌫|---|-⌫-|-----|---|
abandonneesecon munes	----------||---⌫----|
poienia qu i sisait	--|-|||--⌫|-||--|
q uautresne sai entpar con neres	-⌫|-----|-||--⌫--|---⌫---⌫----|
quanteissi s unt	----|----|-⌫--|
entremesle ́	----------⌫|
el unuersl	||-|---||
autreabandonné	----|---------|
hontosemen t sanz lei te nable	----------⌫|---|--|--⌫----|
e sanzcostumecouenable	|---|------|--------|
n e setli fiz	-⌫|--|-|--|
n equiliest ser orn efrere	-⌫|--|-|--|---⌫-|-⌫|----|
e np oricestasemblem ent	-⌫--⌫-|----|--------⌫--|
queent reusfuntsi fa itemen t	--|---⌫|--|---|-|--⌫------⌫|
eustante concr i e	--|---||-----⌫-⌫|
texmer ue illenefu oi e	--|---⌫--⌫---|-|-|--⌫|
n osditisidorus	-⌫-|--|-------|
en f aitacreire	-|-⌫--||-----|
quep orsif aite ngendrement	--|-⌫-|-|-⌫--|-⌫----------|
iermai nedreitement	------⌫-|---------|
ede niendrer i ermain eestdite	||-⌫-------|-⌫------⌫|--|---|
letreescrite	----|------|
e por e isi	|--|-⌫--|
tresgrantnaissan ce	---|----|-------⌫-|
eporsigran tm ultepleiance	|--|-|----⌫|-⌫-----------|
filco ntrelesperes	--|--⌫---|--|----|
edeseritoe ntlormeres	|---------⌫-|--|----|
uncleeneuou efrereeaiue	----||----||----||---|
ocieent souenta glai ue	------|-----||----⌫-|
nepoeites trefeiz entre eus	-|----|--⌫--|---|----|--|
si estei ent cruex efeus	-|-----⌫--|----||---|
eporc e qu ils	|--|-⌫|-|-||
entr etoleien t	----⌫--------⌫|
souentesfeizs entrociee nt	-------|---||---------⌫-|
neupoeit laterre	-||----|-|----|
porcesenconueneiteisir	--|-||-|--------|----|
poureenestei t eui s epire	----|-|-----⌫||--⌫||---|
ne poeitateu i en tsoffire	-|----||--|-⌫--⌫|------|
par so rta queuque pai ne	--|--⌫-||------|---⌫-|
duneuez costumean ciene	|--|--|------|--⌫----|
prene itlontotela iou ente	-----⌫-|--|---|-|---⌫---|
esimeteitlongrantente nte	|||-----|--|----|----⌫--|
ied il es fo rzlescombat anz	-|-⌫|-⌫-|--⌫-|--|------⌫--|
qu i poei entaueirq uinzea nz	--⌫|----⌫--|----|-⌫----|-⌫-|
outrenteouplu s si erentmis	-|-----|-|---⌫|-|----|--|
eneis silfors del or pais	-|---⌫--|---|-|-⌫-|---|
por querreaufer e	--|-----|-|--||
odforzorez	-|---|---|
e odt emper	|-|-⌫----|
parmerorribl ee teneb rose	--|--|------⌫||-----⌫---|
terreassazee eple n te ose	----|------||---⌫-⌫--⌫--|
a lor esteralo rremaindre	|--|----||--⌫|--------|
oul or maute peus t	-|-⌫-|----|----⌫|
esterenpaiza ampl eebien	----|-|---||----⌫||---|
sicomfire ntligocien	-|--|----⌫-|-|-----|
quitote europeessillerent	--|---|-----|----------|
erob er entedespoillerent	|---⌫--⌫--||------------|
iusc outrelespaluzd euflo	---|----|--|----|-⌫-|--|
tienne ntenalo	------⌫-|-|--|
q uanteuue neitaudesseurer	-⌫---|-|--⌫---|-|--------|
ainzquilen trassenten	---|-|-|--⌫-------|-|
cillimostréeliseign ié	--|-|------||-|-----⌫--|
qu ide ueientestrees si ll i é	--⌫|--⌫-----|----|--⌫--⌫--⌫-⌫-|
sacrefi oen taun	-------⌫---⌫||-|
quithurer ten treusapelé	--|---|--⌫|--⌫-|--|-----|
m aisc enesteit bestenoisel	-⌫--|-⌫||-----|----||----|
ne uinnencensble negastel	-|--||-----|--|-|-----|
donosf ertde main	--|---⌫--|-|---|
ainz sachez bienquesanc humain	---|-----|---|--|---|-----|
espandeient eusacrefise	----------|-|--------|
necuido ent anule gise	-|-----⌫--||---|---|
quesipreciospeus te s tre	--|-|------|----⌫|-⌫-⌫--|
tot celoranno ncoctliprestre	--|-|--|----⌫----|-|------|
quiparsort ier t	--|--|---||--⌫|
uezquefaiseit limescreu z	--|--|------|-|-------⌫|
uniodeb osp ren ei tasmai ns	-|-|-|-⌫-|-⌫---⌫--⌫|-|---⌫-|
il esteitcertains	-|-----|-------|
qu e londeueit	--⌫|--|-----|
auns ol copsanzrecour er	|-|-⌫-|--|---|------⌫-|
liespandeit	-|--------|
totleceruel	--|-|-----|
qua nt nifailleitmoct	---⌫-|||-------|---|
len ertbel	|-|--|--|
mo rt alaterr el	--⌫-||-|----⌫||
estendei t	--------⌫|
lauainedeucuerliquereit	-|----|--|---|-|------|
parcele l entraie t totfor s	--|---||-|-----⌫|--|---⌫|
quanquilpoeit lesancd eucors	-----|-|----|-|---|-⌫-|---|
adoncerentliessill ié	----|----|-|------⌫--|
fai re ioiose lie	---⌫-|----||--|
lor uis lor chies ce qu	--|--|--|----|-|-|
enadeisoenteteigneient	-|--------||---------|
sanztermenulquinfust donnez	---|----|--|--||---|-----|
apareillezne ap res tez	---------|-|--⌫---⌫--|
coreientasnexerranmen t	-------|-|--|--------⌫|
lesueill esdreicooent	--|-----⌫-|---------|
etraieentas auirons	|-------|-|------|
eisiuoidoct la	---|------|-|
eparsi faite deablie	|--|-|----|------|
c omsipoez aueiro ie	-⌫-|-|---|----|-⌫-|
cuidoentfustlorsa uuemenz	-------|---|--|--⌫------|
uersles orez	---|--|---|
e uerslesuenz	|---|--|---|
esila sorzchaistsig ranz	|-|-|---|-----|-|-⌫---|
quascheualers fustateignanz	-|-|--------|---|--------|
quesc onuenistaessiller	-|-|-⌫-------||-------|
s ilor ueist lon	-⌫|--|----|--|
desple ier	------⌫--|
lorenseignes a udesseurer	--|--------|-⌫|--------|
ce es teit	-|--⌫---|
signeademostrer	----||--------|
de bataille s	-|--------⌫|
da q ueremenz	|-⌫-⌫-------|
contrelesaliennesienz	-----|--|-------|---|
parteientdeslor	--------|--|--|
crue lefel e s anza mor	----⌫||--||-⌫--|-⌫--|
porlesgranz	--|--|----|
re nnes enu air	--⌫---|---⌫--|
por eus forcer epor to lir	--|--|-----||--|--⌫--|
eporl esie n z a mortliurer	|--|-⌫-|--⌫-⌫||---|-----|
e porlesreisdese riter	|--|--|---|----⌫----|
de lorpaiserent	-|--|---|----|
p or metre e nabandonlor	-⌫-|----|-⌫|------|--|
daquerreaue ir terreeuitaille	|------|---⌫-|----||-------|
desquelalor	--|--|-|--|
lorfaiseitfaille	--|------|-----|
auquesdes pris e sofraitos	-----|---⌫---||--------|
eplein dangois see	|----||------⌫-||
s essillo ent	|-------⌫--|
p or m ieuz a uei r	-⌫-|-⌫---|-⌫---⌫|
totparforce par e stoueir	--|--|----|--|-⌫------|
nedereuertir	-|-|-------|
fusta au en ir	---||--⌫--⌫-|
n aueientpen sene laissor	|------|---⌫-|-|------|
porcepar forcee	--|-|--|----||
gastoentl e srichespais	-------|-⌫-⌫|-----|---|
c ruause mortau s enemis	-⌫----||------⌫|-----|
tuiterent gaste ́ li	---|----|-----⌫|-|
e quiretraireitlo damage	|--|---------|-|-----|
le ssilneladest r uction	|-⌫---|-|-|----⌫-⌫-----|
nelacrue l occision	-|-|----⌫|-------|
q ueilfirentpartante leus	-⌫-|-|-----|--|----|---|
dole ros erttroplilors i e u s	----⌫--|--|---|-|---|-⌫-⌫-⌫|
icistdane is	----|----⌫-|
cist daci en	---|----⌫-|
serap eloenttroien	-|---⌫-----|-----|
e diraiuosenlachison	|----|--|-||------|
quantcrauentez fuilion	----|--------|-|----|
sinfuessilliez ante nors	-||-|--------|----⌫---|
qui moctenporta grantt resors	--|---|-|----|----|-⌫-----|
od tant deientco meiloct	-|---|-|---|--⌫-|-|--|
sigl alesm ersque	----⌫|--|-⌫--|--|
mainte s feizi fuasailliz	------⌫|---||-|-------|
edamagez e	|------||
tantqueil uint	------|-|---|
enceu pais	-|--|---|
que uos oiez	--|--|---|
qu eie uo sdis	--⌫|-|--⌫|--|
cipristod ses ienzremasance	-|----|-|--|---|--------|
unc puis t o ctene des s eu r ance	--|---|-⌫-⌫--|-|---⌫-⌫--⌫-⌫---|
nelenfu p arnul hommefa it	-||-|-|-⌫-|--|----|--⌫-|
edeluisuntdaneis estrait	|-|--|---|-----|------|
ce cuident	-|------|
bie n eisilodient	---⌫|---|-|----|
e sache izmoctsen glor ifient	|-----⌫-|---||-|----⌫-----|
esiau cuns	|-|--⌫---|
uait e nquerant	---|-⌫-------|
por qu ilsuntapeléno rmant	--|-|-|---|-----|--⌫----|
cinpuet oir lauerite	-||---|--|-|-----|
enlor langeestapelé	-|--|----|--|-----|
bisequidela u ientleuent	---|--|-|-|-⌫---|-|---|
hommedreitement	----|---------|
eissinormant hommes	----|------|-----|
quisisnonmene faitnultor t	--|-||----|-|---|--|---⌫|
querso nlorusage	---|--⌫|--|----|
uenzest e huen ence stlen g age	---|--||---|-|--⌫-|---⌫-⌫--|
e issieufaisei ent lidaneis	-⌫-----|------⌫--|-|-----|
cetruiseutensas pl usors reis	-|----|-|---|-|--⌫----|---|
qui cest e	--|----⌫|
leide sorzieterent	--|-|---|-------|
equilaterred eliueren t	|--|-|----|-⌫--------⌫|
neuou drent quasser	-|---⌫----|------|
nempeirier	|--------|
nedegerpirnedelaissier	-|-------|-|---------|
laleisnelestablissemenz	-|---|-||-------------|
que co mp aroent	--|--⌫--⌫-----|
maitesi enz	-----|-⌫--|
tensreis lotrocus	---|---|-------|
q uibienue squiecent anze	-⌫-|---|--⌫----|---|--||
reuoctlaleirenoualer	-----|-|--|--------|
quorentte n usianceisor	-|----|--⌫-⌫|-|-------|
au te rmedeuiseauior	-|--⌫--|----||-|--|
refu lasorzsor eusietee	---|-|---|--|--|----|
oct granta ssemblee	--|----|-⌫-------|
debac hel ersdeiouenceaus	-|---⌫---⌫--|-|---------|
f orz e h ardizeproz	-⌫--||-⌫----||---|
e ncestesorte n ces tenuei	-⌫|----|---|-⌫|---⌫|----|
conu intestrelefiz lorei	----⌫--|----|-|--|-|--|
quies teit ap ele z	--|--⌫---|--⌫---⌫|
eenso rnoncoste defer	|-|--⌫---|----|-|--|
odle s autresfuessil li ez	-|--⌫|-----|-|-----⌫--⌫-|
nen fudemisnees pairnez	|-|-|----|-|--⌫------|
unsen nesc alundesleié	-|---⌫----⌫-|-|-------|
liareis lotr ocusba i llié	-||---|----⌫---|--⌫-⌫----|
princedeu tot maistreechadel	-----|--|--|------||-----|
cistfuga rdedeu	---|-|--⌫--|--|
icist bierdumuosoez	----|---|--|--|--|
cost ede ferert apelez	----⌫|-|--|--|-----|
quesc u nosbercdobler	-|---⌫||-----|-----|
ne iaume ens onchi efbrunnid	|-⌫----|-|-⌫-|---⌫-|-----||
as estors nonmez	-|-----|-----|
ainzia l octtozdesarm ez	---||-⌫-⌫--|--|------⌫-|
unedeuinerresse	--|-----------|
euneforten chan terresse	|--|---|--⌫----⌫-------|
eisiapareillié	---|----------|
darz encha nt éeprin seigné	|--|-----⌫--⌫-||----⌫------|
eso r lu itant c ara tesfait	|--⌫|--⌫|---|-⌫---⌫--|---|
q ueia d a rmen enfust	-⌫-|-||-⌫--||-|---|
sanctr ait	---|--⌫--|
decopdelancene de spee	-|--|-|----|-||-⌫---|
n e fustiasa charen tanmee	-⌫|---|-|-|---|--⌫-----|
por cer t ch euale rsfort edur s	--||--⌫|--⌫-----⌫-|---||---⌫|
eesgranz batailles segurs	|-|----|--------|-----|
hastenc li fe ussiss eneschaus	------|-|--⌫-|--|-⌫--------|
orrib leslicru aus	-----⌫--|-|---⌫--|
l iplusmaus huenqui	-⌫|---|---|---|--|
un cn a squis t	--⌫|-⌫-⌫-----⌫|
e qui ausecle plusmaufist	|--|-|----|---|--|---|
mauteznestnuledesleie e	-----||--|---|-------⌫|
maud iten escommuniee	----⌫--||----------|
fure d enferforzsenemenz	---||----|-----------|
t raisons nedeceu emenz	-⌫------|-|-----⌫----|
du m siscuersnef us trepleniz	--⌫|--|----|-|-⌫--⌫|-------|
desiudas fu	--|----|-|
liplu s ha i z	-|---⌫|--⌫-⌫|
nusn espandi unctant cer u eles	--||------|--|---|---⌫-⌫---|
tantsanc decors	---|---|-|---|
tantesboe l es	-----|---⌫-⌫-|
tantaporchasciéc he ualers	---||----------|-⌫--⌫-----|
que i len orentsismille rs	--|-⌫|-|----|--|-----⌫-|
legers de cor sede	-----|-|---⌫||-|
euersdeueschisesauuag es	|---|--|-----||------⌫-|
uolenterifasgranzdesleiz	---------|-|----|------|
easmerueillesqu	|-|---------|-|
os orrei z	-|-----⌫|
es t out sanzcrienme	--⌫-⌫--|---|------|
tantorent autresie nzapie	---|----|-----|--⌫-||--|
que nusnen seustfaire esmee	--|--||-|----|----|----|
qua ntlorchos efuaprestee	---⌫-|--|----⌫|-|-------|
commede ne s	----|-|--⌫|
fo rz eentieres	--⌫-||-------|
deplu so rsmanieres	-|---⌫--⌫-|-------|
trenchanz esmoluz	--------|------|
d eiaumesdebroinesede scuz	|------|-|------|||-⌫---|
ede speestr ench anzdacier	||-⌫----|--⌫----⌫--||----|
sanzdemore resanztarzer	---|------⌫||---|-----|
iriezema rrize	----||--⌫---||
separti rentde	-|-----⌫---|-|
lorpa renz	--|--⌫---|
lorensei g ne s un tdespleiees	--|-----⌫-⌫--⌫|--⌫|---------|
el esueiles	|-⌫-|-----|
esmasdrec ee s	-|--|----⌫--⌫|
siglent coren tparmilomer	------|-----⌫|----|-|--|
siseuentsigar der	||-----|-|---⌫--|
cit ez del am ar ine	---⌫-|-|-⌫|-⌫--⌫--|
c istnes metentadecepline	-⌫--||-|-----||--------|
des torsde	--|---|-|
uilesdeschasteaus	----|--|--------|
pristre nt lesaueirs	-------⌫-|--|-----|
cherse bea us	----||---⌫-|
tantq ueuers francedreit siglerent	---|-⌫-|---|-----|----|--------|
lapr istent port e ariuerent	-|--⌫-----|---||--------|
l a fu lagentsimaubaillie	-⌫|-|-|---|-|---------|
quaintque poust	-|------|----|
fuprise e liuréatorment	-|----||-----||------|
equant quil orentensement	|-----⌫-|-|----|-------|
dehastenc n ospuet nusr etraire	-|------||-|---|--|-⌫------|
le c hienledepu taire	-|-⌫---|-|----⌫----|
le sesragiezforse n emenz	--⌫|-------|-----⌫-⌫----|
la poeste laseignorance	-|-----|-|----------|
deureiaumede tote france	--|------|-|---|-----|
sosmistaseiesozioa	------||--||-----|
earstaf eue	|---||-⌫-||
auquesli e rtlegera faire	-----|-|-⌫-|----||----|
nitrouoct mie grantco ntraire	||------|--|----|--⌫------|
li rennesuee z	-|-----|---⌫|
s orreizpo rqu ei siuosuo lez	|-----|--⌫|--⌫-|-|--|--⌫--|
en poesteengrantno bl ec e	-|-----|-|----|--⌫--⌫--⌫|
een grantglo ireee nhaute c e	|-|----|---⌫--||-⌫|-----⌫-⌫|
sortozre nne s de crestiens	--|--|--⌫---⌫|-|--------|
aueitestéfrancelonctens	----|----|-----|---|---|
reis r ichesforzeconqueranz	---|-⌫----|---||---------|
iaueiteuznes aiquanz	|----|--|-|-⌫-|----|
d egranzpoeirse degranz	-⌫|----|-----||-|----|
conquistrent re gions	-----------|--⌫----|
de rom ainsserent desfenduz	-|---⌫---||----|--------|
e delorseigno rieeissu z	|-|--|------⌫--|-----⌫|
moc t ere ntdoncfranceisau ior	---⌫|---⌫-|---|-------|-|--|
sor autresi enza granthonnor	--|-----|-⌫--||----|-----|
moct e rt saiteiglis eessaucee	---|-⌫-|----|-----⌫|-------|
se ns multepleiee	--⌫-|----------|
aueitdesai teient	----|-|---⌫-|---|
partotdeciqu en	--|--|---|-|-|
leseuesqu ezlesabeies	--|------⌫-|--|-----|
erentrichese bienseruies	----|-----||---|------|
noble ment f aites efondees	-----⌫---|-⌫----||------|
paintes aorpauimentees	------||-|----------|
por tenduese	---⌫------||
debois sees	------⌫---|
e odta bles d oren taillees	|-|--⌫---||-|--⌫-------|
ri c heses teie nt	--⌫-⌫--|--⌫----⌫-|
les contrees	--|-------|
replenieseasazees	--------||------|
lontensi dura ioi ee p ai s	--|---||---|---⌫||-⌫--⌫|
sanz deolsan zire s an zesm ais	---|---|---⌫|--|-⌫--⌫|---⌫--|
deci qu euten s reisloeis	---|-|-|---⌫|---|----|
mais sicomi	---|-|--||
ai lit eapr is	-|--||---⌫-|
cisto ctquatrefi zreneiez	---|-⌫-|-----|--⌫|------|
p esmesc ru au se	-⌫----|-⌫--⌫--⌫||
quiuncentreu s	--|--|---|--⌫|
nesacorderent	-||---------|
nequ i unc iornesentramerent	-|--⌫|--|--|-||----------|
pepinsloe iselo ta ires	-----|---⌫-||--⌫--⌫---|
charlesliquarz	------|-|----|
ci stf irentmaitedeshonnor	--⌫-|-⌫----|----|--------|
a lorperel	|--|---||
m or tsefirentrei	-⌫--⌫|-|-----|--|
m ai sunc neseporter entfei	-⌫--⌫|--|-|-|------⌫--|--|
ainz mo ntapu istan t lo r mautez	---|--⌫--|--⌫-|---⌫|--⌫|-----|
elor orribles	|--|-------|
quarainsle iord acen s ion	-||----|-|--||----⌫-⌫--|
sentremuren t teuconte ncon	|----------⌫|--|-----⌫---|
teubataille sid olorose	--|-------|-|-⌫------|
esitres mal auenturose	|-|---|---⌫---------|
defo nt en ele	-|--⌫--⌫--⌫--|
fu plein de s ancedeboele	-|----|-|-⌫--||-|----|
quen fra ncen	-|-|---⌫--||
octbue ncheualer	--|---⌫|-------|
nebuenseriantnebuen archer	-|---|------|-|---|-----|
ifust edetrenchez	|---||---------|
lirennesessillez	-|-----|-------|
rem est fors u ilanaille	---⌫--|---|-⌫--------|
t uit fu ren t mortenlabataille	-⌫--|--⌫---⌫|---|-|-|-------|
p aricezfufrance	-⌫-|---|-|-----|
si ga steesi af eblie	-|--⌫---|-|--⌫----|
quen ioctpu is	--|||--|--⌫-|
de sfension	--⌫-------|
si com nosleison	-|--|--|-----|
nitro uerentdaneisme slee	||---⌫-----|-----|--⌫---|
quilaterre lor	--|-|----|--|
ainzientr eren ta	---||----⌫----⌫||
afeuafla mbeeac har bon	|--||---⌫--|||-⌫---⌫--|
liur erenttot e depe cerent	----⌫----|--||----⌫-----|
unq ue sarienn	---⌫--⌫||---||
iesp arnierent	|---⌫--------|
lescloistres lesreli gions	--|--------|--|----⌫----|
lessaintes habitat i ons	--|------|-------⌫-⌫--|
dese ues qu iezdes chanonies	--|-⌫---⌫--⌫--|--|--------|
edessaintisme s a beies	|--|---------⌫|-⌫----|
ou damledexestei tseruiz	-|-------|-----⌫|-----|
d estruistrenttresto t parrai z	-⌫-----------|------⌫|--|---⌫|
nepreisahastenc les fr anceis	-|-----|------|--|--⌫-----|
flame n sneceusde	-----⌫-⌫|-|---|-|
uermendeis	---------|
ne c eus daniounedaquita ine	-|-⌫--||----|-||------⌫--|
uaillant un solflocelde la ine	-------|-|--|-----|-|--⌫--|
par uif besoig ep ar destrece s	--|--|-----||-⌫-|--------⌫|
sen fuieent es forte le ces	|-|------|-|-----⌫--⌫--|
maiscui chautpartot lesensect	---|--|----|--|--|--|-----|
e les dechacee lescons ect	|--|------||--|----⌫--|
confuntlichien lecerfala sse	--|---|-|----|-|---|---⌫--|
quideutotestanch e	--|--|--|-------⌫|
e ceusquilprent ocitmaneis	|---|-|-|----|---|-----|
nul eri enn	---⌫|--⌫-||
a uersluidefeis	|---|--|-----|
des u este menzsa intefiiez	--|-⌫----⌫---|--⌫--------|
desig lisesdes eu esqu iez	--|--⌫----|--|--⌫----⌫--|
seu es teient trest otades	-|-⌫--⌫-----|-----⌫-|---|
iateumerueillenorrez	-|--|--------||----|
qui armeosoctcontre ussaisir	--|---|----|----|-⌫-|-----|
fis poeitestrede mo rir	--|----|----|-|--⌫--|
chaitiuede sarm ee	-------|--⌫----⌫-|
estalornextraite	--||--|--|-----|
elesfenne s partot h onnies	|--|-----⌫|--|--|-⌫-----|
eforce e semaubaillies	------⌫-⌫||----------|
l es richespucelesu aillanz	-⌫-|-----|------|-⌫------|
duntes t pechez	---|--⌫|-----|
edolorgranz	|----|----|
sun tlaidement desuirgi nees	---⌫|--------|--------⌫---|
eparforce despucelees	|--|----|----------|
lorfu r ea r d anz esr a ieice	--|--⌫-⌫|-⌫-⌫-⌫--|---⌫-⌫----|
desl eielormalice	----⌫-||--|-----|
creistchaun ioredoble ent reis	-----|----|--||----|-|-⌫---|
totsaint q uent indeuers mendeis	--|----|-⌫----⌫-|-|----⌫------|
untars af euelomostier	--|--||-⌫-||-|------|
qui moctert pr e ciose cher	--|---|--|--⌫-⌫---||---|
egranzerichee bieaus	|----||----||-----|
nire mestsol li pauim enz	||--⌫---|--|-|-----⌫--|
ausipartresto tlep ais	---|--|------⌫|-|-⌫--|
lerichemost i er saitdenis	-|----|----⌫-⌫-|---|----|
fues brasezetozdes faiz	-|--⌫-----||--|---⌫---|
ele stresorssachez etraiz	|--⌫|------|-----||----|
est o iretrouum	---⌫-⌫--|-----|
em moleuesquede	--⌫-||------|-|
oc istr entpar lorf elonni e	--⌫----⌫--|--|--|-⌫------⌫|
oddeses cl ers	-|-|--|--⌫--|
moctg rantpa rtie	---|-⌫---|--⌫---|
autier z io rquer	-|----⌫|--⌫|---|
tresbi enlesai	---|--⌫-|-|--|
d edenz la qu alendede mai	-⌫----|-|--⌫-----|-|--|
quequas aiso nsuienient a	--|-||-⌫----⌫-|-------||
l arichei glis esain tmaart	-⌫|----|-⌫----⌫|----⌫|----|
ela saintele i	|-|----|---⌫|
s untarsesiusqu	-⌫--|----|----|
eufo ndeme nt	-|--⌫-----⌫-|
sainteien e uieuea paris	-----|---⌫-⌫----||----|
mocthautecho s ee de	---|----|---⌫-⌫||-|
fu auiue flambealu me e	-||---|-----|---⌫--⌫|
e tre buchee ecrau antee	|---⌫-----||----⌫----|
quanteisiorentespleitie ́	----|---|----|---------⌫|
dreitalornex	----||--|--|
sunt repairié	---|--------|
puiss eresloignentd iceu sporz	---|-⌫|----------||----⌫|---|
aillor srecherraorlors orz	------⌫|-------|-|--|-⌫--|
n esaiquexpe cchez lorenseigne	-⌫|--|---|--⌫----|--|-------|
de mer resuntentreze nseigne	-|--|-----|-----|-⌫|-----|
gimegesunt sigl ié	------|--|----⌫--|
la s unt uenuea riué	-|-⌫--|---||-⌫----|
lo rnauieu ntrapareillee	--⌫|----|-⌫-|----------|
quiauques esteit	--|-----|-----|
gem egesc ertriche abeie	---⌫---||--|----|----|
si truisen letimologie	-|----|-||---------|
que por lesgran zgemissemenz	--|--|--|----⌫|----------|
desmausedes trepa ssemen z	--|---||--|-----⌫------⌫|
quelonaueitfaitd enarrere	--|--|----|---||-|-----|
lonempreiere	--|-|------|
q uedex en fe ist ueirpa rdon	-⌫-|--|-|--⌫--|---|--⌫---|
au eit porce	--⌫--|--|-|
iemegesnon	------|--|
gemeg es degemissemenz	-----⌫-|-|----------|
ertlagloseelisenz	--|-|----||-|---|
autre mentertiemegesdite	-----⌫---|--|------|---|
eau t rementlatr u i sesc rite	|--⌫-⌫-----|-|--⌫-⌫-⌫|---⌫---|
dege mmefinee esmeree	-|--⌫--|---||------|
esteit iemeg esapelee	-----|-----⌫-|-----|
qu ausicomm e ienmeene n el	-|---|----⌫|----|-|-⌫-⌫-|
est lil ieusprecios	--|-|-⌫---|------|
ebiena ssi s econuenable	|---|-⌫---⌫||---------|
esorau tre stozde litable	|--|--⌫---⌫|--|--⌫------|
labeiedu m	|----|--⌫|
ciuosc unt	-|--|-⌫--|
naueitplusbele	|----|---|---|
aue it esté faitee fondee	---⌫-|----|----||-----|
c etruislisan t	-⌫|----|-----⌫|
decl odouee	-|--⌫-----|
defra n cecrestiens	-|---⌫-⌫-|--------|
sanzfai lletoz lipremerens	---|---⌫--|--|-|--------|
esieubate iasainzronmis	|-|-|----⌫-|----|-----|
i enles toire truis	|-||--⌫----|----|
baut eut saienteoissor	----⌫--|-|----|-----|
coronneeu ch ef	------|-|--⌫-|
uncteureinenoct enfr ance	--|--|----||--|-|--⌫---|
cesauumno sbie n	-|----|--⌫|---⌫|
sanzdotance	---|------|
quer lau ienosenfaitcer t	---|-|-⌫-|--|-|---|---⌫|
le b uen s aintfi le bert	-|-⌫--|-⌫---|--⌫--⌫---|
futantde ureicre uz li leus	-|---|--⌫|--|---⌫-|-|---|
t an t id onnaterr es	-⌫--⌫||-⌫---|----⌫-|
rentesriches ebienseanz	-----|-----||---|----|
ecostu mesa utresren d anz	|-----⌫--|-⌫----|---⌫-⌫--|
quenofcen z moines	--|--|---⌫|-----|
acui texui uressosfese i t	|--|--|--⌫---|-------⌫-⌫|
q uederienne rentsofr aitos	-⌫-|-|---||-⌫---|----⌫----|
mes saeisiez ne besoignos	---⌫-------|-|--------|
euesque elibaron	------||-|----|
eliri che clers	|-|--⌫--|----|
laissoent lesecle eger peient	--------|-|----||---⌫-----|
eleshonnorso uiles teien t	|--|------|-⌫|-|--⌫-----⌫|
siserendeientmoi nes faiz	-|-|--------|---⌫--|---|
eser ueientdeu e n paiz	|---⌫-----|--|-⌫|---|
moct er t lileu s	---|--⌫|-|---⌫|
dunccherste nuz	---|----|--⌫--|
m oct i faiseitdexgranzu ertu z	-⌫--||------|--|----|-⌫----⌫|
quantli moin elagen t uilaine	----|-|---||-|---⌫|------|
uirentuenir l agenzpaiene	-----|----|-⌫|---|-----|
foisen s unt	--||-|-⌫--|
hastiuement	----------|
sanznulautredelai ement	---|--|----|-----⌫----|
ente rree n fossesmoct parfont	-|--⌫--|-⌫|-----|---|------|
