quantmene laus ottroieasise	----|----⌫---|-|----|----|
unz cuenzsorchescune ma noit	--|----|--|-------|--⌫---|
lor fieantienentet lor te rre	--|--|-|------|-|--|--⌫--|
seacartage s or doitguerre	-||------|-⌫--⌫---|-----|
chascu n cont e e stou r oit seruir	------⌫|----⌫|-⌫----⌫-⌫--|-----|
et setcenzch eua lie r s ten ir	-|--|---|--⌫---⌫---⌫-⌫|---⌫-|
en celemer	-|---|--|
iostecartage	----|------|
iluecprentlana cel	----|----|--||--|
dune manierepesonez	|--|------|------|
ne gair esgranzmespetitez	-|----⌫-|----|--|------|
l enlestai ll e	-⌫-|--|---⌫--⌫|
sianchientroges gotetes	-|-|-----|----|------|
d ec et ointlanlapor p re chiere	-⌫|-⌫|-⌫---|--|-|---⌫-⌫-|-----|
pou sont peisondelo rmaniere	--|---|-----|-|--⌫|------|
nomec onciliuns	---|-⌫--------|
del sancdecesp etizp eisons	--|---|-|--|-⌫---|-⌫-----|
duntiluecau oitameruoille	---|----|--⌫--||--------|
deces ertlaporpr e u ermoille	-|--|--|-|-----⌫|-⌫-------|
les n oiresrefontan cart age	--|-⌫----|-----|-|----⌫--|
delsancd ungrantserpant euage	--|---||-|----|------|----|
quelenapell ecocadrill e	--|--|-----⌫|---------⌫|
duntmol tailuec an	---|---⌫||----|-|
serp a nz sontgranz adesmes ure	----⌫-⌫-|---|----||------⌫--|
et demoltdiue rs ena tur e	-|-|---|----⌫--⌫|--⌫---⌫|
qua n t asaproie deu oree	---⌫-⌫||-|----|---⌫---|
do nc sisendor tgole	--⌫-|-||-----⌫|---|
i l n en a no ien tdeboiel	-⌫||-||--⌫---⌫|-|----|
el corsli antrentli oisel	-|---|-|------|-|----|
etpastu ren t ansondor mant	-|-----⌫---⌫|-|--|---⌫---|
ce quemangié otde	-|--|------|-|-|
nesespurgepasaltrement	-||------|--|--------|
carn amiedefo ndemen t	--|||--|-|--⌫------⌫|
aunepartde lacite	|--|---|-|-|---|
as ist didosafermete	--⌫--|---|-|------|
tor z iotforzetbond onion	---⌫||-|---|-|--|-⌫----|
quine criementse	--|-|-------|-|
nip eu str i ennusho m	||-⌫--⌫-|-⌫-⌫-|--|--⌫|
p or nula saltlancier ne traire	-⌫-|--|-⌫---|------|-|-----|
ne liforfeis t	-|-|-------⌫|
sed euerslo cielneuenist	-|-⌫----|-|---|-|-----|
lipales fudes ozlator	-|----|-|---⌫-|-|--|
oncar o in eenper e or	--||-⌫-⌫|-⌫|-----⌫-⌫-|
nefusibuensueuzneta l z	-|-|-|----|---|-|--⌫-⌫|
dech ierespieresnatura l z	-|--⌫----|-----|------⌫-⌫|
ot u nmuienz el mur asis	-|-⌫|--|--|-|--|---|
e t set mile	-⌫|--|---|
esmalziot mi s	-----||-|--⌫|
espil ersesantailleur es	-|---⌫--|-|----------⌫-|
esoiser ie s	-|-----⌫--⌫|
esuols ures	-|----⌫---|
e s columbes	-⌫|-------|
es fenestriz	-|--------|
esuerrineseteschasiz	-|-------|-|-|-----|
fistanpre sdido	---|-----⌫|---|
oucosti ueeestoitiuno	-|-----⌫--|-----|---|
molt e stoit r ichea desmesure	---|-⌫----|-⌫---||--------|
e nui zseroitde sa faiture	-⌫---⌫|-----|-|-|------|
adiretot ceque nes t oit	|---|--|-|-|-⌫|--⌫-⌫--|
l a deessei unouolo it	-⌫|-----|-⌫--|----⌫-|
quecartage	--|------|
f ust chiesdel mont	-⌫--|----|--|---|
etli realmequiis ont	-|-|-----|--||-⌫--|
a l i fuss enttres t uitacl in	|-⌫|----⌫--|----⌫-⌫--|---⌫-|
maisonquesnipotmetrefin	---|-----|||--|----|--|
totautr ement est destiné	--|----⌫----|--|-------|
car li deu orentesgardé	--|-|--|----|-------|
qu earome l	--⌫||---||
estouoitestre	-------|----|
lica pitoill es sis t ad estr e	-|--⌫-------⌫-|---⌫||-⌫----⌫|
fo rsdelc hastelaunep art	--⌫-|--|-⌫-----||--|-⌫--|
ou fussentparcom unesgar t	-|------|--|---⌫-|-----⌫|
mispor iugi er	--|--|----⌫-|
po r tenir	--⌫|----|
droitportort plaissier	----|--|---|--------|
at enirl esplaiz	|-⌫---|-⌫-|----|
parm erueillosa ngin fufaiz	--|-⌫--------|-⌫---|-|---|
biaus etlargesdedanz	----|-|-----|-----|
u oltesetarsiotdou scenz	-⌫----|-|--||-|---⌫|---|
ianiparlasthomta nt	-|||------|--|--⌫-|
nefustoizeneslopas	-|---|--|--------|
pa rtotlo capitoille	--⌫|--|-|---------|
li uintqu atr esenator	-|---|--⌫---⌫|------|
iestoientiaesgardé	|-------|-|-------|
puisotrome	---|-|---|
la poe ste	-|---⌫--|
d iluecamoltlointoing aage	|----||---|--------|---|
q uedido uoltmetre ancartag e	-⌫-|---|---|----|-|------⌫|
e ncoridoncnepar	-⌫---|----|-|--|
celec ite t otefor nie	---|-⌫--|-⌫--|---⌫--|
encorfaisoitdido ourer	----|------|---|----|
en torpormiauz fr eme r	--⌫--|--|----|--⌫---⌫|
tantesplo itier entli mesage	---|-----⌫-----⌫--|-|-----|
que ilantrerentan cartage	--|-|--------|-|------|
i l u nta nq uis et dema nde ́	-⌫|-⌫-|-⌫--⌫--|-|----⌫---⌫|
quimainten oitcelecit e	--|-------⌫--|---|---⌫|
dit que un e fame	--|--|--⌫|---|
estoitdamed etot	-----|---|-⌫|--|
ilont anquisou	-|--|-----|-|
e leestoi t	-⌫-|-----⌫|
p ara ndicesalerentdroit	-⌫-|-⌫-----|------|----|
s us el chasteldesoz	-⌫-|-|------|----|
tro uerentiaalpal leor	---⌫-----|-|-|---⌫---|
laraineotot grantbarnage	-|----|---|----|------|
deuant liuie nent limesage	-----|-|---⌫---|-|-----|
ilio neu s parlapr emiers	----⌫---⌫|----|--⌫-----|
quimoltesto i tsage setfi ers	--|---|----⌫-⌫|----⌫|-|--⌫--|
s alualapuis sel i	-⌫---|-|---|-|-⌫|
antan anosdame	----||--|---|
bienasoii aa	---|-|-|-⌫||
furent ue rs troiens	-----|--⌫-|------|
astrentla uileettr eb uche rent	------|-|---|-|--⌫--⌫----⌫---|
granzetpetiz	----|-|----|
tozcrauante rent	--|--------⌫---|
decesquilanpor ent tenir	-|--|-|-|-|---⌫--|----|
nan potun s	|-|--|--⌫|
solsdemort garir	---|-|---|----|
to teontlacite essilliee	--⌫-|--|-|---|--------|
delace lestialligniee	-|-|--⌫------|------|
ot antr oie un	-|-|--⌫--|-|
riche baron	----|----|
decelegrantocision	-|---|----|------|
feisoient la nui tligreu	--------|-|---⌫|-|---|
lo gar antir ent bie n li	-|---⌫-----⌫--|---⌫|-|
forsl om istrent delac ite	---|-⌫|-⌫------|-|-|-⌫--|
grantgentot	----|---|-|
oluias anblé	|--|--⌫-----|
parlorcomandement uait	--|--|----------|---|
it ai lle une	--⌫--⌫--|--|
loig taine terre	----⌫----|----|
qu iselauonsset anz parmer	--⌫--||----|--|--|--|--|
nela p oons	-|-|-⌫---|
ancortrouer	----|-----|
tormantaumesgrantlaltrier	------|----|----||------|
unedenoz nes	--|-|--|--|
fistp longier	---|-⌫------|
leshom e snoiera nu e ismes	--|---⌫-⌫|----|-⌫|-⌫-⌫----|
etdes altresnesde per dimes	-|--|-----|--|--⌫---⌫----|
grantpartiesi nesau on	----|-----|-|-|---⌫-|
silsontancornoiesou	|-|---|----|----|-|
l amenorpartest	-⌫|----|---|--|
molt presdec i entacontree	---|---|-|-⌫|-|-|------|
eneasil uecestrem es	----|--⌫--|--|---⌫-|
ou ilatant	-|-|----|
sesa ut resnes	--|-⌫--⌫--|--|
can osanaa	-|-⌫-|-|||
t oitramis	-⌫-|-----|
queso itsegursantonpais	--|--⌫-|-----|-|--|---|
quil n en aitgardedeta gent	-|-||-|--|----|-|-|---|
il aito reetuant	-|--|-⌫-|-|---|
et ses nes al quesredreciez	-|--|--|--⌫---|--------|
quelatorma nte a	--|-|-----⌫--||
depec i es	-----⌫-⌫-|
didorespondi almes age	---|-------|-|---⌫--|
bien sai f aitell o g rant	---|--|-⌫--|-|-⌫|-⌫---|
etl o destruitdes	-|-⌫|-------|--|
ge lai oi m o lta lonc	-||-|-|-⌫-⌫-||---|
uosquidecelestesgari	--|--|-|--|----|---|
moltl auezpuis	---||---|---|
oncp uisnefustes sa nzdolor	--|-⌫--|-|-----|--⌫-|----|
mes tierauez grant de soior	---⌫---|---|----|-|----|
s euo suole zci se iorner	-⌫|--⌫|----⌫|-|--⌫-----|
uoznesrestroindreetratorner	--|--|----------|-|-------|
n auezgarde ge	|---|----|-|
l uo spleuis	|--⌫|-----|
dome quisoitan	|--|--|---|-|
ces t pa i s	---⌫|--⌫-⌫|
segur soi eznedotez	----|---⌫-|-|----|
se cauol tuenir eneas	-|-|---⌫|----|----|
ge lser uiraianmacit e	-||---⌫----|-|-|---⌫|
lim ienliertabandoné	-|-⌫--|-|--|--------|
ger efui iaplus e sgaree	-|-⌫---|-|---|-⌫-----|
quan tgeuingancestecontree	----⌫|-|---|-|----|------|
carne suipasdecest pa is	--|-|--|--|-|---|--⌫-|
parmo il osaibien	--|--⌫|-⌫|--|---|
que gedoibien	--|-|--|---|
auoir p itie	----|-⌫---|
luoi desconsoi llié	|--|---------⌫----|
s e seio rner	-⌫|----⌫---|
uolt eneas	---|----|
etdem o rerci atre spas	-|---⌫-⌫--|-||---⌫---|
i a mar idespand ra	-⌫|--||-------⌫-|
por riennul edontaitmestier	--|---|---⌫|---|--|------|
feraidelmiens eruir	----|--|---|-⌫----|
etmol tli donraia l partir	-|---⌫|-|-----|-⌫|-----|
plusli ferai queneuosd i	---|-|----|--|-|--|-⌫|
finu oloitremaindreci	--|-⌫----|--------|-|
et si l aissastesteratant	-|||-⌫------|----|----|
lafoliequ ilua que rant	-|----|-|-|-|---⌫---|
dematerreaitune	-|-|----|--|--|
aluieta sa c ompaignie	|--|-||-|-⌫--------|
ma gentetlasoesoit une	-|---|-|-|--|---|--|
se iluelt auoir	-|-|---|----|
plus ch ierletirien	---|--⌫--|-|-----|
queio aur ail otr oien	--|-|---⌫-|-⌫|--⌫---|
tor nez a luit ost	---⌫--||--|-⌫--|
li que ancartage	-|--|-|------|
sanuiegneomo iherberger	|-|-----||--⌫|--------|
tozestlassezdenauier	--|--|-----|-|-----|
limesagieron t priscongie	-|-------|--⌫|---|-----|
a lorseignors	|--|------||
enuont tuit	-|---|---|
eneas debienl oinlesuit	----|-|---|-⌫--|--|--|
contre ls ala	----|-⌫-|--|
e t selordi t	-⌫|-|--|--⌫|
quaueztrouénosbienetcoi	-|---|-----|--|---|-|--|
cartageparla stesalroi	------|-----⌫---|-|--|
nenilporcoin	----|--|--||
coidonc didomainti entl enor	--|---|---|------⌫--||---|
par la stesuosol io il	---⌫--⌫---|--||-⌫|-⌫-|
menacenosparfoinenil	-----|--|--|--|----|
et que dist do ncprometnos	-|--|---|--⌫-|-----|--|
soiez segurs marcrembroiz ri en	----|-----|--|--------|--⌫-|
cedi t ladametiriene	-|--⌫|-|---|------|
s ancesteterrelibicain e	|-|----|----|--------⌫|
uolez rem aindre et seiorner	----|---⌫-----|-|-------|
res troindreetreferme r	---⌫-------|-|-------⌫|
estuet doterderien	-----|----|-|---|
aseur ebie n	-----⌫|---⌫|
parnos uosofreloseior	--|--|--|---|-|----|
ansanblelianzansa tor	-------|-|--|-|-|--|
ses seru isesn e	--|----⌫---|-⌫|
uosfa ldra	--|--⌫---|
tant comprandrelo	---|--|------|-|
uos p laira	--|-⌫----|
dementre que limesagier	--------⌫--|-|-------|
alere ntlopaiscerchier	-----⌫-|-|---|-------|
furentlornesalportue nues	-----|--|--|-|---|--⌫---|
quilquidoient	-|-|--------|
auoir perdu es	----|-----⌫-|
aanc reesiertchascune	----⌫--|||--|-------|
totesierentnemesune	----||----|-|--|--|
qu ilp erdirent	-|-|-⌫-------|
parla torme n te	--|-|-----⌫-⌫-|
qui en t e rre norentnulleate nte	--|-|-⌫-⌫--||----|----|---⌫--|
e neasfor m antse sioi	-⌫---|---⌫-⌫--||-⌫---|
del an ouel e qu	-|-⌫|-⌫----⌫|-|
etdesesne s	-|-|--|--⌫|
quilot forsune	-|-|-|---|--|
moltliestoitpropre fortune	---|-|-----|-----|------|
fortune loraesbaudi	------|-|-|------|
quidedeuantl au o itmarri	--|-|-----||--⌫-⌫-|----|
porcenedoit	--|-|-|---|
hom desperer	--|-------|
selui estoetmalandu rer	-|--|-----|--|----⌫--|
et seilratotson p l ais ir	-|-|-|-|--|--|-⌫-⌫---⌫-|
doncn e se doit	---|-⌫|-|---|
tropesioir	---|-----|
nepor grantmalt rop esmaier	-|--|----|--|-⌫--|------|
ne por grantbientr opdes lier	-|--|----|---|--⌫-|---⌫---|
totmesur e	--|-----⌫|
uns b iens unsmals toz tensne	--|-⌫---|--|---|--|---|-|
f ortune to rne enm olt podore	-⌫-----|--⌫--|-|-⌫--|-||--|
telrita l mai n qui al	--|--|-⌫|---⌫|--|-|
alsoirest laideal	-|---|--|----|-|
si comeltornesa roelle	-|--|-|----|-|-----|
cuial m e t a l un ior	--|-|-⌫-⌫|||-|--|
autreloretorneius	----|-|------|--|
deta nt com ell	-|--⌫-|--|-||
a mis pl ushalt	|--|--⌫-|---|
tantpra n t il aualgraignor salt	---|---⌫-⌫|-|---|-------|---|
eneas dista ses barons	----|---||--|-----|
l ofr ea lad amee tlo	|---⌫||-|-⌫--|-⌫|-|
r espo n s	-⌫----⌫-⌫|
etcequeelli am endé	-|-|--|-|-||-⌫----|
quealtalien sa	--|--||-|-|-|
loe ntc omunaume n t	---⌫-|-⌫--------⌫-⌫|
queil i authastiue m e nt	--|-||--|-------⌫-⌫-⌫-|
et a lsi fistnetardapas	-|-⌫--|---|-|----|--|
mo ltsec onreabi ende	--⌫-|-|-⌫----|--⌫-|-|
et montaanun	-|----|-|-|
s etuinz anfistmontero	-⌫-|---|-|---|-----||
etcheualchadroi tuers cartage	-|--------|----⌫|---|------|
sicom lo mo inentli	-|--|-|--⌫----|-|
quideuantioren testé	--|-----||----⌫|----|
ainz noneuint anlacite	---|---|---|-|-|---|
sihomeuont de de uantlui	-|---|---|-|--⌫---|--|
et che ualchoient	-|---⌫---------|
dui et dui	--|-|--|
borioisdamesetcheuali er s	------|----|-|-------⌫--⌫|
rueset ansoliers	---|-|-|------|
le suontameru oilleesgarder	--⌫|---||----⌫----|-------|
n estouoitmiedemander	|-------|--|-------|
qu i del a compaignie ert sire	--⌫|-|-⌫|---------|--|---|
san zcequenusdal sloist	---⌫|-|--|--||--⌫||---|
conoissoient t restuitlo ro i	-----------|-⌫------|-|--⌫|
chascunlomostre al autre aldoi	------|-|-----|||----|-|--|
mo ltestoi t bials etauen anz	--⌫-|-----⌫|----|-|----⌫--|
et cheual iersfor nizet	-|------⌫---|---⌫--|-|
atoz an s anbl e	|--|-|-⌫----⌫|
lo plus bel	-|---|--|
descendrealchastel	--------|-|------|
contrelui e stdi dou enue	-----|--|-⌫-|--⌫-|-⌫---|
il u aitauantsila	-|-⌫--|----|-|-|
ele loprist par l a maindestre	--|-|----|--|-⌫|---|-----|
anlanta illedunef enes tre	-||----⌫---||--|-⌫----⌫--|
s esontloing desautr es asis	-⌫|---|----|--|----⌫-|---|
e lli adeson estre	-⌫|-||-|--|----|
etil l enag rantconte	-|-||-||-⌫---|----|
co m e i l	--⌫-⌫|-⌫|
erreetcomiluait	---|-|--|-|---|
quant i lliottotaco nté	----|-⌫|-|-|--|---⌫---|
s onchambellanaapelé	-⌫-|---------||-----|
arierel anuoia asnes	-----||-----|-|--|
porson filqui laertreme s	--|--|--|--|-|--|----⌫|
moltto stlirouaamener	---|--⌫-|||---|-----|
etc omandaa aporter	-|-⌫-----||------|
tro isga rnemenz q ueil	---⌫-|--⌫------|-⌫-|-|
porpansasoi qu illesdonroit	-------|--|-|-|--|------|
ala raine de car taige	|-|----|-|---⌫----|
qui moltli faisoitbel ostag e	--|---|-|------|--|-----⌫|
une noscheiotmeruoillo se	--|-----||-|---------⌫-|
unq uesne fupluspreciose	---⌫--|-|-|---|-------|
etu nmantel	-|-⌫|-----|
quim olt fu chiers	--|-⌫--|-|-----|
lapenneenfu	-|----|-|-|
aeschaquiers	|----------|
dun esbisch es de centcolors	|--⌫-|-----⌫-|-|---|-----|
daut resplusriches etm eillors	|---⌫--|---|-----|-|-⌫------|
fubienorle zli	-|---|----⌫|-|
mantiaus toz	-------|--|
deuanteta porfildesoz	-----|-||-----|----|
moltf u chiere lafor r eure	---|-⌫|-----|-|---⌫-⌫---|
etmolt u alutm ialz la u ol sure	-|---|-⌫---|-⌫---|-|-⌫--⌫---|
tozfuba tuza ordefors	--|-|--⌫--||-|-----|
solli a tache et l i mor s	--|-|-⌫----|-|-⌫|---⌫|
etlibo tone t li	-|-|--⌫--|-⌫|-|
ualoi entplusq uetro ichas tel	-----⌫--|---|-⌫-|---⌫|----⌫--|
t e luestementilue cauoi t	-⌫-⌫|--------|----⌫|----⌫|
comaraineco nueno i t	--||----|--⌫-----⌫-⌫|
estoitestelez	-----|------|
liroisprianzan	-|---|-----|-|
san tresor	--|-----|
faisoit cezgarnemenzgar der	------|--|--------|---⌫--|
qua ntilse	---⌫-|-|-|
deuoitcoroner	-----|------|
safame ec ubal es	-|---|--⌫--|-⌫-|
coroneeest oit	------|---⌫--|
to r nez s anestlichambell ans	--⌫-⌫--||-|--|-|--------⌫--|
tota complienpod etans	--|-⌫-----|-|-|-⌫|---|
sicomses siresl io tdit	-|--|--|----|-⌫|-⌫|--|
lam eree neassotet uit	-|-⌫--|-⌫---|--|-|--|
quesesfizestoit	--|--|--|-----|
an cart age	-|----⌫--|
moltredo toitansonc orage	---|----⌫---|-|--|-⌫----|
qu ilne lmenassent malem ent	-|-|-||--------|-----⌫--|
moltertan tre salua gegent	---|--|--⌫--|-----⌫-|---|
e le otdamor	-⌫-|-||---|
q uantuitqueson fil otmandé	-⌫---|--|--|--|--|-|-----|
soefantres esbraz	---|----|-⌫-|---|
moltl obaisaestroitement	---|-⌫|----|-----------|
ancelbaisier	-|--|------|
li ado né	-||--⌫--|
defaireamer	-|----|---|
gran tpoe ste	----⌫|---⌫--|
qui an preslilobaisera	--|--⌫---|-|-|------|
delfeudamorespris sera	--|--||---|-----|---|
qui lmeinent	--||------|
dis tu enus	---⌫|-⌫---|
quons nefamene lbaisastplus	-|--|-|---|-||------|---|
forsla raine eteneas	---|-|----|-|----|
il s a nto rn en t eneslopas	-||-⌫|--⌫--⌫--⌫|--------|
ascaniusoson barnage	-------||--|------|
asonpere uint an	|--|---|---|-|
cilquelauoi tf ait	--|--||----⌫|-⌫--|
adido lofaitp resa nter	|---|-|---|-⌫----⌫---|
ogranzgr aces a	|----|--⌫---||
tint ledon queric hes	---|-|--|--|---⌫--|
porsa ualor ta nt	--|-|----|--⌫-|
compo rcel ui	--|--⌫|---⌫-|
q uilidona	-⌫-|-|---|
ettuitli tirien	-|---|-|-----|
uir en t lodonaltroien	---⌫--⌫|-|--|-|-----|
ameruoillele	|--------|-|
prisenttuit	------|---|
grantparolleanfon t	----|------|-|---⌫|
e t grantbruit	-⌫|----|----|
entralstoz iugier	---|--|--|-----|
loq ue landoieplusprisier	-|-⌫--⌫|-|---|---|------|
quant ontlo	----|--|-|
mantelesgardé	-----|-------|
meruoi llelont loé	------⌫--||--|---|
etreuoientlouestem ent	-|-------|-|------⌫--|
lomanteltindr en tanoient	-|-----|-----⌫--⌫||-----|
et quantlanosche	-|----|-|-----|
u intapref	-⌫--|----|
totl aut re ne	--||---⌫-|-|
p r isentunef	-⌫-⌫----|-|-|
laraine lesa nuoia	-|----|--|-⌫----|
ansa chambrepuisa pela	-|-|------|---|-⌫---|
lanfan tqui ason per eui nt	|-----⌫|--||--|---⌫|--⌫-|
a colalosoeflotint	-⌫---|-|---|-|---|
moltlobaisa e stroitement	---|-|----|-⌫----------|
elsemain emol t malement	-|-|----⌫|---⌫|-------|
molt faitquefole	---|---|--|---|
quilato che	--||---⌫--|
uisneasaboc he	--|-||-|---⌫-|
uenusi o t saflamemi se	----||-⌫|-|----|--⌫-|
es traintquiestesp ris e	--⌫-----|--|--|---⌫---⌫|
m ortalpoisonlada me boit	-⌫----|-----|-|--⌫-|---|
desongrant duelnes	-|--|----|---|-||
o lebaisier tel	|-|------|--|
rage pr e nt	---|--⌫-⌫-|
d amorque li corsli esprent	|---|--|-|---|-|------|
donclorebaisaeneas	---|-|------|----|
etdoncdidoanes l opas	-|---|---|----⌫-⌫---|
laltrean batl a mor	|----|--⌫--||-⌫--|
chascun s en	-------⌫|-|
boitb iena sontor	---|-⌫--||--|--|
qui plus le	--|---|-|
beseplusanboit	---|---|-|---|
didoquiplusfo leestoit	---|--|---|--⌫-|-----|
elei apr is	--|||--⌫-|
mor taliu rece	---⌫--|--⌫---|
en grantdestrece	-|----|-------|
tan ta laraine	---⌫||-|----|
a luibaisier que tot nuit fu	|--|------|--|--|---|-|
etquetermefud esop er	-|--|----|-|-⌫|---⌫-|
atantfist l a nleue cor ne r	----|---|-⌫-⌫||--|---⌫--⌫|
etpuisso nt asisaumangie r	-|---|--⌫-|---|-|------⌫|
en uiz seroit	--⌫--|-----|
ades rai snier	|---⌫---⌫----|
etd acontert restozl esmes	-||------|-⌫-----|-⌫-|--|
q ui souent uindrentetespes	-⌫-|-----|-------|-|----|
mai schascunsan iot	---⌫|-------|-||-|
m olt les alantozbie nserui z	-⌫--|--||--|--|---⌫|-----⌫|
etquan t li mangie r s fu f ailliz	-|----⌫|-|------⌫-⌫|-|-⌫-----|
les nape straistrentliseriant	--|----⌫|---------|-|------|
elpalesotclart emoltgrant	-|----|-|-----⌫|---|----|
tantiart cierg es	---||--|-----⌫-|
lum iereni au st	---⌫---|-|--⌫-|
didore mest aume st r ed ois	---|--⌫---|-|--⌫--⌫-⌫|-⌫--|
niot sebaronsnond e	||-|-|-----|--|-⌫|
lautremesnieestdepa rtie	|----|-----|--|----⌫---|
sonoste priequ illidie	--|---|---|-|-|-|--|
detroieladestrucion	-|----|-|---------|
et lirecontla traison	-|-|-----|-|------|
tuit setorentparle	---|-|-----|--|-|
etescoterenta grantpes	-|---------||----|--|
eneas sofriunpetit	----|----|-|----|
e t a n apres seliadit	-⌫|-⌫|----|-|-||--|
damefaitil magra ntdolor	---|---|-|-|---⌫-|----|
mere me nbrez e tmatristor	-|--⌫--⌫----|-⌫|-|------|
lcomanceraia dire	|---------||---|
decele oren	-|---|--||
aiegrantire	--|----|--|
q u ant me	-⌫-⌫--|-|
remanbredelgrantduel	-------|--|----|---|
i a nelc onteroie monuoel	-⌫|-||-⌫-------|--|---|
ma isquantuosplest quege	--⌫-|----|--|----|--|-|
ia enorroizbien gr antpartie	-|-|-----|---|--⌫--|-----|
troie fuiaricheci te	----|-|-|----|--⌫-|
faitepargrant	----|--|----|
molt pare s toitetlongueetlee	---|--|-⌫-⌫---|-|-----|-|--|
detr au ers ot	-|--⌫--⌫--|-|
quantmen elaus no so tasis	----|---⌫----|--⌫|-⌫|---|
porloforfetque fistparis	--|-|-----|--|---|----|
moltnostrouae t forz	---|--|----|-⌫|---|
moltauions b uens cheualiers	---|-----|-⌫---|---------|
tornoiz lor	------|--|
tenions souant	------|-----|
p er doitmo l tde sag ent	-⌫--⌫---|--⌫-⌫|-|-|-⌫--|
ett riuesantre nos auoit	-|-⌫----|----|--|----|
tro ismois ouplus	---⌫-|---|-|---|
t el oreestoit	-⌫-|--|-----|
ser auie nsse iorgrantmasse	-|-⌫----⌫-|--⌫--|----|----|
nes aiporcoiuos	-|-⌫-|--|--|--|
lesbataille sn e les tornoiz	--|--------⌫|-⌫|--|------|
quelortenimesplu sors f oi z	--|--|------|---⌫---|-⌫--⌫|
asezaue zcenoitui t	---|---⌫|--|-|---⌫|
maiscomenosfum es des tru it	---|---|--|---⌫-|---⌫---⌫-|
nauezuosmie	|---|--|--|
sachoiz quenosfumestrai	------|--|--|----|---|
quantmenelausotsis d is	----|-------|-|--|-⌫-|
asonsiegequimolt	|--|----|--|---|
etuitque ia nenos	-|--|--|-|-|--|
prandro it	-------⌫-|
ne p arforcene par destroit	-|-⌫-|----|-|--|-------|
de raler s enfua sezpres	-|----||-|-|-⌫--|---|
quantlipramistdanzu lixes	----|-|------|---|-⌫----|
que parang inessaiera	--|--|---⌫-|-------|
espleit era	-------⌫--|
n eno spooitprendre	-⌫|--⌫|----|------|
dontseroitn oia nt	---|-----|-⌫---⌫-|
delate nd re	-||---⌫--⌫-|
ungrantche ual	-|----|---⌫--|
fistdefust faire	---|-|---|----|
de sorroes cinquant e pair es	--⌫--|---|--------⌫|----⌫-|
quelan poistm ener	--|--|----|-⌫---|
dedanzl ofist mol tbienche uer	-----|-⌫|---|---⌫|---|---⌫--|
f istfairegranzestages	-⌫--|----|----|------|
antor iotf et cincmanages	----||-|-⌫-|---|------|
celtant pet izfust	--|---|---⌫-|---|
oucentcheu aliern	-|---|----⌫----||
li cheuausfuanpliz trestoz	-|------|-|-----|------|
dech eualiersh ardizet proz	-|--⌫-------|-⌫----|-|---|
armesb ien arme z	----|-⌫--|----⌫|
liautrequisen	-|----|--||-|
sont tornez	---|-----|
pristrentlor paueillo ns lor tr es	--------|--|--------⌫-|--|--⌫-|
a nla mer semistrentesnes	-⌫|-|--|-|-------|-|--|
anunis lepre sdelriuage	-|-|--⌫-|---⌫|--|-----|
san alerent trestuit a	|-|------|-------||
iluec sesonttrestuit r epost	----|-|---|-------|-⌫----|
al matin san departilost	-|----||-|------||--|
m oltan dem enalan grant ioie	-⌫--|-|---⌫--|--|----|---|
partot elacite	--|---⌫|-|---|
lesportes corur entourir	--|-----|-----⌫--|----|
sisancomancenta	-||-|--------||
li cheuali eretliboriois	-|-------⌫-|-|-|------|
issu zsanes t	----⌫||-|--⌫|
prianzli rois	-----|-|---|
etn osolui comunaument	-|-⌫-||--|----------|
tui t enissi onliemant	---⌫|-|----⌫-|------|
etalion spar t ozles	-|-----⌫|--|-⌫-|--|
oles tentesf urentas	|--|-----|-⌫----|-|
liunsmostroit a	-|--|-------||
lautreal d oi	|----|-|-⌫-|
la sistli paueillonslo	-|---|-|---------|-|
la herbe rge achilles	-|-----⌫--|-------|
ci sist aiaus laulixes	-|---|----|-|-----|
caerent litornoitenu	-|----|-|-----|---|
totontesgardéet	--|--|-------|-|
barresliceset	-----|----|-|
g rantfossez	-⌫---|-----|
auoitantr alse t	----|---|--|-⌫|
liroisesgarde lo	-|---|------|-|
lorentiluecli	|----|----|-|
greu le ué	---|--⌫--|
ameism esd e	|-----⌫-|-⌫|
m oltenparlerent li plu sor	-⌫--|-|--------|-|---⌫--|
e t esgarderent totanto r	-⌫|----------|--|----⌫|
lo rdeuinaillesend isoient	--⌫|----------|-|-⌫------|
maislauer ite na n	---|-|---⌫--||-⌫|
sauo i ent	----⌫-⌫--|
ilfust aléto taltr emant	-|---|---|--⌫|----⌫----|
sil fust seucertai gnement	|-|---|--|------⌫------|
quelicheua lsa uoit el c ors	--|-|-----⌫-|-⌫---|-|-⌫--|
iade toz causni ssi st un sfor s	-|-|--|---||-⌫---⌫-|--⌫|---⌫|
nefu stde trenchi ezeto c is	-|--⌫-|--⌫-------⌫-|-|-⌫-⌫-|
alsnanissistu is	--||-|-----|-⌫-|
ma is tuit	--⌫-|---|
en fu mes deceu	-|--⌫--|----|
seci lfuss ent dedanzseu	-|--⌫|----⌫--|-----|--|
ars fussentd e danzlocheu al	--|------|-⌫-⌫---|-|----⌫-|
ancorneust troienulmal	----||---|----|--|--|
nefussio n spasans idestruit	-|------⌫-⌫|--|---⌫|-------|
enginperimes	----|------|
laounosf umes	-|-|--|-⌫---|
deuantlaporte oria ntal	-----|-|----|----⌫---|
ete sgardi ons	-|-⌫------⌫--|
laamenerentlip astor	-|--------|-|-⌫----|
