nob leslil ions	---⌫--|-|-⌫---|
certesatortensui	-----||---|-|--|
qainzp ar moineperdisa	|---|-⌫-|--|-|----|-|
n ene fismalareonel	-⌫|-|--|--||-----|
conpe reysengr in	-----⌫-|------⌫-|
ato rtmencusent miuoisin	|--⌫-||-------|-|-----|
lasmalseruiseai toz	--|--|------|-|--|
iorz fai t	---|---⌫|
parbiauseruira ile co lfra it	--|---|-----|-⌫|-|--⌫|---⌫-|
chascuns lehe tni	-------|-|--⌫|||
que t e l nepe iche qui encor t	--|-⌫-⌫|-|--⌫---|--|-----⌫|
male grace m adie usdonee	---|----|||---⌫-|----|
maisit eleestma destinee	---|--⌫--|--|-|-------|
queia sibienne s aura ifaire	--|-|-|---|-|-⌫----⌫|----|
men u aingnecontraire	|-|-⌫-----|--------|
certesmoltaia	-----|---|-||
q uiormeporcha centtelplait	-⌫-|-|-|------⌫---|--|----|
ena uezfaitci semondre	-|-⌫--|---|-|-------|
eti e suitozprez	-|-⌫|--|--|---|
dere spondre	-|--⌫------|
auiugementdeuostre	-|-------|-|-----|
a cestmotyse ngrinacort	|---|--|---⌫----|----|
deuantl e roi	-----|-⌫|--|
e treo niauslif ous liu iautres	-⌫|---⌫----|-|-⌫--|-|-⌫------|
lame sange ettib ertlichaz	-|--⌫----|-|---⌫--|-|---|
quiauoitestépris aulaz	--|----|----|---|-|--|
dame ro usetelageline	---|--⌫----|-|-----|
etdame pintesacousine	-|---|----|-|------|
rena rt ui tn i	----⌫-|--⌫|||
am es tierganche	|-⌫--⌫---|-----|
seignorcest	------||--|
alama inesc lanche	|-|--⌫-|---⌫-----|
orl icouientque raison rande	-|-⌫|------|--|-----|----|
gr antpaoracon ne	--⌫--|---|||-|-|
s o r nesetrenar tde	|-⌫|-|--|-----⌫|-|
mar acointatibe rt	--|------|----⌫-|
etbrunlo rs	-|---||-⌫-|
sornes tenlien s	|-||--⌫|-|----⌫|
moltserabonsrectoriens	---|---|---|---------|
renartse einsieneschape	-----|-|----|-|------|
ai nzchape ro n taillierdechape	--⌫-|-----⌫--⌫|-------|-|----|
lan o tme stie r	-||-⌫|--⌫----⌫|
parolefaint e	-----|-----⌫|
derena rt fo ntauroicon plainte	-|----⌫-|--⌫-|-|--|---⌫------|
de totesparzlestuet p arler	-|----|---||-----|-⌫----|
c apoine s	||-----⌫|
sepuetescuser	-|---|------|
ce dit noble s	-|--|-----⌫|
rena r trespont cem	----⌫-⌫|------|-||
siquebi en	----|--⌫-|
con no istpar raison	---⌫--⌫--|--|-----|
uersu o sn a	---|-⌫-⌫|||
nulemesp ri son	---|----⌫--⌫--|
siresirece distrenart	---|---|-|---|-----|
ia dieus nenest en	-|----|--|--|-|
seiedemesfa itme	-|-|-|-----⌫-|-|
don teusseenuers uo s	---⌫|----|-----|--⌫|
cequeil uo dr on t	-|--|-|--⌫--⌫--⌫|
mai s porceriensnem e toud ront	---⌫|--|-|----|-|-⌫|----⌫---|
pl aistquimes siresestes	--⌫---|--|--|----|----|
ie suisordiz d e	-|--|-----|-⌫|
plusors bestes	------|-----|
a telaip orté	|--|-|-⌫----|
grant ho n or	----|--⌫-⌫-|
qui p uis mafai tgrantd esonor	--|-⌫--|||---⌫|----|-⌫-----|
iesa ique li torz nest	-|--⌫|--|-|---||--|
tou tesuoies	---⌫--|----|
uaint r a li	-----⌫-⌫|-|
onqu es d eri ensnem entremis	----⌫-|-⌫|--⌫--|-||-------|
decoideuseestre	-|--|----|----|
da ntysengrinm on chier conpere	--⌫-|-------|-⌫-|----|------|
ma ispar lamela m oiem e re	--⌫-|--||--|-|-⌫--|-⌫-⌫-|
asafam enef isfolie	|-|---⌫|-|-⌫-|----|
p or m o i asaillie	-⌫-|-⌫-⌫|-------|
e tprezsuidemostrer s an zfaille	-⌫|---|--|-|------|-⌫--⌫|-----|
o u pariustiseou par batail le	-⌫|--|------|-|--|------⌫-|
ensincconenles gardera	-----|--|-||--⌫------|
cort lei u gera	---|-|-⌫-⌫---|
i sengr insestsaillizenpl ace	-⌫-----⌫--|--|------|-|--⌫--|
p oistn equiiplace	-⌫---|-⌫|--||----|
sadro itureuodraprou er	-|---⌫----|----|----⌫-|
totsanzma nco ngecontroue r	--|---|--⌫---⌫--|--------⌫|
nob leconmende quei ld ie	---⌫-|-------|--|-⌫|-⌫-|
n iac eliqui	|||-⌫--|--|
l cont red ie	|----⌫---⌫-|
renartdist ysengrin entent	-----|---|-------|-----|
ies uicilqu imond ro itatent	-|-⌫-|--|--⌫|--|-⌫--⌫-|----|
desgranz anu izque	--|----|---⌫-|--|
quenosauons	--|--|----|
eu zret raiz	--⌫|---⌫---|
nemesontencoramandé	-|-|---|----|------|
silauoit lirois	-||----|-|---|
conmend é	-------⌫-|
m oltaurasc ez autresgr e uez	-⌫--|----|-⌫-|-----|--⌫-⌫--|
poist amander	----|------|
et des iuenes etdeschanuz	-|--|-----|-|--|-----|
en asassezporfoux tenuz	-|-|----|--|---|----|
tuitcilquidetoicl amé	---|--|--|-|--|--⌫---|
qui ici enprese n tes t ont	--|--|-|-----⌫-⌫|--⌫-⌫--|
parmoiquipa rtoi suihon iz	--|--|--|--⌫|--|--|---⌫-|
uoilq ueli c ha nssoithui fen iz	---|-⌫-|-|-⌫--⌫-|---|--|---⌫-|
parlaueritemen	--|-|-----||-|
seiepuis ian	-|-|---|-||
en m entirai	-|-⌫------|
laouiepuiss e apar ceuoir	-|-|-|-----⌫|----⌫-----|
quenem enailleparle	--|-||-|----|--|-|
ien e mestierde	-|||------|-|
fairel onge	----|-⌫---|
nede cont roueren	-|-|----⌫----|-|
d etraisonte np rouerai	-⌫|------||-⌫|-⌫------|
s iquegar antne n	-⌫---|---⌫--||-⌫|
e tmosterraitot parrai son	-⌫|--------|--|--|---⌫--|
etf elonieet trais on	-|-⌫-----|-|-----⌫-|
bienensaur ailachaisondire	---|-|----⌫-||-------|---|
sete nuoloi es escondire	-||-⌫|-----⌫-|--------|
renart respontb iendistaue z	-----|------|-⌫--|---|---⌫|
ordites conmentle	-|----|------|-|
dist y sengr inbien le	---|-⌫-----⌫-|---|-|
uoi rn enmen tirai	---⌫||-|---⌫----|
m es conp eresestes enlai	-⌫-|----⌫---|----|-|--|
s i mauez men ée nbellai	-⌫||---|---⌫-|-⌫|-----|
plus de y yfoizqueienemente	---|-|-⌫|---|--|-|-|----|
maintesfoiz m auez	------|---||---|
fa itdolante	--⌫-|------|
p lusoraparceu	-⌫----|------|
quemai ntes foiz mas deceu	--|---⌫---|---||-|----|
orsai b ie nsecuersneme	-|--|-⌫--⌫|-|----|-|-|
no sso mesuenualasa ut	--⌫|--⌫--|---|||---⌫-|
moltaipartoi ma len duré	---|-|--|--|--⌫|--⌫----|
m aintes foiztenies	-⌫-----|---||-|--|
demafamemas	-|-|---||-|
m aubailli	-⌫-------|
etdis tren a r ttuasfailli	-|---⌫|---⌫-⌫-⌫|-|-|-----|
onquesatafame	-----||-|---|
neuerstoi de riens	-|---|--|-|----|
ne mespris	-|------|
dist ysengri n c ertesrenart	---|-------⌫|-⌫----|-----|
ie l moterroide moiepart	-||-------|-|---|---|
que uos a forcel	--|--||----||
asaillites	---------|
en con t ro uer	-|--|-⌫--⌫--|
pas nefaill it es	--|-|-----⌫--⌫-|
uoien zmesiauz	-----⌫|--|---|
uous is t ou non	----⌫--⌫|-|--|
li batites uosle crepon	-|------|--|-|-----|
bienuosuibout eretenpaindre	---|--|-|----⌫-|-|--------|
et du rement la	-|--⌫-----|-|
queueestra indre	----|-----⌫----|
iloc la tenitespor	---|-|------|--|
c enefupasieudep el o te	-⌫|-|-|--|--|-|-⌫--⌫-⌫-|
ceneporriezuo sdes fandre	-|-|------|--⌫|---⌫-----|
ne uo s en uei sse	-|--⌫|-|---⌫--|
e tuoz braiess usre monter	-⌫|--|-----|-⌫-|--⌫-----|
ne mesth ont edelraconter	-||--|-⌫---⌫|--|-------|
mais seiecelerle peusse	---|-|-|----|-|-----|
a nulio rdir e ne lseusse	|--|--⌫|---⌫|-||-----|
renartiadieusnep lace	-----|-|----|-|-⌫---|
l ecriat o rque tant	-⌫|-----⌫-⌫|--|---|
faitteldescouenue	---|--|---------|
quemaco nmer e aiefoutue	--|-|--⌫----⌫|--|-----|
plus basdel oil	---|--|-||--|
siconuosdites	-|--|--|----|
donque sseroigeerites	------⌫|----|-|-----|
or puet on	-|---|-|
bie n defi sauoir	---⌫|-|-|-----|
que uosnesauezhonteauoir	--|--|-|----|----|----|
q ueceauez	-⌫-|-|---|
donttuitli a utresont teu	---|---|-|-⌫---|---|--|
nedeussiez pas chosedir e	-|-------|--|----|---⌫|
quia her s anttornast	--||---⌫-⌫--|------|
mai s si auezlachose enpris e	---⌫|-|---|-|----|------⌫|
h onteauezledos mise	-⌫---|---|-|--|---|
bie na sorehonte adossee	---⌫|-⌫|--|----|------|
qanttu si hon i zt espousee	---|-|-|---⌫-⌫||-------|
le b outeretle soufachier	-|-⌫----|-|-|---------|
lefo rs sac hie r	-|--⌫-|---⌫---⌫|
boterenpaindr emeuistes	----|--------⌫|-|-----|
bie nsai que a mall e tenites	---⌫|--|--||--|-⌫|------|
mais ienelfisse	---|-|-||--|-|
porbien non	--|---|--|
or me nrendezm al guerredon	-||-⌫|-----|-⌫-|--------|
ie lfi spor bienet	-||--⌫|--|---|-|
p orfranchise	-⌫-|--------|
rendezm aue sseruise	-----|-⌫---⌫|------|
m oltfui foux q uimenentremis	-⌫--|--|---|-⌫-||-|-------|
orenestes mesanemis	-|-|----|--|-----|
cilli distbien tepu ez uanter	--|-|---|---|-|--⌫-|-----|
biensesa folmei se	---|--||--|---⌫-|
cest bie n chose	|--|---⌫|----|
maintehonteaipart o ieue	-----|----|-|--|-⌫-⌫|--|
detela utorite	-|--|-⌫------|
queentoina point deu erte	--|-|--|||----|-|-⌫---|
t an tmeconseillasenloroille	-⌫--⌫|-|---------|-||------|
que tefisentrer	--|-|--|-----|
enlasaille	-|-|-----|
etauale roupuisdedanz	-|-----⌫|-|---|-----|
l amale go ute aie sesdanz	-⌫|---|--⌫--|---⌫|-|---|
par tantesfoizmaur as fait honte	--|-----|---||---⌫-|---|----|
queien en saidireleconte	--|-||-|--|---|-|----|
tu deisq uilaporrestestre	-|---|-⌫-|-|------|----|
laienzem parad is terr etre	-----|-|-----⌫-|----⌫---|
g ahaingner ies	-⌫---------⌫--|
e tprez etb ois etpraierie s	-⌫|---|-|-⌫--|-|--------⌫|
nusn e seust riensde mander	--|-⌫|----|----|--⌫-----|
qu e illocnepoi st trou er	--⌫|----|-|---⌫-|----⌫-|
etquiuoloitmengier poisons	-|--|-----|------|------|
ouperche s	-|------⌫|
ousauzmons	-|-------|
t antenauoitconliplesoi t	-⌫--|-|----|--|-|------⌫|
a sa uolente	|-|------|
de to zbiensiertli	-|--⌫|----|---|-|
leusgarniz	---|-----|
de quoifu i	-|---|--⌫|
ilocescharni z	---|--------⌫|
ie q uidaitu	-|-⌫----|-|
deisses uoir	------|---|
fis miesauo i r	--|--|----⌫-⌫|
eng i ngna saiceleeure	---⌫-⌫----⌫||----|---|
ousaelentraisanzdemeure	-|---|-----|---|------|
etlacor de ledestortoille	-|-|---⌫--⌫-|-----------|
tuesto iesen lautre saille	-|----⌫--|-||----|-----|
iefui pesanztufus	-|--|-----|-|--|
tu tr aitres tu losa ngiers	-|--⌫-----|-|----⌫-----|
et tum ont as	-|-|-⌫---⌫-|
qan temilepuismencontras	---⌫|--|-|---||--------|
lo rs fumes cue rsiriez	--⌫-|-|--|---⌫-|----|
tu iesdef elonie plains	-|--|-|-⌫-----|-----|
iedemanda iquetu querois	-|-------⌫|--|-|------|
et tudeisquet umontoies	-|-|---|--|-⌫|-------|
lacostumedelmont	-|------|--|---|
lu n iuienentliautre	|-⌫||------|-|----|
de nfer ieresesch apez	|-⌫---||---|----⌫---|
e tiei rem esentrapez	-⌫|-||---⌫-|-------|
ienesaiquetudeuenis	-|-|--|--|-|------|
t eltrais onm eporqueis	-⌫-|-----⌫-|-⌫|-------|
ileu cs oufrige mesese	----⌫|-⌫----|-|-----|
deboiureestoieagrantai se	-|-----|-----||----|--⌫-|
t roisfoizme	-⌫---|---|-|
reclo stsorlate ste	-----⌫-|--|-|--⌫--|
moltia u oiegrantmoleste	---||-⌫-⌫--|----|------|
li blancmoinemenmistrent	-|----|----||-|-------|
maistantme bat ire ntle	---|---|-|---⌫---⌫-|-|
depoten c es	-|-----⌫-⌫-|
etdeba stons	-|-|--⌫----|
qu il me mistren t a	-|-|-|-------⌫||
uautrillons	----------|
depesmefi rent	-|--|-|--⌫---|
t eldeport	-⌫-|-----|
qu e l ame laissi erent	--⌫|-⌫|-|------⌫----|
e nz z fouse	-⌫|-⌫|----|
queeu emetres t rentenz	-----⌫|-|----⌫-⌫---|--|
depuordui estrecreuez	-|---|--|----|-----|
mol tai partoieste ́greu ez	---⌫|-|--|--|----⌫|----⌫-|
di leuc m an alai agrantp aine	|-⌫---||-|---||----|-⌫---|
que nepooieau oirmalaine	--|-|----|--⌫--||-----|
encor menduelenttuitlimen br e	----||-|------|---|-|---⌫--⌫|
do lent qa n til men	--⌫---|--⌫-⌫|-||-|
tumefeis aler peschier	-|-|---|---|-------|
etaleuet a nta crochier	-|||--|-⌫-⌫-|-⌫-------|
la qeueialee	-|---|----|
la glacesaelee	-|----|-----|
sanzlaqueeu e	---|-|-----⌫|
perdreal issir	-----|||----|
nem enpeus sed ep artir	-||-|----⌫-|-⌫--⌫----|
ise ngrindiz letu	---⌫----|--|-|-|
qu etuparmoieuslaperte	--⌫|-|--|--|--|-|----|
parfo ituparoles encore	--|--⌫|-|------|-----|
ta leche rie	-|-----⌫--|
t enfis t force	|-|---⌫|----|
t uesto iess i basoingneus	-⌫|----⌫--|-⌫|----------|
etdepoisons	-|-|------|
sic ouoiteus	-|-⌫-------|
tunenquidoies	-||-|-------|
p reu auoir	-⌫--|----|
biendistliliures	---|---|-|-----|
tot cou o ite	--|---⌫-⌫--|
cose g e bien	|--|-⌫|---|
dire enape rt	---|-|---⌫-|
moltest honiz quitotcouaite	---|--|----|--|--|------|
queson gahangpert ets	--|--|-----|---|-||
desque tules poisonssen tis	-----|-|--|------|---⌫--|
dimo iporcoitut	-|--⌫|--|--|-||
qa ntongironyy	|-⌫|--|----|-|
n enmeises	|-|-----|
maisporescharn iz	---|--|-------⌫-|
te tenisses	-|-------|
nenfuss es to zcha rgiez	|-|----⌫-|--⌫|---⌫----|
porcoitu fuss es engi ngniez	--|--|-|----⌫-|----⌫-----|
q an tdouenir	-⌫--⌫|-|----|
talaisemondre	|---|-------|
lors con mencas zzpoi a grondre	---|---⌫-----|-|--||------|
qant ie fui ennuiezd atandre	---|-|--|------||------|
site laisiea s poisonstendre	-|-|-----|-⌫|------|-----|
semaltenuintquelblameen a i	-|--||-|---|---|----|-|-⌫|
onqu esdespoisonsnemeniai	----⌫-|--|------|-|-----|
renart b ien tes ai escuser	-----|-⌫--|-|-⌫-|------|
et genzparpa rolesmuser	-|---|--|--⌫----|----|
n ep orroieauoi rret rait	-⌫|-⌫-----|----⌫|---⌫---|
les maus quetu dizetmas	--|---|--|-|--|-||-|
to uziorz m as	--⌫-|---||-|
zzioroi mengi édun b acon	-|--|-|-----⌫-||-|-⌫---|
ia uoi egr anttalant	|-⌫---⌫|--⌫--|-----|
t ubien decoiu re	-⌫|---|------⌫-|
tume d ei s qued un	-|-|-⌫--⌫|--||-|
tefi stlen mestreboteillier	-|--⌫-||-|-----|---------|
entagardeestoientli uin	-|-|----|-------|-|--|
soiretaumat in	---|-|-|---⌫-|
lam emenas	-|-⌫|----|
asse zioibatule dos	----⌫||-|---|-|--|
menastu aen ue rs	----|-||--⌫--⌫-|
tu maschante ́demolt forzuers	-||-|------⌫|-|---|---|---|
ce d istrenartor	-|-⌫--|-----|-|
decesuibienamo nre cort	-|-|--|---||--⌫|--⌫---|
quetan t beusque tufusiures	--|---⌫|---|--|-|--|----|
que tu deisq ue e s	--|-|---|-⌫-|-⌫|
sainzliu res	----|---⌫--|
chanterois b ienzzconduit	---------|-⌫--|-|------|
lors conm encas asigrantbr uit	---|----⌫----||-|----|--⌫--|
lauil e uindren t	-|---⌫|-------⌫|
queagrantmeruoi lle	--||----|------⌫--|
letindrent	-|-------|
qantioi lanoiseuen ir	---||-|-|----|---⌫-|
me doi t a	-|---⌫||
seiedou celier fo rs memis	-|-|--|-----|--⌫-|-|--|
cartropnos auoie nt sorpri s	--|---|--|-----⌫-|------⌫|
sefusbat uz moique naui ent	-|--|---⌫-|--|-|-⌫|---⌫--|
quima lchace m all iauient	--|--⌫|----|-⌫-|-⌫|-----|
renartmoltiesdemal epar t	-----|---|--|-|---⌫|---⌫|
lam etenistu por musart	-|-⌫|----|-|--|-----|
outumefe isla coron e	-|-|-|--⌫-|-|-----⌫|
daiue cha udeconmeapersone	|---|---⌫--|----||------|
si enp le etsi lee	-|---⌫-|-|-|--|
quetoteoilateste pelee	--|---|-|-|----|----|
n em eremes tpoil susle sioes	-⌫|-⌫|-----⌫|---|--|--⌫|---|
tu tenalasfai sentt esmoes	-||-|---|---⌫---|-⌫-|---|
demoi deuo iesmoi n e faire	-|--|----⌫--|---⌫-⌫|----|
certes molties de mal	-----|---|--|-|--|
estma char a foiblie	--|-|---|-⌫------|
ai llorste	--⌫----|-|
crui sifis	---|-|--|
unt ro nconmedonas d angu ile	-|-⌫--⌫---|-|----||----⌫--|
quetuconquei s partagil e	--|-|-------⌫|--|-|---⌫|
faireplu sa lechier	----|---⌫|-⌫------|
en mainzle usmas f ait	-|----|--⌫-||-|-⌫--|
tre buchier	---⌫------|
iedem and aioul e trou as	-|---⌫---⌫-|-|-⌫|----⌫-|
pormoi decoiurecontrouas	--|--|-------|--------|
quecharretiersta n te nmenoient	--|----------|--⌫-⌫|-⌫|-------|
queiliusnecheoient	--|-|--|-|-------|
desangile si	--|------⌫||
auoitt ant	----|-⌫--|
soua ntaloi ent ares tant	----⌫-|----⌫--|----⌫---|
quitra ientapa ine	--|---⌫---||--⌫--|
la c h areste qui tropest plaine	-|-⌫-⌫-----|--|---|--|-----|
iedemen dai parquelsanblanc e	-|-----⌫--|--|---|--------⌫|
iempor roieenplirm apan ce	|-|---⌫---|-----|-⌫|---⌫-|
tu med eisqant tetrouerent	-|-|-⌫--|---|-|--------|
quen lorc harestetegit e ren t	-|-|--|-⌫------|-|---⌫-⌫---⌫|
etproi erentqu as ezmeniases	-|----⌫----|-|--⌫-|-------|
et quel eremenentgar dasses	-|--|-⌫|-------|---⌫-----|
tant me nalas	---||-⌫|---|
amonestant	---------|
queiemen a lai	--|-||-|-⌫--|
aude u ent	-|--⌫-⌫--|
sanblantd estre	-------||----|
la fui gebatuz paresfor t	-|--|-|----|--|-----⌫|
etde leuier s	-|-|------⌫|
et de batons	-|-|-----|
m endiaut licrepons	|-|----|-|------|
nestmeruoillesse iai anui	|--|---------|-||-|---|
q antdetoiueng iez ne	-⌫--|-|--|----⌫--|-|
enzz des pluslonsior z d	-|-|--|---|---|---⌫||
n auro ie i ep as	|----⌫-|-⌫|-⌫-|
les anuiz quetu	--|----|--|-|
maurasfai z	|----|---⌫|
mai sores t	---⌫|-|--⌫|
tantme nezli plaiz	---|--⌫--|-|----|
que acortacortensomes uenu	--||---||---|-|----|---|
seadroit enso mestenu	-||----|-|--⌫--|---|
queiedetoi	--|-|-|--|
auraiuangance	----|-------|
ieta imeneeleaute	-||-⌫|----|-----|
ettua moid esloi aute	-|-||--|-⌫-----⌫---|
rena rtresp ontpar	----⌫-|----⌫--|--|
r econfort	-⌫-------|
sireys engrinuosauez	---|--⌫-----|--|---|
uosmaqus ezne	--||----⌫-|-|
sai dec oi	--|-|-⌫-|
cilautr ebaronsonttuitcoi	--|----⌫|----|---|---|--|
q ui uosoient ned ientmo t	-⌫-|--|----|-|-⌫---|--⌫|
a qu i uos t ient porsot	|--⌫|--|-⌫---|--|--|
uos treraissonses tdes couerte	---⌫--|-------|--⌫|---⌫------|
o rauez ditm encon ge	-⌫|---|--|-⌫-----⌫-|
et cilquitropuiauts	-|--|--|---|----||
ahi renartt ro pai soufe rt	--|-----|-⌫--⌫|-|-----⌫-|
tongra ntorgoi l	--|---⌫-|-----⌫|
etton desroi	-|--|-----|
maisseiea icongie	---|-|-|-⌫|-----|
batai llea	-----⌫--||
r enartrespo nt rienst entneuoil	-⌫----|-----⌫-|----|-⌫--|-|---|
por co nbatresongag e tent	--|--⌫-----|--|---⌫|---|
ysengrinetli	-------|-|-|
roisleprent	---|-|----|
re nartap re sle	--⌫---|--⌫--⌫|-|
suen tendi	---|----|
sique lacortbien lentendi	----|-|---|---||------|
bien dientlibaron	---|----|-|----|
sanzdo ute	---|--⌫--|
quel ab atail le i	--|-⌫|-⌫-----⌫-||
af ier ttoute	--⌫---⌫|----|
sor ne setrenar t d escremie	|-|-|--|-----⌫||-------|
bataillearamie	-------|-----|
liroisd emende les ostages	-|---|-⌫-----|--|------|
qu imolt estoit	--⌫|---|-----|
cortoisetsag es	------|-|---⌫-|
queli c hans nie rt	--|-|-⌫---||--⌫-|
paspardonez	--|-------|
y sengrin ales siens don ez	-⌫------||--|----|---⌫-|
porluiifaitbrunl	--|--||---|---||
orse ntrer	--|-⌫----|
tibertl echatetbrichemer	-----|-⌫|---|-|--------|
et le lieu resir ecouart	-|-|----⌫-|---⌫|-----|
ca usmistysengrindesapart	--⌫-|---|-------|-|-|---|
renart enadesmiauz	-----|-||--|----|
que ila de	--|-||-|
bruie n tet	-----⌫-⌫|-|
bauc entlesangler	----⌫--|-|------|
queilaalui asanblez	--|-|||--|-------|
etespi narzlihericons	-|----⌫---|-|-------|
gri nberzse s c ousinslitai sson s	---⌫----|--⌫|-⌫-----|-|---⌫----⌫|
cilf i rent	--|-⌫-⌫---|
a renartsecors	|-----|-----|
moltenpesa a dantbrun	---|-|---||---|---|
la bataille ontate rminé	-|-------|--|---⌫-----|
ay y iorzlontord enee	|-⌫|---||--|---⌫---|
g rinbe rzacreentemoltbien	-⌫-----⌫-|-------|---|---|
qui lneleroitpornulerie n	-|-⌫|-|-----|--|---|---⌫|
facere n artconbatre	---|--⌫-⌫--|-------|
porl orguelysengrinab atre	--||-----|-------|--⌫---|
lor dist aiez uozpais	--|---|---|--|---|
al eza uoz ostie us	--⌫-||--|-----⌫-|
lib aronso nt decort parti	-|-⌫---|--⌫-|-|---|----|
malementontlechan pparti	-------|--|-|----⌫|----|
d antrerenartetys angri n	|----|-----|-|--⌫-----⌫|
quimol testo ie ntmaluoisin	--|---⌫|----⌫--⌫-|--|-----|
renartne stp asd e t elpuis sance	-----||-⌫-|-⌫-|-⌫|-⌫-|----⌫----|
coni sangr i n cestsanzdoute nce	--|-⌫-----⌫-⌫||--|---|-----⌫--|
renart sauoitde l escremie	-----|-----|-||-------|
porce alabataille aramie	--|-||-|-------|-----|
engi ngneus est mesnestpas fort	----⌫-----|--|--||--|--|---|
se yseng rinlifaitesfort	-|-----⌫--|-|---|-----|
de l es cusesetbiencouurir	-||--⌫-|-|--|---|------|
et bientapir pordesco ur ir	-|---|----|--|-----⌫--⌫-|
son conpaing n onqa ntil uoit	--|--------⌫-⌫-|--⌫-|-|---|
etil uoi tchose qui	-|-|---⌫|----|--|
tantse ste ntrem isdel apr andre	---||-⌫-|-⌫-----⌫-|-||---⌫----|
lenporro itap randr e	|-|-----⌫-|--⌫-----⌫|
renartengins plusors	-----|-----|------|
deluit esdegenbe zde tors	-|----⌫-|-|-----⌫|-|---|
ainzqu isangryns baillierle puisse	-----|--------|-------|-|-----|
librisera ou bra zo u cuisse	-|------|-|---⌫|-⌫|-----|
ysengrinen te ntmolta	-------|--⌫--⌫-|---||
epessegist	|--|-|---|
car ou droit qu eil as e fie	--|-|----|--⌫|-||-⌫|--|
et ren artensoncuer d efi e	-|---⌫--|-|--|---|-⌫---⌫|
s eilas poinz le	-⌫|-|-|----|-|
pue tbaillier	---⌫|-------|
for mentle quidetra uaillier	---⌫---|-|----|---⌫-------|
tantdesirreqaspoinz	---|------||-|----|
letaingn e	-|------⌫|
iane quidequatansi u aing ne	-|-|----|-||---||-⌫----⌫-|
molt lidesplaistenson	---|-|--------|-|--|
qu elab atailleta ntl i tarde	--⌫|-|-⌫------|--⌫-|-⌫|----|
ia nequid eueoir	-|-|----⌫|----|
queelesoittant lidemore	--|--|---|---|-|-----|
renarz estoitenplus grantpai ne	-----|-----|-|---|----|---⌫-|
darmesenq uerre l asemaine	|----|---⌫----|-⌫|------|
e tysengrintot ens eme nt	-⌫|-------|--|---⌫---⌫-|
armesporchacentatalant	----|---------||-----|
engrantpoineiertd ouhaster	-|----|----|---|-⌫-|-----|
etdouporchazde	-|--|------|-|
l aprester	|-------|
etsonarme ure	-|--|----⌫--|
coutela c uisse	-----||-⌫----|
afeutreure	---------|
chauces ganbaisieesbien faites	------|----------|---|-----|
a en sesgen b estraites	|-|--|---⌫-⌫-|------|
ses escu z estuermauz tresto z	--|----⌫|--|------|------⌫|
etlacote rogedesoz	-|-|---|---|----|
bastonot demei llierb i enfait	-----|-|-|---⌫----|-⌫-⌫-|---|
bienfu armez aiordepla it	---|-|----||--|-|---⌫-|
ne refumiedesga rniz	-|---|--|-----⌫---|
renar tquitan ta	-----⌫|--|---⌫||
escharn iz	-------⌫-|
assez au oitde	----|--⌫--|-|
se sonte n tremis	-|---|-⌫-⌫-----|
escuraont a	---|----||
saman iere	-|---⌫---|
et conmende	-|-------|
en liquiere	-|-|-----|
zz lenont quisquifu t oz	-||-|--|---|--|-|-⌫-|
ensacotenotpasyy aun e s	-|-|---||-|--|-|---⌫-⌫|
ba ston ot fortdune aubeespine	--⌫---|-|---||--|---|-----|
quimolt estoitbonsenpleui n e	--|---|-----|---|-|-----⌫-⌫|
enluifumoltbi enenploiez	-|--|-|---|--⌫-|-------|
d ecorroiesfu tozli ez	-⌫|-------|-|--|--⌫-|
de chie fen c hiefiusquau somet	-|----⌫|-|-⌫---|----|-|----|
einsiarmezala	----|----||-|
lacort renart	-|---|-----|
etysengrindel autre	-|-------|-||----|
etli bar on son t tuit	-|-|---⌫-|---⌫|---|
chascunsadi tc e queli sa nble	-------||--⌫|-⌫|--|-|--⌫---|
renarzn efumie	-----|-⌫|-|--|
hautfure oingniezettonduz	---|-|--⌫-------|-|-----|
etbarbesefist r ere	-|----|-|---|-⌫--|
porledesdaingdeson conpe re	--|-|-------|-|--|-----⌫-|
ysengrinlotengran tdespit	-------||-|-|----⌫|-----|
quesa for ceprisapetit	--|-|---⌫-|----|----|
einz nendaingna	---||-|------|
ost elcheuo i l	---⌫-|-----⌫-⌫|
ia fu sentensanble son uuel	-|--⌫---|-------|--|---|
maisa in zque	---|-⌫--⌫---|
ille t aingasmai ns	-|-|-⌫---|-|---⌫-|
seraplusmalades q uesai ns	---|---|------|-⌫-|---⌫-|
herm elinefuen	----⌫----|-|-|
p or dantrenarte tenpaor	-⌫-|---|-----|-⌫|-|---|
quela damee stoit sifran ch e	--|-|---|-⌫----|-|----⌫--⌫|
et percehai e	-|--------⌫|
etmaleb r anche	-|-----⌫-⌫----|
et renardiaust uitlitroifre re	-|---------|-⌫--|-|---|---⌫-|
faissoi entgr ant du e l por	-------⌫--|--⌫--|--⌫-⌫|--|
aueclamere en lates niere	---|-|---|-|-|---⌫----|
porrenartfontadi eu p ro iere	--|-----|---||--⌫-|-⌫--⌫---|
chascunsliproieetaeure	-------|-|----|-|----|
que renart	--|-----|
gar isseet seqeure	---⌫---|-|------|
des onanem il	-|-⌫-|----⌫||
escremisse	---------|
qu enlab ataille ne peris se	-|-|-|-⌫------|-|-----⌫-|
einsisifilen sa maison	----|-|--|-|-|-----|
font cha scun adieu oroisson	---|---⌫---||---|-------|
