meredieuquiuou s	---|---|--|---⌫|
seuledetouspechieset detousma us	----|-|---|------|-|-|---|--⌫-|
a chou qu ilentr a	|---|-|-|----⌫|
letrouu a seule	-|-----⌫|----|
poo nsn ousb iene nt endrequeleniert	---⌫-|-⌫--|-⌫--|-⌫--⌫----|-|--||---|
decourreaua l leuileneportant sa	-|-----|---⌫|-|---|-|------|-|
ainsestoit detous m aus	---|-----|-|---|-⌫--|
sour deet mondeetaueul e	----⌫-|-|----|-|-----⌫|
dieu na miegrantperil	---|||--|----|----|
carm ainte compaig n ie metma inthome aess il	--|-⌫----|-------⌫-⌫-|--|--⌫--|---||---⌫-|
nes ausiecles en sententli fr anchomegentil	--|-|-----||-|------|-|--⌫--|---|-----|
qui tantlesontt enuesquilen sont	--|---|--|--|-⌫----|-|-|-|---|
liautresescaillon sseiouadro itle noume	-|-----|---------⌫|-|--||---⌫-|-|----|
cestcouq uelef u u irgine	|--|--|-⌫|--|-⌫|-⌫-----|
et ne tecomepome	-|--⌫-|---|---|
c aincdecuer	|---|-|---|
ned e corsnauoitpenséaho me	-|-⌫|---||----|-----||--⌫-|
bienlauoitdieus	---||----|----|
eslite aso noes	-----||--⌫|--|
cest la soume	|--|-|----|
e n estreuraieuirgine	-⌫|----|----|------|
couuie ntmoutgran tpurte	------⌫-|---|----⌫|----|
carilcouuie ntconaitcuers etcorssi	--|-|------⌫-||-|--|----|-|---|-|
enlamourihesucris t eten	-||----|----|----⌫|-|-|
sen fer mete	--|---⌫---|
c on ne pe nst ne ned ienefac he	|-|-|--⌫--|-|-|-⌫-|-|---⌫-|
l a squ ete	-⌫-⌫---⌫--|
maisle s aut res elsieclen ont	---|--⌫|---⌫--|-|-----||--|
pas uirgi nite	--|-----⌫---|
ains sentien entpar ho nteautrepou r	---||-|----⌫--|--|--⌫--|----|---⌫|
autrepourle ha ine del eurgrant parente	----|---|-|--⌫--|-|-⌫--|----|------|
e t l iautrepourcouki l	-⌫|-⌫|----|---|--||-⌫|
nontleuruolent e	|--|---|------⌫|
encoreestboin c onlai ssemal	-----|--|---||-|---⌫--|--|
a fairepourh onte	|----|---|-⌫---|
q uilelait p ar po uerte cilmeism esse doute	-⌫-|-|---|-⌫-|--⌫----|--|-----⌫-|-|----|
quilelaistpour pe u r asses	--|-|----|---|--⌫-⌫|----|
doi estre encont e	--|----|-|----⌫|
m ais quipourdie usa stientcest	-⌫--|--|---|---⌫||-⌫-----||--|
cilquip lushaut	--|--|-⌫--|---|
mais c este fu siuirgi ne ets ipureet	---|-⌫---|-|-|-----⌫-|-|-⌫|---|-|
conqu esuaniteno utneencuer neen	|----⌫-|-----||-⌫-|-|-|---|-|-|
elef uto ute uirgine et	--|-⌫|--⌫--|------|-|
dedensetdefors	-----|-|-----|
pou r cousem ist	---⌫|--|-|-⌫--|
enli lipiusmiser icors	-|-|-|---|-----⌫----|
li tiersescai llonsestkele	-|----|-----⌫----|--||--|
fu peure use	-|-----⌫--|
quan tuilange l e uen iroc lar temieruilleuse	----⌫|-||----⌫-⌫|---⌫-||-⌫---⌫-|-----------|
tres bie le	---|---⌫-|
fourme etensi de liteuse	-----|-|-|-|--⌫------|
nauoitnu lhomeapri s sifuun	|----|--⌫|---|----⌫|-|-|-|
peu honteuse	--|-------|
nestpasgrans preu sa	|--|--|----|----⌫||
femekeke nusuousendie	---|---|--|---|-|--|
qui ausiecle se	--|-|-----|-|
moustretrop baudeettropha rd ie	------|---|----|-|---|--⌫--⌫-|
femebienembatans	---|---|-------|
est pl ustost enuaie	--|--⌫-|---|-----|
quecelequisewa rde par fine	--|---|--|-|--⌫--|--|---|
li quarsescaillo nsest ce que	-|----|--------⌫-|--|-|--|
ele fu sage	--|-|---|
uolentiersentendietoi	---------|------|-|-|
lemessag e	-|------⌫|
douce men tdistalangelesansparoleuolage	-----⌫---⌫|---|||-----|---|-----|-----|
sire conmentertchou sansestreenmariage	---|------|--|---|---|----|-|------|
moutpa rfu	---|--⌫|-|
or e sageki	--⌫|---|-|
r espondipremi ere	-⌫------|-----⌫--|
sireconmentuenraa m oi	---|------|----||-⌫-|
cest elumiere	----⌫|------|
etl ian gelesli con t etr estout e la maniere	-|-⌫|--⌫----|-|---⌫-⌫|--⌫------⌫|-|------|
qu eledediuseroit	-|--|-|--|-----|
et dameettr e sorie re	-|---|-|--⌫-⌫-----⌫-|
c ho ukelidist li	-⌫--⌫|-|-|---|-|
a ngeles forme ntliabieli	-⌫-----|-----⌫-|-|-----|
tantost queditlio utf u	------|--|--|-|-⌫-|-⌫|
d ie usmi sdedensli	-⌫--⌫-|--⌫|-----|-|
quilecuer etlecors detoutbi enl i	--|-|---|-|-|---|-|---|--⌫-|-⌫|
nefustbiensageel e	-|---|---|---|--⌫|
ie ust fali	|-⌫--|---|
ont pierdu le ssotes e tl i	--|-----|--⌫|----|-⌫|-⌫|
quifontl es grans out ra ges etdient maint	--|---|-⌫-|----|---⌫--⌫--|-|----|----|
bienpueent piercheuoir c il etc e le	---|-----|----------|-⌫-|-|-⌫-⌫-|
que parsensa	--|--|---||
toutbienuoitetot	---|---|---|-|-|
liquinsdes escaillons ce fu	-|----|--|---------|-|-|
quelipuciele	--|-|------|
parfinehumilitedistque l eestoitanc iele	--|---|-------|---|-|-⌫-⌫|-----|---⌫---|
n e se cla ma	-⌫|-|---⌫-|
o rmiedame	-⌫|--|---|
neda moisiele	-|--⌫-------|
ne nefi st l orguilleuse po ursi	-|-|--⌫-||----------|--⌫-|-|
haut enouuiele	----⌫|-------|
aces tmotlont	|---⌫|--||--|
pierdu iecuicli o rgui lleu s	-----|-|---|-|-⌫----⌫----⌫|
quisaintehumiliteo ntch auchieensus d eu s	--|-----|-------|-⌫-|--⌫-----|----||--⌫|
s oient clercs oientla iilsont	-⌫----|----|-⌫----|--⌫|-|---|
uai ngl orie us	---⌫|--⌫----⌫-|
iadiu sne montera encesmal eureus	-|---⌫|-|------|-|--|---⌫-----|
lesisimee scaillon d oit o n bienauant t raire	-|-----|-⌫-------|-⌫--|-⌫|---|----|-⌫----|
cefuobediencedon tele	-|-|--------|---⌫|--|
ert debounaire	--|---------|
si redi steleal ange leuos	--⌫-|--⌫-|--|||----⌫-|--|
puetmoutplaire	---|---|-----|
or f acedieusde moiselon	-|-⌫--|----|-|--|----|
tonessamplair e	--|----------⌫|
uolentierso tri acou quediusauoi t di t	---------|-⌫---⌫|--|--|---|----⌫|--⌫|
a cemotl ont pierdu	|-|--||--|-----|
co nt redit	--⌫--⌫----|
quisa inteobedien ce nep risent nes un	--|--⌫---|-------⌫-|-|-⌫-----|--|-|
pris il ens eron tm a udit	---|-|-|-⌫----⌫|-⌫-⌫---|
seign ourdiusn oussu effre o re moutdeboinairerm ent	-----⌫--|---|-⌫--|--⌫----|-⌫-|---|------------⌫--|
maisquan tuenra	---|----⌫|----|
au iourdesongrant iugem ent	-|---|-|--|----|-----⌫--|
laer t cascuns iug ié s	-|--⌫|------|---⌫---⌫|
sitrese stroite men t	-|---|-⌫-------⌫---⌫|
con nel en	|-|-||-|
receuero it anulamendement	--------⌫-||--|---------|
helascomc ilserra	-|--|--|-⌫-|----|
malement de ceus	-------|--⌫---|
qui aceliournener tamierchi	--||--|---||-|--⌫||------|
lespechies nele s mauscreus	--|------|-|--⌫|---|----|
il ertasdiables neen	-|--|-|------|-|-|
lormainscheus	--|----|----|
cie rtes mout	---⌫---|---|
er thouniskicharraenlormains	--⌫|-----|-|-----|-|--|----|
carian e s trouuerade	--|-||-⌫|-------|-|
nul bienfaire hum ai ns	--|---|----|---⌫--⌫-|
etcarnousrepentonssangno r si pechons mains	-|--|---|--------|------⌫|-|------|----|
e ttrau aillonsnos cors	-⌫|----⌫------|--|---|
et as soi rsetasmains	-|-|---⌫-|-|-|----|
ki so ncorsne traua ille	-|--⌫|---|-|-----⌫---|
p our di euetpoursa	-⌫--|--⌫-|-|---|-|
et ki daumosnesnest asbesogne ussemere	-|-||-------||--|-|-------⌫-|-----|
m eriteenaue rasi	-⌫----|-|---⌫-|-|
etsiame re	-|-|---⌫-|
enert tous ioursdemal faire	-|--|---|----|-|--|----|
tresdoucemeredieu dam esa intemarie	---|----|---|---|---⌫|--⌫---|----|
mapenseeest sou uentet uaine etesmarie	-|-----|--|---⌫---|-|----|-|------|
fela nem is me se montettarie	--|-⌫---⌫-|-|--⌫---|-|----|
mac onscienceet mes	-|-⌫--------|-|--|
cuers seuarie	----|-|----|
dame semespechie set mesmau srecordés	---|-|--|------⌫|-|--|---⌫|--------|
e td emia nuisir deriens uous	-⌫|-⌫|-||-----|-|----|---|
au ostrefilseraisit ous iours d e scordés	|-⌫----|--|----|-|-⌫--|----|-⌫-⌫-------|
kesloy ensdinfierierel oyés	|-|---⌫--||-----|---|-⌫----|
et enco rdés	-|----⌫----|
d ames euoschiersfiuse tuosperesrecor de	-⌫--|-⌫|--|-----|---|-⌫|--|----|-----⌫-|
lesgransm ausque i aifa isou ilpas	--|----|-⌫--|--||-|--⌫-|-|-|--|
nes acorde	-||-----|
destrainsiere en infier	--------|---|-|-----|
uilainecorde	------|----|
sen uerslinem	|--⌫---|-|-||
aituostre misericord e	--|-----|----------⌫|
maisqueiecro ietsai etteuses t	------|-|---⌫|-|--|-|---|--⌫|
que uostrem ie rchisne ma ideetuostre	--|-----|-⌫--⌫----|-||-⌫--|-|-----|
aceluiquito usuenge lesmausetles	|----|--|--⌫-|----|--|---|-|--|
que ianiere	--|-||---|
p ierdusenameneen c ors	-⌫-----|-|--|-|-|-⌫--|
dame theophilus adieused escorda	---|---------||---|-|-⌫------|
si kesloyens d in fiersemistet	-||-|-----||--⌫---|-|---|-|
maisuostre tr e sdous cuer s	---|-----|--⌫-⌫|---|----⌫|
o utan tde misericordea	-⌫|---⌫|-|----------||
puis ki lse	----⌫|-⌫|-|
reconnutbientostl eraco rda	-------|---|---|-⌫|----⌫--|
damemout aiest é pe chierese t e ncoresui	---|---|-|---⌫-|--⌫------|-⌫|-⌫----|--|
merepentqueiouonkesle	-|-----|--|--|----|-|
houni saquidi eus	-----⌫||--|--⌫--|
tun as empara disnerechesne refui	-||-|-|----⌫--|-|-----|-|----|
dieusco me rtdolereus	----|--⌫|-⌫-|-------|
ettrescr ueuscisdis	-|---|--⌫---|--|--|
a ceusquidi eusdira	|---|--|--⌫--|---|
fuiésmonparadis	-----|--|------|
e tentre ́sen enfierouuous serés	-⌫|-----⌫-|-|-----|-|---|-----|
la ertpouruousl ifeus tozar dans et	-|--|---|---|-⌫|---|--|--⌫---|-|
mararont tant le urcorsaais i éset	--|----|---|--⌫-|---|----⌫-⌫--|-|
cilpo urquicisgran s	--|--⌫-|--|--|----⌫|
feuserten infierr efais	---|--|-|-----|-⌫----|
carau grantiugementtrouueront	--|-|----|-------|---------|
leurfourfais	---|-------|
corset lesamessouffe rront les	---|-|--|---|------⌫----|--|
lesgrans fais soufferrontetdoler eus manoir	--|----|---|----------|-|-----⌫--|-----|
cilkipar le uroutrage iront	--|-|--|--⌫-|------|----|
la ianstousiours manoir	--⌫---|---|----|-----|
etsileur couuenra a t ou sio urs	-|-|---|-------||-⌫--⌫|--⌫--|
enliu ort et	-|--|--|-|
ui lainlaitethideuse tnoir	--⌫---|---|-|-----|-⌫|---|
ostelaurontuilainp lai ndefeu et de	----|-----|-----|-⌫---⌫|-|--|-|-|
pour eulsaisierrenoieron tloram e	---|---|-----|---------⌫|--|--⌫|
p ourcou uousproimierchibieletres douch e dame	-⌫--|--|---|---|------|----|---|-----⌫|---|
canemisnemi	|-----|-|||
tiegneconduie ne adame	-----|------|-|----|
damequitou slimons doit	---|--|---⌫|-|---|---|
sierui r et amer	------⌫|-|---|
tousb esoinsil couuient recl amer	---|-⌫-----|-|-------|----⌫---|
ne m elaissiés illuecdestruire ne	-|-⌫|--------|-----|--------|-|
ou tantade mauuaisneoutantad	-|---||-|------|-|-|---|||
tantiad e mauuaisetdamer	---|||-⌫|------|-||---|
quetouslimiu dres cl ers qui soit	--|---|-|---⌫---|--⌫--|--|---|
neuousporoitdescriretantseu lement	-|---|-----|-------|---|---⌫-----|
d ont cilseront	-⌫--|--|-----|
ierent n etetpur	-----|-⌫-|-|--|
par foib ienerthounis quicil mursencl ora	--|--|-⌫--|--|-----|--|--|---|----⌫--|
caria par nul	--|-|--|--|
poo ir forsnes en	---⌫-|---|-||-|
po ur diupenitanc es oustenirneuo ra	--⌫-|--|--------⌫|-⌫-------|-|--⌫-|
etdesamemauuaiseme nt	-|-||--|----------⌫-|
ienepuis f ontliunpenanche maintenir	-|-|---|-⌫--|-|-|-------|--------|
neuillier neiuner ien e	-|------|-|----|-|-⌫|
lpuiss oustenir	|---|-⌫-------|
nedes pe chiesa	-|--|--⌫----||
f aireneme	-⌫---|-|-|
puisasten ir	---|-----⌫-|
etensi ne puetonem paradis ue nir	-|---|-|---|-|-|------|--⌫--|
ueilliersouffri rle iuner	-------|-------⌫|-|----|
eteskiuerles mausetles b i e nsauner	-|------|--|---|-|--|-⌫-⌫-⌫-|----|
di o iant tous	-|-⌫---|---|
hautet clersans runer	---|-|---|---|----|
quediusso npar adisli u aurraeschiuer	--|---|--⌫|---⌫---|-|-⌫----|-------|
ene stbien droisque dius	||-⌫-|---|----|--|---|
so nparadises chi ue	--⌫|------|--⌫---⌫-|
ace lui quies tpla insdenuieet	|--⌫--|--|--⌫|---⌫--||----|-|
boine sg ensia	-----⌫|-⌫--|-|
ilde to ut es ioiesquune	-|-|--⌫--⌫-|----|-|--|
etsii ert a t osc iaus q uil e	-|-|-⌫--||-⌫-|-⌫---|-⌫-|-⌫|
uauront conmune	------|------|
conmu neestatr esto us kiauoirleu aurront	-----⌫-|--||--⌫----⌫-|-|----|-|-⌫------|
po runcouu e ntq ueia nienterront	--⌫|-|----⌫-⌫-|-⌫-|-|||--------|
diusi eruir premierslecomperront	--|--⌫----|-------|-|---------|
cariae ns igra n tioiepe cheo ur nem anront	--|-|-⌫|-⌫|---⌫-⌫|---|--⌫----⌫-|-|-⌫-----|
iaensigrande	-|-|-|-----|
ioie nenterrontpecheour	---||--------|-------|
se del eurmaus ne sontpremiersrep enteour	-|-|-⌫--|---|-|---|-------|---⌫------|
dontseront b ienhounicillaron lecheou r	---|-----|-⌫--|----|--|----|-------⌫|
traiteuruserierlarron ettrech eour	-------|------|-----|-|-----⌫---|
pourq uantiened imieq uenus soitsi	---|-⌫---|-|-|-⌫|--|-⌫-|--|---|-|
pech ie re	----⌫--⌫-|
maisqu eparrepe n t anc e soit d emal repen t iere	------⌫|--|----⌫-⌫-⌫---⌫|---|-⌫|--|-----⌫-⌫---|
et parconfiessionen uuel leestrea drec h iere	-|--|----------|-|----⌫-|----|-⌫----⌫-⌫---|
que dius ne lerecuelleet	--|---|-|-|-------|-|
fachebiele	----|----|
ianaratant fourfait	-||--|---|-------|
q ue di usnelere cuelle	-⌫-|--⌫-|-|-|--⌫-----|
mai squi lason sie ruicheser a tr aie etrac ue lle	---⌫--|-⌫||--|---⌫-----|-|-⌫-⌫--⌫--|-|---⌫--⌫--|
etc onf iession s uraieraue rdist commefu e lle	-|-⌫---⌫-------⌫|----|----⌫----|----|--⌫-⌫--|
lamedelpecheour	|--|--|-------|
maisque cr oir ele ueulle	------|--⌫---⌫|-|-----|
parconfiesionurai e estl ame	--|---------|----⌫|--||--|
ara estédemalfaireesca ndie	--|----|-|--|----|----⌫---|
dontes t boin que	---|--⌫|---|--|
cas c un sses maus	---⌫-⌫--⌫|--|---|
entel p ointdie	-|--|-⌫---|--|
quesame ne d eparc hefor sdeson cors mendi e	--||--|-|-⌫-----⌫-|---⌫|-|--|---|-----⌫|
