s etle sarsda mours	-⌫-|--⌫|--||-⌫----|
delaco inti e rtai auantdit	-||---⌫----⌫-⌫||-|----|--|
delproierdirai s ans r espit	--|-----|----|-⌫--|-⌫----|
desorteuoe lieen segnier	--|-|-|---⌫|-|--⌫------|
conmenttudoisdame proier	------|-|---|---|-----|
direlidoisbienplainemen t	---|-|---|---|---------⌫|
bieletbienetentendanment	---|-|---|-|-----------|
d ameg ent	-⌫--|-⌫--|
uisbiasbr as	--|---|--⌫-|
ioieet de solas	---|-|-|----|
plusdefois	---|-|---|
au o usmerenca to u s	|-⌫-⌫-|-|---||--⌫-⌫|
hometuo samis	--|-|--⌫|---|
conmecilqui soncuerami s	----|--|--|--|---||--⌫|
e n uo usa mersa n sremouoir	-⌫|--⌫-|-⌫--|--⌫-⌫|-------|
ken uoussonttout mi boin espoir	|-|---|---|---|-|---|-----|
penser toutmides ir	-----|---|-|---⌫-|
nullenemenu ient	----|-||-|-⌫---|
ap l aisir	|-⌫-⌫----|
forsuousbiele que iemarui	---|---|----|--|-|--|-|
uousnetruispar	---|-|----|--|
tans m ierci	---|-⌫----|
iad exm amesekeur e	-|-⌫-||--|------⌫|
la uo streamorsme keu rtsi se ure	-|--⌫---|----|-|---⌫-|-|--⌫--|
et me destraint sidurement	-|-|--------|-|-------|
ior etroitemen t	--|----------⌫|
queienepuisaillorspenser	--|-|-|---|------|-----|
n eienesai aillors	-⌫|-|-|--|------|
por coumestuet auous	--|--||-----||---|
requerre m i ercie t pro ier	-------|-⌫-⌫---|-⌫|---⌫--|
u ie suimorssans	|-|--|---|---|
recouurier	---------|
bielleettresdouceamie	-----|-|---|----|---|
uier smoineuosairés	----⌫|--|-|--|-----|
seieuousaim	-|-|---|--|
etbien uosuoel	-|---|--|---|
si maitdexuostre	-||--|--|-----|
uostre regarsuostre acointance	-----|-----|-----|---------|
et la uostre biellesamblance	-|-|-----|-----|--------|
uos tresensuostre cort oisie	---⌫--|---|-----|----⌫----|
p lained edouceconpain gnie	-⌫----|-⌫|----|-------⌫---|
m ontmisenceste uolen te	|--|--|-|----|-----⌫-|
desi r encestpense	----⌫|-|---|----|
dontnister ai	---||-----⌫-|
iaanuliour	-||--|---|
dextan ts ouuent s ouspiretplor	--|---⌫|-⌫-----|-⌫-----|-|---|
dela paourque ioue n ai	-|-|----|--|--|-⌫|-|
c arsouu entsuien grantesmai	-⌫-|----⌫--|--|-|----|----|
conment iaieuostreami ste	------||--|-----|---⌫--|
lasc aitis et que	--|-⌫----|-|--|
se uos d ame m	-|--|-⌫--||
es condissiés	--⌫----------|
unecoze deu oir saciés	--|---|-|-⌫--|------|
seuost reamoram i enai	-|----⌫-|---|--⌫-⌫||-|
i amais ioieamo n c uer narai	-⌫----|---||--⌫|-⌫--||---|
etseporoie b i e n morir	-|-|-----|-⌫-⌫-⌫|----|
teuxmausm enpo roit aue ni r	---|---||-|--⌫---|---⌫--⌫|
dedu eldanuide	-|--⌫-||---|-|
mautale nt	-------⌫-|
etde courouctoutensement	-|-|------|---|-------|
esthombienalamort iugiés	--|--|---||-|---|------|
ciertesc e	------|-⌫|
seroitgra ns pecies	-----|---⌫-|-----|
seiemoroie ensiporuous	-|-|-----|---|--|---|
car ie suiuostreligest ous	--|-|--|-----|----|-⌫--|
etde moibielledebonnaire	-|-|--|-----|---------|
poéstousiors	----|---|---|
tosuosbonsf aire	--|--|---|-⌫---|
iamoi neueré sref us er	-|--|-|-----⌫|---⌫--⌫-|
riensquiuosplai seaconmander	----|--|--|----⌫-||--------|
ciertesiln	------|-||
ie rtianule riens	--⌫-|-|---|----|
am iedoucedetousbiens	--⌫-|----|-|---|----|
queie puis sefai re	--|-|----⌫-|---⌫-|
kene f acetoutaestrou s	-|-|-⌫--|---||------⌫|
amonp ooiretsans faintir	|--|-⌫---|-|---|------|
etporco ilairi ésuous	-|--|--⌫|-----⌫--|---|
ce don tuous	-|---⌫|---|
poés bien aidier	----|---|-----|
etd ont poe ́sauoir	-|-⌫--|---⌫-|----|
en aucunt ans a uc unef ois	-|----|-⌫--|-⌫--⌫--|-⌫--|
porcoues tbienraisons	--|--|--⌫|---|------|
que uousmeuoelliésretenir	--|---|-|--------|------|
poruostrehomeetpor uous	--|-----|---|-|--|---|
que partouslescorssainsderoume	--|--|---|--|---|----|-|----|
i eiurkencestsie cle n	-⌫|--||-|---|---⌫--||
q uisiuoell eestreou treement	-⌫-|-|-----⌫|----|--⌫-------|
a uoussier uir entirement	|---|----⌫--|---------|
conme ieu oelpo r couuo s pri	----|-|-⌫--|--⌫|--|--⌫|--|
que m eretenésaam i	--|-⌫|-------||--⌫|
u a uostrehome atoutle m ains	||-----|---||---|-|-⌫---|
que pressuide iu rersoursa ins	--|---|--|-|--⌫--|---|--⌫--|
keuostrea mor et	-|-----|-⌫--|-|
sans fauser	---|-----|
uaurai con fi ns	-----|--|--⌫-|
amisga rder	---|--⌫---|
he l as porcoinelgar deroie	-|-⌫-|--|--|-||---⌫-----|
ianatenciousoulas neioie	-||----|--|-----|-|---|
forsdeuousseul edo uce amie	---|-|---|----⌫|--⌫--|---|
e nuostrepuing tenésmauie	-⌫|-----|----|-----|-|--|
ioi e e tm onconfort	---⌫|-⌫|-⌫-|------|
etdautrepart	-||----|---|
ten ésmamort	---⌫--|-|---|
iara ilequel qu iluous	|---⌫|-|---|-|-|---|
m aisse d iuplaistianauenra	-⌫--|-|-⌫-|-----|-||-----|
que sitres	--|-|---|
biele dam eface	----|---⌫|---|
coze dont ihesucr isleh ace	---|---|-------⌫-|-|-⌫--|
la mort mauié s	-|---||-----⌫|
adr oitenserie ́sblasmee	|--⌫--|-|-----⌫-|------|
nauo usdamenaferroitmie	||--⌫-|---||-------|--|
que uousfesissiéstelfolie	--|---|---------|--|----|
tant iestesbi ele etauenans	---|-----|--⌫--|-|------|
sa gecortoiseetenten da n s	--⌫-|-------|-|-----⌫--⌫-⌫|
keian e uou sertreprouué	-|-|-⌫|---⌫|--|--------|
keuousfac iéstel cruaute	-|---|---⌫---|--|------|
con laissier moriruost r e ami	--|-------|----|----⌫-⌫|--|
etenu o usdefalirmie r ci	-|-|-⌫-⌫-|------|---⌫-⌫-|
ca uoe cbiaut e	|-⌫---⌫|-----⌫|
siconmoi samble	-|--|--|-----|
auientm u ltbie ndoucorsen samble	-----|-⌫-⌫-|---⌫|------|--⌫-----|
pitiesdoucorsetcortoisie	-----|------|-|--------|
orguixcruautesfelounie	-----|-------|-------|
onquesa uo ec bi aute	-----|-⌫--⌫-|--⌫---|
maisdoucorsdebonnair ete	---|------|---------⌫--|
por ces t biendrois	--||--⌫|---|----|
que u os amis	--|-⌫-|---|
trui stenuous	----⌫-|-|---|
pities etmi ercis	-----|-|--⌫----|
caruostre gransbiautes	--|-----|----|------|
etqueda moursr equise soit	-|--||-⌫----|-⌫-----|---|
des poinsl afor ce	--|----|-⌫|---⌫-|
puesici sauo ird e legier	---|--|----⌫-|-⌫|-----|
amorlemetras	---|-|-----|
par coien amor la	--|--|-|---|-|
proy erredoisen a utreguisse	----⌫-|-----|-|-⌫---|-----|
dameq u iestdeu aillandise	---|-⌫-⌫|--|-|-⌫---------|
p ro ierli dois m ulthumlemen t	-⌫--⌫--|-|---|-⌫--|--------⌫|
ausicom paouro usement	---|--|------⌫------|
si quecounoisse tapa our	-|--|--------|-|--⌫--|
quanttuuauras proyer samor	----|-|-----|-----||---|
sel leenpria nt teuoi ttrambler	|--⌫-|-|----⌫-|-|---⌫|-------|
tost kerraqu e cie rt sa ns	---|----|--⌫||--⌫-|--⌫-|
quetuaime s	--|-|----⌫|
decueret proi es	-|---|-|----⌫-|
ie cuic m olt t e n au anceroies	-|---|-⌫--||-⌫|--⌫--------|
etsipuesm olt b iele mentdi re	-|-|---|-⌫--|-⌫----⌫---|--⌫-|
conment queted oie	------|--|-|-⌫--|
escondi re	-------⌫-|
h a doucedamese	-⌫|----|---|-|
c onu olentiersie uos	-⌫-|-⌫--------|-|--|
unpoide co zequ e ie pe ns	-|--|-|--⌫-|--⌫|-|--⌫-|
dont s ouuentsuiengrant por pens	---|-⌫-----|--|-|----|---⌫---|
mais t antdouc uostrem au talent	---|-⌫--|---|-----|-⌫--⌫-----|
que n elosdireapiertem ent	--|-⌫||-|---|--------⌫--|
seuous co ngiene mendounés	-|---|--⌫---|-||-|------|
ca m o imautalentnenarés	||-⌫-⌫|--------||-|----|
pisnemen uau rés	--|-||-|---⌫---|
bien menpoe ́sc on giedo uner	---||-|---⌫-|-⌫--⌫--|--⌫---|
car cene uos	--|-|-|--|
puetrienscouster	---|----|------|
c aconsel dire uosuoe lch i	||-----|---|--|---⌫|--⌫|
pisn e nuaure ́s i euos afi	--||-⌫|-----⌫-|-⌫|--|--|
etpor coidont	-|--|--|---|
nemesc outés	-||---⌫-----|
seuouspisualoi rnen poés	-|---|--|-----⌫||-|----|
po r és uos mi exualo ir	--⌫-⌫--|--|--⌫-|----⌫-|
caum ainsenpo r éss auoir	|-|-⌫---|-|--⌫-⌫--|-⌫----|
cou queuo us ne saué s ormie	--|--|--⌫-|-|-----⌫|-|--|
uousplaistmado uceamie	---|-----|-|--⌫--|---|
retenésle enuost recuer	-------|-|-|----⌫-|---|
ets i l uousplai stgietéslepuer	-||-⌫|---|----⌫-|------|-|---|
etsaci ésdame debonnaire	-|----⌫--|---|---------|
kegran sforc eleme f aitfaire	-|----⌫|----⌫|-|-|-⌫--|----|
force d amorie	----||---|-|
uos dib ien	--|-|-⌫--|
assa ut sourtou t e rien	----⌫-|---|---⌫-⌫|---|
ke ienesa i quelparttorner	-|-|-|--⌫|---|---|-----|
s enuiengauous mierci	|-|----||---|-----|
d euostreamorqui	-⌫|-----|---|--|
m e t ormente	-⌫|-⌫------|
sidur em entetatalente	-|---⌫--⌫--|-|-------|
qu esansu ousioi e auoirn epuis	--⌫|---|-⌫--|---⌫|----|-⌫|---|
nai llors n euoisnail l orsnetruis	|--⌫----|-⌫|---||---⌫-⌫--|-|----|
nulledamene damoiselle	----|---|-|---------|
tant soitu aill anscoi ntenebiele	---|---|-⌫----⌫--|---⌫--|-|----|
quime pui stplaire ne	--|-|---⌫-|-----|-|
nequime gietde cest uoloir	-|--|-|---|-|---|-----|
decestd esirusuient r é s	-|---|-⌫---||--|---⌫-⌫--⌫|
de uostr e a mor e tsinaurés	-|-----⌫|-⌫--|-⌫|-|------|
doucedamesidurement	----|---|-|-------|
angoi sseusement	-----⌫---------|
que ie n i	--|-|||
uoie l quem a	--|-⌫|--|-⌫|
uousnetruisaucun	---|-|----|----|
au mai nssouff ré s	-|---⌫-|-----⌫---⌫|
queieuo s aime	--|-|--⌫|---|
e t amieuous claime	-⌫|---|---|-----|
cenemepoés escondire	-|-|-|----|--------|
ned esfend renecon tredire	-|-⌫------⌫-|-|---⌫------|
dam equeuousn ed oie	---⌫|--|---|-⌫|-⌫--|
nepoint neuous end oitpeser	-|----|-|---|-|-⌫--|----|
l ecelerai	-⌫|------|
c aill or sne mendes couuerrai	|----⌫--⌫|-||-|---⌫--------|
dont blasmesuos doie ue nir	---|------|--|---|--⌫--|
don t onpuist p a r olle	---⌫|-|----|-⌫-⌫-⌫---|
neian i me t ésuostreentente	-|-|||--⌫-⌫--|-----|------|
a direqueiem	|---|--|-||
en r epen te	-|-⌫----⌫-|
nenedi résie faifolie	-|-|--⌫---|-|--|----|
s e roi tma do uce	-⌫-⌫---⌫|-|--⌫--|
carie nai uolentene c ue r	--|-||-|------|-|-⌫--⌫|
deuousoublieranulfuer	-|---|------||--|---|
ainsme nsa icier tesmultbongre	---||-⌫|--⌫|----⌫--|---|--|--|
k e ntelliua imism on	|-⌫|--|--|-⌫|--|-⌫-|
benois soitmescuersquil pensa	-----|---|--|----|-|-|----|
sihau tementetsasena	-|---⌫-----|-||----|
cestma ioietouturaiement	|--|-|---|---|--------|
dep ense r si tres	-|-⌫----⌫|-|---|
cestma r ikeceetmestreso rs	|--|-|-⌫----|-|--|-----⌫-|
c est mesdelisc	|--|--|----||
estmes conf or s	--|--|----⌫--⌫|
cestmessolasc estmaleece	|--|--|----||--|-|----|
nepu isauoirnu lletristrece	-|--⌫-|----|--⌫--|--------|
u ou s quantmesouient	-⌫--⌫|----|-|------|
carleio rquedeuan tmoiui ent	--|-|--⌫|--|-----⌫|--|--⌫--|
uostrebi autese nrame nbrance	-----|--⌫----|-⌫|----⌫------|
bi ellecontenance	--⌫---|---------|
uost regent	----⌫-|---|
corsuostre cler uis	---|-----|---|--|
etuostred ou c regart	-|-----|-⌫--⌫|-----|
au cueraiunesigrant	-|---|-|--|-|----|
quenuluidire ne	--|----|---|-|
e tporcou sapaine	-⌫|--|--|-|----|
pie rdroi t	---⌫-----⌫|
dame quimecastieroit	---|--|-|---------|
ame rnequidié si a	---⌫|-|-------⌫|-⌫|
mes cuerssenpar ce ainsi	--|----||-|---⌫-|---||
por nulbla sme c on lif e roit	--|--|---⌫--||-|-|-⌫-⌫---|
mescuersnesen castieroit	--|----|-||-|---------|
etcon plusm enc astierés	-|--|---||-|-⌫--------|
tantplusfortamerme ferés	---|---|---|---|-|-----|
selam orsplus croistrepooit	-||--⌫--|---|-------|----|
m aisplusgransest ren eporoit	-⌫--|---|----|---⌫-|-⌫|-----|
ne plusg ra nsuoir e st renepuet	-|---|-⌫--⌫-|---|-⌫--⌫-|-|---|
car tantuous	--|---|---|
aim que plusnes tue t	--|--|---||--⌫---⌫|
nu s ne lep uetam enuisier	--⌫|-|-|-⌫--|--⌫-------|
pornul casti neenfor cier	--|--|----|-|-----⌫---|
maislaioie croistreporoit	---|-|---|-------|-----|
s il auenoit	|-|------|
queuous medaig n iss iés	--|---|-|----⌫-⌫---⌫---|
et poruostre am iapieler	-|--|-----|--⌫|------|
etporuostrehome	-|--|-----|---|
houne reretsieruir	-----⌫--|-|------|
ta pro iere	-|---⌫---|
doisensifair e	---|---|----⌫|
ada mek estde	|--⌫-||--|-|
hautaf ai re	---|--⌫--⌫-|
setuuiu samerp ucelete	-|-|---⌫|---|-⌫------|
porcou quelle es tbiele	--|--|-|---|--⌫|----|
pro ier lidoist outen	---⌫--|-|---|-⌫--|-|
e t direaussicomengabant	-⌫|---|----|--|-|-----|
bielle douceco miesp laisans	-----|----|--⌫|--|-⌫------|
ets ag e etdouceet auenan s	-|-⌫--⌫|-|----|-|------⌫|
biele iolieetamour ou s e	----|----|-|-----⌫--⌫-⌫|
plus que null eautre couuoitouse	---|--|----⌫|----|----------|
toutadiesmonuoel te	---|----|--|---|-|
tu me faisau cuersi	-|-|---|-|---|-|
par le corsdiu ietaimie c ui t	--|-|---|--|-||--|-|-⌫--⌫|
ens ouie nt i o ret nuit	-|-⌫----⌫-|-⌫-⌫|-|---|
ie nesaifemequi	-|-|--|---|--|
tant uai lle	---|---⌫--|
necatoi prisunemaaille	-|||--|---|--|------|
touteslespassesdebiaute	-----|--|-----|-|-----|
de sensdedebonnaire te	-|---|-|----------⌫-|
maisnesoi és	---|-|---⌫--|
p lusorghi lleus e	-⌫--|-----⌫-----⌫|
uiersmoi fier ene desdaigneuse	----|--|----⌫|-|-----------|
m aissoiésd ouce	-⌫--|-----|-⌫---|
e t debo nnaire	-⌫|----⌫-----|
cau trementnelpoe ́suousfai r e	|--⌫------|-||---⌫-|---|---⌫-⌫|
uousn en seriéspasloee	---||-|------|--|---|
nedautruiparamors amee	-||-----|--|----|---|
dois tuha ir celuiqui	---|-|--⌫-|----|--|
q ui samie	-⌫-||---|
tapiel eet cl aime	|-----⌫|-|--⌫---|
pui sc amissui deuienamie	---⌫||---|--|-----|---|
s i fer as moltgran tcortoisie	-⌫|---⌫-|---|----⌫|--------|
bie ndoisamer car tuiesbiele	---⌫|---|---|--|-|--|----|
e t queuautsan sa mi puciele	-⌫|--|---|---⌫|-⌫-|------|
ianesaurasquest	-|-|-----|-|--|
s en amorteni ouuent nemploie	|-|---|--|-⌫-----||------|
il nestioie n edouco urs	-||--|---|-⌫|-----⌫--|
forsquecelle quiuientdamors	---|--|----|--|----||----|
tropasgent	---|-|---|
corsp orembracier	---|-⌫-|--------|
et bielleboucepour baisier	-|-----|----|---|------|
sueffrequete	------|--|-|
b a isse pe tit	-⌫-⌫---|--⌫--|
porfine amorsanscontredit	--|---|---|---|--------|
cara uta nt enporteliuens	--|-⌫---⌫-|-|----|-|---|
amer aimiextous tens	----⌫-|---|---|---|
ne n aiés iademoi	-||----|-|-|--|
ketolirteu oelletouno ur	-|----|-|-⌫----||----⌫-|
a ncoisescorcier m elairoie	-⌫----|--------|-⌫|------|
nendouté siama d ouceamie	|-|------⌫|-|-|-⌫---|---|
decefairenai t alen tmie	-|-|----||-|-⌫----⌫|--|
ienequierm aisqu e uosm	-|-|----|-⌫--|--⌫|--||
et quebielsamblantme moustr és	-|--|---|-------|-|------⌫--|
etuossouffrésaem bracier	-|--|--------||--⌫------|
acief de fo is etuous	|---|-|--⌫-|-|---|
que ia de coupis	--|-|-|--|--|
ne uaurés	-|------|
ner epro cenen	-|-⌫----⌫-||-|
ensipuesdireapierte ment	---|---|---|-------⌫---|
aspucie llestoutton t a lent	-|-----⌫---|---|--|-⌫-⌫---|
e nriant ba isier acoler	-⌫|----|--⌫----|-----|
etalafol iemener	-||-|---⌫-|----|
ort ai bi ende proier m oustré	-||-|--⌫-|-|-----|-⌫------|
mauolent e	-|------⌫|
desres ponse stenseignerai	--|---⌫-----⌫||----------|
di uer sementter espondro nt	--⌫---⌫-----|-|-⌫--------⌫-|
don tsouuen tma ri	---⌫|------⌫|--⌫-|
setu proiesdameamari	-|-|-----|---||---|
elle respondr a	---|--------⌫|
ciertesbiaus sirema riai	------|----|---|--⌫-|-|
i tant ienamerai	-⌫---|-||-----|
cari ene uoel etsi	--|-⌫|-|---|-|-|
c ar couse ro it e n contreloi	-⌫-|--|--⌫--⌫-|-⌫-⌫-----|--|
resp ondredois	----⌫----|---|
mult belement	---|-------|
tantdeuésplus hardiement	---|-----|---|---------|
seu rem entam er	---⌫---⌫--|--⌫-|
etu osmiexcouuriret	-|-⌫-|---|------|-|
aueno itquepor tissiés	-----⌫-|--|---⌫-------|
souruomarilemeteriés	---|-|---|-|--------|
cellediratou t sansire	----|---|---⌫|---|--|
tais ie ́suos	----⌫--⌫-|--|
entca r limienssire	--|--⌫|-|----|---|
etporteg rant ho nor	-|----|-⌫---|--⌫--|
necuic a uoir nulle	-|---|-⌫---|----|
autrea mor	----|-⌫--|
etmoltme sie t cou qu il me fait	-|---|-|---⌫|--|-|-|-|---|
sicaillors	-||------|
nequierautre	-|----|----|
hadoucedame	-|----|---|
deb on nair e	---⌫--⌫----⌫|
a prende ́s cunsautressetfaire	-⌫------⌫-||--|-----|--|----|
se unautre a ssay ét auiés	-|-|----|-⌫----⌫--|-----|
uostrebaro nmains pris eriés	-----|----⌫|----|----⌫-----|
parune escoleetparun	--|--|-----|-|--|-|
nepuetnu shombien	-|---|--⌫|--|---|
sages estre	----|----|
il ad roit sa uoussedeporte	-||-⌫---|||---|-|------|
et s ilu o u sfait	-||-|-⌫-⌫-⌫|---|
hounoretporte	-----|-|----|
carsunsfi exde r oiuousauoit	--||--|--⌫-|-|-⌫-|---|----|
ameret sieruiruousdeuro it	---|-|------|---|-----⌫-|
et auou s seu ledeporter	-||---⌫|---⌫-|-------|
mais moltmesmeruelque porter	---|---||-------|--|-----|
oresigrantfoi	--|-|----|--|
s imai t dex si	-⌫||--⌫|--|-|
c onie croi	-⌫-|-|---|
espoi r ilneuousportepas	-----⌫|-|-|---|----|--|
ai nsquier ttouta illors sens o las	--⌫-|-----⌫|---|-⌫-----|--|-⌫-⌫--|
lautredirai enoseroie	|----|---|-⌫||------|
c ara nulfuerie	-⌫-||--|---|-|
ne uauroie	-|------|
fuis sedoumeblasmee	----⌫-||---|------|
trop enseroi e mal	---|-|-----⌫|--|
ciertessireson les au oit	------|---||-|-|-⌫--⌫--|
lisiecle smolt t ostsapercoit	-|------⌫|---|-⌫--||-------|
e ts estmaistr o pde	-⌫||--|---|--⌫-⌫|-|
mes disans	---⌫-----|
demesparliersd e malesgans	-|----------|-⌫|----|---|
paines s en puet onceler	-----||-|---|-|----|
doitonlaie r	---|-|----⌫|
auo i damenec reésmie	---⌫|---|-|-⌫----|--|
ket ou teamors soit pulye	-|-⌫--⌫-|----|---|----|
maintdedui tda mesenaront	----|-----⌫|--⌫--|-|----|
etmaint solas eut enont	-|----|----|--|-|--|
l ueureconneu e	|----|------⌫|
neparolledite aua lr ue	-|------|---|---⌫|-⌫-|
s on nepuet	|-|-|---|
lec uidi eroster	-|-⌫----⌫-|----|
le sauoir p uet	-|-----|-⌫--|
porde uinerne	--|--⌫----|-|
pourcu idier	---|--⌫----|
nedoiton saioie lais sier	-|---|-|-|---|----⌫---|
son bo nfairenesontalent	--|--⌫|----|-|--|-----|
laissiés a deuinerlagent	--------||------|-|---|
folsestquilaisse s	---|--|--|-----||
aucunedeuine	-----|-----|
lor gengler nepueton tolir	--|------|-|---|-|----|
maislefait ne	---|-|---|-|
puet descourir	---|--------|
se uo usl e fai tpoésceler	-|--⌫-|-⌫|---⌫|----|----|
q ueuos cailledelor	-⌫-|--|-----|-|--|
lautredira n aisoingd amors	|----|---||-|----||----|
i l e st mais	-⌫|-⌫-|---|
tropdegengleors	---|-|--------|
de traitour sdeloseng ie rs	-|--------⌫|-|------⌫--⌫-|
de fau spriorsdemencoignie rs	-|---⌫|-----|-|----------⌫-|
set d ecui g ai tier	--|-⌫|--|-⌫--⌫---|
to u tbeen tma isacu n cyer	--⌫-⌫|----⌫|--⌫-||--⌫-⌫---|
tr air etaghiller	--⌫--|-||------|
porcounem enuoel m ais meller	--|--|-||-|---|-⌫--|-----|
etsiestessi g engleou r	-|-|----|-|-⌫-------⌫|
uoshomee t	--|---|-⌫|
si tresmenteour	-|---|-------|
tan tostqueil lor b onfait	---⌫---|--|-|--|-⌫-|---|
erra nt apriessen uante ro nt	----⌫-|-----||-|-----⌫--⌫-|
or n ai soin gdeteux amis tie s	-||-|----⌫|-|---|----⌫---⌫|
rest coumoltgrans	---|--|---|----|
etporcounemenmelle roie	-|--|--|-||-|-----⌫---|
decozeumame perderoi e	-|---|||--|--------⌫|
faisoiea tout	------||---|
u au roie sauoirmol tbienains	-⌫--⌫---|-----|---⌫|---|---|
conmentseroit	------|-----|
guerr edouné	-----⌫------|
carbien sacié spar uer ite	--|---|------⌫|--|---⌫--|
ma meperdreetmon c orshounir	|-⌫-|-----|-|--|-⌫--|-----|
neuoelse miexn em	-|---|-|---|-⌫||
enpuetuenir	-|---|----|
q uanttuce s r espon ses	-⌫---|-|--⌫|-⌫-----⌫--|
ent oncuer	-|-⌫-|---|
ioieauoirdeur as	---|----|----⌫-|
carc e lles quien s irespon dent	--|-⌫-⌫---|--|--⌫-⌫|------⌫---|
lorco ragem oltbien espondent	--|--⌫---|-⌫--|---|--------|
toise ueutdesraisnier	--|-|---|----------|
forsde lembr achi e r	---|-||----⌫----⌫-⌫|
et dep arlerbi ens agement	-|-|-⌫----|--⌫-|-⌫------|
e tsili r e spont	-⌫|-|-|-⌫-⌫----|
douceme nt	-------⌫-|
hadouceriensn edoutés	-|----|----|-⌫|------|
iacie rtes nemiauenra	-|---⌫---|-|||-----|
queuoustraitor	--|---|------|
m e truissiés	-⌫|---------|
ie uos pr i queuousm assaiés	-|--|--⌫|--|---||-------|
tres toutensi queuou su aur és	----⌫---|---|--|---⌫|-⌫---⌫--|
etquant bienespro uuémarés	-|----|---|-----⌫---||----|
ret enésmoiauo streami	---⌫----|--||--⌫---|--|
tresdoucedame ieuos	---|----|---|-|--|
etsaci és biento utsans fauser	-|----⌫--|---|--⌫-|---|-----|
kepoint ne uousestuet	-|----|-|---|-----|
queioui afacenenedie	--|--|-⌫|---|-|-|--|
cosequ icourta	---|--⌫|----||
na blasmenea reprouui er	||-----|-||--------⌫-|
nea nuluilainreprocier	-||--|-----|--------|
ciertesdeceus	------|-|---|
qui se ua nten te t fontlo r	--|-|--⌫----⌫|-⌫|---|--⌫|
quantil o nfaitlor uolentes	----|-|-⌫|---|--|-------|
doufeudimfi ersoitembr asés	--|--||----⌫-|---|----⌫----|
qui ainc de femes eua nta	--|---|-|---|-⌫|--⌫--|
ne del les tra irse	-||--⌫--|---⌫-|-|
q uema int	-⌫-|--⌫--|
loialiontperdu	----||--|----|
etp orunfaussu n t mescreu	-|-⌫-|-|---|--⌫-⌫|------|
ce nt preud ome	--⌫-|-----⌫--|
i e lsaide uoir	-⌫||--|-|---|
paruous l e puisiou	--|---|-⌫|---|--|
bienue o ir	---|--⌫-⌫-|
qu e pour u nfaus me	--⌫|---|-⌫|---|-|
mes creés	---⌫-----|
n ipensé s	||------⌫|
queiouf ausumenteor soie	--|--|-⌫--||------|---|
ainssa cierme	---|--⌫---|-|
queiaiorde uous m euantasse	--|-|--|-|---|-⌫|-------|
ne iadamornu l	-|-||---|--⌫|
iorgh ilasse	--|--⌫-----|
n eli pecies nes t pas si	-⌫|-|-----||--⌫|--|-|
como ndistne siresoignans	--|-⌫|---|-|-|---------|
etsiuosd i tenésm afoi	-|-|--|-⌫|-----|-⌫|--|
tout lepeciet	---|-|-----|
pr endraisourmoi	--⌫-----|---|--|
et seuousuolés des	-|-|---|-----|--|
reubes de niersuaniaus	-----|--⌫----||-----|
uous lesarés moltu olentiers	---|--|----|---|-⌫--------|
cariesuiuost restoutentiers	--|-|--|----⌫--|---|------|
et quanque i aitout	-|------||-|---|
esten uostr ec onmandemen t	--|-|-----⌫|-⌫----------⌫|
uo u sfautforscon mand er	--⌫-⌫|---|---|---⌫----⌫-|
sorquanq uesiais anspoint	--|-----⌫--||-|-⌫--|----|
lautredirasuiie dontfole	|----|---|--|-|---|---|
quem aporté st elleparole	--||-------⌫|-⌫---|-----|
d ecoumaués	-⌫|--||----|
uousdeue ue	---|----⌫-|
qui tel par olleame nt eue	--|--|---⌫---|---⌫--⌫--|
m auéscen est pasuostre	|----|-||--|--|-----|
fuiésdechialésallou r s	-----|-|--|----|-----⌫-⌫|
querre et t rouue rleb ricounie	-----|-|-⌫-----⌫|-|-⌫-------|
ne l trouuerésu ousmie	-||---------|-⌫--|--|
m iexua uroie	-⌫--|--⌫----|
iestr e arseenfu	-----⌫|---|-|-|
queceme fust	--|-|-|---|
honte tostfa ire u ousferoie	----|---|--⌫--|-⌫--|-----|
semaisparler	-|---|-----|
u ousen ooie	-⌫--|-|---|
fiamaleurequel despit	-||--|---|---|-----|
enaiquantuous mauéscedit	-|-|----|---||----|-|--|
etqua ntuousmetenéspor	-|---⌫-|---|-|-----|--|
iounel uausi sse porma	--|-||-----⌫--|--|-|
uenieésuo uspor	-------|--⌫-|--|
miexameroiequeuns ciens	---|------|--|--|----|
meust m angi ét	|---|-⌫----⌫--|
lesdoistresto s	--|---|------⌫|
moltparfustes ha rdiset	---|--|-----|--⌫---|-|
etu osuientd eribauderie	-|-⌫-|----|-⌫|---------|
quant moiq uesistestelf olie	----|--|-⌫-------|--|-⌫---|
aunegarcedec escans	|--|----|-|-⌫-|---|
deuéstelco seestrequ erans	-----|--|--⌫-|----|--⌫----|
acestidirasdouc ement	|----|----|----⌫----|
multbieletmultcortoisement	---|---|-|---|-----------|
bieletresdouce	----|---|----|
ci erea m ie	--⌫--|-⌫-⌫-|
p ordiu ne	-⌫-|--|-|
uous effreésmie	---|-------|--|
uiengproier	----|-----|
simaitdexuostreualour	-||--|--|-----|-----|
led oitetuostr egransbiaute s	-|-⌫--|-|-----⌫|----|------⌫|
don tmescu ers es t sia l um és	---⌫|--|--⌫--|--⌫|-|-⌫-⌫--⌫--|
tantiestesbielee tauenans	---|-----|----|-⌫|------|
ge ntedecors	--⌫--|-|---|
etbienplaisans	-|---|-------|
