fa ms. f r.	-|---⌫-⌫-|
desauershomsest	--|----|---|--|
sei laplusq u	-|-⌫||---|-⌫|
nelueutsouffrir	-||---|-------|
carilnep eut	--|-|-|-⌫--|
qua ut re enaitaisene	-|-⌫--⌫-|-|--|---|-|
miex l aue utper d re	---|-⌫|--⌫-|---⌫-⌫-|
chascu n ior	------⌫|--|
dun lionqueuoloit	|-|---|--|-----|
e nautreterreconquester	-⌫|----|----|---------|
touteslesbes tesassamb la	-----|--|---⌫--|------⌫-|
et sona ff air eleurmonstr a	-|--|-⌫--⌫---⌫|---|------⌫|
et quedeus facentroi choisir	-|--||--|-----|--|------|
quida m aisreueni r	----|-⌫--|------⌫|
bestenel i	----|-|-⌫|
cunautre li o nlo r baillast	|-|----|--⌫-⌫|--⌫|-------|
illorrespont	-|--|------|
car nuln e nai	--|--||-⌫|-|
nennorrisnulc arien	|-|-----|--|-⌫-|-||
dax meism esdoi uentgarder	|-|-----⌫-|---⌫---|-----|
quemex les pu issegou uerner	--|--|--|--⌫---|---⌫-----|
lo rsa uoien tleleu ch oisi	--⌫-|-⌫-----⌫|-|--|--⌫---|
ca rniauoitnulsih a rdi	--⌫|||----|--|-|-⌫-⌫--|
qui osastpr endreselui	--|----|--⌫----|-|--|
tantletenoiton a felon	---|-|-----|-||----|
pluseurs a uoitpr amis	-------|-⌫---|--⌫---|
les ammeroit to udis	--|-------|--⌫|--|
aulion uontseliont dist	-|---|---|-|-|--|---|
quil a uoie ntlel o us eslist	-|-|-⌫----⌫-|-|-⌫-⌫-|-----|
i llor respontne ndoutez	-⌫|--|------||-⌫|-----|
quecoint ebe s teauezchoi sie	--|-----⌫|--⌫-⌫-|---|----⌫--|
pres t eetisnele et esparg nant	----⌫-⌫|-|-----|-|------⌫---|
et de courageet detalent	-|-|------|-|-|-----|
sefransest oit conil deuoit	-|----|---⌫--|--|-|-----|
maisdune cho s esecremo it	---||--|---⌫-⌫|-|-----⌫-|
q uilnepre i staconsillier	-⌫|-|-|---⌫-⌫-||---------|
le gourpil quim olts ettrichier	-|------|--|-⌫--|-⌫-|-------|
queenduisontfelo netangre s	--|----|---|----⌫|-|-----⌫|
sedeluiueu l entauoirpes	-|-|--|---⌫-⌫--|----|--|
selifaitesso rsains iurer	-|-|-----|--⌫|----|----|
d oiue besteadeser	-⌫---|----|-----|
ne queiamaisa sonuiuant	-|--|-----||--|-----|
nemeniast ch arnetant n equa nt	-|------|--⌫-|-|---|-⌫|---⌫-|
lileusa uolentier si uré	-|---||---------⌫|-⌫---|
qui lnontcon mand é	-|-⌫||--|---⌫----⌫-|
mais quant	---|----|
ilfuassa urez	-|-|----⌫---|
etl il ionssenfualez	-|-⌫|-⌫---||-|-|---|
granttal ent	----|---⌫--|
a de char mengi er	|-|---|-----⌫-|
parenginguou rr aporchacier	--|-----|---⌫--⌫|---------|
quele sbestes ot roieront	--|--⌫|-----|--⌫-------|
sauolenteetlaf eront	-|------|-|-|-⌫----|
zz cheurelappel lé	-|------|-----⌫--|
adit et conmandé	|--|-|--------|
queperammor	--|--|----|
uoirlideist	---|-|----|
des al ainn esel e	-||--⌫----⌫||--⌫|
c i llirespo ntqu e sipuoit	-⌫-⌫|-|-----⌫-|--⌫|-|----|
ca p ainnesso uffrirla pooit	||-⌫-----|--⌫-----|-|----|
lileussenua	-|---||-|-|
m olt c orrociez	-⌫--|-⌫-------|
ba ron s aenuoiez	--⌫---⌫||------|
atous ensamble d emanda	|---|-------|-⌫-----|
quel iug emen tchascuns fer a	---|---⌫----⌫|-------|---⌫|
d ece lui quidistsonsignor	-⌫|--⌫--|--|---|--|-----|
honte la idureetdeshonnour	----|--⌫----|-|---------|
lileu sua leche ur uelsaisir	-|---⌫|-|-|---⌫--⌫--|-----|
silaoc isp erlo res gart	-|||--⌫-|-⌫-|--⌫|--⌫---|
puisenm eniala grignorpart	---|-|-⌫---|-|------|---|
pour safelonniecouurir	---|-|-------|------|
en fistas autres	-|---|-|-----|
apres ycele saoule e	----|----|------⌫|
beste aappe l lee	----||----⌫-⌫--|
totautresilidema nda	--|------|-|----⌫--|
desal ainnequelis ambla	-||--⌫----|--|-|-⌫----|
la dolenteuolt miexme ntir	-|------|---|---|--⌫---|
q ueporuoirdire morts ouffrir	-⌫-|--|---|---|---|-⌫------|
di stli que pussouefo udour	--⌫-|-|--|--|----|-⌫----|
ne sen tionq u es	-|---⌫-|---⌫-⌫-|
lilo usacon so ilas samblé	-|--⌫-||---⌫--⌫-|--⌫------|
a sesba ronsademandé	|--|--⌫---||-------|
doitfairepar iugeme n t	---|----|--|------⌫-⌫|
de celuiquilitricheetme nt	-|----|--|-|-----|-|--⌫-|
t uitdientq u	-⌫--|----|-⌫|
elesoitoc cise	--|---|--⌫---|
lo rsa li louzlabesteprise	--⌫-||-|---|-|----|----|
silaocciseetdepartie	-|||-----|-|-------|
etdeuant axtoute mengie	-|-----|-|----|-----|
guei resapre s ne	----⌫--|----⌫|-|
queli lousuit	--|-|---|--|
etesg arda	-|---⌫---|
zzsinge grantet bienpeu	-|----|----|-|---|--|
delui ag rant	-|--||-⌫---|
uo ltetdeuour er	--⌫-|-|------⌫-|
zziour lialademander	-|---|-|--|-------|
des alainneceleiert	-||------||--|---|
iertb i e n	---|-⌫-⌫-⌫|
souefoulant	----------|
li sing es fumoltuisiez	-|----⌫-|-|---|-----|
ne u oloitpas e st re iug iez	-|-⌫----|--|-⌫--⌫-|---⌫--|
entrezziertitant lidist	----|-|---|----|-|---|
nesot lilo usqueilfeist	-|--|-|--⌫-|--|-|----|
ensonlitmalades se faint	-|--|--|------|-|----|
a toutesles bestesse pla int	|-----|--|-----|-|---⌫--|
silalere nt lu ezuisiter	-||-----⌫-|--⌫-|------|
quilnepeutmierespasser	-|-|-|---|--|--------|
si lifirentmiresuenir	-|-|-----|----|----|
pors auoirsilporro itga rir	--|-⌫----||-|-----⌫-|--⌫--|
limiresont	-|---|---|
t uitesgar é	-⌫--|-----⌫-|
nontn oien tueune trouué	|--|-⌫----⌫|--|-|------|
quil eust qui	-|-|---|--|
s il deme ngiertalen teust	|-|-|--⌫----|-----⌫|---|
dist ilnul desirrer	---|-|--|-------|
fo rsdecha r desinge	--⌫-|-|---⌫|-|----|
me sie nele ueil adeser	--⌫|-|-|-|---|-----|
mon seirement m esteutgarder	--|--------||-----|-----|
se i e neusse	-|-⌫||----|
telera ison	---|--⌫---|
que lotriass entmibaron	--||-------⌫--|-|----|
dontliloentconmunalment	---|-|----|-----------|
quelefaceseurement	--|-|---|--------|
ia nid oitga rdersereme nt	-|||-⌫--|--⌫---|------⌫-|
con tr esoncorsa sontal ent	---⌫--⌫|--|---||--|---⌫--|
contres oncorsdemalgar ir	-----|-⌫-|---|-|--|---⌫-|
n enpeuent	|-|-----|
ilnulgarentir	-|--|-------|
l esi ngeoci st si l emenia	-⌫|--⌫--|---⌫-|-|-⌫|----|
puis orentillor	---|----|-|--|
ne tient uers	-|----|---|
asnulserement	-|--|-------|
porcemonstralis i ng esbien	--|-|------|-|-⌫-⌫--⌫-|---|
quenedeu stp ornule rien	--|-|---⌫-|-⌫-|---|---|
felon hommefairesi gnor	----|----|----|--⌫---|
ne a trairea nule honnor	-|-⌫-----||---|-----|
i anegarderalo iaute	-⌫|-|------|--⌫----|
plusales t ran gequau priue	---|||--⌫-⌫---⌫-|-|-|----|
sisede m ainne	-|-|--⌫-⌫----|
uerssagent	---|-|---|
conf istlilousdouse ire ment	--|-⌫--|-|---|--|--⌫---⌫---|
ueneoruosconteici	-----|--|----|--|
qui zz leu auoitacoilli	--|-|--|----|------|
pa rmilechampfou ilil eus	--⌫--|-|----|---⌫|-|-⌫--|
o uunsbergi ersestoittous seus	-⌫|--|-----⌫--|-----|---|---|
pars a f ranchise	--|-⌫|-⌫-------|
lir equist	-|-⌫-----|
mus sa stetside is t	---⌫--⌫-|-|-|--⌫--⌫|
au uene ourquelpoursiuoit	-|----⌫--|---|---------|
estoit entreztoutdr oit	-----|-----|---|--⌫--|
lipais tresdistqu ein sifer a	-|----⌫---|---|-|---⌫-|---⌫|
dedens lafoudelemuca	-----|-|----|-|---|
l iuener re s uenoitcrian t	-⌫|-----⌫--⌫|-----|-----⌫|
e tdeuree nautre demendant	-⌫||---|-⌫|----|--------|
cillirespontnesaiou fu	--|-|------|-|--|-|-|
a l amain l e uaen seingnant	|-⌫|---|-⌫|-|--⌫--------|
qu ail lorsledoitalerquerant	-|---⌫---|-|---|---|------|
dementiersquil	---------|-|-|
liensigno it	-|-------⌫-|
uersl eloustous	---|-⌫|---|---|
d is asgardoi t	-⌫-|--------⌫|
n enpooitsesie xremuer	|-|----|--|--⌫|-----|
m aisneporquantfaitlen	-⌫--|---------|---||-|
quant illeui tbienes l ongnié	----|-|-|--⌫|---|--⌫-⌫------|
quilot mucie ́	-|-|-|-----⌫|
ne m ensez	-||-|--|
tuoresbo n gre	-|---|--⌫|--|
queie t aieinsi deliuré	--|-||-|----|-------|
l ileusrespon t	-⌫|---|------⌫|
cortoisement	-----------|
ta lan gueettes mainsuoieremen t	-|---⌫--|-|--|----|---------⌫|
doisie distilbon gresauoir	---|-|---|-|--|--|-----|
mais unerientedipo ruoir	---|--|---|-|-|--⌫|---|
sil al oitama uolente	|-|--⌫--||-|------|
s eroienti acreué	-⌫------|-⌫|-----|
ta langueet te smainsme ga rirent	-|-----|-|--⌫|----|-|--⌫-----|
a pou medes couuri rent	|--|-|---⌫------⌫---|
unspaons fuformentiriez	--|----|-|------|----|
uers soime ismescourrouciez	---|--|--⌫----|----------|
gueres ne ualoit	-----|-|-----|
tan tq u aluicedi stauenoi t	---⌫|-⌫||--|-|--⌫-|------⌫|
deue sselemons tra	----⌫--|-|----⌫--|
etla damme	-|-|----|
c i lnotass es e n	|-⌫||-|---⌫-|-⌫|
soi biaute	--|-----|
dontsilauoit	---|-||----|
depennes l a uoit faitp lusbe l	-|-----||-⌫---|---|-⌫--|--⌫|
quelenauoitnul au tre oisel	-|--||----|--|--⌫--|----|
li paons distquilsecremoit	-|----|---|-|-|-|------|
detousoisi a x plusuiuxesto it	-|---|----⌫-⌫|---|---|----⌫-|
por ce qu iln e sauoitchan ter	--|-|-|-|-⌫|-----|----⌫--|
ele respon tlassiez ester	--|------⌫|------|----|
bien t e doittabiau tez	---|-⌫|---|-|----⌫--|
nenn ilfaitil b ienlepui sdire	----⌫-|---|-|-⌫--|-|---⌫|---|
quantlirossignolesp etis	----|-|----------|-⌫---|
ame illor uois iesuishonnis	|--⌫----|---|-|---|-----|
uneberbisotengoulé	--|-----|-|-------|
etl ibergi ers li	-|-⌫|-----⌫--|-|
sonaingnelets i l e n	--|--------|-⌫||-⌫|
azzchieur el e	|-|------⌫|-⌫|
quidesonleitbienle no r ri	--|-|--|---|---|-|--⌫-⌫-|
et l enmenaoubois	-||-|---|-|---|
quantelelotc reuetgrant	----|--||-|-⌫--|-|----|
puis lappell asili dist	---||------⌫|-|-|---|
uat e nala ba r bis tamere	-||-⌫||-|--⌫-⌫--|-|---|
etau mouton q ui	-|-|-----|-⌫-|
est tonp ere	--|--|-⌫--|
ai nor rilunguement	-|---⌫-|---------|
eti l respondi	-|-⌫|-------|
auisque biendoitestre	---|--|---|---|----|
mamere quime uoloitpestre	-|---|--|-|-----|-----|
miexque c elequimeporta	---|--|-⌫--|--|-|----|
e tqui deli medeseur a	-⌫|--|-|-|-|------⌫|
ensisa uint quenzz pasquis	----|-⌫---|-|-|-|------|
otgrantconpaingn e	-|----|---------⌫|
un s homsa loit esbano ier	--⌫|--||-⌫---|------⌫--|
c hamposamo ill ier	-⌫---||-|--⌫---⌫--|
lesberbiss e nsgarde tr o ua	--|-----|-⌫-⌫-|----|--⌫-⌫-|
uneenocist sil	--|-|----|-||
chasc uniorelcham pre ue noit	-----⌫-|--|-|----⌫|--⌫--⌫---|
si en portoitet ocio it	-|-|------|-|----⌫-|
l esberbismoltsencorro ucerent	-⌫-|-----|---||-|-----⌫------|
entrelesdi rent etconsillie rent	---|---|--⌫---|-|---------⌫---|
queneseueulentpas	--|-|-|------|--|
p armalua istieselairontprendre	-⌫-|-----⌫----|-|------|------|
neia nesend estorneront	-|-|-||-|-⌫----------|
nepor morirmot ned iro nt	-|--|----|--|-|-⌫---⌫-|
tant atandirent libaron	---|---------|-|----|
queniremestque	--|||-----|--|
zz mout on	-|----⌫-|
q uan tseusse u itenla	-⌫---⌫|---|-|-⌫-|-|-|
conpain gne	-------⌫--|
sou ffr ir quil n es e	---⌫---⌫-|-|-|-⌫|-⌫|
grantmaluaitiefaitil	----|--------|---|-|
quigrantconp aingniee stiemmes	--|----|----⌫------|-⌫-------|
mal ua isconseilcreismes	---⌫--⌫-|------|-------|
parf o ique nenos deffendiemme s	--|-⌫-⌫|--|-|--|------------⌫|
uerscelhommequi agranttort	---|--|----|--||----|---|
nousatouspris	---||---|---|
ettraitamo rt	-|----||--⌫-|
p orc e d is t o nen reprouer	-⌫-|-⌫|-⌫--⌫|-⌫|-|-------|
plusour ne s osent	------|-||----|
reueng ier	------⌫--|
nec ontre ster lor	-|-⌫-----⌫---|--|
quedeuers ausn	--|-----|--||
aientlepis	----|-|--|
unsempereresnorritia	--|--------|-----|-|
unsinge qu eforment amma	-|----|--⌫|------|---|
et lisinges	-|-|-----|
bienentendoit	---|--------|
qua ntqueahommefeire	---⌫----||----|----|
empereour uintseruir	--------|---|-----|
etsesfest es liuit ten ir	-|--|----⌫-|-|--|---⌫-|
tenoi entasignour	-----⌫--||------|
fores talazz	-----⌫|--|-|
touslessingesfist	---|--|-----|---|
pe tisetgransquilpottroue r	--⌫--|-|----|-|-|--|-----⌫|
se urt ous se fist l eueraroi	--⌫-|-⌫--|-|---|-⌫---||--|
puislesre tintensamble o	---|--|--⌫---|-------||
de spluseursfis t sesseneschaus	--⌫|-------|---⌫|--|---------|
etsesconseilli e rsdes	-|--|---------⌫-⌫-|--|
etsessergenspar s amaison	-|--|------|--|-⌫|-----|
establ istil ch ascunparnon	------⌫--|-|--⌫----|--|--|
puis pristfa mme etot en fa ns	---|----|--⌫--|-|-|--⌫--⌫-|
e ttintfes teethauteetgrant	-⌫|---|---⌫-|-|----|-|----|
duihommeie ren t a ubo isa lé	--|----|--⌫---⌫|-⌫|--⌫-|-⌫--|
ma is ils estoient esgaré	--⌫-|-||-------|------|
laoulisingeconuerso ient	-|-|-|----|--------⌫---|
c ont re lor	-⌫---⌫-|--|
uole n tea lo ient	----⌫-⌫-|-⌫--⌫---|
laouilierentas samblé	-|-|-|-----|--⌫------|
noufir entmie d el o r	|-|---⌫--|--|-⌫|-⌫-⌫|
liunsestoit forment	-|--|-----|------|
lia u trest richiereset faus	-|-⌫-⌫---|-⌫--------|-|---|
quan t enlorcourt furentent r é	----⌫|-|--|----|-----|---⌫-⌫-|
d essi ngessontbel	-⌫-|--⌫---|---|--|
liloiaus hom les	-|-----|--|--|
le mpe rereslorde man da	|-⌫---⌫----|--|--⌫---⌫-|
que lisambloitde sam aisnie	--|-|-------|-|-|-⌫-----|
estoit biensignourie	-----|---|--------|
liloiaushom	-|-----|--|
d o ncli respont	-⌫-⌫-|-|------|
qu aui sliestque singe	-|---⌫|-|--|--|----|
ma famme di	-|----|-|
etdemonfilquetu	-|-|--|--|--|-|
quetemsamble nemecele r	--||-|-----|-|-|----⌫|
man doitdist ilsambler	|-|---|---|-|------|
tui ezsingese leest si ngesse	-|-⌫-|-----|-⌫-|--|--⌫-----|
laidehideuse felonnesse	----|------|---------|
partoipeussauoir	--|--|---|-----|
est unssingeriaxpetis	--|--|--------|----|
au tricheorsonconpaingnon	-|-------|--|----------|
toute mei smes	----|---⌫---|
demandaluitoutmota mot	------|--|---|--||--|
etil lidistqu	-|-|-|---|-|
ilis amblot	|-|-⌫-----|
conqu es ne	|----⌫-|-|
uitpl usbele	--|--⌫-|---|
nemiex fussentaso ntalent	-|---|------||--⌫|-----|
apr eslordistde	---⌫-|--|---|-|
lorsig no r	--|---⌫--⌫|
qu e bie n sambloit em pereor	--⌫|---⌫|-------|--⌫-----|
et bienpeut estre ro is	-|---|---|----|--⌫-|
safamme samble em pereris	-|----|-----|--⌫------|
siho nno uré	-|--⌫---⌫---|
deto utes p arslunte ncliné	-|--⌫---|-⌫--||--|-⌫------|
leloialhomme au oient	-|----|----|--⌫----|
silontdeserté et malmis	-||--|-------|-|-----|
poursonuoirdistl ifirenthonte	---|--|---|---|-⌫|-----|----|
liexempledecest con te	-|------|-|---|---⌫-|
nepotpaso letricheour	-|--|--||-|--------|
lilo i aushons auoirh on nour	-|--⌫-⌫--|---|----|-⌫--⌫---|
acour tou l enweilletrichie r	|----⌫|-||-|-----|-------⌫|
etpe r menc o n gesforiugier	-|--⌫|----⌫-⌫-⌫--|--------|
dunasnedit	|-|---|--|
qu ilencon tra	-|-|-----⌫--|
unlyonfie rselsalua	-|---|---⌫|--|----|
de xtes autfrer e	--⌫|-|-⌫--|----⌫|
dext esaut	--|-⌫|---|
lili onsuit	-|--⌫--|--|
lasnesi baut	|---|-|---|
sil iresponthastiuement	-|-⌫|------|----------|
desquantso mmesnouss i parent	--|----|--⌫---|---|-⌫|-----|
di st l ias nesmeruoillesuo i	--⌫-|-⌫|--⌫--|---------|--⌫|
molt prisesautresbe stes poi	---|-----|-----|--⌫---|--|
tucui des b ien ensi	-|---⌫--|-⌫--|---|
san sfaille	---⌫|-----|
quenule n etecontreuaille	--|---|-⌫|-|-----------|
ui eno reomoienseur c el	--⌫-|-⌫-||--|-|---|-⌫-|
oulesbestesensamble so nt	-|--|-----|-------|--⌫-|
et iet eferai iaueo ir	-|-|-⌫|----|-|---⌫-|
etsi por ras aparceuoir	-|-|---⌫--|---------|
qu el esaurontpaourde moi	-|--⌫-|-----|----|-|--|
a utresibien co nmede toi	-⌫-----|---|--⌫--|-|--|
lil io nsestale zolui	-|-⌫--⌫-|--|---⌫||--|
seur zzmo ntmonterenta ndui	---|-|--⌫-|--------|-⌫---|
de so urlemont enlaualee	--⌫--⌫-|-|---|-|-|----|
otde bestesgrantassemblees	-|-|-----|----|---------|
liasnes prista	-|----|----||
et silaidemen ta crier	-|-|--------⌫||----|
qu e lesbest ess e ndepartire nt	--⌫|--|----⌫-||-⌫|---------⌫-|
telpa ourorent qu enfouir ent	--|--⌫--|----|-|-|-----⌫--|
li asne sd istuo ist uamm is	-|----⌫|-⌫--|--⌫-|-⌫|---⌫-|
tauoie promis	|----|-----|
li a r esp ondu	-||-⌫---⌫---|
cenestmi eportau e rtu	-||--|--⌫|--|-|-⌫-⌫--|
nep ourf ierte que	-|-⌫--|-⌫----|--|
q ui ta ntlorsamblees poenta ble	-⌫-|--⌫-|--|-----|--⌫------⌫--|
quetuitte tie ngnen ta dyable	--|---|-|---⌫-----⌫||-----|
s iest del orguil lo usfelum	-⌫|--|-||------⌫--⌫-|----|
q ui parmanace	-⌫-|--|-----|
etpar tencon	-|--|-----|
espouenten t lafo le	----------⌫|-|--⌫-|
etc uident bien a e sc ien t	-|-⌫-----|---||-⌫--⌫---⌫|
que nus ne losecontrester	--|--|-||--|---------|
il l o ienten	-||-⌫---|-|
ha utparler	--⌫-|-----|
unslionsfu moltrueilliés	--|----|-|---|---------|
etdecur emoltuisies	-|-|---⌫|---|-----|
enz zcau e	-|-⌫|---⌫|
fist sonlit	---|--|--|
molt fumala des a son dit	---|-|----⌫--||--|--|
lesbestesf ist	--|-----|-⌫--|
asoi uenir	|--|----|
quiiluoloi tc edit	--|-|-----⌫|-⌫|--|
quimiexaubois porroit chacie r	--|---|-|---|------|------⌫|
et sa ui and epourchacier	-|-|--⌫---⌫|----------|
unese tun es	---|-⌫|--⌫-|
le s m andoit	--⌫|-⌫-----|
ses oc ioitetdeuouroit	--|--⌫---|-|--------|
mie x uouloiteinsi mengier	---⌫|------|----|------|
qu apres cou rre ne tr auillier	-|----|---⌫--|-|--⌫-------|
li gourpix f u aueuc alez	-|------|-⌫|----|---|
forsdela cau eesta r restez	---|-|-|---⌫|--|-⌫-⌫-----|
desnou elesuolo i to ir	--|---⌫---|----⌫-⌫|-⌫-|
ainsquil uaussis tau ant	---|-|-|-------⌫|--⌫--|
sist si l esgarda	---|-||------|
ireem entli dema n da	-----⌫--|-|----⌫-⌫-|
p ourcoineueut uenir a ua nt	-⌫--|--|-|---|----|-⌫--⌫-|
etli gourpis	-|-|------|
li respontt ant	-|------|-⌫--|
sir efaitil	---⌫|---|-|
ni osealer	||--|---|
carnenuoinuleret orner	--||-|--|---|---⌫----|
d es beste s quiainsi entrer ent	-⌫-|-----⌫|--|---||------⌫--|
et poruosueoirialerent	-|--|--|----||------|
decourtaroyestensement	-|----||--|--|-------|
tex ientrelegieremen t	--||----|----------⌫|
mi exliuaurro i tarrierester	--⌫-|-|------⌫-⌫|-----|----|
nouelesesc ou ter	------|---⌫--⌫--|
ci nousracont e	-|---|------⌫|
cuns uilainspristazz cl ieon	|--|------|----||-|--⌫---|
quetan tco ntere ntlo rpar age	--|---⌫|--⌫-----⌫-|--⌫|---⌫--|
siparlerentde	-|--------|-|
leur li gnage	---|--⌫----|
lilionsdistfixsuia roi	-|----|---|--|--||--|
distliuilai n suiengt	---|-|-----⌫-⌫|----||
son t enduiuenu	---⌫|----|---|
ileucaliuila in s ue u	----||-|----⌫--⌫|--⌫|
deseurl apie re unepei nture	-----|-⌫|---⌫-|--|---⌫----|
quezzuilainspar auentur e	--|-|------|--|-------⌫|
a sah ache	|-|-⌫---|
ocistzz lion	----|-|---|
si appella sonc o npai ngnon	-|------|--|-⌫-⌫----⌫----|
quifist cestesambl anceici	--|---|----|-----⌫---|--|
hons ou l ionsitant m endi	---|-|-⌫---|----||-|-|
cefis tzzhon s di stliuilains	-|---⌫|-|---⌫|--⌫-|-|------|
asesengin s	|--|-----⌫|
l orslalilion s respondu	-⌫--|||-|----⌫|-------|
cesta ton pe upleconneu	|--||--|--⌫---|-----|
quantset pourtaill ie retpourtraire	----|--|---------⌫--⌫|-|---------|
mais lilionsn e lset pas faire	---|-|----|-⌫||--|--|----|
ironsensamblela	----|-------|-|
liuilains uasi	-|------|-|-|
azzchastel	|-|------|
lempereour	|--------|
einsi que ens icel ui	----|--|--|----⌫-|
auoientiliug iéem plait	------|-|---⌫--|-|----|
zzbaronqu ili out mesfait	-|----|--⌫|-|--|------|
proueze stoitdetra ison	-----|-⌫----|-|---⌫---|
selfistgi teracellion	--|---|--⌫--||--|---|
quilonc tensotesté gar dez	--|---|---|-|----|---⌫--|
courte nc haie nnez	----|-⌫--⌫----⌫---|
et il lo cistisnele pas	-|-||-⌫---|------⌫--|
gardaarm es nedras	----|---⌫-|-|---|
li lionsatantsendepa rt	-|----||---||-|----⌫-|
et l i uilains	-|-⌫|------|
sefusse nt d ile uc	-|-----⌫-||---⌫-|
g audinesont	-⌫-----|---|
parmi l es	----|-⌫-|
landestrasp asserent	-----|-----⌫-------|
l ionencontrer e nt	-⌫--|---------⌫-⌫-|
aceluidist	|----|---|
q uilfaitdesroi	-⌫|-|---|-----|
qu imainele uilain	-||----|-|-----|
quilsetlaf osseapp arillie r	-|-|--|-|-⌫---|---⌫-------⌫|
o u ilporroienttres b u chier	-⌫|-|--------|----⌫-⌫-⌫----|
aussiconfirent siparent	----|--|-----|-|-----|
illoci rr asi liconsent	-||---⌫--⌫|-|-|------|
li lions uoitqu i	-|----|---|-||
nelsoufferroitquill	-||----------|-|-||
pournulerie nsc arfo yi	---|---|---⌫-|-⌫-|--⌫||
li uilains	-|------|
loit selmercia	|--|--|-----|
m oltp arlensotce	-⌫--|-⌫-||-|--|-|
dist bongre	---|--|--|
l ilions l ia	-⌫|----|-⌫||
si li sambloit	-|-|-------|
qu il aitbienfa it	-|-|--|---|--⌫-|
distlilion s aut rementuai t	---|-|----⌫|---⌫-----|---⌫|
ceuousains tantdi s tlilion	-|---|---|---|--⌫-⌫|-|---|
queno u sfussiemmesconpaing non	--|--⌫-⌫|---------|--------⌫--|
quant memonst ras	----|-|-----⌫--|
zzpaintu re	-|------⌫-|
pierred auentur e	-----||-------⌫|
maisietaipuis oueuremonstree	---|-||-|---|-----|-------|
a descouuert l as esgar dee	|---------||-|-----⌫--|
perexemple uousueil aprendre	--|------|---|---|-------|
n edoitnoian t	-⌫|---|-----⌫|
afable qui	|----|--|
est d emenc o n ge	--|-⌫|----⌫-⌫-⌫-|
napaintur equisam ble	||-------⌫|--|---⌫--|
cestacro iredontonu oit	|--||---⌫--|---|-|-⌫--|
quil aueriteendescueure	--|-⌫|-----|-|--------|
cedist monta	-|---|----|
cham oi lsi	----⌫--⌫|-|
desique nun eautrecontree	---|-|-⌫|--⌫|----|------|
lapucep ourpensee	-|---|-⌫--------|
sia mer ciezlechamo il	-||---⌫---|-|-----⌫-|
que s isouef dedens	--|-⌫|----|-----|
l auoiteinsisouefportee	|----|----|----|-----|
iamai sparlin	-----⌫|--|-||
pourson trauoi l lese r uiroit	---|--|------⌫|-|--⌫-⌫-----|
molt uole ntie rs cele pouoi t	---|----⌫----⌫-||--|-----⌫|
lichamau s l iares pondu	-|------⌫|-⌫||---⌫----|
conques chargiez	|-----|-------|
de li nefu	-|-|-|-|
ne nesot quelef ust sor lui	-|-|--|-|--|-⌫--|--|--|
feistnulanui	----|--|---|
les richesuontapr es menant	--|-----|---|---⌫-|-----|
formentlescuident corrouc ier	------|--|------|-------⌫--|
dommagefaire et anou re r	------|----|-|----⌫--⌫|
gresil londistlam aniere	------⌫--|---|-|-⌫-----|
qu edeuersune f o urmiere	--⌫|-----|--|-⌫-⌫------|
ou t ensdiuerestoitalez	-|-⌫--||---|-----|---|
par auent ureestensent rez	--|-----⌫--|--|--|---⌫--|
u iande dema ndaetquis t	-⌫----|----⌫--|-|----⌫|
nenauoitpointcedist	|-|----|----|-|---|
en samais onnenson re coit	-|-|----⌫-||-|--|--⌫---|
dis tlifourmisqu as	---⌫|-|------|-|-|
tu doncfait	-|---|---|
quan ttudeusses	----⌫|-|------|
gaaingnier	---------|
et enaou sttoi pourchacier	-|-|---⌫-|--|----------|
ie chantai distil etde duis	-|------|---|-|-|--⌫---|
asaut re s be st esmaisne	-|---⌫--⌫|--⌫--⌫-|---|-|
meueuillentgueredon n er	-|--------|--------⌫-⌫-|
pourc emesteuteinsis	---|-⌫||-----|-----|
distliformis chant eor	---|-|-----|-----⌫|-|
parcelef oi q ueie tedoi	--|---|-⌫-|-⌫-|-|-|--|
miexfust quetutepourchassasses	---|---|--|-|-|-------------|
oumoisd aous tetgaain g nasses	-|---||----⌫|-|-----⌫-⌫-----|
que tuf u ssesde	--|-|-⌫-⌫---|-|
froitmourant	----|------|
a mon hu isuiandequerant	|--|--⌫-|-----|------|
pourcoitedonroie amengier	---|--|-|------||------|
q uant tuamoin epeusaidier	-⌫---|-||--|-⌫|---|-----|
por cedeff entq ue	--|-|----⌫--|-⌫-|
nus neuiu e	--|-|---⌫|
ennonchaloir	-|---------|
encesteuie	-|----|--|
selonc ceque oiseusdoitfaire	-----|-|--|-----|---|----|
sedoitp enerd e	-|---|-⌫---|-⌫|
bien atr a ire	---|---⌫-⌫--|
est chierss	--|-----||
ilaqueprendre	-||--|------|
q ues aautrui	-⌫-|||-----|
deuoitatand re	-----|-----⌫-|
en sisauint c unnecornaille	--⌫--|----||---|--------|
sassistsor	|-----|--|
ledos duneoeille	-|--||--|-----|
beclafiertaprement	--|-|----|-------|
salainne l io ste	-|-----|-⌫|-⌫--|
enroingnent	-|--------|
tu quich euauc hesdeseurmoi	-|--|--⌫-----⌫--|-----|--|
ietepr ien bonnefoi	-|-|--⌫|-|----|--|
remuetoisife rasbien	----|--|-|--⌫--|---|
sur lawlpil ou	--|-|----|-|
surlechien	--|-|----|
si faia lu isiconme amoi	-|--||--⌫|-|----||--|
