me conmandee t prie	-|-------|-⌫|---|
b ienpeu entle spucel es dire	-⌫--|---⌫--|--⌫|-----⌫-|---|
queto ut l or secorsp erd u ont	--|--⌫-|-⌫-|-----|-⌫---⌫|--|
porlegrant du elque el es	--|-|----|--⌫-|--|--⌫-|
ag auainssoncemin	|-⌫-----|--|----|
etuin ta eleseslaiscié	-|---⌫||---|---------|
elcief lestroua	-|---|--|----|
dune lan de	|--|---⌫-|
douc ementen quiert etdemande	----⌫----|--⌫-----|-|------|
quantillorot son	----|-|--|-|--|
por qu elesso ntent el	--|-|---|--⌫-|-|-⌫-|
nepor q uelesfonts igrant	-|--|-⌫|---|---|-⌫|----|
lasse faitca scunemi enwel	----|---|--⌫----|--⌫-|--|
fussiesn ousto utestr ois oci ses	------|-⌫--|--⌫---|--⌫--|---⌫--|
ces tdol ors q uenoussommesuiues	|--⌫|---⌫--|-⌫-|---|-----|----|
quantnousauontel pert efai te	----|---|---|--|----⌫|---⌫-|
quiiamaisn e seraretraite	--|-----|-⌫|---|-------|
n eparboucedome con tee	-⌫|--|----||--|---⌫--|
atant ciet	----|---|
siestr eco nmenci ésli dex	-|--|-⌫---⌫------⌫--|-|--|
ilaregard é derier e ex	-||------⌫-|------⌫|-|
si ui t ges irundam o isel	-|--⌫|---⌫-|-|---⌫-⌫---|
moultgrantetmoultgentetmoultbel	----|----|-|----|---|-|----|--|
qui moultestoitbie n atornés	--|----|-----|---⌫|-------|
maisil auoitlesex	---|-|----|--|-|
ile uquestoutnouuelement	---⌫----|---|----------|
quencor en otle uissanglent	-|----|-|-|-|--|-------|
moult parenfu g auain sir iés	----|--|-|-|-⌫-----⌫|--⌫---|
tant ertbiax et bi enati riés	---|--|---|-|--⌫-|---⌫----|
quebienp aroit	--|---|-⌫----|
dehauteg ent	-|----|-⌫--|
si quidoitb ienaesc ie nt	-|------|-⌫--||---⌫--⌫-|
qu e toutce	--⌫|---|-|
duelf ustporlui fai t	---|-⌫--|--|--|---⌫|
belefait ilic est sorfa i t	---|---|-|--⌫--|-----⌫-⌫|
decestuallet	-|---|-----|
que i e ci uoi	--|-⌫|-|--|
c omentfu il faisne por q uo i	-⌫----|-|-|---|-|--|-⌫--⌫|
gr a nttalen ta i q ue	--⌫-⌫-|-----⌫|-⌫|-⌫-|
lautre res pontiadi u	|----|---⌫---|-|--⌫|
queie uiuemais lo ngement	--|-|---|---|--⌫------|
quantl onoretla fa i tement	----||---|-||-⌫--⌫-⌫-----|
l alargecee tlasegno ri e	-⌫|------|-⌫|-|-----⌫--⌫|
etleflordecheualerie	-|-|---|-|---------|
ue u morirensanbl e	--⌫|----|-------⌫|
litrestra nble	-|-------⌫---|
siqueto ute descou loree	-|--|--⌫--|------⌫----|
kai dal es	--|---⌫-|
laut rexxx	|---⌫-|--|
gauainsmist	------|---|
ilpargueredon	-|--|-------|
uous requieretpriparseruise	---|------|-|--|--|------|
quis oitfaisa uostredeuise	--|-⌫--|---||-----|-----|
dites seuous	----|-|---|
don tc edu el u ie nt	---⌫|-⌫|--⌫-|-⌫--⌫-|
q ueuous au és	-⌫-|---|--⌫--|
la damoi sel ea	-|-----⌫---⌫||
r esp ondu	-⌫---⌫---|
couque i aiueu	--|--||-|--|
queuous au éssibel parlé	--|---|--⌫--|-|--|-----|
uousertd eciefenc ie fconté	---|--|-⌫|---|-|-⌫--⌫|-----|
et l a doloretl	-|-⌫|----|-||
duelqu enous	---|--⌫|---|
sig rant quenedeuroit	-|-⌫---|--|-|------|
ca r setrestoutlemont sauoit	--⌫|-|-------|-|---|-----|
legrantdamage etle	-|----|-----|-|-|
qui es tauenuwic e stior	--|--⌫|----|-|-⌫-⌫-|--|
sienfero itilautretant	-|-|----⌫-|-|--------|
car lidamageses	--|-|------|-|
onquessi gransnefu ueus	-----|-|----|-|-|---|
quant ilserapar	----|-|---|--|
t outseu s	-⌫--|---⌫|
mendree stli	-----|-⌫-|-|
dexque lidamages	--|--|-|------|
qui tantertproxet sages	--|---|--|---|-|----|
et quidumontauoit	-|--|-|---|----|
esten c esteforestocis	--|-|-⌫---|-----|---|
orendroit i cideuantnous	--------|-⌫-|-----|---|
bienp o és a estox	---|-⌫-⌫--||----|
qui ci lestcuiieuousdi	--|--⌫|--|--|-|---|-|
belefaitquant iene lui	---|---|----|-|-||-|
puise stre bienc ert ains	---|-⌫---|---|-⌫---⌫---|
sire fa i t ele cest gauain s	---|--⌫-⌫|--||--|------⌫|
liroi sleri ce roiartu	-|---⌫|-|--⌫-|--|---|
le boncheual ier esleu	-|--|------⌫--|----|
qui tant ertproisiésetamés	--|---|--|--------|-|----|
wierroit trestousdesarmés	-|-----|-------|--------|
parceste fo rest en deduit	--|----|--⌫---|-|-----|
sansconpa i gnieetsansconduit	---|-----⌫-⌫---|-|---|------|
ilnauoitarmeoluiportee	-||----|---||--|-----|
f ors lanceet	-⌫--|----|-|
escuetes p e e	---|-|--⌫-⌫-⌫|
err oit sansc onpaigni e	---⌫--|---|-⌫--------⌫|
troiche ual ierq ui d ix maudie	---|---⌫---⌫--|-⌫-|-⌫-|-----|
quideuie slauo ient	--|-|---⌫||---⌫---|
lore ntde sque ciparsiui	|---⌫-|--⌫---|-|------|
qu an ti lfu i scusde ce ual	--⌫--⌫|-⌫|-|-⌫---|-|-|--|
liu nsl aitcorreleceual	-|-⌫-|-⌫--|----|-|----|
et u int poignan t d esi alui	-|-⌫--|-------⌫|-⌫--||--|
enbuscié sefurent	--------|-|-----|
etl itiers a	-|-⌫|----||
lu i semesla	--⌫|-|----|
ta ntlongementlesto rs dura	--⌫-|--------||----⌫-|---|
qu egauain se nuint el desus	--⌫|------⌫|-⌫|---|-|----|
lidoi nelpeurents oufrirplus	-|--|-||------|-⌫-----|---|
auoitelbo sla is cié	----|-|--⌫|--⌫--⌫---|
uin renttou t	---⌫---|---⌫|
es lai scié	--⌫---⌫----|
alor c onpa igno n	|--|-⌫----⌫----⌫|
gauai nmisente ntel r an don	-----⌫|-----|-⌫|--|-⌫--⌫--|
qu iln ese	-|-|-⌫|-|
peu tdesfe nd r edex	---⌫|-----⌫--⌫-⌫||-|
qu il e ren ttroiset iler ts ex	-|-|-⌫---⌫|----|-|-|--⌫|-⌫-|
et s estoitca scunsbienarmés	-||-----|--⌫----|---|-----|
ciluaslesquiuouslaueés	--|-----|--|---|-|----|
quide grant hardementertpl ain	--|-|----|--------|--|--⌫--|
ipoinst poraidier	|-----|--|-----|
so npooirfi stdelui aidier	--⌫|----|--⌫-|-|--|-----|
ma isdel ipeutauo ir me s tier	--⌫-|-|-⌫|---|---⌫-|--⌫-⌫---|
carcile rent etgran te tfort	--|--|-⌫---|-|----⌫|-⌫|---|
a exualut peu	|-|----|--|
carc asc u nsestoitdesarmés	--|-⌫---⌫-⌫-|-----|--------|
auuall etont	-|----⌫-|--|
les excreués	--|-|------|
e tg auainonttout detrencie ́	-⌫|-⌫----|--|---|---------⌫|
sireleduel et	---|-|---|-|
quenousauonse tlag rantire	--|---|----|-⌫|-|-⌫---|--|
lo i aum entleuous	--⌫-⌫---⌫--|-|---|
p oons dire	-⌫---|---|
n es tpasporcestuiseul eme nt	|--⌫|--|--|-----|----⌫---⌫-|
ains auons le grantm autal ent	---|----|-|----|-⌫-----⌫--|
de lbonc heu al ierqui	--⌫|--|-⌫---⌫--⌫--|--|
lors conmen c aunsdexsifors	---|------⌫-⌫|--|--|-|---|
luo u sporroi t retraire	|--⌫-⌫|------⌫|-------|
l assefont	-⌫---|---|
e l es q ue porrons	-⌫-⌫-|-⌫-|------|
ahi morstant pare sau ere	--|---|---|--|-⌫|--⌫--|
nousn au ionsfo rscestuifrere	---||--⌫---|--⌫-|-----|----|
et si auonscest uiper du	-|-|----|----⌫-|---⌫-|
amorsd olente	|---|-⌫-----|
quef aistu	--|-⌫--|-|
quan torendroitneno usoc is	----⌫|--------|-|--⌫-|--⌫-|
ce sttacos tumed e	|-⌫-|-|---⌫---|-⌫|
q ua celui	-⌫||----|
qui tauenue	--|-|----|
etasonbe soigterec la in me	-||--|--⌫---|-|---⌫--⌫--⌫-|
neueus secorreneaidier	-|---|------|-|-----|
tua s mor t	-|-⌫|---⌫|
cheu alier	----⌫----|
donttox l i monssera	---|--|-⌫|---|---|
es u ilain e	-|-⌫-----⌫|
prenstouta eslai s	----|---||-----⌫|
etlaiscesuiurel e s	-|------|----|-⌫-⌫|
n araisonne mesure	||-----|-|-----|
decestrois lasses na s	-|--|----|-----||-⌫|
quiloruieontengrant despit	--|--|--|--|-|----|-----|
etmessire gaua insadit	-|--|---|----⌫--||--|
bele sneuousdes confortés	----⌫|-|---|---⌫---------|
portropgrant nient uouscremés	--|---|----|----|---|------|
carie uieg	--|-|---|
del acorttot	-|-⌫|---|--|
siiui se o ir orendroit	-||-|--⌫-⌫-|--------|
aumengier mon seign orgauain	-|------|--|-----⌫-|-----|
etsaciésqu eieluitou tsain	-|------|--⌫|-||-|---⌫|---|
alacortquant	|-|---|----|
et li uallesli	-|-|-----|-|
biaxs ir ea insestmors	---|-⌫--⌫|-⌫--|--|---|
amisfaitil qu esauésu ous	---|---|-|--⌫|-----|-⌫--|
come ntenestesuous	----⌫-|-|----|---|
ief uifaitil uallesgauain	-|-⌫-|---|-|-----|-----|
antan aun tornoiement	----||-|----------|
etsisait outcerta inement	-|-|--|-⌫--|-----⌫------|
que cesti lqui	--||--|-⌫|--|
estdeca upés	--|----⌫----|
amisdistil carme	---|---|-|--|-|
mo ustrés	--⌫------|
ie conistera ibienle cors	-|---------⌫|---|-|---|
cilson tia	--|---⌫|-|
del aforestquilont	-|-⌫|-----|--||--|
quantil en orentlecie f pris	----|-|-|----|-|---⌫|---|
tr estoxlesme mbresli	--⌫----|--|--⌫----|-|
caupe rent	-----⌫---|
laidementle d es fig urerent	--------|-|-⌫--⌫---⌫------|
i reme stne pie ne poi ng	|----⌫-|-|--|-|---⌫-|
ils ont iabientroisliues loi ng	-|-⌫--|-|---|----|----|---⌫-|
corsquil en ont porté	---|-|-|-|--|-----|
doutent w imai s	------|-⌫|---⌫|
se gauainsot ireetanu i	-|------|-|--|-|---⌫|
delual let quisiertdestroit	--|---⌫--|--|-|--|-------|
etdespu cele sq ue	-|--|--⌫----⌫|-⌫-|
por lu isi grant doldemener	--|--⌫|-|----|--|------|
il nefai tmieadema nder	-|-|---⌫|--||----⌫---|
por leualletestt ox	--|-|-----|--|-⌫-|
carhom quialesexc reués	--|--|--||--|-|-⌫-----|
ui ttoxiorsp ui sa gr antanui	--⌫|--|---|-⌫--⌫||--⌫--|---|
etset de uoir que ce stporlui	-|--|-|---|--||-⌫-|--|--|
queonl iacest	--|-|-⌫||---|
ma ltoutfait	--⌫|---|---|
et del ch euali erquisen uait	-|--|--⌫-----⌫-|--||-|---|
quie nporte ladamoi s ele	--|-⌫|----|-|-----⌫-⌫--|
par quoises	--|---|--|
d exl irenouu ele	-⌫-|-⌫|------⌫--|
n esetqueilfera	-⌫|--|--|-|---|
laqu elea uentu reilsuirra	-|--⌫--|-⌫-----⌫-|-|-----|
lapr em iere u ladaraine	-|--⌫--⌫---||-|------|
uisl iestque lapremeraine	--|-⌫|--|--|-|---------|
doitilpremiere me ntfu rnir	---|-|--------⌫--⌫-|--⌫---|
e tsiilsenpuetreuenir	-⌫|-|-||-|---|------|
sansper il et s ansenconbrier	---|---⌫-|-|-⌫--|---------|
si doitacestire perier	-|---||----|--⌫-----|
etuengier l esil	-|------|-⌫||-|
onqu e s puet	----⌫-⌫|---|
amisfaiti l	---|---|-⌫|
errerm estuet	----||-----|
adi uso iiés	|--⌫|--⌫----|
uousconm andé	---|----⌫----|
etsaci ésb ien de uerite	-|----⌫--|-⌫--|-|-----|
queseg ifusceancoisu enu	--|-|||----|-----|-⌫--|
ain senfust perc ie ́monescu	---⌫|-|---|----⌫--⌫|--|---|
etmonhaubercroutet f ause ́	-|--|------|---|-|-⌫----⌫|
parmilec o rs	----|-|-⌫-⌫-|
queon uous eust	--|-|---|---|
fait cestanui	---|---|---|
nesarésq ui ie s ui	-|-----|-⌫-|-|-⌫-|
deuan tlaque iereuenrai	-----⌫|-|--|-|-------|
neiamaisio r nefinerai	-|-----|--⌫|-|------|
puisqueie serai rep e rii és	------|-|----|---⌫-⌫---⌫--|
ains eremors u	---|--|---||
uous ue ngiés	---|--⌫-----|
lespu celesad iuconmande	--|--⌫----||-⌫-|-------|
poignants e n uapar m ila lande	-------||-⌫|-|---⌫-⌫|-|----|
tantquensen	-----|-|--|
droitcemin entra	----|----|----|
tantquelafor estotpassee	------|-|---⌫--|-|-----|
de l autrepar tdelauale e	-||----|---⌫|-|-|----⌫|
uoit loi ng lecheualie r errer	---|---⌫-|-|--------⌫|----|
ilconm encaa	-|----⌫---||
et gauai nspointta ntsonceu al	-|-----⌫-|----|--⌫-|--|---⌫-|
qui fude lautrep a rt dun	-||-|-||----|-⌫-⌫-||-|
lorsuitde uantl uiun	---|--|--⌫---|-⌫-|-|
toutclo sde piere et	---|---⌫|-|----|-|
dontlim ursotcentpiesde h a ut	---|-|-⌫--|-|---|---|-|-⌫-⌫-|
neredoute asaut	-|------|----|
tant estoit riceme ntfremé	---|-----|------⌫-|-----|
iluitbienquilert a ue spré	-|--|---|-|-|--|-⌫--⌫----|
tantqu ilneporroit sansmescief	-----|-|-|------|---|------|
batail letra ir e acie f	------⌫-|---⌫--⌫||---⌫|
porpen sasoiquilso ufer ra	------⌫-|--|-|-|--⌫----⌫-|
e tqued emain s econb atra	-⌫|--|-⌫----|-⌫|----⌫---|
au ceualier	-|-------|
quil parsiuoit	-|-|--------|
car aescient setetuoit	--||------|--|-|---|
quelcastelseherbegera	-|-|-----|-|--------|
et i lm eismesigerra	-|-⌫|-⌫-----||----|
por atendre	--|------|
iluecsabataille	----|-|-------|
en si qu idefairesan sfaille	--⌫-|--⌫--|----|---⌫|-----|
m aismoult liauint autrement	-⌫--|----|-|----|--------|
carlicheu al i ersenr anme nt	--|-|----⌫--⌫-⌫--|---⌫----⌫-|
dedensl epremier	-----|-⌫|------|
ba ileentra	--⌫--|----|
solax l or se sconsa	----|-⌫--⌫|-⌫-----|
sif urentles por tes fer mees	-|-⌫----|--|---⌫--|---⌫---|
ilal es ruestr es pasees	-||-⌫-|---|--⌫--⌫-----|
t an tq uil	-⌫--⌫--⌫|-|
uin tamontucastel	---⌫|----||-----|
de uan tletoren unprae l	--⌫---⌫|-|--|-|-|----⌫|
s ireaueuc sagent	-⌫--|----|-|---|
ap re s li alostelr equis	--⌫--⌫|-|||----|-⌫----|
etillidist	-|-|-|---|
d ou samis	-⌫--⌫|---|
uouslarés	---||----|
faitiluolontiers	---|-|---------|
lorssaillisusuns	---|-----|--|--|
cheualiers	---------|
quides cendiladamoisele	--|---⌫----|-|--------|
li siresesuallesapele	-|---|--|-----|----|
porle che u alier de sarme r	--|-|---⌫-⌫----|--⌫-----⌫|
apresli a faita porter	----|-||---|-⌫-----|
un b li autet un ma ntelgris	-|-⌫--⌫--|-|-|--⌫---|---|
quant illotdelesluiassis	----|-||-|----|--|----|
s ilibonem en t	-⌫|-|-----⌫--⌫|
sonestr eetsoncontenement	--|----⌫|-|--|----------|
dontilui entnequelpar t ilu a	---|-|--⌫--|-|---|---⌫|-|-⌫|
etlicheuali ersli conta	-|-|-------⌫--|-|----|
qu on quesne len degna	-|--⌫---|-||-|----|
mestu e treuertir	|----⌫-⌫|-------|
qui enc oroirrepa rl aplai gne	--|---⌫-|----|--⌫|-⌫|----⌫--|
nel i caut	-|-⌫|---|
maisquei lataigne	------|-⌫|------|
aestre deior	|----|-|--|
ila son ceual	-||--|----|
eslaiscié	---------|
siuintpoignant droit ale porte	-|---|-------|----||-|----|
porleu ilequi luoit si	--|-|-⌫--|-|-⌫|---|-|
amou ltle cast el	|---⌫-|-|----⌫-|
il al eportier apelé	-||-⌫|------|-----|
sidureme ntqu il	-|------⌫-|-|-|
l en tendi	|--⌫----|
etlipo rtierslirespond i	-|-|--⌫-----|-|-------⌫|
biaxamispornoietcriés	---|---|--|----|-----|
car lis olaxest	--|-|-⌫---|--|
n i arawimaisp orteouuerte	||--|-|---|-⌫---|------|
ne lemati npornu leperte	-|-|----⌫|--|--⌫-|----|
deua n tcouquegra ntior	----⌫-⌫|--|--|---⌫-|--|
ces te ho nor	---⌫-|--⌫--|
et liclerce tlicheual ier	-|-|----|-⌫|-|------⌫--|
seriantbor goisetesc uiier	------|---⌫---|-|---⌫----|
onttoutconmune mentiure ́	--|---|-------⌫---|----⌫|
queiaporhomequisoitn e ́	--|-|--|---|--|---|-⌫-⌫|
nertliguicesdesto relli és	|--|-|-----|-----⌫-----⌫--|
puis que lisolaxertco uciés	----⌫--|-|----|--|--⌫-----|
ai nss eraleuésel demain	--⌫-|-⌫--|-----|-|-----|
amisceli adit	---|-|-||--|
trauelliéssuisies tmoulttart	----------|--|-|--⌫|----|---|
d idonquesde	-⌫|------|-|
wi mais ostelq uerre	-|---|----|-⌫----|
s ire f aiti len ceste	-⌫--|-⌫--|-⌫|-|----|
d eg ransd is liuesenuiron	-⌫|-⌫---|-⌫-|----|------|
il ne bo rdenemaiso n	-|-|--⌫--|-|-----⌫|
ien euous sa i co nsel doune r	-|-⌫|---|--⌫|--⌫---|-----⌫|
toute nui t porriés	----|---⌫|-------|
parmi b ruiere s etpar	----|-⌫------⌫|-|--|
amisfaitgauainsie menuois	---|---|------|-||-|---|
adiusoiiésuou s conmandé	|--|------|---⌫|--------|
pas letra it dunarcalé	--|-|---⌫-||-|--|---|
quantil coisiu ne	----|-|----|-⌫-|
da le s le c eminhauteet be le	--⌫--⌫|-|-⌫---|----|-|--⌫-|
dont latr e estoite nc losd emur	---||---⌫|-----|-⌫--⌫--|-⌫|--|
ileucquid aestre aseur	----|----⌫|----|----|
ga uains etlanuitherbegier	--⌫----|-|-|---|--------|
maissonques li funulmesti er	---||-----|-|-|--|-----⌫-|
prox or lenert	---|-||-|--|
onquesmais desi grant	-----|---|-|-|----|
i ordesauie n escapa	-⌫-|-|-|--||-----|
desialacapele ua	---||-|-----|-|
siesten latrede scen d u	-|--|-||---|--⌫----⌫-⌫|
salan ceosta etson	-|---⌫-|---|-|--|
si lapoiaala	-||----||-|
delbondestrierosta	--|--|-------|---|
selforbi bie n etco n re a	-||----|---⌫|-|--⌫-⌫--⌫|
d el erbepai strelilaisc a	-⌫||---|---⌫---|-|-----⌫|
puisestassissor un tonbel	---|--|----|--|-|-----|
atantoiundamois el	----|-|-|------⌫-|
uenirletrot sor	----|-|---|--|
so nroncin	--⌫|-----|
bostotlecemin	--|--|-|----|
ilest d u cimenti reiscu	-|--|-⌫|-------⌫-|---|
dema ndequi estu	----⌫--|--|-|-|
qui s i t arttrespa ss esparci	--|-⌫|-⌫--|------⌫--⌫-|--|-|
etliualles	-|-|-----|
puisdist d ames ainte marie	---|---|-⌫--|-⌫----|----|
tenésmoi ense ns etenuie	-----|--|-|--⌫-|-|-|--|
glo r iexd i xte nés moncors	---⌫-⌫--|-⌫-⌫|--⌫---|--|---|
mon sensfors	--|---|---|
et quediabl esne m	-|--|-----⌫-|-||
cegrantmeruelleot	-|----|-------|-|
amisfaitilne	---|---|-|-|
uo us cr eme ́s	--⌫-|--⌫---⌫-|
li urai sdixque	-|----⌫|--|--|
uous reclamés	---|--------|
deffen demoi etuousdemal	------⌫-|--|-|---|-|--|
ciguenciuers luile ce u al	-|-----|---|--|-|--⌫-⌫-|
quantilloide d iu p arler	----|-||-|-|-⌫-|-⌫----|
tan t ostliala demander	---⌫-⌫--|-|--|-------|
qui ilertet	--|-|--|-|
dequel pais	-|---|---|
e til li distbiax dox amis	-⌫|-|-|---|---|--|---|
iesuig auainsli	-|--|-⌫-----|-|
porquoieus t es	--|---|---⌫-⌫-|
pa ourquan	--⌫--|---|
ie uousaparl a	-|---|-----⌫|
faitili el u o usdi rai	---|-|-⌫||-⌫-⌫-|--⌫--|
sirefaitil	---|---|-|
nesaués uous	-|-----|---|
qu e cestliatrespere l lox	--⌫||--|-|----|----⌫-⌫--|
uuous a uésuostre ostel pris	|---|-⌫---|-----|----|---|
c ascu ne nuit	-⌫----⌫-|---|
ie u ous pl euis	-|-⌫--|--⌫---|
netenéspas mo ndit afable	-|-----|--|--⌫|--||----|
si uient herbegier le	||----|--------|-|
udexutrois iene saiqu ans	|--||----|-|-|--|--⌫--|
bienapa ss éplusdecent	---||--⌫--⌫-|---|-|---|
iherbegach euali er	|------|--⌫-----⌫-|
nulmestier	--|------|
konne t rouas taumatinmort	|-|-|-⌫-----⌫|-|----|---|
ariuésestesamalport	------|----||--|---|
sautreosteldecestn e querés	|----|----|-|---|-⌫|------|
maisseuous cro iremeu olés	---|-|---|---⌫--|-|-⌫----|
car ce castel l asusfu	--|-|-----|-⌫|--|-|
sile d ouna iuncheuali e r	-|-|-⌫----⌫|-|-------⌫-⌫|
etmasuer atou ta	-|-|---|----⌫||
encorsedormoienttrestuit	----|-|--------|-------|
iewi qua nt ialaiendeduit	---|---⌫-||---|-|-----|
porberse re nces tefores t	--|-----⌫|-⌫|---⌫-|-----⌫|
c estu nsd eduis quimoult me plest	|--|-⌫-|-⌫----|--|----|-|----|
en eslespa suncerf fer i	--⌫-------⌫|-|---|---⌫|
t restoute ior la	-⌫-------|--|||
tantquelataint unmen	------||-----|-|--|
audesf aire	-|----⌫---|
e t alesc orcier	-⌫|||---⌫-----|
mesui l on g ement	-|--|-⌫--⌫-⌫----|
ués leciuie lai t ors é	---|-|-||-||-|-⌫---⌫-|
arons iaendroit	----|-|------|
es caue t en ros t	--⌫--|-⌫|-|---⌫|
