qui ueu th enor	--|---⌫|-⌫---|
uosuenan t	--|-----⌫|
dous uasa lsforment	---|----⌫-|------|
deuantliglis esaresterent	-----||-----⌫||---------|
manecierentet	----------|-|
estriuerent	----------|
apre sseso n tau ferirpris	----⌫|-|--⌫-⌫|-|----|---|
ala utre oc is	||-⌫---|--⌫-|
cil fu iqui	--|--⌫|--|
l autreoc isout	|----|--⌫-|--|
onqueshom e nefame	-----|---⌫|-|---|
li premiersqui le	-|-------|--|-|
m orttroua	-⌫--|----|
toz lesci t eien sapela	--|--|--⌫-⌫----⌫|----|
lepremi er tor fuau	-|-----⌫-|--|-|-|
e t porencherchier	-⌫|--|----------|
s e porgarantsi	-⌫|--|-----|-|
fustciltr ait	---|--|--⌫--|
qu icel ho mic i d e aueitfa it	--⌫|--|--⌫---⌫-⌫-⌫|----|--⌫-|
iontt roué	|--|-⌫----|
enq uisli ontet demandé	---⌫--|-|--|-|-------|
quiilertetd equelpais	--|-|--|-|-⌫|---|---|
et secel ho me aueit	-|-|--|--⌫-|----|
s eignors dist il quiqueie seie	-⌫------|---|-|-----|-|---|
lamesa uen t ure en estmeie	-|----⌫---⌫-⌫--|-|--|---|
n elcelerepas i e l oc is	-⌫||-----|--|-⌫||--⌫-|
faitesdem eitotuostr e	-----|-|-⌫-|--|-----⌫|
po r celdistquem orir	--⌫|-||---|--|-⌫---|
p orla hont eq ueilau eit	-⌫-|-|----⌫|-⌫-|-|--⌫--|
q uesie rta uenuz	-⌫-|-|-⌫-|-⌫----|
quefamelloses toitet nu z	--|-------|--⌫---|-|--⌫|
sinen s aueitnulrecourier	-||-|-⌫----|--|--------|
eth on te au ei tde	-|-⌫--⌫-|--⌫--⌫|-|
ci lle pre nentsil	--⌫|-|---⌫---|-||
puisont esgard éetiug ié	---|--|------⌫-|-|---⌫--|
quependusereitmeintena nt	--|----|-----|--------⌫-|
quer naueitcur e	---||----|---⌫|
queg arant	--|-⌫----|
li fustligliseouil	-|---||-----|-|-|
meru eillospuplei	----⌫-----|----||
quantlen a	----|--||
pendrelemenout	-----|-|-----|
ent relesautresgenz s	---⌫-|--|-----|---||
sis ami squantil l esga rda	--|---⌫|----|-||----⌫--|
arestuts eisi l auisa	------|-⌫-|-||----|
b ien ape rcutque ceesteit	-⌫--|---⌫---|--|-|-----|
cildegiptequili	--||-----|--|-|
telhenorfetettels eruise	--|----|--|-|--|-⌫-----|
ahidistilen	--|---|-|-|
quelgui se	---|---⌫-|
mec o ntendrai quedei gefa ire	-|-⌫-⌫-------|--|--|-|--⌫--|
desforch esnel puis ie	--|-----⌫-|-||---|-|
etpuis queilsera pe nduz	-|----⌫--|-|---|--⌫---|
neliertguerredonren duz	-|-|--|--------|---⌫--|
de l e norne	-||-⌫--|-|
deube l se ruise	--|--⌫|--⌫----|
queilme fist par s a	--|-|-|---|--|-⌫|
n e iamesleece nauree	-⌫|----|----||----|
seguerredon	-|--------|
nelen r e ndeie	-||-|-⌫-⌫----|
n e guerredonnelen	-⌫|--------|-||-|
puisrendre	---|-----|
segenemef az	-|-|-|-|-⌫-|
porlui pendre	--|--|-----|
mes cest iertbu encest l en	--|---|---|--⌫-|---||-|
son corsporl e mi en	--|---|--|-⌫|--⌫-|
l emienl a iraia	-⌫|---|-⌫-⌫---||
po r lesoen	--⌫|-|---|
gariret te n ser	----|-|--⌫-⌫--|
oiantt ozescriez	----|-⌫-|------|
seignorsdistilgranttort	-------|---|-|----|---|
celhome laidiss iez ato rt	--|---|-------⌫--||--⌫-|
u nquespar lui nerecutmort	-⌫----|--|--|-|----|---|
hom el siecle c euospleuis	--|-|-----|-⌫|--|-----|
ce fuigequi	-|--|-|--|
cel home ocis	--|---|---|
por qui uos le mene z	--|--|--|-|----⌫|
luideuezleiss ieretmeip rendre	--|----|-----⌫--|-|--|-⌫-----|
quant lipreuosta	----|-|------||
get elespoinzsila sais i	---⌫|--|----|-|||----⌫|
e streit eme nt l afetli er	-⌫------⌫---⌫-|||--|--⌫-|
puisafet la u tre	---||--||-⌫-⌫--|
cil quilomic idefet ou t	--|--||----⌫--|--|--⌫|
en trelesautr e sg enz	--⌫--|--|----⌫-⌫|-⌫--|
et ou to iquecil di seient	-|--⌫|-⌫|--|--|--⌫-----|
qu el om icidefet a ueie nt	--⌫||--⌫----|--|-⌫----⌫-|
sanzceque nul	---|-|--|--|
delsleustfait	|--||---|---|
etde x dist ilcecomentua it	-|--⌫|---|-|-|-----|--⌫-|
orse raiac isthomo cis	-|--⌫-|-|-⌫--|--|-⌫--|
por lomicide que gefis	--||------|--|-|--|
pormo np echie de struit sera	--|--⌫|-⌫----|--⌫-----|---|
sanz ce queil	---|-|--|-|
ceste chos e uait	----|----⌫|---|
seloncleleal	-----|-|---|
iuge men t	----⌫---⌫|
nedeu sthomperdre lauie	-|---⌫-|--|-----|-|--|
for siequifis lafel onni e	---⌫|-|--|--|-|---⌫----⌫|
quercilquisolest a mal faire	---|--|--|--|--||--|----|
sols deitestrealap eine	---|---|----||-|-⌫---|
iciuaitortoutautrement	--|---|-|---|--------|
mesdexquiceue itet cons e nt	--|--|--|-|--⌫-|-|----⌫-⌫-|
setbien comment la choseua i t	--|---|------|-|----|--⌫-⌫|
p uetcelestre porcele fai t	-⌫--|--|----|--|-|-|---⌫|
quedemeiueutpl usas pr ement	--|-|--|---|--⌫-|--⌫--⌫----|
au trefeizprendr e uengement	--⌫--|---|------⌫|--------|
queri lest iug e dreiturier	---|-⌫|--|---⌫|---------|
s ire nt a ch escun sonloier	-⌫|--⌫-||--⌫----|--|----|
s elonc cequil	-⌫----|-|-|-|
nem emetrapasenobli	-|-⌫|----|--|-|---|
miel zes t quesiredeua nc isse	----⌫|--⌫|--|-|------⌫--⌫---|
et queoiant tozreg ehi sse	-|--|----|--|---⌫---⌫--|
queceste felo nn i efis	--|----|----⌫--⌫-⌫|--|
p orque icisthomdei testreocis	-⌫-|---⌫|---|--|---⌫|----|---|
qu ei ea t ende queplus	--⌫|-⌫|-⌫-⌫---|--|---|
pr en gedex deme iuengement	--⌫--⌫-|--|-|--⌫|--------|
doncs e stoianttozescr iez	---||-⌫-|----|--|----⌫--|
distil seig nors prenez	---|-|----⌫---|-----|
quer ielocisueraem ent	---|-||---|------⌫--|
onquesnen soutau ei ement	-----||-|---|--⌫--⌫----|
cilquiuos a pendr emenez	--|--|--||-----⌫|----|
clamez le quiteetmeipendez	-----|-|----|-|--|-----|
cilqui tuit fu rentesb ahi	--|--|---|--⌫---|---⌫--|
g etent les po inz	-⌫----|--|--⌫--|
silontsaisi	-||--|----|
estreitement lont ferlier	-----------||--|--|---|
fetl aut rede s lier	--||---⌫-|--⌫-⌫---|
m erueillent seiestrang eme nt	-⌫---------|--|-------⌫---⌫-|
et dotantuontde l iugement	-|-----|---|--⌫|-------|
quantnese pu entacorde r	----|-|-|--⌫--|------⌫|
au rei uont	-|--|---|
lac ho semost r er	-|-⌫--⌫-|----⌫-⌫-|
lireis do tadeliug em e nt	-|---|--⌫-|--|---⌫--⌫-⌫-|
me s parl econseildesagent	--⌫|--|-⌫|------|-|-|---|
lordistquetot	--|---|--|--|
lorpardorreit	--|---------|
nul d elsmaln	--||--|--||
si li d iseientuerite	-|-|-⌫------|-----|
com entil aue ient oure ́	---⌫--|-|---⌫---|----⌫|
ci ld egypte l i a conté	--⌫||-----|-⌫||-----|
qu e p orfine rsapourete	--⌫|-⌫-|----⌫|-|------|
distque cel homeaueit ocis	---|--|--|---|----|---|
apresrecontasi s	----|------|--⌫|
comilseuo ut a	--|-|-|--⌫-||
mort liurer	---|-----|
por celsoen	--|--|---|
ami deliure r	--|-------⌫|
li tierzlaue rite	-|----|-|--⌫---|
comfaitemen tlomeocist	--|--------⌫||--|----|
e t leregehipor poor	-⌫|-|-----|--|---|
quepainenen eu stgr aignor	--|----||-|--⌫-|--⌫-----|
se cilen fust porlui pen du	-|--|-|---|--|--|---⌫-|
que coupesnia ueiteu	--|-----|||-⌫---|-|
li reislora	-|---|--||
tot pardo né	--|-----⌫--|
etm outa c hescunsdels	-|-⌫--||-⌫------||--|
do ne si se n uo n t	--⌫-|-||-⌫|--⌫-⌫|
liduiamigra ntioiefont	-|--|--|---⌫-|---|---|
cild ebal dachmoutsesioi	--|-⌫|---⌫---|---||----|
delauen ue sona mi	-|-|---⌫-|--|-⌫-|
m o ut leseru ie t he n ora	-⌫-⌫-|-|----⌫|-⌫|--⌫-⌫--|
etpartotliabandona	-|--|--|-|-------|
e tqua nqueilaueit	-⌫|---⌫---|-|----|
seseio urnerolui uoleit	-|----⌫----||--|-----|
s eio rneli pleseit	-⌫---⌫|-|-|------|
sonc hatellimipar tireit	--|-⌫----|-|-|---⌫-----|
pa r boen amistie	--⌫|---|------|
enportastosei la	-|------||--|-|
cilfucomm euzetespris	--|-|----⌫--|-|-----|
deladouceurde sonpais	-|-|------|-|--|---|
ototlauei r ioios etliez	|--||----⌫|----|-|---|
esten egypterepairi ez	--|-|-----|-------⌫-|
distli filzorai	---|-|---|-|-|
queiameshomnaur aami	--|----|--||---⌫|--|
en noztens parsereitcefable	-|--|---|--|-----|-|----|
d etroueramiconuenab l e	-⌫|-----|--|--------⌫-⌫|
filp or c en	--|-⌫-|-⌫||
estpascilbi en	--|--|--|--⌫-|
quimostr eahomes oncorage	--|-----⌫||---|-⌫-|-----|
nedescoure s apou rete	-|-------|-⌫|---⌫---|
desiquelaitesp ro ué	------||--|---⌫--⌫--|
q uert eltroue ra sq ui feind ra	-⌫--|-⌫-|-----⌫--⌫|-⌫-|-----⌫-|
quesortote rien t amera	--|--|---|---||----|
e tsirafro tantentortei	-⌫||--|---⌫---|----|--|
ilsache ton segrei	-|----|--|-----|
et qu antt otauraencherchié	-|--⌫--|-⌫-|---|----------|
quesenbl antdamistie	--|-----⌫--||------|
tau ra mostréportraison	|--⌫-|------|--|------|
etiltaura pris al breio n	-|-||---|---|-|-----⌫|
primes te hon i ra	-----|-|---⌫-⌫-|
qu erton segreides courera	--⌫-|--|-----|---⌫------|
etmoutse panera defair e	-|---|-|-----|-|----⌫|
po r queiilte	--⌫|---|-|-|
puisse a maltraire	-----||--|-----|
ettotaiesie z	-|--|------⌫|
partonsegre ique ils au ra	--|--|-----⌫|--|-|-⌫--⌫-|
nesai p esti lencen ommer	-|--|-⌫----⌫----|-⌫----|
q uelen doi etan tredoter	-⌫-|--|---⌫|---⌫|------|
comfamilier	--|-------|
mil homme ens ont mortet honi	--|----|-|-⌫--|---|-|---|
aies bi enpro uéa feiel	---|--⌫-|---⌫--||----|
celui qui tu dizton c onsei l	----|--|-|--|--|-⌫-----⌫|
mieuzleteu ientto zdisceler	----|-|-|-⌫---|--⌫|--|----|
m auuei shome mos t rer	-⌫-----⌫|---|---⌫-⌫--|
tantcomme tule celeras	---|----|-|-|------|
en tapris onen c loslaur as	-|-|----⌫-|--⌫-⌫--||---⌫-|
etdesq ue autre lesaura	-|----⌫-|----|-|----|
enla soeprison taura	-|-|--|-----||---|
belfilzc e	--|---|-⌫|
restmo utgrant fol ie	---|--⌫-|----|---⌫-|
qu enushomprenge comp aignie	--⌫|--|--|-----|----⌫-----|
o soenenemique il puisse	|---|----|--|-|-----|
neque autre compai gnontruisse	-|--|----|------⌫---|------|
quertot lemalqueil fera	---|--|-|--|--|-|---|
sonanemile notera	--|----|-|-----|
nelmet ra nie ntobli	-||---⌫-|---⌫-|---|
d elb iennirapas	-⌫-|-⌫--||--|--|
queras onpo e rleperera	---||-⌫-|--⌫-⌫|-|-----|
etpar totlanien t er a	-|--|--||-----⌫-⌫--⌫|
et sachie zqu emoutmesauient	-|------⌫|--⌫|---|--------|
ahome quantillicouient	|---|----|-|-|------|
sonanemiderien	--|----|-|---|
ne strie n plusledoieennoier	|-⌫-|---⌫|---|-|---|------|
chie rf i lznet acompaigniermie	----⌫|-⌫-⌫-|-||-----------|--|
a ho m edemaluese	|--⌫-⌫|-|------|
mesmementolech e or	--------||----⌫-⌫-|
quer n iaureieslahenor	---|||------|-|----|
teblasme nete	-|-----|-|-|
querson blas megr antlos te	---|--|----⌫-|--⌫--|--|-|
etsonl ossit es tdesenor	-|--|-⌫-|-||--⌫|------|
tele estal a lei aulecheor	---|---|-⌫|--|-|------|
quiil loe si	--|-|--|-|
estblas mez	--|----⌫--|
qu iilbl asmesiestloez	--⌫|-|--⌫---|-|--|---|
filznetefere	---|-|-|---|
pasmoutlie	--|---|--|
qu eltenamist ie	--⌫--|-|-----⌫-|
q uerse il t abie na amé	-⌫--|-|-|||---⌫|-⌫---|
cen est ne fi euneherite	-||--|-|--⌫-|-|-----|
biendemain	---|-----|
que gueres ne ua u dra	--|-----|-|--⌫-⌫--|
peredistli fizditesme i	---|---|-|--|----|--⌫|
enquelssen scontenir m e d ei	-|----|---⌫|-------|-⌫|-⌫-|
que iesoiesageape le z	--|-|---|---|---⌫--⌫|
etentrelessage snom bre z	-|----|--|----⌫|---⌫---⌫|
filzuolen t ierscedistl i p eres	---|-----⌫-⌫---|-|---|-⌫|-⌫---|
neseie sn ient t rop	-|----⌫|-⌫---|-⌫--|
iamglerre s	---------⌫|
quertairesei estmou t grants ens	---|----|--|--|---⌫|----|-⌫--|
desiquedeparler	------|-|-----|
signe defol ie	----|-|---⌫-|
est ia ngl er	--|--⌫---⌫-|
etd esensreelment	-|-⌫|---|-------|
teuo udra demander	-|--⌫---|-------|
gardequet ropnete haster	----|--|-⌫--|-|-|-----|
de r espondre mesta n t atent	-|-⌫-------|--|--⌫-⌫|----|
queilaittotdi tson	--|-|--|--|--⌫|--|
apreslires ponton plaisir	----|-|---⌫--|--|------|
t ot parsenset totparleisir	-⌫-|--|---|-|--|--|-----|
setuozfaire	-|-|-|----|
enplaiou e ndesputeison	-|---|-|-⌫|----------|
n esoiespas trop pri nsa uti er	-⌫|----|--|---|---⌫---⌫---⌫-|
de sallirauan tpor iu gier	-|-----|----⌫|--|--⌫---|
seplussage detei	-|---|---|-|--|
mesoiesainzque ild ira	--|---|---|--|-|-⌫--|
sebiendi t sildeizesc outer	-|---|--⌫|-||---|---⌫----|
puezamender	---|------|
si te recouie ntmoutgaitier	-|-|-------⌫-|---|------|
dechosepor ueirafichier	-|----|--|---|-------|
quermain te nont estégabé	---|----⌫|-⌫|--|----|----|
set u o zuerite conte r	-|-⌫|-⌫|-----|-----⌫|
neladeiznien t	-|-|---|----⌫|
d es torber	-⌫--⌫-----|
ai nceisdeizuo lentiers aidier	--⌫----|---|--⌫-------|-----|
u eriteessaucier	-⌫----|--------|
setot ce fe z o boenco rage	-|--|-|--⌫||---|--⌫---|
siense ras	-|-|--⌫--|
f ilz daprendre teidei z	-⌫--||-------|--|---⌫|
porhontes eueal sesc hiuer	--|----|-⌫-----⌫|---⌫----|
fouse stquedapr endre est hon tos	---|-⌫-|--||---⌫----|--|---⌫--|
sera plus uergondos	---|---|--------|
qu an tlen de	--⌫--⌫|--|-|
sensla parl era	---|-|----⌫--|
et ilr espondrene n saura	-|-|-⌫-------||-⌫|----|
etsei l estde haut lignage	-|-|-⌫|--|-|---|------|
tantlecouient est replus	---|-|------|---⌫-|---|
quer qui de bonesgenzestnez	---|--|-|----|---|--|--|
etmalement	-|-------|
estdoctrinez	--|--------|
tant puetilau ei rgr aignorh onte	---|---|-|--⌫--⌫|--⌫-----|-⌫---|
mescilquisesparenz sormonte	--|--|--|--|-----|-------|
lign age q ueilseit	----⌫--|-⌫-|-|---|
icilseitde dieubeneit	---|---|-|---|-----|
q uer icelideitlenpreisier	-⌫--|----|---|--|-------|
et henoreret tenirchi e r	-|------|-|----|---⌫-⌫|
nulefranch isen e meplaist	---|------⌫--|-⌫|-|-----|
fors solcelequideucue rnai st	---|--|---|--|--|---⌫|---⌫-|
unsuersefierresesteit	--|-----------|-----|
quib oen cler s er tetmout saue i t	--|-⌫--|----⌫|--⌫|-|---|----⌫-⌫|
u nreipresenta	-⌫|--|-------|
lireiquiconutetnota	-|--|--|----|-|---|
sonsens ets onafai tement	--|---|-|-⌫-|----⌫-----|
lerecu thenorablemen t	-|----⌫|------------⌫|
liautreuersefieor	-|----|---------|
ourentenu iede leno r	-----|---⌫-|-||---⌫|
que lireisaces tuife seit	--|-|---||---⌫--|--⌫---|
qui de basparente	--|-|--|------|
etileren t	-|-|----⌫|
mainshenoré	----|------|
qui dehaut	--|-|---|
lignageerentné	------|----|--|
parle r e nale rent	-----⌫|-⌫|---⌫---|
chi ersire dist rentilpor quei	---⌫-|---|----⌫---|-|--|---|
preisiez t ant cestuiet	-------|-⌫--|-----|-|
quidesibasses	--|-|-|-----|
genzestnez	---|--|--|
seignorsd ist lireis tor ta ue z	-------|-⌫--|-|---|---⌫|-⌫--⌫|
orsachiezbi enqueuosloez	-|------|--⌫-|--|--|---|
celuiquiuoscuid ezb lasmer	----|--|--|----⌫-|-⌫-----|
liclers les	-|----|--|
outoip arler	--|-|-⌫----|
seigno rsdistile strangechose	------⌫-|---|-|-⌫------|----|
u ossemblereitseune	-⌫-|---------|-|--|
bel eet chiereetsoe folante	---⌫|-|-----|-|---⌫|-----|
naisseitd uneespine poignante	-------||--|-----|--------|
engrant chiert e sereittenue	-|----|------⌫|-----|----|
et uolen tierss ereit	-|-----⌫----|-⌫----|
lir eis quiboene s ge nza mout	-|-⌫--|--|-----⌫|--⌫-|-⌫---|
l eteneitchieret heno rout	-⌫|-----|----|-|----⌫---|
et quant il pristdeluicongie	-|----|-|----|-|--|-----|
richemen tlenlienueié	--------⌫||-|-|------|
u ns a utresreuintpar apres	-⌫-|-⌫----|-----|--|----|
q uiaurei presenta	-⌫-|-|--|-------|
d egentillignage nez	-⌫|-----|------|--|
maisnertpas desens	---||--|--|-|---|
quant le reisout sesu ersleuz	----|-|---|--|--|-⌫--|---|
mout lestrouamaigresetnu z	---|--|----|------|-|--⌫|
e tlui etsesuersp oipreisa	-⌫|--|-|--|---|-⌫-|-----|
nenuleriennelidona	-|---|---|-|-|---|
quant ceu i tcemout	----|-|-⌫-⌫|-|---|
f udo lenz	-⌫|--⌫---|
sire dist il porm esparenz	---|---|-|--|-⌫-|-----|
seuealsmedeue zhenorer	------|-|----⌫|------|
etaucune chosedoner	-|-----|----|----|
se uosmes uerstantdepr eisiez	-|--|--|---|---|----⌫-----|
que porels rienne	--|--|--|---|-|
medoin siez	-|----⌫---|
por monlign age medon ez	--|--|----⌫--|-|---⌫-|
quer ge suide bon esgentnez	---|-|--|-|---⌫-|---|--|
ce d ist li	-|-⌫--|-|
reis ceestdamage	---|-|--|-----|
qu etuesde gent i llign age	--⌫|-|-|-|----⌫-⌫|----⌫--|
lasemenceforlignee n	-|------|-------|-⌫|
ua t a ue iefuideuant mei	-|-⌫|--⌫-|--|-----|--|
si tues né d ebonesgenz	-|-|-|--|-⌫|----|---|
tantpuez tuestre plus	---|---|-|----|---|
quelipire es	--|-|---|-|
de to nl ignag e	-|--⌫|-⌫-----⌫|
ia a nuliordemonaage	-||--|--|-|--|---|
narasd elmien	|---|-⌫-|---|
uall an tun tros	----⌫--⌫|-|---|
c ilsena lamaz e thontos	-⌫-||-|-⌫-|--|-⌫|-----|
co mil fu de	--⌫|-|-|-|
lasaleissuz	-|---|----|
esuosl etierzqui	-|--|-⌫|----|--|
ertestreit sonpere	--|------|--|---|
mesgen til fameesteitsamer e	--|---⌫--|---|-----|-|---⌫|
quant li reis o utsonbrie fleu	----|-|---|-⌫-|--|----⌫|--|
amidistilquifilz estu	--|---|-|--|---|-|-|
sa me reunfrer eclercaueit	-|--⌫-|-|----⌫|----|----|
q uiprodons ertet moutsaueit	-⌫-|------|--|-|---|-----|
quan t cildutson perenommer	----⌫|--|--|--|---|-----|
sico mmencaaac onter	-|--⌫-----||--⌫----|
qu e siso ncl eser t cle rcnob ile	--⌫|--|-⌫---⌫-|--⌫|---⌫-|---⌫--|
comme nca ari r e	-----⌫--||--⌫-⌫|
domilriet lid e manderen t	--|-|---|-|-⌫-⌫--------⌫|
l iautrequiouec luierent	-⌫|----|--|---|--|----|
cedistlireisie luo sdira i	-|---|-|---|-||--⌫|----⌫|
u nef able iadis trouai	-⌫-|-⌫---|----|-----|
en un liur e totautresi	-|-|----⌫|--|------|
oi orend reitci	-|-----⌫---|-|
querilauintqu edun peri l	---|-|----|--⌫||-|----⌫|
fuestorsranartle go pil	-|-----|-----|-|--⌫--|
et quantil enfue scha pez	-|----|-|-|-|-⌫----⌫--|
u nmuletuitnouelment	-⌫|----|--|--------|
qui paissei telmilieu d elpre	--|-------⌫|-|-----|-⌫-|--|
i l quifilz estu	-⌫|--|---|-|-|
et limulsli	-|-|---|-|
ares po ndu	|---⌫--⌫--|
s ireie sui dieu	-⌫--|-|--|---|
tuaieslabone	-|---|-|---|
auentu r e	------⌫-⌫|
ce distranar t	-|---|-----⌫|
sor tt ote rien	---⌫|-⌫--|---|
qu ertu responzet	--⌫-|-|------|-|
messolit ant me di	--|--|--⌫--|-|-|
bel fre re	--|---⌫-|
setuasnepere nemere	-|-|-|-|---|-|---|
sired istilie luosd i rai	---|-⌫--|-|-||--|-⌫-⌫--|
se u os plestquelsparenz	-|-⌫-|----|----|-----|
mis oncles	--|-----|
estun sboen s cheuax	--|--⌫|----⌫|-----|
deboenha raz et moutisneals	-|---|--⌫--|-|---|------|
o nques ranartn epoutta nt faire	-⌫----|-----|-⌫|---|--⌫-|----|
l ipeustel	-⌫|----|-|
totau tresiueitd e cest	--|--⌫----|---|-⌫|---|
carsico mlim uls aueithonte	--|-|--⌫|-|-⌫--|----|----|
deq ueno istre lauerit e	-|-⌫----⌫----|-|-----⌫|
queasnel eust engendré	--|---||---|--------|
quebesteestper eco se	--|----|--|---⌫---⌫-|
sortotesau treset hidose	--|----|--⌫---|-|-----|
totautre si es tcist hon tos	--|-----⌫-|--⌫|---|---⌫--|
denommersonpereoiant	-|-----|--|---|----|
sama uuestie	-|--⌫------|
ne stneconeu nepreisié	|-⌫-|-|----|-|-------|
or aitdelnostre liement	-|--|--|-----|------|
queri lnef orl ignenient	---|-⌫|-|-⌫---⌫---|----|
maluaisest me s ilnenpuet	------|--|--⌫|-||-|---|
querses l ignagesest maluais	---|--|-⌫------|--|------|
peredistlifilzmerueil m e i	---|---|-|---|------|-⌫-⌫|
depl usors ch o se squeieuei	-|--⌫----|--⌫-⌫--⌫|--|-|--|
etdece s temes mement	-|-|--⌫-⌫-|---⌫-----|
qu eietruis	--⌫|-|----|
quanciene men t	-|-------⌫---⌫|
s o leitlen preisier etamer	-⌫-⌫---|--|-------|-|---|
ettenirch ierethenorer	-|----|--⌫--|-|------|
lesboens clers	--|----|----|
quiuiue ienthonestement	--|----⌫---|----------|
o rn euei mes	-⌫|-⌫|--|--|
homep reisier	---|-⌫------|
lech ierre oulosengier	----⌫----|-|--------|
b eal fiz nete	-⌫--|--|-|-|
meruei lliermie	------⌫----|--|
qu erauliuee	--⌫-|------|
estl echer ie	--|-⌫-----⌫-|
tan t gram men tque	---⌫|----⌫---⌫|--|
parlemo nde	--|-|--⌫--|
sontlecheor	---|------|
seiz queentrapro c ier	---|--|---|----⌫-⌫--|
se suelent la	-|------|-|
gent dunmes t ier	---||-|---⌫-⌫--|
chescunp ri seetaimeetsetrait	------|-⌫--⌫-|-|---|-|-|----|
uersceluiqui sonmestierf ait	---|----|--|--|------|-⌫--|
pereil estue riteproue e	---|-|--|--⌫---|-----⌫|
quelecherie est moutmontee	--|-------|--|---|-----|
grant ualor	----|----|
quideuen eie ntlecheor	--|-----⌫---⌫-|------|
porcequenulerien n	--|-|--|---|---||
etqua si grant henorueneient	-|-||-|----|----|-------|
maintena ntparla lecherie	--------⌫-|--|-|-------|
qu ilmaldiseientlacler gie	-|-|----------|-|----⌫--|
ouils esteient	-|-||-------|
fil cemeismesaige	--|-|------|-|-|
mes ceuientdela	--|-|----|-|-|
de ltens quimoutestenperié	--⌫|---|--|---|--|-------|
t uit se d elitentenfo li e	-⌫--|-|-⌫------|-|--⌫--⌫|
enmen congesen lecherie	-|---⌫-----|-|-------|
mencongeestplusdoucequemiel	-------|--|---|----|--|---|
a qui laus ém e s	|--|||--⌫-|-⌫-⌫|
nest siamer	|--|-|---|
auchiefd el	-|----|-⌫-|
to rq uilusera	--⌫|-⌫-||----|
b ealf iznelausertumie	-⌫--|-⌫-|-|-|---|-|--|
querp echie	---|-⌫----|
u i l ani e	-⌫-⌫-⌫---⌫|
na iespa s honte de u eer	|-⌫--|--⌫|----|-|-⌫--|
ch osequetune pu e zdoner	--⌫--|--|-|-|--⌫-⌫|----|
qu ermou t	--⌫-|---⌫|
estgraigno rcorteis ie	--|-------⌫|-------⌫-|
dedi reiene	-|--⌫-|-|-|
quepose rte rme et tres passer	--|----⌫|--⌫--|-|----⌫-----|
riensne l epuet pl us	----|-|-⌫|---|--⌫-|
f il z d a utr e chose te	-⌫--⌫||-⌫---⌫|----|-|
ueizquedeserui	---|--|------|
aitaucunspar safelonnie	--|-----|--|-|-------|
quil seitdestruitnemetre	-|-|---|-------|-|----|
tropgrantenten te alui garir	---|----|-----⌫-||--|----|
tost te nporreitmesauenir	---||-⌫|------|--------|
quergrieme nt teloreest s	---|------⌫-|--|--|--||
home pendu d espen t	---|----|-⌫-----⌫|
parunboistrespass out	--|-|---|--------⌫--|
e telcheminque	-⌫|-|-----|--|
troua unserpen tbien blecié	----|-|------⌫|---|------|
que pastors i orent lié	--|------||----|---|
obroch e sc louf ichiezesteit	|-----⌫-⌫|-⌫----⌫-----|-----|
s i que moueir nesepoeit	-⌫|--|-----|-|-|----|
l ibo enshoms	-⌫|--⌫--|---|
lesgua rda	|-----⌫--|
pitieen o uts il de slia	----|-|-⌫-|-⌫||--⌫---|
porescha ufer parbonef ei	--|-----⌫---|--|---|-⌫-|
lesmist sorsesdr as pres	--|---|--|--|--⌫-|---|
des queliserpenzeschaufa	---⌫--|-|------|-------|
desanaturelimenbra	-|-|-----|-|-----|
totenui rona lo meceint	--|----⌫--|||-⌫-|----|
e tg riemen t bl ec iéetestreint	-⌫|-⌫------⌫|--⌫--⌫--|-|-------|
auoidistli ho m	---|---|-|--⌫|
tu astor t	-|-|---⌫|
ia tai ge gara ntidemort	-||-|-|----⌫--|-|---|
meueuzgete rdeuie	-|---|----⌫|-|--|
serpent folie	------|----|
quedem eipreis	--|-|-⌫-|----|
nul e cure	---⌫|---|
q uerfaire mestuet m anature	-⌫--|----||-----|-⌫|-----|
mout fai zdistlihomarepre ndre	---|---⌫|---|-|--||-----⌫---|
querporgranzbiensme	---|--|----|----|-|
ueuz mal re ndre	---|--|--⌫---|
souentd ist liserpentauient	-----|-⌫--|-|------|-----|
que debien	--|-|---|
fair e grant maluient	----⌫|----|--|----|
nas t uoiquepo rbienfait	|-|-⌫|-|--|--⌫|-------|
alente lehoreest le co lfrait	|--|--⌫-|---|--|-|--⌫|----|
com iluont is siestr iuant	--|-|---|--⌫-|----⌫----|
esuospar lec heminerra nt	-|--|--|-|-⌫----|----⌫-|
mi s ire renar tlegopil	-|-⌫--|-----⌫|-|----|
qu ies teit el	--⌫|--⌫---|-|
quan til leuitsi	----⌫|-|-|--|-|
chose limostra	----|-|-----|
por dieuli pria humblem ent	--|---|-|---|-------⌫--|
quei lenfeistiugement	--|-⌫|-|----|-------|
cedistrenar t iene	-|---|-----⌫|-|-|
i ugemen tfairepar oie	-⌫------⌫|----|--|--|
o oilzm estue t uei ercomment	|---||-----⌫|---⌫-|------|
lachose esteitpremi erement	-|----|-----|-----⌫------|
sireserpentl o me	---|------||-⌫-|
siserei zderechi e fliez	-|-----⌫|-------⌫-⌫|---|
comme nt uose st eit	-----⌫-|--|-⌫--⌫--|
puiseniug eraiseloncdreit	---|-|---⌫---|-----|----|
i e lotreicedist	-⌫||----|-|---|
querbien saiquepariugement	---|---|--|--|--|-------|
