chiconmenche	--|--------|
e nestoitmoltlieetmolt ioieuse	-⌫|-----|---|--|-|---|------|
liprem iersmira cles quenost re	-|----⌫---|----⌫---|--|----⌫-|
sire fist pour	---|---|---|
leiouenchelqui	-|--------|--|
se us neconneus	--⌫-|-|------|
apr esa uintence l	---⌫-|-⌫---|-|--⌫|
tansmei sme s	---|---⌫---⌫|
quelefeme a	--|-|---||
homereuenoit u nior entreliet	---|-------|-⌫|--|----|-|-|
se nba ronettroi s fiusquele	--⌫|--⌫--|-|----⌫|---|-|--|
de monseigneur saint an thoine la ouil	-|--|-------|----|--⌫-----|-|-|-|
ha bitoite n lermitaige q an tle	--⌫-----|-⌫||--------|-⌫--⌫|-|
dame uinta le	---|---||-|
citedegase une	---|-|---|--|
gra nt enferm etesp ristses en fans	---⌫-|------⌫---|-⌫---|--|--⌫---|
parqu oiilli couint	--|--⌫-|-|-|-----|
demo rer enle	----⌫--|-|-|
uilechenes ai s elemala di e	---|--|-|-⌫-|-⌫|-|----⌫--⌫|
pristlesenfans pour	----|--|-----|---|
le cor ruptiond e	-|---⌫------|-⌫|
le cite ou pourch e	-|---|-|---|--⌫|
qu enostre ssires	--⌫|------⌫|----|
de mou strerlegloiresa intylaireson	--⌫---⌫----|-|-----|--⌫--|-----|--|
s erfdecui uosporrés auantoirloeure	-⌫--|-|--|--|------|----|--||----|
lien f an testoientsi	-|--⌫-⌫--⌫|-------|-|
m aladeque tuit	-⌫----|--|---|
limire quiaiausu enoie ntdesesp eroient	-|---|--||---|-⌫-----⌫-|------⌫------|
lepe re etlemeredelorui e sle	-|--⌫-|-|-|---|-|--|--⌫-⌫|-|
demenoitgrantdoloret grief tristrece	-------|----|----|-|----|--------|
et a loita lune t	-|-⌫---|||-|-⌫|
sauo itl e quel	----⌫-|-⌫|---|
eled eustpremier s	--|-⌫---|-------⌫|
plaind rene dolousertant	------⌫-|-|-------|---|
dem ena leda mesetresgr antdolour	---⌫--|-|--⌫-|-|---|--⌫--|-----|
quenonchiéli fu	--|-------|-|-|
etdit cunshom	-|--||--|--|
moineshabitoitpres dillue cenzz	-----|-------|---||-----⌫|-|-|
h ermitaige ladamepristmaint ena nt	-⌫--------|-|---|----|-----⌫---⌫-|
sergans etme schine s e t	------|-|--⌫------⌫|-⌫|
oubliat ote	-----|-⌫--|
se ha uteconpagni equ	-|--⌫--|--------⌫|-|
eleauoitconme	--|----|----|
r iche dame s iqu	-⌫---|---|-⌫|-|
ele nemenacheualiers	--|-|---|---------|
neda mes por	-|--⌫--|--|
le granthaste	-|----|----|
sisemista l euoieeta	-|-|---||-⌫|---|-||
males painn e s	----|-----⌫-⌫|
lie n ortatantsesbaronsqu	-|-⌫-⌫---|---|--|-----|-|
monta seurz za snep or letrauail de	----|---|-⌫|-⌫--|-⌫-|-|------|-|
uoieladameala tantqu	---|-|---|--|-----|
ele uin ta sai n t hy lair e	--|---⌫||---⌫-⌫|--⌫----⌫|
quiencor e	--|-----⌫|
estoitmolti onesda aigeqant	-----|---|-⌫---||-⌫---|---|
le u itsili	-|-⌫-|-|-|
distho mdieuieteconiur	---|--⌫|---|-|-|-----|
pa rihesu crist nostr eseigneuretp ar le	--⌫|----|----|-----⌫|-------|-|-⌫-|-|
cro isouilfumiset	---⌫-|-|-|-|--|-|
parle saintsanc	--|-|----|---|
q uipornos	-⌫-|--|--|
fuespan dus quetu	-|-----⌫--|--|-|
ui g n esa gaseet	--⌫-⌫-⌫-||---|-|
simerenmes	-|-|--|--|
fiussiqueparche soitlin onsn os tre	---|-|--|--|--|---|-|-⌫--|-⌫--⌫--|
ihesucr istle sauueurdetoutlemon de	----|--⌫--|-|------|-|---|-|---⌫-|
glorefiés enlec hi tedespaiens etl or	---------|-|-|-⌫--⌫-|--|-----|-|-⌫-|
lois ensoituilustenue	---|-|---|----|----|
et aba tueet	-|---⌫--|-|
sainshylairesrespondi q u il	----|-------|-------|-⌫|-|
nestoitonques	|-----|-----|
i ssusde se cellepuisqu i lie stoit	-⌫---|-|-|----|-----|-⌫||-⌫----|
entre ́sp remierem entne	-----⌫-|-⌫--------⌫--|-|
o renenuoloit	-⌫-||-|-----|
mieissir carilne u oloitmi eauoir	--|----|--|-|-|-⌫----|--⌫|----|
acoustu me	|------⌫-|
quilala sta c itene	-|-|---⌫-||-⌫--|-|
a uilemeesmem entpor telc ose qant	|---|-------⌫--|--|--|-⌫--|---|
selaissaca ira	-|-----|--⌫-||
piessi conmencha molthautement	---|-|--------|---|--------|
acrier etadirehylaires sers ihesucris t	|----|-||---|-------|---|----|----⌫|
r en moi mesenfan setenseme nt com	-⌫-|--|--|-----⌫|-|------⌫-|--|
il on t estégardéen egypt e	-|--⌫|----|-----|-|-----⌫|
anthoinelaouilontdemoré auec	-------|-|-|-|--|------|---|
luian se mentsoientil	--|--⌫--⌫---|-----|-|
desireoutuhabitestuit	-|---|-|-|------|---|
qu ila estoient ou la dame	--⌫|-|-------|-|-|---|
aussietmeism ement	----|-|-----⌫----|
sains hy lairesp loro it	----|--⌫-----|-⌫----⌫-|
pite de le damequ e uo s diroie	---|-|-|---|--⌫|--⌫|-----|
ieplusonques	-|---|-----|
se uoust partir	-|----|-----|
duscatantqu	---|------|
illi otencouent queqant	-|-|-|-|-----|--|---|
lis olausseroites consésqu	-|-⌫----|-----|--⌫------|-|
gaseladame sempa rti	---|-|---||-|--⌫--|
e t retorna arriere	-⌫|------|------|
sains hylaireslesiui	----|-------|-|---|
eta latantqui l	-|-⌫-|-----|-⌫|
ala nuit ierentraenle	||-⌫----⌫--|----|-|-|
tantqui lparuintla	-----|-⌫|------|-|
oulienfa ntgisoient	-|-|----⌫-|-------|
silesc onmencha a esga rder	-|--|-⌫-------||----⌫---|
etnostreseigne ur a	-|-----|------⌫-||
apele rquil parse	-----⌫|-|-|--|-|
misericordedaignastse	----------|-------|-|
l ui plaisoit	-⌫-|-------|
acesyy enfans rendre	|--|-|-----|-----|
sante orpo és	----|-|--⌫--|
uos o ir gran smeruei lle se tgr ansmiracles	--|-⌫-|----⌫|------⌫---⌫|-⌫|--⌫--|-------|
c arilconmencheren ttouttroiasu er	-⌫-|-|------------⌫|---|---||--⌫-|
sidurementtantostco mli sains	-|-------|------|--⌫|-|----|
prieres et	------|-|
ses or is onsfaites a n ostr e	--|--⌫--⌫--|-----||-⌫----⌫|
seigneurqu	-------|-|
il sam blastqueon sorlorcors	-|---⌫----|--|-|--|--|---|
etsor lormembre s ietastiaue plainneme nt	-|--|--|------⌫|-----|---|---------⌫-|
ent elemeism eh eu r e conmencherent	-|-⌫--|-----⌫|-⌫--⌫-⌫|------------|
i lamengierc hequ	-⌫||------|-⌫-|-|
gran tp iechedeuant	----⌫|-⌫----|-----|
e tsirecon nurent	-⌫|-|-----⌫-----|
lor merequi gra nt	--|---|--|---⌫-|
duel enmenoitet	---|-|-----|-|
moltestoitm ar ie	---|-----|-⌫--⌫-|
ilbeneirentnost re seigneur	-|--------|----⌫-|-------|
et baiserent	-|--------|
du sainthomepar c ui prieres	-|----|---|--|-⌫-|------|
ilauoientsanterecheueqantceste	-|------|----|------|---|----|
cosefuoie et seueetl oinget	---|-|--|-|---|-|-⌫---|-|
toutelecontreeli plu sor deleterre	----|-|------|-|---⌫--|-|-|----|
d egyp te etde	|----⌫-|-|-|
le contr eede syre	-|-----⌫-|-|---|
conmenche rent	---------⌫---|
saint h omeetadeuenir	----|-⌫--|-||------|
cres tienetl ipl usorpre ndoient	----⌫---|-|-⌫|--⌫---|---⌫------|
pourauecluidemour e r e n	---|---|--|------⌫-⌫|-⌫|
lermitaige	|--------|
en cel tempoire	-|--|-------|
nauoi tonqu eseuabeie	|----⌫|----⌫-|-|----|
e nl econtreede	-⌫|-⌫|------|-|
pales tine nenauoitonqueseu	-----⌫---|-||----|-----|-|
sesainthylaire	-|----|------|
lecontreede	-|------|-|
sy remaissainshylairesle sidoctrinaet	--⌫-|---|----|-------|--⌫||-------|-|
apris tpremier setfist	-----⌫|-------⌫|-|---|
tantparlaienostre	---|--||--|-----|
seigneu rquemolt en i otde sainsho mes	-------⌫|--|---|-||-|-|----|--⌫--|
etd ebonsetleloi nostresei gneur	-|-⌫|---|-|-|--|-----|---⌫----|
c r eirent	-⌫-⌫-----|
ett inrrentmol tsaintementtoute	-|-⌫------|---⌫|---------|----|
uieen egyp te auoit	--|-|----⌫-|----|
adont no stressires	----|--⌫----|----|
mis saintanthoin equi	--|----|-------⌫|--|
moltestoituieus	---|-----|----|
etdegrantaa ige et enl eterr e	-|-|----|--⌫--|-|-|-⌫|----⌫|
depalestine	-|--------|
au oi til missainthyl aire	--⌫--⌫|-|--|----|---⌫---|
ieuosai ditetconté	-|--|-|--|-|-----|
uneu ilete estoiten	--|-⌫----|-----|-|
entre l eteredegypteetletere	----|-⌫|---||-----|-|-|---|
des yre facideestoit a pp ele e la auoit	-|-⌫--|-----|-----|-⌫--⌫---⌫|-|----|
un efemequi	--⌫|---|--|
yy ans auoite sté	-|--|----|-⌫---|
au ulechelefumenee	--⌫--|----|-|----|
a saint hylaire	|----|------|
adontauoitsain s hyla ires auecluimolt	----|----|----⌫|----⌫---|---|--|---|
demo inesquial eloin ostreseignors	-|--⌫---|--||-⌫|--|-⌫----|------||
atornéet a uoient	------|-|-⌫-----|
abit demoniaige	---|-|-------|
et qantcele femeuint	-|---|---|---|---|
le sainthomeelel i dist queele auoit	-|----|---|--|-⌫|---|--|--|----|
auoi rde spendu enmi res	----⌫|--⌫-----|-|--⌫--|
pourc h e quelecuidoi tqu	---|-⌫-⌫|-|--|------⌫|-|
i llide i ssent	-⌫|-|--⌫-⌫----|
aidie r ar a u oir	-----⌫||-⌫-⌫-⌫--|
seueue s ains	-|---|-⌫---|
hylareslirespo ndifem es e	------|-|-----⌫--|---⌫|-⌫|
d onéaspoures c h equetu a s donné	-⌫---|-|-----|-⌫-⌫|--|-|-⌫|-----|
e t de spendu	-⌫|--⌫-----|
asmiresihe suscris li urais	-|----|---⌫--|---|-|----|
deusteustgar ie etsanee q ueq uel i	---||---|---⌫-|-|----|-⌫---⌫-|-⌫|
h omp ar loita inssicele cr ioita	-⌫-|-⌫--⌫---|-⌫----|---|--⌫---||
uoi s etli	---⌫|-|-|
parloitqui l	------|-|-⌫|
eustd elipite	---|-⌫|-|---|
etmis ericor d e lisainshom	-|---⌫------⌫-⌫|-|----|--|
sili toucha as ieus par	-|-|-----|-|---|--|
de nostreseigneur	-|-----|-------|
quiai nssifista	--|--⌫---|---||
cheluiqui n és	-----|--|-⌫--|
estoitauule s	-----|-----⌫|
ettan tostfucelegarieet sane e	-|---⌫---|-|---|----|-|----⌫|
uneautrefoisauintque	--|----|---|----|--|
zz care tons	-|----⌫---|
carioitzzcarnesai quel	------|-|--|-|--|---|
liupour s ebesoigneli careton s estoit	--|---|-⌫|-------|-|-------⌫|-----|
dega selaou i l	-|--⌫-|-|-|-⌫|
aloitseuoi eetlideales	----|-|---⌫|-|-|-----|
lentrepristentelmanierequildeuint	|---------|-|--|------|-|-|-----|
tousr oides et ots iperdue seforc equ	---|-⌫----|-|-|-⌫|-----|-|----⌫|-|
mouoirses mains	-----|--|----|
pies nese stes tetantqui l leclinas t	---|-|--⌫|---⌫-|-----|-⌫|-|------⌫|
denulepa rtieonle	-|---|--⌫---|-|-|
portaasai nthyl aire	----||---⌫-|---⌫---|
enlitierecilnepoo itplus	-|------|--|-|---⌫-|---|
detoussesme mbres quelelan gue	-|---|--|--⌫----|--|-|---⌫--|
parcheliproiaila ls ai nt homequil	--|----|----|-|-⌫|-⌫--⌫-|---|-|-|
lifeistsecorset	-|----|-----|-|
aie li sainshomli	--|-|----|--|-|
ne pooitestr e	-|----|----⌫|
s ainss il	-⌫---||-|
necreo it e nnostreseigneu r	-|----⌫-|-⌫|-----|-------⌫|
ihesucris t	----|----⌫|
nedegerpissoitseloiqu iestoit	-|-----------|-|--|--⌫|-----|
maluaisec hil creien	-------|-⌫--|---|-|
nostre seig nor	-----|----⌫--|
etdegue rpisal oi	-|-----⌫--|-|-⌫-|
sifugarismaintenantet deliurés	-|-|----|---------|-|--------|
apres cheauint que	----|--|----|--|
zziouenc ia us	-|------⌫--⌫-|
estoit enle contree mesicasestoi t	-----|-|-|------|------|-----⌫|
apel éscilertsif orsquilp ortoit	----⌫--|--|--|-|-⌫--|-|-|-⌫-----|
yymuisde fo rmentpar se fo rce	-|---|-|--⌫----|--|-|--⌫--|
nene t rouoitas ne	-|-|-⌫-----|--⌫-|
qui son fais peust	--|--|---|----|
porte rne soustenir	-----⌫|-|--------|
e nnulemaniere	-⌫|---|------|
celiouence lqui	--|-------⌫|--|
sifor ses toitentr a	-|---⌫|--⌫---|----⌫|
liuisdeal eselcorsquicruelment	-|--|----⌫-|-|---|--|--------|
lefist esragier	-|---|-------|
e t forse ne r dont	-⌫|-----⌫--⌫|---|
leporentt enircaai nesnean eldefe r	-|-----|-⌫---|----⌫--|-|--⌫-|-|--⌫|
ne bui es necha rtresquetoutne	-|---⌫-|-|---⌫----|--|---|-|
desrompistpars eforceetpar	---------|--|-⌫|----|-|--|
sefor senerie	-|---⌫------|
as plusor s	-|------⌫|
qu ilencon troit	-|-|-----⌫----|
mengoitl esn es et	------|-⌫-|-⌫-|-|
leso reille s etl es	--|-⌫------⌫|-|-⌫-|
pl usorsbrisoit illesg ambes	--⌫----|------|-|--|-⌫----|
cu is ses ou lesdens en	--⌫--⌫--|-|--|---|-|
le geule o u	-|----|-⌫|
m embressiauoit	-⌫-----|-|----|
toutelegentespoentee qu ientou rlui habitoient	----|-|---|--------|--⌫|-----⌫|--|---------|
sauoi ent quilpeusse nt	-----⌫--|-|-|------⌫-|
fairetantfirent toutesuoies	----|---|-----|-----|----|
que p arg rant	--|-⌫-|-⌫---|
forchequepargranteng ien	-----|--|--|----|---⌫--|
deg ens leloiere nt de cainesdef er	-|-⌫--|-|------⌫-|-|-----|-|-⌫-|
et decordes siletraisentapr e siau s	-|-|-----|-|-|-------|---⌫-⌫|---⌫|
au s siconme un sauuaige to rdusc	--⌫-⌫-|----|-|-------|--⌫|---|
liuousain shylaire s	--|-|----⌫|-------⌫|
et sifre rehabitoient	-|-|---⌫-|---------|
qant lifrer eleuirentilfur ent	---|-|----⌫|-|-----|-|---⌫--|
tout espoentéca rcil estoit	---|--------|--⌫|--|-----|
mer ueilles horriblesetmo lt	---⌫------|--------|-|--⌫-|
grans lors	----|---|
coururentasainthyla irelor	--------||----|----⌫--|--|
sai ntpere	---⌫-|---|
si li noncherentqant lisains h om	-|-|---------|---|-|----|-⌫-|
l oi ilconmanda queon	|-|-|-------|--|-|
le tr a i nast	-|--⌫-⌫-⌫---|
dusqueslaou	------|-|-|
ilseo it e tcilsifir ent	-|---⌫-|-⌫|--|-|---⌫--|
agranttra u ai l etagrantpainne	|----|---⌫-⌫--⌫|-||----|-----|
biensaichié squiluenoit	---|--------⌫|-|-|-----|
molt enuis	---|----|
deuant lesaint	-----|-|----|
homeainsrecu l oit	---|---|----⌫-⌫--|
qua nquilpooit etcilletrainoient	---⌫--|-|----|-|--|-|---------|
a uant de qua nqu	-⌫---|-|---⌫--|
ilpo oient sile	-|--⌫----|-|-|
parcordes et par caainesetche	--|-----|-|--|------|-|--|
samloi taueir une	------⌫||---|--|
grantmerueil le	----|-------⌫-|
t a ntostq ue sainshylaires	-⌫-⌫------⌫-|----|-------|
le u itil conmanda	-|-⌫-|-|-------|
achiausquilet enoientparcordes	|-----|--|-|-⌫------|--|-----|
et parc aai nes quil	-|--|-⌫---⌫--|-|-|
ledesloiassent et	-|-----------|-|
la issassen tal ertoutdeliuré	--⌫--------⌫|--⌫-|---|-------|
f irent sans arr es tement	-⌫----|---|---⌫--⌫-----|
l o serentcontredi re	|-⌫-----|--------⌫-|
q an tsai nshylaires	-⌫--⌫|---⌫-|-------|
le uitd es loierillidis ta baisset e	-|--|-⌫--⌫----|-|-|---⌫|-⌫-----|-⌫|
testesiuie nauant cil	----|-|---⌫|----|--|
conmenchaa	--------||
tr anblerdepaortanto stqu i l oile	--⌫-----|-|---|-----⌫---|-⌫|-|-|
p aroledel	-⌫----|--|
sainthomeneil n el osa	----|---|-|-|-⌫||--|
re sgard erainsselaissacaoira s es	--⌫-----⌫-|---|-|-----|----||-⌫-|
pies si liconmen chaa	---|-|-|------⌫--||
lechierase langue	------||-|-----|
sanscrualteetsansderuerie	---|------|-|---|-------|
l isainshom l en	-⌫|----|--||-|
fist r eleuer	---|-⌫-----|
auecluiyyioursetadont	---|--|-|----|-|----|
lideales traueilliéqu i	-|-----|----------|--⌫|
liestoitissus	-|-----|----|
delcorsmaisbien	--|---|---|---|
saichie ́sque puis	-------⌫-|--|---|
quiluintdeu antle	-|-|---|---⌫--|-|
homen otnulpo oir qu ilf eist	---||-|--|--⌫--|-|-|-⌫---|
nulecreatureanui	---|-------|---|
ne greuanch e	-|--------⌫|
ainssicomuos moés direetcon t er	-----|--|--||---|---|-|---⌫-⌫-|
iouenc hi ausparsaint hy laire	------⌫--⌫--|--|----|--⌫----|
pourcuin os tre ssiresfist	---|--|-⌫--⌫---⌫|----|---|
miracles icomuos porréso ir siluos	------|-⌫|--|--|------|-⌫-||-|--|
plai s teti l	----⌫-⌫|-|-⌫|
estquiuo sdieauan t	--|--|--⌫|--|----⌫|
or neuosdoiie	-|-|--|--|-|
conm ent crionq uit res r ic hes	----⌫--|----|-⌫-|-⌫--|-⌫--⌫--|
homestoitet primascestpremiersde	--|-----|-|-----||--|-------|-|
seignorie de uanttouschiausde l e	--------|--⌫---|---|-----|-|-⌫|
cit edehail e	---⌫|-|----⌫|
estdelaro ge mer	--|-|-|--⌫-|--|
f uamenés	-⌫|------|
deuant saint hylaire porche	-----|----|------|--|--|
uneleg iondedeales	--|---⌫--|-|-----|
unelegionssi contientyy mile	--|------|-|-------|-|---|
yycelriche	-|--|----|
homequitant	---|--|---|
auoitdedeales	----|-|-----|
elcors loierents i	-|---|-------|-⌫|
amidecain esde f erparle col	--|-|----⌫-|-|-⌫-|--|-|--|
e t pa rles	-⌫|--⌫|--|
par lesp iese tpa rlescostess i	--|--|-⌫--|-⌫|--⌫|--|-----|-⌫|
len amenerent asa int hy laireet	|-|--------||--⌫--|--⌫----|-|
biensa mbloit quilesgardoitenmi	---|--⌫-----|-|-|--------|---|
le chiere laouillamenoie nt	-|-----|-|-|-||-------⌫-|
fu stpl ai nsde grant	--⌫-|--⌫--⌫-|-|----|
forseneriesi	---------|-|
com il est oitettantalerentqu il	--|-|---⌫--|-|---|------|-|-|
laousain shylaireshabitoit auecsesfreres	-|-|----⌫|-------|-------|---|--|-----|
l i s ainsho mesto itadont	-⌫|-⌫---|--⌫|----⌫-|----|
issusdesecelle por aleren	----|-|-|----|--|---|-|
si comi ecuitetco mmoi sambl eet	-|--|-⌫|---|-|--⌫|--|-----⌫|-|
moust roita sesf reresparolesdediuerses	-----⌫---||--|-⌫----|------|-|-------|
ma neresquitoutes estoientestraites	--⌫----|--|-----|-------|--------|
de deuineescriture	-|-----|--------|
li derués	-|------|
dont ieuosai ditesc apa	---|-|--|-|--|---⌫--|
achi aus quil e tenoient sicouru t	|---⌫--|--|-⌫|-------|-|-----⌫|
asainthyla ire	|----|----⌫--|
silembrach aparderiere	-||-------⌫|--|------|
sileleua deterem olt legie rement	-|-|---|-|---|-⌫--|-----⌫-----|
cilquilaestoie ntconmencheren t	--|--|-|------⌫-|------------⌫|
de toutespartiesc aril crem oient	-|-----|------|-⌫-|-|----⌫----|
q uecil necombri ssast to slesmembres	-⌫-|--|-|------⌫----|--⌫|--|------|
del sai nt h o me quimoltestoient	--|---⌫-|-⌫-⌫-|--|---|-------|
foi bleeta greuéparleslongues	---⌫--|-|-⌫-----|--|--|------|
geuneslisains hom	-----|-|----|--|
arireet silordisttaisie ́ suose tnule	|---|-|-|--|---|------⌫-⌫|--|-⌫|---|
paornaiéssi	---||----|-|
melaissiésen tre	-|--------|--⌫--|
moietluic onu enir	--|-|--|-⌫---⌫---|
etm a intenantqu	-|-⌫-⌫---------|
ilotcedit sitor nasemai n	-|-|-|--|-|---⌫-|-|---⌫|
pardeseureses esp a ule set atoucha	--|------|--|---⌫-⌫---⌫|-|------|
ch eluisorsete stedont	--⌫---|--|-|--⌫--|---|
s elaissa l i	-⌫|-----|-⌫|
desués et l isainshomle pr i st	------|-|-⌫|----|--|-|--⌫-⌫-|
l escauiaus silem istases	-⌫-|------|-|-|-⌫--||--|
do ntl i c onmencha	--⌫-|-⌫|-⌫-------|
le s yy mainsa	--⌫|-|----||
est raindredese main etd e	---⌫------|-|-|---|-|-⌫|
ahurter etabatre	|-----|-||----|
distbiaussire	---|----|---|
d eusihesuscri s quisor	-⌫--|-----|---⌫|--|--|
toutescosesas	-----|----|-|
puissancedeliure	--------|------|
ce stcai ti f	--⌫-|---⌫--⌫|
malauentureor	----------|-|
poésuosoirtelmerueille conque s	----|--|--|--|--------||-----⌫|
noistesc arde la bouchechelu ioi	|-----|-⌫-|-|-|-----|-----⌫|-|
on gran scr i s de d iuerses	-|----⌫|--⌫-⌫|-|-⌫------|
uois et de plusors	---|-|-|------|
manieresetli i ssirent to t	-------|-|-|-⌫------|--⌫|
lid ealedelcorsqueplus demorer	-|-⌫---|--|---|--|---|------|
ni oserentainssifu cil garis	||------|-----|-|--|----|
e t deliurés de	-⌫|--------|-|
la grantdesuer ie	-|----|------⌫-|
que lidealeen	--|-|----|-|
luidemenoient	--|---------|
si senrepaira	-||-|------|
arrier eensecontree	------⌫|-|-|------|
apresche nemi e	----|--|-|--⌫|
gr anttansreuintilatot e	--⌫--|---|-----|-||---⌫|
sefemeetatou tsesenfans	-|---|-|----⌫|--|-----|
alabeiesaint hylaireauss i	||----|----|------|----⌫|
com po rgra cesrendrea no stresei gneur	--|--⌫|---⌫--|-----||--⌫---|---⌫----|
etausai nthomedesedeliurance	-|-|---⌫-|---|-|-|---------|
sia p ortaauec	-|-⌫-⌫---|---|
lu i oretargent	--⌫|-|-|-----|
liuolo itdonnermaisli s a ins	-|----⌫-|-----|---|-|-⌫-⌫--|
h omn enuol tonquesrienspre ndre	-⌫-||-|---⌫|-----|----|---⌫---|
nere c heu oiretqantc he	-|--⌫-⌫---⌫--|-|---|-⌫-|
creonil li dist tout	----|-|-|---|---|
em plouran t	-|-------⌫|
quilrecheust lesdonnesqu illiauo it	-|-|-------|--|-----|-|-|-|---⌫-|
aporteessi lesdepartistet	-------|-|--|--------|-|
do nastas poures s a in s	--⌫---|-|-----|-⌫-⌫--⌫|
h ylaire s li	-⌫------⌫|-|
respondiqu illespooitmieusdepartir	-------|-|-|--|----|----|-------|
aspoures porceq uila loitparlescites	-|-----|--|-|-⌫|-|-⌫---|--|--|----|
etparlesui lessicon nissoit mieus les	-|--|--|--⌫--|-|---⌫------|----|--|
pou resqu ilne faisoit ains sis en	---⌫--|-|-|-|------|----⌫-||-|
parti c ileta laa r rie rec onq u es	----|-⌫-|-|-⌫-|-⌫-⌫---⌫-||---⌫-⌫-|
yl airesneuoustdel sienpoint	--⌫----|-|----|--|---|----|
n e prendre car enlefin	-⌫|------|--|-|-|--|
qu esist enrete noi t nuleriens	--⌫||--|-|----⌫---⌫|---|----|
nostressi ress	------|--⌫--||
encorecheroit	-|----------|
lelegionsdes deales repaair roit	-|------|--|-----|-------⌫---|
si seroi t	-|-----⌫|
aussi e n doleuret en	----|-⌫|-----|-|-|
painne comil auoit deuantesté	-----|--|-|----|-----|----|
orne stmiedrois queieuos	-||-⌫-|--|----|--|-|--|
trespasseadirecon ment sa nanu s	--------||---|---⌫---|--⌫----⌫|
f uentrepris	-⌫|--------|
de gr ant enfer mete	-|--⌫--|-----⌫---|
et aussitost garispar les prieres	-|--------|----|--|--|------|
delsaintho mechilsauanus	--|----|--⌫-|---|------|
estoitma chonse tsoucius	-----|--⌫----|-⌫|------|
de celeoeu refaire	-|---|---⌫-|----|
enceltempoire si	-|--|-------|-|
uer s le riua i gede	---⌫|-|----⌫-⌫-|-|
lemeraun e	-|--||--⌫|
grantrochepo rtre nchierpier re	----|----|--⌫|---⌫-----|----⌫-|
etapa r eilli erpor unmurfaire	-|---⌫-⌫-----⌫-|--|-|--|----|
dun emaiso nenl	|--⌫|-----⌫|-||
abeie sainthylaire	----|----|------|
ilauinta ue nturesico mn ostres si res	-|----|-⌫--⌫----|-|--⌫|-⌫-----|--⌫--|
le uoustqu e	-|----|--⌫|
palasinsferi c helui	-------|---|-⌫----|
par t ous ses membresetlesotsi	--|-⌫--|--|------|-|--|-|-|
per dus en poideu requil n esen	---⌫--|-|--||--⌫-|-|-|-⌫||-|
p oo itaidier n ient plu squesilfussent	-⌫--⌫-|-----|-⌫---|---⌫|--||-|------|
mort si conmeiles to ient	---|-|----|-|--⌫--⌫---|
co mpai gnonleprisent etlemport erent	--⌫----⌫---|-|------|-||------⌫----|
a s aint h ylaire	|-⌫---|-⌫-----|
e stoit a uecses freresetli conterent	-⌫----|-⌫--|--|-----|-|-|--------|
conmen t celie stoitauenuetcom	------⌫|-|-|-⌫----|----|-|--|
soudainementceleenf e rme tesli estoit	-----------|---|---⌫-⌫---⌫--|-|-----|
priseli sains homleregarda	----|-|----|--|-|------|
etpuis fistsor lui le sig ne	-|---|---|--|--|-|---⌫-|
dele saintecroiset maint enan t	-|-|-----|----|-|-----⌫----⌫|
fucilgari s	-|--|----⌫|
et sané ss irepaira	-|-----⌫|-⌫|------|
arriere a l oeureauec ses	------|||----|---|--|
conpaignons	----------|
q u i aportélauoienta	-⌫-⌫|------||------||
gr antioie	--⌫--|---|
a pr eschouauint	-⌫--⌫-|---|----|
quezzhomcres tien s	--|-|--|----⌫----⌫|
estoitapelésp ar nonauoitp ris	-----|------|-⌫-|--|----|-⌫--|
un c oursde keuaus enuer szzsa rrazin	-|-⌫---|-|-----|-----⌫|-|--⌫-----|
chescheuaus	---|------|
auoienta f aiti és por	------|-⌫-⌫----⌫--|--|
co urre a tout cars	--⌫---|-⌫---|---|
ou ilestoient	-|-|-------|
atel ésicomil estoitcoustum e cha	----⌫-|-|--|-|-----|-------⌫|--|
enarrierech ilqui mi euscoroient	-|------|--⌫-|--|--⌫--|-------|
entelemaniere auoientuictoire	-|---|------|------|-------|
etgrantloenge li paienstra ioit	-|----|-----|-|-----|---⌫---|
asesydelesetdi soitne saiqueu sca rnin s	|--|-----|-|--⌫---|-|--|----⌫|--⌫----⌫|
asdeal esqu il	-|----⌫-|-|-|
aoroitqu il l i	-----|-|-|-⌫|
aid a ss ent cel cors auai ntreetli	---⌫-⌫--⌫--|--|---||---⌫---|-|-|
autresqu i c res tiens est oituint	-----|--⌫|-⌫---⌫----|---⌫--|---|
asaint hyla iresi	|----|----⌫--|-|
lipriaquilfeis t	-|---|-|-|----⌫|
s esor ison s anostresei gn eurqu	-⌫-|--⌫----⌫||-----|---⌫--⌫--|-|
pe ustdeffendresiquilnie ust honte	--⌫--|--------|-|-|-|||-⌫--|----|
ne bl asme chesamlaasaint	-|--⌫---|--|----||----|
hylaireo iseusecosedefaireorison	------|-⌫-----|---|-|----|-----|
pou rtelu anite d ontconmencha	---⌫|--|-⌫----|-⌫--|--------|
a sousrire s iresgardaceluisi lidist	|-------|-⌫|-------|----|-|-|---|
tuuend u s tes keuaus	-|----⌫-⌫|--|-----|
departis as poures	-------|-|-----|
anc hois quetuces t	---⌫----⌫--|-|---⌫|
corse mpreisses	---|-⌫--------|
afair e cilli	|----⌫|--|-|
quece stoitune	--||-⌫----|--|
co nmu necoust ume	--⌫---⌫-|-----⌫--|
nenela fais oit mietant de	-|-|-|----⌫--|--|---|-|
seuolente c om epar contr aigneme nt	-|------|-⌫--⌫|--|-----⌫-------⌫-|
e tbien sa uoitchertainnement	-⌫|---|--⌫---|-------------|
