dieu n ostre	---|-⌫----|
unbastonque teno ittendi	-|-----|--|----⌫-|----|
en l eiu eets ientendi	-||---⌫|-|-⌫|------|
peust atreire	----|------|
les dr a piaus mes nou p ot p asf ere	--|--⌫-⌫----|--||-|-⌫-|-⌫-|-⌫--|
sonbrasestes er	--|---|-----⌫-|
car les drapiaus sentipeser	--|--|-------|----|----|
so ine spot mouoir	--⌫||-⌫|--|-----|
merueillaso i quepotauoi r	--------|--⌫|--|--|----⌫|
entresesdras	----|--|---|
estapissant	----------|
pa rquo ilidrap	--⌫|---⌫|-|---|
er entpesant	--⌫--|-----|
gensapelaq uiliaiderent	---|----|-⌫-|-|-------|
lesdrapiausarrier ebouteren t	--|-------|------⌫|--------⌫|
lariuefurenttr et	-|---|-----|--⌫-|
l eisire tatreit	-⌫----|-⌫||----|
desuelopa t ouz l esdrapiaus	--------|-⌫--|-⌫-|-------|
qui ansintcommeen trop iaus	--|-----|----|-|----⌫---|
ere ntensemble amoncelé	---⌫-|-------|--------|
regardaqu e rtdedenzcelé	------|-|-⌫-|-----|----|
quenutdeson e nfant	-----|-|--|-⌫----|
qu elleot lessié seinetuiuant	-|---|-|------|---|-|-----|
orlatroué	-|||-----|
domelale cuer esmaie ́	--|-||-|---|------⌫|
quel nesetpa rquel	-|-|-|--|--⌫|---|
l i estsorsecertepesance	-⌫|--|----|----|------|
le nfantplus	|-⌫----|---|
etp lus auis a	-|-⌫--|----⌫|
que r equeneuau	--|-⌫------|-|
etq uan ta son filzlencercha	-|-⌫---⌫||--|---||-------|
g rantdouleu rle cuerlen pe rc ha	-⌫---|------⌫|-|---||-|--⌫--⌫-|
l a ngoisselapoint dusqu a lame	|-⌫------|-|----|----|||--|
lorsli remenbre d ela dam e	---|-|-------|-⌫|-|---⌫|
quia chartre suertus	--||-------⌫|-----|
son c hier	--|-⌫---|
filzpleisoit	---|-------|
domgran t estoitl ar enommee	--|----⌫|-----|-⌫|-⌫------|
oupaisete nlacontree	-|---|-|-⌫|-|------|
ai celle damecria	|-⌫----|---|---|
mercie to pleurlapria	----|-⌫||----|-|---|
quesonenfantuif li rendist	--|--|-----|--|-|------|
etouesques uoaetdi st	-|-------|--|-|--⌫-|
quetant nequant ne seiorroit	--|---|-|----|-|--------|
neuer ss ameson ne corroit	-|---⌫|-⌫|----|-|------|
deuantq ua chartr es ensiglis e	-------⌫||------⌫-|-||-----⌫|
dameeust requise	---|---|------|
ainsilafam eseuoa	----|-|---⌫|-|--|
douceda meuoa	----|--⌫-|--|
plus depitiequ	---|-|----|-|
eiuee nfont eine	---|-⌫|----⌫---|
la damequid e grace	-|---|--|-⌫|----|
estpl eine	--|--⌫---|
et demisericordemere	-|-|----------|---|
lan goise etladoul eu renmere	|--⌫----|-|-|----⌫--⌫|-----|
que deson f ilzla	--|-|--|-⌫--|-|
mere auoi t	---|----⌫|
quidus que soucuerlagreuoi t	--|---⌫---⌫|-|---|-|------⌫|
lifi stalegier p arsagrace	-|--⌫-|------|-⌫-|-|----|
carlienfesenmilaplace	--|-|----|---|-|----|
rendi parmila	----|----|-|
lei uequiliestoitouco rs	|--⌫-|--|-|-----|-|--⌫-|
quie ntreeer tp arteleenpeinte	--|-⌫----|--⌫|-⌫-|---|-------|
qu e lamel iertesteinte	--⌫||--|-⌫|--|-------|
l eiuei ssiho rs	|---|-⌫--|--⌫-|
agrantru isiau	|----|--⌫----|
quepoint nenremeint ou	--|----||-|------|-|
dou uentre	--|-----|
m estretoutuoid a	-⌫-|------|----⌫|
car nostredame liaid a	--|-----|---|-|---⌫|
quiot de l ame re	--|-|-|-⌫|--⌫-|
etlifistsigrant	-|-|---|-|----|
e tdoucementlauisita	-⌫|--------|-|-----|
quelenfantmortresusci ta	--||-----|---|-------⌫-|
siquensen blesante et	-|-|-----⌫--|----|-|
multful a mere r esioie	---|-|-⌫|---|-⌫-----|
quantiluitle mir acleespert	----|-|--|-|---⌫---|-----|
ueuquelau oitoffe rt	--|-|-|--⌫--|----⌫-|
acomplirse mist	-------|-|---|
a lau o ie	|-|-⌫-⌫-|
portantoso ison	------||--⌫|--|
fi l z aio ie	--⌫-⌫||--⌫-|
droit uerschart ressachemina	----|---|-----⌫--||-------|
on quesior	--⌫---|--|
derrernefina	|----|-|---|
dusqu achart re s laciteuint	----||-----⌫--⌫|-|---|---|
lemir acle qu iliauint	-|---⌫---|--⌫|-|----|
desonfi lz	-|--|--⌫-|
apartoutconté	|--|---|-----|
gracesrendide labonte	-----|----|-|-|----|
ala hautedameen	|-|----|---|-|
puis seresta	---|-|---||
lauoiemise	-|---|---|
portants onfil zseinethetié	------|-⌫-|---⌫|---|-|-----|
siatan td erreresplo itié	-||---⌫||----|-----⌫----|
q uaso notel e s t retor nee	-⌫||--⌫|---|-⌫-⌫|-----⌫--|
loant lau irg ecoronee	----|-|-⌫---⌫|------|
la dame qu	-|---|-|
en achartrespr ie	-||-------|--⌫-|
domtot bienuientettoute	--|--|---|----|-|----|
quide touteennorestdoctrine	--|-|----|----|--|-------|
etdecorta isi e corine	-|-|-----⌫---⌫|-----|
me donnecor tois e matire	-|----|---⌫----⌫|-----|
dunsuenmi racle	|-|---|--⌫----|
cortoisdire	------|---|
queladamefista	--|-|---|---||
berchieres	---------|
ses uilesqu a chieres	--|----|-||------|
cel leuil leotbie nenchier te	---⌫-|---⌫-|-|---⌫|-|-----⌫-|
quants onpoeir et	----|-⌫-|----|-|
i monstracomme	|------|----|
po issantdame	--⌫-----|---|
en celle uille	-|----|----|
ot unef ame	-|--|-⌫--|
quiau oitdeusfilles	--|--⌫--|---|-----|
mes lunedece sfillesdistes	--||--|-|--⌫|-----|-----|
gesoiten un b ers	-----|-|-|-⌫--|
etlautr ees toit auques g ran de ste	-||----⌫|--⌫---|-----|-⌫---⌫--⌫--|
la mereenl agarde	-|---|-|-⌫|----|
leissala gen ure enmaillol ee	-----|-|---⌫--|---------⌫-|
a ga rder et	|--⌫---|-|
et l os telli lessa	-||--⌫--|-|----|
horsensabe soi gne	---|-|-|--⌫---⌫--|
lauilles esloign e	-|----||-------⌫|
sotleissiezs es	|-|-------|-⌫-|
anfansandeus	-----|-----|
e stesuous unsho m	-⌫---|---|--|--⌫|
trophideus	---|-----|
trop lezet	---|--|-|
tropespoenta ble	---|--------⌫--|
c roire deuez	-⌫----|----|
q ue cert deable	-⌫-||--|-----|
quienformedome	--|-|----||--|
c omm e home	-⌫---⌫|---|
sen uint l	|-|---||
de u an tlesanfans enlotel	--⌫-⌫--⌫|--|-----|-||---|
mes onquesnush om nefutel	--|-----|--|-⌫-|-|-|--|
nenefudeteleestature	-|-|-|-|---|-------|
ca rtrope rt grantadesmesure	--⌫|---|-⌫-|----||--------|
douuoul tet d es	--|----⌫|-|-⌫-|
cheueu s hor ribl e	------⌫|---⌫----⌫|
nepoizqu elen	-|---|--⌫|--|
n es tsin oir com	|--⌫|-|-⌫--|--|
i lot le uis	-⌫|-|-|--|
se gontlescritleuous deuis	--⌫---||-----|-|---|----|
les d ensnoiresytans	--|-⌫--|-----|----|
queleuisetlon gueset	--|-|--|-|---⌫---|-|
pleinsertde	-----|--|-|
gra nt horriblete	---⌫-|---------|
presdesanfanss	---|--|-----||
estarreté	--|------|
etqua ntle uit	-|---⌫-|-|--|
lagarceeinznee	-|----|------|
d urement fu	-⌫------|-|
esp oent ee	---⌫----⌫-|
depoo rsen ala criant	-|---⌫||-|--|-----|
mes onhorsfuiant	---⌫-|---|-----|
carla poor tantlenpressa	--|-|---|---||-------|
quemesonetenfant lessa	--|----|-|-----|----|
etfistsonduelenmil a	-|---|--|---|---|-⌫|
esteu ousla m ereuen u e	---|-⌫--|-|-⌫--|---⌫-⌫|
d roituerssonostelaco rant	-⌫---|---|--|----|---⌫---|
en sa uoietro ua plo rant	-|-|---|---⌫-|---⌫---|
sa filleetmultesbahie	-|----|-|---|------|
ettren bl ant et espouentie	-|----⌫--⌫--|-|---------|
en quistliet lareiso na	--⌫----|-|-||------⌫-|
porquoise ulesameson a	--|---|--⌫--|-|----||
et sapetitese urles s iee	-|-|-----|--⌫-|---⌫-⌫--|
ce llequi tint chiereb eissiee	--⌫--|--|---|-----|-⌫------|
l aue nt urelireco n ta	|---⌫--⌫--|-|----⌫-⌫-|
lameremoultsespoent a	-|---|----||-------⌫|
etfueffraee	-|-|------|
uers lotel uest c riantah ee	---||---|---|-⌫----|--⌫-|
dam e de ch artressauu és moi	---⌫|-|--⌫-----|----⌫--|--|
maf illetedomgeme sm oi	-|-⌫-----|--|-||-⌫--⌫-|
dameauoslacom m antetueu	---||--|-|---⌫-⌫--|-|--|
etu ospro metque	-|-⌫-|---⌫--|--|
maquiteraitostsan zdemoure	|--------|---|---⌫|------|
quachartres oule nuosaeure	-||-------|-|--⌫|--|----|
uos port er eienuostre egl ise	--|----⌫--⌫-|-|-----|---⌫--|
m af i lle	-⌫|-⌫-⌫--|
sedestre m aum ise	-||----|-⌫---⌫--|
lagardezquesauuela t r uise	-|-----|--|----|-|-⌫-⌫---|
en telduel eten	-|--|---|-|-|
telangoisse	--|-------|
entralaf ameensameson	----|-|-⌫--|-|-|----|
dedenstrouam oul tgrant ar son	-----|----|-⌫---⌫|----|--⌫--|
de feu qui l	-|--|-|-⌫|
esp letié	---⌫-----|
doube r sfu arse	--|--⌫-⌫|-|---|
ou safilleesto it co uchiee	-|-|----|----⌫-|--⌫-----|
me s doufeunertpointato uchiee	--⌫|--|--||--|----|---⌫-----|
toutertars lestrein douberceul	---|--|--||------|--|------|
etlidrap arse t	-|-|---|--|-⌫|
lilinc eul	-|----⌫--|
quelenfa ntot	--||----⌫-|-|
entorsesnaches	----|--|-----|
me sdarsuresignesnet aches	--⌫||-----|-----|-|-⌫----|
oucor s delen fantne p arurent	-|---⌫|-||--⌫---|-|-⌫------|
lestrein e tlidr a pel arsfur e n t	|------|-⌫|-|--⌫-⌫--|--|---⌫-⌫-⌫|
m es onques	-⌫-|-----|
lefeunepot pre ndre	-|--|-|--|---⌫---|
ala cha rqui estmoleetten dre	|-|---⌫|--|--|---|-|---⌫--|
car ladame lauoit gardee	--|-|---||----|-----|
acuielle e stoit comman dee	|--|---|-⌫----|------⌫--|
lamerel auoa	-|---|-⌫|--|
li feuentor	-|--|----|
len fanttroua	|--⌫---|----|
etqua nta la charaprocha	-|---⌫-||-|---|------|
siestei ntquene l a	-|-----⌫-|--|-|-⌫|
mir a cleapertemen t	---⌫-⌫--|---------⌫|
iamostracortoi sement	-|-----|------⌫-----|
ladames agrant	-|---|-⌫|----|
sapoissancesa seignori e	-|--------|-|--------⌫|
quant cest eauenture otueu	----|----⌫|-------|-|--|
la mer eg rant ioie a e u	-|---⌫|-⌫---|---||-⌫|
qua nt safillea	---⌫-|-|----||
trou eeseine	----⌫-|----|
san squerretermene essoine	---⌫|-----|----|-|------|
uerscha rtresse	---|---⌫----|-|
mistalauoi e	---||-|---⌫|
etassesdegens	-|----|-|---|
l aconuoie	-⌫|------|
deses uois insdesesamis	-|--|----⌫--|-|--|---|
p o rferece quauoitpromi s	-⌫-⌫|---|-|-|----|-----⌫|
toutle berspo rta	---|-|---|--⌫--|
d equisanteseconfo r ta	-⌫|--|----|-|-----⌫-⌫-|
a cha rtres	|---⌫----|
a l iglise uint	||-----|---|
lau enture	|--⌫-----|
contaa quila	----||--|-|
uostentendre	---|-------|
sonueu etsa promesse rendre	--|--|-|-|-------|-----|
l autelsi m plement	|----|--⌫-⌫------|
safille i offrihumblement	-|----||----|---------|
a lad am e grac es rend i	|-|-⌫--⌫|----⌫-|----⌫|
q uilen fa nt dufeu	-⌫-||--⌫--⌫-|-|--|
conquess a	|-----|-⌫|
etsauuem entl	-|------⌫--||
ot deliuree	-|-------|
desmeinsau sfel on	--|----|--⌫|---⌫-|
lib ersqu iestoit	-|-⌫--|--⌫|-----|
lessaenl iglise e nmemoire	----|-||-----|-⌫|------|
doumiraclecestchouseuoir e	--|------||--|-----|----⌫|
si comoulatinle re treit	-|--|-|----|-|--⌫----|
eileromanztr eit	-|-|-----|--⌫--|
qui tesm oi gneensonliure etdit	--|----⌫--⌫--|-|--|----|-|--|
quen liglise de cha rtres uit	-|-||-----|-|---⌫----|--|
leber sdemi	-|---⌫|---|
a rspar meintior	-⌫-|--|----|--|
achartresnefistplusseior	|-------|-|---|---|----|
lafameeinsre tornaa rrere s	-|---|---|--⌫----|-⌫-----⌫|
c ompaignie abercheres	-⌫--------||--------|
or co nui ent qu egemapareille	-|--⌫---⌫--|--⌫|-||--------|
cunm i racle	|-|-⌫-⌫----|
degrant m erueille	-|----|-⌫-------|
quela haute dame fit d ie	--|-|----|---|--|-⌫-|
cilmiracleaseignorie	--|------||--------|
seur lesautr esadignite	---|--|----⌫-||------|
et porsagrantnobilete	-|--|-|----|-------|
deust estremi s toutdeuant	----|----|--⌫|---|-----|
m esgeuoistoutlordre seuant	-⌫-|-|---|---||----|-----|
si comm e ou l iureest	-|----⌫|-|-⌫---|--|
porcelegesi	--|-|||-|-|
quou latinai	-|-|----|-|
cest ord re	---|---⌫-|
pas es trerepris	--|--⌫--|-----|
encel ten squ eg eideuant dit	-|--|---⌫|--⌫||-|-----|--|
qu euenoient	--⌫|-------|
gran tetp etit	----⌫|-|-⌫---|
a c hartr es enpe le rin age	|-⌫-----⌫-|-|--⌫--⌫---⌫--|
quelen fe isoit lem e streestage	--|--|--⌫----|-|-⌫-⌫---|-----|
ala dameetsa mestre igli se	|-|---|-|-|-----|----⌫-|
etoffrend esdemeinte guise	-|-------⌫-|-|-----|----|
iport oit chacunet gran tdon	|----⌫--|-----|-|----⌫|--|
l epuepledechetiauland on	-⌫|-----|-|-----------⌫-|
ou t erro uerde gat inais	-|-⌫----⌫--|-|---⌫----|
h omes etfames demenais	-⌫---|-|----|-------|
pouuresetrichess ase mblerent	------|-|-----||---⌫-------|
e ttuit ensemble	-⌫|---|-------|
sacorder e nt	|-------⌫-⌫-|
co mmege ns pl einsdecharit e	--⌫--|--⌫-|--⌫---|-|------⌫|
et pa rs armonsamonet é	-|--⌫|-⌫-----|------⌫-|
cun char def ro mentch arger oien t	|-|---|-|-⌫--⌫---|--⌫-----⌫----⌫|
qu achar tres	-||----⌫---|
totchargiémei nroient	--|-------|---⌫------|
iglisefeire	-----|----|
aucharsepri strent tuitatreire	-|---|-|---⌫-----|---||-----|
tanttreirentetleuruoietindr ent	---|-------|-|---|---|-----⌫--|
qu en leuesc hedechart resuindrent	-|-||-----⌫-|-|-----⌫--|-------|
aune uil e o uai sié furent	|--|---⌫|-⌫|--⌫---|-----|
ce lle nuit iiurent	--⌫--|---||-----|
plus eurs o tde celsquitr aioient	----⌫---|-⌫|-|---|--|--⌫------|
que po rce queporuo ircra ioient	--|--⌫|-|--|--|--⌫-|---⌫-----|
estre achartre sa	----||-------⌫||
l endemei n	|-------⌫|
ne se garnire ntpasdepein	-|-|-------⌫-|--|-|---|
nedepoint dau tre garison	-|-|----||--⌫--|------|
ces oirnef irent garn ison	-|-⌫--|-|-⌫----|----⌫---|
nedepeinn ed	-|-|---|-⌫||
a ut reuitaille	-⌫--⌫-|-------|
qui doients an s faille	---⌫-----|-⌫--⌫|-----|
l endemeina	|-------||
chartresuenir	-------|----|
ne uoudr entchous eret e nir	-|-----⌫--|-----⌫|---⌫-⌫--|
quelendeme in eustmest ier	--||------⌫-|---|----⌫--|
dompl uslesestutde heti er	--|--⌫-|--|----|--⌫----⌫-|
autres iotdeporueance	-----||-|-|--------|
qu ie stoie nteng rantdo utan ce	--⌫|-⌫-----⌫-|-|-⌫---|--⌫----⌫-|
qu iln ipen sentpasaateindre	-|-|||---⌫---|--||-------|
car celleiornee	--|----|-----|
estoitgreindre	-----|-------|
entreusnecuidoie ntasses	---|--|-|-------⌫-|----|
estoientmo ultl ass és	-------|--⌫--|-⌫---⌫--|
etmou lt greue ́ettrau aillié	-|---⌫-|-----⌫|-|----⌫------|
do uga rnir furenteue illie ́	--⌫|--⌫---|-----|---⌫-----⌫|
pein acheterentetuiande	---|---------|-|-----|
ne cessitecommande	--⌫------|-------|
einsinef urentpa s commun	----|-|-⌫----|--⌫|-----|
car desgar ni furent liu n	--|------⌫-|-----|-|-⌫|
tr e toutelagre igneurpa r tie	--⌫-⌫----|-|---⌫-----|--⌫-⌫--|
etl autrep artsif ugarnie	-||----|-⌫--|-|-⌫|-----|
l endemeinm atinseleuerent	|-------|-⌫---|-|-------|
aucorde sdoucharata chier ent	-|-----⌫|--|---|---⌫-----⌫--|
lorcolli erse t lorcoulsenzmi strent	--|-----⌫--|-⌫|--|----|--|--⌫-----|
etsi pris trent	-|-|----⌫----|
atirer si trest rentforment	|----|-|-----⌫---|------|
gran tertla chargede	----⌫|--|-|-----|-|
siles conu intmou lt ahenner	-|--|----⌫--|---⌫-|------|
a trauailli e retapenner	|---------⌫-⌫|-||-----|
agrantsuoretagrantpei ne	|----|---|-||----|---⌫-|
uindrent c e iourachantereine	-------|-⌫|---||----------|
auneui lle desgarnie	|--|--⌫--|--------|
apasleueet	|--|---|-|
d ilecacha rtreslac ite	|---||---⌫----|-|-⌫--|
meslase renten ueri te	--|--|-⌫---|-|----⌫-|
ete s to itia a l a nuitant	-|-⌫-⌫--⌫-|-|||-⌫------|
sineporentale rquitant	-|-|-----|---⌫|-|----|
encelileuseherbergerent	-|---|--|-|-----------|
ci lquiorent peinsimengerent	--⌫|--|----|---|-|--------|
etcilquifurentdesgarni	-|--|--|-----|-------|
furentm alement e schar ni	-----|-⌫------|-⌫-----⌫-|
orentf einet m esese	----|-⌫--|-|-⌫----|
n il netrouer ent	|-|-|------⌫--|
rienqui ple se	---|--|---⌫-|
neq ue ilpuissent acheter	-|-⌫-|-|-------|------|
geu n l esarrester	---⌫|-⌫-|-------|
si en ontm oultg ra nt dueleu	-|-|--|-⌫---|-⌫--⌫-|---|-|
deceerent desporueu	-|-|----|--------|
mes celledamee n qui seruise	--|----|---|-⌫|--|------|
ileren tpar sagran t	-|----⌫|--|-|----⌫|
franchis e	--------⌫|
l esporuitbie netsoudement	-⌫-|-----|---⌫|-|--------|
liautreo re ntporuoieme nt	-|----|-⌫--⌫-|---------⌫-|
par leur senet	--|---|--|-|
par leur sauoir	--|---|-----|
mesicist ce deuezs au oi r	--|----|-|----|-⌫--⌫--⌫|
grant d eb onneirete	----|-⌫--⌫--------|
da med e maiete	--⌫-|-⌫|-----|
porueuetregardés furent	-----|-|--------|-----|
homesenc elle u illeest urent	----|-|-⌫---|-⌫---|---⌫----|
quipeinse n sasre po uz estoient	--|----|-⌫|--|--⌫--⌫-|-------|
quecin q soulsacheté auoient	--|---⌫|----|------|------|
a garnisondeleur mesnages	|-------|-|---|-------|
cilhom e co mm e	--|---⌫|--⌫--⌫|
preusetsages	----|-|----|
etcorto isetbien	-|-----⌫-|-|---|
ore nt despelerinspi tie	---⌫-|--|-------|--⌫--|
qu il uirent	-|-|-----|
d e feinba all er	-⌫|---|--⌫---⌫-|
etleurcor s griement	-|---|---⌫|-------|
trau ai lli er	----⌫--⌫---⌫-|
enl ab osoignealapucel le	-|-⌫|-⌫------||-|-----⌫-|
me re etancelle	--⌫-|-|------|
d une moult hautec ortaisie	|--|----|----|-⌫-------|
dedouceur de pitie garnie	-|------|-|----|-----|
sepristr ent lors	-|------⌫--|---|
a porpenser	|--------|
porguerirlepuepleet tenser	--|-----|-|-----|-|-----|
quide ui andesed emente	--|-|--⌫---|-|-⌫-----|
m etroientleur peinen uente	-⌫-------|---|---|-|----|
neia plusn elenc hererro i e nt	-|-|---|-⌫||---⌫-------⌫-⌫-⌫-|
fortantcommeachetél au oient	--|---|----|------||--⌫----|
n enqueroie nt	|-|-------⌫-|
m istr entenue nt eatel	-⌫----⌫--|-|--⌫--⌫||--|
ilacheté lor e nt	-|------||--⌫-⌫-|
gre ig norbonteferenepor ent	---⌫--⌫--|----|---|-|---⌫--|
s au tre foiz e n dons	|--⌫--|---|-⌫|---|
leurd onas sent	---|-⌫----⌫---|
grantgren igaaignass ent	----|--|||---------⌫--|
lefilzdelauergeennoree	-|---|-|-|----|------|
pitieetlapens see	----|-|-|----⌫--|
uitet quennutdes	--|-|------|--|
etla faindes	-|-|---|--|
quierentlaset	--|----|--|-|
trau aill ié	----⌫----⌫--|
uoultalegierparsapi tie	----|------|--|-|--⌫--|
e tuou ltparuertudemostree	-⌫|---⌫-|--|----|--------|
quesam erefutennoree	--|-|-⌫--|--|------|
etessaucieeento us leus	-|--------|-|--⌫-|---|
mir acl emonstra merueilleus	---⌫---⌫|------|----------|
e st en c oustu m euenus	-⌫-|-|-⌫-----⌫-⌫|----|
o nquess inoblen e uit nus	-⌫----|-⌫|----|-⌫|--|--|
pu isletens quede x en	--⌫-|-|---|--|--⌫|-|
ose sdeciplesquoud esert	|--⌫|-------|-|-|-⌫----|
parsauertumoutepli a	--|-|----|--------⌫|
lescinqpeinse tenapoia	--|---|----|-⌫|-|----|
etsaoulade ge nz	-|-----|-|--⌫-|
cinq mille	---|----|
sicomlentreuu e en	-|--|--|-----⌫|-|
liuangille	|--------|
m iracled emonst rance	-⌫-----|-⌫------⌫----|
monstra de xpar	------|--⌫|--|
sagrant poissan c e	-|----|-------⌫-⌫|
alenneurdesa d oucemere	||-----|-|-|-⌫---|---|
quaressacz fi st le	---|-|---|--⌫-|-|
q ue tu it enfuren tapai é	-⌫-|--⌫-|-|-----⌫|----⌫-|
pei nmouteplaié	---⌫|----------|
par lauertudou roi	--|-|----|--|--|
qu ilsuffistaupueple r ep eit r e	-|-|------|-|-----|-⌫--⌫---⌫-⌫|
qui grantbesoigen	--|----|-----|-|
t uitfur ent doupeinrepeu	-⌫--|---⌫--|--|---|----|
i uenistacorbeilles	|-----||---------|
li ue ndeor	-|--⌫----|
or entmerueilles	--⌫--|---------|
ouilpoaie nt ce pein pr en dre	-|-|-----⌫-|-|---|--⌫--⌫--|
car ilne finaientd eu end re	--|-|-|-------|-⌫|-⌫---⌫-|
pein et de deniersr e ceu oir	---|-|-|------|-⌫-⌫---⌫--|
e tqueil seussent leuoir	-⌫|--|-|-------|-|---|
dounumbrelesdenier scont ere nt	--|-----|--|------⌫|----⌫---⌫-|
e ntor qu arentes oulstrouerent	-⌫---|--⌫-----|-⌫---|--------|
orentdu pe in	----|-|--⌫-|
en leu rsas	-|---⌫|--|
autant comeauoientdeuant	-----|---|------|-----|
lorfuren t il aperceuan t	--|-----⌫|-|---------⌫|
quecertmiracle	--||--|------|
ausintespert	-----|-----|
commedexotfetou	----|--|-|--|-|
at otle pu eple ontrac onte ́	|-⌫-|-|--⌫---|--|---⌫----⌫|
c estmiracl e	-⌫--|------⌫|
ces tebonte	---⌫-|----|
que lameredieuleur ot	--|-|---|---|---|-|
quienmeint	--|-|----|
leu f u puisretreite	--|-⌫|---|-------|
d ou mirac letuit	-⌫-|-----⌫-|---|
sesio ire n t	|----⌫---⌫-⌫|
a ihesucristg r ac esrend irent	|----|----|-⌫-⌫--⌫-|----⌫----|
q uitoz biensdo n nelargemen t	-⌫-|--|----|--⌫-⌫-|--------⌫|
sa mereensement	-|---|-------|
qui sonchierfilztantotpr ié	--|--|----|---|---|-|--⌫--|
queparlui furentauoi é	--|--|--|-----|----⌫-|
li pelerinalendemein	-|------|||-------|
reprist rentleur oeurebien mein	-------⌫---|---|----|---|---|
etle urbesoignes iparfi rent	-|--⌫-|-------|-⌫|-----⌫---|
quebleetautresdonso ff rir ent	--|--|-|-----|---|-⌫--⌫---⌫--|
achar tres al igl i sefere	|----⌫---|||---⌫-⌫-|---|
etpuissemistren taur epeire	-|---|-|-------⌫|-|-⌫-----|
feitpo eztuit sau oi r	---|--⌫-|---|---⌫--⌫|
e tledeuéste n irauoir	-⌫|-|-----|--⌫-⌫-||---|
quelaha utedameplus aim e	--|-|--⌫--|---|---|---⌫|
l i glisedom dame	|-⌫----|--|---|
s ecleimme	-⌫|------|
qu autre s	-|-----⌫|
puisse tro uuer	-----|---⌫---|
parcest fet	--|---|--|
lepoezp rouer	-|---|-⌫----|
quantaubienfeteu rs	----|-|---------⌫-|
monst raamordetele g uise	-----⌫-|---|-|---|-⌫---|
quesonfilz por eulz tantpria	--|--|---|--|---|---|---|
que lespeinsleurm outeplia	--|--|----|---|-⌫-------|
etfistmirac lesporsenn or	-|---|-----⌫--|--||---⌫-|
telxcomautensancion nor	---|--|-|---|------⌫--|
o rs achiésdonc certeinement	-⌫|-⌫------|---|-----------|
q uelada me especialement	-⌫-|-|--⌫-|------------|
aimm emescen	----⌫|--|-||
e s t pas d escontes	-⌫-⌫|--|-⌫-|-----|
l iglise de c har tressurtoutes	|-----|-|-⌫---⌫---|--|-----|
pasm e streen oubliance	--|-⌫-⌫---|-|--------|
fe tdautel samblance	--⌫||----|--------|
quegetroué ouliure escrit	--|||-----|-|----|-----|
q uenostresireihesucrist	-⌫-|-----|---|----|----|
douceme re enno rer	----|--⌫-|----⌫--|
etd e chartresligl iseour er	-|-⌫|-------||---⌫--|---⌫-|
fis ten i celuitensmei smes	---⌫|-|-⌫----|---|---⌫---|
deu a nt uos deismes	---⌫-⌫-|--|------|
eniceltensen	-|---|---|-|
cede taire	-|--⌫----|
ci stfezqui p as	--⌫-|--|--|-⌫-|
aupuep le de	-|----⌫-|-|
peuiersauint	------|----|
unch atelquitro ismeinsdeuint	-|--⌫---|--|---⌫-|----|-|---|
leuesestd echart res loingtie ns	----|--|-⌫|-----⌫--|--------⌫-|
etesten lesu esc hed	-|--|-||---⌫---⌫-||
a lesue squede sondemai ne	||----⌫---|-|--|-----⌫-|
dece leumeeismesdemoine	-|-|--|-------|------|
toteslesgensetcl erc	----|--|---|-|--⌫--|
si commeou	-|----|-|
liuretroué l ei	----|-----||-|
chartres sont espris	-------|---|-----|
de bonneseuuresfer e enpris	-|-----|-----|---⌫|-----|
a leur des pensa	|---|---⌫---||
leur effo rz	---|----⌫-|
uncharquifu et granz	-|---|--|-|-|----|
f irentfeire etourerfo rm e nt	-⌫----|----|-|----|--⌫--⌫-⌫-|
etlecharger entd efroment	-|-|-------⌫--|-⌫|------|
qu a lueurede	-|||----|-|
chartresmener	-------|----|
leu oloie nte teuspenner	-|-⌫-----⌫-|-⌫|--|-----|
ettrauaillerentel uaage	-|---------|-|--|----|
leurpelerina ge	---|--------⌫-|
au char tre ire tuits atelle rent	-|---|---⌫--|---||------⌫---|
tantletreit ren t etl e	---|-|-----⌫---⌫|-|-⌫|
etleuruoiea ior neet indrent	-|---|---||---⌫--|-⌫------|
quoleur char	-||---|---|
presdou puysatuindrent	---|--|-----|-------|
c ildou pu ysat grantetmenu	-⌫-|--|--⌫---|----|-|---|
homme set fames	-----⌫|-|----|
genu re et	----⌫-|-|
l a uilleho rs	-⌫|----|--⌫-|
sitout com les	-|---|--|--|
pelerinsuire nt	-------|----⌫-|
et al encontreleuralerent	-|||-------|---|------|
caru olen tiers les	--|-⌫----⌫----|--|
es ga rderen t	--⌫--⌫------⌫|
laslesu irent	--|--|-⌫----|
ettrauailliez	-|----------|
sileurdistr entcar nosbailliez	-|---|-----⌫--|--|--|-------|
c escolliers s iuosaider on	-⌫-|-------|-⌫|--|-----⌫-|
etpor uosace	-|--|--||-|
c hartr e ir on	-⌫--|--⌫-⌫--⌫-|
dou ch aableuos	--|--⌫----|--|
d e chautet de	-⌫|----|-|-|
tra uaillsue z	---⌫----|---⌫|
siauezder epo usmetier	-|---|-|-⌫---⌫-|-----|
s ommesfra is	-⌫----|---⌫-|
sitrei ronbienetuolen tie rs	-|----⌫--|---|-|-----⌫---⌫-|
et alezendementiers	-|---|-----------|
un poiuo s	-|--|--⌫|
a leine sreprendre	-⌫-----⌫|--------|
si porrois	-|------|
en apresentendre	-|----|-------|
auostrebes oig neparfere	|-----|---⌫---⌫-|------|
