quipetitseme petitq u eult	--|----|---|----|-⌫-⌫---|
soffertepuisque	-------|------|
uo sestieztuitmonconf ort	--⌫|-----|---|--|----⌫--|
qu e geauoie	--⌫|-|----|
niauoi tplusdesmiens	||----⌫|---|--|----|
m au oit p lusdie x	|--⌫--|-⌫--|---⌫|
don tilme peustfereliee	---⌫|-|-|----|---|---|
liua llezen tentmout pet it	-|--⌫---|--⌫---|---|---⌫-|
sa mere lidi t	-|---|-|--⌫|
a m engierfe til m e do nez	|-⌫-----|--⌫|-|-⌫|--⌫--|
nesaidontuos	-|--|---|--|
mareso nnez	|-----⌫---|
mesmo utiroie uole ntier s	--|--⌫-|----|----⌫-----⌫|
fetlescheualiers	--|--|---------|
e t g irai c uiquil e n	-⌫||---|-⌫---|-|-⌫|
la meret an tcom illi	-|---|-⌫--⌫|--|-|-|
leretientetsi leseio rne	-|------|-|-|-|----⌫--|
sili aparei lle etat or ne	-|-|------⌫--|-|--⌫--⌫-|
dech eneua z grossechemise	-|--⌫-----⌫|-----|------|
etbraiesfe te s	-|-----|--⌫--⌫|
ala guis e	|-|----⌫|
oul enfe tcesenb le	-||-|--⌫|-|----⌫-|
chemiseetbraies	------|-|-----|
tote nsenble	--|-⌫------|
ets iot cot eet	-|-⌫|-|---⌫|-|
de c ui rdece rfclo senuiron	-|-⌫--⌫|-|--⌫-|---⌫|------|
einsisa mere l	----|-|---||
einsiyy iors l i demora	----|-|---|-⌫|-----|
que p lus n	--|-⌫--||
iot mestier lose nge	|-|------|----⌫--|
l orsasamere duelestrange	-⌫--||-|---|---|-------|
et aco leenplorant	-|---⌫-|-|------|
et ditoreai	-|--|--|-|
gedu elmoutg r ant	-|--⌫-|---|-⌫-⌫--|
biaufilz qua ntaler	---|---|---⌫-|---|
uosi roiza	--|-⌫---||
la court leroi	-|----|-|--|
si li diroizq uea rmes uosdoint	-|-|-----|-⌫-|-⌫---|--|----|
decontredit n i aur a p oi nt	-|--------|||---⌫|-⌫--⌫-|
lesuos dorrabi en lesai	--|--|----|--⌫-|-|--|
mesqu a ntuosuenr eza l essai	--|--⌫-⌫-|--|----⌫-|||----|
dar mespo rterc omme	|--⌫--|--⌫---|-⌫---|
c e que uosne feistesonques	-⌫|--|--|-|------|-----|
ne autr u i	-|----⌫-⌫|
neueistesfere	-|------|---|
commentensaurez achieftr ere	------|-|-----||----|--⌫--|
mauuesementuoirec e	----------|----|-⌫|
decen esuien nul	-|-|-⌫|--|-|--|
mesmerueillees t quantenaprent	--|--------|--⌫|----|-|-----|
ce quelen uoitetdit	-|--|--|---|-|--|
b iaxfilzzzse nsu osuo ilaprendre	-⌫--|---|-|--⌫-|-⌫-|--⌫-|-------|
ou iluosfet bon a	-|-|--|--|--||
plest arete nir	----||----⌫--|
granz biensu os	----|----|-⌫-|
en porrauenir	-|----|----|
cheualiers sereziusqua pou	---------|----|----||--|
f ilzsed iex pl estet ge	-⌫--|-|-⌫--|--⌫--|-|-|
trouu ez ne	-----⌫-|-|
pres neloin g	---|-|----⌫|
a ideaitbesoing	-⌫--|--|------|
nepuceledesconseillie	-|-----|------------|
lauostre aide apareillie	-|-----|---|---------|
ele uos en	--|--|-|
cartotes honors iaf ie rt	--|----|-----||--⌫--⌫-|
carquia d ame	--|--||-⌫--|
h onornep o rte	-⌫---|-|-⌫-⌫--|
lasoe hon or doit estremor te	-|--|---⌫-|---|----|---⌫-|
damesetp uc eles amez	----|-|-⌫--⌫---|---|
siserez partout honorez	-|----|--|---|------|
aucuneenpriez	-----|-|----|
gardez que ne lianuiez	-----|--|-|-|-----|
den ulerie nsqui lidesp lese	-|-⌫--|---⌫-|--|-|----⌫---|
d e puce leamontquilabese	-⌫|----⌫-||---|--|-|---|
messelebesier uos consent	--|-|-|-----|--|------|
ge l esorplusuosen	-|-⌫|------|--|-|
sele uolezless ierporm oi	-|-|----|----⌫--|--|-⌫-|
mess ele aannelensondoi	--||--||----|-|--|--|
sa ceinture aumosniere	-|-------|---------|
se par am ou rouparprier e	-|--|--⌫--⌫|-|--|-----⌫|
le uosd one	-|--|-⌫--|
moutmeniert bel	---||-|---|--|
que uosenportez	--|--|-------|
de lanel pre nd reu osdoingie	-||---|---⌫--⌫-|-⌫-|---|--|
etd elaumosnierecongie	-|-⌫||---------|-----|
biaxfilz encoruosd iraiel	---|---|----|--|-⌫---|-|
iaenc hemin neen hoste l	-|-|-⌫----|-|-|-----⌫|
nai ezlonguement c omp aignon	|--⌫-|---------|-⌫---⌫-----|
queuos nedemandez son	--|--|-|-------|--|
sonnonsac hiez	--|--|---⌫---|
p a rsomme	-⌫-⌫-----|
ca r par le nonconnoistenl	--⌫|--|-|--|-------|-||
biaxf ilza pr eudomeparlez	---|-⌫--||--⌫-----|-----|
a ueclespreudomes alez	-⌫--|--|--------|---|
pr eudonsne mesconseil lemi e	--⌫-----|-|----------⌫-|--⌫|
ceusquitienentlorcompaingnie	---|--|------|--|----------|
sor t oute	--|-⌫---|
r iensuosuoil	-⌫---|--|---|
qu asyglisesetaumostier	-|-|------|-|-|------|
ale z priernostre seignor	---⌫|----|-----|------|
quencestsiecleuosdoint honor	-|-|---|-----|--|----|----|
ets iu os i	-|-⌫|-⌫-||
doint conte ni r	----|-----⌫--⌫|
quabone finpuissiezuenir	-||---|--|-------|----|
merefetilq ue estyglise	---|--|-|-⌫-|--|-----|
zzl iexoulen fe t le seruise	-|-⌫--|-|--|--⌫|-|------|
cieletterre	---|-|----|
ethomes etfam esimi st	-|----|-|---⌫-||--⌫-|
et mos tier quef etcemeisme	-|---⌫---|--|-⌫-|-|-----|
beleet saintisme	---|-|--------|
decorssainteset	-|---|------|-|
si s acrifielen leco rs	||-⌫------|--|-|--⌫-|
ihesu cr istleprophete sainte	----|--⌫--|-|-------|-----|
q uei uiffirenthontemai nte	-⌫-|-⌫--|-----|----|---⌫--|
traizfuet iugiez	----|-|-|-----|
etsof friengoisse	-|---⌫--|-------|
p orle shomesetpor lesfames	-⌫-|--⌫|----|-|--|--|----|
enenferaloientl es ames	-|----|------|-⌫-|---|
quantelespartoi en tdes cors	----|---|------⌫--⌫|--|---|
etillese n	-|-|--|-⌫|
regitahors	-----|---|
cil fual estache liez	--|-|||------|---|
b atuz et puiscrucefie z	-⌫---|-|---|--------⌫|
etporta coronne sde sp ine s	-|----|-------⌫||-⌫--⌫---⌫|
p o roirmessesetma tines	-⌫-⌫|--|-----|-|--⌫----|
etpour ce lseig no rao rer	-|---|--⌫|----⌫--⌫|--⌫--|
uos lo geaumousti erale r	--|-|-|-|------⌫-|---⌫|
dontirai gemou tbonement	---|---|-|---⌫|-------|
faitliu alle z dorenauant	---|-|-⌫----⌫||-|-|----|
i aplu s fetdemore	||---⌫|--|-----|
congie prentet lamere plore	-----|----|-|-|---|----|
car sa sele lifuiam ise	--|-|---|-|-|-|-⌫--|
a la m aniere etala guise	|-|-⌫-----|-||-|----|
degalo isert	-|----⌫-|--|
apareilli ez	---------⌫-|
yyreueli nsauoitchauciez	-|------⌫-|----|-------|
etp artout laouilaloit	-|-⌫-|---|-|-|-|----|
y y iauelozporter soloit	-⌫|------|-----|-----|
yy iauelozenuostporter	-|------|-|---|-----|
mesyy len f ist la mereoster	--|-||-|-⌫--|-|---|----|
por c equetropsenb las tg a loi s	--|-⌫|--|---|----⌫---⌫|-⌫-⌫---⌫|
sieu st elefettouztrois	-|--⌫-|--|--|---|----|
moutuolentierssil peu st	---|---------||-|---⌫-|
un eriote ensa maindestre	--⌫|----|-|-|---|-----|
porta pours o n cheual	----|---|-⌫-⌫|-----|
amisplorantau sentier	|--|------|-|------|
lamerequimout chie rla uoit	-|---|--|---|----⌫||-⌫---|
etprie dieuquill auoit	-|---|---|-|-||----|
biaxfetildexuosamaint	---|--|-|--|--|-----|
ioieplusquilne me r emai n t	---|---|-|-|-|-|-⌫----⌫-⌫|
u os doint il o u qu e	-⌫-|----|-|-⌫|--⌫|
uos uoisiez	--|------|
qua ntliuallezfu	---⌫-|-|-----|-|
es loingn iez	--⌫------⌫--|
lege tdunepierre menue	-|--⌫||--|-----|----|
siseretorneetu oi t cheue	-|-|------|-|-⌫--⌫|----|
same reau chiefdupont ariere	-|--⌫-|-|----|-|---|-----|
et iutpasme eentelm aniere	-|--|-----⌫|-|--|-⌫-----|
coms elefusttrestotemor te	--||--|---|-------|---⌫-|
etcilcengle	-|--|-----|
lechaceeurparmilac r oupe	-|-------|----|-|-⌫-⌫---|
ne clochen eco upe	-|-----|-⌫|--⌫--|
ainzlenportagr anta le ure	---||------|--⌫--|-⌫--⌫--|
parmila gran tfor estosc ure	----|-|----⌫|---⌫--|---⌫--|
et cheuauchedeslematin	-|--------|--|-|----|
io ruintadeclin	--⌫|---||-----|
en laforest c elenuitiu t	-|-|-----|-⌫--|---|--⌫|
des ois elez	--|---⌫---|
s esueilleet	|-------|-|
saauc h euauchier	||-|-⌫-⌫--------|
tantqueiluit zz treftendu	------|-|--|-|---|----|
enmilapraerie bel e	---|-|------|---⌫|
lez les o rt dunefontenele	--|-|-⌫-⌫-||--|--------|
letref fugra nt et	-|---|-|---⌫-|-|
parmerue ill e	--|-----⌫---⌫|
l unepartie fuuermeille	|--|-----|-|--------|
autr e estoitd	----⌫|-----||
orfroisbandee	------|-----|
uneaigledoree	--|----|----|
enlai gl eferoitlisoleux	-||--⌫--⌫|-----|-|-----|
quimoutestoitcle r s e t uermeu x	--|---|-----|---⌫-⌫|-⌫|------⌫|
si reluisoittres t otlepre	-|--------|----⌫-⌫-|-|--|
delenluminementdutre	-||-----------|-|--|
e n torl etref	-⌫-⌫--|-⌫|---|
a lar oonde	|-|-⌫----|
q u iestoit	-⌫-⌫|-----|
beldumonde	--|-|----|
auoitrameesetfuillies	----|-----|-|-------|
e tlo ges ga leschesd recies	-⌫|--⌫--|--⌫------|-⌫-----|
liuallez uers	-|-----|---|
letref a la	-|---|-⌫-|
etdis tai nzquei l	-|---⌫|--⌫----|-⌫|
uenist l a	-----|-⌫|
diexor uoi geuost re meson	---|-|--|-|----⌫-|----|
or feroie g e	-|-----|-⌫|
se aore r neuosa loie	-|----⌫|-|--|-⌫---|
uoirdistm ameretoteuoie	---|---|-⌫|---|---|---|
quime distquemostierestoit	--|-|---|--|------|-----|
lapl us be l echose	-|--⌫-|--⌫-⌫|----|
simed istque genetrouuasse	-|-|-⌫--|--|-|-|--------|
mo stierquaorernialasse	--⌫----|-|----|||-----|
lecria teu r encui iecroi	-|----⌫---⌫|-|--|-|---|
celui irai prie r par foi	----|---|----⌫|--|--|
quilmedointennuita	-|-|-|----|-----||
ena imoutgra ntmestier	-|-⌫|---|---⌫-|------|
lorsuient au trefs eltreuueouert	---|----|-|---|-⌫||-----|----|
anmiletref zz li tcou uert	---|-|---|-|--⌫|---⌫---|
dunecotede pai le noi r	|--|---|-|---⌫-|---⌫|
ellittoute solegisoit	-|--|----|---|-----|
unedamaisoleendorm ie	--|--------|------⌫-|
mesloing es toitsa	--|----|--⌫---|-|
qualeesfur e ntces	-|----|---⌫-⌫-|--|
porc ue illirfloretes noueles	--|-⌫--⌫----|-------|------|
reuenirionchier	------|-------|
sicommeelessoloient	-|----|---|-------|
quantliu all e z el	----|-|-⌫---⌫-⌫|-|
tref entra	---|----|
sit ost le porta	-|-⌫--|-|----|
quel a d amoisele l oi	--|-⌫|-⌫-------||-|
sisesueillaettres sailli	-||-------|-|----⌫-----|
etli uallezqui nicesfu	-|-|-----|--|----|-|
dist pucele	---|-----|
geuos salu	-|--|---|
sicom mam erelem	-|--|-|-⌫--|-||
mameremenseing naet dist	-|---||-------⌫-|-|---|
quelespucelessal uasse	--|--|------|---⌫----|
enquelquelieuqueges	-|------|---|--||-|
depao ur trenble	-|---⌫-|------|
pou rle ualletqui	---⌫|-|-----|--|
fol li senble	--|-|-----|
tint pourfolepr ouuee	---|---|---|--⌫----|
asole trouu ee	|---|-----⌫-|
uassaux fis t eletientauoi e	------|---⌫|--|---|-|---⌫|
f u i quemes amis ne te uoie	-⌫-⌫|--|--|---|-|-|---|
ainzuosbeserepar monc hief	---|--|-----|--|--|-⌫---|
liu allezqu ique nsoitgrief	-|-⌫----|--⌫--|-⌫|---|----|
m erelemenseing na	-⌫--|-||-------⌫-|
deuoirne te bese re ia	-|---|-|-|----⌫-|-|
la pu celequege puisse	-|--⌫---|--|-|-----|
mes amis netetru isse	--|---|-|-|---⌫---|
cars iltetreuu etue smorz	--||-|-|-----⌫|-|-⌫|---|
liauoit lesbrazforz	-|----|--|---|---|
sile nbra ca	-||-⌫----⌫-|
mou tredement	---⌫|-------|
car nefereautremen t	--|-|---|--------⌫|
etmis tl uitouteestandue	-|---⌫|-⌫-|----|-------|
etcelesest moutdesfendue	-|---||--|---|--------|
etmen acie	-|---⌫---|
quenquelepot	-----|--|--|
m e s desfens semestier n	-⌫-⌫|-------⌫-|------||
car liu all ezen	--|-|-⌫---⌫-|-|
lab esaouuosi st ounon	-|-⌫--|-|----⌫-|-|--|
yyfo izsico m	-|--⌫-|-|--⌫|
licontesdit	-|-----|--|
tantcunanelensondoi uit	----|-|---|-|--|--|--|
aune esmeraud emo ut	|--|--------⌫|--⌫-|
en corfaitilmedistma mere	--⌫--|---|-|-|---|-|---|
qu en uostredoi	-|-|-----|--|
lanelpreisse	|---|------|
mesqueriensplusneuosfeisse	-----|----|---|-|--|-----|
orcalanelgel uoil auoir	-|-||---|-||---|----|
mon ane l n aurastu iauoir	--|---⌫||----|-|-|---|
fet lapuc elebienlesaches	--|-|---⌫--|---|-|-----|
sa force du doin em	||----|-|--|-⌫||
l iuallezpar lepoing la prent	-⌫|-----|--|-|----|-|----|
a forceles doizli estent	|----|--|---|-|-----|
sialaneldeson	-|||---|-|--|
eten sondoimeisme smis	-|-|--|--|------⌫|--|
et distpucelebien	-|---|-----|---|
irai ge bi enpaiez	---|-|--⌫-|----|
e t moutmeillor baisier uosfait	-⌫|---|------|------|--|---|
quechamberier equeil ait	--|----------⌫|--|-|--|
entou tela	-|---⌫-|-|
mes on ma mere	---⌫-|-|---|
carn auez pas lab ou cheamere	--||---|--|-|-⌫--⌫--|----|
etceleploree tdit	-|---|----|-⌫|--|
nenpo rter	|----⌫---|
pasmonanelet	--|--|-----|
cargenseroiemaubaillie	--||-|-----|---------|
et tu e nperdroies la uie	-|-|-⌫|--------|-|--|
tardastgete	------|-|-|
li uallez aso nc uer	-|-----||--⌫|-⌫--|
riensnuledecequeil ot	----|---|-|-|--|-|-|
m esdeceque	-⌫-|-|-|--|
moroit de fa in amalefin	-----|-|--⌫-||---|--|
zz bouceltrouaplei ndeuin	-|-----|----|----⌫|-|--|
sorz ztrosse lde ionc	--|-⌫|------⌫|-|---|
h enapd ar gentselonc	-⌫---||--⌫---|-----|
ettouaille moutblancheetnoue	-|-------|---|------|-|---|
i l lasoslieuedesoz treuue	-⌫|-|-------|----|-----|
yy pastezf e zdecheur iaxfre s	-|-----|-⌫-⌫|-|-----⌫--|---⌫|
nelienu ia pascistmes	-|-|---⌫-|--|---|--|
porlafain qu i	--|-|---|--⌫|
zzdespas te zdeuantluifroisse	-|--|---⌫--⌫|-----|--|------|
etmeniuepargranttale nt	-|-----|--|----|----⌫-|
e tuersael henapd argent	-⌫|----|-|----||-----|
d uuinquines toitmiel ez	-⌫|--|--||--⌫---|--|-⌫-|
si butsouuant	-|--|------|
etagranztrez	-||----|---|
e t d istpucelecespastez	-⌫|-⌫--|-----|--|-----|
ne seronthuiparmoi	-|-----|--|--|--|
uenezmeng iercari lso ntbon	----|----⌫--|--|-⌫|--⌫-|--|
chascunsauraassezduson	-------|---|----|-|--|
iremai ndra zz e ntier	|-----⌫---|-|-⌫----|
etc ele ploreende mentier	-|-⌫--|----|----⌫------|
q uequecil laprieetsemo n t	-⌫----|--|-|---|-|----⌫-⌫|
zztoutsolmotnel i r espon t	-|---|--|--|-|-⌫|-⌫-----⌫|
m enia ta ntcom luip lot	-⌫---|--⌫-|--|--|-⌫--|
ta ntqueassez enot	--⌫----|----|-|-|
etpristcongiet ot m aintenant	-|----|-----|-⌫-|-⌫--------|
sirestiuale	-|------|-|
etc ommandaadie u celi	-|-⌫------||---⌫|---|
cui sonsalupasnanbali	--|--|---|--||-----|
diexuossaut fet il bel e	---|--|---|--|-|---⌫|
etpor dieuneuos	-|--|---|-|--|
poist il m i e	----|-|-⌫-⌫|
deuos tre anel se ge lenport	-|---⌫--|---|-|-||-----|
que a incoisqueiemu iredemort	--|-⌫--------|-|--⌫--|-|---|
guer ed onneregie	----⌫--⌫-----|--|
ie menuoisa uo stre c ongi e	-||-|---||--⌫---|-⌫----⌫|
ploreet dit que ia	----|-|--|--|-|
ad ieune le c onman de ra	|-⌫--|-|-|-⌫-----⌫--⌫-|
queillicouuendrap orlu i	--|-|-|--------|-⌫-|--⌫|
tantsoff rirm alet tant anui	---|----⌫--|-⌫-|-|---|---|
qu et antneno t	--⌫|-⌫--||-|-⌫|
n ule chetiue	-⌫--|------|
neiapo r tantcommegeuiue	-|-|--⌫|---|----|-|---|
nen auraisec oursn eaie	|-|----|---⌫---|-⌫|--|
sisachesq uetum a s traie	-|-----|-⌫-|-||-⌫|----|
einsiremestcele	----|-----|---|
gueresdeloian t	-----|-------⌫|
sesamisquiduboisre uint	--|---|--|-|---|--⌫---|
del ualletquisau oietint	--|-----|--|-|-⌫--|---|
uitle s escl oz silenpesa	--|--⌫|----⌫-|-||-|---|
ploranttro uua	------|---⌫--|
e td ist da moiselegecroi	-⌫|-⌫--|--⌫------|-|---|
e nseingnesque ie u oi	-⌫--------|--|-|-⌫-|
quecheual lieraeuci	--|------⌫---||-|-|
me szz uall etgalois	--⌫|-|----⌫-|-----|
anieuse t uil ain	-----|-⌫|---⌫--|
qui a duuinassez	--||-|--|----|
t ant c omil uostet bonli	-⌫--|-⌫-|-|---|-|--|-|
etmen iayy deuozpastez	-|---⌫-|-|-|--|-----|
beuetmengi é	--|-|-----⌫-|
trest otsile uo si ssegie	-----⌫-|-|-|--⌫--⌫--|--|
iliapl u ssire	-|||--⌫-⌫|---|
monan elestenla querel le	--|--⌫-|--|-|-|------⌫-|
qui llem atolusilenporte	-|-⌫|-|||---|-||------|
i e uosis se miexestremorte	-⌫|-----⌫-|---|----|----|
quil l eneust	-|-||-|---|
einsiporte ́	----|-----⌫|
esuoscelui desc on f or té	-|--|----|----⌫--⌫-⌫--⌫--|
eta ngois s euxe nsoncor age	-|-⌫-----⌫-⌫--|-⌫|--|---⌫--|
parfoife tilcefu o utrage	--|--|--⌫|-|-|-|-⌫-----|
illenportesilet	-||------|-||-|
mesiecuitqu	--|-|---|-|
il iaitplusf et	-||--|---|-⌫-|
seplus iot	-|---||-|
nel cel e zia	-||---⌫-⌫|-|
sire fet el eil	---|--|--⌫|-|
b esa uoireie uosdi bien	-⌫--|----|-|--|-|---|
m escefumale oitgremi en	-⌫-|-|-|----⌫--|--|--⌫-|
eincoisuossistet	------|--|---|-|
siu osplot	-|-⌫-|---|
onquesnulc o ntreditniot	-----|--|-⌫-⌫------|||-|
fetcilquiialousieangois se	--|--|--|-------|------⌫-|
cuidi ez qu e ieneuosconoisse	-----⌫-|--⌫|-|-|--|-------|
s ifazcertesbienuos connois	-⌫|--|-----|---|--|------|
nefuisibornesnesi	-|--|-|-----|-|-|
queu ostrefausset eneu oie	--|-⌫----|-------⌫|-|-⌫--|
entreeestesen	-----|----|-|
e n tree estes en malepaine	-⌫-⌫---|----|-|---|----|
queianem eng eradauaine	--|-|-|-⌫---⌫--||-----|
uostre cheual neni ertsa inniez	-----|-----|-|||--|--⌫-----|
tantque ge en	------|-|-|
ser e uengiez	---⌫|------|
et l aouildesferrer a	-|-⌫|-|-|---------⌫|
ne re ferera	-|--⌫-----|
silmue rtuosme	|-|---⌫-|--|-|
s ui ureza pie	-⌫--⌫---||--|
ne iamesn e	-|----|-⌫|
serontchangié	-----|-------|
lidrap d ont	-|---|-⌫--|
u osest esuestue	-⌫-|---⌫-|-----|
ainzme suiur oizapie	---|-|-----⌫--||--|
tantq ue latesteen auraiprise	-----⌫-|-|----|-|----|----|
ian enauraiaut reiostise	-||-|----|---⌫-|------|
asistet si menia	----|-|-|----|
et liuall ez	-|-|----⌫-|
tant c heu aucha	---|-⌫---⌫----|
zzcharbonnier uenant	-|----------|-----|
zzasnedeuantluime nant	-|---|-----|--|--⌫---|
uilainsfetilenseign em oi	------|--|-|-------⌫|-⌫-|
mainesdeuant toi	-----|-----|--|
la plusdroiteuoi eacardueil	-|---|-----|---⌫||-------|
liroisartus qu e	-|---|----|--⌫|
ueoir u ueil	----|-⌫---|
ilf etc heualiers	-|-⌫-|-⌫--------|
ua ll ezfetileni cest sen	--⌫--⌫-|--|-|-|-⌫---|--|
a zz cha ste l so rmerasis	|-|---⌫---⌫|--⌫|--|---|
lir oisart usbiaxdo lzamis	-|-⌫--|---⌫-|---|--⌫-|---|
liee t dolanti tro uueras	--|-⌫|-----||---⌫-----|
ace l chastelse tui uas	|--⌫|------|-|-||--|
orm edirastu ia	-|-⌫|----|-|-|
de quoili rois aio ieetduel	-|---|-|---||--⌫-|-|---|
ie ltediraifetilmo utto st	-||-|----|--|-|--⌫-|--⌫-|
artus otoutesost	----||----||--|
sestau r oir ionconbat uz	|--|-|-⌫-|-⌫--|------⌫-|
li rois d es illesestuaincuz	-|---|-⌫-|----|--|------|
lir ois mou tliez	-|-⌫--|---⌫|---|
etde sescomp aingnon s i riez	-|-|--|----⌫-------⌫|-⌫---|
quiau ch astelse departirent	--|-|--⌫----|-|----------|
mieudres eioruir ent	------|-⌫---|---⌫--|
nil neset c omment	|-|-|--|-⌫-----|
l iroisartusdece duel a	-⌫|---|----|-|-|---||
liuall ez ne p rise	-|----⌫-|-|-⌫---|
zz d enier	-|-⌫----|
lesn ouuel esaucha rb onnier	--|-⌫-----⌫-|-|---⌫--⌫-----|
mai nt enants onchem i ntorna	---⌫--⌫----|-⌫-|----⌫-⌫|----|
celepartoui l limoustra	---|---|-|-⌫|-|------|
tantquesorme r uit lechastel	------|--|--⌫|--|-|------|
moutbienseant	---|---|----|
e tf ort etbe l	-⌫|-⌫--|-|--⌫|
etu oi t issirpa rmi la porte	-|-⌫--⌫|----|--⌫--|-|----|
zzcheualierarméquiporte	-|--------|----|--|----|
unecoupe dorensamain	--|----||-|-|-|---|
salancete noit	-|----|--⌫---|
et sonfrein	-|--|----|
etsones cu	-|--|--⌫-|
enla senestre	-|-|-------|
etlacoupe d oren	-|-|----||-|-|
et sesarm es bien li seoient	-|--|---⌫-|---|-|------|
quitotesuermeil lese st oi ent	--|----|-------⌫--|-⌫--⌫--⌫--|
uit lesarmesbeles	--|--|----|----|
quifresches furentetn ouelles	--|-------|-----|-|-⌫------|
sil iplorent	-|-⌫|------|
e tdistparfoi	-⌫|---|--|--|
ceusdemandera igeau roi	---|---------⌫|-|-|--|
si llesme don ne belm eni ert	|-⌫|--|-|---⌫-|--||-|-⌫--|
ait qu iau t resquiert	--|--⌫|--⌫-⌫--|-----|
at ant uers le chastel s	--⌫--|---|-|------||
car tartliest	--|---|-|--|
qu il ueigneacort	-|-|-----||---|
tantquepresducheualier uin t	------|---|-|--------|---⌫|
c heualie rs le reti nt	-⌫-------⌫-|-|----⌫-|
z zpet i t sili demanda	-⌫|---⌫-⌫|-|-|------|
ou e n u astuu allezd iua	-|-⌫|-⌫-|-|-⌫----|-⌫--|
geuueilfetilau roialer	-|----|--|-|-|--|---|
acortpo r armes dem an der	|---|--⌫|----|---⌫--⌫--|
uallet f e t	-----|-⌫-⌫|
ilt u feras b ien	-|-⌫|----|-⌫--|
orua uadonttost et tostreuie n	-|-|-|---|---|-|---|-----⌫|
et tantd irasau mau ues roi	-|---|-⌫---|-|---⌫--|--|
u elttenir	-⌫--|----|
saterrequeil	-|----|--|-|
o uilmenuoit	-⌫|-||-----|
qui lad esfende	--|-|-⌫------|
uersmoi quidiquee leestm oi e	---|--|--|-|--|-⌫-|--|-⌫--⌫|
eta cesenseignest encroi e	-||--|--------||-|----⌫|
seil a utrem ent ne te	-|-|-⌫-----⌫--|-|-|
que deuantluiprisorendroit	--|-----|--|---|--------|
c estecoupequegeenport	-⌫---|----|--|-|-----|
orquiereautreq uilirec ort	-|-----|----|-⌫-|-|---⌫--|
c a rcil niauot entendu	-⌫-⌫|--|||---|------|
i usqualacort	-⌫---||-|---|
n es t arestu	|--⌫|-----|
ouliro is etli cheualier	-|-|--⌫-|-|-|--------|
as sisau me ng ier	--⌫--|-|--⌫--⌫--|
l asalefupa rterr eaual	-⌫|---|-|--⌫|----⌫|---|
e t li uallez entre acheual	-⌫|-|-----|----||-----|
enlasalequimout fu lee	-|-|---|--|---|-|--|
etlongueetdemarbrepauee	-|-----|-|-|-----|----|
etli roisart usfu assis	-|-|---|---⌫-|-|----|
au chie fdune tabl e pen sis	-|----⌫||--|----⌫|---⌫--|
li cheualier menioient	-|--------|--------|
asautresparloient	-|-----|--------|
forslu i qui fu pensis etmuz	---|--⌫|--|-|-----|-|--|
liuall ezest auantuenuz	-|----⌫-|--|----|----|
nesetpaslequelils a lut	-|--|--|-|---|-|-⌫-⌫--|
car leroimiene	--|-|--|--|-|
ta ntque yonnet contreluiuint	--⌫----|-----|-----|--|---|
qui ens amain zzcouteltint	--|-|-⌫|---|-|-----|---|
mostremo ili q uiex est li rois	-----|--⌫|-|-⌫---|--|-|---|
etyonnetqui	-|-----|--|
fu corto is	-|-----⌫-|
l i dis tamis ueezle	-⌫|---⌫|---|---|-|
etci l tantost	-|--⌫|------|
u ers luiala	-⌫--|--|--|
selsa luasicom	-||--⌫--|-|--|
li roisp ensane li dist mot	-|---|-⌫---|-|-|---|--|
etcilau trefoiz lar esonne	-|--|--⌫--|---||--⌫-----|
lirois pensa etmot nesonne	-|---|----|-|--|-|----|
par foidistliuallezadonques	--|--|---|-|-----|-------|
cist roisne	---|---|-|
fi stcheual ier onques	--⌫-|------⌫--|-----|
quantlenpa rolenenpuet t rere	----|--|--⌫---||-|---|-⌫---|
comment porroitcheualierfere	------|------|--------|---|
tantost deret orne r satorne	------|-|---⌫----⌫||-----|
l echiefdesonchaceeur	-⌫|----|-|--|-------|
messi presdu roil otmené	--|-|---|-|--||-|----|
omme malsen é	---|--|---⌫-|
qued euant l u idesor	--|-⌫----|-⌫-⌫|----|
li abatis anz	-|----|-⌫--|
fere f ab le	---|-⌫--⌫-|
duchief son	-|----|--|
c hape l debonn et	-⌫----⌫|-|----⌫-|
liroist orneuersle ua llet	-|---|-⌫---|---|-|--⌫---|
sonchief quilauoitbes si é	--|----|-|-|----|---⌫--⌫-|
siato ut son	-||--⌫-|--|
pensseles sié	-----|---⌫---|
et d it biau frere	-|-⌫-|---|----|
bienueigniez	---|-------|
quemal netai ngniez	--|--|-|---⌫-----|
ceq uauos tresalum e toi	-|-⌫||---⌫--|---|-⌫|--|
d ir e respondre neuospoi	|--⌫|--------|-|--|--|
car lep ire	--|-|-⌫--|
anemiqueiaie	----|--||--|
qui plusme hetetplusm esma ie	--|---|-|--|-|---||----⌫-|
terrecontredite	----|---------|
e st foxquetouteq uite	-⌫-|--|--|----|-⌫---|
dist quei ll	---|--|-⌫||
aura uueilleounon	---|------|-|--|
liuermeuxcheualiera non	-|------|--------||--|
de lafores t dequinqueroi	-|-|-----⌫|-|---------|
etla roine	-|-|----|
deuant moi	-----|--|
e stoitciue n ue s eoi r	-⌫----|-|--⌫-⌫-|-⌫---⌫|
pour conforteretp orueoir	---|--------|-|-⌫-|----|
cez cheualiersqui so ntb lecié	--|---------|--|--⌫-|-⌫-----|
n e m e ust	-⌫||-⌫--|
g uerescorroucié	-⌫----|---------|
liche ualiers d e qua nqu ildist	-|---⌫------|-⌫|---⌫--|-|---|
