abraham mangierlesueoit	------|------|--|----|
tro pes toitdesapareilliés	---⌫|--⌫---|--------------|
ci l pechie scont redamrideu	--⌫|------⌫|----⌫-|-------|
ki lesdest r ui t	-|--|----⌫-⌫--⌫|
di aue et defeu	|-⌫--|-|-|--|
oralothsa pr oierefaite	-||---|-|--⌫----|----|
en uersdeukimul t	--⌫---|--|-|---⌫|
mais paor auoit	---|---|----|
mult doucementli distet	---|--------|-|---|-|
beas douzsire	---|---|---|
ki m efeis	-|-⌫|---|
etui e e tse nsen	-|--⌫|-⌫|--⌫-|-|
de liu remoi decestmart ire	--⌫---⌫-|--|-|---|----⌫--|
dontliautre	---|-|----|
sunt mort par	---|---|--|
se iemain g encele mon taingne	-|-|----⌫|-|---|---⌫------|
i aipaorke	|-|---|-|
maz nemi p raingne	--|-|||-⌫------|
une citep etite	--|---|-⌫----|
ie nequex g ensi habite	-|-|---|-⌫--||-----|
seuos pormoilaseur ez	-|--|--|--||-----⌫-|
iediraikebuens eurez	-|----|-|-----⌫----|
serai ta nt comia ur aiauiure	----|--⌫-|--||-⌫--⌫-||----|
d eusd ecestperi lmedeliure	-⌫--|-⌫|---|----⌫|-|------|
k e iai grant paor	-⌫||-|----|---|
de mon cors	-|--|---|
s eiei re decestmal e s t ors	-⌫||--⌫-|-|---|--|-⌫-⌫-⌫--|
nusne me poroit	--|-|-|-----|
desconfire	---------|
deu said iésmoibeas dou schiers sire	---⌫|---⌫---|--|---|---⌫|-----|---|
tosbienses tespuisans	--|----|--⌫--|------|
de us ne fupas	--⌫-|-|-|--|
mesc onissans	----⌫-------|
m aisamultboenportlar iua	-⌫--||---|---|---||--⌫--|
qui l l idist to	-|-⌫|-⌫|---|-|
naurasga rdeenliu	|----|--⌫--|-|--|
u tu soie s	|-|----⌫|
n en mo nsn enu aus n en	|-|--⌫-||-|-⌫--||-|
chansne n uoie	----||-⌫|---|
maisieneuoucesgensferir	---|-|-|--|--|---|----|
n amo rtdest ruire neperir	||--⌫-|----⌫----|-|----|
t antcomencele cite	-⌫--|--|-|---|---|
porc e uo uk etuten	--|-⌫|--⌫|-⌫|-||-|
bie ncuidoitestrelothsegurs	---⌫|------|----|---|-----|
kades l e nsiu oit	|---||-⌫----⌫--|
bonsag urs	---|--⌫--|
p or l ui celecit ezse go r	-⌫-|-⌫-|---|---⌫-|--⌫--⌫|
etestencor	-|--|----|
ens egor u intmul tagreu ez	-|-⌫---|-⌫--|---⌫|-----⌫-|
lothkantlisol ausfu leuez	---|---|-|---⌫--|-|----|
e t deusseuenga sansrespit	-⌫|---|-|----|---|-----|
soffr eetfeufistdel	-----⌫|-|--|---|--|
cielplouo ir	---|-----⌫-|
morten furent	---|-|-----|
par estouoir	--|-------|
c ilkiescitezha bito ient	-⌫-|-|-|----|--⌫----⌫---|
enlors pechies	-|---|------|
sedelitoien t	-|---------⌫|
et tote lauerdeurs entor	-|---|-|-------|----|
aper te ten	----⌫|-⌫|-|
li soffresflaire mult	-|------|-----|---|
ki delc ie lau eclefeu plut	-|--|-⌫--⌫|--⌫-|-|--|---|
ge ns dest r uireetconfondre	--⌫-|----⌫-⌫---|-|--------|
pa r quedeusfistlescitez fondre	--⌫|--|---|---|--|----|-----|
lisoffr es esto rset	-|-----⌫-|--|-⌫-|-|
etlipe chies et u is	-|-|--⌫----|-|-⌫-|
contred eu etcontreson	-----|-⌫-|-|-----|--|
biens auezsilestuoi rs u non	---|-⌫---||-|--|---⌫-||--|
abrahamuin tui llaissa	------|---⌫||-⌫|-----|
da mred eu qu	--⌫----⌫-|-|
alui s a baissa	|--||-⌫-----|
liuu il de fendoit	--||-|--⌫------|
c easd e sodomela endroit	-⌫--|-⌫|-----|-|------|
uitpar un matinl es flammesces	--|--|-|----|-⌫-|---------|
horibleset seches	-------|-|-----|
sicomd u nefuman tf ornaise	-|--||-⌫-|-----⌫|-⌫------|
a braham n	-⌫-----||
erep a saaise	--|-⌫-⌫||---|
multbienque deu sse	---|---|--|---⌫|-|
delamauaise gent estrange	-|-|------|---|-------|
de quilauoi ttantfortproi e ́	-|-|-|----⌫|---|---|----⌫-⌫|
tuitsunt m orte tars etnoié	---|---|-⌫--|-⌫|--|-|----|
ab rahamrecordez	--⌫----|-------|
u ses cuerss	|--|----||
e stoit acordez	-⌫----|------|
luietasalignie	--|-||-|-----|
kitantp ar fubien	-|---|-⌫-|-|---|
al ingn ie	--⌫----⌫-|
lothconduistet asseura	---|-------|-|------|
b o r funez	-⌫-⌫|-|--|
cuidamrideus	--|--------|
mul tagrant ioie	---⌫||----|---|
etgra ntdeduit	-|---⌫-|-----|
quant lothu itlescitezfon dues	----|---|-⌫-|--|----|---⌫---|
etd estruiteset confund ues	-|-⌫--------|-|-------⌫--|
ettotkankenuiront a uoit	-|--|---|-------|-⌫---|
paorotde coquil sauoit	---|-|-|-|-|-|-----|
gardeleure	----||---|
segor r e fondeuildeme ure	----|-⌫-⌫----||-|----⌫--|
fors senistgarni sd euiande	---||-|--|-----⌫|-⌫|-----|
dammr ideurequier tetdemande	-----⌫---|-------⌫|-|------|
k illo gar antisseetco nduie	|-|-|---⌫------|-|--⌫----|
korne uo it aquoisededu ie	|-|-|--⌫-||---|-|----⌫-|
na queyyf il lesseulemen t	||--|-|-⌫--⌫--|--------⌫|
moine deus coment	----|---|-----|
por ra ilen si garentir	---⌫-|-|--⌫-|-------|
neuosquieriadeco	-|--|----|-|-|-|
cel to rment	--|--⌫----|
s espooroit forment	|--------|------|
guiseestl a choseale e	----|--|-⌫|----|---⌫|
etloth parmont et parual ee	-|---|--|---|-|--|---⌫-|
senfuit et	|-|---|-|
ses fil lesande us	--|---⌫--|----⌫-|
multfudolanset uergondeu s	---|-|-----|-|---------⌫|
totle mon tdespit e t andosse	--|-|---⌫|-----|-⌫|------|
rep ostse sunten unefosse	---⌫--|-|---|-|--|----|
bi en quident	--⌫-|------|
quenusn e nremain gne	--|--||-⌫|------⌫--|
elsieclema is co mentquilpraingne	-|-----|--⌫-|--⌫-----|-|-------|
lesfillesalperegesir	--|-----|-|---|----|
uoloientensilestuet gehir	-------|---||-----|----|
co mmentlain n ee alame neur	--⌫----||---⌫-⌫-||-|--⌫---|
distsuersedeusme doinst honeur	---|---|-|---|-|-----|-----|
kantde celm al gariessommes	---|-|--|-⌫-|-----|-----|
lisiecles est pe rdusde shomes	-|------|--|--⌫---|--⌫|----|
etd esf e mme sautres iment	-|-⌫-|-⌫-⌫---⌫|------⌫----|
deu se naprissonuenge me nt	---⌫|-⌫||---|--|-----⌫--⌫-|
ni al ai ssiés	|||-⌫--⌫-----|
maisquenos	---|--|--|
p arp lainsne p ar monsne parbois	-⌫-|-⌫----|-|-⌫-|---|-|--|---|
tantco mdeusplaist nosuiuerons	---|--⌫|---|-----|--|-------|
anui t nostre	----⌫|-----|
pereeni urons	---|---⌫----|
multestgransmest iersqu	---|--|----|----⌫---|-|
et lasemencesoit re p ri se	-|-|------|---|--⌫-⌫--⌫-|
delpueple kiorest faillis	--|-----|-|-|--|------|
orensoit anu it	-|-|---|---⌫-|
uenra cestes emence	----|----|-⌫-----|
anosrecommence	|--|---------|
alainznee iut totauant	||------|--|--|----|
l i pe reki s en uite n grant	-⌫|--⌫-|-||-|--|-⌫-⌫----|
par liurescequenlui	--||------|-|-|--|
qu a tresens n e	-|-⌫--|---|-⌫|
s iaresto it	||------⌫-|
puisapr esiuta	---|---⌫-|--||
la mainne e	-|------⌫|
a ce futlachoseam enee	|-|--|-|----|--⌫---|
k eca scun edelesc onchiu t	-⌫|--⌫----⌫||---|-⌫------⌫|
onqueslothne sapa rchiut	-----|---|-||---⌫-----|
nalcouchier n	|-|-------||
a lm atinleueir	-⌫|-⌫---|-----|
pot o nbla smee sleueir	--|-⌫|---⌫--|-⌫------|
desonpere ot	-|--|---|-|
c ascuneun fil	-⌫-----|-|--|
do ler eus e xil	--⌫---⌫--|-⌫--|
necuidiés pa squeieuosgab	-|-------|--⌫|--|-|--|--|
qu e li ai nne s ot	--⌫|-|--⌫---⌫|-|
moabainsilo d is tla	---|----|-|-⌫--⌫|-|
por cequil estfiusde	--|-|-|-|--|---|-|
pe reotla damoi selle	--⌫-|-|-|-----⌫----|
le nfant por cem oabl a pelle	|-⌫----|--|-|-⌫--||-⌫----|
l imoabita in	-⌫|-------⌫-|
de lui sunt	-|--|---|
lapire gens detotle	-|---|---|-|--|-|
maisl autrecortoiseme ntnome	---||----|----------⌫-|---|
lomainneq uelle ot delp rodome	-|-----|-⌫|---|-|--|-⌫-----|
amon etc est no ns desa	---|-||--|--⌫-|-|-|
m ultl entrepr etabel	-⌫--||-------⌫--|--|
a monitainuie nen td elui	-⌫-------|---⌫---⌫|-⌫|--|
k isuntdes lorsdusqu aliord u i	-⌫|---|--|---|----|-|--||-⌫|
ab rah am l ip reusl i parfi s	--⌫---⌫-|-⌫|-⌫---|-⌫|-----⌫|
kentosbiens	|-|--|----|
estseurset fis	--|----|-|--|
manoitentrecadesetsur	-----|----|----|-|--|
multlo troua deus netetp ur	---|-|----|---|--|-|-⌫-|
dikise muetdikise n	|--|-|---||--||-⌫|
ailor suuet	-----⌫|---|
fairesonatrait	----|--|-----|
sa femmeetsa	-|----|-|-|
mainieen mainne	-----|-|-----|
eni era ris d	-|-⌫---⌫--||
aleir s epainne	----|-⌫|-----|
n on pas maribienlec eloit	-⌫-|--|---|---|-|-⌫----|
quatre foie lauoit fait	-|---|---||----|---|
si neltenoit	-|-||-----|
pasamesfait	--||------|
en ierarisensontue nu	-|------|-|---|--⌫-|
sauezqueloresta uenu	----|--|--|--|-⌫---|
li roisabimelechles ot	-|---|--------|-|-⌫-|
totmaint enant kil onques pot	--|-----⌫----||-|-----|--|
quan t deasaoi lan ou elle	----⌫||--||-|-|-⌫--⌫---|
cuerslire nouell e	----|-|--⌫------⌫|
kant iluits arre deua nts oi	---|-|--|-⌫---|----⌫-|-⌫-|
ornesepotplustenirquo i	-|-|-|--|---|----|---⌫|
maisto dr oiten celeuen ue	---|-|--⌫--|-|---|---⌫-|
s a forceretenue	-⌫|----|------|
mult eirtbelleen	---|---|----|-|
u iseten boche	-⌫-|-|-|----|
ne pe ns e qu e lleai t	-|--⌫--⌫|-|-⌫--|--⌫|
nulreproche	--|-------|
lirois k iquide estregaris	-|---|-⌫|----|----|----|
ne quab r ahamso itses m aris	-|-|--⌫-⌫---|--⌫-|--|-⌫---|
silo seust por nule	-|-|----|--|---|
nulmauaisengien	--|-----|-----|
beldel it encuidoitauoi r	--|---⌫-|-|------|----⌫|
cantdam rideusl ifistsauoir	---|---⌫-----|-⌫|---|-----|
queporrienaline tochast	--|--|---||-|-|------|
maln iaprocast	--|||-------|
deusuuetquellesoitsaue etsainne	---|---|-|---|---|---|-|-----|
etqu abraham soit f ors	-|-|------|---|-⌫--|
fuditdepardeu	-|--|-|--|--|
l etenoit mie ageu	-⌫|-----|--||--|
couient adeliure	------||------|
lafemm esiluuet	-|----⌫||-|---|
se ursuiure	--⌫--|----|
qu e tropauoitm a le s ploitié	--⌫|---|----|-⌫-⌫|-⌫-⌫-------|
kantparenuie et	---|--|----|-|
tol oit lafemmeasonm ari	---⌫--|-|----||--|-⌫--|
o r se tenr aia por gari	-⌫|-|----⌫|-|--|---|
ab rahamca nti ll eraura	--⌫----|--⌫-|-⌫|-⌫|----|
iamauaisgreine l	-|-----|---|-||
t antost qu elleli	-⌫------⌫-|---|-|
iertrendu e	---|-----⌫|
el le lifust mu lt	--⌫-|-|---|--⌫-|
chier uendue	----|-----|
s a bime lechne li rendist	|-⌫----⌫---|-|-|------|
mais ilso tbienque	---|-|--⌫|---|--|
deuslen dist	---||-|---|
et multliuientag rantmerueille	-|---|-|----||-⌫---|--------|
del bienrespondres	--|---|--------||
a p areille	-⌫-⌫------|
que trop est oitmesconissan s	--|---|---⌫--|-----------⌫|
quilestoitsi puis sans	-|-|-----|-|----⌫---|
siquidoitborseauoirtr ouee	-|------|----|----|--⌫---|
kantlachose	---|-|----|
fuesprouee	-|-------|
de de usote t paor et dote	-|--⌫||-|-⌫|---|-|---|
selidist tote	-|-|---|---|
sire ienesou cui	---|-|-|--|--|
kantiepromier ement	---|-|-------⌫----|
por s agrantbeatelencoui	--|-⌫|----|----||-----|
seie riende l maris e usse	-|-|---|--⌫|---|-⌫-⌫---|
iacontreli nem	-|-----|-|-||
m ai s ildist quesas ueres toit	-⌫--⌫|-|---|--|-|-⌫--|--⌫---|
nedep lu sne s iarestoi t	-|-|-⌫--⌫|-|||-------⌫|
ensi futol ueetra uie	---|-|---⌫-|-|--⌫--|
beass iredeusgardezma	---|-⌫--|---|-----|-|
estgr ansuos tr e	--|--⌫--|---⌫--⌫|
puiss ance	-----⌫---|
ce fisieparmesconnissa nce	-|--|-|--|-----------⌫--|
deus li d ist plusne	---|-|-⌫--|---|-|
m ais ren latostieltecommant	-⌫--|--|-|---|-||-|------|
a son espeus	|--|-----|
lo rsse rontambeduigari	--⌫-|--⌫---|------|---|
sel espeuse	-||------|
ra sonsingno r	-|--|------⌫|
et liespeus	-|-|-----|
liparhonor	-|--|----|
q u etropestoitgran s limesfais	-⌫-⌫|---|-----|----⌫|-|------|
mais or iertgarisetrefais	---|-|---|----|-|-----|
maintenantkilr aura sa f emme	----------|-|-⌫---|-|-⌫---|
or lirenuoiés t ost	-|-|--------|-⌫--|
etsilidiabonef oi	-|-|-|-||---|-⌫-|
ki lpritp or	|-⌫|---|-⌫-|
tauie et portoi	-|--|-|--|--|
abimelech afa it	--------||--⌫-|
ses genscui kil de ustgreueir	--|---|---⌫|-|--⌫--|------|
abrah amplustost quilpotmande	-----⌫-|---|---|-|-|--|----|
s a femm ea rendrelicommande	-⌫|----⌫||-----|-|-------|
dontiles toitmult	---|-|--⌫---|---|
am i s fait il m ul tasm es pris	--⌫-⌫|---|-|-⌫--⌫|-|-⌫--⌫---|
qu epartoi su i	--⌫|--|--|--⌫|
tropau illiés	---|--⌫------|
ettormentez ettrauilliés	-|--------|-|----------|
mult m a sf ait enuers to imespren dre	---||-⌫|-⌫--|-----|--⌫|-------⌫--|
nemef eistudon t entendre	-|-|-⌫--|-|---⌫|-------|
detafemmequ	-|-|----|-|
ell e iert tasue r	---⌫|---|-|---⌫|
ie nelaraui sseanulfuer	-|-|-|----⌫--||--|---|
neiauerslinemesm euss e	-|-|---|-|-||---⌫----⌫|
s ensicomilest lo seusse	|---|--|-|--|-|-----|
abraha mlirespontmulttost	------⌫|-|------|---|---|
onquesmencongeniapost	-----|-------|||----|
sireiene cuidoie	---|-|-|------|
q ueciendroitencesttr esp as	-⌫-|-|------|-|---|--⌫---⌫-|
t eilmaniere d egente ust	-⌫--|------|-⌫|---|-⌫--|
kideuamastnedeucreust	-|--|----|-|--|-----|
sede moioc irre ou peieur	-|-|--|--⌫---|-|-----|
ne men tiengnenusapeieur	-||-|------|--||-----|
deusmenamult biengarenti	---||-||---|---|------|
necuicauoirde rienme nt i	-|---|----|-|---|--⌫--⌫|
se iediquema suerestoit	-|-|-|--|-|---|-----|
elle l estetestre le do it	---||--|-|----|-|--⌫-|
engendrédunp ere	--------||-|-⌫--|
som mes pasdunemere	---⌫--|--||--|---|
bienle uos	---|-|--|
puis diresensfaille	---|---|---|-----|
li rois grantpe cuneli	-|---|----|--⌫---|-|
b rebisoret	-⌫----|-|-|
etselidis tmultbelement	-|-|-|---⌫|---|-------|
mate rre e sta sseb e lle e t gente	-|--⌫--|-⌫-|-⌫--|-⌫-⌫--|-⌫|----|
abrahamsetoi	------|-|--|
demeureset eplaistet	------|-|-⌫|-----|-|
iertbelmaiskilne te	---|--|----|-|-|-|
et be lla dit	-|--⌫|||--|
nesaiporb ienupo r	-|--|--|-⌫--||--⌫|
tonfrere ai donémildonie rs	--|----|-|----|--|-----⌫-|
dargentmult	|-----|---|
les dois a u oirchi er s	--|---|-⌫-⌫--|---⌫--⌫|
ne iapor nulereuerture	-|-|--|---|--------|
nel laissasse ken	-||--------||-|
couretu re	-------⌫-|
se rontt oiorsmais	--⌫---|-⌫----|---|
a tes iols	|--|---|
cid euroit faillirtesorgio ls	-|-⌫-----|------|--|-----⌫-|
porces doniers	--|--|------|
que iaidonez	--||-|----|
ia mais ne	--⌫---|-|
soita bando nez	---|-⌫-----⌫--|
t esm a risadire	-⌫-|-⌫-⌫--||---|
teilch ose	---|--⌫--|
nestmerueille selonl	|--|--------|-|--||
kedeusmenam ultfort chosei	-|---||-||-⌫--|---|-----|
sim entieng	-||-|----|
porm ainsalosé	--|-⌫---|-----|
en simueuent tenchon s etnoise	--⌫-|------|-------⌫|-|----|
etenqueilqueliuq uetuuoises	-|-|-------|--|-⌫-|-|-----|
ramenbre toique	-------|--|--|
tufusprise	-|--|----|
senese ras iamais	-|-|--⌫--|-----|
esystoires maitant	-|-------||-|---|
esc ritetnoté	---⌫--|-|----|
porqu abile mech	--|-|-----⌫---|
sare lesdo ni e rskildona	---|--|--⌫--⌫-⌫-||-|---|
asonfrer ep ar	|--|----⌫|-⌫-|
gerr e don	----⌫-⌫--|
multa exemplesen	---||-------|-|
c est d on	-⌫--|-⌫-|
desdeniers u otquel eachata st	--|------|-⌫-|-|--⌫|------⌫-|
guimplesiacene r espitast	-------|-|-|-|-⌫-------|
ensi l odistcem	---|-⌫|---|-||
sonchief etso n uis	--|----|-|--⌫|--|
siq ueianusnes	-|-⌫-|-|--|-||
porli neianeldeceust	--|-|-|-|-||------|
luidec euauoit	--|---⌫-|----|
ki del mari rien	-|--|---|---|
ensilefist par	---|-|---|--|
etceleparhumilitei	-|---|--|--------|
doitcourir	---|-----|
so nuis etsaface	--⌫|--|-|-|---|
iapuis n iertkiho nte lif ace	-|---||---|-|--⌫--|-|-⌫--|
sor lorchiesdoiuentmetre g uimples	--|--|----|------|----|-⌫------|
lesbuenes damesetlessimples	--|-----|----|-|--|------|
deuroie ntli i er	-------⌫-|--⌫-⌫-|
lorsn es poroit	---||-|-----|
nus espi ier	--|----⌫--|
parma uaistiede	--|--⌫------|-|
casc unepargrantliate	----⌫--|--|----|----|
u iuroitet preus et sagee t	-⌫-----|-|----|-|---|-⌫|
s e couroitd e saguimple	-⌫|------|-⌫|-|------|
por abime lechprie eteure	--|-----⌫---|---|-|---|
abrahamque	------|--|
a lap ro iere	|-|-⌫--⌫---|
k ilafaite	|-||----|
abymelechmult sen	--------|---||-|
d ecequ ede usuitla proiere	-⌫|-|--⌫|--⌫-|--|-|------|
delprodom epar	--|------⌫|--|
teilma nier e	---|--⌫----⌫|
liadeu s sa	-||---⌫|-|
maiso ngarie	-----⌫|----|
ki detosbiens estoitcarie	-|-|--|----|-----|----|
n otpaslon cte nsapres cesfai s	|-|--|---⌫|--⌫-|----|--|---⌫|
keieuosa idiset	-|-|--|-⌫|--|-|
isto ir edelgrant liure	----⌫--⌫|--|----|----|
dontli sens pl ais t mult aesc rire	---|-|---|--⌫---⌫|---||---⌫---|
qued eusot	--|-⌫--|-|
s areuisite e	-⌫--|------⌫|
to s bienss es toithab it ee	--⌫|----||--⌫---|---⌫--⌫-|
unfilotpreu	-|--|-|---|
estraisf udemultsainte gent	------|-⌫|-|---|-----|---|
fis a braham p ereia cob	--|-⌫-----|-⌫--|--⌫--|
cuil ianglesfist de lnerfclop	--|-⌫|-----|---|--⌫|---|---|
orestto libien s aco mplis	-|--|-|-|----⌫|---⌫----|
d abrah am to sest ra emplis	|-----⌫-|--⌫|--|--⌫-----|
degrantioieet de grantleece	-|----|---|-|-|----|----|
iamaisne puet auoirtristece	-----|-|---|----|-------|
queteiloir	--|---|--|
l iadeus tr emis	-⌫||---|--⌫---|
kitoi orsseran ostre	-|---⌫--|---|-⌫----|
etnostresireetno s tre	-|-----|---|-|--⌫-⌫--|
deusfist de sarenai stre	---|---|-|---|---⌫---|
grans ioie	----|---|
fude sa naisan ce	-|-|-|------⌫-|
orn enseraplus e nd ota nce	-||-|---|---|-⌫|-⌫---⌫--|
abr ahamnesaresa	---⌫---|-|---|-|
conquesue rsluinefu amere	|-----|--⌫-|--|-|-|----|
ainsi fist	---||---|
belle n orretur e	----|-⌫-------⌫|
et se nstac heet sensporreture	-|--⌫-|---⌫-|-|---|--------|
abrahamlefist ci rcumcir e	------|-|---|--⌫-------⌫|
enparchemin	-|--------|
n en cir e	|-|---⌫|
neporroitescrire anul	-|------|------||--|
n uslai oiequ otensoncuer	-⌫-|-|-⌫--|-|-|-|--|---|
abrah amsicum	-----⌫-|-|--|
ki laim e et en t o s	-||---⌫|-|-|-⌫-⌫|
bi en slaqui aut	--⌫--⌫||----⌫--|
cilenfesdr oital uismeio r	--|----|--⌫--|||----|--⌫|
fuc ircumcisplusde	-|-⌫-------|---|-|
nio tnedeusplusnendona	||-⌫|-|---|---||-|---|
mais atantles	---|----|--|
enluismeio rent endre	-||----|--⌫|---⌫----|
ci lki deluoi r	--⌫|-|--|---⌫|
ditne se muet	--|-|-|---|
se nsdesputisons et sensten ces	--⌫-|----------|-|---|---⌫--|
quensiletrueuen t	-|---|-|-------⌫|
es sentences	-|--------|
siuent ledroituoiage	-----|-|----|-----|
liyy iorsuntli yyeage	-|-|--|---|-|-|---|
estoire nos	------|--|
tant bienque nusnelen reprent	---|---|--|--|-||-|------|
porentendren omei rla uuel	--|-------|-⌫----⌫|-|---|
sineltienne	-|-||-----|
nusaorguel	--||-----|
bienlo seuentdetelsia	---|-|-----|-|---|||
puisco que deu slemon tcrea	---|-|--|---⌫|-|---⌫|---|
kilfistadaml omme promier	|-|---|---||---|------|
biensachi ésau ante t ar rier	---|-----⌫--|--⌫--|-⌫|--⌫---|
ensicomilest	---|--|-|--|
kelipro mi er s eagesfu	-|-|---⌫--⌫--⌫|----|-|
desadamend uca	--|---|---⌫-||
de tansgranzbi ensloé	-|---|----|--⌫--|---|
orsui a l eagesecont	-|--|||---|-----|
e nsic om ieluosdiet co nt	-⌫--|-⌫-|-||--|-|-|--⌫-|
par m ilageneal ogie	---⌫-⌫|-|------⌫---|
ie en uosn eme ntirai	-|-|--|-⌫|--⌫-----|
totensicomli	--|---|--|-|
nombresuait	------|---|
et l e sto ires le	-||-⌫---⌫---|-|
nosr atrait	--|-⌫-----|
le sec ont aagep oruoir	-|---⌫--|---|-⌫-|---|
deuez uo s en tendr eetsauoir	----|--⌫|--⌫-----⌫|-|-----|
desnoedusqu a abraham	--|--|----||------|
puisquel ais nessebalaam	------||---⌫----|-----|
pa rlaquantso r	--⌫--|----|--⌫|
li fu m ontez	-|-|-⌫----|
nefu nusro mansracontez	-|-|--|--⌫---|-------|
utanteu stparolesu oi r es	|---|--⌫-|------|-⌫--⌫-⌫-|
etp ar glosesetparystoire s	-|-⌫-|-----|-|--|-------⌫|
eageuosr ecort	---|--|-⌫----|
puis ce qua lbien direm acort	---|-|-|-⌫|---|---||----|
iedirai que bienmen souient	-|----|--|---||-|------|
totensi com ilu aetuien t	--|---|--|-|-⌫|-|----⌫|
de sabrahamnosdis t	--⌫|------|--|---⌫|
l at aille	-⌫|-⌫----|
entr osqu a moysense ns faille	----⌫---||-----|--⌫-|-----|
est cil tierzeagesuen us	--|--|----|----|---⌫-|
biene n fuli nombrestenus	---|-⌫|-|-|------|----|
lauomestantapris	|-----|---|----|
ke bien lo doitommetre enpris	-|---|-|---|-|----|-|---|
eageestd roisc onoi e	---|--|-⌫---||-|--⌫|
lesairecorde i r oie	-|--|-------⌫-⌫|--|
sicomiluadeuis enu is	-|--|-|-|-|--|-|-⌫-|
desmoysen dusqu a dauid	--|-----|----||----|
le b oenprophete	-|-⌫--|-------|
kisen s orgu eletsensde sroi	-|---⌫|----⌫-|-|---|--⌫---|
uesquilonc ten senboneui e	-----|---|---⌫|-|---|--⌫|
sensmaua istie et se ns enuie	---|----⌫----|-|--⌫-|----|
c es tc ilb ien la uons esproue i	|--⌫|-⌫-|-⌫--||-⌫---|-------⌫|
d istqu il	-⌫--|-|-|
homeentotb ienatala nté	---|-|--|-⌫--|-----⌫---|
lon c soncuerdes a uolente	---⌫|--|---|-|-⌫|------|
or resui a	-|----||
leagequin t	|---|----⌫|
ens i com ilala etuint	---⌫|--|-|--|-|---|
leuosdirai	-|--|----|
tos ensmentir	-|-⌫--|-----|
bienuos id euezassentir	---|--||-⌫---|-------|
e talnomb re	-⌫|-|----⌫-|
droit termine	----|------|
troncdusquenlaracine	----|----|-|-|-----|
uos diraile	--|----|-|
nomb re p ar droit	----⌫-|-⌫-|----|
liq u inseages cie ndroit	-|-⌫-⌫--|----|-|-⌫-----|
ier tmulthautementracontez	---⌫|---|--------|-------|
kebiendoit	-|---|---|
prismontez	---|-----|
desdaui dsensdilation	--|----⌫|---|-------|
dusquala t ransmigr ation	----||-|-⌫--------⌫----|
debaby lone	-|----⌫---|
quant iki fur entr achaté	----|--|---⌫--|-⌫------|
lif ili sraelpar treu	-|-⌫-|-⌫----|--|---|
kima int trespasorenttreu	-|--⌫--|------|----|---|
durset perill eus et	---|-|------⌫--|-|
etpa restezet par	-|--⌫|----|-|--|
ik ifurent	--⌫|-----|
escaitiué	---------|
etliestra ngee tli pri ué	-|-|-----⌫--|-⌫|-|---⌫--|
tantquedeus le sendeli ura	------|---|--⌫|-|----⌫--|
etc eas e t engrant do leur liura	-|-⌫--|-⌫|-|----|--⌫---|----|
les tinre ntlongement	--|-----⌫-|--------|
parlor orgueshardiement	--|--|-----|---------|
descidus qualeagesiste	----|---⌫-|||---|----|
nepuis ie dire nulmal siste	-|---|-|---|--|--|----|
iasebiennonadire	||-|---|--||---|
maintprod omepuetoneslire	----|----⌫--|---|-|-----|
encel ea geetenceltens	-|--|--⌫-|-|-|--|---|
eti e luos dirai sens defens	-|-⌫||--|----|---|-----|
sicomli maist relode scrist	-|--|-|-----⌫-|-|--⌫-----|
debab iloineai hesu	-|---⌫-----||-⌫---|
est ciseagesque ie nom	--|--|----|--|-|--|
kitoio rs iert degrant	-|----⌫-|---|-|----|
tantpa restbons	---|--⌫|--|---|
etdous etsades	-|---|-|----|
nus nests ienfers ne	--||--|-⌫|-----|-|
siacocroit quil	|||-|----|-|-|
n erespast	-⌫|------|
ains que decestsi ecl e	----⌫--|-|---|--⌫---⌫|
lo sepmeeage sauez uos	-|----|---|----|--|
ieluosdirai totaes tros	-||--|----|--||--⌫---|
ensicomil ua it ledirai	---|--|-|--⌫-|-|----|
men t irai	---⌫-⌫---|
cis eagessepmes est ho re	--|----|-----|--|--⌫-|
cilquei hesucris restore	--|--|-⌫---|---|------|
cest lieagesderepo us	|--|-|----|-|----⌫-|
si comn osracontesai nspous	-|--|-⌫-|------|---⌫-|---|
toslesbiens estru is	--|--|----|-----⌫-|
limorteuspechiesfude strui s	-|------|------|-|--⌫-----⌫|
cantihes ucrist r esusci ta	---|----⌫|----|-⌫------⌫-|
kidesonsanc nosrachata	-|-|--|---|--|------|
cil eagesde repous est	--|----|-|-----|--|
k imultnos mostreg r an t con quest	-⌫|---|--|-----|-⌫-⌫--⌫|---⌫----|
ettoceask i seloncdeuuont	-|-|---|-⌫|-----|--|---|
bi ens alorpooir f ont	--⌫--||--|----|-⌫--|
ki croient	-|------|
par deuocion	--|-------|
lasainte resur rection	-|-----|-----⌫------|
et lonc la c rea nce font	-|---|-|-⌫---⌫--|---|
garis kien teilt ens	----|-|-|---|-⌫--|
eten grantpaispuetu iure	-|-|----|---|---|-⌫---|
que ciseag esledeliure	--|--|---⌫-|-|------|
deg ran ttraua ile t de	-|-⌫---⌫|-----⌫-|-⌫|-|
grantpainne	----|-----|
puisque la creanceiest sa inne	------|-|------||--|--⌫---|
eagesuidarrien	---|--|------|
limescreantliarrien	-|--------|-|-----|
dec elhuisme ea gen	-|-⌫-|-----|--⌫-||
lor creanceestnoire	--|------|--|----|
kennulbienfaire	|-|--|---|----|
