sauoir doiuent	-----|------|
sired i s tioseph g ranzmerciz	---|-⌫-⌫-⌫|-----|-⌫---|-----|
ied em antle	-|-⌫--⌫--|-|
cor sd e ihesu	---⌫|-⌫|----|
ontatorte n crouizp endu	--||---|-⌫|-----|-⌫---|
pilat es moutsem erueil l a	-----⌫-|---|-|-⌫------⌫-⌫|
quant sipe tit	----|-|--⌫--|
dondemanda	--|------|
pilates ie	------|-|
etd edenz moncuerl e	-|-⌫----|--|---|-⌫|
queg reigneurchos e uo usi ssiez	--|-⌫-------|----⌫|--⌫---⌫----|
et certes queuous	-|-----|--|---|
le u ssiez	|-⌫-⌫----|
pour cequ eso n c orsdemandez	---|-|--⌫|--⌫|-⌫--|-------|
pouruossoudee s uouslarez	---|--|------⌫|---||---|
sire granz merciz enaie z	---|----|-----|-|---⌫|
commandezquil mesoitbailliez	--------|-|-|-|---|-------|
distpilat es deliuremen t	---|-----⌫-|----------⌫|
alez le penre isne lement	---|-|----|----⌫-----|
s ire unesgranz genze tforz sunt	-⌫--|---|----|---|-⌫|---|---|
biens ai penrenou	---|-⌫-|----||-|
me leir unt	-|----⌫--|
alezuistement	---|--------|
e tle prenez hard iement	-⌫|-|-----|----⌫-----|
dilequesioseph se to u rna	|------|-----|-|--⌫-⌫--|
l acrouiz s	-⌫|-----||
ih esuuitsi no t pi tie grant	--⌫--|--|-||-⌫|--⌫--|----|
quant si uilmentle	----|-|------|-|
uitpend ant	--|----⌫--|
de pitiecom menceaplourer	-|----|---⌫----||------|
gueites quil ui t ester	------|-|-|--⌫|----|
pilate smacest	------⌫|||---|
corsdonné	---|-----|
et simad i stet command é	-|-|||-⌫-⌫-|-|-------⌫-|
q ueielos te decestdesp it	-⌫-|-||--⌫-|-|---|----⌫-|
ensemblerespondire nttuit	-------|----------⌫-|---|
osterez carild istha	------|--|-|-⌫--|-|
quautierzi our resuscitera	-|-|----|-⌫--|----------|
iatantnesarasusciter	-|---|-|---|-------|
que lefer unsamort liurer	--|-|---⌫--||---|-----|
dist ioseph leissiez lemoste r	---|-----|-------|-||----⌫|
car i l le	--|-⌫|-|
maf ei tdeliurer	||-⌫--⌫|-------|
il resp ondent ainz tocirruns	-|----⌫-----|---||-------|
qu auanttrois ioursgarde ́l aru ns	-|----|----|----|-----⌫||---⌫-|
atantse stio sephdepartiz	----||-⌫-|--⌫---|-------|
pilate reuertiz	-----|-------|
co ntecommentauoient	--⌫--|------|------|
respondun ene lilei ssoien t	-------|-⌫|-|-|---⌫------⌫|
osterihesuc ristdel a	----|----|-⌫---|-|-⌫|
ainz cr ierentaune u ouiz	---|--⌫-----||--|-⌫---|
mien e losteroie	--|-⌫||-------|
o tnenhapasioie	-⌫||-|-|--|---|
ainzse cour ouca durement	---|-|----⌫---|-------|
un hom me enpresent	-|---⌫-|-|------|
quiauoitnon nychodemus	--|----|--|---------|
ilerra ntlaiu s	-|----⌫-|-|--⌫|
aueciosep hd arymathye	---|-----⌫||--------|
ostezihesu de sa	----|----|-|-|
ouliencr ime lontposé	-|-|----⌫--||--|----|
etleit ios ephtoutdeliu re ́	-||--|---⌫--|---|-----⌫--⌫|
lorspristpilatesle ueissel	---|----|------|-|------|
qua n tl ensouuin t s il e nfu	---⌫-⌫||-|------⌫|-⌫||-⌫|-|
ioseph ap elesi lidonne	-----|--⌫--|-|-|----|
mouta m iezcelhomme	---|-⌫-⌫--|--|----|
io se phrespont	--⌫--⌫-|------|
uoir ditauez	---|--|---|
etd ilecest	-||---|--|
tantosts eurez	------|-⌫----|
al acrou izerrant senala	|-⌫|----⌫-|-----||-|--|
onychodemus qu i l mena	|---------|-|-⌫|---|
pour cepilatesli auoit	---|-|------|-|----|
d onn équi losoine uou loit	-⌫---⌫-|-|-⌫||--|-|---⌫---|
riensretenir qui ihesufu st	----|------|--|----|--⌫-|
don t acusezestre peust	---⌫|-----|----|----|
ainsicomandui	----|--|----|
senal oient	|-|--⌫----|
pl ushisnelementquilpouoient	--⌫-|----------|-|-|-------|
nychodem ussise n entr a	--------⌫-|-||-⌫|----⌫|
chiesunfe ure que ilt r ouua	----|-|--⌫--|--|-|-⌫-⌫---|
tena illesp ristet	----⌫----|-⌫---|-|
qu ilectrouua mout l en fub el	-|---|-----|---||-|-|-⌫-|
etuinrentalacr ouizerran t	-|------||-|--⌫---|-----⌫|
quan tceuirentli chien puant	----⌫|-|-----|-|----|----|
sisesunt d ecele	-|-|---|-⌫|---|
car dece leures t oitmoutl eit	--|-|-|---|--⌫-⌫--|---|-⌫--|
nychodemus distuousauez	---------|---|---|---|
feitde ihesuqua nqueuoule z	---|-|----|---⌫---|-----⌫|
toutce queuou s	---|-|--|---⌫|
e ndeman da ste s	-⌫|-----⌫--⌫---⌫|
e tnos p rouuoz	-⌫|--|-⌫-----|
sirespilates	----|------|
cest homme donné	---|----|-----|
pourcequil l	---|-|-|-||
a uo itdemandé	-⌫--⌫-|-------|
il estmor zquebienleueez	-|--|---⌫|--|---|-|---|
apenresoufrirlideue z	|----|------|-|----⌫|
ilm edistquede cilostasse	-|-⌫|---|--|-|-||------|
et queie aiosephl e donnasse	-|--|-||-----|-⌫|-------|
adonc commencentacrier	----|---------||----|
queild euoitresusciter	--|-|-⌫----|---------|
etquil mienou baille roient	-|-|-|--||-|------⌫-----|
aiose ph n	|----⌫-||
a homm equ il	|----⌫|-|-|
nych odemus se co urouca	----⌫-----|-|--⌫-----|
etdist iapoureusn	-|---|-|---|--||
baillemei ntenant	-----|---⌫------|
maugrez trestouz leurnes	------|-------|---|--|
adoncseprenn entaleuer	----|-|-----⌫--||----|
a pi latesenuontclamer	|--⌫---||-|---|-----|
anduienha ut mu nterent	----|-|--⌫-|--⌫------|
eti hesud elacroui zosteren t	-|-⌫---|-⌫|-|-----⌫|-------⌫|
i osephentresesbrazle	-⌫----|----|--|---|-|
tou tsouef aterrelemist	---⌫|----||----|-|---|
l ecorsatournabelement	-⌫|---|------|-------|
etle lauamo utnes tement	-|-|---|--⌫-|---⌫-----|
endr ementierquille lauoit	----⌫---------|-|-|-----|
uistlecle r sancquidecour oit	---|-|---⌫|---|--|------⌫--|
plaies quili se innoient	-----|--|-|--⌫-------|
pour cequelauees estoient	---|-|--|-----|-------|
delapierrea doncli me mbra	-|-|-----|-⌫---|-|--⌫---|
quife ndiquan tlisan sraia	--|--⌫--|----⌫|-|---⌫|---|
de sencost e oufu feruz	-|--|----⌫|-|-|----|
adon cestilerrantcouruz	----⌫|--|-|-----|-----|
asonuei ss elet	|--|---⌫--⌫-|-|
etlaulisanscouloit la mis	-|-||-|---|------|||--|
quau i slifuquem ieu zseroient	-|--⌫-⌫|-|-|--|-⌫---⌫|-------|
les go utes qui	--|--⌫---|--|
dedenzcherroient	-----|---------|
liuoumestr ele speust	--|-|-----⌫|--⌫|----|
iatant penerne	-|---|----|-|
ason uei ssel	|--|---⌫---|
ha biento rchies	-|---|--⌫-----|
les p l aieset	--|-⌫-⌫---|-|
biennestoies	---|-------|
celesd esmeinsetdoucoste	----|-⌫-|----|-|--|----|
des piezenuir onet	--|---|-----⌫-|-|
sanstouzreceuz	---|---|-----|
etou ueisse l touz requeilluz	-|-|------⌫|---|---------|
ioseph lecorsenuolepa	-----|-|---|-------|
en unsydoinequacheta	-|-|------|-|-----|
et enun epierre lemist	-|-|--⌫|-----|-|---|
qu ilaso nwesauoites list	-|-||--⌫|--|----|--⌫---|
et dunepierre	-||--|-----|
l e co uuri	-⌫|--⌫---|
q uenous apel onstumbe c i	-⌫-|---|----⌫--|----|-⌫|
si sunt retourné	-|---|--------|
siontapilatepallé	-|--||-----|-----|
pylatescomma ndaetd ist	------|-----⌫--|-|-⌫--|
queon lem eist	--|-|-|-⌫---|
parnuit e t pariourle gueitassent	--|---|-⌫|--|---|-|----------|
quesi decip le nel emblassent	--|-|-----⌫-|-||---------|
cari hesusaeus	--|-⌫----||--|
dis tauoit	---⌫|----|
quautierziour resusciteroit	-|-|----|---|------------|
c il ontle urgueites assemblees	-⌫-|--|--⌫-|------|---------|
toutentourlesepul chre	---|-----|-|-----⌫---|
etiosephd ile c setourna	-|-----||---⌫|-|-----|
et ensameisonsen	-|-|-|-----||-|
li urai s diexen ce s entre feite s	-|----⌫|---|-|--⌫|-----⌫-----⌫|
co m m esir es	--⌫-⌫-⌫|---⌫-|
comme prop hetes	----|----⌫----|
enenferest	-|----|--|
errantalez	-----|---|
ses ami senha horsgitez	--|---⌫|-|-|---|----|
leurprogenie	---|-------|
quennemiseutensa bail l ie	-|------|--|-|-|----⌫-⌫-|
seinzsai ntes	----|---⌫---|
touteb oennegent	----|-⌫----|---|
boens ni leissaneent	----|||-----|----|
t ouzceusqu ila uoitrach etez	-⌫--|---|-|-|-⌫---|----⌫---|
ilfu amortl iurez	-|-||---|-⌫----|
qu antn ostressir esce feit eut	--⌫--|-⌫-----|---⌫-|-|---|--|
quanquilli	-----|-|-|
resuscita conquesn ou seurent	--------||-----||-|------|
liiuifneuooir noupe urent	-|---|-|----||-|--⌫----|
a marielam adaleinne	|----|-|-⌫--------|
s apparustcestchosecertainne	|-------||--|----|--------|
ap ostresasa	--⌫-----||-|
uirentapertement	-----|---------|
quanteutce	----|--|-|
faitlarenummee	---|-|-------|
toute la contree	----|-|------|
releuezest dem ort auie	------|--|-|-⌫--||--|
ih esus l i fiuzsaintemar i e	--⌫---|-⌫|---|-----|---⌫-⌫|
sideciplelunt tout	-|------||--|---|
et lunttres bien	-||--|---|---|
etont u eude	-|--|-⌫-|-|
qu ifurenttrespasse ́	--⌫|-----|---------⌫|
qu i o ihe suresusciterent	--⌫||---⌫-|------------|
et enl agloiredieualerent	-|-|-⌫|-----|---|------|
lesgard esen so ntdece u	--|----⌫-|-|--⌫-|----⌫|
que n corne	-|-⌫-⌫--|-|
lunt a pe rceu	|--|-⌫--⌫---|
quantliiuif i ceescouteren t	----|-|---|-⌫-|----------⌫|
enlasy n ag ogueassemblerent	-|-|--⌫-⌫--⌫---|-----------|
ets it inrentle urp arlement	-|-⌫|-⌫-----|--⌫-|-⌫-------|
carl eurchoseua	--|-⌫--|----|-|
etliunasa utresdisoien t	-|-|-|-|-⌫----|-------⌫|
que sece s t uoirsquedireooient	--|-||-⌫-⌫|----|--|---|-----|
et queilfust	-|--|-|---|
resuscitez	---------|
qu enco raroien t malassez	-|----⌫|------⌫|--|----|
etcil quilauoient	-|--|--||------|
disoientbien paruerite	-------|---|--|-----|
qu ilnestoi tpas	-|-||-----⌫|--|
la u o n l em ist	-||-⌫|-⌫|-⌫--|
ilplusgrantdespi st	-|---|----|-----⌫-|
carill u nt pa rioseph	--|-||-⌫-|--⌫|-----|
dec es unti ltoutespe rdu	-|-⌫|-⌫--|-⌫|---|----⌫--|
etsedam agesyhanus	-|-|---⌫---||-|--|
cailfeit et	||-|---|-|
n ychodemus	-⌫--------|
a donque stostpourpenséont	-⌫------⌫|---|---------|--|
leurmeistre s responderont	---|-------⌫|-----------|
seilleur est oit	-|-|---|---⌫--|
etc haucunssiest	-|-⌫------|||--|
c ommentilenpour runtrespondre	-⌫-----|-|-|----⌫---|--------|
qu anton le s	--⌫--|-|--⌫|
en uourasemundre	-|----|-------|
nychodemusdec roui zl	---------|-|-⌫----⌫||
eta io seph lecommenda	-||--⌫---|-|-------|
sildientn ous leuousleiss ames	|-|----|-⌫--|-|---|-----⌫---|
etpuiserrant	-|---|-----|
nousen alames	---|-|-----|
liiuifp ensent	-|---|-⌫-----|
qui lfer unt	-|-⌫|---⌫--|
ios ephny chodemu spenrunt	---⌫--|--⌫-------⌫|------|
sicoiement	-|-------|
e tpuisce ste ch osecherra	-⌫|---|--⌫--|--⌫--|-----|
et silnou s	-||-|---⌫|
welentacuser	-----|-----|
qu illenousu ueillentde mande r	-|-|-|---|-⌫-------|--⌫-----⌫|
tan tost com lespour runsseisir	---⌫---|--|--|----⌫---|-----|
co uuenra m orir	--⌫-----|-⌫---|
ch aucunsde nousrespondera	--⌫-----|-|---|---------|
queon aiosephl ebailla	--|-||-----|-⌫|-----|
seuous ioseph cinousrendez	-|---|-----|-|---|-----|
p ariosephihesura uer ez	-⌫-|-----|----|--⌫---⌫-|
c o nseil suntacordé	-⌫-⌫----|---|------|
i os nee ttout liba rbe ́	-⌫--⌫-|-⌫|---|-|--⌫---⌫|
cistconsa uz estdonnez	---|-----⌫-|--|-----|
carboensestetd egrantpourp e ns	--|----|--|-|-⌫|----|-----⌫-⌫-|
nyc hodemuseutunami	---⌫------|--|-|--|
ac econseilq ui len garni	|-⌫|------|-⌫-||-|----|
mandali queilsenfuist	----|-|--|-||-|----|
o ui lmorroit	-⌫|-⌫|------|
et li iuifse nuuntladroit	-|-|---||-⌫|---|-|----|
meisiliafuizs enest o it	---|-|-|---||-|---⌫-⌫-|
uoient q u eperdul unt	-----|-⌫-⌫|----||--|
en lameis oniosephsenuunt	-|-|----⌫-|-----||-|---|
mo uttristoiémoutiras cu	--⌫-|--------|---|----⌫-|
decequill o nt ainsi pe rd u	-|-|-|-||-⌫-|----|--⌫--⌫|
delos telioseph	-||--⌫--|-----|
brisi erent	-----⌫----|
silepristrent et	-|-|--------|-|
emmen erent	-----⌫----|
maisainc oislefi rent uestir	---|----⌫--|-|--⌫---|-----|
ca r ilestoit alezgesir	--⌫|-|-----|---|----|
d em andentliquantl	-⌫--⌫-----|-|----||
quei lau oit	--|-⌫|--⌫--|
feit deihesu	---|-|----|
i o sephrespont	-⌫-⌫---|------|
isnelement	---------|
quantiele umis ou	----|-||-⌫|--|-|
a uos cheuali ersle lessei	|--|-------⌫--|-|-----|
etenmame isonm	-|-|-|--⌫---||
diex quepuisn	---|--|---||
ne meispuis	-|---|---|
p allernen oi	-⌫----||-|-|
cilli dienttu l as	--|-|----|-||-|
n onaien moi e uerite	-⌫-|-|-|---⌫|-----|
iln estp as la oumisla uoies	-||--|-⌫-|-|-|--||-⌫----|
ens eignelen oustout esuo ies	---⌫----|-|-⌫--|----⌫-|--⌫--|
ie ne s ai ouests	-|-|-⌫-|-|--||
ouiel emis quatreiou rs ha	-|-|-⌫|--|-----|---⌫-|-|
et sel uipleistque pour luimuire	-|-|-⌫-|-----|--|---|--|----|
bie n sai ce neme	---⌫|--|-|-|-|
pue t riennu ir e	---⌫|---|--⌫--⌫|
chie sun ri che	----⌫|-|--⌫--|
hommelontmene ́	----||--|----⌫|
formentl untbatu	------||--|---|
leenzeut unetour roonde	----|--|--|---|-----|
kiha uteesto it	-|--⌫--|----⌫-|
e t moutparfunde	-⌫|---|-------|
reprennent etrebatent	---------|-|-------|
et toutplataterrel abatent	-|---|---||----||------|
on t enlaprison	--⌫|-|-|-----|
oupluspa rfontdelameison	-|---|--⌫----|-|-|-----|
qui e stoi t horr i bleet	--|-⌫----⌫|----⌫-⌫--|-|
to utefei t edepie rr edure	--⌫--|---⌫-⌫|-|---⌫--⌫|---|
formentlontfermeeetserree	------||--|-----|-|-----|
etpa r d essus bienseelee	-|--⌫|-⌫----|---|-----|
moutfupila tesirascuz	---|-|----⌫--|------|
qua nt setqueiosep hf u	---⌫-|--|--|-----⌫|-⌫|
etensencue r moutlenpesoi t	-|-|--|---⌫|---||-|-----⌫|
que n uls iboenami	--|-⌫-|-⌫|---|--|
ausie clef ubienadirez	-|---⌫--|-⌫|---|-----|
e tuileinne mentostelez	-⌫|--------⌫---|------|
me is diex noumist pas enoubli	--⌫-|---||-|---|--|-|----|
c u iontru eueaube soing ami	-⌫-⌫|-|---⌫--|-|--⌫----|--|
carce qu epour	--|-|--⌫|---|
lui sou fertha	--|---⌫---|-|
mouttresbienliguerredonna	---|---|---|-|----------|
aluidedenz laprisonuint	|--|-----|-|-----|---|
e tsonueisselportaqu i lt int	-⌫|--|------|----|-|-⌫|-⌫--|
quigrant clarteseurlui gita	--|----|-----|---|--|---|
chartreenlumina	------|-------|
e tquan t iosep hla clarte uist	-⌫|----⌫|-----⌫|-|-----|---|
ensoncuerm out sen	-|--|---|-⌫--||-|
ueisselliapor toit	------|-|----⌫---|
ousonsancrequeilluauoit	-|--|---|--------|----|
de lagrac edo useint	-|-|----⌫|--⌫|----|
pleinsquan t	-----|----⌫|
leueisselu ist	-|------|-⌫--|
etdi st siresdiext oupuissanz	-|--⌫-|----|---|-⌫---------|
dont uientceste cla rtezs igranz	---|----|----|---⌫---|-⌫|----|
i e croisi bie nuouset uonon	-⌫|---|-|---⌫|---|-|-|--|
qu e le neuientsedeuous non	-|-⌫-|-|----|-|-|---|--|
iosephorne t esmaie mi e	-----|-|-||-----|--⌫|
la uertud ieuhas enaie	-|----|-⌫--|--|-|--|
sach esqueletesauuera	----⌫-|-|--|-|------|
en paradis o ute me nra	-|------|-⌫|-|--⌫--|
iosephihesu cri stdemandoit	-----|----|---⌫-|--------|
quiilier t qui sibiausesto it	--|-|---⌫|--|-|----|----⌫-|
ieneu o uspu iss ire e sg arder	-|-|-⌫-⌫-|--⌫-|-⌫--|-⌫--⌫----|
neconnoistrenea uiser	-|---------|-|-⌫----|
iosephdist	-----|---|
di exentenamoi	--⌫-|----||--|
ceque i ete	-|--|-⌫|-|
direisi croi	----|-|---|
iesuil ifiuzd ie u qu enuoi er	-|--|-⌫|---|-⌫--⌫|-|-----⌫-|
u oustdiexen terrepoursauue r	-⌫---|---|-|----|---|-----⌫|
les pec h eoursde	--|---⌫-⌫----|-|
dampn emen t	-----⌫----⌫|
g rant infernal	-⌫---|-------|
ieuinsenter r e mortsoufrir	-|---|-|---⌫-⌫|---|------|
en la crouiz	-|-|-----|
fi ner et morir	--⌫--|-|----|
pourlueure men pere	---||----|--|---|
qu ad ansauoitfeite	-|--⌫--|----|----|
parl apommequeilmenia	--|-⌫|----|--|-|----|
queue safame	-|--|-|---|
par le c onse ildelennemi	--|-|-⌫----⌫-|-||-----|
tos t quedi eu crei	---⌫|--|--⌫-|---|
ap resce diexdeparadis	--⌫--|-|---|-|------|
le sgita e t	--⌫|---|-⌫|
lesf istchetis	--|-⌫--|-----|
p echie q ue feitauoient	-⌫----|-⌫-|---|------|
quant soncomm andementp ass oient	----|--|----⌫-------|-⌫---⌫----|
eue concut	--|-----|
enfanzp ort a	-----|-⌫---⌫|
etlietceque l eenfanta	-|-|-|-|-|-⌫-⌫|------|
uousttout li ennemi sau oir	----|---|-|------⌫|--⌫--|
e nsondem e inne en	-⌫|--|---⌫-⌫---|-|
eustta ntcom	---|--⌫-|--|
plustaupere	----|-|---|
qu elifiuzn aschide lamer e	--⌫|-|---|-⌫----|-|-|---⌫|
estoithons	-----|---|
etparf ame fure co u urez	-|--|-⌫--|-|--⌫--⌫-⌫---|
mo rtnou s	--⌫-|---⌫|
pou rchaca	---⌫-----|
fam e u ie nous res tora	---⌫|-⌫-|---|---⌫---|
parfame es tionsemprisonné	--|---|--⌫----|----------|
parfame fum esrecouuré	--|---|---⌫-|--------|
iose phorhasoi comme nt	----⌫-|-|--|-|-----⌫-|
lifiuz dieutou t	-|---|---|---⌫|
certeinne ment	---------⌫---|
uint e n t erree t sihas	---|-⌫|-⌫---|-⌫|-|--|
pour quoi de lauirgenasc hi	---|---|-|-|----|----⌫-|
po urc equenlacrouiz moreu st	--⌫-|-⌫|-|-|-|-----|-----⌫-|
etlipe ressueure reust	-|-|--⌫--||----|----|
pou rce suient e rreue nuz	---⌫|-|--|-|-⌫-⌫--|--⌫--|
etlisansde mon cors	-|-|---|-|--|---|
qu ienissipa rcincfoies	--⌫|-|---|--⌫|---|----|
assezi soufridehaschies	----||-----|-|-------|
commentsireio seph li	------|---|--⌫---|-|
doncihes us qui prist	---|----⌫-|--|----|
char enlauirgep reci e u se	---|-|-|----|-⌫----⌫-⌫-⌫-|
io seph fameet espeuse	--⌫---|---|-|------|
ci l queiudas trente	--⌫|--|----|-----|
u endi asiui spautonniers	-⌫---|-|---⌫|----------|
et quilfu sterentet	-|-|-|--⌫------|-|
enla crouizle	-|-|-----|-|
queien lasepouture mi s	--||-|-|--------|--⌫|
etde cui direntliiuis	-|-|--|-----|-|---|
quei auo ieuo c orsemblé	--||---⌫-|-|-⌫--|-----|
etdousepulchredestourné	-|--|--------|---------|
iesui ic iltoutura i em ent	-|--|--⌫-|---|---⌫-⌫--⌫--|
aurassauuement	----|--------|
endoutemie	-|----|--|
si auraspardurabl e	-|----|---------⌫|
siredistiose phie uous proi	---|---|----⌫-|-|---|---|
queuousai ez pitie dem oi	--|---|--⌫-|----|-|-⌫-|
pouruouss uiiecilequ es mis	---|---|-⌫-|-|------⌫-|--|
se reitantcon	--⌫--|---|--|
se uous d emoipitien auez	-|---|-⌫|--|----||---|
et decest liune me gite z	-|-|---|--|-|-|----⌫|
sire touz iour s uous eia m é	---|---|----⌫|---|-|-⌫-⌫-|
meisn eneipasauouspallé	---||-|-|--||---|-----|
et pou r ce	-|---⌫|-|
d irene l osoie	-⌫--|-||----|
certeinnem entqueie quidoie	----------⌫--|--|-|------|
queuousnemencreussiez	--|---|-||-|--------|
lacompeig n ie	-|-------⌫-⌫-|
estoie a ceus qui uous	-----||---|--|---|
etquiuostremortpourpalloient	-|--|-----|---|------------|
lorsdistdiex a uec	---|---|---|-⌫--|
eta uequesmesennem is	-|-⌫-----|--|-----⌫-|
estoiemeis	-----|---|
qu anta uenue	--⌫--|-⌫----|
e staucunedesconue nue	-⌫-|-----|--------⌫--|
ni ha mestiersenefiance	||-|------|---------|
o rleuo u s leireiensou fran ce	-⌫|-|--⌫-⌫|-----|-|---⌫----⌫-|
tuestoies mesb oensamis	-|------|--|-⌫---|---|
pouce estoiesoleiuis	--|-|------||-|---|
etbienseuque mes tier mar oies	-|---|--|--|---⌫---||--⌫---|
etau besoi ngqu emei deroies	-|-|-----⌫-|--⌫||--⌫------|
car diexmes pe res	--|---|--|--⌫--|
teutdonné	|--|-----|
lepouoiret	-|-----|-|
lau olente	-|-⌫-----|
qu epeus pilat eseruir	--⌫|---|-----⌫|-----|
quisileteuous tremerir	--|-|-|-|----⌫|------|
seruicetepa ia	------|-|--⌫-|
ence qu emen co rste donna	-|-|--⌫|--|--⌫-|-|----|
hay sirened itesmie	--|---|-|-⌫---|--|
quemie ns soiez n en ma bail lie	--|---⌫-|----||-|-|----⌫--|
sisuiiosephie	-|--|-----|-|
iesu iasbo ens li	-|--⌫|-|--⌫--|-|
boensun tm ien	---|---⌫|-⌫--|
seztuque t uas	--|-|--|-⌫|-|
ence q ue i edon neztefui	-|-|-⌫-|-⌫|---⌫--|-|--|
lauiepardurablearas	-|--|---------|---|
quantdecest sie clepartiras	----|-|---|---⌫--|-------|
nuld emes dec iplesomoi	--|-⌫|--|---⌫----||--|
n eiame nése z	|-|---⌫--|--⌫|
tupourquoi	-|---|---|
carnus neset la	--|--|-|--|-|
grant am our	----|--⌫--|
q ue iai a to ides	-⌫-||-||--⌫|--|
quetu i us dela crouizmostas	--|-|-⌫-|-|-|-----||----|
neueinnegloireeu nenha s	-|-----|-----|-||-|--⌫|
nus neconnoittencuerlo ial	--|-|------|--|---|--⌫--|
for stoiet dieu l esperital	---⌫|--|-|---||--------|
tu masaméceleemen t	-||-|---|--------⌫|
et ie toi toutcertainne ment	-|-|--|---|---------⌫---|
nostr e amourenapertuenra	-----⌫|----|-|----|----|
etchaucunssauoirla pourra	-|-------|-----|-|-----|
as m auue isiuis mescreanz	-|-⌫----⌫-|---|--------|
en ten pouo i rl enseigne aras	-|--|----⌫-⌫||-------|---|
dema mort etlaga rderas	-|-|---|-|-|--⌫-----|
etcil lauerunta	-|--||------||
a cuitula uoudrasdonner	|--|-|-|------|-----|
