ennonde dieule creat our	-|--|-|---|-|-----⌫--|
apainestrouu ast onnului	|-----|-----⌫--|-|----|
neplusapertde	-|---|----|-|
cleomadestantesploita	--------|---|-------|
enespa ignedroit la	-|----⌫---|----|-|
ou liroisses peresestoit	-|-|---|--|----|-----|
etquantmarcadigas leuoit	-|----|---------|-|---|
sauo irpouezgrantioieenot	----⌫-|----|----|---|-|-|
salué l ot	-----||-|
ai nsico mil apartenoi t	--⌫--|--⌫|-|---------⌫|
conmeci lquitout	----|--⌫|--|---|
biens auoit	---|-⌫----|
droituerssamere s	----|---|-|---||
lie ts es se reu rs salu a	-|-⌫|-⌫-|--⌫---⌫-|----⌫|
laendro itfubienlesachiez	-|-----⌫-|-|---|-|------|
souuen tacolez	------⌫|-----|
etba isiez	-|--⌫----|
mouttr e s grant	---|--⌫-⌫|----|
ioielifaisoient	---|-|--------|
ke n l onctan s ueu	|-⌫|-⌫--|---⌫|--|
nel auoient	-||------|
de s a uenuegrantioie orent	-|-⌫|----|----|---|----|
ci l dou pays qu ant	--⌫|--|---|--⌫--|
il le sorent	-|-|-----|
quant leur damoise l ont ueu	----|---|-------⌫|--|--|
sibel si gent si	-|--|-|---|-|
sicourtoisets i	-|-------|-|-⌫|
enf urent lie	-|-⌫----|--|
qua ntc l eomade ss on	---⌫-|-⌫-⌫------⌫|-⌫-|
deparlera sonpe r eadit	-|-----||--|--⌫-⌫||--|
quei l lefacecheualier	--|-⌫|-|---|--------|
deceneseueutpl ustargier	-|-|-|-|---|--⌫-|------|
quecheualiersn esoit sansfa ille	--|---------|-⌫|---|---|--⌫---|
carestre ueutal a	--|----|---||-⌫|
cenel airoitpour	-|-|-⌫-----|---|
toutlauoir	---||----|
conli porroitrame nteu oir	|-|-|------|----⌫----⌫--|
marcad i gas lidebatoit	------⌫-⌫--|-|-------|
pourceque tr o pioene sestoit	---|-|--|--⌫-⌫|-----⌫|-----|
etcildis t b ien certaine ment	-|--|---⌫|-⌫--|--------⌫---|
quecheualiers	--|---------|
o utreement	-⌫--------|
seradedens cele iournee	---|-----|---|------|
gr ant bataillee s tnonmee	--⌫--|-------|-⌫-⌫|-----|
etd istbienquilnesen	-|-⌫--|---|-|-|-||-|
pou rplain	---⌫|----|
ual do rs onlid onnoit	--||-⌫||-|-|-⌫-----|
sachiezk auroiuintmouta	------||-|--|---|---||
labonneuolente	-|----|------|
quesesfieusauoit debien	--|--|----|----|-|---|
nele nuoltpl usdirecontr aire	-||-⌫|---|--⌫-|---|-----⌫---|
ai ns di stcheualierle	--⌫-|--⌫-|--------|-|
pu isquet eluo lenteen	--⌫----|-⌫-|--⌫----|-|
parsikencouuentl iaroi t	--|-||-|------|-⌫|----⌫|
lesbonslargesseroi t	--|---|-----|-----⌫|
pr incesne pue tauoir	--⌫----|-|---⌫|----|
tresh aute honnourtantait dauoir	---|-⌫---|------|---|--||----|
sil neset les	|-|-|--|--|
bonshonn orer	---|----⌫---|
etdou s ienlargement	-|--|-⌫--|--------|
car neuautriensprince s	--|-|---|----|------⌫|
silauoitd o r charchiémilchars	|-|----||-⌫|--------|--|----|
cleoma desauantpass a	------⌫--|----|----⌫|
etlidistque largessera	-|-|---|--|-----|---|
o rnesesmait de	-⌫|-||-----|-|
carillitenr abiencouuent	--|-|-|----⌫|---|------|
biaus fieusdist il dieusu ousenoie	----|----|---|-|----|-⌫--|-|--|
etuous tiengnee nla	-|---|------|-⌫|-|
droiteuoie	-----|---|
desbonshon n or eretserui r	--|---|---⌫-⌫--⌫-|-|-----⌫|
et deleurseruice merir	-|-|---|------|----|
tantos tfi stlirois co nmander	------⌫|--⌫-|-|---|--⌫------|
que on feistto starreer	--|-|----|--⌫-|-----|
cotesdedrasdor	----|-|---||-|
et mantiaus	-|-------|
p ourtroi scenscheual iersnouui aus	-⌫--|----⌫|---|------⌫---|-----⌫--|
etch asc unarmes	-|--⌫---⌫-|----|
etdestrie r	-|-------⌫|
ueut con leurface apareillier	---||-|---|---|----------|
poura mour decekadou ber	---|-⌫---|-|-||----⌫--|
ueutsonf ill etarmesdonner	---|--|-⌫--|-|----|-----|
tost fulabesoigne	---|-|-|-------|
puisquelir oisl	------|-|-⌫--||
otconmandee	-|--------|
ch euali er fure ntautiers io u r	--⌫-----⌫-|----⌫-|-|----|--⌫-⌫|
sachi ezquemaintegranthonnour	-----⌫-|--|-----|----|------|
yot faite etmaint	|-|----|-|----|
do ndonné	--⌫|-----|
donni furentpasou bli é	--|||-----|--|--⌫---⌫-|
ainsif urentbien	---||-⌫----|---|
en sa ison	-|--⌫---|
donné y o t mai ntriche	-----||-⌫|---⌫-|----|
la f estefuet	-|-⌫---|-|-|
beleetgrant	---|-|----|
et l i io ursaloitapr ochan t	-|-⌫|--⌫--|----|---⌫-----⌫|
que labatailleestredeuo it	--|-|-------|----|----⌫-|
dambesdeusparsui nrentlad roit	|--------|---|--⌫----|-|-⌫---|
o uestredeuoi tlabataille	-⌫|----|-----⌫|-|-------|
laci éyot	----⌫-||-|
mainteu entaille	-----|-⌫-------|
etmaintefort b roigne	-|-----|---|-⌫-----|
siot main te	||-|----⌫-|
trenchantespee	--------|----|
etmainthiaumecler reluisant	-|----|-----|---|--------|
e tmainte en saignef lamboiant	-⌫|-----|--⌫-----|-⌫--------|
etma intetargeetm ain t	-|--⌫---|----|-|-⌫---⌫|
lancea feragu	----||--|--|
etmaintdartetmaint roit	-|----|---|-|----|---|
et maintgauelotpo ur	-|----|------|--⌫-|
m aintcheualier	-⌫---|--------|
riche et poiss ant	----|-|-----⌫--|
y otetmaintc heual corant	|-|-|----|-⌫----|-----|
cleoma de ssorunde strier	------⌫--⌫|--|-|--⌫-----|
se oitfin etfo rte tle gier	--⌫--|--|-|--⌫-|-⌫|--⌫---|
l esarm e s sonperealabel	-⌫-|---⌫-⌫|--|---||----|
portoitqui	------|--|
moltlisirentbel	---|-|-----|--|
etest oientdun uertdyaspre	-|---⌫----||-|---|------|
lilabelet mouttrouuoi t aspr e	-|----|-|---|-------⌫|----⌫|
sorquoiilseoit	--|---|-|----|
sia po inta f renésestoit	-||--⌫--|-⌫-⌫-----|-----|
quetournans est oita son gre	--|-------|---⌫--||--|--|
et mouuans touta	-|------|---||
en armes ert moutbi enseans	-|----|--|---|--⌫-|----|
etg rac ieus e taue nan s	-|-⌫---⌫---|-⌫|---⌫---⌫|
a persertetamaneuis	-⌫---|--|-|-------|
sachiezn eluit pas a enui s	------|-⌫||--|--||----⌫|
sesperesmaismou t lipla iso it	--|----|---|---⌫|-|---⌫---⌫-|
lama nier e kenluiauoit	-|--⌫----⌫||-|--|----|
carmoutertbien	--|---|--|---|
aparis sant	------⌫---|
l uiaur oithome uaillant	-⌫-|---⌫--|---|-------|
sesbatai lles	--|-----⌫---|
aordene es	|------⌫-|
marcadi gaset arreees	-------⌫--|-|------|
troisbatail le s fistdesagent	----|------⌫--⌫|---|-|-|---|
mou tlesordena	---⌫|--|-----|
bienetadroitleurdeuis a	---|-||----|---|-----⌫|
co nment luneapresl	--⌫----||--|----||
enchascun e	-|-------⌫|
ba taille aloit	--⌫-----|----|
debienf aire lessemonnoit	-|---|-⌫---|--|--------|
e nla pre miereson fill mist	-⌫|-|---⌫----|--|---|---|
tout auiseemen t le fist	---|---------⌫|-|---|
car b ienaso nsamblantueoit	--|-⌫--||--⌫|-------|----|
queses cuersahonnourb ao it	--|--|----||------|-⌫--⌫-|
mouttresadroit lechastia	---|---||----|-|------|
bi ausfieus	--⌫--|----|
faitilori p arra	---|-|-||-⌫---|
se hu i mousterrés	-|--⌫|----------|
quece stuoirs	--||-⌫-|----|
quedespaigneso iez droishoirs	--||-------|--⌫--|----|----|
cleom adesli res pondi	-----⌫---|-|---⌫----|
sire faitil	---|---|-|
ieuo u afi	-|--⌫|--|
queie feraito utmonpouoir	--|-|----|--⌫-|--|-----|
queon m etiengne pouruostrehoi r	--|-|-⌫|------|---|-----|---⌫|
c est uosfieus quice fait	|--|--|----|--|-|---|
etseau tre choseenfaisoi e	-|-|--⌫--|----|-|------⌫|
uosfieuspasa	--|----|--||
droi tneseroie	----⌫|-|-----|
meuorraipener	-|-----|----|
deno nde t elperesauuer	-|--⌫|-|-⌫-|---|-----|
aquedou c heuau chie r	|--|--|-⌫-----⌫----⌫|
etdesanem isaprochier	-|--|----⌫-|--------|
espoirquebiendeffendron s	-----|--|---|----------⌫|
que no ustenirdeuons	--|--⌫-|----|-----|
quantmarcadigas lentendi	----|---------||------|
tre s tousli cuerslen esi oi	---⌫-⌫---|-|----||-|---⌫-|
qu antdesonfillo t tel confort	--⌫--|-|--|---|-⌫|--|------|
sil enotioi eno tpas to rt	|-|-|-|---⌫||-⌫|--|--⌫-|
cheuauchassent	-------------|
lepass or fra in etsipensassent	-|--|-⌫-|---⌫-|-|-|---------|
q uecilquipertson h er itage	-⌫-|--|--|---|--|-⌫--⌫----|
parlasc hete faitgr ant fola ge	--|----⌫---|---|--⌫--|----⌫-|
folementse sont	-------|-|---|
ci lqu ici sontse urnous	--⌫|--⌫|-|---|--⌫-|---|
carseurno droitnous deffendons	--|---|-|----|---|---------|
parquoidieu en	--|---|---|-|
aydeauo ns	---|---⌫-|
e t en deffendan ts onpays	-⌫|-|---------⌫|-⌫-|---|
doit chascuns	---|-------|
hom ualoirausdi s	--|-----|--|--⌫|
ou plusce u ousdii euoir	-|---|-|-⌫--|-|-⌫|---|
aubesoingdoitli	-|------|---|-|
bien s paroir	----⌫|-----|
c hasc u n s aitseure esperanc e	-⌫----⌫-⌫-⌫|--|----|--------⌫|
cardieussera	--|----|---|
ennos tr eaidance	-|---⌫--⌫|------|
ains isag entamonne sto i t	----⌫|-|-⌫--|------⌫---⌫-⌫|
mar ca dig as etcheu auchoit	---⌫--⌫---⌫-|-|----⌫------|
encon r oi ordeneement	-|---⌫-⌫-|----------|
m out cheuauchoient noblement	-⌫--|------------|--------|
cefuaune ma tinee	-|-||--|--⌫----|
mainteensaigne	-----|-------|
desuol epee	------⌫---|
y ot a u ue nt	|-|-⌫|--⌫-|
etmaintpenon	-|----|----|
s iotmaintescumaint	||-|----|---|----|
richehiaumeluisant	----|-----|------|
etmaintche ualierdesi rant	-|----|---⌫-----|----⌫---|
dac roistrel enonlor	|--⌫------|-⌫|--|--|
etd aque rre non de ualour	-||----⌫--|--|-|-----|
de deffen d re	-|------⌫-⌫-|
leur heri t es	---|----⌫-⌫-|
sambloit chascunsentalen tés	-------|-------|-------⌫---|
sa g ementetbel cheuauchoient	--⌫-⌫----|-|--|------------|
comgentquidarmes duitest oi ent	--|---|--||----|---|---⌫--⌫--|
les bataille s l	--|--------⌫||
unea pres lau tre	--|-⌫---||--⌫--|
le peti tpa slancesorfautre	-|----⌫|--⌫|----|--|-----|
escus as coulshiau meslaciez	----|-|----|----⌫--|-----|
bataille estoitchiez	-------|-----|----|
cleo madescui m outt ar doit	----⌫----|--|-⌫--|-⌫--⌫---|
quelestoursa ssamblé snestoit	--||------|-⌫--------⌫||-----|
lasecondeapres	-|------|----|
lui siuant	--|-----|
menerent doifrere uaillant	-------|--|----|-------|
liunsauoitnonfercata s	-|--|----|--|-------⌫|
etlia u tr eshelyadas	-|-|-⌫-⌫--⌫-|-------|
beletp reuetloi alestoi ent	--|-|-⌫--|-|---⌫-|-----⌫--|
de guerreambeduimoutsauo ient	-|-----|------|---|----⌫---|
liun s portoi t a rmesuermeilles	-|--⌫|------⌫|-⌫---|---------|
a deusbl anchespassansoueille s	|---|--⌫-----|------|-------⌫|
l i autrest eles	-⌫|-----|-⌫---|
lesportoit	--|------|
m aisqu elabiau s bleus i a uoit	-⌫-----⌫|------⌫|----||-⌫---|
qui mouttresbieni auenoient	--|---|---|---||--------|
freremout sentramoie nt	----|---||---------⌫-|
dontne fais o i entpasfol age	---|-|----⌫-⌫-⌫--|--|---⌫--|
tiene ntce lus age	-----⌫-|--⌫|--⌫--|
fontque sageet comauisé	---|--|---|-|--|-----|
souuenten ont esté bla smé	------|-|--|----|---⌫---|
frerequantil s edesco rdoient	----|----|-|-⌫|-----⌫------|
etenco rede mai nferoient	-|----⌫-|--⌫---⌫|-------|
biene ndoiuent	---|-⌫|------|
estre mai nt	----|---⌫-|
frere quantnesontd unacort	----|----|-|---||-|----|
e nlarr ier ebataillef u	-⌫||---⌫---⌫|-------|-⌫|
marcadigasquitantualu	---------|--|---|---|
hom pouoit	--|-----|
plusualoir	---|-----|
oruous uorraiamenteuoir	-|---|-----|---------|
qu i sonta	--⌫|---||
l autre les	|----|--|
ou maintenotquibienarmés	-|----|-|-|--|---|-----|
estoit et seurcorantdes trier	-----|-|---|-----|---⌫----|
mainteba nierebalo ie r	-----|--⌫----|----⌫--⌫|
i ueis siez et ma intee nsai g ne	|----⌫---|-|--⌫---|-⌫----⌫-⌫-|
l unsd aus	|--||--|
moustrelautreetensai gne	------||----|-|-----⌫--|
la gent ma rcadig asueni r	-|---|--⌫------⌫-|----⌫|
lors u eissi ez	---|-⌫-----⌫-|
les ren sfremi r	--|---⌫|-----⌫|
cinc batail lesf ai tesauoie nt	---|------⌫--|-⌫--⌫--|-----⌫-|
uer smarcadigas a prochoi ent	---⌫|---------|-⌫-------⌫--|
le p assetrengié	-|-⌫----|------|
mais naiencorpasdeui s e ́	---||-|----|--|----⌫-⌫-⌫|
quil escincba tailles guioit	--|-⌫-|---|--⌫------|-----|
c hascunsdesroisuneen a uoit	-⌫------|--|---|--|-|-⌫---|
la premiereot garsi anis	-|-------|-|-----⌫---|
cilestoitm out entalentis	--|-----|-⌫--|---------|
deceausd espaignefairemal	-|----||-------|----|--|
etestoit roisdeporting al	-|-----|---|-|-------⌫-|
bat ailleouch iefdeuant	---⌫----|-|--⌫--|-----|
espaignol uontmo ut manecan t	--------|---|--⌫-|-------⌫|
etmoutleur t ardekassamblé	-|---|---|-⌫---||--------|
nesonta ausetaiousté	-|---||--|-|-------|
seurement uontaprochant	--------|---|--------|
lesespaignos etmoutiura nt	--|--------|-|---|----⌫-|
q ues ill estrueue ntniert pasgas	-⌫-||-|-⌫-|------⌫-||---|--|--|
maruiren troi	--|-----⌫|--|
marcadiga s	---------⌫|
plainerentdoutrageu sbobant	----|----||--------⌫|-----|
lautre ba taille	|----|--⌫-----|
apres siuant	----|-----|
menoitliro is	-----|-|--⌫-|
bondarsligris	------|-|---|
d egascogneertnés	-⌫|-------|--|---|
e t norris	-⌫|-----|
estoit rois clamés	-----|---|------|
c estoitdetousli	|-----|-|---|-|
mieusmo ntés	----|--⌫----|
seur un cheualliart se oit	---|-|-----|----|--⌫--|
telquemeilleurn ecouuenoit	--|--|-------|-⌫|--------|
carfinsertetseurset fors	--|---|--|-|----|-|---|
poursusco mbatreco rsacors	---|--|--⌫-----|--⌫-||---|
nenulmeillou r ch eualde guerre	-|--|-------⌫|--⌫---|-|-----|
ne tr ouuastonennule terre	-|--⌫-----|-|-|---|----|
latiercebata illeguia	-|-----|----⌫---|---|
g aldasdesmonsq uibiencuida	-⌫----|--|---|-⌫-|---|----|
ce l uii ourdestruire es paignos	--⌫-⌫-|-⌫--|--------|--⌫------|
maison dist cuidiersfu	---|-|---|-------|-|
cilert siresdestoulousans	--|--|----|--|---------|
cert adontunsroiau mesgrans	|--|----|--|-----⌫--|----|
debourd iausdusqu amo ntpellier	-|-----⌫---|----||--⌫--------|
ottoute la terreaba illier	-|----|-|----||--⌫-----|
bienert sa	---|--|-|
bat ai llee st ofee	---⌫--⌫--|-⌫--⌫---|
deg entno blemen tarreee	-|-⌫--|--⌫------⌫|-----|
bi encuidoient cel iour conquer re	--⌫-|--------|--|---|-------⌫-|
mar cadigas luietsaterre	---⌫------|--|-|-|----|
laq uartebataille m enoit	-|-⌫----|-------|-⌫----|
unsroisquigrantdes ir auoit	--|---|--|----|---⌫-|----|
estour sfustassamble ́s	------⌫|---|--------⌫-|
darrag onnefu rois	|-----⌫---|-|---|
no nagam bars	--⌫|----⌫---|
ainsi k enescritlet rouuons	----||-|-----|-|-⌫------|
cilrecuidie rentmoutbienfaire	--|--------⌫---|---|---|----|
sorceau sd	--|----⌫||
espaignel orafaire	-------|-⌫-|-----|
laquinte otrois	-|-----|-|---|
sor m a nsl irous	---⌫-⌫-⌫-|-⌫|---|
cil es toitli plus fel daustous	--|--⌫---|-|---|--||--|---|
e tqui plus	-⌫|--|---|
sauoitdemalice	-----|-|-----|
do uregnedegal ice	--⌫|----|-|---⌫--|
p ar luifuprem iers co nmencie	-⌫-|--|-|----⌫---|--⌫------|
icele g uerree tatisie	----|-⌫----|-⌫|-----|
qu els armes or ent li cincroi	--⌫--|----|--⌫--|-|---|--|
d euiseraisicom iecr oi	-⌫-------|-|--|-|--⌫-|
adroit si com	|----|-|--|
laientendu	|-|------|
garsianis portoitl escu	--------|------||---|
dyaspreéde uertetdeiaune	--------|-|---|-|-|----|
a un enoire testedaune	|--⌫|----|----||---|
etlatestees toit c oronnee	-|-|----|--⌫---|-⌫------|
c oronne a po intouure e	-⌫-----||--⌫--|-----⌫|
de gueulesquibieni	-|------|--|---||
e tagambarslilons p o rtoit	-⌫|-------|-|---|-⌫-⌫----|
orpale ́d e	-|----⌫|-⌫|
entou tel ostnotson	-|---⌫-||--||-|--|
delongueurned e	-|-------|-|-⌫|
gran detaille	----⌫-|-----|
cildesiroitmout	--|-------|---|
labatai lle	-|-----⌫--|
de gueu leset de	-|----⌫--|-|-|
uertpartis	---|-----|
ert li escus	--|-|----|
bondar tlegris	------⌫|-|---|
do runl ion	|-⌫|-|-⌫--|
passa nta t est edemouton	-----⌫-||-⌫---⌫|-|-----|
arm esportoit mout desgui sees	---⌫-|------|---|------⌫---|
sormansl irous mais d euisees	------|-⌫|---|---|-⌫------|
l es uousarai assezbriemen t	-⌫-|---|---|----|-------⌫|
uertserpent	---|------|
portoit etot	------|-|-|
elesuer meilles	---|---⌫------|
liser pe nset bleues or eilles	-|---⌫--⌫-|-|-----|--⌫-----|
etot auss ilatestebleue	-|-|----⌫|-|----|----|
et otbl anspieset	-|-|--⌫--|---|-|
noirek eue	----|-⌫--|
sesarmesu rai ement	--|----|-⌫---⌫----|
ga l das de smonsl	--⌫-⌫--|--⌫|---||
escu d a rg ent	---||-⌫--⌫--|
portoitatro iscor onnesn oires	------||---⌫-|---⌫----|-⌫----|
iaauoientta ntesp l oitié	-|------|--⌫-|---⌫-⌫-----|
d ambesdeuspars et	|--------|---|-|
c h eua uchié	-⌫-⌫---⌫-----|
q ue entre a u sn a uoitc un	-⌫-|----|-⌫-⌫||-⌫---||-|
biaup l ain	---|-⌫-⌫--|
ue oirseporentt ou taplain	--⌫--|-|-----|-⌫--⌫||----|
quan t lesbata illessentreuirent	----⌫|--|----⌫----||----------|
sach ie zque	----⌫--⌫|--|
d ambes pa rsfremirent	|----|--⌫-|--------|
cle omades ui taprochi e r	---⌫-----|--⌫|-------⌫-⌫|
lesanemissansplustargier	--|-----|---|---|------|
s agentque ilbr ochassent	-⌫|---|--|-|--⌫--------|
etkaces premiers	-|||--|-------|
assam blassent	-----⌫-------|
ets itostq uille sot semons	-|-⌫|---|-⌫|-|--⌫|-|-----|
chasc uns feridesesp erons	-----⌫--|---|--|---⌫----|
maisdeuant	---|-----|
tous pres dune archie	---|---||--|-----|
s enuenoitl ala nceenpoignie	|-|-----|-⌫|--⌫--|--------|
cleom a d esmoutfier emen t	-----⌫-⌫-⌫-|---|----⌫----⌫|
conmehomplain d e grant hardement	----|--|----|-⌫|----|--------|
lepre merainqu	-|---⌫-----|-|
i lencontra	-⌫|-------|
dec oupde glai u ele p orta	-|-⌫--|-|----⌫-⌫|-|-⌫---|
a laterre mort est end u	|-|----|---|---⌫---⌫|
d ou tro nco nas i re fer u	-⌫-|---⌫---⌫||-⌫|--⌫---⌫|
que i l labati	--|-⌫||----|
decelpo indre	-|--|--⌫----|
t ro isen chei	-⌫--⌫-|-|---|
qui onquespuisnor ent sant e	--|-----|---||--⌫--|----⌫|
bond estrierhurté	--|-⌫------|-----|
desesperons ett rait	--|-------|-|-⌫---|
qui erttrenchansetaceree	--|--|--------|-|-----|
enmiles a nemisse mbat	---|--|-⌫----||-⌫---|
trencheet coupe et	------|-|----|-|
fierte taba t	----|-⌫|---⌫|
hi aume s escustargesblazons	--⌫----⌫|----|-----|------|
neset uis ages	--|-|---⌫---|
etmen tons	-|---⌫---|
nepo uoitn us homsoustenir	-|--⌫---|-⌫-|--|--------|
les gransc oupsquilpouoitfer ir	--|----|-⌫---|-|-|-----|---⌫-|
redoutésmalement	--------|-------|
apresl ui a ssamblentsagent	----|-⌫-|-⌫--------|-|---|
quiduremen tconfortéson t	--|-------⌫|--------|---⌫|
telche uet aine ont	--|---⌫---⌫---|--|
a insqui lfussentparassamb l é	-⌫----|-⌫|------|--|------⌫-⌫-|
en otmaint aterr eporté	-|-|----||----⌫|-----|
qui onques	--|-----|
puisnereleua	---|-|-----|
las econdebataillea l a	-|-⌫-----|-------|-⌫-⌫|
as sambler mout ha rdiement	--⌫------|---|--⌫-------|
com ge nt d e	--|--⌫-|-⌫|
g rant apensemen t	-⌫---|---------⌫|
etquidarmes estoient duit	-|--||----|-------|---|
mainta rc on i	----|-⌫--⌫-||
ueissiez uuit	-------|---|
etm ainter esnet ra ynant	-|-⌫----|-⌫---|-⌫--⌫----|
etmaint homea	-|----|---||
terregisant	----|-----|
fe rc atas le	--⌫--⌫---|-|
fis tbienceiou r	---⌫|---|-|---⌫|
iletses fre r eset	-|-|--|---⌫-⌫-|-|
qu antmarcadigas uitsagent	--⌫--|---------|--|-|---|
ass ambler sitres nob leme nt	---⌫-----|-|---|---⌫----⌫-|
etuitquec illa r eus oient	-|--|--|-⌫-|-|-⌫---⌫----|
o u sagent assamblé	-⌫|-|---|--------|
sachiezquep asn e	------|--|-⌫-|-⌫|
lides plo t	-|---⌫---⌫|
sitost qu ep er ceus le s o t	-|---|--⌫|-⌫--⌫---|--⌫|-⌫|
a sagentdist orleur alon s	|-|---|---|-|---|----⌫|
sa chiezd escon fis lesa uons	--⌫----|-⌫-----⌫--|--|-⌫---|
lorsueiss i ezcheuaus br ochier	---|-----⌫-⌫-|------|--⌫-----|
e scus ettarges	-⌫---|-|-----|
embr acier	----⌫----|
et brandirmaintespi e trench a nt	-|------|----|----⌫|------⌫-⌫-|
marcadigastre stoutdeuant	---------|---⌫----|-----|
senuenoitla lance	|-|-----|-|----|
assemble r esc rie	--------⌫|---⌫--|
m aint escupercié ettroé	-⌫---|---|------|-|----|
yot quantfurent aiousté	|-|----|-----|-------|
etmaintetargedepe cie	-|-----|----|----⌫--|
et maint cors	-|----|---|
deuassalsansu ie	-|-----|---|-⌫-|
etmai n te	-|---⌫-⌫-|
l ance tro nconnee	-⌫---|---⌫------|
mout pariotfiere	---|--||-|----|
mout fu l abatai llecrueuse	---|-|-⌫|-----⌫--|------|
etas preetperill euse	-|--⌫--|-|------⌫---|
la b atail leenfu ietourna	-|-⌫-----⌫-|-|--⌫-|-----|
ou c leomades assam bla	-|-⌫-------|-----⌫--|
garsiani s ertcheue taine	--------⌫|--|-----⌫----|
d e labataillepre merai ne	-⌫|-|-------|---⌫-----⌫-|
cestoitcelequi s enfuioit	|-----|---|--||-------|
gran tn oise et granscris i	----⌫|-⌫---|-|----|---||
otdes leurocis	-|--|---|---|
etnaure ́setameschiefmis	-|-----⌫-|-||-------|--|
ainsqu ilfusse nt	-----|-|-----⌫-|
que il fussentdoucha mp	--|-|------|--|---⌫-|
cleo ma destan t	----⌫--⌫--|---⌫|
r edoutoient	-⌫---------|
qu esesco upsa ten dren osoient	--⌫|--|--⌫--|-⌫---⌫--||------|
et acea uoitbienraison	-||-|-⌫---|---|-----|
carnepuisueoir que nus	--|-|---|----|--|--|
peustferircoups	----|----|----|
hiaumesneescusn ehaubers	------|-|----|-⌫|------|
n epouoitnuluigarandir	-⌫|-----|----|-------|
puiskaco upi pouoit	----||--⌫-||-----|
quedec ecou pne le	--|-|-⌫|---⌫|-|-|
ou aumains qu il	-|-|----|-|-|
cele bat aille sen tourna	---|---⌫----||-|-----|
enu neautrebataille entra	-|-⌫-|----|-------|----|
conmedescon f itsenuenoient	----|------⌫-⌫-||-|-------|
car entre leurg ens sefe roie nt	--|----|---|-⌫--|-|--⌫----⌫-|
m ais sac hiez q ue cleomades	-⌫--|---⌫---|-⌫-|--------|
lessiuoi t audosmoutde pres	--|-----⌫|-|--|---|-|---|
etsa g entapresle siu oi ent	-|-|-⌫--|----|-|---⌫--⌫--|
se sfaisme rueilleauoi ent	--⌫|---|--⌫------|----⌫--|
queuousi roieieconta nt	--|---|-⌫---|-|-----⌫-|
b esoignepourloignant	-⌫------|-----------|
lachoseuousacourcerai	-|----|---|---------|
licincroi que nonmé u ousai	-|---|--|--|-----|-⌫--|-|
descinc ba taillesqueilorent	--|---|--⌫------|--|-|----|
firentune si tost quil po rent	-----|--|-|---|-|-|--⌫---|
estour y otfier et mort el	-----||-|---|-|----⌫-|
ie cuit kaincpuisneuitn ustel	-|---||---|---|-|--|-⌫-|--|
si aspre nes i ass aillant	-|----|-|-⌫|---⌫------|
s ia igrene sidesfen dant	-⌫|-⌫---|-|-|------⌫---|
cardoumatin ius qu	--|--|----|---⌫-|
nemenerent autre de duit	-|-------|----|--⌫---|
forsquetouteiour chaploiier	------|----|---|---------|
et de lunl autre dama gier	-|-||-||----|----⌫---|
sachiez qu ene setintpasquois	------|--⌫|-|-|---|--|----|
cleomadesacele	--------||---|
enmi letas des anemis	---|-|--|--|-----|
sest oitconmecheuali er s	|---⌫--|----|-------⌫--⌫|
ouplus drudauss ertembat us	-|---|--||--||--|-----⌫-|
fuparluiab atus	-|--|--|--⌫---|
lei ouretmainsd esfiguré s	-|-⌫--|-|----|-⌫---------⌫|
etmainsmor s	-|----|---⌫|
qua nt marc adigassonfilluoit	---⌫-|----⌫-----|--|---|---|
c onmentle s ren sfremir fa isoi t	-⌫-----|--⌫|---⌫|-----|--⌫----⌫|
etles bataillesrem uer	-|--|--------|---⌫--|
castel e lio t escrier	------⌫|-|-⌫|------|
to utelabata ille branloit	--⌫--|-|----⌫---|-------|
la ou ilsetournoit	-|-|-|-|-------|
quants onfruit	----|-⌫-|----|
etmoutp lusquedeuant a ma	-|---|-⌫--|--|-----|-⌫-|
l entequi sifa itfruit por t a	|---|--|-|--⌫-|----|---⌫-⌫|
lorsse ferimarcadigas	---|-|---|---------|
esanemisouplu s grant	-|-----|-|---⌫|----|
moutdurementles assail loit	---|-------|--|------⌫---|
cardetre s	--|-|---⌫|
gr antuaill anceestoit	--⌫--|-----⌫---|-----|
etdetresgrant apensem ent	-|-|---|----|-------⌫--|
souuent auoitl ueillasagent	------|----||----||-|---|
quantaucunenue oitretraire	----|----|-|--⌫--|-------|
neuoussaroiepas	-|---|-----|--|
conmentles	------|--|
sauoitra uoiier	-----|--⌫-----|
e tadr oi t	-⌫||--⌫--⌫|
ensaignier	---------|
q uantilueoit quilene r tpoins	-⌫---|-|----|-|-|-|-⌫-⌫|----|
souuentli ot	------|-|-|
ualuc ispoi ns	---|-⌫-|---⌫-|
apai nesfus tnussidoutieus	|---⌫--|---⌫|--|-|-------|
qui fesist ma ldeu antsesieu s	--|-----|--⌫|---⌫--|--|---⌫|
tant que ilcuidast	----⌫--|-|------|
q uemarc adigaspres li fust	-⌫-|----⌫-----|---|-|---|
car ensonbonensaignemen t	--|-|--|--|-----------⌫|
pren oien ttelapense ment	----⌫----⌫|--|------⌫---|
q ue ilp lushonteredoutoie nt	-⌫-|-|-⌫--|----|---------⌫-|
queilamorirnefaisoient	--|-||----|-|--------|
cl eomadespointnarrestoit	--⌫------|----||--------|
maistouta desle sassailloit	---|---|-⌫--|--⌫|---------|
roiagambart	--|-------|
a laterretoutes te ndu	|-|----|---|--⌫--⌫--|
