oreoeztuitcomm unement	--|--|---|----⌫------|
esloingniezun pe tit	----------|-|--⌫--|
o rescoutezqu eiladit	-⌫|-------|--⌫|-||--|
chairselesseaoroi son	----|-|----||----⌫--|
sonpe reapelle	--|--⌫-|-----|
nuz genou zsest agen o illi ez	--|-----⌫||--|----⌫-⌫----⌫-|
cefeisoitilpournospechiez	-|------|-|---|--|------|
pere fet il	---|--|-|
cecroi t res bien	-|---|-⌫--|---|
q u etupue zferetoute rien	-⌫-⌫|-|---⌫|---|----|---|
setoiplai soitpa snemorroie	-|--|----⌫---|--⌫|-|------|
ainc oisla morttrespasseroie	----⌫--|-|---|------------|
mescorsa paord emorir	--|---||---|-⌫|----|
cestedouleur	----|------|
mestuetso ufri r	|-----|--⌫----⌫|
me sn eporq uant	--⌫|-⌫-----⌫---|
limien desirs	-|---|-----|
ne s oitpa sfe tmes	-|-⌫--|--⌫|--⌫|--|
tesple sirs	--|---⌫---|
l eteue uolente otroi	-⌫|---|------|----|
orfaito tton ples irdemoi	-|--|--⌫|--|----⌫-|-|--|
einsi se dementoitlesire	----|-|--------|-|---|
quii ertsanzpech ieetsa nzire	--|-⌫--|---|----⌫-|-|--⌫-|--|
uns sainza ngres estdescen duz	--|----|-⌫----|--|------⌫--|
quiliest aparuz	--|-|--|-----|
sonseigneurprista conforter	--|-------|----||--------|
de cedont ilot dementer	-|-|---|-|-|-------|
etquantlapaor liuenoit	-|----|-|---|-|-----|
etde lamortliso uuen oit	-|-|-|---|-|--⌫----⌫--|
pr io i tsonpe re omnipoten t	--⌫--⌫-⌫|--|--⌫-|---------⌫|
asezpl usenter i ne ment	---|--⌫-|-----⌫-⌫--⌫---|
de lapaorqu e dieusa uoit	-|-|---|--⌫|----|-⌫---|
go utesdesanc sach ar	--⌫---|-|---|-|--⌫-|
s igranz qu aual sonuiscouroient	-⌫|----|-|---|--|--|--------|
et iusalat erre	-|--||-|-⌫---|
chai oient	----⌫----|
beausiredieuspo urquoisoufroies	---|---|----|--⌫-|---|--------|
se pourcen o n que tuuouloies	-|---|-|-⌫-⌫|--|-|-------|
cesteangoisse ce ste	----|-------|--⌫--|
cestepainnep our no streamor	----|-----|-⌫--|--⌫---|---|
p our nousrac heterde forfe t	-⌫--|---|---⌫----|-|-----⌫|
q uenostrep r emierpere	-⌫-|-----|-⌫-⌫----|---|
orseleua desoroison	-|-|---|-||------|
ihesuquemo ult	----|--|--⌫--|
amerd eu on	---|-⌫--⌫-|
asesdecipl es estuenuz	|--|------⌫-|--|----|
endorm islestrueue etuain cuz	------⌫-|--|-----|-|----⌫--|
pierresfetil esuei lletoi	------|--|-|-----⌫--|--|
d oncne pueztu ueilliero moi	-⌫--|-|---|-|-------||--|
es ue illiezuouset si	--⌫--⌫-----|---|-|-|
no streseigneur	--⌫---|-------|
pou r nospechie z	---⌫|--|------⌫|
que uousnaieztemptation	--|---||---|---------|
demale cogitation	-|---|---------|
liesp erites p a s nedor t	-|---⌫-----|-⌫-⌫|-|---⌫|
enfermecraintlamort	------|-----|-|---|
quantc eotdistsi	----|-⌫|-|---|-|
s ent orn a	|-|-⌫---⌫|
arriereuintetsiora	------|---|-|-|--|
perefetil c enepu et	---|--|-|-⌫|-|--⌫-|
doie estre	---|----|
tauolent eueilet otroi	-|------⌫|---|-|----|
orfaitottonpl esirdemoi	-|--|--|--|--⌫---|-|--|
quan td ieusot dittotson plesir	----⌫|-⌫---|-|--|--|--|-----|
e nses amis notq u	-⌫|--|---||-|-⌫|
il ne po uoient mes ueilli er	-|-|--⌫-----|--|------⌫-|
estdedieu pro ier	--|-|---|---⌫--|
enor oisonssetrauaillo ient	-|--⌫-----|-|---------⌫---|
moult doucem ent dieure clamoie nt	----|------⌫--|---|--⌫-------⌫-|
reuint sauoirqu il font	-----|-----|-|-|---|
mestu itensembleendo rmi sont	--|--⌫-|-------|----⌫--|---|
lorsnelesuol t plusesueillier	---|-|--|---⌫|---|---------|
arrie re reu i nt pour pr oier	-----⌫-|---⌫-⌫-|---|--⌫---|
etfistautretele oroison	-|---|----|---|------|
commedeu a nt si	----|---⌫-⌫-|-|
derechiefes t a eusuenuz	--------|--⌫||--|----|
toz a trouéd orm antsesdruz	--||-----|-⌫---⌫--|--|---|
diua fe t ilpo urq uoid ormez	---|--⌫|-|--⌫-|-⌫--|-⌫----|
uneeu r e ueilli er	--|--⌫-⌫|------⌫-|
dort orenoie n t	---|--|----⌫-⌫|
etuo u sdormez	-|--⌫-⌫|-----|
r e sueilliezu ous leuez	-⌫-⌫--------|-⌫--|----|
uezci iudasuostreane m i	--|-|----|-----|---⌫-⌫|
il m aue ndu auspechaors	-|||--⌫--|--|-------|
ialesuerrésueni r	-|--|------|----⌫|
grantc ours	----|-⌫---|
endementiersquedieus palloit	--------------|----|------|
uintiudas q ui	---|----|-⌫-|
trailauoit	---||----|
e nsembleoluigrantcom p aigni e	-⌫------||--|----|---⌫-⌫-----⌫|
quidamedieun	--|-------||
amoientmie	------|--|
noirenuit ert m oulteni	----|---|--|-⌫---|-||
lifel i uda s tozlesgu iot	-|--|-⌫---⌫|--|--|--⌫--|
ilneue noi entpassanzarmes	-|-|--⌫---⌫--|--|---|----|
h ache sporto ientet guisar mes	-⌫----⌫|-----⌫---|-|------⌫--|
et si portoien tgr anzbastons	-|-|--------⌫|--⌫--|------|
lanternes cle re setbrandons	--------|---⌫--⌫|-|-------|
seigneurs cedist	--------|-|---|
lifeliudas	-|--|----|
ihesum ne connoi sseiez	-----|-|------⌫-----|
cel uiq uebessierme uerrez	---⌫-|-⌫-|------|-|-----|
ciertmonm estrecelui prenez	|---|--|-⌫----|----|-----|
silem enez est roiteme nt	-|-|-⌫---|---⌫-------⌫-|
gardezneuousench au stnoient	-----|-|---|----⌫--⌫-|-----|
auoitsoing	----|----|
de f ou ir	-|-⌫--⌫-|
que deson greuouloitmor ir	--|-|--|--|------|---⌫-|
encontreuali dieusdenous	-------|-|-|----|-|---|
seigneurs distil	--------|---|-|
quequerezuous	--|-----|---|
dece q ue d am edieu leurdist	-|-|-⌫-|-⌫--⌫----|---|---|
me rueilleuse paorlorp rist	--⌫---------|---|--|-⌫---|
furen ttuitesfreé	-----⌫|---|------|
etmoultfo rmentespoenté	-|----|--⌫----|--------|
etneporqu ant s ont	-|-------⌫--||--|
po urihesumsommesci uenu	--⌫-|-----|-----|-|---|
ies u i ihe sus illeurres pont	-|-⌫-⌫|---⌫--|-|---|---⌫---|
de ce quildista te rr euo nt	-|-|-|-|---||--⌫--⌫|--⌫-|
ilen furent tui teffreé	-|-|-----|---⌫|------|
etmoul tforme ntespo ente ́	-|----⌫|-----⌫-|----⌫----⌫|
dieutelpaor ont	---|--|---|--|
que tuit a terre chau sont	--|---||----|---|---|
etainzqu i lfussent releue ́	-|-----|-⌫|------|------⌫|
a utrefoi z	-⌫---|---⌫|
leur ademandé	---||-------|
quequerezuousditeslemoi	--|-----|---|----|-|--|
ihesumquero ns qui	-----|-----⌫-|--|
lau ezuousbi en oi	|--⌫-|---|--⌫-|-|
ie s uii hesumue ezmoici	-|-⌫-|-⌫----|--⌫-|--|-|
lors ui ntiud asselsa lua	---|--⌫-|---⌫-|-||--⌫--|
et p uis apr es si lebessa	-|-⌫--|---⌫-|-|-|----|
dieusque qu ie rstuci	----|--|--⌫--⌫-|-|-|
tumas b ais iésimast rai	-||-|-⌫---⌫--|-||-|-⌫--|
aices t motisnelement	|----⌫|--|---------|
saillent iuisco mmune ment	-------|---|--⌫-----⌫---|
si laerden t	-||------⌫|
detouteparz	-|----|---|
qu emoultie rentde	--⌫|----|--⌫---|-|
quantsainz peresaceueu	----|----|----||-|--|
desonglaiueen aunfe ru	-|--|-----|-||-|--⌫-|
ladestreorei l le	-|-----|----⌫-⌫-|
auoi fetdieuspierre ne fere	---|--|----|-----|-|---|
ueuztuatonseigneur desplere	---|-||--|-------|-------|
ost etespeeestaempes	---⌫||----|---|-|--|
gardesnuluinenfi eresme s	-----|----||-|--⌫---|--⌫|
qu i d eg laiueferra a utrui	--⌫|-⌫|-⌫----|----|-⌫----|
ag laiue ir a le cors	|-⌫----|--⌫|-|---|
cu r ede desfendre	--⌫-⌫|-|--------|
de mon greuuei l	-|--|--|----⌫|
e nlac roiz	-⌫|-|-⌫---|
et cesachiezseieu ouloie	-|-|------|-|-|-⌫-----|
i a mort nepass ion	-⌫|---|-|----⌫--|
iauroie asse zdeffendemenz	|-----|----⌫|-----------|
milliers e tacenz	-------|-⌫||---|
uouloiem es n e u eil	------|-⌫-|-⌫|-⌫--|
lamortsofferraisanz	-|---|--------|---|
oroezgranthumilite	-|--|----|-------|
etgr antessa mple	-|--⌫--|----⌫---|
pris t quiiert	----⌫|--|---|
au faus iui flares anee	-|---|---⌫|||---⌫---|
bien demostroit que d ie usestoit	---|---------|--|-⌫--⌫-|-----|
ausmiracles queil fesoit	--|-------|--|-|-----|
mesl i iuif dem al e	--|-⌫|---|-|-⌫--⌫|
quiplainserent	--|-----|----|
defelon n ie	-|-----⌫-⌫-|
di soientque ceierttotfab le	--⌫-----|--|-|---|--|---⌫-|
qu anqueil	--⌫----|-|
fe t est p ardeable	--⌫|--|-⌫-|-----|
ihesusliroisdema ies te	-----|-|---|-|--⌫---⌫-|
leu rd istpar	---⌫|-⌫--|--|
granthum ilite	----|---⌫----|
grant honte fetesce	----|----|----|-|
moultpar es tgrant icistpechiez	----|--|--⌫|----|----|------|
qu e uousm auezde ior pris	--⌫|---||---|-|--|---|
sifust plusbe a us	-|---|---|--⌫-⌫-|
ce mestauis	-||--|---|
el tem ple o uou ssouu e ntestoie	-|---⌫--||---⌫|----⌫-⌫-|-----|
de to zbie ns uo us	-|--⌫|---⌫-|--⌫-|
amon nestoie	----⌫------|
uousdienmon	---|-|-|--|
cem estauisriens ceb ienno n	-||--|---|----|-|-⌫--|--⌫|
lorespo urquoi neme preiste s	----|--⌫-|---|-|-|-------⌫|
s epource nonque	-⌫|---|-|--|--|
neuousites	-|-------|
de toutes parz l ors sontsailli	-|-----|---|-⌫--|---|-----|
iui s li a nemi	---⌫|-|-⌫---|
il laerdenti snele ment	-||------|-⌫-----⌫---|
m o ultl edemenoient	-⌫-⌫--|-⌫|---------|
etledec iplelontguerp i	-|-|---⌫---||--|-----⌫|
chas cun desapa rts	----⌫--|-|-|--⌫-||
chasc unde soi penseguerir	-----⌫-|-|--|----|-----|
et ihesusuapour	-|-----|-|---|
eu s morir	--⌫|----|
pou r lesnozdoulereus pechiez	---⌫|--|--|--------|------|
uouloit estre crucef iez	------|----|------⌫--|
en lamaisondan chaiphas	-|-|-----|--|-------|
estdieus menezplusque lepas	--|----|----|---|--|-|--|
tres bienli ezmespour noient	---|---|--⌫-|--|---|-----|
qu ede foirn	--⌫|-|---||
a n ul talen t	|-⌫-|-----⌫|
il e cerenttuitasen blé	--⌫-⌫|----|---|----⌫---|
ches ka iphas leforsené	---|--⌫----|-|-------|
lie scriuainet	-|-⌫-------|-|
lise ignor	-|--⌫----|
uersdieu nauoient nule amor	---|---||------|---|---|
entreuskaiphasseseoit	---|--|------|-|----|
desprouoiresprinc e sestoit	--|--------|-----⌫-⌫|-----|
eues quesiertdela	----⌫---|---|-|-|
celconse ilauoitild onné	--|-----⌫-|----|-|-⌫----|
as fausiuisde litrair	-|---|---|-|-|----|
et di stqueilcouuientmorir	-|--⌫-|--|-|-------|----|
unhommepo urtoutela gent	-|----|--⌫-|----|-|---|
mes ne ldistpasa escie nt	--|-||---|--||-----⌫-|
yydesdeciplesi estoient	-|--|-------||-------|
quiplus lamoiente t cremoien t	--|---||------|-⌫|--------⌫|
c ie r tsai n tpere	|--⌫-⌫|---⌫-⌫|---|
etsaintiehans	-|----|-----|
ladoleuruoient les	-|-----|-----|--|
quedi euduci elpour	--|--⌫-|-|--⌫-|---|
noussoufroit	---|-------|
icele nuit grantf ret fesoit	----|---|----|-⌫--|-----|
l a ouestoit dieus ame nez	-⌫|-|-----|----|---⌫--|
sainziehansies toit entrez	----|-----||--⌫---|-----|
queilcremoitperdrelauie	--|-|------|-----|-|--|
iehansleuitsilenpesa	-----|-|--|-||-|---|
uisgardoitpro ia	--|------|---⌫-|
quesoncompaignonl esten tr er	--|--|---------|-⌫--|--⌫--⌫-|
que ilseueut	--|-|-|---|
au feuchaufer	-|--|------|
illidi storuoistdoncauant	-|-|--⌫-|-|----|---|----|
ilientra paorotgrant	-||----|---|-|----|
mesneporquan tueoi ru ouloit	--|---------⌫|----⌫|-⌫-----|
quelendesonseigneur feroi t	--|--|-|--|-------|-----⌫|
nesaileq ueusdesa n emis	-|--|-|-⌫---|--|-⌫-⌫---|
iehanp arlemant el apri s	----|-⌫-|-|----⌫-||---⌫|
etildesl ac elemante l	-|-|----⌫--⌫|-|-----⌫|
fuiantsenuetmoult	-----||-|--|----|
leurmai ns f uesch apez	---|---⌫-|-⌫|----⌫---|
ilniserahuimes	-|||---|--|--|
dieus est entre lam alegent	----|--|----|-|-⌫--|---|
qui lacuso ientmoultsouuent	--||-----⌫---|----|------|
moultlaloient tuitencerchant	----||------|---|---------|
sauoirsilleent repreiss ent	-----||-|-|---⌫--------⌫--|
itrouuerent se bien non	|---------|-|---|--|
e tsi letiennentp o urb ricon	-⌫|-|-|-------|-⌫-⌫-|-⌫----|
trestuits e tiennent	-------|-⌫|-------|
cilhomsfontil e s t demalart	--|---|---|-|-⌫-⌫|-|--|--|
qui filzdieucef e t	--|---|---|-|-⌫-⌫|
qua tendon snou sde litue r	-|-⌫------⌫|---⌫|-|-|---⌫|
un paut o n niersenestleuez	-|----⌫-⌫-⌫---||-|--|----|
asautresdistor m	-|-----|---|-||
acelseigneuroi ge	|--|-------|-|-|
que ia n e lep orroitdesdir e	--|-|-⌫|-|-⌫-----|------⌫|
ce l nostr etemple	--⌫|-----⌫|-----|
des fero it	---⌫----⌫-|
eten yyiors	-|-|-|---|
re f etlauroi t	--⌫-⌫-||-----⌫|
et estilore sipuissanz	-|--|-|--|-|-------|
salemonsimistyyanz	-------||---|-|--|
auoit pl usfet ne	----|--⌫-|--|-|
il s escri ent a uneuo iz	-||-----⌫--||--|--⌫-|
des erui aquil soitencroiz	---⌫---||-|-|---|-|----|
distkaiph as donc nastuhonte	---|-----⌫-|---||-|-|----|
decequecist preud o mste co nte	-|-|--|---|-----⌫-⌫-|-|--⌫--|
pourquoinerespo ns que	---|---|-|-----⌫-|--|
tu fessamblantqueilaitdroi t	-|--|-------|--|-|--|----⌫|
lidouzaigneausne disoitrien	-|---|-------|-|-----|---|
etka iphaslen queroitbie n	-|--⌫----||--⌫------|---⌫|
d ites parquel l o iuo us	-⌫---|--|---|-⌫-⌫|--⌫-|
quan tuousestes	----⌫|---|----|
tuit assemblez	---|--------|
ihesuslirespont bo n nement	-----|-|------|--⌫-⌫-----|
quanq ueiee nsaigne	-----⌫-|-|-⌫------|
estmoult bo nsicommei e croi	--|----|--⌫|-|----|-⌫|---|
seuo usissieztenir la	-|--⌫-------|----|-|
mescoumandemen z	--|-----------⌫|
mesuousnaue zmiebo n	--|---||---⌫|--|--⌫|
ie ne l dipasceleement	-|-||-|--|--------|
di ape r t ement	-|---⌫-⌫-⌫----|
queltempleaiiesermonné	-|-|-----|-|-|--------|
ouestiéstuita sse mblé	-|------|---|-⌫---⌫----|
u ouse tli autrecompaignon	-⌫--|-⌫|-|----|---------|
bien m auezo iabandon	---||---|-⌫||-----|
pourquoimeuas	---|---|-|--|
cidemandant	-|--------|
cequeiedis	-|--|-|--|
diiedeu a nt	-|-|---⌫-⌫-|
un sdesmestres lase	--⌫|--|------|-|-|
deiostelui qui	------|--|--|
ha ucelapaumeferul	--⌫--|-|----|---||
puisliad itquitenseigna	---|-||-⌫-|--||-------|
sifolem entasr espondu	-|-----⌫--|-|-⌫------|
pa runpetitquenetetu	--⌫|-|----|--|-|-|-|
ce s tnostreeu esq uequiparole	|-⌫-⌫|-----|--⌫---⌫-|--|-----|
uerslui asdit	---|--|-|--|
parolefole	-----|---|
ihesus li respon tsimplement	-----|-|------⌫|---------|
seie p a rl oie malement	-|-|-⌫-⌫--⌫--|-------|
de malnen portezte sm oig nie	-|--||-|-----|--⌫--⌫---⌫--|
gardezquenediezfolie	-----|--|-|---|----|
aibien distesp ertement	-|---|---|---⌫-------|
pourquo ime fiers	---|---⌫|-|----|
tu p our noient	-|-⌫--|-----|
ormerespon liu ns	-|-|-----|-|-⌫-|
parol eamoi s elonc	-----⌫||--|-⌫----|
i et eco niurdedieu	-⌫|-⌫|--⌫---|-|---|
eisfilzdedieulegrant	--|---|-|---|-|----|
quele dies apertement	--|-|---|---------|
oianttre sto teceste ge nt	----|---⌫---⌫-|----|--⌫-|
dieurespon t i el sui	---|------⌫|-⌫||--|
uo ireme nt	--⌫-----⌫-|
deso ruerroizle	--|-⌫|------|-|
filz marie	---|----|
enl angelielcompaig n ie	-||-------|-------⌫-⌫-|
ili ugeraetmorzet	-|-⌫----|-|---|-|
quibienferaenbiener t	--|---|---|-|---|--⌫|
i li seraauiugement	-⌫||---|-|-------|
bienseront	---|-----|
li commandement	-|-----------|
qui sauuerasiiertsauuez	--|------|-|---|-----|
qu id ampnerasi	--⌫|-⌫------|-|
iertdampnez	---|------|
oilefelkaiphas	-|-|--|------|
silesesisttos tpar	-|-|-----|---⌫|--|
susestsaillizcommedesuez	--|--|------|----|-----|
p arunpetitn est	-⌫-|-|----||--|
for sen ez	---⌫---⌫-|
auezoife tilmerueilles	---|-|--⌫|-|---------|
aclinez c a t ouzuos oreilles	------|-⌫|-⌫--|--|-------|
iaquerrion snousa cho i son	-|--------⌫|---|-⌫---⌫-⌫--|
pour quoi nous	---|---|---|
lentreprenission	|--------------|
ni aceluinelait oie	|||----|-||--|--|
q ueditesuo us	-⌫-|----|--⌫-|
desa u i e	-|-|-⌫-⌫|
e tcilresponnent	-⌫|--|---------|
nous sauonsb ien	---|-----|-⌫--|
communaument	-----------|
quil es tcorporables	-|-|--⌫|----------|
nous auons	---|----|
dr oit etilatort	--⌫--|-|-||---|
saint peresauoit pris	----|----|----|---|
entreuss estoitassiz aufeu	---|--||-----|----|-|--|
ilesgardoit et atend oit	-|--------|-|-----⌫--|
desonseigneurfe roit	-|--|-------|--⌫---|
un e fame lesgardeetdist	--⌫|---||------|-|---|
donc niestu	---||--|-|
desdeciplescrist	--|-------|----|
nenn ilfetila moiefoi	----⌫-|--|-||---|--|
sieisfet elepar	-|--|--|--|--|
cil quiauf eusontenu i ron	--|--|-|-⌫-|---|---⌫-⌫--|
lec onnurentalara ison	-|-⌫-------||-|--⌫---|
illideman dent	-|-|-----⌫---|
d o nc nies tu	-⌫-⌫-||--|-|
desdeciplesmestr eihesu	--|-------|-----⌫|----|
illeurr esp ont isnell ement	-|---|-⌫---⌫--|------⌫----|
nen nilfetilnesainoient	---⌫--|--|-|-|--|-----|
un s desd ecipleskaiphas	--⌫|--|-⌫------|------|
uersl ui saprocheyypas	---|-⌫-||------|-|--|
don c nete	---⌫|-|-|
u i ge huifet il	-⌫|-|--|--|-|
e ns embleolui enuncorti l	-⌫--⌫----||--|-|-|-----⌫|
lam efe ris tu det	-|-⌫|--⌫--|-|-||
siq ueloreille en oi	---⌫-||------|-|-|
ett esmestr esl a	-|-⌫-|-----⌫-|-⌫|
t otpouritantgar ircuida	-⌫-|---|----|---⌫-|----|
pierr escommenca amaudire	-----⌫-|-------||------|
aconiu re re tescondire	|-----⌫--⌫|-⌫|--------|
onques fetilcer tesne fui	-----|--|-|---⌫--|-|--|
n eior nenuitouequeslui	-⌫|--|-|---|------|--|
saint pere s uoit ni	----|----⌫|---|||
dilecsentornesisenua	|---||-|----|-||-|-|
quantd elapor te	----|-⌫|-|---⌫-|
s e nissoit	|-⌫|-----|
uneautrefame lapercoit	--|----|---||-------|
etdistp arle grant dieuiecuit	-|---|-⌫-|-|----|---|-|---|
cest unsd eceus qu i	|--|--|-⌫|---|--⌫|
la cenfuit	-||-----|
n onest diu aliautre di st	-⌫-|--|---⌫|-|----|--⌫-|
cuides tuqui ls	-----|-|-|-⌫||
en maudeist	-|-------|
uousme tenezu oir bien pourfole	---|-|----|-⌫--|---|---|---|
ielconn ois bien alaparol e	-||----⌫--|---||-|-----⌫|
tuiesd esihesun arazeu	-|--|-⌫-|----|-⌫-----|
et il respont non suipard ieu	-|-|------|--|--|--|-⌫--|
sa chiezque	--⌫----|--|
on quesme sne lu i	--⌫---|--⌫|-||-⌫|
fo rsseulem ent	--⌫-|------⌫--|
que ie lu o ici	--|-||-⌫-⌫|-|
quantce ot distlicos ch anta	----|-|-|---|-|--|--⌫---|
p ierres regarda	-⌫-----|------|
sainzpierres	----|------|
biendoncsap erco it	---|---||--⌫----⌫-|
q u e dieusditliau oit	-⌫-⌫|----|--|-|--⌫--|
q ueain cois queli cos	-⌫-|---⌫----⌫--|-|--|
que paryyfo izle renoias t	--|--|-|--⌫-|-|-------⌫|
hors senissipier reenesleure	---||-|---|----⌫-|--------|
delcuer soupiredes i eus pleure	--|---|------|--|-⌫--|-----|
sig ra ntduelaquen e	-|-⌫--⌫-|---||--|-⌫|
lpu etdire	|--⌫-|---|
ameremen t pleureetsou pire	--------⌫|-----|-|---⌫---|
orlairons cide sai ntpere	-|------|-|-|---⌫-|---|
dironsdedieul enostre	-----|-|---|-⌫|-----|
quiert entre lamale	--|--|----|-|---|
qu i l demenoientmoultuilment	--⌫||---------|----|------|
cilfust omec id esplain dire	|-|---|----⌫--⌫-|----||--|
oupireassez q ue	-|---|----|-⌫-|
nepuisdire	-|---|---|
nesai comment	-|--|------|
plusletr aita ssent	---|-|--⌫----⌫----|
neplus uilmen t ledeme n as sent	-|---|------⌫|-|----⌫-⌫--⌫---|
entreusf ormentle leidenioient	---|--|-⌫-----|-|-----------|
auqueu sles	------⌫|--|
denzli rechinoient	---|-|----------|
enmi leuis	---|-|--|
lo ntesc opi	|-⌫-|---⌫--|
li faus iuif	-|---|---|
ci lm escreantcil malc uiuert	--⌫|-⌫-------|--|--|-⌫-----|
le s ienbeauuis ilont cou u er t	-|-⌫--|---|--|-|--|---⌫-⌫--⌫|
en l a f ace f ierentihesu	-|-⌫|-⌫--|-⌫-----|----|
o r deuine quit	-⌫|-----|--||
d euin e t ostneta r gierpas	-⌫----⌫|-⌫--|-|--⌫-⌫---|--|
non ia lecomparras	--|-|-|--------|
ils eteisoi t	-|-⌫|------⌫|
mestozparloient	--|--|--------|
tuiten semblele debo toient	---|--⌫-----|-|----⌫-----|
liunsli dit	-|--|-|--|
e ntenta moi	-⌫----||--|
or d euineenlat euefoi	-|-⌫----|-|-|-⌫--|--|
etdi qui tefiert plus souuent	-|-|--|-|----|---|------|
set u l es e zapertem en t	-|-⌫|-⌫|-⌫-⌫|-------⌫--⌫|
ougeo ucil	-|-|-⌫|--|
quilate sgar de	--|-||-⌫----⌫-|
mauuei sem ent t enies prisg arde	------⌫---⌫--||-|--|---|-⌫---|
tuitens amble	---|---⌫----|
haucen tleur mai ns	------⌫|---|---⌫-|
puislidient tu n	---|-|----|-||
iespa s sain s	--|--⌫|----⌫|
ne tieus prop hetes comtu	-|----|----⌫----|--|-|
comment as tutorne ́tonuis	------|-|-|-----⌫|--|--|
donnentgranzcollees	------|----|------|
de leurpaumesquilontmou ltlees	-|---|-----|-|-|--|---⌫-|---|
lrefierentenl a face	|--------|-|-⌫|---|
quipl us estclereque n	--|--⌫-|--|----|--||
est glac e	--|----⌫|
etderec hief li dien ttuit	-|-----⌫---|-|----⌫|---|
orauo nsnous moult	-|---⌫-|---|----|
beaudeduit	---|-----|
diqu itefiertenmili	-|--⌫|-|----|---|-|
setu eisroisde paradis	-|-|--|---|-|------|
esg a rdenoustr est ouz ensamble	---⌫-⌫--|---|--⌫---⌫--|-------|
e tsin ou s	-⌫|-|-⌫--⌫|
di quetesemble	-|--|-|-----|
disoitnoien tlisire	-----|-----⌫|-|---|
quiiertsanzpe chi e	--|---|---|--⌫---⌫|
et sanz i re	-|---|-⌫-|
quesil uousistetild aignast	--||-|------|-|-|-⌫------|
tozlesarsist	--|--|-----|
et deuorast	-|-------|
on ttout enuitgabé	--⌫|----⌫|---|----|
e tescopi e t deb outé	-⌫|-----|-⌫|---⌫----|
tresqu au mat in queliiors f u	-----|-|---⌫-|--|-|---|-⌫|
tuit ensemblesontreu enu	---|-------|---|---⌫--|
leurconseilpristrentq uilferont	---|------|--------|-⌫|-|-----|
comfete mentil occirront	--|----⌫---|||--------|
liplusgrant et lima i or	-|---|----|-|-|--⌫-⌫-|
quide laloi erent seigno r	--|-|-|--|----|------⌫|
deuan teusf ont uenirihes u	-----⌫|--|-⌫--|----|----⌫|
d emandentliqu ieushoms	-⌫-------|-|--⌫---|---|
eistufilz dieuquidoit uen ir	--|-|---|---|--|---|---⌫-|
ne l nouscel erpaspour morir	-||---|---⌫-|--|---|----|
ihesurespont	----|------|
creiroitnest pas	-------||--|--|
seieuousparo le debi en	-|-|---|----⌫-|-|--⌫-|
uous ne menr espondroizderien	---|-||-|-⌫---------|-|---|
n epourice neleroizmie	-⌫|---|--|-|-----|--|
ne mefeissiez felonn ie	-|-|-------|------⌫-|
e td esorem es au endra	-⌫|-⌫-|--|-⌫-|--⌫----|
quelefi lz marie	--|-|--⌫-|----|
aladestresonp ere	|-|-----|--|-⌫--|
quiuoitdel cieliusquenabism e	--|---|--|---|----|-|-----⌫|
tour be li	----⌫-|-|
es tudonc f ilz	-|-|---|-⌫--|
au roidel mont	-|--|--|---|
u ousledi tesie	-⌫--|-|--⌫--|-|
l sui sanzfail le	|--|---|----⌫-|
ilneprisentto ut une	-|-|------|--⌫-|--|
touzensamble aincois ont	---|-------|------|--|
au ezoique cist a	--⌫-|-|--|---||
ors est ilmeis mesiugiez	-||--|-|----⌫--|-----|
etsi sestdelto t	-|-||--|--|--⌫|
iacuidoientla folegent	-|--------|-|---|---|
nousl epreissionpournoient	---|-⌫|--------|---|-----|
nonfeison s pasbond roi ta uons	--|------⌫|--|--|-⌫---⌫|-⌫---|
tres bie noci rele	---|---⌫|---⌫-|-|
quefilzdieusefet apeler	--|---|---|-|--|-----|
e troidelcielca	-⌫|--|--|---|-|
i usclamer	-⌫-|-----|
biencelmenonstost	---|-||-----|---|
chiezdanpilate lepreuos t	----|--|-----|-|------⌫|
de ua ntpila telontmene ́	--⌫--⌫-|----⌫-||--|----⌫|
forme nt ilecl	-----⌫-|---||
on tacusé	--⌫|-----|
sirefontilnoust ame non	---|---|-|---||---⌫--|
unfa usprophete e t unfelon	-|--⌫-|-------|-⌫|-|----|
toutede suo ie nostregent	----|--⌫---⌫-|-----|---|
dela loi die unes et	-|-|--|---⌫|-|-⌫-|
asesa r nos tre	|----⌫|---⌫--|
nedoitonrendre	-|---|-|-----|
sachieznous enauonsbeau	------|---|-|----|---|
aus cuersdolor se t	--|----|-----⌫|-⌫|
moultgrantire	----|----|--|
questroisdenous	-|--|---|-|---|
tueznefustpournous	---|-|---|---|---|
acusoientforment	--------|------|
icelefelonnesse	----|---------|
sicom ihesus l aiensuenoit	-|--|-----|-⌫----|-----|
unseri a nta	-|----⌫-⌫-||
pil ateestoit	---⌫--|-----|
uneblanchetouaill eti nt	--|------|-------⌫|--⌫-|
de u a ntih esusico mme	--⌫-⌫-⌫-|--⌫--|-|--⌫--|
l estendi ala	|------||-|
te r reius	--⌫-⌫-|--|
pour cequilmarch ast par	---|-|-|-|-----⌫--|--|
auoit fereala	----|---||-|
leior delapasqu edeua nt	-|--|-|-|-----⌫|----⌫-|
et i lequespo u rce lef ist	-|-⌫-----|--⌫-⌫|-|-|-⌫--|
qu e di eusencorage	--⌫|--⌫--|-|-----|
liiuifceluien	-|---|----|-|
blasmerent	---------|
etapilatesen	-||-----||-|
