formCi comence liseconz	---|-|------|-|-----|
delaconpangniedes	-|-|---------|--|
auocazquine soitob ligiezàcortreçoiueosfice	-----|--|-|---|--⌫-----|-|---|-------|-----|
esp rouincesquesil lescouoit entn eles	-|-⌫-------|--||-|--|------⌫--|-⌫|--|
aient etseil nelesue lent auoirn	----|-|-|-|-|--|--⌫---|----||
e nsoientaprés contrein z .	-⌫|-----|-----|--------⌫||
C iparol e des	-⌫|-----⌫|--|
auocazd ediu er sesioï s ses.	-----|-⌫|---⌫--⌫--|----⌫-⌫--||
parole desa uocaz	-----|--|-⌫----|
q ui sonten diu ersiuisescare n titre	-⌫-|---|-|---⌫--|-----|--|-⌫|----|
par desusauoit parlédel ofice	--|----|----|-----|-||----|
asauoca z.	-|-----⌫||
Tu auoiesple tsi auoi e sun auocazqui taid oi t	-|-----|---⌫|-|----⌫-⌫|-|-----|--||---⌫--⌫|
Sentencefudoneeencont retoit ufeis querelequeton	-------|-|----|------⌫-|--|-⌫|---|------|--|--|
auocaz tauoit	-----||----|
traïetuol oies	----|-|---⌫---|
quelasentencefus trapelee .	--|-|-------|---⌫|------||
Sial asà lempereor	-|--⌫-|-||-------|
etl empereresrespont	-||--------|------|
mo strerqueto nauocaz tait	--⌫----|--|--⌫|-----||--|
traïsachesqueilaura	----|-----|--|-|---|
sentenceenc ontresoi se lonclemesfet	-------|---⌫----|--|--⌫---|-|-----|
et reto rnera l en aupletder echiefmes se	-|----⌫----||-|-|---|---⌫-----|--|-|
tunemos trescequetudiz t u	-|-|---⌫---|-|--|-|--|-⌫|
seras disfamé come cil quimet f ausc rimeseurautrui	----|-------|---|--|--|--|-⌫--|-⌫---|---|-----|
etlasentence	-|-|-------|
uaudra désquelnest ape le ́.	-----|---|-|-||--|---⌫--⌫||
Li emperer eAnto nindit auprefetNosuoul onsqueles	-|-------⌫|----⌫--|--|-|-----|--|----⌫--|--|--|
auo caz deta cortet le sautresde	---⌫--|-|-|---|-|--⌫|-----|-|
touteslescorza ientc e	-----|--|---|-⌫---|-⌫|
qu ilgaangnero nt par	-|-|---------⌫-|--|
leur auo c acion toutprope aprésla m ort	---|---⌫-⌫----|---|----|-----|-|-⌫--|
d el eurperesausicome les	-⌫|-⌫--|----|---|---|--|
cheualie rs ontce	--------⌫-|--|-|
gaangn entdel eur cheualeri e.	------⌫--|-|-⌫--|---------⌫||
Ci st meim es	--⌫-|----⌫-|
emper ere sditauprefe t	-----⌫---⌫|--|-|-----⌫|
d e l apreuostéToutceque nosauons	-⌫|-⌫|--------|---|-|--|--|----|
ostroié pa rnost rela rge ceasauocaz qisont de	-------|--⌫|----⌫-|--⌫---⌫-|-|-----|-|---|-|
lapr efec ture dOriantpar	-|--⌫----⌫---||-----|--|
r euer a nc ed eleursestudescemeimes	-⌫----⌫-⌫--⌫|-⌫|----|------|-|-----|
ostroio nsparcesteloias	-------⌫-|--|----|--|-|
auocaz d euprefet de lacitéde	-----|-⌫-|-----|-|-|----|-|
C ist meim esdit à c estui meimesNosestabl i sons que	-⌫--|----⌫-|--|-|-⌫----|-----|--|------⌫-⌫---|--|
le s auocazquien	--⌫|-----|--|-|
lac o rtdela	-|-⌫-⌫-|-|-|
teuehaute cedoiuent mener	---|-----⌫-|------|----|
les causesne	--|-----|-|
soientcont reinzd enul eautrechose f ere nei s	-----|----⌫----|-⌫|---⌫|----|----|-⌫--|---⌫|
pre fetdelaciténeautres auocaz de sp r ouinc e snul	---⌫--|-|-|----|-|-----|-----|--⌫|-⌫-⌫-----⌫-⌫|--|
neleur c omantrien.	-|---|-⌫----|---||
Donqu es nu legarde	-----⌫-|--⌫-|----|
ne nuleoeurenenusc ontesàprandreou à	-|---|----|-|--|-⌫----|-|------|-|-|
ra ndrenenul eautre	--⌫---|-|---⌫|----|
choseneleursoitcoman dee for saucune	----|-|---|---|-----⌫--|---⌫|-----|
f oizqu il soi ent	-⌫--|-|-|---⌫--|
celeuseuleme ntoù il sontauoc az.	-|--|-------⌫-|--|-|---|----⌫-||
Et ci lqui	-|--⌫|--|
feracontre cestelo i ilpaiera	---|-----|----|--⌫|-|-----|
liures d o rparnondepe ine .	-----||-⌫|--|--|-|--⌫--||
Cist meimesempereresdit	---|-----|--------|--|
Nos establisonsq ueceusm eimesp reuiliegesaie nt	--|----------|-⌫-|---|-⌫----|-⌫---------|---⌫-|
le sauo caz quisontenla pr efet ur edEs clauonie	--⌫|---⌫--|--|---|-|-|--⌫----⌫--⌫||--⌫-------|
lesauocazqui sont	--|-----|--|---|
en laprefeture d O ria nt .	-|-|--------||-⌫---⌫-||
Cistme imesempereresditPourcequelesau ocazdela	---|--⌫---|--------|--|-----|--|--|--⌫---|-|-|
prefeture pretorian eson t.	--------|---------⌫|---⌫||
parco mpe ne le ur	--|--⌫--|-|--⌫-|
compenedoitestrecreu	----|-|---|----|---|
neapet icié noscomandonsqueceu squi	-|----⌫----|--|--------|--|---⌫|--|
seronttrez	-----|---|
de celco mpe por estreauo cazd elempire	-|--|--⌫--|--|----|---⌫--|-⌫||-----|
deq ieucondicionsoien t	-|-⌫--|--------|-----⌫|
nosuoulon s	--|------⌫|
quils oient f ranc auecceusq ui	-|-|-⌫----|-⌫---|---|---|-⌫-|
so nttenuz pour franc .	--⌫-|----|---|----||
Et a présquilauront lessiécel	-|-⌫----|-|-|-----|------|--|
osfic e et	-----⌫|-|
passéil s eron tfo rsdel a conpangniea sauo cazet	-----|-|-⌫----⌫|--⌫-|-|-⌫|---------|-⌫|---⌫--|-|
t out ceqilgaangner ontaurontfranchem ent	-⌫--|-||-|--------⌫--|-----|--------⌫--|
aus icomont l escheua lie rs	---⌫|--|--|-⌫-|-----⌫---⌫-|
cequilg aangnent parcheualerien e	-|-|-|-⌫-------|--|---------|-⌫|
nele uraiexipuissent	-|--⌫-|---||-------|
r iensclamer.	-⌫---|-----||
Cist me imes empereres	---|--⌫---|--------|
ditauprefetNos comandonsque.	--|-|-----|--|--------|--||
a uoc azlesmeilleurs	-⌫---⌫-|--|--------|
quisonttrouez	--|---|-----|
entacortuiengne nt ch ascunan	-|-|---|-------⌫-|--⌫----|-|
del empire	-||-----|
et ilauront	-|-|-----|
sigranzdignitezesigranzpreuil ie ges com	-|----|-------||-|----|------⌫--⌫--|--|
a uoient auantcel	-⌫-----|----|--|
quiestoient	--|-------|
to u tse ulauoc a zd eu t resorl empereor	--⌫-⌫|--⌫-|----⌫-⌫|-⌫-|-⌫----||-------|
Cist meimesem pe reresditN o s estab lisonsquenus	---|-----|--⌫--⌫----|--|-⌫-⌫|-----⌫-----|--|--|
neoseaiosteras.	-|--|------|-||
a uocazquisont estab l ien t acort et qui	-⌫----|--|---|-----⌫-⌫|-|-⌫|---|-|--|
s ontde tonconseil l	-⌫--|-|--|-------⌫|
soitmis encontredecesauocazseil	---|--|-------|-|--|-----|-|-|
naest ée nesprueue	||---⌫-|-⌫|-------|
pardeuant le gouern eeu rde	--|-----|-|------⌫---⌫|-|
laprouinc eoùilfunez	-|-------⌫|--|-|-|--|
Etaitlestresfetespardeuant les	-|--|------|----|--|-----|--|
c uriauspar q u eilpuisse mostrerqu	-⌫-----|--|-⌫-⌫|-|-----|------|-|
i lnestobligiezàle statneà	-⌫||--|-------|-||-⌫---|-|-|
lacond iciond elaco rt.	-|----⌫----|-⌫|-|--⌫-||
Etcedoites trefetpar deuantle gouerneeur	-|-|---|--⌫--|--|--|-----|-|---------|
delapr ouince	-|-|--⌫-----|
seilest presentmes seil	-|-|--|------|--|-|-|
escript ureso itfetepardeuan t le desfendeeurdu	-------⌫--|--⌫-|---|--|-----⌫|-|----------|-|
chasteldomilest	------|--|-|--|
Etlessagesquiso ntdedroitl e ursmest re s	-|--|----|--|--⌫-|-|----|-⌫-⌫--|----⌫--⌫|
doiuenttesmongnierpar	------|----------|--|
leur sa ir ementque	---|--⌫--⌫----|--|
ceusquidoiuentestr emis en le u	---|--|------|----⌫|--|-|--⌫|
desautr essont	--|----⌫-|---|
biens ag esde	---|-⌫--⌫-|-|
Et les fuizdes	-|--|---|--|
auocazdetahautece quisontesp lez	-----|-|-|------|--|---|-|-⌫--|
ou quidésorena uant	-|--|---|-|-|-⌫---|
i aurontà e stre doiue ntestre	|-----|-|-⌫---|-----⌫-|----|
auantrece uz quea utres.	----|----⌫-|--|-⌫----||
Etceestablison senco reque	-|-|----------⌫|----⌫-|--|
ceus auocazqui	---|-----|--|
ser onttrou ezentacort ou tre	---⌫--|----⌫-|-|-|---|--⌫--|
lenonbre que nosauonsditpuissentest re	-|-----|--|--|----|--|-------|---⌫-|
auoca zpar	-----⌫|--|
deuantl ep r oconsul etd eup refetaugustelet	-----|-⌫|-⌫-⌫------|-|-⌫-|-⌫----|-------|-|
deu gouerneeur delaprouince.	--|---------|-|-|-------||
Liempe r er es dit	-|----⌫-⌫--⌫-|--|
a uprefet Nos	-⌫|-----|--|
establisonsquel auocatdeutresorne	----------|--||-----|--|-----|-|
f enissesonosficeen unan	-⌫-----|--|-----|-|-|-|
p arle iuise	-⌫-|-|----|
dela te uehautece et touzlespreu il iegesqui li	-|-|--⌫-|------|-|---|--|----⌫--⌫----|--|-|
son tostroiéso ienten	---⌫|-------|--⌫---|-|
leur estat	---|----|
Liem pereres di tNos receuons	-|--⌫------|--⌫|--|-------|
lapeticion quil nos	-|-------|---|--|
baillere ntlesmout sa ges homes	--------⌫-|--|---|--⌫--|----|
lesauocazd Alixandrequ eil	--|-----||--------|--⌫|-|
nosfirentdelaesc r itu re	--|-----|-|-|---⌫-⌫---⌫-|
dele urconte et	-|--⌫-|----|-|
lesauocazdeu	--|-----|--|
Etc e establisonsque.	-|-⌫|----------|--||
soiente stabliz	-----|-⌫------|
et leur snons soient esc rit	-|----⌫|---|-----|---⌫--|
enbriefde s auocaze t	-|----|--⌫|-----|-⌫|
ildoientuser de	-|-----|---|-|
leurosf i ceparde uantle pre f etau gu steletpar	---|---⌫-⌫-|--|--⌫---|-|---⌫-⌫-|--⌫--⌫---|-|--|
de uantl educdEgy pteas ch eualiersqui	--⌫---|-⌫|--||---⌫--|-|--⌫-------|--|
lesde m a nderont .	--|--⌫-⌫-⌫------||
Lesautr e squi seront out rece	--|----⌫-⌫|--|-----|---⌫-|-|
nonbre pourontal lege rpar deuantlesautresiuges	-----|------|--⌫----⌫|--|-----|--|-----|----|
de l a citéd	-|-⌫|----||
A li xandr e.	-⌫--⌫-----⌫||
Etle sfu izdeceusq ui serontestablien	-|--⌫|--⌫-|-|---|-⌫-|-----|------|-|
nonbre serontpar deu antl es autres	-----|-----|--|---⌫--|-⌫-|-----|
qui son toutre	--|---⌫|----|
lenonb re.	-|----⌫-||
Etquantla uocazdu tresoristra	-|----||-⌫----|-|-----|----|
d eson osficeap re ́s.	-⌫|--|-----|--⌫--⌫-||
ild oites trehon ouréq u	-|-⌫--|--⌫--|---⌫----|-⌫|
ilaitla dignitédeurectord eprouin cemes pour	-|--|-|-------|--|-----|-⌫|------⌫-|--|---|
ce il nepe rdra	-|-|-|--⌫---|
pouoirde streauocaz q ua n tilfer abesongnepor soi	-----||-⌫---|-----|-⌫--⌫-⌫|-|---⌫|-------|--|--|
etpour sonpereetp ou rs a	-|---|--|---|-|-⌫--⌫|-⌫|
pourses enfanzet pou rsa	---|--|-----|-|---⌫|-|
fameetpourse scous ins iusq au car t	---|-|---|--⌫|----⌫--|---|-|---⌫|
Etquantilauend ra	-|----|-|-----⌫-|
a u ocazdeutres or moura ci lqui	-⌫-⌫---|--|----⌫-|----|--⌫|--|
ui entaprés doit estrereceue n	--⌫--|-----|---|----|----|-⌫|
N elesoirsdumort nenatende ntauoirnul	-⌫|--|---|-|---||-|------⌫-|----|--|
preuettouzles preu ilie gesqu il	---|-|---|--|----⌫----⌫--|-|-|
onteuiusquàoreet	--|-|----|-|--|-|
teueha utececontient durrontetseron t gard édéso re en	---|--⌫----|-------|------|-|-----⌫|----⌫-|---|-⌫-|-|
auant quil	----|-|-|
p uissen t parceste honor queno sleur don on s uiur e	-⌫------⌫|--|----|----|--|--⌫|---|---⌫--⌫|----⌫|
enpéset en reposque il naient	-|---|-|-|----|--|-||----|
àfere nulechose	-|---|---|----|
contre loruolenté.	-----|--|-------||
L iem pereresditLesauocaz qui	-⌫|--⌫------|--|--|-----|--|
depa rtentles detes	----⌫----|--|----|
de scausesetpar laforce del eurdesfensionredrecent	--⌫|-----|-|--|-|----|-|-⌫--|---------|--------|
lesc ausesde cheoi tes et	--|-⌫----|--⌫-----⌫--|-|
radoubentceles qu iso nt maumen eesilpouruoienta usi biena s	--------|----|--⌫|--⌫-|------⌫--|-|---------|-⌫--|---|-⌫|
g enzcomec eus qui parbatailles etpar plai essa uen t	-⌫--|---|-⌫--|--|--|--------|-|--|----⌫-|--⌫---⌫|
lat erreetlesgenz.	-|-⌫---|-|--|---||
Etnoscreons que	-|--|-----|--|
nons eulement cheuauchentennostreempire ceusquiportent	--|-⌫-------|----------|-|-----|-----|---|--|------|
lesescu zetle s hauberz	--|----⌫|-|--⌫|------|
mes enc ore lesauocazcar	--|---⌫--|--|-----|--|
le sauocazs ontcheualier	--⌫|-----|-⌫--|--------|
quipar lafi ancedeleurparoled esfe ndentl	--|--|-|--⌫---|-|---|-----|-⌫----⌫----||
esp erance deceu sq uitrau aillente leuruie	---⌫-----|-|---⌫|-⌫-|----⌫------||---|--|
et ceus quisontà	-|---|--|---|-|
Liemper eres L ions di tNosiu ion s	-|-----⌫---|-⌫---|--⌫|--|--⌫---⌫|
au ocazquiso nt establiaient ces meismespreuiliges qui	--⌫---|--|--⌫-|------|----|--|------|---------|--|
ontles auo caz	--|--|---⌫--|
d eutresoretleurs	-⌫-|-----|-|----|
fui zapr ésles .	---⌫|---⌫--|--||
a uoca zdeu	-⌫----⌫|--|
tresorqui usentdece usmeimespreui leges .	-----|--|----|-|--⌫-|-----|-----⌫----||
aiost om queseaucun auoc azdeutre s or uient àgregneur	-----⌫-|--|-|----|----⌫-|--|---⌫-⌫-|----|-|-------|
dignité etil muert quildoieau o irt out le	-------|-|-|----|-|-|---|--⌫-⌫-|-⌫--|-|
loierdelan par	----|-||-|--|
siquilsoit randu zà ses oirssoients es	-|-|-|---|-----⌫|-|--|---|-----|-⌫-|
fuiz o uso ientest rangesouilfacetestamentou	---|-⌫|--⌫---|---⌫-----|-|-|---|--------|-|
C is t mei mesd itNosuolo n sque.	-⌫--⌫|---⌫--|-⌫-|--|----⌫-⌫|--||
auocazdetacortaie nt	-----|-|-|---|---⌫-|
ceus meimespreuiliegesqueont	---|-----|----------|--|--|
lesauocazdeu tr esorlempereor	--|-----|--|--⌫---||-------|
àsenb lan tde.	-|----⌫---⌫|-||
auoc azqi sont	----⌫-|-|---|
de lacort deupref et	-|-|---|--|----⌫-|
Cistmeimes di tNo scoman donsque	---|-----|--⌫|--⌫|-----⌫---|--|
lesauocaz delateuehau t ec esoient e n serréen non bre	--|-----|-|-|---|---⌫-⌫--⌫|-----|-⌫-⌫-----|-|---⌫--|
etcelnon bresoit a co mpli	-|--|---⌫--|---|-⌫--⌫---|
iuised ela teue	----|-⌫|-|---|
hauteceseilestapeticié parm ortou	------|-|-|--|--------|--|-⌫--|-|
parautr e auenture q ue celnonbre soitp lein	--|----⌫|-------|-⌫-|--|-----|---|-⌫---|
deciquà .	-|-|-|-||
n iai tnulqi soit dec o hartal c ondic ionou	||--⌫|--|-|---|-|-⌫-⌫-----|-⌫-----⌫--|-|
saluesoitleur accionas	----|---|---|-----|-|
semoneorscontreeusse ilenontauc un e.	--------|-----|--|-|-|-|--|---⌫--⌫||
Etaprés que.	-|-----|--||
anzse ront pas se ́seil	--|--⌫---|---⌫--⌫|-|-|
uelent es treaiostéen tacort ce nedoitestre	-----|--⌫--|------|-|-|---|-|-|---|----|
fetsanz escritur e	--|---|--------⌫|
quisoitfetepardeuantiugeetque	--|---|---|--|-----|---|-|--|
mostre quenesonttenua ̀cohartalcondicion.	-----|--|-|---|---|-⌫|-------|--------||
Ettouzlespreu ilieges qui sonto s t roi e ́ par	-|---|--|----⌫------|--|---|-⌫-⌫-⌫---⌫-⌫|--|
le sempereors quif uren tdeuantnose tp ar	--⌫|--------|--|-⌫----⌫|-----|--|-⌫|-⌫-|
nozmeime s	--|-----⌫|
asauo cazdela prefecture d	-|---⌫--|-|-|---------||
Oria ntuoulons qu i soientostr oieza s	----⌫-|------|-||-----|----⌫---|-⌫|
auocaz dela teue ha u tecesan z nuled iferanceet	-----|-|-|---|--⌫-⌫---|---⌫|---|-⌫-------|-|
cee s tabliso ns par	-|-⌫-⌫-------⌫-|--|
ceste loiqui	----|--|--|
uaudra tout	-----|---|
Ciparol edes auo caz dediuers	-|-----⌫|--|---⌫--|-|-----|
Ci uien tunautretitrequi parole	-|----⌫|-|----|----|--|-----|
de sauocazde di u er s iugeset esttele diferanceen tr e	--⌫|-----|-|--⌫-⌫--⌫|----|-|--|---|--------|--⌫--⌫|
cis t titreet	---⌫|----|-|
celui desusqueceliparole des	----|----|--|---|-----|--|
auocaz quisont encoreenl	-----|--|---|-----|-||
au ocacion cestpar oledeceus	--⌫------|---|---⌫--|-|---|
q uiont lessiélof ice .	-⌫-|--|------||--⌫--||
Li empereresAnestaise dit	-|--------|--------|--|
Nosrece usme s	--|----⌫----⌫|
l apeticio ndeuh aut barondeucont ed e nozpriuees	-⌫|-------⌫|--|-⌫--|----|--|----⌫|-⌫|--|------|
chosesetpr ocon suld A ise.	-----|-|--⌫----⌫--||-⌫--||
Si nosadonéà	-|--||----|-|
entend requ e	------⌫-|--⌫|
les auoca z	--|-----⌫|
desacortontdema ndé comunementquepuis	-|-|---|--|----⌫---|---------|--|---|
quil les se rentl osfice	-|-|---⌫--⌫---||-----|
dauoca ci on	|-----⌫--⌫-|
aientaucune	----|-----|
d ignitéetn osc omand on squecha sc und euspuisqu	-⌫------|-|-⌫-|-⌫-----⌫--⌫|--|---⌫--⌫-||--|---|-|
ilauront less ié	-|-----|----⌫--|
leur osfi ce ceus q uiso nt etquidés oreen	---|----⌫-|---|-⌫-|--⌫-|-|--|---|--|-|
auantserontescrit enbrief des	----|-----|-----|-|----|--|
auocazqu il aient la	-----|-|-|----|-|
dignitéduclerord redecontes i	-------|-|---|---⌫-|-|----|-⌫|
que ilai ententensde	--|-|--⌫--|-|---|-|
reposfruitdeleur trauaill	----|----|-|---|-------|
porcequ illoiaume n t aiderentà ceusqide	----|-|-|-------⌫-⌫|-------|-|---|-|-|
leuraideauoientmestier d oiuentestred epartide	---|---|------|------|-⌫-----|----|-⌫-----|-|
lamultit udedes	-|------⌫--|--|
au tres homesetdoiue nt estrenonb réascler s	--⌫---|----|-|-----⌫-|----|----⌫--|-|----⌫|
Cist meimesditLes	---|-----|--|--|
a uoca z de ta gra nt cortqui	-⌫----⌫|-|-|---⌫-|---|--|
s ontapele ́enleur tensà c e	-⌫--|-----⌫|-|---|---|-|-⌫|
quildoiuente streauo caz deutreso ret	-|-|------|-⌫---|---⌫--|--|-----⌫|-|
leurfuisquilont ou	---|---|-|-|--|-|
quil au rontuoulons quesoient quitede	-|-|--⌫---|------|--|-----|----|-|
t outecondicio nd e seruitudeet tout leur patremoine	-⌫---|--------⌫|-⌫|--------|-|---|---|---------|
a quenosauons	|--|--|----|
ostroiécemeismesasa uo cazdela	-------|-|------|-|-⌫--⌫--|-|-|
pref etu re preto riane	----⌫---⌫-|-----⌫----|
e tà ceusdelapr ef etur e	-⌫|-|---|-|-|--⌫--⌫----⌫|
etlespoestezdeceles etde late ue	-|--|------|-|----|-|-|-|--⌫-|
cortserontser eu rs .	---|-----|---⌫--⌫-||
Liempere r esdi tLofi ce d auoca cie	-|------⌫-⌫-|--⌫||---⌫-||-----⌫--|
es tmou t a ̀loere tmout	--⌫|---⌫|-⌫|---|-⌫|---|
necessaireàlauiedes	---------|-|-|--|--|
homes e tsidoitestregu erredonélargementdesprinceset	----|-⌫|-|---|----|--⌫--------|--------|--|------|-|
pour ce si comand ons quelesclers baron sles auocaz	---|-|-|------⌫--|--|--|----|-----⌫|--|-----|
deu tres orl e mpereor quisont entac ort	--|----⌫-||-⌫------|--|---|-|-|-⌫--|
saien tescritp ar notremein	-----⌫|-----|-⌫-|----|---|
entre l eshauzh omes	----|-⌫-|---|-⌫---|
lescontesdenostreconsistoireet celuiiordela	--|-----|-|-----|----------|-|----|--|-|-|
hautefestedes calande s de genui er et	----|----|--|-------⌫|-|-----⌫-|-|
ceseulement en	-|--------|-|
cel anqu il se ro nt en telosfice	--|-|-|-|--⌫--⌫-|-|--|-----|
etpuis q u	-|---|-⌫|
ill esseront	-|-⌫-------|
cel osfice	--|-----|
seilontfuisquisoientfranc	-|-|--|---|--|-----|----|
n eïfilserontaioste ́ àlaconp angnie	-⌫---|-|-----|------⌫|-|-|----⌫-----|
d es tribunsetreceu rontlescostumees noz	-⌫-|------|-|-----⌫---|--|--------|--|
epi stress anz	---⌫----|-⌫--|
nulpaiement.	--|-------||
aucunamonesté	----|--------|
parlateuesemonseueutfere	--|-|---|------|---|---|
rec onoisance sur ladetequelenlidem ande	---⌫--------|--|-|---|--||-|-|---⌫---|
ouseurautrechose necouientquecesoit	-|---|----|----|-|------|--|-|---|
comandées peci a umentaui uge smesasauocazdeutresor	-------|--⌫----⌫-⌫----|-|-⌫---⌫|--|-|-----|--|-----|
quiseronten celu itensouàlun	--|-----|-|----⌫|---|-|-||-|
deusseamb edeu s	|--|-|---⌫----⌫|
n ipueent estre mes	||-----|----|--|
si com e ste ncostume ́partesmoi n	-|--|-⌫-|-⌫--------⌫|--|------⌫|
descr iture.	|----⌫----||
Etse aucun uel t	-|-|----|---⌫|
mostrerqu es esen f anz so ntde	------|--⌫|-⌫-|--⌫-⌫--|--⌫-|-|
loialmatre moine quisontengen dréde	----|-----⌫----|--|---|-----⌫---|-|
matrimoinequi fu	---------|--|-|
fezs en zinstrume nz dotels entrebar onetfame q i s	--|-⌫--⌫|--------⌫-|-----|----|---⌫-|-|---|-⌫||
aiost oient e nsen ble àcouragedematremoine	-----⌫----|-⌫----⌫--|-|------|-|---------|
etceueilleprouer	-|-|-----|-----|
p arbon es a legacionsil p ouramostrer	-⌫-|---⌫-|-⌫--------|-|-⌫---|------|
sesal egac ion spar	--|--⌫----⌫---⌫|--|
auoca zdeut resorou p ar	-----⌫|--|-⌫----|-|-⌫-|
deus seanbedeus n ipueent estre	|--|-|-------|||-----|----|
escritureens oi tfeteeinsincque	--------|-|-⌫--⌫|---|------|--|
lesp ersonesqui nes ero nt à	--|-⌫------|--|-|-⌫---⌫-|-|
c equeaientle urdroi tsauf.	-⌫|--|----|--⌫-|----⌫|---||
Etestrecece us quiuelentfr anchir	-|----|-|--⌫-|--|-----|--⌫-----|
par deua ntlesconsel snos uolonsque c ez	--|----⌫-|--|------⌫|--|-----|--|-⌫-|
deuantd iz auocaz	-----|-⌫-|-----|
puissent done r au torité àce fere.	-------|----⌫|--⌫------|-|-|---||
Touzle sa utrespr euil ieges	---|--⌫|-⌫----|--⌫----⌫----|
quileursont ostroiéserontfermemen t	--|---|---|-------|-----|--------⌫|
Li empereresIustinian	-|--------|--------|
ditNo suolonsqueles.	--|--⌫|-----|--|--||
liuresdor quesuelent	-----||-|--|------|
auoir lesauoca zdeutreso rqueleurtoli	----|--|-----⌫|--|-----⌫|--|---|---|
liempereresZenet lesasena as	-|--------|--|-|--|----|-|
menusiuieset à ce usqui es toi entestablizàprisier	----|----|-|-|--⌫-|--|--⌫---⌫--|-------|-|------|
lespl ege s	--|--⌫---⌫|
quedonoientcexq ui auoient les chosesdes	--|-------|--|-⌫-|------|--|-----|--|
or felin sengarde soie nt	--⌫-----⌫|-|----|----⌫-|
rand uesasauocaz	----⌫--|-|-----|
ca r cequiest ostroiéàun	--⌫|-|--|--|-------|-|-|
prima tà to uzce us quisont	-----⌫|-|--⌫-|--⌫-|--|---|
desouzlui senb le e streostroié.	-----|--|----⌫-|-⌫---|-------||
Etl esepistrespar	-|-⌫-|-------|--|
l esqueleslesclersbarons l es t ribuns	-⌫-------|--|----|-----|-⌫-|-⌫-----|
sontreceuzuolo nsque soientdoneesà un non	---|-----|----⌫-|--|-----|-----|-|-|--|
pa r n omdunse u lementm esparnon	--⌫|-⌫-||-|--⌫-⌫-----|-⌫-|--|--|
de la utre .	-||-⌫---||
Ausiseilu eul ent honourer	---|-|-|-⌫---⌫--|-------|
ouautre sencor e leur	-|-----⌫|-----⌫|---|
uolon feregregneurbenefice dedo nerlorleslest respar	----|---|-------|-------|-|--⌫--|--|--|----⌫--|--|
lesquelesla nobledignitéest honoree.	--------|-|----|-------|--|------||
Etceostroionsn os à d on eren	-|-|--------|-⌫-|-|-⌫--⌫-|-|
nond e lu n s eulementmes il profiterontbien	--|-⌫||-⌫|-⌫-------|--|-|----------|---|
à lautre s e celui	-||----|-⌫|----|
àcui sontostroié lecrea nte	-|--|---|-------|-|----⌫--|
ou autre s del eurprouin cesoud eleuramisqui	-|-----⌫|-|-⌫--|------⌫--|-|-⌫|---|---|--|
uiuentnequede ntes	-----|-------⌫-|-|
prouinces.	--------||
Estrece nosdononscongiéàceus m eimesqueil	----|-|--|-----|------|-|---|-⌫----|--|-|
nososfrentchasc an .	--|------|----|-||
hom esà ces m eime sos ficesquiserontdon ez e s	---⌫-|-|--|-⌫----⌫|--⌫----|--|-----|---⌫-|-⌫|
establiss emenzdel ostelqui	---------⌫----|-||----|--|
sont enpr esent (etli unsserades c heualie rs	---|-|--⌫----||-|-|--|---|--|-⌫-------⌫-|
lautredesp eons	|----|--|-⌫---|
)enle udeceus qu isontmortnenulle	|-|--⌫|-|---|--⌫|---|---|-|----|
couenanceauoientfeteà e us quant iluiuoientd e ue ndre	--------|------|---|-|-⌫-|----|-|-------|-⌫|--⌫---|
l eurcheualerieparsiquec eus saieshomes osferront	-⌫--|---------|--|-|--|-⌫--|----|----|--------|
I l d eurontp our	-⌫|-⌫-----|-⌫--|
chas cun .	----⌫--||
milesolzetn oiantplusasgranzbarons	---|---|-|-⌫----|---|-|----|-----|
as con tesd espeons des c heualiers	-|---⌫--|-⌫-|----|--|-⌫--------|
pourcequ ilsont	-----|-|-|---|
mis a unombre	--|-⌫|-----|
descheual iersà	--|------⌫---|-|
celdespeons	--|--|----|
pourc eqil	-----⌫||-|
estnonbr éentre lespeo n s.	--|-----⌫-|----|--|---⌫-⌫||
Et sit o st leursero ntestabli	-|-|-⌫-⌫-|---|----⌫-|------|
le ur soudee s à cezn o uiax comont	--⌫-|------⌫|-|--|-⌫-⌫---|--|--|
les autressanznuleaut re despensseetsi	--|-----|---|---|---⌫-|--------|-|-|
a i entsaufleurautrepreuiliegequi l ont	-⌫-⌫--|---|---|----|---------|-|-⌫|--|
gaangnié endiuerst enso u par letresd	--------|-|-----|-⌫--|-⌫|--|-----||
emp e reors ouparlesordene men zde t a cort	---⌫-⌫----|-|--|--|------⌫---⌫|-|-⌫|---|
carceu s quenosi uei o ns	--|---⌫|--|--||---⌫-⌫-|
pourdignes cesdoiuent estreplusa idédenos et	---------|--|------|----|---|-⌫---|-|--|-|
essaucié.	--------||
Ciparo le desauocazqi	-|----⌫-|--|-----|-|
plaidoientpo r la dr oituredelt resorle mpereeur.	---------|--⌫|-|--⌫-----|--|-⌫----||-⌫-------||
Ciuient untit r equiparoledes	-|----|-|---⌫-⌫|--|-----|--|
auocazdeut resor	-----|--|-⌫----|
lem pe reor.	|--⌫--⌫---||
Unsh uemfu auoc az deutr e sor	--|-⌫--|-|----⌫-|--|--⌫-⌫--|
l empereor	|-------|
et nau oiteupointde	-||--⌫--|-|----|-|
sa laire .	--⌫----||
Oruouloitestreauocazcontrele tresorpour autreet	-|------|----|-----|-----|-|-----|---|----|-|
li empereres	-|--------|
