entre normendieet bre taigne	----|--------|-|---⌫-----|
c il quilecuerottrop	-⌫-|--|-|---|-|---|
par g rant air	--|-⌫---|--|
enlefontainepor emplir	-|-|-------|--|-----|
porle morbeu	--|-|--|--|
cho uquesera	---⌫|--|---|
en ient erragrains	-||---⌫---|-----|
bar isiausrespains	---⌫-----|-------|
e n lefont aine der echief	-⌫|-|----⌫---|-|-⌫-----|
d eustperdr ele cief	-⌫---|-----⌫|-|---|
ne nentrastilgo u te dedens	|-⌫|------|-|--⌫-⌫-|-----|
ci lkid angoisseestraintlesdens	--⌫|-||-------|-------|--|---|
parmo u tgrantireseleua	--|--⌫-⌫|----|--|-|---|
hermitag e se nreua	--------⌫||-⌫|---|
a lhermit ed is tsauent u re	||------⌫|-⌫--⌫||-----⌫-⌫-|
etasesho meset	-||--|--⌫--|-|
par lessainsdieu ienen ai	--|--|----|---|-||-|-|
mism entent etoute	--||------⌫|----|
men seuctanten tremetre	|-|---|---|--⌫-------|
nelebareilla dedensme tre	-|-|-----|-|-----|--⌫--|
porqued edensene ntras t	--|--|-⌫----|-|-⌫-----⌫|
mai sparlame de	---⌫|--||--|-|
moncors toute	--|---|----|
nuliou rreposn arai	--|---⌫|----||---|
neiourn e nui t	-|---|-⌫|---⌫|
ne f iner a i	-|-⌫----⌫-⌫|
sili araitoutpl a inrendu	-|-|---|---|--⌫-⌫-|----|
at ant apelalerendu	|-⌫--|----|-|----|
u ousmaués mise nm a l t r epel	-⌫--||----|--|-⌫|-⌫-⌫|-⌫-⌫---|
poruodyabl e deb arel	--|-|-----⌫|-|-⌫---|
mar fustilcarpenté s	--|---|-|---------⌫|
carporlui araisi grant fai s	--|--|--|---|-|----|---⌫|
queia maisuoi rn ar a i seiour	--|-|---|---⌫||--⌫-⌫|-----|
n e bienneaise nuitne	-⌫|---|-|---|---|-|
neia maisnertmesch ieslaués	-|-|---||--|--|--⌫--|-----|
ne ien ereton dusne res	-|-||--|---⌫--|-|--|
onglen erent tondu	----||----|----|
sarai cest couuent aten du	|---|---|------|----⌫-|
ettouta pieenfinirai	-|---||--|-|--|---|
et sansm onoiem	-|---|-⌫----||
keian enpo rteraidenier	-|-||-|--⌫-----|-----|
painnebastonenmen	---|-|-----|-|--|
ler mitel o t tenr eme nt	|--⌫---||-⌫|----⌫---⌫-|
frerefaitil comme	----|---|-|----|
a malheure	|--|----|
uousnasquistesonquesde mere	---|---------|-----|-|---|
certe s sunsenfesleustmis	-----⌫||--|----||---|--|
enlefontaine etademis	-|-|-------|-|-----|
eustilpuchiétoutp lain	---|-|------|---|-⌫---|
e tuous nenauésneis ungrain	-⌫|---||-|----|---|-|----|
lere s ce estpor uospechies	----⌫|-|--|--|--|------|
es tsiauouscourchié s	--⌫|-||---|---------⌫|
maisor ueut ilparsapita nche	---|-|---|-|--|-|----⌫---|
k euousfach ié s uopenitanche	-⌫|---|----⌫---⌫|-|---------|
etqu euocorspo r	-|--⌫|-|---|--⌫|
luigreués	--|------|
ornesoiiésmie d erués	-|-|------|--|-⌫-----|
m aisseru ésdi eubi endoucem ent	-⌫--|----⌫--|--⌫-|--⌫-|------⌫--|
et cie usrespon tiree men t	-|---⌫-|------⌫|----⌫---⌫|
p ordi euuoirnelefaiciou mie	-⌫-|--⌫-|---|-|-|---|--|--|
ainslefacparfinear amie	---|-|--|--|---|--⌫---|
etpa r grantire et p aran ui	-|--⌫|----|--|-|-⌫-|--⌫-|
cen est pordieune porautru i	-||--|--|---|-|--|-----⌫|
asesho me sdist	|--|--⌫--⌫|---|
ortostd istilalés	-|---|-⌫--|-|----|
et mencheuale nremenés	-|--|-----|-⌫|-------|
paisque uoustene ́s	---|--|---|----⌫-|
se nu s demoiauouspar ole	-|--⌫|-|--||---|---⌫--|
n e leuren ditesiaparol e	-⌫|---|-|----|-|-----⌫|
neunneel ne	-|-|-|-|-|
maistenés pai ssisoiiésc oi	---|-----|---⌫|-|------|-⌫-|
etsiuiuésa	-|-|-----||
ca r iesuicilkiia mais	--⌫|-|--|--|-|-|---|
ioursa ns paineetsanst rauail	---|--⌫-|----|-|---|-⌫-----|
po urcestd yabledebareil	--⌫-|---|-⌫----|-|-----|
quemalfus etm aleflam e arde	--|--|--|-|-⌫--|----⌫|---|
carmaufe lonteuengard e	--|----||--|-|-|----⌫|
kil ontiecuictoutencant é	-||--|-|---|---|------⌫-|
m aisie uous di	-⌫--|-|---|-|
ainscerquerai ala reon de	---|--------||-|----⌫-|
tr esto utesle siauesdel monde	--⌫----⌫---|--⌫|----|--|----|
t outplainne li raport	-⌫--|----|-|-|-----|
atantsen ua	|---||-|-|
sansnuldeport	---|--|-----|
s i estissu s	-⌫|--|----⌫|
et le bare il	-|-|----⌫-|
ason colport e	|--|--|----⌫|
s achiésa d ire	-⌫------||-⌫--|
quilnep orta	-|-|-|-⌫---|
neistant dauoir	---|---||----|
dont ilpresist quatre	---|-|------|-----|
drasquilauoitues tus	---|-|-|----|---⌫--|
etsis e mist tousseusa uoie	-|-|-⌫|---|---|---||---|
ke nusfors diex ne	-|--|---|---|-|
or sachiés quepartanssara	-|-------|--|--|---|---|
quelspri uances iltrouu era	----|---⌫-----|-|-----⌫--|
et nu is etioursetsoirset mains	-|--⌫-|-|----|-|----|-|----|
puisquilua	-----|-|-|
p ar estranges m ains	-⌫-|--------|-⌫---|
ilarapaudese sdelis	-|--|--|-|--⌫|----|
ma isdur sosteuset	--⌫-|---⌫|-----|-|
painetfroi d ecui sine	---|-|----⌫-⌫|---⌫---|
pouerte ert	------|--|
souu ent sa uoisine	----⌫--|-|------|
painee ttrauaus	----|-⌫|------|
passe le st ertr es et	----|--⌫|-⌫----⌫-|-|
acascuneeuequeil	|------|--|--|-|
sen barisel met	--|------|--|
a esprueue	|-------|
mais neliuautcarrie ns	---|-|-|---|--|---⌫-|
ettousioursalumeetesp rent	-|---|----|----|-|---⌫---|
s egransiresi ledem ain e	-⌫|----|--|-|-|---⌫---⌫|
bi enpres ded emie s em aine	--⌫-|---|-|-⌫---|-⌫--⌫---|
ainc de m engier nelisouu int	---|-|-⌫-----|-|-|----⌫--|
uolentes neliui nt	-------|-|-|--⌫-|
parire metto ut enla	--|--|--|--⌫-|-|-|
etquant il	-|----|-|
uoitque lafamine	---|--|-|-----|
p uetdef fendr e	-⌫--|---⌫-----⌫|
selicouuintsareube ue ndre	-|-|------|-|----|--⌫---|
e t cangi erquelqu enusendi e	-⌫|-----⌫-|---|--⌫|--|-|--⌫|
por unepo ur e hir a u die	--|--|--⌫--⌫|---⌫-⌫-⌫--|
quimou testoitpour eethideuse	--|---⌫|-----|----⌫|-|------|
tel home trophonteuse	--|---|---|-------|
ne cape ron	-|----⌫--|
oirreparpluieetpar	----|--|----|-|--|
leuisqu ilot	-|--|-|-|-|
belet iouent	--|-|-----|
o tt ostca ngiéno irciettai nt	-⌫|-⌫--|--⌫----|--⌫---|-|---⌫-|
acascuneaigue quilataint	|------|----|-|-|-----|
s enbaris elmet	-⌫-|-----⌫-|--|
et es pai nt	-|--⌫---⌫-|
etlirepreuueet l i respaint	-|||-------|-|||-------|
m ai siln en	-⌫--⌫|-||-|
puet nisgouteauoir	---|--|----|----|
por nultrauail qu	--|--|------|-|
il pu ist auoir	-|--⌫--|----|
en sueffretr op	-|------|--⌫-|
se c aucemente	-|-⌫--------|
p e titdure	-⌫-⌫--|---|
esci llie etale e	----⌫---|-|---⌫|
tr espasse ́amain te ualee	--⌫-------⌫||----⌫-|----|
etmaintgrant tertretous de scaus	-|----|----|-----|---|--⌫----|
oirre parfroisoirre	----|--|----|----|
oirreparmi ces	----|----|--|
sauuecines	---------|
pa rmir o insesparmiespines	--⌫--|-⌫-⌫----|----|------|
est e n maintlie u	--|-⌫|----|---⌫|
li sans en cietpar maintegout e	-|---|-|---|--|-----|----⌫|
ora pa inesora anu is	-||--⌫---|-||---⌫-|
orama usiours	-||--⌫-|----|
etmalesnuis	-|----|---|
or estpoure s	-|--|-----⌫|
oreest mendis	--|--|-----|
ora r ampros nes etla is dis	-||-⌫------⌫--|-|--⌫-|--|
or n a nereube nec atel	-|||-|----|-|-⌫---|
ne puet trouuer	-|---|------|
ains t rue ue le sgens s ie mbrons	---|-⌫---⌫-|--⌫|---|-⌫|-⌫-----|
cr uexetsif elon s	--⌫--|-|-|-⌫----⌫|
porce quill e	--|-|-|-|-⌫|
uoient si nu	-----|-|-|
sigrantsifortetsime m bru	-|----|-|---|-|-|--⌫-⌫--|
s itainte t	-⌫|----|-⌫|
iu squescuisses	--⌫--|-|------|
estrumelé	---------|
que c ascuns	--|-⌫-----|
estmi edoute	--|--⌫|----|
aherberg iertrop le redout e	|-------⌫--|---|-|------⌫|
siquesouue n tgi soitascans	-|--|-----⌫-⌫|--⌫---|-|---|
enluinauoit ne ris ne	-|--||----|-|--|-|
ma istresgra ntireetgranta nui	--⌫-|---|---⌫-|--|-|----|-⌫--|
et bi enuouspuisdiredel ui	-|--⌫-|---|---|---|-|-⌫-|
nesepuet h umeliier	-|-|---|-⌫-------|
nesenlascueramoliier	-|--|--|---|-------|
fors tan t qu a	---|---⌫|-||
d ieus edementoit	-⌫--|-⌫|--------|
desgrans m esai s e squ	--|----|-⌫----⌫-⌫-⌫|-|
mais c estoit ene smer u ei llant	---||-----|-|-⌫----⌫-⌫--⌫----|
carc enertmie en	--|-⌫||--|--|-|
qua nt l i auoirsfudesp endus	---⌫-|-⌫|-----|-|----⌫----|
dequoii lotses d ra suendus	-|---|-⌫|-|--|-⌫--⌫|-----|
si notmiedupain	-||-|--|-|---|
or les t e ura	-||--⌫-⌫-⌫--|
afor ceaprendre	|---⌫-|-------|
atr uandersil ue utmengier	|--⌫-----||-|--⌫-|------|
pass étoutsida ngier	----⌫-|---|-|--⌫----|
aise na uera	---||-⌫---|
maismal assesta ntcomuiura	---|--|----|--⌫-|--|----|
souenti unedeus ioursutrois	-----|-⌫--|---|----||----|
et quantsesc uersestsidestrois	-|----|--|-⌫---|--|-|-------|
kiln epu e tpluslefainsoffrir	|-|-⌫|--⌫-⌫|---|-|---|------|
si uaq uerrepargran t air	-|-|-⌫----|--|----⌫|--|
d epainu mors eletu	-⌫|---||----⌫---||
hoire une gra nt	----|--|---⌫-|
ensicercatrestoutpoitau	---|----|-------|-----|
l emaine ettouraineet	-⌫|----|-|-------|-|
normendie franc eetborgoine	--------|-----⌫|-|-------|
prouenceete spaigneetga scoig ne	-------|-|-⌫------|-|--⌫-----⌫-|
ethongeri e etmoriane	-|-------⌫|-|------|
etpu illeetcalab reettos cane	-|--⌫---|-|-----⌫-|-|---⌫---|
etalemaig neetroumenie	-|-------⌫-|-|-------|
ettous lesplainsdelombardie	-|---|--|-----|-|--------|
etloheraine et toutauss ai	-|--------|-|---|----⌫-|
partoutmistsonco rs	--|---|---|--|--⌫-|
ne sai qu eplusuousconteroie	-|--|--⌫|---|---|--------|
hu it out eiour	--⌫|-⌫---⌫|---|
co ntén aroie	--⌫---||----|
to u t eslesdestre c e s quilot	--⌫-⌫-⌫-|--|------⌫-⌫-⌫|-|-|-|
maistantuousdi	---|---|---|-|
aunseulmot	|-|---|--|
quentr elame rcha	-|----⌫|-|--⌫|--|
dengletere	|--------|
keces paisclotet en sere	-|--|---|---|-|--⌫---|
iusquabarlet kisiet sormer	----||-----|-|---|--|--|
ne saroi e	-|-----⌫|
t er re nomer	-⌫--⌫-|----|
naitetcerkieet fustee	|--|-|-----|-|-----|
laine uiuierruinefontaine	--|-|-----|--|-|-------|
aigueen fermeneaigue saine	----|--⌫----|-|----|----|
k ilnaitsonbar isel	|-||--|--|---⌫---|
gou tepuch ié	---⌫-|----⌫--|
nonques dedensn enentragrains	|-----|-----||-|----|-----|
lep lusnepour le	-|-⌫--|-|---|-|
toutesaforc e	----|-|----⌫|
tou s iourscroistsi re et enfo rce	---⌫|----|-----||-⌫-|-|----⌫--|
et parmitoutesegrant paine	-|----|----|-|----|----|
qu ilotsifort eet	-|-|-|-|----⌫|-|
sigreuain e	-|-------⌫|
une merueillelirauint	--|--------|-|-----|
caronq ues	--|---⌫--|
encel l ieun e uint	-|--|-⌫--|-⌫|---|
kiltro uastquib ienl i desis t	|-|---⌫---|--|-⌫--|-⌫|-----⌫|
ne paramoursbien li fes ist	-|--|-----|---|-|---⌫--|
m aisaus siquetoutleh aiscent	-⌫--|---⌫-|--|---|-|-⌫------|
lela idengentet esc ar niscen t	-|--⌫-------|-|---⌫--⌫------⌫|
n us ne lidists e honte non	-⌫-|-|-|---|-⌫|----|--|
abosnie nmaison	|--|-|-⌫|-----|
n eporhon tec onl i pui st	-⌫|--|---⌫-||-|-⌫|---⌫-|
tenchierneme sdire	-------|-|--⌫----|
a nuluica rtant nesa dai gne	|----|--⌫|---||-|-⌫---⌫--|
a inshet tout le mo n tetdes d ai gne	-⌫--|--|---|-|--⌫-⌫|-|---⌫-⌫--⌫--|
queuo us diroietantal a	--|--⌫-|-----|---|--⌫|
etsuseti usetchaetla	-|--|-|-⌫-|-|--|-|-|
t ant qu eses	-⌫--|--⌫|--|
s i atain s	-⌫|-----⌫|
noirs et si destains	----|-|-|-------|
grantpainelecoun e us t	----|----|-|----⌫-⌫--⌫|
nushomta ntueuneleust	--|--|--⌫-|--|-||---|
lescheueusl onse thirechi és	--|------|-⌫--|-⌫|-------⌫--|
iusquases paulestous	----|-|--⌫-----|---|
le frontleuisage	-|----|-|-----|
otausi noirsc omme co uane	-|---|----|-⌫---|--⌫---|
lec ol q uilsolo itauoi rgros	-|-⌫-|-⌫|-|----⌫-|----⌫|---|
e tmagreiusqua s os	-⌫|----|----|-⌫|-|
d e fainestoittrestousue lus	-⌫|---|-----|-------|--⌫--|
lessor ciexgransl esie xrepus	--|---⌫---|----|-⌫-|--⌫|----|
lesbra celes lonsetpetis	--|---⌫----|---|-|----|
iusquasespaulles tous	----|-|--------|---|
etle scostestousdescouuers	-|--⌫|-----|---|---------|
cuir siaosaers	---|-||-|---|
keles c oste skidesous	-|--|-⌫----⌫|-|-----|
parmi le pel toutesliperent	----|-|--|-----|-|-----|
lescu i ssesetle sg ambe snu es	--|--⌫-⌫---|-|--⌫|-⌫----⌫|--⌫-|
no ireset grail lese t	--⌫---|-|-----⌫--|-⌫|
linerfliperentet lesu aines	-|---|-|-----|-|--|-⌫----|
tr es lesorteusiusques asaines	--⌫-|--|-----|------|-|----|
nauoi tnetiss unef ille	|----⌫|-|----⌫|-|-⌫---|
maistoutest	---|---|--|
noir t aintetharlé	---|-⌫---|-|-----|
auoec cekil	----|-||-|
est o its itai ns	---⌫-⌫-|-⌫|---⌫-|
fe blesetsi atains	--⌫---|-|-|-----|
qu a paines sepuetsoustenir	-||-----|-|---|--------|
baston l es tuettenir	-----||--⌫---|----|
dontilsapuie qua ntilua	---|-||----|---⌫-|-|-|
libar isia us mout	-|---⌫----⌫-|---|
eutporté sans nu lse iour	--|-----|---|--⌫|--⌫---|
un anetparnuit	-|-|-|--|---|
etpari our	-|--|-⌫--|
queuousd i roieen tel	--|---|-⌫-⌫---|-|--|
fulisi ens c ors	-|-|--⌫--|-⌫--|
trestout unan	-------|-|-|
merueilleest quila t antduré	--------|--|-|-||-⌫--|----|
tantaso uffert et en duré	---||--⌫-----|-|--⌫----|
k ilsent mout bienqueplus nepue t	|-|---|---|---|--|---|-|---⌫|
grant coseaufaire les tuet	----|---|||----||--⌫---|
arriere distquilse nrir a	------|---|-|-||-⌫|---⌫|
maisial ermitesn enrira	---|-||------||-|---|
ainspl o uerramaisqui l	---|--⌫-⌫----|---|-|-⌫|
at ant semist ta n tos t	--⌫--|-|---|--⌫-⌫---⌫|
toutapoiantde so n	---|------|-|--⌫|
soue nt seplaint	----⌫-|-|-----|
amoutbaston	|---|--|--|
toutes uoiesta nts esfor ca	-----|----|--⌫-||-----⌫-|
k alhermitages	|||--------||
auciefde lan le iour	-|---|-||-|-|---|
q ue ilpa rtidelli eusaintisme	-⌫-|-|--⌫--|--|--⌫-|--------|
leiourdeltres grantuenre di	-|---|--|---|----|-----⌫-|
trestoussif a isqueieuousdi	-------|-|-⌫-⌫-|--|-|---|-|
al her mitage s	||---⌫-----||
huimais orés com lia uint	------|----|--|-|-⌫---|
laiensentra	-----|----|
tousdole reus	---|----⌫---|
li sains ho mi	-|----|--⌫||
estoitto usseu s	-----|--⌫-|---⌫|
qui del uine seprendoi t	--|-|-⌫-|-|-|-------⌫|
agrantm erue illele	|----|-⌫----⌫---|-|
porcouqueilleui tsi	--|--|--|-|-|--⌫|-|
sidesrochiéetsideffait	-|---------|-|-|------|
l uinecounutri en	-⌫-|-|-----|--⌫-|
mais lebar eil conut	---|-|---⌫--|----|
qu i l au oita son col	-|-⌫|--⌫--||--|--|
car a utre foislauoitueu	--|-⌫---|---||----|--|
apela li sainspere	----|-|----|---|
si li aditbiaustres	-|-||--|----|---|
dousfr ere	---|--⌫--|
qu e lsb eso insu o usamenaca	--⌫-⌫-|-⌫---⌫--|-⌫-⌫-|----|-|
bareilquiuou skerca	-----|--|---⌫|----|
ie laiue u par maintes fois	-||-|--⌫|--|------|---|
huiaunantout sains	--||-|-|---|----|
i e leca rca i au	-⌫|-|--⌫---⌫|-|
plus belho me	---|--|--⌫-|
quifus t en lenpir ede romme	--|---⌫|-||-----⌫|-|----|
etau plusfo rtcemestauis	-|-|---|--⌫-|-||--|---|
iene sai silestmorsuuis	-|-|--||-|--|---||--|
car o n quespuis	--|-⌫-⌫---|---|
ne re uint chi	-|--⌫---|--|
m ais ormedi pa rt a	-⌫--|-|-|-|--⌫|-⌫|
quels homtu ese t	----|--|-|-|-⌫|
neuisit res poure	-|-|-|-⌫--|----|
es etsidespris	-|-|-|------|
se sarr asin	-|----⌫---|
teuscent pris	|------|---|
sestu asses poureset	|-|-|----|-----|-|
ienesa idonttu	-|-|--⌫|---|-|
maistuas trouué ma legent	---|-|-|------|--⌫-|---|
etcilrespontireeme n t	-|--|------|------⌫-⌫|
quiencore erttrestous en	--|-----|--|-------|-|
parmauta lentliprist a d ire	--|-----⌫---|-|----||-⌫--|
en si faitp oint m aués uous	-|-|---|-⌫---||----|---|
baiecomme ntfaitilam is	-|-|-----⌫-|---|-|--⌫-|
ne saiquemaisteueisce	-|--|--|---|-|-----|
que tai mesfaitdile medonques	--||-|------|-|-|-|------|
seie puis sil	-|-|---|-||
ame nderai	---⌫-----|
sire f ait il	---|-⌫--|-|
i eluous d irai	-⌫||---|-⌫---|
iesuicilke	-|--|--|-|
uousconfess astes	---|-------⌫----|
huiaun ane tmecarcastes	--||-|-|-⌫|-|--------|
enpenitanceuobar il	-|--------|-|---⌫-|
kimamisens i grant	-|||--|-|-⌫|----|
que uousueéslor sli	--|---|----|---⌫|-|
de sonuoi age tout	-|--|---⌫--|---|
etdes paisetdes co ntrees	-|--|---|-|--|--⌫-----|
etdest eres qu	-|--|-⌫---|-|
il aoutree s	-||------⌫|
et desriuieres	-|--|-------|
et deseues	-|--|---|
gransetplenieres	----|-|--------|
iltou tai tempté	-|---⌫|-|------|
par toutailebareil geté	---⌫---|-|-|-----|----|
dedensnen entragou t e	-----||-|----|---⌫-⌫|
etsiaimismauietout e	-|-|-|--|-|--|----⌫|
quebiensai quepartansmorra i	--|---|--|--|--|---|-----⌫|
e tque plus	-⌫|--|---|
uiure neporrai	----|-|-----|
lipred omlot	-|----⌫-||-|
sen o tg rantire	|-|-⌫|-⌫---|--|
parmoutgrant due l lipris ta dire	--|---|----|---⌫|-|----⌫||---|
lere sl eres	----⌫|-⌫---|
fait li hermites	---|-|-------|
tu e spi reskeso d omite s	-|-⌫|--⌫--|-|--⌫-⌫-----⌫|
nechiensneleusneautre b este	-|-----|-|---|-|----|-⌫---|
iecuicpar lesiexd emateste	-|---|--|--|--|-⌫|-|----|
sun schiensleusttant tr a iné	|--⌫|-----||---|---|--⌫-⌫---|
par t antesaigu espartant gue	--|-⌫----|----⌫-|--|---|--|
sileu st ilpu chiétout	-||--⌫-|-|--⌫----|---|
unseul grai n	-|---|----⌫|
oruoi ie bien quedie xtehet	-|--|-|---|--|---⌫|-|--|
tepenit anc e	-|-----⌫---⌫|
rien sne set	----⌫|-|--|
cart u lasf aitsans repentanc e	--|-⌫||-|-⌫--|---|---------⌫|
etsainsamo ur et sainspitan ce	-|----|---⌫-|-|----|-----⌫-|
lorspl eu reet	---|--⌫--⌫-|-|
crie e t to rt sesp ui n s	---|-⌫|--⌫-|--|-⌫--⌫-⌫|
don t fusescuers	---⌫|-|--|----|
si parfontpoins	-|------|----|
qu ils esc riaaha utes	-|-||---⌫--||--⌫---|
diexquitout	---|--|---|
sesetpue s etuois	--|-|---⌫|-|---|
resgardecestecre ature	-------|----|---⌫----|
ki siuaamaleau enture	-|-|-||---|--⌫-----|
quecors et ameatoutpe rdu	--|---|-|--||---|--⌫--|
et le tans pornientdespendu	-|-|---|--|----|-------|
saintemariedouce mere	-----|----|----|---|
carproiiésdieuuosourainpere	--|-------|---|-|------|---|
parsonplaisir	--|--|------|
queill esgart	--|-||-----|
etdese spiexiexle resgart	-|-|--⌫|---|--|-|------|
s eonquesfis ri ens queboin fust	-⌫|-----|--|--⌫--|--|---|---|
tres dous diexn e	---|---|---|-⌫|
q uiuous ple ust	-⌫-|---|---⌫--|
don t u ous pri iouorendroitchi	---⌫|-⌫--|--|--|--------|--|
queuousfaciéscestui merchi	--|---|------|-----|-----|
estenteldest rece	--|-|--|----⌫---|
d iex n e souffrés quesa pourece	-⌫--|-⌫|--------|--|-|------|
soit perdueparuo pitance	---|-----|--|-|------|
maistournés liapenitan ce	---|-------|-||-------⌫-|
diex sili muert parm oc oison	---||-||----|--||--⌫----|
rendremeco uuerraraison	-----|-|--⌫-----|-----|
ertt rop aigres m esdeus	--|-⌫--|-----|-⌫-|---|
die xset uprenslunde	---⌫|-|-⌫|----||-|-|
laiscemoiqu oienauenture	-----|--|--⌫-|-|-------|
etsipren cest ecre ature	-|-|---|----⌫|---⌫----|
lorsple ure moutt res tenrement	---|---⌫--|---|-⌫--|--------|
licheualiers moutlongement	-|---------|---|--------|
la resgar dé	||------⌫--|
sans dir e	---|---⌫|
etdistembas	-|---|-|--|
quen usnelot	--|-⌫-|-||-|
cer tesieuoiunem erueil le	---⌫--|-|--|--|-⌫------⌫-|
d ecoime scue rsmouts es merueill e	-⌫|--|--⌫|---⌫-|---||--⌫--------⌫|
quecis hom	--|--|--|
chinemapartient	--|-||--------|
netant ne quantamoine tient	-|---|-|----||--|-|----|
forsquededieulesouurai nroi	---|--|-|---|-|-------⌫|--|
etse des tr uis tissi	-|-|---⌫--⌫---⌫|---|
porm e spechies	--|-⌫-⌫|------|
pleureetsouspire	-----|-|-------|
ors u iiecertes	-|-⌫-⌫|-|-----|
tous lipire	---|-|---|
uiex pechiere	---|-------|
que cishomamamesi chi ere	--|--|--|||--|-|---⌫--|
k i lse destrui t	|-⌫|-|-------⌫|
pormes pechies	--|--|------|
e tiouquisui	-⌫|--|--|--|
si ent echiés	-|---⌫------|
naimieenmitant	|-|--|-|-|---|
enaienis pite	-|--|--|---|
et cilenestsiadolés	-|--|-|--|-|------|
atresdo u sdiex seuousuo l e ́s	|---|--⌫-⌫|---|-|---|--⌫-⌫-⌫-|
donés moi tantde	-----|--|---|-|
r ep entance	-⌫--⌫------|
pa ruo ue r tu paru opitance	--⌫|-|--⌫-⌫-|--|-⌫|------|
ke cispreudom soit	-|--|------|---|
confo rtés	-----⌫----|
q ui tant en estdesconfortés	-⌫-|---|-|--|------------|
di exnesou ffrés	--⌫-|-|---⌫-----|
q ue cest epaine	-⌫-|----⌫|----|
soitamamewide	---|||--|---|
toutesuoiespor	-----|----|--|
mespechies	--|------|
me fu li barisiaus	-|-|-|--------|
etie po rmespechieslepris	-|-|--⌫|--|------|-|---|
tres dousdiex	---|---|---|
ai mespris	-|------|
dou sdi exauousm	---⌫|--⌫-||---||
enr e nc co u pables	-|-⌫-⌫-|--⌫-⌫-----|
merch i uous	-----⌫|---|
ueritab le s	-------⌫--⌫|
fa ite s uouo lente	--⌫---⌫|-|--⌫----|
et uésme c hitout apresté	-|---|-|-⌫-|---|-------|
e tdiex tout	-⌫|---|---|
maintenantioeure	---------||----|
kisonc uer des com breet descueure	-|--|-⌫--|---⌫---⌫--|-|--------|
d o rgu eil e t	|-⌫---⌫--|-⌫|
de toute durte	-|----|----|
etdamou retde repentance	-||----⌫|-|-|---------|
et de p aoure t d	-|-|-⌫---|-⌫||
esper an ce	-----⌫--⌫-|
don tse pristses cuer saconfondre	---⌫|-|----|--|----⌫||--------|
etparlesiexen larmesfond re	-|--|--|--|-|-----|----⌫-|
l orsietapuer trestoutl e mont	-⌫--|---|---|-------|-⌫|---|
etlarmes rampent contremont	-|-----|------|---------|
onq uesn estance	---⌫--||------|
toutes ar dans enrepentance	-----|--⌫---|-|---------|
unssitresgranssouspirs	--|-|---|----|-------|
que cesanleque ses	--|-|----|--|--|
acascuncauplisai ll efors	|-----|---|-|---⌫--⌫|---|
ser epentance fu sifors	-|-⌫--------|-|-|---|
quesescuers	--|--|----|
fust parmicreués	---|----|------|
larmesne fustes creué s	-----|-|---|--⌫------⌫|
m ais ille srent a	-⌫--|-|--⌫|---||
kecen est se	-|-||--|-|
meru eilleno n	----⌫----|--⌫|
s igransdoleursau	-⌫|----|------|-|
c uer litouce	-⌫--|-|----|
qu ilne puetparler de	-|-|-|---|-----|-|
maisila dieu bie n encou uent	---|-||---|---⌫|-|---⌫---|
deden ssoncue rtoutcoiement	-----⌫|--|---⌫|---|-------|
que iamaispechiene	--|-|---|-----|-|
dieuriensneme sf era	---|----|-|--⌫--⌫--|
oruoitdie xbienquilsenrepent	-|---|---⌫|---|-|-||-|-----|
liba risi aus	-|--⌫----⌫--|
asoncolpent	|--|--|---|
kili af aitsigrans anuis	-|-||-⌫--|-|----|----|
mais encor es tli b areuswis	---|----|--⌫|-|-⌫----|--|
etcest oienttout sidesir	-||---⌫----|---|-|----|
queleba reil ueistemplir	--|-|--⌫---|----|-----|
e t diex quiu it	-⌫|---|--|-⌫-|
so nde sirier	--⌫|--⌫-----|
seuoloi t adroit aidier	-|-----⌫||----|-----|
carnia uoitp ointdef aint ise	--|||-⌫---|-⌫---|-|-⌫----⌫--|
lorsfistdiexunegran tf rancise	---|---|---|--|----⌫|-⌫------|
etune belecourtoisie	-|--|---|---------|
etporchou n eledi iou	-|--|---|-⌫|-|-|--|
u ilanie nefist	-⌫-----|-|---|
oiiésqu ediex	-----|--⌫|---|
fistdo nques	---|--⌫----|
por son ami r e conforter	--|--|--|-⌫-⌫--------|
des oncu er fait l aigu em on ter	-|-⌫-|--⌫-|---||----⌫|-⌫--⌫--|
parmisonoela grant d estrece	----|--|--||----|-⌫------|
etunel armeg rans sadrece	-|--|-⌫---|-⌫---||-----|
quediex atraistdeuraisorio n	--|---|------|-|---|-----⌫|
ausicom ont raitde bouion	---|--|-|-⌫---|-|-----|
uole elbaril tout adroiture	---|-|----|---||-------|
ornou s racontel es criture	-|---⌫|------||--⌫------|
quelibareu sfusiem plis	--|-|-----⌫|-|-|--⌫---|
decelela rmee t	-|---|--⌫--|-⌫|
quelicomblesdetoutespars	--|-|------|-|-----|---|
en es tesp anduse t esp ars	-|--⌫|---⌫----|-⌫|---⌫--|
fusiardans	-|-|-----|
de r epentan c ee ts ib oillans	-|-⌫-------⌫-⌫|-⌫|-⌫|-⌫------|
quelib oullo ns	--|-|-⌫-----⌫-|
en uintdeseure	-|---|------|
et liherm ites likeurtseure	-|-|----⌫---|-|----|----|
deuant s es p ies	-----|-⌫-|-⌫--|
estestendus	--|-------|
andeu s li abaisiétousnus	-----⌫|-||------|---|--|
frerefaitiltresdousamis	----|---|-|---|---|---|
li sainsespir s	-|----|-----⌫|
