deunedulceescrit orrez lasume	-|--|----|-----|----|-|---|
kart antdegentl eseuent ia	--|-⌫--|-|---|-⌫|-----|-|
tantcum greceestlungeelee	---|--|----|--|----||--|
uei t degire	---⌫|-|---|
l are numee	-⌫|--⌫----|
kedeus feitpu r	-|---|---|--⌫|
lui grantu ertuz	--|----|-⌫----|
co ntreizdre s cer	--⌫-----|---⌫-⌫--|
ep a rle r muz	|-⌫-⌫---⌫|--|
enla cit euilco nuerse	-|-|---⌫||-|--⌫-----|
mal adessigrantprese	---⌫---|-|----|----|
nulshomneueit	---|--|-|---|
eng rutezfenruseardanz	---⌫----|-----||-----|
unc neuithomensemble t anz	--|-|--|--|-------|-⌫--|
d euant sa porte sa nerent	-⌫----|-|----||-⌫-----|
communementenhaut c riere nt	----------|-|---|-⌫-----⌫-|
sei ntgi reaez me rc idenus	---⌫-|--⌫-|--|--⌫--⌫|-|--|
ueez cuma im esbosuignus	---|--|-⌫--⌫-|--------|
aez mercidec he it ifs	--|----|-|-⌫--⌫--⌫--|
keeimes del uintain pais	-|----|-|-⌫------|---|
uenuza t ai merci crier	----||-⌫-|----|----|
mutbensa ntedo ner	--|--|--⌫--|--⌫--|
iamesne tu rnerumdeci	----|-|--⌫-----|-|-|
ainceiskenus s eumga ri	--------|--|-⌫--|--⌫-|
gi resa d en tendu lescriz	--⌫--|-⌫|--⌫----|--|---|
keicilfunteles	-|---|---||--|
do lenze nfuplureegaimen te	--⌫---|-⌫|-|----||------⌫-|
a saimeim es se demente	|--|----⌫-|-|------|
adeusfeitilbons reiuerra i	|---|---|-|---|--|-----⌫|
gloriusperekeferai	------|---|-|----|
esei etuai	|--|-|--|
k ene nasmeis c urede mei	-⌫|--⌫|-|---|-⌫--|-|--|
quant lage n tdelui ntaineterre	----|-|--⌫-⌫|-|---⌫-----|----|
uenentici purme ir eque re	-----|--|--|--⌫|-⌫----⌫-|
els eli plusmaz	--||-|---|--|
ualtassezplus	---|----|---|
keio nefa ce	-|-|-|--⌫-|
meistupozmust re r	---|-|--|----⌫--⌫|
te pl eist	-|--⌫---|
dunessante	----|----|
iconeaf ertamei n eent	--|-|--⌫--||--|-⌫---|
io suiu npeccheurd olent	-|--|-⌫|-------|-⌫----|
esiio aueiefeitren	|-|-|----|---|--|
sireketurnastanul ben	---|-|------||--|--|
nen feit ne n ditne n	|-|---||-⌫|--||-⌫|
aillurs tepri l e guerdu n	------|-|--|-⌫|------⌫|
aillurs tepr i siree requer	------|-|--⌫|---||-----|
ke tume rendes	-|-|-|-----|
est reloéd egent	---⌫-|---|-⌫|---|
k armu ncu rag eautreparttent	-⌫-|--⌫|--⌫---⌫|----|---|---|
lelo s delsi ecl eest	-|--⌫|--|--⌫---⌫|--|
tre spassa nt	---⌫------⌫-|
tropsedelitent	---|-|-------|
lialqu ant	-|----⌫--|
i onemequerren	-⌫|-|-|---|--|
meisgu erpir	---|--⌫----|
l eesluigner	-⌫|--------|
ki estueisinalestencele	-|--|-----|||--------|
to st adparcél a gun el	--⌫-|-|-----|-⌫|---⌫-|
kilefu ha nteeiur e nuit	-|-|-|--⌫--||--||---|
nestme rueilles il	|--|--⌫------||-|
i osui elf upur c oai du te	-⌫|--|-|-⌫|--|-⌫|-|--⌫-|
kemunpe c hen eme	-|--|--⌫-⌫-|-⌫|-|
me is i o menquidsies loig ner	--⌫-|-⌫||-|---|-|--⌫----⌫--|
kenecrendraisun	-|-|-------|--|
dest urber	----⌫----|
liui leins dit	-|--⌫----|--|
la oil uuol t	-|--||---⌫|
quorned olt	---|-|-⌫--|
lag rantrichesceke io aie	-|-⌫---|-------|-|-|--|
mefreit feiretostunplei	-|----|----|---|-|---|
silungement estei ici	-|--------|----|--|
tost enpurreie estreescharni	---|-|------|----|-------|
damp ne deup er ekef erai	----⌫--⌫--|-⌫--⌫|-|-⌫---|
consei llezmeique l part irrai	------⌫---|--|---⌫|---|----|
ensei gnez mei	-----⌫---|--|
pur quei iopuisse	--|---|-|-----|
a uusuenir	|--|----|
rumee stchef dec hrestiente	---|-⌫-|---|-|-⌫---------|
a postl e unt conuersé	-⌫-----⌫|--|--------|
menescientsi la	--|------|-|-|
aukesdebienap rendraie	----|-|---|--⌫-------|
epa roreielau eir e storie	|--⌫|----|-|-⌫--|-⌫-----|
conseilde lapostoile	------|-||--------|
freiedilocaua nt	----||---|---⌫-|
sunconseil l	--|-------⌫|
adfiniatant	-|---|----|
orad prise sis e	-|-|---||-|-⌫|
apoidete rmeguerpi rat	|--|-|--⌫--|------⌫--|
granthonur	----|----|
orle meintengesunse ignur	-|-|--------|--|--⌫----|
kar pur samurenprent gran tfes	--|--||---|------|----⌫|--|
ilest i ssu fors delpaleis	-|--|-⌫--|---|--|-----|
dreitalmalad es est uenu	----|-|-----⌫-|--|---|
demeintegiseen adueu	-|-----|---|-|-|--|
kimult furentmesaisé	-|---|-----|-------|
ilad nostre	-|-|-----|
seignurpreié	------|-----|
k il lurtramesitsante	|-|--|-------|----|
cilsunt gar ridel	--|---|---⌫-|-||
liiurzuei tla	-|---|---⌫|-|
n ui test uenu	-⌫--⌫|--|---|
enueitlez eioi a nz	-|---|--||---⌫-⌫-|
ecomande as esseruanz	|------||-⌫-|------|
kesun conreiseitapre sté	-|--|-----|---|----⌫---|
manger agrantplen t e	-----||----|----⌫-⌫|
c ilnes e targerentneent	-⌫-|-|-⌫|--------|----|
feitsun commandement	---|--|-----------|
multenuntfe it apariller	---|-|--|--⌫-|--------|
gi res sestassisalmang er	--⌫--||--|----|-|----⌫-|
grantsemblantfeitdestre hei té	----|-------|---||----|---⌫--|
mutfurentsi hum ele	--|-----|-|---⌫|-|
k i tantl orentue upensif	-⌫|---||----|--⌫|-----|
leuin a p orte nt	-|--|-⌫-⌫----⌫-|
tuitlicel erfurent ouer t	---|-|---⌫-|-----|----⌫|
bonsfudliu insdunt hom le sert	---|--|-|-⌫--|---|--|-|---|
ecilburenthaiteement	|--|-----|---------|
gran t ioie	----⌫|---|
funttute la gent	---|---|-|---|
m eisla lurioie	-⌫--|-|--|---|
elur lees ce	|--|----⌫-|
reu ertirata grant tristesce	---⌫------||----|--------|
telenuueleorruntacurtterme	---|-----|-----||---|----|
d untene rtp lurémeinte lerme	-⌫--|-|-⌫-|-⌫----|-----|----|
certesmeintc riem eint dolfei t	-----|----|-⌫-||-⌫---|--|---⌫|
e mei ntcheu oi lde te sttreit	|---⌫-|----⌫--⌫|-|--⌫-|----|
quantilfudu redecucher	----|-|--|-⌫-|-|-----|
asos tels uu nt	-|--⌫---|--⌫-|
li esquier	-|------|
gi r esremeintcucherse nueit	--⌫-⌫-|------|-----||-⌫|---|
enlacham breu sun lit	-|-|----⌫--||--|--|
asez outgent alu ich ucher	---|--|---||--⌫|--⌫----|
a seruirea descha ucer	|-----|||------⌫---|
kant fudcuché sisen	---|--|-----|-||-|
tel hurek unkespui s ne luirent	--|---||----|---⌫|-||-----|
mel zleuru enis tiuner le iur	---⌫|---|-⌫----⌫|----|-|--|
ke lan oit per drelu r bonseignur	-|-|-⌫--|---⌫--|--⌫|--|------|
malueiseg uardefeitenunt	-------|-⌫----|---|-|--|
iamesitelnetrouerun t	----|---|-|--------⌫|
i cilk enlachambreiurent	-⌫--||-|-|------|-----|
hastiuement endormi furent	----------|------|-----|
trop burent	---|-----|
ki luresteitelchefmunté	-|--|-----|-|---|-----|
meis kidormee ki nun	---|-|----||-|--|
t ut tensfudgire en	-⌫-|---|--|---|-|
u nkce lenoit ne	-⌫-|--⌫-|---|-|
pout dormir	---|-----|
karsunpenseuo ltpa re mp lir	--|--|----|--⌫-|--⌫--⌫--⌫--|
treske cilfurent endormi	-----|--|-----|------|
i stedela cha mbr eu il iut	-⌫--|-|-|---⌫---⌫||-|--|
kec ha mberlencne s aper c eut	-|-⌫--⌫-------|-||----⌫-⌫--|
drascharger	---|------|
forsdecelskil	---|-|---||-|
nepoutleis ser	-|---|----⌫--|
kar seil fu t affa rdei llé	--|-|-|--⌫|----⌫----⌫---|
trop lic ustat lale rape	---|-|-⌫----||---⌫||-|
ice l nuitfitmu lobscu r	---⌫|---|--|--⌫|-----⌫|
ilestuen uz al	-|--|---⌫-|-|
foraine mur	------|--|
dreit lauiloutune tur	----|-||-|--|--|--|
meismut sedute de	---|--|-|---|-|
ki su rlatu rc orneefrestele	-|--⌫|-|--⌫|-⌫---||-------|
eflouteechale me le	|-----||-----⌫--⌫-|
pur lan iule el	--|-|-⌫---|||
obscurtens	-----|---|
nesapercurent lig ardai ns	-||---------|-|-⌫-----⌫-|
ultrepaskenul	----|--|-|--|
seignur kil co nduie it	------|-||--⌫-----⌫-|
oree npenst deup ursamer c i	--|-⌫|----|--|-⌫-|-|---⌫-⌫|
cumepurs amurad	---|--||---|-|
gires estenlaueie	----|--|-|-|---|
gerpistsatere e	------|-|---||
ornargent odsai	-||-----|-|--|
che ualnemul nepalef rei	---⌫--|-|--|-|-----⌫--|
ilnenporten euei rne gris	-||-|----|-⌫|---⌫|-|---|
meispouresdrasde petit	---|-----|---|-|----|
meis d e uski est riches	---|-⌫-⌫-|-|--|-----|
l uitru ueratsunestuueir	-⌫-|---⌫----|--|-------|
il ad tu t l a	-|-|--⌫|-⌫|
nuite rré	---|-⌫---|
nestmeru eillesi estlassé	|--|----⌫----|||--|-----|
n ertpas aus	|--|--||-|
nepurkantmult s es tefforcé	--------|---||--⌫|-------|
kar la gent dutedesaterre	--|-|---|---|-|-|----|
ls iuentefa centgue rr e	|-⌫----||--⌫---|---⌫--⌫|
eil sifun t p lus urspartie s	|-|-|---⌫|-⌫---⌫--|------⌫|
untlur curliuselurespies	--|--|------||--|-----|
querentamuntqueren t aual	------||---|------⌫||--|
aui sk enueinle	---⌫||-|---|-|
iadelurolz	-|-|--|--|
l en demeinqua ntilaiurnat	|--⌫-----|---⌫-|-|------|
lichamberleinssusleuat	-|-----------|--|----|
kar suns eignurertcus tumer	--|--|-⌫-----|--|---⌫----|
dalerparmatinalmuster	|---|--|----|-|-----|
illu iuoleitseschauceste ndre	-|--⌫|-----|--|------|--⌫---|
lelits i squide pr endre	-|--|-⌫||----|--⌫----|
meisnestroue	---||-|----|
car pas nisunt	--|--|||---|
il ad sama inb utéa m unt	-|-|-|--⌫-|-⌫---|-⌫-⌫--|
forss ul lesdrasnit ruuaren	---|-⌫-|--|---|||-⌫---|--|
lich amberleins s ap ercutben	-|--⌫---------||--⌫----|--|
ke sunseignur senestalez	-|--|------||-|--|---|
il ch eta r ere ellit	-|--⌫-|-⌫-⌫--|-|--|
quantfut estoersdecelpasmer	----|--|------|-|--|-----|
sis ec omencea	-|-⌫|-⌫-----||
detortsespui nz sesch euol stire	-----|--|---⌫-|--|--⌫----⌫|---|
aifeitilgirebel	-|---|-|---|--|
perdu u us	----|-⌫-|
aico mestaui s	-|-||--|---⌫|
ke resp undraa nos	-|----⌫----||--|
ki meiuuso rentcoman dé	-|--|--|-⌫---|-----⌫--|
malueis ement uusai gard é	-------⌫----|--|-|----⌫-|
dublemalailunest d e uus	----|--|-||-|--|-⌫|--|
lautre estde m ei	|----|--|-|-⌫-|
du ntsu idutus	--⌫-|--⌫|----|
deuosparensaigrantreg art	-|--|-----|-|----|---⌫--|
nepuis fuir n e	-|---|---|-⌫|
seiquel part	--|---|---|
icimest ot la	--||---⌫-|-|
mo rtentendre	--⌫-|-------|
m epuis de	-⌫|---|-|
co def endre	-|---⌫----|
k e pa rmunfo lconteneme nt	-⌫|--⌫|--|--⌫|---------⌫-|
naientper dulurbon	|----|---⌫-|--|--|
u re k eceluin	-⌫-|-⌫|--|--|
sie itmiscor sketanten	-|-⌫-|--|---⌫|-|---|-|
ke fruntore uo s	-|----|--|--⌫|
uosuallezeuosesquie rs	--|-----||--|------⌫-|
k ibenquidouen t aestrus	-⌫|--|--------⌫||-----|
grantzherite zauer paru us	-----|------⌫|---|--|-⌫-|
meis failli	---|-----|
unt alurespeire	--||--|------|
karapreuus neremai nt he ir	--|---|--|-|-----⌫-|--⌫-|
lurdoinstpleinp e	--|-----|----|-⌫|
augentaillurs	-----|------|
honurconq uere	----|----⌫---|
fail liunta uo sco m est	----⌫-|--||--⌫|-||--|
esgare ́ssunt	------⌫-|---|
pouresmendis	-----|-----|
eios urtuz i ai	|-|-⌫-|--||-|
loresche taualestendu	----|---⌫|---|------|
deldol ede lagrant	--|--||-|-|----|
ke cilad fei t e	-|--|-|---⌫||
s unt cil delpaleisesueill é	-⌫--|--|--|-----|-------⌫-|
h astiuem entsesunt dres cé	-⌫-------⌫--|-|---|----⌫--|
enlacha mbresun t	-|-|---⌫---|---⌫|
dema nde ntulurseignurfu	----⌫---⌫-||--|------|-|
re spunentenpluran t	--⌫------|-|------⌫|
alez se nestmeis	---||-⌫|--|---|
ne se iquant	-|--⌫|----|
querantl euun tpa rlacite	------|-⌫|---⌫|--⌫|-|---|
meis i lnen untmie	---|-⌫||-|--|--|
tretu tlab urentueinem en t	-----⌫|---⌫----|------⌫--⌫|
deli troue rnest il neent	-|||-----⌫||--|-|----|
quantueientkeneltr uu er unt	----|-----|-|-||--⌫--⌫--⌫--|
en lasale repeirésunt	-|-|---|-------|---|
forzfudli dolzgrantsenzmesure	---|--|-|---|----|---|-----|
kar nuls neperneitd	--|---|-|------||
a utrecur e	-⌫---|---⌫|
kienlasalef ustleiur	-|-|-|---|-⌫--|-|--|
ueerpureitaspre dolur	---|-----|----|----|
de c eskio utcrie ret braire	-|-⌫-|||-⌫-|----⌫|-|-----|
detortrepuinz echeuolstre ir e	-------|----||------|---⌫--⌫|
g rantdol demein enttut leiur	-⌫---|--|------⌫--|--|-|--|
pluren te pleinent	------⌫||-------|
lu rseignur	--⌫|------|
ele regretentenplurant	|-|--------|-|------|
ge ntils hom noblee	--⌫----|--|----||
tantmarefuduostregr an t bu nte	---|---|--|-----|--⌫--⌫|--⌫--|
uostresen seuostrebealte	-----|---⌫||-----|-----|
marfu tuostrebele	--|--⌫|-----|---|
lablan c hefaceela	-|----⌫-⌫-|---||-|
cumser at o retain t e egresle e	--|---⌫-|-⌫-|----⌫-⌫||------⌫|
de lsolailleedelagelee	--⌫|-------||-|-|----|
comentpurreza	-----|-----||
duratunssu l	----|--|--⌫|
uauerezdras eestruiz	|-----|---||------|
conreileiur oste l le s nuiz	-----|-|--|----⌫|--⌫|---|
si re uost rebeal te	--⌫-|----⌫-|----⌫-|
unk nefu dho me	--|-|--⌫|--⌫-|
de uostre hee	-|-----|--|
ke telstechesustensei	-|---|-----|--|-|--|
cu nte nefiz a rei	--⌫--|-|--||--|
k i quant oreueit adolur	-⌫|----|--|---||----|
iameisnaurezioieun	-----||----|---|-|
nus kit resuuseimes	--|-|-⌫--|--|----|
neserrum meistund uneres	-|-----|---|----⌫|-|--|
ainzuesterum dras de dolur	---|-------|---|-|----|
perduauumnostreseignur	----|---|-----|------|
q uedeu e n d rum n uslasc ha itis	-⌫-|---⌫-⌫-⌫-⌫--|-⌫-|--|-⌫--⌫---|
mal eit la	--|--|-|
mortki n us	---|-|-⌫-|
coestdolu r ke	-|--|----⌫|-|
nus uiuuns	--|-----|
desk enusp erduuusauun s	----⌫|--|-⌫---|--|----⌫|
itel pleinzetel d olur	---|-----||--|-⌫---|
demenerenttres tutleiur	---------|----⌫--|-|--|
parl aciteleuelecri	--|-⌫|---|---|-|--|
keli s e rsdeusen	-|-|-⌫-⌫-|--||-|
funtl i cit eein	---|-⌫|---⌫---|
eli curteis	|-|------|
plurent cheualers eburgeis	------|--------||------|
pluren tuileinse cu r teis	------⌫|------||--⌫-⌫---|
niaueithomenla	||----|--|-|-|
kide piteueneit p lure ́	-|-|---|-----|-⌫----⌫|
purneent pluren t	--|----|------⌫|
come stauis	-||-⌫-|---|
a pleinesloi gne del	|----|-----⌫--|--|
giresnecessedel errer	----|-|----|-||----|
sundreitcheminuer s l a grantmer	--|----|-----|---⌫|-⌫|----|--|
meis n estpasaldrei t	---||--|--|-|----⌫|
ka ri lsecrentestre	--⌫|-⌫|-|----|----|
tantestalezen uit e	---|--|---||-⌫--||
od faim od	-|---|-|
seieodla bur	--||-|--⌫--|
em unzeu a lsp l ein b oschage	|-⌫--||-⌫-⌫-|-⌫-⌫--|-⌫------|
e s t uenudreitalriuage	-⌫-⌫|---|----|-|-----|
il estassiscarmultf u	-|--|----|--|---|-⌫|
priedeueseintnicholas	---|--||----|-------|
k il luitrametealkun	|-|--|------|----|
kena r nefuba tel	----⌫|--||--⌫--|
kiutre l enpustporter	-|---||-|---|-----|
ilesgardet enhautem ere	-|-------|-|----|-⌫--|
e uit unenef p eri ller	|--|--|--|-⌫---⌫---|
t ur mentedechas cer	-⌫--⌫----|------⌫--|
e re puneiten tre l esundes	|--⌫-----|--⌫--|-⌫-|----|
ki erentgran desepa rfundes	-|----|----⌫--||--⌫------|
kar la me reertmulthericé	--|-|--⌫-|--|---|------|
undeieebraitcum esragé	-----||----|--|------|
lane fueit	-|--⌫|---|
parla merwalcr ant	--|-|--|-----⌫--|
la tempestel a ueitm enant	-|-------|-⌫|---|-⌫----|
lei de t urm ente	---⌫-|-⌫---⌫---|
esclaireetonee p l o teuent e	-------||---||-⌫-⌫-⌫||----⌫|
tant de lameretantdel grantuent	---|-|-|---|---|--|----|---|
pur poik e cele nef	--|--|-⌫|---|--|
lu nde laporte	|-⌫--|-|----|
contremun t	-----|---⌫|
lautrelatr eituers	|----|-|--⌫--|---|
lu nelapeint	|-⌫-|-|----|
l autr e l abute	|----⌫|-⌫|---|
el e nedesirout tu te	--⌫|-|-------|--⌫-|
g ires ueit	-⌫---|---|
la ne fperill er	-|--⌫|------⌫-|
elamer ebrairee	|-|---⌫|-----||
e ngross er	-⌫------⌫-|
desmari nersou t grantpite	--|----⌫---|--⌫|----|---|
nostreseignuraddepreié	-----|------|-|-------|
kille sm ettea portd e salu	|-|--⌫|-⌫---||---|-⌫|---|
li uenz abeisseki grantfu	-|---|------|-|----|-|
lamereki e i nz ert unda nte	-|---|-|-⌫-⌫-|--|----⌫--|
fut cumeun emergisante	--|---|--⌫|--|------|
