O rentendéz	-⌫|--------|
Roisfaitlardoirla	---|---||-----|-|
poudre ensoit uentee	-----|-|---|-----|
Deumorte andoit	--|----|-|---|
Nostreempereresententle pariuré	-----|--------|-----|-|-------|
Hardrédist ilmou ltgranttorte n auéz	------|---|-|---⌫-|----|---|-⌫|----|
Portre s t outl or dela	--|---⌫-⌫-⌫--||-|-|-|
cr est iente ́	--⌫---⌫-----⌫|
Neferoitil uersmoidesloiauté	-|-----|-|---|--|----------|
Distlitr aït res	---|-|--⌫----⌫--|
Or lesfai te z ma nder	-|--|---⌫--⌫|--⌫---|
Senel enranzr ecreantetmaté	-|-||-|---|-⌫------|-|----|
Ro issimefait ez	--⌫-|-|-|----⌫-|
to uz le s	--⌫-|--⌫|
membresc o per	------|-⌫-⌫--|
O rfuli roi sco r rouciéz et irézNest	-⌫|-|-|---⌫|--⌫-⌫-------|-|----||--|
pas merueil l enil	--|-------⌫-⌫||-|
b lasm e r	-⌫----⌫-⌫|
Nostreemper ere slesfaittantostmander	-----|-----⌫---⌫|--|---|------|-----|
Et il iuinrent que ne losent	-|-||------|--|-||----|
lirois lechiefpri ns tacliner	-|---|-|----|---⌫--⌫||-----|
Iln elorfi s t	-|-⌫|--|--⌫-⌫|
n ulsamblantde par ler	-⌫-|-------|-|---⌫--|
Ouuoit le contesi len aa pellé	-|---|-|----|-||-||-⌫-----|
De u disti ltrop	--⌫|---|-⌫|---|
uoziestezhastéz	--|-----|------|
R ichessoudees d ema co rt	-⌫----|------|-⌫|-|--⌫-|
e m port éz	-⌫-⌫----⌫--|
Quantd ema filleiestezreprins prouuéz	----|-⌫|-|----|-----|------|-------|
l apo stre con quie rten	|---⌫---||-|----⌫-|-|
Seuozdecestene	-|--|-|----|-|
uoz poéz oster	--|----|----|
fer ai celletestecoper	---⌫-|----|----|----|
Distlicuens	---|-|----|
Sire menaci é z sui asséz	---|------⌫--⌫|--|-----|
Cen tdehaisai tenu i air e	---⌫|-----|--⌫|-|-⌫-⌫---⌫|
et el nés	-|-|---|
Quimenenc use sil ne le	--||-|---⌫--||-|-|-|
weult m onstrer	----|-⌫------|
Hardrézlententlesenscuidadesuer	-------||-----|-|---|----|-----|
Amiles bien iestez	-----|---|-----|
Ia de uoird irene	-|-|---|-⌫--|-|
sere ́z p r insprouuéz	----⌫-|-⌫-⌫--|-------|
Droi sempereresmon gaigeanreceuéz	----⌫|--------|--|----|-|-------|
Par telcouuentque	--|--|------|--|
uozd ire morréz	--|-⌫--||-----|
Senel uoz ranzr ecrea nt etmat é	-|--|--|---|-⌫-----⌫-|-|---⌫-|
Faitez moipendre etau uen ten c roer	-----|--|-----|-|-|---⌫|--⌫-⌫---|
Malaitqui menesp argne	--|--|--||-|---⌫----|
Hard réz apresentésonguaig e	----⌫---||--------|--|-----⌫|
De dens les mainslempereor lebaille	--⌫---|--|----||-------|-|-----|
Etdistliro is	-|---|-|--⌫-|
Ousontd ontlios taige A icel	-|---|-⌫--|-|--⌫----||---|
motplusde seissanteen sail lent	--|---|-|--------|-|----⌫---|
Couzinou frer e tuit	-----|-|----⌫|---|
fu r entdunpa raige	--⌫-⌫--||-|--⌫----|
Porcele font	--|-|-|---|
nelortortahontaige	-|--|---||-------|
Amilese stut enmilas ale	-----|-⌫---|---|-|-⌫--|
Bi enfuuestus d	--⌫-|-|-----||
unchie r bliaut depaile	-|----⌫|-----|-|----|
Ami leuozque faitez	---⌫-|--|--|-----|
uoldréziehirou uozuoldrézcombatre	-------|----|-|--|-------|-------|
Ligentizcue nsl escheualiers e sgarde	-|-----|---⌫-|-⌫-|---------|-⌫-----|
Bo rg oingnonsdont il iotg rantmasse	--⌫--⌫-------|---|-||-|-⌫---|----|
Seignordist il fra nccheu al ier mirable	------|---|-|---⌫-|----⌫--⌫--|------|
Enu ers le roime	---⌫--|-|--|-|
recreéz m on gua ige	-------|-⌫-|---⌫--|
Malsoi tde celquilifeïst	--|---⌫|-|--|--|-|-----|
uoi tlesli cuensa poi d	---⌫|--|-|----||--||
ire nenraige	--||------|
Cha rlemai nneenapelle	---⌫------⌫--|-|-----|
Dr ois emperer esfaitez paissimoiéz	--⌫--|-------⌫-|-----|---|-||----|
Etqueuls ostaige smer ouuéz uozliurer	-|-----|-------⌫|-|-⌫-----|--|-----|
Fai tezuenirmonauffe rran tdestr ier	---⌫--|----|--|-----⌫----⌫|-----⌫--|
Toutesm es a rmeset montra nc hant	-----|-⌫-|-⌫---|-|--|---⌫--⌫---|
Et mone scuetmo n elmedacier	-|--|-⌫--|-|--⌫|---||----|
bataillene	-------|-|
me uoilplustargier	-|---|---|------|
Ainzlafera i orendroituole ntiers	---|-|----⌫|--------|----⌫-----|
E tdist li	-⌫|---|-|
Oroip lait quima lsietSest iie ́ z	-|-|-⌫---|--|--⌫|---||---⌫---⌫-⌫|
oresar mézs oruodestrier	---|--⌫---|-⌫-|-|-------|
ameilloren	|------|-|
Francenesoz ciel	-----|-|--|---|
Bien eniriéz	---|-|-----|
deuantmescheua liers	-----|--|-----⌫----|
Iaparnul deulsnese riiézbailliéz	-|--|--||---|-|--⌫-----|--------|
mahon teneseroieuengi éz S espeemandeuo ltlui	-|---⌫-|-|-----|-----⌫--||----|----|--⌫-|--|
toillir lechief	------|-|----|
Quantla roïn e li	----|-|-----⌫|-|
conmencea huchier	-------||------|
ellemalferiézetpechié	---|--|------|-|------|
Seil uoz plaist l e franc	-|-|--|-----|-⌫|----|
contelaissiéz	----|--------|
Mesco rs m eïsmez leuo ldra ostaigier	--|--⌫-|-⌫------|-|--⌫---|--------|
Belyss ansporcui labataille iert	------⌫--|--|--|-|-------|---|
Bueues mesfizquimoultfait a pris ier	-----|--|--|--|----|---||----⌫--|
Etdistli rois	-|---|-|---|
Oroiplai tquibien siet	-|-|----⌫|--|---|---|
Par celapo stre cona	--|--|---⌫---||-||
Rome r equie rt	---|-⌫-----⌫-|
Seiliestmalmisnemehaingnie ́z	-|-||--|-----|-|----------⌫-|
Ieuozferaitouzles	-|--|----|---|--|
m embres tranch ier	-⌫-----|------⌫--|
Li c uen slentent	-|-⌫---⌫||-----|
fuetliésH é	-|-|----|-⌫-|
Dex di stiluozso iéz	--|--⌫-|-|--|--⌫---|
graci ié z	-----⌫---⌫|
ai ostaiges riches	-|-------|-----|
Amilesfu mou ltpreus etsen e ́z	-----|-|---⌫-|----|-|---⌫-⌫-|
Ouu oitleroiprinstl ena	-|-⌫--|-|--|-----||-||
Sired istil ue rsm oi en	---|-⌫--|-|--⌫-|-⌫-|-|
ent ende ́z	---⌫----⌫-|
Iusqu asetmois	----||--|---|
uoille iorrespite r	---|-|--|-------⌫|
Etdistli rois	-|---|-|---|
uolentiersetd e	---------|-|-⌫|
Ligentizhom nelmist en oub lier	-|-----|--|--|---|-|---⌫---|
Ou uo itladameprinst lan a	-|--⌫-|-|---|-----||-||
Dist licuens	---|-|----|
Da mmeenuers	--⌫--|-----|
moienten déz	--|-----⌫---|
Une parole uoz uoil direetcon ter	--|-----|--|---|---|-|---⌫--|
D exieneluoi l p a sceler	-⌫-|-|--|---⌫|-⌫-⌫|----|
Moncompaingn oniraique rree ttrouuer	--|---------⌫-|---|---⌫--|-⌫|------|
Blai ui esla cité	----⌫--⌫-|-|----|
Siierta u ioret au	-|---|-⌫|--|-|-|
champaquiter	----|------|
La damme l oitlese ns	-|----||--|-|--⌫-|
cuidedesu er	----|----⌫-|
Dex ie lesauoieasséz	--|-|-|-----|-----|
Lorsdistauconte	---|---|-|----|
Coarziestez	----|-----|
Par celapostrec	--|--|------||
onqui erten	-|---⌫--|-|
Neu ozmouuréz	-|-⌫-|-------|
bonne cité	----|----|
Siiert li io rs et	-|---|-|--⌫-|-|
lichampsafine ́z	-|-----|-----⌫-|
De labat aillequ	-|-|---⌫----|-|
au éz pri nsea	--⌫--|---⌫--||
Be lyssan sloitsiconmencea plorer	--⌫------⌫||--|-|-------||-----|
Me re d istelleca r l	--⌫-|-⌫--|---|--⌫||
enlai sso nsaler	-|---⌫---⌫-|---|
M ai sque sor sainsliferomm ez iur er	-⌫--⌫|--|--|----|-|------⌫-|---⌫-|
Queilauioretauchampafin ner	--|-|-|--|-|-|----|----⌫--|
Qu ei la mi snoz uenraacuiter	--⌫|-⌫||--⌫|--|----|------|
Fill edistelles i comuozco nmandéz	----⌫|---|---|-⌫|--|--|--⌫-------|
Isnellementlont a u monstiermené	----------||--|-⌫|-------|----|
Ligent izhomsapre s tadouiurer A genoillonsdeuant	-|----⌫-|--||----⌫-⌫-|--|----||---------|-----|
lemaistreautel	-|------|----|
Qu an dla ro ï nelicorrutp ardonner	--⌫--⌫|-|--⌫--⌫-|-|-----|-⌫-------|
Par lebr asdestre len	--|-|--⌫-|-----||-|
corrut releuer	-----|------|
Ieluozpa rdoinsfrans	--|--|--⌫-----|----|
c heualier smembréz	-⌫--------⌫|-------|
Damme di stil cinccen zmercis et gréz	----|--⌫-|-|---|---⌫|-----|-|----|
Il est uenus el borc asonostel	-|--|----|-|---||--|----|
uest sonh auberc s a	---|--|-⌫-----|||
s one lm e	-⌫-|-⌫--⌫|
Et ce i n stsespee asons enestreléz	-|--⌫-⌫-⌫-||----||--|-⌫------|---|
M onteanlaselledoudest rier seiorné	-⌫---|-|-|----|--|----⌫---|-------|
Prentenson	----|-|--|
poingunroit	----|-|---|
espiéquarré	-----|------|
Etasoncolaune scug iet é	-||--|--||-|-⌫--|-⌫---⌫-|
porte issi de	----|---|-|
Bu e ue sli anf es le conuoi a asséz	--⌫-⌫--⌫|-|---⌫-|-|------⌫|-----|
piecepuiss enestret ornéz	----|---||-|--|---⌫-----|
gentizetlib e r	-----|-|-|-⌫-⌫|
Son compa ingnonuaquer re	--|-----⌫-----|-|----⌫-|
Oiézseignor que	----|------|--|
Dexgrantbien	--|----|---|
Ici lai ron s d	--|---⌫---⌫||
Amilelebaro n	----|-|----⌫|
Siuozd ironsd	-|--|-⌫----||
A misoncompaingnon	-⌫-|--|----------|
Blaiuiesen	-------|-|
sama istremaison	-|--⌫----|-----|
Iutensonlitd ont dor	--|-|--|--|-⌫--||-|
sontli pec ol	---|-|---⌫-|
Aumatinn etquantclers parut l i	-|------⌫-|----|----|----|-⌫|
Cort as espeecarmoul t	---|||----|--|----⌫|
otgrantpaor	-|----|---|
uoi tlelad amesi l	---⌫|-|-|-⌫--|-||
a misaraison	|--||-----|
Qu as tu eü gentizfiulsabaron	-|-|-|--|-----|----||----|
Damedisti let noz le	---|---|-⌫|-|--|-|
uoz diron s	--|-----⌫|
Grantpaorai demon chier	----|---|-|-|--|----|
compaingnon	----------|
Que ielai ssaia	--|-|---⌫---||
Pariseldonio nSensuim oult	----|-|-----⌫||-|--|-⌫---|
Damedistil entendéz ma	---|---|-|--------|-|
A nu itson i aiune	-⌫--⌫-|---⌫-⌫-|--|
fiere auiso n	----|-----⌫|
Qu eiees to ie a	--⌫|-|--⌫--⌫-||
Sicombatoitli bera unlyon	-|--------|-|--||-|---|
E nsanc estoit descia	-⌫|---|-----|----||
Limauslyond euenoitc om	-|---|---|-⌫------|-⌫-|
Ce m iertauis	-||---|---|
Hardré lapelloi ton	------||-------⌫|-|
Ie m en uenoie	-||-|-----|
contr emontMespeetraitequaportaide	-----⌫----||----|-----|-|------|-|
Selicopailechief	-|-|----|-|----|
sozle mento n	--|-|-----⌫|
lapostreconqu i ert en	|------||-|--⌫-⌫--|-|
Ienel airoieportou tlordec est mon t	-|-|-⌫-----|--|---⌫||-|-|-⌫--|---⌫|
Queien iaill e quantcl ersp arra	--|-|||----⌫|----|--⌫--|-⌫---|
Enm acomp aingne milcheualier baron	-|-⌫|----⌫-----|--|--------|----|
Qui m ontlorf o ispleui es	--||--|--|-⌫-⌫-|-----⌫-|
Lage ntiz da m mealeconte apellé	-|--⌫---|--⌫-⌫-||-|----|------|
Sire faitelleb ien	---|---|---|-⌫--|
sai que uozpan s éz	--|--|--|---⌫-⌫--|
Oruoldriézie stre a	-|--------|--⌫---||
Par islacité	---⌫-|-|----|
Amileleglouton	----|-|------|
p ari uré	-⌫---⌫---|
Ch arle b aisie reta co ler	--⌫---|-⌫-----⌫|-|-⌫--⌫--|
Dontl imi ens co rs	---|-⌫|--⌫--|--⌫-|
est cheüz	--|-----|
Males nou uellesm e npuissel on conter	----|---⌫-----||-⌫|-----||-|-----|
A ma l putaigesoitli s iens corsliure ́z	|--⌫|------|---|-|-⌫---|---|-----⌫-|
Distli cuens	---|-|----|
D ammemoultgrant	-⌫---|----|----|
torten auéz	---|-|----|
Parce lapostre c onquier t	--|--⌫|------||-|-----⌫|
lairoieporlesmembrescoper	------|--|--|------|----|
Queien ia illequantlii ors parracler	--|-|||-⌫---|----|-|-⌫--|----|---|
compaingnem il	---------|-⌫-|
cheualiersarméz	---------|-----|
Qui nem e fa udront mie	--|-|-⌫|--⌫-----|--|
A mis nefumie coa rs	-⌫--|-|-|--|---⌫-|
A inznellaiss apor	-⌫--|--|-----⌫|--|
Aumainselieue si uest sesmeillors dras	-|---|-|----|-|---|--|-------|---|
Ses cheuali ersrichemen t c onrea	--|-------⌫--|--------⌫|-⌫----|
I snellemente nsonchemi nentra	-⌫---------|-⌫|--|-----⌫|----|
Celuiua querre	----|-|-----|
qu ehaïrn ep o rra	--⌫|----|-⌫|-⌫-⌫--|
Enm oultpoidore	-|-⌫---|--||--|
seignorle trouuera	------|-|-------|
bel eauentu r e	---⌫|------⌫-⌫|
Oiézseignor	----|------|
D exuozsoit amis	-⌫-|--|---|---|
Glo riouzqu ien lacroisfu mis	---⌫----|--⌫|-|-|----|-|--|
Ami les ot	---⌫--|-|
sesostaigesmis	--|-------|--|
Puiss enentra to utdroit ensonchemin	---||-|----|--⌫-|----|-|--|-----|
Celuiquiuade	----|--|-|-|
Bl aiuiesa	--⌫-----||
Ainznefinasi	---|-|---|-|
uintenpré	---|-|---|
Quant iliuint si gietaunsozpir	----|-||---|-|----|-|-----|
Beneoiss oitliprésq ue ie uoici	------|-⌫--|-|----|-⌫-|-|--|-|
Et touzl i lieu setlibiaus	-|---|-⌫|----⌫|-|-|----|
nozetiu ré etpl eui	--|-|--⌫--|-|--⌫--|
Lacompaingni e entre mo iet	-|----------⌫|----|--⌫|-|
gardeeco mcheual iersde pris	-----|--⌫|------⌫---|-|---|
Etie comfelet com	-|-|--|--|-|--|
Deuannemis	--|------|
Toutpor lelieuquiest biausetf loris	---|--|-|---|--|--|----|-|-⌫----|
Etporlamor	-|--||---|
au baronque ie	-|----|--|-|
Cidormira i orendroitun	-|-------⌫|--------|-|
Dexmerande	--|-|----|
moncompa i ngnon	--|-----⌫-⌫----|
Ettexnouuelles	-|--|--------|
en puisseie oïr	-|-----|-|---|
Parquoii e	--|---|-⌫|
saiches ilestou mors ouuisApié	-----||-|--|-|---|-|--||---|
d es cent dou bonche ualde	-⌫--⌫---|--|--|---⌫--|-|
pris L ézluilar re snea un	---|-⌫--|--||--⌫--⌫--||-|
rainscelp et it	-------|-⌫--⌫-|
Enterr efic he son roit espié	-|----⌫|---⌫-|--|---|-----|
forbiLau be rcne	----||--⌫--⌫-|-|
liaumen a ilpas d eguerpi	|----|||-|--|-⌫------|
Sonbone scu auoit as onchie f	--|--|-⌫--|----||-⌫-|----⌫|
Carmoultredout e	--|----|------⌫|
Hardréson anne mi	------|--|----⌫-|
Que nelesieuentmil	--|-|-|------|--|
uoillent oci rre	-------|---⌫--|
Amiles enmi leprécouchiéz Lézlui arresne son bon	-----|---|-|---|--------|---|--|------|--|--|
corr antdestrier Nauoit mei lloren	----⌫--|-------||----|---⌫---|-|
Fran cele regnié	----⌫-|-|------|
fichesonbontranchant espié A	----|--|--|--------|-----||
sonchie f asonfort	--|----⌫||--|---|
escucouchié L aubercne	---|-------||-----|-|
despoillié	----------|
Tantfortredoute	---|---|------|
Ha rdrélerenoie ́	--⌫----|-|------⌫|
De la utrepartot un gaste	-||-⌫---|---|-|-|----|
Tuits o ntli	---|-⌫-⌫-|-|
murgastée tp esoi é	--|-----|-⌫|-⌫----⌫-|
Et lestors	-|--|---|
fraintezetil m aubre	-------|-|-|-⌫----|
Nus n irepaire	--|||------|
carli lie usestt ro puiés	--|-|---⌫-|--|-⌫--⌫|----|
Biausfuli ombres des pin set	----|-|-|-----|--|---⌫|-|
deslorie rs	--|-----⌫-|
Etdautrepartuns grans ch emi nsifie rt	-||----|---|--|----|--⌫---⌫-||---⌫-|
Amisquisoncompai ngnonquier t	---|--|--|------⌫----|-----⌫|
B ien leconnutelpré	-⌫--|-|-----|-|---|
oufucouchi éz	-|-|------⌫--|
D i st ases ho mes	-⌫-⌫-||--|--⌫--|
D escendéz ciapi é	-⌫--------|-||--⌫-|
Silai ssiézpaistreunpetituos	-|---⌫-----|------|-|----|--|
Un paï s ant uoiencel pre ́couc hi éGiraiueoir	-|----⌫-⌫--|--|-|--|---⌫|----⌫--⌫-||---|----|
quilfait la nequilq uiertSesteroit	-|-|---|-|-|-|-|-⌫----||-------|
Parisenuoiéz	----|-------|
Qui deï stch ose dontilmefe ïstlié	--|----⌫-|--⌫--|---|-|-|--⌫---|---|
Dou c ompain gnon qui tantfait a pr isier	--|-⌫------⌫---|--|---|---||--⌫----|
enuo l droieparma foirepairie r	-|--⌫-⌫----|--|-|--|--------⌫|
Et nequ edentamaf ranc hemo i llier	-|----⌫----||-|-⌫----⌫-|--⌫-⌫----|
Queielai ssai simalad eau ant ier	--|-|---⌫---|-|-----⌫|--⌫--|--|
Il n a tel dammed escia	-|||--|----|-⌫---||
Monpellier	---------|
Dientsi hom e	----|-|---⌫|
Com uo z plaira si	--|--⌫|-----|-|
Alé zi t ostmais gardéznatargiéz	----⌫||-⌫--|---|------||--------|
Denosi orneesnozconu ie ntesplo i tier	-|--|-⌫-----|--|----⌫--⌫-|-----⌫-⌫---|
Car mer ue ille ssontl ongues	--|---⌫--⌫----⌫|---|-⌫-----|
Amilese n milepr éseiut	-----|-⌫-⌫-|-|--⌫-|-|--|
Deuantlu iotsonauf ferrantquernu	-----|--⌫|-|--|---⌫------|-----|
armes et sonpezant esc u	----|-|--|-----|---⌫|
Sonbra nt d	--|---⌫-||
acier nouuel etesmo l u	----|-----|-|----⌫-⌫|
Sesch i ersco mpa ins	--|--⌫-⌫--|--⌫---⌫--|
part u enus	---|-⌫---|
co nnuttantostcom	--⌫---|------|--|
Sesbonnes armesportaen susde lui	--|-----|----|----|-|--|-|--|
Parmesproisonnelen eüs tfe ru	--|---------|-||-|----⌫|--⌫-|
De sonpoing destre	-|--|----|-----|
l e hurte sor lebu	-⌫|----|--|-|-|
Puisli a dit	---|-||--|
uas salcar leuéz suz	---⌫--|--|-----|--|
Car li ue spresaproche	--|-|--⌫----|------|
Amile sse dr essacontre mont	-----⌫|-|--⌫---|------⌫---|
Bien reconnut	---|-------|
compaingnon	----------|
bras leprinstde te lrandon	---|-|-----|-|--⌫|-----|
Plusdecent	---|-|---|
D elor nouuelles	-⌫|--|--------|
lun salautre desp on t	|--⌫|||----|----⌫--⌫|
Qu ibelessont	--⌫|----|---|
Sirecompains dist	---|-------|---|
Am islicortois	--⌫-|-|------|
uei ̈stezuozde semainne leroiOi ̈ l	---⌫----|--|-|-------|-|--|--⌫-⌫|
bi ax sire ieleuil	--⌫-|---|-|-|-||
Pariso u ilsac ort tenoit	----|-⌫|-|-|-⌫--|-----|
Alemans et	------|-|
Loherains et	--------|-|
Br etons et	--⌫----|-|
Bely ssan sq ui	----⌫----⌫|-⌫-|
Trestoutenuesecoucha auecmoi	--------|--|-|-----|---|--|
Sie nchaïi enensaiautreroi	-|-⌫-----|-⌫||-|--|----|--|
S im escouta	-⌫||------|
Ha r dré zlimaleois	--⌫-⌫----⌫|-|------|
Au matinn etmena ncusa	-|------⌫-||-|-⌫----|
Batailleai	-------|-|
traïtorsan sfoi	-------|---⌫|--|
Mais desostaigesnepo i ienul auoir	---|--|-------|-|--⌫|-|--|----|
ple iaendroitsoi	---⌫-|------|--|
Bu eu es se zf i z q uiestpreuzetcortois	--⌫--⌫-|--⌫|-⌫-⌫|-⌫-|--|----|-|------|
Beli ss an s qui le corsaadr o it	----⌫--⌫--⌫|--|-|---||---⌫-⌫-|
Ienesirairesgarder	-|--|---|--------|
maisdesmois	---|--|---|
Homquitorta combat rene	--|--|---||------⌫-|-|
Parpechiéles aimort es	--|------|--|-|----⌫-|
S irecompain sc edist	-⌫--|-------⌫|-⌫|---|
Amisli ber	---|-|--|
Ieuozdisbienlautrie raud esceurer	-|--|--|---||------⌫|-|-⌫-------|
Etuozproiai porsa inte charité	-|--|-----|--|--⌫---|-------|
Ne preïs si éz c o mpaingn i ea	-|------⌫--⌫--|-⌫-⌫-------⌫-⌫||
Neausi mentnull esocieté	-|----⌫---|----⌫|-------|
To st uozauroit	--⌫-|--|-----|
souduit etenchanté	------|-|--------|
Ettelh ontaige	-|--|-⌫------|
ettel blasme	-|--|-----|
Quinestroitmie	--||------|--|
dele gieramendé	-|--⌫---|------|
Etdistlicuens N en	-|---|-|----||-|
puis maisennon Dé	---|---|-|--|--|
Parcellefoiquiie do i	--|----|--|--|-|--⌫|
Deupor ter	--|---⌫--|
Belis sa nsau gent	-----⌫--⌫-|-|---|
co rshonoréSan uintcouchierdeiouste	--⌫-|------||-|---|-------|-------|
m o ncos té	-⌫-⌫|---⌫--|
Sim escoutalitraïtres	-||------|-|--------|
Au matinnet	-|-------|
Bat a il leaipri nseau trai ̈torprouué	---⌫-⌫--⌫-|-|---⌫--|-|----⌫---|------|
o st aig esne poii enultrouu er	-⌫--⌫---⌫-|-|--|-⌫|--|-----⌫-|
Quantlaroïn e	----|-|-----⌫|
mepleia de so ngré	-|----|-|--⌫|---|
Bue ue sses fi z quiest pro uz e t	---⌫--⌫|--|--⌫|--|--|---⌫-|-⌫|
Belissansaugent cors honoré	--------|-|---|---|------|
Ia niseraim aisdesmoisesgard éz	-|||----|-⌫--|--|---|------⌫--|
tortac o mbatre neseseit	---||-⌫-⌫-----|-|-|---|
O r uoldr oie m ors iestre	-⌫|-----⌫--|-⌫--|-----|
Sire com pains dist	---|---⌫----|---|
Ceste bataillenepuet re m anoir mie	----|-------|-|---|--⌫-⌫----|--|
Ainz serafaite par	---|---|----|--|
D eule fil	-⌫-|-|--|
Etlaf era sac hiéz m es	-|-|-⌫--|---⌫----|-⌫-|
cor s meïs mez	---⌫|-----⌫--|
u ozparlézde folie	-⌫-|------|-|----|
Carlempereresenasafoipleuie	--||--------|-||-|--|-----|
Etb ien iuré l efil sa inte	-|-⌫--|----|-⌫|--|--⌫---|
autre ho menela p an roit il mi e	----|--⌫-|-|-|-⌫--⌫---|-|--⌫|
Tel dueladesafille	--|---||-|-|----|
cheuali ersseür s	-------⌫--|-----⌫|
Etprouzetsaige s onqu esmieu dresne fu	-|----|-|-----⌫|----⌫-|----⌫---|-|-|
Amil e sila amenteü	----⌫|-|||-------|
S irecompains	-⌫--|-------|
n esoiézesperdus	-⌫|-----|-------|
Ostéz uos drasaiéz lesmiens	-----|--|---|----|--|----|
Etiepanraicel	-|-|-----|--|
bondestrierquer nu	--|-------|----⌫-|
Toutesces a rmesetcelpez antescu	-----|--|-⌫---|-|--|---⌫--|---|
Pari smeniraia uertu	----⌫||-|---||----|
Hardre ́z l i felqui l men	------⌫-|-⌫|--|-|-⌫||-|
encustAl abatailleseromm ez moietlui	-----||-⌫|-------|------⌫-|--|-|--|
Cope railui lechie f	----⌫--|--|-|----⌫|
uoirn enestord r amie	---||-|------⌫-⌫|--|
Sire c ompain s	---|-⌫------⌫|
Amisl ib e r	---|-⌫|-⌫-⌫|
De xuozieste z foxp rouuéz	--⌫|--|-----⌫|--|-⌫------|
Moietuozfumezen une hore	--|-|--|----|-|--|---|
en g endre ́	--⌫-⌫-----⌫|
unenuitné	--|---|--|
Et enz unfons b aptizié et l eué	-|--|-|---|-⌫-------|-|-⌫---|
Etnos par rins	-|--|---⌫---|
qui ot non	--|-|--|
Sespar rinnaigesfaitformentaloer	--|---⌫--------|---|------||---|
Oretarg entnozd onna aplent é	-|-|---⌫--|--|-⌫---||-----⌫-|
Et a ch ascunfistun	-||--⌫----|---|-|
hanapdonn er	----|----⌫-|
No znozsa mblons de uenir etd	--⌫|--|--⌫-----|-|----|-||
labo ucheet douuise td ou	-|--⌫---|-|--|--|-⌫|-⌫-|
Doucheu auchieretdesar mesporter	--|----⌫------|-|--|--⌫--|-----|
Dex nefisth omequi	--|-|---|-⌫--|--|
de meresoit nés	-|---|---|---|
noz aenunlie u	--||-|-|---⌫|
iuien t queiasoit	|----⌫|--|-|---|
Ost ézuosdr asetles miensu estiréz	---⌫--|--|--⌫-|-|--|----|-⌫-------|
irai lacité	---|-|----|
Etuozirézladesoz ences	-|--|----|-|----|-|--|
Sitrou ueréz mescheuali ersmembréz	-|----⌫-----|--|-------⌫--|-------|
Siluozdemandentpor qu	|-|--|--------|--|-|
au éztant esté	--⌫--|---|----|
Etuozlordit ezianelor s oit	-|--|--|---⌫-|-|-|--|-⌫--|
Quamessaigier d e	-||---------|-⌫|
Franceauézparlé	-----|----|-----|
Del compaignonuoz ad it ue rit é	--|---------|--||-⌫-|--⌫---⌫-|
Or uold ro ieiestrea	-|----⌫--⌫-|-----||
Blaiuiesl acité	-------|-⌫|----|
Sirecompainsquanta	---|-------|----||
Blaiuiesuenréz	-------|------|
Parc elle foiqu amoideuézporter	--|-⌫---|--|-||--|-----|-----|
Lubia s sozle pintrouueréz	-----⌫|--|-|--|---------|
Li si ens seruic esuozsera presenté z	-|--⌫--|------⌫-|--|---|---------⌫|
Fiulsdeba ron	----|-|--⌫--|
uo zle re fuserézSelleuoz distorgoilne	--⌫|-|--⌫-------||---|--|---|-----|-|
f au ssetéz	-⌫--⌫------|
H a uciézlepaume et	-⌫-⌫-----|-|----|-|
l an feréz	|-|-----|
Sirecompains anpalaismonteré z	---|-------|-|-----|--------⌫|
Etlemengie rferézbie nconraer	-|-|------⌫|-----|---⌫|------|
Lauenisonla charetle saingler	-|------|-|---|-|-|-------|
Les oirauues pre	-|-⌫--|-|---⌫--|
quantu o zdeuréz souper Amagrantt ableass eoir uoz	----|-⌫-⌫|------|-----||-|----|-⌫---|---⌫---|--|
Leseneschalf erézmésa porter	-|--------|-⌫----|---|-⌫-----|
L ubias ierta t on	-⌫----|---||-⌫-|
destrec o stel	-----|-⌫-⌫---|
Gautiersatonsenestre léz	-------||--|-------|---|
Quan tli baron seronttu i tassamblé	----⌫|-|----|-----|--⌫-⌫|--------|
Dirézmesh o mesm escheua liersmembréz	-----|--|-⌫-⌫--|-⌫-|-----⌫----|-------|
Se é z seignor sicom seoirsoléz	--⌫--⌫|------|-|--|----|-----|
Carameng ier auré z	--||----⌫--|-----⌫|
a grans pl entéz	|----|--⌫-----|
Cari eleuoil	--|-⌫|-|---|
foiq uedoiDé	--|-⌫-|--|--|
Qu antlib aronaue ron t	--⌫--|-|-⌫---|---⌫---⌫|
t uitsoupé	-⌫--|-----|
Li ch euali eriront a l o r	-|--⌫-----⌫-|----||-⌫-⌫|
Susel palaisnen	--|-|-----||-|
S irecompains en machambre	-⌫--|-------|-|-|------|
ent reréz	---⌫-----|
feraautretel	---|-------|
Lisie nsseruicesuo ziertabando nnéz	-|---⌫-|-------|--⌫|---|------⌫----|
Sir ecompainset uozlere fu séz	---⌫|-------|-|--|-|--⌫--⌫---|
Biauschiers compains bonnefoimeporté z	----|-----|-------|----|--|-|------⌫|
Et uo zr am embrede	-|--⌫|-⌫--⌫----|-|
l ag ra ntloiauté	-⌫|-⌫--⌫-|-------|
Queli u ns l autre sedoit bienf oi por ter	--|-|-⌫-||----|-|---|---|-⌫-|---⌫--|
Tan tentendirentiluecque sauparler	---⌫|----------|--------⌫|-|-----|
Que uespres	--|------|
