laisdegugemer	---|-|------|
apainespuet auoi rsante	|-----|---|----⌫|----|
amorestplaiededenscors	---|--|----|-----|---|
pertnoient d efors	---|-----|-⌫----|
c est unsm axqui long eme nttient	|--|--|-⌫-|--|----⌫---⌫-|----|
p orcouquedenatur euient	-⌫-|--|--|-|-----⌫|----|
pl uisorlet iene n t a	--⌫----|-|-⌫----⌫-⌫||
s ico nmeciluilain cortois	-⌫|--⌫--|--|-----|------|
nes tp asa morsain s	|--⌫|-⌫-|-⌫---|---⌫|
et mauuaistesetlecerie	-|---------|-|------|
kil goulous entpartoutle	|-|-------⌫--|--|---|-|
puissenu ant entdecouquil font	---||-|-⌫---⌫--|-|--|-|-|---|
p uet un loial trouer	-⌫--|-|----|-----|
moutledoitcieriret amer	---|-|---|-----|-|---|
etestreasonc onm a nde ment	-|----||--|-⌫---⌫-⌫---⌫---|
gugemer aimedurement	------|---|-------|
uilauaprocain sec ors	|-|--|------|---⌫--|
uliestu etuiur earebors	|-|----⌫-|----⌫||-----|
amorsli doneh ardement	----|-|---|-⌫-------|
il li descour en tsontal ent	-|-|-------⌫--⌫|--|---⌫--|
damed istili e	---|-⌫--|-|-⌫|
muirporuous	---|--|---|
enestmoltang ouscos	-|--|---|---⌫-----|
seuosne meuol esgarir	-|--|-|-|---⌫-|----|
dontmestuetil e nfin morir	---||-----|-|-⌫|--|----|
ieuousrequi ruo druierie	-|---|-----⌫|-|-------|
be le nemeescondisciesmie	--⌫-|-|-|-----------|--|
quantele labienentendu	----|--|||---|------|
a uenanmenta respo ndu	-⌫--------||-----⌫--|
enriantli adit amis	-|----|-||--|---|
ciscon sausseroit tro phastis	--|---⌫---|-----|---⌫|-----|
d oi troieruous	|--⌫-----|---|
cesteproier e	----|------⌫|
sui mie costumiere	--|--|---------|
da mefaitil pordiumerci	--⌫-|---|-|--|--|----|
neuosanuit seiel uousdi	-|--|----|-|-||---|-|
fe nme uilainnede mestie r	--⌫--|-------|-|------⌫|
sedoitfai relonctans proiier	-|---|---⌫-|---|---|------|
cieri rquecilnec uit	-----⌫|--|--|-|-⌫--|
usé itelde duit	---|---|--⌫---|
maisiadamede boinporpens	---|-|---|-|---|------|
qui ensoi aitualorset	--|-|--|--|-----|-|
seleuoit home	|--|---|---|
asama niere	|-|--⌫----|
trop f ier e	---|-⌫---⌫|
ains lamerasi n a raioie	---||----|-||-⌫-|---|
ains c onle sacenenosloie	---||-|-|---|-|--|---|
aront ilmou t	----|-|---⌫|
delor bonsfait	-|--|---|---|
d ouceda me fines cest plait	-⌫---|--⌫-|----|---|----|
elesetbienqueuoir	--|--|---|--|---|
seliotroies a ns	-|-|-----|-⌫-⌫-|
lamo rde lieti llebaise	|---⌫|-|-|-|-⌫|-|----|
des ores tgugemerai se	--|-|--⌫|------|--⌫-|
ensanblei uentet p arolen t	-------|-⌫---|-|-⌫------⌫|
ets o uu ent bai sentet acolent	-|-⌫-⌫--⌫--|---⌫---|-|------|
bienlorcouuiegnedelsor plus	---|--|--------|--|---⌫---|
queli autr eonten	--|-|----⌫|--|-|
cemest auisan	-||--|---|-|
fugugem ere nsanbl eoli	-|-----⌫-|-⌫------⌫||-|
mout lordeli te celeui e	---|--|----⌫-|---|--⌫|
mais fort un equ ine s oblie	---|----⌫--⌫|--⌫|-||----|
saroeneto rneen pet itdore	-|----|--⌫--|-|---⌫-||--|
lun m et desous	|-|-⌫-|-----|
lautr edeso r e	|----⌫|----⌫-⌫|
ens iest ild au s	---⌫|--|-||--⌫|
car t ostfurentaparcau	--|-⌫--|-----|------|
d este parunmatin	|---|--|-|----|
iutladamele sl eme scin	--|-|---|--⌫|-⌫|--⌫---|
lab oucelibaiseetleuis	-|-⌫---|-|----|-|-|--|
p ui s l i adi tbiaxdousamis	-⌫--⌫|-⌫||--⌫|---|---|---|
licuersme dist que ie uouspert	-|----|-|---|--|-|---|---|
ueuseronsadescouue rt	--|-----||--------⌫-|
seuousmoresieuoei lmorir	-|---|----|-|----⌫|----|
etse uisenpoespartir	-|-|--|-|---|-----|
assesaue résautrea mor	----|---⌫---|----|-⌫--|
et ier emand r ai	-|-|-⌫-----⌫-⌫-|
iaioiene repos	-|---|-|----|
nemedoinst	-|-|-----|
di x seieuos lais	--⌫|-|-|--|---|
quantuersnule	----|---|---|
autre arai amor	----|---|---|
naiiesd e co u nule paour	|----|-⌫|--⌫|---|----|
a mis decoum	-⌫--|-|--||
uostrecemisemedonrés	-----|-----|-|------|
upandesusferai	|--|----|----|
congieuousdoins	-----|---|----|
uquecesoit	|--|-|---|
dam e rceliquil d es fer a	|--⌫-⌫|---|--||-⌫--⌫---⌫|
uquidesploiierle porra	|--|---------|-|----|
illicilbaillel aseu re	-|-|--|-----||----⌫-|
le ploii faiten tel me sure	-|---||---|-|--|--⌫---|
nulefemmen e ldesferoit	---|----|-⌫||--------|
seforce ucouteln imetoit	-|----||-----|||-----|
lecemi sse	-|----⌫--|
illereceo o it	-|-|-----⌫-⌫-|
partel cou uent	--|--|---⌫---|
kelefaceseurde li	|--|---|---|-|-|
c aintureautre s i	-⌫------|-----⌫-⌫|
dont asacornue la caint	---||-|--|--|-|----|
parmilesflansauquesl estrant	----|--|----|-----||------|
q uile boucleporra	-⌫-|-|-----|----|
san sdepeci eret	---⌫|------⌫-|-|
san scrosir	---⌫|-----|
ill ipriequ eceliaint	-|-⌫|---|--⌫|---|---|
puislabais iéa tant	---|||----⌫--||---|
celiorfurent	--|--|-----|
descou uerttr ouue ́etueu	------⌫---|--⌫----⌫|-|--|
d uncanb relanc malue ssie ́	|-|----⌫-----|--|--⌫----⌫|
quese sireiot enuoiié	--|-|---||-|-------|
a la dameualoit	|-|---|-----|
n epotensenla cambre entrer	-⌫|--|--|-|-|-----|-----|
pa r une fenest rel es uit	--⌫|--|------⌫-|-⌫-|--|
ason segnor	|--|-----|
quantlisire la	----|-|---|||
onques mai ss idolans nefu	-----|---⌫|-⌫|-----|-|-|
de sespr iuesdeman de trois	-|--|--⌫---|-----⌫-|----|
a l a canbreu aitdemanois	|-⌫|-----|-⌫--|-------|
l uisc onmanda	|--|-⌫------|
adespecier	|--------|
dedenstrouua le ceua lier	-----|-----|-|----⌫---|
parleg rantduel	--|-|-⌫---|---|
leconma nda	-|-----⌫--|
gugemeresten piesleués	------|--|-|---|-----|
ne fumietrop	-|-|--|---|
unegrosseperce	--|-----|----|
usoleient pen dreli d rap	|-------|---⌫--|-|-⌫--|
pr is ten samai n	--⌫--⌫|-|-|---⌫|
siles a tent	-|--|-⌫---|
ilenferaaucondolent	-|-|---|----|-----|
ains quedex soi t	---|--||-|---⌫|
t rop aproismiés	-⌫--|----------|
lesarailtous	--|--|-|---|
d amagiés	-⌫-------|
lisirela moltesgard é	-|---|||---|------⌫-|
enquisl i aet demandé	-----|-⌫||-|-------|
kilest oit e t	|-|---⌫--|-⌫|
dont il fune ́s	---|-|-|--⌫-|
etconmente rt laiens	-|------|-⌫-|-----|
conte comil	----|--|-|
etcomladame	-|--|-|---|
dist l ad estinee	---|-⌫|-⌫------|
delabissequ if u	-|-|----|--⌫|-⌫|
et de l anef et d e saplaie	-|-|-⌫|--|-|-⌫|-|----|
orestdeltout	-|--|--|---|
ensam a naie	-|-|-⌫-⌫---|
respontque	------|--|
pas necroit	--|-|----|
queen sisoitc om ildisoit	--|--⌫-|---|-⌫-|-|-----|
ilpeutl enestrouer	-|---|-⌫|--|-----|
il le metoite nh a uta	-|-|-----|-⌫|-⌫-⌫-||
sil garesistceli	|-|-------|-|-|
etbelli fustse	-|--|-|---|-|
quant i leutbienaseuré	----|-⌫|--|---|------|
e nsanle ensontau	-⌫-----|-|---|-|
lenef trouerent ens lontmis	-|--|--------|--||--|--|
ensonpai s	-|--|---⌫|
enu apas ne demeu re	-|-⌫|--|-|-----⌫-|
liceualierssupire et pleure	-|--------|-----|-|-----|
regretesouuent	------|------|
etpriediuommipotent	-|---|--|---------|
quei llidoinsthastiuemort	--|-⌫|-|-----|------|---|
etqueia maisneuig n ea	-|--|--⌫---|-|---⌫-⌫||
s eilnepuet rauoirsamie	-⌫|-|-|---|-----||---|
u sesperanceest et	||--------|--|-|
ta nt ac eledolo rtenue	--⌫-||-⌫--|----⌫|----|
ke line se staportuenue	-|-|--⌫|-⌫-||---|----|
uelefup rimes trouuee	|--|-|-⌫----|------|
assesert pre sdesa contr ee	----|--|---⌫|-|-|-----⌫-|
auplustostquilpeut	-|---|---|-|-|---|
unsdamois i as	--|------⌫-⌫-|
erroit apresu nceualier	-----|----|-⌫|-------|
ensa mainmenoitdestri er	-|-|---|-----|------⌫-|
il l e counutsi l ape la	-|-⌫|-----|-||---⌫-|
uallesleregard a	-----|-|------⌫|
s onsegnour uoita	-⌫-|------|---||
piedescent	--|------|
lece ual li metenpresent	-|--⌫--|-|--|-|------|
o luisenua	|--||-|-|
g rantioi eenfont	-⌫---|---⌫|-|---|
toutsiamiq uanttrouuélo nt	---|-|--|-⌫---|------||-⌫-|
moutert prois i és ensonpai s	---|--|-----⌫-⌫--|-|--|---⌫|
ma i s moltestoi tmasetpensis	--⌫-⌫|---|-----⌫|--|-|-----|
fem meuo loient quilpressis t	---⌫-|--⌫-----|-|-|-------⌫|
etil for me nt	-|-|---⌫--⌫-|
senescondist	|-|--------|
ke n e prendrafemme nulior	-|-⌫|------|----|--|--|
n ep orauoir ne	-⌫|-⌫-|----|-|
se le nep oit d esploiier	|-⌫-|-|-⌫--|-⌫--------|
l ecemissesans	-⌫|------|---|
parbretaigneua	--|--------|-|
la nouelle	-|------|
ne r emaint damene p ucele	-|-⌫-----|---|-|-⌫----|
quineuiegnepor essaiier	--|-|-----|--|-------|
maisne lepoeu entdesploiier	---|-|-|----⌫--|---------|
uo usu eul conter	--⌫-|-⌫--|-----|
queg ugeme rp eut ta ntame r	--|-⌫-----⌫|-⌫--|--⌫-|---⌫|
c onseildun	-⌫-----||-|
siresmiseenprison	----|---|-|-----|
enunetordemarbrebis	-|--|--|-|-----|--|
leior amalet lanuitpis	-|--||--|-|-|---|--|
neuo usporroit	-|--⌫-|------|
d escri r e	-⌫-----⌫-⌫|
le grant painne nelemartir e	-|----|-----|-|-|------⌫|
nelangouscene	-||-------|-|
quela dameseusfree n lator	--|-|---|------|-⌫|-|--|
f uetplu siecuit	-⌫|-|---⌫|-|---|
ainc niotioienededui t	---|||-|---|-|-----⌫|
s ouentreg retesonam i	-⌫----|---⌫---|--|--⌫|
gugemer sire m aruous ui	------|---|-⌫-|---|-|
mix ueulhas tiu e men t	--|---|---⌫---⌫-⌫---⌫|
quelong em entcestm al	--|----⌫--⌫--|---|-⌫-|
se ie peusce m escaper	-|-|-----||------|
fustesmis en	-----|--|-|
quant ce otdi t	----|-|-|--⌫|
se lieuesus	-|----|--|
toteesb a h i euintal	---|---⌫-⌫-⌫-⌫|---|||
nitrouacl efneserr eur e	||----|--⌫-|-|----⌫---⌫|
horsenissipar auenture	---|-|---|--|-------|
on quesn usneledest orba	--⌫---|-⌫-|-|-|----⌫---|
au haule uin t	-|----|---⌫|
ataciéfua u	------|-|-⌫|
u elese uoloit noiie r	|--|-|-----|-----⌫|
qua ntelleuit ensestentree	---⌫-|-|-|--|--|--|-----|
mais d u neriensestpo rpensee	---||-⌫-|---||--|--⌫------|
k iloec fu ses	|----|-|--|
amisnoiiés	---|------|
dontne peutestresor sespies	---|-|---|----|--|--|---|
sedusque a ub ortpeustuenir	-|-----|-⌫|-⌫--|----|----|
e le selaiscast i uscair	-⌫-|-|-------|-⌫-|---|
assessoeus fret ra uaille t	----|-----⌫--|-⌫--⌫----|-⌫|
lines s en uaqui tost lenmain	-|--||-|-|--|---||-----|
enbretaigneestuen uea port	-|--------|--|---⌫-||---|
souscastel uaillantetfort	---|-----|-------|-|---|
li sirequ i lica s tia usfu	-|---|--⌫|-|--⌫-⌫---⌫-|-|
au oitanonmer ia du	--⌫--||--|---⌫--⌫-|
siguerroioitsie nuoi sin	-|---------|---⌫|---⌫--|
porcouert leués si matin	--|--|--|-----|-|----|
segent uoloitfor s enuoiier	-|---|-----|---⌫|-------|
po r son an emidamagier	--⌫|--|--⌫--|-------|
aune fenestre sestoit	|--|-------||-----|
et uitlenef qui	-|--|-|--|--|
ilde scent	-|--⌫----|
parmiledegre	----|-|----|
son canbrelencaa p el é	--|---------||-⌫-⌫--⌫-|
hastiuemen t a	----------⌫||
parl e sciele m ontent	--||-⌫-----|-⌫-----|
dede ns ont	----⌫-|--|
l adame tro uee	-⌫|---|---⌫--|
kideb iauteresanbloi tfee	-|-|-⌫----|---------⌫|--|
sai sist parlemantel	---⌫---|--|-|-----|
olui lenmei n ne enselcastil	|--||-----⌫-⌫-|--|-|-----|
mo ltfuliesde	--⌫-|-|---|-|
la t r oueure	-|-⌫-⌫-----|
car bele estoita desmesure	--|---|-----||--------|
kique leustmisseauriuage	-|--||---|----|-|-----|
bien setqu	---|--|-|
a liato r na telamor	|-|---⌫-⌫-|--|---|
aincasafenmen otgregnor	---||-|----||-|------|
sereurpucele	-----|-----|
ens a canb re quimolt est bele	-|-⌫|----⌫-|--|---|--|---|
ladame lia conmand ee	-|---|-||-------⌫-|
qu idebia uteresa nloit	--⌫|-|---⌫--|----⌫----|
ri cement leuestetatorne	--⌫-----|-|---|-|-----|
maistous iorsest pe n siue etmorne	---|---|---|--|--⌫-⌫---|-|----|
illerequi ert el nen acure	-|-|-----⌫--|-||-||---|
ainslimostredela	---|-|-----|-|-|
iama i sh omenenamera	----⌫-⌫|-⌫--||-|----|
seceluinonqui louera	-|----|--|--||----|
sansdepeci er quant	---|------⌫-|----|
i llentent	-⌫||-----|
lorsli respontparmaltalent	---|-|------|--|--------|
en sementacestpais	--⌫-----||---|---|
un ceu al ierdemoltgr antpri s	-|---⌫--⌫--|-|---|--⌫--|---⌫|
de fenme pr endreeniltelguise	-|----|--⌫----|-|----|----|
se desfentpar une cemiss e	-|------|--|--|------⌫|
dontli destres pansestploiés	---|-|------|---|--|------|
que n epeut est r edesliiés	--|-⌫|---|---⌫-⌫|--------|
kifor ceucou tel ni metroit	-|---⌫-||---⌫--|||------|
uo usfesiss esce cuit leploit	--⌫-|------⌫-|-|---|-|----|
quantel lo i s i so rpira	----|-||-⌫|-⌫|--⌫----|
po r unpet it	--⌫|-|---⌫-|
illeret in t entre se sb ras	-|-|---⌫--⌫|----|--⌫|-⌫--|
de senbliauttr encal es las	-|--|-----|--⌫---|-⌫-|--|
lecai ntureuo loit	-|---⌫----|--⌫---|
mesilnenpotacief	--|-||-|--||---|
puisn otelpais ceualier	---||-|-|---|-------|
kiniue nistpor	-|||--⌫---|--|
ens iremest	---⌫|-----|
bienlo ngeme n t	---|--⌫-----⌫-⌫|
desquagranttornoiement	----||----|----------|
quemeriadu si afia	--|-------⌫||---|
contr ecelu i	-----⌫|----⌫|
quilgerroia	-|-|------|
molt asemons	---||-----|
d e ceualier s	-⌫|--------⌫|
gugemerfut ous lip remiers	------|-|-⌫--|-|-⌫------|
comaamietconpagnon	--||--|-|--------|
celbesoing nelifa li st	--|------|-|-|--⌫--⌫-|
saiealui uenist	|--||--|-----|
alés i est	----||--|
mout riceme nt	---|------⌫-|
ce u a lier s mena plu sdecent	--⌫-⌫-⌫----⌫|---|---⌫|-|---|
m eriadu sa	-⌫------⌫||
granthono r	----|----⌫|
leh erbergadede ns	-|-⌫------|----⌫-|
e ncontreluisa serou r mande	-⌫------|--|-|-----⌫|----|
ceualiers lic onmande	--------|-|-⌫------|
q ueles atortsiuigneauant	-⌫|--||----|-|----|----|
qu ilai metant	-|-|--⌫-|---|
celea faitsonconman d ement	---||---|--|------⌫-⌫----|
ues tues furent ricemen t	---⌫---|-----|-------⌫|
mai namain	---⌫||---|
ui nrent en lasale	--⌫----|-|-|---|
ladamee st oit pensiue etpale	-|---|-⌫--⌫--|------|-|---|
ele oigu gemernom er	--|-|--⌫----|---⌫-|
adontne peu tsor pies ester	----|-|---⌫|--|---|----|
secelene l eust tenue	-|---|-||---|----|
e le f ust	-⌫-|-⌫--|
aterrec eue	|----|-⌫--|
lic euelliersc ontreleua	-|-⌫--------|-⌫----|---|
u i tetesgar da	-⌫-⌫|-|-----⌫-|
etse n san blantet samaniere	-|--⌫|---⌫----|-|-|------|
unpetite t sest	-|------⌫||--|
trasariere	---|-----|
estcefa it	--|-|--⌫-|
il ma douceamie	-|-|----|---|
mespe rance mes cuersmauie	|----⌫----|--|----|-|--|
mabe led amequi	-|--⌫-|-⌫--|--|
dont u ient el equi la me n a	---|-⌫---|--⌫|--||-⌫--⌫-⌫|
oraipensé	-|-|-----|
moltgrantfol ie	---|----|---⌫-|
bien saiquecen	---|--|--|-||
fenmess entres anbl entasses	-----||------⌫----⌫--|----|
pornientse cangemes penses	--|----|-|----|--|-----|
maispour celiqu	---|---|---|-|
eleresanb le	--|------⌫-|
mescue rsfremist sosp ireettranble	--|---⌫-|------|----⌫--|-|------|
ali parleraiuolentiers	|-|-------|---------|
lor uai tauantliceualiers	--|---⌫|----|-|--------|
illebaise leslui	-|-|----|--|--|
onquesa lautrem otnedist	-----|||----|-⌫-|-|---|
ler o u u a	-|-⌫-⌫-⌫-⌫|
meri aduslesre garda	----⌫---|--|--⌫----|
moltli pe sad ecelsa nbla nt	---|-|--⌫-|-⌫|--|--⌫----⌫-|
gugemerapele enriant	------|----|-|----|
si r e fa itils	--⌫-⌫|--⌫-|-||
ilu ousplais oit	-|-⌫--|-----⌫--|
cestepucel easaieroit	----|-----⌫|--------|
uos tre cemiseadesploiie r	---⌫--|-----||---------⌫|
sele iporo itriens esploitier	|--||----⌫-|----|---------|
i lirespontetie lo troi	|-|------|-|-||-⌫---|
un c ambre lencapeleasoi	-|-⌫-----⌫---|----||--|
ki le ce misseotagarde r	-|-|--⌫----|-||-----⌫|
ilicon man deaaport er	|-|---⌫---⌫-||-----⌫-|
alapuce l elab aillié	|-|----⌫-⌫|||-⌫------|
miedesploié	--|--------|
l adame counutbi en	-⌫|---|-----|--⌫-|
sescu ers esto it engran tesfroi	--|--⌫--|----⌫-|-|----⌫|-----|
caruolentie rsiasaiast	--|--------⌫-||------|
selepeustetel eossast	|--|----|-|--⌫|-----|
b iens a pa rcoitmereadus	-⌫--||-⌫--⌫----|-------|
d ol ansestoit aincnefu plus	-⌫--⌫--|-----|---|-|-|---|
damedist il cara s aiies	---|---|-|--|-⌫-⌫----|
sedesferrele	-|-------|-|
quan teleotle	----⌫|--|-|-|
c onmandement	-⌫----------|
le pand elecem isepren t	-|--|-⌫|-|---⌫--|----⌫|
legieremen t ledespl oia	----------⌫|-|-----⌫--|
li c eualiers sesmerueil l a	-|-⌫-------||---------⌫-⌫|
bien leco unut	---|-|--⌫---|
maisnequedent	---|--------|
ne lep otcroi r e	-|-|-⌫-|----⌫-⌫|
fe rmement	--⌫------|
aliparlaen telmesure	|-|----|-|--|-----|
a miedo uce creature	-⌫--|--⌫--|-------|
estes u os	----|-⌫-|
couditesle moi	--|----|-|--|
es ce uo strec ors que ciuo i	-|-|--⌫---|-⌫--|--|-|--⌫|
l acainturedontie u ous cains	-⌫|-------|---|-|-⌫--|----|
asescosteslimistsesmains	|--|-----|-|---|--|----|
il atrouee la cainture	-||-----|-|-------|
bele dist il que leauenture	---|---|-|---⌫-|-------|
queieuous a i i citro uee	--|-|---|-⌫|-⌫-|---⌫--|
kiuous a iciamenee	-|---||--|-----|
ele lic onte ladolour	--|-|-⌫---|-|-----|
les grans painnes et le tris tor	--|----|------|-|-|----⌫--|
prisonla u elefu	-----|-||--|-|
et co nmentliestaue nu	-|--⌫----|-|--|---⌫-|
conme nteles	-----⌫-|--||
noier s euaut lan estroua	----|-⌫|---|-|-⌫-|----|
ensen entraa c elpor t uint	--|-|----||-⌫-|---⌫|---|
et liceualiersle re t in t	-|-|--------|-|--⌫-⌫--⌫|
gardeela agrant	-----||||----|
ma is tou sio rsli	--⌫-|---⌫|--⌫-|-|
prioit da mor	-----||-⌫--|
orestsaioiereu e nue	-|--|-|---|---⌫-⌫--|
amismen ese n tuostredr ue	---|---⌫-|-⌫-⌫|-----|--⌫-|
gugemeres ten	------|--⌫|-|
pi es le ués	--⌫-|--⌫---|
seg nor faitil ormente ndes	---⌫--|---|-|-||----⌫---|
iai cima m iecouneue	|-|-||-⌫-⌫-|------|
keiecuidoieauoirperdue	-|-|------|----|-----|
mer e adurequir et pri	---⌫-⌫--|-----|-|--|
rende l emoisoie	----|-⌫|--|---|
deusu leseruir ai	---||-|------⌫-|
a centceualiersuaplus	|---|--------|||---|
dontl ires po nt	---|-⌫|---⌫--⌫-|
gugeme rfait il bia xamis	------⌫|---|-|---⌫|---|
ie nesui mie	-|-|--|--|
ne sidestrois por nuleguere	-|-|-------|--|---|----|
q ued eceme	-⌫-|-⌫|-|-|
doiies requere	-----|------|
ie l etrouai s iletrouai	-|-⌫|-----|-⌫|-|-----|
encontreuos lede ffendrai	-------|--|-|--⌫-------|
quantil loiha stiuement	----|-||-|--⌫--------|
afaitmonter toutesa gent	|---|-----|----|-|---|
dilue c se partce luidef fie	|----⌫|-|---|--⌫--|---⌫--|
molt est dolans	---|--|-----|
qu i laistsamie	-||----||---|
enl a uilenotc eu a lier	-|-⌫|---||-|-⌫--⌫-⌫---|
q ui fu stue nus po r	-⌫-|--⌫-|--⌫--|--⌫|
k egugeme rn	-⌫|------⌫||
enm ai ntosai	-|-⌫--⌫-||--|
cascunsli afiesafai	------|-|---|-|--|
kolui irontquelpart	||--|----|---|---|
moutesthouni s qu i or lifa ut	---|--|-----⌫|--⌫|-|-|--⌫-|
la nuitso nt au	-|---|--⌫-|-|
cast el uenu	----⌫-|---|
kiguerioitmer eadu	-|-------|---⌫---|
li s ires le sah erbergiés	-|-⌫---|--⌫||-⌫---------|
fuioi a nset lies	-|---⌫-⌫-|-|---|
de gugemeretdesaie	-|------|-|-||--|
bie nsetqu e sag uere afe nie	---⌫|--|--⌫|-|-⌫---||--⌫--|
eldemainpar mat inleuere nt	-|-----|--|---⌫-|------⌫-|
par les h ostex seconreeren t	--|--|-⌫----|-|---------⌫|
delaui leisse nta grant bruit	-|-|--⌫-|----⌫-||----|----|
g ugemerdeuant les c o nduist	-⌫-----|-----|--|-⌫-⌫-----|
al c a steluindrents il	-|-⌫-⌫---|-------|-⌫||
estoitauprend refalet	-----|-|-----⌫-|----|
g uge me ralau i leasise	-⌫---⌫--⌫||-|-⌫-⌫-|----|
nentornera si l ara prise	|-|------|-||--|----|
t antlicrurentamietg ens	-⌫--|-|------|--|-|-⌫--|
k e tosl es afamadedens	-⌫|--|-⌫-|----|-----|
le castel a destruit et	-|-----||-------|-|
e tlesegn ordedens	-⌫|-|----⌫-|-----|
agranti oi e	|----|-⌫--⌫|
s amieenmainne	|---|-------|
orat respasee	-||-⌫-------|
decest c ontequoi aues	-|---|-⌫---|---|---|
fu gugemerl i lais troués	-|------|-⌫|---|------|
q u eon dist enharpeete n rot e	-⌫-⌫|-|---|-|----|-|-⌫|---⌫|
boineenestao ir lanote	----|-|--||-⌫-|-|---|
