form Cicomence lauiede	---|-|------|-|--|-|
conmandéafere ceqenosuosproie rons ce	--------||---|-|-|--|--|-----⌫---|-|
estqueuospreigniez lamoi tie ́	--|--|--|--------|-|---⌫---⌫|
de l‘ uileqenoschameusont	-|-|---|-|--|------|--|
uosauonsnosencouenantetotroio nsqe	--|----|--|-|-------|-|------⌫-|-|
no s etnos treoirdonronsauoset	--⌫|-|---⌫--|--|------||--|-|
a c eus qiaprésuosue ndront	|-⌫--|-|-----|--|--⌫-----|
aoésl ‘eglisse	|---|-⌫|------|
de cestemesonc hascun an unemesure d‘uile	-|----|----|-⌫-----|-|--|-----|-|---|
Lors fist s ein z Ieroim e sausi ntcon me	---|---|-⌫---⌫|------⌫-⌫|----⌫-|---⌫-|
aforce rec ̧oiurel‘uileqelimarcheans lid o nerent	|----|---⌫-----|-|---|-|-|--------|-|-⌫-⌫-----|
mengi eren t li marcheanzetreciurent la	-----⌫----⌫|-|--------|-|--------|-|
beneïçonseintIerosme .	---------|----|------||
Puispristrentl or chosese tlorchameu s si	---|--------|-⌫-|-----|-⌫|--|------⌫|-|
s‘ enrepeiriere ntenlor	-|-|----------⌫-|-|--|
contrees .	-------||
Ceste choseau int enlac itéde	----|----|--⌫--|-|-|-⌫---|-|
Bethleemsicomc ildela	-------|-|--|-⌫-|-|-|
ra content .	--⌫------||
Bethlee mful a citéen	-------⌫|-|-⌫|----|-|
qoinostreSire sliS auueresde tot le	--|-----|----⌫|-|-⌫------|-|--|-|
mondef unezde	----|-⌫|--|-|
la u irge si c o m liprophete l‘auoien t deuant	-|-⌫---|-|-⌫-⌫|-|-------|-|------⌫|-----|
prononcié etlafu mise n lacrech e.	---------|-|-|-|--|-⌫|-|-----⌫||
Eta dontestoit lacrec heao rnee et d‘	-|-⌫---|-----|-|----⌫-|--⌫---|-|-|
oretd‘argent s icom	-|-|-|-----|-⌫|--|
seinzAn toinesleraconte	----|--⌫-----|-|------|
EtlaseruoitseinzIeroimes etsifrereparg rant	-|-|------|----|-------|-|-|----|--|-⌫---|
deuotionnu itetior .	-------|--⌫-|-|--||
Etadési auoit lu minaire	-|----||----|--⌫------|
La creche estoiten	-|-----|-----|-|
unefosseal‘e ntree estroi tee tac e le entree	--|----||-|-⌫----|------⌫-|-⌫||-⌫-⌫-|-----|
fist me ssir esseinz Ieroimesferea s onoés une	---|--⌫----⌫-|----|-------|---||-⌫-|---|--|
sepouture e nqo iilfumis	--------|-⌫|--⌫|-|-|--|
etenseuelizqant	-|--------|---|
ilpa rtidecestsiecle.	-|--⌫--|-|---|-----||
Cefu ass econdes	-|-|-|-⌫------|
kalen desd‘ octembre.	-----⌫--|-|-------||
Etad o ncauoit il	-|--⌫-⌫-|----|-|
aempli n onante anzd e	-----|-⌫-----|--|-⌫|
Honoiresestoitem pereresa Romequi.	-------|-----|--⌫------||---|--||
anzauoi t t enule rei gne	--|----⌫|-⌫--|-|---⌫--|
p arle coumandement deCeluiquiuit	-⌫-|-|-----------|-|----|--|--|
e t reigneparm enabl eme nt.	-⌫|-----|----⌫-----⌫---⌫-||
