quitot ueltfairesanzconseil	--|--|---|----|---|------|
n afie rtpas ne	|----⌫-|--|-|
amoin atoi	|--|||--|
qu enosamonsnetant nequant	--⌫|--|----|-|---|-|----|
quar t ropsomes enc or enfant	---|-⌫--|----|---⌫-|-----|
tu d iz qu amors tefai tma ltraire	-|-⌫-|-|----|-|---⌫|--⌫|-----|
de ce netep uis	-|-|-|-|-⌫--|
gedr oit faire	-|--⌫--|----|
mais sec estuoirsquema lte f ace	---|-||--|----|--|--⌫|-|-⌫--|
uat an q ue iaadi eune	-||-|-⌫-|-||--⌫-|-|
l essai pormal a uoir	|----|--|--|-⌫---|
nene quierd	-|-|----||
amorriensauoir	---|---|-----|
neg en e lesaurai	-|-⌫|-⌫|-|-----|
ge na icuredetel ah an	-||-⌫|---|-|--|--⌫-|
maisortedi uat	---|-|-|-|-||
enarri ere	-|----⌫--|
tupers et gastesta proiere	-|---|-|-----|-|------|
la p ucelepluspresse	-|-⌫----|---|---|-|
pleureetcrie erien ne	-----|-|---||---|-|
et gi ete arrieresonmantel	-|--⌫--|------|--|-----|
toutenuees tle	----|--|--⌫|-|
corso t bel	---|-⌫|--|
t an tl adest raintelafroi dure	-⌫--⌫|||----⌫-----|-|----⌫---|
etlauoie quitantertdur e	-|-|---|--|---|--|---⌫|
le sanclisautpar mi	-|---|-|---|---⌫-|
ettotlepielif istuermeil	-|--|-|--|-|-⌫--|------|
l eueli cort	|--|-|---|
iluitle s main sq u elioint	-|--|--⌫|----⌫|-⌫|-|----|
nues s anzganz etsanzorfrois	---|-⌫--|---|-|---|------|
qu isontpl usblanchesquenestnois	--⌫|---|--⌫-|-------|--||--|---|
blanch e ch aro tsozlachemise	------⌫|--⌫-|-⌫|--|-|------|
nul e pitie nelenestprise	---⌫|----|-||-|--|----|
dieussid urcueret	----|-|-⌫-|---|-|
sozcielnasi	--|---|||-|
richebaron	----|----|
princec onteneroi si	-----|-⌫---|-|--|-|
empereo rn eamira ut	-------⌫|-⌫|-----⌫-|
quilonguement sit enis tmie	--|---------|||-⌫----⌫|--|
quil nepa rlast deconpaig nie	-|-|-|--⌫----|-|-------⌫--|
eledit nail cure	--|--|||-|---|
tort ade riensnelasseure	---||-|----|-||------|
encorauoit adire assez	----|----||---|----|
quant narc isussen esttornez	----|----⌫---||-|--|-----|
eleremaintdeduelse	--|------|-|---|-|
etquantelre uintsisebl asme	-|----|-|--⌫---|-|-|--⌫---|
l asse di t ele gesui	-⌫---|--⌫|--|-|--|
riens ne meconfo rte	----|-|-|-----⌫--|
or sui gemorte et	-|--|-|----|-|
malb aillie	----⌫-----|
ianaura iioie demauie	-||----⌫|---|-|-|--|
q ueriensquedie	-⌫-|----|--|--|
t ouzbiensmefu it etmalmassaut	-⌫--|----|-|--⌫-|-|--||-----|
danegeltedisoie	---|-||-|-----|
onc neme uosis	--|-|-|----|
croirerien	-----|---|
etorm afaitsi	-|-|||---|-|
malbaillie	--|------|
pardieu or ma ilfaitf aill ie	--|---|-|||-|---|-⌫----⌫-|
b ien leconnoisetsime	-⌫--|-|------|-|-|-|
moiail escon dite m o i	--||-|-----⌫---|-⌫-⌫|
ennesui gefillederoi	---|--|-|----|-|--|
etilestfilz	-|-|--|---|
azzsienhome	|-|---|---|
hedieus com acipesan t someil	-|----|--||-|-----⌫|-----|
etsi e s tgri ef ameintenir	-|-|-⌫-⌫|---⌫-||--------|
que porrai	--|-----|
or edeuenir	--⌫|------|
silfust l a izilm en	|-|---|-⌫-⌫-|-||-|
pe s astueaus	--⌫-⌫--|----|
cep ois emoiq uilestsibe au s	-|-⌫---⌫|--|-⌫|-|--|-|--⌫--⌫|
uilainementparla	----------|----|
quelide splotge nesaiqoi	--|-|--⌫----|-|-|--|--|
quelipotilenmoidesplaire	--|-|--|-|-|--|--------|
ce qu eilest	-|--⌫|-|--|
sideputaire	-|--------|
quegesuiauenantetbel e	--|-|--|------|-|---⌫|
etouuec cesisui pucele	-|----|-|-|--|-----|
beau spiezetbelesmai ns	----⌫|---|-|----|---⌫-|
iaplusilest uilai ns	||---|-|--|-----⌫-|
etmo ltmal	-|--⌫-|--|
afait ie z	-----⌫--⌫|
l asseda n euitiltespiez	-⌫---|--⌫-⌫|--|-|--|---|
qu ei auoie	--⌫||----|
si e spi nez	-|-⌫---⌫--|
o rnesestmieporpensez	-⌫|-||--|--|--------|
lasse ditele	----|--|--|
quedit o i	--|--|-⌫|
ialaim geta ntet	-||--|-|--⌫-|-|
trop ce croi	---|-|---|
uoi repard ieuetu uelamer	---⌫-|--|-⌫--|-|-⌫--|---|
pasmo ncueroster	--|--⌫|---|----|
ormests amor to t e	-||--||---|--⌫-⌫|
quesagr antbeautez me	--|-|--⌫--|------|-|
quantmenuu eil	----||-|--⌫--|
partirneme la i	-----|-|-|--⌫|
neme chaut	-|-|----|
que illemafait	--|-|-|||---|
s e ile ncor s erepentoit	-⌫|-|-⌫---|-⌫|--------|
etilporamen de r ueno it	-|-|--|----⌫--⌫|----⌫-|
mais g ecro iqu	---|-⌫|---⌫|-|
ilnadece cure	-|||-|-|---|
ilnaso ing defaire	-|||--⌫--|-|----|
dro itu re	---⌫---⌫-|
nel puis la issi ernel puisge rpir	-||---|--⌫----⌫-|-||---|--⌫---|
genenpuispa smon	-||-|---|--⌫|--|
cuer partir	---|-----|
ne s aique dimoltme merueil	-|-⌫-|--|-|---|-|------|
q uerremestuet	-⌫----||-----|
aut re cons e il	---⌫-|----⌫-⌫-|
il naura ia sidurcorai ge	-||---|-|-|--|-----⌫-|
que ilnema ime	--|-|-||-⌫--|
commesai g e	----|---⌫-⌫|
segeparol s ouent a	-|-|----|-⌫----||
nesaiouuoisnesai	-|--|-|---|-|--|
quisuig e d onc qui estmon pere	--|--|-⌫|-⌫--|--|--|--|---|
q ui est do ncta mere	-⌫-|--|--⌫-|-|---|
dontnesaigequi	---|-|--|-|--|
genaiami ne naipare nt	-||-|--|-||-|----⌫-|
s anzconsei l sui debo negen t	-⌫--|------⌫|--|-|--⌫-|---⌫|
mencongeest ainzsuiorf eline	-------|--|---|--|---⌫----|
parfoi siastues dane	--|--|-|-|-|-|---|
astudo nques le sen	-|-|--⌫----|-|--|
boisetqu isui	---|-|-||--|
gemecontiengen folegu is e	-|-|-------|-|---|--⌫--⌫|
cefaitamors quisimelasse	-|---|----|--|-|-|----|
ne sai queplus droitlanomass e	-|--|--|---|----|-|------⌫|
seged eissedesu erie	-|-|-⌫----|----⌫---|
forsener ie	--------⌫-|
gestoieenpaisor	|-----|-|---|-|
suieng uere	--|-|-⌫---|
uraisdieus duciel et delaterr e	----|----|-|---|-|-|-|----⌫|
etcilde lai r etde lamer	-|--|-||--⌫|-|-|-|--|
tuit cilqui seu ent ri ensdam er	---|--|--|---⌫--|--⌫--||--⌫-|
etquielcielauezbaillie	-|--|-|---|---|------|
et tu uenusquimastrahie	-|-|----|--||-|-----|
mere di eu priez	---|--⌫-|----|
uostr ef ill	-----⌫|-⌫--|
qu ilmegietde	-|-|-|---|-|
cestperill	---|-----|
et pra ngedecel uiueniance	-|---⌫--|-|---⌫-|-------|
parquigemuir	--|--|-|---|
s a nzrepen tence	-⌫-⌫-|-----⌫----|
faites quil	-----|-|-|
saichequ e stamors	-----|-|-⌫-|----|
et qu il ne npuista uoir sec ors	-|-|-||-⌫|----|-⌫---|---⌫--|
lidi e unel	-|--⌫-⌫|-||
ontpas mesoie	--|--|-----|
bi ense raf e tcequ	--⌫-|--⌫-|-⌫-⌫|-|-|
reuaasonguichet	---||--|------|
dedenzsa chan bre seremet	-----|-|----⌫--|-|----|
na rcisusotz zcerf	--⌫-----|-|-⌫|---|
et toutei or	-|----|-⌫-|
moltpar auoit angoisseuschaut	---|--|----|---------|----|
qu elisoleus estoiten	--⌫|-|-----|-----|-|
etquanti lfumidispass ez	-|----|-⌫|-|----|----⌫-|
fu m olteschaufe z	-|-⌫--|--------⌫|
desescompa i gnon sse de ssoiure	-|--|-----⌫-⌫----⌫|-|--⌫------|
etuait que rante uepor boiure	-|---|---⌫---|-⌫-|--|-----|
lorsaueuunefontaine	---||--|--|-------|
quimoltesto ite tclere	--|---|----⌫-|-⌫|----|
desorestoit	----|-----|
lerbe mol tdrue	|---|---⌫|---|
q uit otot entorestoitc reu e	-⌫-|-⌫-|-|----|-----|-⌫---⌫|
i lu equesl i p laista re maindre	-⌫--⌫----|-⌫|-⌫----||--⌫------|
etquan tuolt s asoi estaindre	-|----⌫|---|-⌫|--|--------|
dunau tresoi est es chau fez	|-|--⌫--|--|--|--⌫----⌫--|
quigraignorm al lifait	--|-------|-⌫-|-|---|
q ua nt illabaisaet ilboit	-⌫--⌫-|-|-|----|-|-|---|
parded enz l afontaine uoit	--|---⌫--|-⌫|-------|---|
lo nbrequi	|-⌫---|--|
estdel autrepart	--|-||----|---|
auisli est que ilre gart	---|-|--|--|-|--⌫---|
cuidecesoitfe edemer	----|-|---|--⌫|-|--|
quilafonta ineai t a	--|-|-----⌫--|--⌫||
molt esploitea mors enpoidore	---|-------|-⌫---|-|--||--|
quiquecesoitet il demore	--|--|-|---|-|-|-----|
sononbreen la font ai neuoit	--|----|-|-|----⌫--⌫-|---|
moltsemer ueill eque	---|-|---⌫-----⌫|--|
commencal esiaamer	-------|-⌫|-||---|
nen pooitson cuer os te r	|-|----|--|---|--⌫--⌫|
complus lesgard eplusli plai st	--|---||------⌫|---|-|----⌫-|
mot a mor s ne lais t	--|-⌫---⌫|-|----⌫|
ilcrientmolt	-|-----|---|
ne loiepa rler	-||--|--⌫---|
que ci n e uelt plusdemorer	--|-|-⌫|---|---|------|
maismoltesgarde uiselment	---|---|------|--------|
le co rsleuisq ui lau oitg e nt	-|--⌫-|-|--|-⌫|-⌫|--⌫--|-⌫-⌫-|
uairs elzlon guesmains et l o nsdoiz	----|--|---⌫---|----|-|-⌫-⌫-|---|
ango is se uset d estroiz	----⌫--⌫--⌫-|-|-⌫------|
c estcilquitant	|--|--|--|---|
blasmoit amor	-------|---|
qui or l amis en	--|-|||--|-|
orlipriequ	-|-|---|-|
illaisseen core	-|-----|--⌫---|
plaintsoi et puis	-----|--|-|---|
soupireetplore	------|-|----|
m ais esgarerestdunechose	-⌫--|------|--||--|----|
ne s epuettaireetparlern o se	-|-⌫|---|----|-|-----||-⌫-|
plaintsoi et puis fait zz	-----|--|-|---|---|-|
de parler ne	-|-----|-|
sepuettenir	-|---|----|
ch osefait ilqu i	--⌫--|---|-|--⌫|
laienz uoi	-----|--|
ne saicomap e ler tedoi	-|--|--|--⌫-⌫--|-|--|
se doizestrenimfeapelee	-|---|----|----|-----|
ousetuesdeesse	-|-|-|-|-----|
queq ue tusoies uien ca hor s	--|-⌫-|-|----|---|-|---⌫|
etsi me demonstre	-|-|-|--------|
uiencaetquetraistu arrier e	---|-|-|--|----|-|------⌫|
maintef oizai esté	-----|-⌫--|-|----|
maleamor espris	---|---|-----|
orsaigebienquil m ente ndroit	-|--|-|---|-|-||----⌫-----|
etqu i lsep laign oient ad r oit	-|-|-⌫|-|-⌫-----⌫----||-⌫-⌫--|
queteuastuoremucant	--|-|--|-|--|-----|
moisiuien au an t	--|-|---|--⌫--⌫|
legierementipuez parler	----------||---|-----|
apoint de mer	|----|-|--|
forszzpoid	---|-|--||
dieusente nt ele queiaidit	----|----⌫-|--|--||-|--|
nenil cecuit t ropest par font	----|-|---|-⌫--|--|---⌫---|
par dieu sifaitainsir espo nt	--|---|-|---|----|-⌫----⌫-|
g eli uilesleuresmouuoir	-⌫|-|-|--|-----|------|
n enp uis auoir	|-|-⌫--|----|
l aiuenenl aitla uoizissi r	|---||-|-⌫--|-|---|----⌫|
quenelapuis oir	--|-|-|---|--|
hedieusporqoineloip a rler	-|----|--|--|-||-|-⌫-⌫---|
quene seuientc a	--|-|-|----|-⌫|
forsm onstr er	---|-⌫-----⌫-|
ouceli ui ent de grantorgueil	-|-|-|--⌫--|-|----|------|
oueleueltce quegeuuei l	-|--|---|-|--|-|----⌫|
etquantg e	-|----|-⌫|
rig elauoi rire	-|-⌫|-|--|---|
etquant s oupir	-|----|-⌫----|
ele soupire	--|------|
e tquant ge	-⌫|----|-|
plo r fa it autretel	---⌫|--⌫-|-------|
nenefait el	-|-|---|-|
quequeg efazge cui tqu	--|--|-⌫|--|-|---⌫|-|
geuises le rme s en	-|-|--|--⌫---⌫|-|
p orqoi de faut se lem	-⌫-|--|--⌫---||-⌫-||
eluenisth ors selme monstrast	-|-----|-⌫--|-||-|--------|
ou ainsimecuideescharni r	-|----|-|----|--------⌫|
ouelnepuetca hor sueni r	-|-|-|---|-|---⌫|----⌫|
que ferai geque porrai dire	--|----|-|--|-----|---|
or plai ng orplor eto r	-|----⌫-|-|---|-|-⌫|
uueil rir e	----|---⌫|
li cuers m eschaufesiaifroit	-|----||-------|-|-|----|
que lfro idur eai gece qu edoit	---⌫|---⌫----⌫|-|-|-|--⌫|---|
quantilfaits igran t chaltcah o rs	----|-|---|-⌫|----⌫|----|-|-⌫-⌫-|
et geaifroi tdedenz	-|-|-|----⌫|-----|
o rmem embreque gedoi dire	-⌫|-|-⌫----|--|-|--|---|
queteldou loret tel martire	--|--|---⌫--|-|--|------|
etteluiesolentmen er	-|--|--|-----|---⌫-|
ceus qu isentremetentdame r	---|--⌫||----------||---⌫|
a m orquisi mem aine	-⌫-⌫-|--|-|-|-⌫---|
quimefaittraire	--|-|---|-----|
celepa i ne	---|--⌫-⌫-|
damornedoige riens sauoir	|---|-|--|-|----|-----|
sifazque l estdeg ra ntpooir	-|--|-|-⌫|--|-|-⌫--⌫-|----|
quel medestraint et	-|-|-|--------|-|
metr aua ille	-|--⌫---⌫---|
cecroigebienet	-|---|-|---|-|
saisanzfai lle	--|---|---⌫--|
maisquee lestou quece	---|--|-⌫|--|-|--|-|
o uelconuerse ouel euoit	-⌫|-|-------|-|--⌫|---|
quel gent quelt errea	---|---|---|-⌫---||
i lsozso i	-⌫|--|--⌫|
cene puis gesauoir	-|-|---|-|-----|
et quai geafairede	-|-|-|-||----|-|
l enquerre	|-------|
desonpai sne	-|--|---⌫|-|
desater remoinestuet p a s queli requi e re	-|-|---⌫-|--||-----|-⌫-⌫|--|-|-----⌫-⌫-|
que gesaiiadesam anie re	--|-|--|-|-|-|-⌫----⌫-|
es tauisque	--⌫|---|--|
g esa i bien	-⌫|--⌫|---|
dom e st onqu es maisn	--|-⌫-|----⌫-|---||
en soirien	-|--|---|
nezfudedenzunemontaigne	--|-|-----|--|--------|
enro che de	-|--⌫--|-|
terre g rifaigne	----|-⌫-------|
o iltoz iorzaetn oif	|-|--|---||-|-⌫--|
dur alec uerdu re	--||-|-⌫--|--⌫-|
corsda imant uaines defer	---||-⌫----|-----|-|--|
sonrepaireest	--|------|--|
ianequerraiq uenus die	-|-|------|-⌫-|--|--|
elcielnule bai llie	-|---|---|---⌫---|
orestuia dame rm oltsaige	-|-|-|-||---⌫|-⌫--|----|
qu it ena tantdit	--⌫||-||---|--|
ton co r aige	--|--⌫-⌫---|
ge necuitpas quece puis testre	-|-|---|--|--|-|----⌫|----|
que tuen saiges	--|-|-|-----|
tantsanz m estre	---|---|-⌫----|
iai bonmais trequice me	|-|--|----⌫--|--|-|-|
quidedenzlecors m art	--|-----|-|---||--|
quim apr a nt toutesa na ture	--||---⌫-⌫-|----|-|--⌫---|
etsimangoisse	-|-||-------|
adesmesure	|--------|
hadouce riensquisi mes pranz	-|----|----|--|-||--⌫----|
sauoiesqueus to rmenz	------|----|--⌫----|
et queldoulorge sentportoi	-|---|-----|-|---|--|--|
tuuendroies parler a	-|--------|-----||
gemuirsa nz fin	-|---|--⌫-|--|
etsanz consei l	-|---|------⌫|
ainzquedem ainsoitleso leil	---|--|---⌫--|---|-|--⌫---|
meporra lenci trouermort	-|----|--|-|-----|---|
sauoirnepuis autre confort	|----|-|---|----|------|
moltest so ncu e r	---|--|--⌫|--⌫-⌫|
etf el etfiers	-|-⌫-|-|----|
quisimesgarde uolentie rs	--|-||------|--------⌫-|
sicomgeuoi as onsen bl ant	-|--|-|--||-⌫-|---⌫--⌫--|
etsi ne uelt ueni rauan t	-|-|-|---|----⌫|----⌫|
quanqueg e	------|-⌫|
fa zgeliuoifaire	--⌫|-|-|--|----|
onc maisnulene	--|---|---|-|
mepo tplaire	-|--⌫|-----|
po rt oi aito t le	--⌫|-⌫-|-|--⌫|-|
montlaissié	---|-------|
tumas du tou tuerstoi plaissié	-||-|-|---⌫|---|--|--------|
etgemolt doucem e ntte pri	-|-|---|------⌫-⌫-|-|--|
q uetuaies demoi	-⌫-|-|---|-|--|
nepotpartir	-|--|-----|
iluecuorr auiureou	----|----⌫|----|-|
ne lipotplaire aut r econseil	-|-|--|-----|---⌫-⌫|------|
ia ertesc onsséleso leil	-|--|---⌫-----|-|--⌫---|
totelanuit	---|-|---|
des i au ior	-|-⌫|-|--|
fuil enpainee t en doulor	-|-|-|----|-⌫|-|-----|
c onquesnemenia	|-----|-|----|
nesafolieapercut	-|-|----|------|
moltfa itgrant ploret	---|--⌫-|----|---|-|
grantduelmaine	----|---|----|
leslermestroublentlafontaine	--|-----|--------|-|-------|
etpor l eue quitrouble	-|--||--|--|------|
n epotue oir	-⌫|--|--⌫--|
ce ques oloit	-|--|-⌫----|
he lasfaitil qu es tdeu e nue	-|--|---|-|-|--⌫|---⌫-⌫--|
ouest aleeorl ai perdu e	-|--|---|-||-|-----⌫|
et ge su i ci re mesto z	-|-|--⌫|-|--⌫--|--⌫|
dol enz ch aitis	---⌫--|--⌫----|
ma leu reus	--⌫---⌫---|
nulea r me	---|-⌫-⌫-|
o moi ci ne	|--|-|-|
for sseulamors quimedestr aint	---⌫|---|----|--|-|-----⌫---|
sa compaigniene me faut	-|---------|-|-|---|
moiquechaut	--|--|----|
lorsritets i	---|--|-|-⌫|
que celeli	--|---|-|
afait z z r is	|---|-⌫|-⌫-|
brazcuidalep randre	---|----|-|-⌫-----|
maisn e sot paslanciernetend re	---|-⌫|--|--|------|-|----⌫-|
quil lapuistsenti r netrouuer	-|-|-|----|-----⌫|-|------|
lorsse commencea	---|-|-------||
porpensser	---------|
bienuo itque	---|--⌫-|--|
c estonbrequi l aime	|--|----|-|-⌫|---|
adoncseblasmeetfolseclaime	----|-|-----|-|--|-|-----|
mai sn eporquantnese tquefaire	---⌫|-⌫|--|----|-|--⌫|--|----|
neso nfolc ue rnenpuetre tr a ire	-|--⌫|--|-⌫--⌫||-|---|--⌫--⌫-⌫--|
desuoiezest nepuet guenchir	-------|--|-|---|-------|
nadroiteuoiereuenir	||-----|---|------|
esc ha ufe z	---⌫--⌫---⌫|
est reretorn ez	---⌫-|------⌫-|
lasfa i til	--|--⌫-⌫|-|
ma mo rtapro che cestlafin	-|--⌫-|----⌫--||--|-|--|
queen fol leu ai mis	--|-|--|--|-|--|
m ente nte	|----⌫--|
que g en pertioieet	--||-|---|---|-|
maiouent e	-|------⌫|
orsaide fiet	-|--|-|-|-|
totporuoi r	--|--|---⌫|
que genepuis maisbien auoir	--|-|-|---|---|---|----|
etquantgesui plus angoisseus	-|----|-|--|---|---------|
plu sme de strai nt	---⌫|-|--⌫-----⌫-|
etar tlifeus	-|--⌫|-|---|
or naimesti erdenul	-||-|-----⌫-|-|--|
destreciestmoltgrantdeport	|----|-|--|---|----|-----|
gecui daiueoirquequesoit	-|---⌫--|----|--|--|---|
de lo mbre	-||-⌫---|
quimedeceu oit	--|-|-----⌫--|
si mefaiso itau ques debien	-|-|-----⌫-|--⌫---|-|---|
mai sporu oi r	---⌫|--|-⌫--⌫|
sa iquenia irien	--⌫|--|||-⌫|---|
etquant pluss ui des aparant	-|----|---|-⌫-|---⌫------|
mangoiss e as sezplus	|-------⌫|--⌫--|---|
quarlamors estcedont medueil	---||----|--|-|---|-|----|
qu e i aimetsai ce	--⌫||--|-||-|-|
queg euueil	--|-⌫|----|
orne sa igeque ge demant	-|-|--⌫|-|--|-|-----|
quecememo nst r ebeausa nb l a nt	--|-|-|--⌫---⌫-⌫|---|--⌫--⌫-⌫-⌫-|
le corsle uis	-|---|-|--|
quelai enz	--|---⌫--|
tot cepuis ge	--|-|---|-|
trouerenmo i	-----|-|--⌫|
iaimmoimeismece stf olie	|--|--|-----||-⌫-|-⌫---|
fuonqu es mai ste lra igeoie	-|----⌫-|---⌫|--⌫|--⌫--|--|
las ge uo ibien m o nm a lm engraigne	--|-|--⌫|---|-⌫-⌫|-⌫-⌫||--------|
sineu oi armequime	-|-|-⌫-|---|--|-|
pordieu esgardez madoulor	--|---|-------|-|-----|
uosprezuos	--|---|--|
plaign iezetmoiet	------⌫--|-|--|-|
e t siditesquemarfui nez	-⌫|-|----|--|--|--|--|
cist en fes quitel mal	---|--⌫--|--|--|--|
etmuert partel	-|----|--|--|
me s auenture	--⌫-⌫-------|
et t u forest qui	-|-⌫|-----|--|
quitantesbee tauena nz	--|---|-|-|-⌫|-----⌫-|
p ieca que	-⌫---|--|
etmai ntamor	-|---⌫-|---|
quarme dison quesa nul	---|-|-||--⌫---||--|
ango isseuseamor	----⌫------|---|
porpense toisile medi	-------|--|-|-|-|-|
uosdieuqui tot	--|---|--|--|
lemont iug iez	-|---|---⌫--|
qua r uospraingedemoipitiez	---⌫|--|------|-|--|-----|
porqoime lai ssiezci langu ir	--|--|-|---⌫----|-|-----⌫-|
geuorro ie	-|-----⌫-|
m oltmi elz mori r	-⌫--|--⌫--|----⌫|
h aicommecildieuson tsor t	-⌫-|----|--|---|---⌫|---⌫|
zz dieuporqoine mes ecor t	-|---|--|--|-|-|-⌫----⌫|
estauisqu en	--|---|--⌫||
ri ens nenil por	--⌫--|----|--|
puisqueges apelto zet	------||-|---|--⌫|-|
nu le merci	--⌫-|----|
doncd oi gebi e npardroitcuidier	---|-⌫-|-|--⌫-⌫|--|----|------|
qu il nepueentnuiren	-|-|-|-----|----||
dontmeuient cequege	---|-|----|-|--|-|
ne l doicroirenenelcroi	-||--|-----|-|-||---|
u osdieus uos lemepardonez	-⌫-|----|--|-|-|-------|
que geparolc omforsenez	--|-|----|-⌫-|-------|
degrantfolie espris	-|----|----|-----|
saipor qoilangui s	--|--|--|------⌫|
saime squi	--|--⌫|--|
forscequelen n epuet tro uer	---|-|--|--|-⌫|---|---⌫--|
moiuient eto mo iu ait	--|----|-||--⌫|-⌫--|
lacho se qui si mal	-|---⌫-|--|-|--|
etenmoiestce	-|-|--|--|-|
que ge uue il	--|-|---⌫-|
et nesai por qoisi me dueil	-|-|--|--|--|-|-|----|
ge ai cequed emant	-|-|-|--|-⌫----|
por qoi ne fazgemon	--|--|-|--|-|--|
i aimet sui amez	|--|-|--|---|
aimme r aim e assez	--|-|-⌫---⌫|----|
etnestpas e n	-||--|--|-⌫|
m enor effr oi	-⌫---|----⌫-|
sin enpoo np ranreconro i	-||-|---⌫|-⌫----|-----⌫|
gen enpuis	-||-|---|
m aisgesuitouz seus	-⌫--|-|--|---|---|
etci s t amorsnes tpas desxx	-|--⌫-⌫|----||--⌫|--|--|-|
quisime m ainegran t	--|-|-|-⌫---|----⌫|
etge nefinedepr oier	-|-|-|---|-|--⌫---|
las gemeplaingmaisnusn e mot	--|-|-|-----|---|--|-⌫||-|
parent qu ei a ie	-----|--⌫||-⌫-|
ne n setm ot	|-⌫|--|-⌫-|
que so n t oretu itdeuenu	--|--⌫-⌫|--|--⌫-|-----|
mi compaignon	-|---------|
detot esgen zsui	-|---⌫-|---⌫|--|
esl oigniez	---⌫------|
etencest boist ozseull aiss iez	-|-|---|---|-⌫-|---|-⌫----⌫--|
gecuitquetout eri ensme	-|---|--|----⌫|--⌫--|-|
lasmamereporq oi nelset	--|-|---|--|-⌫-|-||--|
si me uenist	-|-|-----|
p laind r eet plorer	-⌫-----⌫-⌫|-|-----|
a uqu esmep e ustconforter	-⌫---⌫-|-|-⌫-⌫--|--------|
las d ontne masnusreg ardé	--|-⌫--|-||-|--|---⌫----|
quiplaigne	--|------|
moine ma b eaute	--|-|-|-⌫----|
uea uslapu cele	---⌫-|-|--⌫---|
quege trouai	--|-|-----|
hiermainsibele	---|---|-|---|
quiseclamoitchaiti ue la sse	--|-|------|------⌫-|--⌫--|
et meprioit qu ege l amasse	-|-|-----|--⌫|-||-----|
puis gech aitifc lame r	---|-|--⌫----|-⌫----⌫|
qua nt onquesne	---⌫-|-----|-|
l auoilamer	-⌫|---|---|
hai dieus com parfuiuila ins	--|----|--|--|--|----⌫--|
etdegrantfe lonie	-|-|----|--⌫----|
tantpar fuidur	---|--|--|--|
et d e malaire	-|-⌫|--|---|
quantelnem e p otonquespl aire	----|-|-|-⌫|-⌫-|-----|--⌫---|
bie n med e u roitmesauenir	---⌫|-|-⌫-⌫-⌫---|--------|
quant onques nela u oil	----|-----|-|-|-⌫--|
biendoiestremaleureu s	---|--|----|--------⌫|
quant ge onquesui sesxxelz	----|-|-----|-|--|-|--|
honi soitl	---|---||
ore quela ui	--|--|-|-|
s ui tr ahi	-⌫-|--⌫--|
onquesueue	-----|---|
nen f ustesm eue	|-|-⌫--|---⌫--|
dieusquarue nist ore	----|---|--⌫---|--|
espo irmest iermaroitencore	----⌫-|----⌫--||----|-----|
pere merene suer	---|---|-|---|
si pooietorner	||----|-----|
ousia pui ermonc or aige	-|-|-⌫---⌫-|--|-⌫--⌫---|
quegeou bliasselaraige	--|-|--⌫------|-|----|
que amor masiescha ufé	--|---|||-|-----⌫---|
quamermestuetout remongre	-|---||-----|---⌫-|--|--|
b ele cr iature	-⌫--|--⌫-----|
que si formentimetma c ure	--|-|------||--|-|-⌫--|
sela ueoieorendroit	-|-|----|--------|
iamaismon cuer	-----|--|---|
doulorn auroit	-----||-----|
d ieusso ru enoitparauenture	-⌫---||-⌫|-⌫----|--|-------|
iapo rroit estre	-|--⌫----|----|
b ien seure	-⌫--|----|
conquesteroit m amor	------------||---|
etsi mosteroi t d e doulo r	-|-||-------⌫|-⌫|-----⌫|
que quil se plaintet ils eblasme	--|-|-|-|-----|-|-|-⌫|-----|
lecuerlim ent	-|---|-|-⌫--|
xxf oi z se pas me	-|-⌫--⌫|-|---⌫-|
etlaparole	-|-|-----|
a iaperdue	|-|-----|
oeure ses elzsiaueue	----|--|--|-||---|
lapucelet resdeuan tlui	-|-----|-⌫--|-----⌫|--|
qui moltotsoff ertg rantanui	--|---|-|----⌫--|-⌫---|---|
l afontaineli monstreaudoit	-⌫|-------|-|------|-|---|
et lombrequilede c euoit	-||----|--|-|--⌫-⌫----|
sanblant lif aitquilsere p ent	-------|-|-⌫--|-|-|-|--⌫-⌫--|
celelesgardebi enlen tent	---||------|--⌫-||--⌫---|
iluec sasistq uemotne dit	----||----|-⌫-|--|-|--|
l orsse tor ment eetso cit	-⌫--|-|---⌫----⌫|-||-⌫--|
il uecle bai seiluecletient	--⌫--|-|---⌫-|----|-|----|
i luec sepasmepuis	-⌫---|-|----|---|
ilu ecsest aetne ditm ot	---⌫-||---⌫|-|-|--|-⌫-|
tel do ulor	--|--⌫---|
aparlerne pot	|-----|-|--|
ele l aco leetpuis	--||---⌫-|-|---|
l enbra c e	|-----⌫-⌫|
baiseli l o eilet	----|-||-⌫--|-|
puislaface	---|-|---|
hai dit ele bea usamis	--|--|--|---⌫-|---|
com estes d e la m ortsorpris	--|----|-⌫|-|-⌫--|------|
beau senbl ant meuolezmonstrer	---|-----⌫--|-|----|-------|
maisne poezamoiparler	---|-|---||--|-----|
lassesimalassanblemen t	----|-|--|-----------⌫|
si doul erousenbra cem ent	-|----⌫----|-----⌫---⌫--|
sicortde portsicort delit	-|---|--⌫---|-|---|----|
sig r antangois sequi	-|-⌫-⌫--|------⌫-|--|
l assemaprierel amort	-⌫---|-|-----|||---|
iamaisaut re confo rt	||---|---⌫-|-----⌫-|
morir m estuet	----||-----|
