apr esde ceque sainz	---⌫-|-|-|--|----|
etilrespondirentquilest oie ntmesaigi erch arle	-|-|-----------|-|-|---⌫---⌫-|-------⌫-|--⌫---|
roi aygo lant	--|----⌫---|
lesmeneren tiusquearoi	--|-------⌫|-----||--|
li quel di r ent charlesnosenuoiea toiquar	-|---|--⌫-⌫--|------|--|-----||--|---|
i l estuenuzansic	-⌫|--|----|----|
c umtuasc omandé	-⌫-|-|-|-⌫------|
atoty ycheualiersetuoet es tre	---|-⌫|---------|-|---|--⌫--|
tes cheualiers	--|---------|
setuli do nescequ etu	-|-|-|--⌫--|-|--⌫|-|
li espromis.	-|-|-----||
ilte mande qu e tuueignes	-|-|----|--⌫|-|------|
ausic au ectoiyyde	----|--⌫-|--|-|-|
tuens parler aluipaiss iblemant.	----|-----||--|-----⌫-------||
e t aygolanzsearma i	-⌫|-------|-|----⌫|
distquilrep airassen t	---|-|-|---⌫--------⌫|
etlidies sientqu il	-|-|----⌫----|-|-|
latend ast.	|-----⌫--||
etaygalan znesauoitpas quece	-|-------⌫|-|-----|--|--|-|
fustc harl esquiparletalui.	---|-⌫----⌫-|--|-----||--||
etcharle lecoign ut	-|-----|-|-----⌫-|
mol tbi enetr ega rdaide	---⌫|--⌫-|-|-⌫---⌫---|-|
quelparti e	---|-----⌫|
lacitezesto i tplusde	-|----|----⌫-⌫|---|-|
legier apr andr e	-----||--⌫----⌫|
laian ze stoien t e ts an rep a iraas yyde	-----⌫|-⌫------⌫|-⌫||-|---⌫-⌫--|-|-|-|
sescheua lierse t des enquirepairaasyy.	--|-----⌫----|-⌫|--|----|------|-|-||
etaygolanz lesensuguia tot yypor occirre	-|-------|--|------|-⌫--|-|--|------|
mascille pa nserentbiensi	--|--|-|--⌫------|---|-|
sanfoi re nt .	|-|---⌫--⌫-||
etcha rlesr e pa iraen franceetmis t	-|---⌫---|-⌫-⌫--⌫--|-|-----|-|---⌫|
ensambleen	-------|-|
i nfinite degenz etsanuientarriersa	-⌫------|-|---|-||-|----|------||
l acitede agenni.	-⌫|---|-|-----||
etm istlesiegedeuant et i	-|-⌫--|-|----|-----|-||
de mora s an z pra nre yy	--⌫---|-⌫--⌫|---⌫--|-|
e tase pt imemoisilapparaillases enginsdeuant	-⌫||--⌫--⌫--|---|-|---------|--|-----|-----|
mangon e sett rue s etcha stea usde	------⌫-⌫|-|-⌫---⌫|-|---⌫----⌫-|-|
quantceseut aygolanzils anfoide	----|-|---|-------|-||-|--|-|
nu izetenside la cite	--⌫-|-|---|-|-|---|
per le spertus	--|--⌫|-----|
deschambr espri ueesettrespas sa leflu iue	--|------⌫-|---⌫---|-|-------⌫-|-|---⌫--|
deguaronequi c ortdelezla	-|------|--|-⌫--|----|-|
citeetensicascha paidem ainskarle.	---|-|----|-----⌫--|-|-⌫---|----||
et l andemaincharlesa n tr aienlaciteet	-||-------|------|-⌫-⌫--⌫-|-|-|---|-|
oc cit dessarrazinsbi enyy e taucun	--⌫--|--|--------|--⌫-|-|-⌫|----|
san achaperentaunoa nt	|-|---------|-|---⌫-|
perlaguarone.	--|-|------||
desenquis enuient asa nc tonesquiestoitadonque s	--|----||-|----||--⌫--⌫----|--|-----|-------⌫|
desa rrazinset	-|--⌫------|-|
e nquidemo ra	-⌫---|----⌫-|
iletsesg e nz .	-|-|--|-⌫-⌫-||
etcharle sl eseguietl i mandaqu	-|------⌫|-⌫|----|-|-⌫|----|-|
randes t lac ite.	------⌫|-|-⌫--||
etcilneuostmassai lli	-|--|-|---|--|---⌫--|
f ors enb ataillecontreluientelmeniere	-⌫--|-|-⌫------|-----|--|-|--|------|
qu ils acorderentque la	-|-||---------|--|-|
citesfuacel ui quiuaincroit.	----|-||---⌫-|--|--------||
etlesoir deua nt leiordela batailleles	-|-|---|----⌫-|-|--|-|-|-------|--|
parti esappara il lies a la	-----⌫-|------⌫--⌫---||-|
batailled esdoes partiesasprez quisontentre	-------|-⌫-|---|------|-|---|--|---|----|
lechaste lquon dittal aburgu s	-|------⌫|-|-|--|---⌫------⌫|
etla cit edele zunfl ui ue	-|-|---⌫|----⌫|-|--⌫--⌫-|
charanta a u c un descrestieins	-------|-⌫-⌫-⌫-|--|---------|
bouterentlorhastes e n terretotesdroiteset	--------|--|-----|-⌫|----|----|------|-|
landemainilles trouerentfoilliese tcuuer tesd eas corce	|-------|-|--|--------|-------|-⌫|-----⌫--|-⌫|--⌫----|
cesta sauoircilquideuoient	|--||-----|--|--|-------|
receuoirmart y r epordef andrela foi	-------|----⌫-⌫-⌫|--|---⌫----|-|--|
et cilt rancher ent lor	-|--|-⌫-------⌫--|--|
hastesapreslaterre	-----|----|-|----|
liefet ioiantd esibe l	---|-|-----|-⌫|-|--⌫|
mira clee tsemistrentpremerainen	----⌫--|-⌫|-|-------|--------|-|
labata illeetoccirrent mainz sar razins	-|----⌫---|-|--------|----|---⌫-----|
a derr iers ilfurentcoroné per martyreet bien es toient	|----⌫---|-|-----|------|--|------|-|---|--⌫-----|
cilyy mil.	--|-|--||
etlicheuas charlei fuoccis.	-|-|-----|-----||-|----||
etcharl er epristforcee t occitt ota	-|-----⌫|-⌫-----|----|-⌫|----|-⌫-||
p iemain zs arrazins.	-⌫-|----⌫|-⌫-------||
etcilquif urent ala ssédeloccision	-|--|--|-⌫----|---⌫---|-||-------|
qu ilor entfaitesanfoirent e n la cite	-|-|--⌫--|----||-|------|-⌫|-|---|
etcharlesles	-|------|--|
enseguitete nuironatozlesmursde	-------|-|-⌫------|--|--|---|-|
laciteforsqu eceluideuersle	-|---|------⌫|----|-----|-|
etaygolanzs	-|-------||
anfoipa rlefluiue	-|--|--⌫|-|-----|
etc harlel	-|-⌫----||
en seguit et lioccit	--⌫-----|-|-|----|
leroi de arabesetleroi	-|--|-|-----|-|-|--|
debug i e etm ainz autrespaiensdeuiron	-|---⌫-⌫|-|-⌫---|-----|-----|------|
adonque ssan	-------⌫||-|
fo itaygol a nzet pa ssai	--⌫-|-----⌫-⌫-|-|--⌫---|
le porsdecyse ree t s	-|---|-|----⌫-|-⌫||
anu ien t iusquee n panpeloine.	-|-⌫---⌫|-----|-⌫|---------||
etmandaicharl equ enqui l atendroitp or bataille	-|-----|-----⌫|-|----||--------|-⌫-|-------|
e tquantce	-⌫|----|-|
oit charle ss isanrepairae n	--|------⌫|-⌫||-|------|-⌫|
fr anceet mandai so neffortp er	--⌫---|-|-----|--⌫|-----|-⌫-|
totesaterre etquecil quile	---|-|----|-|--|--|--|-|
seg roientfusientfor sdeser uitut e et	---⌫-----|------|---⌫|-|---⌫-----⌫|-|
ilet lorhoyr apres	-|-|--|---|----|
lorat oziorsmais etqueli	--||-⌫-|---|---|-|--|-|
francois n eseruissient plusa diuersenationet	-------|-⌫|----------|---||------|-----|-|
fusient to tesmauuaisesc os tumesabatues	------|--⌫--|--------|-⌫--⌫----|------|
per to tesles parties d esapuissance	--|--⌫--|--|------|-⌫|-|--------|
decesqui le	-|--|--|-|
s egroienten	-⌫-------|-|
aspaig ne cont re	------⌫-|----⌫-|
lesm escreanz	--|-⌫-------|
ettozceu squies toienten pr i sonil	-|--|---⌫|--|--⌫-----|-|--⌫-⌫--|-|
deliuraiet les p ou resfi str ichese t	-------|-|--|-⌫--⌫--|--⌫-|-⌫----|-⌫|
u esti lesnusetleses quiers	-⌫---|--|--|-|--|--⌫-----|
misten habitde cheualieretfist sesamisde	---|-|----|-|--------|-|---|--|---|-|
estoientdesa urédes am or eta cordaicesqui	-------|----⌫---|-||--⌫-|-|-⌫-----|--|--|
e stoientenguereetrandias deh eritezlo rhonors.	-⌫------|-|----|-|----|-|---⌫-----|--⌫|-----||
tozcesquisauoient d a rmes	--|--|--|-------||-⌫---|
etlesesquiersilf istcheu aliers.	-|--|-------|-|-⌫--|----⌫-----||
amisetenemispriuez	---|-|-----|-----|
etestrai ngestoz acomp aignaialuipormenerenes paigne	-|------⌫---|--|-----⌫-----||--|--|----|-|--⌫-----|
etieturpin sdepar deulese ssoilloiede	-|-|------⌫|-|--|--|--|-⌫--------|-|
lorpechie zces	--|------⌫|--|
meismemen tquileroisegore nte nbataillecontreles	---------⌫|--|-|--|------⌫-|-⌫|-------|-----|--|
mescreanz.	--------||
adonques sanalaicharles	-------||-|---|------|
emsamble lui	-------|--|
yy de baronscom bat anz contre	-|-|-----|---⌫---⌫--|-----|
lero iaygolan t et contre	-|--⌫|-------⌫|-|-----|
lesmescreanz.	--|--------||
linunde splus grantc ombateorsqu ifurentaue clui	-|--|--⌫|---|----|-⌫--------|--⌫|-----|---⌫|--|
ieturpins arceuesquesderainsqui lor d oneue	-|------|----------|-|----|--|--|-⌫----|
cu er decombatr eetle s absoilloiedelorpechiezet	--⌫-|-|-------⌫|-|--⌫|---------|-|--|------|-|
semecomb atoiemainte foizcont re	-|-|----⌫----|-----|---|----⌫-|
lesmescre anz .	--|------⌫--||
ro ol anzdebloislinies	--⌫--⌫--|-|----|-|---|
charlefiza duc milondangelieret	-----|--||--|----||-------|-|
debe rtelaserorc harleatotyy homescombatanz.	-|--⌫--|-|----|-⌫----|---|-|----|--------||
et fuunautresr oola nzdecuinos	-|-|-|-----|-⌫----⌫-|-|--|--|
ne faconso r	-|-----|-⌫|
pas cim ent ion .	--|-|-⌫---⌫--||
oliuierscuens de gennesli	-------|----|-|-----|-|
fiz rainieleconteauec luiyy.	--|-----|-|----|---|--|-||
esto u lsdela ngres	----⌫-⌫-|-|--⌫----|
lifiz aconteothon	-|--||----|----|
au ecluiyy	--⌫-|--|-|
arastain s roi sd e br ita igneaueclui yyangeliers du x	--------⌫|---⌫|-⌫|--⌫---⌫---|---|--|-|--------|--⌫|
d aquiteine	|--------|
auecluiyyetci st	---|--|-|-|--⌫-|
estoientesmédarmes etmeismesdea rc et	-------|----||----|-|------|-|-⌫-|-|
de saia te s .	-|----⌫--⌫||
atempsdeceluiangel ierestoituns	|----|-|----|-----⌫--|-----|--|
autrescuens enaquit ai neenl a	-----|----|-|-----⌫--⌫-|-|-⌫|
citedes p i ctauiensdouq uel	---|--|-⌫-⌫-------|--|-⌫--|
nosne parlonspasci	--|-|------|--|-|
mas cista ngel er sdoulignaige desgasco n s	--|---|-⌫----⌫--⌫|--|-------|--|-----⌫-⌫|
estoitdu xdela cited auquitainela quelesiet	-----|--⌫|-|-|---||---------|-|----|---|
entr elimozinsetboor geset	----⌫|-------|-|----⌫--|-|
poictierslaq uel ecesara u gu stes fist pre meraineencescontrees	--------|-|-⌫---⌫|----|-⌫-⌫--⌫---|---|---⌫------|-|--|-------|
apelai acquitaine ala queleilsom ist boorges	-----|---------||-|----|-|---⌫--|------|
limo ig es et	----⌫--⌫-|-|
poitierssanctone s	-------|--------⌫|
etengolismeensa m blelorprouinces por	-|--------|----⌫-⌫--|--|--------|--|
quoitozcilpais estapelezaquiteine.	---|--|--|---|--|-----|--------||
celecit e z	---|---⌫-⌫|
apres lamort	----|-|---|
a n gelier n ost onquesp uisdu c	-⌫-⌫-----||--|-----|-⌫--|--⌫|
ma sfutote ga stee por cequ e cild e	--⌫|-|---|--⌫---|--|-|--⌫|--|-⌫|
celeci t e	---|--⌫-⌫|
fure ntt uitmort a glaiueen	----⌫-|-⌫--|---||-----|-|
ronceuausneonqu es puisniot habi tanz.	--------|-|----⌫-|---|||-|----⌫---||
i ofroi zliroisdeburgales	-⌫-----⌫|-|---|-|-------|
ensamblel uiyys a nalai aue c c ha rleenesp aigne	-------|-⌫-|-||-⌫|---|---⌫|-⌫--⌫--|-|---⌫----|
geliergelinssalemonscompainses toulbaud uinslifr eresrool ant	-----|-----|-------|-------|--⌫---|----⌫---|-|--⌫---|----⌫--|
gondebues roisdefriseauec	--------|---|-|----|---|
baronsoell usc uensd enantas	-----|----⌫-|-⌫---|-⌫|-----|
ens amble yyarnauz de bella nd eensam bleyynaaman dux	---⌫----|-|-----|-|-----⌫--⌫|-----⌫--|-|-----|--|
debaioarie	-|-------|
au eclu iyyog ier rois dedaci eauec	--⌫-|--⌫|-|--⌫--|---|-|----⌫|---|
luiyy etdecelui	--|-|-|-|----|
chant onbone chanconpor	----|-|---|------|--|
ilfist mareuoillesanznumbrel ambersprinc esde	-|---|---------|---|-----|-⌫-----|-----⌫-|-|
boorges auec lu iyy	------|---|--⌫|-|
sa n xesduxdeborgoigneauec	--⌫-⌫--|--|-|--------|---|
costantinsde	---------|-|
r omea ueclui	-⌫--|-⌫--|--|
yyquifistap res	-|--|---|--⌫--|
etlioz de la p ropret e rrech ar leesto itde	-|-|-|-|-|-⌫----|-⌫-⌫--|--⌫--⌫-|----⌫-|-|
yymilliers	-|-------|
sanzlesge n z	---|--|--⌫-⌫|
apiequi es toientsa nznumbre	|--|--|--⌫-----|--⌫-|-----|
cistde u ant	---|--⌫-⌫--|
dit fur entcom bateorrenumméliplus	--|---⌫--|---⌫-----|-------|-|---|
puissantdes	-------|--|
a utr es barondeih esu critquiessaure ntoumunde	-⌫---⌫-|----|-|--⌫--|---|--|-------⌫-|-|----|
la foicrestiei ne	-|--|--------⌫-|
ausicumnostres iresensamble yy apo streset	---|--|-----|-⌫---|-------|-|---⌫----|-|
sesd isciple sacquist lem unde a usic charlesrois	--|-⌫-------⌫|------|-|-⌫---|-⌫---|------|---|
def ranceetempareres d e rom eacquistaspaigneal	-|-⌫----|-|--------|-⌫|---⌫|------|-------|||
onordenostreseigno r ens ambleces	---|-|-----|------⌫|---⌫----|--|
comb ateors.	----⌫-----||
et tuitcis tost f urentmisensamble aslandes	-|---|---⌫|--|-⌫----|--|-------|-|-----|
deburgaleet	-|------|-|
cou roient toteceleterred e loncet delarge	---⌫-----|---|---|----|-⌫|---|-|-|----|
a does io r nees	|---|--⌫-⌫---|
de yymi lesde l oncooiton le son	-|-|--⌫--|-|-⌫--|---|-|-|--|
etc onfroisde ceus .	-|-⌫------|-|---||
arnauzdebellandepa ssapremierslesporsd cysa ir e	-----|-|-------|--⌫--|-------|--|---||----⌫--⌫|
etuint apampiloine.	-|---||---------||
apresluiestou lslicuens	----|--|-----⌫-|-|----|
et sesgenz.	-|--|---||
a p resarasta insliroiset	-⌫-⌫--|------⌫--|-|---|-|
ange liersliduxensamble lor oz .	----⌫----|-|--|-------|--|-||
apr es liroisgundebuesetsesg enz.	---⌫-|-|---|--------|-|--|-⌫--||
apresoi g i ers	----|--⌫-⌫-⌫--|
etc onstantinsensambleloroz.	-|-⌫---------|-------|--|-||
adari ersuient charlesensamble luiles autres oz	|----⌫--|----|------|-------|--|--|-----|-|
et courir en t	-|------⌫--⌫|
laterredesle fluiue derume	-|----|--|-|-----|-|---|
iusquea mont qui est pres delacit e	-----||---|--|--|---|-|-|---⌫|
atroislegues	|----|-----|
en l auoi e des aintiasque.	-|-⌫|---⌫|-|-⌫---|-----||
et demorentperyyiors apasser	-|-------|--|-|---||-----|
desenquim andaicharlesaaygolant	--|----|-⌫----|------||-------|
q uill irandast	-⌫|-|-⌫|------|
lacite ou il	-|---|-|-|
uenastcontre luien b ataille .	-----|-----|--|-|-⌫------||
quantay gol anz	----|--⌫---⌫--|
uitquil nepooit pastenir lac ite	--|-|-|-|----|--|----|-|-⌫--|
cont reluieslitmiezsaillir	----⌫-|--|----|---|------|
enb atai llecontre	-|-⌫----⌫--|-----|
luique morir	--|--|----|
la ideman te nlac i te.	--⌫------⌫|-⌫|-|-⌫-⌫-||
e tmandai a ygolanzacharlequi llidonast	-⌫|-----|-⌫------||-----|-|-⌫|-|-----|
tre uesi usq uetantque sesozfustfors	---⌫--|-⌫---⌫-|---|--|--|-|---|---|
delaciteetqu il f ust	-|-|---|-|-|-|-⌫--|
apparailliez abataille et quil pois t	-----------||-------|-|-|-|----⌫|
par lera lui boi che	---⌫--||--|---⌫--|
q uarmoltle desirroitueoir.	-⌫--|---|-|--------|----||
quantletreuesfurentdon eesayg ol anz saillide la	----|-|-----|-----|---⌫--|---⌫--⌫--|-----|-|-|
cite et ses	---|-|--|
ilsan alaiensamble yy	-||-|---|-------|-|
d e s es ma iorsdeuantle tre f	-⌫|-⌫-|--⌫---|-----|-|---⌫|
karlequ iestoita	----|--⌫|-----||
unemille del acite.	--|----|-|-⌫|---||
et li ozayg olantet li	-|-|-|---⌫----|-|-|
ozcharles estoien tenunplainleudeuantla	-|------|-------⌫|-|-|----|--|-----|-|
citequi au oitde	---|--|--⌫--|-|
lon ce tde	---⌫|-⌫|-|
lar geyymilles.	---⌫-|-|-----||
l auiede s aintia squ e deuisetles	-⌫|--|-|-⌫---|--⌫---⌫|------|--|
et ditcharl esaaygolanttu	-|--|-----⌫-||-------|-|
asaygolanzqu i m	-|-------|--⌫||
astollue materre e nm auuaitie .	-|-----|-|----|-⌫|-⌫-------||
la terr edes paig neetdega scoignei auoieacquis e	-|----⌫||--⌫----⌫-|-|-|--⌫------||----|------⌫|
per l eb razdelap ui ssance	--|-⌫|-⌫--|-|-|-⌫--⌫-----|
deuetmi salalo icrestiei nee t	--|-|--⌫||-|--⌫|--------⌫-|-⌫|
toz lesroistornezamonempire.	--|--|---|-----||--|-----||
etquantiefu	-|----|-|-|
retorneze n fran cetuasmesgenz	-------|-⌫|----⌫-|-|-|--|---|
oc citeset mescitezetmeschat eas de struizet	--⌫----|-|--|----|-|--|----⌫--|--⌫-----|-|
terr eg astéper feue tper	----⌫|-⌫----|--|--|-⌫|--|
gla i uepor q uoi i e	---⌫-⌫-|--|-⌫--|-⌫|
s ui molt dol anz.	-⌫-|---|---⌫--||
etq uantaygolanzc onust que karles	-|-⌫---|-------|-⌫----|--|-----|
parletensalangue arabiquesifumolt me ru eillo us	-----|-|-|-----|-------|-|-|---|--⌫--⌫-----⌫-|
e tanot gran t ioie	-⌫|-|-|----⌫|---|
charl es auoi t	-----⌫-|----⌫|
aprislala ngue sarr acin e a	----|-|--⌫---|----⌫----⌫||
t olate ouil	-⌫----|-|-|
auo it demoré	---⌫-|------|
ensaiuen ece.	-|-|----⌫--||
adoncrespondiaygolanzacharleieteprique t u	----|-------|-------||-----|-|-|--|--|-⌫|
mediesquenet	-|---|--|-||
aui entde droit heritaige quetas	---⌫--|-|----|--------|--|--|
te s aiues	--⌫|----|
netesbes ai ues netient onquesporquoitul	-|--|---⌫--⌫--|-|----|-----|--|---|-||
charlesqueno stre siresihesucrizqui fi st le	------|--|--⌫---|----|----|---|--|--⌫-|-|
ciel et la terreai esl eunos tre	---|-|-|----|-|---⌫-|---⌫--|
gentcristieine	---|---------|
deuanttotesge nzet	-----|----|--⌫-|-|
lorai d oné	--|-|-⌫---|
la signor iedet otle munde	-|------⌫-|-|-⌫-|-|----|
sarrazine i	--------||
aitornéanostre	-|-----||-----|
loitant c um ie p ois	--|---|-⌫-|-|-⌫--|
moltestdesroueinanzcho sedistaygolanz	---|--|-----------|---⌫-|---|-------|
quenostre ge ntsoitsub iaitea lauo stre	--|-----|--⌫-|---|---⌫----||-|--⌫---|
etqueuostre	-|--|-----|
loiz uaille miauz	---|-----|----|
q uelanostre .	-⌫-|-|-----||
ma hu metquifume ssaige s d euque	--⌫--⌫--|--|-|--⌫------⌫|-⌫-|--|
dexnosdo nales cuicomma ndemanz nos tenonsetau ons	--|--|--⌫-|--|--|-----⌫------|--|-----|-|--⌫--|
deuxtozpuissanz	---|--|-------|
die ntles chos esaauenirperlec omandeme ntmahumet	---⌫-|--|----⌫-||-----|--|-|-⌫--------⌫-|------|
perlesqueuxnos uiuonset reig nons	--|--|----|--|-----|-|----⌫---|
ayg olantceditcharl esen ceerrestu.	---⌫----|-|--|-----⌫-|-|-|----|-||
quarnost enons	---|--|-⌫----|
lescomandemanzd eu	--|----------|-⌫-|
uost e ne zlesuains	--|-⌫-⌫--⌫|--|----|
comandemanzd unuain	----------||-|---|
n oscreons	-⌫-|-----|
deulepereet le fi l etle sainte sperit	--|-|---|-|-|--⌫|-|-|----|-⌫-----|
le dyableenuainey maiges.	-|-----|-|----|-⌫-----||
n osarmesuonte n paredisperla foique nos	-⌫-|----|---|-⌫|------|--|-|--|--|--|
tenonsetle s u ostreuont e n e nferle	-----|-|--⌫|-⌫----|---|-⌫|-⌫---|-|
por quoiilap ert quemiezuau tnostre loizque	--|---|-|--⌫--|--|---|---⌫|-----|---|--|
la uostreet porce	-|-----|-|--|-|
diquetupraignesbaptaime tuettagenz et	-|--|-|-------|-------|-|-|-|---|-|
ui f ou tuuien en	--⌫|-|-|---|-|
bataillecontr e moriru i leinemant .	-------|-----⌫|----|-⌫-⌫--------||
ce n eferai	-|-⌫|----|
iep asditaygolanz	-|-⌫-|--|-------|
qu e iep rai neneautre s dema	--⌫|-|-⌫---⌫-|-|-----⌫|-|-|
gentpor l a issiermahumot	---|--|-⌫-⌫-----|------|
ledeuomnipotant.	-|--|---------||
masnoscomb atronsfortcontre	--|--|----⌫-----|---|-----|
toietta gentpertel	--|-|-|---|--|--|
couant quese n ostre	-----|--|-|-⌫----|
loizua t mi ezque	---|--⌫|--⌫-|--|
liu ostreetplusplai sanzadeuque	-|-⌫----|-|---|----⌫---||--|--|
nos uai nquions.	--|---⌫------||
etse liu ostreplait	-|-|-|-⌫----|----|
plusa deuquelinostrequ euos uainquiez	---||--|--|-|-----|--⌫|--|--------|
rapruchea suain cuzperpetualmente tl os	-------|-⌫|----⌫--|------------|-⌫|-⌫-|
e tgloireacesq uiuaincront .	-⌫|-----||--|-⌫-|--------||
ens orquetotque m a genzestuaincueet i eremaigne	---⌫-------|--|-⌫|---|--|------|-|-⌫|-------|
uisie me bapt ize rai.	--|-|-|----⌫---⌫--||
laquel chosefuoutroie delunepartieet	-|---|----|-|------|-||--|-----|-|
del autre .	-||----||
ettantostfurentesleuyycheualiercrestiein contre yy sar razins	-|------|-----|----|-|--------|--------|-----|-|---⌫-----|
enchampd ebata i lle etse a	-|----|-⌫|----⌫-⌫--|-|-||
combatreper tel co uan t.	-------|--|--|--⌫---⌫||
et mai ntenantfurentoccisli	-|---⌫------|-----|----|-|
sa rrazin.	--⌫-----||
apresanenuion yycontre yyet li	----|-|---|-|-|-----|-|-|-|
sarrazinfurentoccis	-------|-----|----|
apre se ne nui on	----⌫|-⌫|-⌫--|-|
y ycontreyy	-⌫|-----|-|
etlicrestienfurent	-|-|-------|-----|
occ is quari ldoterentlamortsisanfoirent .	---⌫-|---|-⌫|-------|-|---|-||--------||
estr eapropri éafeiaus qu isecombatent	----⌫|-------⌫-||-----|--⌫|-|--------|
en c est munde	-|-⌫--|----|
contr elesui ces.	-----⌫|--|--⌫--||
quar quiseueatcombatr e p orlafoinedoi	---|--|-|---|-------⌫|-⌫-|-|--|-|--|
p asarriersquarausicumcilsontoccis po r	-⌫-|------|---|---|--|--|---|----|--⌫|
ce qu il sontar r iersfoiiausi	-|-|-|---|--⌫-⌫---|---|---|
l ife alihesucristqu is edoiuentforman t combatre	-⌫|--⌫-|----|----|--⌫|-⌫|------|------⌫|-------|
uicess ilret ornentar rie rs i lmorront	----||-|---⌫-----|--⌫---⌫-|-⌫|------|
laidemanten loruices.	--------|-|--|----||
mascilqui biense co mbate ntc ontreles	--|--|--|---|-|--⌫-----⌫-|-⌫----|--|
sor emontentlagieremantlor	---⌫-------|----------|--|
e n emiscestlesd ya blesquar liapos tresdit	-⌫-⌫---||--|--|-⌫--⌫---|---|-|----⌫---|--|
auracoro nemasquecil	---|----⌫-|-----|--|
qui loiament seconbatrai	--|-------|-|--------|
apresfurentenuoié yy	----|-----|------|-|
contre yy et lisarrazinfure nto ccis	-----|-|-|-|-------|----⌫-|-⌫---|
apresyycontreyy etli	----|-|-----|-|-|-|
sa rr azinfurento ccis.	--⌫--⌫---|-----|-⌫---||
apresmilcontre m ilet	----|--|-----|-⌫-|-|
li sar razinfurentocci s.	-|---⌫----|-----|----⌫||
etcefaitil prirenttreues	-|-|---|-|------|-----|
aygolanz parler	-------|-----|
acharlo netliditquel a	|------⌫|-|-|--|--|-⌫|
crestieinsestoitmeilleursqu eceledessarrasi ns.	---------|-----|--------|--⌫|---|--|-------⌫-||
etpromi st a ch arleque	-|-----⌫-||--⌫---|--|
land emainiletse sgenz sebaptizeroient	|---⌫----|-|-|--⌫|---|-|------------|
menier eilrepairaasa	------⌫|-|------||-|
gent et dit as	---|-|--|-|
r ois e t as	-⌫--|-⌫|-|
plu s g ranzqui l se	---⌫|-⌫---|-|-⌫|-|
uoloit b apt izier.	-----|-⌫---⌫----||
et c omand aia	-|-⌫-----⌫-||
ses genz quilpriss ient	--|---|-|-|-----⌫---|
tuitbaptoisme laquel ch o seliu n refuserent	---|--------|-|---|--⌫-⌫-|-|-⌫|---------|
etli autrel o t roierent .	-|-|----||-⌫-⌫-------||
lat reued oneedal eret	-|-⌫---|-⌫---||--⌫-|-|
deuen irporcausedebaptaimea ygolanz	-|---⌫-|--|----|-|-------|-⌫------|
s anuient ac har le	|-|----||-⌫---⌫-|
etletr oua amang ier deuiro nl	-|-|--⌫--||----⌫--|------⌫||
orede tierce	--|-|-----|
etmai ntes tables deuironlui.	-|---⌫---|-----|------|--||
e td ecesquimani oientetseoient ast a bles	-⌫|-⌫|--|--|----⌫----|-|------|-|-⌫-⌫---|
estoient cheualier liau tremoin enoir liaut rechenoine	-------|--------|-|--⌫--|----⌫|---|-|---⌫-|-------|
liautreclerc	-|----|----|
et a utresgenzen diuers	-|-⌫----|---|-|-----|
cildeman daicharledunchascun pero rder queux g enz	--|-----⌫--|-----||-|------|--|-⌫---|----|-⌫--|
ceestoient.	-|-------||
et karl es	-|----⌫-|
li d it ci lq uetuuoizdeblanchesues teures et	-|-⌫-|--⌫|-⌫-|-|---|-|-------|---⌫-----|-|
derochozp erd es usuestuzcesontlia uesqu e et	-|-----|-⌫-|-⌫--⌫-|-----|-|---|-|-⌫-----⌫|-|
liprouoiredenostre loy	-|-------|-|-----|--|
quinos ex ponent les c omandemanzde la loy	--|--|--⌫-----|--|-⌫---------|-|-|--|
ess oillentdenospech iezet nosdonentl abene icon	---⌫------|-|--|----⌫--|-|--|-----|-⌫|----⌫---|
nostres eigno r.	-----|-⌫-----⌫||
cesquetuuoiz en	--|--|-|---|-|
noirhabitc es ontabbe dere lligionqui	---|----|-⌫|-⌫--|---|-|--⌫------|--|
n ecessent d eaorernostre	-⌫|------|-⌫|----|-----|
se igno rpornos.	--⌫----⌫|--|--||
cesque tuuoizuestuz	--|--|-|---|-----|
des orpelizper desuscesont chenoiner eg uli erquit i en ent	-|-⌫------|--|----|-|---|-------|-⌫--⌫---⌫-|--|-⌫-⌫--⌫--|
lauie d es	-|--|-⌫-|
s ainzet prie ntaus ic pornoset	-⌫---|-|----⌫-|---⌫-|--|--|-|
chant entmasses	-----⌫--|-----|
etm atinesethor es denostre seignor	-|-⌫-----|-|---⌫-|-|-----|------|
entreceschose uitaygola n z	----|--|----|--|------⌫-⌫|
yypour esen chaitifhabitseanz	-|----⌫-|-|------|----|----|
ate r resanztaiblee tsan z toaille quiauoient	|--⌫-⌫-|---|-----|-⌫|---⌫|------|--|------|
poaboire etpoa	-||----|-|-||
lidemandaide ces.	-|-------|-|--||
ch arles li ditcesontlimessaigenostre seignorque	--⌫----|-|--|-|---|-|-------|-----|------|--|
no spaisso nschascuni o rdecos tumes ouz len umbre	--⌫|------⌫-|------|-⌫-⌫|-|---⌫---|-⌫--|-|-⌫----|
desapostres .	--|-------||
adoncditaygolanz	----|--|-------|
cilquisont deuiron	--|--|---|------|
toi sontbienestr uitqu isontenbel	--|---|---|----⌫--|--⌫|---|-|--|
abit etui uent	---|-|--⌫---|
etcilcui tu diz estre mes aiges	-|--|--|-|--|----|---⌫----|
nostreseignorpor quoimuerenti lde fain	-----|------|--|---|------|-⌫|-|---|
etsont loinzdeto i etlaidem ant	-|---|----|-|--⌫|-|------⌫--|
mal sertasonseignor quiansic	--|---||--|------|--|----|
sert asonseriant.	---||--|------||
