q uipres de	-⌫-|---|-|
ou est dist eleli noiens	-|--|---|--|-|-----|
le faillizle mal enseigniez	-|------|-|--|---------|
dam eaub ereebienueignie z	---⌫|---⌫---|---|-------⌫|
fet ilquiuos	--|-|--|--|
m e in eateleeure	-⌫-⌫--⌫||---|---|
celea res pondre ne	---||---⌫-----|-|
ieteuieigdir esanse ssoign e	-|-|----|---⌫|---|-⌫------⌫|
ennuitsonia izzmolt	-----|-----⌫|-|---|
que depa orme nesueillai	--|-|--⌫-||-⌫|--------|
uestimoie tap are i llai	----|--|-⌫|--⌫---⌫-⌫---|
que dusongefuie sba hie	--|-|----|--|-⌫---⌫--|
au mosti eruing	-|-----⌫-|---|
tre s d euantlautel	---⌫|-⌫----||----|
nostredame	-----|---|
iluecques ui gesirta	--------|-|----|-|
de uant lautel toteestendue	--⌫---||----|---|-------|
totem en su iuoir esperdu e	---||-|--⌫|---|-------⌫|
queie nesa i que	--|-|-|--⌫|--|
cepuet estre	-|---|----|
aupiezauchiefdestreet senestr e	-|---|-|----|-----|-|-------⌫|
yy ch andelesiluec ardans	-|--⌫------|----|-----|
iluecsegistt a	----|-|---|-⌫|
fam e a dans	---⌫|-⌫---|
deua ntl autel a	----⌫-||----||
moltpar asf etgrant mes p rison	---|--|-|-⌫-|----|---⌫-⌫----|
sie nbat ra sencor t age ule	-|-⌫|---⌫--⌫|----|-⌫|--⌫--|
tele eureseule	---|---|----|
famequ is ibe le fourmea	---|--⌫|-⌫|--⌫-|-----||
de damle die u qui	-|-----⌫---⌫|--|
soiege dist	---|-|---|
elesaignie	--|------|
tote mensuiespoorie	---||-|--|-------|
t ienga grant merueill e	-⌫---||----|--------⌫|
decelenfant q ui	-|--|-----|-⌫-|
einsiueille	----|-----|
t endron qui	-⌫-----|--|
quideus t la gran t matinee	--|----⌫|-|----⌫|------|
dormirceanzso uzles	-----|----|--⌫-|--|
etuosl en uo i ez a matines	-|--||--⌫--⌫-⌫-||------|
amatineslasse	|------|----|
dedaml edeul esper itabl e	-|----⌫---||-----⌫-----⌫|
s oi e iedist elesaignie	-⌫--⌫|-|---|--|------|
eten noreeetbeneie	-|--⌫----|-|-----|
ueus en tuferepapelarde	---|-|-|---|--------|
ma u feuetmale fl ambe lard e	--⌫|--|-|---|--⌫---||---⌫|
quiianefame	--|---|---|
issienuoie	---|-----|
isil auieille	--|-⌫|------|
l edesuo ie	-⌫|-----⌫-|
d umal pensequensoncuer	-⌫|--|----|-|-|--|---|
fu stp o rleseurot	--⌫-|-⌫-⌫|-|-----|
ia nipens astmessebiennon	-|||----⌫--|--|-|---|--|
damepordeu etpor sonnon	---|--|--|-|--|--|--|
distleborgei sditesuosuoir	---|-|------⌫|----|--|---|
lieuetoi siporrassauoir	----|--|-|-----|-----|
fetl auieille se ietement	--|-⌫|------|-|-|-|---|
cil selieuedeliure me nt	--|-|----|-------⌫--⌫-|
n il nottalen tquep lusi gis e	|-||-|-----⌫|--|-⌫--||---⌫|
errant s en uienenta	-----||-|------||
d emorer n iot	-⌫-----|||-|
ciltrueuesafameentel	--|-----|-|---|-|--|
comlauieill eli	--|-|------⌫|-|
meintena nt pres	--------⌫-|---|
delisetret	-|-|-|---|
p arlameincontremontla dres ce	-⌫-|-|---|---------|-|----⌫-|
enb aslidistquepariu resce	-|-⌫-|-|---|--|--|--⌫----|
li au oitfettel mesprison	-|--⌫--|--|--|--------|
lorssenreuien tens ameson	---||-|------⌫|-|-⌫|----|
rec o uc he derechief	---⌫-⌫--⌫-|--------|
labou ri oisecueure	-|---⌫--⌫---|-----|
qu ededormir a	--⌫|-|-----||
gr anttalen t	--⌫--|-----⌫|
mol tl iestpoidu	---⌫|-⌫|--|--|-|
mautalen t	--------⌫|
quesessireauersli eu	--|--|---||---|-|-|
einzdortet en	---|---|-|-|
e t le bor g eistotpor ueirquid e	-⌫|-|---⌫-⌫--|--|--|---|----⌫|
ques afame eit	--|-⌫|---|--|
latestewide	-|----|---|
de geuner etdeplorer	-|-----|-|-|-----|
puisnefinastdor e r	---|-|-----||--⌫-⌫|
deuantl au telporson seignor	-----||--⌫--|--|--|------|
etquep lorastetnuitetior	-|--|-⌫-----|-|---|-|--|
ei nsiles safame se iut	--⌫--|--|-|---|-|--|
le borgeis tantqueiorparut	-|------|---|--|--|----|
etlisoleilamon t sehauce	-|-|-----|----⌫|-|----|
le b orgeis	-|-⌫-----|
se ueste tsechauce	-|---|-⌫|-|-----|
et le tsafamequise gist	-|--⌫|-|---|--|-|---|
deson ostelmeintenantist	-|--|----|---------|--|
siseigneson	-|-----|--|
etd am eaubereesisautfors	-|-⌫--⌫|------|-|---|---|
sisescr iaa	-||----⌫-||
haute uo is	----|--⌫-|
yy sousseinteuo irecrois	-|---|-----|--⌫--|----|
y yso usdolentecheitiu e	-⌫|--⌫-|------|-------⌫|
orne mec h aut semu ireouuiue	-|-|-|-⌫-⌫--|-|--⌫--|-|---|
c omi esuiormeseureuse	-⌫-|-⌫|--|-|---------|
yyso uslassedo ulereuse	-|--⌫-|----|--⌫-------|
yysous lasseyy	-|---|----|-|
or uendr a c eanz lip reu oz	-|-----⌫|-⌫---|-|-⌫---⌫-|
porpre ndr e cel peti t queiai	--|---⌫---⌫|--|----⌫|--||-|
cest lesonge	|--|-|----|
q ueie soniai	-⌫-|-|-----|
etl ebo ur geisqui uintlarue	-|-⌫|--⌫--⌫---|--|---|-|--|
au ber eeentendue	--⌫---⌫-|-------|
dites moi se	----|--|-|
dieus uosait	----|--|--|
errant a d em anderli	-----||-⌫--⌫----|-|
porqu oiuo sfet es sigrantduel	--|--⌫-|--⌫|---⌫-|-|----|---|
par monchief	--|--|----|
i elsauraimo nuuel	-⌫||-----|--⌫|---|
sirefet eleie ldira i	---|--|--|-||----⌫|
queia neu osen mentirai	--|-|-|-⌫-|-|-------|
zz uassaluin tc i deslautrier	-|-----|---⌫|-⌫|--||------|
p o r r ecou dreetp our afetier	-⌫-⌫|-⌫----⌫--|-|-⌫--|------|
motaportézzsi en	|-|------|-|--⌫-|
d escarlateet desta nfort	|--------|-||----⌫----|
ne sai ou yy	-|--|-|-|
queuesouyy	-----|-|-|
ielepriss im alaiesbatre	-|-|---|-⌫||---|------|
at otlesor cot	--⌫-|-|---⌫--|
car zzpoim e sentipesant	--|-|--|-⌫|----|-----|
e insiotote	-⌫---||---|
me nissipar mesauenture	|-⌫|---|--|----------|
iceliorhorsd emon os tel	---|--|---|-⌫|--|--⌫--|
est demonchate l	--|-|--|-----⌫|
cariaiic elser cotperdu	--||-|--⌫-|---⌫--|----|
donti aimon	---||-|--|
c uersie sperd u	-⌫--|-|-⌫-----⌫|
etsi nesaila sse ou	-|-|-|--|--⌫--|-|
queferai gesene menfui	--|----|-|-|-||----|
ne i e net ruisq ui	-|-⌫|-|-⌫---|-⌫-|
seienetruis	-|-|-|----|
qui lemera ign e	--|-|-|--⌫---⌫|
ielferai lematinnoncie r	-||----|-|----|------⌫|
etdi emenc he e scommenie r	-|--⌫-----⌫-|-⌫---------⌫|
certes partrestouz lesmoutiers	-----|--|-------|--|-------|
quinem enfust oremestier s	--|-||-|---|--|-------⌫|
dereceuoir si	-|-------|-|
lede p er te	---|-⌫--⌫-|
or oiezchose aperte	-|---|----|-----|
sipu isse ieuoernoe l	-|--⌫---|-|---|---⌫|
g i le sse pendantmondeel	||--⌫--|------|--|---|
es guille e ncelseu rcot	--⌫-----|-⌫|--|---⌫---|
dont iesuihon ie agra nttort	---|-|--|---⌫-||---⌫-|---|
einsirend re	----|----⌫-|
e tliua llez amoi si	-⌫|-|--⌫---||--|-|
cea nz sireetme	---⌫-|---|-|-|
d em and e	-⌫--⌫---⌫|
y ysous por	-⌫|---|--|
le sercot rendre	-|-----|-----|
o rsuide telchose	-⌫|--|-|--|----|
fustes uospie cha enmeson	-----|--|---⌫--|-|----|
oil sireporlacheson	--|---|--||------|
d auoirzzpetitderelief	|----|-|----|-|-----|
q uemafille auoit male l	-⌫-|-|----|----|--|-⌫|
cefu auan t	-|-|----⌫|
i erorm am embr e	-⌫-|-||--⌫----⌫|
ladam e trouaie nsa chambr e	-|---⌫|-----|-⌫|-|------⌫|
carilu ecquespignoitson ch ief	--|---⌫-----|------|--|--⌫--|
u idechie f	-⌫|-|----⌫|
estendueunecoutepoin te	-------|--|----|----⌫-|
me sieusne uisicoi nte	--⌫|---|-|-|-|---⌫--|
tantimusaiquiluecdeious te	---||----|-|----|-|----⌫-|
m e ndorm i monchie f sorla	|-⌫-----⌫|--|----⌫|--|-|
tantquel adame	---|--|-⌫|---|
quimol t uolentie rsmap orta	--|---⌫|--------⌫-||--⌫---|
c eq ue demandél ia uoie	-⌫|-⌫-|-------|-⌫|-⌫---|
mes iem e mislor s	--|-|-⌫|--|---⌫|
einsiceliiormenaui nt	----|---|--||-|---⌫-|
mesne soilasse	--|-|--|----|
qu edeuint	--⌫|-----|
lesorcotforstantqueie souque	-|-----|---|---|--|-|-----|
queiele lessai so us la	--|-|-|-----|--⌫-|-|
siresotcesno ueles	----|-|--|--⌫----|
moltl ifu rent	---|-⌫|--⌫---|
gen tese tbele s	---⌫--|-⌫|----⌫|
trueuel e deel	-----|-⌫|---|
te lioieensonael	--⌫|---|-|--|--|
c om ilaurase	-⌫-|-|---|-|
illi trueue	-|||-----|
tartliest quil uoielaprueue	---|-|--|-|-|---|-|-----|
at antuers	|-⌫--|---|
le seurcota	-|------||
totela guille	---||-⌫-----|
donas tdemiepuille	-----⌫|----|-----|
n eustilpasioie gr eign or	|---|-|--|---|--⌫----⌫-|
pardieud ist	--|---|-⌫--|
illimie nseignor	-|-|---⌫|------|
gebiencertaineme nt	-|---|----------⌫-|
quela uieille pasne	--|-|------|--|-|
car iai trouéla costure	--||-|-----|-|------|
einsiful iezdesauenture	----|-|-⌫--|-||-------|
le borg ei set b elsedeporte	-|----⌫--⌫|-|-⌫-|-|------|
lese rcot p ristet sililiura	-|--⌫---|-⌫---|-|-|-|----|
e insilauieille deliura	-⌫---|-|------|------|
l eborgeisde sonmalpens er	-⌫|------|-|--|--|----⌫-|
quepui snelilut	--|---⌫|-|-|--|
fu duse urco tdeliures	-|-|--⌫----⌫|-------|
e tlauieilleot	-⌫|-|------|-|
sonloi erd eserui	--|---⌫-|-⌫-----|
qu an t t ouzy y son tagr eserui	--⌫--⌫|-⌫--|-⌫|---⌫||--⌫|----|
