unemeniere de gent sunt	--|------|-|---|---|
troppouesté	---|--|----|
nuis tr optost	---|--⌫-|---|
long u es nedur era	----⌫-⌫-|-|---⌫--|
tantliplait lauiequil	---|-|----|-|--|-|-|
qu esenuis deuenoitsemainne	--⌫|-|---|-------|-------|
etsemainnedeueno itmois	-|-------|------⌫-|---|
e t moiszz	-⌫|---|-|
ansetzzan strois	--|-|-|--⌫|----|
e t yy ans	-⌫|-|--|
yy et yya ns cent	-|-|-|-⌫-|---|
quantuenroit	----|------|
a udefin ement	-⌫|-----⌫----|
celen uitain squi la iornast	---|-⌫--|---⌫--|-⌫|-⌫------|
seuourroitilquil	-|-------|-|-|-|
ete ncelepensee estoit	-|-⌫|---|-----|-----|
ci squilidu s la	--⌫|--|-|--⌫|-|
carains io raler lenconui ent	--|---|--⌫|---||-|-----⌫--|
a mieo lu i a	-⌫--||--⌫||
luisu ient	|--|-⌫---|
lauitl idu s	-|--|-⌫|--⌫|
aucongieprendre	-|-----|------|
baisiersdo nneretba isier s randr e	-------|--⌫---|-|--⌫-----⌫|-----⌫|
etoi sou uantsoupirer	-|-|---⌫---|-------|
etaucongiepenre pl orer	-|-|-----|----|--⌫---|
illeuc plore rentma intel a rme	-----|-----⌫---|--⌫---|-⌫-⌫--|
penrele terme	----|-|----|
dou rassambler	--|---------|
l i cheualiers entelm eniere	-⌫|---------|-|--|-⌫-----|
sempart etla dame l	|-|---|-|-|---||
maistantcommeue o i rle	---|---|----|--⌫-⌫-⌫|-|
leconu oiaas e sbiaxiex	-|----⌫--||-⌫-⌫|---|--|
kantelenepotfa i re	---|--|-|--|--⌫-⌫-|
quantlidusuitc lour r el uisset	----|-|--|--|-⌫----⌫-⌫||-----|
tantos t a lauoie	------⌫||-|---|
ch e ualierataint	--⌫-⌫-----|-----|
quiasoime ismess e pl aint	--||--|--⌫----|-⌫|--⌫---|
dela nu i tsico mme il a d it	-|-|--⌫-⌫|-|--⌫--|-||-⌫-|
que tr oplia duré petit	--|--⌫-|-||----|----|
pe nsees et	--⌫----|-|
ot celedontile st partis	-|---|---|-|-⌫-|-----|
acuiilsem blep ourla	|--|-|---⌫--|-⌫--|-|
que fai lliait a	--|---⌫--|--||
sondedui t	--|-----⌫|
n edo u iornese	-⌫|--⌫|--|-|-|
looit point	----|----|
l ich eualiersen ite lpoint	-⌫|--⌫-------|-|---⌫|----|
est depenceeetd e	--|-|-----|-|-⌫|
kan t liduslataintsil escole	---⌫|-|--||-----|-||-----|
et liafaitioiemoutgrant	-|-||---|---|---|----|
puisliadi t ieuoscreant	---|-||--⌫|-|--|-----|
quetouiorsmai suous a mer ai	--|--|---|---⌫|---|-⌫---⌫-|
nei a maisne uous mes croirai	-|-⌫|---|-|---|---⌫------|
mau ezdou tout	|--⌫-|--|---|
et la duchesce	-|-|-------|
sirefaitil pourdieu me rci	---|---|-|---|---|--⌫--|
uo usre quieretpri	--⌫-|--⌫----|-|--|
quecel co nsoilceleruous p laise	--|--|--⌫----|----|---|-⌫----|
pardueauroie ioieetaise	-----|-----|---|-|---|
et mourroiesansnulefaut e	-|-------|---|---|----⌫|
se iesauoiequenula utre	-|-|-----|--|--|-⌫---|
i cesauoitforsuoussansplus	-⌫-|-----|---|---|---|---|
or nenparlez	-||-|-----|
faitcelidus	---|-|-|--|
sai c hiezilie rt	---⌫-⌫---|-|--⌫-|
mout biencelé	---|---|----|
queia parmoin	--|-|--|--||
en iert parl é	-|---|----⌫-|
atantsen s ontparlant	----||-|-⌫--|------|
la dont il	-|---|-|
estoientmeu	-------|--|
etceliourquantuint au mengier	-|--|---|----|---|-|------|
monstralidus	------|-|--|
auch eu alier	-|--⌫--⌫----|
plusbels amb lantco nques n ot	---|--|-⌫---⌫---||-⌫----||-|
maiste l courr ou setteld eshait	---|--⌫|-----⌫--⌫|-|--|-⌫-----|
e notla duchescesansfa ille	-⌫|-|-|-------|---|--⌫---|
se leuadela tab l e	-|---|-|-|---⌫-⌫|
eta faitsemblan tp arfaintise	-||---|-------⌫|-⌫-|-------|
quemalad ielisoi tprise	--|-----⌫-|-|---⌫|----|
a leeestcouchie r ensonlit	-⌫--|--|-------⌫|-|--|--|
ot pe titd el it	-|--⌫--|-⌫--⌫-|
etli dus quantil ot mengié	-|-|--|----|-|-|------|
deduit etfes ti é	-----|-|---⌫--⌫-|
si uala duchesce	-|-|-|-------|
etlafait sorsonlit seoir	-|-|---|--|--|--|----|
puis aco mmandéquenelui	---||--⌫------|--|----|
nere m aingne laiansfors	-|--⌫-⌫-----|-----|---|
onfa ittant ostce qu il	-|--⌫-|----⌫--|-|-|-|
etli d us errantlidemande	-|-|-⌫-|-----|-|------|
commantcismax li estuen us	------|--|--|-|--|---⌫-|
ceestquele a	-|--|-|--||
ele respontse	--|------|-|
i e ne me donnoie	-⌫|-|-|------|
o req ua nt aume ngierm	-⌫-|-⌫--⌫-|-|--⌫----||
que grignorse ne tplusdauis	--|------|--⌫|-⌫|---||---|
n eustenuosquei e	|---|-|--|--|-⌫|
kantuoustenezpluschi erceli	---|---|----|---|---⌫-|---|
q ue ie uosaiditqui	-⌫-|-|--|-|--|--|
q ue a moiho nteet de sp it face	-⌫-||--|--⌫--|-|--⌫--⌫-|---|
et qua nt ui	-|---⌫-|-|
queplusbelsamblan t	--|---|--|-------⌫|
l ifeistes plus qu e deuant	-⌫|------|---|--⌫|-----|
si gran t deul sigrantireenou	-|----⌫|---|-|----|--|-|-|
carilleu cdemourernepo u	--|-----⌫|-------|-|--⌫|
hafait lidus madouceam ie	-|---|-|--|-|----|--⌫-|
s achiezienencroroiemie	-⌫-----|-||-|------|--|
neuousneautre creatur e	-|---|-|----|-------⌫|
conq uespournuleau enture	|---⌫--|---|---|--⌫-----|
auenistceque	------|-|--|
ains saibi en qu il en est	---|--|--⌫-|-|-|-|--|
tous quite s	---|-----⌫|
o nquesnepensaace faire	-⌫----|-|----||-|----|
aprisdes on	----|-|-⌫-|
enenque rez p lus	-|-----⌫--|-⌫--|
atants em part dileuc	----||-|---||----|
etceleremet sipensiue	-|---|----|-|------|
q ue iamaistantcom ele	-⌫-|-|---|---|--|--|
aisen esera	---|-⌫|---|
deuant queplusaprisara	-----|--|---|----|--|
decequeli d usl i deffent	-|-|--|-|-⌫-|-⌫|------|
qu elene lidema ntnoient	-|--|-|-|----⌫-|-----|
ma isiane liten ra deffen ce	--⌫-|-|-|-|---⌫-|------⌫-|
car e n soncuerenginporpe nc e	--|-⌫|--|---|----|-----⌫--⌫|
q uel elepo urrabiensauoir	-⌫|--⌫|-|--⌫---|---|-----|
seele seuffre iusques ausoir	-|--|------|------|-|---|
queleait l ed uc entr e sesbras	-|--|--|-⌫|-⌫-|----⌫|--|---|
ele set bienpartelsolas	--|--|---|--|--|----|
enferacenedout epoint	-|---|-|-|----⌫|----|
mi exsonuouloirquanautrepoint	--⌫-|--|------|-|-|----|----|
adont atant seta it	----|----|-|--⌫-|
li duscouchiers euait	-|--|-------|-⌫|---|
a une p artdoul it cest	|--|-⌫--|--|-⌫-||--|
samblantfait quepointne	-------|---|--|----|-|
oligesirdo ie	|-|----|--⌫-|
eleset bi ence estlauo ie	--|--|--⌫-|-|--|-|--⌫-|
de s onmarimestreau desous	-|-⌫-|---|-----|-|-----|
a fairesamblantdecou rro us	|----|-------|-|---⌫---⌫-|
pourcesetienten	---|-|-|----|-|
queele mie xleduca tise	--|--|---⌫|-|--|-⌫---|
ele soitiree	--|---|---|
pou rcesamplusquila	---⌫|-|--|---|-|-||
lidisteleu ousiestesfau s	-|---|--|-⌫--|-----|---⌫|
ettrich erresetdesloiaus	-|-----⌫----|-|--------|
q ue memonstrezsamblantdam or	-⌫-|-|-------|-------||--⌫-|
onqu es ne	----⌫-|-|
menmast esiour	|------⌫-|---|
et i ai est élonctenssifole	-||-|---⌫-|---|---|-|---|
q ue iaicreuuostre pa role	-⌫-||-|---|-----|--⌫---|
carsouuentefoismedi si ez	--|-------|---|-|--⌫--⌫-|
queuousd ecuerloi alm	--|---|-⌫|---|---⌫-||
maish uimensuis	---|-⌫-||-|---|
queia ieste ́bien deceue	--||-⌫|----⌫|---|-----|
li dusetuou sdequo i	-|--|-|---⌫|-|---⌫|
s i medeites par mafoi	-⌫|-|-----|--|-|--|
quiamal ibee	--||--||--|
queien efu ssesi osee	--|-|-⌫|--⌫--|-|---|
que i e uouse nque risserie n	--|-⌫|---|-⌫----⌫----|---⌫|
oresauezbien	--|----|---|
decoiseur sauezporde	-|--|---|----|--|-|
decequecilzuosa	-|-|--|---|--||
fait eleme nc ongeeta uoire	---|--|--⌫--⌫---|-||----|
fait penc eretcroire	---|----⌫-|-|-----|
maisdesesauoirnemechaut	---|-|-|-----|-|-|----|
car ie pence	--|-|----|
quepetit uaut	--|----|---|
amerdecuerloial	---|-|---|----|
cefu tou bi enoumal	-|--⌫|-|--⌫-|-|--|
mescuer sn ene	--|----⌫|-⌫|-|
uitnenesot	--|-|-|--|
queneleseussiezaussistot	--|-|-|-------|-----|--|
etoruo iq ueuous me celez	-|-|--⌫|-⌫-|---|-|----|
uostremercilesuos	-----|----|--|--|
sisaic hiezor	-|----⌫---|-|
toutsansdoutance	---|---|-------|
que iamaisnauraitelfian ce	--|-|---||----|--|----⌫-|
enuousnecuerdetelmatiere	-|---|-|---|-|--|------|
lors a co mmenciéaplor er	---||--⌫-------||----⌫-|
la duchesce	-|-------|
etasousp ire r	-||-----⌫---⌫|
et sef forsa plusqu	-||--⌫----|---|-|
d usgrant piti een ot	-⌫-|----|----⌫|-|-|
si lia dit ma dou ceseur	-|-||--|-|---⌫-|---|
soufferroieanulf eur	----------||--|-⌫--|
ne uos treco urrou sneuostreire	-|---⌫--|--⌫-----⌫|-|-----|--|
maissaichiez iene	---|-------|-|-|
p uis pa s dire	-⌫--|--⌫|---|
c equ e uoulez q ueieuousdi e	-⌫|--⌫|-----|-⌫-|-|---|--⌫|
sans f aire tresg ran t	---|-⌫---|---|-⌫---⌫|
eleres pont isnellepas	--|---⌫---|---------|
n oumeditespas	|-|-|----|--|
car ieuoibienauo samblan t	--|-|--|---||-|-------⌫|
qu anm oi neu os	-|-|-⌫-|-|-⌫-|
fiez pa stant	---|--⌫|---|
qu ec elasseuo streconsoil	--⌫|-⌫-----|--⌫---|------|
e tsa chie z bien	-⌫|--⌫----⌫|---|
mou t memeruoil	---⌫|-|------|
noistesgrantne petit	|-----|----|-|----|
consoilque uousm eussiez	------|--|---||------|
dontdes couuerr s	---|---⌫-------⌫|
fussiezparm oi	------|--|-⌫-|
etsiuos di e nbone	-|-|--|-|-⌫|---|
ia enmauienauenra	-|-|-|--||-----|
quantce otd itsi	----|-|-|-⌫-|-|
e tsefforsa plus	-⌫||------|---|
d usgran t	-⌫-|----⌫|
pitieen ot	----|-|-|
sique plus nes epo t	-|--|---|-|-⌫|--⌫|
desa uole nte descouurir	-|-|----⌫--|---------|
puis liadit mado uc e dame	---|-||--|-|--⌫--⌫|---|
iene saiquefair e parmame	-|-|--|--|----⌫|--||--|
maistantmefi	---|---|-|-|
enuou s etc r oi	-|---⌫|-|-⌫-⌫-|
queriens nule c eler uous doi	--|----|---|-⌫---|---|--|
miens cuers saichene ot	----|----|-----|-|-|
maisieuousprine n parlezmot	---|-|---|--||-⌫|-----|--|
sachiez bien et tantuousendis	------|---|-|---|---|-|--|
qu e seiesuisparuo us	--⌫|-|-|---|--|--⌫-|
uous enrec euerez	---|-|---⌫-----|
eteleditbien m i acort	-|--|--|---|||----|
estr enepor roitque	----⌫|-|---⌫---|--|
ch ose dontuers uous	--⌫--|---|---|---|
mespreisse	---------|
ci lz quil	--⌫-|--||
ainmepou rc elacroit	----|---⌫|-⌫|-|----|
et cuideque ueritez	-|----|--|------|
ele ditpui sliconte	--|--|---⌫|-|----|
niecetrest o utleconte	----|-----⌫-⌫-|-|----|
comm ant laprintdouc he ualier	----⌫--||-----|--|-⌫--⌫-----|
et commentil fuo uuergier	-|------|-|-|-⌫|------|
enleingle t	-||------⌫|
oui ln otquexde ux	-|-⌫||-|-|-|--⌫-|
commantl ichiennesuint	------|-⌫|-------|---|
etdelen tree	-|-||--⌫---|
lialauerite contee	-||-|-----|-----|
qu e ilai toineueu	--⌫|-|--⌫|-|-|--|
laduchesce	-|-------|
quecilainme pl usbassement	--|--|----|--⌫-|--------|
samorl a escondite	|---|||--------|
mortesetien t eta despite	----|-|----⌫|-||------|
maisainsadoncsambla ntn e nfi st	---|---|----|------⌫-||-⌫|--⌫-|
ains otriamout etpromis t	---|----|---|-|------⌫|
aud uc c eler	-|-⌫-|-⌫---|
sibien ceste oeure	-|---|----|----|
setqu e lesedesqueuure	--|-|-⌫-|-|---------|
quei llapende	--|-⌫|-|----|
siliestoit il	-|-|-----|-|
iamouttart	-|---|---|
dacele parler qu	||---|-----|-|
desice le heure qu eleset	--|---⌫-|----|-|--|--|
queeleest amiea ce lui	--|--|--|---||--⌫--|
faithonteetanui	---|----|-|---|
p ortant ce	-⌫-|---|-|
l iestoitauis	-⌫|-----|---|
qu ilneuo ut est resesamis	-|-|-|--⌫-|---⌫-|--|---|
si a ferme tou t sonporpens	-|-⌫----|---⌫|--|------|
quecele uoit neleune	--||--|---|-|--|-|
qu al anieceleducparost	-||-⌫|----|-|--|-----|
que lelidira aussistos t	-|-⌫-|-|---|---------⌫|
n eianece lera	-⌫|-|-|--⌫---|
n eplusn ierten so n	-⌫|---||---|-|--⌫|
cuerenclose	---|------|
m ais ai ns enli eu n en po int	-⌫--|--⌫-|-|--⌫-||-|--⌫--|
tan tqu elapen thecous te uint	---⌫|--⌫|-|---⌫-------⌫-|---|
quiapresfu alap re mier e	--|----|-||-|-⌫--⌫----⌫|
quelidustint sacor tpl enier e	--|-|--|---|-|---⌫|--⌫-----⌫|
sequ il enuoia pa rtoutquerre	-|-|-|-----|--⌫----|-----|
t outes le sdamesdesate rre	-⌫----|--⌫|----|-|-|--⌫--|
et sa niece toutp remerai nne	-|-|----|---|-⌫-------⌫--|
quideue rgy	--|-|--⌫--|
ie rtchastel a inne	--⌫-|-------⌫-⌫---|
etq uantladu c hesc ela uit	-|-⌫---|-|--⌫-⌫----⌫|-|--|
tantottous lisans lifremit	-----|---|-|---|-|-----|
doumontq u e	--|---|-⌫-⌫|
maisson consoil	---|--|------|
siceler se it	-|----|--⌫-|
plusbel sam bl a ntli fait	---|--|---⌫--⌫-⌫-|-|---|
c onquesdeuantnel i otfait	|-----|-----|-|-⌫|-|---|
ma ismoutotgr anttalen td e dire	--⌫-|---|-|--⌫--|-----⌫|-⌫|---|
ce donteleot au	-|---|--|-|-|
cuer grantire	---|----|--|
etlademeuremout	-|-|------|---|
pourceleiourde	---|-|-|---|-|
penthecou ste	---------⌫--|
q uantlestables furenthostees	-⌫---|--|-----|-----|------|
l a duchesc eme nees	-⌫|-------⌫|--⌫---|
le sdame s	--⌫|----⌫|
cha m breo soi	---⌫-⌫--||--|
por eles par er	--|---|---⌫-|
poura lercoin te sas karoles	---|-⌫--|----⌫--⌫|-|------|
lor sn epot tenir sespar oles	---⌫|-⌫|--|----|--|---⌫---|
laduchesceq uiuitson lieu	-|-------|-⌫-|--|--|---|
ai nsditaussiscommepargieu	--⌫-|--|-----|----|--|---|
chastelain nesoiezbien cointe	----------⌫-|----|---|-----|
c arbeletpreu	-⌫-|--|-|---|
au ezacointe	--⌫-|------|
el e res po ntmoutsimpleme nt	--⌫|---⌫--⌫-|---|--------⌫-|
ienes aiquelacointe ment	-|-|-⌫-|---|-------⌫---|
uous pensezmadamepouru oi r	---|-----|-|---|---|-⌫--⌫|
m a isnait a lantd ami auoir	-⌫-⌫-||-|-⌫-⌫---||--|----|
quine soit doutout	--|-|---|--|---|
etd emonsign our	-|-⌫|--|----⌫--|
bi endistladuchesc e	--⌫-|---|-|-------⌫|
mais uousiestesbonnemaistre sce	---|---|-----|----|-------⌫--|
quiauez aprinsle mesti e r	--|---|-----|-|-----⌫-⌫|
d oupet it	-⌫-|---⌫-|
chiennet affaitier	-------|--------|
lesdamesontoi le co nte	--|----|--|-|-|--⌫--|
mais ne seuentacoisemonte	---|-|-----||--|-|----|
oladu ch esce senreuon t	|-|--⌫--⌫---||-|-----⌫|
askaroles quifai tessont	-|------|--|---⌫--|---|
ladamoi sele	-|-----⌫---|
seuleremaint	----|------|
li cuer sdirelitrouble ettaint	-|----⌫||--|-|------|-|----|
meuttrestousenuentre	---|-------|-|-----|
dedens une guarderobe	-----|--|---------|
ouunepuceleteestoit	-|--|-------|-----|
quiaupiedoulitsegi so it	--|-|--|--|--|-|--⌫--⌫-|
mai se l nela pouoitueoir	---⌫|-⌫|-|-|-----|----|
enlitceestlaisie e cheoir	-|--|-|--|------⌫|-----|
la chastelainnemoutdolente	-|-----------|---|------|
ele se p laintetsed emente	--|-|-⌫----|-|-|-⌫-----|
e tditbiaxs ir edex m erci	-⌫|--|---|-⌫--⌫|--|-⌫---|
quepeutestreq ue iaioi	--|---|----|-⌫-||-|-|
q ue m adame m a fait regret	-⌫-|-⌫|---|||---|-----|
q ueiaia ffait iémonchiennet	-⌫-||-|-⌫-----⌫--|--|-------|
sene set ele p arnelui	-|-|--|--|-⌫-|----|
cesaiiebienforsp arcelu i	-|--|-|---|---|-⌫-|----⌫|
queiamo i eettr ahie ma	--||---⌫-⌫|-|--⌫---|||
nelideist ilia	-|-|----|-|-|
s a li n eus t grantacointan ce	||-||---⌫|----|--------⌫-|
ets i lnel amast sa ns doutance	-||-⌫|-||----|--⌫-|-------|
plusquemoi queil atrahie	---|--|--|--|-||-----|
quei lnem ain memie	--|-⌫|-||---⌫-|--|
quantci mefautdec onuenant	----|-|-|---|-|-⌫-------|
dous d i exet ie lamoietant	---|-⌫-⌫-|-|-||----|---|
co mmerienspouo it autreamer	--⌫--|----|----⌫-|----|---|
qu aillor s	-|------⌫|
nepouoiepencer	-|-----|-----|
n esun eheurene iorn enuit	-⌫-|--⌫|----|-|--|-⌫|---|
cestma ioie c est mondeduit	|--|-|---||--|--|-----|
c est mesdeliscest	|--|--|----||--|
mes depors	--|-----|
c est messola s cestmesconfors	|--|--|----⌫||--|--|------|
limecontenoie	-|-|--------|
depencerquant iounouueoie	-|-----|----|--||-|----|
haamisdont	-|---|---|
est ceu enu	--|-|-⌫--|
quepouezestredeue nu	--|----|----|----⌫-|
quant uers moi	----|---|--|
au ezest éfaus	--⌫-|---⌫-|---|
ie cu id o ie queplusloiaus	-|--⌫--⌫-⌫-|--|---|-----|
mef ussiezsed ex	-|-⌫-----|-|-⌫-|
meconseu t	-|------⌫|
plus uous amoiela	---|---|----|-|
sed exaitia de moipit ie	-|-⌫-|--|-|-|--|---⌫-|
quenefaisoie moi meismes	--|-|------|--|------|
onquesauantne p uisne primes	-----|----|-|-⌫--|-|-----|
enpencerendit n eenfait	-|-----|-|--|-⌫|-|---|
pou ne grantme s fai t	--|-|----|--⌫-⌫---⌫|
parc oi me	--|-⌫-|-|
deussiez hair	-------|---|
nesiuillainnementtrahir	-|-|------------|-----|
coma uosa morsdepecier	--||--|-⌫---|-------|
po ra ut re	--⌫|-⌫--⌫-|
moi la issier	--|--⌫-----|
etdesc ouuriruos treconsoil	-|----⌫-----|---⌫--|------|
moutm emeruoil	---|-⌫|------|
q uelim iensceurss imaist d ex	-⌫-|-|-⌫---|----|-⌫||---|-⌫-|
nefuo nques	-|-|-⌫----|
uers uousitex	---|---|---|
c arse toutle mon de p armi	-⌫-|-|---|-|---⌫-|-⌫---|
tout son ciele tsonparadis	---|--|---|-⌫|--|------|
medonnastdixpasnepreisse	-|------|--|--|-|------|
parconuenant queuospe rdisse	--|--------|--|--|--⌫-----|
estiez marichesse	-----|-|-------|
etmasante e tma l eesse	-|-|----|-⌫|-|-⌫----|
neriensgreuernemepeust	-|----|-----|-|-|----|
tantcommemeslascuersseust	---|----|--|--|----|----|
queliuost resder iens m amast	--|-|----⌫--|-|-⌫---||----|
ha fineamorsetqu i	-|---|----|-|--⌫|
q uecilzf ei stuer s mo i	-⌫-|---|-⌫--⌫-|---⌫|--⌫|
qui disoit	--|-----|
ka ntesto ito	--⌫-|----⌫-||
etie fa isoiemon pouoir	-|-|--⌫----|--|-----|
tr estout son uouloir	--⌫-----|--|------|
quili erttous mien setasa d ame	-|-|-⌫--|---|----⌫|-||-|-⌫--|
meten oit et de corsetd ame	-|---⌫--|-|-|---|-||--|
etl edis oitsidoucement	-|-⌫|---⌫--|-|--------|
queiecroioie bonnemen t	--|-|------|--------⌫|
ne encuidasseanulfeur	-|-|-------||--|---|
quil pouis ttrouuerenson cuer	-|-|-----⌫|------|-|--|---|
enuersmoicourrous nehain e	-----|--|-------|-|----⌫|
porduchesce	--|-------|
ne pourro ine	-|---|--⌫--|
qualuiame r m	-||--|---⌫||
estoitsibien	-----|-|---|
camoncuerpre noie l e sien	||--|---|---⌫---|-⌫|---|
que ilmanma s ttou tau trecy	--|-||----⌫-⌫|---⌫|--⌫----|
quilsetenoit a monami	-|-|-|-----||--|--|
to utesauie ettoutsonaaige	--⌫--|-|--|-|---|--|----|
car biencon n o is enmon couraige	--|---|---⌫-⌫-⌫-|-|--|-------|
sauantmorustq uet antlanmasse	|----|-----|-⌫-|-⌫--||------|
qu apresluipe titdurasse	-|----|--|--⌫--|------|
m orte oluimefutmiex	-⌫---||--|-|--|---|
queu iuresiquede mesiex	--|-⌫---|-|--|-|--|--|
neleueisse nule	-|-|-----|---|
hafinea mor e st ce dont drois	-|---|-⌫--|-⌫-|-|---|----|
quei l aainsis	--|-⌫||-----|
des co uuuert	---⌫--⌫-----|
nostr econ soild ont ilm epert	-----⌫|---⌫---|-⌫--|-|-⌫|---|
qu am amoro t roier lidis	-|||---|-⌫-⌫----|-|--|
e tbiene nconuenantlimis	-⌫|---|-⌫|--------|-|--|
queaceleheure m eperdroit	--||---|----|-⌫|-------|
qu enostre amo rdescou ure roit	--⌫|-----|---⌫|------⌫---⌫---|
e tquantia i aua ntperdului	-⌫|----||-⌫|---⌫-|----|--|
nep u is a p res it el an ui	-|-⌫-⌫-|-⌫-⌫--|--⌫-|--⌫-|
sansceluip orcoi ie m e deul	---|----|-⌫-|--|-|-⌫|---|
uiure neieneueul	----|-|-|-|---|
meplait point	-|----|----|
ain spr i dieu quelamort	---⌫|--⌫|---|--|-|---|
etque toutaus si uraie men t	-|--|---|---⌫-|-----⌫---⌫|
améb ienloiaumen t	---|-⌫--|--------⌫|
celuiquice m a porchacié	----|--|-|||---------|
aitde lamedemoipitie	--|-||--|-|--|----|
eta c eluiquia sontort	-||-⌫---|--||--|---|
e tliureeamort	-⌫|-----||---|
d oi nt ho noretielipa rdoing	-⌫--⌫-|--⌫--|-|-|-|--⌫-----|
n e ma morsn es t	-⌫|-|---||--⌫|
ce douceno n	-|----|--⌫|
qua ntdeli uie nt	---⌫-|-|-|---⌫-|
etquant des amormesou uient	-|----|-||---|-|---⌫----|
pourlimorirnemet	---|-|----|-||-|
a tantse tu tl achastelai nne	-⌫---|-|--⌫|-⌫|---------⌫--|
fors queleadi ten	---|-|--||--⌫|-|
sou pirant	---⌫-----|
d ousami s	-⌫--|---⌫|
adieuuouscommant	|---|---|------|
a cesmos desesb rass	|--|--|-|--|-⌫--||
licuerslifaut liui s	-|----|-|---|-|--⌫|
ango issementest pas mee	----⌫-------|--|---⌫--|
etgistpail leet des c oloree	-|---|----⌫-|-|---⌫-⌫-----|
enmi lelit	---|-|--|
m ortesans u ie	-⌫---|---|-⌫-|
maisses amis	---|--|---|
nele set mie	-|-|--|--|
quisededuisoit	--|-|--------|
en la sal e	-|-|---⌫|
ala karoleou	|-|-----|-|
d anceetbale	-⌫---|-|---|
li plait riensq ueil uoie	-|----|----|-⌫-|-|---|
kantcelea cuison	---|---||--|--|
cuerotroi e	---|-----⌫|
niuoitpoint	||---|----|
s eme ruoille	-⌫|--⌫------|
ducenloreille	--|-||------|
si request	--⌫-|-|--|
ceque u ostreniece	-|--|-⌫----|----|
est demouree s i grant piece	--|-------|-⌫|----|----|
que n es taskaro les uenue	--||--⌫|-|----⌫--|----|
nesaisel auez mi seen m ue	-|--|-||---|--⌫-|-|-⌫-|
etliduslakarole	-|-|--|-|-----|
quidecenese preno it garde	--|-|-|-|-|-----⌫-|----|
c eluiasoi parlamain trait	-⌫---||--|--|-|---|----|
etdroit enla	-|----|-|-|
chambre s enuait	------||-|---|
etqu an te nlacha mb re ne ltreuue	-|--⌫--⌫|-⌫|-|---⌫--⌫-|-||-----|
aucheualiera dit	-|--------||--|
c an la garderob ela quie re	|-|-|--------⌫|-|----⌫-|
car il le u eut en	--|-|-|-⌫--|-|
tel menier e	--|------⌫|
et cilzquili ensot	-|---|--|-|-|--|
estenlaguarderobeentrés	--|-|-|---------|------|
amiegisoit enue r se	---|-----|----⌫-⌫-|
enlitd escou loureeetperse	-|--|-⌫-----⌫-----|-|----|
toutm aintenant lacoleetbai se	---|-⌫--------||----|-|---⌫-|
carb ienen ot etlieu	--|-⌫--|-|-|-|---|
mais labo ucheatrouueefroide	---|-|--⌫---||------|-----|
et p ar toutpaile	-|-⌫--⌫---|----|
e tbienroide	-⌫|---|----|
etausamblantque	-|-|-------|--|
licors monstre	-|---|------|
uoitbienquel eestmortetoutoutre	---|---|-|--⌫|--|----|---|----|
t antosttous esbahiss	-⌫-----|---|------||
questce lasestmortem	-|--|-|--|--|----||
etl apucelesaillisus	-|-⌫|-----|-----|--|
qui au pie	--|-|--|
doul it gisoitius	--|-⌫-|-----|--|
etdistsirei el ecro i bien	-|---|---|-⌫|-⌫|---⌫|---|
qu e mort esoit que autre	--⌫|----⌫|---|--|----|
ne demandapuisqueuintcy	-|------|------|---|-|
p ourlecor rousdes onam i	-⌫--|-|---⌫---|-|-⌫-|--⌫|
don tmada mel a taina	---⌫|-|--⌫-||-⌫----|
etdunchiennet	-||-|-------|
l a rampona	-⌫|------|
don tlicourr ous liu intm ortex	---⌫|-|-----⌫--|-|-⌫--|-⌫----|
etquantc is oilesm ostex	-|----|-⌫-|-|--|-⌫-|--|
quil di st au	-|-|--⌫-|-|
duxla morte	--|||----|
sens m esuresedesconfo rte	---|-⌫----|-|--------⌫--|
e lasditilm adouce amour	-⌫--|--|-|-⌫|----|----|
lapluscortoiseet	-|---|-------|-|
la millour	-|------|
conquesfustetlaplus	|-----|---|-|-|---|
commetr i cherres desloia l	----|--⌫-⌫------|-------⌫|
mo rtece fustdroiture	--⌫--|-|---|-------|
quesor moit ornastlauentu re	--|--|--|-⌫-----||------⌫-|
si que uous n	-|--|---||
eneussiezmal	-|------|--|
mais cuer aui ezsiloi al	---|---|---⌫-|-|---⌫-|
quesoruousl auezauant prise	--|--|---||---|----|----|
maisi e ferai dem oi iout ise	---|-⌫|----|-|-⌫-|----⌫--|
traison quei	------|--||
uneespeeadoufeurretraite	--|----||--|-----|-----|
quiiertpenduea unespeur	--|---|-----||-|-----|
sisenferiparm i le	-||-|---|----⌫|-|
ch eoirs e laitsur lautrecors	--⌫---|-⌫|---|--||----|---|
tant aseingniéque il est	---||--------|--|-|--|
etl apuceleesthors salie	-|-⌫|-----|--|---|----|
uitl e corssa ns	--|-⌫|---|--⌫-|
pa ourotde cequ	--⌫--|-|-|-|-|
a uducq uele en contraadit	-⌫|--|-⌫|--|--⌫-----||--|
ot oietu eu	-|-|-|-⌫-|
cequ elen i a	-|-|--||||
rien s teu	----⌫|--|
commantlaffaireotcommanci é	------||------|-|--------⌫-|
nes doupetitc hiennetaffaitie ́	--|--|----|-⌫------|--------⌫|
dont laduc hesc e	---|-|---⌫----⌫|
a uoitparlé	-⌫---|-----|
uousleduc adoncde sué	---|-|--|----|--⌫---|
to ut maintenant	--⌫-|---------|
e nla chambreen tre	-⌫|-|------|--⌫--|
