signororescoutésque	-----|-|--------|--|
b iausfi exmolt m	-⌫---|--⌫-|---||
memo ire setchisgrans	----⌫---⌫|-|---|----|
lasse chedistauisse	----|--|---|-----|
olecor s g ent	|-|---⌫|-⌫--|
certesces tgrant	-----||--⌫|----|
meruelleque nem efent	-------|--|-|-⌫|---|
liceur sque i	-|----⌫|--||
u ent re t o utesranment	-⌫---⌫-|-⌫-⌫-|--------|
quant o rsenua	----|-⌫||-|-|
enfessi pourement	----|-|--------|
armese tgarniment	----|-⌫|--------|
ianeu enraenter e	-|-|-⌫---|-|---⌫|
entre gent	----|---|
soitesgarnis	---|-------|
moltlaidement	---|--------|
dameche distelie s	---|--|---|----⌫|
ces tp ornient	|--⌫|-⌫-|----|
encore enarésio iemien	-----|-|----|--⌫-|---|
anuitso ngai	----|--⌫---|
moltauene nt	---|-----⌫-|
dont li ceursme ua	---|-|----|-|-|
mo lt esbaudissant	--⌫-|-----------|
la u a i ols aloituo s	-||-⌫-⌫--|----|--⌫|
fiexli frans	---|-|----|
libose t le sgaudine s	-|--|-⌫|--⌫|-------⌫|
li fo rians	-|--⌫----|
aloient con tr e	------|---⌫--⌫|
ors lions etl upart	--|----|-|-⌫----|
sen glerserpens	---⌫---|------|
deuantluise	-----|--|-|
c oucoient	-⌫-------|
enchemingrans	-|-----|----|
alorlan gue saloient	|--|---⌫---⌫|------|
sespieslechant	--|---|------|
et aiolslesprendoi t	-|----|--|-------⌫|
ma insdeuant	--⌫--|-----|
s esploncoit en	|-|-------|-|
etleee tgrant	-|--|-⌫|----|
toutlioiselde	---|-|----|-|
uenoient contreluia	-------|-----|--||
piet esra nt	---|----⌫-|
queilna uoient	--|-||-⌫-----|
netantne q uant	-|---|-|-⌫---|
aio ls lor rendoit	---⌫-|--|------|
de maintenant	-|---------|
e npeu d eurele s	-⌫|--||---|--⌫|
f istl ieetioians	-⌫--|-⌫-|-|-----|
d ontreuenoi taigle fors	-⌫--|-------⌫|----|---|
etpoi ssans	-|---⌫----|
qui lesa utres oi seus u a	--|--|-⌫----|--⌫---|-⌫|
iustichant	---------|
a luise compaingoien t	|--|-|------------⌫|
yy ostoirblanc	-|-----|----|
s a loientenespainge	|-⌫-----|-|-------|
leusmaint enant	---|-----⌫----|
to utdroit apam pelunela	--⌫-|----||---⌫-----|-|
chitegrant	----|----|
limurdelachite	-|--|-|-|----|
al oientcont re l ui t ou t	--⌫----|----⌫-|-⌫-|-⌫--⌫|
acli na nt	----⌫--⌫-|
la conquistzzyma ige	-|-------|-|---⌫--|
aiolslifrans	----|-|----|
nushonne ui tplus	--|--|-|--⌫|---|
beleenso n	---|-|--⌫|
qu ilame naenfrance	-|-|---⌫-|-|-----|
lece mingrant	-|--⌫--|----|
al m oust ie rsainte c rois	-|-⌫----⌫--⌫|-----|-⌫---|
uientesrant	----|-----|
pres tremoignecano ine cl erc	----⌫--|-----|----⌫--|--⌫--|
l ym age baptisierentde	|--⌫--|-----------|-|
maintenan t	---------⌫|
encaintemesambla	-------|-|-----|
ueraiement	---------|
puis uide li issir	---|-|-|-|----|
yy colons blans	-|-----|----|
don tmesue llaidel	---⌫||----⌫---|--|
songenensaiau an t	----||-|--|--⌫--⌫|
siredistmoyses li	---|---|-----|-|
cl ers sa chans	--⌫--|--⌫----|
cestboinsq ui	|--|----|-⌫-|
uientsiapr o ch ant	----|-|---⌫-⌫--⌫--|
iaih ermit es esté yy	|-|-⌫-----⌫-|----|-|
sisaid astrenomiele	-|--||---------|-|
par auena nt	--|-----⌫-|
tantne quant	---|-|----|
lauaiols aloit	-||----|----|
fiex li frans	---|-|----|
lesga usetlesgaudi n es	--|--⌫-|-|--|-----⌫-⌫-|
lesfores grans	--|----|----|
q ui contreluia l oient	-⌫-|-----|--|-⌫-⌫----|
tou tenclin ant	---⌫|------⌫--|
che seraunroiaumes	--|---|-|-------|
plenie r etgrans	------⌫|-|----|
qui sousaio l sera	--|---|---⌫|---|
siaueracorone	-|----|-----|
orslion e tsaingler	--|---|-⌫|-------|
qui deuantlui aloient	--|-----|--|------|
lecemingrant	-|----|----|
etuosfieus les	-|--|----|--|
pl ongoi tenlaigue	--⌫-----⌫|-||----|
che se ro nt s arrasinturc	--|--⌫--⌫-|-⌫------|---|
qui por luiq uerront	--|--|--|-⌫------|
di euo mnipotent	--⌫-|-⌫--------|
etprendrontbaptestire	-|--------|---------|
ueraiement	---------|
tout lioisel de f rance	---|-|----|-|-⌫----|
petitetgrant	----|-|----|
quicontreluiue noient	--|-----|--|--⌫-----|
apie esran t	|--|-----⌫|
que iln auoienteles	--|-||------|---|
a iolslor donoitp lumes	-⌫---|--|-----|-⌫----|
de mainte nant	-|------⌫---|
fistliesetioians	---|---|-|-----|
ch eualieret	--⌫------|-|
b oinser ga nt	-⌫--|---⌫--⌫-|
delateredefrance	-|-|---|-|-----|
ladedeuant	-|-|-----|
q uiperduontlo rtere	-⌫-|----|--|--⌫|---|
lo rcas em ent	--⌫|---⌫--⌫--|
paraio l lesraront	--|---⌫|--|-----|
del iurement	---⌫-------|
cesene fient	-|----⌫----|
ostoirbl an c	-----|--⌫--⌫|
quepr endro nt	--|--⌫-----⌫-|
compaingiea	---------||
uostreenfant	-----|-----|
senironten espai gne	|-|----|-|-----⌫--|
toutdr o itement	---|--⌫-⌫------|
dessia p anpelunele	----||-⌫-------|-|
ch it egrant	--⌫--⌫|----|
lymagequeueistes	|----|--|------|
fransdusuai llans	----|--|---⌫----|
che ertu n epucelemol t	--|--|-⌫-⌫|-----|---⌫|
aiolslar aafeme	----||--⌫||---|
uosfiexlifrans	--|---|-|----|
elesiertencaintede	--|-|--|-------|-|
qui despa igne feront	--||----⌫---|-----|
toutleurta lent	---|---|--⌫---|
siliso ngesestu oir s	-|-|--⌫---|--|-⌫---⌫|
encore seront ro ilidoi	-----|-----|--⌫|-|--|
et cascu naracoroneel	-|-----⌫|--|-----|-|
ciefportan t	---|------⌫|
edieu s ch e	|----⌫|--⌫|
eliesperepoi ssan t	----|---|---⌫----⌫|
d ame sainte mariequi	-⌫--|-----|----|--|
uiur atant	----⌫|---|
aietelioie	--|--|---|
iene querr oi e uiure	-|-|-----⌫--⌫|----|
plus enau ant	---|-|--⌫--|
s ire dist	-⌫--|---|
cl erss a chans	--⌫--|-⌫-⌫----|
neuosal e ́spas	-|--|--⌫-⌫-|--|
esmeru e ll a nt	------⌫-⌫--⌫-⌫-|
uosestes iouenes	--|----|------|
m ienensiant	-⌫--|------|
uousn aue ́sencormie	---||---⌫-|----|--|
toutchoupo résueiret	---|---|--⌫---|---|-|
plus auant	---|----|
sir e distmoyse s li	---⌫|---|-----⌫|-|
sai ns her mites	---⌫-|---⌫----|
ie uosaiditdel	-|--|-|--|--|
songelaprofesie	----|-|-------|
que chouqueil	--|---|--|-|
t esmoign e toutsenefie	-⌫-------⌫|---|------|
en coreertuosf iex	--⌫---|--|--|-⌫--|
ro isnif au rami e	--⌫-|||-⌫--⌫-|--⌫|
a iolsonfilbaisa	-⌫--|--|--|----|
franceauisse	-----|-----|
etlesiexet l a	-|--|--|-|-⌫|
bo ucheetlapoitrine	--⌫---|-|-|-------|
e ttrestoute n plour an t	-⌫|-------|-⌫|-----⌫--⌫|
l ipris ta dire	-⌫|----⌫||---|
fie u sge ntiex sire	---⌫-⌫|--⌫----|---|
ie uou s commanc	-|---⌫|------|
le fiexmarie	-|---|----|
quilechiefet la	--|-|----|-|-|
tereaestablie	---||-------|
q u il deffengeu ocors	-⌫|-|-------|-⌫|---|
fi l leuld i stlihermites	--⌫-⌫---|-⌫-⌫-|-|-------|
ie te lairai	-|-|-----|
u olentierstebie n ette	-⌫--------|-|---⌫|-|-|
iete mis nonaiol	-|-|--|--|---|
d e la iantc	-⌫||-⌫---||
o toitrouai	|--|-----|
ortelairaiueirs	-|-|-----|---||
onquesta mai	-----||-⌫--|
quant io uesto i io uenes	----|--⌫|----⌫|--⌫----|
zzbriefpor tai	-|----|---⌫--|
nefuonquesn us	-|-|-----|-⌫-|
mieudr esn ener t	------⌫-|-⌫||--⌫|
ihesu cr ist	----|--⌫--|
isonttou turai	|---|---⌫|---|
sir e chedist aiols	---⌫|--|---|----|
tresbienl e s ai	---|---|-⌫|-⌫-|
c ar paresgard ei la i	-⌫-|--|------⌫-||-⌫|
dameldieul euosmire	--------|-⌫|--|---|
quan tielarai	----⌫|-||---|
fille uldistl ihermit es	-----⌫-|---|-⌫|------⌫-|
ie ltedo nr ai	-||-|--⌫--⌫-|
moysesp r i stlebrief	-----|-⌫-⌫-⌫-|-|----|
desorledestree spaule	----|-|-----|-⌫-----|
aiols lifiex eli e le	----|-|---|---⌫|-|
ancoisquilait	-------|-|--|
bienetcortois ement	---|-|-------⌫----|
edieuschedist	|----|--|---|
enfesquel brief chi	----|---|----|--|
makairedel osane l e	------|-|-⌫----|-⌫|
seilm atenta cop	-|-||----||--|
lechief perdra	-|----|-----|
meshonorset mesteres	--|-----|-|--|----|
me rendera	-|------|
f illu e l distli he rmites	-⌫----⌫-⌫|---|-|--⌫-----|
tuaslebrief	-|-|-|----|
ilnefu onquesmieud res	-|-|-|-----|-----⌫--|
ne iamaisniert	-|-----||---|
ta nt con larassor	--⌫-|--||---|--|
toi n edoute rien	--|-⌫|----|---|
le peuta rdoir	-|---|-⌫----|
n eiwenoier	|---|----|
dist aiols	---|----|
ga rdésert bien	--⌫----|--|---|
son pere pa r	--|---|--⌫|
uousmenuoi és	---||-----⌫--|
fra nceporgaignier	---⌫--|--|-------|
alfort roi lo e ys	-|---|--|--⌫-⌫-|
acointi er	-------⌫-|
biensauésque uale s ne	---|-----|--|----⌫|-|
aporterarmess	------|----||
estcheualier	--|--------|
sire p or amo rdieum	---|-⌫-|---⌫|---||
ap arelliés	--⌫--------|
uenra i alroi	-----⌫|-|--|
q uifranche tie nt	-⌫-|------|---⌫-|
quenesoieen trepris	--|-|---|--⌫------|
porescuie r	--|------⌫|
q uant lente n diel ies	-⌫---||----⌫-⌫-|--⌫--|
molt e nf ulies	---|-⌫|-⌫|---|
biausfiexm o ltestes	----|---|-⌫-⌫-|----|
sagesetafaiti é s	----|-|------⌫--⌫|
les armesarésu os	--|----|----|-⌫-|
uole ntiers	----⌫-----|
is nel ementle	--⌫---⌫----|-|
apare llier	-----⌫----|
eldos li ontuestu l	-|--|-|--|----||
aubercdoubli er	-----|------⌫-|
etauisselila chel	-|-----|-|--⌫--||
elmeensel ci ef	---|--|-|--⌫-|
puislapela elie spar	---||----|----⌫|--|
q uilliuaudraia	-⌫|-|-|-----|-|
cai ndrele branc d	---⌫---|-|----||
la co l e es	-|--⌫-⌫-⌫||
ert cheualier	--|--------|
oren iré s e nfrance	-|-|----⌫|-⌫|-----|
fiexdistl imere	---|---|-⌫|---|
seruir r oiloeysnostre	-----|-⌫-|----|-----|
ihe suuosi laistfaire	---⌫-|--||----|----|
tel e s audee	---⌫|-⌫----|
dont licorssoi tgaris	---|-|---|---⌫|----|
liamesauee	-|--|----|
pordieunobliésmie	--|---||------|--|
uostrechierpere	-----|----|---|
qu ichiremaint malades	--⌫|--|------|------|
en t el contre e	-|-⌫-|------⌫|
nel iregard er ap arent	-|||------⌫--⌫|-⌫----|
dam echedistaiol s	---⌫|--|---|----⌫|
dexlisauere s	--|-|------⌫|
quifist etcielet	--|---|-|---|-|
tereetmer betee	---|-|--|----|
garisse moietuos et	------|--|-|--|-|
m onchier pe re	-⌫-|----|--⌫-|
mo ltparfistgr ant	--⌫-|--|---|--⌫--|
pi chieciluostre f rere	--⌫---|--|-----|-⌫---|
q uisiuous ade	-⌫-|-|---||-|
franceesca itiuee	-----|----⌫-----|
puisue niren	---|--⌫--|-|
lacont r ee	-|----⌫-⌫-|
a bataillef urniene	|-------|-⌫----|-|
feraidepuin	----|-|---|
enfressicazz anm a	--------||-|-|-⌫|
doucem ere	----|-⌫--|
uosquicauoir uotere	--|---|----|-|---|
q uencore en esterés	-⌫|-----|-|-------|
d am e cl amee	-⌫--⌫|--⌫---|
o ren ir ai	-⌫|-|--⌫-|
aube est creuee	---|--|-----|
iles tuenus	-|--⌫|----|
etelieslapelecaint	-|----||----|----|
q ui tant estoit	-⌫-|---|-----|
tranchan t	--------⌫|
et l ongeet lee	-|-⌫---|-|--|
moyses li hermi t eslot	-----|-|-----⌫-⌫-||-|
q ui yyans tousenti ers	-⌫-|-|--|---|----⌫--|
souentl auoitf orbie	-----||----|-⌫----|
quilnefue n runiie	-|-|-|-|-⌫-⌫-----|
netressalee	-|--------|
ete li esli a	-|-⌫--⌫-|-||
flancseree	----|----|
m ais la resnee rt ro mpue	-⌫--|-|----|-⌫-|--⌫---|
lapau me amont	-|---⌫-|----|
siendo nason fil	-|-|--⌫-|--|--|
biau sfiex che	----⌫|---|--|
li dusde xli saueres	-|--|--⌫|-|------|
te doinstpris	-|-----|---|
barnage longeduree	------|----|----|
armesast u molt	----|-|-⌫|---|
molt magree	---||----|
labronge cas	-|-----||-|
estsiseree	--|-|----|
onq ue sporcau p dela nc e	---⌫--⌫|--|---⌫|-|--⌫--⌫|
nef ufausee	-|-⌫|-----|
dontauésle	---|----|-|
testearmee	----|----|
ga ridemort	--⌫-|-|---|
engrantmellee	-|----|-----|
ainsnefuenba r e ́spor	---|-|-|----⌫-⌫-⌫-|--|
caupdespee	---||----|
lauos tre quaue ́scain te	-|---⌫--|-|---⌫-|----⌫-|
estsit empr ee	--|-|-⌫----⌫-|
nul e millor	---⌫|-----|
enyy contrees	-|-|-------|
se dex uos done	-|--|--|---|
et gran t sau d ee	-|----⌫|---⌫-⌫-|
n obliésmie	|------|--|
uostr e mere	-----⌫|---|
quic hi remaint sis eu le	--|-⌫-|------|-|-⌫--⌫-|
li hermitessentorne	-|-------||-|----|
sansdem oree	---|---⌫---|
ensacapeleen entre	-|-|-----|-|----|
quiestsacree	--|--|-----|
le sarmesdameldieua	--⌫|----|--------||
r e courees	-⌫-⌫------|
sia l enfant	-|||-----|
messe chan tee	----|----⌫--|
a iols tr estoutarm ésl a	-⌫---|--⌫-----|---⌫--|||
enmarchegai montaquant	-|--------|----|----|
etpend ia soncol sa	-|----⌫||--|--|-|
et prist segr o sse	-|----|-|--⌫-⌫--|
lanch eu iese enfumee	-----⌫|-⌫---|------|
a damel dieucommandee t	|-----⌫---|-------|-⌫|
pere e tmere	---|-⌫|---|
laot aldepart i rtel	-|-|-|------⌫-⌫|--|
doulous ee	-------⌫-|
porl e nfantes t	--||-⌫----|--⌫|
dameyy foi s	---|-|---⌫|
etaio ls s	-|---⌫-||
sansde moree	---|--⌫----|
e ttrespasse les boset	-⌫|--------|--|--|-|
lescontrees	--|-------|
moitaignesetlesu alees	---------|-|--|-⌫----|
r econquere lonor	-⌫--------||---|
dontsa mereesta	---|-|---|--||
tortesc aitiuee	---|---⌫------|
iam aisna ura repos s	---⌫--||-⌫--|----||
e rtaquitee	-⌫-|------|
f ranche ainsram en ee	-⌫-----|---|---⌫--⌫-|
mais i llara ancois	---|-⌫||--|-----|
moltd essiree	---|-⌫------|
et sil ara	-|-||--|
chier c om pere e	----|-⌫--⌫----⌫|
des or sen ua	--|-||-|-|
s a priscongie	||---|-----|
enunbose nentra	-|-|--|-⌫|----|
gra nt etpleni er	---⌫-|-|-----⌫-|
deyyli eues plenieresn	-|-|--⌫---|--------||
auoit plaisie	----|------|
neuile ner ec et por	-|---|-|-⌫--⌫-|--|
her bergier	---⌫------|
for se ula	--|--⌫-||
l ermitage	|-------|
cauo itlai sié	|---⌫-|---⌫---|
dam eldieureclamal eurai	---⌫-----|------|-⌫|---|
d ameldieussi reperes	-⌫--------|--⌫-|----|
droituriers	----------|
quilameret lemont	--|-|--|-|-|---|
asaiu gier	-||--⌫---|
tume garisdemort	-|-|----|-|---|
etdencomb rier	-||------⌫---|
iai men peremalade	|-|--|---|-----|
el boslaisié	-|--|------|
etensaignié	-|---------|
seiefuiraiporhom	-|-|-----|--|--|
quantlu n neconnoist	----||-⌫|-|-------|
lautr eetil li	|----⌫|-|-|-|
mo lt lai oi conte r	--⌫-||-|-|-----⌫|
des cheualiers	--|---------|
quan til sontbien armé	----⌫|-|---|---|----|
sorlesdestr i ers	--|--|-----⌫-⌫--|
ilbrocentlorceu axqui	-|------|--|---⌫-|--|
mol t uont bie n	---⌫|---|---⌫|
almiex qui lpeut l	-|---|-|-⌫|---||
autrer equiert	----|-⌫------|
granscossen	----|--||-|
do ner san satargie r	--⌫--|---⌫|-------⌫|
uersecillefaitbi en	----|--|-|---|--⌫-|
silnebr isentlo r	|-|-|--⌫----|--⌫|
lances sisonti rié	-----|-|---|-⌫---|
ilietent lortronch ons	-|-----|--|------⌫--|
iu salorpies	--⌫||--|---|
puis tra ientle s e spees	---|---⌫---|--⌫|-⌫----|
m erue lleuscossedonent	-⌫----⌫----|--|-|-----|
parmi les chies	----|--|----|
dameldi eusirepereien	-------⌫-|---|---|-||
neuiiouste	-|-|-----|
de cheuali ers	-|-------⌫--|
n e cenbelabast ir	-⌫|-----|-----⌫-|
comm enchier	----⌫------|
dontbroche	---|-----|
mar chegaison	---⌫-----|--|
boindestrier	---|-------|
etma rcheg aili sautyy	-|--⌫-----⌫-|-|---|-|
edi eusc ed ist	|--⌫--|-⌫|-⌫--|
aiolso rla	----|-⌫|||
iamaisiordeuie	-----|--|-|--|
quier cangier	----|------|
de sorsen ua	--⌫|-||-|-|
lenfesgentis	|----|-----|
le se ntierparlebos	-|--⌫----|--|-|--|
m o l tes m aris	-⌫-⌫-⌫|--⌫-⌫---|
dameldi e ureclama de	-------⌫-⌫|------|-|
glori eus fet	-----⌫--|--|
me fessi s	-|-----⌫|
etl eciel et leterre	-|-⌫|---|-|-|----|
asa baillir	-||------|
garisdemo rt	----|-|--⌫-|
etde peril	-|-|----|
aincneuicheual ier	---|-|-|------⌫--|
autreferir	----|----|
ne cenbel commench ier n e	-|-----|--------⌫--|-⌫|
mainte nir	------⌫--|
iadameldieuneplach e	-|--------|-|-----⌫|
qui lemo nt	--|-|--⌫-|
que p uisseentreren	--|-⌫----|-----|-|
francel eloeys	-----|-⌫|----|
saieueuiosterpar	|--|--|-----|--|
is sicau cunecose en	--⌫-||--⌫---|---|-|
aie appris	--|-----|
edi eussinefist	|--⌫--|-|-|---|
ilch emestauis	-|--⌫||--|---|
nefu issentla	-|--⌫-----|-|
auissifist	-----|---|
lasoie ua illant	-|---|--⌫-----|
c orsgent il	-⌫--|----⌫-|
e telie sesper es en	-⌫|---|--|---⌫-|-|
proi eaussi	----⌫|----|
ihesudes ai n tegloire	----|-|-⌫--⌫-⌫-|-----|
quinementi	--|-|----|
senprefust	-----|---|
mors u pris	---||---|
is sue delbos	--⌫--|--|--|
ens elchemin	--|-|-----|
ot yy cheualiers	-|-|---------|
etdesaud eemoltont	-|-|----⌫-|---|--|
assesportentauoir e t	----|------|----|-⌫|
uairetgris	---|-|---|
etargen t etdenieret	-|-----⌫|-|-----|-|
boinorf in	---|-|-⌫-|
del ost r o imibrien	-||--|-⌫-⌫|------|
furent parti	-----|----|
torn édepampelune	----⌫-|-|--------|
etcherkentles f ai r ier	-|-------|--|-⌫--⌫-⌫--|
etlesla iris	-|--|--⌫---|
dessenduendroit	-------|------|
por lors corsaaisier	--|---|---|------|
refroidi r	--------⌫|
en lombrese	-||----|-|
couchierent d	----------||
l orescuier bohordent sor	-⌫-|------|--------|--|
lo rroncin	--⌫|-----|
les escu slorsign or a	--|----⌫|--|----⌫-||
lorcausmis	--|---|--|
p oreusesban oier	-⌫-|--|-----⌫---|
seslaisseuers	|-------|---|
l autresel uait	|----|-||---|
touteplainesa lance	----|-----|-|----|
ius l abati	--||----|
et cilresautenpies	-|--|-----|-|---|
montee lro n cin	----|-⌫|--⌫-⌫--|
aiols lesre garda q ui	----|--|--⌫----|-⌫-|
delbosuint	--|--|---|
uolen ti ers et degreet	-----⌫--⌫--|-|-|--|-|
sisen rist	-||-|---|
etiuredame ldieu quine	-|---|----⌫----|--|-|
at endent acop	--⌫-----||--|
ilbrochemarchegais or	-|-----|--------|-⌫-|
coiil sist	--|-|---|
li ceuals lesen ti si	-|-----|-|---⌫-|-|
tressaill i	---------⌫|
desesperons a	--|-------||
ca rmolt auoitgrant	--⌫|---|----|----|
piechenessenti	-----||-|----|
f orsa lpremi ereslais	-⌫--|-⌫|-----⌫-|-----|
queelbo sf ist	--|-|--⌫|-⌫--|
il es t issus delbos	-|--⌫|----|--|--|
uintellairis	---|-|-----|
galopantua it uersaus	-------|--⌫-|---|--|
lies cuyerl	-|--⌫----||
lunsse sla isseuers	|--||-⌫---⌫---|---|
lautretousaati	|----|---|---|
grant co pliuaitdoner	----|--⌫|-|---|----|
sor les cu	--||--⌫-|
ma is tantestfors	--⌫-|---|--|---|
n auoitmilleur	|----|------|
en nulpais	-|--|---|
sa la nchepechoian a	-|--⌫---|------|||
plu sconquis	---⌫|------|
aiols f u cheualierspreus	----|-⌫|---------|----|
biensaficheel	---||-----|-|
destriern estpa s	-------||--|--⌫|
legloutonregarda	-|------|------|
fiertaussi	----|----|
de lescu liperc ha	-||---|-|----⌫-|
tain et uernis	---|-|-----|
g rant cop	-⌫---|--|
enmi lepis	---|-|--|
le ferde son espiel	-|--|-|--|-----|
el corslim ist	-|---|-|-⌫--|
to ut eplain esa la nche	--⌫--⌫|-----⌫|-|--⌫---|
mort labat i	---||----⌫|
encoreestoit ai olssi	-----|-----|--⌫--|-|
e n fan tis	-⌫-⌫---⌫--|
neliqui da malfaire	-|-|---⌫-|--|----|
remontéstost u allet sor	--------|---|-⌫----|--|
demainuostenés miexse	-----|--|-----|---|-|
cuiuers chedistli	------|--|---|-|
autrestu lasoci	-----|-||-|--|
aiols sedieu m a it	----|-|---||-⌫-|
ainsiquidaiiuerco n	----|-----|---|--⌫|
puisqu e c estui aimort	------⌫|-⌫----|-|---|
org ardeti	-|-⌫---|-|
en cor e sa raie	--⌫---⌫|--⌫-|-|
u plus grant il se	|---|----|-|-|
pe ut adeuenir	--⌫-|-------|
siredieusboine estr ine	---|----|----|----⌫--|
chouestlipremier	---|--|-|------|
hon con quesferi	--||--⌫---|---|
estil bien auis	--|-|---|---|
ie l ai och i	-||-|---⌫|
ord oinstde x	-|-⌫----|--⌫|
soitzzsarrasins	---|-|--------|
de sorgentchrestianene	--⌫--|---|---------|-|
cuiue rschedistli	-----⌫-|--|---|-|
autress iestoit il	-----|-⌫|-----|-|
maistulec omperas par	---|-|-|-⌫------|--|
entendi aiols	------|----|
lieendeui nt	--|-|----⌫-|
or fuaiol sl ienfes	-|-|----⌫|-⌫|----|
enmil e pre	---|-⌫|--|
et li yyescuiersont	-|-|-|------|---|
que lorcomp ainsgist	--|--|----⌫---|---|
morsenzz fosse	---|-|-|----|
aioltousirés	---|---|----|
il a brandielanste	-||------||----|
alferquar ré	-|--|----⌫--|
uait f e rir en lescu	---|-⌫-⌫--|-||---|
uiesenfumé	---|------|
ta nte stoitfors et	--⌫-|-⌫----|---|-|
du rsne stpa stro é s	--⌫-||-⌫-|--⌫|---⌫--⌫|
cheualierspreus	---------|----|
etmenbr és	-|-----⌫--|
bien safiche	---||-----|
destrier n	-------||
etquidieusueutaidi er	-|--|----|---|----⌫-|
iles t saués	-|--⌫|-----|
legloutonesgardasi	-|------|------|-|
e nmilepisli ra	-⌫--|-|--|-|-|
telcaupdoné	--|---|----|
quetresparm i lecors	--|---|----⌫|-|---|
l ifis tp as ser	-⌫|---⌫|-⌫--⌫--|
lab oi nelancetoute al	-|-⌫--⌫-|----|----|-|
ferqu aré	--|--⌫---|
quemortlaabatu	--|---|||----|
enmile pre	---|-|--|
c omme li doileuirent	-⌫---|-|--|-|-----|
sisont ire ́	-|---|---⌫|
i lnelement fuiants en	-⌫--------|-----||-|
sonttorné	---|-----|
uinr entas sarrasinssi	----⌫--|-|--------|-|
pormahometsignorcar	--|------|-----|--|
ch itrauersezz uallet	--⌫|-------|-|-----|
pa rmi chepre	--⌫--|--|--|
no s co mp aingonsamors	--⌫|--⌫--⌫------||---|
desarmesquei l porte	--|----|--|-⌫|----|
sanblemaufe	-----|----|
liyypaienlo ent si	-|-|----||-⌫--|-|
il saillirent en piessi	-|---------|-|---|-|
son t leué	---⌫|----|
et uinr entas cheuaus	-|----⌫--|-|------|
sont monté	---|-----|
et prendent le s escusa	-|-------|--⌫|----||
etsa isire nt leslance s	-|--⌫-----⌫-|--|-----⌫|
as fersqua ré	-|---|---⌫--|
uersledan sel	---|-|---⌫--|
eslaisentt out	--------|-⌫--|
etdiex g arisseaiol	-|---|-⌫-----|---|
p arsa bonte	-⌫-|-|----|
quilnes oitm orsne	-|-|-|-⌫--|-⌫--|-|
prisneafolé	---|-|-----|
sornese peut	|-|-|-|---|
deffen dre par sa	------⌫--|--|-|
ia lau eront ochis et	-||--⌫----|----|-|
nec ousinn	-|-⌫----||
orfu aiols lienfes	-|-|----|-|----|
enmi le pre	---|-|--|
et liyypaienlesle	-|-|-|----|--|-|
monté sontescheu ausde	-----|---|-|----⌫--|-|
lorcontree	--|------|
maisn orentqueyy	---||----|--|-|
targesa o rb endees	-----||-⌫|-⌫-----|
sorentyygroses lances	|----|-|-----|-----|
longesferees	-----|-----|
et l es autresestoient	-|-⌫-|-----|-------|
el campre mes es	-|---|--⌫---⌫-|
a s escuiersqui erent	-⌫|-------|--|----|
enmilapree	---|-|---|
etlip a iencheuauch e nt	-|-|-⌫-⌫--|--------⌫-⌫-|
arest erent	-----⌫----|
uer sledan sel	---⌫|-|---⌫--|
eslaissent grant a lenee	---------|----|-⌫----|
despai ens	--|---⌫--|
cri etraitre	---⌫|------|
fieu s aputai ngarcon	----⌫||-----⌫|-----|
traiés lespee	------||----|
selemebailliéstos t	-|-|-|--------|---⌫|
monescuieras	--|------|-|
estoitme sfrer e	-----|--⌫|----⌫|
aiol aiuré dieuqui	---||----|---|--|
estsa ueres	--|--⌫----|
durs queliau treer e	---|--|-|--⌫--|--⌫|
tucomperas anquiceste	-|-------|----|----|
ilbr ochemarchegaisans	-|--⌫---|--------|---|
li paienli trestornede	-|----|-|--------|-|
grans co s seuon tdoner	----|--⌫|-|---⌫|----|
es tar geslees	-|---⌫--|---|
li t urs brisesa	-|-⌫--|----|-|
de n euf feré	-|-⌫--|----|
maisli ai o l setien t	---|-|--⌫-⌫|-|----⌫|
quest en fumee	-|--|--⌫----|
quela targeli a	--|-|----|-||
frainteet tro ee	------|-|---⌫-|
e t labron gedel do s	-⌫|-|----⌫-|--|--⌫|
l i es tfausee	-⌫|--⌫|-----|
pa rmi outrelecor s li	--⌫--|----|-|---⌫|-|
est pass ee	--|----⌫-|
lal a nche	-|-⌫-⌫---|
at outle fe r	--⌫--|-|--⌫|
que mo rt la abat u	--|--⌫-|||----⌫|
e nm il epree	-⌫--⌫|-⌫|---|
uoixescrie	---|-----|
diex saut mon p ere	---|---|--|-⌫--|
tout es ses	----⌫-|--|
uieusesa rmes	------|-⌫---|
mo ntbiengardees	--⌫-|---|------|
fiexa putainpaien aués	---||-----|----|----|
p ire estuoneue lance	-⌫--|--|-|---|----|
del enfumee	-||------|
quime donroitdes	--|-|------|--|
neuueszzcaree	-----|-|----|
ne donroiela	-|------|-|
molt m agree	---||----|
puisalegrosselanc e	---||-|-----|----⌫|
tos trecouree	---⌫|-------|
contr emontuer s	-----⌫----|---⌫|
sil aleuee	-|||----|
dame ldieudistil	----⌫----|---|-|
g arissiéshu imonc ors	-⌫--------|--⌫|--|-⌫--|
uraissaueres	----|------|
etuafer i rzz	-|-|---⌫-⌫|-|
quisapresteue	--||--------|
qu ela targe l ia	--⌫|-|----|-⌫||
par mitrouee	---⌫-|-----|
lisarrasi n strestor ne qui	-|-------⌫-⌫|-------⌫-|--|
estsalanch e	--|-|-----⌫|
