kipetitsemmepetitque lt	-|----|----|----|---⌫-|
a mbesdeuslesoexli creuerent	-⌫-------|--|--|-|--------|
einsiles gens mort le trouer ent	----|--|---|---|-|------⌫--|
de ldoel delfilm orut li	--⌫|---|--|--|-⌫---|-|
e tieaiuiemolt amer e	-⌫|-|-|--|---|----⌫|
soffe rtepuis que	-----⌫--|----⌫--|
ilf u mor s	-|-⌫|---⌫|
uosestiez t ozlicon fors	--|-----|-⌫-|-|---⌫---|
qu e i o uauoieet t ozl ibiens	--⌫|-⌫-⌫|----|-|-⌫-|-⌫|----|
c aril n iauoitpl us des	-⌫-|-|||----|--⌫-|--|
rienplusnemauoi tdiex	---|---|-||----⌫|---|
dontiefuiss ei oiansne li ee	---|-|-----⌫|-⌫----|-|--⌫-|
liuallesententmoltpet it	-|-----|-----|---|---⌫-|
sa merelidi st	-|---|-|--⌫-|
a mengierfai tilme donez	|------|---⌫|-|-|----|
araisonn ez	--------⌫-|
moltmen i roie	---||-|-⌫---|
uolentiers	---------|
auro i qu ifai tlescheualiers	-|--⌫|--⌫|---⌫|--|---------|
eti eiraicuiquilem poist	-|-⌫|---|----|-|-|----|
la me retan tcomeilli	-|--⌫-|---⌫|---|-|-|
le retie nt e ts ile seiorne	-|-----⌫-|-⌫|-⌫|-|------|
apareilleet	--------|-|
decaneuas grossec hemise	-|------|-----|-⌫-----|
etbrai es faitesalagu ise	-|----⌫-|-----||-|--⌫--|
degale s ouonfait ensam ble	-|----⌫|-|-|---|-----⌫--|
braiesetcaucescemesambl e	-----|-|-----|-|-|-----⌫|
et siot cote acap eron	-|-|-|---||---⌫---|
decui rdecerf closeenuiron	-|---⌫|-|---|----|------|
einsilamer e l	----|-|---⌫||
trois iorssanzplus le demora	----|---|---|---|-|-----|
qu eplusn io tmestier losenge	--⌫|---|||-⌫|------|------|
lameredoel	-|---|---|
se lbaiseetaco leen	-||----|-|---⌫-|-|
etdistoreaiiedo el moltgrant	-|---|--|-|-|--⌫-|---|----|
bi axfixquan t aleruos	--⌫-|--|----⌫|---|--|
uosirez a l acort	--|---||-⌫|---|
silid irés	-|-|-⌫----|
quarmes uosd oinst	-|----|--|-⌫----|
deco ntreditn	-|--⌫------||
quil l esuosdonra	-|-|-⌫-|--|----|
m aisqu antceuennraa	-⌫--|--⌫--|-|-----||
darmes po rterc o mentertdon que s	|----|--⌫---|-⌫-⌫---|--|---⌫---⌫|
c eq ueuosnefeistesonques	-⌫|-⌫-|--|-|------|-----|
neautrui n e	-|-----|-⌫|
l ueiste s	|------⌫|
comentensarez	-----|-|----|
achieftraire	|----|-----|
maluais em entuoirece dout	-------⌫--⌫--|----|-|---|
m al serez	-⌫-|----|
afaitiez detout	-------|-|---|
q uiln estmerueillece	-⌫|-||--|--------|-|
ch econ a apris	--⌫||-||----|
m a isme r uei lleestqu anton n aprent	-⌫-⌫-|--⌫-⌫---⌫--|--|--⌫--|-||-----|
cequeon ot etuoit soue n t	-|--|-|-|-|---|----⌫-⌫|
biaxfix unsens	---|--|-|---|
u osweilaprendre	-⌫-|---|-------|
faitmo ltbon entendre	---|--⌫-|--|-------|
et sil uosplaist	-||-|--|-----|
are ten ir	|--⌫---⌫-|
gransbiens uosenp orr a uenir	----|----|--|-|-⌫---⌫|----|
cheu aliersser eziusqua	----⌫-----|---⌫-|----||
fixsed ieuplaist et	--|-|-⌫--|-----|-|
se uostrouez	-|--|-----|
ne p resne loing	-|-⌫--|-|----|
dam equ id aieait	---⌫|--⌫||--|--|
nepucel e desconsei llie	-|-----⌫|---------⌫---|
aide appareil lie	---|--------⌫--|
lor soits eleuosenrequierent	--|---||--|--|-|---------|
cart otes honor s i affierent	--|-⌫---|-----⌫||--------|
quiasdameshono rneporte	--|-|----|----⌫|-|----|
lasoehonord oit estre morte	-|--|----|-⌫--|----|----|
dameset pucelesser uez	----|-|------|---⌫--|
par touthonerez	--|---|------|
maisse uos alcune enproi ez	---|-|--|-----|-|----⌫-|
ga r d ezquenel i	--⌫-⌫-⌫-|--|-|-⌫|
de nule rienqui lides plaise	-|---|---|--|-|---⌫-----|
depuceleamoltqui	-|-----||---|--|
selelebaisier	|--|-|------|
uosco nsent	--|--⌫----|
les o rplus ieuosendesfe nt	-|-⌫-⌫----|-|--|-|-----⌫-|
se laissie r l euolezpor moi	-|-------⌫|-⌫|----|--|--|
maissele a	---||--||
anel enson doi	---|-|--|--|
ne asa corroieal mosnier e	-||-|------|--⌫-------⌫|
sep aramorouparp roiere	-|-⌫-|---|-|--|-⌫-----|
leuos do nebonm ertetbel	-|--|--⌫-|--||--|-|--|
que u ose mportezs on ane l	--|-⌫-|-⌫------|-⌫-|---⌫|
delanelprend r euos doinzgie	-||---|-----⌫-⌫|--|----|--|
etde laumosnierecongie	-|-||---------|-----|
encoruosu e ildir eel	----|--|-⌫-⌫-|---⌫|-|
queencheminneen hostel	--|-|-----|-|-|-----|
n aiezlong uem entcompaignon	|---|----⌫---⌫--|---------|
que uosne demande z	--|--|-|-------⌫|
et cesachieza l aparsome	-|-|------||-⌫|------|
pa rl esor nonconn oist onl	--⌫|-⌫|---⌫--|----⌫---|-||
biax fixas preudomesparlez	---|--|-|--------|-----|
e t lor compaig nie tenez	-⌫|--|-------⌫--|----|
preudomne forco ns eille mie	------|-|-----⌫--⌫----|--|
ciaxquiti e nentsacompaignie	---|--|--⌫-⌫---|-|---------|
sor toterienuo s	--|---|---|--⌫|
weilp roier	---|-⌫----|
queale gliseetalmosti er	--|||-⌫----|-|-|-----⌫-|
alezpro iernostreseignor	---|---⌫--|-----|------|
quencest siecle uos	-|-|---|-----|--|
doins th o nor	-----⌫|-⌫-⌫--|
et si uoslaistsico ntenir	-|-|--|----|-|--⌫-----|
quabo nefinpuissiezuenir	-||--⌫-|--|-------|----|
mer efaitilquee stegl ise	---⌫|---|-|--|-⌫-|---⌫--|
fix oule nfaitledieuseruise	--|-|--⌫|---|-|---|------|
celuiquicie l etterref ist	----|--|---⌫|-|----|-⌫--|
etho mesetfeme simist	-|--⌫--|-|----⌫||---|
etmostiers coifixcemeisme	-|-------|--|--|-|-----|
u nemaisonbel e	-⌫-|-----|---⌫|
et saintisme	-|--------|
acorssain settresors	|---|----⌫|-|------|
sacre fionle	-----⌫---|-|
ihe su cristle	---⌫-|----|-|
prophete sainte	-------|-----|
cuiiui ff isent ho nte mainte	--|---⌫|-⌫----|--⌫--|-----|
etiugiez a	-|-----||
etsoffri angoisse demort	-|-----|-------|-|---|
p or l eshomeset	-⌫-|-⌫-|----|-|
por les fames	--|--|----|
q u eni nfe raloientl esames	-⌫|-|-⌫---⌫|------|-⌫-|---|
quant eles	----|---|
par toientdes cors	---⌫-----|--|---|
eti l le senregetafors	-|-⌫|--⌫|-|-----|---|
s i fualestacheliiez	-⌫|-|||------|----|
bat usetp uis	---⌫-|-|-⌫--|
cru cef iiez	---⌫---⌫---|
etportacor on esd	-|----|---⌫--⌫-||
por oir messesetm atines	--|--|-----|-|-⌫-----|
seigno raorer	------⌫|----|
uos loiou al mostiera ler	--|-|--|-|------|-⌫--|
atantniotpl us dedemore	----|||-|--⌫-|-|-----|
congie prentet lamereplore	-----|----|-|-|---|----|
etsa seleli fuiamise	-|-|---|-|-|-|---|
alam anier eetala guise	|-|-⌫-----⌫|-||-|----|
dega lesfuappareilli ez	-|--⌫--|-|----------⌫-|
unsreuelinsoten	--|-------|-|-|
etp artoutlaouil aloi t	-|-⌫-|---|-|-|-|----⌫|
troi s g auelos porter soloit	----⌫|-⌫-----|-----|-----|
sesgauelosen uelt p or ter	--|------|-|---|-⌫--⌫--|
maisdeuse nfis ts amereos ter	---|---|-⌫|---⌫|-⌫|---|--⌫--|
por chequetro psamblastgalois	--|--|--|---⌫|-------|-----|
si eustel efaittoztrois	-|---|--⌫|---|--|----|
mo ltuolen tierssilpe us testre	--⌫-|-----⌫----||-|--⌫--⌫|----|
uneroorte en samai ndestre	--|-----|-|-|---⌫|-----|
portapor son	----|--|--|
che u a lfe rir	---⌫-⌫-⌫|--⌫--|
plo ra nt leb ai se audepartir	---⌫--⌫-|-|-⌫--⌫-|-|-------|
la merequi	-|---|--|
et priedieu queill auoit	-|---|---|--|-||----|
bia x fixfaiteledi x uosm a int	---⌫|--|---|--|--⌫|--|-⌫-⌫--|
ioi eplusqu	---⌫|---|-|
il ne menremaint	-|-||-|------|
uo sdoinstil ou queuosailliez	--⌫|-----|-|-|--|--|------|
uallesfu eslon g iez	-----|-|-----⌫-⌫--|
pierremenue	-----|----|
siseregardee tuoitcheu e	-|-|------|-⌫|---|----⌫|
samere alpi edelpontarriere	-|---|-|--⌫|--|---|------|
etiut pasmee entel	-|--|-----|-|--|
c omselefust	-⌫-||--|---|
cheue morte	----|----|
et cilc in gledeleroorte	-|--|-⌫--⌫--|-|-|-----|
s on chaceor parmi lacr oupe	-⌫-|------|----|-|--⌫---|
uaque pasna coupe	-|--|--||-⌫----|
ains l enport e	---||------⌫|
gran taleure	----⌫|-----|
parmilegrantforesto sc ure	----|-|----|-----|-⌫--⌫--|
etcheualchade sle	-|--------|--⌫|-|
tant queliiorsu int adeclin	----⌫--|-|---|-⌫--||-----|
forest celenu itiut	-----|---|--⌫-|--|
tant queliclersiorsaparut	----⌫--|-|----|---|-----|
a umain a u chantdesoisele s	-⌫|---|-⌫|----|--|------⌫|
selieue etmonte	-|----|-|----|
saacheminerentendu	|||-------|------|
tant queiluitun treftendu	----⌫--|-|--|-|---|----|
enun epraerie bele	-|--⌫|------|---|
rieu d un ef ont enel e	---||--⌫|-⌫---⌫----⌫|
litref fub iaxagra nt meruei ll e	-|---|-|-⌫--||---⌫-|------⌫--⌫|
lunepartie f uuermeille	|--|-----|-⌫|--------|
e tlautrefu	-⌫||----|-|
dorfr oi s	|----⌫--⌫|
un e aig ledoree	--⌫|---⌫-|----|
enl aigleferoit	-||----|-----|
li s ol aus	-|-⌫--⌫--|
qui mol t estoi t	--|---⌫|-----⌫|
clersetuermaus	----|-|------|
sireluis oienttoutli	-|------⌫----|---|-|
enluminement delt re	-----------|--|-⌫-|
ento rletrefalaroonde	----⌫|-|---||-|-----|
qui estoitl ipl usbiax delmonde	--|-----|-⌫|--⌫-|---|--|----|
auoit rameesetfoi llies	----|-----|-|---⌫----|
et lo gesgale schesdrechi es	-|--⌫--|----⌫----|------⌫-|
liuallesuersletr efala	-|-----|---|-|--⌫-|--|
etdistainsqueil	-|---|------|-|
diex oruo iieuostre	---|-|--⌫|-|-----|
o rferoieioumesprison	-⌫|-----|--|--------|
uoirdistmame re toteuoie	---|---|-|--⌫-|---|---|
quim edi stque m os tiersestoit	--|-⌫|--⌫-|--|-⌫--⌫----|-----|
lap l usbelechose qui soit	-|-⌫-⌫-|---|----|--|---|
que ianetrouaisse	--|-|-|--------|
mostie rquaorerni a lai sse	------⌫|-|----|||-⌫---⌫--|
le crea torencuiie croi	-|----⌫--|-|--|-|---|
ie li irai	-|||---|
p riierp ar foi	-⌫----|-⌫-|--|
quilme doinst anqui am engier	-|-|-|-----|----||-⌫-----|
quei en aroi egrantmestier	--||-|----⌫|----|------|
lorsuient au trefsel	---|----|-|---|-||
troueouert	----|----|
enmiletrefu nl itcou ert	---|-|---|-⌫|-⌫-|---⌫--|
d une coltedepaileuoit	|--|----|-|----|---|
ellit to utese ulegisoit	-|--|--⌫--|--⌫--|-----|
unepucelete en dormie	--|-------|--⌫-----|
elbosestoitsa	-|--|-----|-|
compaigni e	---------⌫|
al eeseren t sespucele s	--⌫--|----⌫|--|------⌫|
porcoillir floretesnoueles	--|------|-------|------|
letrefionc hier	-|---|----⌫---|
ensicomfa irelesolo ient	---|--|--⌫--|-|----⌫---|
uall esent refen t ra	----⌫-|-|-⌫--|--⌫-⌫-|
s escheua xsifortsesproha	-⌫-|-----⌫|-|---||------|
que la damoisele l oi	--|-|--------||-|
sises ueil la ett ressali	-||--⌫----⌫-|-|-⌫------|
et liualles	-|-|-----|
quini chesfu	--|--⌫---|-|
distpucel eie	---|-----⌫|-|
s i com ema mere le	-⌫|---⌫|-|---|-|
mamere menseignaetd ist	-|---||-------|-|-⌫--|
quele s pucelessaluaisse	--|--⌫|------|--------|
enquelqueliuqu ei es	-|------|--|--⌫||-|
lapucelede paortramble	-|-----|-|---|------|
por leualletqui	--|-|-----|--|
fol slisamble	---⌫|-|-----|
si se tie ntp orfole proue e	-|-|---⌫-|-⌫-|---|-----⌫|
d e chequilla soletroue e	-⌫|--|-|-|||---|-----⌫|
ualletfai t ele tie nt auo i e	-----|---⌫|--|---⌫|-⌫|--⌫-⌫|
fuiquemes amisne teuoie	--|--|--|---|-|-|---|
a insuosbaisera iparmonchief	-⌫--|--|-------⌫|--|--|----|
fait liuallescuiqu ilsoit	---|-|-----|----|-|---|
mensai gna	|-----⌫--|
ie uoirnetebais e rai	-|---|-|-|----⌫-⌫--|
fa itl ap uce leque iepui sse	--⌫-|-⌫|-⌫---⌫-|--|-|---⌫--|
fuique mesamisnete tr uiss e	--|--|--|---|-|-|--⌫----⌫|
ques il te	--||-|-|
troue tues mors	----|-|-|---|
liualle sauoitlesb r a s fors	-|-----⌫|----|--|-⌫-⌫-⌫|---|
silembra chamoltnichement	-||-----⌫--|---|--------|
car ilne lsot faireautrement	--|-|-||--|----|--------|
m is t lesoz luitote estendue	-⌫--⌫|-|--|--|---|-------|
etcele sest molt	-|---||--|---|
etgandillaquanqu ele	-|-------|-----|--|
m aisdesfensemestierni ot	-⌫--|-------|------|||-|
q ue liualles enun ran don	-⌫-|-|-----|-|-|---⌫--|
lebaisauol si steleou non	-|----|---⌫--⌫-|--|-|--|
setfoissicom	--|---|-|--|
li contes dit	-|-----|--|
tant c u nanel en sondoituit	----⌫|-⌫|---|-|--|---|--|
auneesmeraudem oltclere	|--|--------|-⌫--|----|
encorme dis t faitilma	----|-|---⌫|---|-|-|
q uenuostre doit l a nelpr esisse	-⌫|-|-----|---||-⌫--|--⌫-----|
nequerie n plusneuosfesisse	-|--|---⌫|---|-|--|------|
orc h alanel	-|-⌫-⌫||---|
ie lwei lauoir	-||---⌫|----|
monanelnarastuiau oir	--|---||---|-|-|-⌫--|
fai t lapuceleb ienlesaches	---⌫|-|-----|-⌫--|-|-----|
sa forcedel doi t ne	||----|--|---⌫|-|
l mesrache s	||-------⌫|
liual lesparlepoing leprent	-|---⌫--|--|-|----|-|----|
aforce led oi tliestent	|----|-|-⌫--⌫|-|-----|
si al ane lensondoitpris	-|||---⌫|-|--|---|---|
eten son doitmeisme	-|-|--|---|-----|
e t distpucelebie naiez	-⌫|---|-----|---⌫|---|
orme ni rai ie bienpaiez	-||-⌫|-⌫--|-|---|----|
meillor b ai sieruosfai t	------|-⌫--⌫---|--|---⌫|
qu echa mberiere queil	--⌫|---⌫-------|--|-|
e ntoutela	-⌫|----|-|
maisonmamer e	-----|-|---⌫|
carnauez paslaboucheamere	--||---|--|-|-----|----|
pleur e et d i st uallet	-----⌫|-|-⌫-⌫-|-----|
nenport epas monanelet	|------⌫|--|--|-----|
que i en seroie	--||-|-----|
mal baill ie	---⌫-----⌫-|
ettuenperd roiesla	-|-|-|----⌫----|-|
qu equ iltardast iel	--⌫--|-|------|-||
liuallesasoncuernemet	-|-----||--|---|-|--|
riennuledeche queil ot	---|---|-|--|--|-|-|
mais d echequeieunéot	---|-⌫|--|--|-----|-|
moroitde faina male	-----|-|---||---|
unbouc h el troue plaindeuin	-|----⌫-⌫-|----|----|-|--|
etun hana pda rgent selonc	-|-|----⌫||-⌫----|-----|
etuoi tsoruntrossel de ionc	-|---⌫|--|-|------|-|---|
un e toaille blancheetnoeue	--⌫|------|------|-|----|
ille sozlie ue etdes oz troue	-|-|------⌫-|-|---⌫-|----|
troisbonspastez dechi eu rolfres	----|---|-----|-|---⌫--⌫--|---|
ne li anuie pascismes	-|-|----|--|--|--|
po rlefain qui formentl angoi s se	--⌫|-|---|--|------||-----⌫-⌫-|
undes p astezdeuant	-|--|-⌫----|-----|
lui froisse	--|------|
etmenguepa rgrant talent	-|-----|--⌫|----|-----|
etuerse enlacol pe d arge nt	-|----|-|-|---⌫-||----⌫-|
d eluin qui nestoitmielais	-⌫-|--|--||-----|--|---|
senboitsouente tagranstrais	|-|---|-----|-⌫||----|----|
etdistp ucelecistpaste	-|---|-⌫----|---|----|
nestroient huip armo igas té	|--------|--|-⌫-|--⌫|---⌫--|
u enez mengierquilsont mo ltbuen	-⌫---|------|-|-|---|--⌫-|---|
as se zau rachascuns del su en	--⌫--⌫|--⌫-|-------|--|--⌫-|
senirem an drauns	|-||---⌫--⌫--|--|
etcelepleureen dementi ers	-|---|-----|--⌫-------⌫--|
quequecillipr ie et	-----|--|-|--⌫-|-|
conque s unmot nelir es pont	|-----⌫|-|--|-|-|-⌫--⌫---|
ladamoise leainspleurefort	-|-------⌫-|---|-----|---|
moltdur em ent sespoinsd etort	---|---⌫--⌫--|--|----|-⌫----|
etcil menga	-|--|----|
tantcom luiplot	---|--|--|---|
etbuttantq ue asse zen	-|--|-----⌫-|----⌫|-|
etpristcongietot ma int enan t	-|----|-----|--|--⌫---⌫----⌫|
si recourilereman ant	-|------|-|-----⌫--|
puiscomanda a	---|------||
dieu c eli	---|-⌫--|
cuisessaluspointnabeli	--|--|----|----||----|
diex u o s	---|-⌫-⌫|
saltfaiti lbeleam ie	---|---|-⌫|---|--⌫-|
ma isp ordieune	--⌫-|-⌫-|---|-|
u ospoinst	-⌫-|-----|
deuostre anelseielenport	-|-----|---|-|-||-|---|
carainsqueiemuire de	--|------|-|----|-|
leuosguerredonerai gie	-|--|------------|--|
ie m enuois	-||-|---|
auo strecongie	|--⌫---|-----|
ple ure et dis tque	---⌫--|-|---⌫|--|
adieune l e comandera	|---|-|-⌫|--------|
car il li conuenra	--|-|-|-------|
auoirgrant hon t ee tgrantan ui	----|----|---⌫-⌫|-⌫|----|--⌫-|
en otnuleche tiue	-|-|---|---⌫---|
luita ntcome	--|--⌫-|---|
n ena u rasecorsne	|-|-⌫-⌫-|-----|-|
si sachebienquil	-|----|---|-|-|
eins ire m est cele plorant	----⌫|--⌫-⌫--|---|------|
puis nalagairesdemorant	---||--|-----|-------|
amisdelbosreuint	---|--|--|-----|
de lualletquis auoi e tint	--⌫|-----|--|-⌫|---⌫|---|
esclo ssi ligreua	-----⌫|-|-|----|
et samieplor ant troua	-||---|----⌫--|----|
sidistdamoseleiecro i	-|---|-------|-|---⌫|
acesensaignesqu echi uoi	|--|--------|--⌫|--|--|
queche ualiera eu c hi	--|---⌫-----||-|-⌫-|
nonasireieuos affi	--||---|-|--|---|
maisunualle t galoi siot	---|-|-----⌫|-----⌫||-|
anie usetuilainetsot	----⌫-|-|-----|-|--|
qui a deu ostre	--||-|-⌫----|
tantc omlui plotetbellifu	---|-⌫-|--|---|-|--|-|-|
e tmenga deuostroi spastez	-⌫|----|-|--|----⌫|-----|
et porcebelesi	-|--|-|---|-|
sileustbeuet	|-|---|--|-|
trest o ti che uolsi sse gie	-----⌫-⌫|-⌫--|-----⌫--|--|
ilia p l ussiredist	-|||-⌫-⌫-|---|---|
m esaniaxes t en	-⌫-|----|--⌫|-|
la querele	-|------|
quillematolu	-|-|-|||---|
si le nporte	-||-⌫-----|
ieuolsis sem ixestremorte	-|------⌫-|-⌫-|----|----|
l eustens iempo rté	|---|---⌫|----⌫---|
ez uosceluid esconforté	-|--|----|-⌫----------|
etangoisseusen s o n corage	-|---------|-|-⌫-⌫|-----|
parfo if aitil cia outr age	--|--⌫|-⌫--|-|-||----⌫--|
etdesqu i ll enporte si	-|----|-⌫||------|-|
mai s iequitquiliot plus f a it	---⌫|-|---|-|-||-|---|-⌫-⌫-|
seplusio t nelcelezia	-|---||-⌫|-||----|-|
s ire disteleil	-⌫--|---|--|-|
bai s auoire i eluosdi	---⌫-⌫|----|-⌫||--|-|
mais cefum aleoitgremien	---|-|-|-⌫-----|--|---|
aincoisuossistetsi	------|--|---|-|-|
onquesnul contredit n	-----|--|--------||
fa itcilcui ialosieangoisse	--⌫-|--|--|------|-------|
cuidiez que ie	------|--|-|
ne uosconoi sse	-|--|-----⌫--|
sif ascert es	-|-⌫-|----⌫-|
bienuo sconois	---|--⌫|-----|
nesuisiborgnesnesi lois	-|--|-|------|-|-|---|
qu e uostref al setene uoie	--⌫|-----|-⌫--⌫---|-|---|
entree este senmaleuoie	-----|----⌫|-|---|---|
ent r eeestes enmalepai ne	---⌫-⌫-|----|-|---|---⌫-|
neiane mengerad auaine	-|-|-|------||-----|
uostre cheuaxne ni ertsaig niez	-----|-----|-||-⌫--|----⌫---|
iusque iem	-----|-||
ensoieuengie z	-|---|------⌫|
etlaouil desfeer r a	-|-|-|-|-------⌫-⌫|
iamais referez	-----|------|
uosme siurrezapie	--|-|------||--|
ne iam a isneser ontchangié	-|---⌫-⌫-|-|---⌫--|-------|
lidrapdontuos estes uest ue	-|---|---|--|----|----⌫-|
ainz m esiurrez a pieetnue	---|-⌫|------||--|-|--|
tantquelat esteenauraiprise	------|-|-⌫---|-|----|----|
ianenferaiaut r e iustise	-||-|----|---⌫-⌫|------|
ata ntsa ssistetsi me nga	---⌫-||-⌫----|-|-|--⌫--|
et l iu all es tantcheu alcha	-|-⌫|-⌫---⌫-|---|----⌫----|
quiluit un carbonier uen ant	-|-|--|-|--------|---⌫--|
u n asnedeuantlui menant	-⌫|---|-----|--|-----|
preudomfait	------|---|
il e nsaignemoi	-|-⌫------|--|
qu il asnemaines de uant	--⌫||---|-----|--⌫---|
droiteuoi eacardoeil	-----|---⌫||-------|
lirois artus que ueoir weil	-|---|----|--|----|---|
ifait ch eua lierscedist	|---|--⌫---⌫----|-|---|
ualletf aitil	-----|-⌫--|-|
enicestsen	-|----|--|
auncha stelsormerassis	|-|---⌫---|--|--|----|
leroia rtub iax dols ami s	-|--|-⌫--|-⌫--|---|---⌫|
lie et dolantitrouera s	--|-|-----||-------⌫|
c hastelsetuiu as	-⌫-----|-|-||-⌫-|
ormediras tuiamonwel	-|-|----|-|-|--|--|
d e coi l ir oi saioie	-⌫|--|-⌫|-⌫--⌫||---|
ieltediraifait ilmol t	-||-|----|---|-|---⌫|
li rois art us et tou te	-|---|---⌫-|-|---⌫-|
s est auroir ioncomba tus	|--|-|--|-⌫--|-----⌫--|
liroisdes il lesfuuencus	-|---|--|--⌫--|-|-----|
etdecestliro is ar tu s	-|-||--|-|--⌫-|--⌫--⌫|
etdesescompaignonsi riez	-|-|--|----------|-⌫---|
quiaschas tiax	--|-|----⌫---|
sedepartirent	-|----------|
meillo rseioruirent	------⌫|----|-----|
setc omentillor ua	--|-⌫----|-|--|-|
ceestlid oels	-|--|-|-⌫---|
queliroisa	--|-|---||
liual lesnepriseunde nier	-|---⌫--|-|----|-|--⌫---|
les noueles auch arbo ni er	--|------|-|--⌫----⌫--⌫-|
forst antqueen	---|-⌫-----|-|
la uo ieentra	-|--⌫-|----|
ou illimo s tra	-|-|-|--⌫-⌫--|
tan t quesor meruit u n chas te l	---⌫-⌫--|--|--|--|-⌫|----⌫--⌫|
moltbienseant etf ort	---|---|----|-|-⌫--|
etuoit issirparmi lap orte	-|---|----|----|-|-⌫---|
un cheualierarmé qui	-|--------|----|--|
une colpedor en sa	--|----||-|-|-|
sa lanc etenoit etson	-|----⌫|-----|-|--|
etson escu	-|--|---|
enlasenestre	-|-|-------|
et lacolpe	-|-|----|
dor enla destre	|-|-|-|-----|
etle s arm esb ie n lis eoient	-|--⌫|---⌫-|-⌫--⌫|-|-⌫-----|
quitoute s uerm eilleses toien t	--|-----⌫|----⌫-----|--⌫-----⌫|
li uallesuit les	-|-----|--|--|
ar mesbeles	--⌫--|----|
q uitotesestoient n ouel es	-⌫-|----|-------|-⌫----⌫-|
si lipleurentet dist parfo i	-|-|-------|-|---|--|--⌫|
ce sdemande rai	--⌫|-------⌫--|
le smedone belmen iert	--⌫|-|---|--||-|---|
etdeha isa itquiautresquier t	-|----⌫-|-⌫-|--|-----|-----⌫|
atan tuerslecha stel	----⌫|---|-|---⌫---|
que tart lie stq u	--|---|-|-⌫-|-⌫|
iluiegne acort	-|-----||---|
t antq uepresdelcheualieruint	-⌫----⌫-|---|--|--------|---|
etli cheualiers leretint	-|-|---------|-|-----|
unpetitsilidemanda	-|----|-|-|------|
ouenuas tuuall et diua	-|-|--|-|----⌫-|---|
faitilacortaler	---|-||---|---|
l eroi cesa rm esd emand er	-⌫|--|--|-⌫--⌫-|-⌫-----⌫-|
ualletfaitiltuf eras	-----|---|-|-|-⌫---|
o r u a dont to st et sireuien	-⌫|-⌫|---|--⌫-|-|-|-----|
ettant dir asalmauuais r oi	-|---|---⌫-|-|------|-⌫-|
quesil n euelt	--||-|-⌫|---|
tenirdemoi	----|-|--|
sater requeille me r e nd e	-|---⌫-|--|-|-|-|-⌫-⌫--⌫|
enuoitqui ladesfe nde	-----|--|-|-----⌫--|
uers moiquid ique ele	---|--|--|-⌫|--|--|
etace s ensaignest	-||--⌫|--------||
q ue deuant	-⌫-|-----|
luiprisorendroit	--|---|--------|
atotleuin queil	|--|-|--|--|-|
cesteco lpe queie c hip ort	----|--⌫--|--|-|-⌫-|-⌫--|
or quier e autre quili recort	-|-----⌫|----|--|-|-----|
iamotentendu	||--|------|
iu sq ualacortna atend u	--⌫--⌫||-|---|||-----⌫|
roi set licheual ier	---⌫|-|-|------⌫--|
est o ientass isalmengi er	---⌫-⌫---|---⌫-|-|-----⌫-|
la s a le fuparterreaual	-|-⌫-⌫-|-|--|----|---|
e t li u allesentreacheual	-⌫|-|-⌫----|----||-----|
salequi fupauee	---|--|-|----|
etlongueautret antcomelee	-|-----|------⌫--|---|--|
et liroisar tusert	-|-|---|--⌫--|--|
a uchie fdelatab le	-⌫|----⌫|-|-|---⌫-|
ch eu alierrioient	--⌫--⌫----|------|
etl iunas autres gaboient	-|-⌫|-|-|-----|-------|
forsil qui pensisfu	---|-|--|-----|-|
liuallesest aua ntuenus	-|-----|--|---⌫-|----|
n i lnesetlequel il	|-⌫|-|--|-|---|-|
car le roi mieneco nu t	--|-|--|--|-|--⌫--⌫|
tantqu iuone scontrelui uint	-----|-----⌫|-----|--|---|
qui un coutel	--|-|-----|
ensa ma in	-|-|--⌫-|
ua ssalf a i t	--⌫---|-⌫-⌫-⌫|
il tuqu icauien s	-|-|--⌫|-|----⌫|
quicecou telentam ainti ens	--|-|---⌫--|-|-|-⌫--|--⌫--|
mostrem oiliquelsest	-----|-⌫-|-|----|--|
yuo n es quimolt	---⌫-⌫-|--|---|
lidistamisueez lel a	-|---|---|---|-|-⌫|
et cil tanto stuerslui ala	-|--|-----⌫-|---|--|--|
selsalua si come ils ot	-||----|-|---|-|-⌫-|
liro ispens aet nedis tmot	-|--⌫-|----⌫|-|-|---⌫|--|
et cilautref oisl	-|--|----|-⌫--||
liroi sf ort	-|---⌫|-⌫--|
penseet mot	----|-|--|
par foi distliuallesadonques	--|--|---|-|-----|-------|
nefistch eua lieronques	-|---|--⌫---⌫---|-----|
comentp orroitcheualie rfaire	-----|-⌫-----|--------⌫|----|
quantonnen puetpa role	----|-||-|---|--⌫---|
tantost delre torner	------|--|--⌫-----|
le ch iefdesonchace or torne	-|--⌫--|-|--|-----⌫-|----|
ma issipresdel roil otmené	--⌫-|-|---|--|--||-|----|
aguise d ome	|----||--|
qu edeuan tluisanznu lefable	--⌫|-----⌫|--|---|--⌫-|----|
li abat idesorla tab le	-|----⌫|----|-|---⌫-|
del chiefunc hapeldebonet	--|----|-|-⌫----|-|----|
liroistorneuersleuallet	-|---|----|---|-|-----|
le chief q u e il	-|----|-⌫-⌫|-|
t enoitbaissié	-⌫----|-------|
totso npense laiss ié	--|--⌫|----|-----⌫--|
et di st biaxfre rebienueign i ez	-|--⌫-|---|---⌫-|---|-----⌫-⌫-|
