aladolour del	|-|-----|--|
b uezm aingier enplus orse nefie	-⌫--|-⌫------|-|----⌫-|--⌫----|
al cuns ueirdecoll eirde sesannemisestre s ormo nteissenefie	--⌫---|---|------⌫--|-|--|------|----|-⌫----⌫----|------|
desciendresoiueirdam ai ge	---------|--|---|---⌫--⌫-|
ens emble l ait desos	---⌫----|-⌫--|----|
en fa nsiorssenefie.	--⌫--⌫-|---|------||
deusacre fie rga ingnesene fie .	--|-----⌫---⌫|--⌫----|----⌫--||
deu aore irioie	--|----⌫-|---|
maisone difier	-----|-⌫-----|
cre isementsene fie	---⌫------|----⌫--|
se maisona rdoir	-|-----|-⌫----|
ueirnulleb ien	---|----|-⌫--|
senef i e.	-----⌫-⌫||
a l cuni ure irueir	-⌫-⌫--|-⌫---⌫-|---|
seguret eit uenf er teitsenefie.	-------⌫--||---⌫--⌫---|------||
s or blankec heualseirumon tei r	-⌫-|-----|-⌫----|---||---⌫---⌫|
b o ne auenture	-⌫-⌫-|-------|
sornoircheua l seiranguossenefie .	--|---|-----⌫|---|-----|------||
f or sdelcontre iealconueiran guos	-⌫--⌫|--|------⌫-|----|---|--⌫---|
sen e fie.	---⌫-⌫--||
despoilhiétal cun ueir damaige	-----------|--⌫--|---|------|
olifan sueir	------⌫|---|
h ono rs se ne fie .	-⌫---⌫-|--⌫--⌫--||
ac hate iru uendretr i ste cesenefie.	--⌫----⌫-||-----|--⌫-⌫---⌫-|------||
sorson cheuals e ir detriementse ne fie.	--|--|-----|-⌫-⌫-|---------|--⌫--⌫--||
c ha strersegu reteitse ne fie.	-⌫--⌫----|----⌫-----|--⌫--⌫--||
sorcheualchastréseirului ueiracusement	--|-----|-------|---||--|---|--------|
cheual chenuueirdamaige	-----|----|---|------|
fo ntaineuei ra ng uosse senefie.	--⌫-----|---⌫|-⌫--⌫----|------||
se faiceueir enagueuult rel	-|----|---|-|---||---⌫-||
aiguelongeu ie auoirsene fi e.	----|----|-⌫-|----|----⌫--⌫||
sefaiceauo irl ai de	-|----|---⌫-|-⌫--⌫-|
d et riemence a	-⌫--⌫-------||
pechiet senefie.	------|------||
soi ferir ueirdefer segurete itsenefie .	--|----|---|-|--|--------⌫-|------||
fertraitiere nferteit sene fie.	--|-------|-⌫-------|----⌫--||
fluurai nepasse irsegurete it	-------⌫-|-----⌫-|--------⌫-|
fluueto rble	----|--⌫---|
pa sseir angouse	--⌫----|------|
fluuec leir	----|-⌫---|
passeirsegureteitsenefie.	------|---------|------||
flu ursprendreucolhier	---⌫--|------||------|
chalengefontaineueir ue neleschai rioie senefie	-------|-------|---||-⌫|---|----⌫|---|------|
bellefaiceauoir honoursene fi e.	----|----|----|-----|----⌫--⌫||
fontainneboi rega ingnesenefie .	--------|---⌫-|--⌫----|------||
faisseis auoirlonges	-------|----|-----|
s en efie .	-⌫--⌫---||
fromisueir io ieutenchonfro mentm anierenfermeteitsenefi e	-----|---|--⌫-||------|---⌫---|-⌫----|----------|------⌫|
frer esetsereou rs uues	----⌫-|-|------⌫-|---|
elogierioie senefie	------|---|------|
miezensanl eboir awec	---|------⌫|---|---|
ui en enfermeteit se nefi e.	--⌫-|----------|--⌫----⌫||
philo sofeso iueirdamaigesen ef ie.	-----⌫---|--⌫|---|------|---⌫--⌫-||
ki sefigu r euoit mu eiedece uem en t senefie.	-|-|----⌫-⌫|---|--⌫--|----⌫---⌫--⌫|------||
fi lhesueirna i strealc un home	--⌫---|---|--⌫-⌫---|---⌫-|---|
c reis ementsenefie .	-⌫----⌫----|------||
miezueoi ru	---|----⌫||
maingierdolourdeses u es se nefi e .	-------|-----|-|--|-⌫-|--⌫----⌫||
phiolle prendreioi es en efie .	------|------|---⌫|-⌫--⌫---||
phioleensean tprendre	-----|-|----⌫|------|
anguossenefie .	-----|------||
fontaineue irestraigne	-------|--⌫-|--------|
besoi gnesenefie.	-----⌫--|------||
fluusturble co ro che.	----|-----|--⌫--⌫--||
fosse ueir etenli	----|---|-|-|-|
ch aircalenges enefi e.	--⌫--|------|-⌫-----⌫||
s amais onentreir u	-⌫|----⌫-|------||
fontainnesuriwesiazperild esau ieudesa	---------||-------|----|-⌫|-|-⌫-||-|-|
ma isonsenefie .	--⌫---|------||
fuilhesu eir nai st reas oicresseme ntsenefie .	------|-⌫--|---⌫--⌫-||-⌫-|--------⌫-|------||
f arine maniercressemen ssenefie.	-⌫----|-----|---------⌫|------||
parfluusnagierlong e senefie.	--|----|-----|----⌫|------||
esgoierp ar songetri ste c e se n e fie.	------|-⌫-|----|---⌫---⌫-⌫|--⌫-⌫-⌫--||
spe ieporteir	---⌫-|------|
etdelialconnaure ir angu ossesenefie .	-|-|-|----|-----⌫-|----⌫---|------||
speieporteir senef ie.	----|------|-----⌫-||
uei r alc onhomes combautredespe ies a lco nbess oigne	---⌫|---⌫-|----|--------|-|---⌫--|-⌫---⌫|----⌫----|
senefie so i uei rcombautrede speie dam aigesenefie.	------|--⌫|---⌫|--------|-|----|---⌫---|------||
speie auoiretdeli iouera nguo se s en ef ie	----|----|-|-|-|----|-⌫----⌫-|-⌫--⌫--⌫-|
gelinesueirponre gai ngne senefie.	------|---|----|---⌫---|------||
gelinesato uslo rs poilhonsalconbeso i ngne	------||--⌫-|--⌫-|-------|----|----⌫-⌫---|
gelinesalcon u eirgr ailierio ie senefie	------|----|-⌫--|--⌫-----|--⌫-|------|
c os ueircomba utreuchaintei rhau techois esenefie.	-⌫-|---|-----⌫---||--------⌫|---⌫-|-----⌫|------||
gemmesueirumanoierdiuersiteit se nef ie .	-----|---||------|----------|--⌫---⌫-||
gemmedesonanelueirson an emiu son	----|-|--|---|---|--|--⌫--||--|
auoir pe rdrese nefie.	----|--⌫---|--⌫----||
pa iensu eircombautretenchonsuperil se nef ie.	--⌫---|-⌫--|--------|-------||----|--⌫---⌫-||
gr uesueir t enchonss e nefie	--⌫--|---|-⌫------|-⌫-⌫----|
grues oirgaingne sene fie.	----|--|------|----⌫--||
utempest eoirdamaigesenefie.	|-------⌫|--|------|------||
amon tenartiwe	----⌫|-|-----|
aleirtrauailhse n efie.	----|-------|--⌫-⌫---||
descendreaua l	--------|---⌫|
lartiw e biensenefie	|-----⌫|---|------|
h ome mueitenbeste sa uaig etrau ailhs enefie.	-⌫--|----|-|----|--⌫----⌫|----⌫---|-⌫-----||
ho stes auo i ran nui se nefi e.	--⌫---|---⌫-⌫|--⌫--|--⌫----⌫||
cort ilueir	----⌫-|---|
ufoir ioies en e fie	|---|---|-⌫--⌫-⌫--|
iureirhomeu eir ango issen efie.	-----|---|-⌫--|----⌫-|---⌫---||
banstesueirup o rteirseguruteit senef ie.	------|---||-⌫-⌫----|---------|-----⌫-||
banstes l anciertrauailh	------|-⌫-----|-------|
s e nefie.	-⌫-⌫----||
bous uchieures ueir agardancessenefie.	---||-------|---|---------|------||
hum anecharmaingierpeleri naige	---⌫--|---|-------|------⌫----|
senefie soiueirhome	------|--|---|---|
estredesou slagardede	----|-----⌫|-|----|-|
celui senefie.	----|------||
argent man i erenpegementse nef ie.	-----|---⌫-⌫-|---------|--⌫---⌫-||
soi u eirmalade	--|-⌫--|-----|
angouse senefie	------|------|
soilaueir enbaingne cressemens sen efie .	--|-----|-|------|---------|---⌫---||
en fa nzuei r	--⌫--⌫-|---⌫|
etaue ceaziue rleece s enefie .	-|---⌫|--|---⌫|----|-⌫-----||
engardiens aleir	-|-------|----|
ang oissesenefi e	---⌫----|------⌫|
entablesoiueoires tre point	-|----|--|----|--⌫--|----|
lon ge uiesenefie.	---⌫-|--|------||
arsi nsuei rp eril de	----⌫-|---⌫|-⌫---|-|
se ui esoiu eires treenper eoral conhonor	-|--⌫|--|-⌫--|--⌫--|-----⌫--|--⌫--|----|
enplace uenpalais a le ir	-|----||-|-----|-⌫--⌫-|
ango use sen e fie .	----⌫--|---⌫-⌫--||
en fluus noieralcu nsa ngousesenefie.	-|----|----|----⌫-|-⌫-----|------||
enfont ainesoi laueir gaingnesen e fie.	-|----⌫---|--|-----|------|---⌫-⌫--||
en pescine soilaueir	-|------|--|-----|
enlecement desa ui esen efie .	---------|-|-|--⌫|---⌫---||
enm eirsoilau eirleecesenefie	-|-⌫--|--|---⌫--|----|------|
enlaidea iguesoilaueir acus ement senefie.	-|----|-⌫---|--|-----|----⌫----|------||
e nflou sso ilaueir ioieuangousse senefie.	-⌫|----⌫|--⌫|-----|---||-------|------||
en mei rcha ir gain g ne	-|---⌫|---⌫-|----⌫-⌫-|
en c hairioiesenefie.	-|-⌫---|---|------||
enflou coran tsoilauei r	-|---|-----⌫|--|-----⌫|
bo n conf essio n senefie.	--⌫|----⌫-----⌫|------||
enchartreso i	-|------|--⌫|
encloisuliét au ecmo rthomec alengeso nt.	------||----|--⌫-|--⌫-|---|-⌫-----|--⌫-||
enfontainechair	-|-------|----|
honorssenefie .	-----|------||
chairdamage sene fie.	----|-----|----⌫--||
e nsepulturec ha irp erilhsene fie.	-⌫|--------|-⌫--⌫-|-⌫----|----⌫--||
enfeus oiueirperilh desauie	-|--|-⌫-|---|-----|-|-|--|
se s boel c hairsessecreies choise d ep oulliersenef ie .	--⌫|---|-⌫---|--|-------|-----|-⌫--⌫------|-----⌫-||
commande alcunec hoise ho nour s enefie.	-------|-----|-⌫----|--⌫---|-⌫-----||
uo ie aleirtraualh	--⌫-|----|------|
enmon taigneu enh altece	-|---⌫-----||-|-⌫-----|
monte ir al fietrauailhetalfiehonors senefie.	-----⌫-|-|--|-------|-|-|--|-----|------||
enleecesoi ueir	-|----|--|---|
eten reclusliu	-|-|-----|--|
seuie senef ie .	-|--|-----⌫-||
c hamos u eirtenchonssenefi e.	-⌫----|-⌫--|-------|------⌫||
mante alz ueirueneaste nir	-----⌫--|---||----|--⌫--|
soiengardesenefie .	--|-|----|------||
lune cle irue i rsenefiecreissemens	---|---⌫-|--⌫-⌫|------|----------|
cielcha i rtra uai lh senefie .	---|---⌫-⌫|---⌫---⌫-|------||
dois lu neueirenuies enefie.	---|--⌫-|---|----|-⌫-----||
lu ne ueir	--⌫-|---|
sangleteie damai gesenefie.	---------|-----⌫-|------||
le l u neau oircolorsenuie	-|-⌫-⌫-|--⌫--|-----|----|
et enf erteitsenefie.	-|---⌫-----|------||
lu n eb lanceueir	--⌫-⌫|-⌫----|---|
gaigne sene fie.	-----|----⌫--||
lunesplu sors	----|---⌫---|
ue irp ois sa ncecreistre	--⌫-|-⌫---⌫--⌫--|-------|
lartm aingier mortd alcun	---|-⌫------|---||----|
de tesparensse nefie.	-|--|-----|--⌫----||
laituestement uestirenf ermetei t	---|--------|-----|---⌫-------⌫|
tenc ie rcreissementsenefie .	----⌫--⌫|----------|------||
tollirbealleccesenefie	-----|---|----|------|
petitluminair e ueir gai ngne se nef ie	----|--------⌫|---|---⌫---|--⌫---⌫-|
quitier seurteit utenc iera	------|-------||----⌫--||
s onamis .	-⌫-|---||
p loreir lee ce senef ie.	-⌫-----|---⌫-|-----⌫-||
luminaire mani erenfermetei t	--------|----⌫-|----------⌫|
cuihomalume se gureteit senefie .	--|--|----|--⌫-------|------||
drap gu ideuestirdama iges enefie	---|--⌫--|-----|----⌫--|-⌫-----|
drap purpreuestirtriste s	---|-----|-----|------⌫|
lain eblainceu eir	----⌫|------|-⌫--|
g aing nes enef i e .	-⌫----⌫-|-⌫----⌫-⌫||
lionue ircorochierguerdesonanemis se nefie	---|--⌫-|--------|---|-|--|-----|--⌫----|
letres aprendre	-----|-------|
g aingnesenef i e .	-⌫-----|-----⌫-⌫||
kilouuoitdel aronts o i gardese nef ie.	-|--|---|-|-⌫----|-⌫-⌫|----|--⌫---⌫-||
lie ur esmanierioie senef ielumbrisueirioie senef ie	---⌫--⌫-|-----|---|-----⌫-|------|---|---|-----⌫-|
soi ueirliétem pegementsenef ie.	--|---|----|--⌫-------|-----⌫-||
lelu neue irnaistreu	-|--⌫-|--⌫-|------||
par tir alcuns signe	---⌫--|-----|----|
de montdesc e ndr e amenuise mentsenefie.	-|---|----⌫-⌫---⌫|--------⌫---|------||
ses m ainsla ueir tristecesenefie.	--|-⌫---|--⌫---|-------|------||
sesm ainsuei rm erueilhous dam ai gesen efie	--|-⌫---|---⌫|-⌫---------|---⌫--⌫-|---⌫---|
s e meirueir mort u uiueioie se nefie	-⌫|---|---|---||---|---|--⌫----|
femme ueir dese ue lei egue r eus esd amaige	----|---|----⌫--⌫---⌫|---⌫-⌫||-⌫-|-⌫-----|
senef ie .	-----⌫-||
soiueir morir dec eueme n t sen efi e	--|---|----|---⌫-----⌫-⌫|---⌫---⌫|
mo rt homeueir	--⌫-|---|---|
ioiesenefie .	---|------||
mo rthomebai sierlonge uiese n efi e	--⌫-|---|---⌫---|----|--|--⌫-⌫---⌫|
d es eneir le ecesenefie .	-⌫--⌫----|--⌫--|------||
myrreblance honorsenefie	----|-----|----|------|
se tableper drea nientaleir senefie	-|----|---⌫--||----|----|------|
et cheualieru eirioie	-|--------|-⌫--|---|
sene f ie .	----⌫-⌫-||
mort homedoneir alcunechoise	---|---|-----|-----|-----|
damaigesenefie .	------|------||
morth ome ue i rensamaisong aingnes enefie.	---|-⌫--|--⌫-⌫|-|-|-----|-⌫-----|-⌫-----||
soifaire morsang o usesenefie.	--|----|---|---⌫-⌫--|------||
fielmai n gieralcon amorsde ho mperdresen efie .	---|---⌫-⌫---|----|----|-|--⌫|-----|---⌫---||
soi ueirdo r mirmelhor s tens senefi e.	--|---|--⌫-⌫--|------⌫|---|------⌫||
fossesplu sou rs ueirfruitese nefie .	-----|---⌫---⌫-|---|-----|--⌫----||
mort e nse uelirnullebiensenefie	---|-⌫---⌫----|----|---|------|
mursetmuresueir etmeneir trauailhsen efi e	---|-|----|---|-|-----|-------|---⌫---⌫|
due lestre	---⌫|----|
tensde senefie .	---|-|------||
femmegesir auecfe mmeenfer meteitse nefi eaigres	----|----|---|--⌫--|-----⌫-----|--⌫----⌫|-----|
pomesmaingier tristeces enefie .	----|-------|-------|-⌫-----||
mainsgrailes	----|------|
auoi rriceceetpoisancesenefie.	----⌫|-----|-|-------|------||
mesconset messeneour ueirioie .	------|-|---------|---|---||
senefiemarbres upiere sueirdes truireudeciuement	------|------||-----⌫|---|---⌫-----||---------|
lameirueir	-|---|---|
paisuleioiese ne fie.	------|---|--⌫--⌫--||
tempeste angoiss esenefie	-------|-------⌫|------|
morird eciueme ntsenefie.	----|-⌫-------⌫-|------||
morirsoiue iri oi	----|--|--⌫-|-⌫-|
et alf ietrau alh sene fie.	-|-|-⌫-|----⌫--|----⌫--||
neis plusour	---|------|
uei rboenmesaige senefie.	---⌫|---|------|------||
neis char giesueir	---|----⌫---|---|
meilh o rstenz senefie.	-----⌫-⌫-|---|------||
neisso ileu ei r	---|--⌫--|-⌫--⌫|
leeces enefie.	----|-⌫-----||
noe rd amaigesenefie	---⌫|-⌫-----|------|
ueirlee c e se nef i e.	---|---⌫-⌫|--⌫---⌫-⌫||
nu lle iesueirnu llebi enetalle	--⌫---⌫--|---|--⌫--|--⌫-|-|---|
fiebiensenefie.	--|---|------||
noces fa ire da maige senef i e.	----|--⌫--|--⌫----|-----⌫-⌫||
ensemble roi uensemble	-------|--||-------|
alconhauthome	----|---|---|
faire a lcunechoise ho norsene fie .	----|-⌫----|-----|--⌫--|----⌫--||
n uspiesaleirdamaigesene f ie.	-⌫-|---|----|------|----⌫-⌫-||
noiscoilh ier tenc ho ns	---|-----⌫--|----⌫--⌫-|
afairefestede	|----|----|-|
sonnas c ence	--|---⌫-⌫---|
leesc esene fie.	-----⌫|----⌫--||
nagierpar couentioiesenefie .	-----|--|-----|---|------||
pris o nsfaire buenourettenzsenefie.	----⌫-⌫-|----|--------|---|------||
pluiuesueirgaingnesupaissene fie .	------|---|-------||---|----⌫--||
b ai s ieraltruidamaige utencesene fie.	-⌫--⌫-⌫--|-----|------||----|----⌫--||
a ilesor luiueir	-⌫--|--|--|---|
espandu egaing nesenefi e .	-------⌫|-----⌫-|------⌫||
sonoelhdestre perdrese filhu	--|---|-----|-----|-|---||
se frereusepere	-|----||-|---|
perdresenefie.	-----|------||
sonoelhsen estre	--|---|---⌫----|
perdresonfilhusas erourusa mere	-----|--|---||-|-⌫----||-|---|
perd rese nefie.	----⌫-|--⌫----||
berbis bienlaue is uei r	-----|---|----⌫-|---⌫|
gaing nesenef ie.	-----⌫-|-----⌫-||
berbisu e irtondue s	-----|-⌫-⌫-|------⌫|
da m aige se nefie.	--⌫-⌫---|--⌫----||
neizueirmelhors	---|---|------|
t enssenef ie.	-⌫--|-----⌫-||
a rge ntueirtencesen efie	-⌫---⌫-|---|----|---⌫---|
osueirmanoirdeceuementsenefie	-|---|-----|---------|------|
ornemen s ueir	-------⌫|---|
enuisenef ie.	---|-----⌫-||
berbis paistre a ngoussenefie .	-----|------|-⌫----|------||
fl uusueirleece sene fie.	--⌫--|---|----|----⌫--||
puc heueiretenluichair	---⌫-|---|-|-|--|----|
cal e nge senefie.	---⌫-⌫--|------||
plorei rioie uuictoreuhoon ouraquere senefie.	------⌫|---||------||----⌫--|-----|------||
pai nbl anke prendreumaingier	---⌫|--⌫---|------||-------|
g aingneuacuseme nt sen efie.	-⌫-----||-------⌫-|---⌫---||
pai ndourgeprend reumangier	---⌫||----|-----⌫-||------|
leecesene fie.	----|----⌫--||
morsu eiru	---|-⌫--||
anemisu enfe rmetei t	-----||----⌫------⌫|
pont uerenfer me teitsenefie.	---|--|-----⌫--⌫---|------||
pulchi en s pren drecres semens	------⌫--⌫|----⌫--|----⌫-----|
manteazprendreleecesenefi e.	------|------|----|------⌫||
pess ons u eirp luiuesenefie.	----⌫--|-⌫--|-⌫----|------||
piezl aueiran gousesen ef ie .	---|-⌫----|--⌫----|---⌫--⌫-||
pulc hiensueir cha nteirioie	----⌫----|---|---⌫----|---|
uoitseoir sor arbre so i	---|----|--|----|--⌫|
anemiparolentenm alde	----|-------|-|-⌫-|-|
uultcuireetnepue te npegementsenefie.	---|----|-|-|---⌫|-⌫--------|------||
kisoiuoituoleirlu ire mueirsenefie .	-|--|---|-----|--⌫|--⌫----|------||
kiso iuoiten	-|--⌫|---|-|
exhilh degra ntblame	-----|-|---⌫-|----|
s er ata pressezsenefie.	-⌫--⌫-|-⌫------|------||
cuihursassailhentguerdesesanemis	--|---|---------|---|-|--|-----|
u lesdenzcrin eir	|--|---|----⌫--|
tristecesenefie.	-------|------||
ain esmonteirt raualhsenefi e.	---⌫-|------|-⌫-----|------⌫||
aines descend reu	----|-------⌫-||
tenir bontein z senefi esoi	----|--|----⌫|------⌫|--|
ueird amaigesenefiesoi u eirs eoir en fe rmeteitsenefie	---|-⌫-----|------|--|-⌫--|-⌫---|--⌫--⌫------|------|
s toillesue irplusoursleece senefie .	-⌫------|--⌫-|-------|----|------||
petitesu eir des toil les paurs e nefie	------|-⌫--||--⌫----⌫--|---|-⌫-⌫----|
douzsolouzueir honoursenefie.	---|-----|---|-----|------||
sol ouzclei rue ir	---⌫--|----⌫|--⌫-|
lee ces enefie.	---⌫-|-⌫-----||
sanc desoi	---|-|--|
u eir guttei r damaigesenefie.	-⌫--|------⌫|------|------||
deceue ment u damage	------⌫---||-----|
senef ie .	-----⌫-||
ton oir oirdiscordeubunme naige senefie.	---⌫--|--|-------||--|--⌫----|------||
tempe steueir gain gnes enefie.	-----⌫--|---|----⌫--|-⌫-----||
toileueiru teistreleecesenefie.	----|---||------|----|------||
toilleordier seellee st bl a inc ebiensenefie.	-----|-----|-|---|-⌫-|--⌫-⌫---⌫|---|------||
toilled autrecolo ur	-----||----|----⌫-|
nullebiensenefie	----|---|------|
terre oircrol eir dam aigesene fie.	----|--|----⌫--|---⌫---|----⌫--||
torueir uente rsenefie.	--|---|-----⌫|------||
tenebr e u eir enfermetei tsenefie	------⌫|-⌫--|----------⌫|------|
toi llesue irt esue senfer me teitsenefie.	---⌫---|--⌫-|-⌫----⌫|-----⌫--⌫---|------||
testam ensfaires egurete itsenefie	------⌫--|----|-⌫-------⌫-|------|
maur es ueirl eece est	----⌫-|---|-⌫---|--|
uoie me rueilho use aleirdeceuementsenefie.	---|--⌫-------⌫--|----|---------|------||
coupesblan cesueirioi e senefie .	-----|----⌫--|---|---⌫|------||
ettrancierangous es enefie.	-|-------|------⌫|-⌫-----||
coupe snoiresueirpellerin ai ge senefie.	-----⌫|-----|---|--------⌫--⌫-|------||
coupesueir aigres tenchonssenefie .	-----|---|-----|-------|------||
fe mmeprendre damaigese nef ie.	--⌫--|------|------|--⌫---⌫-||
ungl e sueir chairangoissenefie.	----⌫-⌫|---|----|-----|------||
uesti rsoileec e s enefie .	-----⌫|--|----⌫|-⌫-----||
soiuei rb atusb ien	--|---⌫|-⌫---|-⌫--|
uendeingierda m aigesenefie.	----------|--⌫-⌫---|------||
boireenfe rmeteit senefie.	----|----⌫------|------||
uoireuei r umanieranguosse	----|---⌫||-----|-------|
ueir des ceueleegai ngnes enefie .	---|---⌫------|---⌫---|-⌫-----||
seuestu re prendreuue irardoirdamaigesene fie.	-|-----⌫-|------||--⌫-|-----|------|----⌫--||
chainturedor eie ch ain d re anuisenefie .	--------|---⌫--|--⌫---⌫-⌫-|---|------||
altrechin ture bi ensenefi e .	----|----⌫---|--⌫-|------⌫||
f ou tre u tuaimene	-⌫--⌫--||-|---|-|
laweraissenefie .	|------|------||
sealtre li faittuporas peruenirce	-|----|||---|-|----|-------|-|
decontreueninetgou te.	-------|----|-|---⌫-||
le ba s ilidroit cuise is	-|--⌫-⌫--|----|-----⌫-|
enmoreitetenaisiletse	-|-----|-|-|----|-|-|
l deneizboiurekicoloure s	|-----|-----|-|-------⌫|
ateluent res e litourat.	-|-|----⌫-|-⌫|-|-----||
g otesestbone	-⌫---|--|---|
les lombri s	--|------⌫|
o citkile cuistenaigueet so uentle	-⌫--|-|-|----|-|----|-|--⌫---|-|
decon tre sac reet	-----⌫--|---⌫-|-|
plaieet suer sest.	----|-|----⌫|--||
l esco rce	|----⌫--|
pren dei zd e lu ingne	----⌫---⌫|-⌫-⌫|-⌫----|
auecs eil e t lartsiletribléset chautsor	---|-⌫--|-⌫|---|-|-|-------|-|----|--|
plaiel emeteizsiestancera.	----|-⌫|-----|-|--------||
ki sa ine pardesous est .	-|--⌫--|--|-----|--||
seboi ue les fuel he s	-|---⌫-|--|----⌫--⌫|
es t ampei e sau ec laitd echiure	--⌫-⌫-----⌫-⌫|--⌫-|---|-⌫|-----|
par yyiorset les	--|-|---|-|--|
suerdoi ton sme ttrelesius	---|---⌫|--⌫|--⌫---|--|--|
e nz esoreilhes	-⌫-|-|-------|
sia iderat a l oie	-|-⌫-----|||--|
porpalesinois.	--|---------||
lesaige donei sb oi reauec aiguel es palesinois	-|----|-----⌫|-⌫--⌫-|---|----|-⌫-|---------|
etsorplaiee stel lebon e	-|--|----|-⌫-|--⌫-|---⌫|
truleie aue cuiesoint.	------|---⌫|---|---||
asesp oint ezauecuienet poiure .	-|---⌫----⌫-|---|---|-|-----||
alsoglotement a uec a isi el.	-|----------|-⌫--|-⌫---⌫-||
paragrailli ersest.	--|--------⌫--|--||
lefono il maingoit on sporengraillier etadeslit rop	-|----⌫-|-------|--⌫|--|----------|-|---|-|-⌫--|
auec ui esuinet poiureleb oit	---|--⌫-|--|-|-----|-|-⌫--|
liysdroppe ce desenflente t en colires	-|-------|-|---------|-⌫|-|------|
as oez ue nsleme t o ns.	-|--||-⌫-|-|--⌫|-⌫-||
por lepieredestruirees t.	--|-|----|--------|--⌫||
lasemencedelasa xefricuetru illeet auecchaide aigu e	-|------|-|-|--⌫-------|---⌫---|-|---|-----|----⌫|
et eno ile	-|-|-⌫--|
etchaitba i ngneledo neisboi re	-|----|--⌫-⌫---|-|--⌫---|---⌫-|
celuik il epier e	----|-⌫|-⌫|----⌫|
ior setle ius auecdelyere	---⌫|-|-|--|---|-||---|
auecchaide aigue ules f uez del	---|-----|----||--|-⌫--|-||
ye reauecaig uemulse ules rainsen	--⌫-|---|---⌫-|----||--|----|-|
uienc ui tte u	---|-⌫--⌫--||
d el neu lesgrainsdel gen euire maingier ettotes	|--⌫-||--|-----|--|---⌫----|-------|-|----|
ces choise doitonsd oneir enbaingne .	--|-----|---|--|-⌫----|-|------||
de contre enfleur e .	--⌫-----|-------⌫||
le mente beue issedon r amenisonet lombris	-|----|----⌫-|-|---⌫-⌫|------|-|------|
et enfleure tolt	-|-------|---|
k ileboitet lessuiron s ocit	-⌫|-|---|-|--|------⌫|---|
lil auemensde	-|-⌫------|-|
so niusestbonsazoelz	--⌫|--|--|---|-|---|
l e i usde litenezensmis.	-⌫|-⌫-|-|-|----|--|--||
decontregout eetazoe lh.	-------|----⌫|-|-|--⌫-||
lyer eestbon eatotesg ottes	|---⌫|--|---⌫||----|-⌫----|
kiq ua rantefoilhentr uil le	-|-⌫--⌫----|----|-|--⌫---⌫-|
auecrartilie .	---|-------||
o utantetnientta nt	-⌫----|-|----|--⌫-|
cum en istuit azoel hmetteistempreir lesfu elhesen	--|-|-----|-|---⌫|------|-------|--|--⌫----|-|
uienyyiorset puiss es estampeis	---|-|---|-|---||-|--------|
iusmet teis enunu aisel de coiureud	--|---⌫---|-|-|-⌫----|-|-----|||
eraingesir	----|----|
etquant uosplaistsesmetteisd e dens	-|----|--|-----||-|------|-⌫-⌫---|
decontresaincetdecontre l esuers	-------|----|-|-------|-⌫-|---|
lecerfuelh beueisauecaisil	-|-------|-----|---|----|
sitora tl es a inc	-|----⌫|-⌫|-⌫-⌫--|
leue ntremolis t	-|--⌫---|-----⌫|
aueca isillesuers tout	---|-⌫---|--|---|---|
deliusuo soingiésauec	--|--|--⌫|-------|---|
laitd e femmekim alalaite.	---|-⌫|----|-|-⌫-|-----||
ci s aleestce	--⌫||-|--|-|
azoelh e stbonsli	-|---|-⌫-|---|-|
fi elzdel pertriset	--⌫--|--|------|-|
d elliure etd elhult u r	-⌫-|----|-|-⌫-|----⌫-⌫|
et del ainguilh.	-|--|-------||
parlesolu t ionetgoutefeste ll e.	--|-|----⌫-⌫--|-|----|-----⌫--⌫||
lichadonsdr a pinsdone solition ki leboi t .	-|------|--⌫-⌫---|---|-------|-|-|---⌫||
et agottesfeste leest bonsauecu ien	-||-----|-----⌫-|--|---|---|-⌫--|
et poiu r e etapres bain gneparyyiors.	-|----⌫-⌫|-|----|----⌫--|--|-|---||
decontrelom briset cheazkicient de lmal .	-------|---⌫---|-|----|-|----|--⌫|--||
li br iome beueisauecmielet	-|--⌫---|-----|---|---|-|
aiguechaudesiocir at lum b ris	----|-----|-|----⌫-|---⌫-⌫--|
u leius del r a u ene .	|-|--|--|-⌫-⌫-⌫--||
ceazki cie ntdelmaldoneis les	---|-|---⌫-|--|--|-----|--|
b oire ius	-⌫---|--|
pary y io rsauecaigue	--|-⌫|--⌫-|---|----|
chaudedemerkesetdi urs	-----|-------|-|--⌫--|
etde uenr eset y yio r smaingeust painaliset	-|--⌫----⌫-|-|-⌫|--⌫-⌫|--------|---|---|-|
boiueaigue .	----|----||
mang eust seli molisserunt lor	----⌫---|-|-|----------|--|
u entreetle maltri s.	-⌫----|-|-|------⌫||
l e panaisepren deizsilestampei sbien	-⌫|------|----⌫---|-|-|-------⌫|---|
etlemp laustemetteis sor	-||---⌫-----|------|--|
leuentresel isanara tet leuentreetle	-|-----|-|-⌫|------⌫|-|-|-----|-|-|
p ara u oir luxure	-⌫-|-⌫-⌫--|-----|
leraci n edelbugl ecuisiése n	-|----⌫-⌫|--|----⌫|-------|-⌫|
miel et enuienetsilebeuez par trois	---|-|-|---|-|-|-|----|--|----|
iorsen s tuiuesi	---|-|-⌫----|-|
donraittalantdefout re alome	------|-----|-|----⌫-|||--|
etse tropenaueisentreis	-|-|---|-|----|------|
en aig ue froide et bo ue is	-|---⌫-|-----|-|--⌫--⌫-|
