communalmen tuo usquia ués	-----------⌫|--⌫-|--|-⌫---|
idoine nese napercoit c ar	-----|-||-⌫|-------|-⌫-|
ennulendroi tcamer la uausist	-|--|------⌫||---|-|------|
amadasneade	-----|-||-|
cert esna gi eu	----⌫-|||--⌫-|
maiscommefrankedamoi selemultdou cementasoi	---|----|-----|-----⌫---|---|---⌫-----||--|
gr a ntamourco m puc e lede	--⌫-⌫-|----|--⌫|---⌫-⌫-|-|
grantualour c ourt oi see t	----|-----|-⌫----⌫--⌫-|-⌫|
sage e t e nsegn ieet humblee tfranke	---|-⌫|-⌫-----⌫-|-|-----|-⌫|-----|
et enuoisie .	-|-------||
elenesetpaslauenture parol e	--|-|--|--||-------|-----⌫|
denuo i s euredep l us eur scos esen secroi	|----⌫-⌫-⌫---|-|-⌫-⌫--⌫---⌫|---⌫-|-|-----|
amadasenesten	-----|-|--|-|
ne se tkefaire neque direquetrop	-|--⌫|-|----|-|--|---|--|---|
achigreuexmartirecardu	|--|-----|------|--|-|
celerli est mu lt	----|-|--|--⌫-|
griefet du des couuri ra m eschi ef.	----|-|-|---⌫------⌫||-⌫-----⌫-||
lauésoisou uentenreprouui e r	|----|-|---⌫---|-|--------⌫-⌫|
direala gentfortcosea ufaire	---||-|---|---|---|||----|
l estuet .	|-----||
parestauoir ch il elnepuet	--|-------|-|-|-|-|---|
conuient li descouu rir samo r	-------|-|-------⌫--||---⌫|
e tl a flamedontendolour a e mbrasé lec u er	-⌫|-⌫|----|---|-|-----||-⌫------|-|-⌫-⌫-|
en lap ar fin multaenuis a grant	-|-|-⌫--⌫--|---||----||----|
paoure tagranthonte	----|-⌫||----|----|
co mme nche a ba s seuoisson	--⌫---⌫---||--⌫-⌫-|---|--|
lam ourkil aenson	|--⌫--|-|||-|--|
destro itli ense ignecom	------⌫-|-|----⌫---|--|
faire doit.	----|---||
encouura ntdescoeuresonco nte	-|------⌫-|--------|--|--⌫--|
endes couurantcoeuuresa	-|---⌫-------|------|-|
am ourslefait souti letsage	--⌫---|-|---|-----⌫|-|---|
cou ur antdescoeuresoncorag e	---⌫--⌫--|--------|--|-----⌫|
damoursense tgran tmesuresoides couurir	|----|---|-⌫|----⌫|-----|--|---⌫------|
par couuertureetencouu rantparol eouuerte	--|---------|-|-|----⌫---|-----⌫|------|
en descouuran t cosecouuerte	-|----------⌫|---|-------|
ca ri a neuenrés honmesagedamorss il	--⌫|-⌫|-|------|----|---||----||-|
corageparcouuerturesoic ouurir	-----|--|---------|--|-⌫-----|
etendescouura nt soi couurir	-|-|---------⌫-|--|------|
pr emier p aroleparfigu rea	--⌫----|-⌫----|--|----⌫-||
unef oiblecouuerture parraiso nmains	--|-⌫----|---------|--|-----⌫|----|
aperceuecou uerteetno npourqua ntseu epa r	-------|---⌫----|-|--⌫--------⌫-|---⌫|--⌫|
maint e p a rol e cou uert eos cureet nonpourquantouuerteet	-----⌫|-⌫-⌫---⌫|---⌫----⌫|--⌫---|-|-----------|------|-|
ague etaper c eu an te nd ouble ma niere ataignant.	---|-|----⌫-⌫--⌫--⌫|-⌫|-⌫----|--⌫----|--------||
liredemoustre et	|--|--------|-|
lagrant paine	-|----|----|
quep or lapu celedemainecomuit a doel	--|-⌫-|-|--⌫---|------|--|--||---|
dolouretdes c oeure	-----|-|---⌫-⌫----|
la grantlangour ledesir ie rle ma l	-|----|------|-|-----⌫--⌫|-|--⌫|
sou sfrird ontiamaisne	---⌫----|-⌫--|-----|-|
por ra partir.	---⌫-|-----||
mults edeme nte boineme n tmercicriant centfois	---|-⌫|----⌫--|-------⌫-⌫|----|-----|---|---|
sansnule noise	---|---|----|
ets an snul criprie milfoisbelemerchicom	-|-⌫--⌫|--|--|---|--|---|---|-----|--|
uoitenfin samort s e par uou sn	---|-|--|-|---|-⌫|--|---⌫||
ahastif co nfort .	|-----|--⌫----||
idoi ne alarequesteoie emultle tient agrant	----⌫-||-|-------|---⌫|---|-|----||----|
de ruerieagrantescaretaoutra ge	--⌫-----||----|----|-||-----⌫-|
irie e stmulten soncorage	---|-⌫-|---|-|--|-----|
qu antla pa rol eae ntendue demautalentto ute tressu e	--⌫--|-|--⌫---⌫||-⌫------|-|--------|--⌫--|------⌫|
orgi lleusee s tdeg rantma niereiadesisttostp arole fiere	----⌫-----|-⌫-⌫|-|-⌫---|--⌫----|-|-----|---|-⌫----|----|
quili uenista grandcon trairemaiscommefrance	--|-|-----||----|---⌫-----|---|----|-----|
etdebounairecourtois eet	-|---------|--------⌫|-|
e nsegnieetsa ges	-⌫------|-|--⌫-||
ire ref rainten sonc orag ee tasouage et ames u re .	--|---⌫----|-|--|-⌫----⌫|-⌫|------|-|----⌫-⌫-||
e napres distsanscouue rtur equeme dis	-⌫|----|---|---|-----⌫----⌫|--|-|--|
tu freream adas	-|----|--⌫---|
estc ea certes u	--|-⌫||-----||
agasque tu	|--|--|-|
iene puiscroirequece sterequeste s oit uoire	-|-|---|-----|--|--⌫--|-------|-⌫--|----|
bien saiquec est enuoiseuremais	---|--|--||--|---------|---|
ienai decest gab oicure	-||-|-|---|---⌫-|---|
se tum aim es	-|-||---⌫-|
pa rdrueriedontteuien t sigrans	--⌫|------|---|-|----⌫|-|----|
deruerie ettesragecom a soucuer	-------|-|--|---|--|-⌫|-|---|
commentosas tuanulfoer si grant	------|---|-||--|---|-|----|
ou t ragedescouurir	--⌫-⌫---|---------|
nemeuoelpas pour toi	-|-|---|--|---|--|
pu celesuidehautpa ra genepu istrouuer	--⌫---|--|-|---|--⌫--⌫-|-|--⌫-|------|
c orage quentel man iere amer tedoie que	-⌫----|-|-|--|---⌫---|---|-|---|--|
ia loe en en seroie mais	-|---⌫||-|-----|---|
blasmeede toutegentcariameroie	------|-|----|---|--||------|
b assement	-⌫-------|
etdautreparten cue r	-||----|---|-|---⌫|
acestefoisnete	|----|---|-|-|
dirainulecosepar	----|---|---|--|
felounie orguelfourfaitneuilouniene outrage	-------|-----|-------|-|-------|-|------|
nenuldes roi	-|--|---⌫--|
tuases tém ultbien demoi .	-|-|--⌫--|-⌫--|---|-|--||
o rtecastie biausdo usfrerecarpar la	-⌫|-|-----|----|--⌫-|----|--|--|-|
foi que doi	--|--|--|
monpere leducqui m asou e f nouri e	--|---|-|--|--|||---⌫-⌫|-----⌫|
semaisenprenste l	-|---|------|--⌫|
derue riet uiaras mult grant	-----⌫--|-⌫||---|---|----|
i ete feraifair e	-⌫|-|----|----⌫|
det arequeste sailaf intuastrop	-|-⌫|-------|--|-|-⌫-|-|-|---|
beu def ortuin	--|-|-⌫--|--|
oudautre sboi resdonttu as cangie ́ le	-||-----⌫|---⌫--|---|-|-|------⌫|-|
sensses amadas.	---|--|-----||
enca rgiéas troppe sant faisgardenem	----⌫----|-|---|--⌫---|---|----|-||
enrequieresmais.	-|--------|---||
amadaslotmults enaire	-----||-|---||-|---|
a granddoleur pla int etsospire	|----|-----|---⌫--|-|------|
unsouspi rfaitagrant alaine	-|------⌫|---||----|-----|
ore esten trésen sig ran tpainedont l	--|--|--⌫----|-|-|-⌫---⌫|----|---||
am equ ideenbr ief tansrendre	--⌫|--⌫--|-|--⌫--|---|-----|
quepuisk ilsot prim es entendreparole	--|----|-|--|----⌫-|-------|-----|
prou messe certainefol ie	----⌫----|-------|---⌫-|
sansr aisonhumainenoimaissi	---|-⌫----|------||-|---|-|
grieue nouuele	-----|------|
c oml e resp on sde	-⌫-|-⌫|----⌫--⌫|-|
la pucelemulta	-|-----|---||
grantdue l	----|---⌫|
uergou g neet honte	------⌫-⌫-|-|----|
bien uoitquerie ns	---|---|--|---⌫-|
mais ne limonteparolen ebe le	---|-|-|----|-----|-⌫|--⌫-|
angoussexestde grantmanierecomchil	--------|--|-|----|------|--|---|
quia toute sa uietourne e	--||----|-|--|------⌫|
a droitederuer ie.	|-----|------⌫-||
de lac ambre	-|-|-⌫----|
mult to st sento urn e	---|--⌫-||-|--⌫---⌫|
tristespensi sachi e remourne	------|-----⌫||---⌫-⌫-|-----|
granthonteetuergougneie nene	----|----|-|--------|-|-|-|
cuic qui l aiten	---|-|-⌫|--|-|
bourgoi gnesimal	-------⌫--|-|--|
bailliuntout s eulhoum e.	-----|-|---|-⌫--|----⌫||
delacambrei st	-|-|-----|-⌫-|
ce estlasoumetouse sperdusa	-|--|-|----|---|-⌫------||
co uleur paleettres passetoutelasale.	--⌫----|---|-|----⌫----|----|-|---||
esbahisestagrantmeruellequed	------|--||----|-------|--||
ueln e uoitnen oi t d	--|-⌫|---|-||--⌫||
nepren tde	-|----⌫|-|
ri e ns gardenecureforsd e	--⌫-⌫-|----|-|---|---|-⌫|
sagrant mesau e n ture .	-|----|-----⌫-⌫-⌫---||
af oi bl ecueruie ntal	|-⌫--⌫--⌫|---|---⌫-|||
osta lanuliourm a is n	----⌫||--|---|-⌫-⌫-||
ot si gran tmal.	-|-|----⌫|--||
en autre coul eur mue ma inte f oissepasmeet	-|----|----⌫--|--|--⌫---|-⌫--|-|----|-|
pertiuer etrir e	---|---|-|---⌫|
agrantdoleur et a grantire	|----|-----|-||----|--|
lang uistunan	----⌫---|-|-|
aitelpa ineque	|---|--⌫--|--|
plusli est la mors	---|-|--|-|---|
pro cain eque lesp erance de sauie	---⌫----⌫|--||---⌫-----|-|-|--|
maisnus ne se tla gr ant	---|--|-|--⌫|-|--⌫--|
foliedont sestcargiésacruel foersen	----|---||--|-------||----|---||-|
lecuer foibledune lon g ue	-|---|-----||--|---⌫-⌫-|
langueur .	-------||
plus de milhoume	---|-|--|----|
e n ont doleuret multgran tpi tede	-⌫|--|-----|-|---|----⌫|--⌫-|-|
lidusmult plus dusenescalqui	-|--|---|---|-|-------|--|
s es pereestqui	-⌫-|---|--|--|
le ngendralepla intetgrantdoleuren a.	|-⌫------|-|---⌫--|-|----|-----|-|||
cil delac ourt petitetgran t	--|-|-|-⌫---|----|-|----⌫|
c heualieruallet e tseriantlesdames	-⌫-------|-----|-⌫|------|--|----|
et l es damo iseleslesmeschinese tl espuceles	-|-⌫-|----⌫-----|--|--------|-⌫|-⌫-|------|
et toute s celesd upa i sdehaut	-|-----⌫|----|-⌫|--⌫-⌫|-|---|
parageet degrantpr is le pla ignen tetregreten t for t	-----|-|-|----|--⌫-|-|---⌫-----⌫|-|--------⌫|---⌫|
nem aisqueceledont	-|-⌫--|--|---|---|
arec eue a parunpoic e	|---⌫--||--|-|--|-⌫|
estydoineolechi efbl o i	--|-----||-|---⌫-|--⌫-⌫|
lafi llea uduc qui	-|--⌫--|-⌫|--|--|
pasnel plaintd oumal	--|-||-----|-⌫-|--|
do nt sileuoitatai nt .	--⌫-|-|-|---|----⌫-||
cuicpasnea decertesne	---|--|-||-|-----|-|
agasfust maisenfes dem al ata int	|--|---|---|----|-|-⌫-|---⌫--|
si regrete ́ ne	-|-------⌫|-|
itantplaint .	----|-----||
estu tunan	----⌫|-|-|
languirsans e sperancedegar ir.	------|---|-⌫-------|-|---⌫-||
enune nuit fumult	-|--|---|-|---|
i résdesongrantmal e tto urmente ́s	-⌫---|-|--|----|--|-⌫|--⌫-------⌫-|
etd esiroitformentlam ortcarne se	-|-⌫------|------|-|-⌫--|--|-|-|
ennulconfort.	-|--|------||
e nmai ntegui sesedemaine	-⌫|---⌫--|---⌫-|-|------|
encelea ng o ussee ncele paine	-|---|-⌫--⌫-⌫---|-⌫|---|----|
pourpenséssene ement	----------|----⌫----|
quela nguiatro plongementparfo l corageetpar	--|--⌫---||---⌫|--------|--|--⌫|-----|-|--|
fo lieparn on	--⌫--|--|-⌫-|
sauoirune partie	-----|--|-----|
biens etdefi quen en puet mais	---|-⌫-|-|-|--||-|---|---|
carg iésestde tro p pesantfaisquil a	----⌫---|--|-|---⌫|-----|---|-|-||
emprisa itel	-----||---|
atantliestcreus u	----|-|--|----||
cuerqueiln es	---|--|-|-⌫||
enpuet m iepartir	-|---|-⌫-|-----|
pourf olseti e ntau departir	---|-⌫-|-|--⌫-⌫-|-|-------|
qui lnereq uiertplus dunefoislapucele	-|-⌫|-|---⌫----|---||--|---|-|-----|
car bien fustdroisqu e	--|---|---|----|--⌫|
autr efo islar equ eistia	----⌫|--⌫-|-|-⌫---⌫---|-|
soit cequelescondeist	---|-|--||---------|
tos tauenroitp arauenturequele ne ser oitpassi	---⌫|-------|-⌫-|-------|-|--|-|---⌫--|--|-|
la utre foiscomprimes	|-⌫---|---|--|-----|
f unot miebon	-⌫||-|--|--|
conseile u	------|-⌫|
iltou rt oumalou bien	-|---⌫-|-|--|-|---|
ne laisse rapornule ri enpourmal dont ait	-|------⌫-|--|---|--⌫-|---|--|---|--|
estédestro isnelarequ iereune autrefois	----|------⌫-|-|-|----⌫---|--|----|---|
iceueut faireur aiement .	--|---|----|--⌫------||
orlefaitauq ues	-|-|---|---⌫--|
acest uoloi rdu	|---|-----⌫|-|
toutsetient.	---|-|----||
ainsp ue talacor t uient	---|-⌫--⌫||-|---⌫|----|
pars amblan test trestoushaitiéscomme silfustioians	--|-⌫------⌫|--|-------|-------|----||-|---|-----|
etlies etala	-|---|-||-|
cort son si gneursert.	---|--|--⌫----|---||
tantetsousfertqueil uoit oreet	---|-|-------|--|-|---|--|-|
liuet t ens a	--|-|-⌫--||
des couuri rle sienpour pens plusto st	---⌫------⌫|-|---|----⌫---|---|--⌫-|
queilpuetauen ir .	--|-|---|----⌫-||
ne ueutattendrene	-|---|-------|-|
so usf riratoutesapaleco uleur	--⌫---⌫--||----|-|---|--⌫----|
e ntreenla chambrea gr a ntpe eur	-⌫---|-|-|------||--⌫-⌫-|--⌫--|
deuantla damoiselle	-----|-|---------|
uient mais tantladouteettan t lacrient	----|---|---|-|----|-|---⌫|-|-----|
queneis esgardernelose	--|---|-------|-||--|
uoi sachiefde	---⌫||----|-|
p oselasalueco mmeesm a iié s	-⌫--|-|----|--⌫--|---⌫-⌫----⌫|
d euantli sest a genouille ́ssil aprise	-⌫----|-||--|-⌫---------⌫-|-|||----|
parlemante l f ai t dundya sprerice et	--|-|-----⌫|-⌫--⌫||-|---⌫---|---|-|
a grantp aouruersso i	|----|-⌫---|---|--⌫|
lati reetcommence so ncontea dire	-|--⌫-|-|-------|--⌫|----||---|
piteusemento grant souspir	----------||----|------|
que p ities est de	--|-⌫----|--|-|
lu io yrmercifaiti lmadouc e amie	--⌫|-⌫-|----|---|-⌫|-|----⌫|---|
estesmaisienelsui	----|---|-|-||--|
da mecomchilquitantuous ai me	--⌫-|--|---|--|---|---|--⌫-|
quegrantdolour	--|----|-----|
pouruousdemainemerciuouscri plusde	---|---|------|----|---|--|---|-|
mil fo is .	--|--⌫-||
uoussuisidestroisquebien	---|--|-|-------|--|---|
ne ienep uismietr ouuer	-|-|-|-⌫--|--|--⌫----|
ennulse ns	-|--|--⌫-|
ke soiiésmad rue.	-|------|-|-⌫--||
pou rce aigoieenfinperdue	---⌫|-|-|---|-|--|-----|
que iamais parnuledeuises enest	--|-----|--|---|-----|-⌫||--|
p ar uostre gra nt	-⌫-|-----|---⌫-|
francisenel aquitrecouurernuliorneis sirhors	-------|-|-⌫|---|--------|--|--|-|--⌫--|---|
dem a dolourde	-|-⌫|-----|-|
lalanguernede	-|------|-|-|
les cilsedecestdolerex	|--⌫--|-|-|---|------|
perildontiai lec uersi	----|---||-|-|-⌫--|-|
ma lbailli	--⌫|-----|
queiou aia	--|--|-||
tousbien fali.	---|---|---||
languienaipar	-----|-|-|--|
estouo ir sansnulconfortdeioieauoir	------⌫-|---|--|------|-|---|----|
ma uieestenu ousetmam o rt p echiet	-|--|--|-|-⌫--|-|-|-⌫-⌫-|-⌫-----|
ferésetmul t grantt orts e melais siés is si	-----|-|---⌫|----|-⌫--|-⌫|-|----⌫----|--⌫-|
mo rirq uantneme pui sd e u ous	--⌫--|-⌫---|-|-|---⌫|-⌫|-⌫--|
ia s oitceque maiiéstrait horsdouce	-|-⌫--|-|--||-----|----|---|----|
amie lec uer d ucorset si	---|-|-⌫--|-⌫|---|-|-|
nelauéspas ouous	-||----|--||---|
ainsest si perd usentreuous	---|--|-|----⌫-|----|---|
uous nelauésneie n e	---|-||----|-|-|-⌫|
s imalba illi	-⌫|--|--⌫---|
houme nesai comiesuinequitant	----|-|--|--|-|--|-|--|---|
m alaitcarle cuer	-⌫-|--|--|-|---|
ai du u entretrait .	-|-|-⌫----|----||
morirm e s tuetpasnem enfaing .	----||-⌫-⌫---|--|-||-|----||
etuou smaue ́ssiendesd ainget siprenés	-|---⌫||---⌫-|-|-|----⌫---|-|-|------|
me sdiseng ros	--⌫|--|-|-⌫--|
queie de uan t	--|-|--⌫---⌫|
uo usuenirnospour m es	--⌫-|----||-|---|-⌫-|
gransdoleursdescouur ir.	----|------|--------⌫-||
nem ilaissésda memorirpour	-|||-------|--⌫-|----|---|
seulsousfraitede	---|---------|-|
confor t caries u imult	------⌫|--|-|-⌫-⌫|---|
pr esde lamort	--⌫-|-|-|---|
be lepramesse sans proufitm e donroi t issigr ant	--⌫-|-------|---|------|-⌫|------⌫|---|--⌫--|
de litdoumo n t	--⌫--|--|--⌫-⌫|
la ioietoutear oieque mais	-|---|----|--⌫--|--|---|
de riens ne douteroie ains seroiesia udessus	-|----|-|--------|---|-----|-|-⌫|-----|
q ueiama isnequerroie pl us.	-⌫-|----⌫-|-|-------|--⌫-||
senema id iéstostalafiniem	-|-||-⌫--⌫---|---||-|--|-||
ocirai ains le matin.	-----|---|-|----||
ne melaissi és porter telfa iscaronquesen ces t	-|-|------⌫--|-----|--|--⌫-|--|-----|-|---⌫|
siecl emaisfr anced amene damois ele	-----⌫|---|--⌫---|-⌫--|-|------⌫--|
pourpara getant ne f ube lene	---|----⌫-|---|-|-⌫|--⌫-|-|
fistcertes pe chie si grant nes i	---|-----|--⌫---|-|----|-|-⌫|
cruelnesipesantcom uousfer és	----|-|-|-----|--|---|---⌫--|
iene nsai p lus dame	-||-⌫|--|-⌫--|---|
ido inelotla couleur muedemaltalenttoute	---⌫--||-|-|------|--|-|--------|----|
angousse li fritlacar stoute.	-------|-|---|-|---⌫|----||
pariredist parole estoute	--|--|---|-----|------|
carmultsetien t a malbailli e	--|---|-|----⌫||--|------⌫|
dela re questeq uaoiee	-|-|--⌫-----|-⌫||---|
etdistleciere	-|---|------|
outrequidiésgarsanie usfoxassotiés	------------|---|----⌫-|--|--------|
que astudetong rantsensfa it	--|-|-|-|--|-⌫---|---|--⌫-|
as pe rdu toutentr esait.	-|--⌫--|---|----⌫----||
tues deru e ́s	-|-|----⌫-⌫-|
mienes sien ttu te contiens t r op	---|--⌫----⌫|-|-|-------|-⌫-⌫-|
foleme n t	------⌫-⌫|
tropastonsen sarierem is	---|-|--|---⌫|-----|-⌫-|
qui quid eses tremes a miset me	--|----⌫-|--⌫--|--|-⌫--|-|-|
d isqu e d	-⌫-|--⌫||
amourtamaisse .	----||------||
mixu auroie estreen un fuarse	--|-⌫-----|----|-|-|-|---|
e tdetraiteaq uatre	-⌫|-------||-⌫----|
cheuaus etpar montag neset par uaus	------|-|--|------⌫--|-|--|---|
quefeissetellecerie	--|-----|--|------|
quetamaissepar	--||------|--|
c esterag ec au cuertemontete	-⌫---|---⌫||-|---|-|----|-|
trairaencore a grant hont e	-----|-----||----|----⌫|
s ouuiegne toi que bienestdroi sde	-⌫-------|--|--|---|--|----⌫|-|
ceq uedisa l autre fois	-|-⌫-|--|||----|---|
mais po i t esmaiesdun	---|--⌫||------||-|
duneestoutiecestpetit.	|--|-------||--|----||
mais qu edoi lamemon peren e	---|--⌫|--||--|--|---|-⌫|
a la ducoisemamerese mais tau ient	|-|------|-|---|-|---||--⌫---|
icesteragequemerequieresde f olaget ant teferai	-----|---|--|-|--------|-|-⌫----|-⌫--|-|----|
batre a messersque	----||--|---|--|
t ourneras leuentreenuers .	-⌫-------|-|-----|-----||
sen eten fuisle ciere hors maintenant	-|-⌫||-|---|--⌫----|---|---------|
ert ho nis tesc ors.	--|--⌫--|--|-⌫--||
amada slotuns o uspir iete	-----⌫||-|-|-⌫-⌫----|---|
etdolere usement regretesongrantou trage	-|------⌫------|------|--|----|--⌫----|
etsafolo u rd onttous	-|-|----⌫-⌫|-⌫--|---|
iors ma isauradolorn auramaisioie	---|--⌫-|---|----||---|---|---|
si co mquide.	-|--⌫|----||
pourlaricoisedemelideneuaus ist oirtel	---|-|------|-|-----|-|----⌫--|--|--|
contrairep our ta n tqu ils	--------|-⌫--|--⌫-⌫|-|-||
enpeust r e traire.	-|----|-⌫-⌫-----||
de lacamb re ist a multgra ntpaine	-|-|----⌫-|--||---|---⌫-|----|
etdoleur cer tainepour	-|-----|---⌫----|---|
lar amp rosnec a oiee do nttrop	-|-⌫---⌫----|||---|--⌫-|---|
leco urou ce samie.	-|--⌫----⌫-||---||
maisainsqued elaiensfust hors	---|------|-⌫|-----|---|---|
tant estfo ibl esquecueretcor sa laterre	---|--|--⌫---⌫-|--|---|-|---⌫||-|----|
palestainsetd escoulourés	----|----|-|-⌫-----------|
t ous estendu s	-⌫--|-------⌫|
ata ntl est oient	---⌫-||---⌫----|
uenu querr ede	---|-----⌫|-|
laco urtquinzecheua lierlimixuaillantli	-|--⌫--|-----|-----⌫---|-|--|-------|-|
pl uslegierquantama das t roeue n t pas me ́	--⌫-|-----|----|---⌫--|-⌫-----⌫-⌫|---⌫--⌫|
multparse nso nt	---|--||-⌫|--⌫-|
e spoenté carpale le uoientetpe rs toutamort iuai nes	-⌫-------|--|---|-|-----|-|--⌫-|---|-----⌫|---⌫--|
liest reuenueetla memoire	-|--|------|-|-|------|
e tla ueuepourlesche ualiersquil	-⌫|-|---|---|--|---⌫------|-|-|
ente nt carbienqu idecertainementque ce s oientlipautounier	----⌫-|--|---|--⌫--|-----------|--|-|-⌫----|-|---------|
quili uiegnent le sosb risie r	--|-|-------|--⌫|-|-⌫-----⌫|
lieueamont .	----|----||
liche ualier	-|---⌫-----|
gr antduelenon t	--⌫--|---|-|--⌫|
demandent licomil sesentetil repontke	--------|-|--|-|-|---|-|-|-----|-|
malementquerech eus estensonmalo r	-------|--|----⌫--|--|-|--|--|-⌫|
l ai sifinement mortalqu e	|-|-|-------|-----|--⌫|
iamaisiournequi c garir	-----|---|-|---⌫|----|
acourttermem	|----|----||
estuetmorir.	-----|----||
cilleregretent mu ltfo r mentcaramése rt	--|-|--------|--⌫-|--⌫-⌫---|--|----|-⌫-|
de toute gent .	-|----|---||
atantsont l i h oum e uen u.	----|---|-⌫|-⌫---⌫|---⌫||
tuite sfraé	---|-⌫-----|
tuit e sper du	---|-⌫----⌫-|
l en fantportentasonostelon quesmais	|--⌫---|------||--|----|--⌫---|---|
notmalautretel .	|-|--|-------||
i latrouué sonlittout	-⌫||------|--|--|---|
tousmalade scouchiéssies t .	---|------⌫|--------|||--⌫||
agrantp aineetag ranta han langu istenson	|----|-⌫---|-||-⌫---|-⌫--|-----⌫--|-|--|
li tbienunan.	--⌫|---|-|-||
lic h eualier senuonttout dro it	-|-⌫-⌫------||-|---|---|---⌫-|
c ambre uydoineestoitetsi li	-⌫----||-----|-----|-|-|-|
ontditetcontécommentciltro uuerentpasmé a	--|--|-|-----|------|--|---⌫------|-----||
de lacambr eamadas.	-|-|-----⌫|-----||
ydoine l ot	-----||-|
isnelle pass enco urouca	-------⌫--||-|--⌫-----|
mais motnedist .	---|--|-|---||
n i a u n se ulg rantne	|||-⌫|--⌫-|-⌫---|-|
pet ithomene	---⌫-|---|-|
fe meq ui nelplai gneetquid e lui	--⌫-|-⌫-|-||----⌫--|-|--|-⌫|--|
s eru irsef aign efor s seulydoine quila	-⌫---⌫-|-|-⌫----⌫|---⌫|---|-----|--|||
mortpour seulsousf raitedeconf ort .	---|---|---|-----⌫----|-|----⌫--||
amadastoutunan	-----|---|-|-|
liuisli tai n tetenpalistlicuirsli	-|--|-|---⌫-⌫|-|-------|-|----|-|
tient mult pres	----|---|---|
des osneiour n enuit	--|-|-|---|-⌫|---|
nanulreposl i ca rssen	||--|----|-⌫|--⌫-||-|
ua touteet defrit.	-|----|-|-----||
unantoutplain gist	-|-|---|----|---|
ens onliten tel tourment	-|-⌫-|--|-|--|-------|
entellang uer	-|--|----⌫--|
conqueshom n	|-----|--||
ot sigrant	-|-|----|
riens necouuoiteforsm orirquantd idoine ne	----|-|-------|---|-⌫---|----||-----|-|
pue tioir.	---⌫|---||
mu l tpa rli deplai stdurement que illan guis tsi	--⌫-⌫|--⌫|-|------⌫-|-------|--|-|---⌫----⌫|-|
lon gementetque plusto stnetrait a finde	---⌫-----|-|--|---|--⌫-|-|----||--|-|
ceseplaintso iret matin.	-|-|-----|--⌫-|-|----||
ensi auintqu aunhaut ioure nla	---|----|-||-|---|---|-⌫|-|
courtle du c	----|-|--⌫|
sonsignourdoi fil as bar onsdupa isdehau t	--|------|--|--|-|---⌫--|-|--⌫-|-|---⌫|
parageet de	-----|-|-|
hautpr is auoient pris sus le grau ierunbouhour dei cmult	---|--⌫-|------|---|--|-|----⌫--|-|-------⌫---⌫|---|
dedeus par s io tc ompa ignon smandése t	-|---|---⌫||-⌫|-⌫----⌫-----⌫|------|-⌫|
loncetpressemons d e tout lemi x	---|-|---|-----|-⌫|---|-|--⌫|
desa contree .	-|-|------||
apresmangierlareleue ep ourbo uhourder sont	----|------|-|------⌫|-⌫--|--⌫-------|---|
apr e stéet	---⌫-⌫---|-|
issenthorsdel a cite sisontuenu	-----|---|-|-⌫|---|-|---|---|
deho rs au	----⌫-|-|
plainplus decentni	----|---|-|---|||
a uil ain ai ns s onttuitgentildamoise lbien bouh ourda nt	|---⌫--|--⌫-|-⌫--|---|-----|-------⌫|---|----⌫-----⌫-|
d elauileissentmultgrantgentpourueoir	-⌫|-|---|-----|---|----|---|---|----|
letournoiement etcheualier	-|-----------|-|--------|
etdamoise lese squi ierbour g oi setdanseles.	-|-------⌫--|-⌫----⌫--|----⌫-⌫--⌫|-|-------||
quant pa ssent p ar deuantl osta l	----|--⌫----|-⌫-|-----||----⌫|
oulienfesgi s tdugra ntmal	-|-|----|--⌫-⌫|-|---⌫-|--|
se dien ttouta las	-|----⌫|---||--|
gransdamagesdamadasquisila nguist	----|------||-----|--|-|--⌫-----|
cheest dels grans	--|--|---|----|
s orfusthai tiésliesetioian s	|-|---|---⌫----|---|-|-----⌫|
comill efesist h uibien	--|-|-⌫|-----|-⌫-|---|
certesnendout issonsderienque dedeus p ars	-----||-|----⌫-----|-|---|--|-|---|-⌫--|
tousn es u enqui st	---||-|-⌫-----⌫-|
queld oleur qu esi	---|-⌫----|--⌫|-|
n ipasse nu squicenedie.	||----|--⌫|--|-|-|--||
alapla inteoiee	|-|---⌫---|---|
or li enforcesadoleurso r	-|-|------|-|------|-⌫|
licroiste tnai st sa	-|-----|-⌫|---⌫-|-|
la nguersorregret esonfol	--⌫-----|-|------⌫|--|--|
pourpens orquideauo irperdusonsens.	-------|-|----|---⌫-|----|--|---||
delap laintequa	-|-|-⌫-----|-||
en tendu e deceus quipassen tpar la	--⌫-----⌫|-|---|--|------⌫|--|-|
rue est e nforcie ́sensigrantduelque uolentiers	--|--|-⌫-------⌫-|-|-|----|---|--|---------|
morustsonuoe lcarsaiouenece et	-----|--|---⌫|--|-|-------|-|
saualeurssa soti e etsa fole erreurs	-|------|-|----⌫|-|-|---|------|
sont atenchon etaestrif.	---||------|-||-----||
multseclaime dolan s caitifcar	---|-|-----|-----⌫|-----|--|
anule garison	|---|------|
ore scout éssagrantt enchonsa	-|-⌫-----⌫--|-|----|-⌫-----|-|
io u eneceueutqu ilseliet etqu eriens mais	--⌫-⌫----|---|-|-|-|---|-|--⌫|----|---|
foibleceli desfent etsesuoloirsqui	-------|-|------|-|--|------|--|
liapren tqu i ln aitdesir fors	-|-----⌫|-|-⌫||--|----|---|
de lamortse des	-|-|---|-|-||
