decesmessages enuoiathiebauz	-|--|-------|-----|-------|
paislenmainenta	---||--------||
lyglisenostre d ameet	|-----|-----|-⌫--|-|
li atauchent lacroiz a	-|--------|-|----||
l esp auleensi finacis	|---⌫---|---|---|--|
par le menz et	---⌫--⌫---|-|
lendemainsi	|-------|-|
pristcongiepor ralere n	----|-----|--|----|-⌫|
etporatorner son	-|--|------|--|
afaireetd istquechascuns	-----|-|-⌫--|--|-------|
atornastl es uen qu eil	-------|-⌫|-⌫--|--⌫|-|
seroitenco nt r e alsen uenise	-----|----⌫--⌫-⌫|--|-|-----|
en sisenala	--⌫-||-|--|
m a rchisa lcap it reacystials	-⌫-⌫----|-⌫|---⌫--⌫-||-------|
quiesta las ainte	--|--||-|-⌫----|
croiz e n sete mbreenqui	----|-⌫|----⌫---|----|
m ultgrant plente des abbez	-⌫--|----|-----|--|----|
et d esbar onset	-|-⌫-|---⌫--|-|
autresgen zet mi ssire	-----|---⌫|-|--⌫|---|
folques ia l a p o r parler des	------||-⌫-⌫|-⌫-⌫|-----|--|
croizenq ui	----|---⌫-|
secroisaoedes	-|-----|----|
lichampenoisde chanlite	-|---------|-|-------|
e tguilleal mess e s	-⌫|--------⌫--|-⌫-⌫|
freresricharzdedampierre	-----|------|-|--------|
oedessesfr eres gui sde pesmes hainmes	----|--|--⌫---|---⌫|-|-----|------|
sesfrer esguis de	--|----⌫-|---|-|
cou elansetmaintesbon es	---⌫----|-|------|---⌫-|
deborg oigned ontl i n on	-|----⌫----|-⌫--|-⌫|-⌫-|
ne s ont mieen e scr itapr es	-|-⌫--|--|-|-⌫---⌫-|---⌫-|
li euesquesd	-|-------||
os tun gui gues	--⌫--|---⌫---|
lic uensde	-|-⌫---|-|
fo roishug esde	--⌫---|---⌫-|-|
lefilhugesde	-|--|----|-|
colemi au a lenprouence	-----|--⌫-⌫|-|-------|
pierresbromonzet	------|------|-|
au tresgenzassezdontnos	--⌫---|---|----|---|--|
ne sauonz paslesnons	-|-----|--|--|---|
ensis ator nerentli	---||----⌫-----|-|
baronparmi	----|----|
totes le s	----|--⌫|
terresetlipelerin	-----|-|-|------|
h alascongrantdomag eslor	-⌫---|--|----|-----⌫-|--|
auint e lquaresmeapres	----|-⌫|-------|----|
deuantcequildurent	-----|-|-|-|-----|
mouoirqueliq uens	-----|--|-|-⌫---|
iof fro isdelperchesacocha	---⌫---⌫-|--|-----||-----|
etfist s a	-|---|-⌫|
d euise en telmanierequ e	-⌫----|-|--|------|--⌫|
comandaque estene s ses	------|--|------⌫|--|
fre resaustsonauoiret	---⌫--|---|--|----|-|
ostdecest escan gese soffris sent	--|-|---|-----⌫-|-|-------⌫---|
mul tbienlipelerin se	---⌫|---|-|------|-|
diexuo lsi st ens if ina li	---|--⌫---⌫-|---⌫|-⌫--|-|
cuensetmorut	----|-|----|
domagesfuet bienf u	------|-|-|---|-⌫|
droizcar multere	----|--|---|--|
halz beretho n orez et bons	---|--|-|--⌫-⌫---|-|---|
cheua lier sm ult fugrant	-----⌫----⌫|-⌫--|-|----|
dielxpartote	----|--|---|
apres lapasqu ee nto r lapentecos te	----|-|-----⌫|-⌫---⌫|-|--------⌫-|
encomenc iere nt amouoirli	--------⌫----⌫-||-----|-|
pele rin de	----⌫--|-|
sachiezquemaintelerme	------|--|-----|----|
f u ploreedepitie ald epartir	-⌫|-----|-|----|-|-⌫------|
de lorpaisdelo r	-|--|---|-|--⌫|
de lora mi sensi	-|--|-⌫--⌫|---|
cheuauchierentpa rmib orgoigneet	-------------|--⌫--|-⌫-------|-|
parmilesmo nz de	----|--|--⌫-|-|
mon geuet par moncenis	---⌫--|-|--|-------|
etpa r lo mbardiee tensi	-|--⌫|--⌫------|-⌫|---|
c omencier entaass emblerenu eniseetse	-⌫--------⌫--||---⌫-----|-|-⌫----|-|-|
l o gierent	-⌫-⌫------|
e nuneysleq ueon	-⌫|--|---|-⌫-|-|
apel lesaintnichola senzel port	----⌫-|----|-------⌫|--|-|---|
term inemut unsestoires	----⌫--|--|--|-------|
flandrespar	-------|--|
mul tg rant	---⌫|-⌫---|
plentede bone	-----|-|---|
g enta rmeedeceleestoire	-⌫--|-⌫---|-|---|------|
sifu cheue ta ines	-|-|-----⌫--⌫---|
iohansdeneele chastellainsd e	-----|-|----|-----------|-⌫|
brugeset tyerr is	-----|-|-----⌫-|
qui fufi l s	--|-|--⌫-⌫|
phe lippe de	---⌫----|-|
flandre s etnichole s	-------⌫|-|-------⌫|
demaillietc il	-|-----|-|-⌫-|
promistrentleconteba udoinet	----------|-|----|--⌫----|-|
iurerent s orsai ns que	-------|-⌫-|---⌫-|--|
iliroientpar	-|------|--|
le detroizde	-|------|-|
ma r r oce t as sembleroien t a l o s t	--⌫-⌫-⌫-|-⌫|--⌫-----------⌫|||-⌫-⌫|
de ueniseet	-|-----|-|
quelque l eu que iloroient	------|-⌫-|--|-|------|
dir equeiltorner oit	---⌫|--|-|------⌫--|
en enu oierent	-|---⌫------|
henris ses freres	-----|--|-----|
delorneschargie s dedras	-|--|--|-------⌫|-|---|
et deuiandesetdautr e s	-|-|------|-||----⌫-⌫|
multfu b e lecele estoire	---|-|-⌫-⌫-|---|------|
etricheet m ult	-|----|-|-⌫--|
auoit grantfi anceli cuen s	----|----|--⌫---|-|----⌫|
deflandreset li p ere l in	-|-------|-|-|-⌫---⌫-⌫-|
por cequ ela plus	--|-|--⌫|-|---|
granz pl ent e zde lo rbons serianz	----|--⌫---⌫-⌫|-|--⌫|---|------|
s enalerenten	|-|------|-|
cele estoiremai smaluaiseme nt	---|------|---⌫|----------⌫-|
tindrentc ouentalorseignoret	-------|-⌫----||--|------|-|
tui tli aut re porce	---⌫|-|---⌫-|--|-|
quecistetmaint autre	--|---|-|----|----|
douterentle	--------|-|
grantperilq ue	----|----|-⌫-|
cildeueniseauoiente npris	--|-|-----|------|-⌫----|
ensilorfa illili	---|--|--⌫---|-|
euesque sdostungui ghes	-------⌫||----|---⌫---|
licuensdeforois et	-|----|-|-----|-|
pier resbrom onz et autre gen t	----⌫--|----⌫--|-|----|---⌫|
assezquimu lten	----|--|--⌫-|-|
furen tblasme zet	-----⌫|------⌫|-|
petites p loit	----|--⌫-⌫---|
firentla ouilalerent	-----|-|-|-|------|
etdes franco is lor ref aili	-|--|------⌫-|--|---⌫---|
bern arz demoruel	----⌫--|-|-----|
hues d echaumonthenris	---|-⌫|-------|-----|
d arr aines iohansd e	|---⌫----|-----|-⌫|
u ilers gautiers	-⌫----|-------|
desain d enis e	-|---|-⌫----⌫|
hu essesf reres et	--⌫-|--|-⌫----|-|
ma int autre quieschiuere nt	--⌫--|----|--|---------⌫-|
le passagede uenise por le	-|------|-|-----|--|-|
per il qui	---⌫-|--|
i er eesen	|--⌫|||-|
alerent a mars eille dont ilr ec urent granth onte	------||----⌫----|---|-|-⌫--⌫----|----|-⌫---|
etmultenfurent	-|---|-|-----|
blasm éet dont grant	-----⌫-|-|---|----|
mesauenture	----------|
lor ennauin tpuis	--|-------⌫|---|
oru oslair ons	-|-⌫-|----⌫--|
c el s et dironsdespe lerins	-⌫--⌫|-|-----|--|--⌫-----|
dontgrantpartieert i a	---|----|-----|--|-⌫|
uenu enuenis e licuens	---|-|-----⌫|-|----|
baudoins de flan dresi	-------|-|----⌫---||
ert i auenuz	--|-⌫|----|
d e sautres lalor	-⌫-⌫|-----|-|--|
uintnouelle quemult	---|------|--|---|
pe lerinss enaloient par	--⌫-----||-|------|--|
autres cheminsaautresporz	-----|------||-----|---|
etf urentmultes m aiépor	-|-⌫----|---|--⌫-⌫---|--|
cequ eil neporroie ntla	-|--⌫|-|-|-------⌫-|-|
conu enancetenir nel auoir	----⌫-----|----|-||----|
paierqu eil	----|--⌫|-|
deuoientas	-------|-|
uen isi ens	---⌫---⌫--|
etpristrentcons eilentr	-|--------|----⌫--|---|
elsqueil enuoi eroient	--|--|-|-----⌫------|
bonsmess ag e s e ncont reles pelerinse t encontre	---|----⌫--⌫-⌫|-⌫-----⌫-|--|-------|-⌫|-------|
lec onte loeysd e	-|-⌫---|----|-⌫|
blois e tde	----|-⌫|-|
charteinq ui	-------|-⌫-|
nere mieen cor u enuz	|--|--|--⌫--|-⌫---|
p orconforter etpor cr ier	-⌫-|--------|-|--|--⌫--|
mer ciq ui laussent	---⌫-|-⌫|-⌫|------|
laterre doltreme retque	-|----||-------⌫|-|--|
a u tres p assages ne pooitnul	-⌫-⌫---|-⌫------|-|----|--|
ac elmessage fu	|-⌫-|------|-|
licuens hues desain	-|----|---|-|---|
pole tioffroisli mareschau s dechampaigne	--|-⌫|-------|-|---------⌫|-|---------|
cheuauchierent trescique a pauie en lombardie	-------------|--------||----|-|--------|
enquitrouerentlec onteloeys	----|--------|-|-⌫---|----|
ple ntedebons	---⌫--|-|---|
cheualiers etdebo nesgenz	---------|-|-|--⌫--|---|
parlor confor t etpar	--|--|------⌫|-|--|
lor proiereguench irentge nzassez	--|------|------⌫----|--⌫-|----|
en ue nise	-|--⌫---|
senalasse nt as	|-|------⌫-|-|
autresporz parautres	-----|---|--|-----|
neporquantdeplaisa ncese	---------|-|------⌫--|-|
partirentunes	--------|---|
multbones genzqui	---|----|---|--|
se nale r entparau tres	|-⌫|---⌫-⌫--|--|--⌫---|
chemins enpuill e	------|-|-----⌫|
uill ainsde nuilli	----⌫---|-|-----|
unsdesbons	--|--|---|
che ualiersdelmunde	---⌫------|--|----|
ardilli eresrenausde	-------⌫---|-----|-|
dampierre henris de	--------|-----|-|
champgilesdetr as eignies	----|----|-|--⌫--⌫------|
quierehomlig e au	--|--|--|---⌫|-|
contebaudoindefla ndres	----|------|-|---⌫----|
etdehennautetli	-|-|------|-|-|
a uo itdoné dels uenyyyy	-⌫--⌫-|----|--|-⌫--|-|-|
li uresporalerauec	--⌫---|--|---|---|
uoiaie a ueccels sen	-----|-⌫--|---||-|
alamultgran tpl ente de	--|---|----⌫|--⌫---|-|
cheualiers e t de	---------|-⌫|-|
serian z dont	------⌫|---|
li no mnesunt mieen	-|--⌫|-|---|--|-|
multfu granzdescroiseme nz	---|-|----|-----------⌫-|
acels de lost	|---|-||--|
q ui enuenisealoie nt	-⌫-|-|-----|-----⌫-|
enauintgranz	-|----|----|
mesauenturesicomuosporroizoi r auant	----------|-|--|--|------|--⌫|----|
e n ala li	-⌫|--|-|
cuensloeyse tliautrebaron	----|----|-⌫|-|----|----|
enueni seet furentreceu	-|----⌫-|-|-----|----|
agrantfeste et	|----|----|-|
ioieetsel o g ierent en	---|-|-|-⌫-⌫-⌫-----|-|
lis lesain t	|--⌫-|----⌫|
nicho las auecles	-----⌫--|---|--|
autresm ult fulioz	-----|-⌫--|-|-|-|
beleetdebonesgenzonquesde	---|-|-|----|---|-----|-|
gent nushomp lu sbele	---|--|--|-⌫--⌫|---|
et liuenisien	-|-|-------|
lorfirentmerciesi	--|-----|-----|-|
plenteuros co nilconui nt	---------|--⌫|-|-----⌫-|
de totesleschose squ il	-|----|--|-----⌫|-|-|
co n uientacheuause t	--⌫-⌫----||------|-⌫|
li nau ies	-|---⌫--|
orenta ppa reilléfu si	----|-⌫---⌫------|-|-|
ric hesetsib elsque	---⌫--|-|-|-⌫--|--|
onquesnushon	-----|--|--|
cr e stiens plusb el	--⌫-⌫-----|---|-⌫-|
neplusriche neuitsi	-|---|----|-|--|-|
etde ga lieset	-|-|--⌫---|-|
deuissiersbienatroiz	-|-------|---||----|
tanzqueilnausten	---|--|-||---|-|
lostdegenz	|--|-|---|
hacumgrant do ma ges	-|--|----|--⌫--⌫--|
f uquant li autre	-⌫|----|-|----|
quialerent asautres	--|------|-|-----|
porzneuindrentilluecbien	---|-|-------|-----|---|
fu st lacrestientehalcieet	--⌫-|-|---------|-----|-|
la t erredestursabas sie	-|-⌫---|--|---|----⌫--|
m ultor ent bien attenduestoteslor sconuenances	-⌫--|--⌫--|---|--------|----|---⌫|----------|
li uenicien et	-|-------|-|
plusassezetil semoustre nt	---|----|-|-|---------⌫-|
lescontesetles barons	--|-----|-|--|-----|
leslorco nuenancesa ten ir	--|--|--⌫--------||---⌫-|
e tquel iauoirslor	-⌫|--|-⌫|-----|--|
fustrenduz q ueil estoie nt	---|-----|-⌫-|-|------⌫-|
prestdemouoir	----|-|-----|
porchaciezfulipassagesparlostet	---------|-|-|-------|--||--|-|
auoit as sez de c els qui	----|--⌫--|-|-⌫--|--|
disoitqueilnepo oit	-----|--|-|-|--⌫--|
paiersonpassage etli	----|--|------|-|-|
baronenp r en oientcequil	----|-|-⌫-⌫--⌫----|-|-|-|
i pooient auo ir ensipaierent	|------|---⌫-|---|-------|
ce qu ilenporent	-|-|-|-|-----|
auoirle passagequant	----|-|------|----|
l ore ntquisetporchacié	|---⌫-|---|-|---------|
etquant ilorent p aie ́	-|----|-|----|-⌫---⌫|
furentne emi	-----|-|--|
etlors par lerent	-|---|---⌫-----|
libaronensem b lee t	-|----|-----⌫-⌫-|-⌫|
distrent sei gnorli	-------|---⌫---|-|
uenisi ennosont	------⌫-|--|--|
a ttenduesn os conuenance setplus	-⌫-------|-⌫-|----------⌫|-|---|
assezme sn os	----|--⌫|-⌫-|
nesomesm i etan tde	-|----|-⌫-⌫|---⌫|-|
gentquepa r noz passages	---|--|--⌫|--|-------|
poonslesleuratte ndre e t	----|--|---|----⌫---|-⌫|
ce est parladefa ute	-|--|--|-|----⌫--|
decelsquial erentas	-|---|--|--⌫----|-|
autre s p orzpordesi	-----⌫|-⌫--|--|-|-|
mettechascunsd eson	----|-------|-⌫|--|
auoirtan tquenos	----|---⌫|--|--|
paiernosco nuenance squeencorestilmielz	----|--|--⌫--------⌫|--|----|--|-|----|
quenosmetonst oznos	--|--|-----|-⌫-|--|
a uoirs ci	-⌫----|-|
quece que il	--|-|--|-|
d efaillistet	-⌫--------|-|
quenosperdi ssiens	--|--|-----⌫-----|
ceque no s	-|--|--⌫|
ia uo nsmis	|-⌫--⌫-|--|
et queno sd ef aillisiensde nos	-|--|--⌫|-⌫--⌫---------|-|--|
conuenances	----------|
cesto stre maint	---|-⌫-|--⌫----|
larescolsedoltremerest	-|-------||-------|--|
l aotgrantdescorde de	-⌫|-|----|-------|-|
lagraindr e par tie	-|-------⌫|---⌫--|
a ut re gent	-⌫--⌫-|---|
etdistrentnos auons	-|-------|--|----|
p ai éno s passagessil	-⌫--⌫-|--⌫|-------||-|
nos en uolent	--|-|-----|
menernosen	----|--|-|
iromesuo lentier s etse	-----|--⌫-------⌫|-|-|
il neuuelentnosno s	-|-|------|--|--⌫|
porc hacer on setironsa	----⌫-----⌫--⌫|-|----||
altrespassagespor cele	-----|-------|--|-|-|
disoientque iluols sissent	-------|--|-|----⌫------|
quel i o st	--|-⌫|-⌫-|
s e departist	-⌫|--------|
etlautrepar tie	-||----|---⌫--|
distmielxuolu nsnos	---|----|----⌫-|--|
totnostre auoir	--|-----|----|
metre etaler	----|-|---|
pou r ee nl	---⌫-⌫|-⌫||
ostqu ec e	--|--⌫|-⌫|
queellese d epa rti stne	--|---|-|-⌫---⌫---⌫-|-|
faillist quardie x	-------|---|---⌫|
rendrabien	-----|---|
quan t luiplaira	----⌫|--|-----|
lorscommenceli cuens de flandre	---|-------|-|----|-|------|
abail lier	|----⌫---|
otet qua nqu e	-|-|---⌫---⌫|
il pot emp runteret li	-|--|---⌫-----|-|-|
cuensloeyse t lim archi s	----|----|-⌫|-|-⌫-----⌫|
cuenshuesdesain	----|---|-|---|
p o letcil qui a	-⌫-⌫|-|--|--||
laleur p art ie	-|---|-⌫---⌫-|
setenoien tl ors	-|-------⌫|-⌫--|
peuss iezueoirtante	-----⌫--|----|----|
b ele ua issele ment	-⌫--|--⌫------⌫---|
d oretd argent	|-|-||-----|
porteral ostel le duc	-----|||----|-|--|
porfai re paiement et	--|---⌫-|-------|-|
orentpaie ́	----|----⌫|
si faillide	-|-----|-|
laconuenanceyyyyyy	-|---------|-|-|-|
mars dargentetde ce	---||-----|-|-|-|
furentmultl ieci l qui	-----|---|-⌫-|--⌫|--|
auoir auoientmisarriere	----|------|--|------|
neni uoldrentriens	-|||-------|----|
met re quelorscuid erentil	---⌫-|--|---|----⌫----|-|
bienqueli ostfu st	---|--|-|--|--⌫-|
failieetdepecas tmes	-----|-|-------⌫|--|
diexquiles	---|--|--|
desconsiliez	-----------|
co ns eillene le uost mie	--⌫--⌫----|-|-|---|--|
ens isoffrir	---⌫|------|
lorsparl alidux a	---|----⌫|-|--||
sag ent et lor dist	-|-⌫--|-|--|---|
se i gnorcest ege nzne	--⌫-⌫---|----⌫|--⌫-|-|
nospu en t plus paier et	--|--⌫--⌫|---|----|-|
quanq uel enos ontpaiénos	-----⌫|--⌫|--|--|----|--|
l au onstot gaaigni éporla	|--⌫--|--|-------⌫-|--|-|
conuenancequeilnenos	---------|--|-|-|--|
pue nt mietenirmesnostre	---⌫-|--|----|--|-----|
droizne seroit mie	----|-|-----|--|
to z conte z s ienrec euriens	--⌫|-----⌫|-⌫|-|---⌫------|
grant blasmeetnost re	----|-----|-|----⌫-|
terreorlorquer onsun	----|-|--|----⌫--|-|
li ro isdeu ngrie	-|--⌫-|-|-⌫----|
sinos tostiadresen	-|--|---|-----|-|
escl auoniequiest	----⌫-----|--|--|
fo rz c itezdel	--⌫-|-⌫---|--|
porpooirque	--|----|--|
nos aions recouree ne se rase	--|----|-------|-|--⌫-|-|
parcestegenznonq uerons lor	--|----|---|--|-⌫-----|--|
nosa i enta	--|-⌫-⌫--||
conquerreetnoslor respite rons	--------|-|--|--|-------⌫---|
lesyyy yy y mar s	--|-|-⌫|-⌫|---⌫|
dargentqueil	|-----|--|-|
nosdoiuenttr o s queadontqu e	--|------|--⌫-⌫-⌫--|----|--⌫|
diexnos l airaconquer re ensemblenos	---|--|-⌫---|-------⌫-|-------|--|
ensifucisplais requis	---|-|--|----|-----|
mult f ucontraliezdec eus	---|-⌫|---------|-|-⌫--|
quiuolsissentquel	--|---------|--||
ostsedeparti stmes	--|-|-------⌫-|--|
uoiesfufa izli plaize totroiés	----|-|--⌫-|-|----|-⌫|-------|
lor sfurentassembléa une	---⌫|-----|--------||--|
dieme n chea l igli se s aintmarc	-----⌫-⌫--|||----⌫-|-⌫---|---|
siereunemultgr ant feste	-|--|--|---|--⌫--|----|
pue pledela	---⌫--|-|-|
terreetliplus	----|-|-|---|
desbaron setdespelerins	--|-----⌫|-|--|-------|
quelagrantmess e conmencast	--|-|----|----⌫|---------|
liduxde ue ni se	-|--|-|--⌫--⌫-|
qui auoit nomhe nrisdandole	--|----|--|--⌫---|------|
leter ilet parla	-----⌫-|-|----|
pu eple et	--⌫---|-|
lordi stseignor	--|--⌫-|------|
acomp aigniéestesalameillorgent	-----⌫------|----||-|------|---|
etporleplushalt	-|--|-|---|---|
afa ir e que onquesgenz	---⌫--⌫|--|-----|---|
entrepreissent	-------------|
e tie suiui alzhom	-⌫|-|--|--⌫--|--|
mest ierdereposet	----⌫--|-|----|-|
maaign iezsuidemon cor s	------⌫--|--|-|--|---⌫|
uoiquenusne	--|--|--|-|
uos sauroitsigouerne retsi	--|------|-|-------⌫|-|-|
maist rercong equi uostre	-----⌫--|--|-⌫|--|-----|
s iresuise uosuoliez	-⌫--|--|-|--|-----|
otrierqueiepreisse le si gne	-----|--|-|------|-|--⌫--|
de lacr oiz poruosgarder	-|-|--⌫--|--|--|-----|
etporuos enseignier	-|--|--|---------|
etmes filz reman sist en	-|--|---|-----⌫---|-|
etg ardastla	-|-⌫-----|-|
terreieir oi e	----|-|--⌫--⌫|
uiu re oumorir	---⌫-|-|----|
auecuoset aueclespele rins	---|--|-|---|--|----⌫---|
cilo irent	--|-⌫----|
sis escrie renttuita	-||------⌫---|---||
une uo izn os uospr oions	--|--⌫-|-⌫-|--|--⌫----|
po rdieuqueuosl otroiez	--⌫|---|--|--||------|
etqueuosle facoise t	-|--|--|-|-----|-⌫|
q ueuozen uiegn és	-⌫-|--|-|-----⌫--|
multotilluecg ra nt	---|-|-----|-⌫--⌫-|
pueplede l a	-----|-|-⌫|
terreetd espelerins	----|-|-⌫-|-------|
et mainte lerm eplore ep orce	-|-----|----⌫|-----⌫|-⌫-|-|
prodoma u st	-----|-⌫-⌫-|
si grant ochoison deremanoir	-|----|-------|-|-------|
caruielshom ereetsi	--|----|--|--|-|-|
auoi t les ia ulcenlat este	----⌫|--|--⌫--|-|-|-⌫---|
b iausetsin	-⌫---|-|-||
ueoit goteque per dueauoit l a	----|---|--|---⌫--|----|-⌫|
u eueparuneplaie quil	-⌫--|--|--|----|-|-|
o telchief	-⌫|-|----|
multpar ere	---|--|--|
de grantcuerhacum	-|----|---|-|--|
mallesemblo i entcil	--|-|------⌫-⌫--|--|
autrespo rzestoie ntalé	-----|--⌫-|------⌫-|---|
poreschi uerleperil	--|-----⌫--|-|----|
ensiau a la	---|--⌫-⌫-|
deuantl autel	-----||----|
etsemist agenoi lz	-|-|---||-----⌫-|
multplorant et il	---|------|-|-|
licousirent	-|--------|
l a croizenungrant	-⌫|----|-|-|----|
capel deco ton porceque	----|-|--⌫--|--|-|--|
uoloitquela gentla	-----|--|-|---|-|
uei ssentetuenisiense	---⌫----|-|-------|-|
comencentacrois ier amul t	--------||-----⌫--||---⌫|
grantfuis onet agrant	----|----⌫-|-||----|
plent eeniceli or en cor	-----⌫|-|---|-⌫-|--⌫--|
eni otmultp oide	-||-|---|-⌫-|-|
cro isiezno strepeleri n or ent	---⌫----|--⌫---|------⌫|--⌫--|
mult grantioi eetmult	---|----|---⌫|-|---|
grantpitiede c elecroiz	----|----|-|-⌫--|----|
lesens etpo r	-|---|-|--⌫|
que ilauoitenlui	--|-|----|-|--|
ens i fucroisiez	---⌫|-|-------|
auez oilors	---|-|---|
comencaenaliurer	------|-||-----|
galie setles	-----⌫|-|--|
uiss iersas bar onspormouoir	----⌫---|-|---⌫--|--|-----|
etdeltermine f uia	-|--|------|-⌫|-|
tantaléq uelisete mbreaprocha	---|---|-⌫-|-|----⌫---|------|
or oiez unedes	-|---|--|--|
merueillesetde s	---------|-|--⌫|
greignorauentures	-------|--------|
queuos onquesois i ez a cel	--|--|-----|---⌫-⌫-||--|
encostantinob le	-|-----------⌫-|
quiauoit a	--|----||
nomsursacets i	--|-----|-|-⌫|
u n fre re	-⌫|---⌫-|
depri so ndetursicil	-|---⌫--⌫|-|---|---|
prist so nfrere	----|--⌫|----|
l emp ereorsili traistles	|---⌫----|-|-|-----|--|
iau lzdelateste et	---⌫-|-|-|----|-|
empereoren t eltraison	-------|-|-⌫-|------|
con uosauezo i ensi	--|--|---|-⌫|---|
letintlongueme nt e n prison	-|---|--------⌫-|-⌫|-----|
etunsuenf il qui	-|-|---|-⌫-|--|
auoit nom a lexisic il filssi	----|--|-⌫----|--⌫-|---|-|
eschapa delapri so net	------|-|-|---⌫--⌫|-|
trosqu e a	------⌫||
unecite sor	--|---|--|
merquianomancone	--|--||--|-----|
enki sen alaal	---||-|--|-|
ro iphelipped alemaigne qu i	--⌫|-------||--------|--⌫|
au oit sas ero ra fame	--⌫--|-|-⌫---⌫||---|
si uint a ueroneenlombardie	-|---||-----|-|--------|
etherberia	-|-------|
enla u ille	-|-|-⌫---|
et t rouadespelerinsassez	-|-⌫---|--|-------|----|
qu isenal oient	--⌫||-|--⌫----|
auoientaidiéa	------|-----||
esc haperqui	---⌫----|--|
e stoientauecluilidistrent	-⌫------|---|--|-|-------|
s ire ueez	-⌫--|---|
enuenisepresdeno s	-|-----|---|-|--⌫|
dela m eilleur gent	-|-|-⌫------|---|
me illors cheualiersdelmu nd equiuont oltremerquar	--⌫-----|---------|--|--⌫--⌫|--|---|-------|---|
lorcriez merciqueilai e nt	--|----|----|--|-|--⌫-⌫-|
detoipitie etdeton	-|--|----|-|-|--|
pere quia t el	---|--||-⌫-|
tortiestes	---|-----|
d eseritée tseilte uol oient	-⌫-------|-⌫|-|-|-|---⌫----|
aidiertuf erasquanquildeuis eruntd e	-----|-|-⌫---|-----|-|-----⌫----|-⌫|
lo r e np rendra	--⌫|-⌫|-⌫-----|
fera m ultuole ntierset que	---|-⌫--|----⌫-----|-|--|
ci stco nseilsest bons	--⌫-|--⌫-----|--|---|
ensiprist sesmessa gessienuoiaalm archis	---|----|--|-----⌫--|-|-----|-|-⌫-----|
bonifacedemo nferrat	-------|-|--⌫------|
barons etquant	-----|-|----|
libaro nlesuirentsi	-|----⌫|--|-----|-|
semerueil lerentmu lte tre s pondirent	-|-------⌫-----|--⌫-|-⌫|--⌫-⌫--------|
as messages	-|-------|
nos entendonsbien	--|--------|---|
que uosdit esnos enuoier ons	--|--|---⌫-|--|-------⌫--|
phelippe aueclui ou	-------|---|--|-|
ilsen uas ecistnos	-||-|-|-⌫|---|--|
uuelta idier l a terred	----|-⌫----|-⌫|----||
oltremera r e courernosli	-------||-⌫-⌫-----|--|-|
aid e ro nsla	---⌫-⌫--⌫-|-|
aco nq uerre	|--⌫--⌫----|
qu e leest tol uelui	-|-⌫-|--|---⌫-|--|
to rten si	--⌫-|--⌫-|
fu rentlimessage enuoié	--⌫---|-|------|------|
en alemai gnealualet de	-|------⌫--|-|----|-|
costantinoplee ta l roy phelipped	------------|-⌫|-⌫|--|-------||
al emaigne	--⌫------|
deu ant cequenos	---⌫--|-|--|--|
uosauo ns iciconté si	--|---⌫-|--|-----|-|
uintune nouelleenl ost	---|--|------|-||--|
furentmultdolent	-----|---|-----|
libaron etlesau tres	-|----|-|--|--⌫---|
g enzquemessirefo lques	-⌫--|--|--|---|--⌫----|
libons homli	-|---|--|-|
sainshomq uiparla prem ierement	----|--|-⌫-|----|----⌫-------|
des croizfina et mori	--|----|---|-|---|
etapresceste aue ntureloruin t	-|----|----|---⌫----|--|---⌫|
une c onpaigne	--|-⌫-------|
d emultbonegen t	-⌫|---|---|---⌫|
de lempired	-||-----||
d on til furentmult	-⌫--⌫|-|-----|---|
l a uintl ieues ques de	-⌫|---|-⌫|----⌫---|-|
hau estat etli cuensbertousdecassenellebog he	---⌫----|-|-|----|------|-|-------------⌫-|
garniers de borlandetieris deloshe n ri s	-------|-|-------|-----|-|--|--⌫-⌫--⌫|
dies rogiers des uitre	---|------|-|-⌫----|
alixandr es	--------⌫-|
de uilerso lris detone	-|-----|-⌫---|-|---|
a doncfurentdepartie sles ne set	-⌫---|-----|--------⌫|--|--⌫|-|
lesuissiers	--|-------|
baronshade us	-----|-|--⌫-|
tantbondest rieri ot	---|--|----⌫---||-|
miset quantlesne s	--|-|----|--|--⌫|
furentcharg iesdarm eset de	-----|-----⌫--||---⌫-|-|-|
uia nd esetde cheualierset	---⌫--⌫-|-|-|---------|-|
deserianz et liescuf urent	-|------|-|-|---|-⌫----|
portend u enu iron desbor z etdes chasteals	-------⌫|---⌫---|--|---⌫|-|--|--------|
nes et l es banieresdont	--|-|-⌫-|-------|---|
ilauoittantde	-|----|---|-|
etsachi e z q ue il	-|-----⌫-⌫|-⌫-|-|
porte rentes nesdeperier es	-----⌫---|-|--|-|------⌫-|
mangoniaxplusdeyy	--------|---|-|-|
qu iontmestiera	--⌫|--|------||
uilleprendre agr an plente	----|------||--⌫-|-----|
neonquespl usb elesesto res	-|-----|--⌫-|-⌫---|----⌫--|
denulp ort	-|--|-⌫--|
et ce fuasoct aues de	-|-|-|-|---⌫---|-|
lafestesa intremien	-|----|--⌫--|---|-|
delincarnationi esucrist	-||----------|-⌫--|----|
yyyy anzety ye nsi	-|-|--|-|-⌫|-⌫--|
pa rtirentdel portde	--⌫------|--|---|-|
ue nisecon uos	--⌫---|--|--|
laueillede	-|-----|-|
l asainmartin uindre n t	-⌫|---|-----|------⌫-⌫|
iadresensla uo nieet	-----|-|---⌫--⌫--|-|
uirentlaci tefermeede	-----|-|--⌫-|-----|-|
halzmurset	---|---|-|
